ID,POLONAIS,HINDI,INTERVAL
5587,wymioty,उल्टी,66
9339,uganda.,युगांडा,48
9623,figura.,फिगुरा,45
2487,cieleśnie,शारीरिक,89
691,wóz dla orkiestry,गाड़ी में सवार,97
3811,gram,चना,62
11647,przeddzień,पूर्व संध्या,30
10433,sód,सोडियम,39
12982,początkowo,शुरू में,12
10363,dwójkowy,बायनरी,39
5315,hoi.,होई,74
428,tunezyjski,ट्यूनीशियाई,97
1110,przegrupowany,फिर से एकजुट,78
8763,wizjer,दृश्यदर्शी,52
6349,tacoma.,टैकोमा,68
5812,grobla,सेतु,62
6388,myć się,धुलाई,41
6602,hiatus,ख़ाली जगह,66
13003,trzymane,रखा,18
9029,syberyjski,साइबेरियाई,49
2156,wyciekający,लीक,38
3839,bezbarwny,बेरंग,83
13657,rozgłos,प्रसिद्धि,8
13638,określa,निर्दिष्ट करता है,7
11786,gorszy,अवर,28
14009,wydajność,प्रदर्शन,10
14050,państwa,राज्य अमेरिका,6
12259,archiwa,अभिलेखागार,12
12231,powieści,उपन्यास,13
12240,podzielony,अलग करना,21
895,zaszczepić,घूस,88
5678,plac zabaw,खेल का मैदान,71
1447,wc,प्रसाधन,40
6397,zbieg,भगोड़ा,54
3340,kerrpunk.,केरप्लंक,86
9636,whitney.,व्हिटनी,45
990,woolf.,वूल्फ,97
6437,rzemieślnik,शिल्पी,67
3750,spódnica,स्री,76
11954,niewolnictwo,गुलामी,27
2203,małżonek,बातचीत करना,88
934,ukrzyżowanie,सूली पर चढ़ाये जाने,97
13341,poeta,कवि,14
10807,w imieniu,की ओर से,37
5967,argon,आर्गन,70
11123,ścieżka dźwiękowa,गीत संगीत,33
12249,peleryna,केप,25
13144,aleksander.,सिकंदर,16
6803,otręby,पेड़ का ठूँठ,64
11832,mongo.,मोंगो,28
5718,godzina,व्हिग,62
14513,notatki,टिप्पणियाँ,6
9256,lakoniczny,रूखा,48
14257,sieci,नेटवर्क,8
1684,sunspot.,झाई,90
2275,aquila.,अक्विला,91
13451,film,चलचित्र,12
2755,żądza,हवस,84
8123,topór,कुल्हाड़ी,50
12400,czysty,साफ,18
4844,carlin.,कार्लिन,77
9373,błąd,कीड़ा,34
13768,samo,अपने आप,11
8357,szesnasty,सोलहवीं,54
9872,homoseksualizm,समलैंगिकता,35
290,schematyczny,ढांच के रूप में,95
634,wert.,मिटा देना,99
6139,przysiek,चालाक,63
3983,przyziemny,सांसारिक,82
13931,państwo,राज्य,6
7376,asesory,मूल्यांकनकर्ताओं,61
1235,bm.,बी.एम.,95
5827,podsumowuje,निष्कर्ष निकाला है,23
4808,akr,एकड़,46
940,jąder,वृषण,97
9514,ix.,नौवीं,46
9531,zmarły,मृतक,46
3121,jujuba.,जूजूबे,87
9161,wyrko,रात बिताने का स्थान,48
8831,joyce.,जॉइस,51
4901,superkomputer,सुपर कंप्यूटर,75
6300,dziedzic,वारिस,60
4647,blanco.,ब्लैंको,78
11226,ustalenie,फिक्सिंग,9
800,druid,ड्र्यूड,88
14211,tygodnie,हफ्तों,8
10490,otomana,तुर्क,38
5281,minuteman.,माइन्यूटन,74
9049,skrzynia,छाती,48
8525,cheshire.,चेशायर,53
5902,ged.,गेड,71
12595,solidny,ठोस,22
10396,najwcześniejszy,जल्द से जल्द,39
9976,prawosławny,रूढ़िवादी,42
2973,złote oko,स्वर्णीय नेत्र,88
7711,kojący,सुखदायक,58
4951,meczety,मस्जिदों,36
140,odtwarzanie nagranego dźwięku,प्लेबैक,100
13966,potrzebować,ज़रूरत,6
5859,allegheny.,एलेघेनी,71
12315,meksykanin.,मैक्सिकन,24
1184,roer.,रोअर,96
5395,arg,आर्ग,74
1156,karabinek,काबैन,86
7741,audytorium,सभागार,58
10092,solomon.,सोलोमन,42
13073,prosty,सरल,17
9378,czyściec,यातना,47
3959,kasztan,शाहबलूत,80
7452,mleczny,दूध का,61
12911,muzeum,संग्रहालय,18
7544,quo.,यथास्थिति,60
1485,koguci,बैंटम,88
2835,odnóża,अंग,69
10220,grzech,पाप,35
13976,bez,बिना,5
10409,podwójny,दोहरी,39
6776,nazajutrz,कल,65
10538,zmierzch,सांझ,38
4760,czajnik,केटल,76
2935,żuav,ज़ौव,81
7292,chil.,चिल,62
10160,felix.,फेलिक्स,41
9517,vic.,विक,46
3073,transaminaza.,ट्रांज़ैमिनेज़,87
3981,święto,दावत,80
2595,oświecać,सूचित करना,45
14498,przemysłowy,औद्योगिक,14
12029,zabronić,पर प्रतिबंध लगाता है,15
14431,modele,मॉडल,12
7168,okazać się,उपस्थित होना,61
13745,tablica,मंडल,11
5256,cesarzowa,महारानी,74
4790,drury,ड्रुरी,78
4328,patsy,पैट्सी,79
10638,młodszy,जवान,38
11978,benzoes,बिन्यामीन,27
7023,dywan,गलीचा,61
6254,pokojówka,नौकरानी,65
13388,nacięcie,छेद,14
2004,czcionki,फोंट्स,34
2081,gorzko,कटु,92
11255,chemia,रसायन विज्ञान,34
7319,grzywka,झब्बे,59
11951,spis ludności,जनगणना,27
227,kosmetyka,सौंदर्य प्रसाधन,100
3373,uchylać,रद्द करना,72
6035,gardło,गला,61
4489,borówka,हकलबेरी,79
12564,teatr,थियेटर,21
5083,sernik,चीज़केक,75
5946,duffy.,डफी,70
3092,zawory,वाल्व,45
12992,diagramy.,चित्र,16
13406,dolina,घाटी,14
11231,patrol,पहरा,24
9344,trawnik,लॉन,46
4360,zadrapanie,तड़क,33
8374,problematyczny,समस्यात्मक,54
8967,nastrój,मनोदशा,50
7650,kwatermistrz,सेना को खाद्य पहुँचानेवाला अफ़सर,59
12746,przybył,पहुंच गए,14
1779,sheraton.,शेरेटन,93
879,belki,बीम,52
12223,bliższy,करीब,25
3420,conestogi,कॉनेस्टोगा,86
2565,kadzyk,कैनोपिक,89
14096,podatek,कर,23
10953,pokrycie,कवर,8
5726,nierealny,अवास्तविक,70
9582,martha.,मरथा,46
2666,dąbrówka,बिगुल,88
4568,leonid.,लियोनिद,79
1617,martens.,मार्टेंस,88
8420,magnum.,मैग्नम,54
4348,bason.,बेसन,80
13514,mil,मील की दूरी पर,12
10307,poe.,पो,40
14173,zwiększony,बढ़ा हुआ,12
8319,szałwia,साधू,54
11903,em.,एम,26
872,piłat,पीलातुस,97
11345,tankowanie,ईंधन भरने,30
7181,siarczan,सल्फेट,62
12658,zabawa,मज़ा,21
8896,holt.,उपवन,50
751,tarot.,टैरो,98
397,snowshoe.,स्नोशू,98
14244,oznacza,मतलब,8
907,metalurgia,धातुकर्म,97
1243,dumnie,गर्व से,95
7421,vesta.,वेस्टा,61
5597,głupek,मूर्ख,64
746,maoista,माओवादी,92
7258,piszczel,पिंडली,60
5349,tryskać,धारा निकलना,72
13631,portal,द्वार,12
13915,twój,आपका,5
7629,amisz,अमिश,60
12719,powtarzający się,पुनरावर्ती,21
4100,whitehall.,व्हाइटहॉल,82
6620,cha.,चा,66
1404,wdzięczność,कृतज्ञता,94
6539,zjednoczenie,एकीकरण,66
11620,litość,दया,30
3910,boczna droga,सड़क के किनारे का,83
217,ballas.,बलास,100
5883,okręg wyborczy,चुनाव क्षेत्र,48
5899,antylopa,एंटीलोप,70
13277,krzyż,पार करना,11
1100,szum,गुंजन,92
7002,hogg.,हॉग,63
12591,ćwiczenie,व्यायाम,19
9640,tamiza,थेम्स,45
10109,niezidentyfikowany,अज्ञात,41
7120,trebuchet.,पत्थर फैकने का ईंजन,62
5363,wodorotlenek,हीड्राकसीड,74
6990,moździerze,मोर्टारों,38
4497,gwatemalan.,ग्वाटेमेले,76
11821,sekwencja,अनुक्रम,25
9488,dżungla,जंगल,45
13271,przekaźnik,रिले,15
13447,pompa,पंप,13
9909,eng.,इंग्लैंड,43
8213,iluzja,मोह माया,53
12587,guru.,गुरु,22
13280,kontekst,संदर्भ,15
1467,stratosfera,समताप मंडल,92
14419,przedstawia,दिखाता है,7
3450,stopka,फ़ुटबाल,82
5233,księga główna,खाता बही,75
3222,sycylijski,सिसिली का,83
656,sporadycznie,बीच - बीच में,64
3195,nach.,नच,87
5098,dyplomata,राजनयिक,33
869,artefakt,विरूपण साक्ष्य,58
168,schmitz.,श्मित्ज़,100
12377,campbell.,कैम्पबेल,24
11401,oscar.,ऑस्कर,31
3544,hocking.,हॉकिंग,76
1989,dah.,दाह,92
9935,wzajemne,आपसी,38
4043,prostota,सादगी,81
8751,acor.,एकर,52
2919,coburg.,कोबर्ग,88
1481,antywirus,एंटीवायरस,94
6967,ziemski,लौकिक,62
9569,ukradłem,चुराई,46
8021,reprezentant,निरसित,53
9764,shoreman.,शोरमैन,44
11513,socjalista,समाजवादी,29
4186,estadio.,एस्टेडियो,81
13738,jim,जिम,11
5172,babcia,दादी मा,74
2415,paraliż,पक्षाघात,90
9291,stambuł,इस्तांबुल,48
12094,que.,कुए,26
11927,semper.,सेम्पर,28
9754,warsztat,कार्यशाला,41
2658,plebiscyt,जनमत-संग्रह,88
14442,zdecydowany,फैसला किया,7
12876,największy,महानतम,19
4399,bezimienny,बेनाम,80
3915,serum,सीरम,83
8631,owieczka,मेमना,49
12803,kolej żelazna,रेलवे,18
10429,mroczny typ,गुप्तचर,39
843,dey.,डे,98
2213,nouveau.,नोव्यू,91
381,wicekról,वाइस-रोय,97
7141,pierożek,पैटी,61
3524,gruby,स्टाउट,85
5546,basza,पाशा,72
9058,cynk,जस्ता,50
13288,hong.,हांग,15
11347,przezwisko,उपनाम,25
1951,moop.,मोप,92
11139,gorszący,गवारा नहीं,34
8403,sikh.,सिख,46
10269,brzydki,कुरूप,38
3668,sceptycyzm,संदेहवाद,53
10101,ubierający,सजे,24
7924,strzelba,मशीनगन,55
5004,podział,विभाजन,17
12006,il.,इल,27
2418,w dół rzeki,डाउनस्ट्रीम,90
10845,wielkie żarcie,टकर,37
7270,kwadraty,वर्गों,14
4660,dade.,डेड,78
3775,język miejscowy,मातृभाषा,83
11359,tytoń,तंबाकू,33
11426,trojański,ट्रोजन,21
11456,bagdad,बगदाद,32
3821,lm.,एलएम,83
201,kapelan,चैपलैन,92
12421,austin.,ऑस्टिन,23
5089,tyne.,न्यूकैसल,55
7654,dójka,खोदा,59
1492,urbana.,अर्बाना,94
9326,litewski,लिथुआनियाई,47
10855,gładki,निर्बाध,35
12505,rudzik,रोबिन,22
2962,rodzeństwo,सहोदर,69
4731,bibliotekarz,पुस्तकालय अध्यक्ष,72
13400,kariera,आजीविका,14
12155,tokarz,टर्नर,26
12192,skryba,मुंशी,25
11048,badminton,बैडमिंटन,35
10613,maxwell.,मैक्सवेल,38
1848,bumelant,अनुपस्थित होनेवाला,86
11607,lama,लामा,30
1173,nitrogliceryna,नाइट्रोग्लिसरीन,78
2086,pełen werwy,व्यवसायिक,92
4280,chipmunks.,चिपमंक्स,59
8102,sąsiedni,पड़ोसी,34
1859,konklawe,निर्वाचिका सभा,89
247,lizyna,लिसिन,100
5616,lew.,ल्यू,72
2878,bogan,बोगन,87
8769,łatwo,आसानी से,51
13926,nawet,यहां तक ​​की,7
2392,agnostycyzm,अज्ञेयवाद,90
10052,guma,रबर,41
7706,alpy,आल्पस,54
1961,askari.,इस्कारी,92
7437,słowacki,स्लोवाक,58
3108,impala.,इम्पाला,87
14394,pytanie,सवाल,5
8083,juno.,जूनो,56
2820,horyzonty,क्षितिज,51
10581,bobet,बोबेट,38
9400,lang.,लैंग,47
10671,krwawy,रक्तरंजित,38
7740,karate,कराटे,56
11198,pogrzeb,अंतिम संस्कार,33
8389,fra.,फ्रा,54
9701,wnioski,निष्कर्ष,23
3181,mojo.,मोजो,87
5039,paraliż dziecięcy,पोलियो,76
6766,pielgrzymi,तीर्थयात्रियों,57
12520,kropka,दूरसंचार विभाग,21
1366,crispin.,क्रिस्पिन,95
12107,kontrolowany,को नियंत्रित,11
10614,konfederacja,कंफेडेरशन,22
6522,pius.,पियस,65
10437,spokojna,शांतिपूर्ण,14
10874,zastępca,डिप्टी,31
8199,tn.,तमिलनाडु,56
7877,limonka,चूना,57
2662,dominus.,डोमिनस,89
9013,rezygnować,त्यागपत्र देना,24
12289,pałac,महल,24
4192,habey.,बंदी प्रत्यक्षीकरण,81
1628,pinhole.,पिनहोल,94
12966,niewyjaśniony,अस्पष्टीकृत,18
10524,sześcian,घनक्षेत्र,36
10711,położony,लिटाया,38
10257,palma,हथेली,38
13069,gramatyczny,व्याकरण का,17
1746,baka.,बाका,93
5658,figa,अंजीर,69
10346,szklarnia,ग्रीन हाउस,39
8968,spanie,सो रहा,15
9065,nirwana,निर्वाण,50
10824,brzytwa,उस्तरा,37
2108,mitzvah.,मिट्ज्वा,92
1378,beluga.,बेलुगा,95
5436,andromeda.,एंड्रोमेडा,74
7584,airbus.,एयरबस,60
6968,zorro.,ज़ोरो,63
8431,scudder.,स्कुद्दर,54
9554,biologiczny,जैविक,24
14205,dołączony,शामिल,6
2778,alpaka,अलपाका,88
5472,wyjaśniający,व्याख्यात्मक,73
14475,oddział,डिपामेंट,8
3151,wydatek,व्यय,73
4555,flav.,फ्लेव,79
2698,limonen.,लाइमीन,88
6392,wspólnie,संयुक्त रूप से,67
8507,zagrożony,खतरे में,50
14296,zakończyło się,समाप्त,7
11617,cm,सेमी,30
9770,wietnamski,वियतनामी,44
5422,bulwiasty,उभड़ा हुआ,74
2776,dulliver.,गुलिवर,88
3219,fleur.,फ्लेर,87
9650,trywialny,मामूली,43
8347,orwellian.,ओर्वेलियाई,55
1905,złotnik,सुनार,85
7966,wróbel,गौरैया,55
2622,pancerniki,युद्धपोतों,56
950,aldrin.,एल्ड्रिन,97
2796,hayward.,हेवार्ड,86
9055,burza z piorunami,आंधी तूफान,39
1390,paraguayan.,परागुआयन,89
2336,na południe,दक्षिण की ओर,56
3377,beastie.,बीस्टी,84
4284,stilcznia,स्टिलर,80
10915,żołnierz amerykański,गी,35
4937,nawałnica,तूफ़ान,74
7493,kabina prysznicowa,बौछार,45
1980,bufotenin.,बुफोटेनिन,92
8435,zabójcy,हत्यारों,32
10162,trudności,कठिनाइयों,30
12417,bar,छड़,20
6598,tammy.,छलनी,66
9924,arabski,अरबी,43
14293,kalifornia,कैलिफोर्निया,9
5280,do góry nogami,उल्टा,74
7349,przydział,आवंटन,26
5330,pamiętniki,संस्मरण,65
11118,yt.,यार्ड,33
2946,kozy.,बकरियों,43
10436,podstawiony,एवजी,20
14078,polityczny,राजनीतिक,10
2770,subsydium,सब्सिडी,75
12679,stronniczy,झुका हुआ,20
13005,lek,दवाई,16
5047,reddy,रेड्डी,76
5170,sprowokować,उकसाना,48
9124,przywołany.,को याद किया,27
5186,współczynnik,गुणक,70
4338,lodziarz,पहाड़ पर चढ़नेवाला,80
12643,zaproszony,आमंत्रित,6
14091,n,एन,8
12918,cel,लक्ष्य,13
6866,długi czas,लंबे समय तक,64
12489,środa,बुधवार,23
2417,szpara,चिंक,88
9303,lenin.,लेनिन,46
3455,liza.,लिज़ा,86
336,mestizo,मेस्तिजो,96
14453,sierpień,अगस्त,6
5575,wchłanianie,अवशोषण,71
784,claymore.,क्लेमार,97
7209,biosynteza,जैव संश्लेषण,62
2306,miotła,झाड़ू,88
13524,echo,गूंज,13
3279,w nim,यहां,86
5114,liczydło,अबेकस,75
10240,franco.,फ्रेंको,40
13462,lincoln.,लिंकन,13
2354,melba.,मेल्बा,90
734,niedostateczny,असंतोषजनक,98
5311,poduszkowiec,हुवरक्रफ़्ट,74
2451,zaśmiał się,हँसे,37
14348,nabierający,ले रहा,5
2167,przełączanie,विपर्यय,55
5964,ks.,केएस,70
4487,lockyer.,लॉकयर,79
8571,jugosław.,युगोस्लाव,51
652,ambrozja,अमृत,98
4646,skierowanie,रेफ़रल,74
10734,nixon.,निक्सन,38
13453,artysta,कलाकार,12
7107,perf,पर्फ़,62
376,pseudonauk,छद्म,100
12645,dochodzenie,जाँच पड़ताल,15
7303,elastyczne,लचीला,52
12925,konstabl,पुलिसमैन,19
13903,tak jak,पसंद,5
11238,aresztować,गिरफ़्तार करना,17
11791,czechosłowacja.,चेकोस्लोवाकिया,29
5155,skos,तिरछा,62
14187,kontynuować,जारी रखना,5
10788,bangkok,बैंकाक,37
6876,tundra,टुंड्रा,64
13700,londyn,लंडन,12
11122,buccaneers.,जलदस्युओं,33
8192,streamery,स्ट्रीमर्स,47
1705,ute.,उटे,94
13138,kopnięcie,लात,12
2236,kongo.,कॉन्गो,91
6999,chesterfield.,चेस्टफ़ील्ड,63
6118,nowicjusz,नौसिखिए,67
2653,malathion.,मेलाथियान,89
12058,drobnostki,सामान्य ज्ञान,26
13587,jaskółka oknówka,मार्टिन,12
6977,popychany,पॉपअप,18
13137,oregon.,ओरेगन,17
7810,rubicon.,रूबिकॉन,58
10811,leonard.,लियोनार्ड,37
13363,liban,लेबनान,14
13195,masa,द्रव्यमान,15
10286,helikoptery,हेलीकाप्टरों,24
12752,końcowy,बाद वाला,20
9201,przystosowany,अनुकूल,19
12767,dekada,दशक,17
10832,przegląd,अवलोकन,36
446,niezdarny,अनैच्छिक रूप से,87
