ID,POLONAIS,KOREAN,INTERVAL
14364,reagan,레이건,34
1836,dziewictwo,처녀성,94
8776,mumia,미라,52
922,gwar,정력적 활동,88
7060,rurociąg,관로,61
1357,alkaliczny,알칼리성의 알칼리성,94
5319,pszczoły,꿀벌,34
8254,skrzypce,바이올린,56
2904,inverness,인버네스,88
11540,pielęgnować,기르다,31
9993,wszędzie,어디에나,44
6467,srebrzysty,은빛,68
12939,prawda,진실,18
12870,rekrut,신병,18
8877,ścieki,하수 오물,52
4786,tryptofan.,트립토판,79
5186,współczynnik,계수,71
2135,różaniec,묵주,92
840,marjorie.,마요리른,98
2454,stłumiony,차분해진,78
2092,deser,디저트,91
1026,buraczany,사탕무,94
2814,dekarboksylaza.,decarboxylase.,89
597,koloniści,식민지의,90
14491,zakup,구입,25
13688,milion,백만,11
9787,por,cf.,45
6148,genua,제노바,70
7504,hipoteka,저당,59
10292,awatara,화신,41
8999,dźwig,두루미,50
5719,manekin,가짜의,70
10514,zakupione,구입 한,25
10194,poddział,재분,40
4262,pachwina,샅,81
13977,chcieć,원하다,5
5571,stadia.,경기장,74
8835,stirling.,흩어져있는 것,53
2520,bankomat,atm,90
713,resorowany,튀어 나온다,98
7312,napier.,네이피어,62
11905,jowisz,목성,29
2495,debba.,바이,62
8047,frakcje,파벌,43
5025,kataloński,카탈로니아 사람,77
11526,afera,일,21
7286,przekonanie,확신,31
328,marynarka,블레이저,49
9602,sześćdziesiąt,육십,42
2366,crips.,끼움,73
11542,maroko,모로코,32
5665,milczący,침묵,40
11915,kampus,교정,29
8030,blanc.,블랑,58
12502,miejski,도시의,23
14054,pokazywać,보여주다,7
7317,madeleine.,마들리,62
13971,wskaźnik,비율,7
5673,modem,모뎀,69
11975,bramy,게이츠,21
12704,senatorowie.,상원 의원,13
11289,luther.,루터,34
13204,9.,9 일,16
10310,tajemnica,신비,33
1563,oceanian.,오세아 먼언,95
9854,kair,카이로,45
7405,klarnet,클라리넷,62
5965,prać,뒹굴다,57
2046,olimpijczycy,올림픽 과정,76
6441,podwodny,수중,68
13645,konkurencja,경쟁,11
9088,płyta winylowa,비닐,50
13899,dużo,많이,8
2369,polietylen,폴리에틸렌,91
8771,czyny,증서,48
1499,rogan.,로저트,95
13172,lis,11 월,17
7682,banjo,밴조,60
5406,strawić,요람,52
13908,jej,그녀의,9
9852,monarcha,군주,37
6897,ensemble,앙상블,61
12581,terrorysta,테러리스트,19
5271,słabsi,약자,55
14343,obecnie,현재,7
5124,śliwka,자두,76
9382,bębny,드럼,28
6470,warowny,확고히 하는,62
1480,obupartyjny,bipartisan.,95
9707,harmonia,조화,44
9781,trójkątny,삼각형의,45
11466,reorganizowany,재구성,27
8390,buc,동,56
3673,bergman.,베르 맨,85
8197,nieobecny,결석 한,57
11343,repost.,재 게시,34
9488,dżungla,밀림,46
13501,standard,기준,11
14515,chicago,시카고,11
6269,węglowodan,탄수화물,68
560,hymen,처녀막,99
1020,wykute,꾸민,97
9263,loc.,락트,49
3551,topeka,토피카,86
5022,w załączeniu,에워싸는,71
3005,metycylina,메티 실린,88
4698,zmierzyć,재다,73
3734,tramwaj,시가 전차,78
2237,tez.,테스,91
7134,huemul.,하프,63
14427,odpowiedź,응답,11
13457,technik,테크,14
2833,gobelin,태피스트리,88
12241,pablo.,파블로,26
3916,żołądź,도토리,81
11342,bezpodstawny,부당한,34
1187,refrakcja,굴절,83
4413,airmobile.,에어 모빌,81
13723,walka,전투,12
1789,szyjny,경추,94
13999,linia,선,8
6562,atol,환초,66
7337,luksus,사치,45
12069,młot,망치,26
6979,pilne,긴급한,58
88,suszarnia,가마,88
14421,rzecz,물건,8
11383,mnóstwo,풍부한,33
420,klinowy,설형 문자,100
12678,buchanan.,뷰캐넌,22
2342,makaron,국수,63
7274,malaria,말라리아,62
10527,natychmiast,즉시,39
13342,wahać się,망설이다,15
9299,abd.,아벨,49
13002,franczyzowa,독점 판매권,18
6192,kasowanie,지우기,30
11479,legislatura,입법부,29
14186,zajęty,촬영,8
11317,zapukany,노크를 두드리게하다,23
11316,ramię,어깨,30
2596,szata,옷,81
1583,fenyloalanina.,페닐알라닌,94
1844,kłusak,족발,91
4092,tutu.,투투,83
1905,złotnik,골드 스미스의,86
800,druid,드루이드,88
3848,jurysdykcje,관할 구역,50
4490,rad,라듐,80
7033,żebrać,팬 핸들,64
1770,layne.,둥근,94
7916,wir,소용돌이,58
9284,nieudany,실패했다,43
14442,zdecydowany,결정했다,7
11501,cypr,키프로스,32
2013,hals,압정,69
2851,rzeźbiony,새기는,71
10189,ustawodawstwo,법률 제정,24
14116,czerwiec,6월,6
4739,niekompetentny,무능한,64
12216,toyota.,도요타,26
14182,banki,은행,14
11092,ilustruje,일러스트레이션,13
1658,nada,나다,94
367,watchmen.,시계민,100
4909,serra.,세르 라,78
6654,afro,아프리카,66
3437,odgazować,데가,86
9219,gangster,갱 단원,48
1462,ogromnie,엄청나게,53
8943,aczkolwiek,그럼,52
9867,drogowskaz,푯말,44
12172,tysiąclecie,밀레니엄,27
13768,samo,그 자체,11
8850,skłonny,기울어 진,40
3956,przedmieścia,주택 지구의,83
12956,coroczny,연간,18
12416,chile,칠레,24
1899,centro.,센트로,93
4066,poligamia,다가미,83
14071,prawidłowy,오른쪽,7
68,odważnie,대담하게,100
5286,trois.,트로이션,75
12120,szlak,자취,18
9837,waterloo.,워털루,45
10345,testa.,종피,41
11188,pusty,비어있는,33
13192,wilson.,윌슨,17
7743,naszkicować,스케치,52
10323,przelew krwi,핏덩어리,39
7298,sceniczny,풍경화,62
5870,silverback.,실버 백,72
4367,przebudowy,재개발,62
4537,pfc.,일병,80
14181,trzeci,제삼,8
5033,alfabetyzacja,문맹 퇴치,77
6274,wac.,웨이스,69
2323,symbioza,공생,91
12852,las,숲,19
2798,łupek ilasty,혈암,89
11240,młyny,밀스,25
14027,plany,계획,11
6593,slums,빈민굴,65
4197,izomer,이성질체,68
9345,praca domowa,숙제,49
157,zszywacz,호치키스,100
2180,piknik,피크닉,91
14014,najmniej,최소,5
4411,rani.,라니,80
1001,met,메트의,97
8406,lak.,락크,56
2531,sherry,셰리,90
5599,amplituda,진폭,73
672,ocenę,overtones.,94
4742,zawstydzony,부끄러운,77
12227,narodziny,출생,13
1982,pula,공동 자금,92
11487,bronić,지키다,14
2154,epinefryna,에피네프린,91
8225,huk,하인 좌석,54
10525,malutki,매우 작은,39
8772,luterański,루터 신봉자,49
1671,mandarynki.,감귤,75
674,hagar.,헤가르,98
5848,friedman.,프리드먼,72
11675,północno-zachodni.,노스 웨스턴,31
10671,krwawy,피의,38
13787,śmierć,죽음,9
11833,konstelacja,별자리,29
4811,przekręcanie,와전,75
13919,obroty,매상,21
10569,monachium,뮌헨,39
707,slone.,슬론,98
7641,geo.,지오,61
10690,przerażenie,공포,38
3860,potomstwo,자식,84
10220,grzech,죄,36
5008,nieszczęście,불행,77
5014,masaż,마사지,76
9600,tyrada,rant.,39
6488,wichrowaty,뒤틀린,58
11390,szwedzki,스웨덴어,33
8049,skrzyknąć,소집,24
9134,janet.,자넷,50
10163,komunikować się,소통하다,8
12514,liverpool,리버풀,23
13107,dramat,드라마,17
9696,półka,선반,46
10812,rafa,암초,37
1037,uciekinier,탈피,96
6321,arcyksiążę,대공,67
11068,jajko,계란,33
7763,tb.,결핵,54
11274,rybak,어부,34
14165,miasto,도시,8
7539,taft.,햇을 쫓아 내다,62
12428,ewangelia,복음,24
14468,chce,원한다,5
7483,metraż,역 구내 사용권,62
14452,prowadzący,주요한,7
12218,sarah.,사라,26
7716,zwolniony,면제하다,50
12400,czysty,깨끗한,19
12885,zdrowie,건강,20
353,bilard,당구,92
7374,żyto,호밀,62
13364,przepraszać,사과하다,6
11746,nocleg ze śniadaniem,bb.,29
8389,fra.,프라,56
8590,morowy,기보,54
696,wack.,흔적,98
14510,skuteczny,효과적인,10
7304,parsons.,파슨스,61
4536,hipotetyczny,가상의,77
13004,odpowiedzialny,책임이있는,11
1256,ukłonić się,구운,36
5551,peso,페소,58
5137,illuminati.,일루미네이션,77
5000,wielokąt,다각형,68
215,całun,물리다,100
10400,springfield.,스프링 필드,40
5465,celsjusz,섭씨,74
8051,akron.,아크론,58
9800,witamina,비타민,43
4759,waldorf.,월 도프,79
6652,kreda,분필,65
12205,wybrać,선택하여,26
11086,sugerować,암시하다,23
13987,sprawa,사례,6
8421,persia,페르시아,55
3589,motocykle.,오토바이,25
5898,marksizm,마르크스주의,72
2827,choking.,질식,68
7817,plądrujący,약탈,49
1673,oswajać,친하게 하다,89
432,amani.,아마 니,100
13414,walczący,화이팅,6
3317,apteka,약국,84
1819,skidoo.,스키보드,93
7163,alchemik,연금술사,62
12394,mając na uwadze  że,반면,25
13964,cztery,네,6
10336,najmniejszy,가장 작은 것,41
14358,wydatki,지출,27
8549,fin,핀 사람,52
2842,chichot,킬킬 웃음,66
5131,foliowy,엽조,77
10287,chester.,체스터,41
942,zachwyt,황홀경,92
13478,jackson.,잭슨,14
5810,paproć,양치류,71
13310,rada,이사회,15
12668,terry.,테리 직물,22
7000,knuckles.,너클,61
4484,gracias.,그라 시아,80
2416,wrodzony,타고난,90
3404,wysypka,발진,84
6350,aloha.,알로하,69
12548,zabicie,죽이는,10
13245,jason.,제이슨,16
2107,ogień krzyżowy,십자 포화,92
3264,peptyd,펩티드,85
9899,wędrowiec,임시 과녁,32
11667,kogut,수탉,30
7721,apokalipsa,묵시,60
13707,boston,보스턴,12
13659,rezolucja,해결,12
13734,złoto,금,12
11430,trójca,삼위 일체,33
2937,szkodliwy,해로운,77
4927,millibary,밀리보르,74
12214,poprawki,수정,8
7212,ważyć,달다,45
4567,wiolonczela,첼로,79
11733,hasn.,해당,30
10171,nigdzie,아무데도 없어,42
825,kondominia,콘도미니엄,84
1140,przynęty,미끼,71
1915,pączki,도너츠,86
11673,fresk,프레스코,30
2928,grzecznie,민법상,88
11556,sól,소금,30
4697,schultz.,슐츠,78
8971,samotność,고독,51
12250,liściasty,잎이 많은,26
9099,umieszczenie,놓기,49
807,lancelot.,랑게,98
13484,ab,아브,13
11635,niejasny,불분명하다,31
1171,kłus,속보,88
5015,wewnątrzwydzielniczy,내분비,77
14131,czasy,타임스,5
13866,mógł,~할 수 있었다,7
2874,krasnoludek,레프 러 콘 요정,86
1704,ucieszyć,기쁘게 되다,94
5360,szkorbut,괴혈병,75
524,shri.,슈리,99
12433,turecki,터키어,24
9358,nieprawdziwy,올바르지 않은,49
314,wiatromierz,풍력계,100
13112,stolica,수도,12
2418,w dół rzeki,하류,91
8119,gladiatorowie.,검투사,45
8315,hinduski,힌디 어,56
10109,niezidentyfikowany,불확실한,42
6984,kolidować,간섭하다,37
10002,obrazowość,형상,43
5793,słuszność,형평성,71
9073,przemianować,이름 바꾸기,21
8411,porto,포르토,56
12164,wyciąg,승강기,16
6600,braterstwo,협동 단체,50
12499,terroryzm,테러,18
13029,unikalny,고유 한,18
6366,nestor.,좌석자,69
9108,jaszczurka,도마뱀,50
13017,północny zachód,북서,18
7882,silny,유력한,59
4939,kanoniczny,공란의,37
6632,marsylia.,마르세이유,59
8782,kliniczny,객관적인,43
8712,chomik,햄스터,53
633,atocha.,아토 쉐,99
14095,przeciętny,평균,10
2558,sao.,사오,90
3813,ment.,멘토,84
7560,ojciec chrzestny,대부,60
9103,potas,칼륨,51
5831,auf.,아프리,72
14370,oferowany,제안 된,14
11538,systematyczny,체계적인,27
3892,wiltshire.,윌셔들,84
13658,wydać się,~ 인 것 같다,9
13625,jasny,분명한,12
699,dag,가리비,96
8173,skromny,보통의,57
5655,stephane.,스테파네,73
2712,zachłanny,욕심 많은,89
854,soler.,솔레,98
12097,argumenty,인수,17
1430,darmowy,그럴 필요 없는,45
12271,rozpala się,해산,24
4945,nieograniczony,무제한,77
8825,dziennik,다이어리,47
1058,gorliwość,열성,97
10277,intelektualny,지적인,38
5062,vesuvius.,베수비우스,77
8755,dalszy ciąg,계속,48
210,maronite.,마구나라이트,100
8326,toksyczny,독성,45
1983,obróć,rutter.,93
9021,laguna,라구나,51
10768,posiew,씨앗,13
8714,zaskakująco,놀랍게도,53
13978,dzień,낮,6
1902,muzułmanin,모스크,83
3885,trądzik,좌창,84
883,subtelnie,미묘하게,97
3455,liza.,리자,86
11550,reprodukcja,생식,27
9105,miś,테디,51
4087,najemcy,세입자,61
12769,hampshire.,햄프셔,21
14135,dos,도스,5
14296,zakończyło się,끝났다,7
13713,morze,바다,12
5911,jezior,호숫가,72
1390,paraguayan.,파라과이 사람,90
13543,dał,주저하다,13
7065,syntetyczny,인조,62
5408,blanche.,블랜치,74
12143,ptak,새,24
7946,hurt,모조리,59
6528,dawki.,선량,48
2795,jeżyna,블랙 베리,89
11742,cesarz,황제,29
5473,nierówność,불평등,68
4224,hellenistyczny,헬레니즘,81
1135,bolivar.,볼리바르,97
7272,płacz,울음 소리,32
2279,kreolski,크리올 사람,91
1356,glenwood.,글렌 우드,96
3258,spurrier.,박차 제조자,88
6951,buick.,뷰익,64
11328,purpurowy,보라색,34
740,algebraik,대수인,98
8688,papryka,피망,31
3933,przedwcześnie,조기에,51
12219,audio,오디오,26
12735,całkowicie,전적으로,8
10969,tradycja,전통,17
12564,teatr,극장,22
11000,usta,입,34
3043,dalt.,달자,88
14492,futures,선물,8
11920,manhattan,맨해튼,29
3547,caldera.,칼데라,86
4250,syjamski,시암 사람,82
14121,zrobienie,만들기,5
799,snipes.,저격,80
6048,francuz,프랑스 선박,71
8237,orlik,비둘기 같은,56
5644,walc,왈츠,67
5312,cukiernia,과자,75
14480,grać,놀다,7
8111,epistoła,서간,56
3219,fleur.,이레의,88
14055,przychodzić,오다,7
6836,banknoty,지폐,35
11687,karta z punktami,스코어 카드,31
13569,obóz,캠프,12
3500,pan  władca,과부하,84
14367,obraz,영상,6
13732,niska,낮은,11
14117,zakres,범위,10
12255,kontynentalny,대륙,26
6859,zatrudnia,고용,21
4652,straszydło,보기,67
3046,fila.,필라사,88
2111,chłoniak,림프종,91
7135,przypomina,닮았다,38
4793,symetria,대칭,77
4247,tort,위법,79
11358,wszyscy,여러분,34
5132,bundy.,번디,77
3708,kadłub samolotu,동체,84
13418,uchwyt,보유자,14
3049,aura,영기,88
12975,emerytowany,은퇴했다,14
4627,gąbczasty.,봉인액,79
6403,matilda.,마틸다,68
4962,pomocniczy,보조자,77
3775,język miejscowy,전문 용어,84
6790,groszek,완두콩,44
8099,whisky,위스키,58
10641,rewanż,재 시계,38
10267,airways.,기도,40
9608,perfecto.,완벽한 사람,46
12717,wysłać,보내다,16
11015,bariera,장벽,34
7769,przysięga,맹세,56
10924,amy.,에이미,34
2127,marianne.,마리안 사람,92
7384,kadet,차남,46
5980,vila.,빌라,71
12740,feniks,불사조,21
13415,mateusz,마태 복음,14
11966,ministerstwo,내각,27
12679,stronniczy,치우친,21
10290,obywatelski,시민,40
13706,spodziewany,예상되는,11
1973,ahunt.,아 른,93
12024,blah.,바지,28
4006,populista,포퓰리스트 주의자,73
3246,indygo,남빛,88
10084,hipoteza,가설,43
9790,worcestershire.,우스터 셔,45
538,podlegający opodatkowaniu,과세 대상,99
1588,dominujący,우세한 것,75
5419,mejoza,감수 분열,75
9113,starr.,스타,50
4165,ziggurat.,지구라트,82
10039,azot,질소,42
11989,katrina.,카트리나,28
667,słyszalny,들리는,94
12288,sp.,...에 ...,25
10758,kasztany,uckeyes.,35
4359,czuły,다정한,67
3789,duży namiot,큰 천막,84
3668,sceptycyzm,회의론,55
13560,nauki ścisłe,과학,12
13067,brat,형제,12
422,podłużnica,세로보,97
10747,adwokat,변호사,36
927,impalizujący,임펠러,88
9850,hercules.,헤라클레스,45
10660,liliowy,라일락 꽃,38
5413,transcendencja,초월,68
10088,ognista pułapka,소방향,43
5671,syd.,시드,73
10736,annie.,아연,38
13254,azjatycki,아시아 사람,16
6472,hermes.,헤르메스,64
13354,starożytny,고대의,15
9636,whitney.,휘트니,47
11872,wolontariusze.,자원 봉사자들,16
1293,alhambra.,알 함 브라,96
10118,huh.,뭐,43
13873,każdy,어느,5
1308,swami.,스와미,94
11329,siedemnasty,17 세,34
3814,transatlantycki,미국인,84
8100,kart.,카트,56
10988,owoc,과일,33
2386,kontrkultura,반항적 인 것,91
5658,figa,무화과,70
10808,wzrósł,성장했다,38
7826,christine.,크리스틴,60
1270,archetyp,원형,88
4323,absynt,압생트,81
8763,wizjer,뷰 파인더,53
10013,kapryśny,변덕 스럽네요,43
12764,najgorszy,최악의,21
2238,carfax.,십자로,91
11113,algieria,알제리,36
8453,zatrucie,중독,36
4369,nieuprzejmość,무례,66
5877,zdyskredytować,불신,54
7379,sektory,부문,32
6175,wheely.,밑에서,68
14172,kod,암호,12
1005,synoptyczny,시놉시스,97
6771,latarnia,칸델라,63
6464,aukcja,경매,59
10318,massa.,매사,41
9586,kolęda,크리스마스 축가,47
11206,jutro,내일,35
1424,śpiewy,송아지,50
12167,delta,델타,27
12029,zabronić,금지,15
1298,lidia.,리디아,96
5986,monde.,몬드,71
8355,nieproduktywny,비생산적 인 것,56
3493,migotanie,눈빛,86
4923,przełożony,재조정 된 것,73
13714,mistrzostwa,챔피언,9
4731,bibliotekarz,사서,73
11945,jedenasty,십일,28
4392,akwarium,수족관,80
9261,degradacja,하락,42
12952,za chwilę,순간,17
8277,dentystyczny,이의,57
3563,eras.,시대에,16
10654,kuks,랩,33
6735,kocia ryba,메기,66
13903,tak jak,좋다,5
1596,upiec,빵 굽기,62
5702,biz.,빌딩,73
321,ślimakowy,와우각,100
3378,bankrut,파산 한,84
6519,skleroza,경화,68
11803,były,전,30
8340,olympia.,올림피아,56
1867,hydrostatyczny,정수압,93
583,żyroskop,자이로 스코프,96
12189,parker.,파커,26
1190,tycjanowski,티치아노,97
6124,amoniak,암모니아,70
11149,niebezpieczny,위험한,20
10954,nakreślony,윤곽선,30
1824,kac,숙취,92
9236,wstyd,창피,46
9047,szybowiec,글라이더,45
2877,dowcipny,재치 있는,88
2662,dominus.,도미 러스,90
12017,solo,독주,27
1881,apokaliptyczny,묵시록,81
1733,hyped.,하이퍼,57
5747,boucher.,바우처,73
6389,żel,젤라틴,66
2676,obalić,전복하다,90
13335,szósty,육분의 하나,15
9978,najważniejsze,하이라이트,21
5514,argh.,아진,74
3337,westfalia.,웨스트 팔렌,87
11476,ach.,아,32
9203,jamboree,흥겨운 소동,49
6576,emu,에뮤,65
8330,wschód słońca,해돋이,56
8487,lodowiec,빙하,50
13160,światowy,글로벌,16
2878,bogan,보글,88
13395,kolor,색깔,12
12450,kaczka,오리,20
7156,nicky,니키,63
5112,ser.,사무소,77
9107,suplement,보충,37
13399,gorąco,더운,14
10651,opcje,옵션,7
10238,szambelan,시종,42
128,gadać,끽끽 우는 소리,97
12119,krążenie,순환,23
13261,encyklopedyczny,백과 사전,16
7005,akustyczny,음향학,59
10521,ubóstwo,빈곤,39
8559,tis.,티스,41
1479,cagayan.,카가 야,95
1365,terre,터리,96
10037,postrzegany,지각하다,39
9262,zapaśnik,레슬링 선수,42
14415,r,아르 자형,9
4064,chuligaństwo,난폭,62
8845,malarz,화가,50
2887,traumatyczny,외상성,86
2071,czerniak,흑색 종,92
10856,cukierek,사탕,37
4756,haute.,오트,72
7789,przymiotnik,형용사,54
12461,mundur,제복,20
13516,istotnych,관련있는,12
13388,nacięcie,새긴 ​​금,14
8760,anaboliczny,단백 동화의,52
8631,owieczka,어린 양,50
11397,wywnioskować,유추 된,30
12324,columbus.,콜럼버스,25
2463,bashing.,부싱,51
7592,widocznie,분명히,11
8269,wynajem,임차료,46
1602,anglikanizm,성공회,41
11049,uzasadniać,신이 옳다고 하다,24
4959,bezzałogowy,무인,77
8814,tracz,하늘소,52
14212,opłaty,요금,14
9968,czerwony pieprz,칠리,44
3576,płytka,타일,62
11520,darwin,다윈,31
12698,odgadnąć,추측하다,20
2666,dąbrówka,나팔,88
5495,pharos.,파로스,74
8256,garth.,어량,57
3407,sekwoja,세쿼이아,83
3928,przesmyk,isthmus.,84
7499,pulpit,데스크탑,62
2075,bront.,흑기러기,92
6113,katastrofalny,재앙의,55
10103,wątek,실,38
13149,szef,셰프,13
12257,podejrzany,의심하다,16
4978,wolfram,텅스텐,77
11873,winnipeg,위니펙,29
12875,zapach,향기,20
12686,uporządkowane,정돈하다,22
6174,kiwi,키위,64
9164,obcasy,뒷굽,43
13690,pieniądze,돈,12
8106,premiera,첫날,18
413,politeizm,폴리에틸스,100
11352,dziesiętny,소수,30
4950,etymologia,어원,65
2484,syjam,시암,90
2379,trwać,계속해,84
8318,podszycie lasu,나무 밑에,56
1068,odurzony,술에 취한 것,75
12590,islam,이슬람교,15
3158,lowery,낮은 것,88
9617,fu.,부,47
309,barki,바지선,77
14387,krótki,짧은,9
2291,stront,스트론튬,91
7080,centryczny,중심,63
7452,mleczny,젖을 섞은,62
8528,cadillac.,캐딜락,54
2543,spłaszczony,단조롭게 하는,85
13538,zgodność,규정 준수,13
8459,skarbiec,국고,55
4050,sutra.,경,80
8032,bates.,베이츠,57
7034,rozpuszczalnik,용제,58
1521,uciekanie się,의무,94
11255,chemia,화학,35
4360,zadrapanie,스냅,34
13943,wyłączony,끄다,8
12732,basen,수영장,20
12547,wymieniać się,교환,21
9691,herman,허먼,46
3424,tabu,금기,84
5474,istotny,현저한,74
12639,maksymalny,최고,22
6342,podejrzeć,탐정,67
1432,nav.,탈북자,95
1764,bloker.,차단기,84
41,wielomówność,말씨,100
8176,przecinek,반점,48
2909,kredens,찬장,88
11608,płaszcz,코트,27
11029,zmarły,없어져 버린,37
9027,błoto,진흙,51
5903,ptasia,조류,71
13796,w,~에,5
7639,zabezpieczenie,서로 나란한,60
12030,wyrażenie,구절,22
8294,rousseau.,루무치,56
13738,jim,짐,12
9369,termiczny,열의,48
11613,mech,이끼,31
3942,eksploatowany,착취 당함,41
1660,karp,잉어,83
10684,christie.,크리스티,36
2788,rembrandt.,렘브란트,89
11070,udowodniony,입증 된 것,35
12034,talkie,발성 영화,27
910,toru,토루,93
8230,yukon.,유콘,57
12753,windows.,윈도우,11
7168,okazać się,투표율,62
13345,ćwiczyć,관행,12
13860,mówi,말한다,8
7589,wysypisko,덤프,43
4432,glutaminian,글루타메이트,78
13532,poprzednio,이전에,13
10921,piramida,피라미드,32
14072,zamówienie,주문하다,9
6008,mandarynka,만다린 오렌지,71
13506,poczta,우편,13
6081,lex.,법률,71
13140,szwecja,스웨덴,17
8350,ideologia,관념론,42
3705,maniaks.,미치광이,47
4001,pozłacany,화려한,83
13227,produkcja,생산,8
6348,kobalt,코발트,69
9470,odosobniony,외딴,39
12605,tajlandia,태국,23
11705,isaac.,이삭,30
1325,chlorofil,엽록소,96
5925,deszczowy,비오리,71
10964,wydać,경비,27
1124,nawóz,비료,97
10411,morał,도의적 인,31
10421,matryca,행렬,40
7314,malkin.,칼틴,62
5471,libertarianin.,자유주의 자리,62
711,niedźwiedzia przysługa,해,98
12672,dwanaście,열 두번째,22
10902,bojkot,보이콧,35
1333,nigdy więcej,절반,96
7282,owad,곤충,58
5977,nicht.,틈새 시장,69
6699,granger.,농군,66
1272,taseed.,조정했다,65
12990,taniec,댄스,15
11973,nancy.,낸시,28
7624,dekret,법령,52
