ID,ENGLISH,RUSSIAN,INTERVAL
1981,herbicide,гербицид,89
1046,bodice,лиф,86
6553,dak,дак,67
4622,cannibalism,каннибализм,62
4765,rum,ром,78
7285,abigail,абигал,62
6821,screened,скринированный,18
11850,happens,случается,11
5695,cyclamen,цикламен,73
14079,become,становиться,8
4794,herschel,гершель,78
4111,shortening,сокращение,36
11793,notify,уведомлять,25
9949,surrounded,окруженный,24
9832,cab,такси,44
12019,oxford,оксфорд,28
13119,thousands,тысячи,14
3979,torchwood,факело,83
4878,wah,вау,78
6338,rpm,обороты,69
8929,nazism,нацизм,51
10272,shanghai,шанхай,41
13744,depression,депрессия,11
12501,homer,гомера,21
11058,hugh,хью,36
13908,her,ее,9
8815,obverse,лицевой,52
13577,young,молодой,12
11618,yorkshire,йоркшир,31
1966,clough,мучить,93
11935,physics,физика,7
2798,shale,сланца,89
7562,ponce,понсель,61
10682,alias,псевдоним,34
1379,nahuatl,нахуатл,96
14501,authorities,власти,9
8306,paired,сопряженный,20
9574,wally,уолли,45
8875,sphinx,сфинкс,52
2142,vacuole,вакуол,92
5181,implant,имплантат,69
13180,columbia,колумбия,17
2231,brownie,пирожный,88
7253,cheating,списывание,46
11533,curious,любопытный,32
1845,bown,засекание,93
13711,islands,острова,9
774,fv,фв,98
4919,pericles,перицы,78
14038,mr,мистер,11
10707,canyon,каньон,38
12203,liberal,либеральный,16
8209,elle,элли,55
972,gynecomastia,гинекомастия,97
11242,lay,класть,31
7622,improper,неправомерный,61
575,seaside,приморский,99
10230,romanian,румынский,42
9272,albion,альбион,49
13177,poll,опрос,14
10209,bet,держать пари,36
3369,riff,рифф,81
4722,archaic,архаичный,78
12524,julian,джулиан,23
14461,takes,принимает,5
11613,moss,мох,31
2443,assigns,назначать,12
6784,slid,скользнуть,66
3241,sykes,сиденья,83
1664,chairmen,председатели,94
10689,mainland,материковая часть,38
920,watercolor,акварель,97
14024,quarter,четверть,9
7424,wisdom,мудрость,62
6410,discourse,дискурс,68
870,unwise,неразумный,94
3136,roper,репер,87
7391,rip,рвать,43
12657,indianapolis,индианаполис,22
12077,thirty,тридцать,27
8081,radius,радиус,57
8986,aba,аба,49
12890,label,этикетка,14
2864,estrogen,эстроген,87
12748,sri,шри,21
11556,salt,поваренная соль,30
88,kiln,кильн,88
10199,spoke,говорить,41
14363,robert,роберт,11
6349,tacoma,такома,69
1460,unequal,неравномерно,93
14347,effort,усилие,7
5059,vinny,винни,77
8435,killers,убийцы,33
11403,expert,эксперт,24
4055,pretext,предлог,80
12572,rome,рим,23
13430,rose,роза,13
12887,louisiana,луизиана,20
2105,sag,пропасть,84
4266,primus,примус,82
2692,adrenal,надпочечник,89
9469,jade,нефрита,47
6990,mortars,минометры,38
14349,provided,предоставил,6
11076,musicians,музыканты,21
11159,russ,равна,35
728,dugong,дугонг,97
7099,treason,измена,62
2564,salma,сальма,90
353,billiards,бильярд,92
12795,dame,дама,20
3212,wallpaper,обои на стену,84
4746,dx,дх,78
1679,uphill,в гору,94
12840,auburn,увлекать,20
6294,protagonist,главный герой,62
9505,sally,салли,47
8343,cougar,пустяк,33
13512,crown,корона,13
12922,proof,доказательство,18
4791,unearned,нерешено,78
14101,country,страна,8
1212,gosh,гош,96
8276,pike,щука,50
5883,constituency,избирательный округ,49
262,scant,оздоровлять,100
8322,chow,чау,55
4795,mw,мт,78
5669,leprosy,лепроси,73
8250,expelled,выгнал,50
9892,platinum,платина,44
9569,stole,украл,47
8624,herpes,герпес,53
372,perks,перки,96
1185,niacin,ниацин,96
9694,mascot,талисман,41
655,rockers,рокеры,72
7715,dynamics,динамика,24
2893,shetland,шетланд,88
450,asker,азернер,100
11906,sprint,спринт,27
2913,pampas,пампас,85
7792,abide,противодействовать,31
2098,blackwater,черная вода,92
1060,spoons,ложки,50
14227,return,возвращаться,9
13420,marine,морской,12
11728,milan,милан,30
9686,daddy,папочка,46
7916,eddy,эдди,58
10407,hardcore,хардкор,40
7090,vaccine,вакцина,53
4355,logically,логически,25
9252,metric,метрика,47
3984,acropolis,акрополь,83
9579,tango,танго,47
11243,filter,фильтр,31
8301,realistic,реалистично,49
4116,dui,дуй,82
4113,tendentious,тенденциозный,82
1706,intermission,посредничество,94
12042,punk,панк,27
13087,metal,металл,17
9411,mat,мат,37
4223,shaded,затененный,45
11822,beback,вернуться,29
13406,valley,долина,14
344,hydroxyl,гидроксил,84
9322,outdoor,на улице,44
347,postman,почтальон,100
12915,touchdowns,приземление,9
9332,polly,полли,49
8203,greenland,гренландия,57
12646,price,цена,18
6479,coding,кодирование,12
11800,lightning,молния,29
3018,levin,левин,87
7560,godfather,крестный,60
1221,compensatory,компенсатор,96
9132,erosion,эрозия,50
395,chubby,круглолицый,100
8831,joyce,джойс,52
4360,snapping,присматривающий,34
10971,jackie,джеки,35
876,germs,гроды,77
8437,dare,посметь,47
2828,unprotect,незащитник,50
4893,easiest,проще всего,78
7467,transparency,прозрачность,45
5904,levitation,левитация,70
3605,dashboard,панель приборов,84
9455,throws,бросать,19
3245,agonist,агонист,78
7946,wholesale,оптовая,58
3417,sagan,саган,86
2045,roundabout,круглосуточный,92
5900,tele,телегариатор,71
13361,model,модель,12
14376,managers,менеджеры,9
5643,carboxy,карбокси,73
12451,database,база данных,23
8480,implications,подразумеваемое,40
340,grandparents,бабушка и дедушка,79
1627,flax,льна,94
12263,temple,храм,25
2936,comrade,товарищ,63
7751,stomach,желудок,58
9198,yearly,годовой,50
14287,final,финал,7
7308,pork,свинина,62
9615,summarize,суммировать,37
11307,profile,профиль,29
12631,gray,серый,22
7199,policeman,полицейский,63
792,electrolyte,электролит,95
12421,austin,остин,24
422,stringer,стрингера,97
10757,gauge,измерять,37
9241,nomen,без мужчин,49
4616,lat,лат,78
4855,gatsby,гэтсби,78
1153,inane,нанесение,94
3339,hostel,общежитие,82
9314,berkeley,беркли,49
7387,brasil,бразил,62
9710,restoration,реставрация,9
888,nifty,нефти,97
9996,steadily,неуклонно,43
12309,variety,разнообразие,22
13300,raised,поднятый,13
927,impaler,бессмысленность,88
9692,fifteenth,пятнадцатый,46
14252,server,сервер,6
5555,samsara,самсара,74
10247,measured,измерено,18
3075,mythical,мифический,87
9086,defensemen,офиги,51
8792,zeus,зевс,52
8324,conduit,трубопроводок,55
8942,devastating,разрушительный,38
4429,thorn,терновый,76
2486,coney,кони,90
4814,invaders,захватывающие,31
9713,gothic,готика,46
4483,mane,мани,76
245,administer,администрирование,50
4141,ultrasound,ультразвук,82
1285,induce,индуцировать,50
550,sumatran,суматран,99
7518,crossover,кроссовер,58
8722,cowboy,ковбой,22
2991,aint,inint.,88
5309,sprinter,спринтер,59
5392,smells,пахнуть,50
3864,grandpa,дедушка,83
4565,quarl,катер,78
9864,sig,сиг,44
11953,alberta,альберта,28
10466,stretch,протяжение,30
12299,grounds,основания,12
1674,atonement,искупление,81
11880,berger,бергера,29
11427,sister,сестра,28
1921,mucus,слизь,93
10020,kashmir,кашмир,43
10909,rochester,рочестер,37
10099,petersburg,петербург,43
7130,garnett,гарнетт,63
9160,wha,важно,50
4161,myall,мое все,82
2956,parole,досрочное освобождение,82
11633,ec,энтук,31
5525,retreating,отступление,32
1650,vibrant,вибрантность,94
1480,bipartisan,бипартисан,95
5430,muffin,маффин,73
11537,derivative,производная,19
6318,buttocks,ягодицы,67
5324,nana,нана,74
13552,applies,применяется,10
7806,alfonso,альфонсо,59
12972,enemy,враг,17
5906,cyclops,циклоп,72
9776,psychedelic,психоделический,42
6216,beatrice,беатрис,70
13107,drama,драма,17
3941,peek,заглядывать,80
327,kimono,кимоно,98
8809,polka,полька,52
11805,cuban,кубинец,29
14350,meet,встретиться,10
8560,insufficient,недостаточный,52
5855,maori,маори,67
12868,norway,норвегия,20
5445,galactic,галактик,74
3049,aura,аура,87
5811,thermometer,термометр,72
12335,ace,туз,22
9250,skull,череп,48
5623,mediocre,посредственный,71
8200,lite,лишать,56
3804,aspirin,аспирин,84
10871,terrible,ужасный,33
5033,literacy,грамотность,77
9890,sacred,священный,44
4071,melatonin,мелатонин,83
9229,imperative,императив,49
1363,nig,ниг,96
4788,halas,халас,74
4341,aesop,эзоп,81
10188,notification,уведомление,41
14164,makes,производит,5
4789,veracity,правдивость,78
2673,polymerization,полимеризация,87
4718,moisture,влага,78
1457,tabor,табор,94
5557,taurine,таурин,74
8863,woody,древесный,51
10343,loser,неудачник,33
5601,ritter,ребро,73
6111,nemesis,немезис,70
7738,unverified,неверно,45
12976,anderson,андерсон,19
4409,bethel,ветль,81
13076,society,общество,17
6978,darcy,дарси,64
12624,tornado,торнадо,20
12213,steelers,стилерс,26
13877,may,может,5
2543,flattened,сплющенный,85
10355,stress,стресс,35
4541,gymnasium,гимназия,78
3464,woes,беседы,83
14217,again,снова,5
13605,water,вода,12
9779,devonshire,девоншир,45
3344,hairstyle,прическа,73
9044,prophet,пророк,45
8389,fra,фраг,55
14237,known,известен,9
13843,all,все,6
11994,expanded,расширенный,16
10937,sandy,сэнди,37
13403,business,бизнес,13
12702,rewrite,переписать,17
7922,necessity,необходимость,57
11140,load,нагрузка,21
12268,muslim,мусульманин,20
8280,blockade,блокада,52
7701,reg,рег,60
2752,floral,цветочный,89
657,sequoia,секвойя,96
3317,pharmacy,аптека,84
8328,cubic,кубика,55
2104,symphonic,симфонический,92
8706,motivation,мотивация,28
8517,iris,радужная оболочка,54
13541,soviet,советский,12
9942,herself,саму себя,44
7042,certification,сертификация,40
5452,kan,кан,74
2121,desecration,осквернение,87
9867,signpost,указатель,44
10162,difficulties,трудности,31
12334,gibson,гибсон,25
261,freemasons,масоны,92
3974,frigate,фрегат,78
13870,most,большинство,7
7028,cheyenne,шайенн,63
3012,precincts,участки,67
1685,phallus,фаллос,94
12231,novels,романы,13
4624,grint,ворс,79
4453,spaniel,спаниель,80
10709,mathematical,математический,20
3343,mitosis,митоз,87
2839,pont,понция,88
4228,chirps,чистота,78
10070,tired,устала,25
1512,penang,пенанг,95
957,platelet,тромбоцит,91
5334,propane,пропан,75
4935,miserable,убогий,65
6243,nomenclature,номенклатура,69
7613,honorary,почетное,61
3735,bucephalus,буцефал,85
2120,chitty,церковный,92
6524,everglades,эверглейды,67
4451,mangrove,мангровая,80
4031,cookies,печенье,23
7423,angelina,анджелина,62
9125,wooden,деревянный,50
14343,currently,в настоящее время,7
9273,deforestation,вырубка леса,48
6001,dunkirk,дюнкерк,71
1280,bleed,кровотечение,46
11419,buy,купить,29
11264,semifinals,полуфинали,28
1284,mala,мала,96
10804,surrender,сдаваться,27
6610,mentor,наставник,65
7251,atop,атоп,62
1976,legionnaires,легионеры,89
7629,amish,амиш,61
12882,alpha,альфа,20
7474,netball,нетбол,62
11119,fi,фигурировать,36
10697,lw,промежуток,38
10224,cobb,колючий,41
9848,mit,мит,44
13979,found,найденный,6
2594,pursuant,в судебном порядке,89
10344,diet,рацион питания,39
11934,jamaica,ямайка,28
2960,concession,уступка,64
6228,plummer,палата,70
672,overtones,обертоны,94
11983,citizens,граждане,23
13284,8th,8.,16
3099,hijacked,угнал,49
11250,bonds,облигации,19
9504,eruption,извержение,36
3474,painlessly,безболезненно,86
8167,entrants,абитуриенты,51
682,bogged,увязшийся,70
5803,casus,касус,72
9436,copenhagen,копенгаген,48
9023,newer,новее,51
10926,monument,памятник,33
7194,presbyterian,пресвитериан,61
14293,california,калифорния,9
1902,moslem,мусульман,83
8803,pong,понг,52
5084,thieves,воровство,75
12833,steel,сталь,19
12902,forget,забывать,19
8871,penny,пенни,51
10611,diesel,дизель,38
6465,caracas,каракас,68
12876,greatest,величайший,20
5450,visitor,посетитель,9
2368,anil,анил,91
7386,acetate,ацетат,53
9640,thames,темза,46
1916,manifolds,многообразие,64
14052,better,лучше,10
9131,archimedes,архимед,50
11190,piracy,пиратство,35
5486,isaiah,исаия,74
14271,really,действительно,9
2202,lindy,линди,91
7830,achilles,ахиллес,59
11931,ages,века,12
1746,baka,бака,93
7881,qualifications,квалификация,21
14304,fall,падать,12
10803,taste,вкус,35
1926,countess,графиня,93
1444,diacritics,диакритики,88
11665,mason,мейсон,29
10141,activists,активисты,35
9788,breakfast,завтрак,44
481,unison,унисон,99
13479,turn,перемена,9
10647,bacquet,бакщ,38
4007,ravaged,разоренный,76
7924,shotgun,дробовик,56
12716,technical,техническое средство,15
7603,embargo,эмбарго,58
2471,interlanguage,межъянга,90
6937,textbook,учебник,51
3059,vehemently,яростно,84
4752,audacity,мужество,78
8486,wrapped,закудал,38
7143,foo,фюра,63
4513,darby,дарби,80
6951,buick,побуждать,64
13467,permission,разрешение,13
14178,european,европейский,10
9781,triangular,треугольный,45
10402,fled,бежал,40
5151,sportsman,спортсмен,76
4750,cambodian,камбоджин,76
13545,statement,утверждение,11
2168,conspicuous,залитый,86
907,metallurgy,металлургия,97
13199,inconvenience,неудобство,16
1252,skit,скит,86
11247,spears,копья,30
8284,redeployed,перераспределен,50
8364,nucleus,ядро,56
3178,decorative,декоративный,37
12241,pablo,пабло,26
2972,airman,артикул,88
1232,bromide,бромид,95
4389,irrevocably,безвозвратно,79
6750,caucus,кавром,66
10236,ko,коататор,40
3269,piled,свалил,48
8659,incidentally,кстати,51
4121,paved,мощеный,60
13667,nothing,ничего,12
1401,margarita,маргарита,95
11145,mermaid,русалка,35
9803,importantly,главное,45
947,cumulus,кумулюс,97
487,exaggeration,преувеличение,60
2638,archers,лучники,56
8713,taiwanese,тайваньцы,53
9511,erin,эрин,47
3123,anion,анион,87
9915,dover,дувр,44
4705,spearheaded,возглавлять,61
13892,before,до,6
1323,annals,анналы,96
11448,facing,облицовка,12
5896,waterfront,набережная,72
6635,zonal,зонал,67
2961,ancestor,предка,67
13616,visit,посещение,11
2563,boar,кабан,89
11751,volume,объем,27
2655,pathan,патан,89
3375,bouncing,подпрыгивание,42
10315,sand,песок,34
14012,might,мощь,6
5618,fife,файф,73
6592,craven,крашество,67
3715,dishwasher,посудомоечная машина,81
10152,pocket,карман,38
12133,thursday,четверг,26
6859,employs,нанимает,21
2823,utmost,все равно,88
834,brassiere,лифчик,95
5660,coffin,гроб,70
10000,om,ом,43
6197,foe,вражда,56
6632,marseille,марсель,59
11467,thereby,тем самым,33
3953,beret,берет,72
7594,grandfather,дед,60
2130,interlaced,взаимодействовать,78
1659,smoker,курильщик,80
8499,medina,медина,55
1383,inorganic,неорганическое,96
9699,curling,вьющийся,41
10468,assumption,предположение,35
13673,jersey,джерси,12
13478,jackson,джексон,14
13441,map,карта,12
7215,tyrannosaurus,тиранозавр,63
3177,cough,кашель,80
11683,prefer,предпочитать,9
2667,oligarchy,олигархия,89
9969,shifted,сдвинутый,17
6519,sclerosis,склероз,68
5433,collie,колли,71
2381,bullock,буллок,89
6022,excerpt,выдержка,57
12305,maria,мария,25
11090,qatar,катар,36
11303,competitors,конкуренты,29
12067,pillars,столбы,26
1755,surreal,сюрреалистики,63
11213,astral,астрал,35
10028,ballot,избавление,36
13125,artwork,произведение искусства,17
5772,extract,извлекать,36
2310,disrespectful,неуважительно,72
7198,recoil,отдача,62
11833,constellation,созвездие,29
5879,showcase,витрина,55
2533,heroism,героизм,90
10686,lotus,лотос,38
11505,application,заявление,20
4595,boosted,повыситься,45
13211,yankees,янки,13
7063,loyalist,лоялист,55
6625,coyote,койот,51
2827,choking,задыхаясь,68
1661,avionics,авионика,87
9141,booker,блантер,50
14036,home,дом,7
1488,historiography,историография,94
10946,pride,гордость,37
8703,discover,обнаружить,9
1026,beet,свекла,93
4330,grimes,граймс,78
9143,waf,вариант,50
4733,coolest,прохладный,78
229,dispersion,диспергирование,45
5757,screwing,прикручивать,38
12173,eleven,11,26
2971,undertaking,предпринимать,51
7054,persuaded,убедить,49
12823,creative,творческий,20
7743,sketch,эскиз,52
7209,biosynthesis,биосинтез,63
3019,detergent,моющее средство,87
10633,minneapolis,миннеаполис,38
315,loner,одиночка,100
7300,thesis,тезис,62
6606,fancy,изысканный,60
3263,possesses,обладает,19
9068,handball,гандбол,49
11838,che,черта,29
5893,vent,вентиляция,61
13971,rate,ставка,7
13157,gif,дар,17
11584,churchill,черчилль,31
2861,canes,тросточки,56
11945,eleventh,одиннадцатый,28
6892,fijian,фиджийский,65
701,ellipse,эллипс,93
11542,morocco,марокко,32
8629,mole,крот,52
3374,framed,оформленный,23
4990,jaws,челюсть,58
5010,chun,чунь,77
1565,missourians,мисурианс,87
10608,gandhi,ганди,39
8210,graf,граф.,57
7846,biennial,двухгодичный,59
3213,filler,наполнитель,82
13802,with,с,5
1055,discoverers,первоклассники,71
11933,airlines,авиакомпания,24
6170,sweatshop,потогонный,70
3506,radix,редикс,86
914,merton,мертон,97
2788,rembrandt,рембрандт,89
117,fluke,флюк,98
4655,revisit,пересмотр,63
7182,widow,вдова,58
11492,typical,типичный,23
9700,parody,пародия,38
149,urgency,острая необходимость,100
6649,connie,конни,59
11466,reorganized,реорганизован,27
11828,outer,наружный,29
5353,bataan,батаан,75
12965,comet,комета,18
9925,leicester,лестер,44
8160,pythagorean,пифагорейский,57
1242,stain,пятно,62
5571,stadia,стадиа,74
8378,temp,преданность,45
13245,jason,джейсон,16
1305,oscillator,осциллятор,62
13739,super,супер,12
9903,ethanol,этиловый спирт,44
13973,called,называется,8
8104,pics,фото,35
8953,weaver,у ткани,50
8906,hector,гектор,51
13766,plus,плюс,12
4818,saul,саул,77
2376,ascertain,выяснить,79
294,fruitless,бесплодный,100
602,raucous,радужный,99
5331,deadlock,тупик,67
13097,categories,категории,6
3781,deepest,самый глубокий,84
934,crucifixion,распятие,97
9780,stern,кормовой,45
13419,prior,прежний,14
9410,inadvertently,непреднамеренно,47
3147,culver,выгодность,88
6008,mandarin,мандарин,70
2517,southland,саутланда,90
14049,recent,недавний,5
13789,cheers,ваше здоровье,11
2326,carole,карол,42
5255,module,модуль,47
13089,robot,робот,16
1631,vulva,вульва,94
5697,methane,метан,73
1954,malfunction,неисправность,74
13404,together,вместе,14
6888,leukemia,лейкемия,65
14149,single,одинокий,9
13680,bit,кусочек,12
880,halide,галогенид,95
10054,spaghetti,спагетти,43
12475,missile,ракета,20
7667,chung,чугун,60
9418,slip,соскальзывать,35
2750,batten,батант,88
10037,perceived,воспринимается,39
13521,award,награда,9
4205,retro,ретро,82
9767,plants,растения,15
13881,used,использовал,5
14167,family,семья,12
6609,ancestry,предков,66
11187,paraguay,парагвай,35
9706,moses,моисей,46
2797,psychic,психический,87
5532,cypress,кипарис,74
12055,jefferson,джефферсон,27
12001,paid,оплаченный,28
13348,nd,поведение,15
11413,rolling,прокат,18
13706,expected,ожидал,11
8965,sensible,разумный,47
11461,span,охватывать,28
2396,drone,дрон,84
6313,pauline,паулина,67
9971,labrador,лабрадор,44
3748,slippery,скользкий,84
10476,switched,переключаться,23
6857,alzheimer,альцгеймер,65
13151,advance,продвигать,11
7564,becket,беккет,61
12687,iron,железо,19
8479,salad,салат,54
2696,cortina,кортина,89
6740,pineapple,ананас,66
2985,charitable,благотворительный,87
151,warmth,тепла,100
10299,syntax,синтаксис,41
10463,reallocated,перераспределенный,39
13328,artillery,артиллерия,15
13982,development,разработка,10
7796,irony,ирония,59
10498,rewritten,переписан,39
11486,sheffield,шеффилд,32
4394,mongols,монгольс,53
11829,ion,ион,29
10190,altogether,вообще,42
2867,overboard,за бортом,88
9206,riverside,реки,50
5375,sacrificed,пожертвовал,68
6049,utrecht,утрехт,71
4139,northwards,на север,33
10379,drought,засуха,39
2851,carved,резной,71
6734,damascus,дамаск,66
9988,oval,овальный,43
11089,uncle,дядя,36
4927,millibars,миллибары,73
9094,dial,набирать номер,44
14345,above,выше,8
6507,espionage,шпионаж,68
6618,saigon,сайгон,67
14493,seems,кажется,9
8255,welfare,благосостояние,56
13233,semi,семи,16
6033,robbery,ограбление,67
14353,described,описанный,9
14039,however,однако,6
11000,mouth,рот,34
10980,upgrading,модернизация,21
2958,sorority,соронить,63
4198,phosphatase,фосфатаза,82
12528,wood,древесина,18
12440,bruce,брюс,24
1441,aramaic,арамейский,95
13993,five,пять,9
5413,transcendence,трансцендентность,68
7766,bullying,издевательства,44
2680,ugandan,угандин,88
11717,harvey,харви,30
167,tigon,тигон,100
5931,sai,сай,71
13872,because,потому что,7
9583,paradise,рай,47
12743,max,максимум,21
12720,horse,лошадь,19
162,kana,кана,99
179,repatriation,репатриация,82
12815,republican,республиканец,18
11176,authors,авторы,9
1054,teng,тэн,96
6199,uncommon,необыкновенный,70
3362,stems,стебли,38
11852,suck,отстой,22
12611,tokyo,токио,22
11595,ussr,ссср,31
9181,stockholm,стокгольм,50
9672,solve,решить,30
12142,escape,побег,21
8321,cystic,цистик,56
7871,lim,лим,59
5919,deity,божество,61
5860,roach,плотва,71
6957,stealth,стелс,65
12707,stone,камень,18
7687,macao,макао,60
13434,brought,принес,14
8616,frontal,фронтальный,54
13730,spanish,испанский язык,12
11712,emily,эмили,30
3552,spacious,просторный,86
9499,poop,какать,45
9718,tonga,тонга,46
2450,retracted,утомительно,64
12997,hamilton,гамильтон,19
11634,bard,бард,31
7306,pimp,суперизм,61
2990,incentive,стимул,73
9101,flank,фланга,43
8091,paso,пасо,57
3450,footer,нижний колонтин,83
3565,puzzled,озадаченный,42
1822,stiles,стабильство,91
13411,bridge,мост,13
9168,throne,престол,49
13778,wales,уэльс,11
5950,danube,дунай,71
8520,posed,поставленный,38
4860,guillotine,гильотина,78
7275,cassette,кассета,60
4946,reiterated,подтвержден,56
10787,medieval,средневековый,38
7967,consciousness,сознание,55
9919,bart,барт,44
4553,alai,алай,80
12523,squad,отряд,19
12724,injury,травма  повреждение,16
5645,strangers,незнакомцы,52
3531,wetland,водно-болотное угодье,80
3170,tyranny,тирания,82
7509,witchcraft,колдовство,62
769,goshen,госу,98
13466,overall,в общем и целом,14
3925,gu,гу.,84
11095,overseas,зарубежный,36
2369,polyethylene,полиэтилен,91
11528,phi,фиг,32
12110,focus,фокус,27
5246,picard,пикард,76
11541,singh,сингл,32
11908,unusual,необычный,25
11280,freshman,первокурсник,34
6411,ditto,дитто,68
311,sari,сари,97
619,tracker,трекер,89
10945,ape,преодолевание,35
6105,retake,приостановка,65
5677,unconfirmed,неподтвержденный,73
10088,firetrap,огненная ловушка,43
12762,eagle,орел,14
10981,concentration,концентрация,25
2984,cong,коврик,88
6255,shook,потрясать,69
4831,abolition,отмена,78
7740,karate,каратэ,58
11596,rex,рекс,31
5040,corby,критик,76
9662,eiffel,эйфелева,46
8984,recruit,принять на работу,23
4866,horsemen,всадника,78
12262,raiders,рейдеры,24
11898,rapid,стремительный,24
8413,casual,повседневная,51
11599,peer,вглядеться,29
2405,pomeranian,поморский,89
10667,vector,вектор,38
11501,cyprus,кипр,32
2596,robe,халат,81
8275,windmill,ветряная мельница,55
9055,thunderstorm,гроза,40
12188,ridge,хребет,26
11641,rebellion,восстание,30
1416,pills,таблетки,56
7910,lambeau,ламба,59
11872,volunteers,добровольцы,16
3299,cyrillic,кириллица,87
6532,baboon,павиан,66
10067,journalists,журналисты,28
14215,effect,эффект,10
5499,beaumont,боможевый,74
11705,isaac,исаак,30
5718,whig,виг,62
9601,intersection,пересечение,41
14175,keep,держать,8
10268,tamil,тамил,41
13143,fought,дрался,17
9834,friendship,дружба,44
12405,maple,клен,24
3103,shawnee,шеумина,88
11286,tend,иметь тенденцию,27
6896,admittedly,по общему признанию,65
1316,mambo,мамбо,96
12395,dust,пыль,24
811,ibid,там же,98
3593,samaritan,самаритан,84
3008,stylized,стилизованный,87
13043,earned,заработанный,14
6295,sui,суи,69
13569,camp,лагерь,12
9266,martinez,мартинес,49
12207,pringle,притворяться,26
1575,amused,изумленный,15
11451,twin,близнец,21
12848,syndrome,синдром,20
10859,collegiate,соотечность,37
10072,legendary,легендарный,43
12899,soccer,футбольный,20
6554,bhutan,бутан,67
2816,splanchnology,сплитнология,89
2221,smegma,смегма,91
11068,egg,яйцо,33
2203,consort,консорт,88
199,gertrude,гертруда,100
1839,stiffened,укреплен,88
13571,various,различный,13
6690,essence,сущность,66
210,maronite,маронит,100
6107,earthworm,земляный червь,70
2180,picnic,пикник,91
