ID,ENGLISH,DEUTSCH,INTERVAL
45,scripture,schrift,83
1931,hailstorm,hagel,91
6022,excerpt,auszug,62
4139,northwards,nordwärts,38
13875,them,ihnen,6
8135,expulsion,vertreibung,57
963,delusion,täuschung,88
12127,fear,furcht,26
12183,suicide,selbstmord,30
7510,dove,taube,63
7770,regret,reue,26
3899,greed,gier,86
12043,subway,u-bahn,32
2135,rosary,rosenkranz,94
5901,unintentional,unbeabsichtigt,68
10728,predicted,vorhergesagt,28
7828,tripod,stativ,63
12511,direction,richtung,14
14400,efforts,bemühungen,8
13142,dark,dunkel,19
10045,spokesman,sprecher,48
10967,math,mathematik,39
13687,bad,schlecht,15
5693,sweetwater,süßwasser,77
14010,go,gehen,9
9284,unsuccessful,erfolglos,48
2174,peg,anbindung,73
6764,fin,flosse,64
8534,plumbago,graphit,60
9675,slim,schlank,51
11941,wade,waten,33
10292,avatar,benutzerbild,46
3296,caravan,wohnwagen,85
10355,stress,betonen,39
11375,tackle,angehen,29
11255,chemistry,chemie,39
9146,deadline,termin,55
4169,moustache,schnurrbart,82
11166,submitted,eingereicht,27
3152,poorest,ärmzig,90
6451,aryan,arisch,69
9703,scream,schrei,42
13627,proper,richtig,15
1107,keepers,hüter,47
1370,urb,urbisch,97
10002,imagery,bildern,49
11495,headless,kopflos,37
1454,climber,bergsteiger,71
6,stumble,stolpern,62
1072,treasures,schätze,52
535,pelt,fell,82
5361,impeachment,amtsenthebungsverfahren,67
12489,wednesday,der mittwoch,28
135,custard,vanillepudding.,100
5705,narrator,erzähler,58
9901,pregnancy,schwangerschaft,49
12886,effects,auswirkungen,12
11652,mistaken,verwechselt,36
10450,rude,unhöflich,43
661,callers,anrufer,68
12422,funny,komisch,29
13244,deal,handeln,14
4358,soy,soja,84
5052,pejorative,abwertend,78
14137,further,weiter,7
484,parenthood,elternschaft,99
1235,bm,bzw.,97
5883,constituency,wahlkreis,54
14356,sources,quellen,7
2455,aesthetics,ästhetik,53
8542,modifications,änderungen.,44
13801,said,sagte,10
3797,hummingbird,kolibri,86
8582,inn,gasthaus,50
3197,healthcare,gesundheitswesen,89
14481,press,drücken sie,15
2443,assigns,zuweisungen,16
6689,disguise,verkleidung,51
7049,sauce,soße,68
2311,disturb,stören,25
11640,abu,abbilden,36
14446,let,lassen,11
1804,stave,daube,78
7325,swords,schwerter,38
3405,crept,kribisch,88
13573,often,häufig,16
232,defied,abgewiesen,77
4098,throwback,rückblick,82
3659,nostrum,nasenrum.,87
10333,dar,därne,46
3119,socket,steckdose,80
14404,review,rezension,9
9327,dubbed,dämmbt,45
8577,invisible,unsichtbar,57
9001,loan,darlehen,46
12195,worthy,würdig,31
7027,milty,meilteisen,69
5998,evenly,gleichmäßig,75
12904,spinster,jungfer,24
3092,valves,ventile,51
10665,cartoon,karikatur,36
9859,forgotten,vergessene,50
9751,indictment,anklage,45
4620,detainees,häftlinge,74
5078,congrats,herzlichen glückwunsch,80
3099,hijacked,entführte,55
147,impoverished,verarmt,99
10037,perceived,wahrgenommen,45
14428,supports,unterstützung,10
5879,showcase,vitrine,61
11527,toll,maut,36
7307,inventor,erfinder,58
4526,surnames,nachnamen,42
13584,size,größe,15
6871,clone,klon,42
8586,torn,zerrissen,59
10516,unsuspecting,ahnungslos,45
2019,woke,aufwacht,94
6302,snail,schnecke,68
554,foggy,neblig,99
2844,puffin,papageientaucher,91
7622,improper,missbräuchlich,65
5492,hookah,huka,77
9072,cologne,köln,56
13226,forward,nach vorne,11
4371,disadvantage,nachteil,70
7632,outlook,ausblick,63
8684,construed,ausgelegt,57
9177,strawberry,erdbeere,54
4477,yearbook,jahrbuch,83
8098,pickup,abholen,62
13552,applies,gilt,12
9326,lithuanian,litauisch,53
9936,wider,breiter,49
11315,superior,vorgesetzter,35
11465,representation,darstellung,35
4917,ascent,aufstieg,81
12134,victims,die opfer,27
10348,petty,belanglos,46
8471,punter,glücksspieler,51
6717,acclaimed,renommiert,59
3297,discarded,verworfen,73
8478,pencil,bleistift,58
277,sedans,limousine,53
6057,crete,kreta,75
5486,isaiah,jesaja.,78
4207,compensate,kompensieren,47
2105,sag,durchhängen,87
13120,actual,tatsächlich,12
13022,phone,telefon,21
14121,making,herstellung,5
5805,diverted,abgelenkt,63
6804,laurel,lorbeer,69
9437,gateway,tor,53
7676,countless,zahllos,65
8882,gearbox,getriebe,57
12176,outstanding,hervorragend,32
10242,rural,ländlich,47
8066,ensued,folgte,35
10107,tribes,stämme,35
8078,feud,fehde,58
4922,hove,heben,81
6440,babble,plappern,71
6582,hopper,trichter,68
2851,carved,geschnitzt,75
14489,numbers,zahlen,8
10556,restricted,eingeschränkt,20
9141,booker,bucher,56
9842,vicinity,nähe,50
11521,fortyfive,fünfundvierzig,37
1096,nightmares,albträume,62
10771,wet,nass,42
11802,capacity,kapazität,34
12266,hence,somit,31
11197,tactics,taktik,22
8093,skirts,die röcke,51
11611,contrary,gegenteil,37
3412,plywood,sperrholz,88
14225,main,hauptsächlich,9
5976,boredom,langeweile,75
7710,expiry,ablauf,64
12972,enemy,feind,21
3294,bun,brötchen,59
3403,tailored,maßgeschneidert,72
3131,yawn,gähnen,87
9492,ambiguous,zweideutig,44
6409,proceeds,erlös,73
12608,desert,wüste,26
9627,curse,fluch,45
5516,peanuts,erdnüsse,45
1966,clough,klosten,95
10016,mortal,sterblich,38
11254,parachute,fallschirm,38
5025,catalan,katalanisch,80
7106,horseshoe,hufeisen,67
10136,silk,die seide,47
13976,without,ohne,6
2234,hitchhiker,tramper,87
9425,seventeen,siebzehn,53
487,exaggeration,übertreibung,64
3530,calf,kalb,88
13873,any,beliebig,5
12275,murder,mord,24
11232,violent,gewalttätig,38
12696,pattern,muster,25
2301,doubted,bezweifelt,22
6683,differentiate,unterscheiden,46
7035,abt,abtropfen,69
10708,sceptre,zepter,43
3337,westphalia,westfalen,89
952,squall,bö,92
8348,unsubstantiated,unbegründet,61
10472,judaism,judentum,45
7750,haul,schleppen,49
2347,pals,palle,60
12801,deep,tief,25
12585,rob,rauben,27
7437,slovak,slowakisch,63
13169,defamatory,verleumderisch,21
12114,mint,minze,31
3256,brier,dornbusch,88
12940,whom,dem,24
2279,creole,kreolisch,93
13624,outside,außen,15
8069,orchard,obstgarten,62
5103,rue,bereuen,80
1259,assembling,montieren.,23
1913,torched,klappern.,37
9464,wartime,kriegszeit,53
12488,unrelated,nicht verwandt,28
11128,distributed,verteilt,24
5042,beep,piep,78
7879,crocker,krecher,63
8131,pleasant,angenehm,62
13834,up,hoch,7
1817,sandpit,sandkasten,95
9810,oceania,ozeanien,50
8235,sabre,säbel,34
6986,imprisoned,inhaftiert,51
1444,diacritics,diakritiker,91
4663,unfinished,unvollendet,82
12981,schedule,zeitplan,16
4341,aesop,äsop,84
846,overpass,überführung,94
9580,aforementioned,vorgenannten,52
10761,pet,haustier,39
11691,appointed,ernannt,30
10916,copper,kupfer,42
11140,load,belastung,26
1446,abbr,abbrunde,96
11977,incomplete,unvollständig,32
3740,landfill,deponie,86
8597,rogue,schurke,59
13820,which,welche,6
4276,underworld,unterwelt,84
3045,nightfall,einbruch der dunkelheit,90
1676,sisterhood,schwesternschaft,96
4724,lick,lecken,71
8660,fur,pelz,57
10674,spare,ersatzteil,40
1019,airstrip,flugstreifen,94
11659,provisional,vorläufig,35
278,fairgrounds,messegelände,99
13,contravention,zuwiderhandlung,100
10104,ct,treffer,45
5875,likelihood,wahrscheinlichkeit,76
12893,difficult,schwierig,24
3473,bobsleigh,bobfahre,88
5541,slate,schiefer,59
10876,distinct,unterscheidbar,28
2166,char,verkohlen,84
11764,nearby,in der nähe,35
4146,papal,päpstlich,85
5448,spurious,stechend,78
2856,astonishing,erstaunlich,75
9497,broadband,breitband,53
11084,mining,bergbau,20
1400,brightest,hellste,96
1909,eagerly,eifrig,95
934,crucifixion,kreuzigung,98
12492,soul,seele,27
877,elusive,schwer fassbar,98
6344,apprentice,lehrling,72
7722,swastika,hakenkreuz,63
11994,expanded,erweitert,20
1078,callum,anrufen,98
3252,sizeable,ansässig,89
6948,oracle,orakel,69
8915,ping,klingeln,57
12099,earl,graf,32
11991,tarnishing,tarnieren.,29
14407,expect,erwarten,13
9548,meu,mei,52
10294,married,verheiratet,41
12523,squad,kader,23
12408,deter,abhalten,29
1127,excretion,ausscheidung,95
11542,morocco,marokko,37
7557,goodnight,gute nacht,65
14440,book,buch,12
11124,impression,eindruck,26
9251,tin,zinn,54
2826,thrice,dreimal,91
11112,griffin,greif,39
10680,ruling,urteil,9
14425,ever,immer,13
10172,parrot,papagei,47
7040,audiences,publikum,34
6127,overhaul,überholung,64
14052,better,besser,12
11491,input,eingang,36
959,valour,tapferkeit,98
364,noblemen,adlige,100
8811,liver,leber,58
1411,geared,ausgereibt,32
14129,never,niemals,12
6954,scrutiny,prüfung,69
14118,given,gegeben,12
9949,surrounded,umgeben,29
1463,reprimanded,tadellos,82
11900,crystal,kristall,33
423,playwright,dramatiker,98
11424,cactus,kaktus,38
5556,crisp,knackig,73
7302,slash,schrägstrich,52
12323,chuck,futter,30
10755,honest,ehrlich,43
7116,bust,büste,55
7374,rye,roggen,67
8229,authoritative,maßgebend,60
5110,obstacle,hindernis,65
12221,couldn,könnte nicht,31
8860,abbey,abtei,58
14060,six,sechs,12
5792,equinox,tagundnachtgleiche,73
2159,hyphen,bindestrich,67
1116,sundial,sonnenuhr,94
5327,distress,not,68
9882,framework,rahmen,49
13092,penalty,strafe,18
13411,bridge,brücke,16
13113,beach,strand,21
2618,fuss,aufregung,88
4576,smuggling,schmuggel,76
309,barges,kähne,80
4519,overrun,überlauf,75
14237,known,bekannt,11
246,counseling,beratung,63
7581,slaughter,schlachten,59
4255,rearguard,nachhut,84
4422,incapable,unfähig,83
13076,society,die gesellschaft,21
8548,villains,schurken,52
13122,stars,sterne,11
11955,hunt,jagd,28
7889,behave,sich verhalten,46
6490,peacock,pfau,71
2274,inexperience,unerfahrenheit,94
12237,geography,erdkunde,31
11756,climate,klima,34
949,geologists,geologen,79
8102,neighbouring,benachbart,40
2437,lumpy,klumpig,93
1327,illiterate,analphabet,95
3254,garnet,granat,89
2795,blackberry,brombeere,91
849,irishman,ire,99
10701,shiny,glänzend,43
11103,dropping,dürftig,15
7086,howdy,hallo,68
12080,iranian,iranisch,31
2115,airdate,luftdatum,91
6048,frenchman,franzose,75
13761,earth,erde,14
8242,surpassed,übertreffen,50
13525,visible,sichtbar,16
12512,watching,aufpassen,15
3127,veil,schleier,75
12450,duck,ente,24
8912,mk,merk,55
689,prescribed,verschrieben,91
8901,tooth,zahn,55
10917,delivery,lieferung,38
12141,thoughts,gedanken,13
7920,viewer,zuschauer,39
4819,piston,kolben,39
6433,cleaner,reiniger,69
2623,entourage,gefolge,92
7247,roaring,brüllend,55
8647,crustacean,krustentier,59
10792,beloved,geliebte,43
1442,trident,dreizack,93
12295,roster,dienstplan,28
7070,wiped,abgewischt,56
551,drifter,herumtreiber,99
10867,suddenly,plötzlich,42
3854,hue,farbton,84
3650,turnaround,dreh dich um,85
13179,offense,vergehen,12
3733,sidelines,reitlinien,53
10733,neighborhood,nachbarschaft,38
632,contrived,gekünstelt,97
334,dishonesty,unehrlichkeit,99
10320,limits,grenzwert,11
9775,certified,zertifiziert,48
3744,buyers,käufer,80
4093,dutchman,holländer,85
2494,withstand,standhalten,89
4563,mower,mäher,78
388,quail,wachtel,99
6387,secular,weltlich,64
9942,herself,sie selbst,49
7746,pronunciation,aussprache,62
1514,vigilance,wachsamkeit,66
13720,proceed,vorgehen,13
6194,undergo,durchmachen,52
187,tributary,nebenfluss,92
1002,shrub,strauch,96
6140,clearance,spielraum,73
3982,cloudy,wolkig,76
2824,woolly,wollig,91
3549,arthropod,gliederfüßer,87
4479,sportsmanship,sportlichkeit,83
10832,overview,überblick,42
8571,yugoslav,jugoslawisch,58
10304,badge,abzeichen,42
12386,offer,angebot,18
10050,autumn,herbst,48
12931,room,zimmer,22
6728,corinthians,korinther.,66
3404,rash,ausschlag,87
13010,caught,erwischt,23
3389,oils,ölen,20
3511,ballroom,ballsaal,87
5842,groove,rille,68
14153,test,prüfen,5
5836,finch,fink,72
4202,yew,eibe,84
12513,emergency,notfall,20
9868,reign,regieren,39
779,unscathed,unversehrt,99
14072,order,befehl,11
2989,uninformed,nicht informiert,83
5796,housewives,hausfrauen,76
13398,dead,tot,18
4267,storey,geschoss,75
13570,heavy,schwer,16
11959,armadillo,gürteltier,33
9111,utility,nützlichkeit,36
13418,holder,halter,17
14322,talks,gespräche,5
5979,ambitious,ehrgeizig,74
13921,say,sagen,10
9931,torture,folter,43
4548,tangled,verheddert,75
2121,desecration,entweihung,89
8602,centennial,hundertjährig,57
1415,heroine,heldin,50
12890,label,etikette,18
7358,velvet,samt,66
6195,poodle,pudel,73
13255,desk,schreibtisch,20
3319,confederacy,konföderation,89
14310,something,etwas,9
11365,rainforest,regenwald,38
11851,crimes,verbrechen,19
2773,trickle,rinnsal,86
4443,aquatic,wasser-,52
12558,unnecessary,nicht notwendig,28
8795,kidney,niere,56
12105,rory,rorie,32
9416,skewed,schief,51
7473,scoreboard,anzeigetafel,65
1299,annotated,kommentiert,85
6120,fascinating,faszinierend,63
8980,eighty,achtzig,54
14504,runs,läuft,9
1653,mercilessly,gnadenlos,96
2269,velcro,klettverschluss,94
12343,drove,gefahren,30
10494,proportion,anteil,39
6757,slander,verleumdung,58
1956,bargain,schnäppchen,62
8173,modest,bescheiden,62
2222,cinnamon,zimt,94
4444,rental,vermietung.,78
12923,moreover,außerdem,24
4630,iridescence,irisieren,81
9234,wheat,weizen,55
7011,threshold,schwelle,68
7228,peruvian,peruanisch,67
5017,tug,schlepper,75
2360,bracken,adlerfarn,91
12872,lose,verlieren,15
9907,sued,verklagt,27
3649,spectacle,schauspiel,82
6489,embarrassing,peinlich,51
1369,unmarked,nicht markiert,97
1756,classmates,klassenkameraden,86
5012,cyclo,zyklo,80
1239,preclude,ausschließen,82
13188,children,kinder,20
13710,therefore,deshalb,14
6625,coyote,kojote,57
7075,legitimacy,legitimität,68
13165,tower,turm,19
10196,cornerback,eckback.,47
10673,bracket,klammer,30
7375,ineffective,unwirksam,63
6997,weaker,schwächer,69
1453,solace,trost,96
11119,fi,fische,40
13980,reported,gemeldet,5
13400,career,werdegang,18
14127,points,punkte,7
14142,period,zeitraum,10
4781,siberia,sibirien,82
2763,statutes,satzung,65
4723,spherical,sphärisch,81
12687,iron,eisen,23
7786,mutiny,meuterei,62
12573,easier,einfacher,28
5382,denote,bezeichnen,34
12908,scar,narbe,24
8564,unavoidable,unvermeidlich,59
11769,sec,seek,35
11186,swiss,schweizerisch,39
9228,syrian,syrisch,53
9396,fence,zaun,43
13708,despite,trotz,14
8526,abroad,im ausland,60
9455,throws,three,23
4252,leech,blutegel,84
1064,revered,verehrt,57
10230,romanian,rumänisch,47
10572,anger,zorn,41
7470,disposal,entsorgung,51
4658,inevitably,zwangsläufig,55
5501,brunt,brunken,78
6747,denounced,denunziert,60
5962,reinstate,wieder einsetzen,47
12150,faithless,treulos,32
1110,regrouped,umgruppiert,83
3780,deteriorated,verschlechtert,65
8060,pacers,passierer,59
6259,sworn,geschworen,74
13300,raised,erzogen,17
13243,sunday,sonntag,20
2839,pont,pontieren,90
7660,waist,taille,59
1809,sprawl,ausbreitung,88
9716,blizzard,schneesturm,50
4130,multitude,vielzahl,84
12658,fun,spaß,27
9002,obesity,fettleibigkeit,55
5743,sycamore,bergahorn,76
11050,chapter,kapitel,35
6023,towel,handtuch,71
13174,sometimes,manchmal,19
3698,downward,nach unten,50
7126,fleeing,flüchten,49
14317,involved,beteiligt,11
13781,victory,sieg,13
13598,featured,vorgestellt,12
14117,range,reichweite,12
4641,economists,ökonomen,60
649,semifinalist,halbfinalist,99
4941,laundry,wäscherei,80
2547,lettuce,grüner salat,92
4308,gentle,sanft,83
8385,gunpowder,schießpulver,61
14315,rights,rechte,9
4053,pictorial,bildlich,84
11344,ass,arsch,38
10741,gathered,versammelten,29
9414,harassment,belästigung,31
10343,loser,verlierer,38
6718,miscellaneous,sonstiges,71
8494,pointers,zeiger,47
3273,decomposition,zersetzung,89
8641,professionals,profis,20
7265,bankruptcy,konkurs,66
3766,ludicrous,lächerlich,86
2407,germination,keimung,91
1735,rectify,beheben,70
663,tiresome,ermüdend,98
13526,services,dienstleistungen,9
9730,bulge,ausbuchtung,51
9236,shame,schande,51
9189,fuller,voller,55
11766,lucky,glücklich,35
2613,ambition,ehrgeiz,77
9258,probe,sonde,49
4313,hawker,hausierer,84
11337,shit,scheisse,38
5924,hottest,am heißesten,76
3565,puzzled,verwirrt,48
6613,sable,zobel,71
5661,archery,bogenschießen,77
9317,ceres,zerse,54
5911,lakeside,seeufer,76
518,swallowed,verschluckt,65
10975,crap,mist,41
5106,unbelievable,nicht zu glauben,74
4814,invaders,eindringlinge,36
2862,flavors,aromen,52
3526,marshmallow,mäusespeck,88
13032,exactly,exakt,22
13859,time,zeit,6
3459,juicy,saftig,88
8869,notorious,berüchtigt,54
2520,atm,geldautomat,92
9601,intersection,überschneidung,47
13577,young,jung,16
1810,longstanding,langjährig,95
9783,fold,falten,38
1723,commend,empfehlen,60
14412,rules,regeln,9
9262,wrestler,ringer,48
2223,vengeful,rachsüchtig,92
8636,wolverine,vielfraß,37
11242,lay,legen,36
10898,licence,lizenz,38
2975,peril,tücke,79
2612,subtitle,untertitel,75
9701,conclusions,schlussfolgerungen,28
9204,divine,göttlich,51
13031,foundation,stiftung,22
10419,footnote,fußnote,35
13802,with,mit,5
9520,quest,suche,51
8255,welfare,wohlfahrt,62
13810,it,es,5
13757,southern,süd-,14
4059,onboard,am bord,85
12739,hear,hören,21
1407,amending,zu ändern,22
12956,annual,jährlich,22
5369,counteroffensive,gegenoffensive,70
12010,jam,marmelade,30
9083,skyscraper,wolkenkratzer,52
8042,tanner,gerber,62
7591,crowded,überfüllt,22
3010,indiscriminately,wahllos,49
8120,softball,weicher ball,62
5939,sevenfold,siebenfach,76
729,cussing,kuscheln,96
238,nap,nickerchen,83
4676,oriole,pirol,36
14371,significant,bedeutsam,12
6066,buffaloes,büffelbüffel,22
13037,acid,säure,22
815,neckline,ausschnitt,89
3685,captives,gefangene,58
14511,leave,verlassen,8
1253,polished,poliert,25
10309,accompanied,begleitet,22
6710,pregnant,schwanger,71
11660,merge,verschmelzen,22
10913,frog,frosch,38
7452,milky,milchig,66
8874,occurrence,auftreten,51
8520,posed,gestellt,42
6446,reliant,angewiesen,73
2711,vulture,geier,88
11263,cap,deckel,27
8328,cubic,kubik,61
13826,been,gewesen,5
4249,minesweeper,minensuchboot,80
1852,atlases,atlanten,95
5791,wired,verdrahtet,36
12073,spy,spion,31
4730,pleaded,plädiert,62
3847,touchback,zurück berühren,87
13634,unregistered,nicht registriert,15
1138,hav,habe,98
6060,crackdown,rissfolge,74
6938,alley,gasse,68
10779,axis,achse,43
9218,gasoline,benzin,55
6783,marques,marken,63
11088,accordingly,entsprechend,40
4378,saxons,sächse,58
12046,presence,gegenwart,33
5519,clerks,angestellte,62
2235,squamish,pethamisch,94
2943,mistress,herrin,89
12000,pink,rosa,33
2442,wily,wilde,92
13676,draft,entwurf,13
6010,deacon,diakon,46
9597,steals,stehlen,36
11251,dwarf,zwerg,38
7108,misunderstood,falsch verstanden,68
8365,decay,verfall,57
7326,reset,zurücksetzen,63
3839,colorless,farblos,87
10127,awm,achtzeitig,48
625,lawmakers,gesetzgeber,96
2842,chuckle,kichern,70
1674,atonement,sühne,84
13423,earlier,früher,18
2708,archangel,erzengel,90
13278,pat,klopfen,18
10757,gauge,messgerät,41
1938,cognizant,kenntnis,94
10486,surgery,chirurgie,45
8231,mal,falls,62
2946,goats,ziegen,50
13601,divisions,abteilungen,8
10095,reduction,die ermäßigung,46
12833,steel,stahl,24
12891,broke,pleite,24
4131,cheesy,käsig,84
10882,begun,begannen,42
13124,prod,erbärmlich,21
6337,potatoes,kartoffeln,44
14261,release,freigeben,10
14392,parts,teile,9
10443,impairing,beeinträchtigung,42
1887,standstill,still stehen,95
10336,smallest,kleinst,46
10690,horror,grusel,42
9530,geneva,genf,53
4128,prom,abschlussball,84
9712,circus,zirkus,51
14466,wanted,gesucht,6
11349,guest,gast,34
10663,revenge,rache,43
3653,orderly,ordentlich,87
7223,connector,verbinder,64
7613,honorary,ehrenamtlich,65
3963,brat,gör,82
2210,slept,habe geschlafen,94
6866,longtime,lange zeit,70
2469,capitalised,großgeschrieben,73
7634,trombone,posaune,64
12507,brunswick,braunschweig,28
6982,softer,weicher,69
14,harbors,häfen,32
5762,pretending,vortäuschend,49
1964,epithet,beiname,90
10943,degrees,grade,27
1904,filmmaking,filmemachen,76
11369,dedicated,engagiert,35
8766,crusaders,kreuzfahrer,32
12863,challenge,herausforderung,16
8415,prejudice,vorurteil,58
6267,peasant,bauer,58
12018,peninsula,halbinsel,33
11702,inaccurate,ungenau,35
6752,leadoff,abstand,71
11333,bone,knochen,33
6169,dunno,keine ahnung,74
11298,amazing,tolle,37
14467,discussed,besprochen,7
3160,southeastward,südost,89
10860,virgin,jungfrau,39
13119,thousands,tausende,17
12592,acts,handlung,12
1838,italicized,kursiv,90
14211,weeks,wochen,11
13865,we,wir,6
7497,voluntary,freiwillig,66
14235,allows,erlaubt,11
4594,prolific,produktiv,82
9911,ineligible,nicht förderfähig,49
14450,hit,schlag,10
2846,goofy,doof,91
13158,colombia,kolumbien,21
3599,entrenched,verankert,81
3344,hairstyle,frisur,77
13594,present,gegenwärtig,12
12556,rice,reis,28
13487,church,kirche,16
13441,map,karte,15
2197,sunlight,sonnenlicht,94
13199,inconvenience,unannehmlichkeit,20
13233,semi,halb,20
2146,undrafted,rückgängig gemacht,94
10340,thumb,daumen,45
971,jingle,klimpern,92
7099,treason,verrat,66
4580,beachhead,strandkopf,82
2262,afar,fächer,94
13830,also,auch,6
12142,escape,flucht,26
14292,cases,fälle,7
6821,screened,abgeschirmt,23
13159,crisis,krise,21
5617,sunflower,sonnenblume,77
14169,record,aufzeichnen,9
12147,naval,marine-,32
3581,weekdays,wochentage,69
9315,copa,kopatisch,54
14198,along,entlang,12
10939,hank,strang,38
10795,commissioner,kommissar,41
3912,effigy,bildnis,83
6065,outrage,empörung,57
13786,otherwise,andernfalls,13
1597,bruised,gequält,75
7055,hairpin,haarnadel,68
6252,cure,heilung,65
8001,parley,verhandeln,62
14027,plans,pläne,13
8778,coke,koks,58
12764,worst,am schlimmsten,26
1768,eastwards,ostwärts,55
10640,preseason,vorsaison-,44
5490,ostrich,strauß,77
14215,effect,wirkung,12
11045,argued,argumentiert,24
10525,tiny,sehr klein,45
350,loon,klopfer,99
5835,starfish,seestern,76
5500,interdiction,einstreichend,74
7084,saxony,sachsen,68
13299,met,getroffen,16
12917,unreferenced,nicht referenziert,24
14249,funds,mittel,26
5414,buoyancy,auftrieb,78
6907,goo,schmiere,69
11858,heights,höhe,26
14203,processing,wird bearbeitet,12
11630,cole,kohl,34
11976,soapbox,seifenkiste,33
1660,carp,karpfen,85
6268,mew,miauen,71
3697,sect,sekte,82
7248,eligibility,berechtigung,36
13177,poll,umfrage,17
10,sunstar,sonnenstern,100
11038,marsh,sumpf,40
4738,hatchet,beil,82
4104,eniac,erajac.,85
5933,facial,gesichts-,76
7428,baptism,taufe,65
12694,jews,juden,24
4440,untouched,unberührt,68
6257,baggage,gepäck,73
9012,rly,rutsch,57
7551,cruelty,grausamkeit,65
2791,playable,spielbar,91
8648,trusted,vertrauenswürdige,29
5225,missy,vermisst,79
3149,sexton,küster,90
4945,unrestricted,uneingeschränkt,81
10188,notification,benachrichtigung,46
12495,ship,schiff,21
1439,heal,heilen,62
7759,batter,teig,44
6290,sloppy,schlampig,73
12452,spread,verbreitung,26
7029,woodward,holzwärts,69
5660,coffin,sarg,74
13844,two,zwei,8
8022,dye,farbstoff,58
12744,disaster,katastrophe,21
6230,acquitted,freigesprochen,73
898,insensitive,unempfindlich,92
921,procurement,beschaffung,81
1510,gait,gangart,96
6495,rulers,lineale,55
7836,failures,ausfälle,26
13038,job,arbeit,20
9991,consequently,folglich,27
879,beams,balken,59
6068,insists,bestehen,31
14444,continued,fortsetzung,6
2379,goon,mach weiter,86
12350,standing,stehen,14
10514,purchased,gekauft,30
3799,measles,masern,87
12477,czech,tschechisch,28
7602,reunion,wiedervereinigung,64
7485,deeper,tiefer,66
7867,wages,löhne,34
5908,dentistry,zahnheilkunde,76
10285,meat,fleisch,46
12655,im,ich bin,27
13083,draw,zeichnen,18
10428,stroke,schlaganfall,40
688,ubiquitous,allgegenwärtig,99
1548,shortwave,kurzwelle,96
10380,hilary,hilame,41
8727,bt,batterie,59
3762,chop,hacken,66
7753,wight,witzig,64
6828,dancers,tänzer,59
12526,responded,geantwortet,13
1236,specs,spezifikationen,67
13721,contributors,mitwirkende,12
1041,swore,geschworen.,98
3567,disclosure,offenlegung,87
13294,mount,montieren,17
5377,westerly,westlich,67
4423,fabulous,fabelhaft,83
4982,circumcision,beschneidung,79
5417,bamboo,bambus,77
166,beltway,umgehungsstraße,100
10133,fraud,der betrug,48
6798,pneumonia,lungenentzündung,70
9729,nineteen,neunzehn,51
