ID,ENGLISH,POLONAIS,INTERVAL
9148,halt,postój,40
13532,previously,poprzednio,16
8741,remix,remiks.,46
1575,amused,rozbawiony,18
5797,semiconductor,półprzewodnik.,72
8011,mathematician,matematyk,48
8088,pledged,zastawiony,47
6567,lend,pożyczać,49
10053,hulk,ponton,47
13208,ray,promień,19
1470,pep,werwa,93
9843,sovereignty,suwerenność,49
3257,mumps,świnka,89
2901,diaper,pielucha,87
1727,penned,napisany,44
13452,believed,wierzył,5
13106,wickets,bramki,16
9002,obesity,otyłość,55
12263,temple,świątynia,29
1469,protracted,dłuższy,96
919,buffs,bufron,76
2697,stateless,bezpański,85
691,bandwagon,wóz dla orkiestry,98
8147,fork,widelec,45
3310,summarily,podsumowalnie,88
7287,contamination,zanieczyszczenie,51
13959,end,koniec,8
2437,lumpy,grudkowaty,93
924,recurve,nawrócić się,57
3523,brash,rumowisko,88
3125,uneventful,monotonny,85
