ID,ENGLISH,KOREAN,INTERVAL
8196,funded,자금 조달,21
13222,houston,휴스턴,16
873,bv,비밀의,97
2646,trilobite,트리 븀,89
8223,suffix,접미사,52
4091,radon,라돈,82
4065,peroxide,과산화물,80
5450,visitor,방문객,9
3523,brash,성급한,85
13969,control,제어,11
2572,gamelan,가믈란의,90
13164,role,역할,15
14092,operations,운영,6
2836,specimens,표본,61
1161,madeira,마데이라,97
776,meantone,꼭다,98
14294,car,자동차,9
4849,diaspora,디아스포라,77
1558,septimal,중계율,95
7460,shooter,사수,53
5924,hottest,가장 섹시한,71
4995,sphenic,솔 촨성,77
6266,hispaniola,히스 파니 폴라,69
1152,goldie,금주,95
6851,yogi,유가 수행자,65
5906,cyclops,물벼룩,71
12988,checklist,체크리스트,18
12096,formerly,전에,27
7975,overcame,지나친,58
6070,stiff,뻣뻣한,67
6864,strive,애쓰다,54
601,sina,시나,99
11723,whale,고래,26
545,reactionary,반동,94
13893,should,~해야 한다,5
11182,steeplechase,장애물 경주,35
9901,pregnancy,임신,43
504,architectures,아키텍처,15
7682,banjo,밴조,60
13084,singapore,싱가포르,17
6330,clutter,어지럽게 흩어져 있는 것,50
10839,det,억제하다,37
8376,confident,자신감,32
4092,tutu,투투,82
3521,kannada,칸나다,86
13059,twice,두 배,18
1005,synoptic,시놉시스,97
7480,kell,켈럼,62
3470,bonnet,보닛,75
11125,lesser,보다 작은,35
7215,tyrannosaurus,티라노 사우루스,62
11183,victorian,빅토리아 주의,34
11108,scout,스카우트,23
7063,loyalist,충신,55
8094,pregame,송료자,57
13709,tone,음정,12
2036,hallo,어이,92
2985,charitable,자비로운,87
9304,salmon,연어,48
12377,campbell,캠벨,24
8621,floating,떠 있는,42
9859,forgotten,잊혀진,44
6329,windward,바람이 불어 넣어,62
13818,not,~ 아니다,5
394,latham,래션,100
9974,senegal,세네갈,43
9424,picasso,피카소,48
1747,torso,몸통,92
12769,hampshire,햄프셔,21
3524,stout,스타우트,86
7015,worship,예배,58
41,verbiage,말씨,100
14462,produce,생산하다,7
12641,lighten,가볍게 하다,22
9930,ferry,나룻배,36
10091,gotten,...을 낳았다,42
176,clostridium,클로스 트리 디움,100
12371,aaron,아론,24
4080,salesman,판매원,82
12065,spencer,스펜서,27
5060,berne,베른,77
8350,ideology,관념론,42
6151,protective,보호,9
440,hiller,힐러,100
5588,phased,단계적으로,24
2996,hotchkiss,핫키스스,88
5377,westerly,서풍,62
1751,prudent,신중한,91
13788,analysis,분석,11
1030,yarborough,구점 이상의 패가 없는 수,97
9164,heels,뒷굽,43
5409,safer,더 안전한,74
12580,speech,연설,21
7724,reconciliation,화해,60
6953,vine,덩굴,58
2088,debussy,쇠약 해지는 것,92
2469,capitalised,자본화 된 것,68
1822,stiles,스타일,91
8045,bliss,다시 없는 기쁨,57
13556,royal,왕실의,12
13558,discouraged,낙담했다,12
8424,horace,호레이스,55
4897,confucius,공자,77
7242,melamine,멜라민,62
4007,ravaged,황폐화,76
12987,jean,진 피륙,18
3513,assimilation,동화,74
6082,worthless,가치 없는,69
7721,apocalypse,묵시,60
8385,gunpowder,화약,55
922,hustle,정력적 활동,88
5735,viral,바이러스의,72
4160,dietary,식이 요법,82
5193,hallucinogenic,환각성,67
13616,visit,방문하다,11
12376,knight,기사,20
5536,cracked,깨진,32
4263,hertz,헤르츠,81
7442,racecourse,경주장,62
7181,sulfate,황산염,62
8417,disregard,무시,47
5392,smells,냄새,50
6189,nowadays,요즘에는,69
4184,springer,뛰는 사람,82
10568,replay,다시 하다,32
5630,remarkably,현저하게,24
11449,gareth,가레스,32
10627,reveal,드러내다,21
1583,phenylalanine,페닐알라닌,94
2663,platonic,플라톤,88
11767,harm,피해,12
9375,octopus,문어,48
7419,accomplishments,교양,30
239,unopposed,부정확하지 않다,100
12615,vice,바이스,22
2606,rab,라비,89
9312,conquest,정복,46
13336,oklahoma,오클라호마,15
3802,osteoporosis,골다공증,84
4873,rappers,래퍼,26
9961,rarely,드물게,26
10783,seeking,찾는 것,23
10361,windsor,윈저,40
3200,inflicting,혹사하다,51
9023,newer,최신의,51
9484,avant,아귀,47
12329,alaska,알래스카,25
9251,tin,주석,48
3559,optimistic,낙관적 인,79
5673,modem,모뎀,69
13626,human,인간,12
4181,ionic,이온의,82
8501,calculus,계산법,54
3871,horribly,무섭게,48
2063,nautilus,노틸러스,92
13186,foreign,외국의,16
12574,moore,무어,22
6011,croft,소작지,70
9279,puck,퍽,48
2157,lumen,루멘,90
4430,cheung,청,80
4917,ascent,오르막,77
7563,mild,경증,61
3457,osprey,물수리,77
7076,bark,짖다,57
13040,senior,상위,17
14002,include,포함하다,6
13283,sydney,시드니,16
3752,rambler,람돌이,81
11492,typical,전형적인,23
13314,invasion,침입,15
10489,roof,지붕,37
12452,spread,확산,21
10988,fruit,과일,32
3790,cyclist,자전거 타는 사람,57
3854,hue,색조,81
9220,detained,억류 된,45
7856,nanking,남경 무명,59
3505,rohan,로행,86
11151,congo,콩고,35
7020,amman,암만,64
7006,acyl,아실,63
11055,portrait,초상화,34
3664,pupils,학생들,72
5902,ged,고초,71
7261,genome,게놈,60
5386,muddy,흐린,72
7771,lighthouse,등대,58
2591,documentaries,다큐멘터리,32
8411,porto,포르토,55
6003,willow,솜틀,67
13914,being,존재,5
3780,deteriorated,열화 된 것,61
13412,frank,솔직한,14
8441,dorothy,도로시,55
11107,caesar,시저,35
4037,fad,일시적 유행,67
13576,command,명령,10
13466,overall,전반적인,13
5635,braille,점자,73
1479,cagayan,카가 야,95
11988,speculation,추측,21
5434,weir,둑,74
909,otters,수당,42
10561,piano,피아노,38
5594,silhouette,실루엣,69
11543,rainbow,무지개,31
13239,brazil,브라질,16
673,cemented,시멘트,59
2548,codeine,코데인,90
4541,gymnasium,연무장,77
13212,obviously,확실히,16
1502,bessemer,바스 메더,95
4754,fractured,골절,51
9363,architect,건축가,41
10602,diana,다이아나,38
2054,garibaldi,가리발시,92
12467,minimum,최저한의,23
7972,polk,폴크,58
4436,gallon,갤런,62
1402,tamara,타마라,95
4145,profound,심오한,81
551,drifter,표류자,98
7306,pimp,뚜쟁이,61
4044,calcutta,캘커타,82
10874,deputy,대리인,32
9862,tragedy,비극,42
9721,fuji,후지산,45
11240,mills,밀스,25
2514,iota,이오타,90
12373,update,업데이트,7
9470,isolated,외딴,39
9867,signpost,푯말,44
10558,artificial,인공의,38
617,froze,냉담하다,99
8177,household,가정,48
3642,bandicoot,큰쥐,85
3962,handel,헨델,83
1106,unbroken,꺾이지 않은,97
14056,whether,~이든,11
6712,quantities,수량,43
6425,nigerian,나이지리아 사람,66
10525,tiny,매우 작은,39
6869,orgasm,오르가슴,64
5179,trigonometry,삼각법,76
9601,intersection,교차로,41
1877,waking,깨어 있는,27
5897,veto,거부권,61
10906,midway,중도,37
992,gloss,광택,86
9018,commissioned,위임 받았다,18
6183,cartel,카르텔,64
465,detractors,폐쇄기,97
12483,grace,우아함,23
5410,brewster,브루 스터,74
5779,overtake,추월,51
13092,penalty,패널티,14
8089,lars,라들,45
3243,grundy,그린디,87
12004,levels,수준,11
10009,tallest,가장 높은 것,43
2635,anomie,사회적 무질서,89
10141,activists,활동가들,35
2298,hydrochloride,히드로 클로라이드,91
1617,martens,마르티텐,89
11656,successfully,성공적으로,11
7301,blitz,블리츠,57
6728,corinthians,고린도자,62
789,haggis,해거,98
1264,dreamy,꿈꾸는 듯한,96
12698,guess,추측하다,20
6705,aland,땅,66
3485,smack,헤로인,62
1211,cheaply,싸게,97
1431,watchers,관측 자,87
8357,sixteenth,열 여섯 번째,55
3414,cardiovascular,심장 혈관,86
11762,hood,후드,28
9798,ranger,레인저,17
2562,byelorussian,벨로루시 사람,89
4357,rendezvous,랑데부,75
10600,fallen,타락한,38
12120,trail,자취,18
8472,tifinagh,티 핀지,54
3594,overlapping,겹치는 것,55
3914,fait,파지,82
14426,requirements,요구 사항,6
7133,pau,파우,63
13699,daniel,다니엘,12
464,wielding,휘두르다,84
7668,inception,처음,60
7488,submissions,제출,43
14214,needs,필요합니다,6
5363,hydroxide,수산화물,75
8983,acceptor,수락 자,49
9725,planetary,지구의,45
6683,differentiate,구별 짓다,40
4250,siamese,시암 사람,81
4807,spawn,알,41
1891,hackers,해커,39
5980,vila,빌라,71
10203,atom,원자,25
6816,glendale,글렌 데일,65
863,saturation,포화,61
9087,corresponds,해당합니다,25
2114,adriatic,아드리아의,92
11368,stouter,스토어,33
366,tetrahydrocannabinol,테트라 히드로 카나 비놀,100
4859,gluten,글루텐,78
1455,pinnacle,작은 첨탑,92
14332,reached,도달했다,9
13512,crown,왕관,12
11766,lucky,운이 좋은,30
3111,ratchet,래칫 휠 장치,88
8050,jelly,젤리,57
2973,goldeneye,금색 눈,88
782,stallion,종마,91
12264,carbon,탄소,24
10470,ak,아크,39
2264,caveman,동굴 탐험가,91
3556,outgained,개량,78
2777,boomer,부머,87
13358,winter,겨울,14
12857,definition,정의,14
8048,deco,데코,58
93,microprocessors,마이크로 프로세서,74
11069,raw,날것의,35
5012,cyclo,시클로,77
7866,supernova,슈퍼 노바,59
9342,rioters,폭동의,48
13502,stage,단계,11
9517,vic,주홍,47
5345,snowy,눈 덮인,75
11501,cyprus,키프로스,32
1073,bayou,베요,97
12356,ref,조항,23
2272,bowser,바로,91
6905,dialect,방언,48
7078,sol,솔,63
9306,policemen,경찰관,48
6502,overhead,간접비,67
634,wert,우드,99
10298,scientists,과학자들,31
14125,half,반,10
4406,marginalia,마르네시아어,80
9953,byron,바이런스,43
13383,implement,구현하다,13
1387,intra,내부에서,96
12967,wayne,웨인,19
13329,areas,영역,9
9505,sally,출격,46
11729,delivered,배달 된 것,24
5799,conservatism,보수주의,72
13837,you,너,5
1074,appended,첨부,69
3553,colima,콜리마,86
9399,unnamed,이름의,48
6235,gurkha,구르크,69
8807,perception,지각,46
12688,spelled,철자,12
1154,morphin,모르핀,62
8920,influenza,인플루엔자,51
6522,pius,피어스,66
6868,vanilla,바닐라,65
8526,abroad,해외에서,54
8164,porpoise,돼지 고기,57
1336,latent,숨어있는,96
4727,lid,뚜껑,77
12846,equipment,장비,15
7438,giuseppe,기구미,62
11932,commonly,천하게,28
12449,craig,크레이그,24
1574,voicing,목소리,19
5800,developmental,개발자,72
13683,perhaps,아마도,12
13851,system,체계,8
10738,hired,고용 된 것,28
13174,sometimes,때때로,15
4154,hedges,헤지스,58
3754,kern,장식 꼬리,83
6104,unauthorized,무단으로,70
10202,thanksgiving,추수 감사절,41
6541,nazareth,나사렛,67
12059,marks,점수,7
7828,tripod,삼각대,58
7599,liner,정기선,57
177,nostalgia,노스탤지어,100
1176,valorous,씩씩한,65
7761,skeletal,골격,59
10589,frost,서리,38
3566,lecture,강의,59
12996,useless,쓸모없는,18
5416,cassie,카시 티 (cassie),74
9057,boring,지루한,32
4575,biathlon,바이어콘,79
4684,stockade,방책,74
5414,buoyancy,부력,74
13453,artist,아티스트,12
12997,hamilton,해밀턴,18
5965,thrash,뒹굴다,57
8360,ribbon,리본,50
8414,incredibly,믿을 수 없을 정도로,38
3134,undesirable,탐탁지 않은,70
8926,sloth,나태,51
10008,meridian,자오선,43
12030,phrase,구절,22
3906,saharan,사하라,83
850,caledonian,칼레도니아의,98
11143,laser,레이저,34
1520,unethical,비 윤리적이다,94
6826,pardon,뭐라고 요,61
5885,suspend,유예하다,22
11352,decimal,소수,30
8014,gym,헬스장,57
10581,bobet,보석,38
13894,these,이것들,6
4974,motherboard,마더 보드,77
9321,cornwall,콘월,42
9329,dweller,거주자,47
11960,imperial,장엄한,24
10041,astronomy,천문학,43
2035,nursery,양식장,92
12753,windows,윈도우,11
12953,override,우세하다,19
12815,republican,공화주의자,18
14237,known,모두 다 아는,9
10211,crab,게,41
6599,breed,새끼를 낳다,43
11188,empty,비어있는,33
6048,frenchman,프랑스 선박,70
10987,starters,선발,23
7117,paramilitary,준 군사회인,63
5926,voluntarily,자발적으로,71
6340,novelty,진기함,66
13995,large,크기가 큰,7
9795,sergeant,중사,43
6518,puritan,청교도,62
3276,embraced,껴안은 것,61
13322,hey,이봐,15
4702,irresponsible,책임지지 않는,76
13824,more,더,5
7049,sauce,소스,63
6349,tacoma,타코마,68
11134,catalyzes,촉매제,34
7513,bz,비즈륨,61
7671,ecology,생태학,50
12554,kennedy,케네디,23
11905,jupiter,목성,28
5333,gladstone,글래드스턴,75
7113,euclid,유클리드,63
11620,ruth,룻,31
7895,thrust,추력,53
4319,demeter,디렉터,81
9025,bite,깨물다,36
8679,turnover,회전율,34
8150,fixture,고정물,41
9380,solipsist,독창적 인,48
8127,singers,가수들,19
3217,connaught,익힌 것,87
3637,hillman,힐맨,85
2876,hoya,호야,88
5989,barr,바론,58
1410,cicero,키케로,95
4927,millibars,밀리보르,73
10150,skateboarding,스케이트 보딩,29
11841,concert,콘서트,26
11460,forty,사십,31
4916,improbable,불가능하다,75
2517,southland,남국,90
11065,pluto,명왕성,36
12436,relief,안도,24
3937,descend,하강,37
3708,fuselage,동체,84
10483,intel,인텔,39
1453,solace,위안,95
10332,florence,피렌체,40
4929,frontiers,프론티어,38
5866,tubman,튜브맨,72
8831,joyce,조리,52
5069,internode,국제,77
13841,other,다른,5
521,strung,끈으로 묶이다,99
5428,nox,노스,74
11821,sequence,순서,26
1237,awfully,몹시,21
4423,fabulous,굉장한,79
13786,otherwise,그렇지 않으면,11
6570,authorship,원작자,67
11892,conventions,협약,12
13599,returned,반환했다,9
5814,reliance,신뢰,72
12110,focus,집중하다,27
10235,kilometers,킬로미터,38
342,inkblot,잉크 블롯,100
7423,angelina,안젤리나,62
2231,brownie,브라우니,88
3091,northumbrian,노스 뮤 브리아,88
13493,online,온라인으로,13
6071,monterey,몬트레이스,70
986,garter,가터 훈장,93
1390,paraguayan,파라과이 사람,90
5145,dominica,도미니카,76
10001,abstract,요약,40
5488,sweat,땀,67
13731,space,공간,11
7390,goodman,좋은 사람,62
4757,immunity,면역,47
12144,serbia,세르비아,26
12115,cultural,문화학의,12
3049,aura,영기,87
689,prescribed,처방 된 것,89
37,raping,강간,32
6050,weaponry,무기류,70
4435,nurses,간호사,38
10541,carroll,캐롤,39
2389,obituary,사망 기사,82
10253,logan,로간,41
3235,meningitis,수막염,86
8355,unproductive,비생산적 인 것,55
6718,miscellaneous,여러 가지 잡다한,66
8450,autobiography,자서전,53
10079,agricultural,농업,28
7945,lin,린들,58
9626,prostitution,매춘,41
1232,bromide,진부한 생각,95
9114,unused,미사용,46
6378,halves,반쪽,60
5009,tong,틀러,75
6674,rodman,로드 맨,66
10748,wireless,무선 전화,38
3409,stroud,강건합니다,86
10564,duff,푸딩,38
25,ants,개미,37
4549,fructose,과당,79
12923,moreover,게다가,19
9133,ballet,발레,50
10766,concrete,콘크리트,38
12018,peninsula,반도,27
7316,stover,여물,62
12212,colin,콜린,26
3176,escalating,차츰 오르는,38
14178,european,유럽 ​​사람,10
742,phoebe,페베,98
12463,taiwan,대만,24
8995,saga,사거,50
4815,wardrobe,옷장,77
1588,predominant,우세한 것,74
11213,astral,아스트랄,34
4286,paganism,무종교,64
128,chatter,끽끽 우는 소리,97
9502,colombian,콜롬비아 사람,46
8677,autism,자폐성,53
530,sturgeon,철갑 상어,98
9926,alpine,알파인,43
13491,potentially,잠재적으로,11
13836,one,하나,5
13568,minnesota,미네소타,12
967,hispanics,히스패닉계,57
2509,crossbow,석궁,90
6456,bengali,벵골 사람,68
8639,sting,찌르기,52
13354,ancient,고대의,14
4901,supercomputer,슈퍼 컴퓨터,76
9812,suzuki,스즈키,44
9432,gaelic,게일 말,48
6794,musa,무사한,65
9705,stalled,실속,37
6927,gutierrez,구티 렌즈,64
13159,crisis,위기,17
3295,punishing,처벌하다,21
1546,padre,파라사,42
3071,stateside,아메리카 본국,88
6577,brethren,형제들,67
11027,membership,회원 자격,35
3473,bobsleigh,봅슬레이,86
14105,executive,경영진,18
9745,sleeve,소매,35
13446,region,지역,11
12890,label,상표,14
13643,village,마을,12
6802,multinational,다국적 인,65
13024,navy,해군,18
1507,downstairs,아래층의,95
7129,cyan,시안의,63
7148,gestapo,게슈타포,63
9769,ger,게르,44
1855,dorian,도리스 사람,93
3941,peek,몰래 엿보다,80
2075,brant,흑기러기,92
8333,collector,수집기,49
8786,fee,회비,44
9391,harsh,가혹한,47
13474,finally,마지막으로,7
3152,poorest,가장 가난한 사람,88
13238,stanley,스탠리,16
12508,dennis,데니스,23
2154,epinephrine,에피네프린,91
1495,antidisestablishmentarianism,항재성의 항공사,95
4915,postwar,전후,77
10865,hansa,한자,37
1401,margarita,마가리타,95
5553,burundi,부룬디,74
4847,simile,직유,78
6569,neglected,무시당한 것,54
12167,delta,델타,26
12039,criminal,범인,24
2718,moonlight,월광,87
10182,navigation,항해,26
9460,fidel,피델,42
7490,experimentation,실험,36
1271,greedy,탐욕스러운,95
13926,even,심지어,7
5455,bearer,교군꾼,62
12673,conspiracy,음모,21
8905,emmy,에미,51
9527,separation,분리,13
5079,lear,리어,76
8439,elmer,엘머,55
6475,entrepreneur,기업가,62
6265,costumes,의상,39
10302,glory,영광,40
1372,apprehended,묘사 한 것,92
13830,also,또한,5
8407,faggot,동성애자,51
2345,someplace,어딘가,91
3743,pisces,물고기,84
9320,joy,기쁨,47
7777,azores,아 조레스,59
13688,million,백만,11
5626,bom,놈,73
12981,schedule,일정,13
12338,electronic,전자,19
3886,diploma,졸업 증서,81
10310,mystery,신비,33
5239,ln,제일,75
4427,recount,다시 세다,62
6211,backlash,백래시,69
4514,registry,기재,79
655,rockers,락커,71
5539,hague,헤이그,74
13442,indefinitely,무한정,13
8372,macbeth,맥베스,55
7754,aqua,아쿠아,60
5149,silesia,실레 지아,76
686,signatories,서명국,88
11733,hasn,해당,30
1585,boogie,부기,94
4570,gently,부드럽게,79
11912,willie,윌리,25
9128,bytes,바이트,43
1893,sermon,설교,86
9772,bullpen,불펜,44
6217,equestrian,승마자,65
8619,kitchen,부엌,40
2974,magnolia,목련,85
8989,clearer,지명,51
840,marjorie,마요리른,98
1293,alhambra,알 함 브라,96
13331,usually,대개,13
553,inexpensive,저렴한 것,97
3394,acronyms,줄임말,59
4647,blanco,블랑코,79
12205,chose,선택하여,26
5942,tyrone,티로 론,71
11826,bye,안녕,27
14082,san,산,10
7564,becket,도둑질,61
6576,emu,에뮤,64
7155,logistical,물류,35
1795,hereditary,유전,93
8975,butterfly,나비,49
14140,likely,~할 것 같은,5
11787,cleanup,대청소,29
489,shove,지지,75
14201,screen,화면,18
1769,reclassified,재 분류,87
14410,looking,보고,5
12730,plane,비행기,19
7641,geo,지오,60
1285,induce,유도하다,50
9559,kris,크리스,47
10172,parrot,앵무새,41
10837,spectrum,스펙트럼,37
6615,unfounded,근거 없는,66
563,roulette,룰렛,98
3675,tapping,도청,47
12773,kentucky,켄터키,21
10359,westminster,영국 국회 의사당,40
12218,sarah,사라,26
9362,cemetery,묘지,48
6900,accounted,회계,5
1446,abbr,아프르크의,95
8036,heck,지하실,58
4063,killeen,킬렌,82
8144,farther,더 멀리,57
3106,kiel,키엘,88
13341,poet,시인,14
9305,deadliest,딜 당기,48
4743,rephrase,바꿔 말하다,59
12636,kim,김,22
3172,distracting,산만 함,50
2470,pathology,병리학,78
9670,synthesis,합성,46
10637,nicaragua,니카라과,38
8875,sphinx,스핑크스,51
399,bicarbonate,중탄산염,100
7011,threshold,한계점,63
6799,batch,일괄,62
7426,reward,보상,44
8915,ping,핑,51
8425,barn,외양간,53
9429,mayo,마요네즈,48
5454,teenager,십대,32
8893,potomac,포도작,51
12372,stupid,멍청한,22
3150,shutdown,일시 휴업,86
1298,lidia,리디아,96
13353,contrib,기리점,15
3247,grosso,그로소,87
7679,chromosome,염색체,55
1926,countess,백작 부인,93
7420,brutal,잔인한 것,46
12652,secretary,비서,22
744,upstate,으스틴,98
2995,briton,영국인,61
6075,cruel,잔혹한,70
3712,scuba,스쿠버,84
8950,slot,슬롯,44
2666,bugle,나팔,88
5493,sloan,슬로안,74
811,ibid,자녀,98
2917,chiba,치바,88
11346,albania,알바니아,33
1475,macedon,마케도먼,95
8787,uncivil,미개한,51
560,hymen,처녀막,99
12417,bar,술집,20
9554,biological,생물학적,25
2795,blackberry,블랙 베리,89
