ID,KOREAN,SPAIN,INTERVAL
1548,단파,onda corta,95
5482,방화,incendio provocado,73
9346,선언,proclamación,48
11600,규정,regulaciones,23
7270,정사각형,cuadrícula,15
13416,인기있는,popular,13
10058,공제,deducción,35
6501,여리고,jericó,68
11563,대주교,metropolitano,32
10027,난민,refugiado,27
6149,부양자,resucitado,70
8892,일치,concordia,51
10486,수술,cirugía,40
9677,로도스,rodas,47
13205,테네시,tennesse,17
14267,건물,edificio,10
4202,yew.,tejo,81
1903,보스웰,boswell,93
14140,~할 것 같은,probable,5
8564,피하기 어려운,inevitable,54
3507,평양,pyongyang,86
4157,볼가,volga,82
5266,혼합,barajar,62
10372,하드웨어,hardware,41
11286,추세,tender,27
4551,그때까지,de allí,80
11512,튼튼한,resistente,31
4552,승천,ascensión,80
2660,가장 부유 한,más rico,90
2835,사지,extremidades,71
14050,상태,estados,6
6763,구원,salvación,66
6201,사보타주,sabotaje,61
8429,바구니,cesta,53
13873,어느,cualquier,5
8751,아코르의,acor,53
4487,잠금 장치,lockyer,80
6367,매독,sífilis,69
12891,파산하다,en bancarrota,20
11843,헝가리 인,húngaro,28
10188,공고,notificación,41
9706,모세,moisés,46
578,얼빠진 실책,metedura de pata,96
4006,포퓰리스트 주의자,populista,73
12933,피난처,refugio,19
13951,~ 해야 하다,debe,7
13175,네아,nea,17
13646,찰스,charles,12
921,획득,obtención,78
11955,사냥,cazar,24
6782,자치,autonomía,66
6117,거상,coloso,70
9546,기근,hambruna,47
5642,암모늄,amonio,73
5486,이사야,isaiah,74
6537,냉각 장치,cool,68
901,멀리간,mulligan,97
2643,점도,viscosidad,88
6145,와가,wagga,70
14341,본부,central,10
9211,호흡기,respiratorio,50
8924,어란,hueva,51
13980,보고 된,reportado,5
13710,그러므로,por lo tanto,12
8752,체로키,cherokee,53
13474,마지막으로,finalmente,7
3379,줄다,disminuir,50
5056,리간드,ligando,63
10436,대체 된 것,sustituido,21
13052,믿음,fe,17
9654,전령,mensajero,45
1022,구조자들,rescatistas,96
9269,램프,lámpara,48
12706,예수,jesús,22
4470,알빈 주의자,albinismo,78
4733,가장 멋지다,más fresco,79
4050,경,sutra,80
13468,장관,ministro,13
9449,돔형,dom,48
5826,도미늄,dominique,72
5868,엑스터시,éxtasis,72
12909,폭행,violencia,20
122,살람,zalema,100
8913,클립,acortar,38
8942,지독한,devastador,38
8342,마그나,magna,56
13920,어디,dónde,7
13451,영화,película,12
12756,이동하는,móvil,15
9559,크리스,kris,47
10443,장애가있다,deterioro,38
8799,계획된,calculado,28
2597,독자층,número de lectores,90
11636,비교하다,comparar,11
8520,제기 된 것,planteado,38
4214,우와,whoa,82
9609,전위,guardavía,47
12951,켈리,kelly,19
5382,...을 나타낸다,denotar,29
11078,극적인,dramático,30
1628,핀 홀,agujerito,94
12703,가장 좋아하는,favorito,21
9571,벙커,búnker,44
9215,푸오,pooh,49
11129,더 빠르게,más rápido,36
7313,밴 자이,banzai,62
11207,조안,joan,35
2297,대결,dar por,91
7400,아치,archie,62
10383,비공식적이다,no oficial,38
5647,비열한,vil,73
2960,양보,concesión,64
14102,공식적인,oficial,9
3606,정서,ayunarse,85
2331,한번 흘낏 봄,vistazo,91
8802,재검토,reconsiderar,50
6862,공기의,salida en antena,65
11560,입다,tener puesto,22
3360,와피 티,wapiti,87
6189,요즘에는,hoy en día,70
11699,안전한,a salvo,27
12536,푸에르토,puertón,23
13077,이닝,inning,12
8718,모자,sombreros,26
10426,말린 씨앗,baya,39
8631,어린 양,cordero,50
11660,병합,unir,18
12708,깁스,emitir,19
7305,나체,desnudez,62
5813,감비아,gambia,72
1928,마르르,shr,93
12514,리버풀,liverpool,24
5451,이론적으로,teóricamente,54
10030,바베이도스,barbados,44
13604,스포츠,deportes,11
13249,고속 도로,pista de carreras,16
9858,샌드위치,sandwich,43
7523,gd.,g dif,62
14440,책,libro,9
12989,들었다,oyó,19
13064,지옥,infierno,18
13376,마이애미,miami,15
9087,해당합니다,correspondencia,26
8862,라오스,laos,49
10401,장난감,juguete,36
13925,~하는 동안,mientras,6
7932,루베,palurdo,59
7023,양탄자,alfombra,62
7063,충신,lealista,56
3804,아스피린,aspirina,84
4677,칸 쿠크,canuck,79
8406,락크,lak,56
26,류신,leucina,100
4869,파편,fragmento,47
12477,체코 사람,checo,24
12678,뷰캐넌,buchanano,22
11294,유전자,genético,26
10798,투수,jugador de bolos,28
158,림보,limbo,100
11946,표현 된 것,expresado,15
10403,오물,inmundicia,41
14293,캘리포니아,california,10
701,타원,elipse,93
10226,독점적 인,exclusivo,23
8065,세그먼트,segmentos,33
7099,반역,traición,62
9535,연기 됨,pospuesto,42
7447,데리,durry,62
1141,도형자,figo,96
7317,마들리,madeleine,62
13756,바위,rock,11
1327,읽고 쓸 줄 모르는,analfabeto,93
12597,병원,hospital,20
13337,하느님,dios,14
1107,키퍼,guardabarros,42
762,뉴스 편집실,salón de noticias,96
6476,날카롭게,bruscamente,68
846,고가 도로,paso superior,92
6865,주저하는,reacio,60
5808,파멸,bleu,72
7395,서핑,surf,46
46,방형 보루,reducto,94
11121,에스토니아,estonia,36
12291,극심한,extremo,17
14167,가족,familia,12
10787,중세,medieval,38
2329,수업료,matrícula,91
3937,하강,descender,38
7257,하지,hajj,63
10203,원자,átomo,26
10645,내뚫다,atravesar,34
8181,로드엄,rodham,58
8888,당뇨병,diabetes,49
4612,바나나,plátanos,38
9545,환상적인 것,fantástico,46
927,임펠러,impalor,88
12282,미친,loco,25
10664,씨족,clan,35
13869,그런,semejante,5
9556,누,nú,42
11639,슬라롬,slalom,29
1019,활주로,pista de aterrizaje,92
7984,하이드,hídeo,59
9915,도버,dover,44
9147,리용,lyon,50
14480,놀다,jugar,7
7972,폴크,polk,59
11971,트럭,camión,25
12031,동맹,alianza,27
1931,우박,granizada,88
7282,곤충,insecto,58
10093,리타,rita,43
9647,잠비아,zambia,47
2073,그릇된 정보,desinformación,92
10260,웨슬리,wesley,42
10738,고용 된 것,contratado,29
14174,관리자,gerente,9
12313,수 프림,supremo,25
13985,공공의,público,8
12279,준비했다,preparado,16
9803,중요하게,en tono rimbombante,45
6459,녹,oxido,64
6543,빌,ville,65
189,아와,awa,100
9027,진흙,lodo,51
13237,주인,maestro,13
3509,미가,micah,86
8327,정위,orientación,32
14190,어느 하나,cualquiera,8
2728,모렐로,morello,89
4610,배웠다,aprendió,79
1471,길가 씨,gilgamesh,95
11885,케니,kenny,29
11358,여러분,todos,34
13096,오두막,cabaña,18
14289,기계,máquinas,9
9135,스탈 링그라드,stalingrado,51
9536,말다툼,pelearse,47
8816,갈릴레오,galileo,53
2214,브릿지,britt,91
7929,잉카,incas,39
7668,처음,comienzo,61
8117,신경성 식욕 부진증,anorexia,58
14363,로버트,robert,11
4949,무정부주의,anarquismo,74
6198,기함,buque insignia,70
6916,보이는 사람,bóer,63
8543,쉿,sh,55
14222,가까운,cerca,10
1661,항공 전자학,aviónico,87
11531,코헨,cohen,32
3197,보건 의료,cuidado de la salud,87
5488,땀,sudor,67
2955,캐럿,quilate,87
12484,통계,estadísticas,20
6116,찰싹,bofetada,54
3230,의복,vestidos,62
8809,폴카,polca,53
3691,스카우터,scouter,85
9176,전례없는,sin precedentes,50
1703,번지,bungee,94
3838,소름 끼치게 하는 사람,sorpresa desagradable,82
10709,매우 정확한,matemático,21
1679,고개 위로,cuesta arriba,94
7131,메스 칼린,mescalina,64
10968,델라웨어,delaware,37
6596,프로토,proto,67
11503,티베트,tíbet,32
8901,이빨,diente,50
10007,호간,hogán,44
10624,통합,consolidado,33
6627,코카서스 산맥,cáucaso,67
10441,가브리엘,gabriel,40
8197,결석 한,ausente,57
7640,모순 된 것,contradictorio,61
6676,노새,mula,59
943,만다라,mandala,96
125,칼리의,kali,99
1767,연금,pensiones,62
8488,산사태,deslizamiento de tierra,42
1333,절반,nunca más,96
9789,이더넷,ethernet,45
1413,등록,inscripción,66
5555,삼사히,samsara,74
9051,안락사,eutanasia,51
2286,축차,rotor,90
7732,일주일,diem,61
9180,해리엇,harriet,50
14385,자산,activos,38
12040,제안,sugerencia,9
5888,유성,meteorito,67
7965,이울다,marchitar,58
6143,아시리아 말,asirio,65
6295,수,sui,69
4454,증발,evaporación,64
11059,주간,semanal,36
2841,코커,cocker,87
14055,오다,venir,7
11826,안녕,adiós,28
14029,약,alrededor,8
13374,아이오와,iowa,15
154,연결점,nexo,100
14060,육,seis,10
51,렌치,llave inglesa,91
7302,삭감,barra oblicua,47
394,래션,latería,100
13368,트로피,trofeo,15
4613,보완적인 것,complementario,79
13000,케언즈,mojador,19
13221,곧장,directamente,16
6854,천연두,viruela,66
2244,족근,tarso,91
10122,발생합니다,ocurre,11
5914,여분,superávit,72
6132,매기,maggia,70
11551,킥오프,patada inicial,31
8897,임의의,arbitrario,52
3593,사마리아인,samaritano,84
12431,봉사,sirve,11
9237,타르,alquitrán,49
12776,적용 범위,cobertura,21
12465,청소년,juventud,22
11432,엘리트,élite,32
12503,영웅,héroe,19
11848,승인,aprobación,19
6674,로드 맨,roduce,67
14176,바라보다,mirar,5
11951,인구 조사,censo,29
11612,블레어,blair,32
8059,오이,pepino,58
5237,에어 크리프,tripulación aérea,51
9136,역설,paradoja,46
1878,toppled.,derribado,78
8638,셸리,shelley,54
13251,벨,campana,15
8219,카톨릭교,catolicismo,57
7612,그로버,grover,61
8421,페르시아,persia,56
11641,반항,rebelión,30
7412,화필,fitch,62
10894,디모데,timoteo,38
12797,조종사,piloto,17
11287,줄자,cinta,27
2939,지겨운,de mierda,85
13281,일 순위,primario,15
12843,팬,sartén,20
10071,엘렌,elen,43
4961,호넷,avispón,54
10878,알바니아의,albanía,38
1756,급우들,compañeros de clase,84
3004,버번,borbón,86
1071,용모비,mort,95
45,경전,sagrada escritura,80
1477,교장,director de escuela,93
872,빌라도,pilato,97
552,억제되지 않았다,desvinculado,94
5506,불안정,inestabilidad,74
8167,참가자,participantes,51
7296,발칸 산맥,balcanes,53
1611,과다,plétora,94
8923,팝콘,palomitas,52
12531,말로,macho,23
12852,숲,bosque,19
5741,유다,judas,73
2472,샛길,oblicuo,90
10977,거친,áspero,34
10750,엘리,eli,38
10832,개요,visión de conjunto,37
1060,숟가락,cucharas,51
3107,석영,cuarzo,88
13122,별들,estrellas,9
13081,잡지,revista,17
7899,완화,aliviar,27
11297,캣,kat,33
5759,서두르다,apurarse,67
8579,덕분,dem,55
12741,관절,articulación,21
6368,프롱 포그,pronger,69
10248,적의,hostil,31
8205,유도,inducción,45
11535,태국인,tailandés,32
9252,미터법,métrico,47
14401,특정한,específico,8
13252,비,lluvia,14
14511,떠나다,dejar,7
2686,이글루,iglú,90
14149,하나의,soltero,9
7644,핏기 없는,pálido,61
10835,mb.,megabyte,38
7236,서지,bibliografía,62
4981,근친 상간,incesto,78
3550,경영자,gerencial,86
5050,수정 자,revisionista,70
14237,모두 다 아는,conocido,9
36,비민주적인,no democrático,100
10185,조슈아,josué,42
5353,바탄,bataan,75
3436,스칸디나비아,escandinavia,86
7845,오일러,euler,60
4338,iceman.,repartidor de hielo,81
13533,후안산,juan,13
8842,수액,rabón,53
4063,킬렌,killeen,83
9323,치명적인,fatal,25
13948,그를,a él,9
8440,독감,gripe,56
2610,젠,jen,90
12912,법인,corporación,16
14273,머리,cabeza,9
11605,장르,género,27
13536,캔자스,kansas,13
8997,불을 떼다,cebar,44
9707,조화,armonía,44
1855,도리스 사람,dorio,93
8792,제우스,zeus,53
7868,보츠와나,botsuana,60
10246,할로윈,víspera de todos los santos,42
7301,블리츠,bombardeo aéreo,58
13676,초안,sequía,11
10653,포수,receptor,35
7997,백열,incandescente,58
12739,듣다,escuchar,18
8611,송곳,taladro,41
1639,생리의,menstrual,94
11942,쇼핑 센터,centro comercial,28
12232,파나마,panamá,26
12143,새,pájaro,24
2811,사이드카,sidecar,88
7798,말뚝,apostar,47
8057,비준,ratificado,54
5007,유즈넷,usenet,77
12630,시설,instalaciones,19
1764,차단기,bloqueador,84
12778,위반,violando,6
13084,싱가포르,singapur,18
10512,갇혀있다,bloqueado,26
9727,회보,boletín,41
8559,티스,tis,42
2251,방사선 카본,radiocarbono,91
9777,혐의가있다,sufrir,45
100,곱사등,jorobado,100
14476,운전,impulsos,10
5233,원장,libro mayor,76
8595,천재,genio,54
7669,공감,simpatía,57
10415,줄리엣,juliet,41
9905,공격적인,agresivo,34
6400,상호 복수,vendetta,68
4854,갈릴리,galilea,78
13981,보다,ver,5
6839,제임슨,jameson,66
884,고대,buena suerte,97
1795,유전,hereditario,93
13966,필요,necesidad,6
13681,전송 된,enviado,12
11288,시라큐스,syracuse,35
12056,슈도모나스,pseudomonas,28
3961,모론,idiotas,48
6323,규석,rebaba,69
2356,제자리,frazador,91
5152,underone.,sufrido,76
3609,수미자,sumner,85
2482,라벤더,lavanda,90
1894,암사슴,posterior,78
1365,터리,terre,96
64,슬프다,entristecido,93
382,힐크레스트,hillcrest,100
8710,용기,coraje,49
12854,벨기에,bélgica,20
12961,노란색,amarillo,19
12395,먼지,polvo,25
2087,클리오,clio,92
2507,유제,emulsión,90
8118,천식,asma,58
2166,숯,carbonizarse,82
1588,우세한 것,predominante,75
8747,고향,patria,53
7406,안면 경련,tic,62
12325,외화,extratropical,25
6317,광합성,fotosíntesis,69
14457,개발하다,desarrollar,10
13313,여자,galón,15
5165,아식지,aser,76
12471,약간,levemente,24
9287,케이,kay,49
12344,가장 빠른,lo más rápido,25
9567,김미다,gimme,47
211,왈론 사람,valón,100
8447,큰길,bulevar,55
1423,티로신,tirosina,95
8910,적외선,infrarrojo,52
1788,소라,sora,93
12911,박물관,museo,19
14019,창,windows,12
12134,피해자,víctimas,23
13592,쿠루,kuru,12
5123,앨범,albus,77
6570,원작자,paternidad literaria,67
6567,빌려주 다,prestar,45
13619,사용 가능,disponible,12
4689,자화물,freído,79
9029,시베리아 사람,siberiano,51
2088,쇠약 해지는 것,debusto,92
7458,에일,cerveza inglesa,58
11978,베냐민,benjamín,28
4944,시온 주의자들,sionistas,41
13214,아일랜드의,irlandesa,16
13353,기리점,contribución,15
10966,게티스버그,gettysburg,37
492,변비,estreñimiento,96
4913,소포함,sófocles,78
2491,제류도,jekyll,90
9355,웡,wong,49
12611,도쿄도,tokio,23
4567,첼로,violonchelo,79
12324,콜럼버스,colón,25
6300,후계자,heredero,62
12753,윈도우,ventanas,12
10171,아무데도 없어,en ningún lugar,42
14488,민주적,democrático,15
7804,포유류,mamífero,52
10702,통,barril,35
1570,과도 현상,transitorio,92
9299,아벨,abd,49
7606,모기,mosquito,58
11124,인상,impresión,22
4111,쇼트닝,acortamiento,36
5218,산고,dolores del parto,75
2299,불법적 인 것,ilícito,91
5207,스토킹,acosado,44
8577,보이지 않는,invisible,52
10819,마르코,marco,38
5778,못된,travieso,72
2857,unicated.,no resuelto,88
8713,대만 사람,taiwanés,54
11360,어떻게 든,de alguna manera,34
8329,기분을 상하게했다,ofendido,25
13013,패션,moda,17
4573,리보솜,ribosoma,70
7614,재미있게,curiosamente,61
881,...의 스타 더스트,stardust,97
8532,루벤스,rubens,55
2700,녀석들,dudes,24
2154,에피네프린,epinefrina,91
12789,사상자,damnificados,19
9451,챈들러,velero,48
12589,암스트롱,armstrong,23
5631,가독성,legibilidad,53
2224,황홀한 도취,encanto,91
7149,전도사,misionero,56
14094,최상의,mejor,8
13768,그 자체,sí mismo,12
10354,동창들,alumni,41
6114,토큰,simbólico,64
5945,모데나,modena,72
6988,야옹,maullar,65
13553,굵게,audaz,13
1932,미디,midi,92
13995,크기가 큰,grande,7
7228,페루의,peruano,62
7454,이오,io,61
10911,개들,perros,8
8381,일생,toda la vida,56
8418,갈겨 쓰다,escribiendo,52
10201,예측,pronóstico,30
9228,시리아 인,sirio,48
7832,디킨즈,dickens,60
2799,스테토르,estentista,89
10548,램,ram,22
6609,가계,ascendencia,66
10521,빈곤,pobreza,40
4523,마라 티,marathi,80
10363,바이너리,binario,41
5652,불의,ígneo,73
12277,자가,jaga,26
10448,헬싱키,helsinki,40
10241,이발사,barbero,42
1224,장의 지위,capitanía,96
13765,그루지야,georgia,12
13417,말하는,mencionado,10
5817,히드 록실 라제,hidroxilasa,72
4805,비난하다,condenar,34
8715,도박,juego,40
6236,루어,rusher,64
12783,사진관,estudio,18
7243,카이로 프랙틱,quiropráctica,63
10022,공물,tributo,42
11937,롱혼,longhorns,26
9465,극단론자,ultra,46
10450,무례한,maleducado,38
8459,국고,tesorería,55
8018,녹스빌,knoxville,59
3371,매서운,demacrado,86
10643,자은,hilado,39
10211,게,cangrejo,42
11924,성적으로,sexualmente,17
273,rem.,movimiento rápido del ojo,99
8092,탔다,montó,58
4622,식인 풍습,canibalismo,63
1895,그럼,numero,93
10698,재평가,reevaluado,38
3694,릿리,ridiar,85
5612,사춘기,pubertad,74
7717,명사,sustantivo,53
2229,스모그,niebla tóxica,91
11601,보트,bote,26
13164,역할,papel,16
10874,대리인,diputado,33
3140,세라믹,cerámico,79
6599,새끼를 낳다,criar,44
12845,연료,gasolina,20
8734,전송,transferencia,12
12026,구조하다,rescate,25
5098,외교관,diplomático,34
10518,노르웨이 인,noruego,39
1546,파라사,capellán,43
13778,웨일즈,gales,11
12001,유급의,pagado,28
9024,이산화물,dióxido,51
14004,가고 있다,yendo,7
13576,명령,mando,10
12228,제시,jesse,26
8884,능률,eficiencia,34
6696,지원되지 않았습니다,no compatible,65
10549,식사,comiendo,15
6180,공석,vacantes,63
2844,퍼핀,frailecillo,88
8339,박해,persecucion,51
10057,핸들,máquina de alquiler,43
1167,둥근 돌출부,lóbulo,88
1211,싸게,a bajo precio,96
4223,음영 처리,sombreado,45
1119,전기 분해,electrólisis,96
5617,해바라기,girasol,74
4433,...을 기쁘게 생각하다,aclamado,15
7216,모피,peludo,63
12606,고발 당한,acusado,15
9713,고딕,gótico,46
5027,예언,profecía,69
9341,대아형,anastrofe,49
9340,오줌,pipí,48
14266,논평,comentario,6
3916,도토리,bellota,81
7153,이혼,divorcio,58
1126,배나,bannister,96
3642,큰쥐,bandicoot,85
13009,투기장,arena,18
5005,분야,esferas,33
11429,취임식,inaugural,30
12654,빌다,sería,22
1067,깜둥이,niggers,47
5302,발톱,garra,72
5177,카인,caín,76
180,헤아릴 수 없는,incalculable,100
13184,가볍게,ligeramente,17
6481,버피,buffy,68
6329,바람이 불어 넣어,barlovento,63
13990,pc,ordenador personal,36
6460,많음,en abundancia,68
1687,준비되지 않은,desprevenido,94
8759,치는 사람,huelguista,41
7975,지나친,vencer,59
8946,인내심있는,paciente,38
9785,묻혔다,enterrado,37
9485,어린애 같은,infantil,47
13475,페르시아 인,persa,13
6224,바퀴벌레,cucaracha,70
11980,아테네,atenas,28
1390,파라과이 사람,paraguayo,90
12163,뉴턴,newton,27
2911,인덕터,inducciones,85
2972,비행사,aviador,88
11892,협약,convenciones,13
3595,농약,pesticida,79
11203,자랑스러운,orgulloso,35
8965,현명한,sensato,48
10879,회복,recuperación,37
4200,파크,parc,82
5167,산트,sant,76
1731,사인,seno,88
14044,요율,tarifa,7
9074,뿔뿔이 흩어진,dispersado,45
3284,샤리아,sharia,87
6199,드문,poco común,70
5925,비오리,lluvioso,72
12304,브루클린,brooklyn,26
3457,물수리,águila pescadora,78
7883,상업적으로,comercialmente,9
7891,날 뛰기,alboroto,57
7831,오리너구리,ornitorrinco,60
4043,간단,sencillez,82
5973,정돈,mater,71
12066,호의,favor,21
12548,죽이는,asesinato,10
13167,고고,gogo,17
7892,동맹국,aliado,18
12301,주사,escanear,18
272,발라,bailar,90
13222,휴스턴,houston,16
10422,거짓말하는,mintiendo,20
4784,판지,cartulina,79
12131,후보자,candidato,19
8203,그린란드,groenlandia,57
13286,그 자신,él mismo,16
12172,밀레니엄,milenio,27
5674,치누크,chinook,71
6594,그을음,hollín,67
13304,팬들,aficionados,11
8743,부드러운,tierno,47
13058,오르다,llega,7
1452,운송원,calzada,95
9737,캠,leva,39
12931,방,habitación,18
3522,백안,hwan,86
14379,옆,lado,10
11049,신이 옳다고 하다,justificar,24
7070,닦아 냈다,limpiado,51
14091,n,norte,8
7267,오행 희시,quintilla cómica,62
3852,분기,ramificado,25
1244,괴롭히는 것,maldito,28
14322,대화,negociaciones,5
6407,지붕 창문,lumbrera,69
3033,감사,auditor,86
7381,능숙한,práctico,62
8649,치수,dimensiones,40
8636,울버린,glotón,32
3791,쉐이킹 식,agitado,84
10272,상하이,llevar a la fuerza,42
13938,주식,comparte,6
13896,아래에,bajo,7
2077,호색한,córneo,92
11869,빵 굽는 사람,panadero,29
10215,건장한,sano,42
4061,풍선,globos,40
9855,옥시 듀어 아제,oxidoreductasa,45
13397,고양이,gato,13
1571,문서화되지 않은,indocumentado,94
10669,사설,editorial,35
6128,독액,veneno,67
8145,염증성,inflamatorio,58
6309,아르 시데스,arquímete,69
9241,녀석,no hombre,50
3742,몽고 어,mongol,83
660,참석하다,asistir,15
2727,아스토르,astor,88
14288,대학교,universidad,7
1676,여성 단체,hermandad,94
3470,보닛,capó,76
4069,토템,tótem,82
8462,플라토,platón,55
2615,풍자 만화,caricatura,83
11046,역사가들,historiadores,27
9208,텐트,centavos,26
4298,추운 것,más frío,81
10993,세례 요한,bautista,36
9917,알레프의,aleph,44
7477,공원 도로,parkway,62
13977,원하다,desear,5
985,웨스텔,wessel,97
5428,노스,nox,75
3529,수경법,hidroponia,83
4211,잡아라,agarra,39
8233,스왑,swa,57
1150,페놀,fenol,91
11201,자치령 대표,agentes,21
6066,물소,búfalos,18
11817,acc.,accidente,30
12686,정돈하다,ordenado,22
2022,자리 표시 자,marcador de posición,92
12098,보수적 인,conservador,21
11785,스파르타 사람,espartano,24
4448,요세 핀,josephine,80
5899,영양,antílope,72
9420,인종 차별 정책,segregación racial,48
1786,달마 시안,dálmata,73
9661,온천,spa,46
13311,혹시,posiblemente,7
10747,변호사,abogado,36
934,큰 시련,crucifixión,97
6575,타오,tao,63
12078,아마추어,aficionado,26
3849,카밀라,camilla,84
13198,수락 할 수있는,aceptable,6
5838,위로 향하여,hacia arriba,61
4967,테라핀,terrapinas,74
4439,정치가,estadista,80
9849,기미,especia,44
11174,가능하게하다,facilitar,32
12826,칼,carl,20
12432,태도,th,25
8457,프리츠,fritz,55
12214,수정,correcciones,9
3534,영스타 타운,youngstown,86
10159,훈련자,entrenador,37
5670,그라 어,gras,73
1850,두운,aliteración,93
8468,보답 없는,sin respuesta,55
4445,전경,primer plano,80
13548,펜실베니아,pensilvania,13
10730,괌,guam,38
9174,축하합니다,felicidades,42
12351,거미,araña,25
11108,스카우트,explorar,24
9577,전국적으로,a escala nacional,47
3861,오인,idea equivocada,63
9503,예멘,yemen,48
2982,gid.,gig,88
10107,부족,tribus,30
5965,뒹굴다,movimiento de piernas,58
10469,채널,canales,15
8909,바빌론,babilonia,52
4814,침략자들,invasores,31
4663,다듬지 않은,inconcluso,79
7213,딸들,hijastro,32
8548,악당,villanos,47
522,코튼 우드,álamo de virginia,99
8764,프레스노,fresno,53
1796,resupply.,reabastecimiento,88
7964,경보,alarma,48
418,쉐어,sher,100
8516,강하게 함,intensificación,55
13438,문학,literatura,14
920,수채화,acuarela,97
2420,계획자,planificadores,82
14461,테이크,acepta,5
1147,다이 하드,intransigente,96
10069,라마승,lama,42
8988,수행자들,intérprete,10
11552,로고,logotipos,11
1376,트리 나,trina,96
11661,잊어 버렸다,olvidó,31
11453,와이오밍,wyoming,33
14382,완벽한,completo,8
3837,톱니 바퀴,cag,84
6606,팬시 한,elegante,61
10987,선발,arrancadores,24
9574,월리,criajo,46
4233,오류,errar,81
7552,막,membrana,61
2217,비대칭,asimétrico,86
6832,파괴,demolición,63
11729,배달 된 것,entregado,24
8687,암울한,severo,54
1817,모래 파는 곳,mina de arena,93
4372,코일,bobina,78
13636,태그가 붙은,etiquetado,7
704,나쵸,nacho,98
3424,금기,tabú,84
6843,여권,pasaporte,60
7796,반어,ironía,60
11111,표제,subtítulo,31
7434,악센트,acento,54
782,종마,semental,91
6643,사라지다,desaparecer,35
7585,코뿔소,rinoceronte,62
9900,성전,yihad,45
10164,오마하,omaha,42
6497,열도,archipiélago,68
9679,갑옷,armadura,21
2494,버티다,resistir a,87
12736,압박,prensado,12
6311,난파,destrucción,69
8741,리믹스,remix,42
1654,음낭,escroto,93
9871,저항 세제,insurgentes,33
362,차별적 인 것,discriminatorio,100
13799,저것,eso,5
13791,그만큼,el,5
1690,녹내장,glaucoma,94
5503,amassed.,acumulado,63
9384,투수판,montículo,46
13409,12 월,dic,14
4004,공포증,fobia,83
2113,스트립 쇼,estriptís,92
12809,약간 뒤틀리게 하다,almiar,21
5288,마카로니,macarrones,76
1594,진화하는 것,evolucionando,36
8262,니켈 로디언,nickelodeon,57
5256,황후,emperatriz,75
11901,인치,pulgada,20
7280,개구,devanar,62
13267,온타리오,ntario,16
11740,일정한,constante,30
6075,잔혹한,cruel,71
7986,기절했다,aturdido,42
709,실컷 때리다,derrotar a,85
779,상처 없는,indemne,98
5825,떼,rebaño,66
6134,시에,sie,70
14433,수수료,comisión,19
1039,임시 변통,improvisado,97
