ID,KOREAN,ARABE,INTERVAL
5335,훌륭한,الشجاع,74
7823,클레어,كلير,47
7047,라틴계,لاتيني,61
13343,제대로,على وجه صحيح,15
14211,주,أسابيع,8
12035,불가능한,غير ممكن,27
6914,비령,باين,64
10610,영업 이익,واردة,34
423,극작가,الكاتب المسرحي,96
2485,습한,رطب,68
7414,간접적 인,غير مباشر,62
13020,합의,اتفاق,17
12178,브렛,بريت,26
13865,우리,نحن,5
8503,시민권,المواطنة,55
727,전례,الليتورجري,96
8349,랭글리,لانجلي,56
6017,미리 암,مريم,70
13785,뉴질랜드,زيلندا,11
10030,바베이도스,بربادوس,43
311,사리,ساري,97
13115,이집트,مصر,17
12768,네덜란드 사람,اللغة الهولندية,21
6217,승마자,الفروسية,65
2182,안마당,فناء,91
3485,헤로인,صفعة,62
7841,헐리,هيرلي,59
12481,유리,زجاج,22
7011,한계점,عتبة,63
1632,최면술,التنويم المغناطيسى,94
3360,와피 티,wapiti.,87
10651,옵션,والخيارات,7
2347,포획,بلاد,54
4318,정신과 의사,الطب النفسي,81
7291,수마트라,سومطرة,62
10706,갑판,ظهر السفينة,38
11692,지진,الزلازل,12
6153,신임장,أوراق اعتماد,67
8223,접미사,لاحقة,52
11702,부정확하다,غير دقيق,30
12262,해적들,غزاة,25
7599,정기선,بطانة,57
11435,직장,الواجبات,18
992,광택,لمعان,86
10751,프레이져스,فريزر,38
2686,이글루,المبني القبني,89
12936,포트,ميناء,18
8300,얼룩말,الحمار الوحشي,52
12484,통계,الإحصاء,20
7254,레이어,طبقات,36
7266,로아 노크,رونوك,62
9310,본사,مقرها,16
4902,범퍼,بوم,74
520,비정상적인 것,في عداد المفقودين,94
11311,실행 취소,الغاء التحميل,22
12228,제시,جيسي,25
12627,프란시스,فرانسيس,22
406,메콩,ميكونج,100
8501,계산법,حساب التفاضل والتكامل,55
789,해거,هاجيس,98
9096,견인,يجر,41
7169,반등했다,انتعشت,26
11091,카슨,كارسون,36
7676,셀 수 없는,لا يحصى,60
5534,올림포스 산,أوليمبوس,74
2562,벨로루시 사람,byelorussian.,89
3115,에스해,إيجة,88
8968,자고있는,نائم,16
12787,켄트,كينت,21
3131,하품,تثبيث,84
1688,왕새우,جراد البحر,94
8618,아우스타카,أوغستا,54
1824,숙취,دوار من اثر الخمرة,92
9658,랭커스터,لانكستر,46
4667,요르단의,الأردني,71
12227,출생,ولادة,12
1641,전원,الحنث,89
11513,사회당,الاشتراكي,30
421,스토리 보드,القصة المصورة,100
7143,죄을 짓는 것,فور,63
6564,밀집한,كثيف,59
6175,밑에서,wheely.,67
103,관상관,التاجي,100
6774,콜롬보,كولومبو,66
7480,켈럼,كيل,62
6692,회충,الديدان,46
6558,징계,تأديبي,67
3763,요세미티,yosemite.,84
10700,자른,اقتصاص,25
11467,그것에 의하여,وبذلك,32
493,편두통,صداع نصفي,96
3886,졸업 증서,شهادة دبلوم,81
1716,루갈,rougeau.,94
6972,gurne.,جورني,64
6262,loki.,لوكي,69
9029,시베리아 사람,سيبيريا,50
3483,바론셋,بارونيت.,78
9817,마법사,ساحر,31
11995,뒤쪽,مؤخرة,27
121,녹말,نشاء,96
11485,아이티,هايتي,32
13297,골든,ذهبي,15
9805,차고,كراج,43
12669,활동,نشاط,10
2876,호야,هويا,88
13884,삼,ثلاثة,7
2384,리스 츠,liszt.,91
3595,농약,مبيدات الآفات,79
3245,agonist.,عاجزة,78
12929,삼루타,ثلاثي,18
2899,무장 해제하다,نزع سلاحه,57
10295,반역자,المتمردين,27
9985,섬망 상태,هذيان,43
13703,빨리,بسرعة,12
3248,지구인,الأرض,87
3432,경색,جلطه,85
1623,야생,الوحشي,94
2994,블루메,بلاء,88
820,발암 물질,السرطان,87
1056,세린,سيرين,91
10011,매니,ماني,43
12934,프레드,فريد,19
11398,이리 같은,الترمس,33
3675,도청,استغلال,48
8611,송곳,تدريبات,41
246,상담,تقديم المشورة,59
11007,버마,بورما,37
3111,래칫 휠 장치,اسئلة,88
848,agricole.,أجريكول,98
12294,나토,حلف شمال الاطلسي,25
5530,추천 광고,دعاية مغالى فيها,71
5230,와동,دوامة,75
12115,문화학의,الثقافية,12
10897,목자,الراعي,37
7058,엔,ين,64
14312,위치,موضع,6
13412,솔직한,صريح,14
10485,차원,الأبعاد,39
8376,자신감,موثوق,32
5738,멸망하다,هلك,63
14476,운전,محركات الأقراص,10
10470,아크,اكس.,40
8038,인,الفوسفور,58
9303,레닌,لينين,47
513,파티 자,partizan.,99
10922,뉴 펀들 랜드,نيوفاوندلاند,37
1668,만취,أربك,94
5554,로타리,روتاري,72
13001,대학살,مذبحة,17
13092,패널티,ضربة جزاء,14
3868,해결되지 않은,لم تحل,83
5598,억지로,غصبا,66
4414,소규비,نوفيلا,78
13699,다니엘,دانيال,12
3934,뚱뚱한 여자,بيرثا,83
3497,메인 라인,الخط الرئيسي,83
10000,옴,om.,43
14480,놀다,يلعب,7
6746,가구,أثاث المنزل,66
14193,그렇지만,رغم ذلك,9
4040,내과 의사,الطبيب المعالج,70
11218,옆에있다,جنبا إلى جنب,35
5369,반격,مكافحة مضادة,65
5172,할머니,جدة,75
8345,살라,سلالة,56
3845,인쇄실,غرفة الصحافة,84
7900,팔꿈치,كوع,56
10477,이라,الجيش الجمهوري الايرلندي,40
12628,엘리자베스,إليزابيث,22
6594,그을음,سخام,67
4147,육교,جسر,77
12357,기관,المؤسسات,6
7745,지하 감옥,زنزانة,42
551,표류자,الاضطرار,98
12344,가장 빠른,أسرع,25
5165,아식지,آشر,76
1386,아나모픽,بصحة جيدة,96
1164,자극제,التحفيز,96
13945,어떻게,كيف,7
6029,작,أوبوس,70
10646,입구,مدخل,37
3282,중합 효소,polymerase.,87
11176,저자,المؤلفون,9
4941,빨래,غسيل ملابس,77
13250,갯벌,tiddly.,16
11116,아열대,الاستوائية,35
14338,본다,مرئي,11
7390,좋은 사람,رجل صالح,62
14095,평균,متوسط,10
5213,저렴한,أرخص,75
1473,마구,ظفيرة,87
13986,공동,شارك,13
4203,한조각,خردة,52
4122,부티 레그,يبيع بطريقة غير شرعية,68
3557,레이 업,يستلقي,86
8556,사법부,القضاء,54
11122,구덩이,buccaneers.,34
3910,길가,جانب الطريق,83
5342,다년생,الدائمة,72
719,희석제,أنحف,98
8512,totrette.,توريت,55
13867,만약에,لو,5
5705,내레이터,راوي,53
11061,탄약,ذخيرة,36
4933,그릴,شواية,61
9954,노점,كشك,43
1016,목례,إيماءة,89
6706,파르테논,البارثينون,66
7256,카운트 다운,العد التنازلي,62
9772,불펜,حظيرة الثيران,45
11816,위조,التزوير,27
10789,도구,أدوات,19
12767,열개의,عقد، عشر سنوات,18
5763,배수량,الإزاحة,40
4479,운동가 정신,روح رياضية,80
13362,한정된,معرف,13
9582,마르타,مارثا,47
14507,센터,مركز,9
13367,6 일,6th.,15
2958,sorority.,نادي نادي,63
4041,가우스,غوس,82
11525,돌아와,عد,31
10507,공황,هلع,39
9418,슬립,ينزلق,35
11934,자메이카,جامايكا,28
12240,각기 다른,منقسم,21
6388,씻다,غسل,42
9850,헤라클레스,هرقل,45
2842,킬킬 웃음,ضحكة مكتومة,65
6028,사순절,أقرض,70
13024,해군,القوات البحرية,18
3500,과부하,overlord.,83
12483,우아함,نعمة او وقت سماح,23
14444,계속되는,واصلت,5
11779,무리,تو,30
14353,설명,موصوفة,9
1561,암자,hermitage.,95
9899,임시 과녁,روفر,32
10990,햇빛,إشراق,37
3695,잠자는,في سبات عميق,84
994,슬라브,سلاف,89
9466,나이아가라 폭포,نياجرا,48
707,슬론,إزداد,98
9676,브리타니카,بريتانيا,46
5086,맹렬한,متفشيا,76
11075,아이다 호.,ايداهو,36
13154,재학생,الطلاب,12
9548,메우스,مي,47
4239,이글레 티아,iglesia.,81
3836,독점자,مكافحة الاحتكار,84
6216,베아트리체,بياتريس,69
12414,자유로이,بحرية,24
9334,드랫,رات,49
9536,말다툼,شجار,46
12036,협력,تعاون,12
10299,통사론,بناء الجملة,41
12242,개념,مفهوم,23
9102,지열,الحرارة الأرضية,51
8688,피망,الفلفل,31
13885,하다,يفعل,5
4737,곡식 가루,فرين,77
14395,줄이다,يقلل,16
4662,과다 복용,جرعة مفرطة,74
4677,칸 쿠크,canuck.,79
4640,정화,طهارة,79
5808,파멸,بلو,72
4925,웜뱃,wombat.,74
9338,요리사,طاه,47
12550,프롤로그,مقدور,23
3896,짜기,النسيج,74
4642,불길한,سيئ الحظ,79
9648,점심,غداء,46
11732,화합물,مجمع,25
292,혐오스럽게,بلا شك,77
13328,포,سلاح المدفعية,15
14034,소송 비용,التكاليف,19
6661,혈우병,سيولة الدم,66
8014,헬스장,نادي رياضي,58
9512,ulyses.,أوليسيس,48
7976,자아,أنانية,56
4157,볼가,فولغا,82
4046,부당,ظلم,77
2619,수취인,المتقدمون,61
2520,atm,ماكينة الصراف الآلي,90
7305,나체,عري,62
7274,말라리아,ملاريا,62
13897,만들어진,صنع,5
10875,네팔,نيبال,37
14234,사적인,خاص,9
9572,루시,لوسي,47
13874,거기,هناك,5
12991,달라스,دالاس,19
7667,융,تشونغ,60
1689,내키지 않아,غير مروع,94
12578,레바논 인,لبناني,23
1135,볼리바르,بوليفار,96
12384,보결,الفرعية,24
11019,평가하다,تقييم,19
7747,절정,ذروتها,39
8081,반지름,نصف القطر,58
13872,왜냐하면,لأن,7
1927,메탄올,الميثانول,93
1832,지급,كاديس,93
11063,콜라,الكولا,36
3250,핀볼,الكرة والدبابيس,86
2561,주식 박사의,stockman.,90
4461,초퍼,قاطع متناوب,76
1167,둥근 돌출부,الفص,88
2628,갈라진,شق,88
2953,슬라이스,مقطع إلى شرائح,55
14190,어느 하나,أيضاً,7
13714,챔피언,ابطال,9
7457,롤백,التراجع,61
8355,비생산적 인 것,غير منتجة,56
8070,끝없는,بلا نهاية,58
10086,캥거루,كنغر,41
5506,불안정,عدم الاستقرار,73
5007,유즈넷,usenet.,77
10027,난민,لاجئ,27
3004,버번,بوربون,86
3266,찌름,نكز,70
6609,가계,أسلاف,66
3387,비문,النقوش,66
12660,백인,تشارلي,22
11912,윌리,ويلي,25
9426,전문적 지식,خبرة,48
974,요술 장이,warlock.,96
11504,제 십경,التاسع عشر,32
12046,있음,حضور,27
2939,지겨운,سيء الجودة,84
6885,보이는 사람,البوير,65
3339,호스텔,نزل,82
8167,참가자,الداخلين,51
10888,뾰족한,بلغت ذروتها,14
9689,hd.,عالية الدقة,46
856,우데,udal.,98
11914,버밍엄,برمنغهام,28
11239,산문,نثر,35
10012,조만간,عاجلا,27
1381,림프계,الجهاز اللمفاوي,96
868,옴부즈만,أمين المظالم,97
1637,다이애닉스,dianetics.,94
4909,세르 라,سريرا,77
8486,래핑,مغطى,38
11541,싱,سينغ,32
12013,워키,walkie.,28
13436,참조,المشار إليها,13
5733,chia.,تشيا,72
1404,고마움,يشكر,95
2750,잔뜩 먹다,سمن,88
14271,정말,حقًا,9
8721,영적인,روحانية,46
1971,bantu.,بانتو,93
3716,보유,احتفاظ,80
6760,주변 장치,الطرفية,59
7991,트랜지스터,الترانزستور,56
6540,남몰래,في السر,67
11696,와,رائع,30
11932,천하게,عادة,28
12736,압박,الضغط على,12
8257,야생 동물,الحيوانات البرية,56
7534,rambutan.,رامبوتان,62
10264,백화점,المتاجر,23
14246,견딜 수 없는,محاولة,6
4530,단련 된 것,مزاج,42
1353,편물,الحياكة,80
1407,개정,تعديل,18
11733,해당,حاصف,30
5981,무정부주의자,الأناركي,62
12333,저항,مقاومة,21
4232,디디얼,ديدي,81
11709,근접성,قرب,30
13650,합법적 인,قانوني,8
9166,차별,التمييز,45
13909,잘,حسنًا,7
10590,령 안틸레스,الأنتيل,39
10131,굽히다,يلوي,39
11217,주류,التيار,35
6502,간접비,تكاليف غير مباشرة,67
10655,캠페인,الحملات,13
9382,드럼,طبول,28
9895,웨이,هاو,44
3928,isthmus.,برزخ,83
5215,엽서,بطاقة بريدية,70
5595,보호 시설,اللجوء,71
8962,트레일러,عرض مختصر لفيلم,46
8263,마드라스,مدراس,56
14488,민주적,ديمقراطية,14
712,씌어 있지 않은,غير مكتوب,98
1807,던,دن,93
12574,무어,مور,22
13848,~ 안으로,داخل,7
6411,같게,ديتو,68
528,헤이네,هاين,99
3802,골다공증,هشاشة العظام,84
5461,펀치,اللكم,37
2225,브라만,براهمين,77
10734,닉슨,nixon.,38
9260,라파예트,lafayette.,49
5324,나나,نانا,74
6638,수도원,ديرصومعة,61
1759,자폐증,التوحد,93
10152,포켓,جيب,38
4142,어둡게하다,أغمق,82
1293,알 함 브라,الحمراء,96
1503,콘월 말,كورنيش,95
4022,레지스터,السجلات,6
3890,세나,سينا,83
6179,cpu.,وحدة المعالجة المركزية,66
13983,돕다,يساعد,6
9343,트리플 엑스,xxx.,49
8478,연필,قلم,53
9209,모나,مونا,50
14445,테스트,الاختبارات,5
14479,팀,فريق,7
8093,스커트,التنانير,46
9542,의심스러운,مشبوه,45
9055,뇌우,عاصفة رعدية,40
5209,소실,التلاؤية,75
9476,햄버거,همبرغر,37
10891,바바라,باربرا,37
698,야훼,الروح,98
8899,지도받은,يعلم,52
12273,화요일,يوم الثلاثاء,25
3573,볼,خد,73
11149,위험한,خطير,20
13643,마을,قرية,12
12529,하와이,هاواي,23
14330,검은색,أسود,10
9999,우기,الرياح الموسمية,43
9925,레스터,ليستر,44
1870,즉시,لحظيا,93
13083,그리다,ألفت,14
9777,혐의가있다,خضع,45
4610,배웠다,تعلمت,79
7609,아카풀코,أكابولكو,61
538,과세 대상,خاضع للضريبة,99
11918,단도,ديرك,28
9844,골키퍼,حارس مرمى,43
1103,돌격,sortie.,54
12330,무겁게,بشدة,25
5462,토라,التوراة,73
9412,바티칸 궁전,الفاتيكان,48
4388,거품,رغوة,77
7716,면제하다,معفى,50
3534,영스타 타운,شنكستاون,86
9352,망원,ثورب,48
4821,스칸디나비아 사람,الاسكندنافية,73
6568,다시 만들다,طبعة جديدة,63
8089,라들,لارس,45
6431,에세이,مقالات,36
9816,스릴러,القصة المثيرة,44
9025,깨물다,يعض,36
4917,오르막,صعود,77
11082,글 머리 기호,الرصاص,24
8498,영감,وحي - الهام,28
12519,해달,هادعل,23
326,아에네아스,اينيس,100
13138,발 차기,ركلة,12
13337,하느님,الله,14
3911,eleaine.,إيلين,83
9733,달의,القمري,46
2279,크리올 사람,كريول,91
10969,전통,التقليد,17
1119,전기 분해,التحليل الكهربائي,96
9028,널리 알려지지 않은,غير منشورة,51
7509,요술,السحر,62
11443,니콜라스,نيكولاس.,33
5261,맥카르시즘,مكارثية,75
2233,골퍼들,لاعبي الغولف,69
9866,휘트만,ويتمان,44
11945,십일,الحاديه عشر,28
10363,바이너리,الثنائية,40
13624,밖의,الخارج,12
10794,산티아고,سانتياغو,38
2757,액체 산소,سمك مدخن,89
8817,읍,og.,52
12942,필립,فلم,19
9891,휴가,العطلات,26
9112,원뿔,مخروط,49
8384,경계표,معلم معروف,47
1956,싸게 사는 물건,مساومة,58
4869,파편,شظية,47
897,거대한 짐승,بالنيموث,96
6421,에로스,ايروس,68
14066,추가,وأضاف,5
5298,숨기는,مخفي,55
93,마이크로 프로세서,المعالجات الدقيقة,74
749,보툴리누스 중독,التسمم الوشيقي,98
11543,무지개,قوس المطر,31
11845,의미가있다,ذو معنى,29
10051,음성,تحدث,43
7650,쿼터 마스터,quarter,60
9931,고문,تعذيب,38
6928,황제,كايزر,65
9132,부식,التعرية,50
3729,인듐,الإنديوم,84
3171,찌꺼기,شل,72
5915,하류 밭,داونفيلد,71
9726,둠,دوب,46
12665,그어진,مسحوب,22
9848,멍청이,ميت,45
14405,십월,اكتوبر,5
10472,유태교,اليهودية,40
9439,안도라,أندورا,48
13349,봄 여름 시즌,ss.,15
4101,와인 하우스,winehouse,82
8313,배합,فالك,56
534,히로,هيرو,99
3580,탈퇴,في تحقيق,39
2703,육수,مرق,89
8194,슈즈세,سويس.,57
2946,염소,الماعز,44
10547,막사,ثكنات عسكرية,38
7277,주사위,حجر النرد,61
6769,신의 조화,خارق للعادة,66
7661,링,لينغ,60
12693,쥐,الفأر,22
13535,전역,على مدار,13
4603,유프라테스,الفرات,79
2504,포섬,رباعية,74
4985,뜨내기 노동자,المتشرد,75
8665,클레오 파트라,كليوباترا,53
13767,사망 한,مات,10
6345,머서,ميرسر,68
11646,레이더,رادار,30
11839,선전,دعاية,29
6227,누룩,خميرة,69
4473,스니우더,snider.,80
1859,비밀 회의,قلة,89
13890,당,لكل,11
12844,메릴랜드,ماريلاند,20
11854,전진,جاري التنفيذ,29
3666,로마 루스,رومولوس,84
4523,마라 티,ماراثي,80
1312,전문가가 아닌 사람,غير مهني,94
7833,오해하다,سوء,23
12367,정치,جنون,20
4837,냉장고,ثلاجة,63
7285,아비게일,abigail,62
13902,공무원,المسؤولون,9
32,테이너스,مبدأ,87
4809,스모키,مدخن,78
12843,팬,حرمان,20
4,탈구,thule.,100
13057,주식 회사,وشركة,18
2875,사과주,عصير التفاح,88
11753,트로이,طروادة,30
7528,용어 사전,قائمة المصطلحات,60
2330,석판화,الطباعة الحجرية,83
4037,일시적 유행,موضة عابرة,67
8718,모자,القبعات,26
4944,시온 주의자들,صهيوني,41
2651,헤모글로빈,الهيموغلوبين,89
10172,앵무새,ببغاء,41
11635,불분명하다,غير واضح,31
4897,공자,كونفوشيوس,77
9269,램프,مصباح,48
1915,도너츠,دونات,86
7645,부활,القيامة,51
4487,잠금 장치,lockyer.,80
11928,기이 한,استثنائي,28
82,그 peabody.,بيبودي,100
2837,사도의,الرسولية,88
2240,제정신,عاقل,91
9742,요법,علاج نفسي,45
14007,증가하다,يزيد,12
2468,펠릿,مصور,38
2172,토끼들,الأرانب,34
11111,표제,شرح,31
13928,그룹,مجموعة,7
973,cummins.,الكمون,97
14147,최근에,حديثاً,5
9159,베라,فيرا,50
3450,보행인,تذييل,83
12652,비서,سكرتير,22
7122,등심,شريحة لحملة,63
14225,기본,رئيسي,7
5060,베른,برن,77
8310,메소포타미아,بلاد ما بين النهرين,56
11163,문명,الحضارة,11
7524,제한 없는,غير محدود,62
12323,척,تشاك,25
4727,뚜껑,جفن العين,77
12497,달리는 사람,عداء,18
4602,알라,علاء,61
13054,잡고있다,معلق,11
10214,핀란드어,الفنلندية,42
10544,고리,حلقه,34
87,표백,تبييض,38
583,자이로 스코프,جيروسكوب,96
6391,남자 친구,حبيب,67
7936,자갈,حصى,59
1410,키케로,شيشرون,95
13658,~ 인 것 같다,يبدو,9
13788,분석,التحليلات,11
3067,암묵적으로,بشكل ضمني,88
11038,습지,اهوار,35
9918,사탄,الشيطان,37
12169,엄마,ماجستير,25
11138,유진,يوجين,33
8284,재배포,redreeded.,50
329,무의미한 것,غير مادي,100
7855,리노,رينو,59
13016,질병,مرض,17
5240,전화 접속자,اتصال تليفوني,75
12283,페루,بيرو,25
13243,일요일,الأحد,16
12458,페드로,بيدرو,24
6258,충의,وفاء,67
4511,아호,اسم مستعار,73
5865,단위의,التوحيد,59
10738,고용 된 것,استأجرت,28
13387,기병대,سلاح الفرسان,14
9297,자선 단체,الاعمال الخيرية,45
9239,까르띠에,كارتير,49
2165,전기 영동,الكهربائي,91
9442,논쟁의 여지가있는 것,إثارة للخلاف,48
4969,곤잘로,جونزو,77
2633,부스터,معزز,76
13392,댓글,الرد,12
5729,공기 역학,الديناميكا الهوائية,59
12684,공산주의자,الشيوعي,20
6040,yeti.,اليتي,70
2324,슈와 츠,شوارز,91
12782,인라인,في النسق,21
7237,상하뱀,سوندرز,62
10424,험악한,تهديد,23
13129,알라바마,ألاباما,17
7944,무미 건조한,مغبر,59
1853,antiaircraft.,antiace,93
13194,오,أوه,16
4630,무지개 빛,التقزح اللوني,77
3325,벳집,بيبوب,87
6340,진기함,بدعة,66
13787,죽음,الموت,9
559,catskill.,كاتسكيل,99
5057,오시리스,أوزوريس,77
5742,cid.,البحث الجنائي,72
1858,midas.,ميداس,93
6084,해시시,هاش,64
61,antistubmarine.,مضاد للأفراد,100
10836,아프가니스탄 사람,الأفغان,36
9491,베오그라드,بلغراد,48
1432,탈북자,ناطة,95
12959,값,القيمة,16
10745,의회의,الكونجرس,38
345,벨튼,بيلتون,100
12198,교회,كيرك,26
5398,수녀,راهبة,64
8431,scudder.,مستعار,55
9176,전례없는,غير مسبوق,50
5749,캐스팅,قشتالة,72
7639,서로 나란한,جانبية,60
6336,세미나,معلمة,66
2740,복종,طاعة,85
2358,탈염,تحلية المياه,90
4692,토스터에,محمصة,76
6592,크레이븐,كرافن,67
8107,권총,مسدسات,40
3975,기술자,الفنيين,56
6288,호기심,حب الاستطلاع,68
7741,강당,قاعة محاضرات,59
10756,전사,محارب,23
10389,깃대,سارية العلم,40
7659,망각,نسيان,61
4347,pte.,بيط,81
10765,네오,من جديد,38
10829,인도주의 자의,إنساني,38
13923,회로망,شبكة,8
6515,딜도 라구 딜도,دسار,66
9534,타이어,إطار العجلة,34
480,단위체,أحادي المعدن,96
9477,클린치,leadch.,23
5370,휘발성 물질,متطايره,67
7343,치어 리딩,التشجيع,57
2768,골리앗,جالوت,89
5056,리간드,ليجان,62
2673,중합,البلمرة,87
12948,정크,نفاية,19
51,렌치,مفتاح الربط,91
13705,앤드류,أندرو,12
7588,빨간 셔츠,rightshirt.,58
8943,그럼,ولو,51
5784,조수,المد والجزر,33
14274,갔다,ذهب,10
12944,돕는다,تساعد,6
6048,프랑스 선박,الفرنسي,70
5798,털어 놓다,وومب,72
13305,절,فقرة,14
9142,이로써,أنشر,50
5975,시적,شعرية,68
4088,아카데아,أكاديا,82
2951,가수 분해 효소,هيدرولياس,88
4681,연회,مأدبة,75
12719,되풀이,يتكرر,21
1763,조경,intertidal.,93
9023,최신의,أحدث,51
11594,여행,رحلة قصيرة,28
1961,askari.,العسكري,93
3554,모든,اومني,86
8235,무력,صابر,29
1618,현무암,بازلت حجر بركاني,92
3132,몬타나무,مونتاج,88
13727,원인,موجه,9
6753,녹주석,البريل,65
4875,누구든지,من أجل,77
14340,거절했다,انخفض,13
9657,포아트,أبله,46
10348,자그마한,تافه,41
7062,쇠약해진다,هز,64
4546,aladdin.,علاء الدين,80
333,딸꾹질,حازوق,97
12308,전달,الحمل الحراري,24
11875,철학,فلسفة,28
5740,수의사,طبيب بيطري - بيطري,72
5124,자두,وظيفة محترمة,75
7061,램버트,لامبرت,64
6116,찰싹,يصفع,53
7691,기하학적,هندسي,58
6367,매독,مرض الزهري,68
9892,백금,البلاتين,44
4059,onboard.,صعد على متنها,82
5734,rancho.,رانشو,72
14001,약간의,عدد قليل,6
8921,침해,غرقت,52
5347,에로틱 한 것,شهواني,74
11499,배너,بانر,29
10935,오크,أوك,32
8996,속삭임,همسة,32
12760,브래드,براد,21
13398,죽은,متوفى,14
13336,오클라호마,أوكلاهوما,15
9916,식량,أحكام,37
1661,항공 전자학,إلكترونيات الطيران,87
8509,나가사키,ناغازاكي,55
8077,앨라미다,ألاميدا,58
7931,코코넛,جوزة الهند,59
9111,공익 사업,جدوى,31
7016,reeves.,ريفز,55
2011,어긋나게 하다,خيبة أمل,30
10541,캐롤,كارول,39
5529,덜 루스,duluth.,74
8945,트롤,المتصيدون,27
11081,유령의,ازم,33
10171,아무데도 없어,في أي مكان,42
5378,와일드 카드,البدل,75
6703,네모,نيمو,66
9255,피타고라스,فيثاغوراس,49
7657,몬머스,مونماوث,61
5050,수정 자,المراجعة,70
12196,동부 표준시,est,26
2625,대관식,تتويج,61
11429,취임식,antaugural.,30
3894,오델로,عطيل,83
12393,재정적 인,الأمور المالية,23
1699,보가트,بوغارت,94
6531,기도하다,صلى,55
11718,마야,مايا,30
11881,현금,السيولة النقدية,28
10904,저장,تخزين,37
14490,돌린,تحولت,9
756,전 세계적인 유행병,جائحة,97
4968,나이팅게일,nightingale.,77
14482,왜,لماذا,7
1887,가만히 서있다,تراوح مكانها,93
9361,야크,ياك,49
10258,관중들,مشاهدون,38
