ID,KOREAN,TURC,INTERVAL
1019,활주로,airstrip,92
10571,더욱 더,giderek,39
14268,수요,talep etmek,20
9409,데릭,derrick,49
7592,분명히,açıkça,11
13120,실제,gerçek,10
14360,1월,ocak,6
5975,시적,şiirsel,69
11983,시민들,vatandaşlar,24
12311,스코틀랜드 사람,i̇skoçyalı,25
10017,요하네스,johannes,44
6417,선취 특권,haciz etmek,68
7609,아카풀코,acapulco,62
2996,핫키스스,hotchkiss,88
5490,타조,devekuşu,73
5287,채식주의 자의,vegancılık,50
6064,팔라스,pallas,71
9033,기대다,lout,51
3978,남생이,tosbağa,83
11496,내슈빌,nashville,33
8612,마르셀로,marcel,54
13521,상,ödül,9
14375,능력,yetenek,22
2697,무국적자,vatansız,83
8411,포르토,porto,56
13799,저것,o,5
2877,재치 있는,esprili,88
3682,피사체,ateş taşı,85
2463,부싱,dayak,51
2118,절망,çaresizlik,88
13155,셀,hücre,16
8448,숨은,kriptik,55
11575,조직,organizasyon,21
704,나쵸,nacho,98
14170,받았다,kabul edilmiş,6
7845,오일러,euler,60
9299,아벨,abd,49
5169,확인할 수 있는,tanınabilir,74
12006,il.,i̇l,28
8989,지명,daha net,52
14140,~할 것 같은,büyük ihtimalle,5
13978,낮,gün,6
1165,노인,nososfer,97
13497,마프,mph,14
5810,양치류,fern,71
12538,보냈다,harcanan,23
4389,취소 가능하게,geri alınamaz bir şekilde,79
13432,보일 러 플레이트,basmakalıp,14
4043,간단,basitlik,82
1463,견책,kınanmış,79
3178,장식,dekoratif,38
1324,엿보기,peeps,81
4351,그거,fy,81
13317,인디애나,indiana,15
4824,유통 업체,distribütör,69
4764,이발,saç kesimi,76
2172,토끼들,tavşan,35
9772,불펜,bullpen,45
10139,평범한,sıradan,43
7383,스테이크,biftek,62
5890,히코리 재목,hicary,72
10620,외벽,bailey,39
12944,돕는다,yardım eder,6
4376,비트,bitte,80
4855,개츠비,gatsby,78
2205,재명,yeniden okumak,88
8790,참깨,susam,53
10109,불확실한,tanımlanamayan,42
4361,흠잡다,eleştirmek,46
14395,줄이다,azaltmak,17
1656,아비렌,abilene,94
4016,연한 덩어리,magma,83
11372,도,tam,34
13257,조심스럽게,dikkatlice,7
12640,카운터,tezgah,21
7269,카페인,kafein,62
10094,조물주,evrenin yaratıcısı,43
7996,캠든,camden,59
9621,평의원,meclis,45
9582,마르타,martha,47
9640,템스들,thames,47
11250,채권,tahvil,20
10401,장난감,oyuncak,36
11353,벨기에 사람,belçikalı,33
5667,케이프,cahill,73
13659,해결,çözüm,12
11010,공중선,anten,37
6825,이십,yirmiler,13
4200,파크,parc,82
11449,가레스,garet,33
4630,무지개 빛,yanardönerlik,78
13665,무릎,kucak,10
2397,운동가 답지 않은,sportmenlik dışı,91
8601,덴마크 사람,dadı,50
11701,남작,baron,30
4774,감귤류,narenciye,79
13184,가볍게,hafifçe,17
12637,프로그램 작성,programlama,11
7080,중심,merkezli,64
2498,팔로마,paloma,90
9171,마이크로,mikro,50
595,시디,sidi,99
5144,부화자,kuluçkahane,76
5075,작은 책자,kitapçık,73
3376,커터,kesici,79
3266,찌름,dürtmek,71
12448,출시,başlatılan,18
4676,꾀꼬리,oriol,31
11871,악의 있는,kötü niyetli,24
14044,요율,oranlar,7
2505,털이 많은,kıllı,90
11902,몽고메리,montgomery,29
4467,공법,dooley,80
373,백선 증,saçkıran,100
4373,방법론,metodoloji,72
4278,붕괴,grue,81
11559,클라크,klarke,15
6,채이기,yanılmak,57
11482,혁명가,devrimci,31
5764,배달 불능 우편물,nixie,72
9498,아인,ain,48
3477,공동 작업자,işbirlikçi,18
5937,협곡,gorge,53
9339,우간다,uganda,49
7258,정강이,incik,62
10252,장로,elder,39
3436,스칸디나비아,i̇skandinavya,86
13746,프로세스,işlem,10
2044,안테나,antenler,59
5424,유의 한,emori,75
11991,변색,kararıklık,24
12051,바닥,zemin,24
6170,스웨트 숍,sweatshop,70
4326,그 위에,bunun üzerine,81
8420,큰 술병,magnum,55
4019,침침한,dumanlı,83
2028,공급 업체,satici,66
4051,후미,firth,83
5519,사무원,katipler,57
13107,드라마,drama,17
12277,자가,jaga,26
192,아코,ako,100
5995,피스타치오,fıstık,71
10445,목,boyun,38
10926,기념물,anıt,34
7987,바꾸기,verbatim,59
6393,전세,rezervasyonlar,12
2606,라비,rab,90
7218,주먹,yumruk,53
8928,김치,bir çeşit yöresel kore yemeği,52
4581,기압계,barometre,80
7732,일주일,diem,61
5463,모래 언덕,kumdan tepe,65
14324,상원,senato,13
3008,양식화 된,stilize,87
4455,야만인,barbar,58
1022,구조자들,kurtarıcılar,97
9690,하트 포드,hartford,46
12348,전단지,el ilanı,24
11192,달러,moonriker,35
17,광신자,fanatik,64
6356,양초,mum,62
13673,저지,jersey,12
11775,더 나쁜,daha da kötüsü,30
8237,비둘기 같은,columbin,57
12775,어린이,çocuk,15
5083,치즈 케잌,çizkek,76
11203,자랑스러운,gurur duymak,35
9132,부식,erozyon,51
8412,중력,yerçekimi,47
12613,afd.,aff,23
3909,크로스 타운,crosstown,83
4198,인산염,fosfataz,82
5373,인도 차이나,indochina,75
13794,그리고,ve,5
6198,기함,amiral gemisi,70
905,교양 있는,ekili,64
1305,발진기,osilatör,63
9407,간판,spl,49
2226,축 방향,eksenel,91
130,정전기,elektrostatik,89
12737,밀러,mülteci,21
4844,칼린,carlin,78
10406,냄비,tencere,38
14004,가고 있다,giden,7
3883,양심,vicdan,83
7783,라파엘,raphael,60
12618,케이블,kablo,22
10638,더 젊은,daha genç,39
5031,고조파,harmonik,71
5994,분비액,likör,68
7135,닮았다,benzemek,38
11539,미묘한,hemen göze çarpmayan,32
2401,분사,ihlaller,77
4255,후위,artçı,82
4465,보스,bosmak,80
10244,기로,ciro,42
1136,지네,kırkayak,96
10240,프랑코,franco,42
753,배교,apostasy,98
804,둥유,gazyağı,98
12071,코르비스,corvus,28
1435,위약,plasebo,95
1014,오닉스,oniks,97
13011,가난한,yoksul,19
12871,어리석은,defetmek,20
11053,정오,öğlen,37
3835,아체,gemma,84
7434,악센트,aksan,54
1285,유도하다,indüklemek,51
12814,추정 된,tahmini,16
764,맨 섬 사람,mankok,98
11503,티베트,tibet,33
7468,포즈,pos,43
3238,선충류,nematod,87
11338,중심의,sürmüş,34
7314,칼틴,galin,62
2071,흑색 종,melanom,92
4641,이코노미스트,ekonomistler,55
3809,권운,cirrus,84
4128,겁 많은,balo,81
8462,플라토,platon,55
14222,가까운,yakın,10
11080,환상,fantom,33
3805,길들인,ehlileştirmek,69
13532,이전에,önceden,13
10642,견본,örneklem,29
7866,슈퍼 노바,süpernova,60
5073,제약 조건,kısıtlamalar,71
3011,엘리사,elisha,88
10045,대변인,sözcü,43
9491,베오그라드,belgrad,48
9023,최신의,daha yeni,51
13797,~을 위한,için,5
2125,반시,banshee,86
11313,아돌프,adolf,34
12904,노처녀,sığınak,20
4014,민족,ulusallık,83
6017,미리 암,miriam,71
8635,두꺼비,karakurbağası,53
7526,잠수,dalmak,38
1877,깨어 있는,uyanma,28
14057,변화,değiştirmek,5
10065,...에 관한 것,terzi,43
1211,싸게,ucuza,97
4091,라돈,radon,83
2170,영사,consul,62
11352,소수,ondalık,31
13887,~ 사이,arasında,8
9044,예언자,peygamber,46
5273,신학,teolojik,53
13287,제국,imparatorluk,15
13418,보유자,kulp,14
9486,아치,kemer,45
6640,유로파,europa,67
9396,울타리,çit,38
7661,링,ling,61
977,미사,silt,96
8773,만세,viva,53
7555,화강암,granit,62
12615,바이스,yardımcısı,23
7445,선언서,manifesto,62
3670,벽감,niş,83
5352,섬게,kestanesi,75
301,사냥꾼,shikari,100
13993,다섯,beş,9
423,극작가,oyun yazarı,97
9072,쾰른,köln,51
9679,갑옷,zırh,21
9854,카이로,kahire,45
1774,시차,paralaks,92
5729,공기 역학,aerodinamik,59
4698,재다,mete,73
7726,뮤지션,muş,45
4353,메이지,meiji,81
6900,회계,hesap,5
8123,도끼,balta,51
3788,카탈로니아의,catalina,84
9189,풀러,fuller,50
9756,인류,insanlık,46
5996,과,yıldız çiçeği,71
4715,햄스트링,hamstring,79
5756,부사장,vp,72
9084,우드 러워,ağaçlık,51
5841,시가,puro,71
11895,발생,salgın,28
9359,변환,dönüştürür,17
4674,콘체르토,concerto,77
7165,습관적인,alışılmış,64
2679,로잘린스,rosalind,90
13756,바위,kaya,11
10169,헨산시스,husmars,42
11064,쇼트,shawn,37
12492,영혼,ruh,23
8164,돼지 고기,porpoise,58
3431,howkeye.,şahin göz,86
3412,합판,kontrplak,86
10229,대변,dışkı,42
14132,덧셈,ek,6
371,사다리꼴,trapez,97
5856,넓은 땅,bitmek,71
6753,녹주석,beril,66
14075,입장,erişim,8
4437,염색기,doyer,79
10105,물질,madde,38
7654,젖퉁이,kazıklamak,61
12008,베어링,rulman,12
14137,더 나아가,daha öte,6
8531,술탄,sultan,52
11555,격언,maxim,30
6744,랜싱,lansing,66
12669,활동,aktivite,10
6117,거상,colossus,70
4974,마더 보드,anakart,77
6530,즉각적인,komut istemi,36
13048,신시내티,cincinnati,18
14482,왜,neden,7
10637,니카라과,nikaragua,39
14102,공식적인,resmi,9
8522,판단,yargılamak,19
3309,생물 학자,biyolog,74
1345,스프라이트,sprite,92
9680,본질,quidity,47
13316,성자,aziz,13
2842,킬킬 웃음,kıkırdama,66
7192,예절 바름,hak,63
11869,빵 굽는 사람,baker,29
3444,뉘른,nüks,79
9520,탐구,arayış,46
11384,로라,laura,34
9761,캔터베리,canterbury,46
8666,고원,plato,53
7840,일산화탄소,monoksit,60
12568,주기,çevrim,17
11201,자치령 대표,ajanlar,21
12464,포스터,afiş,22
10418,마피아,mafya,41
14033,생각하다,düşünmek,7
5793,형평성,eşitlik,71
7541,자이르,zaire,62
4357,랑데부,rendezvous,75
3115,에스해,ege,88
7093,스누커,snooker,64
10427,안정적인,kararlı,39
5654,집시,çingene,67
11488,ea.,e,33
4069,토템,totem,82
231,점성가,kavız,100
7736,공명,rezonans,56
11326,타고 있는,yanan,19
9334,드랫,drat,49
12365,진주,inci,25
8592,베네수엘라 사람,venezüella,54
328,블레이저,blazer,49
10225,화석,fosil,28
9377,삼초의,sedir,46
14146,이름,isim,6
8363,웨일스 사람,takılmak,56
4020,로즈코,roscoe,83
7046,이상한 나라,harikalar diyarı,64
2191,더 추워서,daha soğuk,91
1609,상이,farklılık,28
11029,없어져 버린,feshetmek,37
12854,벨기에,belçika,20
1661,항공 전자학,aviyonik,87
6163,복권,rehabilitasyon,62
10258,관중들,seyirciler,38
10568,다시 하다,tekrarlamak,33
13173,중고등 학년,ikincil,17
8267,체,chee,57
1933,약탈자,marauder,80
9610,해석,yorumlanmış,18
12512,보고있다,seyretme,12
2642,동종 요법,homeopati,90
4896,계약자,müteahhitler,62
11314,누구나,her kim,34
10566,타이페이,taipei,40
5214,앰플,bol miktarda,76
6730,분류학,taksonomi,66
5165,아식지,asher,76
6482,오프라인,çevrimdışı,68
13702,우승자,kazanan,10
14171,4월,nisan,5
2768,골리앗,goliath,89
9905,공격적인,agresif,34
12121,수수께끼,enigma,27
8139,활재,kızak,54
11724,코브라,kobra,30
13136,섹스,seks,17
8963,악의,spite,51
807,랑게,langelot,98
5868,엑스터시,ecstasy,72
11091,카슨,carson,36
3397,인기,vogue,86
6593,빈민굴,gecekondu,65
12025,자세한 것,fahişe,28
8976,고양이 새끼,yavru kedi,50
7785,도롱뇽,semender,60
4563,풀 베는 사람,biçme makinesi,74
676,갱생,yeniden doğuş,98
12806,덴마크,danimarka,21
4470,알빈 주의자,albinizm,77
7716,면제하다,muaf,51
7929,잉카,incas,39
12256,톰슨,thompson,26
4111,쇼트닝,kısaltmak,36
10973,마다가스카르,madagaskar,37
1618,현무암,bazalt,92
7316,여물,koyvermek,62
8274,언데드,ölümsüz,57
10782,힌두 인,hindu,33
5599,진폭,genlik,73
4508,스테이플,elyaf,55
14070,세계,dünya,7
7213,딸들,kız çocukları,32
14097,회의,toplantı,10
1690,녹내장,glokom,94
7120,트리 부스,mancınık,64
8212,젖꼭지,let,57
9249,꽃들,çiçekler,33
1209,가장 어둡다,en karanlık,97
4461,초퍼,kıyıcı,77
4580,상륙 거점,beachhead,79
11835,탠 껍질,bronzlaşmak,29
4185,헤파스토스,hephaestus,82
13723,전투,mücâdele etmek,12
12563,빠듯한,sıkı,23
1486,골수,ilik,95
3527,캄포,campo,74
8549,핀 사람,finn,53
12118,다저스,dodgers,24
3106,키엘,kiel,88
10976,피부,deri,33
13266,그리스 어,yunan,15
13883,시스템,sistemler,8
3596,황혼,alacakaranlıkta,85
13075,비판적인,kritik,11
8056,마우스,fareler,58
10834,관광 여행,turizm,38
10828,코카,koka,38
5109,불특정,belirtilmemiş,77
12489,수요일,çarşamba günü,24
13577,어린,genç,12
11838,마,che,30
2519,바쁜,en yoğun,90
7530,유익한,yararlı,61
4177,루 닐,lucille,82
4116,듀피,dui,82
165,acton.,harekete geçmek,100
10883,인종,ırkçı,25
2466,sayers.,sözler,83
1212,고쉬,allah allah,97
537,페즈,fes,99
13529,넓은,geniş,12
5560,오프사이드,ofsaytta,74
5853,큰 쟁반,kızartmak,72
2315,발코니,balkon,83
5204,백만 장자,milyoner,59
11740,일정한,devamlı,30
12078,아마추어,amatör,26
4999,파열,rüptük,64
13639,안타깝게도,maalesef,12
3969,유태 교회당,sinagog,74
2427,수화물,valiz,91
10216,믿을 수 있음,güvenilirlik,25
7829,광인,madmen,60
10788,방콕,bangkok,38
6152,굽다,kavrulmak,70
11556,소금,tuz,31
14362,동영상,video,10
2476,랜도,landau,90
11758,따뜻하게 함,ısınma,23
13826,계속 ~ 이다,olmuştur,5
10248,적의,hasım,31
12379,무게,ağırlık,23
2239,도살장,kesimhane,91
3161,투어너,turer,87
12351,거미,örümcek,25
8413,평상복,gündelik,51
7347,히린,heinie,62
8885,타자,hotters,33
4927,밀리보르,milibar,74
10008,자오선,meridyen,44
9721,후지산,fuji,46
9540,유격수,kısa vadeli,47
7737,아이 닐,i̇rensel,60
9139,켈빈,kelvin,50
7538,부드럽다,fix,62
13113,해변,plaj,17
7880,대지,dpt,60
5090,언어 적,sözlü,66
11823,호모,homo,30
12936,포트,liman,18
5674,치누크,chinook,71
10577,피트 길이,kamera görüntüsü,39
5449,멍청한 것,idiyotik,28
12411,작은 만,dere,24
11738,그레고리 인,gregoryen,31
5483,친칠라,çinçilla,74
10482,맥코이,mccoy,40
14283,잠재적인,potansiyel,12
2230,곤충학,entomoloji,91
8714,놀랍게도,şaşırtıcı derecede,54
2665,소용돌이,jakuzi,89
1527,작은 것,pigme,89
12226,진화,evrim,26
9645,해고,çuval,24
7295,스포 캔,spokane,63
10488,부분적으로,kısmen,40
1623,야생,fahiş,94
12406,지방,şişman,24
6299,거주지,yaşadığı,37
7954,파노라마,panorama,59
8943,그럼,gerçi,52
233,코토,koto,99
12926,부자,zengin,19
8676,대표단,şarta bağlı,39
9119,강화,takviyeli,32
10302,영광,görkem,41
7644,핏기 없는,bitik,61
8596,호민관,tribün,44
9027,진흙,çamur,51
9510,파이프,boru,38
4088,아카데아,acadia,83
492,변비,kabızlık,96
447,unjured.,yaralanmamış,100
2962,형제 자매,kardeşler,71
10660,라일락 꽃,leylak,39
2524,폭군,tiran,84
2623,측근자,entourage,90
14179,수입,kazanç,14
9903,에탄올,etanol,45
10036,태그가없는 것,etiketsiz,44
2973,금색 눈,altın göz,88
8008,jg.,jd,59
11310,아주,kusursuzca,34
9904,연락했다,temasa geçme,6
4122,부티 레그,bootleg,69
12260,팬더,panda,26
8690,힉스,haşlamak,49
6141,땡땡,ding,68
8618,아우스타카,augusta,54
9022,해안선,sahil şeridi,50
4,탈구,thule,100
1052,글루코 네이트,glukonat,97
9434,강아지,köpek yavrusu,45
11870,제레미,jeremy,29
2925,골드 워터,altın su,88
7000,너클,knuckles,62
12598,전설,efsane,20
6652,분필,tebeşir,65
11645,시보레,chevrolet,31
4092,투투,tutu,83
5106,믿을 수 없는,inanılmaz,69
11569,탓하다,suçlamak,24
962,수선화,nergis,97
14263,티,t,5
5980,빌라,vila,71
12048,늑대,kurt,28
2899,무장 해제하다,devredilen,57
4804,주목받지 못한다,fark edilmemiş,72
3056,바르돌로메이트,bartholomew,88
11517,모에,moe,32
2861,지팡이,tüfek,56
387,르노이르,renoir,100
209,석성,litosfer,100
3179,청정,saflık,87
6689,위장하다,kılık değiştirmek,46
14221,유럽,avrupa,5
6834,비합리적인 것,irrasyonel,64
746,마오이스트,maoist,93
13246,애틀랜타,atlanta,16
10354,동창들,mezunlar,41
14279,윤곽,çizgiler,9
12009,회견,röportaj yapmak,22
6811,핑크,chopin,66
5221,양방향,lopsiz,76
14173,증가,artırılmış,12
8090,중부 방언,midland,43
14412,규칙,tüzük,7
13658,~ 인 것 같다,gözükmek,9
14273,머리,kafa,9
10323,핏덩어리,gor,40
534,히로,hiro,99
13425,용이하게,kolayca,14
3117,괴짜 벨,goebbels,88
9850,헤라클레스,herkül,45
8923,팝콘,patlamış mısır,52
405,티퍼,damper,100
8888,당뇨병,şeker hastalığı,49
10290,시민,sivil,41
6791,리드미네이션,ritmik,66
8805,교향곡,senfoni,52
13790,텔레비전,televizyon,11
3569,의인,kişileştirme,85
465,폐쇄기,detraktörler,97
11266,간섭,araya girmek,34
9936,더 넓은,daha geniş,44
1276,고스,gotlar,55
12211,랜디,randy,26
7492,무의식,bilinçsiz,58
556,바운스 백,geri sıçrama,99
93,마이크로 프로세서,mikroişlemciler,74
13933,같은,aynı,8
3260,유연,afinite,79
7094,벼룩,pire,63
4333,묶이지 않은,çözülmemiş,81
3261,돕는 사람,yardımcı,81
13263,없음,yok,16
4003,우드 루프,woodruff,83
1151,헌고,bonjour,97
8809,폴카,polka,53
1386,아나모픽,anamorfik,96
486,활상,yükseliş,69
12189,파커,parker,27
6454,아테네 사람,atinalı,62
12957,오타와,ottawa,19
10563,막힘,tıkanıklık,38
10915,미군 병사,gi,37
3459,흥미 진진한,sulu,86
11980,아테네,atina,28
10444,지질학,jeoloji,33
7891,날 뛰기,rampa,57
471,걸다,hitch,97
10603,그럴거야,gol yapmak,39
14460,피,p,9
13174,때때로,bazen,16
6632,마르세이유,marsilya,60
14379,옆,taraf,10
426,뾰족한 탑,çan kulesi,100
796,이리저리,fro,98
9270,당근,havuç,48
1255,거장,maestro,96
586,무수정,sansürsüz,99
11956,구멍,delik,23
784,클레이 모어,claymore,97
9295,제거하다,elemek,15
6480,심장병 환자,kardiyak,68
5016,적 그리스도,zehirli kimse,76
4498,고혈압,hipertansiyon,80
13691,거대한,kocaman,12
11661,잊어 버렸다,unuttun,31
500,기초의,feist,99
10555,프러시아 사람,prusya,39
13830,또한,ayrıca,5
6537,냉각 장치,coolidge,68
2113,스트립 쇼,striptiz,92
10030,바베이도스,barbados,44
12729,타는 사람,binici,16
8579,덕분,dem,55
3119,소켓,priz,77
13143,싸웠다,kavga etti,17
11484,휩쓸립니다,süpürme,33
4942,기꺼이,memnuniyetle,77
9528,네스 호,ness,48
7198,움찔하다,geri tepmek,62
5600,...하지 않도록,lest,60
6675,보쉬,bosch,67
2677,농경,tarım,87
14065,딱딱한,zor,8
9304,연어,somon,49
3199,셀레스트,celeste,87
3408,티그리스,tigris,86
10107,부족,kabile,30
7745,지하 감옥,zindan,42
10868,뉴 포트,newport,38
9572,루시,lucy,47
6518,청교도,puritan,62
13737,조명,joe,12
10073,온스,oz,43
3191,찬양,een,87
10185,조슈아,joshua,42
6734,다마스쿠스,şam,66
6218,음핵,klitoris,70
14421,물건,şey,8
8426,뉴 어크,newark,56
3795,공중 투하,airdrop,74
9837,워털루,deniz suyu,45
13838,새로운,yeni,6
3892,윌셔들,wiltshire,83
2489,남녀 추니,hermafrodit,90
4247,위법,tortu,79
2927,피레네 산맥,pireneler,88
6708,프랑켄슈타인,frankenstein,67
1608,수평으로,yatay olarak,56
1651,지르다,lordy,94
10366,레즈비언,lezbiyen,39
7769,맹세,yemin,57
4612,바나나,muz,38
13621,등,vb,12
11071,폭발물,patlayıcı,18
3874,지름길,kısayol,76
13249,고속 도로,hız yolu,16
7900,팔꿈치,kaş,57
4930,고글,gözlük,74
11309,펭귄,penguen,24
13422,요셉,joseph,14
536,절제,yoksunluk,98
9666,터무니없는,absürt,45
8811,간,karaciğer,53
9346,선언,ilan,48
9817,마법사,sihirbaz,32
719,희석제,daha ince,98
3903,부드럽게,pürüzsüzce,83
13417,말하는,adı geçen,10
5854,이카루스,icarus,72
12150,부정한,inançsız,27
9671,완성 된 것,yerine getirilmiştir,37
13943,끄다,kapalı,8
8630,고름,criss,54
12019,옥스퍼드,oxford,28
3021,바라쿠다,barracuda,86
11618,요크셔,yorkshire,32
12075,현실,gerçeklik,27
13553,굵게,gözü pek,13
2648,미토콘드 션,mitochondrion,90
8176,반점,virgül,49
8483,블록,blok,55
11334,앨런,allan,34
10674,여분의,kıyamamak,36
10610,영업 이익,işlemek,35
6908,위엄,majesteli,64
4022,레지스터,kayıtlar,7
12668,테리 직물,terry,22
5617,해바라기,ayçiçeği,74
2753,orc.,ork,80
4798,깎아 냈다,kesilmiş,27
9955,사실상,facto,44
7419,교양,başarılar,31
7803,소방관,itfaiyeciler,45
5042,삑 하는 소리,bip sesi çıkarmak,75
14498,산업,sanayi,14
6305,스프레이,sprey,59
13697,스티븐,stephen,12
7770,후회,pişmanlık,22
7931,코코넛,hindistan cevizi,59
14240,여러 떼,grup,8
7038,하늘,gökyüzü,27
1307,폴로늄,polonyum,96
13276,날씨,hava durumu,15
1810,오랜건,uzun süredir,93
10787,중세,ortaçağa ait,38
13452,믿는 사람,inanmak,5
1820,셰르 파,sherpa,88
5475,번호 매김,yeniden numaralandırılmış,59
4668,귀족,asalet,79
5065,치사한 사람,cad,77
9647,잠비아,zambiya,47
6778,플루트,flüt,64
13517,인쇄물,basılmış,11
7014,혁신,inovasyon,44
9257,경주자,racer,36
2573,쇼어,shoaler,90
1044,건강에 해로운,sağlıksız,97
8338,래스터,raster,56
2314,기쁘게 하다,sevinmek,86
14327,디,d,7
10184,네온,neon,42
8571,유고 슬라브,yugoslav,53
11553,더 힘들어,daha güçlü,32
10312,불쑥,icn,41
13476,똑바로,dümdüz,14
11790,상호 작용하는,inter,30
12410,라이트,şımartmak,25
7072,재 장전,tekrar yükle,53
2146,탈출하지 못한 것,soyunmamış,92
5229,카스피아,hazar,76
4610,배웠다,öğrendi,79
10650,애스테온,asteryon,39
1293,알 함 브라,alhambra,96
12769,햄프셔,hampshire,21
10548,램,veri deposu,22
12724,상해,incinme,16
5426,에 설정,ayarlanmış,75
545,반동,gerici,94
1174,카네,carne,93
12423,그,der,25
7321,퇴장,atılan,53
10599,rn.,riyak,39
13366,신분증,tanılama,15
12388,형세,yerleşim,25
26,류신,lösin,100
12292,모스크바,moskova,26
7217,리즈,reese,63
4848,보르도,bordeaux,78
7249,버거스,burgess,61
13661,가운데,orta,12
317,넥타이,connex,100
13390,음식,yiyecek,14
11504,제 십경,on dokuzuncu,33
12128,멜론,melek,27
10502,모스,mos,21
750,부전,disfonksiyon,88
5330,회상록,hatırlar,66
4895,여기에 들었다,hereford,78
