ID,FRENCH,JAPAN,INTERVAL
13241,Missouri,ミズーリ,8
9842,du sud ouest,南西部,33
4188,merle,黒い鳥,75
13004,conservé,維持,10
6789,aile,フェンダー,55
6273,sauterelle,バッタ,59
10688,soulèvement,蜂起,27
6344,détroit,ストライト,59
2945,troupeau,群れ,83
1856,dorien,ドリアン,92
4713,bander,バンダル,71
13269,7ème,第7回,8
4857,raffinerie,精製,70
7616,sourire,笑う,49
12521,point,ドット,14
1170,sous type,サブタイプ,96
2035,cathode,陰極,90
9305,Saumon,サーモン,37
11509,des familles,家族向け,21
8766,Enfers,ハデス,41
11678,Paroles,歌詞,20
10449,Helsinki,ヘルシンキ,29
1541,aquaculture,養殖,94
2307,balais,ほうき,88
1163,bâton,めちゃくちゃ,96
3420,melon,メロン,80
13001,cairns,ケアンズ,10
8086,erroné,誤って,46
1381,chucky,チャッキー,95
9026,mordre,一口,39
3156,précautions,予防,82
12690,expansion,拡張,12
9825,marœurs,仲人たち,33
11627,bizarre,変,20
12306,maria,マリア,15
3111,nadir,天底,82
10086,barton,バートン,31
12307,Palestine,パレスチナ,15
13547,côte,海岸,6
5782,obéit,従う,63
12581,discours,演説,13
2566,canopique,カノピー,87
5138,Illuminati,イルミナティ,68
12777,couverture,カバレッジ,12
4738,farine,ファリアナ,70
9688,aboyeur,バーカー,34
2224,vengeur,復讐した,89
9715,cérémonies,儀式,34
9192,s excuser,謝罪,38
9221,détenu,拘禁されて,38
5057,ligand,リガンド,68
769,cadmium,カドミウム,98
10089,Piège de feu,撃火,31
13788,décès,死,5
3674,Bergman,バーグマン,78
4876,quiconque,或いは,69
2605,booléen,ブレアー,86
8358,seizième,第1回,44
5526,retraite,退却,65
1687,Etre prêt,待機する,93
4131,multitude,多数,75
1196,fentanyl,フェンタニル,96
3698,secte,宗派,78
2587,photocopier,ゼロックス,86
11234,duel,決闘,23
10289,svelteau,シドニー,30
6952,buick,ビュイック,54
9975,Sénégal,セネガル,32
8315,chauffage,ヘザー,44
4101,whitehall,ホワイトホール,75
12772,animal,動物,12
7559,visa,ビザ,50
3780,keats,キット,77
3501,suzerain,ぼやけている,79
2238,texturer,テルズ,89
6569,refaire,仲れる,57
2164,irréaliste,非現実的です,89
9148,lyon,リヨン,38
4462,hachoir,チョッパー,72
1843,chaque nuit,夜間,92
6543,autoroute,高速道路,57
4151,rénové,改装された,75
3537,carabinieri,カラビニエ,79
10677,Gardien,保護者,27
3255,grenat,ガーネット,82
8969,dormant,睡眠,40
12892,fauché,壊れた,11
10475,ligon,リグーリー,29
4994,char,シャリオット,69
3383,saxo,サックス,80
10010,plus haut,最も高い,32
7130,cyan,シアン,53
3173,distrayant,気をそらす,82
12667,mythologie,神話,13
525,Shri,千里,99
7026,épuisement,枯渇,54
6971,reconstitué,再構成された,54
11157,contre,対,24
11155,après,その後,24
11242,en colère,怒り,23
1164,foyer,ファイアボーイ,96
9805,inspection,検査,33
9626,géométrie,ジオメトリ,35
8587,déchiré,引き裂かれた,42
8073,méthodiste,メソジスト,46
4990,Erika,芳香,69
4557,prima,プリマ,72
12727,prêt,準備,12
9774,des ordures,ごみ,34
8672,avion,飛行機,42
9115,inutilisé,未使用,38
1514,inapte,ぴんぴん,94
12720,récurrent,繰り返し,12
8608,écraser,打ち砕く,42
5760,dépêche toi,忙しい,63
3623,masse,メース,79
11596,URSS,ソビエト連邦,20
9666,se remettre,回復する,34
7496,balba,バルボア,50
702,ellipse,楕円,98
13706,Andrew,アンドリュー,5
6867,longue durée,長い時間,55
12801,acteur,俳優,12
7250,bourgeois,バーベス,52
11583,Tyler,タイラー,21
13150,chef,チーフ,9
11559,coquille,シェル,21
11323,julius,ジュリアス,22
6592,chimpanzé,チンパンジー,57
7102,émetteur,送信機,53
9249,invention,発明,37
2918,chiba,千葉,84
6695,Merlin,メルリン,56
3342,butadiène,ブタジエン,81
4050,Provence,プロヴァンス,75
883,téra,テラ,97
936,bois dur,広葉樹,97
7205,Eastman,イーストマン,52
6566,smiley,スマイリー,57
12634,parcelle,プロット,13
2757,oppression,抑圧,85
10653,bébé,可愛い,27
8087,jurassique,ジュラ紀,46
13320,typhon,台風,8
7508,lâche,臆病な,50
11248,lance,槍,23
13207,déterminer,決定,9
8071,sans fin,無限の,46
7296,sphère,スポケーン,52
13370,Logiciel,ソフトウェア,8
443,sévir,細かい,100
4934,gril,グリル,69
11013,nord ouest,北西部,25
10906,kappa,カッパ,25
3386,Lucifer,ルシファー,80
13522,décerner,賞,6
3157,prêtrise,神権,82
707,à flot,浮かべる,98
5211,semestre,学期,67
11381,verticale,垂直,22
7943,pertinent,適切なもの,47
10896,milice,民兵,26
279,exemplaire,フェアグラウンズ,100
4311,handicap,障害者,74
5665,carrefour,交差点,64
11960,tatou,アルマジロ,18
2509,quinze jours,毎晩,87
8741,trio,トリオ,41
6198,ennemi,敵,60
10294,Saké,酒,30
1175,carne,カルネ,96
4845,carlin,カーリン,70
1014,autoritaire,ひどい,97
8821,amino,アミノ,41
422,storyboard,ストーリーボード,100
4030,laitance,泥坊,75
11851,arrive,起こる,19
7888,aero,エアロ,47
241,qui crache,吐き気,100
11956,chasser,ハント,18
4127,Recette,レシピ,75
7755,aqua,アクア,48
9580,tango,タンゴ,35
7845,cornemuseur,パイパー,48
9347,proclamation,宣言,37
11228,par exemple,例えば,23
5314,transvaal,トランスバリア,66
4095,wiener,ウィーナー,75
12898,Jimmy,ジミー,11
9782,triangulaire,三角,34
3620,Juda,ユダ,79
6465,enchères,競売,58
2796,mûre,ブラックベリー,85
10640,transactions,取引,27
12981,atterrissage,上陸,10
4271,néolithique,狂気の,74
11235,brigadier,准将,23
10501,rodriguez,ロドリゲス,28
13496,du repos,残り,7
4782,Sibérie,シベリア,70
3285,sharia,シャリア,81
10749,sans fil,無線,27
3904,doucement,滑らかに,77
2519,euphémisme,婉曲主義,87
2748,vers l ouest,西へ,85
1892,hackers,ハッカーズ,91
5322,mono,単核症,66
3767,ridicule,朗らか,77
10818,la fréquence,周波数,26
7262,génome,ゲノム,52
5790,judith,ジュディス,63
4174,fédéraliste,連邦主義者,75
11906,Jupiter,木星,18
3808,brûler,焼き,77
13762,la terre,地球,5
10502,merveilles,不思議な,28
9185,analogique,アナログ,38
10919,conséquences,余波,25
5313,confiserie,菓子,66
12538,copies,コピー,14
11571,manitoba,マニトバ,21
7839,habitude,癖,48
1910,vivement,熱心に,91
5889,météore,流星,62
2784,roadster,ロードスター,85
13451,néanmoins,それにもかかわらず,7
3712,Samson,サムソン,78
10011,odyssée,オデッセイ,32
7965,alarme,警報,47
8800,calculé,計算されました,41
3182,mojo,モジョー,82
3769,exotique,エキゾチック,77
10537,mouton,羊,28
11814,mini,ミニ,19
10829,coca,コカピー,26
9822,salticher,丹骨,33
4867,cavaliers,騎手,70
5537,fissuré,割れた,65
13165,rôle,役割,9
642,bitmap,ビットマップ,99
10260,tectonique,テクトニクス,30
8549,méchant,村,43
12158,écart,ギャップ,16
3119,plate forme,リグリップ,82
5735,ranch,ランチョー,63
9095,cadran,ダイヤルに,39
5390,cynique,シニカル,65
12231,hanche,股,16
6211,echidna,エヒドナ,60
9711,restauration,復元,34
12427,Lait,ミルク,14
7923,nécessité,必要性,47
8695,fléchère,フレッチャー,42
2284,slas,スラリー,89
3721,submachine,サブキーシン,78
12518,licencié,焚き付けされた,14
5296,sion,シオン,66
21,dalle,スラブ,100
10461,romance,ロマンス,29
6968,terrestre,幽霊,54
11455,prime,ボーナス,21
5018,remorqueur,めちゃくちゃ,68
10623,burton,バートン,27
11562,dominicain,ドミニカ,21
6536,futile,無駄,57
4641,purification,精製,71
2276,aquila,わし座,89
5669,Dumas,夕暮れ,64
11772,reconnu,認識された,19
5384,albédo,アルベド,65
12632,grise,グレー,13
4997,cerviter,露出,69
11095,Pâques,イースター,24
4836,Capricorne,山羊座,70
1480,cagayen,カガヤン,94
1368,amitié,アジティ,95
2923,béryllium,ベリリウム,84
11231,budget,バジェット,23
13297,Nebraska,ネブラスカ,8
6171,sweatshop,スウェットショップ,60
5713,fauché,汚染された,63
10333,Florence,フィレンツェ,30
5635,rappelant,彷彿,64
11604,virtuel,バーチャル,20
7972,cheik,シェイク,47
10624,terra,テラの,27
3171,tyrannie,ティラニー,82
9052,euthanasie,安楽死,39
3866,mélodique,メロディック,77
13036,personnel,人員,10
479,triphosphate,三リン酸,99
9829,maman,ママ,33
3978,réécrire,書き直しました,76
8724,slayer,スラレ,41
1032,mousse,泡,97
3080,Noël,クリスマス,82
1834,barbare,野蛮人,92
382,vice coureur,ヴィセロイ,100
6372,couvre feu,門限,59
13679,établi,設立,5
8694,brûlé,焼けた,42
9602,intersection,交差点,35
5205,millionnaire,富豪,67
12721,cheval,うま,12
4546,iceberg,氷山,72
9048,planeur,グライダー,39
5406,réplique,レプリカ,65
10760,cathédrale,大聖堂,27
8257,garniture,ガース,45
3534,saindoux,ラード,79
9132,Archimède,アルキメデス,38
4349,bason,盆地,74
2662,sensibiliser,アウトリーチ,86
690,prescrit,所定,98
11606,genre,ジャンル,20
1090,chimère,キメラ,96
12244,russell,ラッセル,16
9848,verset,句,33
13052,melbourne,メルボルン,10
2873,élasticité,弾性,84
12349,flyers,チラシ,15
11223,autrichien,オーストリア,23
2680,rosalind,ロザインド,86
10569,rejouer,再生する,28
1617,Sablier,砂時計,93
4540,matricoles,亡命者,72
6464,Tripoli,トリポリア,58
5961,kilomètre,キロメートル,61
10969,Delaware,デラウェアリー,25
9019,commandé,委託,39
6375,marasme,スランプ,59
1818,bac à sable,砂場,92
10317,cache,キャッシュ,30
8737,transmis,送信されたもの,41
6396,goûter,夫人,58
8968,humeur,ムード,40
12449,lancé,発売されました,14
9925,arabe,アラビアン,33
1071,skye,スカイ,96
12268,détester,嫌い,16
4794,symétrie,対称,70
748,vassar,雑誌,98
13046,disco,ディスコ,10
10130,réalisé,気がついた,31
11125,impression,印象,24
9200,astérisque,アスタリスク,38
1013,Burnout,燃えるように,97
8746,biblique,聖書の,41
7513,bromo,ブロモ,50
3727,charcuter,シャンペーン,78
13674,Jersey,ジャージー,5
488,exagération,過言,99
10625,consolidée,連結,27
6824,Donna,ドナピー,55
1231,munite,仲間の,96
10362,windsor,ウィンザー,29
10251,unité,団結,30
9262,dégradation,分解,37
4823,échevin,アーダン,70
9017,orchestre,オーケストラ,39
330,immatériel,めまい,100
423,raidisseur,ストリンガー,100
11740,portée,範囲,19
5946,modène,モデナ,62
9510,vanessa,ヴァネッサ,36
13392,fort,砦,7
12325,Colomb,コロンブス,15
13568,scott,スコットリー,6
1317,mambo,マンボー,95
11322,randonnée,トレッキー,22
2120,Bakersfield,ベーカーズフィールド,90
8201,léger,ライトを,45
4381,Berkowitz,ベルクウィッツ,73
1154,inepte,イヌイン,96
11714,jake,ジェイク,20
12146,influence,影響,16
2073,gobelet,ゴブレット,90
2232,lutin,ブラウニー,89
5975,brûleur,バーナー,61
29,diffraction,回折,100
8817,galilé,ガリレオ,41
234,koto,琴,100
10232,marché,マート,30
4466,bose,ボーズ,72
4364,honoré,尊敬された,73
13539,conformité,コンプライアンス,6
2071,barangay,バランガイ,90
9670,diablo,ディアブロ,34
1065,vénéré,尊敬された,96
759,burbank,バーバンク,98
5467,chaleureux,暖まる,65
9861,Louise,ルイーズ,33
11284,mètres,メーター,23
4649,illégitime,違法です,71
5349,rite,儀式,66
12009,palier,ベアリング,17
9706,bloqué,静かな,34
2434,tourbe,泥炭,88
8170,étiquette,エチケット,45
4513,frénésie,狂信者,72
12835,la plupart,多くの場合,11
5248,intranet,イントラネット,67
12358,institutions,機関,15
8822,salon,サルーン,41
8534,à fond,徹底的に,43
3227,lilly,ゆがみ,82
11759,échauffement,温暖化,19
4228,clamshells,クラムシェル,74
2885,hippocrate,ヒポクラテス,84
12604,denver,デンバー,13
5338,aiguille,針,66
12558,gris,グレー,13
4143,plus foncé,濃い,75
10957,indices,めちゃくちゃ,25
1414,inscription,登録,94
3412,polyester,ポリエステル,80
4090,collant,粘着,75
5227,spectre,幽霊,67
8072,baxter,バクスター,46
10708,canyon,峡谷,27
4615,vivement,暑く,71
6398,fugitif,逃亡者,58
4273,famine,飢餓,74
12961,golfe,湾,11
10511,linéaire,線形,28
4580,alii,アリイ,72
8039,phosphore,リン,46
4528,orthographié,綴った,72
1406,minerva,ミネルヴァ,94
11053,trimer,奴隷,24
2270,velcro,マジック,89
906,cultivé,培った,97
9047,futurama,フキサラマ,39
891,sémantique,セマンティック,97
205,gazelle,ガゼル,100
5588,vomissement,嘔吐,64
6587,main d œuvre,マンパワー,57
11317,épaule,ショルダー,22
9632,chapman,チャップマン,35
5476,renuméroté,番号が付けられた,65
8101,kart,カート,46
11208,joan,じょうち,23
5995,alcool,酒,61
5489,sueur,汗,65
12732,parfait,完全,12
7044,riche,裕福,53
2005,polices,フォント,90
6086,plus lourd,重い,61
4973,dyslexie,失正,69
12573,Rome,ローマ,13
11603,dictionnaire,辞書,20
1267,terrible,恐ろしい,95
4725,lécher,舐める,70
5233,spontané,自発,67
961,entente,エンテーテ,97
8528,créatures,生き物,43
373,avantages,特典,100
1192,inhalation,吸入,96
8436,tueurs,キラー,43
2446,défilement,スクロール,87
1606,lina,リナの,93
5150,silésie,シレジア,67
6820,paddock,パドック,55
1422,hirsute,浮気,94
1343,nanomètre,ナノメーター,95
5926,pluvieux,雨の,62
9761,sapiens,サピエンス,34
12177,exceptionnel,並外れた,16
13064,Pologne,ポーランド,10
11953,requin,鮫,18
6694,della,デラ,56
233,défié,因,100
3975,frégate,フリゲート,76
6724,Madame,マダム,56
13432,Russie,ロシア,7
8986,élaborer,手の込んだ,39
8896,bien,大丈夫,40
8404,sikh,シーク,44
13100,plus grand,最大,10
8674,estonien,エストニア語,42
13394,se rencontre,出会う,7
9406,loup,奴隷に,36
4668,jordanien,ヨルダニア語,71
8982,ludwig,ルートヴィヒ,40
11435,méthyle,メチル,22
8265,Brit,ブリットの,45
3269,antagoniste,拮抗薬,81
7646,résurrection,復活,49
11425,cactus,カクタス,22
9084,gratte ciel,高層ビル,39
5517,cacahuètes,ピーナッツ,65
9079,destination,行き先,39
10035,des larmes,涙,32
10553,intérieur,内陸,28
9069,handball,ハンドボール,39
9542,ne fait pas,いない,35
7607,moustique,蚊,49
1335,albinos,アルビノ,95
6949,oracle,オラクル,54
253,parlements,議員,100
13232,Antonio,アントニオ,9
11779,inapproprié,不適切な,19
13743,garçon,男の子,5
2087,zippy,ジッピー,90
7640,collatéral,担保,49
12218,Watson,ワトソン,16
7436,fraternité,兄弟愛,51
656,rockers,ロッカーズ,98
4378,rationalisé,合理化された,73
5128,kola,コラ,68
3511,remorquer,牽引,79
8479,crayon,鉛筆,43
5217,brutus,ブルタ,67
6719,divers,その他,56
4436,infirmières,看護師,72
559,sang froid,サン,99
10933,Triangle,三角形,25
4529,stravinsky,ストラビンスキー,72
4552,de là,それから,72
12004,bulldogs,ブルドッグ,17
10849,cordon,カーリー,26
654,intendant,スチュワード,98
2596,éclairer,啓発,86
11482,Sussex,サセックス,21
10490,toit,屋根,28
954,pétales,花びら,97
9644,jugement,判定,35
9051,Lisbonne,リスボン,39
2514,googolplex,グーロリックス,87
8842,intégralité,全体,40
4037,lentilles,レンズ,75
7947,de gros,卸売,47
11244,filtre,フィルター,23
4675,concerto,協奏曲,71
2141,trempé,浸した,90
1365,sinistre,気味の悪い,95
7962,cathy,キャシー,47
2400,synchronisé,同期しています,88
9414,mangue,マンゴー,36
8112,épître,エピシスル,46
5277,Attention,外を見る,66
10801,solidifier,固い,26
3081,défaut,欠陥,82
5826,troupeau,群れ,62
12236,prison,刑務所,16
7715,infieline,内野,49
10419,mafia,マフィア,29
8255,violon,バイオリン,45
7683,banjo,バンジョー,49
8155,étagère,ラック,45
1762,ginnon,ジニー,92
2725,Shaikh,シャイ,85
3695,ridicule,リドリー,78
3672,diagonale,対角線,78
11819,outre,その上,19
620,traqueur,トラッカー,99
9109,lézard,トカゲ,38
8572,Yougoslave,ユーゴスラビアの,42
2476,treillis,格子,87
9241,latitude,緯度,38
7172,carney,カーニー,53
10091,cesser,区別された,31
2825,laineux,ぼやけた,84
3954,béret,ベレー,76
2819,rareté,稀少,84
3976,techniciens,技術者,76
4601,odomètre,オドメーター,71
3250,rabat,フラッパー,82
3865,grand père,おじいちゃん,77
3523,hwan,華々しい,79
2247,minnie,ミネー,89
13436,devant,先に,7
3264,posséder,所有する,81
10287,hélicoptères,ヘリコプター,30
5455,adolescent,ティーンエイジャー,65
11753,bristol,ブリストル,19
6487,addition,アドゾン,58
4129,bal de promo,プロム,75
12322,Yougoslavie,ユーゴスラビア,15
1992,milieu,中東,91
4025,fendre,劈く,75
11652,avantage,利点,20
12474,Simon,シモン,14
738,paparazzi,パパラッチ,98
9351,Sahara,サハラ,37
12784,studio,スタジオ,12
1566,Missouriens,ミズーリア人,94
1909,embrasé,輝く,91
6788,à distance,リモートで,55
10370,algèbre,代数,29
5268,chorégraphie,振り付けます,66
8080,canton,カントン,46
12929,du sang,血液,11
4389,mousse,フォーム,73
8471,Se détacher,離脱する,43
2972,entreprise,手綱,83
609,pédicure,ペディキュア,99
1836,topographie,トポグラフィー,92
4848,comparaison,比喩,70
4936,misérable,惨め,69
1917,manifolds,マニホールド,91
1316,majuscule,大文字,95
2108,feux croisés,クロスファイア,90
13610,Donc,したがって,6
6835,irrationnel,不合理な,55
1061,cuillères,スプーン,96
13091,réaffecté,再割り当てされました,10
6985,interférer,干渉,54
7594,sous sol,地下,49
7454,angles,角度,50
12740,écouter,聞く,12
5619,fifre,ファイフ,64
11484,durée,間隔,21
3447,bora,ボラ,80
5688,brandywine,ブランディーワイン,64
4247,shakers,シェーカー,74
2092,esbroufe,スワンクに,90
10893,briser,スマッシュ,26
7802,patricia,パトリシア,48
13422,délibérément,故意に,7
1253,sketch,寸劇,95
3555,omni,オムニ,79
13570,camp,キャンプ,6
3398,vogue,流行,80
968,hispaniques,ヒスパニック州,97
12118,graphique,グラフィック,17
5241,dialogue,ダイヤルアップ,67
6072,Monterey,モントレー,61
12230,injustifié,不定的な,16
7049,tronc,トランク,53
4306,superflu,余りに,74
6271,guinness,ギネス,59
5464,dune,砂丘,65
1212,à bon marché,安作,96
5585,assiette,皿,64
11470,billet,チケット,21
8456,ethnicité,民族性,43
3291,bari,バーリー,81
10513,fermé à clé,ロック,28
1353,vase,スリム,95
8575,briquet,ライター,42
5839,vers le haut,上向きに,62
9389,honolulu,ホノルル,36
9729,ouvrier,ワーカー,34
4445,de location,レンタル,72
9983,moins,マイナス,32
191,surveillance,監督する,100
1487,moelle,骨髄,94
11770,seconde,末,19
10570,Munich,ミュンヘン,28
1200,Ragoût,シチュー,96
12984,gamelle,ビリー,10
8082,rayon,半径,46
11300,coupable,有罪,23
1575,sonorisation,発声,93
12620,khan,氏族長,13
10281,philippin,フィリピン人,30
10215,finlandais,フィンランド語,30
11400,croissance,成長,22
167,périphérique,静かな,100
6248,nôme,ノーマ,59
3752,basso,バッソ,78
4781,râpé,再登録,70
12680,biaisé,偏見に,13
746,ripa,潮流,98
4164,logarithme,対数,75
6002,dunpper,ダンケルク,61
2374,châtiment,報復,88
13557,Royal,王立,6
10898,berger,羊飼い,25
8156,soudage,溶接,45
3082,soustraire,減算する,82
2989,doubiliser,疑念,83
835,brassiere,ブラジャー,98
6014,journaliste,コラムニスト,61
12798,pilote,パイロット,12
1287,centriste,中心者,95
10210,pari,ベット,31
9787,terminologie,用語,34
2804,places,お弁当,85
2385,liszt,リスツ,88
12115,menthe,ミント,17
8970,compatible,互換性,40
969,magdalène,マグダレン,97
7427,récompense,褒美,51
8622,flottant,フローティング,42
7857,nanking,南京,48
8763,alligator,アリゲーター,41
7546,Verseau,アクエリアス,50
8795,saratoga,サラトガ,41
6028,Sacs,袋,61
7927,sperme,精子,47
6387,harpe,ハープ,58
10601,déchu,倒れて,28
7558,Bonsoir,おやすみ,50
12347,désordre,混乱,15
355,stratojet,ストラートジェット,100
6571,paternité,著者,57
10550,en mangeant,食べる,28
13454,artiste,アーティスト,7
11413,abandonné,放棄された,22
8665,juvénile,幼児,42
8212,copernic,コペルナクス,45
13222,directement,直接,9
2722,litige,訴訟,85
11737,poiré,ペリー,19
6830,jockey,騎手,55
1113,instructeurs,講師,96
13407,vallée,谷,7
8938,mammouth,マンモス,40
9918,aléh,遊休,33
13475,finalement,最後に,7
517,Guernesey,ガーンジー,99
7679,hayonnerie,ハッチバック,49
7677,innombrable,無数に,49
857,udal,u u,98
1994,enquête,お問い合わせ,91
3587,anormal,異常な,79
12967,inexpliqué,不明瞭な,10
5193,aldolase,アルドラーゼ,67
5434,colley,コリー,65
7072,sérieux,真剣に,53
9266,judiciaire,司法,37
10188,employé,職員,31
932,centriole,中心に,97
7890,se comporter,振る舞う,47
9120,renforcé,純金化,38
11888,virus,ウイルス,18
13072,prendre,選ぶ,10
13399,mort,死,7
3389,khalifa,カリフォー,80
