ID,SPAIN,DEUTSCH,INTERVAL
1311,perro tejonero,dackel,97
14394,pregunta,frage,6
9540,campaña corta,shortstop,50
13065,tiempo extraordinario,im laufe der zeit,21
10370,anuncio publicitario,anzeige,7
6554,bután,bhutan.,70
6718,diverso,sonstiges,69
7159,fatiga,ermüdung,63
12685,aerotransportado,in der luft,25
1732,regalías,lizenzgebühren,68
11936,cerebro,gehirn,30
8876,portavasos,untersetzer,54
1254,desvergonzado,schamlos,97
10228,cómodo,gemütlich,32
5598,a la fuerza,gewaltsam,70
7442,hipódromo,rennbahn,64
12098,conservador,konservativ,24
14148,propuesto,vorgeschlagen,11
3507,pyongyang,pjöngjang,87
10391,saltando,springen,9
13292,jordán,jordanien,18
7918,yegua,stute,62
9487,arroyo,beck,50
8170,inyección,injektion,32
6570,paternidad literaria,urheberschaft,70
14201,pantalla,bildschirm,22
2434,licitador,bieter,88
6754,lo más corto,kürzeste,69
13418,poseedor,halter,16
8739,psicológico,psychologisch,36
1727,penetrado,schriftlich,42
9549,autobuses,busse,49
7192,decencia,anstand,66
4355,lógicamente,logisch,28
4781,siberia,sibirien,80
11028,terremoto,beben,38
11991,desfloración,tarnieren.,27
7452,lechoso,milchig,64
7340,muñeco,mig,63
1768,hacia el este,ostwärts,53
13195,masa,masse,18
1818,redil,cote,93
12092,inactivado,inaktiviert,29
9931,tortura,folter,42
12066,favor,favorisieren,24
2490,biliar,erbilder,92
8141,reconocer,recon.,61
14403,pronto,bald,10
13305,párrafo,absatz,17
10589,escarcha,frost,41
13874,allá,dort,6
1074,añadido,angehängt,72
3363,dictadores,diktatoren.,45
8165,cereal,getreide,59
11942,centro comercial,einkaufszentrum,31
8807,percepción,wahrnehmung,50
14349,proporcionó,bereitgestellt,6
13052,fe,glaube,20
221,galia,gallien,99
640,voluctividad,voltung,95
13987,caso,fall,6
5600,para que no,damit nicht,62
215,féretro,leichentuch,100
13251,campana,glocke,18
78,mendigos,begünstige,88
9230,ladrillo,backstein,48
2137,motorizado,motorisiert,93
4198,fosfatasa,phosphatase,83
970,caloría,kalorie,88
9810,oceanía,ozeanien,48
6193,no poder,havent,72
2331,vistazo,gänserich,92
7361,enfriar,chillen,62
2053,estornudar,niesen,86
2414,cepillo de dientes,zahnbürste,92
3240,negrita,fettdruck,81
3224,desmilitarizado,entmilitarisiert,85
1060,cucharas,spoons.,54
3259,excesivamente,übermäßig,36
11604,solamente,einzig und allein,27
2122,lanceta,lanzette,93
11924,sexualmente,sexuell,20
64,entristecido,betrübt,95
828,desaceleración,abschwung,99
14383,propuesta,vorschlag,11
2271,folsom,folder,93
1282,tríadas,triaden,68
5401,manivela,kurbel,72
7666,erróneamente,fälschlicherweise,63
6770,escasez,mangel,56
10933,humo,rauch,28
6224,cucaracha,kakerlake,72
5327,angustia,not,66
11429,inaugural,eröffnen,33
1370,urbar,urbisch,97
13702,ganador,gewinner,12
6217,ecuestre,reiter,68
14321,idioma,sprache,12
4138,todopoderoso,allmächtig,84
14249,fondos,mittel,25
12538,gastado,verbraucht,27
10397,cra,ave.,44
7475,azur,azurblau,64
5084,ladrones,diebe,77
2017,garabatear,gekritzel,92
14367,imagen,bild,6
13812,un,ein,5
10428,carrera,schlaganfall,38
7393,retratar,porträtieren,38
12273,martes,dienstag,29
9499,caca,kacke,48
2045,rotonda,kreisel,93
4298,más frío,kälteste,83
6692,gusanos,würmer,49
12319,lanzador,krug,23
10855,suave,glatt,39
11341,morder,champion,34
3087,ardiente,feurig,88
13472,más alto,höher,16
9811,cuentos,erzählungen,34
11399,crecimiento,wachstum,37
4480,ecualizado,ausgeglichen,75
9363,arquitecto,architekt,45
2245,empeñar,verpfänden,79
6418,de carbono,kohlenstoffhaltig,71
10902,boicotear,boykott,38
699,trozo de cuero,dag,97
86,arado,pflug,88
10817,frecuencia,frequenz,38
11854,en curso,laufend,33
121,almidón,stärke,97
13776,excursión,tour,12
6986,encarcelado,inhaftiert,49
5503,acumulado,amassen,65
13026,inexactitud,ungenauigkeiten,21
9620,espiga,seetang,50
8019,paz,pax,62
5623,mediocre,mittelmäßig,74
14072,orden,befehl,10
5342,perenne,mehrjährig,75
3963,palo de golf,gör,80
12862,salvaje,wild,23
8192,serpentinas,streamer,52
11053,mediodía,mittag,39
13872,porque,weil,7
3198,verbos,verben,54
11954,esclavitud,sklaverei,32
1418,rarezas,raritäten,80
13794,y,und,5
11789,actriz,darstellerin,33
10913,rana,frosch,36
9542,suspicaz,verdächtig,49
14045,dentro,innerhalb,12
5025,catalán,katalanisch,79
10513,rumores,gerüchte,38
2961,antepasado,vorfahr,70
14429,carillo,preis,21
1228,hormigueo,feuchtest,97
9686,papi,vati,49
12396,gráficos,charts,16
9228,sirio,syrisch,51
6820,semi mensual,halb-monatlich,68
10789,herramientas,werkzeuge,22
932,cartera,schulranzen,98
3295,agotador,bestrafen,24
1777,celos,eifersucht,92
12983,porra,billy.,20
829,maestría,meisterschaft,99
14358,gasto,ausgaben,31
1522,estigio,styx,96
11818,además,neben,30
11635,poco claro,unklar,34
2697,apátrida,staatenlos,84
13750,oportunidad,gelegenheit,13
792,electrólito,elektrolyt,96
13019,declarado,erklärt,16
5079,aprender,lear,79
12337,ajuste,einstellung,10
12707,roca,stein,21
12110,enfocar,fokus,30
1482,situado más al norte,nördlichste,96
11019,evaluar,bewerten,23
14192,acordado,vereinbart,12
11068,huevo,ei,36
10326,más cercano,am nächsten,44
11872,voluntarios,freiwillige,19
2598,obra maestra,meisterstück,84
4852,desempleados,arbeitslos,53
10942,fiambres,delikatessen,40
6817,bendición,segen,68
14008,hasta,bis,10
417,bachillerato,baccalaureate.,100
5912,por tierra,überland,72
5504,toreo,stierkampf,76
5475,renumerado,neu nummeriert,62
5647,vil,gemein,75
12814,estimado,geschätzt,19
6646,viable,spielerisch,70
14272,campaña,kampagne,15
6153,cartas credenciales,referenzen,70
5516,miseria,erdnüsse,43
4341,esopo,äsop,83
10676,guardián,wächter,40
11124,impresión,eindruck,24
10605,presuntamente,angeblich,42
8653,adaptación,anpassung,35
9854,el cairo,kairo,48
7551,crueldad,grausamkeit,64
10527,prontamente,sofort,43
7465,muelle,dock,49
9603,nutrición,ernährung,47
9098,cupé,coupe,21
4252,sanguijuela,blutegel,83
2094,glicerol,glycerin,93
6433,limpiador,reiniger,67
14129,nunca,niemals,12
10328,preparativos,arrangements,23
10036,sin etiqueta,ungewagert,47
7196,arzobispo,erzbischof,63
13747,azul,blau,12
13356,independiente,unabhängig,14
12697,tarea,aufgabe,17
8860,abadía,abtei,56
47,perro de pomerania,spitz,100
8069,huerta,obstgarten,61
7182,vdo,witwe,62
9553,bruselas,brüssel,50
3961,idiotas,moronen,51
4858,en alto,insoft.,80
7719,subyacente,unterschwellig,60
11055,retrato,porträt,38
6038,mójol,meeräsche,70
5211,mercancías,fan-shop,70
6898,fantasmas,geister,34
4569,en medio de,inmitten,82
3719,caduco,laub,86
3186,elocuencia,beredsamkeit,80
10322,burra,burke,41
11916,ocupado,belegt,28
8050,gelatina,gelee,61
6815,laúd,laute,68
1773,rosado,kleiner finger,90
4061,globos,ballons,43
12,ordinariamente,gewöhnlich,100
14076,diseño,design,11
9871,insurgentes,aufständische,36
1640,reimprimir,abdruck,66
11548,proporción,verhältnis,34
7218,puño,faust,56
2799,estentista,stentor,90
2506,querubín,cherub,91
4168,vinagre,essig,84
12528,madera,holz,21
8939,escritorio pequeño,davenport,55
5280,alza,auf dem kopf,77
3286,nervios,nerven,54
14419,espectáculos,zeigt an,8
13050,obtiene,get,8
11406,halcón,falke,21
5083,tarta de queso,käsekuchen,78
8098,recoger,abholen,60
10389,asta de bandera,flagstaff.,44
11683,preferir,bevorzugen,11
3650,giro de vuelta,dreh dich um,84
739,ortogonal,senkrecht,95
13105,preciso,genau,18
2451,se rió,gelacht,41
5578,bohemia,böhmen,76
13311,posiblemente,möglicherweise,8
3496,retroactivamente,rückwirkend,77
13788,análisis,analyse,12
712,no escrito,ungeschrieben,99
6767,testigo ocular,augenzeuge,60
5884,cuña,keil,70
3022,tapiz,arras.,89
14323,calidad,qualität,10
3695,latente,schlummern,86
5685,magnate,tycoon,75
8055,cuchilla,griff,61
3158,inquieto,geringer,88
5149,silesia,schlesien,78
720,objetante,heckler,97
2477,escapada,abfließen,92
8260,todoterreno,jeep,57
3555,moscatel,muskat,87
14153,prueba,prüfen,5
8201,botánica,botanik,60
6231,greenwood,greenholz,72
9938,hipocresía,kippen,47
6850,molde,schimmel,59
13960,informe,bericht,5
12665,dibujado,gezeichnet,25
13006,dibujó,drew,22
12916,golpeado,geschlagen,23
13705,andrés,andrew,13
13126,italiano,italienisch,19
12819,asumir,davon ausgehen,16
13913,ambos,beide,9
13843,todo,alle,7
5484,supermercados,supermärkte,62
2759,pompa,festzug,87
12274,señal,signal,23
7761,esquelético,skelett-,62
2377,monseñor,monsignore,92
613,escudriñado,geprüft,95
1083,riñones,zügel,75
6272,saltamontes,heuschrecke,70
8668,dispuesto,gesinnt,11
7899,aliviar,lindern,30
5024,comensal,esser,68
7259,complemento,ergänzen,61
9256,brusco,schmerzhaft,53
11087,censurado,zensiert,29
7724,reconciliación,versöhnung,62
1907,comunicado,kommunique,93
2552,invencible,unbesiegbar,88
2298,clorhidrato,hydrochlorid,92
9780,popa,stern,48
10016,mortal,sterblich,38
8486,envuelto,verpackt,41
11831,básicamente,grundsätzlich gilt,18
9846,bicicleta,fahrrad,42
9489,cariño,foothy,51
13159,crisis,krise,20
6874,cilindros,zylinder,44
11524,adquirido,erworben,26
11120,carey,anerkeuner,38
12591,ejercicio,die übung,23
463,falsedades,falschheit,84
9377,cedro,zeder,49
9834,amistad,freundschaft,47
10430,franjas,franz,44
801,weiner,wiener würstchen,98
13857,después,nach,6
3528,palta,avocado,85
5748,cubismo,kubismus,75
11793,notificar,benachrichtigen,29
4442,envidia,der neid,81
10544,lazo,schleife,37
10050,otoño,herbst,46
9883,fortaleza,festung,45
9302,deshinchar,eindeutig,52
239,sin oposición,ungeschaltet,100
1465,secuencialmente,der reihe nach,68
9033,liebre,lieut,55
5140,filmar con una videocámara,videoband,67
5173,ocio,freizeit,76
1561,ermita,einsiedelei,96
11108,explorar,erkunden,27
470,abad,abt,98
10293,motivo,sake,44
244,comestible,essbar,98
14088,aquí,hier,5
7278,recipiente,empfänger,51
11542,marruecos,marokko,35
2198,recaudación de fondos,spendensammlung,92
9278,desafilado,unverblümt,51
10363,binario,binär,44
10031,incorrectamente,falsch,47
13001,masacre,massaker,20
6455,estafilococo,staphylococcus,71
9154,batuta,taktstock,50
11375,entrada,angehen,27
12498,suerte,glück,27
2397,antideportivo,unsportmanähnlich.,92
13162,consecutivo,aufeinanderfolgenden,19
11798,creciente,wachsend,26
11451,mellizo,zwilling,24
5131,fólico,filisch,79
13007,reacción,reaktion,20
8607,persona especial,zerkleinern,39
14030,versión,ausführung,10
10861,timonel,kegelung,40
9784,vanidad,nichtigkeit,48
5825,rebaño,herde,69
6041,atún,thunfisch,72
6390,éxito de taquilla,blockbuster,68
3332,gusano plano,flatworm.,88
1552,eneldo,dill,95
12928,sangre,blut,22
1826,brutín,grinch,95
13134,payaso,clown,20
13793,a,zu,5
6937,libro de texto,lehrbuch,55
10382,destino,bestimmung,44
8716,descargo de responsabilidad,haftungsausschluss,22
6149,resucitado,auferstanden,73
8976,gatito,kätzchen,53
1978,pera,perfe.,94
397,raqueta de nieve,schneeschuh,99
13101,príncipe,prinz,20
9037,exigente,anspruchsvoll,23
1486,médula,mark,96
8487,glaciar,gletscher,54
6087,disponibilidad,bereitschaft,73
8478,lápiz,bleistift,56
14164,marcas,macht,5
389,galio,gallium,100
2736,curandero,quacksalber,89
13716,menos,weniger,13
2326,carolear,karolen,46
680,arqueólogo,archäologe,90
7348,sujetar,fassen,60
10936,letonia,lettland,40
13637,corte,gericht,14
8344,en todo el estado,staatlich.,59
3531,humedal,feuchtgebiet,82
3233,nucleico,nuklein,88
12809,almiar,rick.,24
13494,consultas,anfragen,15
14296,terminado,beendet,8
147,empobrecido,verarmt,99
8736,transmitido,übertragen,46
8142,variado,abwechslungsreich,24
13521,otorgar,vergeben,10
797,filarmónico,philharmonie,99
1480,de dos partidos políticos,zweipartisaner,96
9668,tobillo,knöchel,48
12999,desconocido,unbekannt,21
10856,caramelo,süssigkeit,40
8852,monos,affen,26
13859,tiempo,zeit,5
2825,espléndido,prächtig,90
11162,cocaína,kokain,38
3033,auditor,abschlussprüfer,88
12653,costo,kosten,22
1804,duela,daube,76
852,inclemente,inkl,99
10757,indicador,messgerät,39
7460,tirador,shooter,57
8911,almirante,admiral,39
11735,ejército de reserva,ta.,33
6726,convocado,beschworen,56
644,celta,kelte,87
4460,cuáqueros,quätig,67
982,restablecido,wieder hergestellt,84
216,hecho en casa,hausgemacht,100
11152,vóleibol,volleyball,38
3386,incredulidad,ungläubig,88
5241,disipación,ablösend,20
2839,pont,pontieren,89
2064,copto,koptisch,93
10147,conservar,zuückbehalten,28
2267,erosionado,erodiert,83
5031,armónico,harmonisch,73
4161,mi todo,mein alles,84
10123,bocina,horn,37
14481,prensa,drücken sie,14
1026,remolacha,rüben,95
8325,toneladas,tonnen,56
4374,más débil,schwächste,82
9105,osito de peluche,teddy.,54
6102,almeja,muschel,72
13148,desaparecido,fehlen,12
7770,arrepentirse,reue,25
6387,secular,weltlich,63
6918,terciario,tertiär-,68
3974,fragata,fregatte,80
8341,lienzo,segeltuch,59
12323,arrojar,futter,28
1213,no provocado,grundlos,97
5175,lácteo,lacey,78
4784,cartulina,karton,80
2104,sinfónico,symphonisch,93
6944,abolido,abgeschafft,62
9312,conquista,eroberung,50
11250,cautiverio,fesseln,23
2764,zona de las calmas ecuatoriales,flaute,90
4338,repartidor de hielo,ikeman,83
12629,nominalmente,nominell,12
11172,equitación,reiten,26
11067,más fuerte,am stärksten,39
2476,landó,landauer,92
11505,solicitud,anwendung,24
3585,frente,stirn,86
9997,disparate,piffle,47
10579,potro,fohlen,24
12556,arroz,reis,26
4894,buzo,taucher,67
10439,vicioso,bösartig,44
7383,filete,steak,64
8056,ratones,mäuse,61
11222,austriaco,österreichisch,37
14338,visto,gesehen,12
3019,detergente,waschmittel,88
5845,mechón,mv.,74
3977,reescribir,umschrieben,85
810,azafrán,safran,99
11130,grado,ausmaß,38
9490,estrechamente,eng,51
3694,ridiar,ridley.,86
13573,con frecuencia,häufig,15
3000,marcadamente,merklich,89
10307,poe,piepen,45
4563,cortacésped,mäher,76
546,atrasado,überfällig,99
10292,avatar,benutzerbild,44
8882,caja de cambios,getriebe,55
14340,rechazado,abgelehnt,16
10037,percibido,wahrgenommen,43
1641,bichos,whamzen,91
4031,galletas,kekse,26
9004,politécnico,polytechnikum,54
3017,cavidad,hohlraum,88
7487,cebolla,zwiebel,60
13545,declaración,aussage,12
11240,fábrica,mühlen,29
1400,más brillante,hellste,96
9692,decimoquinto,fünfzehnten,49
9798,guardabosque,ranger,20
10702,barril,fass,38
4114,taquigrafía,kurzschrift,72
13985,público,öffentlich,9
277,sedanes,limousine,52
11471,vender,verkaufen,24
7567,activo,anlagegut,41
5112,persona,serin,79
10010,odisea,odyssee,47
9040,formación,array,53
2485,húmedo,feucht,71
449,juez de línea,linienrichter,100
8914,jerarquía,hierarchie,54
4620,detenidos,häftlinge,72
12250,frondoso,belaubt,29
3823,extravagante,outlandisch,86
1358,estos,thesusus.,97
3115,egeo,ägäisch,88
2266,compatriota,landsmann,87
13830,también,auch,6
8652,mugir,muhen,57
12870,novato,anfänger,21
1452,calzada,fahrbahn,96
13095,libertad,freiheit,20
11895,brote,ausbruch,31
9788,desayuno,frühstück,47
14378,unidades,einheiten,7
7747,culminante,kulmination,43
11238,arrestar,festnahme,20
4375,panorámico,panorama-,82
3008,estilizado,stilisiert,88
6182,espinacas,spinat,72
11938,queso,käse,31
13999,línea,linie,10
13820,cual,welche,6
3317,farmacia,apotheke,85
5657,satisfactorio,zufriedenstellend,75
1653,sin piedad,gnadenlos,95
2870,púbico,pubic.,90
4990,mandíbulas,backen,61
6192,borracho,gelöscht,33
12422,gracioso,komisch,28
11836,ceniza,asche,27
8545,sincronizar,synchronisieren,57
4902,parachoque,stoßstange,76
5322,rubio,blond,64
2336,hacia el sur,südwärts,60
12446,realizado,durchgeführt,19
2859,ventilación,belüftung,85
3896,costura,weberei,76
6766,peregrinos,pilger,62
5590,consentido,verwöhnt,53
11850,sucede,das passiert,12
8806,revelación,spoiler,44
11237,generoso,gene,38
14019,windows,fenster,13
12148,supo,wusste,30
13641,ocho,acht,14
9451,velero,chandler,51
12229,injustificado,ungerechtfertigt,29
9691,germán,ihr mann,49
10615,inmuebles,anwesen,38
14025,mi,mein,6
8824,comerciante,händler,50
631,sin cortar,ungeschnitten,99
11198,funeral,beerdigung,38
453,engrama,eingrenzen,100
6860,reside,sich befinden,21
3368,replicación,reproduzieren,65
1674,expiación,sühne,83
12526,respondido,geantwortet,12
9281,relaciones,beziehungen,29
9730,bulto,ausbuchtung,49
5550,laver,gravierlich,76
3076,lúcido,luzid,88
8943,aunque,obgleich,55
7895,empuje,schub,57
5763,desplazamiento,verschiebung,44
454,arlequín,harlekin,92
6563,procurador,proktor,70
10136,seda,die seide,45
11487,defender,verteidigen,16
11852,chupar,saugen,25
6998,chupete,lutscher,66
14512,periódico,zeitung,17
8252,wo,woher,60
9990,cuántico,quantum,47
4026,trayectoria,flugbahn,75
362,discriminatorio,diskriminierend,100
3956,zona residencial,uptown,85
2144,inaccesible,nicht zugänglich,93
10118,eh,huh,46
1280,sangrar,bluten,50
4382,familiares,verwandtschaft,82
10874,diputado,stellvertreter,36
4164,ensalada de col,krautsalat,84
9064,buscador,sucher,52
10775,afiliación,zugehörigkeit,10
3966,calabazas,kürbisse,60
13810,él,es,5
5672,edipo,oedipus.,75
8727,bt,batterie,57
10172,loro,papagei,45
6358,espacio aéreo,luftraum,71
10255,densidad,dichte,44
3786,rectangular,rechteckig,86
8622,orejas,ohren,38
4134,no libre,unfruchtbar,84
10431,ucranio,ukrainisch,42
7270,cuadrícula,quadrate,17
8186,esmeralda,smaragd,59
6872,fallecimiento,ableben,67
7388,pueblo natal,heimatort,64
10701,brillante,glänzend,41
10399,alce,elch,44
884,buena suerte,godspeed.,98
13954,bien,gut,7
12401,valioso,wertvoll,28
4373,metodología,methodik,74
9029,siberiano,sibirisch,54
803,curva,kurveball.,99
7208,afecta,affekte,11
8198,predominantemente,überwiegend,60
9297,caridad,wohltätigkeit,49
4144,más ancho,breitend,84
4600,cuentakilómetros,kilometerzähler,81
876,gérmenes,keime,79
7372,síntomas,symptome,62
11286,tender,neigen,30
13607,navegador,browser,14
9496,alfabético,alphabetisch,30
4316,torpe,unbeholfen,81
7152,ondas,luftwellen,66
14413,obras,arbeiten,5
8565,jengibre,ingwer,58
12781,sesión,sitzung,21
8985,elaborar,durchdacht,47
238,siesta,nickerchen,82
9523,volver a entrar en,erneut eingeben,50
4917,ascenso,aufstieg,80
3461,glaseado,glasiert,88
12238,más largo,am längsten,29
576,excursiones,outfitters.,98
1377,paisaje modelado,parkland,90
6581,morillo,andiron.,70
6904,aprendiz,leary,68
6885,bowyer,bubyer,68
2827,asfixia,würgend,71
7220,jaleo,jill,66
5161,halcón peregrino,piergrine,78
2219,impredecible,unberechenbar,89
8557,conectar,kappe,58
3291,objetable,störsicher,88
11102,ayer,gestern,38
5896,frente al mar,waterfront,74
11670,decimotercero,dreizehnte,34
14519,traer,bringen,6
11897,tratamiento,behandlung,31
5416,cazadora,cassie.,76
320,trazador,tracer,98
13390,comida,lebensmittel,16
5512,tirar,zieh,21
2709,atormentado,flared,59
3535,refugio subterráneo,einbaum,86
12279,preparado,bereit,19
9199,asterisco,sternchen,51
12503,héroe,held,22
12248,algun lado,irgendwo,29
2647,teólogo,theologe,87
6234,hombres armados,gunmen,72
4229,interceptar,abfangen,18
14311,escuela,schule,7
607,guionista,drehbuchautor,99
11696,guau,beeindruckend,34
12701,contento,froh,25
7596,ansiedad,angst,63
8973,pitón,python,55
8621,flotante,floating.,46
9108,lagarto,eidechse,53
8085,erróneo,fehlerhaft,53
2790,porquero,schweinehirt,90
13275,asociado,damit verbundenen,12
1724,cierre,schließungen,50
8502,custodia,gewahrsam,58
11305,volcán,vulkan,36
4028,abundancia,fülle,67
7006,acilo,acyl.,67
3736,bocadillo,snack,76
7715,dinámica,dynamik,27
9403,desacuerdo,desc.,51
13818,no,nicht,5
5302,garra,talon,74
13972,archivo,datei,6
1742,no modificado,unansehnlich,94
8247,tuerca,nuss,47
12882,alfa,alpha,23
9052,ateísmo,atheismus,54
6603,éter,äther,65
3852,ramificado,verzweigt,28
762,salón de noticias,newsroom,97
8150,accesorio,vorrichtung,46
6490,pavo real,pfau,69
5230,vórtice,wirbel,78
10597,jardinero,fielder,42
11221,fundador,gründer,35
4683,bonificaciones,boni,81
11032,estrictamente,streng,39
1331,jibbs,jammig,97
2905,bizancio,byzanz,90
5837,cápsula,kapsel,63
13529,amplio,breit,13
7391,rotura,ruhe in frieden,46
13118,naciones unidas,un,20
8295,saxofón,saxophon,59
142,terratenientes,landbesitzer,95
7550,evocador,anregend,63
13564,baloncesto,basketball,15
9189,batán,voller,53
7160,escalón,echelon,63
12739,escuchar,hören,20
3359,arrebatador,border,88
9383,latón,messing,51
11260,arcilla,lehm,38
9071,croata,kroatisch,54
13284,8,8.,18
9369,térmico,thermal-,51
13538,cumplimiento,einhaltung,15
6242,balde,eimer,68
7055,horquilla,haarnadel,66
6601,melodía,melodien,40
9896,lema,motto,45
4377,optimizado,stromlinienförmig,73
8885,bateadores,hitter,36
1386,anamórfico,anamorph,97
5580,chaleco,weste,59
3456,desgaste,attrition,86
13277,cruzar,kreuzen,13
4128,paseo,abschlussball,82
7965,marchitar,verwelken,61
14011,proporcionar,bieten,6
12143,pájaro,vogel,27
5843,esmeril,schmirgel,74
4187,mirlo,amsel,83
413,politeísmo,polytheismus,100
13074,laboratorio,labor,20
826,dueño,vermieter,92
12492,alma,seele,26
957,plaqueta,plättchen,93
12921,roto,gebrochen,23
13703,rápidamente,schnell,14
1043,ave de serpiente,dorter,95
2030,promulgación,erlass,31
9998,enloquecer,verrückt machen,47
925,carácter distintivo,ethos.,98
9599,auge,boom,47
6519,esclerosis,sklerose,71
7252,atuendo,outfit,57
7660,cintura,taille,58
2058,a medida,gänzlich,93
10948,varsovia,warschau,40
12237,geografía,erdkunde,29
14404,revisar,rezension,8
14412,normas,regeln,8
1523,tierras bajas,flachland,77
5273,teológico,theological.,56
8381,toda la vida,lebenszeit,59
12856,agencia,agentur,19
9891,días festivos,feiertage,30
8172,que representa,darstellen,27
128,charla,geklettert.,98
9570,agricultores,landwirte,41
13855,último,zuletzt,6
6479,codificación,kodierung,14
6807,órfico,orphic.,68
4081,trinquete,klinke,84
12267,odio,hassen,26
13444,comenzando,anfang,13
5861,hiperactividad,hyperaktivität,71
7434,acento,akzent,57
228,cura principal,dene,100
5974,quemador,brenner,73
11390,sueco,schwedisch,37
3674,falla,panne,79
13378,donación,zu geben,9
12760,puntilla,brad,24
12493,planificado,geplant,12
10997,sentimiento,werben,39
10728,predicho,vorhergesagt,27
6881,zarzo,water,67
8403,sij,sikh,50
2287,sembrar,sau,86
8168,calentado,erhitzt,22
9728,trabajador,arbeiter,24
9396,valla,zaun,41
11745,algodón,baumwolle,34
14062,ejemplo,beispiel,12
5303,de pena,wandern,77
5652,ígneo,entzündet,75
2622,buque de guerra,schlachtschiffe,61
12637,programación,programmierung,12
4870,decreciente,abnehmend,41
3576,loseta,fliese,65
2694,tetera,teekanne,91
7743,bosquejo,skizzieren,56
8456,lindo,niedlich,53
10812,arrecife,riff,40
13470,bandera,flagge,14
1488,historiografía,geschichtsschreibung,95
2014,tentador,verlockend,67
12847,confirmar,bestätigen sie,15
949,geólogos,geologen,78
14024,cuarto,quartal,10
11750,egipcio,ägyptisch,31
12026,rescate,rettung,28
4890,lub,labe,80
10274,capilla,kapelle,45
350,somorgujo,klopfer,99
11606,oxígeno,sauerstoff,34
6942,gallo,hahn,55
13559,temporal,vorübergehend,15
1036,arpillera,hessian,95
7803,bomberos,feuerwehrleute,48
4048,cáscara de nuez,nussschale,84
8088,prometido,verpfändet,46
8084,masonería,freimaurer,61
6055,carretilla,karren,73
9248,invención,erfindung,33
13963,propio,eigen,8
7778,bozal,schnauze,62
8958,romper,sunder,55
7634,trombón,posaune,62
11747,vigésimo,zwanzigeth.,34
12340,mahoma,muhammad,28
4387,jazmín,jasmin,80
