ID,SPAIN,TURC,INTERVAL
14381,valores,menkul kıymetler,13
9483,lobos,kurtlar,53
647,dalles,dalkavuk,99
10663,venganza,intikam,44
13133,debate,çekişme,18
13217,ninguno de los dos,hiç biri,20
6419,clímax,doruk,71
10067,periodistas,gazeteciler,33
14036,hogar,ev,9
13871,usar,kullanmak,5
8867,chileno,şil,57
9186,sopa,çorba,55
4702,irresponsable,sorumsuz,80
6454,ateniense,atinalı,67
14094,mejor,en iyi,9
6714,encerrar,kapanma,30
5629,chiíta,şii,78
2039,banquero,bankacı,86
9450,altitud,irtifa,50
11670,decimotercero,on üçüncü,36
10395,submarino,denizaltı,44
12242,concepto,kavram,27
203,juego de piernas,ayak işi,100
4142,más oscuro,koyu,85
13725,regular,düzenli,13
7320,difamar,açmak,35
7532,lince,lynx,66
12579,ficción,kurgu,21
6626,sushi,suşi,72
3418,silvicultura,ormancılık,88
10101,vestido,giyinmiş,30
2628,hendido,yarık,91
12621,nativo,yerli,25
13557,al otro lado de,bir yandan bir yan,16
4445,primer plano,ön plan,84
7090,vacuna,aşı,58
8451,manifestantes,protestocular,59
32,principilidades,esrarengiz,89
3227,egoísta,bencil,86
11903,em,emzik,32
13643,pueblo,köy,14
313,carismático,karizmatik,100
5036,virginiano,virüslü,74
4121,pavimentado,döşeli,65
4734,subconjuntos,alt gruplar,63
8516,intensificación,yoğunlaşma,60
2665,torbellino,jakuzi,91
10979,notación,notasyon,39
13771,casi,hemen hemen,13
12309,variedad,çeşitlilik,27
14341,central,merkezi,12
4034,plan de estudios,müfredat,85
7725,pago,ödeme,54
6560,rasgarse,yırttı,72
7261,genoma,genetik şifre,65
8656,desglose,yıkmak,58
14501,autoridades,yetkililer,10
11501,chipre,kıbrıs,37
1310,privar,mahrum etmek,71
3776,exitoso,çıkış,20
10094,demiurgo,evrenin yaratıcısı,48
4552,ascensión,yükselme,83
1773,rosado,pinky,91
1037,escape,kaçış,97
2250,plenario,plenity,94
13833,que,hariç,7
8409,abolicionista,kaldırımcı,58
10964,gastar,harcamak,32
5651,ósmosis,ozmoz,78
13079,árbol,ağaç,20
13172,nov,kasabası,20
13834,arriba,yukarı,7
386,triásico,triyasik,100
3559,optimista,iyimser,83
4442,envidia,imrenmek,83
2453,salvador,kurtarıcı,91
9878,mitch,mitmek,50
10620,muralla exterior,bailey,44
7696,luto,yas,61
7208,afecta,etkilemek,11
4857,esquife,kik,79
14273,cabeza,kafa,11
10369,álgebra,cebir,44
14260,funciones,işlevler,25
5485,pueril,puarren,78
2769,addis,eklemek,91
7736,resonancia,rezonans,61
9101,flanco,fişek,49
14295,siguiente,takip etme,6
9577,a escala nacional,ülke çapında,52
7103,extinto,yok olmuş,48
5194,cofactor,kofaktör,77
12526,respondido,cevap verdi,12
8025,duquesa,düşes,63
9815,colgante,asılı,36
13664,local,yerel,13
3457,águila pescadora,osprey,82
13897,hecho,yapılmış,5
9722,vigilancia,gözetim,51
4357,cita,rendezvous,80
958,celíaco,çölyak,98
5559,existencialismo,varoluşçuluk,74
1203,esguince,burkulma,75
891,depositado,yatırıldı,59
2028,vendedor,satici,71
11578,alcohol,alkol,33
10729,narrativa,anlatı,42
11133,dieciséis,on altı,40
13028,circuito,devre,21
8101,desempate,tiakebreaker,62
12767,década,on yıl,22
5106,increíble,inanılmaz,74
9893,escultura,heykel,48
300,redefinición,yeniden tanımlamak,98
6721,inherentemente,doğal olarak,58
5366,extrovertido,dışa dönük,79
4937,tempestad,tempon,80
4039,inmaculado,tertemiz,85
2234,autostopista,otostopçu,87
9967,caro,masraflı,38
6911,minino,pist,69
1259,montaje,birleştirme,23
10766,hormigón,beton,43
13793,a,ile,5
4257,dilema,ikilem,83
5871,augurio,yaralamak,76
10367,hacer encaje,tatmak,45
12755,sur oeste,güneybatı,26
10959,realimentación,geri bildirim,41
1772,asexual,aseksüel,88
13514,millas,mil,14
1832,cadino,cady,95
7615,sonrisas,gülmek,34
11475,altavoz,hoparlör,32
10530,coordenadas,koordinatlar,25
2,galleta salada,çubuk kraker,95
398,tiempo espacial,boş zaman,100
2833,tapiz,goblen,90
14221,europa,avrupa,5
10488,parcialmente,kısmen,45
5896,frente al mar,deniz kıyısı,76
6193,no poder,havent,74
6955,ladrón,hırsız,70
9588,igualmente,aynı şekilde,52
2909,alacena,büfe,90
9475,degradado,bozulmuş,52
2784,temporizador,zamanlayıcılar,70
11975,puertas,kapılar,25
8295,saxofón,saksafon,61
5885,suspender,askıya almak,27
11604,solamente,yalnızca,29
8286,bloqueo,kilitleme,62
13475,persa,farsça,16
2024,malicia,kötülük,92
9403,desacuerdo,dezavantajı,53
11971,camión,kamyon,30
2814,descarboxilasa,dekarboksilaz,91
12250,frondoso,yapraklı,31
11988,especulación,spekülasyon,26
14409,miembro,üye,10
6519,esclerosis,skleroz,73
9691,germán,herman,51
11539,sutil,hemen göze çarpmayan,37
5660,ataúd,tabut,74
13573,con frecuencia,sıklıkla,15
13155,célula,hücre,19
7011,límite,eşik,68
970,caloría,kalori,89
12770,jubiloso,neşeli,25
12489,miércoles,çarşamba günü,28
11347,apodo,takma ad,31
8373,ámbar,amber,61
13194,oh,ah,20
14017,operando,işletme,7
11771,reconocido,tanınan,6
11373,holocausto,soykırım,38
11295,suministros,gereçler,22
9733,lunar,ay yildizi,51
11540,fomentar,gayretlendirmek,36
13404,juntos,bir arada,18
2426,hombre bajo,alçak adam,93
1798,seducción,baştan çıkarma,91
12990,danza,dans,19
5693,agua dulce,tatlı su,78
1916,colectores,manifoldlar,70
11524,adquirido,edinilen,27
4598,reemplazado,yerini almak,76
3006,amapola,haşhaş,89
13154,estudiantes,öğrenciler,15
259,grupa,şaka olarak,100
10167,pastel,kek,45
11669,virginia,va,36
13516,pertinente,ilgili,15
3928,istmo,ishmus,86
10294,casado,evli,41
14106,nivel,seviyesi,12
6790,guisantes,bezelye,50
12575,aureola,halo,27
1606,consternación,dehşet,87
7489,enfatizado,vurgulayan,50
10913,rana,kurbağa,38
8306,emparejado,eşleştirilmiş,25
11756,clima,iklim,34
7447,durry,derileştirmek,67
5331,punto muerto,kilitlenme,72
12014,ajustarse,uymak,17
8111,epístola,epistle,61
13186,extranjero,yabancı,19
2596,túnica,elbise,84
8971,soledad,yalnızlık,57
8448,críptico,kriptik,60
10044,colorete,rouge,43
7077,escándalos,skandallar,31
4184,saltador,springer,85
8639,picadura,sokmak,58
12274,señal,sinyal,25
4910,adolfo,adil,82
6608,no escolar,okumuş,72
13530,arbusto,çalı,16
6678,caliza,kireç taşı,72
2583,amabilidad,nezaket,16
6692,gusanos,solucanlar,51
6065,indignacion,öfke,57
1939,mudar,slough,95
916,horca,darağacı,98
3122,corsé,korse,76
4154,coberturas,hedges,63
10534,incoherente,tutarsız,45
2252,inestimable,paha biçilmez,94
4649,regeneración,yenilenme,67
12857,definición,tanım,17
13225,cayó,düşmüş,20
10658,agenda,gündem,42
11029,difunto,feshetmek,41
8621,flotante,yüzer,48
14203,procesando,işleme,12
13832,tenía,vardı,7
2574,nómina de sueldos,maaş bordrosu,91
2731,bola de truenos,thunderball,91
2156,fugas,sızıntı,44
12664,más allá de,öte,27
3889,acrílico,akrilik,85
6806,maquillaje,makyaj yapmak,70
7838,hábito,alışkanlık,51
5628,liendre,sirke,76
11011,tortuga,kaplumbağa,37
8581,naufragio,enkaz,50
4179,bobinas,makaralar,56
12263,templo,tapınak şakak .. mabet,30
12033,pirata,korsan,22
13470,bandera,bayrak,14
6128,veneno,zehir,72
13641,ocho,sekiz,15
8389,fraigarse,fra,61
9666,absurdo,absürt,50
6836,billetes,banknot,40
1796,reabastecimiento,resupply,91
12299,jardines,arazi,13
10062,descalificado,diskalifiye edilmiş,47
5647,vil,aşağılık,78
9950,pionero,öncü,40
14335,excelente,harika,10
7223,conector,konektör,64
8384,punto de referencia,dönüm noktası,52
3921,mfr,mff,86
8218,excepcional,olağanüstü,16
4335,cretáceo,kretase,84
8798,testimonio,tanıklık,53
12833,acero,çelik,24
1768,hacia el este,doğuya doğru,55
5445,galáctico,galaktik,79
12186,mercurio,merkür,31
3712,escafandra autónoma,scuba,87
4946,reiterado,yinelenen,61
2757,salmón ahumado,füme balık,91
3606,ayunarse,clem,88
9602,sesenta,altmış,47
7851,penalizado,cezalandırılmış,54
2785,nuevo mercado,yeni market,91
13444,comenzando,başlangıç,13
8128,indisponible,kullanım dışı,62
10988,fruta,meyve,38
5805,desviado,yönlendirilmiş,63
10220,pecado,günah,40
7591,atestado,kalabalık,21
10655,campañas,kampanyalar,16
5634,recordativo,hatırlatan,71
5720,modos,modlar,38
3150,apagar,kapat,88
1033,desafiante,meydan okuma,98
10775,afiliación,bağlılık,10
7777,azores,azorlar,64
10874,diputado,milletvekili,38
4718,humedad,nem,82
12822,rápido,hızlı,24
2990,incentivo,teşvik,77
5229,caspio,hazar,80
3378,arruinado,iflas etti,87
7226,sorteo,raflalar,68
6157,carnicería,karanya,75
11017,cuervo,kuzgun,31
12634,ilegal,yasadışı,25
14163,investigación,araştırma,12
14408,cifras,figürler,14
12314,a diario,günlük,30
10721,silla,sandalye,38
1683,impostor,sham,81
12219,audio,ses,31
13540,particularmente,özellikle de,16
7115,vestíbulo,lobi,54
10528,nuevo testamento,nt,45
12953,anular,geçersiz kılmak,23
6191,jero,heh,74
1523,tierras bajas,alçak,79
10166,patrocinado,sponsorlu,34
5224,sillín,sele,75
11081,obsesionado,lanetli,38
11884,ambiente,çevre,33
9362,cementerio,mezarlık,54
3269,apilado,yığılmış,53
8079,cantón,kanton,59
7716,eximir,muaf,55
9578,lotería,piyango,52
12669,actividad,aktivite,12
8586,rasgado,yırtık,60
7886,excedido,aşılanmış,42
8875,esfinge,sfenks,57
13136,sexo,seks,21
4622,canibalismo,yamyamlık,68
12689,expansión,genişleme,26
6167,bergantín,brik,74
10242,rural,kırsal,47
9454,enfriador,soğutucu,53
11284,alcalde,belediye başkanı,37
13988,interés,faiz,9
8504,talbot,tılböceği,60
3172,distraído,dikkat dağıtıcı,56
1914,no cualificado,niteliksiz,94
475,omite,ihmal etmek,50
720,objetante,heckler,97
9809,dedo,parmak,37
13350,velocidad,hız,17
7169,rebotó,ribaunt,31
6239,urgencia,acemi,26
4390,escuela politécnica,poli,82
11694,transportador,taşıyıcı,33
11057,barba,sakal,38
8412,gravitación,yerçekimi,52
7211,viajes,seyahat etmek,20
6360,gilipollas,sarkık,74
2518,eufemismo,öççilik,89
2828,desprotegido,korumasız,56
9384,montículo,höyük,51
1685,falo,phallus,96
5223,hablador,gabin,80
14328,condujo,neden olmuş,12
3208,enérgico,enerjik,86
4452,cinematógrafos,sinemacılık,69
8477,delicioso,lezzetli,60
2077,córneo,azgın,94
6155,tablista,sörfçü,64
4543,tarifas,tarifeler,62
4193,tachar,grev,44
3570,celoso,kıskanç,88
11620,piedad,ruth,37
11067,más fuerte,en güçlü,41
5797,semiconductor,yarı iletken,73
10151,recesión,durgunluk,44
2781,aplausos,alkış,91
8840,puntuación,noktalama,53
10471,búsqueda,kovalama,44
10778,provincial,il,43
7384,cadete,asker,52
6849,helíaco,helak,70
12870,novato,çaylak,22
489,empujón,kıpırdamak,80
9502,colombiana,kolombiyalı,52
11875,filosofía,felsefe,34
5835,estrella de mar,denizyıldızı,76
10021,componentes,bileşenler,33
13144,alejandro,i̇skender,21
2418,río abajo,akıntı yönünde,93
2720,incendiario,yangın,88
12696,patrón,desen,24
10914,galaxia,gökada,39
12933,refugio,cennet,23
5975,poético,şiirsel,73
12917,no referenciado,karşıtlıksız,24
12479,senna,sinameki,28
9451,velero,chandler,53
10281,condado,shire,47
2129,línea azul,mavi çizgi,94
9107,suplemento,takviyelemek,42
10059,tocones,güdük,41
6391,novio,erkek arkadaş,72
11973,nancy,nank,33
10165,cesado,durdurulmuş,27
1872,amarrar,belay,91
8275,molino,yel değirmeni,61
4612,plátanos,muz,43
2228,trullo,teal,94
13921,decir,söylemek,9
2962,hermanos,kardeşler,75
12035,imposible,imkansız,32
3639,inoxidable,paslanmaz,88
11857,dispositivo,cihaz,28
9032,monopolio,tekel,55
9995,carmesí,koyu kırmızı,49
10311,inseguro,dikkatsizce,46
7327,educación física,pe,66
12629,nominalmente,nominal olarak,12
12237,geografía,coğrafya,31
11482,revolucionario,devrimci,36
1531,burguesía,burjuvazi,96
11852,chupar,emmek,27
7671,ecología,ekoloji,56
12174,cachorros,yavrular,31
2219,impredecible,öngörülemeyen,90
3286,nervios,sinirler,56
7558,visa,vize,62
2587,perspectivas,içgörü,51
4303,insustituible,yeri doldurulamaz,83
5114,ábaco,abaküs,81
3275,cavendato,cavendish,89
2522,peluca,peruk,84
4362,confesar,itiraf etmek,48
5005,esferas,küreler,38
2254,precuela,öncesi niteliğinde,94
11552,logotipos,logolar,12
14120,lugar,yer,6
962,narciso,nergis,98
12269,monstruo,canavar,28
9286,interactivo,etkileşimli,33
509,sin fecha,tarihsiz,99
3632,desproporcionado,oransız,82
6970,reconstituido,sulandırılmış,64
6534,sofá,kanepe,69
13617,mesa,tablo,14
13521,otorgar,ödül,11
947,cúmulo,kümülüs,98
7258,espinilla,incik,66
5162,abonado,abone,58
3288,salvar,kurtarma,69
11025,cola,kuyruk,33
8876,portavasos,coaster,56
5772,extraer,ayıkla,41
12090,liderazgo,liderlik,32
12459,caminante,yürüdü,29
2614,jardín de infancia,çocuk yuvası,91
9168,trono,taht,54
13039,aproximadamente,yaklaşık olarak,20
10202,acción de gracias,şükran günü,47
631,sin cortar,kesilmemiş,99
8365,decaer,çürümek,56
14230,todavía,henüz,10
14488,democrático,demokratik,18
778,disminuido,yatıştırılmış,81
14147,recientemente,son zamanlarda,5
7668,comienzo,başlama,65
7681,heráldica,hanedanlık armaları,65
12971,planeta,gezegen,20
10904,almacenamiento,depolamak,42
10952,anuncio,duyuru,14
14321,idioma,dil,12
7247,rugido,kükreyen,54
841,calesa,buggy,98
3724,arender,ard,87
5954,ebbets,ebebiler,76
8800,locutor,avcı,16
8652,mugir,moo,59
9868,reinado,saltanat,39
4771,mangosta,mongoose,82
7557,buenas noches,iyi geceler,66
3230,vestidos,giysiler,66
7259,complemento,tamamlayıcı,62
6939,eón,aeon,68
500,fiebre,feist,99
9672,resolver,çözmek,35
9131,arquímedes,arşimet,56
6309,arquímete,archimedean,74
13569,acampar,kamp,14
13377,prohibido,yasaklanmış,12
5421,cisma,şecbilik,78
1163,bombero,fireboy,98
8136,daga,hançer,61
13023,frontera,sınır,19
7303,flexible,esnek,59
6749,mosa,meuse,71
14135,dos,doz,5
8329,ofendido,gücenmiş,30
10943,grados,derece,27
6771,linterna,fener,68
10370,anuncio publicitario,reklamcılık,8
8977,francotirador,keskin nisanci,53
9208,centavos,sent,30
3805,domar,ehlileştirmek,74
3686,fabricación,yapılışı,45
11943,permanente,kalıcı,26
2419,plantaciones,tarlalar,73
2570,hoguera,şenlik ateşi,89
13143,luchado,kavga etti,21
7265,bancarrota,iflas,67
3242,rapé,enfiye,89
8502,custodia,velayet,60
7507,cobardemente,korkakça,66
13560,ciencia,bilim,15
8975,mariposa,kelebek,55
4355,lógicamente,mantıksal olarak,30
10693,justificación,meşrulaştırma,41
6903,más pesado,daha ağır,70
5600,para que no,lest,64
2305,carboxilasa,karboksilaz,93
8319,sabio,adaçayı,61
9220,detenido,gözaltına alınmış,51
1212,dios mio,allah allah,98
12440,bruce,branş,29
8289,marcador,işaretleyici,55
8677,autismo,otizm,59
1478,agua salada,tuzlu su,96
9568,arcada,oyun makinesi,52
11066,al azar,rastgele,41
11651,beneficio,fayda,8
10854,difícil,zorlu,41
12046,presencia,mevcudiyet,33
10717,manteca,tereyağı,43
837,exceso de peso,kilolu,99
9948,lefty,soluk,49
11841,concierto,konser,31
5879,escaparate,vitrin,61
1387,intra,içi,97
13547,fórmula,formül,16
13788,análisis,analiz,13
3596,oscuridad,alacakaranlıkta,88
10147,conservar,sürdürmek,30
13097,categorías,kategoriler,7
7337,lujo,lüks,50
11110,respaldo,destek olmak,39
10832,visión de conjunto,genel bakış,42
14081,noticias,haberler,12
12516,civiles,siviller,21
10142,revuelta,isyan etmek,45
13777,españa,ispanya,13
11498,periódicos,gazeteler,18
9225,pantallas,görüntüler,16
1169,subtipo,alt tip,95
13421,deliberadamente,kasten,8
12097,argumentos,argümanlar,20
14294,auto,araba,11
10957,anillos,yüzükler,21
3383,gatear,yavaş ilerleme,71
10013,malhumorado,kaprisli,49
8967,estado animico,mod,56
4095,redención,kefaret,84
1426,boya,şamandıra,86
13532,previamente,önceden,16
7274,malaria,sıtma,68
9396,valla,çit,43
2549,supervisarse,tasarruf etmek,92
12039,delincuente,adli,30
7773,cabina,kokpit,63
9840,plural,çoğul,46
5318,examinador,incelenme,33
11787,limpiar,temizlemek,35
13906,cada,her biri,9
12401,valioso,değerli,29
12416,chile,şili,29
9470,aislado,yalıtılmış,45
12349,histórico,tarihi,16
1628,agujerito,iğne deliği,96
13628,polo,kutup,14
9224,fullback,tam geri,49
2306,escoba,süpürge,91
7872,infinitamente,sonsuz,31
6184,angoleño,angolan,72
811,ibídem,ibid,99
10082,delfín,yunus,30
10521,pobreza,yoksulluk,45
14122,incluir,içerir,7
4298,más frío,en soğuk,84
14227,devolver,geri dönmek,11
2987,convincentemente,inandırıcı bir şekilde,90
9441,desacuerdos,anlaşmazlıklar,40
8247,tuerca,ceviz,49
7453,anglos,açılar,38
6862,salida en antena,airlay,70
3171,lisiado,sakat,77
5323,rima,kafiye,65
10051,hablado,konuşulmuş,49
2613,ambición,tutku,77
12547,intercambio,değiş tokuş,25
1307,polonio,polonyum,97
2304,nulo,nafaka,93
11112,grifo,griftin,40
12988,lista de verificación,kontrol listesi,23
13740,común,yaygın,12
11550,reproducción,reprodüksiyon,32
2463,paliza,dayak,56
7094,pulga,pire,68
10490,otomano,osmanlı,43
1322,congregación,cemaat,80
3980,contiguo,bitişik,85
7938,incorporación,yerleşme,26
340,abuelos,büyükbaba,83
8078,feudo,kavga,58
5112,persona,serseri,81
12384,sub,alt,29
11088,respectivamente,buna göre,40
11086,implicar,ima etmek,27
2032,condolencias,başsağlıklar,89
1842,nocturno,gecelik,95
5876,sospechas,şüphe,52
12194,marca,markalaşma,20
2612,subtitular,alt yazı,75
8355,improductivo,verimsiz,61
4274,oxidasa,oksidaz,84
9112,cono,koni,54
4636,pato real,yeşilbaş,82
5271,perdedores,underdogs,61
13156,presidencial,başkanlık,20
5352,pilluelo,kestanesi,79
13335,sexto,altıncı,19
8281,sensa,set,59
7804,mamífero,memeli,57
6726,convocado,çağıran,58
8354,unicornio,tek boynuzlu kimse,60
10422,mintiendo,uzanmak,24
118,emprendimiento,girişimcilik,100
1877,despertador,uyanma,32
9110,megahercio,mhz,56
7976,ego,benlik,62
1613,ceilán,ceylon,96
11174,facilitar,kolaylaştırmak,37
11451,mellizo,ikiz,25
13322,oye,hey,19
240,escupir,tükürme,31
2773,chorrito,damlama,86
10622,aparejo,burton,44
7342,cerámica,çömlekçilik,66
2816,splanquia,speknoloji,91
7346,helio,helyum,67
10886,desapego,önyargısız olma,34
8965,sensato,mantıklı,53
1447,baños,tuvaletler,47
4000,superpotencia,süper güç,77
10506,esta noche,bu gece,45
3200,infligir,zarar vermek,57
13265,sentido,algı,19
6746,mueble,mobilya,71
6430,cañutillo,gimp,72
5718,whig,nahoş,67
9633,pecho,meme,47
8938,escotilla,kapak,55
13983,ayuda,yardım,7
10515,recurso,dinlenme tesisi,39
13261,enciclopédico,ansiklopedik,19
5972,hundir,atmak,56
3072,almendra,badem,88
7664,alabado,övünen,45
8582,posada,han,50
328,chaqueta de sport,blazer,54
2591,documentales,belgeseller,37
3412,madera contrachapada,kontrplak,88
10612,procedimiento,prosedür,34
13052,fe,inanç,21
10350,diseñador,tasarımcı,12
9055,tormenta,fırtınalı,46
8004,anclaje,ankraj,63
9233,bisexual,biseksüel,48
8644,geográfico,coğrafi,38
13876,gobierno,devlet,10
14350,encontrarse,tanışmak,11
4318,psiquiátrico,psikiyatrik,84
221,galia,gaul,99
14261,liberar,serbest bırakmak,10
11372,versa,tam,38
9372,en primer lugar,i̇lk önce,54
13300,elevado,kabarık,16
11916,ocupado,dolu,29
9842,vecindad,yakınlarda,50
11634,bardo,çörek,36
12296,terreno de juego,saha,19
8221,estragos,tahribat,62
11316,hombro,omuz,35
1870,momentáneamente,geçici olarak,95
4902,parachoque,tampon,78
9011,kane,kanaya,57
10486,cirugía,ameliyat,45
12369,manzana,elma,28
4446,re añadir,yeniden ekle,83
7856,nacer,nanking,64
12053,brevemente,kısaca,33
303,vástago,scion,98
2311,molestar,bozmak,25
8627,giro,bükmek,45
5618,pífano,fide,78
13918,compartir,paylaşmak,6
7944,polvoriento,tozlu,63
10436,sustituido,ikame edilmiş,25
12691,amistoso,arkadaş canlısı,26
20,losa,döşeme,89
5090,verbal,sözlü,70
12532,aclarar,açıklamak,26
13860,dice,diyor,9
11329,decimoséptimo,on yedinci,38
11045,argumentó,savundu,24
10299,sintaxis,sözdizimi,47
8968,dormido,uyuyor,20
165,actón,harekete geçmek,100
14010,ir,gitmek,8
13190,población,nüfus,18
5345,nevado,kar yağışlı,79
6072,conquistada,fethetmek,49
8661,transporte,navlun,58
7042,certificación,belgelendirme,45
9009,sofía,sophia,57
14289,máquinas,makineler,11
4302,aislamiento,yalıtım,70
7646,sobredosis,od,65
3173,sin gusto,clumasız,89
10679,avalancha,çığ,43
14353,descrito,tanımlanmış,11
13211,yanquis,yankiler,16
10322,burra,burke,43
8106,estreno,prömiyer,22
4648,ilegítimo,gayri meşru,82
14486,característica,özellik,11
2526,hasidic,haşiyik,89
2139,situación,vâât,94
12222,más viejo,daha eski,31
5780,libélula,yusufçuk,76
13120,real,gerçek,12
1339,inaudito,duyulmamış,97
4215,arqueológico,arkeolojik,36
