ID,SPAIN,PORTUGAIS,INTERVAL
9980,reconstrucción,reconstrução,39
2597,número de lectores,leitores de leitores,90
318,matizado,nuancemente,85
380,alcano,alkane,96
3192,más estricto,mais rigoroso,87
8716,descargo de responsabilidad,aviso legal,21
5224,sillín,selim,71
9932,brezo,heath.,45
12822,rápido,velozes,22
6167,bergantín,brigue,70
12158,demonio,diabo,20
4866,jinetes,cavaleiros,78
5205,popurrí,medley.,73
10970,misericordioso,misc,38
7953,condón,preservativo,56
12090,liderazgo,liderança,29
460,adictivo,viciante,24
10949,agitación,agitação,38
4930,gafas de protección,óculos,74
3378,arruinado,falido,84
13545,declaración,declaração,12
10873,herencia,herança,38
15,ocelote,jaguatirica,100
6796,simulación,sim.,35
10103,hilo,fio,38
10481,páginas,pp.,40
14333,venta,vendendo,22
4698,asignar,mete.,73
11229,presa,barragem,34
5320,sombrero de copa,topper,63
5397,alharaca,alvoroço,75
11013,juego de los cientos,piquete.,38
8322,perro chino,chow.,55
12879,iraquí,iraquiano,21
13551,quiso decir,significou,14
14321,idioma,linguagem,11
7611,soltado,desencadeado.,58
4611,descalificación,desqualificação,76
7770,arrepentirse,arrependimento,23
2592,reelaborado,retrabalhado,62
7258,espinilla,canela,61
11250,cautiverio,títulos,22
1064,venerado,reverenciado,51
10631,cuesta abajo,downhill,38
11895,brote,surto,29
4862,estatutario,legal,78
13757,meridional,sulista,12
5512,tirar,puxa,19
222,proyectores,luzes de inundação,97
2867,al agua,ao mar,88
9258,investigacion,sonda,45
7790,muñeca,boneca,42
1818,redil,cote.,92
9353,foca,cão do mar,49
13249,pista de carreras,speedway.,18
7206,cuartos de final,estímilos,63
14340,rechazado,recusou,15
10919,beso,beijo,35
2780,cebador,primer.,85
3734,tranvía,bonde,78
3641,computadora portátil,caderno,80
2018,paquete o empaquetar,parcela,85
345,cinturón en,aperte o cinto,100
28,difracción,difração,100
8281,sensa,sears.,54
3784,regresión,regressão,80
8070,interminable,sem fim,58
9839,atractivo,noivando,15
11435,deberes,obrigações,20
14438,comenzó,iniciado,8
12273,martes,terça,27
7470,disposición,disposição,46
8688,pimientos,peppers.,33
14461,acepta,leva,5
1865,rebanador,slicer.,94
12770,jubiloso,feliz,23
12248,algun lado,em algum lugar,28
5600,para que no,para mais,59
10150,patineta,skate,31
9408,costa afuera,no mar,49
9978,destacar,destaques,23
11731,kenia,quênia,32
715,chih,chique,98
10516,nada suspicaz,desavisando,40
9664,maltuoso,malthusian,47
5682,pezón,mamilo,68
14128,marzo,marchar,6
2011,decepcionar,desapontar,32
6255,estremecerse,shook.,70
6986,encarcelado,preso,46
4994,central eléctrica,casa de força,71
8092,montó,montaram,58
13220,desarrollado,desenvolvido,12
8997,cebar,stoke.,44
12054,títeres,fantoches.,24
1828,moneda,cunhagem,94
13378,donación,dando,8
1426,boya,bóia,82
6893,tracks,refrugadores,65
12222,más viejo,mais velho,28
13789,salud,felicidades,12
6390,éxito de taquilla,blockbuster.,66
7381,práctico,à mão,62
9817,mago,bruxo,33
6924,lácteos,laticínios,65
12777,subida,partir,23
9651,ejecución,execução,19
6503,orinar,xixi,47
11987,carretera,rodovia,26
4798,cizallado,corte,29
4896,contratistas,empreiteiros,62
14504,carreras,corre,8
12157,brecha,gap = vão,27
12902,olvidar,esqueço,21
4502,nave estelar,starship.,80
8758,imán,magnético,36
11475,altavoz,palestrante,29
11381,apoyador,zagueiro,30
2851,tallado,esculpido,71
1244,maldito,enlouquecimento,30
13705,andrés,andrew.,12
6224,cucaracha,barata,70
8274,no muerto,morto-vivo,57
2276,hermético,coxa,88
14483,razón,razão,6
9875,polluelo,pintainho,40
8977,francotirador,atirador de elite,48
128,charla,conversa,97
8720,del medio oeste,centro oeste,53
2472,oblicuo,lateralmente,90
9094,marcar,discar,45
122,zalema,salaam.,100
9396,valla,cerca,39
12337,ajuste,contexto,10
10329,navegar,squeaky toy,38
10563,atasco,entupimento,38
12611,tokio,tóquio,24
6623,calabaza,abóbora,64
14069,ley,lei,8
5280,alza,parte de cima,75
8918,obligatorio,obrigatoriedade,52
5051,bola,bolos,77
5303,de pena,wiking.,76
4740,matatoria,mather,79
3419,melón,melão,85
9993,en todas partes,em todos os lugares,44
6677,rellenar,fillmore.,67
3592,almohada,travesseiro,79
10629,sorber,e aí,39
2000,dilatación,dilatação,85
4043,sencillez,simplicidade,81
12989,oyó,ouvi,21
5708,comedia de enredo,sitcom.,67
3795,entrega por paracaídas,airdrop.,74
7688,zozo,zo.,60
11865,cualquiera,qualquer pessoa,31
11193,cáscara,casco,36
6594,hollín,fuligem,68
2188,carpeta,pasta,87
13944,york,iorque,9
13942,colocar,definir,10
8648,confiado,confiável,26
12761,pelo largo,cabelo longo,23
3264,péptido,peptídeo,85
7710,expiración,termo,60
495,cosquillas,cócegas,85
12427,elegido,escolhido,26
6533,abogacía,advocacia,68
1648,perdurar,perdue.,91
7365,pompeya,pompeii.,62
8176,coma,vírgula,49
9110,megahercio,mhz.,51
4253,ocaso,ock.,81
3533,manteca de cerdo,banha,86
2911,inducciones,inductees.,85
2486,conejo,coney.,90
13749,pista,acompanhar,10
10857,colapsado,desabou,26
13010,atrapó,apanhado,20
11112,grifo,griffin.,36
7020,amman,amã,64
1668,emborracharse,fudzo,94
13650,legal,jurídico,9
3032,piccolo,flautim,88
12655,yo soy,eu estou,24
8834,oso pardo,grizzly.,46
9184,cosa análoga,analógico,39
70,abundante,rebo,100
7533,lana,lã,62
4600,cuentakilómetros,odômetro,79
9627,maldición,xingamento,41
6274,wáter,wac.,70
4935,miserable,miserável,66
13886,cª,inc,20
3694,ridiar,ridley.,85
12434,puente aéreo,transporte aéreo,25
10528,nuevo testamento,nt.,40
14028,largo,longo,9
7076,ladrar,latido,57
5435,regimiento,regt.,75
1638,timón,leme,92
7538,ñab,whisp.,62
11148,descargar,download,28
4258,delantero,antes.,81
1554,gose,gostar,95
7286,convicción,convicção,33
8926,ranura,bicho-preguiça,52
14036,hogar,lar,8
2523,azotaina,palmada,81
4350,antecedentes,fundos,18
7897,varado,encalhado,49
14384,dirigir,liderar,8
10869,guarida,den.,38
7982,quejumbroso,reclamando,30
6539,unificación,unificação,67
13322,oye,ei,17
11056,té,chá,37
11007,birmania,burma,38
5131,fólico,folic.,77
720,objetante,heckler.,96
6150,trineo,trenó,69
11124,impresión,impressão,23
11295,suministros,suprimentos,19
12869,florida,fl.,22
5569,secesión,secessão,74
8715,juego,jogatina,40
10279,plaza,praça,42
5678,patio de recreo,parque infantil,73
8636,glotón,wolverine,33
8529,pizarrero,slater,55
12715,pies,pés,23
3681,vértigo,vertigem,85
12943,cuyo,de quem,21
11919,astucia,ast,30
269,erguido,ereto,48
4671,incómodo,desconfortável,78
9945,zoo,jardim zoológico,44
6392,conjuntamente,em conjunto,69
7251,encima,no topo.,62
14057,cambiar,mudar,6
3380,sabiendas,conscientemente,86
11127,voltereta,somerset.,37
6129,chirrido,rangido,68
4542,guerra relámpago,blitzkrieg.,79
7240,muguete,mayflower.,63
9329,habitante,morador,48
13978,día,dia,7
6455,estafilococo,staphylococcus.,69
6009,buen año,bom ano,72
3535,refugio subterráneo,dugout.,84
11622,cuadro,pintura,22
5339,montón,heap,68
10686,loto,lótus,39
7280,devanar,dev.,62
3718,delito,crime,80
6227,levadura,fermento,70
10766,hormigón,concreto,38
4587,columna vertebral,espinha dorsal,78
9418,deslizar,escorregar,36
2301,dudado,duvidou,20
4252,sanguijuela,sanguessuga,81
4136,bajo mandato,mandatada,39
8882,caja de cambios,caixa de velocidade,52
5910,patata,spud.,72
2557,hechizo,hecht.,90
14079,convertirse,tornar-se,8
13304,aficionados,fãs.,12
576,excursiones,outfitters.,97
11665,masón,pedreiro,31
7220,jaleo,jill.,63
10735,blasfemia,profanidade,30
2997,ñame,yum.,88
14145,llamar,chamar,9
9375,pulpo,polvo,49
14307,alemán,alemão,12
13060,frío,resfriado,19
5188,hojas perennes,evergreen,77
7729,matones,bandidos,52
3789,marquesina,marquee.,84
11333,hueso,osso,30
13502,escenario,etapa,12
3295,agotador,punindo,23
11088,respectivamente,adequadamente,37
12919,conjunto,combinado,16
9568,arcada,videogames,47
3184,nociones,noções,46
13745,tablero,borda,12
3695,latente,dormente,85
1641,bichos,whammies.,90
12079,jardín,jardim,24
1136,ciempiés,centopéia,96
11218,junto a,ao lado de.,36
9677,rodas,rhodes.,47
11470,cursiva,itálico,31
1419,acreditación,credenciamento,64
357,borradores,rascunhos,95
13977,desear,querer,6
5386,lodoso,turvar,72
7122,solomillo,lombo,64
11062,serbio,sérvio,37
9414,acoso,assédio,27
13554,apreciado,estimado,10
8113,pelea confusa,melee.,56
7518,transversal,crossover,58
2342,fideos,macarrão,63
5785,ano,ânus,73
13612,neto,internet,13
1841,recluso,presos,89
4418,gacela,springbok.,67
5759,apurarse,pressa,67
9142,por la presente,por este meio,50
7340,muñeco,mig.,61
330,dava,dawe.,85
3470,capó,gorro,76
1675,sola,solon.,92
121,almidón,amido,96
419,petardo,firecracker.,94
7594,abuelo,vô,60
4636,pato real,mallard.,78
5566,tímido,recatado,74
7513,bz,beleza,62
14281,ganancia,lucro,31
2150,molestado,muffed.,92
5119,jábega,seine.,77
12679,tendencioso,enviesado,23
2309,complementos,elogios,57
3941,ojeada,olhadinha,80
5053,vasco,basque.,74
1692,deshidración,desidratação,89
1687,desprevenido,despreparado,94
8953,tejedor,tecelão,51
2816,splanquia,splanchnology.,89
4955,axil,axel.,77
9189,batán,fuller.,50
5223,hablador,gabby.,76
12750,polla,pau,23
2457,ha podido recuperar,buscar,75
4094,salchicha,wiener.,80
3707,gafas de sol,oculos de sol,84
9489,cariño,footy.,48
6685,redux,restaurado,67
6934,bakú,baku.,65
13368,trofeo,troféu,16
12226,evolución,evolução,28
1929,bilis,bile.,93
2141,gatería,gatling.,92
9200,placer,prazer,49
8412,gravitación,gravitação,47
4401,hamburguesa con queso,x-burger,80
10046,disparates,balderdash.,44
82,guisante,peabody,100
10651,opciones,opções,7
6990,morteros,argamassas,39
7708,puerco espín,porco-espinho,60
12721,gas,gás,15
6683,diferenciar,distinguir,41
7539,taft,saltaft.,62
10591,gator,jacaré,40
9284,fracasado,mal sucedido,44
10239,pulmón,pulmão,39
6880,regreso a casa,homecoming.,65
13894,estos,esses,7
14373,programado,agendado,14
2550,cáñamo,cânhamo,90
6895,guantes,luvas,44
10918,secuelas,resemate.,38
13143,luchado,disputado,19
2303,desviación,deflexão,60
3204,reformado,remodelado,77
9057,aburrido,tedioso,34
10569,munich,munique,40
10322,burra,burke,38
9731,donante,doador,41
13229,hijo,filho,17
2067,isla pequeña,cay.,91
6828,bailarines,dançarinos,53
9153,negación,negação,49
952,chubasco,squall.,90
3469,engañar,fob.,85
13307,escribió,escrevi,17
1552,eneldo,aneto,94
2413,tendón,tendão,88
9262,luchador,wrestler.,43
12310,aumento,ascender,22
12432,th,º,26
5830,recámara,culatra,57
1065,abarcado,englobado,38
1973,cohunt,ahunt.,93
8420,botella doble,magnum,55
8851,ramamente,flagrantemente,52
2219,impredecible,imprevisível,88
211,valón,valão,100
6754,lo más corto,mais curto,66
11241,enfadado,nervoso,36
7932,palurdo,rube.,59
11735,ejército de reserva,ta.,31
2139,situación,situação,92
8388,papel prensa,newsprint,56
10785,sentido común,senso comum,38
3307,cordón,cordão,75
7450,detención,detenção,61
1107,guardabarros,guardiões,42
3371,demacrado,abatido,86
8668,dispuesto,mente,11
1454,trepador,alpinista,67
1665,ir a,goa.,94
11025,cola,cauda,30
1938,competente,cognizant.,91
10175,goleador,marcador,33
6315,diócesis,diocese,69
5884,cuña,cunha,68
11996,sello,foca,22
14412,normas,regras,8
13444,comenzando,começo,12
4940,taxista,taxman,78
2352,ayatollah,aiatolá,89
12263,templo,têmpora,27
7766,intimidación,assédio moral,45
9503,yemen,iémen,48
4848,burdeos,bordeaux.,78
13793,a,para,5
10427,estable,estábulo,39
2350,cepillado,escovando,47
10775,afiliación,afiliação,10
13857,después,depois,6
6819,paddock,pomar  pasto,66
2243,dicho de una cosa,quoth,91
2733,plomería,encanamento,82
11102,ayer,ontem,37
302,gundoso,gundy.,100
6022,extracto,excerto,57
13921,decir,dizer,9
9379,poco concluyente,inconclusivo,49
5251,lr,lrev,76
2527,telecomagación,telecomputação,90
12813,c.a,ac.,22
37,violador,estupramento,34
7146,poco profundo,raso,62
9381,cómico,comediante,46
81,cantera,pedreira,95
13410,harry,atormentar,13
398,tiempo espacial,spacetime.,100
1113,guacamayo,arara,95
12095,coalición,aliança,29
3666,rómulo,romulus.,85
14347,esfuerzo,esforço,7
9399,sin nombre,sem nome,49
3636,riego,irrigação,83
4175,firma,spence.,81
14393,rostro,face,12
531,reyezuelo,carriça,96
14486,característica,recurso,10
13794,y,e,5
5044,gratisthink,retrocesso,77
3065,kábala,cabalá.,88
3461,glaseado,glace,86
43,discado,discagem,98
7743,bosquejo,esboço,53
5072,barrio chino,chinatown.,77
8010,incorporado,embutido,56
12775,niño,criança,17
5618,pífano,fife,74
10768,semillas,sementes.,14
4382,familiares,parente,80
2115,fecha del aire,airdate.,89
9336,escombros,destroços,49
8391,thank,thund.,56
11108,explorar,scout.,25
8921,hundirse,afundado,52
12435,corriente continua,dc.,26
10805,opuesto,oposição,18
9960,obtener,obtivermos,22
12193,independientemente,sem considerar,28
1007,hami,hamline.,97
1187,refracción,refração,83
12975,retirado,aposentado,16
7263,callejón,rua de trás,62
14443,creado,criada,6
10849,dependiente,dependendo do,25
12940,quién,o qual,21
13178,longitud,comprimento,17
1933,merodeador,marauder.,80
1485,gallito,bantam.,88
730,de mano,carpal.,98
10835,megabyte,mb.,38
10951,rodilla,joelho,36
14445,pruebas,testes,5
13381,misión,missão,13
10645,atravesar,perfurar,34
12693,ratón,mouse,23
11017,cuervo,raven,28
13148,desaparecido,ausência de,12
6587,en silencio,silenciosamente,68
7036,cúbito,cu.,63
11215,basazador,baseman,36
10866,disminución,declínio,15
4894,buzo,mergulhador,64
13598,destacados,destaque,10
11238,arrestar,prender prisão,19
2376,cerciorarse,verificar,79
9074,dispersado,espalhado,45
11280,estudiante de primer año,calouro,35
10862,portero,goleiro.,31
2798,esquisto,xisto,89
13743,detrás,atras do,12
12640,encimera,contador,23
165,actón,agir sobre,100
4101,casa de vino,adega,82
2746,deportación,deportação,62
6555,concusión,concussão,65
6003,sauce,salgueiro,68
4885,destilación,destilação,67
12948,chatarra,lixo,21
10272,llevar a la fuerza,xangai,42
13372,yo mismo,eu mesmo,16
3986,hombre-lobo,lobisomem,83
14044,tarifa,cotações,7
14009,actuación,desempenho,11
7186,grabado,gravação,44
12522,engañoso,errôneo,24
1804,duela,stave.,74
11498,periódicos,jornais,16
2238,cruz,carfax.,91
8696,chisme,fofoca,53
2422,ápice,tittle.,91
5175,lácteo,lacey.,77
2931,más lejano,mais distante,88
1121,escasamente,com moderação,96
5590,consentido,mimado,50
7699,pez de colores,peixinho dourado,60
4877,luciérnaga,vaga-lume,77
10476,cambiado,comutado,25
9748,jaula,cela,45
6709,centro del campo,meio-campo,53
3621,aguas subterráneas,lençóis freáticos,85
5314,pechera,dickey.,76
8147,tenedor,garfo,41
6563,procurador,proctor.,68
6752,llevar fuera,leveff.,66
10842,evacuación,evacuação,25
13947,llevar,pegar,5
9517,víctima,vic.,48
5961,estresante,stiver,71
12663,alfarero,oleiro,24
4348,saliente,bason.,81
4479,deportividad,sportsmanship,80
9059,elección,escolhendo,8
7279,avance,prev.,62
8048,decoración,deco,58
10264,historias,lojas.,25
3346,palillos,pauzinhos,87
7526,bucear,mergulhar,38
6,tropezón,tropeçar,57
271,ruta aérea,skyway.,99
4390,escuela politécnica,poli,79
9385,maíz,milho,46
9523,volver a entrar en,reenter,47
8724,lenguado,deb.,53
4743,expresar de otro modo,refraseça,59
3289,quran,alcorão,87
13118,naciones unidas,un,19
9541,no tiene,não faz,48
467,preguntar,investigar,69
9206,orilla,riverside,50
13816,es,isso é,5
12308,convección,convecção,26
7983,chelín austríaco,schilling.,58
6299,poblado,habitado,38
8700,merrimack,merragem,54
152,sayo,túnica,78
7711,calmante,suavizante,60
13190,población,população,16
10001,resumen,abstrato,41
9901,el embarazo,gravidez,45
7867,salarios,remunerações,31
14433,comisión,comissão,20
12278,pensión completa,fb.,27
7306,chulo,cafetão,61
1502,proceso bessemer,bessemer.,95
10339,ingresos,receita,38
1041,juré,jurada,97
4586,triunfo fácil,vitória fácil,79
3847,retoque,touchback,84
814,llamativo,jazzy.,98
4309,campo de pena,plainfield,81
10437,tranquilo,pacífico,16
763,calabacín,abobrinha,98
2432,maleta,mala de viagem,87
4338,repartidor de hielo,iceman.,81
14286,cantidad,quantia,7
10592,jamón,presunto,39
13464,enrique,henry.,15
14227,devolver,retornar,10
5582,algún día,algum dia,73
7416,descartar,dispensar,29
5721,estrato,stratus.,73
13636,etiquetado,tagged.,7
5978,jirón,wisp.,72
2756,opresión,opressão,67
4711,insomnio,insônia,79
9403,desacuerdo,descrição,49
11867,medicamento,medicina,30
1343,satín,cetim,92
8464,silla de ruedas,cadeira de rodas,54
10710,docena,dúzia,29
1683,impostor,farsa  falso,77
12078,aficionado,amador,28
5840,algarabía,gibbilar,72
5349,chorro,esguicho,74
6824,no estaba,não era,66
1247,barquero,waterman.,96
2027,socava,prejudica,51
7738,inconfirmado,não verificado,46
8565,jengibre,ruivo,54
2174,clavija,pega,69
11762,capucha,capuz,30
11321,emigrar,trek.,34
11620,piedad,ruth,33
2463,paliza,bashing.,51
2477,escapada,escoamento,90
3838,sorpresa desagradable,shocker.,82
12324,colón,columbus,27
3692,transcripción,transcrição,53
12024,paja,blah.,29
8837,intenso,feroz,50
13150,de todos modos,de qualquer forma,17
12561,esencia,es.,25
1243,con orgullo,orgulhosamente,96
2543,aplanado,achatado,85
861,redactado,redigido,93
2612,subtitular,legenda,71
6016,palo,gravetos,24
3072,almendra,amêndoa,86
11356,hombre de verdad,homem verdadeiro,35
9330,fabricante,criador,41
9475,degradado,rebaixado,47
2764,zona de las calmas ecuatoriales,rodagem,89
10229,heces,fezes,42
10350,diseñador,designer.,10
11436,junco,reed.,34
9261,degradación,degradação,43
14294,auto,carro,10
3383,gatear,engatinhar,66
3482,engrandecido,ampliado,51
10588,lijadoras,sanders.,38
7048,maletero,tronco,56
5184,fabuloso,fabiforme,77
11454,prima,bônus,34
12840,castaño,auburn,22
12548,asesinato,matando,11
12083,estricto,rigoroso,29
21,rompecabezas,destruidor de corações,75
7254,capas,camadas,37
6854,viruela,varíola,66
6607,licenciado en derecho,bl.,66
5558,detino,stine.,74
253,abertura,abner.,100
5178,sin escalas,nontop,77
1022,rescatistas,resgatadores,96
9091,reincorporado,regoziado,41
10680,decisión,decisão,8
1009,poco práctico,impraticável,96
9603,nutrición,nutrição,45
7303,flexible,flexível,54
8069,huerta,pomar,57
8331,muchacho,rapaz,52
7525,interruptor automático,disjuntor,49
7446,babura,babbage.,62
5841,cigarro,charuto,71
4139,hacia el norte,northwards.,34
5651,ósmosis,osmose,73
7107,perforación,perf,64
8951,fornido,husky.,33
12336,inmigración,imigração,23
281,barcos,canisters.,84
3712,escafandra autónoma,mergulho,85
8383,toronjil,melissa.,56
910,torú,toru.,93
163,freq,frequencia,100
10215,sano,hale,42
9537,cena,jantar,47
14213,unión,união,11
4831,abolición,abolição,78
4161,mi todo,myall.,82
5416,cazadora,cassie,74
11276,serpiente,cobra,32
4713,alegre,chipper.,79
12180,masivo,maciço,26
9310,con sede,sediado,18
13134,payaso,palhaço,18
12833,acero,aço,21
6365,mirto,murta,69
3323,caballo pinto,pinto.,87
8544,pozo,weller.,55
6114,simbólico,símbolo,64
1127,excreción,excreção,94
13575,beto,prumo,14
14233,requerido,obrigatório,7
13990,ordenador personal,pc,37
2381,toro castrado,bullock,89
2806,deslucido,lackluster,88
2390,comentarista deportivo,sportscoster.,86
9504,erupción,erupção,37
6407,lumbrera,louvre.,69
10184,neón,néon,43
6931,segregación,segregação,60
716,entrante,inbound.,84
9621,concejal,conselheiro,45
4073,telterina,letterman.,82
11414,redada,ataque,27
12194,marca,branding.,18
6997,más débiles,mais fraco,64
2464,lanza libre,freelance,83
3217,connagua,connaught.,87
1758,fascinado,emocionados,51
8800,locutor,locutor de rádio,14
7348,sujetar,aperto,56
9111,utilidad,utilitário,32
13499,jun,de junho,15
4963,anexión,anexação,53
8407,maricón,bicha,51
2736,curandero,quack,88
10466,tramo,esticar,31
9224,fullback,volta completa,45
12204,compartimiento,bin,27
8214,embargo,convulsão,54
13005,droga,medicamento,18
7278,recipiente,destinatário,48
