ID,SPAIN,DANOIS,INTERVAL
8366,maniobra,manøvre,45
4680,no revelado,undisclosed.,81
5386,lodoso,mudret,75
8094,prejuicio,pregame.,61
11850,sucede,sker,12
11483,duración,varighed,35
8985,elaborar,uddybe,47
13570,pesado,tung,15
9275,tr,trr.,48
403,soñar,smoot.,100
536,abstinencia,afholdenhed,99
12445,dinastía,dynasty.,27
9937,caballeros,herrer,47
7821,cábala,cabal.,62
11674,temeroso,bange,34
12453,labor,arbejdskraft,27
12870,novato,rookie.,21
13161,ciertamente,sikkert,20
6046,zar,tsar.,73
13791,el,det,5
10959,realimentación,feedback.,40
13974,unido,forenet,7
14008,hasta,indtil,10
11548,proporción,forhold,34
9765,linchar,lynch.,45
2310,irrespetuoso,respektløse,75
13506,correo,post,15
12324,colón,columbus.,29
2923,triplicar,treble.,90
14420,llamado,som hedder,7
13103,biográfico,biografisk.,20
2894,atroz,frygtelig,89
10596,caballo de carreras,racehorse.,32
14007,aumentar,øge,14
5556,crujiente,crisp.,72
7453,anglos,vinkler,37
9756,humanidad,menneskehed,49
631,sin cortar,uncut.,99
9883,fortaleza,fæstning,46
3750,enaguas,petticoat.,79
9945,zoo,zoologisk have,47
3867,estudiantes de primer año,freshmen.,85
14022,policía,politi,12
2570,hoguera,bonfire.,88
9452,soberano,suverænt.,51
12845,gasolina,brændstof,23
14057,cambiar,lave om,6
2224,encanto,kaif.,93
3320,envíos,forsendelser,68
5112,persona,ser.,79
157,engrapadora,hæftemaskine,100
8246,miedoso,funky.,60
6165,superpoblación,overbefolkning,71
10402,huido,fled.,44
1049,lustroso,blank,98
6630,sandía,vandmelon,68
6508,serbal,rowan.,71
4139,hacia el norte,nordpå,36
7844,gaitero,piper.,60
4368,honestidad,ærlighed,83
8994,ganso,gås,55
733,flanqueo,flanker.,97
7451,colegas,kollegaer,56
390,vertebrado,hvirveldyr,92
3358,urinario,uriny,88
14023,diferente,forskellige,10
11180,ancho,bredde,38
3495,hadiz,hadith.,87
6666,retoque,retook,70
7006,acilo,acyl.,67
5796,amas de casa,housewives.,75
6466,horno,ovn.,65
9033,liebre,lieut.,55
11127,voltereta,somerset.,38
11611,contrario,modsætning,35
2962,hermanos,søskende,73
3172,distraído,distraherende,54
12734,mancomunidad,commonwealth.,25
9867,señalizar,signpost.,48
6807,órfico,orphic.,69
2077,córneo,horny.,93
3695,latente,slumrende,86
3317,farmacia,apotek,85
6577,hermanos de religion,brødre.,70
12688,espelta,stavet,15
2586,fotocopia,xerox.,91
9817,mago,guiden,35
11375,entrada,tackle.,27
7147,esquimal,eskimo.,47
9670,síntesis,syntese.,50
3310,sumamente,summary.,88
12307,simplemente,blot,9
9271,casco,hjelm,46
6520,sí,yea.,70
7272,llanto,græder,36
14061,poner,sætte,10
4481,guapo,handsome.,81
3795,entrega por paracaídas,airdrop.,76
2462,retórico,retorisk,62
9499,caca,poop.,49
6582,tolva,hopper.,67
8401,kurdo,kurdisk.,59
4798,cizallado,sheared.,31
11884,ambiente,miljø,31
11950,aniversario,jubilæum,31
5299,mala conducta,dårlig opførsel,78
13241,ok,okay,19
1571,indocumentado,undokumenteret,95
7766,intimidación,mobning,47
13860,dice,siger,9
6592,cobarde,craven.,70
5896,frente al mar,waterfront.,74
4042,tranquilamente,roligt.,84
4357,cita,rendezvous.,78
8815,anverso,forcesse.,56
3596,oscuridad,skumring,87
3608,platija,flounder.,84
3955,acorde,akkord,73
4544,desfigurar,deface.,55
3332,gusano plano,flatworm.,88
12591,ejercicio,dyrke motion,23
2011,decepcionar,skuffe,34
7016,reeva,reeves.,59
1253,pulido,poleret,24
3780,deteriorado,forringet,64
8325,toneladas,tons,56
3859,sobrevive,overlever,26
9441,desacuerdos,uenigheder,39
3326,sindicación,syndikering,57
1197,dolea,dolley.,97
13021,mal,ond,21
10564,sin valor,duff.,43
3760,exámenes,eksamener.,67
9017,clavo,søm,33
14189,llave,nøgle,12
13433,mate,matt.,17
3402,grada,harrow.,85
9426,pericia,ekspertise.,52
14393,rostro,ansigt,13
5259,implacable.despiadado,ubarmhjertig,77
545,reaccionario,reaktionær,95
5348,rito,rite.,69
10686,loto,lotus.,42
4639,picazón,prickle.,81
10571,cada vez más,i stigende grad,43
7615,sonrisas,smiler.,32
10202,acción de gracias,thanksgiving.,46
11134,catalizes,katalyser.,38
11176,autores,forfattere,10
12966,inexplicable,uforklarlig,22
12982,inicialmente,i første omgang,14
12034,película sonora,talkie.,31
37,violador,rapy.,36
6428,tratando,behandling,23
11983,los ciudadanos,borgere,27
5857,bolso,pung,66
12711,autobús,bus,23
3501,muesca,hak,58
3899,codicia,grådighed,85
4356,dafne,daphne.,83
8123,hacha,økse,55
11911,nube,sky,29
7932,palurdo,rube.,62
1769,reclasificado,omklassificeret,88
2641,expresamente,udtrykkeligt.,91
6832,demolición,nedrivning,66
8452,endefermo,yarder.,59
9724,pedernal,flint.,49
13992,basado,baseret,10
11895,brote,udbrud,31
6619,reclutamiento,conshript.,62
14493,parece,ser ud til,10
13660,aeronave,fly,14
8250,expulsado,udviste,54
4053,pictórico,billedlig,83
14095,promedio,gennemsnit,12
2516,insinuación,innuendo.,88
10350,diseñador,designer,11
9556,nú,nu.,46
11511,crema,fløde,36
1346,diablillo,imprendelse,96
6251,cianuro,cyanid.,72
9038,manto,mantle.,54
2208,valoración,titrering.,91
13163,nuclear,atomisk,20
14119,tomó,tog,10
6859,emplea,beskæftiger sig.,25
3394,acrónimos,akronymer.,62
3359,arrebatador,grounder.,88
11910,disturbio,optøjer,18
4686,escuchado,hearst.,81
14203,procesando,forarbejdning,12
12084,compuesto,sammensat.,25
3542,calzado,fodtøj,87
3846,licenciantil,licensor.,86
8084,masonería,freemasonry.,61
12462,esquina,hjørne,26
13820,cual,hvilken,6
4780,reubijo,reuben,80
11241,enfadado,vred,38
3060,angular,vinkel.,88
14412,normas,regler,8
5382,denotar,betegner,32
1978,pera,peart.,94
2616,más feliz,lykkeligere,91
6835,pascua,passover.,68
8874,ocurrencia,hændelse,49
9787,cf,jf,48
2961,antepasado,forfader,70
10728,predicho,forudsagt,27
11595,urss,ussr.,35
14235,permitir,tillader,10
13731,espacio,plads,13
11666,hurto,tyveri,34
11186,suizo,swiss.,38
3176,escalado,eskalering.,42
13945,cómo,hvordan,8
172,ventaja,vantage.,100
10440,transmisión,smitte,42
10221,aspiradora,hoover.,46
2798,esquisto,shale.,90
1682,entrevistados,interviewere,87
11252,atribuido,tilskrives,17
2115,fecha del aire,airdate.,90
852,inclemente,dicking.,99
51,llave inglesa,skruenøgle,93
2544,desigual,ujævn,92
12093,ucrania,ukraine.,31
5484,supermercados,supermarkeder.,62
2967,enmascarado,maskeret,41
6705,una tierra,aland.,69
598,jerárquico,hierarkisk.,93
11530,recuperado,hentes,31
10486,cirugía,kirurgi,43
11899,metros,meter.,28
6364,disolver,opløse,42
12340,mahoma,muhammad.,29
283,de cerca,tæt på,99
13935,número,nummer,8
7625,pepitas,nuggets.,57
2297,dar por,daud.,93
12884,cero,nul,22
5429,dionisio,dionysus.,77
5742,cítrico,cid.,75
3271,esquiador,skiløber.,78
2563,jabali,vildsvin,91
10958,remanentes,rester.,34
1242,mancha,plet,65
12495,embarcacion,skib,19
1462,tremendamente,enormt.,57
6827,tirón,yank.,54
4730,suplicado,anklaget,60
1341,filón,philemon.,97
7107,perforación,perf.,66
4910,adolfo,adolph.,80
14000,usuario,bruger,5
5013,suscripción,abonnement,66
5825,rebaño,flok,69
2846,mentecato,fedtmule,90
906,papiro,papyrus.,98
8384,punto de referencia,milepæl,50
9943,rodador,wheeler.,47
10776,imagina,forestille,34
1370,urbar,urb.,97
1664,presidentes,formænd,95
10226,exclusivo,eksklusiv,26
4984,diseña,buster.,74
9,rehaga,remade.,100
2453,salvador,frelseren,90
4114,taquigrafía,shorthand,72
8351,en el lado,på side,59
8720,del medio oeste,midwest.,57
5587,vómitos,opkastning,70
10248,hostil,fjendtlig,35
8260,todoterreno,jeep,57
14245,adicional,ekstra,7
10922,terranova,newfoundland.,40
9097,yoduro,iodide.,54
7358,terciopelo,fløjl,64
13008,clave,adgangskode,21
8460,milenios,millennia.,59
4569,en medio de,midt i,82
11326,incendio,burning.,22
13164,papel,rolle,18
4963,anexión,bilag,56
12606,acusado,anklagede,18
9146,fecha límite,deadline,53
11835,broncearse,tan.,32
10897,pastor,fårehyrde,39
3933,prematuramente,for tidligt,54
2599,guardaespaldas,livvagt,82
11203,orgulloso,stolt,38
2537,sólidamente,lydligt,92
1868,chocho,kolliderer,47
9062,botella,flaske,43
1168,acaricia,præppe,97
9530,ginebra,geneva.,51
12177,empujar,skubbe,20
8128,indisponible,utilgængelig,60
9822,urano,uranus.,48
2892,azotado,whipped.,58
4390,escuela politécnica,poly.,80
13651,guardia,vagt,12
2252,inestimable,uvurderlig,93
5043,maltés,maltesisk,79
11790,enterrar,inter.,33
5119,jábega,seine.,79
9120,alfiler,pin,43
10437,tranquilo,fredelig,17
4564,costillas,ribben,64
10140,dúo,duo.,46
844,arrebatar,snatch.,75
3738,pescadores,fiskere.,86
14416,conseguir,at få,8
4084,bola rápida,fastball.,83
6254,criada,stuepige,69
1641,bichos,whammies.,91
5161,halcón peregrino,peregrine.,78
1329,gárgola,gargoyle.,93
12278,pensión completa,fb.,29
2448,invocado,påberåbt,72
7984,hídeo,hyde,62
7264,gofre,ævle,62
7944,polvoriento,støvet,62
12975,retirado,pensioneret,17
7511,fiscal,anklager,53
5744,inexperto,uerfaren,75
11672,hidrógeno,hydrogen.,34
2509,ballesta,crossbow.,92
6118,principiante,novice.,71
14264,necesario,havde brug for,6
6232,estupendo,hon.,72
3915,suero,serum.,85
14093,futuro,fremtid,9
1739,luz de las estrellas,starlight.,93
13597,disparo,skud,14
7424,sabiduría,visdom,64
285,maloliente,ildelugtende,99
4703,adversarios,modstandere.,70
6601,melodía,melodier,40
10389,asta de bandera,flagstaff.,44
5162,abonado,abonnent.,56
13902,funcionarios,embedsmænd,10
7739,un rato,et stykke tid,62
8234,propensión,lænet sig,47
8070,interminable,endeløs,61
13958,meses,måneder,12
251,tambaleante,tumbling.,73
12398,equitativamente,retfærdigt,28
1486,médula,marrow.,96
4732,sensibilidad,følsomhed,42
12159,cohete,raket,24
12052,se convierte en,bliver til,9
6809,palanca,håndtag,66
2333,varita mágica,tryllestav,92
863,saturación,mætning,63
14084,mover,bevæge sig,9
4184,saltador,springer.,84
13199,inconveniencia,ulejlighed,19
9210,legado,eftermæle,53
1600,dinámico,dynamos.,57
6714,encerrar,lukning,28
12789,damnificados,ulykker.,22
6602,hiato,hiatus.,70
13979,encontró,fundet,6
7497,voluntario,frivillig,64
1766,libro de cocina,cookbook,89
4933,parrilla,grill,64
12749,pm,om eftermiddagen,25
9660,calcio,kalk,50
9521,subordinar,underordnet,44
8167,participantes,deltagere,54
11292,lograr,opnå,20
13247,grecia,grækenland,19
13969,control,styring,12
11577,prominente,fremtrædende,31
7850,atrocidades,grusomheder.,58
4644,regenerado,genvundet,63
8807,percepción,opfattelse,50
12470,batea,punt.,24
104,sin cesar,unassessed.,100
9920,canoso,hoary.,48
4804,inadvertido,ubemærket,75
1076,conspirador,conspiring.,56
1721,caracterizado,karakteriseret,81
752,letargo,sløvhed,99
669,hinchar,svulme,70
12452,untado,spredning,25
14302,función,fungere,24
13920,dónde,hvor,8
2472,oblicuo,sidelæns,91
12248,algun lado,et eller andet sted,29
3592,almohada,pude,81
4711,insomnio,søvnløshed,81
7874,multimillonarios,billionaires.,60
8007,australiano,aussie.,55
2712,ávido,avid.,90
2301,dudado,været i tvivl,21
8776,momia,mummy.,56
6841,fisco,fisk.,68
13950,usando,ved brug af,5
8942,devastador,ødelæggende,41
13078,aeropuerto,lufthavn,20
5586,ingenuo,naive.,72
11076,músicos,musicians.,25
14385,activos,aktiver,41
5345,nevado,snowy.,77
924,recorvar,recurve.,56
13970,hizo,gjorde,5
6455,estafilococo,staphylococcus.,71
8987,error de tipografía,tastefejl,35
5743,sicomoro,sycamore.,74
11656,exitosamente,succesfuldt,13
13781,victoria,sejr,12
2426,hombre bajo,lowman.,92
7039,contrapartes,modparter.,53
2452,dotado,gifted.,45
13134,payaso,klovn,20
9098,cupé,coupe.,21
4511,seudónimo,pseudonym.,75
13529,amplio,bred,13
4206,diapositivas,glider,44
13251,campana,klokke,18
6821,examinado,screenet.,22
8668,dispuesto,minded.,11
13762,noche,nat,12
3707,gafas de sol,solbriller,86
6803,árbol desmochado,pollard.,69
3493,centelleo,twinkle.,87
6429,alojado,huset,12
1061,cualquier cosa,whatnot.,97
12839,primavera,forår,20
1149,chaquete,backgammon.,97
12152,estratégico,strategisk,30
6078,hoja de cálculo,regneark.,71
10810,sacrificio,ofre,40
14298,vendedores,leverandører,69
5910,patata,spud.,74
5927,dolor de cabeza,hovedpine,69
2327,minero,minearbejder,39
8465,crónico,kronisk,58
6252,cura,helbrede,63
7154,inminente,forestående,65
9294,supervisión,overvågning,19
14139,comparado,sammenlignet,12
11057,barba,skæg,37
6754,lo más corto,korst.,69
6533,abogacía,advocacy.,70
13671,del norte,nordligt,14
13900,trabajar,arbejde,5
5195,tembloroso,rystende,78
8745,bíblico,bibelsk,57
12938,cerrado,lukket,12
11081,obsesionado,hjemsøgt.,37
7820,recordatorio,påmindelse,19
9687,pregonero,barker.,49
11452,simple,almindeligt,29
6388,lavar,vask,46
6267,campesino,bonde,56
14396,reclamos,påstande,10
14481,prensa,trykke,14
9999,monzón,monsun,46
1408,durmiente,sleeper.,92
13120,real,faktiske,12
3389,aceites,olier,19
9692,decimoquinto,femtende,50
1675,sola,solon.,93
9949,rodeado,omringet,27
797,filarmónico,philharmonic.,99
10196,esquinero,cornerback.,46
3773,versátil,alsidig,78
8367,tobo,toby.,59
3831,estiércol,dung.,85
6392,conjuntamente,fællesskab,71
9602,sesenta,tres,46
8831,joya,joyce.,56
7437,eslovaco,slovakiet,62
6326,crisol,crucible.,72
8218,excepcional,enestående,16
14407,esperar,forventer,12
1926,condesa,grevinde.,94
6786,señores,lords.,18
4625,espora,spore.,72
11217,convencional,mainstream.,38
5394,ilógico,ulogisk,75
1077,analizando,analysere,44
5024,comensal,eater.,69
2497,pinchazo,prick.,88
3145,druso,druze.,88
13951,debe,skal,8
2519,más ocupado,travleste.,92
10638,más joven,yngre,42
8336,lección,lektie,50
949,geólogos,geologer,78
12948,chatarra,junk.,22
14244,medio,midler,10
7076,ladrar,bark,61
13010,atrapó,fanget,22
5905,cárter,cartman.,74
11725,carolina del sur,sc.,34
3187,continuo,kontinuum.,88
7817,saqueo,plyndring.,52
10213,poderoso,mægtig,46
12051,piso,etage,27
5768,subsecciones,underafsnit,50
9040,formación,array,53
1104,resistido,modstå.,97
5623,mediocre,middelmådig,74
5708,comedia de enredo,komedieserie,69
11730,etiopía,etiopien.,34
6680,dulce de azúcar,fudge.,69
1790,corza,cirl.,95
2804,pastorado,grazed.,76
6877,bretón,bretonium,68
7129,cian,cyan.,66
13104,en el interior,inde,20
6151,protector,beskyttende,11
12795,dama,dame.,24
12667,tripulación,mandskab,22
5562,del mediooeste,midwestern.,76
3578,teórico,theorist.,60
10816,hemisferio,halvkugle,40
5504,toreo,tyrefægtning,76
3910,borde del camino,vejkørsel,85
3963,palo de golf,møgunge,80
13785,zelanda,sjælland,12
8644,geográfico,geografisk.,37
2543,aplanado,fladt,87
13562,mes,måned,12
8087,collar,krave,52
5318,examinador,undersøgelse.,32
12347,carril,rail.,27
3570,celoso,jaloux,87
3715,lavavajillas,opvaskemaskine,83
2232,apretado,strammet,77
5053,vasco,baske.,76
8483,bloque político,blok,58
7220,jaleo,jill.,66
12134,víctimas,ofre.,26
13641,ocho,otte,14
11227,p.ej,for eksempel,38
6994,caza,chevy.,67
11869,panadero,bager,33
4736,aromático,aromatisk,78
1389,prohibitivo,interdiontory.,97
711,deservicio,disservice.,99
12366,ejemplos,eksempler.,12
5124,ciruela,blomme,78
7455,estéreo,stereoanlæg,64
3177,tos,hoste,82
11050,capítulo,kapitel,34
2459,cigarrillos,cigaretter.,52
7298,escénico,naturskøn,65
5618,pífano,fife.,76
8577,invisible,usynlig,55
1844,trotón,trotter.,93
6555,concusión,hjernerystelse,68
6473,campesino blanco,redneck.,69
1387,intra,samhørig,97
7005,acústico,akustisk.,62
11434,metilo,methyl,36
11345,repostaje,tankning,35
9979,hidroxi,hydroxy.,47
6677,rellenar,fillmore.,70
8997,cebar,stoke.,47
11767,dañar,skade,13
10336,pequeñísimo,mindste.,45
10057,máquina de alquiler,hackney.,47
12886,efectos,effekter,12
3734,tranvía,sporvogn,80
9114,no usado,ubrugt,50
12872,perder,tabe,14
12477,checo,tjekkisk,27
628,desván,garret.,99
9517,víctima,vic.,51
3255,circonio,zirconium.,88
13057,c ª,inc.,21
13907,aquellos,de der,7
9738,silencio,stilhed,44
10962,estático,statisk.,39
8733,arquero,bowman.,57
5339,montón,heap.,70
7745,calabozo,fangehul,46
11543,arcoíris,regnbue,35
13751,indicar,angive,11
10197,doncella,maiden,45
7983,chelín austríaco,schilling.,62
3254,granate,garnet.,88
6860,reside,borer,21
273,movimiento rápido del ojo,rem.,99
12045,locomotora,lokomotiv.,22
4073,telterina,letterman.,84
12776,cobertura,dækning.,24
10678,promesa,løfte,27
10270,tonelada,ton,33
5282,vocabulario,ordforråd,78
12028,dto,disk,29
13423,más temprano,tidligere.,17
10624,consolidado,konsolideret.,36
12918,objetivo,mål,16
5076,pedazo,luns,57
2494,resistir a,modstå,88
14435,ganado,vandt,9
11544,asiento,sæde,23
12862,salvaje,vild,23
12578,libanés,libanesisk.,26
8214,embargo,anfald,57
5472,explicativo,forklarende,77
13710,por lo tanto,derfor,13
2594,de conformidad con,i henhold til,91
12816,capturado,fanget.,17
5302,garra,talon.,74
2132,paradero,opholdssted,93
952,chubasco,squall.,91
5838,hacia arriba,opad,63
9363,arquitecto,arkitekt,46
12361,recién,nyligt.,28
13345,práctica,øve sig,14
7343,animadoras,cheerleading.,61
2008,adverbio,biord,92
7778,bozal,næseparti,62
5074,proveedor,leverandør,64
8026,hidroelectricidad,hydroelektricitet.,57
8000,tiempo de paz,peacetime.,62
9189,batán,fyldigere.,53
1043,ave de serpiente,darter.,95
2587,perspectivas,insights.,49
7743,bosquejo,skitse,56
9995,carmesí,crimson.,47
6469,opep,opec.,71
14349,proporcionó,stillet til rådighed,6
394,latería,latham.,100
6063,distorsión,forvrængning,46
13062,muchachas,piger,15
12251,santo,hellig,29
884,buena suerte,godspeed.,98
2433,turba,peat.,92
6882,varicela,skoldkopper,68
7729,matones,thugs.,56
12327,arma,våben,17
12793,mayor que,større,24
14432,seguro,forsikring,16
12537,copias,kopier,12
8313,falda,falk.,60
3908,potencia de fuego,firepower.,85
6960,autopista,freeway.,62
8967,estado animico,humør,55
13259,índice,indeks,18
12913,fila,række,21
4747,estrujar,presse,66
9464,tiempo de guerra,krigstid,51
1036,arpillera,hessian.,95
6828,bailarines,dansere,57
5828,convincente,overbevisende,56
3444,nuque,nuke.,80
12214,correcciones,korrektioner.,10
11745,algodón,bomuld,34
8669,barato,billig,57
5308,lápido,lipid.,77
7792,acatar,overholde sig,34
12615,vicio,vice.,26
11074,consentimiento,samtykke,38
6306,exterminio,udryddelse,63
8869,notorio,berygtet,52
14182,bancos,banker,16
6073,abedul,birch.,73
8331,muchacho,lader,56
14474,capacitación,uddannelse,12
13024,armada,flåde,21
12856,agencia,bureau,19
1344,malla,mesh,93
8205,inducción,induktion,48
8805,sinfonía,symfoni,55
10273,sucesor,efterfølger,43
6874,cilindros,cylindre.,44
13938,comparte,aktier,6
4187,mirlo,solsort,83
4259,gaucho,cowman.,83
5778,travieso,uartig,75
9618,acebo,holly.,49
2490,biliar,billeder,92
12927,recepción,modtagelse.,6
7212,pesar,veje,48
1449,reutilizado,genbrugt,62
7828,trípode,stativ,62
11402,sin anhelo,scoreless.,37
12800,actor,skuespiller,20
9490,estrechamente,snævert.,51
3682,firstone,ildsten,86
7992,consumo,forbrug,62
3425,cesación,cessation.,88
10513,rumores,rygter.,38
3533,manteca de cerdo,svinefedt,87
9597,robo,stjæler,34
7803,bomberos,brandmænd,48
12069,martillo,hammer,30
11451,mellizo,tvilling,24
8897,arbitrario,vilkårlig,55
12008,llevando,leje,13
12392,mierda,fuck.,24
5401,manivela,crank.,72
313,carismático,karismatisk,100
13181,pertenece,hører til,13
6563,procurador,proctor.,70
8190,hipopótamo,flodhest,61
14343,actualmente,i øjeblikket,8
10589,escarcha,frost,41
3376,cortador,cutter.,81
13505,arbitraje,voldgift,16
6872,fallecimiento,demise.,68
3651,los reyes magos,magi.,87
4982,circuncisión,omskæring.,77
8029,jermante,jerm.,62
78,mendigos,tiggere,88
195,valle arbolado,dingle.,100
14195,bastante,hellere,7
10756,guerrero,kriger,27
3295,agotador,straffe,24
4543,tarifas,takster.,61
3810,buque de vapor,steamboat.,84
