ID,SPAIN,POLONAIS,INTERVAL
1780,vigorosamente,energicznie,68
1619,ático,strych,94
11498,periódicos,gazety.,17
13421,deliberadamente,celowo,8
6411,ídem,tak samo,72
13974,unido,zjednoczony,7
8814,aserrador,tracz,56
7070,limpiado,wymazany,54
4986,cacao,kakao,80
2714,eventos,koncerty,66
103,coronario,wieńcowy,100
5103,ruda,żałować,79
4297,sánscrito,sanskryt,84
11066,al azar,losowo,39
11542,marruecos,maroko,36
9319,endosar,podpisać się,34
9365,peligro,niebezpieczeństwo,52
143,feroz,srogi,99
7545,acuario,wodnik,64
6186,campista,campeche.,73
8042,curtidor,garbarz,62
13179,ofensa,wykroczenie,12
10129,dio cuenta,realizowany,26
13977,desear,chcieć,5
12138,cristo,chrystus,30
7919,setenta,siedemdziesiąt,51
47,perro de pomerania,szpic,100
13816,es,jego,5
10336,pequeñísimo,najmniejszy,44
9631,chapman,domokrążca,50
12155,tornero,tokarz,30
8336,lección,lekcja,50
1587,seminal,nasienny,95
11601,bote,łódź,29
12084,compuesto,opanowany,25
10004,culto,kult,45
14124,informes,raporty,5
10261,partidista,partyzant,39
6206,eclipsado,przyćmiony,68
3993,diez centavos,moneta dziesięciocentowa,79
10767,enojado,szalony,36
14412,normas,zasady,8
13552,se aplica,stosuje się,12
5321,mononucleosis infecciosa,mononukleoza,78
9907,demandado,pozywany,26
13545,declaración,oświadczenie,12
6418,de carbono,węglany,72
7339,brújula,kompas,60
6776,día siguiente,nazajutrz,69
2089,no involucrado,niepozłowujący,94
12279,preparado,przygotowany,19
2167,reordenamiento,przełączanie,60
8423,seudo,rzekomy,59
10173,mediterráneo,śródziemnomorski,46
8716,descargo de responsabilidad,zastrzeżenie,22
11487,defender,bronić,16
14162,otros,inni,5
2967,enmascarado,zamaskowany,41
4515,voltio,wolt,76
7803,bomberos,strażacy,48
5665,mamá,milczący,44
1482,situado más al norte,najbardziej na północ,96
9475,degradado,obniżony,50
2170,cónsul,konsul,64
4253,ocaso,oint.,84
2961,antepasado,przodek,70
14104,sostuvo,trzymany,9
2149,saludo,zabójca,94
14206,preguntó,spytał,6
10207,chaquetas,kurtki,38
2890,fruición,urzeczywistnienie,90
13804,era,był,5
13136,sexo,seks,20
9858,sandwich,kanapka,46
11771,reconocido,rozpoznany,6
12240,dividido,podzielony,25
4739,incompetente,niekompetentny,67
13897,hecho,zrobiony,5
2041,marco principal,główna rama,93
14339,consideró,uważany za,5
238,siesta,drzemka,83
4224,helenístico,hellenistyczny,84
5517,inmortal,nieśmiertelny,61
11163,civilización,cywilizacja,12
1181,bayonetas,bymyonetki,78
5539,la haya,haga.,77
11421,circunstancias,okoliczności,35
10660,lila,liliowy,42
13472,más alto,wyższy,16
12150,desleal,niewierny,30
4610,aprendió,nauczyli,82
3192,más estricto,stricter.,88
11626,extraño,dziwny,35
9378,purgatorio,czyściec,52
14338,visto,widziany,12
5031,armónico,harmoniczny,74
11770,fiji,fidżi,34
4387,jazmín,jaśmin,81
2098,agua negra,czarna woda,94
555,propiedad vitalicia,grunt posiadany na własność,99
7661,abadejo,molwa,63
10877,símbolos,symbolika,22
1733,dentado,hyped.,61
1943,calma,zastój,91
7828,trípode,statyw,62
6346,bisonte,bizon,64
11414,redada,nalot,28
2516,insinuación,insynuacja,88
11699,a salvo,bezpieczny,30
1881,apocalíptico,apokaliptyczny,83
3643,nicaragüense,nikaraguan.,86
7071,serio,zadatek,66
12803,ferrocarril,kolej żelazna,21
4400,puerto libre,wolny port,83
12982,inicialmente,początkowo,14
5209,evanescencia,efemeryczność,79
2455,estética,estetyka,52
2286,rotor,wirnik,91
4737,harina,mąka,80
875,prefacio,przedmowa,93
5571,estadios,stadia.,77
9093,graduado,absolwent,38
5072,barrio chino,chinatown.,79
6650,usable,nadający się do użytku,67
1462,tremendamente,ogromnie,57
7899,aliviar,łagodzić: uśmierzać,30
13073,sencillo,prosty,21
9773,basura,śmieci,49
3295,agotador,karanie,24
12973,irán,iran.,22
9839,atractivo,ujmujący,16
2310,irrespetuoso,lekceważący,75
4083,motonieve,skuter śnieżny,82
8899,enseñado,nauczony,56
11186,suizo,szwajcarski,38
8915,silbido,świst,55
4188,irlandés,hibernian,84
6535,fútil,daremny,62
14021,nacional,krajowy,8
2859,ventilación,wentylacja,86
5366,extrovertido,towarzyski,78
12883,centenar,sto,18
8422,inesperado,niespodziewany,59
3481,más brillante,jaśniejszy,88
45,sagrada escritura,pismo,82
2580,afelio,aphelion.,91
9713,gótico,gotyk,50
10393,enamorado,cicha sympatia,44
8389,fraigarse,fra.,59
12703,favorito,ulubiony,23
8092,montó,jechał,61
2222,canela,cynamon,93
484,paternidad,rodzicielstwo,99
2405,pomeranio,pomorski,91
13086,mercado,rynek,15
6665,incursión,najazd,62
13319,tifón,tajfun,18
9615,resumir,podsumować,39
3805,domar,oswojony,72
12609,mil,tysiąc,26
8511,remedio,zaradzić,52
12874,lucha,zapasy,23
10969,tradicion,tradycja,20
1033,desafiante,wyzywający,98
4302,aislamiento,izolacja,68
1707,bola de fuego,kula ognia,93
10721,silla,krzesło,37
7223,conector,złącze,62
5720,modos,tryby,37
8869,notorio,notoryczny,52
7971,jeque,szejk,62
12369,manzana,jabłko,27
14320,fuente,źródło,7
10504,celebracion,uroczystość,22
4808,acre,akr,51
13968,gestión,kierownictwo,11
1596,hornear,upiec,64
10290,cívico,obywatelski,44
4848,burdeos,bordeaux,81
12035,imposible,niemożliwy,30
6019,prevalecer,panować,44
12436,alivio,ulga,28
1804,duela,klepka,77
3332,gusano plano,flatworm.,88
10638,más joven,młodszy,42
3956,zona residencial,przedmieścia,85
14470,abajo,poniżej,10
5630,notablemente,wybitnie,28
10672,mantenimiento,utrzymywanie,16
11716,gl,glos,34
8155,soldadura,spawalniczy,56
10037,percibido,postrzegany,43
3565,perplejo,zdziwiony,46
13290,antonio,anthony.,18
684,árbitro,sędziany,25
13278,palmadita,poklepać,17
11988,especulación,spekulacja,24
2443,asigna,przypisuje,15
12495,embarcacion,statek,19
4959,sin personal,bezzałogowy,80
6810,jabalí,guziec,68
9347,exilio,wygnanie,45
7490,experimentación,eksperymentowanie,40
12467,mínimo,minimum,27
5268,vendedor,sprzedawca,62
6075,cruel,okrutny,74
2139,situación,sytuacja,94
4747,estrujar,ściskać,66
14189,llave,klucz,12
11691,fijado,wyznaczony,28
10172,loro,papuga,45
892,abasí,abbasid.,98
11029,difunto,zmarły,39
11697,se retiró,wycofany,34
1666,oboe,obój,94
7364,episcopal,biskupi,65
12713,igual,równy,16
5108,decididamente,zdecydowanie,79
14249,fondos,fundusze,25
11702,incorrecto,niedokładny,34
8146,en marcha,w toku,61
14010,ir,iść,8
13335,sexto,szósty,18
3511,salón de baile,sala balowa,87
11620,piedad,litość,35
411,cianúrico,cyjanuric.,99
2857,no resuelto,nierozwiązany,89
8383,toronjil,melisa,59
12234,lento,powolny,25
13610,palabra,słowo,10
14519,traer,przynieść,6
10472,judaísmo,judaizm,44
2529,ceder,drgnąć,91
1361,de soltera,z domu,97
12205,escoger,wybrać,30
7467,transparencia,przezroczystość,49
9998,enloquecer,szaleć,47
8381,toda la vida,dożywotni,59
1473,aprovechar,uprząż,88
10710,docena,tuzin,31
2596,túnica,szata,83
9879,crimea,krymski,48
8398,coincidencia,zbieg okoliczności,42
12133,jueves,czwartek,30
10801,hueco,hayes.,34
9214,espada,ostrze,45
7882,potente,silny,62
819,hasta ahora,dotychczas,99
2686,iglú,igloo,91
2137,motorizado,zmotoryzowany,94
10014,aparentemente,pozornie,47
1834,escarbador de vidas ajenas,muckraker.,92
10792,amado,ukochany,41
12431,sirve,służy,12
13273,parís,paryż,18
4589,invertido,odwrotny,70
8611,taladro,wiertarka,45
2937,perjudicial,szkodliwy,80
467,preguntar,dowiadywać się,72
8275,molino,wiatrak,59
1329,gárgola,gargulec,94
13387,caballería,kawaleria,17
142,terratenientes,właściciele ziemscy,95
4736,aromático,aromatyczny,79
5839,se acabó el tiempo,koniec czasu,62
5091,zona tropical,kraje tropikalne,10
12141,pensamientos,myśli,12
13294,montar,uchwyt,16
14122,incluir,obejmuje,7
9585,con,wyczyn,49
9246,órbitas,orbity.,16
6274,wáter,wac.,72
4693,dibujante,rysownik,70
13474,finalmente,wreszcie,8
2314,alegrarse,radować się,88
552,desvinculado,odłączony,95
14452,principal,prowadzący,8
11013,juego de los cientos,pikieta,39
2111,linfoma,chłoniak,93
5421,cisma,schizma,77
2488,embudo,lejek,88
5416,cazadora,kassie,77
519,simeón,symeon.,99
9641,técnica,technika,36
9654,mensajero,posłaniec,48
1003,señuelos de la guerra,warlords.,84
4382,familiares,krewny,83
3896,costura,tkactwo,77
11748,conciso,zwięzły,33
12956,anual,coroczny,20
4502,nave estelar,statek kosmiczny,82
702,golosina,smakołyk,89
5635,braille,brajl,76
7057,lancero,ułan,47
10651,opciones,opcje,7
4158,burlón,burley.,84
3220,ondulado,falisty,88
14402,requerir,wymagać,7
8283,fibrosis,zwłóknienie,60
5018,habitat,siedlisko,79
10832,visión de conjunto,przegląd,40
3318,retenido,wstrzymany,88
14175,mantener,trzymać,10
6503,orinar,siki,51
1212,dios mio,gosh.,97
9731,donante,dawca,44
13582,historia,fabuła,13
10871,terrible,straszny,36
12510,ít,przedmiot,21
10049,fenómeno,zjawisko,46
5401,manivela,korba,72
3980,contiguo,przylegający,84
10163,comunicar,komunikować się,9
7220,jaleo,jill.,66
10357,armenio,ormiański,41
232,desafiado,defuded.,76
6560,rasgarse,roztocz,70
13585,nacido,urodzić się,15
2591,documentales,filmy dokumentalne,36
6287,confiar,opierający się,34
6328,congresista,kongresman.,72
9814,colmillo,kieł,48
935,madera dura,drewno liściasty,97
2317,con poca frecuencia,nieczęsto,79
14384,dirigir,ołów,8
3418,silvicultura,leśnictwo,88
4721,temporada media,środek sezonu,82
12816,capturado,złapany,16
5329,emprendimiento,podejmowany,78
11418,espejo,lustro,34
6841,fisco,fisk.,68
2401,infracciones,infradzierzenia,80
7113,euclides,euklid.,67
7525,interruptor automático,przerywacz,53
6670,cabeza de puente,przyczółek,68
13330,champiñón,grzyb,17
518,tragado,połknięty,63
9999,monzón,monsun,46
7805,primitivo,prymitywny,61
9324,transmisión exterior,ob,51
12340,mahoma,muhammad.,28
7040,audiencias,publiczność,32
6108,pañero,sukiennik,74
5186,coeficiente,współczynnik,74
13268,7,7.,19
8396,prestigioso,prestiżowy,59
744,septentrional,północna część stanu,99
13625,claro,jasny,13
3067,implícitamente,niejawnie,89
11124,impresión,wrażenie,24
10219,choque,starcie,34
793,harrama,harr.,97
2791,interpretable,grywalny,91
639,brazalete,mankiet,85
8901,diente,ząb,53
11132,permaneció,stał,38
514,avispera,osy,62
12729,jinete,jeździec,18
11991,desfloración,tarnishing.,27
12827,coreano,koreański,22
1068,embriagado,odurzony,78
10279,plaza,plac,45
14371,significativo,istotne,12
7804,mamífero,ssak,56
11674,temeroso,przestraszony,34
4854,galilea,galilejczyk,81
7974,punta de flecha,grot,62
8631,cordero,owieczka,54
8761,silicio,krzem,54
3881,conceptual,konceptualistyczny,77
13226,hacia adelante,naprzód,10
8583,inquisición,inkwizycja,57
6148,génova,genua,73
13978,día,dzień,7
2368,añil,indygowiec,92
6474,réplicas,wstrząsy wtórne,58
667,audible,słyszalny,95
1228,hormigueo,najwilgotniejsze,97
5618,pífano,piszczałka,76
13166,entrenar,pociąg,12
4839,jii,hee.,81
13955,alto,wysoki,8
56,íncubo,zmora,100
7414,indirecto,pośredni,64
3412,madera contrachapada,sklejka,88
10812,arrecife,rafa,40
7345,solidaridad,solidarność,65
8685,surgir,powstały,57
11692,terremotos,trzęsienia ziemi,14
11194,especies,gatunki,38
9891,días festivos,wakacje,30
4249,dragaminas,minesweeper.,79
6664,gastrointestinal,żołądkowo-jelintowy.,70
12535,asalto,napaść,24
6217,ecuestre,konny,69
11842,vivo,żywy,33
5332,ejes,osie,50
3944,desgracia,hańba,74
5228,artritis,artretyzm,79
4681,banquete,bankiet,79
14161,estudiar,badanie,19
1442,tridente,trójząb,92
2291,estroncio,stront,93
568,travestismo,transwestyzm.,99
5631,legibilidad,czytelność,57
6815,laúd,lutnia,68
7169,rebotó,odbity,29
14025,mi,mój,6
13373,escocia,szkocja,17
1430,gratuito,darmowy,48
13487,iglesia,kościół,15
10926,monumento,pomnik,37
7115,vestíbulo,lobby,52
4613,complementario,uzupełniający,82
13604,deportes,sporty,12
7418,geminis,bliźnięta,64
13542,huelga,strajk,13
4902,parachoque,zderzak,77
5628,liendre,gnida,75
5558,detino,stine.,77
9890,sagrado,poświęcony,48
13470,bandera,flaga,14
13555,doble,podwójnie,13
3017,cavidad,wgłębienie,89
9474,somalí,somalijski,51
195,valle arbolado,dingle.,100
1285,inducir,spowodować,54
2840,implacable,bezwzględny,87
9489,cariño,footy,51
11333,hueso,kość,32
8904,isabelino,elżbietański,55
2463,paliza,bashing.,55
4324,debutante,deb.,71
530,esturión,jesiotr,99
13081,revista,czasopismo,19
5906,cíclope,cyklop,75
6362,beagle,pies gończy,71
3095,esfuerzo de torsión,moment obrotowy,88
14390,efectivo,siły,9
6176,jarabe,syrop,72
528,heno,hayne.,99
12990,danza,taniec,18
4064,gamberrismo,chuligaństwo,65
3715,lavavajillas,zmywarka,83
8531,sultán,sułtan,55
6157,carnicería,rzeź,73
1727,penetrado,napisany,43
8000,tiempo de paz,pokojowy,62
391,vida futura,życie pozagrobowe,100
10795,notario,komisarz,39
5688,cima aguda,razorback.,76
2633,aumentador de presión,wzmacniacz,79
3834,centinela,posterunek,83
6447,borgo,borneo.,71
4131,caseoso,serowy,84
5369,contraofensiva,kontrofensywny,68
8295,saxofón,saksofon,60
2085,paracaidista,spadochroniarz,53
2628,hendido,rozszczep,90
7591,atestado,zatłoczony,20
14209,viejo,stary,12
9611,reproducido,reprodukowany,41
3573,mejilla,policzek,76
6692,gusanos,robaki,50
14075,acceso,dostęp,9
2711,buitre,sęp,88
6902,estrellarse,awaria,19
10815,parcial,częściowy,32
5837,cápsula,kapsuła,63
13650,legal,prawny,9
10430,franjas,franz.,44
12388,diseño,układ,28
5503,acumulado,zgromadzony,66
3240,negrita,boldface.,82
14444,continuado,nieprzerwany,5
8255,bienestar,zasiłek,60
10902,boicotear,bojkot,38
814,llamativo,zgrzytliwy,99
2957,codazo,crowder.,89
130,electrostático,elektrostatyczny,91
14155,británico,brytyjski,11
6807,órfico,orficki,69
3975,técnicos,technicy.,60
5161,halcón peregrino,peregrine.,79
12077,treinta,trzydzieści,31
7620,unánime,jednomyślny,49
9064,buscador,osoba ubiegająca się o,53
10300,alimentados,karmiony,44
6101,focal,ogniskowy,74
13429,nueve,dziewięć,16
4757,inmunidad,odporność,51
12815,republicano,republikański,21
10186,ántrax,wąglik,46
9751,acusación,akt oskarżenia,43
14228,máquina,maszyna,11
9705,estancado,utknął,40
6356,vela,świeca,64
670,holm,kępa,38
12249,capa,peleryna,29
13628,polo,polak,14
9098,cupé,coupe.,21
1092,pluma,lotka,95
2732,troposférico,troposferyjny.,79
3367,soplo,ptyś,74
3484,glacial,lodowaty,88
11943,permanente,stały,25
12076,cáncer,nowotwór,31
7576,cafetería,kawiarnia,62
11647,víspera,przeddzień,34
9941,sopló,blew.,48
6576,emú,emu,68
8454,deseado,pożądany,31
4379,acelerar,przyśpieszyć,38
9108,lagarto,jaszczurka,54
2561,almacenista,stockman.,92
5924,más caliente,najgorętszy,74
10121,rodillo,wałek,45
13008,clave,hasło,21
2750,listón,listwa,89
9271,casco,kask,46
888,hábil,nifty.,98
4863,jock,dżokiej,79
7912,leveña,skórka,62
8743,tierno,miękki,51
222,proyectores,sztuczne oświetlenie,98
11273,de serie,seryjny,36
12994,magnitud,ogrom,21
3705,maníacos,maniaks.,50
6554,bután,bhutan.,71
2870,púbico,łonowy,90
607,guionista,scenarzysta.,99
7267,quintilla cómica,limeryk,65
14269,cepo,dyby,28
6488,deformado,wichrowaty,61
7388,pueblo natal,miasto rodzinne,64
11408,consultivo,doradczy,30
5817,hidroxilasa,hydroksylaza.,75
1520,poco ético,nieetyczny,95
9803,en tono rimbombante,ważniejsze,49
8867,chileno,chilijski,55
7052,pisa,piza.,67
10397,cra,zdrowaśka,44
12781,sesión,sesja,21
8741,remix,remiks.,45
13325,asegurar,ubezpieczać,16
14415,riñonal,r,10
885,léxico,leksykon,98
6218,clítoris,łechtaczka,73
1301,en dirección oeste,westbound.,97
6793,nacionalistas,nacjonaliści.,41
1407,que modifica,zmieniający,21
7182,vdo,wdowa,62
13337,dios,bóg,17
8575,dictadura,dyktatura,54
7207,lepágina,lepage.,66
1194,trompeteo,fanfara,97
5794,trivio,triwimium.,75
3101,hexadecimal,szesnastkowy,89
6933,leipzig,lipsk,68
1561,ermita,pustelnia,96
448,bote salvavidas,łódź ratunkowa,97
4994,central eléctrica,elektrownia,74
7523,g dif,gd.,64
12706,jesús,jezus,25
7441,auxiliar,aux.,65
10861,timonel,sternik,40
9411,estera,mata,40
14169,registro,nagrywać,8
10432,monarquía,monarchia,43
13184,ligeramente,lekko,19
10775,afiliación,przynależność,10
1555,amiotrófico,amyotroficzny,96
14491,compra,zakup,29
13078,aeropuerto,lotnisko,19
9181,estocolmo,sztokholm,54
8400,barco de estrellas,starcraft.,59
7676,incontable,niezliczony,63
5397,alharaca,korowody,78
12972,enemigo,wróg,20
4948,cuerdas,liny,57
2747,hacia el oeste,na zachód.,32
14106,nivel,poziom,12
9632,comprende,zawiera,27
3893,eucariota,eukaryote.,86
6539,unificación,zjednoczenie,70
9178,navegado,popłynął,33
10303,hoja,liść,26
5196,partículas,cząstki,50
12936,puerto,port,21
10600,caído,upadły,43
5519,empleados,clerks.,60
3112,dandy,elegant,88
4718,humedad,wilgoć,81
8513,bulbo,żarówka,57
13017,noroeste,północny zachód,21
2828,desprotegido,niechlujny,54
12625,lun,mon.,25
3362,tallos,łodygi,41
7168,apagar,okazać się,65
7343,animadoras,cheerleading.,61
231,astrólogo,chaldejczyk,100
9533,intercontinental,międzykontynentalny,51
6177,pie grande,bigfoot.,73
4723,esférico,kulisty,80
8291,cuchillo,nóż,60
161,bacilo,bakcyl,100
2336,hacia el sur,na południe,61
10793,preparatorio,przygotowawczy,41
10526,sustancialmente,w zasadzie,22
324,joss,bożek chiński,100
3793,vascular,naczyniowy,86
12069,martillo,młot,30
10932,triángulo,trójkąt,38
10342,danés,duński,44
9230,ladrillo,cegła,49
3994,cuenca,dział wodny,84
13367,6º,6.,17
9408,costa afuera,offshore.,52
8799,calculado,obliczony,31
7122,solomillo,polędwica,67
13719,aka,znany jako,13
13318,más bajo,niżej,17
9326,lituano,litewski,52
11009,rotación,obrót,29
841,calesa,powozik,98
924,recorvar,nawrócić się,56
10547,cuartel,baraki,42
4564,costillas,żebra,64
2429,congreso nacional africano,anc.,92
10733,vecindario,sąsiedztwo,36
11226,fijación,ustalenie,11
3933,prematuramente,przedwcześnie,55
13460,alquín,alk,16
10131,doblar,schylać się,43
13578,pasado,przeszłość,13
13270,social,społeczny,17
13930,durante,podczas,8
11945,undécimo,jedenasty,32
14443,creado,utworzony,6
8635,sapo,ropucha,57
14485,amable,uprzejmy,15
460,adictivo,wciągający,26
11017,cuervo,kruk,30
13350,velocidad,prędkość,17
4653,punto de vista,punkt widzenia,81
6468,siniestro,złowrogi,71
8277,dental,dentystyczny,60
10987,arrancadores,przystawki,27
7873,perpetradores,sprawcy,48
3745,gases,gazy,87
1983,rutter,obróć,94
10796,budismo,buddyzm,41
962,narciso,narcyz,98
11495,sin cabeza,bezgłowy,36
8951,fornido,ochrypły,36
211,valón,walon.,100
486,altísimo,strzelisty,72
13433,mate,matt.,16
4261,homicidio,zabójstwo,75
1140,cebo,przynęty,74
5477,mímica,mim,76
2812,altercado,sprzeczka,88
11566,bombarderos,bombowce,26
4349,tedioso,żmudny,83
13266,griego,grecki,17
4910,adolfo,adolph.,80
6054,picotear,dziobać,72
3011,elíseo,elisha.,89
13981,ver,widzieć,6
8120,sofbol,softball.,61
4087,inquilinos,najemcy,63
10577,imágenes,materiał filmowy,42
2861,caña,laski,60
2649,borgoña,burgundia,91
14024,cuarto,kwartał,10
12407,contar,kont.,28
12778,violando,naruszenie,7
1540,acuicultura,akwakultura.,96
2606,rabón,rab.,91
421,guión gráfico,storyboard.,100
9245,debajo,pod spodem,53
14096,impuesto,podatek,27
8166,bacalao,dorsz,61
12799,reloj,zegar,22
2827,asfixia,choking.,71
8373,ámbar,bursztyn,60
9,rehaga,remade.,100
10612,procedimiento,procedura,33
10161,hombre murciélago,ordynans,46
13918,compartir,udział,6
2024,malicia,złośliwość,91
6759,pulpa,miazga,69
12372,estúpido,głupi,26
13980,reportado,zgłoszone,5
13704,conducir,prowadzić,12
8603,nórdico,nordycki,58
9678,estabilidad,stabilność,36
10879,recuperación,powrót do zdrowia,40
5602,nombre del archivo,nazwa pliku,75
3115,egeo,egejski,89
370,cingular,ckularny,100
515,pavimento,chodnik,93
4667,jordanio,jordańczyk,74
2490,biliar,wyniki dla  ,92
11012,hacia el noroeste,na północny zachód.,39
2378,pulsera,bransoletka,87
10203,átomo,atom,29
2334,homónimo,imiennik,91
3246,índigo,indygo,88
14399,blanco,biały,12
7666,erróneamente,błędnie,63
6582,tolva,zbiornik,67
6299,poblado,zamieszkany,40
449,juez de línea,sędzia liniowy,100
9308,ecuatorial,równikowy,53
13036,lanzar,rzucić się,21
11426,troyano,trojański,25
7372,síntomas,objawy,62
4292,puñalada,zasztyletować,63
10663,venganza,zemsta,42
11303,competidores,konkurenci.,33
9312,conquista,podbój,50
2519,más ocupado,ruchliwy,92
6120,fascinante,fascynujący,62
1909,con entusiasmo,z zapałem,94
8687,severo,ponury,57
859,botelladores,bowers.,77
9993,en todas partes,wszędzie,47
3438,orquídea,orchidea,88
13546,costa,wybrzeże,15
12459,caminante,piechur,27
7538,ñab,szeptem.,64
10700,recortado,przycięty,29
3651,los reyes magos,magi.,87
10428,carrera,udar,38
9441,desacuerdos,nieporozumienia,39
13417,mencionado,wspomniany,12
2078,nitroso,azotawy,94
6397,fugitivo,zbieg,60
7413,adornado con lentejuelas,spanglered.,64
13314,invasión,inwazja,18
11506,diámetro,średnica,35
13714,campeones,mistrzostwa,11
6646,viable,wykonalny,70
6680,dulce de azúcar,banialuki,69
6263,canario,kanarek,71
14105,ejecutivo,wykonawczy,21
14434,requerimiento,wymaga,7
151,calor,ciepło,100
3233,nucleico,nuklein,88
11560,tener puesto,nosić,25
13173,secundario,wtórny,19
5110,obstáculo,przeszkoda,64
3790,ciclista,rowerzysta,61
10088,trampa de fuego,ognista pułapka,47
6130,sobrino,siostrzeniec,69
2627,resina,żywica,82
3810,buque de vapor,parowiec,85
7795,etilo,etyl,62
13541,soviético,radziecki,15
2507,emulsión,emulsja,91
12631,gris,szary,25
12208,cuerda de tripa,katgut,30
8047,facciones,frakcje,47
3932,pronunciar,wymawiać,42
14260,funciones,funkcje,24
13778,gales,walia,12
11546,trueno,grzmot,34
12647,amenazas,zagrożenia,16
3701,en tercer lugar,po trzecie,87
5160,afligido,dotknięty,79
12267,odio,nienawidzić,26
66,determinar con precisión,sprecyzować,95
2635,anomial,dezorganizacja,91
4945,irrestricto,nieograniczony,80
8022,teñir,barwnik,57
2217,asimétrico,asymetryczny,88
753,apostasía,odstępstwo,99
6526,enjambre,rój,65
10954,esbozado,nakreślony,33
7936,grava,żwir,62
10678,promesa,obietnica,27
3459,jugoso,soczysty,88
14072,orden,zamówienie,10
10356,sobrevivientes,ocaleni.,36
14433,comisión,zamawiać,22
1524,snoopy,wścibski,96
6425,nigeriano,nigeryjczyk,69
12366,ejemplos,przykłady.,12
13124,pinchar,szturchać,20
4111,acortamiento,skracanie,39
9194,intacto,nienaruszony,54
6617,placa,plakieta,66
1528,vejiga,pęcherz,96
14440,libro,książka,11
3383,gatear,czołgać się,69
14098,izquierda,lewy,9
6281,diarrea,biegunka,72
9290,alimento,karmić,43
7696,luto,żałoba,59
12180,masivo,masywny,28
12172,milenio,tysiąclecie,30
1660,carpa,karp,85
3874,atajo,skrót,79
8494,punteros,wskaźniki,45
10188,notificación,powiadomienie,45
4686,escuchado,healst.,82
11933,aerolíneas,linie lotnicze.,28
8544,pozo,weller.,58
1369,no notificado,nieoznaczony,97
1630,desertificación,pustynnienie,95
8574,encendedor,zapalniczka,57
9778,casino,kasyno,45
5864,inversores,inwestorzy.,65
13909,bueno,dobrze,8
10479,etíope,etiopczyk,42
9988,oval,owalny,47
13038,trabajo,stanowisko,19
14397,fuego,ogień,11
5450,visitante,gość,11
6944,abolido,zniesiony,62
1122,orbícula,orbicle.,97
1304,carpintería,obróbka drewna,88
6058,piso de arriba,na górę,74
4221,ayudante,adiutant,82
11785,espartano,spartański,27
10151,recesión,recesja,42
6716,pera,gruszka,69
8322,perro chino,chow.,59
11335,cortesía,kurtuazja,37
6727,gitano,majstrować,67
10044,colorete,róż,42
6865,reacio,niechętny,62
14354,mujer,kobiety,12
9144,platos,talerze,23
11172,equitación,jazda konna,26
8872,superestrella,super gwiazda,56
7157,cortina,kurtyna,63
8739,psicológico,psychologiczny,36
11990,desperdicio,marnować,25
12030,frase,wyrażenie,26
12698,adivinar,odgadnąć,23
453,engrama,gatunek,100
11960,imperial,cesarski,28
13383,implementar,wprowadzić w życie,15
