ID,SPAIN,HINDI,INTERVAL
9380,solipsista,सोलिप्सिस्ट,47
5912,por tierra,थलचर,69
770,de precaución,निवारक,98
5746,loa,एलओए,72
911,henchmen,गुर्गे,97
11370,delhi,दिल्ली,33
7502,salisbury,सेलिसबरी,61
7758,sith,सिथ,59
1041,juré,कसम खाई,97
7144,en t,पूर्णांक,62
56,íncubo,ईन्कुबुस,100
12051,piso,मंज़िल,23
9115,malentendido,गलतफ़हमी,42
6095,corteza,पपड़ी,69
8010,incorporado,अंतर्निहित,55
10337,eta,ईटा,40
14313,anterior,पहले का,10
11610,lituania,लिथुआनिया,31
11505,solicitud,आवेदन,20
9150,valencia,वालेंसिया,49
4466,nehru,नेहरू,80
13292,jordán,जॉर्डन,15
6767,testigo ocular,गवाह,56
5329,emprendimiento,चलाया,74
14187,continuar,जारी रखना,5
4744,nietzsche,नीत्शे,78
13161,ciertamente,निश्चित रूप से,16
8952,dana,दाना,50
7414,indirecto,अप्रत्यक्ष,61
12652,secretario,सचिव,21
445,péula,पेबल्स,100
8724,lenguado,थपका,52
12561,esencia,तों,23
11104,gradualmente,धीरे - धीरे,32
8751,acor,एकर,52
9574,criajo,वैली,45
14022,policía,पुलिस,10
12182,alegatos,आरोपों,16
7699,pez de colores,ज़र्द मछली,59
5311,aerodeslizador,हुवरक्रफ़्ट,75
6365,mirto,हिना,68
10481,páginas,पीपी,38
10618,tibetano,तिब्बती,35
10094,demiurgo,डेमिर्गे,42
13429,nueve,नौ,14
9357,aclaración,स्पष्टीकरण,46
6719,burt,बर्ट,65
11024,costero,तटीय,36
6810,jabalí,warthog,64
2389,obituario,शोक सन्देश,82
7255,encubierto,प्रच्छन्न,62
10815,parcial,आंशिक,28
13046,simponia,सिम्पसन,18
1216,bizet,बिज़ेट,96
11400,warner,वार्नर,32
11853,vikingos,वाइकिंग्स,22
4844,carlín,कार्लिन,77
7476,ambrose,एम्ब्रोस,61
11537,derivado,यौगिक,19
1556,franceses,फ्रांसीसियों,95
9718,tonga,टोंगा,45
7407,depósito,गोदाम,56
9351,bali,बाली,48
12290,a diferencia de,भिन्न,19
3412,madera contrachapada,प्लाईवुड,86
7340,muñeco,मिग,60
13882,programa,कार्यक्रम,11
69,clérigos,मौलवियों,67
12893,difícil,कठिन,19
6619,reclutamiento,भरती,58
14255,sity,चर्चाएं,100
10866,disminución,पतन,13
3241,sykes,साइक्स,82
5133,zulú,ज़ुलु,75
12401,valioso,मूल्यवान,24
6317,fotosíntesis,प्रकाश संश्लेषण,68
9964,incierto,ढुलमुल,43
11380,vertical,खड़ा,29
5252,sarcasmo,कटाक्ष,75
6213,aleación,मिश्र धातु,62
11750,egipcio,मिस्र के,27
669,hinchar,प्रफुल्लित,66
6473,campesino blanco,रेड इंडियन,65
6678,caliza,चूना पत्थर,66
9369,térmico,थर्मल,47
3074,recapturado,पुनः कब्जा,67
12984,austria,ऑस्ट्रिया,18
7133,pau,पऊ,63
7631,ensenada,कोव,60
8344,en todo el estado,राज्यव्यापी,55
9082,frito,तला हुआ,37
10579,potro,बछेड़ा,20
5613,sedición,राज - द्रोह,73
4140,beduino,कंजर,76
11695,sombra,साया,28
8875,esfinge,गूढ़ व्यक्ति,51
8715,juego,जुआ,39
13548,pensilvania,पेंसिल्वेनिया,13
14496,inflación,मुद्रा स्फ़ीति,43
14237,conocido,ज्ञात,9
13351,lago,झील,14
4978,tungsteno,टंगस्टन,77
9587,pantalones,पैंट,46
4919,pericles,पेरिक्लेस,77
9642,yang,यांग,45
640,voluctividad,ज़ुल्फ़,93
12282,loco,पागल,25
4765,ron,रम,78
2934,tomar represalias,प्रतिकार करना,43
4711,insomnio,अनिद्रा,78
9417,reaves,रुकना,47
8729,devona,डेवन,52
6866,largo tiempo,लंबे समय तक,64
8027,isabel,इसाबेल,57
5792,equinoccio,विषुव,68
8115,antropología,मनुष्य जाति का विज्ञान,56
5951,kph,किलोमीटर प्रति घंटा,71
6484,instalar en pc,इंस्टॉल,21
1492,urbana,अर्बाना,95
13189,químico,रासायनिक,16
5855,maorí,माओरी,67
10151,recesión,मंदी,38
5463,duna,ड्यून,64
3546,bulador,ब्लैटर,85
11016,vista,विस्टा,36
3585,frente,माथा,84
2076,evangelista,इंजीलवादी,87
5201,certeza,यक़ीन,74
6598,tammy,छलनी,66
13271,relé,रिले,15
14386,tarjeta,कार्ड,12
6512,salmonela,साल्मोनेला,67
12799,reloj,घड़ी,19
10831,quejas,शिकायतों,26
1731,seno,ज्या,88
2595,iluminar,सूचित करना,45
11071,explosivo,विस्फोटक,17
13211,yanquis,yankees,13
3368,replicación,प्रतिकृति,62
1931,granizada,मूसलधार बारिश,88
8503,ciudadanía,सिटिज़नशिप,54
2178,incontrovertido,अविवादास्पद,89
4992,xenón,क्सीनन,77
5131,fólico,फोलिक,76
1652,grafito,सीसा,94
5484,supermercados,सुपरमार्केट,59
6935,filosófico,दार्शनिक,38
13360,tigres,बाघों,12
904,modus,ढंग,97
11596,rex,रेक्स,31
10710,docena,दर्जन,27
4781,siberia,साइबेरिया,78
3568,fusilero,राइफल करनेवाला,85
10378,bruja,डायन,38
13514,millas,मील की दूरी पर,12
11624,mf,म्यूचुअल फंड,31
5671,syed,सैयद,72
5612,pubertad,यौवनारंभ,73
7740,kárate,कराटे,57
4367,reurbanización,पुनर्विकास,62
4136,bajo mandato,अनिवार्य,38
617,congelarse,सील कर दी,99
9644,icono,आइकन,35
12805,mosca,उड़ना,12
10014,aparentemente,मालूम होता है,43
2277,justiniano,जसटीनन,91
3092,válvulas,वाल्व,45
3661,parkinson,पार्किंसंस,84
9732,edimburgo,एडिनबरा,45
2422,ápice,टुकड़ी,90
13625,claro,स्पष्ट,11
4539,dieses,मर जाता है,79
2045,rotonda,राउंडअबाउट,92
11725,carolina del sur,अनुसूचित जाति,30
4066,poligamia,बहुविवाह,82
13892,antes,पहले,6
2550,cáñamo,भांग,90
7992,consumo,उपभोग,57
7468,pos,स्थिति,42
13608,hand,हंट,12
9421,cocodrilo,मगरमच्छ,45
14305,aire,वायु,8
539,antipolo,एंटिपोलो,99
10910,cienciología,साइंटोलॉजी,37
8930,garantía,गारंटी,33
4687,bordillo,अंकुश लगाने,66
2460,choza,झोंपड़ी,88
2830,tentaciones,लालच,62
10218,perteneciente,संबंधित,37
6578,aspergador,एस्पर्गर,66
9036,bateador,बल्लेबाज,50
8040,isis,आइसिस,57
9490,estrechamente,बाल बाल,47
5091,zona tropical,कटिबंधों,8
2967,enmascarado,छिपा हुआ,37
8190,hipopótamo,जलहस्ती,56
13343,adecuadamente,अच्छी तरह से,15
7463,clive,क्लाइव,61
1411,orientado,गियर,26
7411,letón,लात्वीयावासी,60
10701,brillante,चमकदार,38
6585,cerdo hormiguero,एर्डवार्क,66
4452,cinematógrafos,छायांकनकार,63
4470,albinismo,रंगहीनता,77
10198,bo,बो,36
844,arrebatar,छीन,72
826,dueño,मकान मालिक,90
4632,tortita,पैनकेक,72
4788,halas,हलास,74
8382,trágico,दुखद,49
10570,regularmente,नियमित तौर पर,38
6741,escalera,सीढ़ियां,62
3393,esloveno,स्लोवेनियाई,86
6964,muir,मुइर,64
102,grabadora,प्रिंट तैयार,100
10102,romántico,प्रेम प्रसंगयुक्त,41
9965,afortunadamente,भाग्यवश,29
3235,meningitis,मस्तिष्कावरण शोथ,85
2315,balcón,बालकनी,82
3818,eton,ईटन,84
768,cadmio,कैडमियम,98
8164,marsopa,शिंशुमार,56
14315,derechos,अधिकार,7
11953,alberta,अल्बर्टा,28
9375,pulpo,ऑक्टोपस,48
3267,no probado,अप्रमाणित,86
12250,frondoso,पत्तेदार,25
8208,escarabajo,भृंग,54
3886,diploma,डिप्लोमा,81
1384,inflamable,ज्वलनशील,91
1666,oboe,ओबाउ,92
6943,sinatra,सिनात्रा,64
13127,va,जाता है,17
11881,dinero en efectivo,नकद,28
13267,ntario,ओन्टारियो,16
8636,glotón,wolverine,31
12867,pavo,तुर्की,20
5917,emisión,उत्सर्जन,55
116,kapa,कपा,100
9103,potasio,पोटैशियम,50
8424,horace,होरेस,54
5546,bajá,पाशा,73
13390,comida,खाना,14
7505,beckett,बेकेट,61
10058,deducción,कटौती,35
6469,opep,ओपेक,67
6728,corintios,कुरिन्थियों,62
6593,barrio bajo,गंदी बस्ती,64
711,deservicio,अपकार,98
11069,crudo,कच्चा,35
9655,bowie,बॉवी,45
12538,gastado,खर्च किया,23
11040,galés,वेल्श,36
12157,brecha,अन्तर,25
8950,espacio,स्लॉट,44
3276,abrazado,गले लगा लिया,61
8370,celular,सेलुलर,55
3671,diagonal,विकर्ण,76
9228,sirio,सीरियाई,46
7493,ducha,बौछार,45
11488,ea,ईए,32
8294,rousseau,रौसेउ,55
10819,marco,मार्को,37
13172,nov,नवम्बर,16
11736,sidra de pera,नाशपाती की मदिरा,30
1735,rectificar,सुधारना,65
6705,una tierra,भूमि,66
9366,volta,वोल्टा,48
10960,manila,मनीला,36
6326,crisol,क्रूसिबल,68
9884,dieciocho,अठारह,43
12530,secreto,गुप्त,21
6442,alquimia,रस-विधा,67
12303,universo,ब्रम्हांड,7
2961,antepasado,पूर्वज,66
8803,apestar,पांग,52
440,hiler,हिलर,100
8186,esmeralda,पन्ना,55
8166,bacalao,सीओडी,56
10643,hilado,काता,38
8847,zodíaco,राशि,51
12622,oda,ओडीए,22
2605,mica,अभ्रक,89
5506,inestabilidad,अस्थिरता,73
8333,coleccionista,एकत्र करनेवाला,48
9224,fullback,पूर्ण सहयोग,43
14346,comercial,व्यावसायिक,9
9527,separación,पृथक्करण,13
3777,escaso,विरल,67
6617,placa,फलक,62
3699,flojo,निर्बल,82
5933,facial,चेहरे,71
13428,vado,पायाब,14
5743,sicomoro,गूलर,71
2812,altercado,तकरार,86
453,engrama,अन्तराम,100
3873,peatonal,पैदल यात्री,75
5518,puta,वेश्या,69
362,discriminatorio,भेदभावपूर्ण,100
3406,abrumadoramente,घने,86
14025,mi,मेरा,5
9126,dinamita,बारूद,49
2895,necrofilia,नेक्रोफ़ीलिया,88
5528,frijoles,फलियां,33
14293,california,कैलिफोर्निया,9
7732,diem,दैनिक,59
6450,cargador,अभियोक्ता,29
14169,registro,अभिलेख,7
12102,protocolo,मसविदा बनाना,25
11412,abandonado,छोड़ा हुआ,28
8469,cólera,हैज़ा,54
13519,ben,बेन,13
1533,pontio,पोंटीयस,95
7729,matones,ठग,51
1100,tararear,गुंजन,92
11132,permaneció,खड़ा होना,35
6863,idealmente,आदर्श,35
7552,membrana,झिल्ली,59
12095,coalición,गठबंधन,26
11335,cortesía,सौजन्य,33
1867,hidrostático,हीड्रास्टाटिक,92
5026,holla,होल्ला,76
11821,secuencia,अनुक्रम,26
5723,cajero,टेलर,69
7645,resurrección,जी उठने,50
10676,guardián,अभिभावक,37
12207,pringle,प्रिंगल,26
11448,frente a,का सामना करना पड़,12
2931,más lejano,सब से अधिक दूर,88
2724,shaikh,शेख,88
459,tomografía,टोमोग्राफी,99
4883,ono,ओनो,77
11155,aventuras,एडवेंचर्स,26
8348,sin fundamento,निराधार,55
6002,kama,कामदेव,70
1156,carabina,काबैन,86
1788,sora,सोरा,93
10721,silla,कुर्सी,33
12524,julian,जूलियन,23
7959,una pieza,एक रचना,58
5359,pasta dental,टूथपेस्ट,74
13367,6º,6,15
8775,vagina,प्रजनन नलिका,52
5841,cigarro,सिगार,70
3166,eos,ईओएस,30
1452,calzada,राह-चलता,95
4487,lockyer,लॉकयर,80
11126,furtivo,स्नीकी,35
3516,eucalipto,युकलिप्टुस,85
2816,splanquia,स्प्लाननोलॉजी,88
9784,vanidad,घमंड,44
13664,local,स्थानीय,12
6357,farley,फ़ार्ले,68
3624,careta,चारेट,85
7764,derivación,उपमार्ग,49
2377,monseñor,मोंसिगनोर,90
1472,lemmings,लेमिंग्स,81
12304,brooklyn,ब्रुकलीन,25
13492,camioneta,वैन,13
11158,gravemente,बुरी तरह,35
5313,transvaal,ट्रांसवाल,75
1830,tilacina,थाइलेसिन,93
11517,moe,मो,32
11540,fomentar,पोषक,30
11576,mónaco,मोनाको,31
9083,rascacielos,गगनचुंबी इमारत,46
13686,cuestiones,मुद्दे,7
14227,devolver,वापस करना,9
10492,cha,शाह,39
12902,olvidar,भूल जाओ,19
13584,talla,आकार,12
12130,tráfico,यातायात,26
13749,pista,संकरा रास्ता,9
2996,hotchkiss,हॉचकिस,88
5797,semiconductor,सेमीकंडक्टर,68
8242,superado,पार,44
8785,migración,प्रवास,43
8191,mazo,लोढ़ा,54
3731,cro,सीआरओ,84
3767,crucero,मंडरा,34
3030,rajput,राजपूत,88
9462,greenwich,ग्रीनविच,47
10381,cartucho,कारतूस,36
6633,reordenación,पुनर्निर्माण करना,54
14233,requerido,आवश्यक,6
5289,aureus,ऑरियस,75
3427,tressel,पाड,86
3428,paleta de hielo,popsicle,86
5616,lew,ल्यू,73
1134,miología,मायोलॉजी,96
7900,codo,कोहनी,55
5716,nieto,पोता,70
8518,medias,मोज़े,21
13418,poseedor,धारक,13
12122,automático,स्वचालित,5
6103,braguero,पुलिंदा,70
4620,detenidos,बंदियों,69
13207,mayoria,बहुमत,8
469,escabullido,चोरी,50
323,monoteísmo,अद्वैतवाद,100
10788,bangkok,बैंकाक,38
4893,más fácil,सबसे आसान,77
1355,kooks,कुक,88
14200,acción,कार्रवाई,9
12029,prohibir,पर प्रतिबंध लगाता है,15
4579,alii,अलिटी,79
5963,ajustar,समायोजित करना,37
7094,pulga,देहिका,62
14392,partes,पार्ट्स,8
746,maoísta,माओवादी,92
1997,nazareno,नासरी,92
9549,autobuses,बसों,45
4363,honrado,सम्मानित,14
11328,púrpura,नील लोहित रंग का,33
14418,presentado,दिखाया है,7
7168,apagar,उपस्थित होना,62
14292,casos,मामलों,6
11376,minuto,मिनट,31
14503,distribución,वितरण,19
2549,supervisarse,का निरीक्षण किया,90
2791,interpretable,बजाने,88
9631,chapman,फेरीवाला,46
12105,rory,रोरी,27
6818,teledifusión,टेलिविजन का ब्राडकास्ट कारना,57
2603,menospreciar,उपेक्षा करना,70
12272,papa,पोप,24
11288,syracuse,सिराक्यूज़,34
7306,chulo,दलाल,60
6796,simulación,सिम,33
9793,chispa - chispear,स्पार्क,30
7106,herradura,घोड़े की नाल,62
11113,argelia,एलजीरिया,35
6532,babuino,लंगूर,65
3004,borbón,बर्बन,85
1827,a prueba de balas,बुलेटप्रूफ,93
10025,harlem,हार्लेम,43
1792,campus,परिसरों,93
7792,acatar,पालन ​​करना,30
1456,indefenso,मजबूर,90
8641,profesionales,पेशेवरों,16
2185,sumergido,जलमग्न,88
6208,entropía,एन्ट्रापी,69
7197,germante,जर्मनटाउन,62
5290,urdu,उर्दू,75
14043,asunto,मुद्दा,7
5279,péndulo,लंगर,74
9879,crimea,क्रीमिया,44
2397,antideportivo,स्वास्थ्य के लिए ठीक नहीं,90
7578,amelia,अमेलिया,60
373,tiña,दाद,100
13269,teoría,सिद्धांत,13
5557,taurina,बैल की तरह,73
14463,intentar,कोशिश,6
11331,insignias,बिल्ला,33
13201,prestado,उधार,16
