ID,SPAIN,FRENCH,INTERVAL
11797,bajo tierra,sous la terre,33
9205,muñequita,chariot,52
5576,inesperadamente,de façon inattendue,75
6899,neptúnico,neptunien,67
4592,duele,fait mal,37
6038,mójol,mulet,68
12400,limpio,nettoyer,21
8940,confrontación,épreuve de force,53
13370,energía,énergie,17
12201,teniente,lieutenant,29
10785,sentido común,bon sens,40
1800,blackfoot,noire,94
8480,trascendencia,implications,43
6547,pasta,pâtes,69
9841,del suroeste,du sud-ouest,47
5352,pilluelo,urine,77
14060,seis,six,11
5560,fuera de juego,hors-jeu,76
5927,dolor de cabeza,mal de tête,68
5960,kilómetro,kilomètre,73
13888,qué,quoi,7
3412,madera contrachapada,contre-plaqué,87
11483,duración,durée,35
11047,libia,libye,38
4747,estrujar,presser,65
4096,anemia,anémie,84
13551,quiso decir,censé,15
2985,caritativo,charitable,88
3459,jugoso,juteux,87
12843,sartén,poêle,23
3372,deficiencias,lacunes,84
8857,calvo,chauve,49
10358,poemas,poèmes,36
2508,quincena,quinze jours,88
3982,nublado,nuageux,73
13524,eco,écho,15
7532,lince,lynx,63
14183,fiesta,faire la fête,11
2109,ensanchar,élargir,61
3570,celoso,jaloux,86
6657,malayo,malais,61
1551,engle,engloutir,92
14328,condujo,dirigé,12
12193,independientemente,indépendamment,29
6365,mirto,myrte,70
3550,gerencial,managérial,87
6842,vegetarianismo,végétarisme,60
5778,travieso,vilain,74
5657,satisfactorio,satisfaisant,75
3424,tabú,tabou,85
10039,nitrógeno,azote,45
13064,infierno,enfer,20
673,cementado,cimenté,62
8701,destripador,éventreur,55
8971,soledad,solitude,53
1274,rea,réellement,96
7977,nudo,nouer,31
3102,encogerse,rétrécir,72
11899,metros,mètres,27
14026,de acuerdo a,selon,11
13092,multa,peine,17
10911,perros,chiens,9
5395,arg,argument,76
12966,inexplicable,inexpliqué,21
4809,ahumado,fumé,80
5992,caballo de mar,hippocampe,73
7303,flexible,souple,55
10300,alimentados,nourris,43
988,standman,stillman,98
11028,terremoto,tremblement de terre,38
4210,milagros,miracles,47
13951,debe,doit,9
9650,trivial,banal,47
11265,ártico,arctique,37
12501,homero,homère,24
14398,fecha,date,7
12867,pavo,dinde,23
14418,presentado,montré,8
13212,obviamente,de toute évidence,19
7487,cebolla,oignon,59
285,maloliente,malodorant,99
4890,lub,lubrifiant,79
1265,noventa,ninetières,54
13762,noche,nuit,12
8622,orejas,oreilles,38
7060,tubería,pipeline,62
3546,bulador,blinder,87
9271,casco,casque,45
6329,barlovento,au vent,65
9747,mariscales de campo,quarterbacks,16
4630,iridiscencia,irisation,79
11351,extendido,très répandu,37
4204,aparentemente,en apparence,79
10044,colorete,rouge,41
8502,custodia,garde,56
3154,inafectado,non affecté,88
3437,degas,dégazer,87
10335,batsmen,battes,43
14329,cargar,charge,17
10023,esposo,mari,45
10291,flamenco,flamand,44
5409,más seguro,plus sûr,76
5965,movimiento de piernas,débattre,59
7628,espino,aubépine,44
1247,barquero,batelier,96
10266,patentar,brevet,39
10944,cumpleaños,date d anniversaire,38
3736,bocadillo,collation,76
11933,aerolíneas,compagnies aériennes,27
2702,binomio,binôme,90
14410,mirando,regarder,5
1513,impropio,inapte,90
9283,superar,surmonter,47
12104,arabia,saoudite,30
9096,arrastrar,traîne,44
10855,suave,lisse,38
5889,sacerdotes,prêtres,44
3100,comestible según la ley judía,kascher,88
12598,leyenda,légende,23
2287,sembrar,truie,85
3707,gafas de sol,des lunettes de soleil,85
7530,beneficioso,bénéfique,62
5532,ciprés,cyprès,76
2879,resurgente,renaissant,73
36,no democrático,antidémocratique,100
13019,declarado,déclaré,15
10408,herr,hérins,43
13948,a él,lui,10
5144,criadero,couvoir,77
7424,sabiduría,sagesse,63
13472,más alto,plus haute,16
10867,de repente,tout à coup,40
12925,poli,policier,22
11015,barrera,barrière,37
11902,montgomery,mégomérie,32
3733,banquillo,sidelines,50
8307,paraguas,parapluie,57
12125,castillo,château,30
13857,después,après,6
1140,cebo,baiting,73
13054,sostener,tenir,13
11204,apelación,faire appel,29
6159,grieta,crevasse,70
10629,sorber,souper,41
4323,ajenjo,absinthe,82
10959,realimentación,retour d information,39
3604,oruga,chenille,84
12988,lista de verificación,liste de contrôle,21
10082,delfín,dauphin,28
7437,eslovaco,slovaque,61
4765,ron,rhum,80
7654,excavado,creusé,62
6815,laúd,luth,67
14218,computadora,ordinateur,8
8127,cantantes,chanteurs,22
7516,barroco,baroque,63
6506,por lo cual,par lequel,70
11304,por último,enfin,37
12068,flujo,couler,28
12734,mancomunidad,commonwealth,24
14095,promedio,moyenne,12
11125,menor,moindre,38
8322,perro chino,bouffe,57
12904,solterona,vieille fille,22
5398,monja,religieuse,66
8484,diestro,dexter,56
1461,pegamento,la colle,95
12350,de pie,debout,12
13009,arena,arène,20
456,armero,harceler,100
13324,discrepar,être en désaccord,17
6991,estampida,débandade,63
104,sin cesar,non trouvé,100
9908,zanja,tranchée,42
3244,coger,nul,86
2959,aficiones,passe-temps,59
14153,prueba,test,5
10371,demandar,poursuivre en justice,43
2001,desmayo,évanouissement,69
5759,apurarse,dépêche toi,68
7106,herradura,fer à cheval,64
8069,huerta,verger,59
6100,cenador,tonnelle,72
6229,heroico,héroïque,61
5781,cumplir,obéit,64
12918,objetivo,cible,16
5173,ocio,loisirs,76
336,mestizo,métis,97
2946,cabras,chèvres,47
3959,castaña,châtaigne,82
13398,muerto,mort,17
8659,de paso,incidemment,53
6644,irrazonable,déraisonnable,67
2053,estornudar,éternuement,86
9862,tragedia,la tragédie,45
13660,aeronave,avion,13
10573,demografía,démographie,38
2510,farsante,fumisterie,91
13624,fuera de,à l extérieur,14
2867,al agua,à la mer,89
8126,autógrafo,un autographe,52
13528,adán,adam,13
11274,pescador,pêcheur,37
7838,hábito,habitude,48
10058,deducción,déduction,38
986,liga,jarretière,94
50,consolados,écolades,89
12654,sería,ne serait pas,25
9672,resolver,résoudre,33
11918,puñal,poignard,32
11825,postemporada,saison postalière,33
11498,periódicos,journaux,17
13357,oner,ont,17
6955,ladrón,voleur,66
12999,desconocido,inconnu,21
1652,grafito,graphite,95
13369,software,logiciel,17
13122,estrellas,étoiles,11
13266,griego,grec,17
5757,atornillado,baise,40
6529,sostenido,soutenu,38
8095,liebre,lièvre,57
10612,procedimiento,procédure,32
5085,brandy,cognac,78
6351,fianza,caution,62
10901,falso,faux,37
7781,florecer,floraison,60
5112,persona,ser,78
14501,autoridades,les autorités,10
8436,habilidades,capacités,25
6317,fotosíntesis,photosynthèse,71
7711,calmante,apaisant,62
13810,él,il,5
7401,automotor,automobile,63
7669,simpatía,la sympathie,58
12731,perfecto,parfait,24
9909,eng,fra,46
9985,delirio,délire,46
1770,layne,laïque,94
7854,river,front de rivière,61
11110,respaldo,sauvegarde,38
4435,enfermeras,infirmières,40
8666,meseta,plateau,55
5342,perenne,vivace,74
7220,jaleo,jill,65
2592,reelaborado,retravaillé,64
6301,mareado,vertigineux,66
3276,abrazado,embrassé,62
14311,escuela,école,7
885,léxico,lexique,98
2195,miríada,myriade,90
8541,círculos,cercles,29
12756,móvil,mobile,17
5245,ratonera,piege a souris,77
5132,bundy,bombardier,78
3878,inglés,anglais,84
3940,intensificado,accru,78
5155,inclinación,incliner,64
12312,en todo el mundo,à l échelle mondiale,28
6770,escasez,pénurie,54
13872,porque,parce que,8
590,porteros,gardien des gardiens,49
4636,pato real,colvert,80
4680,no revelado,non dévoilé,81
13907,aquellos,ceux,7
14145,llamar,appel,9
13060,frío,du froid,20
6714,encerrar,fermeture,28
7729,matones,voyou,54
6407,lumbrera,persienne,70
12477,checo,tchèque,26
10906,a mitad de camino,à mi-chemin,39
4822,concejal,échevin,79
7930,rígido,rigide,61
2457,ha podido recuperar,aller chercher,76
13179,ofensa,infraction,12
884,buena suerte,godspeed,98
14267,edificio,bâtiment,12
4693,dibujante,dessinateur,69
7013,pudín,pudding,62
11034,gremio,guilde,38
1966,currícula,coincer,93
12737,molinero,meunier,24
7821,cábala,cabale,60
1924,agregador,agrégateur,29
10978,dulce,sucré,38
3236,perdiguero,charborn,88
11984,azúcar,du sucre,31
79,chotacabras,engoulevent,94
9449,dom,domestique,50
13481,frio,frais,15
8298,adviento,avènement,58
4077,barro,béring,81
7102,vocalista,chanteur,62
4433,aclamado,salé,17
1552,eneldo,aneth,94
10799,propiedades,propriétés,21
9651,ejecución,exécution,20
360,regenerador,régénérateur,100
10504,celebracion,fête,21
8354,unicornio,licorne,56
9793,chispa - chispear,étincelle,34
7370,alce,wapiti,62
512,ile,île,99
11672,hidrógeno,hydrogène,33
6988,maullar,miaou,66
6913,mástil,mât,63
1134,miología,myologie,97
5477,mímica,mime,75
4951,mezquos,mosquées,39
7800,tenencia,mandat,60
6594,hollín,suie,69
180,incalculable,indomptable,100
6361,lémur,maki,70
13837,tú,toi,5
4696,valentía,bravoure,81
1444,diacríticos,diacritique,89
482,epitafio,épitaphe,99
7198,retroceso,recul,64
8328,cúbico,cubique,57
2948,aldehído,aldéhyde,84
13955,alto,haut,8
14416,conseguir,obtenir,8
12616,divisa,devise,25
4452,cinematógrafos,cinématographes,65
480,monómero,monomère,97
14464,archivado,déposé,6
8430,pollock,bonder,57
7419,logros,réalisations,34
10225,fósil,fossile,31
10042,afrontar,se débrouiller,44
10910,cienciología,scientologie,39
7235,cortés,cortez,65
10213,poderoso,puissant,44
11997,resaca,reflux,31
11018,céltico,celtique,39
3173,sin gusto,aucune idée,88
12803,ferrocarril,chemin de fer,21
12883,centenar,cent,18
11339,brevedad,brièveté,37
3584,serafines,séraphine,86
1784,alcantarilla,égout,84
14004,yendo,en allant,8
12194,marca,l image de marque,19
2569,jurados,jurés,76
12204,compartimiento,poubelle,29
5280,alza,à l envers,77
478,trifosfato,triphosphate,99
2875,sidra,cidre,89
9470,aislado,isolé,42
13668,ingresó,entré,12
11876,reinsertar,réinsérer,10
9913,camboya,cambodge,47
3557,layo,laïcs,87
1527,pigmeo,pygmée,90
10589,escarcha,gel,40
10200,pintada,graffiti,44
14437,separado,séparé,15
14451,pérdidas,pertes,11
14251,una vez,une fois,11
13575,beto,bob,14
9562,salario,un salaire,45
845,exceso,surabondance,97
7751,estómago,estomac,60
6621,fogata,feu de brousse,56
13983,ayuda,aide,7
5939,siete veces,septuple,73
10204,manejo,manutention,25
14445,pruebas,tests,5
5345,nevado,neigeux,77
1453,consuelo,réconfort,95
4082,sí,ay,84
9808,deuda,dette,44
1604,astuto,malin,95
2198,recaudación de fondos,collecte de fonds,92
14216,usos,les usages,5
14074,lejos,loin,9
7108,incomprendido,mal compris,65
12926,rico,riche,22
4857,esquife,skiff,76
4526,apellidos,noms de famille,40
4128,paseo,bal de promo,82
12310,aumento,se lever,22
1213,no provocado,non provoqué,97
5836,pinzón,bouvreuil,69
12372,estúpido,stupide,26
5299,mala conducta,inconduite,77
4087,inquilinos,locataires,62
1239,imposibilitar,empêcher,80
6186,campista,campeche,72
8552,tipográfico,typographique,56
8413,casual,décontractée,53
8433,incondicional,irréfléchi,57
1702,asentir,assentiment,90
7093,snooker,billard,65
11017,cuervo,corbeau,29
4211,agarra,attrape,41
6091,babosa,limace,54
7409,bohemio,bohémien,61
13470,bandera,drapeau,14
8522,juzgar,jugement,22
5678,patio de recreo,terrain de jeux,74
6433,limpiador,nettoyeur,66
6450,cargador,chargeur,33
1555,amiotrófico,amyotrophe,95
14255,sity,sitté,100
8885,bateadores,frappeur,36
11931,siglos,âge,14
13889,a través de,à travers,10
445,péula,pipes,100
1926,condesa,comtesse,93
688,ubicuo,omniprésent,98
3594,superposición,chevauchement,57
14324,senado,sénat,16
5876,sospechas,suspicion,49
6184,angoleño,angolais,68
727,litúrgico,liturgique,96
13024,armada,marine,20
7579,doblado,courbé,62
14072,orden,commande,10
4061,globos,des ballons,43
2456,cocido,cuit,26
10771,mojado,mouiller,39
4444,alquiler,de location,76
9507,dudoso,douteux,49
12395,polvo,poussière,27
5600,para que no,de peur,61
6852,desmovilización,démobilisation,54
5222,depósitos,dépôts,42
10413,afilado,tranchant,42
13855,último,dernier,6
10197,doncella,jeune fille,43
5249,mandar,handicapé,77
3654,rundro,rondelet,86
6385,lo antes posible,au plus vite,70
10190,en total,tout à fait,45
11335,cortesía,courtoisie,37
7488,presentaciones,soumission,46
11875,filosofía,philosophie,32
8607,persona especial,écraser,38
4223,sombreado,ombragé,47
5784,mareas,les marées,36
1599,endurecer,durcir,74
814,llamativo,jazzy,98
7218,puño,poing,55
3011,elíseo,élisha,88
4155,víbora,vipère,68
12252,nodos,nœuds,26
7101,transmisor,émetteur,60
12732,piscina,bassin,23
1032,valientemente,vaillamment,98
6182,espinacas,épinard,72
7342,cerámica,poterie,62
9618,acebo,houx,48
6555,concusión,commotion cérébrale,66
2048,subtítulo,sous-titre,71
6536,retruécano,calembour,65
6898,fantasmas,des fantômes,33
1572,cráteres,cratère,48
12526,respondido,a répondu,12
13201,prestado,emprunté,19
11347,apodo,surnom,29
11653,propiedad,la possession,34
2638,arqueros,archers,59
13963,propio,propre,8
13999,línea,doubler,10
9041,canguelo,trouille,53
1210,pentagrama,pentacle,97
10215,sano,vigoureux,44
4635,tortícolis,crampe,81
12262,asaltantes,raiders,28
1463,reprendido,réprimandé,81
13343,adecuadamente,correctement,17
14057,cambiar,changement,6
13990,ordenador personal,pc,38
6296,estilo de vida,mode de vie,65
10404,ruido,bruit,42
2661,superar a,sensibiliser,90
11312,oculto,caché,37
10232,jabón,savon,43
3915,suero,sérum,84
5310,jamaicano,jamaïquain,75
13316,smo,saint,15
3022,tapiz,arras,88
12975,retirado,retraité,16
2656,centro de la ciudad,au centre-ville,90
12344,lo más rápido,le plus rapide,28
3330,serpiente de cascabel,serpent à sonnette,87
137,poroso,poreux,100
1314,desnutrición,malnutrition,96
4648,ilegítimo,illégitime,80
1806,depende,dépeche,94
9742,terapia,thérapie,47
14035,aceite,huile,18
10051,hablado,parlé,46
5866,tubero,tubman,74
7252,atuendo,équiper,56
9965,afortunadamente,heureusement,33
4495,teamsters,équipesters,79
8227,rvdo,tour,58
13407,aprobado,passé,10
880,haluro,halogénure,95
14043,asunto,problème,9
2842,risita,glousser,67
2900,furiosamente,avec colère,89
7693,estanque,étang,61
3930,costoso,la plus coûteux,84
3240,negrita,caractères gras,81
6191,jero,il h,71
4379,acelerar,accélérer,37
6586,mano de obra,main-d œuvre,69
7070,limpiado,essuyé,52
6827,tirón,coup sec,52
9432,gaélico,gaélique,50
8884,eficiencia,efficacité,37
3715,lavavajillas,lave-vaisselle,82
4402,gorro alto de piel negra,bonnet à poil,82
7452,lechoso,laiteux,63
498,agilidad,agilité,83
11146,indígena,indigène,38
695,arad,aré,98
7048,maletero,tronc,58
2786,cushing,cuson,88
6102,almeja,palourde,71
12271,disuelto,dissous,27
8359,mansión,manoir,55
5474,saliente,saillant,76
14206,preguntó,demandé,6
13347,desambiguación,désagrégation,17
12143,pájaro,oiseau,27
12671,compañero,compagnon,24
7708,puerco espín,porc-épais,62
2019,desvanecido,se réveiller,93
144,aik,aïque,100
11260,arcilla,argile,37
8815,anverso,face,54
11655,descendente,chute,13
5013,suscripción,abonnement,65
9852,monarca,monarque,39
9408,costa afuera,offshore,50
6276,debidamente,dûment,71
2272,bowser,bousilleur,92
7752,ruidosamente,bruyamment,62
12700,blindado,panéro,24
4174,metralla,shrapnel,83
1137,estrella polar,polaris,97
9052,ateísmo,athéisme,53
4791,no ganado,non gagné,80
10350,diseñador,designer,11
2380,criptografía,cryptographie,92
1465,secuencialmente,séquentiellement,67
8009,desnudo,nu,37
14366,siete,sept,12
8837,intenso,féroce,51
8644,geográfico,géographique,36
3295,agotador,punir,24
1768,hacia el este,vers l est,52
9336,escombros,débris,51
14304,caer,automne,13
9713,gótico,gothique,48
6924,lácteos,laitier,66
10674,repuesto,de rechange,38
4390,escuela politécnica,poly,80
12453,labor,la main d oeuvre,26
2223,vengativo,vengeur,91
2757,salmón ahumado,saumon fumé,90
8247,tuerca,noix,46
5868,éxtasis,extase,73
6287,confiar,qui s appuie,34
12362,empacadores,emballeurs,27
1354,hept,hépand,96
14129,nunca,jamais,12
12576,sintió,feutre,26
4481,guapo,beau,81
1439,curar,guérir,59
13166,entrenar,former,12
8403,sij,sikh,49
11543,arcoíris,arc-en-ciel,34
8882,caja de cambios,boîte de vitesses,53
13311,posiblemente,peut-être,8
14182,bancos,banques,16
10874,diputado,adjoint,35
1500,espectacularmente,de manière spectaculaire,95
2784,temporizador,minuteries,66
9576,poder,richesse,49
2239,matadero,abattoir,92
13278,palmadita,tapoter,16
9728,trabajador,ouvrier,23
7778,bozal,museau,61
12027,vapor,fumer,30
7941,exhaustivo,approfondi,60
12054,títeres,marionnettes,25
2264,cavernícola,homme des cavernes,92
4820,antecesores,prédécesseurs,47
3172,distraído,distrayant,52
12687,planchar,fer à repasser,22
13287,imperio,empire,17
13597,disparo,tirer,13
8407,maricón,fagot,53
13368,trofeo,trophée,17
12406,grasa,gros,27
8172,que representa,décrivant,26
11479,legislatura,corps législatif,32
9014,iluminado,éclairé,52
3683,a ciegas,aveuglement,86
9414,acoso,harcèlement,29
1304,carpintería,travail du bois,87
13975,segundo,deuxième,8
13778,gales,pays de galles,12
10430,franjas,franz,43
13291,nación,nation,8
10498,reescrito,réécrit,42
2342,fideos,nouilles,65
1085,aniquilación,annihilation,71
4215,arqueológico,archéologique,33
4655,volver a visitar,revisiter,65
12640,encimera,contrer,24
11766,afortunado,chanceux,33
10290,cívico,civique,43
11806,león,lion,19
13501,estándar,la norme,12
10517,literario,littéraire,42
4533,riguroso,rigoureux,67
7450,detención,retenue,62
7006,acilo,acyle,66
14493,parece,semble,10
13617,mesa,table,13
3847,retoque,retombeur,85
11255,química,chimie,37
12682,vendido,vendu,25
6337,patatas,pommes de terre,41
12924,arrendajo,geai,19
492,estreñimiento,constipation,96
13945,cómo,comment,8
13964,cuatro,quatre,7
13079,árbol,arbre,19
4005,buena voluntad,bonne volonté,84
13942,colocar,ensemble,10
477,póstumo,posthume,70
5825,rebaño,troupeau,68
12161,riesgo,risque,28
8386,fachada,faire du visage,58
1633,preventivo,renvoi,76
12314,a diario,du quotidien,28
4197,isómero,isomère,70
7168,apagar,s avérer,63
2390,comentarista deportivo,sportifs,87
11230,presupuesto,budget,36
5068,derribar,tirer vers le bas,79
761,siríaco,syriaque,98
4374,más débil,le plus faible,82
6929,de diversamente,très bien,67
4064,gamberrismo,vandalisme,63
12806,dinamarca,danemark,23
11505,solicitud,application,23
11842,vivo,vivant,32
14081,noticias,nouvelles,12
5262,rutinariamente,routineusement,48
10344,dieta,diète,42
2351,olmo,orme,84
10032,por defecto,défaut,42
4995,esfénico,sphenique,79
459,tomografía,tomographie,99
6691,prometido,doté,63
9932,brezo,bruyère,46
7511,fiscal,procureur,52
7817,saqueo,pillage,50
11434,metilo,méthyle,35
5219,tucky,taillé,77
9418,deslizar,glisser,38
8958,romper,séparer,53
541,cingalés,sinhalais,99
10191,nervioso,nerveux,45
1139,hoon,haçon,97
9500,misericordia,pitié,47
11546,trueno,tonnerre,34
1685,falo,phallus,95
7460,tirador,tireur,55
10528,nuevo testamento,nt,42
3374,enmarcado,encadré,26
4947,obediente,conforme,79
11350,camaradería,partenariat,35
2625,coronación,couronnement,62
174,esmalte,émail,98
1333,nunca más,plus jamais,96
11418,espejo,miroiter,33
8972,trampa,piège,36
14274,fue,est allé,12
7107,perforación,perfectionner,65
10862,portero,gardien de but,32
14246,intentando,en essayant,7
4852,desempleados,sans emploi,52
8357,decimosexto,seizième,58
12747,amigo,amie,15
8492,superválido,exaspérant,50
1959,encogido,rétrécie,93
9798,guardabosque,ranger,19
13733,consciente,au courant,13
8130,judy,judence,59
7896,destrozado,éclaté,54
3431,hawkeye,oeil de faucon,87
9524,vudú,vaudou,49
10958,remanentes,vestiges,33
7946,venta al por mayor,de gros,61
6501,jericó,jéricho,70
9226,emocional,émotif,34
8400,barco de estrellas,étoile,57
12180,masivo,massif,27
271,ruta aérea,route aérienne,99
10650,asterio,astérité,41
2348,no debería,ne devrait pas,92
13224,sol,soleil,17
5697,metano,méthane,74
7407,depósito,dépot,59
2314,alegrarse,réjouir,87
11189,político,politicien,30
4303,insustituible,irremplaçable,81
8483,bloque político,bloc,56
12994,magnitud,ordre de grandeur,21
8648,confiado,de confiance,27
13492,camioneta,van,15
10772,azteca,aztèque,39
12107,revisado,contrôlé,12
4961,avispón,frelon,56
6767,testigo ocular,témoin oculaire,59
3234,despertar,réveiller,79
5322,rubio,blond,63
3267,no probado,non prouvé,88
7346,helio,hélium,64
10263,knockear,assommer,44
8269,renta,louer,48
589,tiro al plato,skeet,97
8835,stirling,stire,54
3700,matanza,effusion de sang,86
5073,restricciones,contraintes,72
2473,adhesivo,adhésif,75
5963,ajustar,régler,40
12257,sospechar,suspect,18
3573,mejilla,joue,75
5835,estrella de mar,étoile de mer,74
2674,tiroides,thyroïde,89
9817,mago,sorcier,34
12060,cómic,bande dessinée,17
13282,gramática,grammaire,18
13118,naciones unidas,onu,20
5303,de pena,wiking,77
10328,preparativos,arrangements,23
4148,carretera de circunvalación,traducteur,76
5740,veterinario,vétérinaire,74
13044,significado,importance,12
1083,riñones,rênes,74
1127,excreción,excrétion,94
5052,peyorativo,péjoratif,76
2563,jabali,sanglier,90
10264,historias,magasins,26
13403,negocio,affaires,15
13080,famoso,célèbre,20
564,secuenciar,séquilitur,99
4360,enchufe,claquement,36
7377,metanfetamina,méthamphétamine,63
