ID,DEUTSCH,KOREAN,INTERVAL
7751,magen,위,58
11727,nunquam,뉘른자,30
2183,ungerecht,unjust.,91
12662,schwarze liste,블랙리스트,12
7481,platzanweiser,수위,57
14215,wirkung,효과,10
2968,agitation,동요,67
5191,taiga,타이가,76
1688,flusskrebs,왕새우,94
11705,isaac.,이삭,30
8923,popcorn,팝콘,52
2583,freundlichkeit,친절,13
3075,mythisch,신화의,87
14030,ausführung,버전,8
1626,carolus,캐롤러스,94
7407,lagerhaus,창고,57
1254,schamlos,뻔뻔 스럽네요,96
13122,sterne,별들,9
7140,erschrocken,무서운,35
4998,harif,샤리프,77
2259,glasfaser,유리 섬유,91
373,tinea,백선 증,100
1026,rüben,사탕무,93
2811,beiwagen,사이드카,88
1376,trina,트리 나,96
737,paparazzi.,파파라치,98
13791,die,그만큼,5
12406,fett,지방,23
9309,einreiben,루빈,49
1565,missourians,미주리 인,87
9693,gepard,치타,44
14328,led,~ 주도의,10
9737,nocken,캠,39
8232,serena,세레나,57
4863,jocke,조크,76
93,mikroprozessoren.,마이크로 프로세서,74
12959,wert,값,16
9942,sie selbst,그녀 자신,44
327,kimono,키모노,98
13440,wie auch immer,무엇이든,14
5992,seepferdchen,해마,71
1581,requisiten,소품,61
9706,moses,모세,46
3339,herberge,호스텔,82
12428,evangelium,복음,24
12725,geflogen,날았다,21
8336,lektion,수업,46
13141,brechen,부서지다,13
8960,michelangelo.,미켈란젤로,51
12796,stewart,스튜어트,21
8187,malawi,말라위,57
1885,schwede,스웨덴 인,80
10830,hersteller,제조업 자,20
9625,geometrie,기하학,46
2343,bilateral,양측,89
9304,lachs,연어,49
7762,helena,헬레나,60
11473,erpel,드레이크,32
3961,moronen,모론,48
12007,spalte,안부,28
13750,gelegenheit,기회,11
12042,punk,펑크,27
8554,watergate,워터 게이트,54
2321,trunkenheit,술취함,71
14090,washington,워싱턴,9
5747,boucher,바우처,73
12679,voreingenommen,치우친,21
13979,gefunden,설립하다,6
13821,das,이것,5
10509,singen,명음,28
8313,falk,배합,56
11992,bryan,브라이언,28
9845,santos,산토스,44
9695,adobe,어도비 벽돌,46
11365,regenwald,열대 우림,33
5042,piep,삑 하는 소리,75
13559,vorübergehend,일시적인,13
5783,jahrgang,포도 수확,72
2494,standhalten,버티다,87
10836,afghanisch,아프가니스탄 사람,36
10449,georgisch,조르지아 주 사람,38
309,kähne,바지선,76
13423,früher,더 일찍,14
686,unterzeichner,서명국,88
13840,ich,나,5
5341,paranormal,초자연적 인 것,75
5753,verzichtet,포기했다,67
6174,kiwi,키위,64
11709,räumliche nähe,근접성,30
12729,fahrer,타는 사람,16
4704,septa,중소,79
7048,stamm,트렁크,56
660,nährt an.,참석하다,14
7675,missbilligt,찡그린 것,55
5679,senf,머스타드,72
14200,aktion,행동,9
14330,schwarz,검은색,10
9955,fakto,사실상,44
2902,grapefruit,그레이프 프루트,88
6585,erdferkel,aardvark.,67
2934,retaliate,보복,44
10226,exklusiv,독점적 인,22
1966,klosten,어리석은 것,93
9527,trennung,분리,13
8605,fraktion,분수,43
6440,plappern,떠드는 소리,67
6625,kojote,코요테,51
14192,vereinbart,동의했다,11
4277,umgebungs,앰비언트,81
825,eigentumswohnungen,콘도미니엄,84
11729,geliefert,배달 된 것,24
10689,festland,본토,38
9261,degradierung,하락,42
5541,schiefer,슬레이트,54
10907,benedikt,베네딕토,37
12163,newton,뉴턴,26
7066,bethlehem,베들레헴,64
9418,unterhose,슬립,35
9259,miserabel,부랑자,49
11327,jimbo.,짐보,34
6869,orgasmus,오르가슴,64
13256,victoria.,빅토리아,16
6293,sarborough.,스카 보로,69
8910,infrarot,적외선,52
2477,abfließen,흘러 넘치다,90
12328,euro,유로,24
4430,cheung,청,80
9607,doyley.,도이 일리의,47
13357,achter,ont.,15
11846,faktor,요인,22
6551,epidemie,감염병 유행,64
4071,melatonin,멜라토닌,83
11335,höflichkeit,예의,34
10523,chassis,차대,39
7995,jumper,점퍼,55
8147,gabel,포크,40
1310,berauben,빼앗다,66
12774,süd-ost,남동,21
3729,in indium.,인듐,85
5114,abakus,주판,76
7201,elijah,엘리야,63
7735,vorläufer,전구 물질,58
14401,spezifisch,특정한,7
8514,karl der große,찰스 민,55
9895,howe.,웨이,44
2836,exemplare,표본,61
7439,forelle,송어,62
3348,webstuhl,직조기,64
12692,samuel.,사무엘,22
57,verhungern,굶주리는 것,84
2631,flaschen nase,병목력,89
8576,dankbar,고마워하는,48
5269,kassandra,카산드라,75
3288,bergung,구제,64
1359,dahlie,달리아,96
13933,dasselbe,같은,8
12742,bewaffnet,무장 한,13
5589,brühe,양조,41
1707,feuerball,화구,91
3895,aceton,아세톤,83
9842,nähe,부근,44
8741,remix.,리믹스,41
11662,zimbabwe,짐바브웨,31
10129,erkannte,실현,23
8912,merk,k,49
1089,chimäre,키메라,97
2961,vorfahr,선조,67
9724,feuerstein,부싯돌,45
6235,gurkha.,구르크,69
6016,stöcke,스틱,22
13102,dakota,다코타,17
4134,unfruchtbar,자유롭지 않은 것,82
7175,gattung,속,63
1284,mala,말라,96
12519,hadal,해달,23
5808,bleu,파멸,72
3626,leno,레노,85
13873,beliebig,어느,5
9386,bulgarisch,불가리아 사람,45
2679,rosalind.,로잘린스,89
12254,innen,내부의,9
2006,tischler,목수,46
11719,thema,주제,26
10736,annie,아연,38
1365,terre.,터리,96
12030,phrase,구절,22
11497,normandie,노르망디,32
8723,slayer,살해자,53
8271,dali,달리,56
12785,gebot,매기다,18
200,scherz,코르세제,100
8591,shan.,샨,54
10274,kapelle,예배당,41
644,kelte,돌 도끼,86
11538,systematisch,체계적인,27
10113,ascidian,어색한,42
3799,masern,흥역,84
12056,pseudomonas,슈도모나스,27
10455,pepsi,펩시,40
9487,beck,끄덕임,47
6462,granada,그라나다,68
9476,hamburger,햄버거,37
8751,acor,아코르의,53
1730,wiederholen,refone.,93
10632,richter,리리터,38
3027,topas,황옥,88
8388,zeitungspapier,신문 용지,56
12110,fokus,집중하다,27
106,barium,바륨,100
11402,torlos,득점,33
6286,jod,요오드,69
2499,unterkühlung,저체온증,90
658,intant,지금도 남아 있는,98
13266,griechisch,그리스 어,15
8828,tau.,타우,52
2137,motorisiert,전동,92
8106,premiere,첫날,18
13257,sorgfältig,조심스럽게,7
5370,flüchtig,휘발성 물질,67
10165,aufgehört,중단 된,22
2055,baguio.,바보 오,92
12902,vergessen,잊다,19
11115,barcelona,바르셀로나,36
13067,bruder,형제,12
375,siliciumdioxid,규토,100
13186,ausländisch,외국의,16
11676,jakarta.,자카르타,31
1690,glaukom,녹내장,94
1819,skidoo,스키보드,93
9199,sternchen,별표,48
2315,balkon,발코니,83
8060,passierer,맥박스,54
3294,brötchen,혈액 요소 질소,54
8865,berkshire.,버크셔,52
7371,boyer,보이러,62
13484,ab,아브,13
2953,geschnitten,슬라이스,55
6766,pilger,순례자,58
12817,berlin,베를린,20
8967,stimmung,분위기,51
6272,heuschrecke,메뚜기,67
3352,dauerwelle,파마,86
10542,rodney,로드니,39
11751,volumen,용량,27
6453,haiku.,하이쿠,68
6317,photosynthese,광합성,69
12099,graf,백작,26
3010,wahllos,무차별로,44
5041,temperament,기질,70
1571,undokumentiert,문서화되지 않은,94
2877,witzig,재치 있는,88
4911,marconi,마르코니,78
5245,mausefalle,쥐덫,75
5631,lesbarkeit,가독성,53
13932,trotzdem,아직,7
1808,overan.,오버란,93
10752,maillot.,타이츠,38
11857,gerät,장치,23
2726,fruchtbar,비옥 한,54
2570,lagerfeuer,모닥불,87
10813,wien,비엔나,38
8790,sesam,참깨,53
2805,härter,어려운 것,89
13366,identifikation,신분증,15
4353,meiji,메이지,81
11413,rollend,구르는,18
9475,herabgestuft,하향 조정,46
2200,lebensmittelgeschäft,식료품 점,88
6800,mae,마에,65
2168,auffällig,확실히 보이는,86
11908,ungewöhnlich,특이한,25
6752,abstand,최초,66
3006,mohn,양귀비,87
4663,unvollendet,다듬지 않은,79
1199,eintopf,스튜,88
10841,wein,와인,36
13208,strahl,레이,15
11845,sinnvoll,의미가있다,29
734,ungenügend,만족스럽지 않은,98
13447,pumpe,펌프,14
5943,punjabi,펀 자비,71
13301,druck,압력,15
4804,unbemerkt,주목받지 못한다,72
6024,pyruvat,피루 베이트,70
9019,jenna,제나,51
8157,val,발군,57
9600,schimpfen,rant.,39
6202,germain,제르메인,69
4652,kobold,보기,67
11204,appellieren,항소,25
9655,bücher,보위,46
3333,schlagbaum,통행세 받는 문,83
1608,horizontal,수평으로,55
3791,erschüttert,쉐이킹 식,84
336,mestize,메스티소,97
5857,geldbeutel,지갑,63
1779,sheraton,쉐라톤,93
13656,atlantisch,대서양,12
5230,wirbel,와동,76
12415,dämmerung,새벽,24
8734,übertragung,전송,12
5145,dominica,도미니카,76
9930,fähre,나룻배,36
3913,weltuntergang,최후의 일,83
5284,yorker,요크꾼,66
10596,rennpferd,경주마,28
2205,wiedereinsetzen,재명,88
4142,dunkler,어둡게하다,82
162,kana.,카나,99
3956,uptown,주택 지구의,83
7330,gardine,가드,61
12568,kreislauf,주기,17
2730,schleifend,연마,66
2505,behaart,털이 많은,90
1456,hilflos,어찌할 수 없는,91
12724,verletzung,상해,16
5707,psycho,정신병자,72
4414,novelle,소규비,78
2684,ultramarin,울트라 마린,89
12268,muslim,이슬람교도,20
9181,stockholm,스톡홀름,50
7828,stativ,삼각대,59
1803,kuhhiler,소 치는 사람,93
7581,schlachten,학살,54
1576,foxy.,여우 같은,94
11029,entfalten,없어져 버린,36
7919,siebzig,칠십,47
2489,zwitter,남녀 추니,89
2030,erlass,제정,28
8479,salat,샐러드,55
8879,seneca,세네카,52
7448,diane,다이앤,54
6250,ertrinken,익사,48
4796,duett,이중주,72
8811,leber,간,52
3872,gleichnamig,익명,83
8714,überraschenderweise,놀랍게도,53
7028,cheyenne.,샤이엔,63
4551,von dort,그때까지,80
5894,odessa,오데사,72
4883,oh nein,ono.,78
5249,hander,핸디,76
12107,kontrolliert,통제,11
785,moa.,모아의,98
3973,sonate,소나타,81
9035,preußen,프러시아,51
4944,zionisten,시온 주의자들,41
14089,begann,시작했다,9
6576,emu,에뮤,64
1746,baka,바카,93
12069,hammer,망치,26
7082,yi.,이순신,64
7391,ruhe in frieden,찢다,43
9538,janeiro.,자네이로,47
898,unempfindlich,insensitive.,90
4745,ein v,av.,79
8184,koto.,kero.,57
4809,smokey.,스모키,78
2108,mitzvah.,미스 베다,92
8016,intervall,간격,43
536,abstinenz,절제,98
12232,panama,파나마,26
7413,spangled,스파졸 칠이났다,62
1218,mako.,마코,97
13047,philippinen,필리핀 제도,13
13588,johnson,존슨,12
12229,ungerechtfertigt,unjustified.,26
1068,berauscht,술에 취한 것,75
3098,rodeo,로데오,88
14102,offiziell,공식적인,9
6555,gehirnerschütterung,진동,64
2810,kandidatur,입후보,88
13493,online,온라인으로,13
754,dissoziativ,해리,85
10959,feedback,피드백,37
7463,klatschen,정밀한 것,62
12871,def.,어리석은,20
10321,schuster,화공,40
9318,zirka,...경,49
819,bisher,지금까지,98
11530,abgerufen,검색,27
9520,suche,탐구,46
5474,hervorstechend,현저한,74
11722,hudson,허드슨 강,30
12192,schreiber,학자,26
13966,brauchen,필요,6
11940,diskographie,뇌봉,28
14077,punkt,가리키다,6
154,nexus,연결점,100
5545,schaufel,스쿠퍼,74
12642,unterhaltung,오락,19
9979,hydroxy,하이드 록시,43
4740,mather.,아저스,79
7068,bassist,베이시스스트,63
8809,polka,폴카,52
1925,donne,도너스,93
8528,cadillac.,캐딜락,54
10350,designer,디자이너,9
3022,arras.,아라스 천,88
7154,unmittelbar bevorstehend,임박한,62
14390,kräfte,힘,7
2107,kreuzfeuer,십자 포화,92
9434,hündchen,강아지,45
12281,langsam,천천히,25
7074,mormonen,몰몬교,31
12899,fußball,축구,20
14408,zahlen,인물,12
6754,kürzeste,가장 짧은,66
4366,parton,국부절,81
6783,marken,마켓,59
8595,genius,천재,54
6099,bodybuilding.,보디 빌딩,64
5469,gegründet,크기 조정,65
12300,dissident,반란군,25
13306,sox.,삭스,15
4514,registrierung,기재,80
11469,fahrkarte,티켓,26
8037,witz,재치,23
2509,armbrust,석궁,90
6385,schnellstmöglich,최대한 빨리,68
9643,beurteilung,심판,43
12818,nordost-,북동,20
1997,nazarene.,나사렛 사람,93
6521,australasian.,호주의,68
11956,loch,구멍,23
3892,wiltshire.,윌셔들,83
11968,disney.,디즈니,28
2614,kindergarten,유치원,88
1357,alkalisch,알칼리성의 알칼리성,93
9554,biologisch,생물학적,25
3942,ausgenutzt,착취 당함,40
14226,frei,무료,5
13021,teuflisch,사악한,18
11660,verschmelzen,병합,18
14252,server,섬기는 사람,6
10582,napoleon,나폴레옹,35
7063,loyalist,충신,55
2145,nordwestlich.,북서히,92
7745,verlies,지하 감옥,42
7339,kompass,나침반,56
10055,pontiac.,폰티악,43
12347,schiene,레일,23
2347,palle,포획,55
10138,boss,사장,40
7138,prestige,명성,63
5445,galaktisch,은하계,74
3644,gemeinnützig,비영리 단체,85
5893,entlüftung,벤트,61
1665,goa.,고아,94
13568,minnesota,미네소타,12
4771,mungo,몽구스,79
11168,ausrede,변명,33
12880,in der tat,참으로,20
8587,altruismus,애타 주의,54
11159,russ,러스,35
6007,longshore,롱 쇼어,71
5575,absorption,흡수,72
6855,wigan,위건,65
14411,arbeitsplätze,일자리,16
13701,daten,데이터,12
7435,bruderschaft,형제간,62
7452,milchig,젖을 섞은,62
2781,beifall,박수 갈채,89
4647,blanco.,블랑코,79
8372,macbeth,맥베스,56
1753,zenit,천정,93
3399,demontiert,해체,69
2152,wayland,웨일랜드,92
14504,läuft,실행,7
8026,hydroelektrizität.,수력 전기,54
14433,kommission,수수료,19
12306,palästina,팔레스타인,25
261,freimaurer.,프리메이션,92
835,wali,왈리,98
12317,medaillen,메달,14
1727,schriftlich,옹호자,39
13105,genau,정확한,15
13602,fünfte,다섯 번째,12
8737,abweichen,비웃음,53
11429,eröffnen,취임식,29
7611,entfesselt,unisthed.,57
10771,nass,젖은,37
586,unzensiert,무수정,99
447,unverletzt,unjured.,100
10732,wellington,웰링턴,38
5493,sloan,슬로안,74
2875,apfelwein,사과주,88
11104,schrittweise,서서히,33
11916,belegt,가득차 있는,24
4355,logisch,논리적으로,25
2707,warteschlange,대기 줄,81
10211,krabbe,게,41
5591,dit.,빚이있는 것,72
12138,christus,그리스도,27
13640,gescheitert,실패한,10
9327,dämmbt,더빙,40
2273,whistler,휘파람 부는 사람,91
6642,steinig,스토니,67
11542,marokko,모로코,32
4619,yr.,예멘 아랍 공화국,71
3855,pavlov,파블로프,83
4170,stulpe,긴 장갑,81
8931,kindheit,어린 시절,51
7216,pelzig,모피,63
4382,verwandtschaft,혈연,80
2624,fähnrich,소위,88
8946,geduldig,인내심있는,38
2872,elastizität,탄력,73
10844,verschmelzung,퓨전,37
10533,schnittstelle,상호 작용,38
11249,dublin.,더블린,34
3452,ungehorsam,불순종,83
4477,jahrbuch,연감,79
3462,aerosol,에어로졸,81
11742,kaiser,황제,29
7872,unendlich,무한히,26
7587,boo.,우우,49
10383,inoffiziell,비공식적이다,38
1453,trost,위안,95
9528,ness,네스 호,47
4819,kolben,피스톤,35
14082,san,산,10
10544,schleife,고리,33
14110,kam,왔다,10
8611,bohren,송곳,41
401,upscale.,고급 스러움,100
4447,schleichen,살금 살금 기다,67
12156,diskus,원반,27
2606,rab,라비,89
11855,vererben,ufer.,29
2959,hobbys,취미,57
13798,ist,~이다,5
1150,phenol,페놀,91
2531,sherry,셰리,90
649,halbfinalist,준결제의,99
2642,homöopathie,동종 요법,89
12707,stein,결석,18
2838,hoffnungslos,절망적 인,87
5189,flair,예민한 후각,76
3694,ridley.,릿리,85
9336,trümmer,부스러기,49
10477,ira.,이라,39
6484,installieren,설치하다,22
6189,heutzutage,요즘에는,69
12122,automatisch,자동적 인,5
12348,flyer,전단지,24
1848,abwesenheit,부재자,86
8614,samurai,사무라이,54
9880,orientierungshilfe,안내,44
2609,lis,리스,32
11918,dolch,단도,28
7721,apokalypse,묵시,60
4177,lucille,루 닐,82
10011,manny.,매니,42
9789,ethernet.,이더넷,45
12563,fest,빠듯한,23
1527,pygmäe,작은 것,89
6220,fausthandschuh,미트,68
4427,erzählen,다시 세다,62
1797,amnesie,기억력 상실,93
793,harr.,해어,97
14216,verwendet,용도,5
6882,windpocken,수두,65
12066,favorisieren,호의,20
4008,lulu,룰루,83
10446,schlachtfeld,싸움터,39
79,nighthawk,바람개비,93
420,keilschrift,설형 문자,100
8563,nielsen,니솔린,54
12277,jaga,자가,25
10429,einen fink,잉크,40
3874,abkürzung,지름길,76
992,glanz,광택,86
3320,sendungen,출하,65
8127,sänger,가수들,19
3432,infarkt,경색,85
5884,keil,쐐기,67
12756,handy  mobiltelefon,이동하는,15
8808,mazedonisch,마케도니아 어,46
8941,gabun,가봉,52
13703,schnell,빨리,12
9671,erfüllt,완성 된 것,36
10469,kanäle,채널,15
14397,feuer,불,10
13560,wissenschaft,과학,12
13386,brian,브라이언스,14
13705,andrew,앤드류,12
1946,ausströmend,짐을 싣는 것,70
8452,wärter,yourser.,55
7892,verbündete,동맹국,18
10372,hardware-,하드웨어,40
2885,mopper,모핑퍼,88
7991,transistor,트랜지스터,56
9857,hochland,고지,31
11575,organisation,조직,20
13778,wales,웨일즈,11
7638,aeromedizinisch,호미니다,61
7773,cockpit,조종석,58
4162,strafbar.,징벌 적이다,82
117,fluke,흡충,98
10517,literarisch,문호,39
14472,james,제임스,9
6764,flosse,지느러미,60
12890,etikette,상표,14
13574,olympisch,올림피아 경기,10
3785,midshipmen,중반 백멘,84
10731,traurig,슬퍼,29
4450,portage,운반,80
3478,begleiter,동반자,52
12538,verbraucht,보냈다,23
1145,mikrobiologie,미생물학,93
14282,serie,시리즈,7
7349,zuweisung,배당,26
12023,rennwagen,경마장,27
3149,küster,육안,88
10293,sake,때문,40
8579,darm,덕분,54
3081,subtrahieren,덜다,61
2439,impuls,충동,80
2098,schwarzes wasser,블랙 워터,92
2621,pfadfinder,패스 파인더,84
3731,cro.,크로,85
12290,nicht wie,같지 않은,19
13561,jones,존스,13
4933,grill,그릴,61
8818,schlagzeuger,고수,50
9287,kay.,케이,49
3758,perseus,페르세우스,84
8761,silizium,규소,51
8981,ludwig.,루더비그,51
11680,salem.,살렘,30
5544,eisig,싸늘한,74
10555,preußisch,프러시아 사람,38
6864,sich bemühen,애쓰다,54
4053,bildlich,화보,81
11425,canberra,캔버라,33
1824,kater,숙취,92
9865,prinzipien,원칙,27
2048,unterüberschrift,소제목,69
13084,singapur,싱가포르,18
708,dun,암갈색,79
4451,mangrove,맹그로브,80
5710,entführt,납치 된 것,49
11262,xi,서기,34
4018,calais,칼레,83
8505,romney,롬니,55
5928,bologna,볼로냐,71
583,gyroskop,자이로 스코프,96
551,herumtreiber,표류자,98
4476,pinyin,핀양,80
8884,effizienz,능률,34
1689,unwilligkeit,내키지 않아,94
13081,zeitschrift,잡지,17
2565,canopisch,캐피닉스,90
10240,franco.,프랑코,41
9556,nu.,누,42
11196,dreizehn,열셋,35
1709,tannin,타닌산,94
12050,bock,책임,25
10792,geliebte,인기 많은,38
12801,tief,깊은,20
12404,ross,로스,24
13742,junge,소년,10
13471,auf,...에,14
326,äneas,아에네아스,100
1701,blanca,블랑카,94
10018,buenos.,부에노스의,40
8597,schurke,도적,53
10728,vorhergesagt,예측 한 것,23
882,tera.,테라,97
10889,zählt,카운트,10
7882,potent,유력한,58
13668,trat ein,입력,10
2305,carboxylase,카르 복실 아제,91
14343,momentan,현재,7
1950,bingo,빙고,93
6482,offline,오프라인,68
1412,einstrichen,대시,46
4644,zurückgefordert,퇴치,61
12850,allen,알렌,20
11328,violett,보라색,34
7975,überzahnen,지나친,59
12849,wrem,...에 대한,20
3588,gradient,구배,78
4420,spitzer.,스피더,80
11848,die genehmigung,승인,18
12489,der mittwoch,수요일,23
6461,nichtkonstruktiv,부적절한 것,68
499,katakana.,카타카나,99
11218,neben,옆에있다,35
10684,christie,크리스티,36
10702,fass,통,35
13553,deutlich,굵게,12
2040,zug-,촉각,92
12575,heiligenschein,후광,23
11157,einkommen,소득,31
2283,slain,sla.,91
10929,liegeplatz,침대,34
5029,sporn,박차,33
9940,wesentlich,필수적인,43
10566,taipeh.,타이페이,39
2396,drohne,무인 비행기,83
12082,störung,무질서,26
1679,bergauf,고개 위로,94
12565,beweisen,입증하다,14
7973,suffolk,서퍽,59
2974,magnolie,목련,85
1377,parkland,파크 랜드,89
1694,slary.,슬래피,94
8373,bernstein,호박색,56
3714,grammophon,축음기,82
7125,jeanne.,망나네,63
4714,hanukka,하누카,79
5885,aussetzen,유예하다,22
10568,wiederholung,다시 하다,33
3317,apotheke,약국,83
1283,ertreiben,단조로운,95
8821,saloon,큰 홀,50
10152,tasche,포켓,38
2775,antike,antics.,87
9404,trumpf,지우다,46
12931,zimmer,방,18
8602,hundertjährig,센탄,52
13915,dein,당신의,5
932,schulranzen,학생 가방,97
3482,vergrößert,크게 하는,51
9763,ozon,오존,45
11666,diebstahl,훔침,30
6073,birke,자작 나무,70
7964,alarm,경보,47
3939,biosphäre,생물권,83
14321,sprache,언어,10
6676,maultier,노새,59
