ID,DEUTSCH,RUSSIAN,INTERVAL
2236,kongo.,конто,91
8502,gewahrsam,под стражей,55
3813,ment,мент,84
14043,ausgabe,проблема,8
12987,jean,джинс,18
12888,festival,фестиваль,18
7679,chromosom,хромосома,56
4126,rezept,рецепт блюда,71
4026,flugbahn,траектория,73
8825,tagebuch,дневник,47
8310,mesopotamien,мезопотамия,56
5690,vieh,скот,73
8635,kröte,жаба,53
10040,trend,тренд,34
2031,zoroastrianismus.,зороастризм,88
2080,knoblauch,чеснок,92
13505,schiedsverfahren,арбитраж,13
1086,yah,ях,96
3955,akkord,аккорд,71
9650,trivial,тривиальный,45
8834,grizzly,гризли,46
2132,aufenthaltsort,местонахождение,92
8130,judy,джуди,58
6405,cromwell,крема,69
13987,fall,случай,6
3153,bombenschütze,бомбардиера,86
12829,speck,бекон,20
5588,phasenlos,фаз,25
2647,theologe,богослов,86
12507,braunschweig,brunswick.,23
8427,vulkanisch,вулканический,55
2452,begabtes,одаренный,42
2773,rinnsal,прокалывать,84
11479,legislative,законодательный орган,29
12959,wert,стоимость,16
9329,bewohner,житель,48
536,abstinenz,воздержание,98
14109,john,джон,8
3244,schnappen,наберегание,85
13126,italienisch,итальянский,17
8521,versandt,отправлена,45
12220,niedergeschlagen,поселился,21
1463,tadellos,выговор,79
10614,staatenbund,конфедерация,22
3692,transkription,транскрипция,53
13864,über,над,7
5192,aldolase,альдолаза,76
9052,atheismus,атеизм,51
11551,anstoß,подать мяч,31
1820,sherpa,шерпа,88
4329,zäh,цепкий,77
12743,max,максимум,21
5716,enkel,внук,70
2326,karolen,карол,43
179,repatriierung,репатриация,82
6038,meeräsche,кефаль,67
11773,par,авария,30
9902,peloton,пелотон,45
11307,profil,профиль,30
9588,gleichfalls,так же,47
4967,terrapins,террапины,74
14410,aussehen,смотрящий,5
1055,entdecker,первоклассники,71
7890,hoy.,хомя,59
6990,mörser,минометры,38
9679,rüstung,броня,21
12606,beschuldigt,обвиняемый,15
8297,erbauer,строитель,50
306,detae,деа,100
11064,shawn,шон,37
5224,sattel,седло,70
6076,meditation,медитация,62
8168,erhitzt,нагретый,19
7225,theta,тета,63
13276,wetter,погода,15
3246,indigo,индиго,87
4484,grazien,грасиас,80
13708,trotz,несмотря,12
13069,grammatikalisch,грамматический,18
1472,lemmings,леммингс,81
313,charismatisch,харизматичный,100
9132,erosion,эрозия,51
8776,mumie,мумия,53
13588,johnson,джонсон,12
199,gertrude,гертруда,100
3774,legionen,легионы,38
2118,verzweifeln,отчаяние,88
3410,frisches wasser,пресноводный,86
14486,besonderheit,особенность,9
10272,shanghai,шанхай,42
14470,unten,ниже,8
9554,biologisch,биологический,25
13770,genügend,достаточно,12
10971,jackie,джеки,35
10253,logan,логан,42
14403,bald,скоро,9
12753,windows,окна,11
2752,blumen-,цветочный,89
6078,kalkulationstabelle,электронная таблица,69
5819,konservieren.,сохранение,28
5827,schluss,заключать,24
12852,wald,лес,19
11217,mainstream,основной поток,35
11741,amazonas,амазонка,30
5525,rückzug,отступление,32
4741,snicket,inket.,79
9544,sammy,сэмми,48
9390,evangelisch,протестант,13
8893,potomac,потомак,52
10023,ehemann,муж,43
5904,levitation,левитация,70
13198,akzeptabel,приемлемо,6
2961,vorfahr,предка,67
4780,reuben,переубен,79
12406,fett,толстый,24
8723,slayer,слабый,53
2305,carboxylase,карбоксилазу,91
11935,physik,физика,7
4087,mieter,арендаторы,61
8273,ureinwohner,абориген,45
13732,niedrig,низкий,12
7874,milliardäre,миллиардеры,57
2685,schöpflöffel,ковш,89
2174,anbindung,привязывать,69
10734,nixon,нисходящий,38
6404,ren,рент,69
8518,socken,носки,22
11625,apollo,аполлон,31
5052,abwertend,пайорес,75
11958,se.,свидетельствовать,28
8200,lite.,лишать,56
14198,entlang,вдоль,10
11518,newsletter,новостная рассылка,32
10341,telekommunikation,телекоммуникации,30
2405,pomeranian,поморский,89
3108,impala,импала,87
10672,aufrechterhaltung,поддержание,14
5355,phane,фанат,75
1570,transient,преходящий,92
10737,schmerzen,боль,30
8522,urteilen.,судить,19
3338,royalist,роялистический,80
10544,schleife,петля,34
10362,erhöht sich,увеличивается,12
12452,verbreitung,распространение,22
4958,fassade,фасад,75
7260,hoden,яичка,61
11767,schaden,вред,12
2039,banker,банкир,83
10291,fleming,флеминг,41
11085,castro,кастро,36
6168,makro,макрос,69
12077,dreißig,тридцать,27
7479,fötus,плод,62
6634,gewinnlos,несовместный,67
12813,ac.,action,21
10054,spaghetti,спагетти,43
11757,reform,реформа,20
4399,namenlos,безымянный,81
1285,induzieren,индуцировать,51
5843,schmirgel,эмери,72
14065,hart,жесткий,8
10384,zurückziehen,снять со счета,26
13572,struktur,структура,12
2170,konsul,консул,62
4978,wolfram,вольфрам,77
6604,tau,росы,67
12196,europäische sommerzeit,стандартное восточное время,26
14494,los,лос -,38
9123,dragone,драгун,40
7750,schleppen,вывоз,44
3980,angrenzend.,примыкающий,82
9452,souverän,суверент,47
13046,simpson,симпсон,18
4189,feium,флери,82
8199,tn,тн,57
4922,heben,хоув,78
11256,trick,обманывать,28
6550,meg,мэг,68
7683,patel.,патель,61
13449,ernsthaft,серьезно,14
9793,funke,искра,31
2487,körperlich,телесный,90
11398,lupine,люпин,33
2617,gelingt es,преуспевать,89
13676,entwurf,черновик,11
11035,fünfzig,пятьдесят,34
5988,verfault,сгнивший,71
11153,erkennung,признание,35
914,merton,мертон,97
10408,herr.,трюк,41
10827,siedlung,поселок,33
3849,camilla.,камилла,84
9730,ausbuchtung,выпуклость,46
5934,plausibel,правдоподобный,67
8803,pong.,понг,53
14030,ausführung,версия,8
10706,deck,палуба,38
1762,wechselnd,прерывистый,83
11962,evans,эванс,28
12665,gezeichnet,нарисованный,22
13417,erwähnt,упомянул,10
10952,bekanntmachung,объявление,12
2037,sau.,саума,92
10626,zitrone,лимон,38
1453,trost,утешение,95
13896,unter,под,7
2560,spielhaus,игра,90
3253,psilocin,псилоцин,87
11195,saturn,сатурн,35
8508,tidal,прилив,55
5316,rickey.,рикки,75
9030,kostbar,драгоценный,52
4827,lister,листерес,77
6594,ruß,сажа,67
6815,laute,люте,65
1924,aggregator,агрегатор,26
6539,vereinigung,объединение,67
6268,miauen,мэт,67
7109,charmant,очаровательный,43
3078,verflixt,штопать,85
5111,nam,дам,76
12848,syndrom,синдром,20
974,warlock,чернокнижник,96
13716,weniger,меньше,12
11833,konstellation,созвездие,29
7771,leuchtturm,маяк,58
8525,cheshire.,чеширский,55
402,mana,мана,97
3228,fahrlässigkeit,халатность,66
13989,programme,программы,11
1089,chimäre,химера,96
9626,prostitution,проституция,42
6576,emu,эму,65
8713,taiwanese,тайваньцы,54
9100,judo,дзюдо,51
384,puri.,пури,100
1526,fäkalien,фекал,95
14371,bedeutsam,значительный,10
14230,noch,еще,8
8038,phosphor,фосфор,58
14011,bieten,предоставлять,6
12676,gerichtsverhandlung,пробный,19
6661,hämophilie,гемофилия,67
10681,dreckig,грязный,38
10590,antille,антиллы,39
7377,methamphetamin.,метамфетамин,62
12797,pilot,пилота,16
14079,werden,становиться,8
10565,mustang,мустанг,36
14041,bereits,уже,8
13239,brasilien,бразилия,16
13219,douglas,дуглас,16
12065,spencer,спенсер,27
4857,skiff,скиф,74
5544,eisig,морозный,74
310,polymath,полимат,98
6425,nigerianisch,нигерийский,66
3795,airdrop,воздушный воздух,73
4336,allegorie,аллегория,80
10421,matrix,матрица,40
7814,ullt,ул,60
3000,merklich,заметно,88
3868,ungelöst,неразрешенный,84
5763,verschiebung,смещение,40
713,gesprung,возникла,98
5573,topologie,топология,63
1833,barbarisch,варварский,84
1564,speerman,спирман,95
10793,vorbereitend,подготовительный,38
3953,baskenmütze,берет,72
7305,nacktheit,наготавливаться,62
13596,tendenz,тенденция,12
7355,zerebral,церебрал,62
14485,art,добрый,13
4171,parma,парма,82
2570,lagerfeuer,костер,87
10329,durchsuche,просматривать,37
8203,grönland,гренландия,57
8946,geduldig,пациент,38
847,althea,алтея,98
1445,majestätisch,величественный,93
5148,hardtop,хардтоп,76
13937,sehr,очень,8
8043,marian,мариан,58
13078,flughafen,аэропорт,17
954,antease,антей,97
9963,hawaiisch,гавайский язык,43
8530,titan,титан,55
8775,vagina,влагалище,53
11166,eingereicht,отправлено,22
10902,boykott,бойкотировать,35
2247,wertigkeit,валентность,91
14431,modelle,модели,13
2978,siena,сиена,88
6867,verachtung,презрение,63
5568,meridiem,меридием,74
5303,wandern,викинг,75
1459,regatta,регата,93
5062,vesuv,везувиус,77
13057,inc.,представлять,18
6728,korinther.,коринфянам,62
7528,glossar,глоссарий,61
3076,luzid,ясный,86
2500,chaparral,чапаргал,88
11191,gewaltig,избирательный,31
4902,stoßstange,бампер,74
928,wismut,висмут,97
12565,beweisen,доказывать,14
12368,gewinnen,усиление,13
13285,siebte,седьмой,16
9799,prag,прага,45
3370,adenosin,аденозин,86
9294,überwachung,мониторинг,16
13633,gegenstand,иметь значение,12
1777,eifersucht,ревность,90
14170,erhalten,полученный,6
5327,not,горе,63
10855,glatt,гладкий,37
8760,anabolisch,анаболизм,53
11770,fidschi,фиджи,30
3966,kürbisse,тыквы,57
2563,eber,кабан,89
3177,husten,кашель,80
4326,daraufhin,вследствие этого,81
11840,anschlagtafel,рекламный щит,29
6007,longshore,договориться,71
3320,sendungen,поставки,65
13154,studenten,студенты,13
6764,flosse,плавник,60
6338,rpm,обороты,69
3495,hadith,хадит,86
2282,staffelung,ошеломляющий,76
10857,zusammengebrochen,рухнул,24
12153,erfüllen,удовлетворять,15
4886,semitismus,семитоизм,50
7975,überzahnen,преодолевать,59
4555,flav.,флава,80
12525,lawrence,лоуренс,23
14493,scheint,кажется,9
10484,shea,шикарно,40
13125,kunstwerk,произведение искусства,17
4323,absinth,абсент,81
10360,vampir,вагон,38
7862,nicht mögen,не нравится,52
1307,polonium,полоний,96
5436,andromeda.,андромеда,75
7293,verletzbar,неразрешимый,62
3748,rutschig,скользкий,84
4386,beleuchtet,освещенный,60
9272,albion,альбион,50
10979,notation,нотация,34
12090,führung,лидерство,27
6879,mauretanien,мавритания,65
8862,laos,лаос,49
6509,unbesetzt,свободный,66
5694,geschwenkt,окунуться,73
5205,medley.,мерли,72
8049,aufbringen,собираться,24
602,rau,радужный,99
6316,haydn.,хэйдн,69
8627,twist,крутить,40
8705,tugend,добродетель,49
8941,gabun,габон,52
14206,fragte,спросил,5
9885,gesang,вокал,35
13174,manchmal,иногда,16
5562,mittlererwesten.,средний запас,74
12390,nova,новая звезда,25
1226,kabarett,кабаре,96
5091,tropen,тропики,8
2548,kodein,кодеин,90
3879,draufgänger,смельчак,80
10625,nr,норм,39
12638,intensität,интенсивность,17
4908,ungeplante,незапланировано,78
2363,eland,элада,91
10759,kathedrale,собор,38
8551,plasma,плазма,55
10495,atmosphäre,атмосфера,31
13827,würde,бы,5
3712,skuba,подкубант,85
1638,ruder,руль,92
6630,wassermelone,арбуз,65
13595,hilfe,содействие,10
7548,hannover,ганновер,62
11137,villa,вилла,36
6852,demobilisierung,демобилизация,53
6895,handschuhe,перчатки,43
9271,helm,шлем,43
9137,sic,сик,51
9822,uranus,уран,45
1339,unerhört,неслыханный,96
9062,flasche,бутылка,40
12494,dj.,диджея,24
8277,dental,стоматологический,57
2232,festgezogen,затянутый,75
909,otter,оттес,43
1892,unglück,бедствие,88
4314,malayalam,малаялам,81
9143,waf,вариант,51
6843,reisepass,заграничный пасспорт,60
12455,techniker,инженер,7
7218,faust,кулак,53
2459,zigaretten,сигареты,49
7607,galilei,галилей,61
7612,gräber,моровер,61
2584,umarmung,обнимать,61
2822,pest,вредный,86
8586,zerrissen,разорванный,55
11110,backup,резервный,35
12433,türkisch,турецкий,24
7429,stereln,стерит,62
12922,nachweisen,доказательство,18
3131,gähnen,зевать,84
7500,gelbsteuer,йеллоустон,62
1589,vokal,гласная буква,74
2075,brantf,казарка,92
11065,pluto,плутон,37
11937,longhorns.,лонгхорн,26
2027,untergräbt,подрывает,51
8608,shia.,шиа,54
10986,hybride,гибридный,36
8899,unterrichtet,учил,52
3929,parasangs,паразангс,82
4036,linsen,линзы,82
7840,monoxide,монооксид,60
13485,abstimmung,голосование,10
9303,lenin,ленин,48
14203,wird bearbeitet,обработка,10
6228,roller,палата,70
9905,aggressiv,агрессивный,34
13439,soldaten,солдаты,12
6100,laube,arbor.,70
2198,spendensammlung,сбор средств,91
4295,pastor,пастор,66
12097,argumente,аргументы,17
9695,adobe,амантик,46
4637,dystrophie,дистрофия,79
8697,bullshit.,бред сивой кобылы,53
3332,flatworm.,плоскость,87
2799,stentor,стентор,89
8223,suffix,суффикс,53
4921,am wärmsten,теплый,78
12729,fahrer,всадник,16
13878,also,так,6
9099,platzierung,размещение,49
8805,symphonie,симфония,52
6503,piss,моча,47
2891,überschwemmt,затопленный,76
5574,kai,пристань,72
9031,chlorid,хлористый,51
2791,spielbar,воспроизводимый,89
11612,blair,блеск,31
6237,respektvoll,с уважением,11
11579,schall-,соника,31
12115,kulturell,культурность,12
10556,eingeschränkt,ограниченный,17
65,rückschläge,неудача,73
13514,meilen,мили,12
588,horde,орда,86
13263,keiner,никто,16
10513,gerüchte,слухи,35
8574,feuerzeug,легче,53
3755,algorithmen,алгоритмы,44
13156,präsidentiell,президентский,17
5853,griff,грааль,72
8756,trompete,труба,50
6010,diakon,деакон,41
7066,bethlehem,вифлеем,64
3696,prog,прог,83
13195,masse,масса,15
4400,freier port,свободный порт,81
11231,patrouillieren,патруль,25
942,entrückung,восхищение,92
7052,pisa.,пиза,64
8951,heiser,хаски,32
1999,toxikologie,токсикология,90
14254,betriebssystem,операционные системы,27
11424,kaktus,кактус,33
10709,mathematisch,математический,21
1327,analphabet,неграмотный,93
7443,traktieren,трактат,60
10275,otto,отто,42
5116,keim,комп,76
2517,southland,саутланда,90
6840,schwergewicht,тяжелый вес,64
11761,sportlich,спортивное,13
13157,gif,дар,17
12104,arabien,аравия,27
12339,n / a,нос,25
2392,agnostizismus,агностицизм,91
13765,georgia,грузия,12
1860,muser,мушественность,73
9093,absolvent,выпускной,35
2732,troposphärikum,тропосфер,76
4675,ib,ірс,79
12647,bedrohungen,угроза,13
9204,göttlich,божественный,47
7004,baseballstadion,балчан,55
9141,bucher,блантер,51
11313,adolf,адольф,34
11943,dauerhaft,постоянный,22
8381,lebenszeit,продолжительность жизни,56
11371,angemeldet,зачислен,29
13044,bedeutung,значимость,10
11999,ehe,брак,27
13107,theater,драма,17
10103,gewinde,нить,38
238,nickerchen,ворсин,80
8933,teamkollegen,товарищ по команде,29
14328,led,вел,10
5337,nadel,иголка,69
9611,reproduziert,воспроизведенный,38
2394,filmographie,фильмография,88
7873,täter,преступники,45
3653,ordentlich,упорядоченный,85
2951,hydrolase,гидролазу,88
11493,venus,венера,18
6061,verlängert,продлен,63
2222,zimt,корица,91
5357,arkadien,arcadia.,75
9377,zeder,cedar.,46
2241,tripper,гонорея,91
5307,philippo,филиппо,75
13297,golden,золотистый,16
11290,jacksonville,джексонвилл,34
6917,vingelt,вин,65
5128,herzogtum,герметичность,73
5768,unterabschnitte,подразделы,46
11919,ast.,аст,29
4744,nietzsche,ницше.,79
5250,carboxylat,карбоксилат,60
10377,partner,партнер,32
1786,dalmatiner,далматин,73
3380,wissentlich,сознательно,86
11506,durchmesser,диаметр,32
12286,neueste,самый последний,26
543,harman,гарман,99
5764,nixe,никше.,72
7812,smithers,смитерс,60
12320,gloria,глория,25
9658,lancaster,ланкастер,47
13114,treiber,водитель,12
5077,vt,вт,76
6696,nicht unterstützt,не поддерживается,65
7164,wieder aufbauen,реконструировать,48
7661,ling,линг,61
2953,geschnitten,нарезанный,55
9941,blies,взорвали,44
12570,lakers,лейкерс,22
3855,pavlov,павлов,84
10828,koka,кока,38
9993,überall  überallhin  allerorts,где угодно,44
9281,beziehungen,отношения,26
5273,theological.,теологический,53
8644,geographische,географический,33
491,erneuerung,обновление,33
12947,ich würde,я бы,19
9434,hündchen,щенок,45
5805,abgelenkt,отвлеченный,59
12572,rom,рим,23
4718,feuchtigkeit,влага,79
1297,öffnung,апертура,95
8688,pfeffer,перцы,31
6429,untergebracht,размещать,10
10712,carnegie.,карнеги,38
1381,lymphatisch,лимфатический,96
4368,ehrlichkeit,честность,81
9493,molekül,молекула,43
7207,lepage,лепаж,63
8807,wahrnehmung,восприятие,47
6713,unzufrieden,несчастный,64
14259,verwaltung,администрация,6
14253,texas,техас,10
8070,endlos,бесконечный,58
1716,rougeau,ругос,94
5360,skorbut,циркуль,75
11834,unzureichend,неадекватный,28
9074,verstreut,разбросанный,45
13422,joseph,джозеф,14
12135,af.,аф.,27
4646,verweisung,направления,75
10997,werben,вурена,37
3288,bergung,спасение,64
9478,faschismus,фашизм,48
8387,flandern,фландрии,56
9561,curry,карри,43
3578,theoretiker,теоретик,57
13026,ungenauigkeiten,неточности,18
7239,konfuzianismus,конфуцианство,62
1665,goa.,гоа,94
9991,folglich,как следствие,22
1506,ägide,aegis.,95
10835,mb.,мб,38
9713,gotisch,готика,46
5697,methan,метан,73
11207,joan,джоан,35
11196,dreizehn,тринадцать,35
625,gesetzgeber,законодатели,94
8666,plateau,плато,53
7013,pudding,пудинг,61
12685,in der luft,в воздухе,22
1822,stile,стабильство,91
5739,meteoroid,метеороид,72
10239,lunge,легкое,39
1755,surreal,сюрреалистики,64
11887,virus,вирус,29
11332,pack,пакет,26
7211,reisen,странствия,17
10131,kurve,сгибать,39
14445,tests,тесты,5
14263,t,т,5
11936,gehirn,мозг,27
4285,cynthia.,синтия,81
4925,wombat,вомбат,74
3299,kyrillisch,кириллица,87
11341,champion,шамп,31
12363,korrekt,правильно,25
11309,pinguin,пингвинь,24
3898,assam,ассам,84
13277,kreuzen,пересекать,12
12516,zivilisten,мирное население,17
12184,lizenziert,нелицензированный,26
11678,bermuda,бермудские острова,31
7594,großvater,дед,60
1292,tolstoy.,толстой,96
448,rettungsboot,спасательная шлюпка,96
7296,balkan,балканы,53
11042,marlin,марлин,29
3778,elektromagnetismus,электромагнетизм,46
2790,schweinehirt,пигман,89
3581,wochentage,будние дни,64
2142,vakuole,вакуол,92
10220,sünde,греха,36
5233,hauptbuch,руководитель,76
9470,isoliert,изолированный,40
7889,sich verhalten,вести себя,41
1904,filmemachen,кинопроизводство,72
13144,alexander,александр,17
5995,pistazie,фисташка,71
1810,langjährig,давний,94
4679,eq.,уравнение,79
10887,friedrich,фредерик,38
1531,bourgeoisie,буржуазия,95
4817,portman,портман,78
6149,auferstanden,поднял,70
5333,gladstone,гладстон,75
1094,butanol,бутанол,96
9156,aberdeen,абердин,51
13227,produktion,производство,8
1070,skye,скайс,96
11872,freiwillige,добровольцы,16
12608,wüste,пустыня,21
7830,achilles,ахиллес,60
4093,holländer,голландец,83
8293,begeisterung,энтузиазм,56
13265,sinn,смысл,15
9474,somali,сомалийский,48
11712,emily,эмили,31
5804,geburtsort,место рождения,72
12150,treulos,неверный,27
12387,ep,эп,25
10154,monatlich,ежемесячно,43
7885,gebogen,изогнутый,37
4140,beduine,бедуин,76
10842,evakuierung,эвакуация,24
11451,zwilling,близнец,21
3571,vivian,вивиан,85
1222,toastmaster.,тамада,94
12142,flucht,побег,21
1677,rektor,ректор,94
4437,färber,деформация,79
9675,schlank,стройный,46
3872,gleichnamig,эпоним,83
12722,mutter,мама,21
4194,khartoum,хартум,82
6631,mastodon,мастодон,67
5720,modi,моды,34
5817,hydroxylase,гидроксилаза,72
12089,kompromiss,компромисс,19
9734,benny.,бенни,45
9944,roland.,роланд,44
14229,std.,часы,9
836,rapido.,raphoto.,98
14164,macht,производит,5
4898,bren,решающее значение,78
12231,romane,романы,13
5367,gamecocks,геймекока,72
1289,orthodoxie,православие,95
3446,bora,бора,81
3187,kontinuum,континуум,87
13582,geschichte,история,12
10945,affe,преодолевание,36
11268,transit,транзит,21
516,guernsey,гернси,99
5066,leyland,лейланд,77
8498,inspiration,вдохновение,28
12619,khan,хан,22
1155,gangrän,гангрена,96
1140,köder,приманка,71
1011,abgeschnitten,отрезать,96
3720,subbeachin.,солдачи,85
10909,rochester,рочестер,38
9282,versicherte,уверенно,27
813,tabby,табби,98
1313,schamane,шаман,82
12657,indianapolis,индианаполис,22
8410,wachs,воск,52
10851,lo.,воплощение,38
7178,dl,дл,63
3423,palindromic.,палиндром,73
14462,produzieren,производить,7
1173,nitroglycerin.,нитроглицерин,79
6541,nazareth,назарета,68
6705,ein land,земля,66
5438,tonkin,тонкин,75
9520,suche,квест,46
11747,zwanzigeth.,двадцатый,30
5554,rotary,ротари,73
6039,flinders,флиндры,70
1026,rüben,свекла,94
11255,chemie,химия,35
5334,propan,пропан,75
3298,yay,ура,87
12806,dänemark,дания,21
257,kohäsiv,сплоченный,56
7796,ironie,ирония,60
6216,beatrice,беатрис,70
12517,abgefeuert,уволенный,10
5095,zugute,уступать,39
5870,silberrücken,серебристый,72
11244,kardinal,кардинал,15
9684,klammern.,круглые скобки,46
11187,paraguay,парагвай,35
14256,anrufe,вызовы,8
13272,dr,доктор,16
3421,kovalent,ковалентный,86
5053,baskisch,баскский,74
10868,newport,ньюпорт,38
8673,estnisch,эстонский,51
8133,pegasus,пегас,58
8479,salat,салат,55
2173,dehydratase,дегидратаза,91
11128,verteilt,распределен,20
48,matti,матти,100
461,versöhnen,примириться,84
11333,knochen,кость,28
6726,beschworen,вызванный,53
13407,bestanden,прошедший,8
7554,gemüse,овощ,49
6213,legierung,сплав,63
2094,glycerin,глицерин,92
2219,unberechenbar,непредсказуемо,88
3507,pjöngjang,пхеньян,86
11723,wal,кит,26
2549,überwachten,занимать,90
2611,chiffre,шифр,87
9161,pennen,кип,50
11199,ausweichen,уклоняться,34
8945,trolle,тролли,27
2658,volksabstimmung,плебисцит,89
8537,walfänger,киточ,55
6959,lackierung,ливрея,63
8484,fechter,декстер,54
14071,rechts,верно,7
2259,glasfaser,стекловоломок,91
8797,simplex,симплекс,53
7294,dvorak.,дворак,62
4142,dunkler,темнее,82
5963,anpassen,регулировать,38
1799,schmiermittel,смазка,81
11176,autoren,авторы,9
9315,kopatisch,копа,49
11484,geschwebt,охваченный,33
13927,woche,неделя,9
11442,identisch,идентичный,21
4085,sausen,вики,83
13682,carolina,каролина,12
14224,bilden,форма,8
12579,fiktion,вымысел,18
8213,illusion,иллюзия,55
3113,schwimmer,пловец,73
1293,alhambra,альгамбра,96
9796,malaysisch,малазийский,44
6474,nachbeben,афтершоки,55
12027,dampf,пар,27
4743,wiedereindringen,перефразировать,60
6307,ezra,эзра,69
10741,versammelten,собранный,24
451,krozier,крозик,100
13998,service,услуга,7
7283,karambolage,карамболь,62
434,anschluss.,аншлусс,100
137,porös,пористый,100
9059,wählen,выбирая,7
7916,eddy.,эдди,58
11024,küsten,прибрежный,37
5151,sportler,спортсмен,76
14451,verluste,убытки,10
7336,anarchie,анархия,62
4820,vorgänger,предшественники,45
10241,barbier,парикмахера,42
12140,bier,пиво,27
4403,regent,регент,35
8732,yoga,йога,53
13304,fans,поклонники,11
1215,brecht,замкнул,96
11474,trinken,напиток,25
11713,jake.,джейк,30
14496,inflation,инфляция,44
14339,berücksichtigt,обдуманный,5
5918,ohne titel,без названия,71
10777,fantastisch,классно,38
4480,ausgeglichen,выровнять,73
7399,erschöpft,измученный,41
10214,finnisch,финский,42
7136,ergeben,уступил,38
10394,dd.,дд,41
9003,bravo,браво,52
2476,landauer,ландо,90
8738,kommodore,коммодоре,43
4835,steinbock,козерог,78
1996,baun,баун,93
3897,babylonien,вавилония,84
3892,wiltshire.,уилтшир,84
9735,olne,оф,46
5869,basilikum,бэзил,72
6908,majestät,величество,64
13441,karte,карта,12
10751,fraser,фразер,38
13208,strahl,рентген,16
11223,somalia,сомали,35
13139,morgen,утро,17
12812,berühren,трогать,17
6955,dieb,вор,65
13062,mädchen,девушки,13
12151,inländisch,одомашненный,26
5903,avian,птичник,71
3569,personifikation,персонификация,85
348,abgewandt,деваль,96
1793,zellulose,целлюлоза,88
3459,saftig,сочный,86
5366,aufgeschlossen,исходящий,75
14186,genommen,взятый,8
10591,alligator,гатор,39
13483,kalender,календарь,14
822,unüberwindlich,непреодолимый,98
7272,weinen,плач,32
13016,erkrankung,болезнь,18
1744,kalam.,калама,94
5347,erotisch,эротический,75
11380,vertikal,вертикальный,30
9369,thermal-,термический,48
3328,alumnus,выпускник,87
11471,verkaufen,продавать,21
11285,regime,режим,33
12679,voreingenommen,пристрастный,21
6009,gutes jahr,хороший год,71
4793,symmetrie,симметрия,76
11692,erdbeben,землетрясения,12
460,süchtig machend,привыкание,23
8517,iris,радужная оболочка,55
13292,jordanien,иордания,16
14502,erwartet,надеется,11
13462,lincoln.,линкольн,14
7398,apostel,апостол,49
11488,ea,советник,33
12058,trivia,мероприятия,27
14441,liefern,поставлять,18
10075,indonesisch,индонезийский,42
5274,evangelion,евангелион,75
684,schiedsrichter,решается,22
1967,tagesmutter,няни,93
7308,schweinefleisch,свинина,62
5032,singleton,синглтон,76
5264,gentleman,джентльмен,75
7552,membran,мембрана,60
4576,schmuggel,контрабанда,72
7070,abgewischt,вытереть,51
16,manisch,маниал,99
7773,cockpit,кабина,58
