ID,DEUTSCH,PORTUGAIS,INTERVAL
10886,ablösung,destacamento,33
13179,vergehen,ofensa,12
3224,entmilitarisiert,desmilitarizado,86
3827,hymne,hino,79
4823,met,hidromel,76
12225,anschließend,subseqüentemente,22
6681,narren,tolos,39
7646,od.,odio,64
3771,küstenlinie,linha costeira,85
8307,regenschirm,guarda-chuva,60
2570,lagerfeuer,fogueira,89
13940,einschließlich,incluindo,7
12872,verlieren,perder,15
10126,ergriffen,apreendido,38
8520,gestellt,posado,42
3201,hege,hine,89
8139,schleudern,skid.,59
3128,mh.,máscara,89
11175,mob,multidão,37
3330,klapperschlange,cascavel,88
2791,spielbar,jogável,91
14060,sechs,seis,12
602,rau,raucoso,99
8574,feuerzeug,mais leve,58
8666,plateau,platô,57
14268,nachfrage,demanda,24
8557,kappe,connição,59
13449,ernsthaft,a sério,17
10204,handhabung,manuseio,26
11861,tiefe,profundidade,33
1730,wiederholen,refeito,95
8655,pakt,pacto,58
160,schmutzig,imundo,100
14375,fähigkeit,habilidade,26
12879,irakisch,iraquiano,23
2469,großgeschrieben,capitalizado,73
1561,einsiedelei,eremitério,96
1463,tadellos,repreendido,82
12059,markierungen,marcas,8
5712,verschmutzte,sujar,38
4906,german.,gere.,81
1601,drehbank,torno,95
12268,muslim,muçulmano,24
479,getrunken,bebido,99
8159,reeder,reedy.,62
6633,neuausrichtung,realinhamento,60
4363,geehrt,honrado,17
13316,heilige,santo,16
8012,songwriter,compositor,52
4603,euphrat,eufrates,82
14117,reichweite,faixa,12
5100,artikuliert,articulado,68
3039,mauerwerk,alvenaria,90
13019,erklärt,declarado,16
135,vanillepudding.,quindim,100
14326,offizier,policial,12
13937,sehr,muito,9
6565,smiley,risonho,71
8166,kabeljau,bacalhau,62
10671,blutig,sangrento,43
11500,normannisch,normando,36
1942,lazarus,lázaro,94
4292,stechen,facada,64
13481,kühl,frio,16
2441,antigone,antígio,92
10402,floh,fugir,45
1344,gittergewebe,malha,93
4179,rollen,carretel,55
7753,witzig,wight.,63
1494,sich verwickeln,confundir,96
10917,lieferung,entrega,38
6143,assyrisch,assírio,69
7715,dynamik,dinâmica,28
6630,wassermelone,melancia,69
952,bö,squall.,91
2249,pok,poz.,93
448,rettungsboot,bote salva vidas,97
4253,ockig,ock.,84
8716,haftungsausschluss,aviso legal,23
4435,krankenschwestern,enfermeiros,42
6003,weide,salgueiro,71
3851,verkreuzung,frustrado,74
4141,ultraschall,ultra-som,84
12950,freitag,sexta-feira,23
14401,spezifisch,específico,9
4104,erajac.,eniac.,85
11261,kalkisch,cal,38
8687,grimmig,sinistro,58
9259,miserabel,vagabundo,53
9911,nicht förderfähig,inelegível,49
6444,hausmeister,zelador,71
2034,kathode,cátodo,91
3847,zurück berühren,touchback,87
6606,schick,extravagante,64
12654,würde nicht,não seria,26
4747,quetschen,espremer,67
6213,legierung,liga,67
11121,estland,estônia,40
11994,erweitert,expandido,19
14448,wurde,tornou-se,12
12843,pfanne,frigideira,24
12754,prozentsatz,percentagem,25
12503,held,herói,23
3150,herunterfahren,desligar,88
5575,absorption,absorção,76
12819,davon ausgehen,presumir,17
13666,königreich,reino,14
13305,absatz,parágrafo,17
854,einlöcher,soler.,99
14313,vorherige,anterior,12
1403,manipulationen,manipulações,43
7436,sheriff,xerife,64
14095,durchschnitt,média,12
4753,homophobisch,homofóbico,81
6826,begnadigung,perdão,65
10606,geplänkel,brincadeira,44
5454,teenager,adolescente,37
4913,sophokles,sófocles,81
1501,aktuar,atuário,90
12774,süd-ost,sudeste,25
5767,leuchtfeuer,baliza,74
7219,bahnen,lanes,30
7875,reinigung,limpeza,60
12990,tanzen,dança,19
13774,spät,atrasado,13
13678,etabliert,estabelecido,12
8768,speisekarte,cardápio,56
13387,kavallerie,cavalaria,18
9426,sachverstand,perícia,53
12886,auswirkungen,efeitos,12
10015,verwaltungsratoren,diretores,21
2335,förderlich,conducente,93
13915,dein,seu,5
3806,ferrer,furador,87
6770,mangel,falta,57
9534,reifen,pneu,38
3648,nessel,nettles.,83
994,slawen,eslavos,91
9262,ringer,wrestler.,47
7867,löhne,remunerações,34
1437,stillen,staunch,95
4856,raffinerie,refinaria,65
2817,euphorie,euforia,90
2315,balkon,sacada,85
3328,alumnus,ex-aluno,88
13893,sollen,deve,5
4388,schaum,espuma,80
7120,trebuchet,catapulta,68
538,steuerpflichtig,tributável,99
5076,piste,pedaço,58
11549,dämon,demônio,33
13999,linie,linha,10
10642,probe,amostra,33
5727,kokos,cocos.,57
5296,wurf,ninhada,67
12137,einheitlich,unificado,31
876,keime,germes,80
4820,vorgänger,predecessores,49
11087,zensiert,censurado,30
8923,popcorn,pipoca,57
12022,bestritten,negado,26
4879,söldner,mercenário,63
3859,überlebt,sobrevive,27
2104,symphonisch,sinfônico,94
932,schulranzen,satchel.,98
2595,erleuchten,iluminar,51
9916,bestimmungen,disposições,41
9532,wieder aufgebaut,reconstruído,52
5857,geldbeutel,bolsa,67
2445,scrollen,rolagem,45
638,nummern,numbat.,99
7452,milchig,leitoso,65
6717,renommiert,aclamado,58
13599,ist zurückgekommen,retornou,11
5370,flüchtig,volátil,71
4653,standpunkt,ponto de vista,81
3907,überaus,extremamente,86
3545,bae,querido,88
868,ombudsmann,provedor de justiça,98
8924,rogen,roe.,55
3368,reproduzieren,replicação,66
530,stör,esturjão,99
1273,edelstein,gemstone,90
3868,ungelöst,não resolvido,86
11429,eröffnen,inaugural,34
10049,phänomen,fenômeno,48
7305,nacktheit,nudez,66
9392,luft- und raumfahrt,aeroespacial,53
6206,überschütten,ofuscado,69
1841,insassen,presos,91
9144,platten,pratos,24
7394,hummer,lagosta,65
3352,dauerwelle,perm.,88
8631,lamm,cordeiro,55
12597,krankenhaus,hospital,24
1254,schamlos,desavergonhado,97
14182,banken,bancos,17
6102,muschel,clamo,74
5064,sektierer,sectário,78
12805,fliegen,mosca,15
1383,anorganisch,inorgânico,97
13546,küste,costa,16
14409,mitglied,membro,10
3451,kleeblatt,trevo,69
7631,bucht,enseada,64
74,eklipsen,eclipsing.,43
12762,adler,águia,17
10717,butter,manteiga,42
14018,aktuell,atual,8
1235,bzw.,bm.,97
6257,gepäck,bagagem,73
7903,kasse,confira,62
303,spross,scion,97
2158,vorbehalt,cláusula,93
13554,hochgeschätzt,estimado,11
14087,gesamt,total,7
14119,nahm,pegou,10
10669,redaktionell,editorial,38
11427,schwester,irmã,32
10422,lügnerisch,mentindo,24
8941,gabun,gabão,56
388,wachtel,codorna,99
8604,klug,esperto,58
3599,verankert,entrincheirado,80
14450,schlag,bater,9
10020,kaschmir,caxemira.,48
8333,kollektor,colecionador,54
11982,fummeln,fumble.,25
7437,slowakisch,eslovaco,63
9320,freude,alegria,52
8541,kreise,círculos,31
2932,nach außen,para fora,86
13120,tatsächlich,real,12
12745,foto,fotografia,13
4043,einfachheit,simplicidade,84
9949,umgeben,cercado,28
13651,bewachen,guarda,13
4519,überlauf,invadir,75
9602,sechzig,sessenta,47
10872,sich verengen,estreito,37
6935,philosophisch,filosófico,42
10203,atom,átomo,30
4999,bruch,ruptura,68
6439,pauschal,pancada,58
9784,nichtigkeit,vaidade,50
4313,hausierer,vendedor ambulante,83
14122,inklusive,inclui,7
9730,ausbuchtung,protuberância,50
7348,fassen,aperto,61
10628,lehren,ensino,33
3186,beredsamkeit,eloquência,81
14318,stets,sempre,11
9241,keine männer,nomen.,54
1432,naviglust,nav.,96
3293,stammesmen,tribesmen.,88
3873,fußgänger,pedestre,79
8743,zart,macio,52
9537,abendessen,jantar,51
64,betrübt,entristecido,95
13777,spanien,espanha,13
5114,abakus,ábaco,80
13421,absichtlich,deliberadamente,8
10234,ausdrücklich,explicitamente,46
13993,fünf,cinco,10
3930,costligste,costular,86
14378,einheiten,unidades,7
7280,anwenden,dev.,66
9622,verbindung,conjunção,48
11916,belegt,ocupado,29
14063,abteilung,departamento,10
280,drehgestell,bogie,93
6727,basteln,funileiro,68
5403,wildfire,incêndios,66
6056,gewehrfeuer,gunfire,75
6992,lee-,sotavento,64
2311,stören,perturbar,25
1672,zypriotisch,cipriota.,91
9000,blackout,queda de energia,53
1523,flachland,planície,78
1968,fadel,faddle.,94
2864,östrogen,estrogênio.,88
12492,seele,alma,27
14210,bietet an,ofertas,18
3605,armaturenbrett,painel de controle,86
10521,armut,pobreza,44
12008,lager,consequência,14
1528,blase,bexiga,96
11736,perry,perada,35
8999,kran,guindaste,54
10446,schlachtfeld,campo de batalha,44
9236,schande,vergonha,50
2219,unberechenbar,imprevisível,90
7771,leuchtturm,farol,62
8617,mufti,à paisana,58
8576,dankbar,grato,53
13681,geschickt,enviei,14
4954,blinddarm,apêndice,80
13158,kolumbien,colômbia,20
13435,voaus,à frente,17
1046,mieder,corpete,88
3083,geschwür,úlcera,87
5548,lysergisch,lisérgico,77
12010,marmelade,geléia,30
8464,rollstuhl,cadeira de rodas,59
12988,checkliste,lista de controle,22
12854,belgien,bélgica,24
6819,koppel,pomar  pasto,70
240,spucken.,cuspindo,30
6332,sterisch,stm.,73
3333,schlagbaum,turnpike.,85
14443,erstellt,criada,6
12644,ärger,dificuldade,24
4120,kass,cass.,84
11892,konventionen,convenções,16
4563,mäher,cortador,78
12820,verdienst,mérito,23
11123,soundtrack,trilha sonora,38
10424,bedrohlich,ameaçador,28
102,printmaking,impressão de impressão,100
13010,erwischt,apanhado,22
9660,kalzium,cálcio,51
10286,hubschrauber,helicópteros,29
6801,kaukau,mastigação,43
8098,abholen,escolher,61
3882,murmeltier,groundhog,86
9550,antarktis,antártica,52
4436,gallone,galão,66
7545,wassermann,aquário,65
5757,verschraubung,aparafusar,42
13979,gefunden,encontrado,6
9704,kapitol,capitólio,50
9116,hoppla,oops.,55
12715,fuß,pés,26
690,nachsicht,retrospectiva,99
11434,methyl,metilo,37
7493,dusche,chuveiro,51
7838,gewohnheit,hábito,50
2198,spendensammlung,arrecadação,93
5310,jamaikanisch,jamaicano,77
11231,patrouillieren,patrulha,30
4545,eisberg,iceberg.,82
5044,groupthink.,retrocesso,80
11946,ausgedrückt,expressa,18
6230,freigesprochen,absolvido,73
13006,drew,atraiu,22
6825,zwanziger jahre,twenties.,16
3275,kavendel,cavendish,88
13814,wille,vai,5
12363,korrekt,corretamente,29
12341,erinnerung,memória,16
3345,heuchelei,hipocrisia,88
9052,atheismus,ateísmo,56
7269,koffein,cafeína,66
5677,unbestätigt,não confirmado,77
1021,boykottieren.,boicotar,67
11829,ion,íon,34
4244,arbeitsplatz,ambiente de trabalho,84
13970,tat,fez,5
6564,dicht,denso,63
7586,himbeere,framboesa,64
9166,diskriminierung,discriminação,50
5273,theological.,teológico,57
13300,erzogen,criado,16
8276,pike,pique,55
2843,ezb,bce.,90
9679,rüstung,armaduras,25
8852,affen,macacos.,27
5970,verbieten,bandido,56
411,cyanurisch,cianúrico.,99
8326,giftig,tóxico,50
6595,sauber,arrumado,70
5598,gewaltsam,forçosamente,71
13520,zahlreiche,numerosos,14
9615,zusammenfassen,resumir,41
8944,überwältigend,muito pesado,40
9282,versicherte,assured,31
6446,angewiesen,dependente de confiança,72
2956,parole,liberdade condicional,84
13355,fast,por pouco,18
12001,bezahlt,pago,32
9017,nagel,unha,34
3805,zähmen,domar,73
5675,haftung,responsabilidade,75
2623,gefolge,comitiva,91
13215,folge,episódio,14
14258,glauben,acreditar,5
11052,sklave,escravo,34
5616,gelehrt,lew.,77
4867,verteidiger,defensor,81
3626,leno,lêno.,87
306,detae,doe.,100
10928,verhandlungen,negociações,30
8186,smaragd,esmeralda,60
6678,kalkstein,calcário,71
13142,dunkel,sombrio,19
11709,räumliche nähe,proximidade,35
12069,hammer,martelo,31
5282,wortschatz,vocabulário,79
10230,rumänisch,romena,47
8500,böse,nojento,59
14397,feuer,fogo,12
617,erfrieren,congelhar,99
2044,antennen,antenas,62
9409,bohrturm,derrick.,53
8306,gepaart,emparelhado,24
8007,aussie.,australiano,56
7349,zuweisung,alocação,31
11035,fünfzig,cinquenta,38
10232,seife,sabão,46
11057,bart,barba,38
4125,apex,ápice,84
13665,schoß,colo,12
13921,sagen,dizer,9
12196,europäische sommerzeit,husa,31
12542,fisch,peixe,24
4662,überdosis,overdose,78
6337,kartoffeln,batatas,43
8059,gurke,pepino,62
1931,hagel,chuva de granizo,90
13088,wand,muro,20
16,manisch,maníaco,99
9141,bucher,booker.,55
13166,zug,comboio,12
5822,heiraten,casar,42
6568,remake.,refazer,67
14321,sprache,linguagem,12
12611,tokio,tóquio,27
4426,bürokratie,burocracia,82
13791,die,o,5
1180,handfeuerwaffen,handguns.,68
10981,konzentration,concentração,29
8128,nicht verfügbar,indisponível,61
10403,schmutz,sujeira,45
804,kerosin,querosene,99
12956,jährlich,anual,21
4161,mein alles,myall.,84
1239,ausschließen,impedir,81
8901,zahn,dente,54
6120,faszinierend,fascinante,62
12582,duf,du.,27
13964,vier,quatro,7
2142,vakuole,vacúolo,94
13603,japanisch,japonês,15
1452,fahrbahn,cariageway.,96
14203,wird bearbeitet,em processamento,12
4304,wiese,prado,61
13345,üben,prática,15
11464,innenstadt,centro da cidade,37
6763,erlösung,salvação,70
12402,schießen,filmagem,23
13277,kreuzen,cruz,13
4026,flugbahn,trajetória,77
12739,hören,ouvir,21
8221,verwüstung,estragos,61
11512,winterhart,hardy.,35
1105,polemik,polêmica,82
11113,algerien,argélia,40
14411,arbeitsplätze,empregos,20
13807,sind,são,5
11346,albanien,albânia,38
14045,innerhalb,dentro de,12
7959,ein stück,um pedaço,62
3783,kantonesisch,cantonês,87
10975,mist,porcaria,40
14211,wochen,semanas,10
7456,diversität,diversidade,47
3099,entführte,seqüestrado,54
6149,auferstanden,ressuscitado,74
7215,tyrannosaurus.,tiranossauro,67
10118,huh,hã,47
1676,schwesternschaft,irmandade,95
10612,verfahren,procedimento,34
6419,höhepunkt,clímax,70
9753,anständig,decente,49
7103,ausgestorben,extinto,48
7398,apostel,apóstolo,54
3878,engländer,inglês,86
8661,fracht,frete.,58
13224,sonne,sol,18
1010,nüchtern,sóbrio,88
14280,sprichwort,ditado,9
13122,sterne,estrelas,11
5062,vesuv,vesúvio,80
10038,abstammung,linhagem,48
7831,schnabeltier,ornitorrinco,63
9452,souverän,soberano,52
1392,verhängung,imposição,97
466,treten,piso,93
978,weiterführende schule,ensino médio,98
14129,niemals,nunca,12
2631,flaschen nase,nariz de garrafa,91
14465,verband,associação,12
11955,jagd,caçar,28
11784,verhalten,comportamento,34
6442,alchimie,alquimia,72
3342,patchantisch,passant,88
913,wohnheim,dormitório,87
6023,handtuch,toalha,70
10779,achse,eixo,42
5979,ehrgeizig,ambicioso,74
11961,stiefel,bota,29
5707,psycho,psicopata,76
1890,verfallen,caduca,74
12690,einschlag,impacto,24
11702,ungenau,impreciso,35
6194,durchmachen,submeter-se a,51
5724,jonglieren,malabarismo,75
298,addierer.,adicionador,100
2170,konsul,cônsul,65
5095,zugute,conceder,43
7525,becher,disjuntor,54
10496,mit freundlichen grüßen,atenciosamente,39
8947,gelehrte,estudioso,39
2156,lecking,vazando,44
4198,phosphatase,fosfatase.,84
5339,haufen,heap,72
13358,winter,inverno,18
11872,freiwillige,voluntários,20
7243,chiropraktik,quiropraxia,67
11102,gestern,ontem,40
11790,interkurs,inter.,34
8572,blasig,blk.,59
6321,erzherzog,arquiduque,71
1270,archetyp,arquétipo,90
5953,ferrit,furão,75
14110,kam,veio,12
13174,manchmal,às vezes,19
2477,abfließen,escoamento,92
8562,weiler,aldeia,57
9093,absolvent,graduado,39
13709,ton,tom,14
12373,aktualisieren,atualizar,8
9199,sternchen,asterisco,52
4968,nachtigall,rouxinol,80
8344,staatlich.,statewide,61
7967,bewusstsein,consciência,60
12729,fahrer,cavaleiro,19
6114,zeichen,símbolo,68
1212,meine güte,poxa,97
9454,kühler,resfriador,52
14414,kann nicht,não pode,12
12166,falsch verpelte,deturpando,27
150,thew.,o w,99
11240,mühlen,mills.,30
2718,mondlicht,luar,88
5033,alphabetisierung,alfabetização,80
11857,gerät,dispositivo,28
9066,zusammenfassung,sinopse,56
9712,zirkus,circo,50
630,locker,lazer.,99
3431,falkenauge,hawkeye.,88
8010,eingebettet,embutido,61
7116,büste,fracasso,54
10813,wien,viena,42
4693,karikaturist,cartunista,71
12078,amateur,amador,30
8548,schurken,vilões,51
6769,übernatürlich,sobrenatural,70
14131,mal,vezes,6
458,sharekropping,meação,100
10127,achtzeitig,awm.,47
13860,sagt,diz,9
1749,phalanx,falange,94
9616,freistil,freestyle.,51
11120,anerkeuner,carey,39
13769,verständnis,compreensão,11
8453,vergiftung,envenenamento,40
1938,kenntnis,cognizant.,93
2374,cupcake,bolinho,92
10516,ahnungslos,desavisando,44
3874,abkürzung,atalho,79
8394,analysten,analistas.,50
11884,umgebung,meio ambiente,32
6828,tänzer,dançarinos,58
10239,lunge,pulmão,44
13372,ich selbst,eu mesmo,18
9381,komiker,comediante,50
11025,schwanz,cauda,33
7005,akustisch,acústico,63
6480,kardisch,cardíaco,72
6880,heimkehr,homecoming.,69
8075,schwamm,esponja,62
221,gallien,gália,99
2878,bogan,maloqueiro,89
10401,spielzeug,brinquedo,39
1916,verteiler,manifolds.,68
1856,gunpoint,mão armada,95
4199,kleinbuchstaben,minúscula,84
10014,scheinbar,aparentemente,48
11399,wachstum,crescimento,38
8158,auslaugen,lixiviar,61
1584,in flammen,em chamas,95
6259,geschworen,jurado,73
3010,wahllos,indiscriminadamente,49
12493,geplant,planejado,12
11816,fälschung,contrafacção,31
9485,kindisch,infantil,52
5660,sarg,caixão,74
8745,biblisch,bíblico,58
3591,gottesanbeterin,louva a deus,87
5582,irgendwann mal,algum dia,77
1683,schein,farsa  falso,80
5017,schlepper,puxado,75
14148,vorgeschlagen,proposto,11
3008,stilisiert,estilizado,89
8987,tippfehler,erro de digitação,36
5291,liverpooler,scouse,79
12518,fit,ajuste,21
9588,gleichfalls,da mesma forma,51
6075,grausam,cruel,74
1467,stratosphäre,estratosfera,94
5347,erotisch,erótico,78
9432,gälisch,gaélico,53
11248,unendlichkeit,infinidade,38
2233,golfer,golfistas,74
11467,damit,deste modo,37
3760,prüfungen,exames,68
10547,kaserne,quartel,43
12580,rede,fala,26
6977,geknallt,apareceu,23
2451,gelacht,sorriu,42
14261,freigeben,liberar,10
11841,konzert,show,31
10414,reitway,broadway,45
3881,konzeptionell,conceptual,77
283,nahansicht,fechar-se,99
4296,hyazinthe,jacinto,83
9806,entscheiden,optar,39
3306,verhexen,hexagonal,87
10760,saft,sumo,42
5807,aufrechterhalten,confirmado,76
1907,kommunique,comunicado,94
4160,nahrung,dietético,84
4541,gymnasium,ginásio,81
9257,rennfahrer,racer.,39
4975,diagnose,diagnóstico,80
8876,untersetzer,coaster.,55
13220,entwickelt,desenvolvido,12
12017,solo,só,32
8689,leider,tristemente,58
1209,am dunkelsten,mais escuro,97
10947,rezeption,recepção,32
2314,jubeln,alegrar,88
7166,stecken,tuck.,64
8605,fraktion,fração,48
11769,seek,seg.,34
10106,was auch immer,de jeito nenhum,48
8082,uneinheit,una.,62
300,neudefinition,redefinição,97
14183,party,festa,11
12974,bälle,bolas.,12
11639,slalom,ziguezague,34
11918,dolch,dirk.,33
4017,sonnenwende,solstício,83
14301,sorge,preocupação,11
1290,einwandfrei,sem falhas,97
12721,gas,gás,17
11072,gestohlen,roubado,40
5043,maltesisch,maltês,80
14030,ausführung,versão,10
8849,funklig,sparky,57
13044,bedeutung,significado,12
10605,angeblich,alegadamente,44
8818,schlagzeuger,baterista,55
2838,hoffnungslos,sem esperança,89
8850,geneigt,inclinado,45
14089,begann,começou,12
3552,geräumig,espaçoso,88
8841,gesamtheit,totalidade,57
2373,vergeltung,retribuição,91
4645,abteil,compartimento,76
13826,gewesen,estive,5
6549,oka,oca.,72
12050,bock,bode,29
7439,forelle,truta,66
163,freq.,frequencia,100
10731,traurig,triste,34
9908,graben,trincheira,44
4586,besuchen,vitória fácil,81
8507,gefährdet,ameaçadas de extinção,56
7109,charmant,encantador,48
12068,fließen,fluxo,29
9251,zinn,lata,53
6936,inkonsistenz,inconsistência,43
1420,brumbum,brumbies,85
10132,sofortig,instante,47
11059,wöchentlich,semanalmente,40
2533,heldentum,heroísmo,92
4949,anarchismus,anarquismo,78
5005,kugeln,esferas,38
8973,python,pitão,56
1053,löslichkeit,solubilidade,72
6250,ertrinken,afogamento,53
7660,taille,cintura,59
12693,maus,mouse,26
12114,minze,hortelã,30
517,prekär,precário,95
8838,tapfer,corajoso,27
2759,festzug,pageant.,88
11858,höhe,alturas,26
12023,rennwagen,raça,32
9488,dschungel,selva,51
731,praktiker,praticantes,80
8884,effizienz,eficiência,38
13311,möglicherweise,possivelmente,8
7011,schwelle,limite,67
8516,intensivierung,intensificação,60
1966,klosten,clough.,94
4083,schneemobil,moto de neve,83
8701,aufreißer,ripper,58
715,chiah,chique,99
2912,diner,o jantar,88
14339,berücksichtigt,considerado,5
14116,juni,junho,6
9986,narr,bobo da bunda,47
14247,gewalt,força,9
11747,zwanzigeth.,vigésimo,35
10908,hain,arvoredo,40
11217,mainstream,convencional,39
10027,flüchtling,refugiado,31
11995,rückseite,traseira,32
2617,gelingt es,sucede,91
14435,gewonnen,ganho,9
6200,matze,labirinto,72
9701,schlussfolgerungen,conclusões,28
9020,linse,lente,56
1016,nicken,acenar,91
7399,erschöpft,exausta,45
7675,missbilligt,franziu a testa,60
6428,verarbeitung,tratamento,24
1876,kilogramm,quilogramas.,76
1314,unterernährung,desnutrição,97
1556,franzosen,frenchmen.,96
12292,moskau,moscou,30
2262,fächer,longe,93
14052,besser,melhorar,12
11124,eindruck,impressão,25
10475,vermutlich,presumivelmente,33
13820,welche,qual,6
2861,canes.,bastões,61
4813,umziehen,realocar,37
9573,tintenfisch,lula,43
4875,whome.,quem quer que,81
14281,profitieren,lucro,33
5104,neu gestaltet,redesenhado,25
12688,dinkel,soletrado,15
3616,unterwäsche,roupa de baixo,80
11108,erkunden,scout.,28
12489,der mittwoch,quarta-feira,28
6189,heutzutage,nos dias de hoje,74
2089,unbeteiligt,não envolvido,94
6165,überbevölkerung,superpopulação,73
1889,kaskadierung,cascading.,66
13094,da.,daí,20
3175,geschrei,gritando,51
1025,no.,nar.,98
14168,politik,política,7
7392,metzger,açougueiro,62
8488,erdrutsch,landslide,47
6582,trichter,funil,68
7621,sumno,sumô.,64
2612,untertitel,legenda,75
211,wallonisch,valão,100
6621,buschfeuer,queimada,59
11256,trick,truque,33
2931,am weitesten,mais distante,90
11726,syrien,síria,35
14205,inbegriffen,incluído,7
7620,einstimmig,unânime,50
28,beugung,difração,100
11799,dazwischenliegend,intermediário,34
11743,renaissance,renascimento,35
12621,einheimisch,nativo,25
3530,kalb,bezerro,88
8354,einhorn,unicórnio,59
14187,weitermachen,continuar,5
14457,entwickeln,desenvolver,12
5504,stierkampf,touradas,77
1075,knirps,tot.,81
7818,unsicherheit,incerteza,62
1149,backgammon,gamão,97
203,fußarbeit,footwork.,100
2234,tramper,mochileiro,87
2875,apfelwein,cidra,90
11938,käse,queijo,32
7835,verärgert,incomodado,34
9379,nicht schlüssig.,inconclusivo,53
11505,anwendung,inscrição,25
12625,anzunehmen,seg,26
7126,flüchten,fugindo,49
10664,clan,clã,39
2850,überlastung,congestionamento,85
14143,offen,abrir,9
3990,konfisziert,confiscado,75
11469,fahrkarte,bilhete,31
632,gekünstelt,contrado,97
6477,pastete,patê,72
1259,montieren.,montagem,23
11095,übersee-,em outro continente,40
4852,arbeitslos,desempregados,55
9811,erzählungen,contos,35
7044,wund,dolorido,63
2830,versuchungen,tentações.,67
473,spielerei,gimmick.,97
10861,kegelung,cox.,41
10866,ablehnen,declínio,17
14317,beteiligt,envolvido,11
2420,planer,planejadores,84
9390,evangelisch,protestante,16
11038,sumpf,pântano,39
11997,sog,ressaca,32
4745,ein v,av.,81
3769,arris.,aresta,84
6754,kürzeste,mais curto,70
11163,zivilisation,civilização,12
12028,rabatt,disco,30
1041,geschworen.,jurada,98
8942,zerstörerisch,devastador,42
11991,tarnieren.,manchando,28
11234,brigadegeneral,brigadeiro,38
1555,amyotrophisch,amiotrófico,96
13500,sicherheit,segurança,14
11574,prozent,por cento,36
5262,routinemäßig,rotineiramente,51
7804,säugetier,mamífero,57
6115,drastisch,drasticamente,57
12598,legende,lenda,24
3289,koran,alcorão,88
13688,million,milhão,12
2122,lanzette,lanceta,94
12172,millennium,milênio,31
13909,also,bem,8
13806,als,como,5
13816,es ist,isso é,5
2050,sprengkopf,ogiva,79
12018,halbinsel,península,32
2027,untergräbt,prejudica,55
2509,armbrust,besta,92
6679,abkürzungen,abreviaturas,45
5386,schlammig,turvar,76
9234,weizen,trigo,54
14073,möglich,possível,8
9211,atemwege,respiratório,55
2096,ausruf,exclamação,92
10629,sup,e aí,43
8679,umsatz,volume de negócios,38
1844,traber,trotter.,93
14393,gesicht,face,14
13346,allein,sozinho,18
4548,verheddert,emaranhado,75
13538,einhaltung,conformidade,16
8991,überschrift,título,43
11538,systematisch,sistemático.,32
3999,arkadisch,árcade,76
12701,froh,alegre,26
10423,kollision,colisão,44
5796,hausfrauen,donas de casa,76
13341,dichter,poeta,18
8667,elfenbein,marfim,58
10855,glatt,suave,40
