ID,DEUTSCH,SPAIN,INTERVAL
8399,sonnenuntergang,puesta de sol,58
12758,riese,gigante,15
10049,phänomen,fenómeno,46
4943,unfug,travesura,79
11693,vierzehnte,decimocuarto,34
6915,dow.,dote,67
1389,interdictory.,prohibitivo,97
12833,stahl,acero,23
13838,neu,nuevo,7
13812,ein,un,5
14208,feld,campo,9
7874,milliardäre,multimillonarios,60
3147,kulver,paloma silvestre,88
4296,hyazinthe,jacinto,83
12360,schnee,nieve,28
6825,zwanziger jahre,veinte,15
1535,nachahmen,imitar,93
3306,verhexen,maleficio,86
13927,woche,semana,10
5895,verfolgt,procesado,44
3011,elisha.,elíseo,89
11975,gatter,puertas,24
7084,sachsen,sajonia,67
2544,uneben,desigual,92
13934,dann,entonces,6
4012,straffung,ametrallamiento,75
1064,verehrt,venerado,55
7469,messe,expo,46
10136,die seide,seda,45
11429,eröffnen,inaugural,33
5484,supermärkte,supermercados,62
14333,verkauf,venta,24
1929,galle,bilis,94
1163,feuerboy,bombero,97
11767,schaden,dañar,13
1976,legionäre.,legionarios,90
1528,blase,vejiga,96
215,leichentuch,féretro,100
8,geeks,frikis,32
12981,zeitplan,calendario,15
6887,fangemeinde,fandom,68
489,schieben,empujón,78
5049,tufts,mechones,77
8078,fehde,feudo,56
11093,kanone,cañón,37
6712,mengen,cantidades,47
13265,sinn,sentido,18
9506,schwere,gravedad,51
702,leckerbissen,golosina,88
13099,größten,más grande,20
3171,verkrüppelt,lisiado,75
9575,gleichzeitig,simultaneamente,45
6532,pavian,babuino,69
13130,achte,octavo,20
13870,am meisten,mayoría,8
12607,station,pabellón,26
4762,gemeinschaft,compañerismo,80
7919,siebzig,setenta,51
14447,beginnen,comenzar,13
10402,floh,huido,44
11730,äthiopien,etiopía,34
5744,unerfahren,inexperto,75
4139,nordwärts,hacia el norte,36
2287,sau,sembrar,86
5268,verkäufer,vendedor,62
12723,montag,lunes,25
6330,unordnung,desorden,54
12313,höchste,supremo,29
2867,über bord,al agua,90
5976,langeweile,aburrimiento,73
10432,monarchie,monarquía,43
3452,ungehorsam,desobediencia,84
5392,gerüche,olores,54
4377,stromlinienförmig,optimizado,73
3881,konzeptionell,conceptual,76
10438,äh,um,44
3069,grundlagen,fundamentos,36
10189,gesetzgebung,legislación,27
4355,logisch,lógicamente,28
4401,cheeseburger,hamburguesa con queso,82
9122,efeu,hiedra,53
10375,flugplatz,aeródromo,36
2123,panzerabwehr,antitanque,93
4221,adjutant,ayudante,82
4765,rum,ron,81
825,eigentumswohnungen,condominios,86
8031,cutler,cuchillero,62
3315,tulpe,tulipán,87
10428,schlaganfall,carrera,38
8142,abwechslungsreich,variado,24
8784,raumfahrzeug,astronave,56
6091,slug,babosa,55
6827,ruck,tirón,54
3274,splitter,astilla,82
3363,diktatoren.,dictadores,45
5990,espresso,café exprés,74
2177,henne,gallina,81
13563,gebaut,construido,15
11594,reise,viaje,32
13359,zitiert,citado,8
14127,punkte,puntos,7
8172,darstellen,que representa,27
1828,prägung,moneda,95
6539,vereinigung,unificación,70
10792,geliebte,amado,41
6107,regenwurm,lombriz,72
10504,feier,celebracion,22
13481,kühl,frio,16
7873,täter,perpetradores,48
9071,kroatisch,croata,54
12859,josh,josmos,23
5190,gaspedal,acelerador,73
10942,delikatessen,fiambres,40
9420,apartheid,segregación racial,51
6955,dieb,ladrón,67
9356,mythos,mito,46
7071,ernst,serio,66
8971,einsamkeit,soledad,55
8923,popcorn,palomitas,55
6697,euch,ustedes mismos,69
9408,off-shore,costa afuera,52
4781,sibirien,siberia,81
5890,hickory,nuez dura,74
6493,bauch,vientre,52
11023,hervorhebung,énfasis,39
11871,böswillig,malicioso,27
479,getrunken,bebió,99
8339,verfolgung,persecucion,54
11763,luke,lucero,34
7585,nashorn,rinoceronte,64
6689,verkleidung,ocultar,49
7992,verbrauch,consumo,62
9060,kratzen,rasguño,41
11418,spiegel,espejo,34
6213,legierung,aleación,66
12921,gebrochen,roto,23
8561,treu,leal,57
11805,kubaner,cubano,33
12828,baby,bebé,23
1920,hinterwäldler,hillbilly,87
13320,sicher,cierto,18
6936,inkonsistenz,inconsecuencia,42
4118,schwäne,cisnes,45
11256,trick,truco,32
14519,bringen,traer,6
3581,wochentage,días laborables,67
7763,tb.,tuberculosis,58
13625,klar,claro,13
8127,sänger,cantantes,22
5424,emory.,emorio,77
8069,obstgarten,huerta,61
8229,maßgebend,autoritario,58
1685,phallus,falo,95
13101,prinz,príncipe,20
12483,anmut,gracia,27
12829,speck,tocino,24
587,schwach,débil,99
3450,fusszeile,pie de página,85
3437,entgasen,degas,88
14028,lang,largo,9
12079,garten,jardín,25
8204,zecil.,cecilio,60
2649,burgund,borgoña,91
6886,asbest,amianto,68
10644,kirsche,cereza,42
345,anschnallen,cinturón en,100
4480,ausgeglichen,ecualizado,75
5985,nördlich.,dirección norte,74
1319,harpyie,arpía,97
1426,boje,boya,84
13140,schweden,suecia,20
3083,geschwür,úlcera,87
11819,zurückgestrahlt,relegado,28
2447,versehentlich,accidentalmente,24
1021,boykottieren.,boicoteo,65
12029,verbietet.,prohibir,18
6393,reservierungen,reservas,14
14024,quartal,cuarto,10
12406,fett,grasa,27
9989,nordöstlich.,hacia el noreste,47
12832,wirtschaftlich.,económico,20
3578,theoretiker,teórico,60
3220,wellig,ondulado,87
13634,nicht registriert,no registrado,14
8109,schließfach,armario,60
13162,aufeinanderfolgenden,consecutivo,19
3350,schlank,muy delgado,88
5508,phänomene,fenómenos,76
7514,ausstellungsstück,exposición,29
12897,jimmy,palanqueta,23
13456,unerwünscht,no deseado,16
11640,abbilden,abu,35
1539,mit einem magnon,magnontal,96
14226,frei,gratis,6
4908,ungeplante,no programado,80
4126,rezept,receta,74
2329,unterricht,matrícula,92
13685,beanspruchen,afirmar,10
8863,holzig,leñoso,54
3899,gier,codicia,85
13671,nördlich,del norte,14
5164,blumenkrone,corola,78
9842,nähe,vecindad,48
10159,trainer,entrenador,39
6877,bretonisch,bretón,68
12057,enthalten.,contenido,8
3374,gerahmt,enmarcado,27
12492,seele,alma,26
10577,aufnahmen,imágenes,42
13925,während,mientras,7
3630,krapper,craptor,87
9393,beruhigend,infame,50
9539,nautisch,náutico,51
4298,kälteste,más frío,83
14210,bietet an,oferta,17
13075,kritisch,crítico,12
9320,freude,alegría,50
8664,jugendlich,juvenil,57
14385,vermögenswerte,activos,41
9292,qualifiziert,pct,53
362,diskriminierend,discriminatorio,100
4831,abschaffung,abolición,80
3760,prüfungen,exámenes,67
13810,es,él,5
8912,merk,mk,53
1421,zottelig,lanudo,96
8070,endlos,interminable,61
1260,hammerschmied.,hamfersmith,97
5469,gegründet,redimensionado,68
5052,abwertend,peyorativo,77
10150,skateboarding,patineta,33
8841,gesamtheit,totalidad,56
14139,verglichen,comparado,12
9119,verstärkt,reforzado,36
6332,sterisch,stm,72
13108,führer,líder,14
6907,schmiere,cosa muy pegajosa,68
9403,desc.,desacuerdo,52
6965,ejakulation,eyaculación,64
8239,schneemann,monigote de nieve,60
3393,slowenisch,esloveno,88
7336,anarchie,anarquía,65
11849,gaffell,cornell,33
10021,bauteile,componentes,31
12700,panzer,blindado,25
14142,zeitraum,período,10
8574,feuerzeug,encendedor,56
10849,abhängig,dependiente,26
6267,bauer,campesino,56
11284,bürgermeister,alcalde,35
2989,nicht informiert,no informado,81
7968,mikrowelle,microondas,62
13044,bedeutung,significado,12
9686,vati,papi,49
11687,scorecard,tanteador,34
8597,schurke,pícaro,57
5303,wandern,de pena,78
234,grinsen,sonrisa,92
5886,unterscheidet,distingue,31
9074,verstreut,dispersado,48
1735,beheben,rectificar,69
13602,fünfte,quinto,15
3573,wange,mejilla,76
8651,laptop,ordenador portátil,57
13263,keiner,ninguna,19
6537,kühlgebiet,cool,70
13186,ausländisch,extranjero,19
1563,ozeanisch,de oceanía,96
7668,beginn,comienzo,63
14444,fortsetzung,continuado,5
1339,unerhört,inaudito,97
5861,hyperaktivität,hiperactividad,72
13618,plaudern,chat,14
14452,führend,principal,8
9426,sachverstand,pericia,51
5300,linke,izquierdista,71
13390,lebensmittel,comida,16
13327,bewegung,movimiento,17
6464,versteigerung,subasta,62
10166,gesponsert.,patrocinado,33
1187,brechung,refracción,85
14381,wertpapiere,valores,13
5628,nit.,liendre,74
12274,signal,señal,24
5426,eingestellt auf,establecer en,77
5448,stechend,espurio,77
8146,unterwegs,en marcha,61
2218,worauf,después de lo cual,93
4726,rückstand,reserva,77
13578,vergangenheit,pasado,13
5618,fife.,pífano,76
11275,nominierte,nominados,34
1683,schein,impostor,79
9027,dreck,lodo,54
7530,vorteilhaft,beneficioso,63
5871,wägh,augurio,74
1704,erfreuen,alegrar,95
11613,moos,musgo,35
10672,aufrechterhaltung,mantenimiento,16
7710,ablauf,expiración,63
9001,darlehen,préstamo,45
2597,leserschaft,número de lectores,91
2581,spektren,espectros,91
5830,verschluss,recámara,60
13529,breit,amplio,13
8921,versank,hundirse,55
11122,freibeuter,bucanero,38
8808,mazedonisch,macedónio,50
7429,stereln,ester,64
841,buggy,calesa,98
1242,fleck,mancha,65
4564,rippen,costillas,64
815,ausschnitt,escote,88
13978,tag,día,7
13432,kesselkesselplate,cálculo,17
8877,abwasser,aguas residuales,56
4598,ersetzt.,reemplazado,74
11851,verbrechen,delitos,18
6526,schwarm,enjambre,65
12621,einheimisch,nativo,24
5005,kugeln,esferas,37
6023,handtuch,toalla,69
1697,kalligraphie,caligrafía,95
10309,begleitet,acompañado,21
13517,gedruckt,impreso,12
9041,funk,canguelo,54
9574,wally,criajo,49
6093,eintagsfliege,efímera,73
11203,stolz,orgulloso,38
6288,neugier,curiosidad,71
4683,boni,bonificaciones,81
460,süchtig machend,adictivo,26
2006,tischler,carpinteros,49
8164,tümmler,marsopa,61
4155,viper,víbora,69
13619,erhältlich,disponible,14
5771,perlen,rosario,65
7696,trauer,luto,59
2195,myriade,miríada,91
13195,masse,masa,18
3461,glasiert,glaseado,88
6239,dringend,urgencia,25
11265,arktis,ártico,38
1203,verstauchung,esguince,72
11843,ungarisch,húngaro,31
10686,lotus,loto,42
5696,grundstück,martura,75
8898,tasten,botones,7
2264,höhlenmensch,cavernícola,93
12544,buchstabe,letra,21
8771,taten,andanzas,51
1239,ausschließen,imposibilitar,81
13898,firmen,compañías,10
11408,beratend,consultivo,30
14483,grund,razón,6
8857,kahl,calvo,50
13225,ist hingefallen,cayó,19
6431,aufsätze,ensayos,39
6375,unorganisiert,desestructurado,70
13703,schnell,rápidamente,14
11750,ägyptisch,egipcio,31
10122,tritt ein,ocurre,13
2805,härter,lo más duro,90
10172,papagei,loro,45
2614,kindergarten,jardín de infancia,90
12728,fuhrmann,carretero,25
13461,kürzer,más corto,16
5552,sistinisch,estima,76
7642,auftakt,preludio,62
11120,anerkeuner,carey,38
2321,trunkenheit,embriaguez,74
11276,schlange,serpiente,35
5756,vp.,vicepresidente,75
4334,startprogramm,lanzacohetes,65
12398,ziemlich,equitativamente,28
9378,fegefeuer,purgatorio,52
6321,erzherzog,archiduque,70
7510,taube,paloma,62
5657,zufriedenstellend,satisfactorio,75
4557,parieren,parar,79
14093,zukunft,futuro,9
3476,diphosphat,difosfato,87
2227,parser,analizador,91
10107,stämme,tribus,33
690,nachsicht,comprensión retrospectiva,99
11010,antenne,aéreo,39
6604,tau,rocío,70
8637,vergbis,genghis,57
13875,ihnen,a ellos,6
11232,gewalttätig,violento,36
12475,rakete,misil,23
3639,rostfrei,inoxidable,87
9068,handball,balonmano,52
5995,pistazie,pistacho,74
5536,geknackt,agrietado,37
10768,saat,semillas,15
12900,wirtschaft,economía,22
7285,abseits,abigail,65
2851,geschnitzt,tallado,73
4835,steinbock,capricornio,80
5477,mime,mímica,75
2139,notlage,situación,93
9787,vgl,cf,48
8864,vorort,suburbio,38
9190,rötung,bruto,53
13859,zeit,tiempo,5
318,nuanciert,matizado,87
1812,grundstein,piedra angular,90
9030,kostbar,precioso,55
6140,spielraum,autorización,72
10496,mit freundlichen grüßen,atentamente,38
1661,avionik,aviónico,88
1933,rumtreiber,merodeador,82
11938,käse,queso,32
9416,schief,sesgado,49
4007,verwüstet,devasionado,79
4653,standpunkt,punto de vista,81
6554,bhutan.,bután,70
7443,traktieren,tracto,62
12983,billy.,porra,20
3288,bergung,salvar,67
10539,lehre,doctrina,41
6514,zitadelle,ciudadela,70
11792,getragen,desgastado,33
14069,gesetz,ley,9
6025,einseitig,unilateral,57
13980,gemeldet,reportado,5
2634,pfote,pata,86
10163,kommunizieren,comunicar,9
10757,messgerät,indicador,40
10674,ersatzteil,repuesto,39
13788,analyse,análisis,12
14301,sorge,inquietud,10
9924,arabisch,árabe,47
10871,schrecklich,terrible,36
564,squitur.,secuenciar,99
14390,kräfte,efectivo,9
8201,botanik,botánica,60
7353,landschaft,paisaje,60
10725,laut,ruidoso,41
127,sortiment,surtido,83
1836,maidenhead,virginidad,95
2865,engelwurz,angélica,90
13028,schaltkreis,circuito,20
7812,smithers,herrería,62
3283,klauseln,cláusulas,47
13818,nicht,no,5
2494,standhalten,resistir a,88
11630,kohl,col,33
7115,empfangshalle,vestíbulo,52
5126,pvt,pbt,79
10857,zusammengebrochen,colapsado,27
5157,lippen,labios,60
13823,dürfen,poder,5
13377,verboten,prohibido,11
12672,zwölf,doce,25
8037,witz,ingenio,26
10001,abstrakt,resumen,44
11172,reiten,equitación,26
5299,fehlverhalten,mala conducta,78
13545,aussage,declaración,12
957,plättchen,plaqueta,93
7384,kadett,cadete,50
7773,cockpit,cabina,62
6826,begnadigung,perdón,64
7145,standpunkte,puntos de vista,43
13938,anteile,comparte,6
7235,cortez,cortés,66
13457,technik,técnico,16
1959,geschrumpft,encogido,94
4842,ca.,aprox,80
238,nickerchen,siesta,82
8122,zugegriffen,accedido,10
10271,wiesel,comadreja,44
4642,unglücklich,desafortunado,81
1075,knirps,nene,80
10648,optisch,óptico,38
5435,reut,regimiento,77
5368,kaukasisch,caucásico,76
7463,klatschen,clive,64
13915,dein,su,5
3332,flatworm.,gusano plano,88
11546,donner,trueno,34
478,triphosphat,trifosfato,99
13781,sieg,victoria,12
660,nährt an.,asistir,17
14042,angekündigt,anunciado,14
2222,zimt,canela,93
12953,überschreiben,anular,22
1261,spott,ridículo,36
3255,zirkonium,circonio,88
1756,klassenkameraden,compañeros de clase,85
9588,gleichfalls,igualmente,50
2850,überlastung,congestión,84
5836,fink,pinzón,70
1565,missourians,misioneros,88
10464,aggien,afección,39
10853,zehnkampf,decatlón,40
12250,belaubt,frondoso,29
13786,andernfalls,de lo contrario,13
14513,anmerkungen,notas,7
9237,teer,alquitrán,52
11959,gürteltier,armadillo,32
2327,bergmann,minero,39
3469,fob.,engañar,87
5774,geprägt,acuñado,18
2949,phospho,fosfo,89
10585,kompakt,compacto,39
2486,koney,conejo,92
9643,beurteilung,juicio,47
7644,wan,pálido,63
14261,freigeben,liberar,9
7216,pelzig,peludo,66
6508,eberesche,serbal,71
12870,anfänger,novato,21
12616,währung,divisa,25
7916,eddy.,remolino,62
7497,freiwillig,voluntario,64
2633,booster,aumentador de presión,79
5912,überland,por tierra,72
12194,branding,marca,19
11834,unzureichend,inadecuado,32
14461,nimmt,acepta,5
9906,hat nicht, ,48
7727,neapel,nápoles,63
3724,in der lage sind?,arender,86
6100,laube,cenador,73
13211,yankees,yanquis,16
8435,killer,asesinos,37
6680,fudge,dulce de azúcar,69
5359,zahnpasta,pasta dental,77
298,addierer.,sumador,100
2936,genosse,camarada,66
3403,maßgeschneidert,adaptado,70
10481,pp,páginas,43
11682,tanne,abeto,34
13659,auflösung,resolución,13
11130,ausmaß,grado,38
8522,urteilen.,juzgar,22
7828,stativ,trípode,62
14051,später,más tarde,10
5138,gewichtheben,levantamiento de pesas,78
1149,backgammon,chaquete,97
10290,bürgerlich,cívico,44
11141,sat,se sentó,38
2644,sonnencreme.,protector solar,91
6386,harfe,arpa,69
3444,nuke,nuque,81
1331,jammig,jibbs,97
2656,midtown,centro de la ciudad,91
5427,skater,patinador,38
8275,windmühle,molino,59
6854,pocken,viruela,68
9612,kompliziert,complicado,42
1540,aquakultur.,acuicultura,96
13889,durch,a través de,10
6387,weltlich,secular,63
3913,weltuntergang,día del juicio final,85
2027,untergräbt,socava,54
8674,mönch,monje,42
2022,platzhalter,marcador de posición,93
12665,gezeichnet,dibujado,25
7206,viertelfinale,cuartos de final,66
12827,koreanisch,coreano,22
12673,verschwörung,conspiración,25
6614,jederzeit,cualquier momento,70
14256,anrufe,llamadas,9
3690,entmutigend,desalentador,86
2477,abfließen,escapada,92
2034,kathode,cátodo,91
3839,farblos,incoloro,86
10202,das erntedankfest,acción de gracias,46
4819,kolben,pistón,38
8417,außer acht lassen,indiferencia,51
3271,skifahrer,esquiador,78
11018,keltisch,céltico,39
13090,neu zugewiesen,reasignado,20
10364,beleidigung,insulto,25
10952,bekanntmachung,anuncio,14
6240,geographisches positionierungs system,gps,17
11500,normannisch,normando,35
10964,ausgeben,gastar,31
5542,biochemie,bioquímica,76
11321,trek,emigrar,37
13681,geschickt,enviado,14
9655,bücher,bowie,50
7738,nicht verifiziert,inconfirmado,49
8939,davenport,escritorio pequeño,55
11236,unfair,injustamente,38
6791,rhythmisch,rítmico,68
10873,erbe,herencia,40
10126,ergriffen,apoderado,37
13023,rand,frontera,19
11979,dämmert,dólares,23
10386,freeman,hombre libre,44
4959,unbesonnen,sin personal,79
11127,somerset,voltereta,38
3871,entsetzlich,terriblemente,52
3743,fische,piscis,86
2704,alarmierung,alerta,31
7111,beute,botín,65
8708,klettern,escalada,31
7452,milchig,lechoso,64
7382,frustrierend,frustrante,7
10037,wahrgenommen,percibido,43
8782,klinisch,clínico,47
13881,gebraucht,usado,5
12834,meistens,principalmente,24
1248,hinter den kulissen,entre bastidores,97
2141,gatling,gatería,93
3200,einlustig,infligir,55
9342,randschaft,roters,52
8304,sw.,sudoeste,60
9521,untergeordnet,subordinar,44
10362,erhöht sich,aumentos,14
4378,sächse,sajones,56
2377,monsignore,monseñor,92
11469,fahrkarte,billete,30
12882,alpha,alfa,23
13871,verwenden,usar,5
12242,konzept,concepto,26
1234,vermittelt,transmitir,20
5863,umstrukturierung,reestructuración,62
14055,kommen,venir,8
7863,würstchen,embutido,58
9265,gerichtlich.,judicial,51
14220,ähnlich,similar,12
12670,pixel,píxeles,24
3076,luzid,lúcido,88
11922,stücke,piezas,20
3977,umschrieben,reescribir,85
2791,spielbar,interpretable,90
13821,das,este,5
12484,statistiken,estadísticas,23
357,entwürfe,borradores,96
8488,erdrutsch,deslizamiento de tierra,45
5053,baskisch,vasco,76
14240,gruppen,grupos,8
132,ghanaisch,ghanés,99
11198,beerdigung,funeral,38
14512,zeitung,periódico,17
5409,sicherer,más seguro,77
10912,hebräisch,hebreo,39
11012,nordwesten,hacia el noroeste,39
11461,spanne,lapso,32
6104,nicht autorisiert,no autorizado,73
12565,beweisen,probar,17
11791,tschechoslowakei.,checoslovaquia,33
2608,übersteigt,excede,91
13039,etwa,aproximadamente,20
9660,kalzium,calcio,50
555,freier halt,propiedad vitalicia,99
10762,ausrichten,póngase en fila,40
13547,formel,fórmula,15
12745,foto,fotografía,13
12548,tötung,asesinato,12
2652,star,estornino,91
8185,aschenputtel,cenicienta,61
7335,alten,anciano,65
5029,sporn,estimular,37
1011,abgeschnitten,cortar,97
2771,kline,clínica,88
10698,neu bewertet,reevaluado,41
1530,medicare,seguro médico del estado,96
3,amorph,amorfo,100
13564,basketball,baloncesto,15
11782,marc,bagazo,33
12578,libanesisch,libanés,26
13783,verwechslung,confusión,10
1613,ceylon,ceilán,95
7436,sheriff,alguacil,63
8202,schatz,querida,60
4452,kinematographierer.,cinematógrafos,66
6836,banknoten,billetes,38
10242,ländlich,rural,45
13552,gilt,se aplica,12
5987,wasserzeichen,filigrana,67
2089,unbeteiligt,no involucrado,93
6326,tiegel,crisol,72
3809,zirrus,cirro,86
333,schluckauf,hipo,98
12223,näher,más cerca,30
4369,unhöflichkeit,incivilidad,69
3666,romulus,rómulo,86
2104,symphonisch,sinfónico,93
14346,kommerziell,comercial,10
12054,puppen,títeres,26
14458,gedanke,pensamiento,12
1061,whatnot,cualquier cosa,97
3448,mops,doguillo,83
5809,medaillengewinner,medallista,60
7899,lindern,aliviar,30
2342,nudeln,fideos,66
13190,population,población,18
65,rückschläge,contratiempos,75
8519,explodieren,explotación,36
2563,eber,jabali,91
8948,dod,endurecido,55
11535,thailändisch,tailandés,36
7272,weinen,llanto,36
7831,schnabeltier,ornitorrinco,62
1353,stricken,tejido de punto,83
4621,ficker,cabron,81
2303,ablenkung,desviación,63
13667,nichts,nada,14
11994,erweitert,expandido,19
792,elektrolyt,electrólito,96
13514,meilen,millas,14
5754,lähmung,parálisis,75
3174,jawohl,sip,88
12568,kreislauf,ciclo,20
11019,bewerten,evaluar,23
4615,unwichtig,sin importancia,81
11140,belastung,carga,25
12609,mir,mil,26
5241,ablösend,disipación,20
13060,kalt,frío,21
2426,lowman,hombre bajo,92
14043,ausgabe,asunto,9
5598,gewaltsam,a la fuerza,70
3456,attrition,desgaste,86
3786,rechteckig,rectangular,86
7214,kosmisch,cósmico,66
11909,kumpel,bubba,32
13713,meer,mar,13
13960,bericht,informe,5
3733,reitlinien,banquillo,51
8817,übertrieben,og,56
4580,strandkopf,cabeza de playa,81
12314,täglich,a diario,28
7196,erzbischof,arzobispo,63
10776,sich vorstellen,imagina,34
3999,arkadisch,árcade,75
9101,flanke,flanco,47
10259,tektonik,tectónica,42
7211,reisen,viajes,19
