ID,DEUTSCH,DANOIS,INTERVAL
12553,inzwischen,i mellemtiden,28
13111,q,q.,21
3591,gottesanbeterin,mantis.,87
10404,lärm,støj,44
14433,kommission,provision,23
13971,rate,sats,8
12049,kkk,ck.,32
1978,perfe.,peart.,94
1740,ärmer,fattigere.,95
3454,nämlich,viz.,88
1828,prägung,coinage.,95
6485,rückwärts,baglæns,54
9534,reifen,tire.,38
5434,wehr,weir.,78
2716,bestechung,afpresse,86
8931,kindheit,barndom,56
899,schwarzer mann,sort mand,98
10049,phänomen,fænomenet.,48
2373,vergeltung,gengældelse,91
14365,männer,mænd,11
4083,schneemobil,snescooter.,82
2790,schweinehirt,pigman.,91
4784,karton,pap,81
13003,gehalten,holdt,23
7360,flok,flak.,66
10825,zwecklos,meningsløs,42
11200,chaos,kaos,37
13742,junge,dreng,12
13828,um,om,5
3127,schleier,slør,74
12691,freundlich,venlige,26
14063,abteilung,afdeling,10
5955,fehle,feely.,75
1827,kugelsichere,skudsikker,95
6165,überbevölkerung,overbefolkning,72
4123,verblassen,falme,55
7071,ernst,alvorligt.,67
11180,breite,bredde,39
3207,lästig,besværlig,89
9307,debütiert,debuterede,23
12654,würde nicht,ville ikke,27
9409,bohrturm,derrick.,53
1414,verpflichten,opmærksomhed,72
2264,höhlenmensch,caveman.,93
523,giebel,gables.,77
12296,tonhöhe,tonehøjde,19
13701,daten,data,15
11086,implizieren,indebære,27
6617,plakette,plaque.,66
3839,farblos,farveløs,86
11961,stiefel,støvle,29
13257,sorgfältig,forsigtigt,8
4371,nachteil,ulempe,69
12214,korrekturen,korrektioner.,10
11132,stand,stod,39
6003,weide,willow.,71
13088,wand,væg,20
9945,zoo,zoologisk have,48
9832,taxi,cab,48
770,vorsorglich,forsigtighed,99
2218,worauf,hvorefter,93
7957,klobig,chunky.,62
13884,drei,tre,8
12597,krankenhaus,hospital,24
12869,flotte,fl.,24
11748,prägnant,kortfattet,34
4328,sündenbock,patsy.,83
2232,festgezogen,strammet,78
4378,sächse,saxons.,57
8636,vielfraß,jærv,37
14141,fällig,på grund,7
10452,abfahrt,afgang,43
6151,schützend,beskyttende,12
8150,vorrichtung,fixture.,47
5209,vergänglichkeit,evanescence.,79
13559,vorübergehend,midlertidig,16
2938,begreifen,forstå,87
14211,wochen,uger,10
14257,netzwerke,netværk,10
1795,erblich,arvelig,95
13119,tausende,tusindvis,17
7284,tanker,tankskib,58
6496,glorreich,glorious.,71
4742,beschämt,skamme sig,80
7716,befreit,fritaget,55
3587,zweisprachig,tosproget,87
11402,torlos,scoreless.,38
9835,anfrage,forespørgsel,46
8175,kraut,urt,59
4244,arbeitsplatz,arbejdsplads.,84
590,goories,målmænd,51
5768,unterabschnitte,underafsnit,50
12147,marine-,flåde-,31
13914,sein,at være,5
12845,kraftstoff,brændstof,24
4807,laichen,spawn.,47
9441,unstimmigkeiten,uenigheder,40
1112,ausbilder,instruktører,68
7627,drucker,printer,59
4030,schlafend,i søvn,85
3258,spurhaft,spurrier.,89
14142,zeitraum,periode,10
6526,schwarm,sværm,66
140,wiedergabe,afspilning,100
11945,elfte,ellevte.,33
4294,schere,saks,72
9645,sack,sæk,28
6068,bestehen,insisterer på,31
20,platte,slab,89
809,unvergleichlich,peerless.,99
2033,gewohnt,vant,92
6385,schnellstmöglich,asap.,72
13609,daher,dermed,16
4532,erinnern.,mindende.,33
14061,setzen,sætte,10
13524,echo,ekko,16
8539,petition,andragende,45
932,schulranzen,satchel.,98
3158,geringer,lowery.,89
2731,donnernd,thunderball.,91
8045,wonne,bliss.,62
14138,spitze,top,9
5391,miniatur,cameo.,77
8131,angenehm,behagelig,61
7236,literaturverzeichnis,bibliografi.,65
1309,durchsatz,gennemstrømning,97
11909,kumpel,bubba.,33
11942,einkaufszentrum,mall.,32
12114,minze,mint.,30
5375,geopfert,ofret.,72
1011,abgeschnitten,skære af,98
13506,e-mail,post,16
9385,mais,corn.,50
1259,montieren.,samling.,23
14261,freigeben,frigøre,10
12933,oase,haven.,24
13036,geworfen,smed,22
4692,toaster,brødrister,79
8373,bernstein,rav,60
13081,zeitschrift,magasin,20
570,ackerland,landbrugsjord,97
1798,verführung,forførende,91
2736,quacksalber,quack.,90
7033,pfannenstiel,panhandle.,67
13616,besuch,besøg,13
7708,stachelschwein,porcupine.,63
104,unstet,unassessed.,100
517,prekär,precarious.,96
2627,harz,harpiks,82
1258,vorausdeutung,foreshadowing.,87
14313,vorherige,tidligere,13
7588,rotes shirt,rød skjorte,62
2892,gepeitscht,whipped.,59
3965,stilvoll,stilfuld,85
28,beugung,diffraction.,100
9402,post-,postal.,53
7895,schub,stød,58
4246,schüttler,shakers.,75
3932,aussprechen,udtale,43
10725,laut,højt,42
9768,spannungen,spændinger,38
11579,schall-,sonic.,35
11120,anerkeuner,carey.,40
6867,verachtung,foragt,67
5615,zitrik,citric.,77
4750,kambodschanisch,cambodjanske,79
1628,pinloch,pinhole.,96
9701,schlussfolgerungen,konklusioner.,28
6533,befürworter,advocacy.,71
10785,gesunder menschenverstand,sund fornuft,42
13929,weg,vej,8
3605,armaturenbrett,dashboard.,86
2191,kälter,koldere,93
4162,strafbar.,punitive.,84
12661,stier,tyr,21
12643,eingeladen,inviteret,6
9315,kopatisch,copa.,54
13411,brücke,bro,16
12059,markierungen,marks.,8
3837,klappern,cag.,86
2822,pest,skadedyr,88
11389,anmeldung,log på,38
7760,ziegelei,murværk,63
10489,dach,tag,41
5669,lepra,leprosy.,76
6863,im idealfall,ideelt.,39
9162,erpicht,keen.,55
5273,theological.,teologiske,57
11511,sahne,fløde,37
10716,instanzen,tilfælde,25
24,probe,indstudering,77
881,sternenstaub,stardust.,98
3494,überlieferung,lore.,81
12687,eisen,jern,23
8639,stachel,stik,57
3183,list,ruse,89
14300,betrieb,operation,7
12322,geräusche,lyder,14
10406,topf,gryde,43
6149,auferstanden,steget,73
1454,bergsteiger,klatrer.,70
7054,überzeugt.,overtalte.,54
14190,entweder,enten,9
13309,gelang es,lykkedes,11
8400,sternen schiff,starcraft.,60
2243,quatsch,quoth.,93
7489,betont,understregede,49
8701,aufreißer,ripper.,58
14461,nimmt,tager,5
11287,band,tape,32
1780,kraftvoll,kraftigt,69
2282,staffelung,svimlende.,79
12051,boden,etage,28
9846,fahrrad,bike.,43
4499,bewerter,raters.,81
13210,wahlen,valg.,12
10513,gerüchte,rygter.,38
2188,mappe,folder,89
6493,bauch,bug,53
711,bärendienst,disservice.,99
10498,umgeschrieben,omskrevet,44
8297,erbauer,bygger,54
11286,neigen,tend.,32
4982,beschneidung,omskæring.,78
4370,authentizität,ægthed,56
3371,höhnisch,haggard.,88
694,tückisch,forræderisk,98
10027,flüchtling,flygtning,32
12807,gekoppelt,koblet,16
9281,beziehungen,relationer,30
8328,kubik,cubic.,60
13913,beide,begge,10
4024,spalten,cleave.,77
10860,jungfrau,jomfru,38
14511,verlassen,forlade,8
5976,langeweile,kedsomhed,74
10388,amtieren,interstate.,45
9008,erweiterung,udvidelse.,22
11083,erwägung,betragtning,25
13021,teuflisch,ond,22
11999,ehe,ægteskab,32
7486,segnen,velsigne,48
5024,esser,eater.,69
5981,anarchist,anarkistisk.,66
1900,buckel,pukkel,88
10555,preußisch,preussian.,43
10658,agenda,dagsorden,41
3638,belegschaft,arbejdsstyrke.,87
10371,verklagen,sagsøge,45
7938,integrieren.,inkorporering,26
6227,hefe,gær,73
2862,aromen,smagsstoffer.,51
2667,oligarchie,oligarky,91
13519,benne,ben.,17
5550,gravierlich,laver.,77
2533,heldentum,heroisme.,92
14000,benutzer,bruger,5
2585,seitenleiste,sidebjælke.,91
1431,beobachter,watchers.,88
11922,stücke,stykker,21
1264,verträumt,dreamy.,97
11608,mantel,frakke,32
9297,wohltätigkeit,velgørenhed,50
7315,geschäftsmann,forretningsmand,66
4648,illegitim,uægte,81
1965,ameisenbär,anteater.,92
3082,lispeln,lisp.,89
4130,vielzahl,multitude.,83
13275,damit verbundenen,tilknyttet,12
994,slawen,slaver.,91
1058,eifer,zeal.,98
8703,entdecken,opdage,11
7664,gelobt,roste.,44
10791,vierzehn,fjorten,42
5073,einschränkungen,begrænsninger.,74
2120,kittchen,chitty.,94
13637,gericht,ret,15
13503,in richtung,hen imod,15
4677,kanus,canuck.,82
1692,dehydratation.,dehydrering.,91
74,eklipsen,formørkelse.,43
14122,inklusive,inkluderer,7
9736,leichtigkeit,ease.,45
5500,einstreichend,interdiction.,73
7319,randbereich,friske.,64
9111,nützlichkeit,utility,36
14230,noch,endnu,10
2146,rückgängig gemacht,undrafted.,94
1138,habe,hav.,98
8361,sofort,med det samme,60
6947,treue,troskab,67
12046,gegenwart,tilstedeværelse,32
4379,beschleunigen,fremskynde,38
6737,mordail,mortecai.,69
13105,genau,nøjagtig,19
8251,horizont,skyline.,61
4771,mungo,mongoose.,81
9507,dämmig,tvivlsom,52
12738,rallye,samle,22
11253,siehe,si.,38
9015,schlittschuh,skøjte,24
8098,abholen,saml op,61
7375,unwirksam,ineffektiv,63
8841,gesamtheit,helhed,57
1659,raucher,ryger.,82
11303,wettbewerber,konkurrenter,34
5684,verankerung,anchoress.,76
13065,im laufe der zeit,over tid,22
3365,unterbrechung,afbrydelse,46
12312,weltweit,i hele verden,30
7675,missbilligt,frowned.,59
3174,jawohl,jep,89
913,wohnheim,kollegieværelse,87
10651,optionen,muligheder,8
13414,kampf,kæmper,8
12956,jährlich,årligt,22
10384,zurückziehen,tilbagetrækning,30
13720,vorgehen,fortsæt,13
8108,kontextualität,kontekstuelle,60
11320,schritte,trin.,20
10953,abdeckung,dækning,10
3805,zähmen,tæmme,72
921,beschaffung,procurement.,81
4722,archaisch,gammeldags,81
8540,dachs,badger.,47
12492,seele,sjæl,27
1913,klappern.,lommeltet,37
644,kelte,celt.,88
4433,gefaillet,hyldet,19
9117,sexy,sexet.,55
14387,kurz,kort,12
14163,forschung,forskning,12
10021,bauteile,komponenter,32
1916,verteiler,manifolds.,68
8306,gepaart,parret,25
7389,leisten,have råd til,56
5682,nippel,brystvorte,71
14146,name,navn,7
1708,begehrt,eftertragten,92
5552,sistinisch,sistine.,77
12863,herausforderung,udfordring,16
2303,ablenkung,afbøjning,63
5846,fiskalisch,fiscal.,75
4001,vergoldet,forgyldt,85
13538,einhaltung,overholdelse,16
5959,glamour,glam.,74
5537,schlafzimmer,soveværelse,74
574,eintauchen,nedsænkning,89
2364,vervierfachen,firdobbelt,88
9646,feuerwerk,fyrværkeri,49
3669,betrug,fup,82
11312,versteckt,skjult,38
5135,zäsur,caesura.,79
13018,samstag,lørdag,22
2351,ulme,elm.,86
5554,rotary,roterende,76
13457,technik,tech.,17
8668,gesinnt,minded.,12
6220,fausthandschuh,mitt.,71
14428,unterstützung,bakker op,10
10037,wahrgenommen,opfattes,44
1521,zurückgreifen,recourse.,96
3431,falkenauge,hawkeye.,88
13659,auflösung,løsning,14
322,türsteher,bouncer.,98
2678,kleidung,attir.,89
14209,alt,gammel,12
12050,bock,buck.,30
6938,gasse,gyde,67
9302,eindeutig,undid.,54
10316,zwischenspeicher,cache,41
12655,ich bin,jeg er,27
13624,außen,uden for,15
7049,soße,sovs,67
4693,karikaturist,tegneserieist.,70
3352,dauerwelle,perm.,88
12665,gezeichnet,trukket,27
10312,ignorieren,ign.,46
9806,entscheiden,opt.,39
12408,abhalten,afskrække,29
13167,los los,gå gå,21
13674,viel,masse,14
9827,verbindungen,tilslutninger.,13
12901,stelle,få øje på,19
5444,quasi,kvasi.,77
13829,ihre,deres,7
10669,redaktionell,editorial.,38
8807,wahrnehmung,opfattelse,51
1438,pfingsten,pisecost.,70
13214,irisch,irsk,20
2032,beileid,kondolence,88
11790,interkurs,inter.,34
6787,remote,eksternt,42
2549,überwachten,overseaw.,92
5380,düster,dismal,78
5652,entzündet,igteous.,76
5154,unausgeglichen,ubalanceret,79
14165,stadt,by,9
3575,paradiesisch,himmelske,87
7919,siebzig,halvfjerds,52
11010,antenne,aerial.,40
12498,glück,held,28
8025,herzogin,hertuginess.,62
13423,früher,tidligere.,18
10401,spielzeug,legetøj,39
1442,dreizack,trident.,92
10196,eckback.,cornerback.,47
1889,kaskadierung,cascading.,66
10992,trug,havde på,41
5131,filisch,folicin,79
4395,feuerwaffe,skydevåben,52
8357,sechzehntel,sekstende,60
2367,gedeihen,trives,58
12105,rorie,rory.,32
5988,verfault,rådne,74
12606,beschuldigt,anklagede,19
11818,neben,udover,31
6854,pocken,kopper,69
3303,verschreibung,recept,83
7802,zyklonikum,cyclonic.,13
2138,gesetzlos,lovløs,87
14474,ausbildung,uddannelse,12
5694,geschwenkt,svingende,76
12174,kubus,cubs.,30
2140,getränkt,gennemblødt,86
12718,govern,gov.,26
5492,huka,hookah.,77
4968,nachtigall,nattergal,80
6483,unbedeutend,ubetydelig,69
6891,kläffen,yap.,68
9525,obdachlos,hjemløs,46
6014,repechnos,repechage.,74
661,anrufer,ringer.,67
1520,unethisch,uetisk,96
12804,auge,øje,19
4870,abnehmend,faldende,42
9349,sizilien,sicily.,53
5936,unaufrichtig,uncopyrighted.,75
2759,festzug,pageant.,88
6146,staat,sta.,73
12739,hören,høre,21
895,transplantat,pode,91
3702,stumpf,dull.,86
4360,schnappend,snapping.,38
45,schrift,skriften,82
4437,färber,dyer.,81
2388,wieder eingeführt,genindført,81
6676,maultier,muldyr,62
149,dringlichkeit,uopsættelighed,100
6431,aufsätze,essays.,40
14379,seite,side,12
1339,unerhört,uhørt,97
9668,knöchel,ankel,49
7975,überzahnen,overcame.,62
13683,vielleicht,måske,15
3648,nessel,nylder.,82
3040,laune,caprice.,85
7778,schnauze,næseparti,63
4004,phobie,fobi.,85
9774,überprüfung,verifikation,49
10775,zugehörigkeit,tilknytning,11
13233,halb,semi.,20
8168,erhitzt,opvarmet,23
1922,seeleute,sømand.,94
3260,affinität,tilhørsforhold,82
9553,brüssel,bruxelles.,51
201,kaplan,præst,94
3374,gerahmt,indrammet,28
2676,gestürzt,overthrown.,91
6555,gehirnerschütterung,hjernerystelse,68
5489,zuschlagen,pounce.,69
13779,wilhelm,william.,12
1493,fixierung,fiksering,94
4745,ein v,av.,81
3539,typhus-,tyfoid.,88
8602,hundertjährig,centennial,56
3114,milz,milten,88
9278,unverblümt,sløv,53
13749,spur,spore,12
1898,ei.,eye.,94
6992,lee-,leeward.,63
3727,stillwater.,stillestående vand,87
8496,uhrwerk,clockwork.,59
8110,halbmond,halvmåne,62
8622,ohren,ører.,39
1494,sich verwickeln,mistook,96
3565,verwirrt,forvirret,47
4837,kühlschrank,køleskab,67
9731,spender,donor.,45
13249,schnellstraße,speedway.,20
7863,würstchen,pølse,59
13448,sich,dem selv,17
613,geprüft,undersøgt,96
605,heruntergewirtschaftet,kørt ned,99
8784,raumfahrzeug,rumfartøj,57
5638,salon,lounge.,73
4303,unersetzlich,uerstattelig,82
12164,aufzug,løfte op,20
10683,igel,pindsvin,43
11295,lieferungen,forsyninger.,22
5927,kopfschmerzen,hovedpine,70
13862,jahre,flere år,7
12984,österreich,østrig.,23
2891,überschwemmt,oversvømmet,79
8156,erz,malm,60
7154,unmittelbar bevorstehend,forestående,66
11186,schweizerisch,swiss.,39
3252,ansässig,sizely,89
12631,grau,grå,26
1294,säuglinge,spædbørn.,57
14002,enthalten,omfatte,7
8319,salbei,sage.,60
13982,entwicklung,udvikling,12
2175,nicht definiert,undefined.,92
10814,verdammt,for pokker,38
5233,hauptbuch,ledger.,79
3087,feurig,fiery.,89
8167,teilnehmer,deltagere,55
12258,männlich,han-,29
7306,zuhälter,pimp.,64
14435,gewonnen,vandt,9
13251,glocke,klokke,19
824,einsiedler,recluse.,98
6582,trichter,hopper.,67
12344,am schnellsten,hurtigste.,30
7745,verlies,fangehul,47
5319,bienen,bier,38
4922,heben,hove.,81
14041,bereits,allerede,9
10449,georgisch,georgian.,42
3871,entsetzlich,forfærdeligt.,53
5386,schlammig,mudret,75
10757,messgerät,målestok,41
25,ameisen,myrer.,42
469,gesteckt,sneg sig,56
9036,schlagmann,batsman.,56
10269,hässlich,grim,43
682,geknickt,bogged.,73
3294,brötchen,bun.,58
6454,athener,athenian.,65
6273,ausgleichen.,offset.,68
7874,milliardäre,billionaires.,61
11749,richtigkeit,nøjagtighed,35
7659,vergessenheit,glemsel,64
7158,öko,eco.,67
5488,schweiß,sved,71
11822,zurück sein,være tilbage,34
9012,rutsch,rly,56
9368,uns selbst,os selv,53
6783,marken,marques.,62
13964,vier,fire,7
11850,das passiert,sker,13
6835,passah,passover.,69
10551,schwung,momentum.,44
3886,diplom,eksamensbevis,84
3197,gesundheitswesen,healthcare.,89
11709,räumliche nähe,nærhed,35
5767,leuchtfeuer,ledestjerne,73
10172,papagei,papegøje,46
1887,still stehen,standstill.,94
9653,geblasen,blæst,51
4179,rollen,reels.,55
13936,unser,vores,5
7850,grausamkeiten,grusomheder.,59
920,aquarell,akvarel,98
4249,minensuchboot,minesweeper.,79
10916,kupfer,kobber,41
13461,kürzer,kortere,17
12235,gefängnis,fængsel,21
4333,ungebunden,untied.,83
4632,pfannkuchen,pandekage,76
4139,nordwärts,nordpå,37
4726,rückstand,efterslæb,78
7216,pelzig,furry.,67
1905,goldschmied,guldsmith.,88
9618,stechpalme,holly.,50
10173,mittelmeer,middelhavet.,47
7611,entfesselt,frigjort,62
1059,vollsprecher,enforcer.,32
13618,plaudern,snak,16
7891,amoklauf,rampage.,61
5840,kauderwelsch,sludder,75
11551,anstoß,kickoff.,36
138,verstohlen,furtive.,98
8484,fechter,dexter.,58
13208,strahl,ray.,19
5184,futterform,fabiform.,79
372,vergünstigungen,perks.,98
13794,und,og,5
2162,fehlinterpretiert,fejlfortolket,75
11971,lkw,lastbil,29
1272,zweifellos,tweaked.,69
4341,äsop,aesop.,83
6488,verzogen,warped.,62
11038,sumpf,marsk,39
9667,brunnen,springvand,50
277,limousine,sedans.,53
13582,geschichte,historie,14
10187,angestellter,medarbejder,31
2263,waschraum,vaskerum,93
2569,juroren,jurymedlemmer,77
14066,hinzugefügt,tilføjet,6
13518,unterseite,bund,17
11703,säule,kolonne,31
12852,wald,skov,23
5795,umwerben,woo.,73
4389,unwiderruflich.,uigenkaldeligt,82
2766,leibeigenschaft,serfdom.,91
473,spielerei,gimmick.,97
9170,schüttgut,bulk,55
8255,wohlfahrt,velfærd,61
13957,mehrere,flere,9
8997,schüren,stoke.,48
11027,mitgliedschaft,medlemskab,40
12981,zeitplan,tidsplan,16
12323,futter,chuck.,30
9746,verzweifelt,desperat,41
13521,vergeben,pris,11
7704,waschbär,vaskebjørn,63
4126,rezept,opskrift,75
14425,immer,nogensinde,13
12771,tier,dyr,15
6907,schmiere,goo.,68
12030,phrase,udtryk,27
6759,fruchtfleisch,pulp,69
11530,abgerufen,hentes,32
11938,käse,ost,33
8737,abweichen,nedsættende,58
14267,gebäude,bygning,12
11798,wachsend,vokser.,27
7208,affekte,påvirker,11
10414,reitway,broadway.,45
2401,verletzungen,overtrædelser,80
14410,aussehen,ser ud,5
10129,erkannte,gik op for,28
5963,anpassen,justere,42
10463,neu beschleunigt,omfordeles,44
14444,fortsetzung,fortsatte,6
6267,bauer,bonde,57
6289,helligkeit,lysstyrke,38
10827,siedlung,afregning,37
8459,schatzkammer,treasury.,59
13450,nichtsdestotrotz,alligevel,17
9464,kriegszeit,krigstid,52
11858,höhe,højder,26
4645,abteil,rum,75
1930,knechtschaft,trældom,94
10898,lizenz,licens,37
8985,durchdacht,uddybe,48
7172,ausblasen,blowout.,65
7514,ausstellungsstück,udstille,30
4055,vorwand,påskud.,83
1741,schirmherrschaft,patronage.,95
8330,sonnenaufgang,solopgang,60
13634,nicht registriert,uregistreret,15
11465,darstellung,repræsentation,34
13163,nuklearer,atomisk,21
11816,fälschung,forfalskning,31
1287,unentschieden,uncheded.,95
11194,spezies,arter.,39
5925,regnerisch,regnfuld,75
8414,unglaublich,utroligt,43
3386,ungläubig,vantro,88
8818,schlagzeuger,trommeslager,55
395,pummelig,buttede,100
3088,mixer,blender.,89
13020,zustimmung,aftale,21
11698,abgebrochen,annulleret,28
3846,lizenzgeber,licensor.,86
7452,milchig,milky.,65
3185,feigling,kujon,81
14210,bietet an,tilbud,18
12542,fisch,fisk,24
6698,deich,dyke.,66
14031,früh,tidlig,12
12295,dienstplan,roster.,28
8557,kappe,conn.,59
10214,finnisch,finsk,46
10300,gefüttert,fed.,46
7189,yachthafen,marina,67
3389,ölen,olier,20
3684,mäster,med.,87
4587,rückgrat,rygrad,81
2946,ziegen,geder.,49
2826,dreimal,tre gange.,90
3510,abschleppen,bugsere,57
5517,unsterblich,udødelig,62
9374,türken,turks.,45
3942,ausgenutzt,udnyttet,46
2599,leibwächter,livvagt,83
1893,predigt,prædiken,88
5448,stechend,spurious.,77
13698,hinweise,tips,14
14359,bei,på,5
10152,tasche,lomme,42
8474,zielen,måling,25
10089,bruch,breath.,17
9309,einreiben,gnide i,54
236,glücklos,hapless,100
977,schlick,silt.,97
3037,sonnenfische,sunfish.,90
8257,tierwelt,wildlife.,61
12580,rede,tale,26
5505,quote,kvota,70
1407,zu ändern,ændringende,22
7658,seiler,mailer.,64
13132,alles,alt,21
2334,namensvetter,navneake.,91
8142,abwechslungsreich,varieret,25
6990,mörser,mortars.,43
8685,entstanden,opstod,58
9079,feste freundin,kæreste,54
9257,rennfahrer,racer.,39
4267,geschoss,butik,74
3592,kopfkissen,pude,82
1186,spitzig,sharpie.,98
13062,mädchen,piger,16
6780,vorarbeiter,foreman.,69
4324,verflechtung,deb.,72
10638,jünger,yngre,43
10518,norwegisch,norsk,43
3060,eckig,vinkel.,89
4747,quetschen,presse,67
8188,sanftmütig,meek.,61
5657,zufriedenstellend,tilfredsstillende,76
5282,wortschatz,ordforråd,78
8918,verpflichtend,obligatorisk,56
11241,wütend,vred,38
6825,zwanziger jahre,tyverne,17
14024,quartal,kvarter,11
4484,grazien,gracias.,83
992,glanz,gloss.,88
11826,tschüss,farvel,32
13182,römisch,roman,20
9029,sibirisch,sibirian.,55
10579,fohlen,hingst,25
6018,menschwerdung,inkarnation,52
6683,unterscheiden,differentiere,45
10336,kleinst,mindste.,46
4013,tarnung,camouflage,80
4548,verheddert,tangled.,74
11104,schrittweise,lidt efter lidt,38
5710,entführt,abducted.,54
8786,gebühr,betaling,49
347,postbote,postbud,100
2358,entsalzung,afsaltning,92
4211,packen,tager fat,44
11273,seriell.,serienummer,37
10351,falschmeldung,fupnummer,38
8198,überwiegend,overvejende,61
11655,fallend,falder.,14
9023,neuer,nyere,56
2315,balkon,altan,85
10127,achtzeitig,awm.,47
9306,polizisten,politifolk,54
4702,unverantwortlich,uansvarlig.,79
4673,harmlos,uskadelig,82
688,allgegenwärtig,ubiquitous.,99
5725,beachten,heed.,69
13619,erhältlich,ledig,15
6419,höhepunkt,klimaks,69
4916,unwahrscheinlich,usandsynlig,78
9691,ihr mann,herman.,50
10939,strang,hank.,37
13449,ernsthaft,helt seriøst,17
13044,bedeutung,betydning,12
6169,keine ahnung,ved ikke,73
7865,metapher,metafor,58
3267,unbewiesen,uprøvet,88
1839,versteift,stivnet,90
6332,sterisch,stm.,72
5816,vermeidet,undgås.,7
11414,überfallen,raid,30
11369,engagiert,dedikeret.,35
11397,gefolgert,udledes,35
9177,erdbeere,jordbær,53
9256,schmerzhaft,curt.,54
552,nicht aufgeteilt,unlinked.,96
7530,vorteilhaft,gavnlig,64
8302,aussagen,utter.,55
9164,fersen,hæle,48
5774,geprägt,mønter,19
6285,inhibitor,hæmmer,66
4255,nachhut,rearguard.,84
6308,garnele,reje,72
8149,eingebunden,indledt,51
13754,hochladen,upload,9
7434,akzent,accent,58
827,einlass,fjord,98
12647,bedrohungen,trusler.,17
3351,klecks,blob.,86
4520,dich,dig.,82
2616,glücklicher,lykkeligere,91
261,freimaurer.,freemasons.,94
8742,zerstört,nedrevet,54
11076,musiker,musicians.,26
1147,stirb langsam,dø hårdt,98
12728,fuhrmann,carter.,26
10413,scharf,skarp,44
10774,verlängerung,udvidelse,25
