ID,DEUTSCH,ENGLISH,INTERVAL
8454,gewünscht,desired,32
1228,feuchtest,wettest,98
12537,kopien,copies,13
9385,mais,corn,51
12289,palast,palace,30
7503,lilie,lily,64
6604,tau,dew,71
9980,wiederaufbau,reconstruction,43
372,vergünstigungen,perks,98
4890,labe,lub,81
9326,litauisch,lithuanian,53
5771,perlen,beads,67
13367,6.,6th,18
6651,auslauf,outlet,51
2407,keimung,germination,91
7860,blick,glance,60
4474,schläfrig,sleepy,83
8097,virsianisch,viridian,62
11996,siegel,seal,25
10631,bergab,downhill,42
10398,nackt,naked,46
10129,erkannte,realized,28
12672,zwölf,twelve,27
9904,kontaktiert,contacted,6
14292,fälle,cases,7
6990,mörser,mortars,44
2222,zimt,cinnamon,94
8357,sechzehntel,sixteenth,61
8996,flüstern,whisper,37
12517,abgefeuert,fired,12
14126,jeden,every,12
6966,ungünstig,unfavorable,68
10963,briefmarke,stamp,36
5709,irrtum,fallacy,67
5616,gelehrt,lew,77
5331,sackgasse,deadlock,71
7797,davon,thereof,64
9989,nordöstlich.,northeastward,49
11031,schießerei,shootout,40
7376,beurteiler,assessors,66
4367,sanierung,redevelopment,66
11606,sauerstoff,oxygen,36
14503,verteilung,distribution,24
6233,birmanisch,burmese,74
4482,in der lage sind?,tait,83
2469,großgeschrieben,capitalised,73
12578,libanesisch,lebanese,28
4825,fata morgana,mirage,82
5237,flugzeugbesatzung,aircrew,57
14170,erhalten,received,7
4294,schere,scissors,73
489,schieben,shove,79
5716,enkel,grandson,75
7982,jammern,complaining,33
6440,plappern,babble,71
11969,ausgezeichnet,excellent,28
9344,rasen,lawn,53
1933,rumtreiber,marauder,83
1506,ägide,aegis,96
13108,führer,leader,15
6107,regenwurm,earthworm,74
10872,sich verengen,narrow,37
521,aufgereiht,strung,99
11305,vulkan,volcano,37
8918,verpflichtend,mandatory,57
2252,unschätzbarlich,invaluable,94
7029,holzwärts,woodward,69
12281,langsam,slowly,31
3650,dreh dich um,turnaround,85
12383,wartung,maintenance,30
1315,in großbuchstaben.,uppercase,97
10347,ganzzahlen,integers,38
12922,nachweisen,proof,22
12142,flucht,escape,26
3023,spöttisch,slain,90
3450,fusszeile,footer,86
11103,dürftig,dropping,15
5474,hervorstechend,salient,78
9186,suppe,soup,55
10824,rasierer,razor,42
12103,wandlung,conversion,21
10886,ablösung,detachment,34
10380,hilame,hilary,41
13563,gebaut,built,16
2172,kaninchen,rabbits,38
11349,gast,guest,34
11114,auster,oyster,40
5712,verschmutzte,fouled,39
8234,gelehnt,leaning,49
7566,empfiehlt,recommends,15
2729,kreuzungen,junctions,47
1012,ausbrennen,burnout,97
12583,grube,pit,21
13584,größe,size,15
9508,wut,rage,45
13827,würde,would,5
13078,flughafen,airport,21
9885,gesang,vocals,39
2006,tischler,carpenters,51
6652,kreide,chalk,69
7325,schwerter,swords,38
3010,wahllos,indiscriminately,49
9485,kindisch,childish,52
10079,landwirtschaftlich,agricultural,34
1795,erblich,hereditary,95
6489,peinlich,embarrassing,51
4594,produktiv,prolific,82
4111,verkürzung,shortening,40
5268,verkäufer,seller,62
9502,kolumbianisch,colombian,52
2030,erlass,enactment,33
8152,geduld,patience,62
5871,wägh,waugh,76
9241,keine männer,nomen,55
5530,klappentext,blurb,76
5515,inserat,advert,64
8611,bohren,drill,46
7889,sich verhalten,behave,46
13642,aufzeichnungen,records,9
9323,tödlich,fatal,30
12647,bedrohungen,threats,17
6464,versteigerung,auction,63
13954,gut,good,7
12511,richtung,direction,14
6080,tante,aunt,73
7268,tune,tunis,67
9728,arbeiter,worker,25
7111,beute,booty,66
12157,lücke,gap,30
6114,zeichen,token,69
9938,kippen,cant,49
13400,werdegang,career,18
11079,südosten,southeastern,40
2634,pfote,paw,87
9500,barmherzig,mercy,50
6819,koppel,paddock,70
7373,eingeweiht,privy,67
7342,keramik,pottery,65
9027,dreck,mud,56
1938,kenntnis,cognizant,94
9315,kopatisch,copa,54
1560,bedeckt,overcast,96
13352,ausschuss,committee,18
956,löschen,extinguish,64
6217,reiter,equestrian,70
8417,außer acht lassen,disregard,53
14063,abteilung,department,11
3977,umschrieben,rewrote,86
503,getauft,christened,92
13781,sieg,victory,13
2168,auffällig,conspicuous,88
2612,untertitel,subtitle,75
242,reagieren,reactive,39
12043,u-bahn,subway,32
5836,fink,finch,72
11411,langsamer,slower,38
5720,modi,modes,38
3160,südost,southeastward,89
10547,kaserne,barracks,44
205,bratpfanne,skillet,100
12695,flut,flood,17
9095,dschibuti.,djibouti,56
2645,autokratie,autocracy,92
8604,klug,clever,59
8286,aussperrung,lockout,61
12369,apfel,apple,29
8273,ureinwohner,aboriginal,50
11108,erkunden,scout,28
7186,gravur,engraving,49
13067,bruder,brother,16
13424,truppen,troops,16
13657,notizität,notability,10
12667,besatzung,crew,23
14444,fortsetzung,continued,6
13633,gegenstand,matter,14
10761,haustier,pet,39
13031,stiftung,foundation,22
13973,angerufen,called,10
2520,geldautomat,atm,92
11762,kapuze,hood,33
11053,mittag,noon,41
957,plättchen,platelet,94
3873,fußgänger,pedestrian,80
11659,vorläufig,provisional,35
10460,romantik,romance,45
10883,rasse,racial,29
8218,außergewöhnlich,exceptional,17
11505,anwendung,application,25
6301,schwindlig,dizzy,69
13790,fernsehen,television,13
10609,nordosten,northeastern,44
2276,schenkel,thigh,90
4726,rückstand,backlog,79
4993,streitwagen,chariot,73
157,hefter,stapler,100
10873,erbe,heritage,42
10512,gesperrt,locked,31
1783,laus,louse,95
1589,vokal,vowel,78
10715,streben,pursue,36
4017,sonnenwende,solstice,83
7281,stromspannung,voltage,65
4946,wiederholt.,reiterated,61
5901,unbeabsichtigt,unintentional,68
4456,kartesisch,cartesian,83
2942,löwenzahn,dandelion,89
13072,welle,wave,19
4724,lecken,lick,71
10892,zerschlagen,smash,34
7957,klobig,chunky,63
2552,unbesiegbar,invincible,90
11062,serbisch,serbian,40
4206,rutsche,slides,46
13634,nicht registriert,unregistered,15
3133,abtrünnig,renegade,62
11720,entdeckung,discovery,31
8667,elfenbein,ivory,59
166,umgehungsstraße,beltway,100
13023,rand,border,20
2638,bogenschützen,archers,62
1756,klassenkameraden,classmates,86
4580,strandkopf,beachhead,82
10978,süss,sweet,40
2098,schwarzes wasser,blackwater,94
14425,immer,ever,13
7306,zuhälter,pimp,65
4742,beschämt,ashamed,81
11287,band,tape,32
12450,ente,duck,24
10437,friedlich,peaceful,18
11504,neunzehnten,nineteenth,37
6891,kläffen,yap,69
5883,wahlkreis,constituency,54
1252,sketch,skit,88
815,ausschnitt,neckline,89
10459,epos,epic,45
2736,quacksalber,quack,90
8247,nuss,nut,48
10052,gummi,rubber,48
5009,zange,tong,79
8172,darstellen,depicting,28
448,rettungsboot,lifeboat,97
11745,baumwolle,cotton,35
1494,sich verwickeln,mistook,96
9883,festung,fortress,47
10252,ältere,elder,44
7205,sanitäre hygiene.,sanitation,64
2708,erzengel,archangel,90
266,nachsichtig,lenient,97
7100,wenigsten,fewest,68
4917,aufstieg,ascent,81
1931,hagel,hailstorm,91
8422,unerwartet,unexpected,61
9445,entführung,kidnapping,38
1700,verbannt,banished,80
2570,lagerfeuer,bonfire,89
11877,zeitgenössisch,contemporary,33
8503,staatsbürgerschaft,citizenship,60
9716,schneesturm,blizzard,50
9353,see hund,seadog,54
10479,äthiopisch,ethiopian,44
2477,abfließen,runoff,92
7879,krecher,crocker,63
7638,aeromedizinisch,aeromedical,65
10213,mächtig,mighty,47
9987,warenzeichen,trademark,46
10901,gefälscht,fake,38
12591,die übung,exercise,24
12076,krebs,cancer,32
14339,berücksichtigt,considered,5
11991,tarnieren.,tarnishing,29
724,offenkundig,overt,99
4055,vorwand,pretext,83
4282,fade,bland,84
4433,gefaillet,hailed,19
10935,eiche,oak,38
10725,laut,loud,43
10958,reste,remnants,36
3777,spärlich,sparse,72
8470,wegbrechen,breakaway,60
4652,kobold,bogey,71
10188,benachrichtigung,notification,46
4677,kanus,canuck,82
1285,induzieren,induce,56
6450,ladegerät,charger,35
12585,rauben,rob,27
9029,sibirisch,siberian,56
9193,vorteile,advantages,23
6250,ertrinken,drowning,54
10830,hersteller,manufacturers,25
2353,unmut,displeasure,93
12476,seriös,reputable,24
14349,bereitgestellt,provided,6
6252,heilung,cure,65
4363,geehrt,honoured,18
7416,zurückweisen,dismiss,32
6014,repechnos,repechage,75
2988,zweifel,doubters,87
11749,richtigkeit,accuracy,35
4823,met,mead,76
11315,vorgesetzter,superior,35
4368,ehrlichkeit,honesty,84
4943,unfug,mischief,80
10827,siedlung,settlement,37
7363,außenfeld,outfield,19
5582,irgendwann mal,someday,77
3762,hacken,chop,66
2618,aufregung,fuss,88
4435,krankenschwestern,nurses,43
11778,ungeeignet,unsuitable,35
12663,töpfer,potter,27
9066,zusammenfassung,synopsis,56
6209,stadtrand,outskirts,74
7399,erschöpft,exhausted,46
12756,handy  mobiltelefon,mobile,19
1160,kapuziner,capuchin,98
2024,bosheit,malice,92
3389,ölen,oils,20
9984,wiederwahl,reelection,47
9010,neu starten,restart,46
11001,feder,fe,41
5664,kreuzung,crossroads,76
14042,angekündigt,announced,15
10943,grade,degrees,27
13414,kampf,fighting,8
12902,vergessen,forget,23
7103,ausgestorben,extinct,48
13393,trifft,meets,12
5878,reif,ripe,75
929,hebelkraft,leverage,89
4131,käsig,cheesy,84
4990,backen,jaws,62
8022,farbstoff,dye,58
12267,hassen,hate,28
2989,nicht informiert,uninformed,83
1059,vollsprecher,enforcer,33
9655,bücher,bowie,52
3651,weisen,magi,88
8705,tugend,virtue,55
4443,wasser-,aquatic,52
6492,seebrücke,pier,64
1267,akkumulieren,accumulate,49
490,zivil,civ,99
14367,bild,image,6
2766,leibeigenschaft,serfdom,91
2266,landsmann,compatriot,88
12576,gefühlt,felt,28
7613,ehrenamtlich,honorary,65
3600,ängstlich,anxious,88
5528,bohnen,beans,38
1563,ozeanisch,oceanian,96
10209,wette,bet,40
11261,kalkisch,cal,39
9475,herabgestuft,downgraded,51
4169,schnurrbart,moustache,82
642,gelähmt,paralyzed,95
10300,gefüttert,fed,46
10718,wimpel,pennant,42
8737,abweichen,derogatory,58
11916,belegt,occupied,29
4947,konforme,compliant,81
6678,kalkstein,limestone,71
1299,kommentiert,annotated,85
13545,aussage,statement,13
9729,neunzehn,nineteen,51
7411,lettisch,latvian,65
14058,wissen,know,8
11483,dauer,duration,37
11263,deckel,cap,27
14512,zeitung,newspaper,18
9589,phain,ph,52
9116,hoppla,oops,56
2443,zuweisungen,assigns,16
9093,absolvent,graduate,39
3699,locker,slack,85
7568,wo auch immer,wherever,65
3716,zurückbehaltung,retention,83
11824,vorsitzende,chairman,35
7172,ausblasen,blowout,66
10390,schöne grüße,greetings,38
3104,jugendliche,youngsters,82
10475,vermutlich,presumably,33
5971,lebewohl,farewell,74
5164,blumenkrone,corolla,79
2739,bekloppt,daft,91
10774,verlängerung,extension,25
7333,knifflig,tricky,67
9880,orientierungshilfe,guidance,50
8010,eingebettet,embedded,61
3404,ausschlag,rash,87
8343,puma,cougar,38
1084,festgelegte,stipulated,81
5858,kriechend,smee,76
9268,begegnen,encounter,33
9708,abstieg,descent,51
5209,vergänglichkeit,evanescence,79
3494,überlieferung,lore,81
14520,unabhängigkeit,independant,15
11232,gewalttätig,violent,38
12066,favorisieren,favor,25
14125,hälfte,half,12
4308,sanft,gentle,83
5109,nicht spezifiziert,unspecified,80
6676,maultier,mule,63
12230,hüfte,hip,30
13784,klein,small,13
11068,ei,egg,38
13715,schmied,smith,14
3912,bildnis,effigy,83
1437,stillen,staunch,96
1654,hodensack,scrotum,95
6310,marokkanisch,moroccan,69
8380,verkündet,proclaimed,51
13599,ist zurückgekommen,returned,12
3197,gesundheitswesen,healthcare,89
13494,anfragen,queries,16
14107,allgemein,general,9
13884,drei,three,8
13401,10.,10th,18
13842,jahr,year,7
11734,kette,chain,33
1038,fischartig,fishy,98
8284,neu eingesetzte,redeployed,55
13347,ausdehnt.,disambiguation,18
14037,bereich,area,11
8381,lebenszeit,lifetime,61
11122,freibeuter,buccaneers,39
13287,reich,empire,19
13125,kunstwerk,artwork,21
4874,fiktiv.,fictitious,81
1283,ertreiben,drab,96
4520,dich,thee,83
6057,kreta,crete,75
11226,festsetzung,fixing,11
4657,aufrechterhalten,uphold,63
7451,kollegen,colleagues,58
6613,zobel,sable,71
5509,exzenter,eccentric,55
8719,klage,lawsuit,53
13451,film,movie,16
722,made,maggot,96
14504,läuft,runs,9
5398,nonne,nun,69
7048,stamm,trunk,61
2454,gedämpft,subdued,82
12010,marmelade,jam,30
7452,milchig,milky,66
9961,selten,rarely,31
362,diskriminierend,discriminatory,100
4460,quätig,quakers,68
3250,flipper,pinball,88
7198,rückstoß,recoil,67
3359,border,grounder,88
8482,korn,grain,55
995,note,wog,98
3434,sensorisch.,sensory,88
12339,n / a,na,30
4903,rentier,reindeer,81
5013,abonnement,subscription,68
765,laib,loaf,97
1271,gierig,greedy,96
3822,bestickt,embroidered,84
3220,wellig,wavy,88
7258,schienbein,shin,65
8376,zuversichtlich,confident,38
11227,z.b,eg,39
2533,heldentum,heroism,92
2499,unterkühlung,hypothermia,92
4398,berater,advisors,63
1039,provisorisch.,makeshift,98
895,transplantat,graft,91
8109,schließfach,locker,62
10520,kino,cinema,43
6585,erdferkel,aardvark,71
13316,heilige,saint,16
3442,statt,stead,87
7146,seicht,shallow,66
13921,sagen,say,10
5300,linke,leftist,73
5409,sicherer,safer,78
2775,antike,antics,89
6929,unterschiedlich,variously,69
10215,gesund,hale,47
4526,nachnamen,surnames,42
288,mikroskopie,microscopy,100
4378,sächse,saxons,58
3966,kürbisse,pumpkins,62
1392,verhängung,imposition,97
4728,zehen,toes,53
9166,diskriminierung,discrimination,50
11545,wohnung,flat,35
3163,chemiker,chemist,74
11468,stange,rod,37
11389,anmeldung,login,38
14217,wieder,again,6
1083,zügel,reins,77
12174,kubus,cubs,31
11393,bogen,arc,37
7272,weinen,crying,37
6028,fastenzeit,lent,75
10721,sessel,chair,38
5536,geknackt,cracked,38
1465,der reihe nach,sequentially,69
12912,konzern,corporation,19
3459,saftig,juicy,88
13879,jetzt,now,8
12475,rakete,missile,25
12918,ziel,target,17
6386,harfe,harp,70
7270,quadrate,squares,18
13924,gegen,against,9
3085,offenlegen,disclose,64
6689,verkleidung,disguise,51
9962,toilette,wc,49
13939,nächste,next,6
11674,besorgt,afraid,36
10383,inoffiziell,unofficial,43
7913,saiten,strings,34
850,kaledonisch,caledonian,99
14371,bedeutsam,significant,12
9815,hängend,hanging,36
10823,fokussiert,focused,34
8102,benachbart,neighbouring,40
6150,schlitten,sled,73
13253,bedenken,concerns,11
4750,kambodschanisch,cambodian,79
69,kleriker,clerics,72
4145,tiefgreifend,profound,84
12736,drücken,pressing,15
819,bisher,hitherto,99
2833,tapisserie,tapestry,90
3836,köstrufe,antitrust,87
953,blütenblätter,petals,92
1075,knirps,tot,82
844,schnappelnd,snatch,77
5091,tropen,tropics,10
5759,eile,hurry,71
5840,kauderwelsch,gibberish,76
8656,nervenzusammenbruch,breakdown,58
5425,großes horn,bighorn,78
2058,gänzlich,handedly,94
1002,strauch,shrub,96
9336,trümmer,debris,54
10206,dipsel,dipt,47
3055,weiterleiten,handoff,90
2348,sollte nicht,shouldnt,93
10375,flugplatz,airfield,38
11672,wasserstoff,hydrogen,35
14072,befehl,order,11
14397,feuer,fire,12
4364,ksc.,csc,84
12891,pleite,broke,24
9730,ausbuchtung,bulge,51
11579,schall-,sonic,36
6037,konzour,concourse,74
2310,respektlos,disrespectful,76
13701,daten,data,14
7518,überkreuzung,crossover,62
12251,heilig,holy,30
863,sättigung,saturation,65
11148,herunterladen,download,32
8250,ausgewiesen,expelled,56
13179,vergehen,offense,12
5696,grundstück,groundout,77
14278,rechnung,bill,12
6682,steil,steep,69
12563,fest,tight,28
9399,unbenannte,unnamed,53
12004,stufen,levels,13
7157,vorhang,curtain,64
7326,zurücksetzen,reset,63
12264,kohlenstoff,carbon,29
8887,koli.,coli,57
9921,aktualisierung,refresh,46
6809,hebel,lever,68
5173,freizeit,leisure,78
571,schlafsaal,dormitory,92
174,emaille,enamel,98
8471,glücksspieler,punter,51
11286,neigen,tend,32
4043,einfachheit,simplicity,84
4369,unhöflichkeit,incivility,70
5262,routinemäßig,routinely,51
6445,reiher,heron,73
12367,wahnsinn,insanity,24
1444,diakritiker,diacritics,91
11418,spiegel,mirror,35
5012,zyklo,cyclo,80
10281,grafschaft,shire,47
464,wachung,wielding,87
1221,entschädigt,compensatory,98
8529,dachdecker,slater,60
7567,anlagegut,asset,43
9621,stadtrat,councillor,50
12105,rorie,rory,32
1424,gesänge,chants,55
1821,beuteltier,marsupial,95
14151,süd,south,10
6955,dieb,thief,69
5615,zitrik,citric,77
3632,überproportional.,disproportionate,81
13667,nichts,nothing,15
8649,maße,dimensions,45
9931,folter,torture,44
8533,gründlich,thoroughly,60
8145,entzündungslos,inflammatory,62
6269,kohlenhydrat,carbohydrate,73
12409,berechtigt,entitled,29
8702,sturz,overthrow,57
10148,schimpanse,chimp,47
14442,entschieden,decided,8
12742,bewaffnet,armed,16
13856,nur,only,7
1868,kollidierend,colliding,48
7168,sich herausstellen,turnout,66
8214,krampfanfall,seizure,59
2962,geschwister,siblings,75
8188,sanftmütig,meek,62
13474,endlich,finally,9
8341,segeltuch,canvas,61
10749,ufer,shore,40
1016,nicken,nod,92
12005,seltsam,odd,29
13624,außen,outside,15
1992,böig,gusty,94
12516,zivilisten,civilians,21
5702,branche,biz,77
5660,sarg,coffin,74
11562,niedrigsten,lowest,37
11311,rückgängig machen,undo,26
10889,zählt,counts,13
6508,eberesche,rowan,72
8088,verpfändet,pledged,48
5589,brühe,brewing,46
1404,dankbarkeit,gratitude,96
13964,vier,four,7
14271,wirklich,really,12
11149,gefährlich,dangerous,24
10643,spinnen,spun,44
8795,niere,kidney,56
10388,amtieren,interstate,45
14046,wenig,little,12
10063,qualifikation,qualifier,10
13934,dann,then,6
10196,eckback.,cornerback,47
11993,ungültig,invalid,32
654,krümel,roble,87
8977,scharfschütze,sniper,53
12335,as,ace,27
13471,auf,upon,17
9584,langwierig,lengthy,52
1110,umgruppiert,regrouped,83
12745,foto,photograph,14
13848,hinein,into,8
6827,ruck,yank,56
12090,führung,leadership,32
6732,doppelpunkt,colon,47
6078,kalkulationstabelle,spreadsheet,73
4571,einstweilige verfügung,injunction,79
5027,prophezeiung,prophecy,73
4730,plädiert,pleaded,62
4328,sündenbock,patsy,83
13929,weg,way,8
5203,worin,wherein,79
4484,grazien,gracias,83
9651,hinrichtung,execution,22
6892,fidschianer,fijian,70
5963,anpassen,adjust,42
2223,rachsüchtig,vengeful,92
9548,mei,meu,52
4426,bürokratie,bureaucracy,83
1890,verfallen,lapsed,74
13950,verwendung,using,5
12,gewöhnlich,ordinarily,100
2806,lackieren.,lackluster,91
5298,verborgen,concealed,60
6922,sperre,wee,69
3451,kleeblatt,shamrock,70
13783,verwechslung,confusion,11
12434,luftbrücke,airlift,28
13792,von,of,5
6393,reservierungen,reservations,15
10503,strahlung,radiation,42
5151,sportler,sportsman,80
10218,in bezug auf,pertaining,42
8545,synchronisieren,sync,59
5230,wirbel,vortex,79
6169,keine ahnung,dunno,74
7319,randbereich,fringe,65
13330,pilz,mushroom,19
3279,darin,therein,89
7997,glühend,incandescent,62
9681,venedig,venice,51
11396,überspringen,skip,33
9562,gehalt,salary,48
2938,begreifen,comprehend,87
8688,pfeffer,peppers,36
10624,konsolidiert,consolidated,37
2850,überlastung,congestion,85
3172,ablenkend,distracting,56
7622,missbräuchlich,improper,65
14222,nahe,near,12
10748,kabellos,wireless,43
5843,schmirgel,emery,76
11203,stolz,proud,39
5791,verdrahtet,wired,36
3856,zubehör,accessories,71
14383,vorschlag,proposal,12
8570,schatter,shad,60
8645,schutz,shelter,49
3258,spurhaft,spurrier,89
6728,korinther.,corinthians,66
6065,empörung,outrage,57
1131,okkulte,occult,75
12927,empfang,receiving,7
11430,dreieinigkeit,trinity,38
12184,lizenziert,unlicensed,32
13341,dichter,poet,18
10642,probe,sample,34
14033,denken,think,9
12640,schalter,counter,26
10404,lärm,noise,45
12376,ritter,knight,24
12275,mord,murder,24
9615,zusammenfassen,summarize,41
8826,wab.,wb,58
3339,herberge,hostel,85
7269,koffein,caffeine,67
7550,anregend,evocative,65
3131,gähnen,yawn,87
13666,königreich,kingdom,15
4149,rucksack,backpack,71
1242,fleck,stain,67
11000,mund,mouth,38
4956,porzent,horsepower,80
13838,neu,new,7
13028,schaltkreis,circuit,21
6273,ausgleichen.,offset,69
5652,entzündet,igneous,77
2019,aufwacht,woke,94
2623,gefolge,entourage,92
1812,grundstein,cornerstone,91
2089,unbeteiligt,uninvolved,94
2245,verpfänden,pawn,80
7470,entsorgung,disposal,51
10379,trockenheit,drought,45
1408,schläfer,sleeper,93
11652,verwechselt,mistaken,36
6919,raubvogel,raptor,51
14141,fällig,due,7
13931,zustand,state,7
2390,sportlerin.,sportscaster,88
3026,tribünen,bleachers,88
11498,zeitungen,newspapers,18
4193,anstriche,strikeout,44
1561,einsiedelei,hermitage,96
5988,verfault,rotten,75
5470,zugabe,encore,76
10273,nachfolger,successor,45
4152,vorposten,outpost,72
1082,fortan,henceforth,98
1929,galle,bile,95
5637,bewiesen,evidenced,76
3037,sonnenfische,sunfish,90
13858,erste,first,7
12609,mir,mil,27
6799,charge,batch,67
14428,unterstützung,supports,10
9257,rennfahrer,racer,40
4202,eibe,yew,84
2086,flink,zippy,94
4816,kummer,grief,82
4702,unverantwortlich,irresponsible,80
2418,nachgeschaltet,downstream,93
12541,wochenende,weekend,26
7435,bruderschaft,brotherhood,66
12885,die gesundheit,health,24
8473,klarheit,clarity,60
8768,speisekarte,menu,57
10826,koralle,coral,42
14119,nahm,took,10
357,entwürfe,draughts,96
14399,weiß,white,12
12512,aufpassen,watching,15
8049,aufbringen,muster,29
10521,armut,poverty,45
11804,fabrik,factory,32
5159,betrügerisch,fraudulent,77
9237,teer,tar,54
6564,dicht,dense,63
12023,rennwagen,raceway,33
11942,einkaufszentrum,mall,33
2350,bürsten,brushing,52
11959,gürteltier,armadillo,33
5375,geopfert,sacrificed,73
9087,entspricht,corresponds,30
7473,anzeigetafel,scoreboard,65
4096,anämie,anemia,85
3964,umverteilt,redistributed,74
4024,spalten,cleave,78
9499,kacke,poop,50
10048,brot,bread,48
13648,notwendig,necessarily,15
10255,dichte,density,46
5319,bienen,bees,38
14179,verdienste,earnings,17
13249,schnellstraße,speedway,20
13521,vergeben,award,11
11936,gehirn,brain,32
7788,ich habe,ive,64
6648,grenze,borderline,71
8562,weiler,hamlet,58
10230,rumänisch,romanian,47
9013,zurücktreten,resign,30
12761,lange haare,longhair,26
12182,vorwürfe,allegations,20
6276,ordnungsgemäß,duly,74
142,landbesitzer,landowners,95
12382,knapp,brief,28
2825,prächtig,splendid,91
3319,konföderation,confederacy,89
602,rau,raucous,99
9433,arche,ark,53
14096,steuer,tax,29
7497,freiwillig,voluntary,66
14318,stets,always,12
8516,intensivierung,intensification,60
6344,lehrling,apprentice,72
11955,jagd,hunt,28
1370,urbisch,urb,97
11013,pikett,piquet,41
5128,herzogtum,duchy,77
57,verhungern,starving,87
12292,moskau,moscow,31
10535,tragbar,portable,44
1065,umfassten,encompassed,41
11480,köpfe,heads,11
8895,in ordung,alright,57
9832,taxi,cab,49
3174,jawohl,yup,89
11298,tolle,amazing,37
13340,skala,scale,18
8720,mittlerer westen,midwest,59
6600,brüderlichkeit,fraternity,56
8364,kern,nucleus,61
6764,flosse,fin,64
6032,bezeichnet,signified,49
2243,quatsch,quoth,94
3566,vorlesung,lecture,64
3127,schleier,veil,75
12766,karten,cards,16
11106,kaum,hardly,40
13507,verfolgen,trace,16
6691,gepflegt,bestowed,66
3045,einbruch der dunkelheit,nightfall,90
3604,raupe,caterpillar,85
5382,bezeichnen,denote,34
12921,gebrochen,broken,24
10104,treffer,ct,45
10365,edel,noble,44
7285,abseits,abigail,67
14,häfen,harbors,32
8098,abholen,pickup,62
14280,sprichwort,saying,10
12141,gedanken,thoughts,13
3790,radfahrer,cyclist,62
8042,gerber,tanner,62
10187,angestellter,employee,32
4160,nahrung,dietary,85
5389,zynisch,cynical,62
7221,probezeit,probation,66
