ID,DEUTSCH,ARABE,INTERVAL
1416,pillen,حبوب الدواء,57
840,marjorie,مارجوري,98
8915,klingeln,بينج,52
13986,co,شارك,13
11363,finalisten,النهائيين,29
5497,drüse,السدادة,69
6195,pudel,بودل,69
1557,projektor,متعاطي المخدرات,95
7542,lbw.,ليرة لبنانية,62
7599,liner,بطانة,58
13132,alles,كل شيء,17
7348,fassen,يمسك,57
1479,cagayan,كاجايان,95
14163,forschung,بحث,10
8245,durchbruch,اختراق,54
3275,kavendel,كافنديش,87
9181,stockholm,ستوكهولم,51
6227,hefe,خميرة,70
9794,zeitform,توتر,45
10220,sünde,سين,36
10630,peyton,بيتون,39
3933,vorzeitig,قبل الأوان,51
4949,anarchismus,الأناركية,74
4135,prisma,نشور زجاجي,81
2956,parole,الإفراج المشروط,82
7161,rudd,أرد سمك نهري,64
13325,versichern,ضمان,14
11879,rs.,روبية,29
727,liturgisch,الليتورجري,96
8200,lite.,قليل الدسم,57
11185,leon,ليون,28
4607,bridgewater,بريدج,80
4027,deich,السيقة,69
13479,wende,منعطف _ دور,9
9846,fahrrad,دراجة هوائية,39
1442,dreizack,ترايدنت,91
11240,mühlen,ميلز,25
13344,dan,دان,15
13358,winter,شتاء,15
10033,gorilla,غوريلا,43
12055,jefferson.,جيفرسون,28
12113,dame,سيدة,21
6218,klitoris,بظر,70
9163,presley.,بريسلي,51
7178,dl,دلف,64
13094,da.,دا,16
1535,nachahmen,مقلد الصوت والحركة,91
14183,party,حزب,9
9318,zirka,قوارب,49
8703,entdecken,يكتشف,9
2837,apostolisch,الرسولية,88
3012,bezirk,الدوافع,68
11229,damm,سد,33
5605,populär,شعبيا,74
12722,mutter,أم,21
3296,wohnwagen,المنزل المتنقل,83
13878,also,لذا,5
9559,kris,كريس,48
8982,molekular,جزيئي,52
2688,bäckerei,مخبز,83
14417,begrenzt,محدود,9
5780,libelle,اليعسوب,72
4138,allmächtig,عز وجل,82
11848,die genehmigung,موافقة,18
1981,herbizid,مبيدات الأعشاب,90
12954,silber-,فضة,19
6259,geschworen,أدى اليمين,70
1162,bateman,باتيمان,96
10252,ältere,المسنين,39
1960,lilith,ليليث,93
11813,mini,ميني,29
13605,wasser,ماء,12
5405,replik,نسخة مطابقة للأصل,67
13317,indiana,إنديانا,15
14469,dokumentieren,وثيقة,12
11546,donner,رعد,31
9632,umfaßt,يتألف,24
14441,liefern,إمداد,18
7437,slowakisch,سلوفاكي,60
13162,aufeinanderfolgenden,على التوالي,17
7130,garnett,غارنيت,64
1638,ruder,الموجه,92
10193,juristische person,شخصية,37
4848,bordeaux.,بوردو,78
2149,tobellos,goaless.,92
6860,sich befinden,يقيم,18
12451,datenbank,قاعدة البيانات,24
1474,bilby,بيلبي,95
7735,vorläufer,السلف,58
12832,wirtschaftlich.,اقتصادي,17
9837,waterloo,واترلو.,45
647,dalles,دالس,98
4387,jasmin,الياسمين,79
11270,progressiv,تدريجي,17
1481,antivirus,مضاد للفيروسات,95
11869,bäcker,خباز,29
12603,denver,دنفر,23
2076,evangelist,مبشر,87
1562,matta,ماتا,95
1242,fleck,وصمة,63
8857,kahl,أصلع,48
12308,konvektion,الحمل الحراري,24
7107,perf.,فاق,64
8020,lu.,لوت,59
13494,anfragen,الاستعلامات,12
384,puri.,بيور,100
11028,beben,زلزال,35
13704,fahrt,قائد,10
13289,vorfall,حادثة,14
2221,smegma,سمي,91
10473,wang,وانغ,40
3780,verschlechtert,تدهورت,62
479,getrunken,شربوا,99
6670,brückenkopf,الجسر,65
4620,häftlinge,المعتقلين,70
4948,rope,الحبال,54
8463,opium,الأفيون,56
13539,ziemlich,الى حد كبير,12
750,funktionsstörung,اختلال وظيفي,88
4140,beduine,بدوية,77
13980,gemeldet,ذكرت,5
5875,wahrscheinlichkeit,احتمالية,72
8341,segeltuch,اللوحة القماشية,57
932,schulranzen,ساتشيل,97
7468,posse,نقاط البيع,43
590,goories,أهداف,48
496,univell,الجبهة,99
4028,fülle,وفرة,65
5167,sant,سانت,76
11843,ungarisch,المجر,28
7424,weisheit,حكمة,62
7156,nicky,نيكي,64
14282,serie,مسلسل,7
9403,desc.,دمر,49
14482,warum,لماذا,7
5372,ext.,تحدد,75
9952,danke,شكرا,44
3744,käufer,المشترين,77
4252,blutegel,علقة,81
6447,borneo,بورنيو,69
4809,smokey.,مدخن,78
9811,erzählungen,حكايات,30
8221,verwüstung,فساد,57
3544,hocking,هوكينج,77
3347,gillian,جيليان,87
10542,rodney,رودني,40
11258,schwein,شخص شره,29
7356,degeneriert,misgenerated.,54
740,algebraist,العالم بالجبر,98
237,dodgy.,ودو,99
12640,schalter,عداد,21
13252,regen,مطر,14
6293,sarborough.,سكاربورو,70
6934,baku,باكو,66
10315,sand,رمل,34
8344,staatlich.,على مستوى الولاية,57
12547,austausch,تبادل,21
11753,troy,طروادة,30
4578,peggy,بيجي,80
11429,eröffnen,antaugural.,30
7810,rubikon,روبيكون,60
7297,malaya,ملاذة,63
14397,feuer,نار,10
9913,kambodscha,كمبوديا,45
10041,astronomie,الفلك,44
3740,deponie,مكب النفايات,84
4354,mach,ماخ,81
5321,mono,كثرة الوحيدات,75
13060,kalt,البرد,18
5634,erinnern,تذكرنا,66
7294,dvorak.,دفوراك,63
3208,energetisch,حيوية,83
9926,alpin,جبال الألب,45
11248,unendlichkeit,ما لا نهاية,34
605,heruntergewirtschaftet,انقلب,99
3315,tulpe,توليب,86
7469,messe,اكسب,43
14028,lang,طويل,8
3948,sarkastisch,ساخر,79
13482,jr,جري,14
10261,partisan,الحزبية,37
7248,berechtigung,جدارة - أهلية,31
2999,gelatine,الجيلاتين,88
4229,abfangen,تقاطع,15
5464,reaktor,مفاعل,70
13497,mph.,ميل بالساعة,13
2347,palle,بلاد,55
3570,neidisch,غيور,85
9730,ausbuchtung,انتفاخ,46
3505,rohan,روهان,86
13452,glaubte,يعتقد,5
6046,zar,القيصر,71
9655,bücher,باوي,47
13389,wagger,المخاوف,14
13526,dienstleistungen,خدمات,7
1235,bzw.,بي ام,96
7546,konstantinopel,القسطنطينية,62
335,tarzan,طرزان,100
1621,polystyrol,البوليسترين,94
13129,alabama,ألاباما,17
13052,glaube,إيمان,17
9001,darlehen,يقرض,42
7472,wildnis,wilderness.,48
14053,west,الغرب,8
7419,errungenschaften,الإنجازات,31
7203,rosario.,روزاريو,64
8815,vorderseite,وجه العملة,53
756,pandemie,جائحة,97
3581,wochentage,أيام الأسبوع,65
10164,omaha,أوماها,43
9266,martinez.,مارتينيز,50
3868,ungelöst,لم تحل,84
13747,blau,أزرق,11
9020,linse,عدسة,52
4797,nukleotide,النيوكليوتيد,71
3192,strenger,أكثر صرامة,87
11764,in der nähe,مجاور,30
10675,brent,برنت,38
5451,theoretisch,نظريا,54
9479,prototyp,النموذج المبدئي,38
5512,zieh,تسحب,18
12300,dissident,المنشقين,25
10561,klavier,بيانو,39
2198,spendensammlung,جمع التبرعات,91
1938,kenntnis,إدراكه,91
3511,ballsaal,قاعة رقص,85
7628,hawthorn,الزعرور,42
4378,sächse,السكسونات,53
12147,marine-,naval.,27
13741,elf,إمرأة,12
9599,boom,فقاعة,44
9010,neu starten,اعادة تشغيل,41
11329,siebzehnten,السابع عشر,34
9365,gefahr,خطر,49
5416,cassie.,كاسي,74
8911,admiral,أميرال,36
9441,unstimmigkeiten,الخلافات,36
10604,einkaufen,التسوق,24
5675,haftung,مسؤولية,71
10750,eli,إيلي,38
3100,koscher,كوشير,88
880,halogenid,هاليد,95
12302,chi,شى,25
11771,anerkannt,معروف,6
13876,regierung,حكومة,9
12289,palast,قصر,25
9444,schwefel,كبريت,45
4656,patron,كفيل,61
11842,am leben,على قيد الحياة,29
5169,erkennbar,يمكن التعرف عليها,74
6439,pauschal,أسرى,54
4129,donny,دونني,82
5187,kreml,الكرملين,76
891,hinterlegt,أودعت,55
9799,prag,براغ,46
9839,einneigend,الانخراط,14
9093,absolvent,متخرج,35
6962,nussbaum,جوز,64
3135,chirurgisch,جراحي,85
10307,piepen,بوي,42
11487,verteidigen,الدفاع,14
11269,malta,مالطا,35
1627,flachs,الكتان,94
1927,methanol,الميثانول,93
11052,sklave,شريحة,30
8392,cumberland,كمبرلاند,56
1336,latent,كامنة,96
6035,kehle,حلق,62
6003,weide,ويلو,68
10666,stalin,ستالين,38
10052,gummi,ممحاة,43
12754,prozentsatz,النسبة المئوية,21
10903,poker,لعبة البوكر,38
12585,rauben,روب,22
1305,oszillator,مذبذب,63
1239,ausschließen,preclude.,79
5057,osiris,أوزوريس,77
4012,straffung,ستراينج,73
11788,ermordung,اغتيال,26
10673,klammer,قوس,25
6469,opec,أوبك,69
10064,alexandria,الإسكندرية,44
4644,zurückgefordert,المستصلحة,61
13447,pumpe,مضخة,14
3799,masern,مرض الحصبة,84
9662,eiffel,إيفيل,47
3516,eukalyptus,الأوكالبتوس,86
577,absurd,غير مسباف,97
1920,hinterwäldler,hillbilly.,86
13751,angeben,يشير,9
4441,flugblätter,منشورات,70
13938,anteile,تشارك,6
5241,ablösend,تبديد,17
557,anaerobisch,اللاهوائي,99
6084,hash,هاش,65
11666,diebstahl,سرقة,31
1459,regatta,ريجاتا,93
13264,maria,ماري,14
8177,haushalt,أسرة,49
10245,astrologie,علم التنجيم,40
5589,brühe,تخمير,42
5348,ritus,طقوس,67
12373,aktualisieren,تحديث,7
11225,elternteil,الأبوين,25
2691,telford,تيلفورد,90
1754,mnemonisch,ذاكري,90
10783,suchend,السعي,24
2713,berwick.,بيرويك,89
13370,energie,طاقة,15
10168,meteorologisch.,الأرصاد الجوية,33
5984,kaiman,كايمان,69
6578,assperger,أسبرجر,68
6646,spielerisch,قابل للحياة,67
5883,wahlkreis,الدائرة الانتخابية,50
12072,ja.,جا,27
11151,kongo,كونغو,36
14012,könnte,قد,6
13979,gefunden,وجد,6
9211,atemwege,تنفسي,50
14358,ausgaben,الإنفاق,27
8278,mara,مارا,56
13065,im laufe der zeit,متأخر، بعد فوات الوقت,18
5211,fan-shop,بضائع,68
6848,pino,باتو,66
9035,preußen,بروسيا,52
3823,outlandisch,أوتلاند,84
10053,hulk,هولك,43
14169,aufzeichnen,سِجِلّ,7
8631,lamm,عدس,51
12105,rorie,روري,27
9591,gnome.,غنم,46
13966,brauchen,يحتاج,6
4711,schlaflosigkeit,الأرق,79
12824,orleans,أورليانز,21
1724,schließungen,إغلاق,47
10355,betonen,ضغط عصبى,36
12618,kabel,كابل,21
5377,westlich,westerly.,63
4859,gluten,الغولتين,78
13556,königlich,رويال,12
6820,halb-monatlich,نصف شهري,66
13990,pc,الكمبيوتر,36
10812,riff,الشعاب المرجانية,38
2649,burgund,بورجوندي,90
9933,referendum,استفتاء,39
1438,pfingsten,العنصرة,67
11816,fälschung,التزوير,27
12004,stufen,المستويات,11
12387,ep,إبريق,25
6038,meeräsche,البوري,67
10016,sterblich,مميت,35
1689,unwilligkeit,غير مروع,94
3650,dreh dich um,التف حوله,82
11779,tu.,تو,30
5593,mutation,طفره,64
126,janus,مزدوج الوجه,100
7117,paramilitärisch,شبه عسكرية,64
8571,jugoslawisch,اليوغوسلافية,53
14325,kommunikation,مجال الاتصالات,8
10406,topf,وعاء,38
9262,ringer,مصارع,43
12120,pfad,ممر المشاة,18
10150,skateboarding,التزلج,30
5902,ged,جرد,72
9870,knospe,برعم,43
3734,straßenbahn,الشارع,78
5012,zyklo,سيكلو,77
12391,morgan,مورغان,25
6893,racker,تشغيل,66
1204,zuckerrohr,قصب السكر,96
1620,karina,كارينا,93
3131,gähnen,تثبيث,84
14256,anrufe,المكالمات,8
7094,floh,برغوث,63
5425,großes horn,قرن كبير,75
3065,kabbala,كابالا,88
14038,herr,السيد,11
11276,schlange,ثعبان,31
5482,brandstiftung,حريق متعمد,73
4881,nachtclub,ملهى ليلي,71
3664,pupillen,التلاميذ,73
561,spargel,نبات الهليون,99
5365,algen,الطحالب,75
4182,brahms,براهم,78
6867,verachtung,ازدراء,64
1605,lina.,لينا,94
6434,vorhut,الطليعة,69
2842,kichern,ضحكة مكتومة,66
13884,drei,ثلاثة,7
11239,prosa,نثر,35
13627,richtig,لائق,12
10880,wh.,هل,38
6079,nicht zugelassen,غير مسموح به,65
12626,fantasie,خيالي,22
9292,qualifiziert,معاهدة التعاون بشأن البراءات,50
14153,prüfen,امتحان,5
13395,farbe,اللون,12
3818,eton,إيتون,84
2778,alpaka,ألباكا,89
4113,tendenziös,متضاع,82
5838,nach oben,صعودا,62
952,bö,وسيط,90
11233,duell,مبارزة,33
10303,blatt,ورقة الشجر,22
7001,chaplin,شابلن,65
5674,chinook,شينوك,71
14171,april,أبريل,5
4887,deluxe,ديلوكس,78
211,wallonisch,والون,100
966,psychiater,طبيب نفسي,94
455,harmal,هارما,100
11411,langsamer,أبطأ,33
6921,hetzen,كلب,61
7778,schnauze,كمامة,60
10226,exklusiv,باستثناء,23
1844,traber,trotter.,91
12750,dick,ديك.,21
12218,sarah,ساره,26
1227,asphalt,أسفلت,95
10845,tucker,تاكر,38
7410,ultimatum,انذار,62
13973,angerufen,مُسَمًّى,8
7281,stromspannung,الجهد االكهربى,62
662,jule,عيد ميلاد المسيح,98
13437,te.,تي,14
1316,mambo,مامبو,96
6124,ammoniak,الأمونيا,70
9690,hartford,هارتفورد,47
3220,wellig,تموجي,86
12950,freitag,يوم الجمعة,19
9273,entwaldung,إزالة الغابات,49
2416,angeboren,خلقي,90
5480,gecko,وزغة,74
5740,veterinär,طبيب بيطري - بيطري,73
1887,still stehen,تراوح مكانها,93
12430,szene,مشهد,21
5946,duffy.,دافئ,72
419,kracher,الالعاب النارية,93
2195,myriade,عدد لا يحصى,90
9168,thron,عرش,50
1515,chemise,قميص,90
13006,drew,رسم,19
2050,sprengkopf,رأس حربي,76
3891,korpel,كور,84
4962,hilfs-,مساعد,77
1971,bantu,بانتو,93
14133,leben,حياة,10
2821,dang,دانغ,88
7306,zuhälter,عرسة,62
9289,za.,زا,50
14155,britisch,بريطاني,9
293,aha,آها,100
673,zementiert,الأسمنت,60
11392,professor,دكتور جامعى,32
13772,grün,لون أخضر,11
5460,pam,بام,74
13506,e-mail,بريد,13
5691,testosteron,هرمون تستوستيرون,73
14497,lesen,يقرأ,5
6279,belorussisch,بيلوروسيا,70
7517,zentren,مراكز,16
10083,stroh,قشة,43
369,hadron,هادرون,100
1007,hamline,هاملاين,97
12243,russell,راسل,25
348,abgewandt,deval.,96
8555,quincy.,كوينسي,55
11793,benachrichtigen,إخطار,26
12625,anzunehmen,مون,22
12938,geschlossen,مغلق,10
5334,propan,بروبان,75
484,elternschaft,الأبوة,99
6828,tänzer,راقصات,54
12131,kandidat,مرشح,19
4886,semitismus,السامية,50
10199,gesprochen,سلك,42
1244,freaking.,ينقط,28
11483,dauer,المدة الزمنية,32
4356,seidelbast,دافني,81
2506,cherub,شيروب,90
8346,voltaire,فولتير,57
5017,schlepper,القاطرة,71
1631,vulva,فرج,94
9206,flussufer,ريفرسايد,50
13294,montieren,تتعدد,13
8602,hundertjährig,المئوية,52
4438,tuba,آلة توبا,80
11374,nash,ناش,34
9436,kopenhagen,كوبنهاغن,49
13848,hinein,داخل,7
11464,innenstadt,وسط البلد,33
11761,sportlich,رياضي,13
1699,bogart,بوغارت,94
1725,beobachten,للعرض,93
11728,mailand,ميلانو,30
8161,erwerb,استحواذ,51
8476,schmiede,تشكيل,45
6076,meditation,تأمل,62
10408,herr.,هير,41
4969,gonzo,جونزو,77
8876,untersetzer,كوستر,51
8208,käfer,خنفساء,55
13696,individuell,فرد,11
10581,bobet,بوبيت,40
149,dringlichkeit,الاستعجال,100
7755,eureka,يوريكا,61
14030,ausführung,إصدار,8
333,schluckauf,حازوق,97
5970,verbieten,الخارج عن القانون,52
7594,großvater,جد,61
3520,chevron,شيفرون,85
12499,terrorismus,الإرهاب,18
13635,entscheidung,قرار,12
3335,sekretariat,سكرتارية,87
6625,kojote,ذئب امريكى - كايوتى,52
11687,scorecard,سجل النتائج,31
6179,zentralprozessor,وحدة المعالجة المركزية,67
3904,sifaka,سيفاكا,84
12467,minimum,الحد الأدنى,24
238,nickerchen,قيلولة,80
5065,kair,نذل - وغد,77
530,stör,سمك الحفش,98
8046,hass,كراهية,58
8430,pollock,بولوك,56
11522,riley,رايلي,32
13263,keiner,لا أحد,16
8836,jamestown,جيمستاون,53
5574,kai,وارف,73
4187,amsel,طائر أسود,81
1401,margarita,مارغريتا,95
5549,nippon,نيبون,74
1375,minotaur,مينوتور,96
10899,metro,مترو,34
13630,teilnehmen,مشاركة,9
6337,kartoffeln,بطاطا,39
306,detae,داي,100
10223,giles.,جايلز,42
11217,mainstream,التيار,35
13369,software,البرمجيات,15
10746,substrate,ركائز,35
1353,stricken,الحياكة,81
4177,lucille,لوسيل,82
7784,verdammt,فردون,61
8468,unbeantwortet,دون إجابة,56
13050,get,يحصل على,7
12749,pm,مساء,21
11745,baumwolle,القطن,30
1135,bolivar,بوليفار,96
6521,australasian.,أستراليا,68
6954,prüfung,التدقيق,65
7727,neapel,نابولي,61
13143,kämpften,حارب,17
8837,erbittert,شرس,50
12488,nicht verwandt,غير مرتبطه,24
9348,dante,دانتي,49
10857,zusammengebrochen,انهارت,24
5307,philippo,فيليبو,76
12516,zivilisten,المدنيين,17
12903,oakland,أوكلاند,20
7692,unkraut,عشبة ضارة,57
10632,richter,ريختر,39
12787,kent,كينت,21
5676,thermodynamik,الديناميكا الحرارية,69
12945,einstufung,وضع العلامات,15
7798,einatz,حصة,47
4646,verweisung,إحالة,75
108,feuerwehrmann,رجل الاطفاء,100
10157,elvis,إلفيس,43
6274,wac.,واك,70
9417,reaves,يحيد,49
11515,gr,جراد,32
14311,schule,مدرسة,6
8931,kindheit,مرحلة الطفولة,52
4054,rampe,المنحدر,74
8904,elisabethanisch,إليزابيثان,52
6132,maggie,ماجي,70
9388,honolulu,هونولولو,49
7357,bremsen,الفرامل,38
13269,theorie,نظرية,13
7261,genom,جينوم,61
7580,abel,إفيل,62
13711,inseln,الجزر,9
864,eugenien,يوجينيا,97
7262,stella,ستيلا,63
5917,emission,انبعاث,57
9326,litauisch,اللتوانية,49
8761,silizium,سيليكون,51
11045,argumentiert,جادل,20
13041,übereinstimmen,طال,17
2038,ananda.,أناندا,92
11809,kerry,كيري,30
11062,serbisch,الصربية,36
12678,buchanan,بوكانان,22
10159,trainer,مدرب,37
1883,alanin,ألانين,93
9103,kalium,البوتاسيوم,51
10947,rezeption,استقبال,28
3327,lashkar,لاشكار,87
7564,becket,بيكيت,62
3471,mauricio.,موريسيو,86
9720,skelett,هيكل عظمي,45
2754,brauerei,مصنع الجعة,82
3591,gottesanbeterin,السرعوف,85
8899,unterrichtet,يعلم,52
12853,samoa,ساموا,20
6202,germain,جيرمان,70
11378,warcraft,علب,34
11519,blitz,فلاش,29
13345,üben,ممارسة,12
520,unberücksichtigt,في عداد المفقودين,94
7720,zuzüglich,سمسم,61
5683,kontrollpunkt,نقطة تفتيش,62
783,probieren,بادر,97
10354,alumni,الخريجين,41
1326,minoan,مينوان,96
13176,mitte,منتصف,17
909,otter,أوتر,43
2643,viskosität,لزوجة,88
9077,neger,زنجي,46
2348,sollte nicht,لا ينبغي,91
3293,stammesmen,رجال القبائل,87
4907,feminist,نسوية,72
13701,daten,بيانات,12
7193,barlow.,بارلو,64
7055,haarnadel,دبوس الشعر,64
9144,platten,لوحات,20
3111,ratsche,اسئلة,88
13574,olympisch,الأولمبية,10
2826,dreimal,ثلاث مرات,88
7985,auferlegen,فرض,33
13994,tage,أيام,6
3108,impala,إتصال,87
1384,brennbar,llammable.,91
14318,stets,دائماً,9
7606,moskito,ناموس,59
13786,andernfalls,غير ذلك,11
11335,höflichkeit,مجاملة,34
13678,etabliert,أنشئت,10
6689,verkleidung,تمويه,46
13983,helfen,يساعد,6
8404,herrschaft,السياسة,54
5621,kleinwuchs,الأقزام,74
8556,justiz,القضاء,55
8172,darstellen,تصور,23
7592,offensichtlich,من الواضح,11
12257,vermuten,مشتبه فيه,16
11387,leeds,ليدز,33
3956,uptown,أبتاون,83
3972,vierteljährlich,ربعي,83
11709,räumliche nähe,قرب,30
4248,devi.,ديفي,82
8313,falk,فالك,57
13718,fluss,نهر,11
652,ambrosia,أمبروسيا,98
7242,melamin,الميلامين,63
9017,nagel,مسمار,29
959,tapferkeit,جالور,97
12967,wayne,وين,19
9550,antarktis,أنتاركتيكا,48
12717,schicken,إرسال,16
1386,anamorph,بصحة جيدة,96
8951,heiser,أجش,32
14384,führen,يقود,7
11929,zitate,يقتبس,13
13462,lincoln.,لينكولن,14
7346,helium,الهيليوم,63
7422,ungewohnt,غير مألوف,62
1445,majestätisch,مهيب,93
13924,gegen,ضد,7
10137,gerald,جيرالد,43
2550,hanf,عيدان,90
9256,schmerzhaft,كورت,50
3277,hedge,هيد,87
5741,judas,يهوذا,73
10282,derbyshire.,ديربيشاير,42
6850,schimmel,قالب,56
8183,tasmanisch,تسمانيا,58
5505,quote,حصة نسبية,68
10484,shea,شيا,40
14176,sehen,ينظر,5
10932,dreieck,مثلث,35
4324,verflechtung,ديب,69
8859,osaka,أوساكا,53
9835,anfrage,استفسار,42
6048,franzose,الفرنسي,71
65,rückschläge,النكسات,73
10626,zitrone,ليمون,38
1821,beuteltier,جرابي,93
13383,implementieren,ينفذ,13
4391,aquädukt,قناة مائية,80
8197,abwesend,غائب,57
1886,pedal,دواسة,84
8841,gesamtheit,مجمل,53
13902,beamte,المسؤولون,9
174,emaille,المينا,97
6914,biene,باين,64
9989,nordöstlich.,الشمال الشرقي,44
5047,reddy.,ريددي,77
6305,sprühen,رذاذ,59
1567,kilometerstand,عدد الأميال,95
3711,samson,سامسون,85
11137,villa,فيلا,36
1933,rumtreiber,المارودر,80
9131,archimedes.,الأرشيميد,51
5101,polynom,متعدد الحدود,71
12455,techniker,مهندس,7
6522,pius,بيوس,67
3435,skinhead,حجر الرؤوس,80
2188,mappe,مجلد,87
14090,washington,واشنطن,9
11254,fallschirm,مظلة,33
9104,blast,الانفجارات,26
7275,kassette,كاسيت,61
9474,somali,الصومالي,48
1542,gelehrter,لافانت,95
2010,missspelling,أخطاء إملائية,61
9478,faschismus,الفاشية,48
6117,koloss,كولوسوس,70
12733,eilig,التسرع,12
11311,rückgängig machen,الغاء التحميل,22
9705,still,المتوقفة,38
12161,risiko,مخاطرة,25
9409,bohrturm,ديريك,49
14264,erforderlich,ضروري,6
12068,fließen,تدفق,25
3552,geräumig,فسيحة,86
9810,ozeanien,أوقيانوسيا,45
4735,lappen,خرقة,65
5461,gestanzt,اللكم,38
5386,schlammig,muddy.,72
2015,ungesehen,غير مرئي,92
9774,überprüfung,تحقق,45
5282,wortschatz,كلمات,76
5157,lippen,شفه,57
13918,aktie,يشارك,6
5216,brutus,بروتوس,76
3211,rainier,مطري,87
1586,fabre,فاب,94
4748,herrlich,خلاب,79
7773,cockpit,مقصورة الطيار,59
129,capella,كابيلا,100
14360,januar,يناير,5
5687,brandywine,برانديوين,73
7139,augustinus,أوغسطين,60
6404,ren,رن,69
3793,vaskulär,الأوعية الدموية,84
9515,pf.,بصف,48
10662,ständig,باستمرار,39
10953,abdeckung,تغطية,8
4988,salina,سالينا,65
6369,gerichtsgebäude,محكمة,69
9743,leopard,فهد,46
14025,mein,لي,5
12485,reduziert,مخفض,17
7466,nachlass,ميراث,42
9898,ladung,البضائع,44
3777,spärlich,متناثر,68
10351,falschmeldung,خدعة,34
12607,station,وارد,22
988,stillman,لا يزال الرجل,97
10399,elch,غزال أمريكي ضخم,41
1214,lagerbier,جعة,95
13740,gemeinsam,مشترك,10
2667,oligarchie,حكم الاقلية,89
4061,ballons,بالونات,40
10840,steroide,ستيرويد,36
12298,verärgern,منزعج,23
10795,kommissar,مفوض,37
8478,bleistift,قلم,53
9267,liberia,ليبيريا,50
14503,verteilung,توزيع,20
14096,steuer,ضريبة,24
13714,champions,ابطال,9
3814,transatlantisch,عبر الأطلسي,84
6792,dudley.,دودلي,66
6735,wels,سمك السلور,67
4843,groll,ضغينة,74
9497,breitband,موجة عريضة,48
3037,sonnenfische,سمك البحر,88
13927,woche,أسبوع,9
6254,dienstmädchen,خادمة,67
2977,metropole,متروبوليس,88
9974,senegal,السنغال,44
8220,alma,ألما,56
