ID,FRENCH,ENGLISH,THEME,ENGLISH_stem,OCCURENCES,INTERVAL,IMPORTANT
6621.0,ordre de fabrication,work order,industrie,order,8113.0,3,
11288.0,boîte de vitesses,gearbox,other,gearbox,189.0,44,
11311.0,tisserand,weaver,other,weaver,194.0,43,
11324.0,propulsé,propelled,other,propel,196.0,43,
11586.0,devise,motto,other,motto,278.0,37,
10523.0,godemiché,dildo,other,dildo,95.0,58,
1474.0,pendant ce temps,in the meantime,le temps,meantim,1125.0,17,
3519.0,un gratte ciel,a skyscraper,vocabulaire ville et lieux publics,skyscrap,201.0,43,
1570.0,un casier,a locker,education et ecole,locker,149.0,48,
2805.0,un congélateur,a freezer,la maison,freezer,3.0,99,
2599.0,le base ball,baseball,sport,basebal,4610.0,5,
9855.0,de location,rental,other,rental,60.0,68,
2990.0,être trempé,to be drenched,meteo climat,drench,19.0,91,
12516.0,lieu,location,other,locat,1655.0,13,
8860.0,énormément,tremendously,other,tremend,33.0,83,
11056.0,voisin,neighbouring,other,neighbour,149.0,48,
970.0,une fraude,a fraud,crime criminalite,fraud,306.0,36,
9980.0,rancune,grudge,other,grudg,65.0,66,
8029.0,mendier,to beg,societe moderne problemes sociaux,beg,151.0,48,
1470.0,le passé,the past,le temps,past,3497.0,7,
12603.0,non plus,neither,other,neither,2159.0,10,
12379.0,quelque peu,somewhat,other,somewhat,1077.0,17,
11507.0,le chariot,carriage,other,carriag,245.0,39,
10640.0,chaudière,boiler,other,boiler,105.0,56,
4406.0,un pigeon,a pigeon,les oiseaux,pigeon,19.0,91,
9488.0,vertage plat,flatworm,other,flatworm,47.0,74,
11828.0,tondu,cropped,other,crop,390.0,32,
12760.0,infraction,infringement,other,infring,4464.0,6,
1035.0,la barre,the helm,loi justice juridique en,helm,8.0,96,
2543.0,une guitare,a guitar,musique,guitar,1490.0,14,
10095.0,selle,saddle,other,saddl,71.0,65,
5802.0,une mèche  un foret,a drill bit,outils et bricolage,drill,173.0,46,
425.0,joueur,player,adjectifs utiles,player,7676.0,3,
7988.0,le malheur,misfortune,societe moderne problemes sociaux,misfortun,34.0,82,
2585.0,l’aviron,rowing,sport,row,1582.0,13,
6975.0,un intermédiaire,a middleman,marketing publicite,middleman,4.0,98,
566.0,une caresse,a caress,amour et mariage,caress,1.0,100,
11205.0,écraser,crush,other,crush,173.0,46,
2528.0,un tambourin,a tambourine,musique,tambourin,16.0,92,
1403.0,la durée,duration,le temps,durat,569.0,25,
7540.0,le personnel soignant,the nursing staff,sante et medecine,nurs,60.0,68,
12772.0,entente,understanding,other,understand,4855.0,5,
8268.0,le chauffe eau,the water heater,energie renouvelable,heater,16.0,92,
2690.0,le salaire,wages,argent banque finance,wage,139.0,50,
6837.0,l’irrigation,irrigation,agriculture,irrig,50.0,72,
11960.0,légende,caption,other,caption,473.0,28,
3035.0,une barrière de corail,a coral reef,geographie paysages,reef,410.0,31,
946.0,un pickpocket,a pickpocket,crime criminalite,pickpocket,1.0,100,
9941.0,déchiqueteuse,chipper,other,chipper,63.0,67,
11849.0,des graines,seeds,other,seed,404.0,31,
9861.0,bijoux,jewelry,other,jewelri,60.0,68,
4609.0,le kenya,kenya,pays du monde en,kenya,646.0,23,
11061.0,mélange,mixture,other,mixtur,149.0,48,
10088.0,harcèlement,stalking,other,stalk,71.0,65,
1563.0,de la peinture,painting,education et ecole,paint,609.0,24,
70.0,regarder  voir,to watch  see,verbes a connaitre en,watch,1098.0,17,
9561.0,terres humides,wetland,other,wetland,49.0,73,
12115.0,poésie,poetry,other,poetri,599.0,24,
7537.0,une thérapie,a therapy,sante et medecine,therapi,260.0,38,
360.0,épouvantable,dreadful,adjectifs utiles,dread,32.0,84,
9090.0,dossier,folder,other,folder,38.0,80,
12613.0,commerce,trade,other,trade,2228.0,10,
12566.0,plus grand,largest,other,largest,1904.0,12,
6698.0,temps passé,elapsed time,industrie,elaps,34.0,82,
12229.0,portes,gates,other,gate,761.0,22,
1293.0,une serviette hygiénique,sanitary napkin,salle de bain,napkin,3.0,99,
12735.0,généralement,generally,other,gener,4014.0,6,
7208.0,la prudence,cautiousness,vocabulaire personnalite qualites et defauts,cautious,16.0,92,
10175.0,redimensionné,resized,other,resiz,75.0,63,
12445.0,avion,plane,other,plane,1318.0,15,
4282.0,un sanglier,a boar,animaux sauvages zoo,boar,40.0,78,
4618.0,le mali,mali,pays du monde en,mali,296.0,36,
705.0,un poireau,a leek,arbres plantes jardinage,leek,20.0,91,
225.0,mâcher,to chew,verbes action et mouvements,chew,103.0,56,
10686.0,au seuil,threshold,other,threshold,109.0,55,
2430.0,regarder des films,to watch films,hobbies et loisirs,watch,1098.0,17,
10209.0,mâchonnement,scooper,other,scooper,76.0,63,
647.0,la pluie,the rain,arbres plantes jardinage,rain,2209.0,10,
6471.0,chef de projet,project manager,industrie,manag,2332.0,10,
7863.0,guérir,to cure  to heal,verbes utiles sante medecine,cure,90.0,59,
5234.0,un naufrage,a shipwreck,plage et bord de mer,shipwreck,18.0,91,
8668.0,petit chariot,buggy,other,buggi,29.0,86,
3769.0,la veine jugulaire,the jugular vein,corps humain,jugular,13.0,93,
4291.0,une chauve souris,a bat,animaux sauvages zoo,bat,877.0,20,
8785.0,terriblement,awfully,other,aw,32.0,84,
6333.0,un cercueil,a coffin,les etapes de la vie,coffin,78.0,62,
3776.0,le pancréas,the pancreas,corps humain,pancrea,56.0,70,
10059.0,résolument,decidedly,other,decidedli,69.0,65,
7684.0,actions ordinaires,common stock,comptabilite,stock,779.0,21,
4950.0,une spatule,a spatula,ustensiles cuisine,spatula,5.0,97,
8747.0,penne,quill,other,quill,31.0,84,
8107.0,la paperasserie,paperwork,entreprise monde du travail,paperwork,25.0,89,
551.0,troublant,troubling,adjectifs essentiels en,troubl,1217.0,16,
784.0,l’exploration,the exploration,astronomie espace univers,explor,463.0,28,
7344.0,un arroseur,a sprinkler,architecture et construction,sprinkler,8.0,96,
11393.0,bandit,gangster,other,gangster,212.0,42,
5259.0,chavirer,to capsize,plage et bord de mer,capsiz,8.0,96,
3904.0,l’entrée,the entrance,shopping,entranc,379.0,32,
8353.0,un écouvillon,a swab,covid coronavirus,swab,10.0,95,
10127.0,vivace,perennial,other,perenni,73.0,64,
9329.0,impitoyable,ruthless,other,ruthless,43.0,76,
5500.0,un ralenti,slow motion,films et cinema,slow,902.0,19,
5013.0,filtrer,to filter,verbes cuisine,filter,500.0,27,
4303.0,un cachalot,a sperm whale,animaux aquatiques,sperm,141.0,49,
2387.0,l’équitation,horse riding,hobbies et loisirs,ride,485.0,28,
3371.0,un monastère,a monastery,religions et croyances,monasteri,99.0,57,
11013.0,un morceau,apiece,other,apiec,142.0,49,
1614.0,une règle,a ruler,education et ecole,ruler,95.0,58,
10021.0,cacao,cocoa,other,cocoa,67.0,66,
11200.0,vénézuélien,venezuelan,other,venezuelan,171.0,46,
2808.0,une étagère  un rayon,a shelf,la maison,shelf,254.0,39,
2434.0,voyager,to travel,hobbies et loisirs,travel,115.0,54,
9556.0,argramme,argyll,other,argyl,49.0,73,
6419.0,le réveil par téléphone,a wake up call,vocabulaire hotellerie,wake,36.0,81,
12097.0,éclat,flash,other,flash,578.0,25,
5421.0,gai  plein d’entrain,cheerful,sentiments et emotions en mots,cheer,4990.0,5,
11114.0,dire,utter,other,utter,157.0,47,
9423.0,prise,socket,other,socket,45.0,75,
12406.0,emballage,packaging,other,packag,1155.0,16,
10848.0,plus profond,deeper,other,deeper,124.0,52,
5042.0,saisir,to grab,verbes cuisine,grab,57.0,69,
12401.0,traînée,streak,other,streak,1131.0,16,
12307.0,dissous,disbanded,other,disband,921.0,19,
7853.0,être blessé,to be injured,verbes utiles sante medecine,injur,1816.0,12,
2367.0,le site,the site,histoire passe,site,30602.0,2,
883.0,l’assaillant,the assailant,crime criminalite,assail,12.0,94,
2146.0,une réputation,a reputation,guerre et paix,reput,1067.0,17,
6854.0,l’érosion du sol,soil erosion,agriculture,eros,205.0,42,
7902.0,un résumé,a summary,livres et ecriture,summari,131977.0,1,
4993.0,émulsionner,to emulsify,verbes cuisine,emulsifi,3.0,99,
1443.0,une quinzaine,a fortnight,le temps,fortnight,40.0,78,
2488.0,la musique romantique,romantic music,musique,romant,302.0,36,
10665.0,dévoilé,unveiled,other,unveil,107.0,55,
7511.0,le subconscient,the subconscious,sante et medecine,subconsci,8.0,96,
10647.0,certes,admittedly,other,admittedli,106.0,55,
4204.0,un bélier,a ram,vocabulaire animaux domestiques,ram,365.0,33,
9408.0,défaut,defect,other,defect,45.0,75,
5226.0,un drapeau,a flag,plage et bord de mer,flag,2934.0,8,
11163.0,fauteuil roulant,wheelchair,other,wheelchair,165.0,46,
9375.0,frères et sœurs,siblings,other,sibl,44.0,76,
3290.0,le catholicisme,catholicism,religions et croyances,catholic,154.0,48,
5903.0,un patron,a pattern,vetements et accessoires en,pattern,1273.0,15,
4863.0,naviguer,to browse,informatique internet,brows,332.0,34,
5186.0,un coca,coke,nourriture et boissons,coke,183.0,44,
9083.0,à peine,scarcely,other,scarc,38.0,80,
6544.0,fuel,carburant,industrie,carbur,5.0,97,
12034.0,retiré,withdrawn,other,withdrawn,524.0,26,
10274.0,paralysie,palsy,other,palsi,80.0,62,
12694.0,prestations de service,services,other,servic,3202.0,8,
6438.0,une navette gratuite,a free shuttle,vocabulaire hotellerie,shuttl,486.0,28,
11745.0,réaffecté,reallocated,other,realloc,351.0,33,
12777.0,petit,small,other,small,4966.0,5,
5315.0,malhonnête,dishonest,politique gouvernement,dishonest,69.0,65,
10463.0,entrepris,undertaken,other,undertaken,91.0,59,
2255.0,l’archéologue,the archaeologist,histoire passe,archaeologist,29.0,86,
12126.0,pas clair,unclear,other,unclear,613.0,24,
1913.0,la tenue de combat,battle dress,guerre et paix,dress,302.0,36,
12639.0,maquette,model,other,model,2514.0,9,
4032.0,planter une tente,to pitch a tent,voyage et tourisme,tent,5.0,97,
9115.0,pari,wager,other,wager,38.0,80,
10994.0,maïusse,leander,other,leander,140.0,50,
11668.0,faim,hunger,other,hunger,312.0,35,
10419.0,ne pas avoir,havent,other,havent,89.0,59,
233.0,pointer,to point,verbes action et mouvements,point,32538.0,2,
10756.0,voies,lanes,other,lane,115.0,54,
9890.0,cordon,coker,other,coker,61.0,68,
6412.0,disponible,available,vocabulaire hotellerie,avail,3713.0,7,
11129.0,seizième,sixteenth,other,sixteenth,160.0,47,
11076.0,participants,entrants,other,entrant,151.0,48,
3412.0,prêcher,to preach,religions et croyances,preach,22.0,90,
6550.0,horaires de travail,working hours,industrie,hour,8426.0,3,
8788.0,tache,stain,other,stain,32.0,84,
830.0,un astéroïde,an asteroid,astronomie espace univers,asteroid,13552.0,3,
538.0,surpeuplé,overcrowded,adjectifs essentiels en,overcrowd,17.0,92,
5240.0,un phare,a lighthouse,plage et bord de mer,lighthous,135.0,50,
1314.0,flasque,flabby,decrire quelquun en,flabbi,2.0,100,
5485.0,un angle de prise de vue,a camera angle,films et cinema,angl,123.0,52,
11489.0,reporté,postponed,other,postpon,239.0,40,
7884.0,inspiré de,based on,livres et ecriture,base,7322.0,4,
11123.0,de banlieue,suburban,other,suburban,159.0,47,
7319.0,éternuer,to sneeze,les maladies,sneez,37.0,80,
2072.0,un véhicule,a vehicle,guerre et paix,vehicl,10904.0,3,
4348.0,une raie manta,a manta ray,animaux aquatiques,manta,23.0,90,
3660.0,des yeux ronds,round eyes,decrire tete et visage en,eye,1414.0,14,
9022.0,couverture,hardcover,other,hardcov,36.0,81,
11623.0,régulièrement,steadily,other,steadili,288.0,37,
3728.0,un biceps,a biceps,corps humain,bicep,20.0,91,
8264.0,la production pétrolière,oil production,energie renouvelable,oil,48.0,74,
10814.0,bifteck,steak,other,steak,121.0,53,
1959.0,tué au combat,killed in action,guerre et paix,kill,1125.0,17,
2364.0,le sarcophage,the sarcophagus,histoire passe,sarcophagu,9.0,95,
9296.0,stupéfiants,narcotics,other,narcot,42.0,77,
3245.0,converti,converted,religions et croyances,convert,225.0,41,
7598.0,une pédale de frein,a brake pedal,voiture et mecanique,pedal,36.0,81,
9874.0,redoutable,formidable,other,formid,61.0,68,
8896.0,écoulé,elapsed,other,elaps,34.0,82,
11095.0,bonhomme de neige,snowman,other,snowman,154.0,48,
7401.0,un implant  une prothèse,an implant,medicaments materiel medical,implant,70.0,65,
8832.0,farfelu,wacky,other,wacki,32.0,84,
3251.0,évangélique,evangelical,religions et croyances,evangel,27.0,88,
9334.0,sculpté,carved,other,carv,43.0,76,
465.0,optimiste,optimist,adjectifs essentiels en,optimist,50.0,72,
4606.0,le honduras,honduras,pays du monde en,hondura,1820.0,12,
8339.0,la première dose,first injection,covid coronavirus,inject,152.0,48,
148.0,exactement,exactly,adverbes utiles,exactli,1782.0,12,
9243.0,chef d œuvre,masterpiece,other,masterpiec,41.0,77,
241.0,regarder,to watch,verbes action et mouvements,watch,1098.0,17,
1437.0,une demi heure,half an hour,le temps,half,6965.0,4,
11537.0,silex,flint,other,flint,257.0,38,
7245.0,la coqueluche,whooping cough,les maladies,whoop,39.0,79,
12727.0,question,matter,other,matter,3807.0,7,
11071.0,reconquérir,regain,other,regain,151.0,48,
9405.0,avec véhémence,vehemently,other,vehement,45.0,75,
4297.0,une panthère,a panther,animaux sauvages zoo,panther,332.0,34,
10320.0,bizarrement,oddly,other,oddli,82.0,61,
7904.0,un romancier,a novelist,livres et ecriture,novelist,16.0,92,
3724.0,l’avant bras,the forearm,corps humain,forearm,4.0,98,
5179.0,du vin de table,table wine,nourriture et boissons,wine,416.0,30,
1710.0,la chimie,chemistry,education et ecole,chemistri,504.0,27,
10628.0,poids lourd,heavyweight,other,heavyweight,104.0,56,
4352.0,un nid d’abeille,a honeycomb,les insectes en complete,honeycomb,9.0,95,
2520.0,un instrument à vent,a wind instrument,musique,instrument,233.0,40,
2689.0,le débit,debit  flow,argent banque finance,debit,24.0,89,
9246.0,dénigrer,disparage,other,disparag,41.0,77,
934.0,un hacker,a hacker,crime criminalite,hacker,36.0,81,
5822.0,de la bande  du ruban,tape,outils et bricolage,tape,512.0,27,
1135.0,un plaideur,a litigant,loi justice juridique en,litig,42.0,77,
9863.0,annuaire,yearbook,other,yearbook,60.0,68,
6782.0,un herbicide,a herbicide,agriculture,herbicid,36.0,81,
11646.0,fatigué,tired,other,tire,298.0,36,
3368.0,un miracle,a miracle,religions et croyances,miracl,57.0,69,
4134.0,un fruit de saison,a seasonal fruit,fruits,fruit,446.0,29,
11280.0,à partir de,onwards,other,onward,188.0,44,
11295.0,chatte,fanny,other,fanni,191.0,44,
4152.0,une banane,a banana,fruits,banana,62.0,67,
4738.0,libyen,libyan,les nationalites en,libyan,42.0,77,
2286.0,l’événement,the event,histoire passe,event,10106.0,3,
10563.0,limite,borderline,other,borderlin,99.0,57,
4986.0,écumer,to skim,verbes cuisine,skim,15.0,92,
6534.0,étiquette à suspendre,hanging tag,industrie,hang,269.0,38,
12580.0,matin,morning,other,morn,1986.0,11,
4192.0,un échalote,a shallot,de les legumes,shallot,11.0,94,
9934.0,non dévoilé,undisclosed,other,undisclos,63.0,67,
10218.0,un jour,someday,other,someday,77.0,63,
6461.0,besoins du client,customer needs,industrie,custom,12.0,94,
4753.0,pakistanais,pakistani,les nationalites en,pakistani,507.0,27,
4394.0,un crécerelle  faucon ,a kestrel,les oiseaux,kestrel,18.0,91,
12139.0,vol,theft,other,theft,622.0,24,
1148.0,un tribunal pour enfant,a juvenile court,loi justice juridique en,juvenil,176.0,45,
1237.0,de la crème à raser,shaving cream,salle de bain,shave,24.0,89,
156.0,heureusement,fortunately,adverbes utiles,fortun,285.0,37,
8089.0,qui a l’esprit d’équipe,team player,recherche emploi,player,7676.0,3,
3685.0,des dents de devant,front teeth,decrire tete et visage en,teeth,7.0,96,
6192.0,le bagage à main,hand luggage,aeroports avions,luggag,39.0,79,
7761.0,bilingue,bilingual,vocabulaire immigration,bilingu,50.0,72,
10.0,arrêter,to stop,verbes a connaitre en,stop,196328.0,1,
2107.0,une escarmouche,a skirmish,guerre et paix,skirmish,13.0,93,
620.0,sortir avec quelqu’un,to date someone,amour et mariage,someon,21996.0,2,
2494.0,le hip hop,hip hop,musique,hop,870.0,20,
9446.0,soins de santé,healthcare,other,healthcar,46.0,75,
2538.0,une contrebasse,a double bass,musique,bass,814.0,21,
11415.0,cru,blunt,other,blunt,218.0,41,
14.0,avoir besoin,to require,verbes a connaitre en,requir,20447.0,2,
1062.0,le droit civil,civil law,loi justice juridique en,civil,483.0,28,
8647.0,éperdu,distraught,other,distraught,29.0,86,
4383.0,une tique,a tick,les insectes en complete,tick,18.0,91,
10291.0,câblé,wired,other,wire,80.0,62,
599.0,je t’aime,i love you,amour et mariage,love,4224.0,6,
11574.0,oublié,forgotten,other,forgotten,274.0,38,
1508.0,un rouage,a cog  wheel ,le temps,cog,17.0,92,
7773.0,la pauvreté,poverty,vocabulaire immigration,poverti,360.0,33,
7201.0,la cruauté,cruelty,vocabulaire personnalite qualites et defauts,cruelti,126.0,52,
7191.0,intrépide  effronté,bold,vocabulaire personnalite qualites et defauts,bold,3346.0,7,
8053.0,soupirer,to sigh,verbes utiles communication,sigh,79.0,62,
9692.0,anglais,englishman,other,englishman,53.0,71,
6206.0,longueur  durée,length  duration,aeroports avions,durat,569.0,25,
7043.0,le désir,desire,sexualite,desir,165.0,46,
3928.0,un commerçant,a shopkeeper,shopping,shopkeep,10.0,95,
2189.0,éclater,to burst,guerre et paix,burst,213.0,42,
351.0,encombrant,cumbersome,adjectifs utiles,cumbersom,31.0,84,
2845.0,ranger,to tidy up,la maison,tidi,1256.0,15,
2637.0,le tennis,tennis,sport,tenni,2102.0,11,
3627.0,des cheveux épais,thick hair,decrire tete et visage en,thick,425.0,30,
3365.0,un membre de l’église,a church member,religions et croyances,church,3021.0,8,
4662.0,chypre,cyprus,pays du monde en,cypru,574.0,25,
5924.0,une chaîne,a chain,vetements et accessoires en,chain,648.0,23,
9105.0,imprévisible,unpredictable,other,unpredict,38.0,80,
6436.0,une chambre familiale,a family room,vocabulaire hotellerie,famili,576.0,25,
5988.0,le passif,liabilities,commerce et affaires,liabil,78.0,62,
6086.0,berne,bern,les noms geographiques en,bern,68.0,66,
11935.0,bovins,cattle,other,cattl,457.0,29,
2660.0,une médaille,a medal,sport,medal,953.0,19,
11505.0,également,likewise,other,likewis,244.0,39,
4295.0,une mangouste,a mongoose,animaux sauvages zoo,mongoos,64.0,67,
7772.0,richesse,wealth,vocabulaire immigration,wealth,243.0,39,
11474.0,néanmoins,nonetheless,other,nonetheless,234.0,40,
11594.0,a venir,upcoming,other,upcom,282.0,37,
9872.0,attendre,await,other,await,61.0,68,
8672.0,gardien de guichet,wicketkeeper,other,wicketkeep,29.0,86,
10451.0,qui s appuie,relying,other,reli,91.0,59,
4019.0,des lunettes de soleil,sunglasses,voyage et tourisme,sunglass,51.0,72,
294.0,catastrophique,catastrophic,adjectifs utiles,catastroph,87.0,60,
454.0,muet,mute,adjectifs utiles,mute,46.0,75,
8676.0,fourbe,disingenuous,other,disingenu,30.0,85,
9040.0,moquerie,mockery,other,mockeri,37.0,80,
6775.0,un corps de ferme,a farmhouse,agriculture,farmhous,17.0,92,
6322.0,l’enfance,childhood,les etapes de la vie,childhood,193.0,44,
3228.0,de la silice,silica,materiaux et matieres,silica,27.0,88,
9815.0,les ciseaux,scissors,other,scissor,58.0,69,
7536.0,une salle d’hôpital,a ward,sante et medecine,ward,1169.0,16,
4850.0,une page d’accueil,a home page,informatique internet,home,20497.0,2,
4785.0,connexion,log in,informatique internet,login,537.0,26,
8958.0,pou,louse,other,lous,35.0,81,
1869.0,l’état major,the general staff,guerre et paix,staff,1701.0,13,
3407.0,commettre un péché,to commit a sin,religions et croyances,sin,318.0,35,
1905.0,la sérénité,the serenity,guerre et paix,seren,7.0,96,
12056.0,intérieur,indoor,other,indoor,539.0,26,
916.0,un cambriolage,a burglary,crime criminalite,burglari,16.0,92,
914.0,un attentat,an attack,crime criminalite,attack,20880.0,2,
3441.0,un théorème,a theorem,science,theorem,406.0,31,
10648.0,des fantômes,ghosts,other,ghost,106.0,55,
6134.0,la pennsylvanie,pennsylvania,les noms geographiques en,pennsylvania,3307.0,7,
8734.0,corsage,bodice,other,bodic,30.0,85,
11770.0,mouton,sheep,other,sheep,363.0,33,
9857.0,prononcé,readd,other,readd,60.0,68,
12447.0,précipité,rushing,other,rush,1323.0,15,
2935.0,la pollution de l’air,air pollution,meteo climat,pollut,9.0,95,
6049.0,une force de vente,sales force,commerce et affaires,sale,478.0,28,
3263.0,juif,jew  jewish,religions et croyances,jew,1264.0,15,
4656.0,les îles salomon,solomon islands,pays du monde en,solomon,300.0,36,
9913.0,enfoiré,fucker,other,fucker,62.0,67,
3664.0,des yeux perçants,piercing eyes,decrire tete et visage en,pierc,379.0,32,
4504.0,une sage femme,a midwife,metiers professions,midwif,4.0,98,
10101.0,randonneur,rattlers,other,rattler,71.0,65,
9357.0,eaux d or,goldwater,other,goldwat,43.0,76,
8501.0,renaître,reborn,other,reborn,27.0,88,
3970.0,un sac à main,a handbag,voyage et tourisme,handbag,24.0,89,
247.0,rouler,to roll,verbes action et mouvements,roll,546.0,26,
10917.0,deuil,mourning,other,mourn,132.0,51,
1472.0,noël,christmas,le temps,christma,1126.0,17,
5364.0,conclure un accord,to strike a deal,politique gouvernement,deal,2194.0,10,
8967.0,s étendre,sprawl,other,sprawl,35.0,81,
12078.0,billet,ticket,other,ticket,564.0,25,
8642.0,grognon,gawain,other,gawain,29.0,86,
8178.0,un choix,a choice,esprit opinion,choic,1503.0,14,
11691.0,voies respiratoires,airways,other,airway,324.0,35,
5224.0,un canot pneumatique,a dinghy,plage et bord de mer,dinghi,2.0,100,
8201.0,sous estimer,to underestimate,esprit opinion,underestim,21.0,90,
10887.0,bêche,spade,other,spade,128.0,51,
9454.0,habits,garments,other,garment,46.0,75,
1325.0,svelte,slender,decrire quelquun en,slender,24.0,89,
5775.0,un cutter,a cutter,outils et bricolage,cutter,48.0,74,
11202.0,voyou,rogue,other,rogu,172.0,46,
1539.0,reprendre,to resume,le temps,resum,285.0,37,
6825.0,les terres cultivées,cultivated land,agriculture,cultiv,30.0,85,
12241.0,entretien,interview,other,interview,777.0,21,
6268.0,deuxième classe,a second class,trains et chemins de fer,class,23389.0,2,
8902.0,consternation,dismay,other,dismay,34.0,82,
9418.0,rétrécir,shrink,other,shrink,45.0,75,
3325.0,le protestantisme,protestantism,religions et croyances,protestant,68.0,66,
9743.0,lecteurs,letterman,other,letterman,55.0,70,
10174.0,chaleureux,warmer,other,warmer,75.0,63,
7271.0,le saignement de nez,nosebleed,les maladies,noseble,2.0,100,
11657.0,réalisé,realized,other,realiz,306.0,36,
6388.0,un kilogramme,a kilogram,mesures poids quantites,kilogram,36.0,81,
10815.0,milieu,midst,other,midst,121.0,53,
9922.0,récupéré,reclaimed,other,reclaim,62.0,67,
452.0,motivé,motivated,adjectifs utiles,motiv,179.0,45,
4360.0,un moucheron,a gnat,les insectes en complete,gnat,4.0,98,
8137.0,travailler à mi temps,to work half time,entreprise monde du travail,halftim,903.0,19,
1242.0,du déodorant,deodorant,salle de bain,deodor,29.0,86,
9202.0,quatuor,foursome,other,foursom,40.0,78,
787.0,l’oxygène,oxygen,astronomie espace univers,oxygen,604.0,24,
4218.0,un mouton,a sheep,vocabulaire animaux domestiques,sheep,363.0,33,
3723.0,une aisselle,an armpit,decrire tete et visage en,armpit,5.0,97,
1435.0,une date,a date,le temps,date,72469.0,1,
2592.0,la gymnastique,gymnastics,sport,gymnast,282.0,37,
11820.0,décision,ruling,other,rule,386.0,32,
2858.0,du linge sale,dirty laundry,les taches menageres,laundri,67.0,66,
1310.0,bouffi,bloated,decrire quelquun en,bloat,11.0,94,
1355.0,à l’extérieur,outside,vocabulaire direction,outsid,3744.0,7,
6908.0,l’insuline,insulin,dietetique et nutrition,insulin,45.0,75,
