ENGLISH,OCCURENCES,ENGLISH_stem
drug,1724,drug
unusual,719,unusu
effects,1543,effect
profile,518,profil
loosely,139,loos
families,576,famili
mechanism,286,mechan
compound,647,compound
classified,1018,classifi
activity,1239,activ
impulse,40,impuls
propagation,37,propag
mediated,50,mediat
transmitter,112,transmitt
dopamine,44,dopamin
serotonin,210,serotonin
brain,731,brain
unlike,934,unlik
flood,1265,flood
uncontrolled,38,uncontrol
increases,337,increas
gets,1799,get
neuron,57,neuron
receiving,1609,receiv
neighbouring,149,neighbour
cause,4456,caus
dump,128,dump
stores,324,store
pattern,1273,pattern
larger,1080,larger
trace,3121,trace
tryptamine,93,tryptamin
mao,232,mao
inhibitor,91,inhibitor
potent,140,potent
oxidase,58,oxidas
doses,96,dose
low,4487,low
treatment,713,treatment
alzheimer,105,alzheim
disease,1752,diseas
parkinson,51,parkinson
clinical,184,clinic
depression,4573,depress
abt,110,abt
nicotine,108,nicotin
ephedrine,29,ephedrin
epinephrine,38,epinephrin
methamphetamine,121,methamphetamin
pia,56,pia
methyl,552,methyl
piperidine,26,piperidin
carboxylate,72,carboxyl
methylphenidate,48,methylphenid
cit,44,cit
rti,250,rti
cocaine,483,cocain
fe,449,fe
fp,68,fp
pit,1150,pit
ptt,94,ptt
cpt,105,cpt
wf,99,wf
lr,72,lr
phenyl,33,phenyl
newer,198,newer
less,4400,less
impact,1262,impact
affects,115,affect
mainly,921,mainli
bis,114,bi
derivative,584,deriv
acts,1155,act
animal,1368,anim
studies,679,studi
slower,546,slower
onset,75,onset
duration,569,durat
explicitly,320,explicitli
illegal,1199,illeg
anywhere,801,anywher
controlled,824,control
substance,303,substanc
analogue,106,analogu
grounds,940,ground
chemical,2107,chemic
structure,3451,structur
jurisdictions,53,jurisdict
zealand,4968,zealand
scientific,929,scientif
salt,588,salt
commonly,730,commonli
solubility,31,solubl
water,3624,water
hydrochloride,39,hydrochlorid
molecular,196,molecular
formula,3305,formula
smiles,129,smile
cc,1792,cc
oc,51,oc
weight,990,weight
melting,111,melt
optical,380,optic
rotation,450,rotat
wide,3220,wide
variety,948,varieti
various,3448,variou
itself,4845,itself
map,2829,map
particularly,3279,particularli
application,575,applic
fluorine,99,fluorin
atom,316,atom
substituted,347,substitut
radioactive,131,radioact
isotope,60,isotop
emission,83,emiss
tomography,28,tomographi
carbon,918,carbon
quicker,122,quicker
easier,1144,easier
practice,2465,practic
reacting,49,react
bromide,32,bromid
avoids,81,avoid
licence,429,licenc
restricted,366,restrict
precursor,134,precursor
addictive,28,addict
often,3464,often
potentially,3032,potenti
suitable,1632,suitabl
methadone,30,methadon
treating,94,treat
supplier,69,supplier
sigma,522,sigma
schedule,1673,schedul
presumably,354,presum
dea,51,dea
unclear,613,unclear
basis,1301,basi
legal,3974,legal
federal,2854,feder
analog,210,analog
announcement,440,announc
possibly,2341,possibl
substantially,362,substanti
ester,56,ester
linkage,46,linkag
extra,2066,extra
onto,1138,onto
para,304,para
solely,603,sole
relatively,880,rel
complex,1101,complex
synthesis,252,synthesi
synthetic,111,synthet
routes,554,rout
proceed,4409,proceed
intermediate,674,intermedi
fairly,1004,fairli
recreational,90,recreat
market,1858,market
toxic,159,toxic
recommends,127,recommend
gloves,106,glove
goggles,67,goggl
protective,88,protect
handling,316,handl
hood,659,hood
toxicology,37,toxicolog
widespread,528,widespread
extreme,934,extrem
difficult,1549,difficult
reconcile,28,reconcil
pharmacological,40,pharmacolog
properties,409,properti
concerns,2214,concern
poisoning,165,poison
data,4264,data
sheet,184,sheet
exposure,209,exposur
dilation,37,dilat
eye,1414,eye
pupils,51,pupil
euphoria,43,euphoria
breathing,167,breath
difficulties,310,difficulti
hypertension,61,hypertens
fainting,37,faint
cardiac,95,cardiac
arrest,500,arrest
death,4975,death
prolonged,86,prolong
medical,1481,medic
developed,2163,develop
commercially,140,commerci
available,3713,avail
limits,331,limit
outside,3744,outsid
strictly,454,strictli
setting,967,set
iodine,91,iodin
depending,419,depend
medicine,702,medicin
assess,452,assess
degradation,216,degrad
progressive,508,progress
palsy,80,palsi
throughout,3267,throughout
potency,33,potenc
rings,441,ring
local,4082,local
pure,470,pure
slightly,1064,slightli
alternative,1683,altern
stringent,37,stringent
licensing,665,licens
instances,393,instanc
despite,4326,despit
easily,2756,easili
reaction,1728,reaction
scarcity,43,scarciti
demanding,199,demand
production,2172,product
beyond,1233,beyond
capacity,676,capac
illicit,39,illicit
manufacturers,414,manufactur
supplies,515,suppli
quantities,101,quantiti
price,1219,price
somewhat,1077,somewhat
determine,2137,determin
molecule,236,molecul
designer,335,design
covering,440,cover
excessively,47,excess
problematic,161,problemat
standpoint,63,standpoint
ethanol,279,ethanol
ruling,386,rule
functional,146,function
enzymology,469,enzymolog
dehydrogenase,448,dehydrogenas
ec,612,ec
enzyme,2570,enzym
catalyzes,478,catalyz
thus,3649,thu
substrates,400,substrat
nad,353,nad
whereas,1002,wherea
belongs,2079,belong
ch,827,ch
oh,2114,oh
donor,259,donor
acceptor,196,acceptor
systematic,584,systemat
oxidoreductase,274,oxidoreductas
diphosphate,49,diphosph
lyases,121,lyas
oxygen,604,oxygen
biosynthesis,115,biosynthesi
diol,32,diol
paired,158,pair
oxidant,65,oxid
incorporation,142,incorpor
reduction,301,reduct
affinity,47,affin
isomer,57,isom
virus,711,viru
classification,1438,classif
sticks,85,stick
representation,562,represent
real,4760,real
graphics,827,graphic
afrikaans,3718,afrikaan
tagalog,3681,tagalog
hant,3642,hant
grading,1629,grade
suppose,451,suppos
beta,558,beta
clutter,92,clutter
direction,1098,direct
repetition,86,repetit
conform,779,conform
typical,573,typic
objection,351,object
lot,4141,lot
chemistry,504,chemistri
etc,3726,etc
titled,685,titl
clarity,166,clariti
thoughts,840,thought
hereby,207,herebi
award,3159,award
prestigious,162,prestigi
congratulations,209,congratul
picaroon,89,picaroon
strange,657,strang
isn,3674,isn
exactly,1782,exactli
ugly,325,ugli
skip,541,skip
paragraph,2314,paragraph
bread,296,bread
butter,393,butter
chemist,46,chemist
rendered,456,render
certain,2379,certain
passed,2677,pass
ago,1680,ago
indeed,1529,inde
evade,244,evad
subtle,584,subtl
maintaining,384,maintain
identical,554,ident
backbone,62,backbon
pronounce,54,pronounc
matter,3807,matter
acid,1785,acid
admittedly,106,admittedli
bonds,502,bond
tough,420,tough
break,1990,break
moral,344,moral
story,3511,stori
merit,1435,merit
wouldn,1222,wouldn
court,3828,court
moot,114,moot
stupid,988,stupid
vague,236,vagu
caffeine,117,caffein
nitrogen,294,nitrogen
argued,456,argu
fit,1104,fit
alexander,1994,alexand
engineer,1049,engin
portal,3801,portal
recruit,196,recruit
quantum,288,quantum
theory,2247,theori
unitary,66,unitari
global,2037,global
internal,913,intern
symmetry,65,symmetri
corresponds,202,correspond
splits,68,split
space,4483,space
sectors,121,sector
utility,204,util
matrix,346,matrix
geometric,132,geometr
topology,77,topolog
pretzel,26,pretzel
knot,144,knot
stern,265,stern
exhibit,125,exhibit
phenomena,76,phenomena
dimensional,356,dimension
surgery,356,surgeri
constructions,30,construct
sarcasm,72,sarcasm
visit,3698,visit
pointers,167,pointer
conventions,712,convent
village,3872,villag
pump,2845,pump
length,2071,length
rock,4683,rock
ensemble,106,ensembl
parenthetical,37,parenthet
girls,1812,girl
vinyl,202,vinyl
format,3310,format
label,1547,label
cd,1093,cd
expanded,772,expand
unique,1775,uniqu
mixing,142,mix
stewart,1403,stewart
standard,3078,standard
artist,2853,artist
bonus,559,bonu
track,4618,track
yo,860,yo
ok,2188,ok
im,1222,im
survey,606,survey
fans,2309,fan
mail,3118,mail
whatever,2824,whatev
beat,4193,beat
cousin,169,cousin
y,4934,y
ya,559,ya
literal,115,liter
interpreted,246,interpret
marker,157,marker
icelandic,128,iceland
comprises,248,compris
eight,3857,eight
untitled,83,untitl
divided,906,divid
light,4144,light
optimistic,50,optimist
halves,93,halv
silence,260,silenc
distortion,86,distort
opposing,410,oppos
parentheses,253,parenthes
bracket,384,bracket
packaging,1155,packag
elaborate,196,elabor
plastic,435,plastic
sleeve,261,sleev
cut,2622,cut
reveal,376,reveal
nature,1927,natur
shot,3594,shot
printed,3150,print
underneath,215,underneath
apart,1241,apart
child,1575,child
identification,2534,identif
booklet,69,booklet
thick,425,thick
paper,1520,paper
invited,1217,invit
draw,1850,draw
sale,478,sale
japan,4945,japan
spain,4908,spain
contemporary,706,contemporari
remain,1614,remain
circulation,828,circul
today,3399,today
vocals,278,vocal
meaningless,170,meaningless
resembles,113,resembl
singing,359,sing
von,1354,von
strings,141,string
sung,262,sung
vocalist,112,vocalist
whole,4125,whole
edinburgh,259,edinburgh
scotland,2558,scotland
heard,1696,heard
trailer,195,trailer
invasion,2348,invas
ken,1221,ken
thomas,4440,thoma
tis,170,ti
majority,2138,major
accompanied,330,accompani
quartet,84,quartet
young,3491,young
sold,1250,sold
worldwide,952,worldwid
live,3904,live
morgan,1000,morgan
fisher,509,fisher
entirely,1324,entir
susan,345,susan
movie,2850,movi
instrumental,233,instrument
job,1786,job
remarkably,78,remark
beautiful,496,beauti
registers,55,regist
conveys,32,convey
chance,2016,chanc
root,422,root
parenthesis,50,parenthesi
word,3659,word
colour,670,colour
screened,104,screen
festival,1546,festiv
toronto,3132,toronto
programming,1206,program
raters,61,rater
refresh,281,refresh
technical,1302,technic
prose,500,prose
excluding,222,exclud
authors,486,author
guest,527,guest
musicians,463,musician
categorisation,55,categoris
casual,163,casual
reader,1583,reader
meant,3336,meant
nothing,4095,noth
gap,849,gap
spy,805,spi
dec,2683,dec
variants,153,variant
eu,370,eu
aussie,145,aussi
spanish,4470,spanish
pressing,1326,press
housed,94,hous
giving,2577,give
sufficient,1618,suffici
tour,4894,tour
studio,1389,studio
TRUE,3931,true
debate,1972,debat
petition,169,petit
location,1655,locat
distinct,424,distinct
necessary,2294,necessari
million,4207,million
aside,592,asid
independent,2502,independ
relying,91,reli
primarily,989,primarili
stub,3172,stub
upgrading,445,upgrad
met,2306,met
ref,976,ref
waf,207,waf
fulfilled,252,fulfil
reassessed,390,reassess
fill,3388,fill
checklist,1695,checklist
referenced,2813,referenc
cited,2513,cite
reasonably,2425,reason
omissions,1656,omiss
inaccuracies,1770,inaccuraci
defined,2516,defin
grammatical,1823,grammat
diagrams,1700,diagram
ros,35,ro
none,2231,none
offer,995,offer
impartial,75,imparti
perspective,511,perspect
newspapers,574,newspap
teng,31,teng
islands,4350,island
task,1273,task
gay,1971,gay
strict,810,strict
banned,2575,ban
arbitration,3114,arbitr
committee,2480,committe
surrounded,284,surround
hydroxylase,81,hydroxylas
aba,196,aba
hence,919,henc
trans,391,tran
employs,105,employ
cofactor,71,cofactor
magnesium,144,magnesium
cis,146,ci
skeletal,135,skelet
ben,3153,ben
mills,500,mill
model,2514,model
nominally,1197,nomin
pixels,1240,pixel
size,3518,size
kb,1247,kb
wood,1115,wood
bm,32,bm
chem,38,chem
soc,52,soc
ds,821,ds
pro,2202,pro
gimp,94,gimp
binary,337,binari
mary,2235,mari
blood,1613,blood
believed,2850,believ
properly,2459,properli
branding,876,brand
tarnishing,770,tarnish
misrepresenting,855,misrepres
resolution,4051,resolut
lower,2370,lower
inferior,667,inferior
unsuitable,665,unsuit
artwork,1962,artwork
pirate,788,pirat
compete,1956,compet
context,2268,context
serves,1029,serv
alone,2466,alon
primary,2268,primari
associated,2256,associ
quickly,4096,quickli
services,3202,servic
turn,2989,turn
inadequate,687,inadequ
photograph,1336,photograph
painting,609,paint
graham,1804,graham
bowers,30,bower
confusion,4953,confus
arthur,1575,arthur
upload,4663,upload
consequently,288,consequ
infringement,4464,infring
wharf,77,wharf
eternal,164,etern
ghosts,106,ghost
acetyl,103,acetyl
cleave,55,cleav
ceres,222,cere
dwarf,502,dwarf
planet,1661,planet
van,3032,van
notify,668,notifi
te,2813,te
charles,3903,charl
saint,2363,saint
observatory,1664,observatori
examining,73,examin
citation,4462,citat
helena,135,helena
miriam,85,miriam
hera,72,hera
ml,139,ml
unnamed,229,unnam
earth,4739,earth
approximately,1786,approxim
diameter,575,diamet
amor,92,amor
orbits,215,orbit
mars,1014,mar
surface,1198,surfac
composition,356,composit
unknown,1714,unknown
eleanor,179,eleanor
jeff,3122,jeff
reach,1824,reach
ranking,959,rank
fifth,3615,fifth
amongst,517,amongst
cheap,177,cheap
spacecraft,184,spacecraft
target,1589,target
consideration,465,consider
agency,1485,agenc
candidate,836,candid
mission,2606,mission
ret,46,ret
artemis,299,artemi
camilla,53,camilla
ate,147,ate
neptunian,106,neptunian
resides,105,resid
chad,979,chad
jane,725,jane
jun,3058,jun
resonance,134,reson
neptune,369,neptun
pluto,461,pluto
ht,212,ht
travels,115,travel
eccentric,76,eccentr
perihelion,144,perihelion
closest,332,closest
approach,1454,approach
sun,2165,sun
aphelion,41,aphelion
farthest,44,farthest
arizona,1995,arizona
harvard,630,harvard
linear,359,linear
om,289,om
scattered,201,scatter
disc,786,disc
region,2840,region
solar,1531,solar
marc,666,marc
kern,52,kern
kc,412,kc
highest,2164,highest
measured,321,measur
color,2640,color
index,2224,index
visible,3183,visibl
spectrum,415,spectrum
orange,2530,orang
albedo,74,albedo
absolute,390,absolut
magnitude,1701,magnitud
estimated,1426,estim
cy,220,cy
semi,2178,semi
axis,406,axi
rarely,285,rare
quasi,75,quasi
circular,151,circular
lying,346,lie
perfectly,519,perfectli
ecliptic,62,eclipt
outward,44,outward
planetary,258,planetari
migration,184,migrat
wc,285,wc
satellite,1124,satellit
net,3661,net
victoria,2218,victoria
fy,59,fy
neat,98,neat
op,373,op
fragment,66,fragment
parent,497,parent
body,2641,bodi
el,4560,el
sm,157,sm
tx,197,tx
sb,366,sb
henry,2916,henri
roe,193,roe
distance,1624,distanc
crosser,53,crosser
kilometers,320,kilomet
expected,4305,expect
nemesis,87,nemesi
antigone,40,antigon
elektra,36,elektra
jg,145,jg
charon,61,charon
moon,1558,moon
nix,39,nix
hydra,80,hydra
austria,1679,austria
santa,1192,santa
roughly,511,roughli
mass,2116,mass
sierra,444,sierra
nevada,727,nevada
discovery,641,discoveri
credit,1113,credit
rapid,713,rapid
crystalline,42,crystallin
exceptional,154,except
largest,1904,largest
responsible,1723,respons
characteristics,355,characterist
stems,48,stem
christmas,1126,christma
acquired,580,acquir
deity,83,deiti
myth,225,myth
submitted,484,submit
hawaiian,285,hawaiian
mythology,1234,mytholog
discoverers,31,discover
astronomer,236,astronom
colleagues,123,colleagu
francisco,2346,francisco
castro,466,castro
pablo,906,pablo
santos,273,santo
analysed,30,analys
observations,324,observ
older,896,older
archives,915,archiv
telescope,301,telescop
collaborators,49,collabor
initially,1676,initi
withdrew,633,withdrew
suspect,914,suspect
inadvertently,230,inadvert
publicly,389,publicli
abstract,289,abstract
accessed,150,access
accused,1169,accus
breach,300,breach
ethics,247,ethic
strip,526,strip
admitted,535,admit
denied,782,deni
wrongdoing,43,wrongdo
curiosity,91,curios
month,3383,month
realized,306,realiz
standing,973,stand
protocol,822,protocol
decent,262,decent
imagery,289,imageri
historic,972,histor
circumstances,548,circumst
database,1046,databas
eris,124,eri
distant,146,distant
earlier,2753,earlier
planned,1083,plan
urging,90,urg
leaking,38,leak
method,3544,method
value,1649,valu
thermal,226,thermal
directly,2163,directli
kg,332,kg
faster,477,faster
displays,213,display
brightness,91,bright
shape,514,shape
density,323,densiti
compare,613,compar
together,2674,togeth
dimensions,176,dimens
longest,905,longest
shortest,102,shortest
arguably,276,arguabl
giant,1351,giant
rapidly,888,rapidli
varuna,34,varuna
proportion,357,proport
remnants,441,remnant
past,3497,past
ejected,119,eject
mantle,199,mantl
gemini,122,gemini
spectra,41,spectra
strong,2873,strong
amorphous,26,amorph
unstable,84,unstabl
hints,4253,hint
fresh,793,fresh
surprising,267,surpris
inferred,541,infer
remainder,621,remaind
snow,980,snow
imply,466,impli
higher,2948,higher
classical,639,classic
significantly,761,significantli
inclined,188,inclin
yellow,1653,yellow
grey,1129,grey
q,1933,q
combined,1589,combin
slow,902,slow
motion,1107,motion
spite,195,spite
provisional,621,provision
mutual,283,mutual
absorption,77,absorpt
infrared,192,infrar
depth,700,depth
inner,469,inner
assumption,353,assumpt
parameters,147,paramet
dispersion,27,dispers
proper,3769,proper
elements,1389,element
percent,595,percent
illustrates,467,illustr
deep,1412,deep
collision,346,collis
mostly,1448,mostli
accounted,106,account
spread,1046,spread
velocity,274,veloc
applies,3344,appli
mis,138,mi
closer,897,closer
chaotic,82,chaotic
lg,242,lg
population,2107,popul
prior,2727,prior
eventually,2680,eventu
permanent,741,perman
brightest,33,brightest
apparent,813,appar
nearly,2491,nearli
amateur,807,amateur
spitzer,60,spitzer
yielded,113,yield
william,4932,william
herschel,65,herschel
galileo,186,galileo
comparison,678,comparison
presence,796,presenc
methane,79,methan
prominent,596,promin
transient,34,transient
atmosphere,357,atmospher
easter,468,easter
angular,45,angular
maximum,1208,maximum
northern,4120,northern
coma,76,coma
conducted,1044,conduct
greater,1397,greater
degrees,438,degre
border,1767,border
taurus,104,tauru
unfortunately,3839,unfortun
galactic,75,galact
equator,208,equat
impossible,789,imposs
dense,97,dens
concentration,445,concentr
stars,1952,star
milky,123,milki
failed,3841,fail
moderately,82,moder
farther,151,farther
terms,4117,term
contrasted,28,contrast
passage,640,passag
spheres,68,sphere
apollo,610,apollo
nea,2069,nea
bd,74,bd
plates,207,plate
precise,228,precis
mercury,871,mercuri
radius,148,radiu
inactive,201,inact
extinct,112,extinct
comet,1656,comet
hasn,647,hasn
caught,1733,caught
temperature,599,temperatur
zinc,200,zinc
aluminium,245,aluminium
albert,1153,albert
einstein,427,einstein
comes,1805,come
cr,606,cr
smallest,333,smallest
clever,173,clever
weird,610,weird
perhaps,4190,perhap
squares,117,squar
browser,3636,browser
fonts,37,font
importantly,267,importantli
heck,146,heck
dark,1990,dark
nicholas,554,nichola
realise,276,realis
safe,634,safe
claim,4195,claim
10th,2667,10th
latest,931,latest
impression,476,impress
revise,83,revis
solipsist,227,solipsist
eh,266,eh
besides,680,besid
waiting,610,wait
weigh,115,weigh
managed,2332,manag
momma,68,momma
stuff,2423,stuff
huge,4220,huge
thwarted,53,thwart
controversy,1857,controversi
lama,298,lama
calculated,185,calcul
gravity,237,graviti
escape,840,escap
pt,339,pt
helper,47,helper
fellow,1240,fellow
guess,1273,guess
accurate,1920,accur
spaniard,58,spaniard
steals,245,steal
deutsche,266,deutsch
broadcaster,185,broadcast
jose,1158,jose
recognized,662,recogn
investigation,1218,investig
dudes,42,dude
anon,891,anon
afraid,624,afraid
journal,610,journal
procedure,374,procedur
secret,1117,secret
thru,84,thru
dispute,2764,disput
solve,252,solv
wrongly,93,wrongli
attributed,502,attribut
counts,426,count
happens,695,happen
specs,32,spec
clock,1408,clock
table,3699,tabl
curious,583,curiou
hollow,162,hollow
artificial,366,artifici
misleading,1107,mislead
badger,169,badger
readability,78,readabl
wider,283,wider
simple,1833,simpl
massive,866,massiv
doubted,39,doubt
greco,278,greco
roman,2081,roman
underworld,58,underworld
fashion,1737,fashion
nine,2786,nine
obviously,2150,obvious
hydrostatic,36,hydrostat
equilibrium,72,equilibrium
prime,3027,prime
office,3564,offic
doesnt,240,doesnt
spherical,64,spheric
awfully,32,aw
clarify,1118,clarifi
eric,1930,eric
francis,1194,franci
brussels,241,brussel
belgium,1479,belgium
wit,146,wit
gps,90,gp
send,1302,send
coincidence,162,coincid
suspicious,240,suspici
tenth,1097,tenth
unexpectedly,77,unexpectedli
decision,3818,decis
prematurely,54,prematur
afternoon,901,afternoon
unhappy,101,unhappi
felt,1145,felt
choice,1503,choic
co,3113,co
sci,161,sci
tech,2856,tech
stm,92,stm
worth,1442,worth
badly,482,badli
pieces,727,piec
broken,1592,broken
maybe,2860,mayb
speed,2474,speed
desired,165,desir
wily,40,wili
contacted,279,contact
redacted,30,redact
daughters,115,daughter
goddess,210,goddess
stone,1290,stone
discrepancy,75,discrep
choosing,200,choos
clearly,2601,clearli
shorter,2902,shorter
agree,3557,agre
yeah,824,yeah
across,3372,across
supposedly,252,supposedli
figure,2308,figur
amazing,516,amaz
dropping,471,drop
favor,802,favor
bigger,327,bigger
fl,1514,fl
asian,2215,asian
anyway,2006,anyway
irene,134,iren
lumen,38,lumen
previously,3250,previous
scale,2452,scale
risk,851,risk
monitoring,220,monitor
finally,2966,final
assigns,40,assign
nasa,1423,nasa
funded,153,fund
meters,511,meter
sentry,40,sentri
returned,3606,return
trend,294,trend
decreasing,66,decreas
rm,175,rm
andrew,4302,andrew
becker,143,becker
jeremy,704,jeremi
martin,3546,martin
rn,372,rn
apache,167,apach
fraction,173,fraction
absent,153,absent
proto,98,proto
buffy,95,buffi
circles,169,circl
equal,1300,equal
influence,841,influenc
mystery,330,mysteri
hypotheses,32,hypothes
forward,2170,forward
medusa,81,medusa
orthodox,286,orthodox
monastery,99,monasteri
bethlehem,111,bethlehem
israeli,2382,isra
occupied,723,occupi
bank,2226,bank
river,4404,river
update,988,updat
neo,404,neo
gov,1302,gov
straight,2980,straight
facility,1197,facil
mathematical,392,mathemat
tools,408,tool
confident,161,confid
fallen,372,fallen
scope,649,scope
coverage,1374,coverag
christopher,1770,christoph
apr,3134,apr
shaky,71,shaki
aligned,112,align
horizons,43,horizon
mid,2070,mid
txt,35,txt
outer,684,outer
exchange,1125,exchang
captured,1429,captur
disk,391,disk
indigenous,480,indigen
typo,196,typo
missing,1998,miss
sn,60,sn
scientists,329,scientist
companions,49,companion
bertha,54,bertha
kea,46,kea
hawaii,1115,hawaii
smiley,97,smiley
beaten,545,beaten
palma,59,palma
isaac,637,isaac
newton,853,newton
sc,644,sc
gv,54,gv
js,108,js
jr,2997,jr
tb,135,tb
da,1887,da
dy,45,dy
recognised,2255,recognis
tp,54,tp
dj,1084,dj
accomplishments,122,accomplish
fr,1126,fr
decimal,528,decim
psyche,39,psych
una,148,una
courtesy,524,courtesi
anna,620,anna
maria,945,maria
ophelia,112,ophelia
mw,65,mw
potassium,203,potassium
otherwise,4970,otherwis
meiji,59,meiji
restoration,256,restor
alan,1449,alan
ambrosia,29,ambrosia
ir,193,ir
moore,1144,moor
seventh,2274,seventh
pioneer,284,pioneer
reissued,49,reissu
compact,370,compact
juan,3253,juan
chaos,493,chao
glam,84,glam
metal,1858,metal
axe,150,axe
underground,670,underground
vol,363,vol
mafia,345,mafia
rap,381,rap
career,2659,career
bryan,771,bryan
olivia,172,olivia
duet,65,duet
performers,196,perform
richard,3628,richard
marx,278,marx
mcdonald,679,mcdonald
peter,3609,peter
allen,1474,allen
johnny,1655,johnni
built,3383,built
acoustic,109,acoust
beginning,2839,begin
pallas,86,palla
universe,944,univers
audio,893,audio
portion,971,portion
reproduced,246,reproduc
chunk,69,chunk
preclude,32,preclud
holder,2724,holder
contended,96,contend
transferring,181,transfer
phosphorus,146,phosphoru
nucleotide,65,nucleotid
ligase,51,ligas
geometry,247,geometri
triangle,436,triangl
genus,114,genu
angles,123,angl
subgroup,27,subgroup
orientation,159,orient
preserving,81,preserv
definition,1485,definit
norm,412,norm
algebra,338,algebra
quotient,92,quotient
cubic,159,cubic
extension,405,extens
module,72,modul
satisfy,847,satisfi
descend,54,descend
extending,197,extend
sl,89,sl
concrete,404,concret
explicit,299,explicit
unnecessary,1130,unnecessari
upper,1525,upper
plane,1318,plane
reduced,1076,reduc
dimethoxy,54,dimethoxi
eta,333,eta
kai,181,kai
chan,402,chan
trivial,250,trivial
finite,202,finit
perfect,1319,perfect
scott,3410,scott
houston,2163,houston
penelope,50,penelop
tr,218,tr
earliest,342,earliest
martha,244,martha
dido,44,dido
cathy,143,cathi
southern,4686,southern
ohio,4654,ohio
execution,250,execut
kathy,142,kathi
prison,902,prison
gates,761,gate
isabella,140,isabella
hugo,402,hugo
th,1029,th
oliver,639,oliv
