ID,PORTUGAIS,POLONAIS,INTERVAL
392,shriver,krypacz,100
3186,eloquência,elokwencja,82
12365,pérola,perła,29
4111,encurtando,skracanie,39
13947,pegar,brać,5
12734,comunidade,wspólnota,25
7820,lembrete,przypomnienie,19
7444,vagabundo,tramp,63
2477,escoamento,spływ,92
9076,bizarro,dziwaczny,54
5950,danúbio,dunaj,75
3836,antitruste.,antymonopolowy,87
14142,período,okres,10
9521,subordinar,podrzędny,44
8221,estragos,spustoszenie,60
14464,arquivado,wniesiony,6
531,carriça,strzyżyk,97
12427,escolhido,wybrany,28
14010,ir,iść,8
6272,gafanhoto,konik polny,71
7084,saxônia,saksonia.,68
3839,incolor,bezbarwny,87
8635,sapo,ropucha,57
9186,sopa,zupa,54
9052,ateísmo,ateizm,55
7828,tripé,statyw,62
10926,monumento,pomnik,38
9806,optar,optować,39
7742,coro,chór,63
9506,gravidade,powaga,52
14481,imprensa,naciskać,14
12756,móvel,mobilny,18
9100,judo,dżudo,55
2702,binômio,dwumianowy,91
6735,peixe-gato,kocia ryba,70
12972,inimigo,wróg,20
6076,meditação,medytacja,66
2506,querubim,cherub,92
231,caldeu,chaldejczyk,100
14052,melhorar,lepsza,11
13126,italiano,włoski,20
221,gália,gaul.,99
915,pease.,groch,98
5159,fraudulento,oszukańczy,77
2132,paradeiro,miejsce pobytu,94
1730,refeito,redone.,95
2414,escova de dente,szczoteczka do zębów,93
3963,brat,bachor,82
7947,elevação,podniesienie,37
2515,cossaco.,kozak,84
11051,gado,bydło,40
14072,ordem,zamówienie,10
13888,o que,co,7
3026,bleachers.,wybielacze,88
1473,aproveitar,uprząż,89
7942,pertinente,trafny,62
14384,liderar,ołów,8
12975,aposentado,emerytowany,17
9310,sediado,z siedzibą,20
2096,exclamação,okrzyk,92
9588,da mesma forma,podobnie,51
12489,quarta-feira,środa,27
14380,visualizar,pogląd,7
11055,retrato,portret,38
4161,myall.,moje wszystkie,85
8716,aviso legal,zastrzeżenie,22
11608,casaco,płaszcz,31
4304,prado,łąka,61
14286,quantia,kwota,8
9665,recuperar,zdrowieć,24
1077,analisando,analizowanie,44
9008,estendendo-se,rozsuwalny,21
5483,chinchila,szynszyla,78
10163,comunicar,komunikować się,9
10569,munique,monachium,43
14086,militares,wojskowy,12
2635,anomie,dezorganizacja,92
9092,amante,kochanek,47
8527,criaturas,stworzenia,50
4520,te,ciebie,83
14247,força,siła,9
8530,titânio,tytan,59
14017,operativo,operacyjny,7
9904,contatados,skontaktował się z tą kontaktem,6
8585,senador,sennik,58
11538,sistemático.,systematyczny,31
5178,nontop,bez końca,80
11792,desgastado,noszony,34
6069,declarar,zarzut,61
9788,café da manhã,śniadanie,48
5363,hidróxido,wodorotlenek,79
1285,induzir,spowodować,55
13727,causa,przyczyna,10
6983,refrigerante,soda,68
9562,salário,pensja,47
12816,capturado,złapany,17
2454,subjugado,stłumiony,82
5890,hickory,amerykański orzech biały,76
12672,doze,dwanaście,26
6988,miau,miauczeć,68
6026,krishna.,kryszna,75
7557,boa noite,dobranoc,65
14383,proposta,wniosek,11
1881,apocalíptico,apokaliptyczny,84
3463,ovação,owacja,86
6150,trenó,sanki,73
12515,complexo,złożony,25
9073,renomear,przemianować,25
777,perturbado,oszalały,99
9111,utilitário,pożytek,35
7221,provação,staż,65
5043,maltês,maltański,81
1168,levantamento,kwestionować,97
1872,belay.,asekurować,91
13169,difamatório,oszczerczy,20
4516,desajustes,misfits.,82
11599,par,rówieśnik,33
5708,sitcom.,komedia sytuacyjna,70
863,saturação,nasycenie,64
14143,abrir,otwarty,9
8538,primo,kuzyn,49
3289,alcorão,koran.,89
14098,esquerda,lewy,9
3481,mais brilhante,jaśniejszy,88
10381,cartucho,nabój,40
10511,líquido,płyn,39
9246,órbitas,orbity.,17
3667,sanção,sankcja,17
4761,hélice,spirala,82
7733,spree.,hulanka,62
14226,livre,bezpłatny,6
2243,quoth,kwotka,93
12641,clarear,rozjaśnić,26
5422,bulboso,bulwiasty,79
426,campanário,wieża kościelna,100
7473,placar,tablica wyników,64
7503,lírio,lilia,63
5064,sectário,sekciarski,78
11006,ídolo,idol,39
12200,relativamente,stosunkowo,22
1855,dorian.,dorycki,95
14386,cartão,karta,15
6595,arrumado,schludny,70
11546,trovão,grzmot,35
9485,infantil,dziecinny,51
9534,pneu,opona,38
12962,localização,lokalizacja,11
7675,franziu a testa,zmarszczył brwi,59
10225,fóssil,skamieniałość,31
3032,flautim,pikolo,90
5681,bipolar,dwubiegunowy,77
11226,fixação,ustalenie,11
10108,solitário,samotny,40
11336,retirado,wycofane,38
5486,isaías,izajasza,78
11442,idêntico,identyczny,24
12026,resgate,ratować,29
4445,primeiro plano,pierwszoplanowy,83
10793,preparatório,przygotowawczy,42
1844,trotter.,kłusak,93
8737,depreciativo,uwłaczający,57
3012,recintos,okolice miasta,72
11375,enfrentar,przybory,28
675,curiosamente,ciekawie,95
7389,proporcionar,pozwolić sobie,55
7822,revelação,objawienie,52
3386,descrença,niedowierzanie,88
9044,profeta,prorok,50
5644,valsa,walc,71
2804,pastoreio,wypasany,78
486,subindo,strzelisty,73
7790,boneca,lalka,45
4548,emaranhado,splątany,75
8546,saudável,zdrowy,59
7672,pág,pg.,64
916,forca,szubienica,97
6195,poodle,pudel,72
2168,conspícuo,rzucający się w oczy,88
1989,dã,dah.,95
7351,brilhando,świecący,54
2871,renal,nerkowy,91
7184,vingadores,mściciele,44
9686,papai,tatuś,50
14150,capaz,zdolny,6
11614,pesquisa,ankieta,33
13070,alcançar,zasięg,11
3597,primate,prymas,80
13091,rd.,r & d,21
9041,funk,boj,55
12707,pedra,kamień,22
5884,cunha,klin,72
1302,queimadura de sol,oparzenie słoneczne,95
10804,render,poddanie się,32
5434,açude,jaz,79
2109,ampliar,poszerzać,62
1859,conclave,konklawe,92
6341,esposas,żony,73
13694,defesa,obrona,11
4846,farmacêutico,farmaceutyczny,71
2441,antígio,antigone,92
5022,anexo,w załączeniu,75
4733,mais legal,najfajniejszy,82
11800,relâmpago,błyskawica,34
10052,borracha,guma,47
4061,balões,balony,44
3833,pequim,peking.,81
8556,judiciário,sądownictwo,59
13710,portanto,w związku z tym,13
6264,ótimo.,optymalny,74
8860,mosteiro,opactwo,56
13824,mais,więcej,5
13950,usando,za pomocą,5
13967,poder,moc,11
844,arrebatar,urywek,77
10537,em segundo lugar,po drugie,43
10431,ucraniano,ukraiński,43
6970,reconstituído,odtworzony,63
13083,desenhar,remis,17
7716,isentar,zwolniony,54
3105,ingrediente,składnik,73
7630,extraterrestre,pozaziemski,62
11579,sônica,dźwiękowy,35
3498,competência,biegłość,77
150,o w,thew.,99
6770,falta,niedobór,57
14159,trabalhando,pracujący,5
5332,eixos.,osie,50
3451,trevo,koniczyna,69
12229,injustificado,nie usprawiedliwiony,30
13200,rainha,królowa,18
11758,aquecimento,ogrzewanie,26
10391,pulando,skoki,9
2241,gonorréia,rzeżączka,93
5684,ancora,pustelnica,77
7213,filhas,córki,36
10358,poemas,wiersze,38
8687,sinistro,ponury,58
3948,sarcástico,sarkastyczny,82
9077,negro,murzyn,50
11194,espécies,gatunki,38
2274,inexperiência,brak doświadczenia,93
2954,atado,sznurowany,63
11932,comumente,powszechnie,33
11861,profundidade,głębokość,32
9602,sessenta,sześćdziesiąt,46
2437,grumoso,grudkowaty,93
7722,suástica,swastyka,63
10888,atingiu o pico,spiczasty,17
7159,fadiga,zmęczenie,64
11965,monte,garść,32
1236,especificações.,okular,66
14504,corre,bierze,8
12197,bastão,nietoperz,11
2861,bastões,laski,60
1591,decorrido,upłynął,94
1068,intoxicado,odurzony,79
7139,agostinho,augustyn,63
3699,folga,luźny,86
1147,duro de matar,diehard.,97
1383,inorgânico,nieorganiczny,97
4049,provence,prowansja,85
7080,centrado,centryczny,68
11072,roubado,skradziony,39
9379,inconclusivo,nieprzekonywający,53
1574,voicing.,udźwięcznienie,23
6903,mais pesado,cięższy,69
2167,rearranjo,przełączanie,61
13359,citado,cytowany,8
744,upstate.,północna część stanu,99
4703,adversários,przeciwnik.,72
9281,relacionamentos.,relacje,30
4032,reagente,odczynnik,82
11278,príncipe,pr.,38
11509,estatísticas,statystyki,35
3705,maníacos,maniaks.,51
8004,ancoragem,zamocowanie,62
5685,magnata,potentat,76
6127,revisão,wyremontować,63
4863,jock.,dżokiej,80
262,escandente.,skąpy,100
5569,secessão,secesja,77
7906,raciocinar,rozumować,62
8664,juvenil,nieletni,58
11438,seco,suchy,34
9651,execução,wykonanie,21
5941,sedimentar,osadowy,75
1812,pilar,kamień węgielny,91
13586,método,metoda,14
6447,bornéu,borneo.,72
8010,embutido,osadzony,60
572,reptiliano,gad,99
407,enganado,włączony,100
8814,serrador,tracz,56
12691,amigáveis,przyjazny,25
2239,matadouro,rzeźnia,93
1090,circunstancial,przypadkowy,97
4023,categorização,kategoryzacja,30
13251,sino,dzwonek,18
9104,explosões.,wybuchy,30
13625,claro,jasny,13
5478,southbound.,południowa granica,78
8631,cordeiro,owieczka,54
8332,plágio,plagiat,56
6392,em conjunto,wspólnie,73
1692,desidratação,odwodnienie,91
10945,macaco,małpa,39
9983,refém,zakładnik,38
4814,invasores,invaders.,35
13472,mais alto,wyższy,16
11929,citações,cytaty,16
6832,demolição,rozbiórka,67
13164,função,rola,19
11600,regulamentos,przepisy prawne,27
7154,iminente,nadciągający,66
13560,ciência,nauki ścisłe,14
12891,quebrou,złamał,23
7632,panorama,perspektywy,62
8485,parede de pedra,kamienna ściana,58
8703,descobrir,odkryć,10
12921,quebrado,złamany,23
9500,misericórdia,łaska,49
7485,deeper,głębiej,65
11610,lituânia,litwa,36
7467,transparência,przezroczystość,49
12510,item,przedmiot,21
7270,praças,kwadraty,18
7382,frustrante,denerwujący,7
4135,prisma,pryzmat,84
837,excesso de peso,nadwaga,99
6120,fascinante,fascynujący,62
5076,pedaço,kawałek,57
10842,evacuação,ewakuacja,27
11816,contrafacção,fałszerstwo,31
6254,empregada,pokojówka,70
8168,aquecido,ogrzewany,22
5042,bip,brzęczyk,79
6325,realizado,podejmowane,73
9396,cerca,ogrodzenie,42
4789,veracidade,prawdziwość,82
1295,salinidade,zasolenie,84
13762,noite,noc,12
11772,brasileiro,brazylijski,33
2785,novo mercado,nowy rynek,91
6527,acadêmicos,naukowcy,22
6079,não permitido,niedozwolony,68
11390,sueco,szwedzki,38
10538,crepúsculo,zmierzch,43
13992,baseado,na podstawie,10
5482,incêndio culposo,podpalenie,77
10173,mediterrâneo,śródziemnomorski,46
11930,dale,dołek,32
7692,erva daninha,chwast,60
11847,rival,rywalizować,26
14376,gerentes,menedżerowie,11
8339,perseguição,prześladowanie,55
10536,ovelha,owce,44
4389,irrevogavelmente,bezpowrotnie,83
2936,camarada,towarzysz,67
14139,comparado,porównywany,12
9671,realizada,spełniony,40
12244,afixo,afiks,30
5512,puxa,ciągnie,21
8068,tribal,plemienny,62
2053,espirrar,kichnięcie,88
10419,nota de rodapé,notatka,34
4908,não programado,nieplanowany,81
13759,familiar,znajomy,12
2963,trabalho em equipe,praca zespołowa,90
5827,conclui,podsumowuje,27
7155,logístico,logistyczny,39
12263,têmpora,świątynia,29
14212,cobranças,opłaty,17
14401,específico,konkretny,9
1804,stave.,klepka,78
7523,d d.,gd.,65
8719,processo judicial,pozew sądowy,52
13167,gogo,idź idź,20
12686,limpo,uporządkowane,25
8348,insubstanciado,niepodstawiony,60
6359,reservistas,rezerobusy,69
1229,sitter.,kwoka,96
3986,lobisomem,wilkołak,86
2757,salmão defumado,wędzony łosoś,91
4661,patches.,łaty,34
8522,julgando,osądzający,23
3959,castanha,kasztan,84
2780,primer.,elementarz,88
8686,ceifador,żniwiarz,56
614,verifica,sprawdzać,95
3700,derramamento de sangue,rozlew krwi,88
12133,quinta-feira,czwartek,31
5939,sete vezes,siedmiokrotnie,75
13434,trouxeram,przyniósł,17
10020,caxemira.,kaszmir,48
12941,distância,dystans,20
3620,totient,gola,88
5660,caixão,trumna,74
9891,feriados,wakacje,30
3038,tomilho,tymianek,90
4730,implorou,przyznał się,61
9064,buscador,osoba ubiegająca się o,53
14407,esperar,oczekiwać,12
11472,jerusalém,jerozolima,37
4687,meio-fio,krawężnik,71
121,amido,skrobia,97
1445,majestoso,majestatyczny,95
1252,skit.,skecz,88
13303,figura,postać,14
14436,múltiplo,wiele ,7
3682,firestone.,ognisty kamień,88
993,eclético,eklektyczny,98
13778,país de gales.,walia,13
13541,soviete,radziecki,15
10450,grosseiro,niegrzeczny,42
8706,motivação,motywacja,33
12770,feliz,radosny,24
4037,mania,chwilowa moda,71
14273,cabeça,głowa,11
6994,chevy.,pogoń,68
5282,vocabulário,słownictwo,79
3318,retido,wstrzymany,89
3218,supersônico,naddźwiękowy,60
2614,jardim da infância,przedszkole,91
12980,landfall.,lądowanie,22
12151,doméstico,domowy,30
13844,dois,dwa,7
8888,diabetes,cukrzyca,53
7411,letão,łotewski,64
12542,peixe,ryba,23
7724,reconciliação,pojednanie,63
1642,perdoado,wybaczony,96
8237,columbine,orlik,60
7873,perpetradores,sprawcy,49
9577,em todo o país,ogólnonarodowy,51
5930,sarja,serge.,75
13570,pesado,ciężki,15
8710,coragem,odwaga,54
12018,península,półwysep,32
1676,irmandade,siostrzeństwo,96
2210,dormiu,spać,93
12069,martelo,młot,30
8127,cantores,śpiewacy,22
9488,selva,dżungla,50
12804,olho,oko,18
7403,tolet,fioletowy,64
4228,chilre,chirps.,81
12159,foguete,rakieta,24
2471,interlanguage,interlugowy,92
14156,internacional,międzynarodowy,10
11351,difundido,rozpowszechniony,38
8009,nua,odsłonić,38
10141,ativistas,aktywistów,38
4206,slides.,slajdy,45
2286,rotor,wirnik,92
2072,cálice,czara,93
10216,credibilidade,wiarygodność,29
4289,implícito,domniemany,84
8086,jurássico,jurajski,62
826,senhorio,gospodarz,93
1012,esgotamento,wypalić się,97
3445,benchmark,reper,82
13598,destaque,wyróżniony,11
2595,iluminar,oświecać,50
13926,até,nawet,8
14128,marchar,marsz,6
9567,me dê,dawaj,51
4522,ralo,drenaż,65
14330,preto,czarny,12
12679,enviesado,stronniczy,25
6592,covarde,tchórz,71
11365,floresta tropical,las deszczowy,38
10798,jogador,melonik,32
13372,eu mesmo,siebie,18
10119,super homen,nadczłowiek,47
5797,semicondutor,półprzewodnik.,73
11296,quinze,piętnaście,38
6032,assinada,oznaczony,48
9733,lunar,księżycowy,50
12004,níveis,poziomy,12
1412,traços.,kreski,50
6787,remotamente,zdalnie,41
1350,água do mar,woda morska,97
13565,preencher,napełnić,13
2163,irrealista,nierealistyczny,92
11533,curioso,ciekawski,36
10191,nervoso,nerwowy,46
6418,carbonaceous.,węglany,73
3774,legiões.,legiony,42
8073,em terra,na brzeg,62
12807,acoplado,sprzężony,15
7246,o mais novo,najnowsza,67
1307,polônio,polon,97
12530,segredo,sekret,25
6821,rastreados,ekranowany,22
2317,infrequentemente,nieczęsto,80
9752,cantado,zaśpiewany,50
4202,teixo,cis,84
10953,cobertura,pokrycie,9
3423,palíndromo.,palindromiczny.,77
12308,convecção,konwekcja,28
8850,inclinado,skłonny,44
8680,fascista,faszystowski,51
2420,planejadores,planiści,85
13286,ele mesmo,samego siebie,19
9883,fortaleza,twierdza,46
8493,respirando,oddechowy,43
10512,trancado,zablokowany,30
2755,luxúria,żądza,88
12877,superior,górny,23
12974,bolas.,kulki,11
11656,com sucesso,z powodzeniem,13
4197,isômero,izomer,72
10776,imagine,wyobrażać sobie,34
3367,sopro,ptyś,75
7308,carne de porco,mięso wieprzowe,66
12690,impacto,uderzenie,24
14294,carro,samochód,11
14257,redes,sieci,9
8362,listras,paski,47
12074,roteiro,scenariusz,29
8250,expulso,wyrzucony,55
2413,tendão,ścięgno,90
14482,por que,dlaczego,8
8150,fixture.,osprzęt,46
4543,tarifas,taryfy.,62
9086,defensores,defensemen.,55
13790,televisão,telewizja,12
8641,profissionais,profesjonaliści.,19
13728,citação,cytat,12
11322,júlio.,juliusz,38
10716,instâncias,instancje,24
3175,gritando,wrzeszczał,50
10562,pedregulho,otoczak,43
190,supervisionando,nadzorowanie,75
9304,salmão,łosoś,53
14154,clientes,klienci,29
11550,reprodução,reprodukcja,31
3399,desmantelado,zdemontowany,73
5002,poinsétia.,poinsecja,81
11749,precisão,precyzja,34
14117,faixa,zakres,12
6538,arrogante,arogancki,63
3860,descendência,potomstwo,86
3748,escorregadio,śliski,86
7041,gump.,guz,68
1909,ansiosamente,z zapałem,95
11014,suponha que,przypuszczać,22
11951,censo,spis ludności,32
8639,picada,żądło,56
527,pré -brista,prekambryjski,99
11354,sudão,sudan,38
9330,criador,producent,44
13485,voto,głosować,12
712,não escrito,niepisany,99
4734,subconjuntos,podzbiorów,62
6741,escadaria,schody,66
6126,festão,girlanda,73
12058,trivialidade.,drobnostki,31
14367,imagem,obraz,6
14404,análise,recenzja,8
10370,propaganda,reklama,8
5088,runas.,runy,43
5584,prato,danie,65
13693,amar,miłość,13
5104,redesenhado,przeprojektowany,24
14165,cidade,miasto,9
13661,meio,środkowy,14
9368,nós mesmos,my sami,53
10316,cache,pamięć podręczna,40
6037,concourse,zbiegowisko,74
7516,barroco,barokowy,65
9731,doador,dawca,45
8646,atlantis.,atlantyda,58
9404,trunfo,atut,50
9425,dezessete,siedemnaście,52
350,loon.,gbur,99
12269,monstro,potwór,27
9713,gótico,gotyk,50
2555,altar,ołtarz,92
10784,supostamente,podobno,42
9452,soberano,suwerenny,51
1896,sexismo,seksizm,95
8542,modificações,modyfikacje,43
4648,ilegítimo,nieślubny,82
10468,suposição,założenie,38
13881,usado,używany,5
6628,descartes.,kadź,71
6502,a sobrecarga,nad głową,72
2396,drone,warkot,86
7077,escândalo,skandale,30
12067,pilares.,filary,31
1353,tricô,robienie na drutach,84
8123,machado,topór,55
12534,considerada,traktowany,6
5333,gladstone,goguś,79
8617,à paisana,mufty,58
4443,aquático,wodny,51
11040,galês,walijski,40
6019,prevalecer,panować,44
4534,difuso,zamazany,83
11164,genocídio,ludobójstwo,38
13562,mês,miesiąc,12
9360,bret.,bretowy,53
6308,camarão,krewetka,73
7239,confucionismo,konfucjanizm,66
12275,assassinato,morderstwo,23
6072,conquistado,zdobyty,47
3926,quarentena,kwarantanna,81
2608,excede,przekroczy,92
4320,piemonte.,podgórski,84
9290,alimentação,karmić,43
