ID,PORTUGAIS,RUSSIAN,INTERVAL
2055,baguio.,багажник,92
7087,sherlock.,шерлок,64
2399,sincronizado,синхронизирован,67
11002,golpe,дуть,29
3159,empresários,предприниматели,88
12753,janelas,окна,11
13990,pc,пк,36
3550,gerencial,управленческий,86
3147,culver,выгодность,88
7565,benin,бенин,61
3892,wiltshire.,уилтшир,84
10640,pré-temporada,предсезонный,38
14307,alemão,немецкий,10
7378,lyases.,лисы,43
7545,aquário,водолей,61
680,arqueólogo,археолог,88
2686,iglu,иглу,89
13616,visita,посещение,11
6943,sinatra.,синатра,65
8336,lição,урок,46
3887,casa.,каса,73
4964,avalon.,авалон,77
3931,kibutz.,кибуц,84
12047,introdi-,вступление,27
235,não ambíguo,неоднозначный,86
5371,masjid.,масхид,75
11768,abraão,авраам,30
14338,visto,видимый,11
8315,hindi,хинди,56
4037,mania,приступ,67
4425,invariante,инвариант,63
8538,primo,двоюродная сестра,45
9207,hawkins,хокинс,50
6806,maquiagem,макияж  мириться,65
7557,boa noite,доброй ночи,61
12299,terrenos,основания,12
5005,esferas,сферы,33
3097,desaprovação,неодобрение,74
13852,alguns,некоторый,6
4594,prolífico,плодовитый,79
4629,estrada.,эстрада,79
9114,não utilizado,неиспользованный,47
8121,delegar,делегирование,25
2133,gueixa,гейша,91
2380,criptografia.,криптография,91
5390,graxa,жир,73
3017,cavidade,полость,88
7002,hogg.,хогг,64
12902,esqueço,забывать,19
8491,mahatma.,махатма,55
8441,dorothy.,дороти,55
4464,eurasian,евразийский,80
5169,reconhecível,узнаваемый,74
9126,dinamite,динамит,50
3562,romper,расставаться,83
13446,região,область  край,11
12313,supremo,верховный,25
7068,baixista,басист,63
7692,erva daninha,сорняк,56
1192,rhema.,рема,96
13244,acordo,по рукам,12
4137,sala de aula,школьный класс,74
4050,sutra,сутра,80
7183,margarida,ромашка,62
4602,ala.,ала,61
3114,baço,селезенка,87
12513,emergência,чрезвычайное происшествие,16
2388,reintroduzido,реиндуцирован,78
6617,placa,бляшка,62
6495,governantes,правители,50
3095,torque,крутящий момент,87
4132,tadir,прибавлять,82
13329,áreas,область,9
5488,suor,пот,67
10072,lendário,легендарный,43
13912,informação,информация,5
8327,orientação,ориентация,31
5051,bolos,болван,77
535,pelt.,шкуры,79
1549,mulder.,малдер,95
4915,pós-guerra,поствар,78
13194,oh,ой,16
8115,antropologia,антропология,56
9186,sopa,суп,49
11999,casado,брак,27
13999,linha,линия,8
10039,azoto,азот,42
11480,cabeças,головы,9
9919,bart,барт,44
13234,caro,дорогая,16
856,udal.,удаль,98
6872,demise,кончина,65
7506,jesuíta,иезуит,59
7705,colonos,поселенцы,56
12523,pelotão,отряд,19
2990,incentivo,стимул,73
12530,segredo,секретарь,22
5162,assinante,абонент,52
5374,hula,хула,75
4822,vereador,олдерман,78
13115,egito,египет,17
8979,sócrates,сократ,50
12926,rico,богатый,19
1206,sarna,чесотка,96
9984,reeleição,переизбрание,41
8173,modesto,скромный,57
6301,tonto,испытывающий головокружение,65
2317,infrequentemente,не часто,76
13175,nea.,дона,17
7231,em voz alta,вслух,63
12935,duque,герцог,19
1023,sade.,сади,97
6145,wagga.,вагга,70
3559,otimista,оптимистичный,80
13634,não registrado,незаметно,12
6108,draper.,капля,71
8061,comi,съел,57
3269,empilhado,свалил,48
4518,paradigma,парадигма,79
4615,sem importância,неважно,79
7468,posador,поз,42
4435,enfermeiros,медсестры,38
11240,mills.,мельницы,25
10533,interface,интерфейс,38
6232,hon,утонченность,70
9399,sem nome,без имени,48
11475,palestrante,оратор,27
11848,aprovação,одобрение,18
505,brotou,спринг,99
13545,declaração,утверждение,11
10663,vingança,месть,38
11089,tio,дядя,36
10908,arvoredo,роща,36
13735,alf.,альф.,12
12626,fantasia,фантастика,22
9802,surpreendente,удивительно,21
9358,falso,не соответствует действительности,49
7132,casablanca.,касабланка,64
2733,encanamento,сантехника,83
10503,radiação,радиация,37
14045,dentro de,в пределах,10
11271,trimestres,кварталы,9
10953,cobertura,покрытие,8
14025,meu,мой,5
4873,rappers.,рэперы,27
1468,abdômen,брюшная полость,95
319,bey.,бей,97
8335,dominação,доминирование,17
2258,cassiopeia.,кассиопея,91
4739,incompetente,некомпетентный,64
4639,formigamento,колючка,79
13718,rio,река,11
9422,joanesburgo,йоханнесбург,48
1754,mnemônico,мнемонический,89
7716,isentar,освобождать,50
6970,reconstituído,восстановленные,59
9680,quiddity,каминда,46
5382,denotar,обозначить,29
11344,bunda,жопа,33
2623,comitiva,энтурирование,89
1526,fecal.,фекал,95
11835,bronzeado,загар,28
8572,blk.,заблуждение,54
13432,chapa de ebulição,котельная,14
10500,rodriguez.,родригес,40
12673,conspiração,заговор,22
10253,logan.,логан,41
1842,noites,ночной,93
2106,guardas,гвардейцы,92
1571,indocumentado,недокументированный,94
14430,ligação,связь,20
8076,tarifa,плата за проезд,45
9931,tortura,пытка,38
4972,dislexia,дислексия,77
6112,cl.,чемодан,70
6700,slurs.,шланги,56
14408,figuras,фигуры,12
6673,numerologia,нумерология,65
1774,paralaxe,параллакс.,92
13110,eric.,эрик,17
10694,cambridge,кембридж,38
7682,banjo,банджо,60
11728,milão,милан,30
5489,atacar,внезапно атаковать,65
9517,vic.,вика,47
9254,ambulância,скорая помощь,45
12175,esposa,жена,27
9504,erupção,извержение,36
2788,rembrandt.,рембрандт,89
13441,mapa,карта,12
7520,indelicado,неразрешительный,61
11640,abu.,абуатор,31
2093,dinar,динар,83
11431,louisville.,луисвилл,33
14053,oeste,западный,8
9666,absurdo,абсурдный,44
10914,galáxia,галактика,35
3415,ocarina,окарина,86
10441,gabriel.,габриэль,40
12849,wr.,присвоить,20
4054,rampa,растрачивать,74
7708,porco-espinho,дикобраз,60
10460,romance,романтика,39
3809,cirrus.,циррус,84
13223,altíssima,самый высокий,16
13075,crítico,критический,11
9871,insurgentes,повстанцы,33
13733,consciente,осведомленный,12
8811,fígado,печень,52
6534,sofá,диван,64
12446,conduzido,проведенный,16
1773,mindinho,мизина,88
10555,prussiano,прусский,39
771,ord.,орден,98
797,filarmônica,филармония,98
229,dispersão,диспергирование,45
1374,burguês,буржуаз,96
11438,seco,сухой,30
11697,retirou-se,снял,31
9457,tens,десятки,10
13473,academia,академия,14
707,soldado,слона,98
10313,andando,гулять пешком,13
2508,quinzena,затяжка,88
13300,criado,поднятый,13
3317,farmacia,аптека,84
2655,pathan.,патан,89
12631,cinza,серый,22
1414,cater.,обслуживать,69
5460,pam.,пам,74
12419,tommy.,томми,24
2037,sau,саума,92
2142,vacúolo,вакуол,92
8844,cunts.,пинты,33
8604,esperto,умная,53
3263,possui,обладает,19
2297,daud,дауд,91
6101,focal,очаговый,71
12641,clarear,освещать,22
3293,tribesmen.,соплеменники,87
9722,vigilância,наблюдение,46
5342,perene,многолетний,73
7167,carioca.,кариока,63
12697,tarefa,задача,15
9230,tijolo,кирпич,45
7218,punho,кулак,53
12173,onze,11,27
12779,auto,авто,21
5387,benzeno,бензол,74
13184,levemente,слегка,17
9765,lynch.,ленч,42
12903,oakland,окленд,20
9421,crocodilo,крокодил,45
9270,cenoura,морковь,48
12788,fa.,фальсификация,20
12704,senadores,сенаторы,14
477,póstumo,посчет,69
11414,ataque,рейде,25
4361,criticar,критиковать,45
12032,cornix.,координат,28
6592,covarde,крашество,67
3986,lobisomem,оборотник,83
2352,aiatolá,аятолла,89
2700,caras,парни,24
11841,show,концерт,26
352,ragtime,рагнуть,100
311,sari,сари,97
11034,guilda,гильдия,36
3352,perm.,перми,86
13323,grã-bretanha,британия,15
8517,íris,радужная оболочка,54
6054,peck.,клевать,69
1031,espuma,пена,93
4285,cynthia,синтия,81
5842,sulco,канавка,64
7805,primitivo,примитивный,57
8046,ódio,ненависть,58
5766,scottie.,шотланд,68
4600,odômetro,одометр,79
10389,flagstaff.,флагштафт,40
13348,nd.,поведение,15
4566,passo,шайд,74
8716,aviso legal,отказ от ответственности,19
2664,laissez.,лайссес,89
5785,ânus,анус,72
8645,abrigo,приют,44
6953,videira,виноградный,58
10709,matemático,математический,21
982,restabelecido,восстановить,83
3841,bumerangue,бумеранг,84
7839,mentiroso,лжец,55
4460,quakers.,квакеры,64
745,ripa.,рипа,98
6552,chihuahua,чихуахуа,68
2726,fertil,плодовитость,54
7131,mescalina,мескалин,64
13564,basquetebol,баскетбол,13
4794,herschel.,гершель,78
8040,isis.,исис,58
2629,tula,тула,89
4386,iluminado,освещенный,59
14462,produzir,производить,7
933,sodoma,содома,97
5409,mais seguro,безопаснее,75
2886,somers.,сомеры,88
1946,riddled.,пропущенные,71
10101,vestido,оделась,25
11963,oponentes,противники,22
12727,fc.,отказ,21
3384,incompatível,несовместимый,80
8976,gatinha,китти,49
4202,teixo,тис,81
4277,ambiente,окружающий,81
8093,saias,юбки,46
9299,abd.,абд,49
14263,t,т,5
1089,quimera,химера,96
459,tomografia,томография,99
4968,rouxinol,соловей,77
7292,chil.,чил,62
13615,tagalog.,тагалог,12
8443,névoa,туман,54
7845,euler.,элюр,59
10051,falado,произнесенный,43
4697,schultz.,щульц,78
2704,alerta,оповещение,27
10933,fumaça,курить,25
12759,religião,религия,20
346,haji.,хаджи,100
7007,stingray,скат,61
4720,amtrak.,амтрак,79
14054,mostrar,показывать,7
10443,prejudicando,обесценение,38
6632,marselha,марсель,59
4795,mw.,мт,78
8406,lak,лак,55
9631,chapman.,капман,47
2137,motorizado,моторизованный,92
14121,fazendo,изготовление,5
9838,norfolk.,норфолк,45
11052,escravo,раб,30
12747,amigo,друг,13
591,septuagint.,септуагинт,99
2322,pix.,пикс,91
6250,afogamento,утопление,49
10166,patrocinadas,спонсируется,29
2811,sidecar,сидячий,88
7204,eastman.,истман,63
4063,killeen,киллин,83
2564,salma.,сальма,90
11192,moonraker.,лунный,35
11017,raven,ворона,26
12265,marshall.,марка,22
1987,retaliatória,реталайный,93
10019,cabot.,кабота,43
14034,custos,расходы,19
13647,viver,жить,8
7953,preservativo,презерватив,56
5167,sant.,осевать,76
9993,em todos os lugares,где угодно,44
7031,lir,лир,64
3777,escasso,редкий,68
9744,monsieur.,месье,45
10532,vol.,топ,32
7675,franziu a testa,нахмурился,55
13890,por,перемещение,11
6714,desligamento,выключение,25
5748,cubismo,кубизм,73
7198,recuo,отдача,62
262,escandente.,оздоровлять,100
12026,resgate,спасать,25
6073,bétula,бирза,71
4372,bobina,катушка,78
4983,ethel.,этель,77
7145,viewpoints.,точки зрения,39
2677,agrário,аграрный,87
2841,cocker.,кокерс,87
6061,prolongado,продлен,63
14147,recentemente,недавно,5
3910,na estrada,придорожный,84
9946,sião,сион,44
11265,ártico,арктический,35
12435,dc.,округ колумбия,24
13493,on-line,онлайн,14
13468,ministro,министр,13
7544,quo.,кво,61
13112,capital,столица,12
8413,casual,повседневная,51
1631,vulva,вульва,94
14300,operação,операция,6
10291,fleming.,флеминг,41
7828,tripé,штатив,58
8059,pepino,огурец,57
1986,não explodido,невыразительно,93
4847,símile,сравнить,78
11183,victorian.,викторианский,35
3521,kannada,канада,86
2868,daler.,далер,88
13131,gay.,гей,17
6148,génova,генуя,70
7340,mig.,миг,61
12450,pato,утка,19
12908,cicatriz,шрам,19
285,malcheiroso,вонючий,99
1707,bola fogo,огненный шар,91
14384,liderar,вести,7
5447,hipopótamo,гиппопотам,62
3350,magrelo,тощий,87
13343,apropriadamente,должным образом,15
1718,ros,рос,36
6468,sinistro,зловещий,68
7383,steak,стейк,61
5826,dominique.,домика,72
12016,estoque,снабжать,24
12831,afeganistão,афганистан,20
9795,sargento,сержант,44
6989,espinal,позвоночник,64
12878,tipos,типы,7
11487,defender,защищать,14
8818,baterista,барабанщик,50
10421,matriz,матрица,40
12267,odiar,ненавидеть,23
13947,pegar,брать,5
12104,arábia,аравия,27
693,shiraz.,шираз,98
8354,unicórnio,единорог,54
8018,knoxville,ноксвилл,58
405,basculante,самосвал,100
267,tangente,тангенс,96
13226,frente,вперед,9
1741,patrocínio,патронаж,93
13796,em,в,5
2542,waller.,кобель,90
11029,defunto,несущественный,36
9030,precioso,драгоценный,51
10007,hogan.,хоган,43
11744,frota,флот,29
2697,apátrida,бездействие,83
12487,justiça,справедливость,23
8343,puma,пустяк,33
14075,acesso,доступ,8
13322,ei,привет,15
5330,memórias,мемуары,66
11689,automóvel,автомобиль,29
6811,chopin.,париться,65
3696,prog,прог,83
7063,loyalist.,лоялист,55
6043,taoísmo,даосизм,71
11488,ea.,советник,32
8565,ruivo,имбирь,54
6908,majestade,величество,64
5439,turbulência,смятение,73
10574,netuno,нептун,39
8411,porto.,порту,55
9603,nutrição,питание,44
5440,alíquota,аликвот,75
11878,portland,портленд,29
2889,mora,мора,88
13853,quando,когда,6
12961,amarelo,желтый,19
10378,bruxa,ведьма,38
9112,cone,конус,49
5156,disfarçado,под прикрытием,76
11954,escravidão,рабство,28
13964,quatro,четыре,6
836,rapido.,raphoto.,98
8387,flandres,фландрии,55
13908,dela,ее,9
354,stratojet.,страно,100
8864,subúrbio,пригородный,36
9860,louise.,луиза,45
7059,diplomacia,дипломатия,64
4077,bering.,беринг,80
12964,omissões,упущения,19
13926,até,даже,7
10494,proporção,пропорционально,35
515,pavimento,тротуар,91
14351,condições,условия,9
12621,nativo,родной,21
8377,sentimento,настроение,44
3853,di-hidroxi.,дигидрокси,84
11305,vulcão,вулкан,32
10220,pecado,греха,36
13152,chance,шанс,15
12665,retirou,нарисованный,22
4274,oxidase.,оксидаза,81
2792,turbocompressor,турбокомпрессор,88
533,liturgia,литургия,98
5575,absorção,поглощение,72
11134,catalisadores,катализировать,35
1128,tana,тана,96
4219,estranho,посторонний,81
9143,waf.,вариант,50
7884,isabella.,изабелла,59
13014,factual,фактический,17
598,hierárquico,иерархический,91
2986,ônus,anus.,88
8107,pistolas.,пистолеты,40
1613,ceilão,цейлон,94
593,cromatina,хроматин,99
11908,incomum,необычный,26
2741,simplista,упрощенный,87
3149,sacristão,sexton,88
14115,fechar,закрывать,10
1282,tríades,триады,65
1711,bafta.,баффи,94
8740,trio,трио,52
7790,boneca,кукла,41
10004,culto,культ,42
8607,crush,раздавить,36
10104,ct.,кт,40
9661,spa,спа,46
8478,lápis,карандаш,53
3437,degas.,дегово,86
11802,capacidade,емкость,28
9183,serotonina.,серотонин,50
10444,geologia,геология,33
8407,bicha,педик,51
2848,piccadilly.,пикадилли,88
1350,água do mar,морская вода,96
230,subgrupo,подгруппа,91
10782,hindu,индусский,33
8283,fibrose.,фиброз,56
11322,júlio.,юлий,34
6753,berilo,берил,65
6588,khrushchev.,хрущев,67
14272,campanha,кампания,13
451,crozier.,крозик,100
3341,butadiene,бутадиен,87
7717,substantivo,имя существительное,52
2576,suborno,подкуп,90
9235,aurora,аврора,49
10418,máfia,мафия,40
11670,décimo terceiro,тринадцатый,31
12744,desastre,катастрофа,17
3241,sykes.,сиденья,83
12526,respondeu,ответил,11
7294,dvorak,дворак,62
8111,epístola,послание,56
6404,ren.,рент,69
2152,wayland.,василь,92
12810,suíça,швейцария,20
5182,evolucionário,эволюционный,76
11078,dramático,драматический,30
3760,exames,экзамены,64
10734,nixon.,нисходящий,38
13629,jack,разъем,12
9280,xiv.,сми,49
8125,maduro,зрелый,45
2424,herby.,герби,91
1116,sundial,солнечные часы,92
12804,olho,глаз,15
3379,diminuir,уменьшаться,49
8262,nickelodeon.,никелодеон,56
5814,confiança.,резина,72
13388,usuario,ник,14
4206,slides.,слайды,40
9798,guarda-florestal,ренгер,17
3908,potência de fogo,огневая мощь,84
10628,ensino,преподавание,29
11593,cristandade,христианство,12
13555,duplo,двойной,12
4855,gatsby.,гэтсби,78
2279,crioulo,креоль,91
3339,hostel,общежитие,82
8031,cutler.,катлер,58
4746,dx.,дх,79
13542,greve,наносить удар,12
3796,goblin.,гоблин,82
1141,figo,фиги,96
1459,regata,регата,93
8068,tribal,племена,57
12514,liverpool,ливерпуль,23
10608,gandhi.,ганди,39
9965,felizmente,к счастью,29
10351,farsa,розыгрыш,34
7525,disjuntor,прерыватель,49
10657,cego,слепой,32
5011,talentos.,таланты,32
14489,números,числа,7
752,letargia,летаргия,98
6576,emu.,эму,65
3107,quartzo,кварц,88
11752,bristol,бристоль,30
310,polímata,полимат,98
6225,boilermakers.,боевики,68
3538,desmontado,спешил,78
2445,rolagem,прокрутка,40
4270,neolítico,неолитич,82
1373,petidina,петидин,96
10195,kirby.,кирби,42
3209,mudo,немой,78
4554,prometeu,прометей,80
759,desodorante,дезодорант,95
9772,bullpen.,кпз,45
4642,azarado,несчастливый,79
7169,recuperado,восстановленный,26
12807,acoplado,сочетание,12
7820,lembrete,напоминание,16
9506,gravidade,сила тяжести,47
7238,bismarck.,биммарк,63
1316,mambo.,мамбо,96
5465,celsius,цельсия,74
13267,ontário,онтарио,16
9451,chandler.,чендлер,48
675,curiosamente,любопытно,93
4999,ruptura,разрыв,64
14227,retornar,возвращаться,9
6838,bongo,бонг,65
3571,vivian.,вивиан,85
13871,usar,использовать,5
5082,servo,слуга,56
14310,algo,что-нибудь,8
13086,mercado,рынок,12
1616,ampulheta,песочные часы,94
3810,barco a vapor,пароход,83
4734,subconjuntos,подвеска,58
876,germes,гроды,77
840,marjorie,марджори,98
9759,diálogo,диалог,43
13874,lá,там,5
3772,terra do coração,heartand,83
8251,horizonte,горизонт,56
3992,ginkgo,гинкго,83
8798,testemunho,свидетельство,48
5509,excêntrico,эксцентричный,49
10741,coletado,собранный,24
5928,bolonha,болонья,71
10981,concentração,концентрация,25
4336,alegoria,аллегория,80
12687,ferro,железо,19
6955,ladrao,вор,65
3867,calouros,первокурсники,84
7678,hatchback.,хэтчбек,55
9253,pista,впп,46
3707,oculos de sol,темные очки,84
8317,exxon.,экзон,56
2096,exclamação,восклицание,90
436,gunther.,гюнтер,100
7795,etilo,этил,60
12499,terrorismo,терроризм,18
3235,meningite,менингит,86
3822,bordado,вышитый,82
9211,respiratório,респираторность,50
6381,pu,пу,66
12092,inativado,инактивированный,26
13085,controvérsia,противоречие,8
3776,saindo,выезд,16
12112,kuwait,кувейт,27
13460,alk.,аллес,14
10327,kg,кг,41
11044,renderizado,оказано,18
3876,resistor.,резистор,81
10677,cervo,олень,38
5964,ks.,кс,71
1778,sheng.,шэн,93
12919,combinado,комбинированный,15
10890,einstein.,эйнштейн,37
13434,trouxeram,принес,14
2372,caixa de correio,почтовый ящик,88
872,pilatos,пилат,97
12589,armstrong,армстронг,23
9892,platina,платина,44
11200,caos,хаос,33
2178,incontroverso,неутера,89
10301,carnaval,карнавал,41
4146,papal,папский,82
71,referencial,референт,99
5763,deslocamento,смещение,40
11402,sem gols,оздоровительно,33
11102,ontem,вчера,36
5423,mercadoria,товар,61
13415,mateus,мэтью,14
11205,mangá,манга,35
14420,nomeado,названный,6
5539,haia,гаага,74
6080,tia,тетя,69
13213,massachusetts.,массачусетс,16
656,esporadicamente,спорадически,65
2984,cong.,коврик,88
7373,privada,приважно,62
7176,conveniente,удобный,43
3957,pianista,пианист,80
3785,midratário,мидшам,84
12094,that,que.,27
4429,espinho,терновый,77
11125,menor,меньший,36
9068,handebol,гандбол,49
1401,margarita,маргарита,95
8614,samurai,самурай,54
1709,tanino,танин,94
9214,lâmina,лезвие,42
4307,solitário,уединенный,81
5807,confirmado,встал,72
8540,texugo,барсучий,43
9663,feminismo,феминизм,46
3060,angular,угловой,88
1506,égide,aegis.,95
9374,turcos,турки,40
13697,stephen.,стивен,12
8971,solidão,одиночество,51
13539,bastante,довольно,12
14512,jornal,газета,15
13728,citação,цитирование,10
12323,mandril,патрон,25
5720,modos,моды,34
818,francamente,совершенно,98
11469,bilhete,проездной билет,26
10835,mb.,мб,38
11618,yorkshire.,йоркшир,31
14145,chamar,вызов,8
4267,storey.,этаж,71
5353,bataan,батаан,75
13713,mar,море,12
12227,aniversário,рождение,13
13180,columbia,колумбия,17
6737,mordecai,мордекай,66
4471,ola.,ола,80
3077,tipografia,типография,88
11830,intitulado.,под названием,8
10718,galhardete,вымпел,38
6490,pavão,павлин,66
8989,mais claro,яснее,51
7393,retratar,изображать,36
5338,espacial,пространственный,74
10231,martim,марция,41
9434,cachorro,щенок,45
6604,orvalho,росы,67
3337,westphalia.,вестфалия,87
3743,peixes,рыбы,85
8487,geleira,ледник,50
13998,serviço,услуга,7
12127,medo,страх,22
13891,fazer,делать,5
6652,giz,мелочи,65
10028,votação,избавление,36
13523,verão,лето,13
1214,lager,лагер,95
8089,lars.,ларс,45
8617,à paisana,муфтий,54
7391,rasgar,рвать,43
7017,norse,норвера,64
8427,vulcânico,вулканический,54
12253,noé,ной,26
5242,monólito,монолит,68
7137,assumir,перенимать,62
2800,líbio,ливийский,88
8985,elaborar,разрабатывать,43
8412,gravitação,гравитация,46
8988,artistas.,исполнители,10
11352,decimal,десятичная дробь,30
4479,sportsmanship,спортивное мастерство,80
12556,arroz,рис,23
12075,realidade,реальность,27
5249,maniper,уборщик,76
2443,atribui,назначать,13
7873,perpetradores,преступники,44
3281,benzoato.,бензоат,87
7042,certificação,сертификация,40
7331,roteador,маршрутизатор,61
3880,amal,амаль,84
11974,significativamente,существенно,28
12975,aposentado,на пенсии,14
99,logie,логика,96
4689,frey.,фей,79
7944,poeirento,пыльный,59
14334,américa,америка,5
13166,comboio,тренироваться,10
10859,colegial,соотечность,37
12893,difícil,трудный,20
2740,obediência,послушание,85
2107,fogo cruzado,crossfire.,92
2635,anomie,аномии,89
69,clérigos,клерики,68
8052,telégrafo,телеграфный,55
13843,todos,все,6
12432,º,готовность,24
13385,russo,русский,14
1169,subtipo,подтип,93
12344,o mais rápido,быстрое,25
6030,kant.,кант-кант,71
12404,ross.,росс,24
4217,totalitário,тоталитарный,67
9303,lenin.,ленин,47
11550,reprodução,воспроизведение,27
12378,honra,честь,19
10823,focado,сосредоточены,29
5997,stein.,студентка,70
11013,piquete.,пикет,37
10777,impressionante,классно,38
6093,mayfly.,майфлы,71
12065,spencer.,спенсер,27
11293,coliseu,колизей,34
5493,sloan.,слоана,74
7739,um tempo,какое-то время,60
10081,caverna,пещера,38
5050,revisionista,ревизионист,70
6925,fungo,фангус,65
14048,arquivos,файлы,6
152,túnica,туника,78
7512,bromo.,брома,62
11341,campeão,шамп,31
10257,palma,ладонь,38
7917,worcester.,вустер,59
2732,troposférico,тропосфер,76
11285,regime,режим,33
10648,óptico,оптически,34
7109,encantador,очаровательный,43
1981,herbicida,гербицид,89
6222,plutônio,плутоний,70
4725,kr.,кр,74
13278,pat.,патент,14
7510,pomba,головки,58
3825,flotilha,флотилия,83
11095,em outro continente,зарубежный,36
12063,escritor,писатель,19
8481,testamento,завещание,54
10919,beijo,целовать,34
2549,supervisionou,занимать,90
11221,fundador,основатель,31
5565,abertura,увертюра,70
14491,comprar,покупка,25
11406,falcão,ястреб,18
8171,bactérias,бактерии,57
13916,produtos,продукт,8
6367,sífilis,сифилис,69
2642,homeopatia,гомеопатия,89
4861,sudanês,суданцы,78
4623,flauto,флото,79
6963,afrodite.,афродита,65
12061,qualquer lugar,в любом месте,27
5716,neto,внук,71
9001,empréstimo,заем,41
10501,maravilhas,чудес,15
12959,valor,стоимость,16
905,cultivado,культивируется,64
2127,marianne.,марианна,92
10862,goleiro.,вратарь,29
7407,armazém,склад,57
6264,ótimo.,оптимальный,70
10303,folha,лист,22
6565,risonho,смайлик,67
9951,nike.,ногоск,44
13699,daniel,даниэль,12
6204,yan.,ян,70
5919,divindade,божество,61
12226,evolução,эволюция,26
10459,épico,эпический,39
6951,buick.,побуждать,64
12721,gás,газа,14
1609,disparidade,несоответствие,28
10970,misc,невысокий,37
3710,supra.,супра,85
9668,tornozelo,лодыжка,44
7324,surgir,возникать,47
5585,brezhnev.,брежнев,74
10366,lésbica,лесбиянка,39
6465,caracas.,каракас,68
8775,vagina,влагалище,52
5552,sistine.,систина,74
2346,contorno,контур,87
13820,qual,который,6
10719,visão,зрение,31
7513,beleza,бз,62
7877,lima,лайм,59
11249,dublin,дублин,35
10520,cinema,кинотеатр,38
14280,ditado,высказывание,8
8222,huno,пехотинец,51
11180,largura,ширина,35
10792,amado,возлюбленный,38
3928,istmo,перешеек,84
2450,retraído,утомительно,64
13932,ainda,все еще,7
10419,nota de rodapé,сноска,30
6067,ventoso,ветреный,71
2559,clorídrico,гидрохлор,90
6506,através do qual,согласно которому,68
265,sanidade,здравомыслие,100
10714,gail.,гейл,38
6037,concourse,заканчивать,70
8154,prateleira,стойка,42
8963,despeito,незриваться,50
11098,enzimologia,энзимология,36
9003,bravo,браво,51
12852,floresta,лес,19
13491,potencialmente,потенциально,12
11780,luxemburgo,люксембург,30
11857,dispositivo,устройство,24
14285,tipo,тип,7
3987,googol.,гуоголь,83
4655,revisitar,пересмотр,63
9502,colombiano,колумбийский,47
6227,fermento,дрожжи,70
2006,carpinteiros,плотники,46
11094,páscoa,пасха,36
1147,duro de matar,живучи,96
9115,mal entendido,недоразумение,43
5710,abduzido,похищенный,49
11636,comparar,сравнивать,11
12493,planejado,запланировано,11
1972,insatisfação,неудовлетворенность,92
4376,bitte.,битте,80
8334,hershey.,герши,56
14434,requer,требует,6
1095,bock.,заблокировать,96
10171,lugar algum,нигде,42
13270,social,социальное,15
7470,disposição,утилизация,45
8273,aborígene,абориген,45
5223,gabby.,габби,76
11738,gregoriano,григориан,30
