ID,PORTUGAIS,SPAIN,INTERVAL
10569,munique,munich,40
14354,mulheres,mujer,12
978,ensino médio,escuela secundaria,97
1989,dã,dah,93
2602,torto,torcido,63
8452,yarter.,endefermo,56
456,harmina,armero,100
11341,campeão,morder,32
2139,situação,situación,92
7457,rollback,retroceder,62
5658,fig,higo,71
12205,escolheu,escoger,28
1369,sem marcas,no notificado,96
2060,aspen,álamo temblón,92
5431,kilt.,falda escocesa,74
14151,sul,sur,9
2510,humbug,farsante,90
1832,cady.,cadino,94
922,labuta,ajetreo,88
12347,trilho,carril,25
8358,mia.,desaparecido en combate,56
5554,rotativo,giratorio,73
2058,canos,a medida,92
13807,são,son,5
12362,packers.,empacadores,26
3732,ultrapassado,adelantado,85
4953,levião,lev,78
345,aperte o cinto,cinturón en,100
1175,pons.,puente de varolio,85
11856,glen.,cañada,31
12655,eu estou,yo soy,24
3461,glace,glaseado,87
1528,bexiga,vejiga,95
8557,connição,conectar,55
14009,desempenho,actuación,11
5160,acometido,afligido,77
2208,titulação,valoración,90
9375,polvo,pulpo,49
14418,mostrou,presentado,8
6924,laticínios,lácteos,65
4034,currículo,plan de estudios,82
3836,antitruste.,antimonopolista,84
9568,videogames,arcada,47
13709,tom,tono,12
4031,biscoitos,galletas,25
12838,aproximação,acercarse,17
2472,lateralmente,oblicuo,90
14158,computadores,ordenadores,7
4634,resfriar,calmar,70
9185,deusa,diosa,49
9699,ondulação,curling,42
6114,símbolo,simbólico,64
7583,bunt,tizón,54
7965,wilt.,marchitar,58
3873,pedestre,peatonal,77
4780,reuben,reubijo,79
9754,oficina,taller,43
10718,galhardete,banderín,38
13211,yankees.,yanquis,15
8770,plugue,enchufar,48
2089,não envolvido,no involucrado,92
13031,fundação,fundación,19
7306,cafetão,chulo,61
5787,keystone,piedra clave,72
4142,mais escura,más oscuro,82
5184,fabiforme,fabuloso,77
12193,sem considerar,independientemente,29
8544,weller.,pozo,55
10598,camarões,camerún,40
5351,iliad.,ilíado,76
5144,hatcher.,criadero,76
10992,vestiu,vistió,38
4292,facada,puñalada,60
13897,feito,hecho,5
9891,feriados,días festivos,29
13842,ano,año,7
8648,confiável,confiado,26
11767,ferir,dañar,13
7525,disjuntor,interruptor automático,50
13668,entrou,ingresó,11
5791,com fio,por cable,32
11996,foca,sello,22
6841,fisk,fisco,66
8546,saudável,saludable,55
12921,quebrado,roto,22
3815,navios de guerra.,buques de guerra,65
1116,sundial,reloj de sol,92
11790,inter.,enterrar,32
12829,bacon,tocino,23
13487,igreja,iglesia,14
11145,sereia,sirena,37
10620,bailey,muralla exterior,39
10978,doce,dulce,37
13252,chuva,lluvia,15
881,poeira estelar,stardust,97
5634,reminiscente,recordativo,66
6220,mitt.,guante,69
2092,sobremesa,postre,91
12262,raiders.,asaltantes,27
10181,fome,hambre,43
3279,lá no,en esto,87
10505,lasca,chip,31
12560,onda,racha,24
12726,pronto,listo,22
3719,decíduo,caduco,85
3054,keynote.,fundamental,88
10949,agitação,agitación,38
3275,cavendish,cavendato,87
1353,tricô,tejido de punto,81
12610,del.,delegado,25
11398,tremoço,lupino,35
12375,principalmente,ante todo,27
12813,ac.,c.a,23
11470,itálico,cursiva,31
1060,colheres,cucharas,51
11436,reed.,junco,34
9599,estrondo,auge,45
9015,patim,patinar,22
1694,slatp.,slappy,94
13599,retornou,devuelto,10
1616,ampulheta,reloj de arena,94
12680,vigarista,estafa,19
5068,puxar para baixo,derribar,78
7240,mayflower.,muguete,63
2830,tentações.,tentaciones,64
13868,pessoas,gente,7
779,incólume,indemne,98
13970,fez,hizo,5
6129,rangido,chirrido,68
7786,motim,motín,57
29,melancólico,melancolía,100
8170,injeção,inyección,30
12927,recebendo,recepción,7
12257,suspeito,sospechar,18
4161,myall.,mi todo,82
373,micose,tiña,100
5710,abduzido,secuestrado,50
14141,devido,pendiente,7
14403,breve,pronto,10
554,enevoado,neblinoso,99
8507,ameaçadas de extinção,en peligro de extinción,52
4401,x-burger,hamburguesa con queso,80
3767,cruising.,crucero,36
3950,bolster,reforzar,65
6391,namorado,novio,68
3791,abalado,agitado,84
11068,ovo,huevo,34
12761,cabelo longo,pelo largo,23
7391,rasgar,rotura,44
5795,woo.,cortejar,70
5915,downfield,campo de campo,72
4446,re-adicionar,re añadir,80
13290,anthony.,antonio,18
2794,churrasco,parilla,88
11413,rolando,laminación,19
12760,brad.,puntilla,23
10757,medidor,indicador,38
784,claymore.,casa antigua,97
2603,disparar,menospreciar,71
14360,janeiro,enero,6
5340,panfleto,folleto,64
12962,localização,ubicación,10
10918,resemate.,secuelas,38
13148,ausência de,desaparecido,12
1426,bóia,boya,83
1313,xamã,chamán,82
12996,sem utilidade,inútil,21
1689,falta de vontade,renuencia,94
13608,alevado,hand,13
8182,paz,mantenimiento de la paz,48
12583,opor,fosa,19
13565,preencher,llenar,12
10913,rã,rana,34
7646,odio,sobredosis,60
6139,liso,resbaloso,64
12611,tóquio,tokio,25
3785,midratário,australineros,84
12576,sentido,sintió,25
6186,campeche,campista,71
10088,armadilha de fogo,trampa de fuego,44
4475,scarface.,caracortada,80
2117,catalisador,catalítico,91
11299,culpado,culpable,36
14414,não pode,no puedo,12
8037,sagacidade,ingenio,25
9165,espigão,pico,46
8842,reak,rabón,53
11931,idades,siglos,13
13139,manhã,mañana,18
8425,celeiro,granero,54
4917,subida,ascenso,78
14328,liderado,condujo,11
2017,doodle,garabatear,90
4819,pistão,pistón,36
9359,converte.,conversos,18
6250,afogamento,ahogo,49
3711,sansão,sansón,85
2861,bastões,caña,56
10150,skate,patineta,31
10888,atingiu o pico,puntiagudo,16
14344,existir,existente,8
4447,rastejar,arrastrarse,68
6554,butão,bután,68
6502,a sobrecarga,gastos generales,68
12777,partir,subida,23
8971,solidão,soledad,52
14332,alcançado,alcanzó,10
4382,parente,familiares,80
11109,natação,natación,33
191,ostentação,ostentación,100
3364,gritante,deslumbrador,77
7266,roanoke.,rojizo,63
13943,desligado,apagado,9
13040,senior,mayor,19
8577,invisível,invisible,52
3249,flapper,joven a la moda,87
12040,sugestão,sugerencia,10
3102,psiquiatra,encogerse,71
7934,shearer.,esquilador,56
9930,balsa,transportar,38
8003,bal.,cal,59
9407,spl.,esplino,49
6461,não condutor,no constructivo,69
4940,taxman,taxista,78
100,jubarte,jorobado,100
3217,connaught.,connagua,88
8819,escavação,cavar,45
13449,a sério,seriamente,15
4193,strikeout.,tachar,40
10275,otto.,otón,42
5961,stiver,estresante,72
9048,mais novo,el más joven,52
4916,improvável,improbable,76
2347,parceiros,palos,55
3508,zurique.,zurich,86
52,batimento cardiaco,latido del corazón,99
3097,desaprovação,desaprobación,74
7509,feitiçaria,brujería,62
13432,chapa de ebulição,cálculo,16
1252,skit.,sketch satírico,86
3837,cagrão,cag,84
1653,impiedosamente,sin piedad,94
3838,shocker.,sorpresa desagradable,82
13683,talvez,quizás,13
7383,steak,filete,61
9276,splash.,chapoteo,50
7461,férias,vacaciones,47
9017,unha,clavo,31
12688,soletrado,espelta,13
14377,rua,calle,11
13959,fim,fin,8
12696,padronizar,patrón,22
11523,tunísia,túnez,34
12687,ferro,planchar,21
14000,do utilizador,usuario,5
14073,possível,posible,8
11127,somerset.,voltereta,37
11240,mills.,fábrica,27
13762,noite,noche,12
10387,aviadores,pilotos,41
7920,viewer.,espectador,36
12879,iraquiano,iraquí,21
8159,reedy.,lleno de cañas,58
13525,visível,visible,14
9601,interseção,intersección,42
12107,controlada,revisado,12
2791,jogável,interpretable,89
11474,beber,bebida,27
6652,giz,tiza,65
13960,relatório,informe,5
4174,estilhaços,metralla,82
2457,buscar,ha podido recuperar,75
1212,poxa,dios mio,96
13824,mais,más,5
7419,conquistas,logros,32
5904,levitação,levitación,71
10721,cadeira,silla,35
12912,corporação,corporación,17
9983,refém,rehén,36
5314,dickey.,pechera,76
8307,guarda-chuva,paraguas,55
14279,linhas,líneas,9
11263,boné,gorra,25
9808,dívida,deuda,42
1462,tremendo,tremendamente,53
1679,uphill.,cuesta arriba,94
5663,terminus,término,74
12024,blah.,paja,30
13299,conheceu,reunió,14
10577,cenas,imágenes,40
8526,no exterior,en el extranjero,55
2096,exclamação,exclamación,90
11427,irmã,hermana,30
1916,manifolds.,colectores,65
9396,cerca,valla,39
5155,inclinação,inclinación,62
246,aconselhamento,asesoramiento,59
4689,frey.,freído,79
11818,além do mais,además,29
1742,não editado,no modificado,93
5641,concebido,ideado,65
11503,tibete.,tíbet,34
11736,perada,sidra de pera,32
3555,muscat.,moscatel,86
13446,região,región,12
457,qtr.,pedacito,100
9777,submetido,sufrir,46
4483,juba,melena,76
6232,hon,estupendo,70
11254,pára-quedas,paracaídas,34
10529,bar,pub,39
14267,prédio,edificio,11
1170,blazing,flameante,50
3870,incômodo.,molestia,84
3197,assistência médica,cuidado de la salud,88
8759,atacante,huelguista,41
10424,ameaçador,amenazante,25
12701,alegre,contento,24
10319,linn.,linda,42
283,fechar-se,de cerca,98
11286,tratar,tender,29
12616,moeda,divisa,24
421,storyboard,guión gráfico,100
11762,capuz,capucha,30
1452,cariageway.,calzada,95
3032,flautim,piccolo,88
7144,int,en t,64
10333,dar.,darse,42
6689,disfarce,ocultar,46
5771,miçangas,rosario,63
1828,cunhagem,moneda,94
4316,desajeitado,torpe,80
7597,pá,pala,55
7012,preenchimento,relleno,42
2501,overdrive,sobremarcha,90
8605,fração,fracción,45
12938,fechado,cerrado,11
1760,ravina,barranco,91
9875,pintainho,polluelo,40
1894,traseiro,posterior,78
5738,pereceu,perecido,63
6957,furtividade,sigilo,65
12133,quinta-feira,jueves,29
330,dawe.,dava,85
7440,dispendioso,costoso,62
4346,socorro,may day,81
13857,depois,después,6
8055,relha,cuchilla,58
9193,vantagens,ventajas,20
5358,perseguidor,acosador,71
7020,amã,amman,64
2317,infrequentemente,con poca frecuencia,76
725,têxteis.,textiles,62
2225,brâmane,brahmán,78
6459,ferrugem,oxido,64
6677,fillmore.,rellenar,67
9120,alfinete,alfiler,40
11411,mais devagar,más lento,35
2303,deflexão,desviación,60
10664,clã,clan,37
3707,oculos de sol,gafas de sol,84
6827,puxão,tirón,51
5122,fey.,vidente,77
9730,protuberância,bulto,46
6862,airplay,salida en antena,66
733,flanker.,flanqueo,96
10672,mantendo,mantenimiento,15
13498,lutador,combatiente,13
667,audível,audible,94
6355,pivotal,esencial,60
6267,camponês,campesino,53
11959,tatu,armadillo,30
5175,lacey.,lácteo,77
14325,comunicações,comunicación,9
516,guernsey.,guerna,99
3182,borrão,difuminar,75
12335,ás,as,24
9640,tamisa.,thames,47
1946,riddled.,acertado,71
2243,quoth,dicho de una cosa,91
8696,fofoca,chisme,53
1890,caduca,transcurrido,71
5237,aircrew.,tripulación aérea,52
2709,flared,atormentado,56
541,sinhalês,cingalés,99
117,fluke.,casualidad,98
5528,feijões,frijoles,35
9097,iodeto,yoduro,51
3464,desgraças,males,83
7302,golpear,barra oblicua,48
1915,donuts.,donas,86
10489,teto,techo,38
2688,padaria,panadería,83
13065,ao longo do tempo,tiempo extraordinario,19
8707,variação,variación,40
13837,você,tú,5
10615,estado,inmuebles,37
13464,henry.,enrique,15
7099,traição,traición,62
13460,alk.,alquín,15
3606,clem,ayunarse,85
5074,fornecedor,proveedor,61
0,intita,intento,7
9014,aceso,iluminado,50
14108,investimento,inversión,30
9687,barker,pregonero,47
9772,bullpen.,toril,46
9996,firmemente,continuamente,45
10622,burton,aparejo,40
7895,impulso,empuje,54
5327,sofrimento,angustia,63
7790,boneca,muñeca,42
13394,revolução,revolución,16
14300,operação,operación,7
5845,mv.,mechón,73
13291,nação,nación,8
13324,discordo,discrepar,16
7343,cheerleading,animadoras,58
9990,quantum.,cuántico,45
11669,va.,virginia,32
5271,underdogs.,perdedores,56
5696,groundout,martura,74
2619,takers.,tomadores,62
589,skeet.,tiro al plato,96
6529,contenda,sostenido,36
578,tesão,metedura de pata,96
127,sortimento,surtido,82
14130,fornece,brindar,6
8443,névoa,niebla,55
3298,yay,hurra,87
7664,elogiado,alabado,40
2819,irregularidade,marcha mala,88
9068,handebol,balonmano,50
3695,dormente,latente,85
8987,erro de digitação,error de tipografía,33
3466,emissor,editor,85
3288,salvamento,salvar,64
8480,implicações,trascendencia,41
9104,explosões.,explosión,29
9901,gravidez,el embarazo,45
3655,execuções,rerunes,77
13840,eu,i,5
5322,loiras,rubio,62
2905,bizantium.,bizancio,88
8400,starcraft.,barco de estrellas,56
2463,bashing.,paliza,52
6476,nitidamente,bruscamente,69
14413,funciona,obras,6
6127,revisão,revisión,60
5392,cheira,olores,51
3831,estrume,estiércol,84
3212,papel de parede,fondo de pantalla,84
6257,bagagem,equipaje,70
3183,russo.,ardid,88
6998,pirulito,chupete,63
8776,mamãe,momia,53
7411,letão,letón,61
13058,vem,llega,8
8362,listras,rayas,44
7493,chuveiro,ducha,47
12949,adequado,apropiado,14
9146,data limite,fecha límite,50
4730,implorou,suplicado,57
10370,propaganda,anuncio publicitario,7
13672,inteira,entero,13
8701,ripper,destripador,54
6477,patê,coronilla,68
8944,muito pesado,agobiante,38
8274,morto-vivo,no muerto,57
7485,deeper,más adentro,62
7867,remunerações,salarios,31
14411,empregos,trabajos,18
7936,cascalho,grava,59
5416,cassie,cazadora,75
8976,gatinha,gatito,50
6084,cerquilha,picadillo,64
7837,mexe,agitar,49
13440,qualquer que seja,lo que,15
3291,censurável,objetable,87
11287,fita,cinta,29
8348,insubstanciado,sin fundamento,56
7675,franziu a testa,frunció el ceño,55
4378,saxões.,sajones,53
13518,inferior,fondo,15
4609,clad,revestido,77
7058,ienes,yen,64
13999,linha,línea,9
2757,salmão defumado,salmón ahumado,89
11110,cópia de segurança,respaldo,36
11218,ao lado de.,junto a,36
4735,pano,trapo,65
13938,ações,comparte,7
6473,redneck,campesino blanco,66
10785,senso comum,sentido común,39
12324,columbus,colón,27
8122,acessado,accedido,9
7621,sumô.,sumo,61
8246,funky,miedoso,57
3770,homem pássaro,birdman,84
14024,trimestre,cuarto,10
6157,carnificina,carnicería,71
2270,horrível,horrendo,91
460,viciante,adictivo,25
