ID,PORTUGAIS,CHINESE,INTERVAL
11025,cauda,尾巴,29
13164,função,角色,16
12783,estúdio,工作室,17
11197,táticas,策略,18
3081,subtrair,减去,62
2792,turbocompressor,涡轮增压器,89
756,pandemia,大流行病,97
7427,ruína,废墟,36
10975,porcaria,废话,37
7873,perpetradores,肇事者,45
6324,helênico,希腊人,39
5241,dissipação,耗散,17
5595,asilo,庇护,73
4636,mallard.,凫,79
11403,especialista,专家,24
3439,frívolo,轻浮,83
7068,baixista,贝加斯特,64
2382,rangoon.,仰光,91
2045,rotunda,迂回,92
6323,rebarba,毛刺,70
4293,zoologia,动物学,77
13385,russo,俄语,14
686,signatários,签名者,88
6704,dingo.,丁戈,68
12136,bangladesh,孟加拉国,27
669,inchar,胀,68
5099,em desvantagem,寡不对待,73
9167,pradaria,草原,49
7039,homólogos,对应物,50
7365,pompeii.,庞贝,63
12991,dallas.,达拉斯,19
346,haji.,哈吉,100
8743,macio,投标,48
2355,woohoo.,哇哇哇哇哇哇哇,91
10752,maillot.,ma,38
11349,convidado,客人,29
9091,regoziado,重新加入,42
13658,parecer,似乎,8
4139,northwards.,向北,33
10699,absoluto,绝对,23
10953,cobertura,覆盖,8
8337,suburbano,郊区的,56
4484,gracias,格拉西亚斯,81
13229,filho,儿子,15
1906,brincadeiras,恶作剧,61
10248,hostil,敌对.,31
4129,donny.,唐尼,83
5571,stadia.,体育场所,75
617,congelhar,冻,99
13065,ao longo do tempo,随着时间的推移,18
6044,snape,斯内普,72
3852,ramificado,分支,25
11705,isaac.,艾萨克,31
4707,cumulativo,累积,76
2247,valência,价,92
14339,considerado,经过考虑的,5
14219,leste,东方,9
12340,maomé,穆罕默德,25
2327,mineiro,矿工,37
4066,poligamia,聚酰胺,83
536,abstinência,节制,98
4244,ambiente de trabalho,工作场所,82
4618,weymouth,韦茅斯,80
2614,jardim da infância,幼儿园,89
10278,ratazana,鼠,38
13238,stanley.,斯坦利,16
4174,estilhaços,弹片,83
13574,olímpico,奥林匹克,10
4849,diáspora.,侨民,79
4258,antes.,前面,82
6616,shrewsbury,什鲁斯伯里,68
2442,astuto,狡猾的,91
656,esporadicamente,偶尔,66
13354,ancestral,古老的,15
8215,anta,貘,58
12262,raiders.,攻略,25
14406,na direção,走向,12
2230,entomologia,昆虫学,92
13105,exato,准确的,15
8799,calculado,计算,28
2543,achatado,扁平化,86
4479,sportsmanship,体育精神,81
1674,expiação,赎罪,82
8648,confiável,信任,24
2542,waller.,沃勒,91
3380,conscientemente,故意,87
8448,enigmático,隐秘,56
13202,vietnã,越南,16
7943,língua,舌头,56
779,incólume,毫无伤害,98
3990,confiscado,没收,72
607,roteirista,编剧,99
10178,mick.,米克,43
4901,supercomputador,超级计算机,77
11195,saturno,土星,36
9284,mal sucedido,不成功,44
6442,alquimia,炼金术,69
9116,oops.,哎呀,51
13913,ambos,两个都,8
6662,smyth.,斯明,68
2501,overdrive,过载,91
5784,marés,潮汐,33
7103,extinto,灭绝,43
7095,galloway.,加洛韦,65
6293,scarborough.,斯卡伯勒,70
2244,tarso,睑板,92
10218,pertencente,有关的,38
2550,cânhamo,麻,91
14039,no entanto,然而,6
3727,ainda água,死水,85
7439,truta,鳟鱼,62
1334,albino,白果,95
465,detratores,批评者,97
12902,esqueço,忘记,19
6795,modular,模块化的,64
7048,tronco,树干,57
6395,goody.,善意,63
9051,eutanásia,安乐死,52
8674,monge,僧,39
11251,anão,矮人,33
7109,encantador,迷人,44
7302,golpear,削减,47
10951,joelho,膝盖,35
4739,incompetente,无能为力,65
12797,piloto,飞行员,16
9302,desfigurar,und,50
474,prevalência,普遍存在,65
6211,folga,反弹,71
9793,fagulha,火花,31
9820,citações.,报价,32
5944,cadáver,尸体,61
5046,hiper.,超,78
11769,seg.,秒,30
11096,memphis.,孟菲斯,37
2740,obediência,服从,86
1288,circunferência,圆周,96
10017,johannes.,约翰内斯,44
13588,johnson.,约翰逊,12
8782,clínico,临床,44
311,sari,纱丽,97
13627,apropriado,恰当的,12
14309,pessoal,个人的,5
11510,ernest.,欧内斯特,33
12643,convidamos,邀请,6
12833,aço,钢,19
12329,alaska.,阿拉斯加州,25
13461,mais curta,较短,14
4756,haute.,高级,73
2692,ad-renal,肾上腺,90
4285,cynthia,辛西娅,82
6601,tunes.,曲调,38
3526,marshmallow.,棉花糖,86
5365,algas,藻类,76
2066,sodomia,鸡奸,92
14063,departamento,部门,8
14181,terceiro,第三,8
11777,licenciamento,许可,10
4492,errático,不稳定的,69
554,enevoado,有雾,99
6998,pirulito,棒糖,64
952,squall.,squ,90
9126,dinamite,炸药,51
4227,clamshells.,蛤壳,82
14357,fácil,简单的,11
10994,derby,德比,37
2554,estetoscópio,听诊器,91
1669,sardenha,撒丁岛,94
1960,lilith.,莱特,93
2401,infrações,违规行为,78
5959,glamour,华丽,72
5256,imperatriz,皇后,76
4779,antimatéria,反物质反物质,79
13731,espaço,空间,11
6192,apagando,擦除,30
3872,epônimo,同名,84
7589,jogar fora,倾倒,43
12801,profundo,深的,21
5634,reminiscente,让人想起,67
10629,e aí,sup,39
11591,veteranos,退伍军人,23
13198,aceitável,可接受的,6
13307,escrevi,写道,15
14495,francês,法语,11
2459,cigarros,香烟,50
4853,próstata,前列腺,77
9430,excitante,令人兴奋的,34
8686,ceifador,收割机,53
10033,gorila,大猩猩,44
4207,compensar,补偿,42
3588,gradiente,坡度,79
13076,sociedade,社会,17
2321,embriaguez,酒醉,73
10088,armadilha de fogo,火焰陷阱,44
3625,salvia.,萨尔维亚,86
10512,trancado,锁定,27
5016,anticristo,敌基督者,77
13971,avaliar,速度,7
5131,folic.,叶,77
3106,kiel.,基尔,88
10747,advogado,律师,37
11899,metros,米,25
6185,astrodome,星形多数,71
4799,quadrático,二次,79
3893,eucariote.,真核生物,84
1614,motel,汽车旅馆,88
13253,preocupações,担心,9
11180,largura,宽度,35
10760,sumo,果汁,38
5536,rachado,破解,34
12189,parker.,帕克,27
7868,botsuana.,博茨瓦纳,60
7163,alquimista,炼金术师,63
4996,dewitt.,德威特,78
409,laço,圈套,83
1222,toastmaster.,托斯曼斯斯特,94
1247,waterman.,沃特曼,96
5267,coreografia,编舞,76
9222,strauss.,施特劳斯,50
8923,pipoca,爆米花,52
9548,meu.,梅,48
11638,murphy.,墨菲,31
10616,silva.,席尔瓦,39
11727,nunquam.,尼纽姆,31
10698,reavaliado,重新评估,38
11498,jornais,报纸,15
6474,tremores secundários,余震,56
12977,observatório,天文台,19
4133,falsificação,伪造,73
13123,competir,竞争,12
13476,direto,直的,14
8516,intensificação,集约化,56
6572,antecipadamente,预先,69
12245,princesa,公主,26
12411,riacho,溪,25
3006,papoula,罂粟,87
726,clanco,铮铮,98
4042,calmamente,平静地,83
4444,aluguel,租赁,75
7094,pulga,跳蚤,64
9651,execução,执行,18
3780,deteriorado,恶化,62
11493,vênus,金星,18
8140,albuquerque.,阿尔伯克基,58
1439,curar,愈合,58
8951,husky.,沙哑,32
3440,grandmaster.,棋圣,87
6244,nae.,安,71
2198,arrecadação,筹款,91
10350,designer.,设计师,9
803,bola curva,曲线球,98
10705,febre,发热,39
4125,ápice,顶尖,82
8558,sem significado,无意义的,55
11994,expandido,扩展,16
8128,indisponível,不可用,57
7584,airbus.,空中客车,62
13098,edward,爱德华,14
14292,casos,案例,6
2159,hífen,hy,63
11934,jamaica,牙买加,29
2273,whistler.,惠斯勒,91
4852,desempregados,失业者,51
11153,reconhecimento,认出,36
9892,platina,铂,45
4940,taxman,税务员,78
6675,bosch.,博世,68
2921,babu.,巴布,89
8619,cozinha,厨房,41
5320,topper,顶点,64
5918,sem título,无标题,73
12184,sem licença,未经许可,27
9512,ulisses,尤利西斯,48
11745,algodão,棉,30
6664,gastrointestinal,胃肠道,68
13507,vestígio,痕迹,12
6854,varíola,天花,67
1597,machucado,瘀伤,72
4813,realocar,搬迁,33
10789,ferramentas,工具,19
6785,acetil,乙酰基,65
12318,walter.,沃尔特,25
5062,vesúvio,vesuvius.,78
10270,tonelada,吨,30
2446,remus.,雷厄斯,91
5133,zulu,祖鲁,76
8589,doser.,加德,55
5053,basque.,巴斯克,75
7838,hábito,习惯,46
9132,erosão,侵蚀,51
6072,conquistado,征服,44
8670,não é,isnt.,54
141,reis.,雷斯,80
2835,membros,四肢,72
13125,obra de arte,艺术品,17
448,bote salva vidas,救生艇,96
5269,cassandra,卡桑德拉,76
10521,pobreza,贫困,40
11238,prender prisão,逮捕,17
6486,addison.,艾迪生,69
6097,mau.,岳,72
13584,tamanho,尺寸,12
4867,defensor,防守者,79
8285,seminoles.,塞米索,48
3632,desproporcional,不成比例,79
6541,nazaré,拿撒勒,69
12818,nordeste,东北,21
13882,programa,程序,11
12505,robin,罗宾,23
13132,tudo,一切,17
455,harmalina,哈米哈丁,100
11629,saskatchewan,萨斯喀彻温省,32
2713,berwick.,伯威克,89
7518,crossover,交叉,59
8995,saga,萨迦,52
5176,spalding,斯宾语,77
2493,albatroz,信天翁,91
7705,colonos,定居者,57
6440,babble,潺潺,68
10042,lidar,应付,43
932,satchel.,书包,97
3561,penélope,佩内洛普,86
11780,luxemburgo,卢森堡,30
13545,declaração,陈述,10
6135,coquetel,鸡尾酒,65
9555,receptor,受体,41
4153,gunners.,枪手,65
12419,tommy.,汤米,25
3457,osprey.,鱼鹰,79
992,lustro,光泽,87
5757,aparafusar,拧紧,38
7395,surf,冲浪,46
11869,padeiro,贝克,29
13367,6º,6,15
12702,reescrever,改写,17
12209,honda.,本田,26
9377,cedro,雪松,46
2057,pináculo,尖塔,88
2157,lúmen,流明,91
13717,congresso,国会,12
2276,coxa,大腿,88
13796,em,在,5
7507,covardemente,胆小,62
5830,culatra,臀位,58
12258,macho,男性,25
6018,encarnação,化身,48
879,feixes,梁梁,54
11556,sal,盐,31
6540,secretamente,偷偷,69
13656,atlântico,大西洋,12
5868,êxtase,狂喜,73
4427,recontagem,叙事,62
5209,evanescence.,浮动,77
12165,madri,马德里,27
4035,revendedores,零售商,39
5117,woodland.,林地,64
4677,canuck,can,80
12225,subseqüentemente,随后,18
8371,thatcher.,撒切尔,57
1480,bipartidário,bipartisan.,95
8963,despeito,鄙,51
13752,rádio,收音机,11
4935,miserável,悲惨的,67
8645,abrigo,庇护所,44
14059,unidade,单元,6
3603,sopranos,女高音,65
11294,genético,遗传学,26
9702,sapato,鞋,34
5890,hickory,山核桃,73
13692,correndo,跑步,7
1136,centopéia,蜈,96
10821,norma,规范,37
6405,cromwell.,克伦威尔,70
10316,cache,缓存,38
4084,fastball,最快弹球,82
9885,vocais,爱人,35
14295,seguindo,下列的,5
2584,abraço,拥抱,62
1301,westbound,西行,96
1265,anos noventa,九十年代,52
4594,prolífico,prol,80
10031,incorretamente,不正确,44
9073,renomear,改名,21
10407,hardcore.,hard,41
5735,viral.,病毒性的,74
5813,gâmbia,冈比亚,73
3463,ovação,ovation.,84
13760,prix.,pr,11
4284,stiller.,静物,82
6467,argent,arg,69
13277,cruz,叉,11
11729,entregue,发表,24
1857,vestuário,服饰,94
4400,porto livre,自由港,82
12972,inimigo,敌人,17
2122,lanceta,兰蔻,92
12134,vítimas.,受害者,22
3416,lambreta,小型摩托车,83
725,têxteis.,纺织品,63
13192,wilson.,威尔逊,17
10174,salva-vidas,救生员,42
1425,sintetizador,合成器,42
6238,recreação,休闲,31
5018,habitat,栖息地,77
5955,feely.,费,73
12641,clarear,减轻,22
13607,navegador,浏览器,12
11980,atenas,雅典,28
14283,potencial,潜在的,11
13436,referenciado,参考,13
5411,lauderdale.,劳代理,76
12531,malo.,马洛奥,23
9303,lenin.,列宁,48
14078,político,政治的,10
10640,pré-temporada,季前赛,39
8376,confiante,自信的,33
14186,levado,拍摄,8
7279,prev.,上一个,63
9252,métrica,公制,48
7741,auditório,礼堂,61
9076,bizarro,奇异,51
6150,trenó,雪橇,70
4782,repolho,卷心菜,79
13881,usado,用过的,5
13411,ponte,桥,13
10449,georgiano,格鲁吉亚,38
9429,maionese,梅奥,49
6212,microrganismo,微生物,69
5482,incêndio culposo,纵火,74
1843,maratha,马拉莎,94
4043,simplicidade,简单,82
5525,recuando,撤退,33
9178,navegou,航行,30
3720,submachine.,冲锋,85
6857,alzheimer.,阿尔茨海默,66
4256,horst.,霍尔斯特,82
2833,tapeçaria,挂毯,88
9811,contos,tal,30
6956,sandman,桑德曼,66
1072,tesouros,宝藏,47
10213,poderoso,强大,42
1163,fireboy.,萤火胶,97
10096,telescópio,望远镜,40
2404,subcontinente,次大陆,91
13249,speedway.,赛道,16
2942,dandelion,蒲公英,87
6062,repetição,重复,53
480,monomer.,单体,97
1544,formaldeído,甲醛,95
13639,infelizmente,很遗憾,12
3502,kala.,卡拉,86
4081,lingueta,棘爪,83
6645,supervisão,overs,67
4453,spaniel.,西班牙猎犬,81
6052,punitivo,对称,72
9195,embarcações,船只,39
8827,peugeot.,标致,53
12548,matando,杀戮,10
6895,luvas,手套,44
11546,trovão,雷,31
9125,de madeira,木制的,51
13719,aka.,阿卡,12
4886,semitismo,讽刺,50
11230,orçamento,预算,34
1824,ressaca,宿醉,92
12519,hadal.,哈塔尔,24
3528,abacate,鳄梨,84
11290,jacksonville.,杰克逊维尔,35
13611,grilo,蟋蟀,12
1911,wallops.,墙壁,84
6168,macro,宏,70
8095,lebre,野兔,56
13844,dois,二,7
5417,bambu,竹子,75
5708,sitcom.,情景人,68
7862,antipatia,dis,52
10593,radical,激进的,34
10150,skate,滑板运动,30
6465,caracas.,加拉加斯,69
9359,converte.,转换,17
11799,intermediário,中间的,30
5885,suspender,暂停,22
5309,sprinter.,短跑运动员,60
10102,romântico,浪漫的,42
4297,sânscrito,梵文,82
2876,hoya.,霍亚,89
5963,ajustar,调整,38
8396,prestigiado,声望很高的,56
11041,norseman.,诺斯曼,37
9019,jenna.,詹娜,52
3111,chave catraca,棘轮,88
6036,jóia,宝石,60
12973,irã,伊朗,19
11916,ocupado,占据,25
8941,gabão,加蓬,52
11973,nancy,南希,28
13496,capitão,队长,13
4732,sensibilidade,灵敏度,39
8230,yukon.,育空,58
9883,fortaleza,堡垒,42
6568,refazer,重拍,64
6772,hertfordshire,赫特福德郡,67
13551,significou,意思,13
12499,terrorismo,恐怖主义,18
4204,ostensivamente,表面上,78
11853,vikings.,维京人,23
5469,redimensionado,调整大小,67
7769,juramento,誓言,57
9014,aceso,点亮,50
13334,ho.,何,15
11700,mickey.,米奇,31
1448,ting.,婷,85
2745,cambriano,寒武纪,89
7069,descontinuada,弃用,62
2090,frankfort,法兰克福,92
9610,interpretado,解释,18
11800,relâmpago,闪电,30
13675,luz,光,11
5999,grunhido,咕噜咕噜,70
8891,speller.,拼写器,53
9266,martinez.,马丁内斯,50
2907,scrabble,拼字缩写,89
7549,meio do verão,盛夏,62
7981,ter sucesso,成功,33
7455,estéreo,立体声,62
8048,deco,迪科,59
7552,membrana,膜,61
11989,katrina,卡特里娜州,28
4195,subduction.,俯冲,78
9283,superar,克服,46
5761,sensor,传感器,61
11968,disney,迪士尼,28
11793,notificar,通知,26
7675,franziu a testa,皱眉头,56
5796,donas de casa,家庭主妇,73
11520,darwin.,达尔文,31
4862,legal,法定,79
4616,latembro,拉特,79
3668,ceticismo,怀疑论,56
9861,húmus,腐殖质,45
13479,virar,转动,9
3772,terra do coração,心兰,84
5456,dobson.,多姆森,75
6443,meio dia,正午,69
12865,afirmar,断言,15
7810,rubicon.,鲁西蒙,61
10235,quilômetros,公里,39
9300,esterlina,英镑,50
3847,touchback,刷卡,85
7080,centrado,以中为中心,65
12306,palestina,巴勒斯坦,26
11071,explosivo,爆炸性,18
6758,sem dúvida,无疑,67
4797,nucleótido,核苷酸,72
3362,hastes.,茎,38
6924,laticínios,乳制品,66
8988,artistas.,表演者,10
7852,berço,摇篮,59
14024,trimestre,四分之一,9
5187,kremlin,克里姆林宫,77
6375,desorganizado,混乱的,69
6928,kaiser.,凯泽斯,66
10198,bo.,博,38
6132,maggie,劣质煤,71
603,protozoários,原生动物,99
454,arlequim,丑角,91
8276,pique,派克,51
4300,canoa,独木舟,72
3251,pico.,微微,88
3915,sérum,血清,84
11352,decimal,十进制,31
5311,hovercraft.,气垫船,76
7108,incompreendido,误解了,65
9539,náutico,航海,48
5487,metamórfico,变质,74
12237,geografia,地理,26
7916,eddy,涡流,59
12506,reitor,院长,24
5920,rever,修订,15
1701,blanca,布兰卡,94
8692,molly.,莫莉,54
1284,mala.,马拉,96
8167,participantes,进入者,51
6869,orgasmo,高潮,65
3035,jacoby.,雅各布,88
12445,dinastia,王朝,24
4075,burrito,卷饼,82
8907,trenton.,特伦顿,53
355,renascido,reb,100
920,aquarela,水彩,97
3717,napalm.,纳巴马,85
9891,feriados,假期,27
1755,surreal.,超现实主义者,65
6254,empregada,女佣,68
2130,entrelaçado,隔行扫描,79
4489,huckleberry.,哈克贝利,81
7877,lima,酸橙,60
6042,motocross,摩托车越野赛,72
3255,zircônio,锆,88
12844,maryland,马里兰州,20
10144,wagner.,瓦格纳,43
12534,considerada,被认为是,6
11155,aventuras,冒险,26
14098,esquerda,左边,8
1307,polônio,钋,96
2364,quadruplicar,四倍,86
10909,rochester.,罗切斯特,38
8575,ditadura,专政,51
11426,trojan.,木马,22
11639,ziguezague,sl,29
869,artefato,伪影,60
5478,southbound.,南行,75
8291,faca,刀,57
9488,selva,丛林,47
11182,steeplechase.,斯内普莱切,36
3552,espaçoso,宽敞的,86
11125,menor,较小者,36
2102,brabant,布拉约,92
6144,ramadã,斋月,71
10936,letônia,拉脱维亚,38
5370,volátil,易挥发的,68
12603,denver.,丹佛,23
3385,lúcifer,路西法,85
12169,ma.,嘛,25
5712,sujar,犯规,35
11792,desgastado,磨损,30
337,ratatouille,料理鼠王,100
13087,metal,金属,17
11056,chá,茶,37
10814,droga,该死,35
1296,ritz.,丽思,96
4811,deturpação,虚假陈述,76
10555,prussiano,普鲁士,39
11473,drake,德雷克,33
8345,sala.,萨拉,57
1311,dachshund.,达克斯猎犬,96
7787,millard.,米尔德,61
5855,maori,毛利人,69
7324,surgir,出现,48
12695,enchente,洪水,14
11890,emblema,徽,28
12244,afixo,词缀,26
7263,rua de trás,后街,64
10239,pulmão,肺,39
5005,esferas,球形,34
1734,goof.,go,82
12886,efeitos,效果,10
6889,romero.,罗梅罗,66
10959,comentários,回馈,38
5612,puberdade,青春期,75
4311,ferreiro,铁匠,81
13567,scott.,斯科特,13
7044,dolorido,疮,60
845,excesso,gl,97
6076,meditação,冥想,63
3976,elegante,优雅的,72
11388,truman.,杜鲁门,34
3085,divulgar,透露,61
1258,prenunciando,铺垫,86
12518,ajuste,合身,17
5904,levitação,悬浮,71
7952,croydon.,克罗伊登,60
9039,correção,重述,48
3078,danificar,凡,85
9887,marx.,马克思,45
2391,iman.,伊曼,91
12808,harrison,哈里森,21
6499,attila,阿提拉,69
11766,afortunado,幸运的,30
1415,heroína,女主角,46
9117,sexy.,性感,51
7284,petroleiro,油船,54
10991,hart.,哈特,37
4206,slides.,幻灯片,41
4140,beduíno,贝都因子,77
3178,decorativo,装饰性的,38
8659,incidentalmente,顺便,52
11763,lucas,卢克,30
898,insensível,不敏感,91
8538,primo,表哥,45
7119,noir.,没用,63
3633,sagitário,射手座,86
14145,chamar,称呼,8
13399,quente,热的,14
10503,radiação,辐射,38
12907,arthur,亚瑟,20
8142,variado,多变,21
8067,watts.,瓦特,41
10686,lótus,莲花,39
6066,buffaloes.,水牛城,18
12350,de pé,常设,11
5899,antílope,羚羊,73
8933,companheiros de equipe.,队友,30
2829,acerto de contas,估计,63
6743,playboy.,花花公子,66
7747,culminando,开心,40
6777,linho,亚麻布,67
6878,biotecnologia,生物技术,66
1400,mais brilhante,最亮的,95
1548,quarwave,短波,95
1974,maulana.,玛娜娜,93
7926,esperma,精子,60
11785,espartano,斯巴达,24
13541,soviete,苏维埃,12
7428,batismo,洗礼,62
11342,injustificada,无人物,34
4340,yangtze.,长江,82
9082,frito,油炸,38
5639,mole,软盘,74
13748,baseball,棒球,12
9105,urso de pelúcia,泰迪熊,51
3069,fundamentos,基础知识,33
373,micose,癣,100
4135,prisma,棱镜,82
13768,em si,本身,11
11798,crescendo,生长,22
11280,calouro,新生,35
11837,frango,鸡,29
8236,zumbido,嗡嗡声,56
1578,lcd.,液晶,94
12108,sim,是的,27
4054,rampa,斜坡,75
12905,arkansas.,阿肯色州,20
13854,fora,出去,6
1393,penney.,帕尼,96
10891,barbara,芭芭拉,38
1104,resistido,用水,97
2709,flared,喇叭口,56
3480,intervir,干预,46
2726,fertil,沃,55
13979,encontrado,成立,6
12286,mais recentes,最新的,26
782,garanhão,骘,91
11209,esqui,滑雪,27
9127,tomate,番茄,47
9529,banho,洗澡,41
414,sonar,索纳尔,100
2293,enclave,飞地,87
6095,crosta,脆皮,71
9130,infinitesimal,无穷小,45
3242,rapé,鼻烟,88
12174,cubs.,幼崽,26
850,caledoniano,喀里多尼亚人,98
6705,uma terra,一片地,68
14113,encontrar,寻找,7
12404,ross.,罗斯,25
4045,descontentamento,不满,79
7606,mosquito,蚊子,59
3247,grosso.,格罗索,88
13344,dan.,担,15
3834,sentinela,哨兵,82
9895,howe.,豪,45
5544,gelado,寒冷,75
4570,suavemente,轻轻一点,81
14106,nível,等级,11
11749,precisão,准确性,30
2973,goldeneye.,黄金眼,88
2208,titulação,滴定,90
9022,litoral,海岸线,50
423,dramaturgo,剧作家,97
5892,meritório,勋,73
9587,calça,裤子,47
5231,irresponsável,鲁莽,76
3986,lobisomem,狼人,84
6900,contabilizado,占,5
145,parábola,抛物线,100
10020,caxemira.,克什米尔,44
12293,saudita,沙特,25
10026,weber.,韦伯,44
3403,adaptado,定制,69
5027,profecia,预言,70
8402,fluido,体液,54
13347,desambiguação,歧义,15
10860,virgem,处女,35
12326,classificação,排行,7
476,metabolite,代谢物,94
9936,mais largo,更宽的,45
3032,flautim,piccolo.,88
6429,alojado,坐了,10
5658,fig,无花果,71
5631,legibilidade,可读性,54
1775,gila.,吉拉,94
12466,kyle.,凯尔,24
11021,harold.,哈罗德,37
3660,normalização,正常化,14
6830,polímero,聚合物,63
