ID,PORTUGAIS,ARABE,INTERVAL
13311,possivelmente,ربما,7
2735,myron.,ميرون,89
14197,plantar,نبات,15
11442,idêntico,تطابق,21
3205,hap,هاب,87
3786,retangular,مستطيلي,84
11746,bb.,ببي,29
10838,terminal,طرفية,24
13765,geórgia,جورجيا,12
4419,isótopo,النظير,69
10526,substancialmente,جوهريا,19
8941,gabão,غابون,52
8577,invisível,غير مرئى,52
12583,opor,حفرة,17
13436,referenciado,المشار إليها,13
8284,reimplantado,redreeded.,50
4355,logicamente,منطقيا,25
5953,furão,النمس,71
11997,ressaca,تعهد,28
6888,leucemia,سرطان الدم,66
1671,tangerinas,اليوسفي,76
14377,rua,شارع,10
12868,noruega,النرويج,20
14086,militares,جيش,10
3490,aminotransferase.,ناقلة الأمين,86
3234,despertar.,تظاهر,78
14193,no entanto,رغم ذلك,9
8982,molecular,جزيئي,52
6678,calcário,حجر الكلس,67
7755,eureka,يوريكا,61
613,escrutinizado,يتم تدقيقه,94
12234,devagar,بطيء,22
3416,lambreta,سكوتر,83
3507,pyongyang.,بيونج يانج,86
13006,atraiu,رسم,19
633,atocha.,أتوشا,99
982,restabelecido,إعادة تأسيسها,83
5495,farós,فاروس,75
7562,ponce.,بونس,62
4289,implícito,ضمنية,82
9838,norfolk.,نورفولك,45
9636,whitney.,ويتني,47
10045,porta-voz,المتحدث باسم,44
10559,eleitores,الناخبين,34
6055,carrinho,رابية,71
7809,bim.,بيد,60
12069,martelo,شاكوش,27
6893,refrugadores,تشغيل,66
12468,morris.,موريس,24
10741,coletado,جمعت,24
4452,cinematógrafos,السينمائيين,64
14411,empregos,وظائف,16
10933,fumaça,دخان,25
2960,concessão,تنازل,65
8541,círculos,الدوائر,26
12166,deturpando,تحريف,23
13597,tomada,اطلاق النار,12
1475,macedon.,ماسيدون,95
11312,escondido,مختفي,34
3557,layup.,يستلقي,86
9761,canterbury,كانتربيري,46
3895,acetona,الأسيتون,84
11480,cabeças,رؤساء,9
6564,denso,كثيف,60
8125,maduro,ناضجة,45
13199,inconveniência,غير مريح,16
12738,corrida,تجمع,18
7840,monóxido,من قبل,60
1077,analisando,تحليل,40
14367,imagem,صورة,6
6782,autonomia,الحكم الذاتي,67
2184,rad.,راد,90
7059,diplomacia,الدبلوماسية,65
13005,medicamento,المخدرات,16
11115,barcelona.,برشلونة,36
9342,manifestantes,مثيري الشغب,49
14321,linguagem,لغة,10
7850,atrocidades,الفظائع,55
5541,ardósia,نور,55
458,meação,sharecropping.,100
8716,aviso legal,تنصل,19
11633,ce.,إيد,31
10069,lama,لاما,42
11923,android,ذكري المظهر,29
1935,antioxidante,مضادات الأكسدة,91
1657,gala,غلا,93
8501,cálculo,حساب التفاضل والتكامل,55
8388,newsprint,الصحافة,56
7211,viaja,يسافر,17
14046,pequeno,قليل,10
10930,sparta.,سبارتا,37
10791,quatorze,أربعة عشرة,38
14358,gastos,الإنفاق,27
13697,stephen.,ستيفن,12
13887,entre,بين,8
8164,porpoise,خنزير البحر,58
11041,norseman.,نورسمان,37
13656,atlântico,المحيط الأطلسي,12
5676,termodinâmica,الديناميكا الحرارية,69
2756,opressão,الاضطهاد,67
8415,prejuízo,تعصب,53
10372,hardware.,المعدات,41
503,batizado,كريست,90
13592,kuru.,كورو,12
2159,hífen,الواصلة,63
3994,bacia hidrográfica,مستجمعات المياه,82
10089,violação,يخرق,13
2876,hoya.,هويا,88
4230,pulmonar,الرئوية,82
1486,medula,نخاع,95
8202,querida,حبيبي,57
807,lancelot.,لانسلوت,98
5419,meiose,الانقسام الاختزالي,75
13787,morte,الموت,9
6528,doses.,جرعات,48
3521,kannada,كانادا,86
10554,flores.,فلوريس,40
8048,deco,شئ,59
6219,marcello.,مارسيلو,70
8790,sésamo,السمسم,53
11915,campus,الحرم الجامعي,29
1363,nig.,نغم,96
4935,miserável,بائس,66
4274,oxidase.,أوكسيداسي,81
9034,mellon.,ميلون,51
1890,caduca,انزل,71
6602,hiato,التوقف,68
5261,mccarthyism,مكارثية,76
9153,negação,إنكار,49
7919,setenta,سبعون,48
6271,vulnerável,غير حصين,63
12277,jaga.,جاغا,26
10897,pastor,الراعي,37
8583,inquisição,محاكم التفتيش,54
1757,quando é,wether,93
3975,técnicos,الفنيين,56
3987,googol.,جوجول,83
317,connex.,كونيكس,100
9465,ultra,فائقة,46
11576,mônaco,موناكو,32
1840,rescindido,انعقاد,87
891,depositado,أودعت,55
6206,ofuscado,طغت,66
8090,midland.,ميدلاند,43
12430,cena,مشهد,21
8460,milênios,آلفية,55
2133,gueixa,جيشا,91
1805,carrefour,كارفور,93
9827,conexões,روابط,11
4249,minesweeper.,كاسحة ألغام,77
3092,válvulas,الصمامات,46
712,não escrito,غير مكتوب,98
13562,mês,شهر,10
9199,asterisco,النجمة,48
1403,manipulações,التلاعب,39
14216,usos,الاستخدامات,5
10424,ameaçador,تهديد,23
9326,lituano,اللتوانية,48
989,camelot.,كاميلوت,97
8752,cherokee.,شيروكي,53
8049,reunir,حشد,24
11082,balas,الرصاص,24
4250,siamese.,سيامي,82
8590,bubônico,دبلي,55
7888,bam.,بام.,60
13192,wilson.,ويلسون,17
8666,platô,هضبة,53
11880,berger.,برغر,29
10103,fio,مسلك,38
5355,fana,فان,76
8018,knoxville,نوكسفيل,59
2334,homônimo,الاسم الرئيسي,89
14491,comprar,شراء,26
6275,haitiano,الهايتي,67
909,lontras,أوتر,43
8989,mais claro,أوضح,52
9444,enxofre,كبريت,45
8662,bizantino,البيزنطية,54
828,desaceleração,الانكماش,98
13754,envio,تحميل,8
5926,voluntariamente,طوعا، بمحض ارادتك,72
12143,pássaro,عصفور,24
6587,silenciosamente,بهدوء,68
3522,hwan.,حوان,86
11087,censurado,رقابة,26
1091,shabbat.,شبعات,96
3617,luge.,غفوة,85
7487,cebola,بصلة,58
4861,sudanês,السودانيين,79
1971,bantu.,بانتو,93
10551,momentum.,قوة الدفع,40
2830,tentações.,الإغراءات,64
13629,jack,جاك,12
7591,lotado,مزدحم,18
8449,sismologia,علم الزلازل,54
7846,bienal,كل سنتين,59
11723,baleia,حوت,27
5111,nam.,نام,77
8592,venezuelano,الفنزويلي,54
2727,astor.,أستور,88
1670,tater.,تتبع,94
5533,sputnik.,البداية,74
1324,peeps.,اللمحات,81
6545,antuérpia,antwerp.,68
14031,cedo,مبكر,10
10441,gabriel.,جبريل,41
1638,leme,الموجه,92
1162,bateman,باتيمان,96
9039,correção,إعادة صياغة,48
7872,infinitamente,بلا حدود,27
1383,inorgânico,غير عضوي,96
3531,wetland.,الأراضي الرطبة,81
10819,marco,ماركو,38
9344,grama,حاوية,48
5761,sensor,المستشعر,61
5482,incêndio culposo,حريق متعمد,74
4757,imunidade,حصانة,48
6935,filosófico,الفلسفية,38
13259,índice,فهرس,15
13034,holanda,هولندا,18
8367,toby.,توبي,56
5599,amplitude,السعة,73
2446,remus.,ريموس,90
9658,lancaster.,لانكستر,47
3886,diploma,شهادة دبلوم,82
6053,deborah.,ديبورا,71
10726,shi.,شي,34
4007,devastado,مخرف,77
13989,programas,البرامج,11
8439,elmer.,إلمير,56
5680,capita,الفرد,74
11329,décimo sétimo,السابع عشر,34
10824,navalha,موس الحلاقة,38
12008,consequência,تحمل,12
7497,voluntário,تطوعي,62
3788,catalina,كاتالينا,84
2838,sem esperança,ميئوس منه,88
2459,cigarros,السجائر,49
27,inibir,تعيق,62
2157,lúmen,لومين,90
3464,desgraças,الويلات,83
3887,casa.,كاسا,74
674,hagar.,هاجر,98
11743,renascimento,عصر النهضة,30
4071,melatonina.,الميلاتونين,83
4078,bellevue.,بيلفو,83
4326,agustação,عندها,82
6663,ergonomia,بيئة العمل,67
13589,concordar,يوافق على,11
9598,humor,فكاهة,39
14205,incluído,وشملت,6
14507,centro,مركز,10
203,footwork.,العمل القدم,100
6216,beatrice,بياتريس,70
4786,triptofano,التربتوفان,79
7453,ângulos,الزوايا,34
12094,that,كيو,27
9791,eh,إه,46
7359,ocioso,عاطل,61
12638,intensidade,الشدة,17
14414,não pode,لا تستطيع,11
8274,morto-vivo,ميت حي,57
11040,galês,تهرب من دفع الرهان,37
11172,cavalgando,يركب,23
12095,aliança,الائتلاف,27
11334,allan.,ألان,34
2886,somers.,سومرز,88
8823,hist.,هيست,53
4765,rum,رم,79
4529,burroughs.,بوروس,80
10215,hale,هيل,42
12388,layout.,نسق,25
12465,juventude,شباب,22
8837,feroz,شرس,50
10391,pulando,القفز,8
2454,subjugado,هدوء,79
4944,sionistas.,صهيوني,41
13168,bombear,قنبلة,11
3908,potência de fogo,firepower.,84
7243,quiropraxia,بتقويم العمود الفقري,63
11137,villa.,فيلا,36
7609,acapulco.,أكابولكو,62
4316,desajeitado,الخرقاء,80
1321,disp,نجح,96
9750,zeta.,زيتا,46
7512,bromo.,برومو,62
9806,optar,يختار، يقرر,36
11804,fábrica,مصنع,27
4725,kr.,كتر,74
5120,anaxial,مجاناة,77
935,hardwood,الخشب الصلب,96
3372,deficiências,نقائص,84
414,sonar,السونار,100
8655,pacto,حلف,54
10564,duff,داف,40
280,bogie,بوجي,91
9954,cabine,كشك,43
3881,conceptual,المفاهيمي,74
13706,esperado,متوقع,11
3506,radix,راديكس,86
12508,dennis.,دنيس,24
6820,semi-mensal,نصف شهري,66
6183,cartel,كارتل,66
11747,vigésimo,العشرين,30
7023,tapete,سجاد,62
1419,credenciamento,الاعتماد الاكاديمي,64
6011,croft,حقل صغير مسور,71
2949,fósfo,الفوسفو,88
5669,lepra,جذام,74
1984,mang.,مانج,91
6456,bengali,البنغالية,69
13569,acampamento,معسكر,12
9142,por este meio,أنشر,51
10307,poe.,بوي,42
11569,culpa,لوم,24
3209,mudo,كتم الصوت,78
2416,congênito,خلقي,90
1605,lina,لينا,94
14010,ir,يذهب,7
13687,mau,سيئة,12
10419,nota de rodapé,هامش,30
12836,alan.,آلان,21
753,apostasia,الردة,98
9377,cedro,ارز,46
7230,outback,خيوط,63
1148,nudibrânquio.,nudibranch.,96
13662,perda,خسارة,10
10027,refugiado,لاجئ,27
13167,gogo,غوغو,17
4331,centímetros,سنتيمتر,69
9270,cenoura,جزرة,48
7718,contradição,تناقض,34
1201,litas,ليتاس,96
3128,máscara,mh.,88
6349,tacoma.,تاكوما,69
4479,sportsmanship,روح رياضية,81
3767,cruising.,المبحرة,35
13709,tom,نغمة، رنه,12
9854,cairo,القاهرة,45
785,moa.,موه,98
2554,estetoscópio,سماعة الطبيب,90
6116,tapa,يصفع,54
6963,afrodite.,أفروديت,65
7897,encalhado,تقطعت,49
6646,viável,قابل للحياة,67
4288,mastermind.,العقل المدبر,71
3593,samaritano,السامرية,84
2426,homem baixo,lowman.,91
2604,boleano,منطقية,88
2793,soleil.,سولي,89
12515,complexo,مركب,22
4108,pia.,بيا,82
551,drifter.,الاضطرار,98
2379,prossiga,تابع,84
6251,cianeto,سيانيد,70
13181,pertence,تنتمي,12
13816,isso é,إنه,5
5683,checkpoint,نقطة تفتيش,62
997,luger.,لوجر,97
10883,racial,عرقي,25
12509,décimo,العاشر,23
158,limbo,ليمبو,100
8222,huno,هون,51
937,chekhov.,الشيخوف,97
1127,excreção,إفراز,93
11425,canberra,كانبيرا,33
2255,migrantes,المهاجرين,70
12494,dj.,ديج,24
6577,irmãos,إخوة,68
13843,todos,الجميع,6
11995,traseira,مؤخرة,28
11476,ah.,آه,32
673,cimentada,الأسمنت,60
1529,reto,المستقيم,95
5086,desenfreado,متفشيا,77
4960,vastamente,إلى حد كبير,78
9091,regoziado,انضمام,41
196,whitworth,ويتورث,100
14174,gerente,مدير,9
9056,moçambique,موزمبيق,51
14105,executivo,تنفيذي,18
8548,vilões,الأشرار,47
5828,convincente,قهري,53
6606,extravagante,باهظ,61
13156,presidencial,الرئاسة,17
13976,sem,بدون,5
3692,transcrição,النسخ,53
6378,metades,أنصاف,62
13590,em falta,تفتقر إلى,11
4178,dz.,داز,82
5333,gladstone,جلادستون,76
11030,preliminares,أولية,36
7596,ansiedade,القلق,62
3685,cativos,الأسرى,53
7773,cockpit.,مقصورة الطيار,59
13247,grécia,اليونان,16
4821,escandinavo,الاسكندنافية,74
8082,una.,أونا,58
10804,render,يستسلم,28
393,tamarin.,تامارين,100
1209,mais escuro,أحلك,96
10994,derby,ديربي,37
9102,geotérmico,الحرارة الأرضية,51
7504,hipoteca,الرهن العقاري,60
10766,concreto,الخرسانة,38
9659,porteiro,حمال,46
7541,zaire,زائير,62
6804,louro,لوريل,66
6579,kippur.,كيبور,68
3080,defeito,خلل,50
14057,mudar,يتغير,5
14178,europeu,أوروبي,11
8951,husky.,أجش,32
5068,puxar para baixo,اسحب للأسفل,77
10267,airways.,الخطوط الجوية العظمى,40
5280,parte de cima,رأسا على عقل,76
6434,vanguarda,الطليعة,69
13477,filadélfia,فيلادلفيا,14
4872,leto.,ليتو,78
3427,tressel.,تريسيل,87
10393,namorados,عيد الحب,40
3298,yay,ياي,87
12781,sessão,جلسة,18
252,parlamentos,البرلمانات,17
918,esboçado,اسكاشة,97
9304,salmão,سمك السالمون,49
3239,pulsar.,أسر,87
6393,reservas,الحجز,12
4991,corona,كورونا,76
4110,ateu,ملحد,65
12902,esqueço,ننسى,19
3943,bf.,فرنك بلح,83
9784,vaidade,الغرور,45
5955,feely.,فيلي,72
13922,pegar,يحصل,7
243,grosse,غروس,34
8519,explodindo,انفجار,33
967,hispânicos,من أصل اسباني,58
12425,ariel,ارييل,25
6742,cinematografia,تصوير سينمائي,67
10084,hipótese,فرضية,43
7257,hajj.,الحج,63
2076,evangelista,مبشر,88
5704,electro.,الكهربائية,73
12575,aréola,هالة,23
9427,crescido,نابعة,48
2465,noivo,زوج,76
14426,requisitos,متطلبات,6
8645,abrigo,مأوى,44
12466,kyle.,كايل,24
2457,buscar,أحضر,75
6843,passaporte,جواز سفر,61
11884,meio ambiente,بيئة,28
5917,emissão,انبعاث,57
8354,unicórnio,وحيد القرن,55
1825,spiro,سبيرو,93
9169,amargo,مرارة - مر,49
9615,resumir,لخص,37
8528,cadillac.,كاديلاك,54
9998,madden,مادن,44
11050,capítulo,الفصل,31
9602,sessenta,وستون,42
5169,reconhecível,يمكن التعرف عليها,75
12790,derrota,يهزم,10
8793,dayton,دايتون,53
1072,tesouros,الكنوز,47
9559,kris.,كريس,48
218,nitrofenol.,النتروفينول,100
8363,welch.,ولش,56
12728,carter.,كارتر,22
10218,pertencente,فيما يتعلق,38
6632,marselha,مرسيليا,60
3003,maha.,مها,88
8971,solidão,العزلة,52
4342,autópsia,تشريح الجثة,79
8168,aquecido,تسخين,19
563,roleta,الروليت,98
3550,gerencial,الإدارة,86
9288,estável,ثابت,48
7524,ilimitado,غير محدود,62
3714,fonógrafo,الفونوغراف,82
12632,superfície,سطح - المظهر الخارجي,21
6726,convocado,استدعى,53
7992,consumo,استهلاك,59
2225,brâmane,براهمين,78
745,ripa.,ريبا,98
12967,wayne.,وين,19
2881,júba.,جوبا,88
1614,motel,فندق صغير,88
5368,caucasiano,قوقازي,74
10096,telescópio,تلسكوب,40
10157,elvis.,إلفيس,43
6954,escrutínio,التدقيق,65
222,luzes de inundação,الأضواء الكاشفة,97
3157,manchuria,مانشوريا,88
10056,mali.,مالي,44
8236,zumbido,شرب حتى الثمالة,55
8854,em diante,فصاعدا,46
5768,subseções,القسم الفرعي,46
8151,buda,بوذا,58
11616,racismo,عنصرية,31
3657,retomada,استئناف,84
6309,archimedean,الأرميدين,70
4471,ola.,علا,81
3637,hillman,هيلمان,85
8298,advento,القدوم,57
11331,insígnia,شارة,34
7502,salisbury,سالزبوري,62
8524,cronologia,زمني,39
5271,underdogs.,المستضعفون,56
3956,uptown.,أبتاون,83
13617,tabela,جدول,12
3139,íntimo,حميم,76
48,matti.,ماتي,100
2440,farmacológico,صيدلية,78
11944,alison,أليسون,29
9707,harmonia,انسجام,44
2141,gatling.,جاتلينج,92
2084,dhoni.,دوني,92
740,algebrista,العالم بالجبر,98
5272,reunido,لم شمل,66
9683,mussolini,موسوليني,47
4448,josephine,جوزفين,81
4210,milagres,المعجزات,45
9168,trono,عرش,50
10792,amado,حبيبة,38
12378,honra,شرف,19
10520,cinema,سينما,38
11196,treze,ثلاثة عشر,35
4092,tutu.,توتو,83
13694,defesa,دفاع,10
13334,ho.,ه,15
2794,churrasco,الشواء,88
1886,pedal,دواسة,84
6695,preâmbulo,ديباجة,67
10184,néon,نيون,43
6182,espinafre,سبانخ,70
11977,incompleto,غير مكتمل,28
5332,eixos.,المحاور,46
5904,levitação,استرفاع,70
2419,plantações,المزارع,68
5188,evergreen,دائم الخضرة,76
3345,hipocrisia,نفاق,87
13623,info,معلومات,12
12387,ep,إبريق,25
3400,músculos.,العضلات,36
8868,imparcial,غير متحيزة,52
10926,monumento,نصب,34
7404,pulso,رسغ,59
11679,uruguai,أوروجواي,31
5691,testosterona.,هرمون تستوستيرون,74
4387,jasmim,الياسمين,79
5865,unitarista,التوحيد,60
11653,propriedade,ملكية,31
8422,inesperado,غير متوقع,56
12562,finlândia,فنلندا,23
3088,liquidificador,الخلاط,88
10696,muller.,مولر,38
9522,dal.,دال,48
9858,sanduíche,ساندويتش,43
1965,suater,آكل النمل,91
1980,bufotenin.,بوفوتينين,93
2775,antics.,الجثث,87
583,giroscópio,جيروسكوب,96
1629,duplex.,دوبلكس,92
12973,irã,إيران,19
1098,sirenes.,صفارات الإنذار,71
8897,arbitrário,اعتباطيا,52
5450,visitante,الزائر,9
9256,curt.,كورت,50
7298,cênica,خلابة,63
13018,sábado,يوم السبت,18
7042,certificação,شهادة,40
4111,encurtando,تقصير,36
9660,cálcio,الكالسيوم,47
6435,africanos.,الأفارقة,13
14499,david,ديفيد,9
7956,bucareste,بوخارست,59
8165,cereal,حبوب,55
727,litúrgico,الليتورجري,96
7283,carambola,كاروم,62
9953,byron.,بايرون,44
3723,paranômia,بارانوميا,85
13397,gato,قطة,13
5398,freira,راهبة,65
13944,iorque,يورك,8
11670,décimo terceiro,الثالث عشر,31
13523,verão,الصيف,13
272,baller.,البالترف,90
1034,ronin.,رونين,97
5741,judas,يهوذا,73
1393,penney.,باتني,96
12395,pó,تراب,25
2980,lareira,المدفأة,87
2396,drone,طائرة بدون طيار,84
14403,breve,قريباً,9
14052,melhorar,أحسن,10
7761,esquelético,الهيكل العظمي,61
584,landstorm.,العاصفة الأرضية,99
14067,casa,منزل,10
262,escandente.,ضئيلة,100
6233,birmanês,البورمية,70
2111,linfoma.,ليمفوما,91
9779,devonshire.,ديفونشاير,46
12984,áustria,النمسا,19
11617,cm,سم,31
12789,vítimas,اصابات,19
5589,fermentação,تخمير,41
7691,geométrico,هندسي,59
1931,chuva de granizo,هايلس,88
10485,dimensional,الأبعاد,40
13276,clima,الجو,15
11695,sombra,ظل,28
8149,embarcado,شرعت,47
12540,governador,محافظ حاكم,21
7911,enciclopédica,موسوعي,59
2697,apátrida,عديمي الجنسية,83
13309,gerenciou,تمكنت,9
3726,champaign.,شامبين,85
12660,charlie.,تشارلي,22
4083,moto de neve,زحافة جليد,80
10312,ign,شن,41
13068,honduras,هندوراس,18
13783,confusão,ارتباك,9
8025,duquesa,دوقة,59
5943,punjabi.,بونجابي,72
586,sem censura,غير خاضعة للرقابة,99
10598,camarões,الكاميرون,39
2891,inundado,غمرت,77
8253,kiev,كييف,57
5469,redimensionado,تغيير حجم,66
12439,fêmea,أنثى,23
9126,dinamite,ديناميت,50
11469,bilhete,تذكرة,27
361,passos,خطى,99
1762,intermitente,على فترات متقطعة,83
9262,wrestler.,مصارع,43
8455,etnia,عرق,24
6681,tolos,الحمقى,36
10121,rolo,أسطوانة,42
4039,imaculado,طاهر، نظيف جدا، منظم جدا,82
6970,reconstituído,إعادة تشكيلها,60
11000,boca,فم,35
7034,solvente,مذيب,58
13269,teoria,نظرية,13
1307,polônio,بولونيوم,96
7722,suástica,الصليب المعقوف,60
6819,pomar  pasto,paddock.,66
11501,chipre,قبرص,32
8015,rabino,الحاخام,57
9848,mit.,ميت,45
6017,miriam.,مريم,71
9526,urânio,اليورانيوم,48
8633,morsa,الفظ,54
2851,esculpido,منحوتة,71
803,bola curva,curveball.,98
12040,sugestão,اقتراح,9
12609,mil,ميل,23
7419,conquistas,الإنجازات,31
11274,fisher.,فيشر,34
11932,comumente,عادة,29
7335,idoso,كبار السن,63
3303,prescrição,وصفة طبية,81
9059,escolhendo,الاختيار,8
10958,remanescentes,بقايا,31
13682,carolina,كارولينا,12
8211,copernicus.,كوبرنيكوس,58
9268,encontro,يواجه .. ينجز,28
7049,molho,صلصة,64
11857,dispositivo,جهاز,24
1975,gonal,جونال,93
9845,santos.,سانتوس,45
8920,gripe,الأنفلونزا,52
1121,com moderação,بشكل مقتصد,96
9410,inadvertidamente,دون قصد,47
122,salaam.,سلام.,100
8760,anabólico,الابتنائية,53
7798,estaca,حصة,47
8741,remix.,ريميكس,42
1203,entorse,إلتواء,70
13874,lá,هناك,5
10746,substratos,ركائز,35
6179,cpu,وحدة المعالجة المركزية,67
5167,sant.,سانت,76
1581,adereços,الدعائم,62
12493,planejado,المخطط لها,11
13801,disse,قال,8
13284,8º,8th,16
13117,diego.,دييغو,17
7275,cassete,كاسيت,61
11355,edgar.,إدغار,34
480,monomer.,أحادي المعدن,96
7262,stella.,ستيلا,63
4166,jousting.,جوزة,82
14470,abaixo,أقل,8
7288,tailback.,خياطة,62
10513,rumores,شائعات,35
6907,gosma,لزج,66
1078,callum.,كالوم,96
9180,harriet,هارييت,50
557,anaeróbico.,اللاهوائي,99
12512,assistindo,مشاهدة,12
10169,hussares.,هسارس,42
12264,carbono,كربون,25
2921,babu.,بابو,88
8569,deriva,المغزى,34
4350,fundos,خلفيات,17
13069,gramatical,نحوية,18
265,sanidade,الصحة العقلية,100
8685,surgiram,نشأ,54
1448,ting.,تينغ,84
9223,appalachian,أبالاشيان,49
9850,hércules,هرقل,45
6242,balde,دلو,66
2075,brant,برند,92
2873,durst.,دور,88
4538,basílica,البازيليكا,79
12048,lobo,ذئب,28
14506,carros,السيارات,9
2520,atm,ماكينة الصراف الآلي,90
1842,noites,ليلة,93
9823,petróleo,بترول,45
1309,taxa de transferência,الإنتاجية,96
3785,midratário,midshipmen.,84
8709,sonny,سوني,54
8355,improdutivo,غير منتجة,56
11090,catar,دولة قطر,36
7271,magia,ماج,62
14421,coisa,شيء,8
12542,peixe,سمك,20
3671,diagonal,قطري,77
12879,iraquiano,عراقي,19
11705,isaac.,إسحاق,31
6025,unilateral,من جانب واحد,54
5507,manzanillo,مانزانيلو,75
13076,sociedade,المجتمع,17
5658,fig,تين,70
12305,maria.,ماريا,26
6874,cilindros,اسطوانات,41
6537,coolidge.,بروديدج,68
8007,australiano,الاسترالي,52
8141,recondição,اعادة,58
561,espargos,نبات الهليون,99
4286,paganismo,الباجية,65
1767,pensões,المعاشات التقاعدية,62
13178,comprimento,الطول,16
7515,balada,القصة,56
2187,chai.,تشاي,91
14301,preocupação,هَم,9
13803,ser,يكون,5
13881,usado,مستخدم,5
6941,abba.,أبا,39
3299,cirílico,السيريلية,87
11289,lutero,لوثر,34
12899,futebol,كرة القدم,20
