ID,PORTUGAIS,JAPAN,INTERVAL
12126,bilhão,十億,26
11175,multidão,暴徒,32
2634,pata,足,85
4888,bint.,ビント,78
12875,odor,香り,20
2584,abraço,ハグ,61
7469,expo.,博し,42
10103,fio,糸,38
2156,vazando,漏え,39
6739,manatee.,マナティー,66
13620,afrikaans,アフリカ人,12
2477,escoamento,暴走,90
8499,medina.,メディナ,54
6504,iq.,いう,67
6279,bielorrusso,ベロルシュ,69
8146,em andamento,遅くに,57
9150,valencia.,バレンシア,50
11724,cobra.,コブラ,30
1025,nar.,n然,97
852,inclemente,incl incl,98
9826,boise.,自慢する,44
9386,búlgaro,ブルガリア語,45
9918,satanás,サタン,37
11091,carson.,カーソン,36
6478,pyr,ピーリー,68
3799,sarampo,麻疹,84
13047,filipinas,フィリピン,13
4191,spinners.,スピンナー,53
2814,decarboxilase.,デカルボキシラーゼ,89
6082,inútil,無価値,70
572,reptiliano,爬虫類,99
5371,masjid.,マスジド,75
13192,wilson.,ウィルソン,16
5839,tempo esgotado,タイムアウト,58
8506,agudo,急性,53
10700,cortada,crop crop,25
7711,suavizante,soing,59
7894,atrito,摩擦,58
3915,sérum,血清,84
14469,documento,書類,12
13112,capital,資本,12
6464,leilão,競売,59
8561,leal,忠実,53
6983,refrigerante,ソーダ,64
7351,brilhando,シャイニング,49
14340,recusou,辞退した,13
6129,rangido,握手,67
7740,karatê,空手,57
446,sem caracteristicamente,特徴的に,88
9984,reeleição,再選,41
5312,confeitaria,菓子,75
2361,mausoléu,霊廟,90
512,ile.,イイル,99
1383,inorgânico,無機,96
8963,despeito,悪意,50
7067,irregular,不定,43
8888,diabetes,糖尿病,49
9699,ondulação,カーリング,40
14205,incluído,含まれています,6
397,snowshoe,スノーショー,98
3412,madeira compensada,合板,86
4003,aspérula,woodruff.,83
10141,ativistas,活動家,35
12341,memória,メモリー,13
9368,nós mesmos,ourselves,48
13647,viver,住む,7
11719,tema,テーマ,26
1159,rorschach,ロールシャッハ,96
11693,décimo quarto,第十八,31
10653,apanhador,キャッチャー,35
13006,atraiu,dr,18
7307,inventor,発明者,52
12043,metrô,地下鉄,27
10058,dedução,控除,35
12540,governador,知事,20
4221,ajudante,副官,80
11319,alice,アリス,34
1646,montessori.,モンテスソリ,94
12699,acroterion,アクロテリオン,22
7420,brutal,残忍な,46
11995,traseira,後方,27
1529,reto,直腸,95
13568,minnesota.,ミネソタ,12
3734,bonde,静止,78
5197,discreto,離散,57
3415,ocarina,オカリナ,86
7260,testículo,睾丸,60
10692,publicamente,public,38
4573,ribossoma.,リボソーム,70
13264,mary,メアリー,14
4608,ciudad.,シオダード,79
7699,peixinho dourado,金魚,60
3055,não interferir,渡す,88
4270,neolítico,狂気の,81
10473,wang.,王々に,40
1439,curar,癒し,56
11481,sussex.,サセックス,32
3517,argyll.,アーガイル,61
11607,lhama.,ラマ,31
3113,nadador,スイマー,74
9858,sanduíche,サンドイッチ,42
11757,reforma,改革,20
1797,amnésia,健忘症,93
10825,sem sentido,無意味な,38
4554,prometeu,プロメテウス,80
5888,meteoro,流星,67
13366,identificação,身元,14
12190,brandon.,ブランドン,26
13939,próximo,次,6
12917,unreferenciado,re un,19
13841,outro,他の,5
13478,jackson.,ジャクソン,13
11346,albânia,アルバニア,34
4024,clivar.,劈く,74
2198,arrecadação,募金,91
12642,entretenimento,エンターテイメント,19
13659,resolução,解像度,12
3276,abraçado,embaced,61
4977,chaucer.,チェューサー,77
6684,contribuição,contr,66
1452,cariageway.,car car,95
7105,ophélia.,オフィリア,63
7135,se assemelha,似てる,38
8607,crush,打ち砕く,36
8644,geográfico,地理的,33
1793,celulose,セルロース,88
10747,advogado,弁護士,36
2272,bowser.,弓師,91
2607,randle.,ランドル,90
9702,sapato,靴,33
11094,páscoa,イースター,36
5919,divindade,神,61
11742,imperador,天皇,29
7268,tunis.,チュニス,62
13743,atras do,後ろに,11
2165,eletroforese,電気泳動,91
14065,duro,難しい,7
633,atocha.,アトカ,99
2035,berçário,保育園,92
12310,ascender,上昇,20
14115,fechar,近い,10
4199,minúscula,小文字,81
9507,duvidoso,d然,47
3471,mauricio.,モーリシオ,86
12848,síndrome,症候群,20
13750,oportunidade,機会,11
12977,observatório,展望台,19
9690,hartford,ハートフォード,46
3553,colima,コリマ,86
13464,henry.,ヘンリー,13
1732,royalties.,ロイヤルティ,65
3659,nostrum.,鼻孔,85
5827,conclui,concl concl,23
14218,computador,コンピューター,6
953,pétalas,花びら,90
1350,água do mar,海水,96
7357,freios,ブレーキ,37
9330,criador,メーカー,40
10677,cervo,鹿,38
13660,aeronaves,航空機,12
8527,criaturas,生き物,45
669,inchar,膨れさせる,67
10010,odyssey.,オデッセイ,43
12323,mandril,チャック,25
14294,carro,車,9
7191,prostituta,フッカー,62
12050,bode,buck,25
6825,twenties.,20代,13
10253,logan.,ローガン,41
10021,componentes.,コンポーネント,27
19,infernal,不名誉な,100
12877,superior,アッパー,20
9519,sharon.,シャロン,47
10223,giles.,おばあちゃん,41
385,alberich.,アルベリン,100
7826,christine.,クリスティン,59
9924,árabe,アラビアン,43
11934,jamaica,ジャマイカ,28
13120,real,実際,9
1492,urbana.,アーバナ,95
1334,albino,アルビノ,95
6656,incumbente.,在盗,58
11891,redskins.,レッドスキンズ,28
12503,herói,勇者,19
1954,defeituoso,故障,74
3424,tabu,タブー,84
7157,cortina,カーテン,60
14423,apresentado,提示,10
9799,praga,プラハ,45
5386,turvar,泥だ,72
12063,escritor,作家,18
8787,incivil,不二,51
9250,crânio,頭蓋骨,47
4247,delito,tort,79
5216,brutus.,ブルタ,76
12630,instalação,施設,18
9000,queda de energia,停電,48
937,chekhov.,チェコフ,97
109,reembolsar,返済する,90
8854,em diante,以降,45
13088,muro,壁,16
12771,animal,動物,12
8586,rasgado,引き裂かれた,54
43,discagem,ダイヤリング,98
3608,linguado,ヒラメ,82
12959,valor,価値,15
9540,shortstop.,遊撃手,46
9402,postal,郵便,48
11388,truman.,tr tr,33
10468,suposição,予測,35
7048,tronco,トランク,56
13560,ciência,理科,12
12597,hospital,病院,20
7735,precursor,前駆,57
14140,provável,おそらく,5
5578,bohemia,ボヘミア,74
7414,indireto,間接的な,62
1319,harpia,har然,96
14462,produzir,生産する,7
1674,expiação,償い,81
2386,contracultura,反論,91
9101,flanco,脇腹,43
9746,desesperado,やけくその,37
11137,villa.,ヴィラ,35
3122,espartilho,コルセット,72
1754,mnemônico,ニモニック,90
10585,compactar,コンパクト,36
9610,interpretado,解釈されました,18
10330,jornada,旅,40
4402,busby.,bus,81
11241,nervoso,怒り,35
420,cuneiforme,楔形文字,100
9155,burro,ジャッカス,49
4949,anarquismo,アナキズム,74
12513,emergência,緊急,16
9357,esclarecimento,明確化,46
11583,monroe.,モンロー,31
5638,saguão,ラウンジ,70
7130,garnett.,ガーネット,63
2973,goldeneye.,ゴールネエ,88
9928,próximos,今後,44
4835,capricórnio,山羊座,78
2068,mártir,殉教者,61
13386,brian.,ブライアン,14
6777,linho,リネン,66
9495,astrônomo,天文学者,29
6801,mastigação,咀嚼,39
13245,jason.,ジェイソン,16
7176,conveniente,便利,43
3741,inscrito,内接,84
13896,sob,下,7
9899,andarilho,ローバー,32
16,maníaco,躁鬱,99
12426,leite,ミルク,24
2929,dopamina,ドーパミン,88
7527,repositório,リポジトリ,60
11350,parceria,パートナーシップ,32
6230,absolvido,acqu acqu,68
1326,minoan,ミニアン,96
13377,banido,禁止された,9
12657,indianapolis.,インディアナポリス,22
12986,alternativa,別,8
6891,yap.,ヤップ,65
3459,suculento,ジューシーで,86
13385,russo,ロシア,14
7657,monmouth.,モンマス,61
716,inbound.,インバウンド,84
8927,marinheiro,船員,38
2897,colesterol,コレステロール,88
13579,coréia,韓国,12
1088,feminino,フェミニン,94
5681,bipolar,バイポーラ,73
9941,estraguei,吹き飛ばさ,44
12828,bebê,赤ちゃん,20
13690,dinheiro,お金,12
5809,medalhista,メダリスト,56
1476,trampolim,トランポリン,90
7783,raphael,ラファエル,60
477,póstumo,post post,68
7952,croydon.,クロイドン,58
2343,bilateral,二字的,90
1331,jibbs.,ジブス,96
13846,mas,しかし,5
12259,arquivos,アーカイブ,12
123,yakima.,ヤキマ,100
6629,bolchevik.,ボルシェビック,58
10448,helsínquia,ヘルシンキ,40
13222,houston.,ヒューストン,16
1765,bonaventure.,怪我人,93
2140,encharcado,浸した,84
9005,olimpíada.,オリンピア,50
1340,contra-ataques,カウンター攻撃,56
10917,entrega,配達,33
10186,antraz,炭疽,42
5252,sarcasmo,皮肉,75
12806,dinamarca,デンマーク,20
6007,longshore,long long,71
8509,nagasaki.,長崎,54
4965,mediana,中央値,77
161,bacilo,バチルス,100
8587,altruísmo,アリュズム,54
13261,enciclopédia,百科事典,16
6242,balde,バケツ,65
862,circe,cir cir,96
7168,vire para fora,消す,62
5289,aureus.,黄道,75
11834,inadequado,不十分な,28
14286,quantia,額,7
6061,prolongado,延びの,63
2273,whistler.,ウィスラー,91
12847,confirme,確認,12
3190,expedições,遠征,33
7751,estômago,お腹,58
1633,remand.,rem rem,75
3758,perseu,pers pers,84
5361,impeachment.,弾劾,62
12102,protocolo,プロトコル,26
673,cimentada,セメント,59
297,expoente,指数,89
14394,pergunta,質問,5
1270,arquétipo,arch arch,88
4643,konstantin.,コンタンティン,79
300,redefinição,再定義,96
10088,armadilha de fogo,撃火,43
3694,ridley.,リドリー,85
5893,ventilação,排出する,61
9102,geotérmico,地熱,50
3647,jing.,ジングー,85
2806,lackluster,lackl,88
1701,blanca,ブランカ,94
3840,tres.,トレット,84
8930,garantia,保証,34
4801,pandora.,パンドラ,77
5704,electro.,エレクトロ,73
7510,pomba,鳩,58
5196,partículas,粒子,46
1528,bexiga,膀胱,95
12058,trivialidade.,トリビア,27
6595,arrumado,きちんとした,65
604,chordate.,和音,99
4121,pavimentou,舗装された,60
5612,puberdade,思春期,74
9081,tanzânia,タンザニア,50
6551,epidemia,エピデミック,64
11177,transporte,シャトル,34
3347,gillian,ジリアン,87
2374,bolinho,カップケーキ,90
6496,glorioso,赫々,68
1409,wierd.,ウィリア,95
11661,esquecido,忘れて,31
9180,harriet,ハーリエット,49
13800,sobre,の上,5
9371,reich,朗読,48
4029,milt.,泥坊,83
6045,bioma.,バイオーム,70
3031,flo.,フロン,88
6354,indiretamente,間接的に,69
5540,droit,デロイト,69
7574,carmel.,カーメル,61
14343,atualmente,現在,7
12385,hitler.,ヒトラー,25
14369,conferência,会議,10
1163,fireboy.,ファイアボーイ,96
11058,hugh.,ヒューズ,36
7195,atena,アテナ,63
8584,pasadena.,パサデナ,54
5772,extrair,エキス,36
7217,reese.,リース,63
4400,porto livre,自由貿易港,81
5718,whig.,泣き身,62
8409,abolicionista,廃絶,53
7299,montevidéu,モンテビデオ,62
12903,oakland,オークランド,19
8913,grampo,クリップ,37
4940,taxman,納税者,77
7964,alarme,警報,47
2741,simplista,単純な,88
7733,spree.,ぞっとする,59
11880,berger.,バーガー,29
10924,amy.,エイミー,34
13140,suécia,スウェーデン,17
3959,castanha,くるみ,81
5141,roche.,ロシュ,76
4776,vagabunda,痴漢,72
13626,humano,人間,12
11644,diamante,ダイヤモンド,29
8076,tarifa,運賃,45
3611,meltdown.,メルトダウン,84
3586,anormal,異常な,69
7610,wicca.,ウィッカー,61
13224,sol,太陽,15
11663,gana,ガーナ,31
14313,anterior,前の,10
780,balase.,草の根,98
6532,babuíno,ヒヒ,66
8218,excepcional,exception exception,13
13912,informação,情報,5
7148,gestapo.,ジェスタポ,63
13039,aproximadamente,約,17
8299,pavilhão,パビリオン,53
7808,trey.,トレイ,59
10617,bolívia,ボリビア,39
11367,chocolate,チョコレート,33
2468,fated.,仲間に,38
9473,eisenhower.,エイゼンハワー,47
10516,desavisando,疑念なこと,39
7153,divórcio,離婚,57
2013,tack.,タック,69
9854,cairo,カイロ,44
6943,sinatra.,シナトラの,65
7344,stadion.,舞踏会,62
5526,enterro,埋葬,71
2196,rochelle.,ロシェル,91
3538,desmontado,剥がした,78
11334,allan.,all,34
8984,recrutar,リクルート,23
12093,ucrânia,ウクライナ,27
10232,sabão,石鹸,40
5459,anima.,アニマ,72
2498,paloma.,パロマ,90
5014,massagem,マッサージ,76
14391,setembro,9月,6
10477,ira,イラマ,40
13338,milímetros,んん,15
13142,sombrio,暗い,15
9654,mensageiro,メッセンジャー,44
14412,regras,ルール,7
13462,lincoln.,リンカーン,13
3053,merg,メーバー,88
12358,doutor,医者,19
8560,insuficiente,不十分,52
4581,barômetro,バロメーター,80
11999,casado,結婚,27
11983,cidadãos,市民,23
9525,sem teto,ホームレスの,41
12996,sem utilidade,使い物にならない,18
14514,escrito,書かれています,8
8521,despachou,派遣された,45
672,overtones,倍音,94
11096,memphis.,メンフィス,36
4848,bordeaux.,ボルドーの,78
11445,para todo sempre,永遠に,32
11646,radar,レーダー,30
2941,flor,花,75
1816,iogurte,ヨーグルト,93
5041,temperamento,気質,70
11711,oliver.,オリバー,27
12420,alguém,誰か,24
8164,porpoise,ポリアワーズ,57
2001,desmaio,失神,67
9056,moçambique,モザンビーク,50
2833,tapeçaria,タペストリー,88
9141,booker.,ブッカー,50
7529,goethe.,ゲーテ,61
10296,webster.,ウェブスター,41
12014,conforme,併せる,14
10733,vizinhança,近所,32
4014,nationhood.,国民の,83
13430,rosa,ローズ,13
2210,dormiu,眠った,91
6123,sofisticado,洗練された,65
5925,chuvoso,雨の,71
7627,impressora,プリンター,54
8976,gatinha,キティ,49
6855,wigan.,ウィガン,65
6365,murta,マートル,69
7946,atacado,卸売,58
11254,pára-quedas,パラシュート,33
2388,reintroduzido,再導入,78
8182,paz,平和維持,47
13268,7.,第7回,16
3208,energético,元気的な,83
13287,império,帝国,15
11843,húngaro,ハンガリー語,28
6693,della.,デラ,66
648,yali.,ヤリ,99
4452,cinematógrafos,映画探し,63
11076,músicos,ミュージシャン,21
2709,flared,フレア,55
10833,emirados.,催促,36
9004,politécnico,ポリテクニック,50
3238,nematode,ネマトード,88
434,anschluss.,アンズクラウス,100
4415,cartwright,カートライト,81
1537,preparação,prepar prepar,95
12149,galeria,ギャラリー,25
2835,membros,四肢,70
10160,felix,フェリックス,42
5617,girassol,ひまわり,74
4058,vishnu.,ヴッシュヌ,83
10258,espectadores,観客,38
12153,satisfazer,満足させる,15
4526,apelidos,姓,38
9153,negação,拒否,48
2618,discutir,騒ぐ,86
1284,mala.,マラ,96
12623,papai noel,サンタ,22
2959,hobbies,趣味,57
4148,roadrunner.,ロードランナー,74
7841,hurley.,ハーレー,59
874,citocromo,シトクローム,97
5938,veronicas,ヴェロニュ,57
12147,naval,ナイカの,27
2781,aplausos,拍手,89
2749,rainer.,鼻水,89
13059,duas vezes,twice,18
29,melancólico,憂鬱,100
1653,impiedosamente,やっぱり,94
10308,chit.,伝票,41
8647,crustáceo,甲殻類,53
1384,inflamável,不燃性,91
2795,amora,ブラックベリー,89
3626,lêno.,レノ,85
5304,sikhism,シークズム,75
9444,enxofre,硫黄,44
2182,pátio,中庭,91
569,kendo,剣道,99
1841,presos,in in,89
6527,acadêmicos,アカデミック,18
11814,estudos,勉強しました,16
10672,mantendo,維持する,13
1226,cabaré,キャバレー,96
2652,starling.,star star,90
2041,mainframe.,メインフレーム,91
9763,ozônio,オゾン,45
1606,desânimo,狼狽,84
13465,mão,手,11
10433,sódio,ナトリウム,40
8906,hector,ヘクトル,51
2494,suportar,with with,88
58,limonada,レモネード,100
4936,pereira.,ペレイラ,77
8762,jacaré,アリゲーター,52
8202,querida,ダーリン,56
2550,cânhamo,麻,90
12041,fresco,新鮮な,27
5703,ressalto,バンプ,53
11025,cauda,しっぽ,28
11873,winnipeg.,ウィニペグ,29
5997,stein.,シュタイン,70
7790,boneca,人形,41
4860,guilhotina,ギロチン,78
13160,global,グローバル,15
12738,corrida,ラリー,18
607,roteirista,スクリーンライター,99
10709,matemático,数学的,20
9832,táxi,タクシー,43
4802,guitarristas,ギタリスト,29
14322,conversas,話し合い,5
7375,ineficaz,無効な,59
8191,pounder.,パウンダーズ,54
1438,pentecostes,ペンテコステ,66
5194,cofator,補因子,72
666,reprise.,朗読する,64
9954,cabine,ブース,42
10794,santiago,サンティアゴ,38
5464,reator.,反応器,69
11482,revolucionário,革命的な,31
52,batimento cardiaco,心拍,99
12218,sarah.,サラ,26
7784,verdun.,ヴェルドゥン,60
11662,zimbábue,ジンバブエ,31
8489,arroyo.,アロイ,54
2770,subvenção,補助金,76
1849,presidium.,育成,93
4061,balões,風船,40
10630,peyton.,ペイトン,38
2912,o jantar,食器,86
7336,anarquia,anarcys.,62
5420,soneto,ソネット,67
824,recluso,世捨て人,96
13008,senha,パスワード,18
2384,liszt.,リスツ,91
39,depurar,デバッグ,90
10854,difícil,タフ,37
911,henchmen.,ヘンチメン,97
7942,pertinente,適切なもの,58
4289,implícito,暗黙,81
4931,alegremente,幸せに,77
12524,julian.,ジュリアン,23
10628,ensino,teach teach,29
4723,esférico,球状,78
11496,nashville,ナッシュビル,32
8759,atacante,ストライカー,40
3650,inversão de marcha,振り向く,82
1444,diacríticos,二析,88
9966,retomar,履歴書,29
3853,di-hidroxi.,ジヒドロキシ,84
9295,eliminar,排除,15
6482,desligada,オフライン,68
8954,ronde.,ロンド,51
7609,acapulco.,アカプルコ,61
8608,shia.,シュアーリー,53
12294,otan.,ナトゥー,25
1053,solubilidade,溶解度,68
1486,medula,骨髄,95
5923,ama.,アマ,70
4286,paganismo,異教,65
10363,binário,バイナリ,40
1579,enfurecido,怒った,88
13367,6º,第6回,14
8410,cera,ワックス,51
13756,rocha,石,11
11877,contemporâneo,コンテンポラリー,28
1101,diocesano,dioc,96
4916,improvável,ob impr,75
13333,razoavelmente,合理的に,6
3888,nylon,ナイロン,83
13396,corpo,体,13
7395,surf,サーフィン,45
5672,édipo,オードキス,73
1703,bungee.,バンジー,94
2719,cursório,カリーの,89
9715,alec.,骨董品,45
8696,fofoca,ゴシップ,52
10525,minúsculo,小さな,39
7852,berço,クレードル,58
9016,orquestra,オーケストラ,49
13954,bom,良い,6
3482,ampliado,enlar,50
11726,síria,シリア,30
2267,erodido,侵食された,81
8421,pérsia,ペルシア,55
2966,sindi.,シンディ,88
1127,excreção,排泄,93
4990,mandíbulas,顎,58
10317,java,ジャワー,41
11657,durham,デュラーム,31
11431,louisville.,ルイビル,33
13199,inconveniência,不便,16
14320,fonte,ソース,6
4955,axel.,アクセル,77
13991,negociação,取引,12
7457,rollback,ロールバック,61
8789,dora.,ドラ,52
13732,baixo,低い,11
13641,oito,8,12
1861,zonta.,ザンタ,93
10216,credibilidade,信頼性,25
10203,átomo,原子,25
6064,pallas.,パラ,70
10936,letônia,ラトビア,37
926,britten,きららしい,97
1234,transmite,伝達します,17
13639,infelizmente,不運にも,12
5848,friedman.,フリードマン,72
3036,pretória,プレトリア,88
1938,cognizant.,暗殺者,91
6664,gastrointestinal,胃腸.,67
626,invertebrado.,無脊椎動物,98
1549,mulder.,ミルダー,95
12741,articulação,ジョイント,21
10542,rodney.,ロドニー,39
12518,ajuste,フィット,17
2594,nos termos,追従,90
13090,transferido,再割り当てされました,17
2351,olmo,エルム,84
9502,colombiano,コロンビア語,47
2884,hipócrates,ヒポクラテス,88
10909,rochester.,ロシェスター,37
3085,divulgar,開示,60
1810,de longa data,延長,93
8091,paso.,パソ,57
9595,salle.,沙汰,46
2651,hemoglobina,ヘモグロビン,90
8669,barato,安いです,53
6080,tia,叔母,69
14244,significa,手段,8
11713,jake,ジェイク,30
2408,vaporizador,汽船,88
6417,penhor,先生の,67
9284,mal sucedido,失敗しました,43
828,desaceleração,downt,98
10378,bruxa,魔女,38
1644,extraordinariamente,extra extra,94
6445,heron.,ヘロン,68
13708,apesar de,にもかかわらず,12
10953,cobertura,掩護,8
3074,recapturado,再捕獲された,68
3344,penteado,髪型,73
13021,mal,悪の,18
7676,inúmeros,無数に,60
3346,pauzinhos,箸,87
8211,copernicus.,コペルナクス,57
4425,invariante,不変,63
3499,vichy.,ビキシー,86
2688,padaria,ベーカリー,83
12629,nominalmente,名誉,9
8637,gêngis.,ジゲニス,53
10417,susan.,スーザン,40
7553,biomassa.,バイオマス,61
4506,aguardam,待つ,47
8301,realista,real然,49
11803,ex,元,29
11550,reprodução,再生,27
9235,aurora,オーロラ,49
13045,discoteca,ディスコ,18
9432,gaélico,ゲーリック,48
6580,ramon,ラモン,67
3032,flautim,ピッコロ,88
4066,poligamia,一夫多妻,83
847,althea.,アルテア,98
10346,estufa,温室,40
3097,desaprovação,不承認,74
10986,híbrido,ハイブリッド,36
11836,cinzas,灰,24
2946,cabras.,山羊,44
1995,tétano,破傷風,93
8667,marfim,象牙,53
10955,desativado,無効になって,34
10305,êxodo,ex ex,41
8026,hidrelétrica,水力発電性,53
13730,espanhol,スペイン語,12
4246,misturadores,シェーカー,72
6833,beira,ver,62
10698,reavaliado,再審,38
8898,botons.,ボタン,7
9637,varrendo,掃除,27
2452,dotado,gift,41
3048,caldeirão,釜,88
2215,codec.,コーデック,85
1289,ortodoxia,oroxy,95
12554,kennedy.,ケネディ,23
4324,deb.,デブ,68
14349,oferecido,提供された,6
12816,capturado,捕獲された,14
3164,ret.,退手,88
13170,orientar,ガイド,14
13993,cinco,五,8
9671,realizada,満足,36
1590,condensar,cond cond,49
10785,senso comum,昏倒,38
11354,sudão,スーダン,34
11825,pós-temporada,ポストシーズン,29
14374,dezembro,12月,6
4800,expondo,露出する,34
10311,insalvazemente,uns uns,41
13107,drama,ドラマ,17
11085,castro.,カストロ,36
13415,mateus,マシュー,14
10391,pulando,ジャンピング,8
7757,romantismo,ロマン主義,59
7562,ponce.,ポネチー,61
11954,escravidão,汚い,28
2170,cônsul,領事,61
2658,plebiscito,プレビセンタ,89
1451,osteologia,骨髄学,95
13343,apropriadamente,ちゃんと,15
4113,tendencioso,tend tend,81
12157,gap = vão,ギャップ,25
11738,gregoriano,グレゴリア,30
5909,berg.,バーグリー,72
11125,menor,より少ないです,36
12819,presumir,推定,14
9128,bytes.,バイトー,43
3554,omni.,オムニ,86
3132,montague,モンタグ,88
13524,eco,エコー,13
6115,drasticamente,劇的に,52
4125,ápice,頂点,81
4470,albinismo,アルビニズム,77
10848,carrismo,カーリー,38
3885,acne,にきび,84
12267,odiar,嫌い,23
9306,policiais,警官,48
9522,dal.,d.,47
920,aquarela,水彩,97
399,bicarbonato,重炭酸塩,100
7400,archie.,アーカイー,62
1707,bola fogo,火球,91
1539,magnon.,マグノン,95
1506,égide,aegis,95
6709,meio-campo,ミッドフィールド,52
11612,blair,ブレアー,31
6109,alastrador,アレスタ,70
10303,folha,葉,22
5290,urdu,ウルドゥー,75
11208,hollywood,ハリウッド,35
3632,desproporcional,不釣り合いになる,78
11616,racismo,人種差別,31
13826,estive,された,5
1860,músher,官能,73
469,esgueirado,sned,50
13083,desenhar,描く,14
1209,mais escuro,最も暗い,96
4230,pulmonar,肺の,81
13550,5 ª,5日,13
3884,galinha,家禽,83
5757,aparafusar,ねじ込む,38
14304,cair,秋,12
5334,propano,プロパン,75
11951,censo,c c,28
9877,console,コンソール,33
3156,sacerdócio,神権,88
1871,fluente,流暢,93
777,perturbado,取り乱した,98
9017,unha,爪,29
7748,tum.,tum tum,60
4609,clad,クラッドする,76
5244,rattlers.,ラタラー,74
5229,cáspio,カスピアン,76
2767,cerberus.,セルベス,89
4092,tutu.,タツゥー,83
9177,morango,いちご,48
13505,arbitragem,仲裁,13
3320,remessas,出荷,65
11676,jacarta,ジャカルタ,31
11263,boné,キャップ,23
3081,subtrair,減算する,61
5188,evergreen,常緑樹,76
7774,brookie.,ブルーキー,60
1951,moop.,ムオップ,93
12762,águia,鷲,14
8995,saga,佐賀,50
13070,alcançar,到着,9
544,dioxin.,ダイオキシン,99
762,newsroom,ニュースルーム,96
14131,vezes,時代,5
5584,prato,皿,61
4339,cowan.,カワン,81
11745,algodão,コットン,30
11001,fe,フェール,37
2469,capitalizado,大文字,68
10593,radical,ラジカル,33
191,ostentação,派手な,100
9232,explodido,バースト,45
1224,capitania,大尉,96
6634,sem ganho,勝ち,67
6571,messias,救世主,67
12734,comunidade,連邦,21
12507,brunswick.,ブランズウィック,23
3185,covarde,腰抜け,78
6795,modular,基本単位,63
3879,temerário,命知らず,80
7647,adventista,冒険主義者,57
11563,metropolitano,メトロポリタン,32
4502,starship.,スターシップ,80
5530,blurb.,ぼんやら,71
8179,bach,バッハー,56
2006,carpinteiros,大工,46
13327,movimento,動き,14
4523,marathi.,マラティー,80
