ID,PORTUGAIS,KOREAN,INTERVAL
542,tees.,티즈,66
819,até agora,지금까지,98
6249,desfavoraveis,불리한,60
14014,ao menos,최소,5
9050,lisboa,리스본,51
9652,antecipado,예상했다,37
9527,separação,분리,13
14340,recusou,거절했다,13
2542,waller.,월거,90
6508,rowan.,마가목,68
10927,plástico,플라스틱,35
10035,pouco,근소한,42
497,riviera.,리비에라,99
13611,grilo,크리켓,12
10643,girou,자은,38
10408,herr,류,40
9369,térmico,열의,48
7279,prev.,예전,62
3498,competência,진보,73
4128,baile de formatura,겁 많은,81
588,horda,큰 떼거리,86
759,desodorante,탈취제,95
9588,da mesma forma,비슷하게,46
13977,querer,원하다,5
9968,pimenta,칠리,43
4852,desempregados,한가한,50
9267,libéria,라이베리아,49
5898,marxismo,마르크스주의,71
10618,tibetano,티베트어,35
6988,miau,야옹,64
10931,materiel,소성품,37
3671,diagonal,대각선,77
13423,mais cedo,더 일찍,14
4840,peito,자세,72
4064,hooliganismo,난폭,62
10115,pára,파라,41
10743,linguista,언어학자,31
8013,totalmente,완전히,58
11938,queijo,치즈,28
11502,trinidad.,트리니다드,32
5844,piet.,윤활유의,72
1055,descobridores,발견 자,71
8688,peppers.,피망,31
1630,desertificação,사막화,94
11825,pós-temporada,포스트 시즌,29
9932,heath.,히스,44
10221,aspirador,후버,41
4328,patsy.,팻시,80
13527,tecnologia,기술,12
7005,acústico,음향학,59
6537,coolidge.,냉각 장치,67
6674,rodman,로드 맨,66
8424,horace,호레이스,55
14365,homens,남자들,9
12037,boba,바보 같은,24
12417,barra,술집,21
13963,ter,소유하다,7
4173,federalista,연방 주의자,80
2210,dormiu,잤다,91
3149,sacristão,육안,88
12991,dallas.,달라스,19
7074,mórmons.,몰몬교,31
11350,parceria,협력 관계,31
9878,mitch.,미치,44
14090,washington,워싱턴,9
4833,parramatta.,파라 마타,78
5189,flair.,예민한 후각,76
158,limbo,림보,100
5816,evita,피하십시오,6
2089,não envolvido,uninolved.,92
1170,blazing,타오르는,48
2821,dang,잡스,88
2182,pátio,안마당,91
9013,demitir-se,사직하다,25
7785,salamandra,도롱뇽,59
11738,gregoriano,그레고리 인,30
7241,dunk.,덩크,59
5918,sem título,제목 없어,71
13395,cor,색깔,12
9817,bruxo,마법사,31
7181,sulfato,황산염,62
11042,marlin.,마람,29
14300,operação,작업,6
3729,índio,인듐,85
12420,alguém,어떤 사람,24
1471,gilgamesh.,길가 씨,95
6830,polímero,고분자,62
12450,pato,오리,19
3752,rambler.,람돌이,82
11901,polegada,인치,20
5296,ninhada,깃,63
13052,fé,믿음,17
8928,kimchi,김치,51
12497,corredor,달리는 사람,18
12680,vigarista,범죄자,18
595,sidi.,시디,99
8530,titânio,티탄,54
3380,conscientemente,알고 있으면서,86
12574,moore.,무어,22
6998,pirulito,사탕 과자,63
9535,adiado,연기 됨,41
13602,quinto,다섯 번째,12
13631,portal,문,12
2904,inverness,인버네스,88
10519,fera,짐승,37
2238,carfax.,십자로,91
3235,meningite,수막염,86
4777,sindicalista,노동 조합원,68
9291,istambul,이스탄불,49
7123,yuan,원,63
12336,imigração,이민,21
489,empurrão,지지,76
7142,saia,브레이크 아웃,63
1660,carpa,잉어,82
13164,função,역할,15
520,desacontável,비정상적인 것,94
1986,não explodido,익숙하지 않은,93
13483,calendário,달력,13
2413,tendão,건,88
11400,warner.,워너,33
5843,esmeril,금강사,72
8138,xii.,제 1 차,57
7503,lírio,백합,60
2305,carboxilase.,카르 복실 아제,91
5414,flutuabilidade,부력,75
9466,niágara,나이아가라 폭포,47
12711,ônibus,버스,20
3381,miniaturas,미니어처,60
13750,oportunidade,기회,11
6572,antecipadamente,미리,67
4105,sakai.,사카이,82
12763,von.,폰,21
4556,prima.,프리마,79
4445,primeiro plano,전경,80
1974,maulana.,마운나,93
4726,backlog.,백 로그,75
7631,enseada,후미,61
9550,antártica,남극,47
14279,linhas,윤곽,8
2684,ultramarina,울트라 마린,90
5058,perdida,박탈,60
4303,insubstituível,바꾸어 놓을 수 없는,79
12358,doutor,의사,19
4615,sem importância,중요하지 않은 것,79
9526,urânio,우라늄,47
4788,halas.,힐라스,74
9901,gravidez,임신,44
462,contrastado,대조적 인 것,32
13943,desligado,끄다,8
1109,rosicruz,로사 루시아,97
516,guernsey.,건지,99
6947,fidelidade,충성,63
11728,milão,밀라노,30
12102,protocolo,규약,25
14275,lan,란,59
12756,móvel,이동하는,15
4085,whiz.,윙,82
12903,oakland,오클랜드,19
11553,mais difícil,더 힘들어,31
10384,retirar o,철회하다,25
4857,esquife,편주,74
5595,asilo,보호 시설,71
12879,iraquiano,사람,19
12032,cornix.,모퉁이,27
5577,keto.,케토,73
1152,goldie,금주,95
4503,meteorito,운석,68
11314,quem quer,누구나,34
1200,spiegel.,스피 겔,97
11234,brigadeiro,준장,34
4426,burocracia,관료,79
6373,chloe.,클로에,68
8852,macacos.,원숭이,22
11039,colônia,식민지,21
14127,pontos,포인트들,6
13517,impresso,인쇄물,11
8985,elaborar,정교한,43
877,enganoso,피하는,97
10282,derbyshire,더비 셔,41
11920,manhattan,맨해튼,28
4248,devi.,데이코,82
8714,surpreendentemente,놀랍게도,53
14262,corporativo,기업,15
2122,lanceta,랜싯,92
8036,diabos,지하실,58
9643,julgamento,심판,43
9966,retomar,이력서,28
8521,despachou,파견,45
12168,perseguir,뒤쫓다 다,22
1117,escória,광재,92
7996,camden,캠든,58
1729,sociológico,사회학,41
11809,kerry.,케리,29
9912,residencial,주거,44
9597,rouba,훔친다,30
352,ragtime,래그 타임,100
7090,vacina,백신,53
10699,absoluto,순수한,22
3150,desligar,일시 휴업,86
8764,fresno,프레스노,53
3916,bolota,도토리,81
13157,gif.,기한,17
2035,berçário,양식장,92
1628,pinhole,핀 홀,94
14000,do utilizador,사용자,5
3110,nadir,최하점,87
13422,joseph,요셉,14
6522,pio,피어스,66
2561,stockman.,주식 박사의,90
9581,evade,피하다,39
3750,anágua,페티코트,77
680,arqueólogo,고고학자,88
5821,preparação,예습,69
7217,reese.,리즈,62
1938,cognizant.,찬양 한 것,91
1216,bizet.,바이조트,97
8364,núcleo,핵,56
11337,merda,똥,33
11262,xi,서기,34
13682,carolina,캐롤라이나,12
12404,ross.,로스,24
2477,escoamento,흘러 넘치다,90
946,blenheim.,황금빛 사과,97
7876,plâncton,플랑크톤,59
2478,pica-pau,딱따구리,90
153,anestesia,마취,100
11067,mais forte,가장 강하다,36
115,alg.,알약,100
9268,encontro,맞닥 뜨리다,27
10272,xangai,상하이,41
1781,lys.,꼬리표,76
1391,bando.,반다,96
6663,ergonomia,인간 공학,66
2049,kwan.,콴,92
1316,mambo.,맘보,96
3959,castanha,밤나무,81
11270,progressivo,진보적 인,16
1319,harpia,하피,96
10979,notação,표기법,34
3205,hap,우연,86
1701,blanca,블랑카,94
5529,duluth,덜 루스,74
1503,cornish.,콘월 말,95
8167,participantes,참가자,50
14135,dos,도스,5
10890,einstein.,아인슈타인,37
12643,convidamos,초대장,6
8573,hubble,허블,54
2861,bastões,지팡이,56
971,tinir,징글 마차,90
12982,inicialmente,초기에,12
2428,witten.,새끼 른,91
107,figaro.,무역의,100
351,pesky.,페살,100
6167,brigue,영창,69
12761,cabelo longo,긴 머리,21
2660,richest.,가장 부유 한,90
2498,paloma.,팔로마,90
2330,litografia,석판화,83
6270,guinness,기네스,69
4451,mangue,맹그로브,80
11838,che,마,29
123,yakima.,야키 마,100
1141,figo,도형자,97
6593,favela,빈민굴,64
5842,sulco,홈,63
12753,janelas,윈도우,11
4382,parente,혈연,80
4213,tesla.,테슬라,82
9886,greco,그레코,44
6860,reside,거주하다,18
10540,okinawa.,오키나와,39
1456,desamparado,어찌할 수 없는,91
9387,crewner.,크루어,48
11487,defender,지키다,14
4054,rampa,비탈길,74
4955,axel.,축삭,77
10936,letônia,라트비아,37
5794,trivium.,수렵,72
8472,tifinagh.,티 핀지,55
9458,cova,무덤,37
799,snipes.,저격,80
4869,fragmento,파편,46
13842,ano,년도,6
2173,dehydratase.,탈수 효소,91
4351,fy.,그거,81
3122,espartilho,코르셋,71
8996,sussurrar,속삭임,31
3108,impala.,임팔라,87
7184,vingadores,수수께끼들,40
6341,esposas,아내,68
2954,atado,엮여서,59
4695,wacker.,포커 즈,79
2409,acupuntura,침 요법,91
6104,não autorizado,무단으로,70
5212,honrafics.,명예 론자,67
1639,menstrual,생리의,94
7171,carney.,카니,63
6859,emprega,고용,21
2423,newsworthy.,뉴스 가치가있는 것,90
9243,cantou,노래하다,49
9501,gangues,갱단,22
5116,comp,...을 찍다,76
3457,osprey.,물수리,78
13694,defesa,방어,10
2710,liquidado,팔아 버리다,86
3890,sena,세나,83
13748,baseball,야구,12
10176,lahore.,라호르,42
10053,hulk.,폐선,42
10084,hipótese,가설,42
8340,olympia.,올림피아,56
13281,primário,일 순위,15
1772,assexual,성기이 없는,86
8467,tien.,티엔,55
10867,de repente,갑자기,37
9592,militante,무장 함,29
11278,príncipe,전제,34
28,difração,회절,100
3218,supersônico,초음속,56
890,semântica,의미 론적,69
8829,thor.,토르,52
1439,curar,치유하다,57
808,putsch,푸시 슈,98
6470,fortificado,확고히 하는,62
12012,broncos.,브론 코스,27
5724,malabarismo,저글링,71
1422,transcendental,탁월한,69
11686,nova iorque,뉴욕,30
11418,espelho,거울,30
9273,desmatamento,삼림 벌채,48
5373,indochina,인도 차이나,75
5221,assimétrico,양방향,76
3933,prematuramente,조기에,50
5452,kan.,칸자,74
2885,mopper.,모핑퍼,88
13155,célula,셀,15
4981,incesto,근친 상간,77
6953,videira,덩굴,58
7367,marxista,마르크스 주의자,58
9074,espalhado,뿔뿔이 흩어진,44
13057,inc.,주식 회사,18
1398,fenilo,페닐,95
13532,anteriormente,이전에,13
5144,hatcher.,부화자,76
8022,tingir,물든 색,53
7392,açougueiro,푸줏간,57
4034,currículo,과정,82
6703,nemo.,네모,66
11295,suprimentos,용품,18
5644,valsa,왈츠,67
5413,transcendência,초월,68
13221,diretamente,곧장,16
7758,sith.,스틴,60
9680,quiddity,본질,46
7964,alarme,경보,47
8735,kai.,카이,53
9318,cerca de,...경,48
13546,costa,해안,12
8178,exportar,내 보내다,38
11745,algodão,면,30
5166,libre,리버르,75
13867,se,만약에,5
10017,johannes.,요하네스,43
3341,butadiene,부타디엔,87
7984,hyde.,하이드,58
10258,espectadores,관중들,38
6850,mofo,곰팡이,55
3145,drruze.,드루즈,88
11066,aleatoriamente,무작위로,36
3906,saharan,사하라,83
2575,miliciamen.,민활암,90
8882,caixa de velocidade,변속 장치,51
9598,humor,기분,38
3863,água limpa,깨끗한 물,83
12390,nova,신성,24
2633,booster.,부스터,76
3171,aleijado,찌꺼기,73
7812,smithers.,밀리 즈,59
9896,lema,금언,41
7919,setenta,칠십,47
137,poroso,다공성,100
2491,jekyll.,제류도,90
8236,zumbido,버저 소리,55
4675,ib.,도형,79
12703,favorito,가장 좋아하는,20
4443,aquático,물의,46
14129,nunca,절대,10
12136,bangladesh,방글라데시,27
13958,meses,달,10
8025,duquesa,공작원,58
10486,cirurgia,수술,39
10290,cívico,시민,40
13049,luna,루나,18
12343,dirigiu,운전했다,25
9768,tensões,긴장감,34
5047,reddy,레디,77
711,desserviço,해,98
2662,dominus.,도미 러스,90
3768,exótico,이국적인,81
11223,somália,소말리아,34
6649,connie.,코니,59
7381,à mão,능숙한,62
12414,livremente,자유로이,24
9266,martinez.,마르티네즈,49
2416,congênito,타고난,90
9602,sessenta,육십,41
7597,pá,스페이드,55
10554,flores.,플로레스,39
5748,cubismo,입체파,73
12609,mil,밀,22
12739,ouvir,듣다,17
3105,ingrediente,재료,69
8310,mesopotâmia,메소포타미아,56
3056,bartholomew.,바르돌로메이트,88
10702,barril,통,35
4566,passo,보폭,74
11781,divisional.,부서의,30
10279,praça,큰 광장,41
7460,atirador,사수,53
9217,pré-histórico,선사 시대,49
5356,shiva,시바의,75
1126,bannister.,배나,97
8463,ópio,아편,55
10957,argolas,반지,17
8495,apache,아파치,52
13640,fracassado,실패한,10
13975,segundo,두번째,7
6231,greenwood,그린 우드,69
8690,hicks.,힉스,49
5722,gopher.,부지런한 사람,37
13167,gogo,고고,17
9380,solipsist.,독창적 인,48
10347,inteiros,정수,32
12623,papai noel,산타,22
13718,rio,강,11
11356,homem verdadeiro,진실 된 사람,33
6175,wheely,밑에서,67
8058,granada,그레나다,58
1277,polska.,폴 즈카,96
11427,irmã,자매,27
9738,silêncio,고요,40
1070,skye.,스카이,97
9294,monitoramento,모니터링,16
8739,psicológico,심리학,32
10227,coelho,토끼,40
14180,julho,칠월,6
7525,disjuntor,파쇄기,48
4498,hipertensão,고혈압,80
11163,civilização,문명,11
10796,budismo,불교,38
6888,leucemia,백혈병,65
10888,atingiu o pico,뾰족한,14
1970,hardcover,하드 커버,93
6621,queimada,부시 파이어,54
11783,representa,대표,7
11636,comparar,비교하다,11
476,metabolite,대사 산물,93
2088,debussy.,쇠약 해지는 것,92
5160,acometido,맞은,76
11280,calouro,신입생,34
13375,enzima,효소,14
10607,reno.,라인저,38
3570,com ciumes,질투하는,85
4592,machuca,아프다,34
12512,assistindo,보고있다,12
12294,otan.,나토,25
4234,tweed,트위드,81
4836,micropenis.,마이크로 페니스,78
4341,esopo,이솝,81
13478,jackson.,잭슨,13
8702,derrubar,타도,51
13668,entrou,입력,10
11823,homo,호모,29
14074,distante,멀리,8
3395,kimbo.,김보,86
4565,quarl.,홀드,79
52,batimento cardiaco,하트 비트,99
10647,bacquet.,바래 켓,38
101,hindustão,힌두 스탄,100
9464,tempo de guerra,전시,47
9684,parênteses,괄호,46
7206,estímilos,준준결승,63
9544,sammy.,미국 병사,47
12337,contexto,환경,9
10930,sparta.,스파르타,37
11618,yorkshire.,요크셔,31
4873,rappers.,래퍼,27
6778,flauta,플루트,63
290,esquemático,개략도,96
9199,asterisco,별표,47
4634,resfriar,quell.,69
13972,arquivo,파일,6
11115,barcelona.,바르셀로나,35
11575,organização,조직,20
12631,cinza,회색,22
6217,equestre,승마자,65
11330,cia.,시아,34
218,nitrofenol.,니트로 페놀,100
7905,gin,진,59
12041,fresco,신선한,27
4953,levião,lev.,77
3780,deteriorado,열화 된 것,61
2767,cerberus.,케르베로스,89
12762,águia,독수리,14
6990,argamassas,박격포,38
10776,imagine,상상하다,30
3641,caderno,공책,80
12142,escapar,탈출하다,21
7149,missionário,전도사,55
10333,dar.,대표자,41
8946,paciente,인내심있는,38
7517,centros,중앙,15
8652,moo.,음매,53
13704,dirigir,운전하다,10
6951,buick.,뷰익,64
2220,pragas,재앙,37
11714,anaheim.,애너하임,30
857,metadona,메타돈,97
13799,que,저것,5
10762,alinhar,라인업,37
13598,destaque,특집,9
2295,outplayed.,꺼려,90
2329,taxa escolar,수업료,91
9197,bumblebee.,호박벌,49
14009,desempenho,성능,10
4703,adversários,적의들,67
103,coronariano,관상관,100
3841,bumerangue,부메랑,83
7965,wilt.,이울다,57
5614,jumbo.,커다란 것,71
4479,sportsmanship,운동가 정신,80
2320,linha de base,기준선,88
4313,vendedor ambulante,호커,81
3790,ciclista,자전거 타는 사람,57
7040,audiências.,관객,28
1780,vigorosamente,격렬하게,65
528,hayne.,헤이네,99
7581,abate,학살,54
13928,grupo,그룹,7
13725,regular,정기적 인,12
9322,exterior,집 밖의,44
6111,nêmesis,네메시스,70
835,wali.,왈리,98
1311,dachshund.,닥스 훈트,96
12474,tratado,조약,18
10034,lágrimas,눈물,33
13641,oito,여덟,12
1933,marauder.,약탈자,80
4038,ária,아리아,67
14497,ler,읽다,5
7331,roteador,라우터,61
249,newsweek,뉴스웨어,100
976,patriarcas,족장들,81
3946,bastardos,놈들,54
4758,paperback,종이 표지판,72
6110,coppa.,콥도어,70
12259,arquivos,아카이브,12
3450,rodapé,보행인,83
10249,epsilon.,엡실론,41
11837,frango,닭,28
1546,padre.,파라사,42
636,lich,리치,99
13472,mais alto,더 높은,14
8548,vilões,악당,46
5147,cervantes,세르반테스,76
1650,vibrante,떠는,94
675,curiosamente,흥미롭게,93
7032,rhodesia.,로도디아,64
6803,pollard.,오색자,65
3521,kannada,칸나다,86
7555,granito,화강암,61
12555,religioso,종교의,23
13159,crise,위기,17
9767,plantas.,식물,15
3589,motocicletas,오토바이,25
7467,transparência,투명도,45
10216,credibilidade,믿을 수 있음,25
13711,ilhas.,제도,9
12506,reitor,학장,23
11305,vulcão,화산,32
13872,porque,왜냐하면,7
1685,falo,phallus.,94
3758,perseu,페르세우스,84
1530,medicare.,메디 케어,95
3220,ondulado,떨리는,86
12362,packers.,포장업자,24
3988,citoplasma,세포질,81
9345,trabalho de casa,숙제,48
11544,assento,좌석,19
13810,isto,그것,5
5337,agulha,바늘,69
435,francium.,프랑크리,100
11557,shakespeare.,셰익스피어,31
12922,prova,증거,18
6385,assim que possível,최대한 빨리,68
11862,cabeçalho,머리글,9
9570,agricultores,농부들,38
13538,conformidade,규정 준수,13
5565,abertura,서장,70
13551,significou,의미했다,13
12929,triplo,삼루타,18
5076,pedaço,큰 덩어리,53
10098,anal,항문,42
8321,cístico,낭포산물,56
541,sinhalês,신 할 일,99
10391,pulando,점프,8
10574,netuno,해왕성,38
12759,religião,종교,20
1581,adereços,소품,61
2552,invencível,무적이다,88
93,microprocessadores,마이크로 프로세서,74
12301,varredura,주사,18
10309,acompanhado,동행했다,18
12789,vítimas,사상자,18
3252,considerável,상당한 것,87
1124,estrume,비료,97
2234,mochileiro,히치 하이커,84
9208,centavos,텐트,25
2332,trilhão,일조,89
12232,panamá,파나마,26
5382,denotar,...을 나타낸다,28
2418,rio abaixo,하류,91
13830,também,또한,5
4384,snapper,도미,64
3183,russo.,책략,87
11038,pântano,습지,35
7,carbonite,탄산염,100
6840,pesado-pesado,헤비급 선수,64
6439,pancada,파워,53
3170,tirania,포학,82
3090,mensch.,멘제치,88
1360,pelé,펠넷,96
14089,começou,시작했다,9
7897,encalhado,좌초 된 것,48
1401,margarita,마가리타,95
4367,redesenvolvimento,재개발,62
13699,daniel,다니엘,12
4771,mangusto,몽구스,79
10521,pobreza,빈곤,39
14488,democrático,민주적,14
5825,rebanho,떼,66
12320,gloria,글로리아,25
8202,querida,여보,56
14195,em vez de,꽤,6
2598,obra-prima,걸작,82
4920,etileno,에틸렌,78
343,termita,테르밋,100
7882,potente,유력한,58
11351,difundido,펼친,33
11248,infinidade,무한대,34
7045,aritmética,산수,63
1023,sade.,침묵하다,97
7038,céus,하늘,26
6612,trator,트랙터,62
9892,platina,백금,44
12542,peixe,생선,20
12618,cabo,케이블,21
317,connex.,넥타이,100
8803,pong.,탁구,52
3444,nuke.,뉘른,79
3250,pinball.,핀볼,86
10539,doutrina,교의,38
1382,minguante,닦는 것,81
12629,nominalmente,명목상,10
2673,polimerização,중합,87
2275,aquila.,아퀼라,91
13102,dakota,다코타,17
2799,stentor.,스테토르,89
509,sem data,삭제되지 않았다,99
1191,inalação,흡입,73
12026,resgate,구조하다,24
9786,terminologia,술어,45
1819,skidoo,스키보드,93
9348,dante.,단테,48
13825,dele,그의,6
1842,noites,야간,93
2700,caras,녀석들,24
9815,pendurado,교수형,31
1943,calmaria,달래다,90
5792,equinócio,춘분,68
3361,metilfenidato,메틸페리드,86
11507,mg.,마약,32
3488,calypso.,칼립소,86
8280,bloqueio,봉쇄,52
247,lisina,라이신,100
1532,kiowa.,키오 오와,95
9740,derramar,붓다,38
13988,interesse,관심,8
14108,investimento,투자,27
8771,feitos,증서,48
2793,soleil.,솔레 이유,89
5605,popularmente,대중적으로,73
5740,veterinário,수의사,73
3563,eras.,시대에,16
7959,um pedaço,한 조각,59
8819,escavação,파기,43
5136,norma,노마,76
13283,sydney.,시드니,16
5139,dabbler.,허수기,76
12595,sólido,단단한,22
6785,acetil,아세틸,64
538,tributável,과세 대상,99
9063,redutase,환원 효소,50
12576,sentido,펠트,23
14251,uma vez,한 번,9
10389,flagstaff.,깃대,40
10604,shopping,쇼핑,24
1919,mural,벽화,87
2547,alface,상추,90
1344,malha,망사,91
11892,convenções,협약,13
12059,marcas,점수,7
12491,de agosto,8 월,23
9087,corresponde,해당합니다,25
2651,hemoglobina,헤모글로빈,90
1697,caligrafia,달필,94
1923,latimer.,차이점,93
5303,wiking.,와이킹,75
3070,conotações.,의미,62
11678,bermudas,버뮤다,30
7845,euler.,오일러,59
5986,monde.,몬드,71
402,mana.,마나,97
3242,rapé,코담배,87
8896,holt.,잡목 숲,51
861,redigido,redacted.,93
11045,argumentado,주장했다,19
5534,olympus.,올림포스 산,74
6206,ofuscado,overshadowed.,65
13533,juan.,후안산,13
10445,pescoço,목,38
3125,sem precedentes,정체적이다,82
10315,areia,모래,34
11473,drake,드레이크,32
7481,usher.,수위,57
2493,albatroz,신천옹,90
4824,distribuidor,유통 업체,68
13099,maior,가장 큰,17
3154,não afetado,영향을받지 않아,88
7650,quartermaster.,쿼터 마스터,60
9992,bolsa de estudo,장학금,41
5007,usenet.,유즈넷,77
2240,sane.,제정신,91
12716,técnico,전문인,15
6481,buffy.,버피,68
1073,bayou.,베요,97
13865,nós,우리,5
13429,nove,아홉,14
13677,duplicado,복제하다,11
4352,palma.,팔마,81
10257,palma,손바닥,38
9447,dei.,데이,47
10507,pânico,공황,39
3027,topázio,황옥,88
7473,placar,스코어 보드,61
1194,fanfarra,과시,97
11215,baseman,지저귐,35
11482,revolucionário,혁명가,31
6583,largura de banda,대역폭,66
