,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
80,reconnaître,"to recognize, to acknowledge",verbes a connaitre en,Oui,to recognize to acknowledge,recognize acknowledge,recognize acknowledg,reconnaître,reconnaître,reconnaîtr
81,refuser,to refuse,verbes a connaitre en,Non,to refuse,refuse,refus,refuser,refuser,refus
82,"regarder, voir","to watch, see",verbes a connaitre en,Non,to watch see,watch see,watch se,regarder voir,regarder voir,regarder voir
83,rencontrer,"to meet, to encounter",verbes a connaitre en,Oui,to meet to encounter,meet encounter,meet encount,rencontrer,rencontrer,rencontr
84,rendre,"to return something, to give back",verbes a connaitre en,Oui,to return something to give back,return something give back,return something give back,rendre,rendre,rendr
85,rentrer (à la maison),to go home,verbes a connaitre en,Non,to go home,go home,go hom,rentrer à la maison,rentrer maison,rentrer maison
86,répéter,to repeat,verbes a connaitre en,Non,to repeat,repeat,repeat,répéter,répéter,répéter
87,répondre,"to answer, to reply",verbes a connaitre en,Non,to answer to reply,answer reply,answer repli,répondre,répondre,répondr
88,ressembler,to look like,verbes a connaitre en,Oui,to look like,look like,look lik,ressembler,ressembler,ressembl
89,rester,"to stay, to remain",verbes a connaitre en,Non,to stay to remain,stay remain,stay remain,rester,rester,rester
90,retourner,"to return, to come back",verbes a connaitre en,Non,to return to come back,return back,return back,retourner,retourner,retourn
91,retrouver,"to find, to meet up, to regain",verbes a connaitre en,Non,to find to meet up to regain,find meet regain,find meet regain,retrouver,retrouver,retrouv
92,réussir,to succeed,verbes a connaitre en,Non,to succeed,succeed,succeed,réussir,réussir,réussir
93,revenir,"to come back, to return",verbes a connaitre en,Non,to come back to return,back return,back return,revenir,revenir,revenir
94,rire,to laugh,verbes a connaitre en,Non,to laugh,laugh,laugh,rire,rire,rire
95,s’asseoir,to take a seat,verbes a connaitre en,Oui,to take a seat,seat,seat,s’asseoir,’ asseoir,’ asseoir
96,s’endormir,to fall asleep,verbes a connaitre en,Oui,to fall asleep,fall asleep,fall asleep,s’endormir,’ endormir,’ endormir
97,savoir,to know,verbes a connaitre en,Non,to know,know,know,savoir,savoir,savoir
98,se laver,to wash oneself,verbes a connaitre en,Oui,to wash oneself,wash oneself,wash oneself,se laver,laver,laver
99,se reposer,to take a rest,verbes a connaitre en,Oui,to take a rest,rest,rest,se reposer,reposer,repos
100,se réveiller,to awake,verbes a connaitre en,Non,to awake,awake,awak,se réveiller,réveiller,réveiller
101,"se souvenir, se rappeler","to remember, remember",verbes a connaitre en,Non,to remember remember,remember remember,remember rememb,se souvenir se rappeler,souvenir rappeler,souvenir rappel
102,sortir,"to get out, to leave, to exit, to come out",verbes a connaitre en,Non,to get out to leave to exit to come out,get leave exit,get leave exit,sortir,sortir,sortir
103,suivre,"to follow, to pay attention",verbes a connaitre en,Non,to follow to pay attention,follow pay attention,follow pay attent,suivre,suivre,suivr
104,tenir,"to hold, to keep",verbes a connaitre en,Non,to hold to keep,hold keep,hold keep,tenir,tenir,tenir
105,tirer,"to pull, to draw (curtains…), to fire a gun",verbes a connaitre en,Oui,to pull to draw curtains… to fire a gun,pull draw curtains… fire gun,pull draw curtains… fire gun,tirer,tirer,tirer
106,tomber,to fall,verbes a connaitre en,Non,to fall,fall,fall,tomber,tomber,tomber
107,toucher,"to touch, to feel",verbes a connaitre en,Non,to touch to feel,touch feel,touch feel,toucher,toucher,toucher
108,tourner,to turn,verbes a connaitre en,Non,to turn,turn,turn,tourner,tourner,tourner
109,travailler,to work,verbes a connaitre en,Non,to work,work,work,travailler,travailler,travail
110,trouver,"to find, to discover",verbes a connaitre en,Non,to find to discover,find discover,find discov,trouver,trouver,trouver
111,utiliser,"to use, to employ",verbes a connaitre en,Non,to use to employ,use employ,use employ,utiliser,utiliser,utilis
112,vendre,to sell,verbes a connaitre en,Non,to sell,sell,sell,vendre,vendre,vendr
113,venir,to come,verbes a connaitre en,Non,to come,,,venir,venir,venir
114,vivre,to live,verbes a connaitre en,Non,to live,live,live,vivre,vivre,vivr
115,voir,to see,verbes a connaitre en,Non,to see,see,see,voir,voir,voir
116,voler,to fly,verbes a connaitre en,Non,to fly,fly,fli,voler,voler,voler
117,vouloir,"to want, to wish",verbes a connaitre en,Non,to want to wish,wish,wish,vouloir,vouloir,vouloir
118,à l’envers,upside-down,verbes a connaitre en,Oui,upsidedown,upsidedown,upsidedown,à l’envers,’ envers,’ enver
119,à peine,scarcely,adverbes utiles,Oui,scarcely,scarcely,scarc,à peine,peine,pein
120,à plusieurs reprises,repeatedly,adverbes utiles,Oui,repeatedly,repeatedly,repeatedli,à plusieurs reprises,plusieurs reprises,plusieurs repris
121,à tort,wrongly,adverbes utiles,Oui,wrongly,wrongly,wrongli,à tort,tort,tort
122,absolument,absolutely,adverbes utiles,Non,absolutely,absolutely,absolut,absolument,absolument,absolu
123,accidentellement,accidentally,adverbes utiles,Non,accidentally,accidentally,accident,accidentellement,accidentellement,accidentel
124,activement,busily,adverbes utiles,Oui,busily,busily,busili,activement,activement,activ
125,actuellement,currently,adverbes utiles,Non,currently,currently,current,actuellement,actuellement,actuel
126,ailleurs,elsewhere,adverbes utiles,Oui,elsewhere,elsewhere,elsewher,ailleurs,ailleurs,ailleur
127,anormalement,abnormally,adverbes utiles,Non,abnormally,abnormally,abnorm,anormalement,anormalement,anormal
128,apparemment,"apparently, seemingly",adverbes utiles,Oui,apparently seemingly,apparently seemingly,apparently seemingli,apparemment,apparemment,apparem
129,approximativement,approximately,adverbes utiles,Non,approximately,approximately,approxim,approximativement,approximativement,approximativ
130,après,"after, afterwards",adverbes utiles,Oui,after afterwards,afterwards,afterward,après,après,aprè
131,assez,enough,adverbes utiles,Non,enough,enough,enough,assez,assez,assez
132,attentivement,closely,adverbes utiles,Oui,closely,closely,close,attentivement,attentivement,attentiv
133,au hasard,randomly,adverbes utiles,Non,randomly,randomly,randomli,au hasard,hasard,hasard
134,aussi,too ; also ; as well,adverbes utiles,Oui,too  also  as well,well,well,aussi,aussi,aussi
135,automatiquement,automatically,adverbes utiles,Non,automatically,automatically,automat,automatiquement,automatiquement,automatiqu
136,autrefois,"in the old days, in the past",adverbes utiles,Oui,in the old days in the past,old days past,old days past,autrefois,autrefois,autrefoi
137,autrement,"differently, otherwise",adverbes utiles,Oui,differently otherwise,differently otherwise,differently otherwis,autrement,autrement,autrement
138,aveuglement,blindly,adverbes utiles,Oui,blindly,blindly,blindli,aveuglement,aveuglement,aveugl
139,beaucoup,a lot,adverbes utiles,Non,a lot,lot,lot,beaucoup,beaucoup,beaucoup
140,bêtement,foolishly,adverbes utiles,Oui,foolishly,foolishly,foolishli,bêtement,bêtement,bêtement
141,bien,well,adverbes utiles,Non,well,well,well,bien,bien,bien
142,bientôt,soon,adverbes utiles,Non,soon,soon,soon,bientôt,bientôt,bientôt
143,bizarrement,oddly,adverbes utiles,Oui,oddly,oddly,oddli,bizarrement,bizarrement,bizarr
144,brièvement,briefly,adverbes utiles,Oui,briefly,briefly,briefli,brièvement,brièvement,brièvement
145,bruyamment,"loudly, noisily",adverbes utiles,Oui,loudly noisily,loudly noisily,loudly noisili,bruyamment,bruyamment,bruyam
146,calmement,calmly,adverbes utiles,Oui,calmly,calmly,calmli,calmement,calmement,calmement
147,certainement,certainly,adverbes utiles,Non,certainly,certainly,certainli,certainement,certainement,certain
148,clairement,clearly,adverbes utiles,Non,clearly,clearly,clearli,clairement,clairement,clairement
149,complètement,completely,adverbes utiles,Non,completely,completely,complet,complètement,complètement,complètement
150,confortablement,comfortably,adverbes utiles,Oui,comfortably,comfortably,comfort,confortablement,confortablement,confortabl
151,considérablement,greatly,adverbes utiles,Oui,greatly,greatly,greatli,considérablement,considérablement,considérabl
152,"constamment, sans cesse",constantly,adverbes utiles,Oui,constantly,constantly,constantli,constamment sans cesse,constamment sans cesse,constamment sans cess
153,correctement,"correctly, properly",adverbes utiles,Oui,correctly properly,correctly properly,correctly properli,correctement,correctement,correct
154,courageusement,"courageously, bravely",adverbes utiles,Non,courageously bravely,courageously bravely,courageously brav,courageusement,courageusement,courageus
155,couramment,fluently,adverbes utiles,Non,fluently,fluently,fluentli,couramment,couramment,couram
156,curieusement,curiously,adverbes utiles,Non,curiously,curiously,curious,curieusement,curieusement,curieus
157,d’habitude,usually,adverbes utiles,Non,usually,usually,usual,d’habitude,’ habitude,’ habitud
158,de plus en plus,more and more,adverbes utiles,Non,more and more,,,de plus en plus,plus plus,plus plu
159,debout,standing,adverbes utiles,Oui,standing,standing,stand,debout,debout,debout
160,délibérément,deliberately,adverbes utiles,Oui,deliberately,deliberately,deliber,délibérément,délibérément,délibérément
161,délicatement,daintily,adverbes utiles,Oui,daintily,daintily,daintili,délicatement,délicatement,délicat
162,dernièrement,"recently, lately",adverbes utiles,Non,recently lately,recently lately,recently l,dernièrement,dernièrement,dernièr
163,désespérément,"hopelessly, desperately",adverbes utiles,Oui,hopelessly desperately,hopelessly desperately,hopelessly desper,désespérément,désespérément,désespérément
164,désormais,from now on,adverbes utiles,Oui,from now on,,,désormais,désormais,désormai
165,difficilement,with difficulty,adverbes utiles,Non,with difficulty,difficulty,difficulti,difficilement,difficilement,difficil
166,doucement,"softly, gently, quietly",adverbes utiles,Oui,softly gently quietly,softly gently quietly,softly gently quietli,doucement,doucement,doucement
167,encore,again,adverbes utiles,Non,again,,,encore,encore,encor
168,énormément,"very much, enormously",adverbes utiles,Non,very much enormously,much enormously,much enorm,énormément,énormément,énormément
169,ensemble,together,adverbes utiles,Non,together,together,togeth,ensemble,ensemble,ensembl
170,ensuite,"next, then",adverbes utiles,Non,next then,next,next,ensuite,ensuite,ensuit
171,environ,about,adverbes utiles,Non,about,,,environ,environ,environ
172,étonnamment,surprisingly,adverbes utiles,Oui,surprisingly,surprisingly,surprisingli,étonnamment,étonnamment,étonnam
173,évidemment,obviously,adverbes utiles,Non,obviously,obviously,obvious,évidemment,évidemment,évidem
174,exactement,exactly,adverbes utiles,Non,exactly,exactly,exactli,exactement,exactement,exact
175,exceptionnellement,exceptionally,adverbes utiles,Non,exceptionally,exceptionally,except,exceptionnellement,exceptionnellement,exceptionnel
176,exprès,on purpose,adverbes utiles,Oui,on purpose,purpose,purpos,exprès,exprès,exprè
177,extrêmement,extremely,adverbes utiles,Non,extremely,extremely,extrem,extrêmement,extrêmement,extrêmement
178,facilement,easily,adverbes utiles,Non,easily,easily,easili,facilement,facilement,facil
179,finalement,eventually,adverbes utiles,Non,eventually,eventually,eventu,finalement,finalement,final
180,fortement,"heavily, strongly",adverbes utiles,Non,heavily strongly,heavily strongly,heavily strongli,fortement,fortement,fortement
181,franchement,frankly,adverbes utiles,Oui,frankly,frankly,frankli,franchement,franchement,franchement
182,heureusement,fortunately,adverbes utiles,Oui,fortunately,fortunately,fortun,heureusement,heureusement,heureus
183,honnêtement,"truthfully, honestly",adverbes utiles,Oui,truthfully honestly,truthfully honestly,truthfully honestli,honnêtement,honnêtement,honnêtement
184,immédiatement,"straight away, immediately, instantly",adverbes utiles,Oui,straight away immediately instantly,straight away immediately instantly,straight away immediately instantli,immédiatement,immédiatement,immédiat
185,inutilement,unnecessarily,adverbes utiles,Oui,unnecessarily,unnecessarily,unnecessarili,inutilement,inutilement,inutil
186,jamais,never,adverbes utiles,Non,never,never,never,jamais,jamais,jamai
187,légèrement,lightly; slightly,adverbes utiles,Non,lightly slightly,lightly slightly,lightly slightli,légèrement,légèrement,légèrement
188,lentement,slowly,adverbes utiles,Non,slowly,slowly,slowli,lentement,lentement,lentement
189,librement,freely,adverbes utiles,Oui,freely,freely,freeli,librement,librement,librement
190,longtemps,for a long time,adverbes utiles,Oui,for a long time,long time,long tim,longtemps,longtemps,longtemp
191,maintenant,now,adverbes utiles,Non,now,,,maintenant,maintenant,mainten
192,malheureusement,"unfortunately, sadly",adverbes utiles,Non,unfortunately sadly,unfortunately sadly,unfortunately sadli,malheureusement,malheureusement,malheureus
193,mystérieusement,mysteriously,adverbes utiles,Non,mysteriously,mysteriously,mysteri,mystérieusement,mystérieusement,mystérieus
194,n’importe où,anywhere,adverbes utiles,Non,anywhere,anywhere,anywher,n’importe où,’ importe où,’ importe où
195,n’importe quand,anytime,adverbes utiles,Non,anytime,anytime,anytim,n’importe quand,’ importe quand,’ importe quand
196,naturellement,naturally,adverbes utiles,Non,naturally,naturally,natur,naturellement,naturellement,naturel
197,normalement,normally,adverbes utiles,Non,normally,normally,normal,normalement,normalement,normal
198,nulle part,nowhere,adverbes utiles,Oui,nowhere,nowhere,nowher,nulle part,nulle part,nulle part
199,parfaitement,perfectly,adverbes utiles,Non,perfectly,perfectly,perfectli,parfaitement,parfaitement,parfait
200,"parfois, quelquefois, de temps à autre, de temps en temps",sometimes,adverbes utiles,Non,sometimes,sometimes,sometim,parfois quelquefois de temps à autre de temps en temps,parfois quelquefois temps autre temps temps,parfois quelquefois temps autre temps temp
201,partout,"everywhere, all over",adverbes utiles,Oui,everywhere all over,everywhere,everywher,partout,partout,partout
202,patiemment,patiently,adverbes utiles,Oui,patiently,patiently,patient,patiemment,patiemment,patiem
203,peut-être,perhaps,adverbes utiles,Non,perhaps,perhaps,perhap,peutêtre,peutêtre,peutêtr
204,premièrement,firstly,adverbes utiles,Non,firstly,firstly,firstli,premièrement,premièrement,premièr
205,presque,"almost, nearly",adverbes utiles,Non,almost nearly,almost nearly,almost nearli,presque,presque,presqu
206,probablement,probably,adverbes utiles,Non,probably,probably,probabl,probablement,probablement,probabl
207,proprement,neatly,adverbes utiles,Oui,neatly,neatly,neatli,proprement,proprement,proprement
208,prudemment,carefully,adverbes utiles,Non,carefully,carefully,care,prudemment,prudemment,prudem
209,quelque part,somewhere,adverbes utiles,Non,somewhere,somewhere,somewher,quelque part,quelque part,quelque part
210,rapidement,"rapidly, swiftly, quickly",adverbes utiles,Non,rapidly swiftly quickly,rapidly swiftly quickly,rapidly swiftly quickli,rapidement,rapidement,rapid
211,rarement,"rarely, seldom",adverbes utiles,Non,rarely seldom,rarely seldom,rarely seldom,rarement,rarement,rarement
212,séparément,separately,adverbes utiles,Non,separately,separately,separ,séparément,séparément,séparément
213,sérieusement,seriously,adverbes utiles,Non,seriously,seriously,serious,sérieusement,sérieusement,sérieusement
214,seulement,only,adverbes utiles,Non,only,,,seulement,seulement,seulement
215,silencieusement,silently,adverbes utiles,Oui,silently,silently,silent,silencieusement,silencieusement,silencieus
216,simplement,simply,adverbes utiles,Non,simply,simply,simpli,simplement,simplement,simplement
217,"soudainement, brusquement",suddenly,adverbes utiles,Oui,suddenly,suddenly,suddenli,soudainement brusquement,soudainement brusquement,soudainement brusqu
218,souvent,often,adverbes utiles,Non,often,often,often,souvent,souvent,souvent
219,strictement,strictly,adverbes utiles,Non,strictly,strictly,strictli,strictement,strictement,strictement
220,toujours,always,adverbes utiles,Non,always,always,alway,toujours,toujours,toujour
221,tout de suite,immediately,adverbes utiles,Non,immediately,immediately,immedi,tout de suite,tout suite,tout suit
222,tranquillement,quietly,adverbes utiles,Non,quietly,quietly,quietli,tranquillement,tranquillement,tranquil
223,très,very,adverbes utiles,Non,very,,,très,très,trè
224,vraiment,"really, truly",adverbes utiles,Non,really truly,really truly,really truli,vraiment,vraiment,vraiment
225,accompagner,to accompany,adverbes utiles,Oui,to accompany,accompany,accompani,accompagner,accompagner,accompagn
226,s’étendre / s’étaler,to spread out,verbes action et mouvements,Oui,to spread out,spread,spread,s’étendre  s’étaler,’ étendre ’ étaler,’ étendre ’ étal
227,accélérer,to accelerate,verbes action et mouvements,Non,to accelerate,accelerate,acceler,accélérer,accélérer,accélérer
228,aller,to go,verbes action et mouvements,Non,to go,go,go,aller,,
229,amener / apporter quelque chose,to bring,verbes action et mouvements,Non,to bring,bring,bring,amener  apporter quelque chose,amener apporter quelque chose,amener apporter quelque chos
230,applaudir,to applaud,verbes action et mouvements,Non,to applaud,applaud,applaud,applaudir,applaudir,applaudir
231,atteindre / rejoindre,to reach,verbes action et mouvements,Non,to reach,reach,reach,atteindre  rejoindre,atteindre rejoindre,atteindre rejoindr
232,attraper,to catch,verbes action et mouvements,Oui,to catch,catch,catch,attraper,attraper,attrap
233,augmenter / récolter,to raise,verbes action et mouvements,Non,to raise,raise,rais,augmenter  récolter,augmenter récolter,augmenter récolt
234,avaler,to swallow,verbes action et mouvements,Non,to swallow,swallow,swallow,avaler,avaler,aval
235,avancer,to advance,verbes action et mouvements,Non,to advance,advance,advanc,avancer,avancer,avanc
236,bailler,to yawn,verbes action et mouvements,Oui,to yawn,yawn,yawn,bailler,bailler,bailler
237,boire,to drink,verbes action et mouvements,Non,to drink,drink,drink,boire,boire,boir
238,bondir / sauter,to leap,verbes action et mouvements,Non,to leap,leap,leap,bondir  sauter,bondir sauter,bondir saut
239,bouger / se déplacer,to move,verbes action et mouvements,Non,to move,move,move,bouger  se déplacer,bouger déplacer,bouger déplac
240,casser / briser,to break,verbes action et mouvements,Non,to break,break,break,casser  briser,casser briser,casser bris
241,chercher / rechercher,to look for,verbes action et mouvements,Non,to look for,look,look,chercher  rechercher,chercher rechercher,chercher recherch
242,chuchoter,to whisper,verbes action et mouvements,Oui,to whisper,whisper,whisper,chuchoter,chuchoter,chuchot
243,cligner des yeux,to blink,verbes action et mouvements,Oui,to blink,blink,blink,cligner des yeux,cligner yeux,cligner yeux
244,compter,to count,verbes action et mouvements,Non,to count,count,count,compter,compter,compter
245,construire,to build,verbes action et mouvements,Non,to build,build,build,construire,construire,construir
246,crier,to yell,verbes action et mouvements,Oui,to yell,yell,yell,crier,crier,crier
247,cuisiner,to cook,verbes action et mouvements,Non,to cook,cook,cook,cuisiner,cuisiner,cuisin
248,danser,to dance,verbes action et mouvements,Non,to dance,dance,danc,danser,danser,danser
249,déplacer (quelque chose),to move something,verbes action et mouvements,,to move something,move something,move someth,déplacer quelque chose,déplacer quelque chose,déplacer quelque chos
250,donner,to give,verbes action et mouvements,,to give,give,give,donner,donner,donner
251,donner un coup de pied,to kick,verbes action et mouvements,,to kick,kick,kick,donner un coup de pied,donner coup pied,donner coup pi
252,écarter,to separate,verbes action et mouvements,,to separate,separate,separ,écarter,écarter,écarter
253,échapper,to escape,verbes action et mouvements,,to escape,escape,escap,échapper,échapper,échapper
254,écrire,to write,verbes action et mouvements,,to write,write,write,écrire,écrire,écrire
255,embrasser,to kiss,verbes action et mouvements,,to kiss,kiss,kiss,embrasser,embrasser,embrass
256,embrasser / faire un câlin / prendre dans ses bras,to hug,verbes action et mouvements,,to hug,hug,hug,embrasser  faire un câlin  prendre dans ses bras,embrasser faire câlin prendre bras,embrasser faire câlin prendre bra
257,emmener / prendre / emporter,to take,verbes action et mouvements,,to take,,,emmener  prendre  emporter,emmener prendre emporter,emmener prendre emport
258,enseigner,to teach,verbes action et mouvements,,to teach,teach,teach,enseigner,enseigner,enseign
259,escalader / grimper,to climb,verbes action et mouvements,,to climb,climb,climb,escalader  grimper,escalader grimper,escalader grimp
260,esquiver,to dodge,verbes action et mouvements,,to dodge,dodge,dodg,esquiver,esquiver,esquiv
261,faire un clin d’oeil / cligner de l’oeil,to wink,verbes action et mouvements,,to wink,wink,wink,faire un clin d’oeil  cligner de l’oeil,faire clin ’ oeil cligner ’ oeil,faire clin ’ oeil cligner ’ oeil
262,flotter,to float,verbes action et mouvements,,to float,float,float,flotter,flotter,flotter
263,franchir (quelque chose),to get over something,verbes action et mouvements,,to get over something,get something,get someth,franchir quelque chose,franchir quelque chose,franchir quelque chos
264,frapper,to hit / to punch,verbes action et mouvements,,to hit  to punch,hit punch,hit punch,frapper,frapper,frapper
265,glisser,to slide,verbes action et mouvements,,to slide,slide,slide,glisser,glisser,glisser
