ID,ARABE,ENGLISH,INTERVAL
3398,الفناء الخلفي,backyard,87
4500,تشارون,charon,80
8687,متجهم,grim,54
9655,باوي,bowie,47
1087,ذبل,withers,83
3223,فالون,falun,88
7630,خارج الأرض,extraterrestrial,60
1932,ميدي,midi,92
11370,دلهي,delhi,34
7946,بالجملة,wholesale,59
14508,وثائق,documents,12
8654,تكس,tex,54
3491,أكاديميا,academia,86
9796,ماليزية,malaysian,44
5676,الديناميكا الحرارية,thermodynamics,69
9465,فائقة,ultra,46
6934,باكو,baku,66
13118,الأمم المتحدة,un,17
13640,باءت بالفشل,failed,11
14099,يعطي,give,8
3248,الأرض,earthman,88
1580,البدوي,nomad,78
2465,زوج,groom,76
5630,لافت للنظر,remarkably,24
6032,دلالة,signified,44
6130,ابن شقيق,nephew,67
5678,ملعب,playground,73
10752,مايلوت,maillot,38
7072,إعادة تحميل,reload,53
1114,القاضي,magistrate,81
201,قسيس,chaplain,92
13295,كاثوليكي,catholic,15
11662,زيمبابوي,zimbabwe,31
10379,جفاف,drought,40
3972,ربعي,quarterly,83
1439,شفاء - يشفى,heal,57
11907,شارلوت,charlotte,29
12242,مفهوم,concept,23
1537,الاستعداد,preparedness,95
11360,بطريقة ما,somehow,34
14085,مخرج,director,18
8520,مطروح,posed,38
7670,الريغي,reggae,61
6534,أريكة,couch,65
5229,قزراوة,caspian,76
11785,سبارتان,spartan,24
2170,القنصل,consul,62
2273,ويسلر,whistler,91
12777,استبدل,subst,21
6594,سخام,soot,68
10097,مرافقة,escort,36
2227,محلل,parser,90
2076,مبشر,evangelist,88
1677,رئيس الجامعة,rector,94
274,ميكادو,mikado,97
7808,ترى,trey,60
8031,كتل,cutler,59
392,شرايفر,shriver,100
11432,نخبة,elite,32
14513,ملحوظات,notes,6
1902,المسلمين,moslem,83
13671,شمالي,northern,12
6073,البتولا,birch,71
2565,الانتظار,canopic,90
5643,كاربوكسي,carboxy,73
9430,مثير,exciting,34
13428,معقل,ford,14
3114,طحال,spleen,87
1468,البطن,abdomen,95
9614,وات,wat,46
7005,الصوتية,acoustic,60
10347,أعداد صحيحة,integers,33
5613,فتنة,sedition,74
12257,مشتبه فيه,suspect,16
1927,الميثانول,methanol,93
7634,الترومبون,trombone,60
10160,فيليكس,felix,43
9555,مستقبلات,receptor,41
476,المستقلب,metabolite,94
13126,الإيطالية,italian,16
11138,يوجين,eugene,34
9620,تانغ,tang,47
14226,حر,free,5
10211,سلطعون,crab,42
6657,لغة الملايو,malay,59
545,الرجعية,reactionary,94
8172,تصور,depicting,23
7377,الميثامفيتامين,methamphetamine,62
13007,تفاعل,reaction,17
8870,غير مدرك,unaware,51
275,الإيبيرية,iberian,99
8286,قفل,lockout,57
416,بنغر,pugh,100
9362,مقبرة,cemetery,49
10592,لحم خنزير,ham,38
309,بريس,barges,77
6449,شريرة,wicked,60
8249,الضرائب,taxes,24
13323,بريطانيا,britain,15
4137,قاعة الدراسة,classroom,75
11180,العرض,width,35
14518,أَثْمَر,yield,38
3839,عديم اللون,colorless,85
640,جولدخ,volution,94
6464,مزاد علني,auction,60
6830,البوليمر,polymer,63
13910,منذ,since,7
7697,مستر,mister,61
10770,منطاد,zeppelin,38
13360,النمور,tigers,12
2250,جلسة عامة,plenary,92
3320,الشحنات,shipments,66
3951,وقفة,pause,72
1448,تينغ,ting,85
8326,سامة,toxic,46
4949,الأناركية,anarchism,75
9880,إرشاد,guidance,45
8246,جبان,funky,57
2945,سماعات الرأس,headphones,81
13726,إسرائيل,israel,12
8614,الساموراي,samurai,54
10063,التصفيات,qualifier,8
12298,منزعج,upset,23
6753,البريل,beryl,66
6192,محو,erasing,30
10791,أربعة عشرة,fourteen,38
5356,شيفا,shiva,75
2095,الايسوسوم,lysosome,92
1082,من الآن فصاعدا,henceforth,96
12633,قطعة,plot,21
5693,ماء محلى,sweetwater,73
653,مضيف,steward,64
2953,مقطع إلى شرائح,sliced,55
10584,الاتحاد الأوروبي,eu,39
5684,زاهدة,anchoress,73
12102,بروتوكول,protocol,26
656,بشكل متقطع,sporadically,66
7890,رواية,hoy,60
13040,أول,senior,17
5876,الشكوك,suspicions,47
4816,حزن,grief,79
6234,مسلحين,gunmen,70
10872,ضيق,narrow,32
3884,الطيور,fowl,83
4922,هوف,hove,78
3001,وغني,needlessly,88
1379,ناهواتل,nahuatl,96
4405,السرية,secrecy,81
7531,البالستيسي,ballistic,52
1498,كريل,krill,95
9053,ضباب,haze,49
8495,اباتشي,apache,52
3555,مسقط,muscat,86
8087,طوق,collar,49
1647,متماثل,symmetric,82
13238,ستانلي,stanley,16
10876,خامد,distinct,23
8372,ماكبث,macbeth,56
13955,عالي,high,7
12808,هاريسون,harrison,21
9289,زا,za,50
2297,دهود,daud,92
4347,بيط,pte,82
10506,هذه الليلة,tonight,40
11590,الشعر,poetry,32
11050,الفصل,chapter,30
14065,صعب,hard,8
4747,يعصر,squeeze,64
14191,مشروع,project,7
9230,قالب طوب,brick,45
10569,ميونيخ,munich,39
2788,رامبرانت,rembrandt,89
4127,أوكتان,octane,82
10658,جدول أعمال,agenda,38
13106,النصيب,wickets,13
1995,كزاز,tetanus,93
14365,رجال,men,9
12081,قصف,bombardment,27
10743,اللغوي,linguist,31
11827,أرنولد,arnold,30
11698,ألغيت,cancelled,23
7892,حليف,ally,18
3021,باراكودا,barracuda,87
8821,صالون,saloon,50
9815,شنقا,hanging,31
10482,مكوي,mccoy,40
2184,راد,rad,90
11142,ليب,lib,35
6604,ندى,dew,68
13687,سيئة,bad,12
8532,روبنز,rubens,55
8155,لحام,welding,53
8975,فراشة,butterfly,50
14301,هَم,concern,9
223,كييلر,keeler,100
6009,سنة جيدة,goodyear,72
13722,الامتيازات,privileges,11
2772,ميلا,mila,89
11113,الجزائر,algeria,36
8329,بالإهانة,offended,25
9557,التعلق,hung,48
14017,التشغيل,operating,6
11016,مشهد من خلال,vista,37
2999,الجيلاتين,gelatin,88
1570,عابر,transient,92
7043,الأثرياء,wealthy,65
7413,لماع,spangled,62
3310,محاكمة,summarily,87
7149,التبشيري,missionary,56
3437,دغا,degas,87
6703,نيمو,nemo,67
14203,يعالج,processing,10
3502,كلا,kala,86
8090,ميدلاند,midland,43
13113,شاطئ بحر,beach,16
9764,شورمان,shoreman,46
931,سنتريول.,centriole,97
528,هاين,hayne,99
6728,كورنثوس,corinthians,62
165,العمل على,acton,100
8222,هون,hun,51
10579,مسدس,colt,21
4088,أكاديا,acadia,83
10458,اعتراض,objection,12
1449,إعادة استخدامها,reused,60
7788,لقد قمت,ive,60
6106,خرطوم,hose,68
2164,إعادة التفكير,rethink,88
10393,عيد الحب,valentine,40
6722,تشنغ,cheng,67
8164,خنزير البحر,porpoise,58
4899,الديموغرافيا,demography,78
7861,العتيقة,antique,50
103,التاجي,coronary,100
10566,تايبيه,taipei,40
10698,إعادة تقييم,reassessed,38
6159,الصدع,rift,69
6766,الحجاج,pilgrims,59
12599,جولف,golf,23
7104,محاذاة,aligned,32
10879,التعافي,recovery,37
9400,لانج,lang,49
10166,برعاية,sponsored,29
11214,علم الحفريات,paleontology,35
11788,اغتيال,assassination,26
8781,باسات,baas,45
12824,أورليانز,orleans,20
13857,بعد,after,5
3132,مونتاج,montague,88
13926,حتى,even,7
8868,غير متحيزة,unbiased,52
5387,البنزين,benzene,75
9141,بوكر,booker,51
12966,غير مفسر,unexplained,19
7455,ستيريو,stereo,62
5078,تهاني,congrats,77
533,ليتورجي,liturgy,98
11477,تعب,labour,31
13573,غالبا,often,12
11005,دامون,damon,37
226,الاسترداد,interleague,100
1126,بانيستر,bannister,96
401,راقي,upscale,100
2354,ميلبا,melba,91
7524,غير محدود,unlimited,62
10828,كوكا,coca,38
9134,جينيت,janet,51
11034,نقابة,guild,36
8045,النعيم,bliss,58
31,غافل,oblivious,99
11058,هيو,hugh,37
14077,نقطة,point,6
13725,عادي,regular,12
13491,يحتمل,potentially,12
4273,بيكيني,bikini,80
5644,الفالتز,waltz,68
5520,تريشا,trisha,74
9046,فوتثراما,futurama,51
9403,دمر,desc,49
10270,طن,ton,30
7735,السلف,precursor,58
11343,إعادة نشر,repost,34
13449,عنجد,seriously,14
9728,عامل,worker,20
5533,البداية,sputnik,74
6562,اتول,atoll,67
4824,موزع,distributor,69
750,اختلال وظيفي,dysfunction,88
10802,بيتزا,pizza,38
7810,روبيكون,rubicon,60
9044,نبي,prophet,46
12517,مطرود,fired,10
7144,إتجاه,int,64
5073,القيود,constraints,71
13802,مع,with,5
2142,فجوة عصارية,vacuole,92
9551,الدالاي,dalai,48
7910,لامبو,lambeau,60
765,رغيف,loaf,96
4800,الكشف,exposing,35
13462,لينكولن,lincoln,14
104,غير مدلل,unassessed,100
6939,ايون,aeon,63
13838,جديد,new,6
8728,فولكس واجن,volkswagen,54
11591,قدامى المحاربين,veterans,23
4082,أی,ay,83
5172,جدة,grandmother,75
13373,اسكتلندا,scotland,15
315,حيد,loner,100
13972,ملف,file,6
2662,المهنة,dominus,90
3163,كيميائي,chemist,70
3490,ناقلة الأمين,aminotransferase,86
3311,قاسم,provost,87
12185,قفزة,hop,26
8299,جناح,pavilion,54
12422,مضحك,funny,24
12693,الفأر,mouse,22
10115,بارا,para,42
1146,ايكيدو,aikido,96
11442,تطابق,identical,21
10311,غير متطال,unsalvageably,41
4850,الدونات,doughnut,75
3966,القرع,pumpkins,57
6420,هودج,hodge,69
2523,الردف,spanking,82
11190,من القرصنة,piracy,35
9866,ويتمان,whitman,45
3089,كاسبر,casper,88
6289,سطوع,brightness,35
13179,جريمة,offense,10
5922,توت,fut,72
10126,استولى على,seized,34
4750,كمبودي,cambodian,76
3690,شاقة,daunting,85
8335,هيمنة,domination,16
11200,فوضى,chaos,33
10308,شيت,chit,42
4037,موضة عابرة,fad,68
9849,التوابل,spice,44
5026,هلا,holla,77
9831,انتصار,triumph,41
1608,أفقيا,horizontally,56
11613,طحلب,moss,31
12603,دنفر,denver,23
7590,الأيسلاندية,icelandic,28
3147,كولفر,culver,88
9265,قضائي,judicial,48
13781,فوز,victory,11
10758,بوكس,buckeyes,35
1476,الترامبولين,trampoline,90
11166,مقدم,submitted,22
11770,فيجي,fiji,30
14462,ينتج,produce,7
8266,هيا,ee,57
5522,لا أساس له من,baseless,74
12293,سعودي,saudi,25
12833,صلب,steel,19
10587,يزعج,bother,31
3144,مجرفة,hoe,86
10034,دموع,tears,34
32,مبدأ,tenets,88
834,براسير,brassiere,95
3597,هزم,primate,76
12155,تيرنر,turner,27
7468,نقاط البيع,pos,43
5956,الرباعية,quartet,70
7551,القسوة,cruelty,62
3122,مشد,corset,72
6087,استعداد,willingness,71
12348,المسافرين,flyers,24
2141,جاتلينج,gatling,92
9459,بروك,brook,29
11683,تفضل,prefer,9
10776,يتصور,imagine,30
960,إتفاق,entente,97
5118,كونر,conner,76
10303,ورقة الشجر,leaf,22
14376,المديرون,managers,9
1130,خروج,esc,96
13506,بريد,mail,13
1185,النياسين,niacin,96
13214,الأيرلندية,irish,16
14165,مدينة,city,8
10412,إحياء,revival,32
12503,بطل,hero,19
9510,يضخ,pipe,38
4572,السكان,populace,80
9006,كوفنتري,coventry,52
5447,هيبو,hippo,63
5093,وشيكة,impending,77
7318,سيزار,cesar,59
305,لى,ley,95
11695,ظل,shadow,28
4983,إثيل,ethel,78
4306,شبورة,mist,81
1256,انحنى,bowed,36
3007,مقبض الباب,knob,80
11072,مسروق,stolen,36
1454,متسلق,climber,68
6400,ثأر,vendetta,69
11011,سلحفاة,turtle,32
515,رصف,pavement,92
3628,الحقيقة، الصدق,veritas,86
9932,هيث,heath,44
14279,خطوط,lines,8
2030,سن,enactment,28
7448,ديان,diane,54
8181,رودهام,rodham,58
9703,الصراخ,scream,38
12988,قائمة تدقيق,checklist,19
8237,كولومبين,columbine,57
6859,توظف,employs,21
12716,تقني,technical,15
11241,غاضب,angry,35
619,تعقب,tracker,90
9798,الحارس,ranger,17
6504,معدل الذكاء,iq,68
11500,نورمان,norman,32
14179,الأرباح,earnings,14
14060,ستة,six,10
9877,وحدة التحكم,console,34
9469,يشم,jade,47
280,بوجي,bogie,92
4797,النيوكليوتيد,nucleotide,71
11389,تسجيل الدخول,login,33
11686,أيمن,ny,31
13471,بناء على,upon,14
9178,أبحر,sailed,29
11349,الزبون,guest,29
3293,رجال القبائل,tribesmen,87
7040,الجماهير,audiences,29
5748,مكعبة,cubism,73
4176,لانيه,lanier,82
5029,حافز,spur,33
7452,حليبي,milky,62
6481,الشهباء,buffy,68
7655,زن,zen,61
2949,الفوسفو,phospho,88
8337,من الضواحى,suburban,56
10966,جيتيسبيرغ,gettysburg,37
10376,بات,pt,16
8771,أفعال,deeds,48
7479,الجنين,fetus,62
11467,وبذلك,thereby,33
2301,شك,doubted,18
7651,رتراك,roc,61
14482,لماذا,why,7
7098,ديكس,dix,64
3081,طرح او خصم,subtract,61
10173,البحر المتوسط,mediterranean,43
5961,جثم,striver,71
3006,شقائق النعمان,poppy,87
12129,متبنى,adopted,20
13641,ثمانية,eight,12
5795,واو,woo,70
13653,العراق,iraq,12
5835,نجم البحر,starfish,72
10731,حزين,sad,29
2903,عشاق,desi,89
14330,أسود,black,10
9222,شتراوس,strauss,50
9589,دكتوراه,ph,47
5433,كولي,collie,72
14298,البائعون,vendors,66
8318,وضح,underwood,57
1150,فينول,phenol,91
1859,قلة,conclave,90
13870,معظم,most,7
4715,رديك,hamstring,79
8152,الصبر,patience,58
8258,تاي,tai,57
12911,متحف,museum,19
6592,كرافن,craven,68
12265,مارشال,marshall,22
3148,بوتشيت,puget,88
3754,كيرن,kern,84
616,العاصفة الثلجية,snowstorm,96
14441,إمداد,supply,18
4982,ختان,circumcision,75
14187,يكمل,continue,5
13911,هي,she,11
2704,تنبيه,alerting,27
10607,الراين,rhine,39
5897,حق النقض,veto,62
12782,في النسق,inline,21
2446,ريموس,remus,90
4206,منزلقات,slides,41
4181,أيوني,ionic,82
10617,بوليفيا,bolivia,39
4395,سلاح ناري,firearm,48
4430,سونج,cheung,81
13778,ويلز,wales,11
9734,بيني.,benny,45
1431,مراقبين,watchers,87
6868,فانيلا,vanilla,66
3818,إيتون,eton,85
4198,الفوسفاتاسي,phosphatase,82
8617,مفتي,mufti,54
7815,فولكنر,faulkner,60
9978,يسلط الضوء,highlights,21
12236,نصف الوقت,halftime,26
6000,ماركيس,marquess,71
5396,أوم,ohm,73
8132,أيد,uni,57
8794,ساراتوجا,saratoga,53
8648,موثوق به,trusted,24
12869,فلور,fl,20
12350,يقف,standing,11
4437,صباغ,dyer,79
3525,غوران,goran,86
1259,تجميع,assembling,19
4734,مجموعات فرعية,subsets,59
12284,علمي,scientific,25
6941,أبا,abba,39
606,ميثيلين,methylene,99
6025,من جانب واحد,unilateral,54
14288,جامعة,university,7
6522,بيوس,pius,67
7515,القصة,ballad,56
12282,مجنون,crazy,25
6101,الارتكاز,focal,71
11137,فيلا,villa,35
3085,الكشف عن,disclose,61
10588,ساندرز,sanders,37
1539,ماغنون,magnon,95
2837,الرسولية,apostolic,89
4915,بعد الحرب,postwar,78
2494,تصمد,withstand,88
3234,تظاهر,rouse,78
14474,تمرين,training,10
13030,انضم,joined,11
13473,الأكاديمية,academy,13
3488,كاليبسو,calypso,86
10445,رقبة,neck,38
10850,عدة,kit,36
12311,اسكتلندي,scottish,25
11084,التعدين,mining,16
3017,تجويف,cavity,88
6083,وجبة,meal,60
5408,بلانش,blanche,74
14294,سيارة,car,9
2409,العلاج بالإبر,acupuncture,91
2453,المنقذ,saviour,89
12498,حظ,luck,24
9826,بويز,boise,45
4442,حسد,envy,80
1980,بوفوتينين,bufotenin,93
202,بيوتر,pewter,100
5483,شينشيلا,chinchilla,74
3764,فينيك,fennec,85
9632,يتألف,comprises,23
10950,غريغوري,gregory,37
13634,غير مسجل,unregistered,12
5249,هيمن,hander,76
2445,التمرير,scrolling,41
7044,تقرح,sore,60
5972,مكتب المدير,sink,51
742,فيبي,phoebe,98
4761,هيليكس,helix,79
1338,إنجليز,ingles,94
10761,حيوان أليف,pet,35
10844,انصهار,fusion,38
3197,الرعاىة الصحية,healthcare,88
11275,المرشحين,nominees,31
9910,باجا,baja,45
2780,التمهيدي,primer,86
5612,سن البلوغ,puberty,74
6577,إخوة,brethren,68
2546,النيوكلوز,nucleolus,90
1473,ظفيرة,harness,88
14452,قيادة,leading,7
406,ميكونج,mekong,100
9242,الهدنة,armistice,50
6066,الجاموس,buffaloes,18
13377,محظور,banned,10
7751,معدة,stomach,59
3435,حجر الرؤوس,skinhead,80
707,إزداد,slone,98
5237,الطاقم الجوي,aircrew,51
8250,طرد,expelled,51
5882,مضغوط,compressed,44
3116,ريدفيلد,redfield,88
4674,كونشرتو,concerto,77
12636,كيم,kim,22
4549,فركتوز,fructose,80
2899,نزع سلاحه,disarmed,57
2692,مجاور للكلية,adrenal,90
12544,رسالة,letter,18
9118,أوميغا,omega,51
10325,موقف سلوك,attitude,38
10530,إحداثيات,coordinates,21
12666,علم الأساطير,mythology,21
13582,قصة,story,12
12320,غلوريا,gloria,25
6071,مونتيري,monterey,71
13174,بعض الأحيان,sometimes,15
4765,رم,rum,79
12956,سنوي,annual,18
14373,المقرر,scheduled,13
3927,رولاندو,rolando,84
11,نذر,vow,63
484,الأبوة,parenthood,99
12601,ما يعادل,equivalent,22
6872,زوال,demise,65
13587,مارتن,martin,12
3415,الأكرينا,ocarina,87
11410,خطأ,fault,30
12783,استوديو,studio,17
7323,تسلط,shed,55
2187,تشاي,chai,92
7139,أوغسطين,augustine,60
2027,يقوض,undermines,51
3008,منطبق,stylized,88
1326,مينوان,minoan,96
4219,خارجي,extraneous,82
6697,أنفسكم,yourselves,67
12475,صاروخ,missile,20
2352,آية الله,ayatollah,89
7027,ميلتي,milty,65
8322,شاو,chow,56
11535,التايلاندية,thai,32
13994,أيام,days,6
13463,z.,z,14
13132,كل شيء,everything,17
6233,البورمية,burmese,70
13215,حلقة,episode,12
6067,عاصف,windy,71
4724,يلعق,lick,67
5955,فيلي,feely,72
12063,كاتب,writer,19
10426,باتر,berry,39
7094,برغوث,flea,63
12698,خمن,guess,20
1862,ملكي,regal,91
13786,غير ذلك,otherwise,11
6681,الحمقى,fools,36
12152,استراتيجي,strategic,26
13241,نعم,ok,16
723,كورسو,corso,98
8245,اختراق,breakthrough,54
11006,محبوب الجماهير,idol,36
5537,غرفة نوم,bedroom,71
1960,ليليث,lilith,93
4955,أكسل,axel,77
4636,مالارد,mallard,79
860,تم تحليلها,analysed,48
67,ليزير,lazier,100
6446,اعتمد,reliant,69
7202,كولير,collier,63
3790,الدراج,cyclist,58
6787,عن بعد,remotely,38
1675,سولون,solon,92
11271,أرباع,quarters,9
8038,الفوسفور,phosphorus,59
6387,علماني,secular,61
2200,خضروات,grocery,88
10020,كشمير,kashmir,44
7090,مصل,vaccine,53
8795,الكلى,kidney,51
11833,كوكبة,constellation,29
9609,خطاط,lineman,47
12834,خاصة,mostly,20
4562,لوبوس,lupus,80
2905,بيزنطيوم,byzantium,89
14125,نصف,half,10
12758,عملاق,giant,13
13384,يقطع,cut,13
12132,حافة,edge,22
3736,وجبة خفيفة,snack,75
6416,الفارحة,strife,68
7192,أدب,decency,64
11342,لا مبرر له,unwarranted,34
4491,هستيريا,hysteria,81
5091,المناطق الاستوائية,tropics,8
5743,شجر جميز,sycamore,72
6618,سايجون,saigon,68
4613,مكمل,complementary,80
7785,السمندر.,salamander,60
10878,ألباني,albany,38
11861,عمق,depth,28
9328,ليندا,linda,49
7888,بام.,bam,60
9667,نافورة,fountain,46
12790,يهزم,defeat,10
11043,يترجم,translate,17
1825,سبيرو,spiro,94
13566,اليوم,today,12
5694,تأرجح,swung,73
10792,حبيبة,beloved,38
7850,الفظائع,atrocities,55
9251,القصدير,tin,49
8282,بوسيدون,poseidon,57
10976,جلد,skin,33
8100,كارت,kart,57
4279,الأضواء,spotlight,80
11910,شغب,riot,15
5285,شينتو,shinto,76
12670,بكسل,pixels,21
2906,مركسي,mercantilism,70
5109,غير محدد,unspecified,77
3383,زحف,crawl,66
4667,الأردني,jordanian,72
4183,البنكرياس,pancreas,82
2325,باريتون,baritone,91
13619,متوفرة,available,12
6890,إشبيلية,seville,66
10157,إلفيس,elvis,43
4066,تعدد الزوجات,polygamy,83
1885,سويدي,swede,81
10860,بكر,virgin,35
11724,كوبرا,cobra,30
14168,سياسة,policy,6
13213,ماساتشوستس,massachusetts,16
11899,متر,metres,25
11764,مجاور,nearby,30
2879,ناهض,resurgent,72
10261,الحزبية,partisan,37
4140,بدوية,bedouin,77
4819,مكبس,piston,35
10574,نبتون,neptune,39
5450,الزائر,visitor,9
5988,الفاسد,rotten,72
7920,مشاهد,viewer,35
2653,الملاثيون,malathion,90
1823,التعبيرية,expressionism,94
12962,موقعك,location,9
14064,جنيه أو رطل للوزن,pounds,32
9962,مرحاض,wc,44
7708,النيص,porcupine,61
11434,الميثيل,methyl,32
13292,الأردن,jordan,15
1478,ماء مالح,saltwater,95
8145,الالتهابي,inflammatory,58
4438,آلة توبا,tuba,80
10088,فخ النار,firetrap,43
5914,فائض,surplus,72
2431,هياة,heelers,91
3802,هشاشة العظام,osteoporosis,85
9022,الخط الساحلي,coastline,50
14278,فاتورة,bill,10
14190,أيضاً,either,8
6516,الطاقة الكهرومائية,hydropower,68
1646,مونتيسوري,montessori,94
12594,خوسيه,jose,23
8397,أجوف,hollow,47
8082,أونا,una,58
13574,الأولمبية,olympic,10
12635,امرأة,woman,22
5426,سيتون,seton,75
920,ألوان مائية,watercolor,97
9519,شارون,sharon,48
1206,الجرب,scabies,96
8350,أيديولوجية,ideology,43
10686,لوتس,lotus,39
6452,شوق,skunk,69
14013,نتائج,results,7
4266,بريموس,primus,82
6796,سيم,sim,34
10648,بصري,optical,35
1300,مراهق,adolescent,62
14512,جريدة,newspaper,15
7071,جدي,earnest,64
8441,دوروثي,dorothy,56
9676,بريتانيا,britannica,47
4564,ضلوع,ribs,62
9130,متناهي الصغر,infinitesimal,45
11147,روزا,rosa,36
14273,رأس,head,9
778,sitide.,subsided,77
12862,بري,wild,20
1284,مالا,mala,96
13002,الامتياز التجاري,franchise,17
2444,خفير,sentry,87
3681,دوار,vertigo,85
5088,رونس,runes,39
14517,الغربي,western,11
6893,تشغيل,rackers,66
8353,الفضلات,faeces,56
8968,نائم,sleeping,16
11934,جامايكا,jamaica,29
6075,قاسية,cruel,71
4010,أوبلاست,oblast,82
8854,فصاعدا,onwards,46
8422,غير متوقع,unexpected,56
6148,جنوة.,genoa,71
13917,رئيس,president,10
4939,العنوان الأساسي,canonical,37
7968,الميكروويف,microwave,59
4574,تعؤل,deuce,79
3090,مينش,mensch,88
9432,الغيلية,gaelic,49
12843,حرمان,pan,20
8568,الصياد,fowler,55
11759,بيشوب,bishop,29
13896,تحت,under,7
3804,أسبرين,aspirin,85
