ID,ARABE,DANOIS,INTERVAL
1711,بافتا,bafta.,94
9453,كونترا,kontra,48
1641,الحنث,whammies.,90
6219,مارسيلو,marcello.,70
9371,رايخ,reich.,49
10333,دار,dar.,41
6337,بطاطا,kartofler,38
11258,شخص شره,svin,29
10372,المعدات,hardware.,41
5343,رباعي,quad.,73
9060,خدش,kradse,38
10347,أعداد صحيحة,heltal,32
14374,ديسمبر,december,6
7328,إشباع,tilfredshed,62
13873,أي,nogen,5
10217,في سن المراهقة,teen.,38
4045,استياء,utilfredshed,79
11731,كينيا,kenya.,30
2008,ظرف,biord,90
9989,الشمال الشرقي,nordøstvis,44
636,ليشور,lich.,99
4898,برهن,bren.,78
3836,مكافحة الاحتكار,antitrust.,84
1887,تراوح مكانها,standstill.,93
11924,جنسيا,seksuelt,17
11367,شوكولاتة,chokolade,33
7292,تشيل,chil,63
12107,خاضع للسيطرة,kontrolleret,11
4035,تجار التجزئة,forhandlere,38
6222,بلوتونيوم,plutonium.,70
13021,شرير,ond,18
11768,إبراهيم,abraham.,30
2039,مصرفي,bankmand,83
1416,حبوب الدواء,piller,57
11293,كوليزيوم,coliseum.,34
4735,خرقة,klud,65
7500,يلوستون,yellowstone.,62
6540,في السر,hemmeligt,68
1599,هاردن,hærder.,73
10740,كينغستون,kingston.,38
1905,جولدسميث,guldsmith.,86
4169,شوارب,overskæg,79
13115,مصر,egypten,17
4674,كونشرتو,concerto.,77
12325,السخرية,ekstratropisk,25
798,خزف,porcelæn,98
3176,تصاعد,eskalering.,39
5339,كومة,heap.,68
4446,أعد اضافة,tilføj,80
13585,ولد,født,12
6401,كردستان,kurdistan.,69
11445,مدى الحياة,for evigt,32
7766,التسلط,mobning,44
108,رجل الاطفاء,brandmand,100
11984,السكر,sukker,28
895,كسب,pode,89
3310,محاكمة,summary.,87
9126,ديناميت,dynamite.,50
2191,برأس,koldere,91
4773,سردار,sardar.,78
10717,زبدة,smør,38
10389,سارية العلم,flagstaff.,41
13421,عن عمد,med vilje,7
1732,العائدات,royalties.,66
4241,كرافت,kraft.,82
6196,قذف,kastet,34
10328,ترتيبات,arrangementer,20
10327,كلغ,kg.,41
11528,فاي.,phi.,32
1357,القلوية,alkalisk,93
7286,قناعة,domfældelse,31
8929,النازية,nazisme.,52
14091,ن,n,8
6103,تروس,truss.,71
1659,المدخن,ryger.,80
3047,كرافتر,crafter.,88
3658,كراولي,crawley.,85
1877,استيقظ,waking.,27
112,ترون,tron.,100
13136,الجنس,køn,17
4320,بيدمونت,piedmont.,81
2636,عمامة,turban,88
12254,داخلي,indre,9
12424,منتصف الليل,midnat,24
10961,التنين,dragons.,17
5027,نبوءة,profeti,69
8957,اللقاح,pollinator.,45
5353,باتان,bataan.,75
3419,شمام,melon,85
9528,نيس,ness.,48
3169,ناقل,transferase.,88
7871,ليم,lim,60
4027,السيقة,dike.,69
3385,إبليس,lucifer.,85
38,فرسي,heste,98
9795,شاويش,sergent,44
11949,قناة,kanal,28
2339,سايبورغ,cyborg.,88
3734,الشارع,sporvogn,78
13061,أخبر,fortalte,18
14454,الشراء,at købe,29
5224,سرج,sadel,71
7412,فيتش,fitch.,62
5978,خصلة شعر,wisp.,71
14365,رجال,mænd,9
5163,خصم,rabat,57
12808,هاريسون,harrison.,20
9651,إعدام,udførelse,18
6053,ديبورا,deborah.,71
2079,البواسير,hæmorider,91
3434,الحسية,sensory.,86
5960,كيلومتر,kilometer,71
9053,ضباب,dis,49
12895,روى,roi.,20
4441,منشورات,brochurer.,70
3351,سائل لزج,blob.,84
9056,موزمبيق,mozambique.,51
10450,غير مهذب,uhøflig,38
4415,كارترايت,cartwright.,81
8292,المغامر,venture.,49
7443,سحق,tract.,60
8097,فيريدي,viridian.,58
13563,مبني,bygget,13
8998,غير موثوق به,upåliteligt,51
5212,fonrifics.,æreoplevelser.,68
11138,يوجين,eugene.,33
14507,مركز,centrum,9
14085,مخرج,direktør,17
1997,نزارين,nazarene.,93
5423,سلعة,handelsvare,62
6333,حاصل القسمة,kvotienten,69
13952,جزء,en del,8
7749,نعومي,naomi.,61
6778,الفلوت,fløjte,64
8905,إيمي,emmy.,52
12426,حليب,mælk,24
3378,مفلس,bankerot,84
7256,العد التنازلي,countdown,62
4895,هيرفورد,hereford.,78
637,شماس الكنيسة,beadle.,99
5780,اليعسوب,guldsmed,72
12809,ريك,rick.,20
4624,جرينت,grint.,80
2554,سماعة الطبيب,stetoscope.,90
6071,مونتيري,monterey.,71
7052,بيزا,pisa.,64
6849,هيليا,heliac.,66
7420,قاسي,brutal,47
8680,فاش,fascist,47
12510,غرض,vare,18
2749,راينر,rainer.,89
2274,قلة الخبرة,uerfarende,91
4963,الضم,bilag,53
3336,المدفعية,gunnery.,87
1427,قصيدة,ode.,90
13056,غراهام,graham.,18
6488,مشوه,warped.,58
5763,الإزاحة,forskydning,40
9394,تيمور,timor.,49
12991,دالاس,dallas.,19
51,مفتاح الربط,skruenøgle,91
9181,ستوكهولم,stockholm,50
12867,ديك رومى,kalkun,20
257,متماسك,sammenhængende,56
9489,فوتي,footy.,48
7608,النظام البيئي,ecosystem.,61
2137,بمحركات,motoriseret.,92
11842,على قيد الحياة,i live,29
9200,بكل سرور,fornøjelse,49
8489,أرويو,arroyo.,54
3949,رتب,writ.,79
2331,المغفل,gander.,91
12327,سلاح,våben,14
14496,تضخم اقتصادي,inflation,44
14281,ربح,profit,29
9462,غرينتش,greenwich.,48
2165,الكهربائي,elektroforese,91
12586,ماليزيا,malaysia.,23
12848,متلازمة,syndrom,20
667,مسموع,austible.,94
5416,كاسي,cassie.,74
69,رجال الدين,clerics.,68
9100,جودو,judo.,51
13934,ثم,derefter,5
375,السيليكا,silica.,100
12810,سويسرا,schweiz,20
14083,مهم,vigtig,8
6930,عصيدة,mush.,63
9477,leadch.,clinch.,23
8113,المشاجرة,melee.,57
13226,إلى الأمام,frem,9
5705,راوي,fortæller.,53
12127,يخاف,frygt,22
2901,حفاظه,ble,85
5388,سعي,bestræbelse,67
7503,زنبق,lily.,61
10813,فيينا,wien.,38
8302,مطلق كلى كامل,utter.,51
14142,فترة,periode,8
13651,حارس,vagt,11
2761,بالكفاءة,hatteless.,89
8932,كاثرين,katherine.,52
2474,توري,tori.,57
5697,الميثان,methan.,73
10162,الصعوبات,vanskeligheder,31
7189,مارينا,marina,63
9534,إطار العجلة,tire.,34
11588,غير مؤكد,valited.,31
7580,إفيل,abel.,62
5658,تين,fig,70
6389,جل,gel.,66
9134,جينيت,janet.,51
14063,قسم,afdeling,8
7926,الحيوانات المنوية,sperm.,59
153,تخدير,anæstesi,100
5111,نام,nam,77
4367,إعادة التطوير,ombygning,62
4194,الخرطوم,khartoum.,82
7468,نقاط البيع,pos.,43
1734,الذهاب ل,goof.,81
14157,ممتلىء,fuld,9
10748,لاسلكي,wireless.,38
1890,انزل,bortfaldet,70
5838,صعودا,opad,62
10778,ريفي,provins-,38
398,وقت فراغ,rumtid,100
914,ميرتون,merton.,97
9093,متخرج,bestå,35
12458,بيدرو,pedro.,24
12005,غريب,ulige,24
12960,خليج,afgrund,19
6061,فترة طويلة,forlænget,63
3849,كاميلا,camilla.,84
9369,الحرارية,termisk,48
8350,أيديولوجية,ideologi,43
1447,مراحيض,toiletter.,41
11831,في الأساس,i bund og grund,15
13632,منتدى,forum,12
10393,عيد الحب,valentine.,40
1440,بنغ,peng,95
4222,فادح,groft,82
11484,اجتاحت,fejet,32
10153,صنوبر,fyrretræ,40
8593,أوليفيا,olivia.,54
1712,المتحدثة,taljewoman.,94
2661,التواصل,outreach.,90
12121,لغز,enigma.,27
13701,بيانات,data,12
11217,التيار,mainstream.,35
9362,مقبرة,kirkegård,49
13938,تشارك,aktier,6
1909,بلهفة,ivrigt.,93
9035,بروسيا,preussia.,52
3192,أكثر صرامة,stricker.,88
13862,سنين,flere år,6
8007,الاسترالي,aussie.,52
1086,ياه,yah,96
2984,نتوء,cong.,88
4877,يراعة,firefly.,77
1449,إعادة استخدامها,genbrugt,60
12814,مقدر,anslået,16
9917,أليف,aleph.,44
8014,نادي رياضي,gym.,58
13883,الأنظمة,systemer,8
3339,نزل,hostel.,82
9702,حذاء,sko,34
8289,علامة,markør,50
466,منبسط,tread.,91
10197,عذراء,maiden,41
6676,بغل,muldyr,60
8429,سلة,kurv,53
7727,نابولي,naples.,61
13278,تربيتة,klappe,14
5042,زمارة,bip,75
5742,البحث الجنائي,cid.,73
11416,موكب,parade,31
602,صاخب,raucous.,99
4881,ملهى ليلي,natklub,71
7437,سلوفاكي,slovakiet,60
6299,يسكنها,beboet,37
2066,اللواط,sodomy.,92
529,كودا,koda.,99
4368,أمانة,ærlighed,81
10272,شنغهاي,shanghai.,42
5444,شبه,kvasi.,75
11923,ذكري المظهر,android.,28
3689,لا يهم,glem det,85
5567,قابل للكسر,skrøbelig,72
566,صاري,barkeep,99
3570,غيور,jaloux,85
2868,دالر,daler.,88
7039,نظرائه,modparter.,49
5861,فرط النشاط,hyperaktivitet,69
4930,نظارات واقية,beskyttelsesbriller,74
621,تينيسون,tennyson.,99
8809,البولكا,polka.,53
288,المجهر المجهري,mikroskopi.,100
423,الكاتب المسرحي,playwright.,96
11260,طين,ler,34
13066,المصاب,skadet,17
7452,حليبي,milky.,62
10309,مصحوبة,ledsaget.,18
1344,شبكة,mesh,91
1671,اليوسفي,mandariner.,75
13611,كريكيت,cricket,12
13527,تقنية,teknologi,12
7146,بارز,overfladisk,62
10993,المعمدان,baptist.,36
9005,الأولمبياد,olympiad.,51
13497,ميل بالساعة,mph.,13
11320,خطوات,trin.,16
7835,متضايق,irriteret,30
12340,محمد,muhammad.,25
11168,عذر,undskyldning,33
12823,خلاق,kreativ,20
2195,عدد لا يحصى,myriad.,90
728,جرام,dugong.,97
3673,برجمان,bergman.,85
2296,تيلدن,tilden.,91
3567,إفشاء,afsløring,84
4015,شارلوتسفيل,charlottesville.,83
3603,سوبرانوس,sopranos.,64
3247,جروسو,grosso.,88
5935,مخصص,hoc.,72
7907,جريجور,gregor.,60
7301,بليتز,blitz.,58
4608,سيوداد,ciudad.,80
13692,ادارة,kørsel,7
10918,ما بعد الكارثة,aftermath.,37
6888,سرطان الدم,leukæmi.,66
5132,بوندي.,bundy.,77
4613,مكمل,komplementære.,80
7137,يتولى,overtage,63
8295,ساكسفون,saxofon,56
1054,تنغ,teng.,96
5334,بروبان,propane.,75
14379,جانب,side,10
14038,السيد,hr,11
10099,بطرسبرغ,petersburg.,43
14447,يبدأ,begynde,11
10917,توصيل,levering,33
5504,مصارعة الثيران,tyrefægtning,74
8785,الترحيل,migration.,44
680,عالم اثار,arkæolog,88
12628,إليزابيث,elizabeth.,22
9440,ماو,mao.,48
3863,ماء نقي,rent vand,84
3085,الكشف عن,afsløre,61
1459,ريجاتا,regatta.,93
13159,مصيبة,krise,17
7639,جانبية,collateral,61
7811,روف,rove,59
9750,زيتا,zeta.,46
2624,حامل الراية,ensign.,88
13432,غنيمة,koilerplate.,14
2322,بيكس,pix.,91
12064,الحرب,warfare.,27
11460,أربعين,fyrre,31
13047,فيلبيني,filippinerne.,13
8283,تليف,fibrose.,57
4791,من غير المكتسب,ubearbejdet,79
5680,الفرد,capita.,73
5326,خلاصة,recap.,61
6989,العمود الفقري,spinal.,65
9615,لخص,sammenfatte,37
2163,غير واقعية,urealistisk.,90
265,الصحة العقلية,fornuft,100
4424,سنتور,centaur.,75
4865,شبه الجزيرة,peninsular.,78
7130,غارنيت,garnett.,64
5349,بخ,squirt.,74
12390,نوفا,nova.,24
12375,بالدرجة الأولى,primært,25
8196,ممول,finansieret,21
11051,ماشية,kvæg,36
2931,farthest.,længst,88
12748,سري,sri.,21
6555,ارتجاج في المخ,hjernerystelse,65
9229,إلزامي,imperative.,49
8873,التجريبي,demo.,44
12817,برلين,berlin.,20
9337,جاكوار,jaguar.,33
3451,شامروك,shamrock.,66
8314,هيذر,heather.,56
4862,قانونيا,lovpligtig,78
9625,هندسة,geometri,47
8150,لاعبا اساسيا,fixture.,42
6614,في أي وقت,når som helst,67
8143,دائري,circular.,57
9002,بدانة,fedme,50
1824,دوار من اثر الخمرة,tømmermænd,92
11905,كوكب المشتري,jupiter.,29
3293,رجال القبائل,tribesmen.,87
4119,افا,ava.,82
14481,يضعط,trykke,12
12501,هوميروس,homer.,21
12792,لطف,lp.,21
10817,تكرر,frekvens,35
1937,بومبي,pompey.,93
4468,مي.,mee.,81
12683,لوحات المفاتيح,tastaturer.,20
2850,ازدحام، اكتظاظ، احتقان,overbelastning,83
9400,لانج,lang.,49
5096,غير شريفة,uærlig,77
14497,يقرأ,læs,5
6942,زخرف,hane,52
11065,بلوتو,pluto.,36
2812,مشادة,altercation.,87
5808,بلو,bleu.,73
10526,جوهريا,væsentligt.,19
9151,قنبلة يدوية,granat,42
12414,بحرية,frit,24
897,بالنيموث,behemoth.,96
7306,عرسة,pimp.,62
13169,التشهير,ærekrænkende,17
3504,باغودي,pagoda.,85
1967,مربية,nanny.,93
10720,جيلبرت,gilbert.,38
583,جيروسكوب,gyroskop.,96
6997,أضعف,svagere,65
2142,فجوة عصارية,vacuole.,92
8537,الحيتان,hvaler,55
14272,حملة,kampagne,13
3399,تفكيكها,demonteret,70
7147,إسكيمو,eskimo.,43
12396,الرسوم البيانية,diagrammer.,13
439,التحول,metamorfose.,100
12076,سرطان,kræft,27
1172,كيلونا,kelowna.,96
5238,حافل,catchpole.,76
4885,التقطير,destillation.,67
1708,مبتغى,eftertragten,91
7485,أعمق,deeper.,62
11983,المواطنين,borgere,23
13670,مصطلحات,betingelser,8
4807,تفرع,spawn.,42
12652,سكرتير,sekretær,22
6455,المكورات العنقودية,staphylococcus.,69
6673,علم الأعداد,numerologi.,65
13428,معقل,ford,14
7059,الدبلوماسية,diplomati,64
1084,منصوص عليه,fastsat,78
5087,جاكلين,jacqueline.,77
4551,ومن ثم,derfra,80
14473,يظهر,vist,9
6610,مرشد,mentor.,66
12312,في جميع أنحاء العالم,i hele verden,25
9244,كارولين,caroline.,50
13706,متوقع,forventet,11
226,الاسترداد,interleague.,100
14196,بلدان,lande,8
141,ريد,reis.,80
13579,كوريا,korea,12
8286,قفل,låst ude,57
9193,مزايا,fordele.,18
8448,مشفر,kryptisk,55
13006,رسم,drew.,18
286,جيليس,gillies.,88
5746,لقاء,loa.,73
478,triphoshosphfes.,triphosphat,99
10868,نيوبورت,newport.,38
12645,تحقيق,efterforskning,16
11056,شاي,te,36
2783,رودستر,roadster.,84
5750,حنا,hanna.,73
6288,حب الاستطلاع,nysgerrighed,68
9425,سبعة عشر,sytten,49
3259,بإفراط,overdrevent.,32
8592,الفنزويلي,venezuelan.,54
9707,انسجام,harmoni,44
13051,ملبورن,melbourne.,18
7187,أشاع,rumored.,31
9409,ديريك,derrick.,49
5107,بشكل مفاجئ,abrupt,77
4079,غول,ogre.,82
13770,كافية,nok,11
12430,مشهد,scene.,21
7831,خلد الماء,næbdyr,60
2578,صدار,waistcoat.,78
143,شرسة,ferocious.,99
6796,سيم,sim.,34
3942,استغلالها,udnyttet,41
3105,المكونات,ingrediens,70
6665,التوغل,indtræden,59
5041,طبع,temperament.,70
14242,ماك,mac,29
1656,أبيلين,abilene,94
12515,مركب,kompleks.,21
7592,من الواضح,åbenbart,11
7165,عرفي,sædvanlig,64
5917,انبعاث,udledning,57
14089,بدأ,begyndte,9
11827,أرنولد,arnold.,29
11913,مزرعة,gård,23
2327,مندل,minearbejder,37
892,العصر العباسي,abbasid.,97
13461,أقصر,kortere,14
4229,تقاطع,intercept.,15
13785,زيلندا,sjælland,11
3021,باراكودا,barracuda.,87
8300,الحمار الوحشي,zebra,52
5833,كوري,curie.,67
12668,تيري,terry.,22
10848,كارم,carr.,38
11647,حواء,eve.,31
14072,طلب,bestille,9
13821,هذا,det her,5
7400,ارشي,archie.,62
11792,البالية,slidt,30
3057,كاردستوك,cardstock.,88
11084,التعدين,minedrift,16
11974,بشكل كبير,væsentligt,28
11007,بورما,burma.,37
9112,مخروط,cone.,49
11789,ممثلة,skuespillerinde,29
13832,ملك,havde,6
3960,الصالح,retfærdig,83
1237,بفظاعة,forfærdelig,22
8178,يصدر,eksport,38
6226,بوكا,boca.,70
13079,شجرة,træ,16
1430,مبرر,gratuitous.,45
12387,إبريق,ep.,25
10231,مارت,mart.,41
13876,حكومة,regering,9
5460,بام,pam.,75
6766,الحجاج,pilgrimme.,59
8130,جودي,judy.,58
13511,تورونتو,toronto.,13
7345,تكافل,solidaritet,62
8183,تسمانيا,tasmanian.,58
5025,الكاتالونية,catalansk,77
13597,اطلاق النار,skud,12
10878,ألباني,albany.,38
2525,الرباط,ligament.,79
11903,مليا,em.,27
9429,مايو,mayo.,48
8687,متجهم,barsk,54
8161,استحواذ,erhvervelse,51
975,يحرض,tilskynde,62
12850,ألين,allen,20
14328,قاد,led,10
983,تكسان,texan.,38
13122,النجوم,stars.,9
9556,نوم,nu.,42
13452,يعتقد,troede,5
11127,سومرست,somerset.,36
1621,البوليسترين,polystyren,94
5620,مكوندو,condor.,72
6593,سلام,slumkvarter,65
11798,نمو,vokser.,22
4568,ليونيد,leonid.,80
11064,شون,shawn.,36
1789,عنقى,cervical.,93
1271,طماع,grådig,95
9785,مدفون,buried.,36
23,آمين,amen.,81
9602,وستون,tres,42
10766,الخرسانة,beton,38
8613,سماع,hearsay.,54
3878,انجليزيه,englishman.,84
12639,أقصى,maksimum,22
12485,مخفض,reduceret,16
931,سنتريول.,centriole.,97
814,جازي,jazzy.,98
14462,ينتج,fremstille,7
10340,إبهام,tommelfinger,40
6405,كرومويل,cromwell.,69
2588,تعرف على,bekendtskab,67
9946,صهيون,zion.,44
4778,أنابوليس,annapolis.,79
12021,بالمر,palmer.,27
6369,محكمة,courthouse.,69
1715,كورا,cora.,94
2111,ليمفوما,lymfom,91
8824,تاجر,købmand,47
5784,المد والجزر,tides.,33
10968,ديلاوير,delaware.,37
13256,فيكتوريا,victoria.,15
5398,راهبة,nonne,65
7346,الهيليوم,helium.,62
13522,كعب,stub.,13
10367,تات,tat.,40
277,سيارات السيدان,sedans.,49
12568,دورة,cyklus,17
5941,الرسوبية,sedimentary.,72
11616,عنصرية,racisme,31
9439,أندورا,andorra.,48
5011,المواهب,talenter.,32
12464,ملصق,plakat,22
7812,سميثرز,smithers.,60
9169,مرارة - مر,bitter,49
673,الأسمنت,cementeret,60
5249,هيمن,hanter.,76
13064,الجحيم,helvede,18
6975,ج إس,js.,65
14086,جيش,militær,10
8348,غير مدعوم,usubstantiated.,56
5227,الوثن,fetishisme.,64
9524,فودو,voodoo,47
11441,طرق,ruter,16
3654,راكر,rucker.,85
6452,شوق,stinkdyr,69
10321,صانع الأحذية,shoemaker.,41
14036,بيت,hjem,7
4453,الذليل,spaniel.,80
4752,الجرأة,audacity.,79
4275,الإسباني,spaniard.,68
13916,منتج,produkt,8
11425,كانبيرا,canberra.,33
8222,هون,hunde,51
2906,مركسي,mercantilism.,70
7707,بيترسن,petersen.,61
6708,فرانكشتاين,frankenstein.,67
10316,مخبأ,cache,37
2821,دانغ,dang.,88
5279,رقاص الساعة,pendul,75
7461,عطلة,ferie,47
9739,البريد الإلكتروني,webber.,46
7371,بوير,boyer.,62
10336,أصغر,mindste.,41
2481,repercussions.,konsekvenser.,88
10043,مونيكا,monica.,43
7736,صدى,resonans.,56
11421,ظروف,omstændigheder,31
7763,تيرابايت,tb.,55
5295,سيون,sion.,76
13467,الإذن,tilladelse,13
14153,امتحان,prøve,5
4117,إخفاء,skjulte,82
2225,براهمين,brahmin,78
10921,هرم,pyramide,32
11392,دكتور جامعى,professor,31
9515,بصف,pf,48
12315,المكسيكي,mexicansk,25
12750,ديك.,dick.,21
4095,فداء,frelse,81
3710,سوبرا,supra.,85
13179,جريمة,forbrydelse,10
1423,تيروزين,tyrosine.,95
6295,سوي,sui.,70
3738,الصيادين,fiskere.,85
10267,الخطوط الجوية العظمى,airways.,40
703,مصباح يدوي,lommelygte,93
12874,مصارعة,brydning,19
14098,غادر,venstre,8
4417,إعادة تقسيم الدوائر,redistricting.,80
5428,أقرم,nox.,75
6613,سابل,sabel,67
13730,الأسبانية,spansk,12
10253,لوجان,logan.,42
11716,غلياد,gl.,30
2282,صاعق,svimlende.,76
13003,أبقى,holdt,18
11566,مفجر,bombers.,23
1969,نظرية المعرفة,epistemologi,87
2988,doubters.,tvivler.,84
3675,استغلال,tapping.,48
6262,لوكي,loki.,70
119,كامارا,camara.,100
13105,دقيق,nøjagtig,15
11269,مالطا,maltra,34
8137,تعثق,kram.,58
6133,استشر,esther.,70
13027,كريستوفر,christopher.,18
1661,إلكترونيات الطيران,avionics.,88
9252,قياس,metric.,48
12256,طومسون,thompson.,26
12774,الجنوب الشرقي,sydøstlige.,21
2733,السباكة,vvs,83
7599,بطانة,liner.,58
12598,أسطورة,legende,20
503,كريست,døbt.,90
2370,عمار,amar.,91
8123,فأس,økse,51
10148,شمبل,chimpanse,42
12688,مكتوبة,stavet,12
2300,نيكس,nix.,88
3291,اعترض,anstødeligt,87
1563,أوقيانوسيان,oceanian.,95
692,الصابئون,infidels.,79
12759,دين,religion,20
13036,يرمي,smed,18
770,الاحترازية,forsigtighed,98
4556,بريما,prima.,80
2855,غير مبالي,ligegyldig,84
6569,المهملة,forsømt,55
7082,يي.,yi.,64
4717,أوبال,opal.,79
5337,إبرة,nål,70
275,الإيبيرية,iberian.,99
9175,مكن,sk.,50
2714,العربات,gigs.,63
6361,ليمور,lemur.,69
614,التحقق من,kontrollere,93
373,سعفة,ringorm.,100
8253,كييف,kiev.,57
463,الباطل,falsehood.,82
6008,الماندرين,mandarin.,71
6049,أوتريخت,utrecht.,71
11544,مقعد,sæde,19
3152,أفقر,fattigste.,88
5708,مسلسل كوميدي,komedieserie,67
11193,هول,skrog,35
3210,عملاق,gigantisk,77
4662,جرعة مفرطة,overdosis,75
7448,ديان,diane.,54
6124,الأمونيا,ammoniak,70
12298,منزعج,upset.,23
12737,ميلر,miller.,21
6445,مالون,heron.,69
5136,نورسا,norma.,77
10018,بوينوس,buenos.,41
8124,قنب هندي,marijuana.,58
9190,الغاشم,brute,50
3798,مهدي,mahdi.,84
7123,يوان,yuan.,64
6467,أرجنت,argent.,69
8090,ميدلاند,midland.,43
993,انتقائي,eclectic.,97
13072,لوح,bølge,15
4205,رجعية,retro.,82
57,متضور جوعا,sultende,84
12914,قارئ,læser,9
3422,أسلحة,armory.,83
11200,فوضى,kaos,33
11635,غير واضح,uklar,31
1540,تربية الأحياء المائية,akvakultur,95
9136,المفارقة,paradoks,46
11054,نيل,neal.,36
3362,السيقان,stængler.,38
6529,ادعت,bestridt,35
3087,ناري,fiery.,88
13614,صينى,kinesisk,12
3026,المبيضات,blekere.,85
7058,ين,yen.,64
6038,البوري,mullet.,67
3890,سينا,sena.,84
11292,التوصل,opnå,17
10381,خرطوشة,patron,36
13737,جو,joe.,12
12726,جاهز,parat,20
2108,ميتزفه,mitzvah.,92
12322,اصوات,lyder,12
12061,في أى مكان,overalt,27
13852,بعض,nogle,6
8149,شرعت,indledt,47
13657,الوجيه,notabilitet,8
11485,هايتي,haiti.,32
7193,بارلو,barlow.,63
12236,نصف الوقت,halvleg,26
8033,وظيفي,funktionelt,20
3948,ساخر,sarkastisk,79
9887,ماركس,marx.,45
1169,النوع الفرعي,subtype.,93
8717,اثار,udløser,37
2440,صيدلية,pharmacological.,78
13906,كل,hver,8
10444,جيولوجيا,geologi,33
1107,حفظة,brugere.,42
11162,الكوكايين,kokain.,35
6932,فيرجيل,virgil.,65
9812,سوزوكي,suzuki.,45
1406,متأخرا,forsinket,95
7528,قائمة المصطلحات,ordliste,61
4535,أكثر ذكاء,smartere,80
7901,مريخي,martian.,58
1530,الرعاية الطبية,medicare.,95
12663,بوتر,potter.,22
11806,أسد,løve,17
13087,فلز,metal,17
525,كهربة,elektrificering,99
3168,العودية,rekursiv,81
10978,حلو,sød,36
8057,صدقت,ratificeret,54
12729,رايدر,rider.,16
5215,بطاقة بريدية,postkort,71
3194,مناديل,væv.,49
12043,مترو الانفاق,undergrundsbane,27
9364,بين عشية وضحاها,natten over,49
6661,سيولة الدم,hæmofili.,67
9882,إطار العمل,rammen,44
7784,فردون,verdun.,60
13940,مشتمل,inklusive,6
7186,نقش,gravering.,44
2929,الدوبامين,dopamin.,88
3454,بمعنى,viz.,87
9954,كشك,booth.,43
2055,باجيو,baguio.,92
4933,شواية,grill,62
1193,zs.,z er,96
4545,جبل جليد,isbjerg,80
12518,لائق بدنيا,passe,17
4647,بلانكو,blanco.,80
9660,الكالسيوم,kalk,47
2969,مطرقة,mallet.,87
13658,يبدو,synes,9
