ID,ARABE,FRENCH,INTERVAL
3548,فوه بركانيه,caldera,79
4987,كاكاو,cacao,69
10388,الطيارين,aviateurs,29
9272,خوذة,casque,37
543,تيز,t shirt,99
12802,عميق,Profond,12
6544,فيل,vilaine,57
302,شيكاري,shikari,100
338,راتاتويل,Ratatouille,100
6401,ثأر,Vendetta,58
3878,مزلق,glissement,77
1571,عابر,transitoire,93
12365,موراي,murray,15
11734,حاصف,hasn,19
9807,يختار، يقرر,opter,33
9812,حكايات,contes,33
9504,اليمن,Yémen,36
923,يسرع,bousculer,97
10045,روج,rouge,32
3238,غير قانوني,illicite,82
556,التملك الحر,enflammer,99
6760,لب,pulpe,56
1557,الفرنسيين,francaire,94
7176,جنس,genre,52
1817,الزبادي,Yaourt,92
6369,شمول,préparateur,59
5861,صرصور,gardon,62
3614,الجنين,fœtal,79
1080,قتال,querelle,96
10911,السيانتولوجيا,scientologie,25
13690,ميشيغان,Michigan,5
12504,بطل,héros,14
9579,اليانصيب,loterie,35
931,هاوية,abîme,97
2704,مرق,sauce,85
10189,تنبيه,notification,31
10411,كريا,crea,29
13471,علم,drapeau,7
7803,سيكلونيك,cyclonique,48
9136,ستالينجراد,stalingrad,38
3117,ريدفيلد,redfield,82
7546,الدلو,Verseau,50
455,مهرج,arlequin,100
8540,التماس,pétition,43
9079,المكان المقصود,destination,39
2259,كاسيوبيا,cassiopée,89
11626,أبولو,Apollon,20
9797,ماليزية,Malaisien,33
4869,وحدوية,unitaire,69
220,بوزير,poivrot,100
3566,حيرة,perplexe,79
254,أبنر,abner,100
7271,مربعات,carrés,52
10474,وانغ,wang,29
1314,شامان,chaman,95
9881,إرشاد,conseils,33
4178,لوسيل,lucille,75
182,نالوكسون,naloxone,100
5432,كيلت,kilt,65
1905,أفلام,réalisation,91
8474,وضوح,clarté,43
6929,كايزر,kaiser,55
13016,إدراك,très,10
6747,أثاث المنزل,meubles,56
11921,مانهاتن,Manhattan,18
6037,جوهرة,bijou,61
3097,بونتا,punta,82
6285,يقيم,avancé,59
12456,مهندس,ingénieur,14
1590,حرف متحرك,voyelle,93
4886,التقطير,distillation,69
8870,سيئة السمعة,célèbre,40
5829,قهري,convaincant,62
11255,مظلة,parachute,23
5881,هيدروكربون,hydrocarbure,62
1255,وقح,éhonté,95
13291,أنتوني,anthony,8
12825,أورليانز,Orléans,12
12564,مشدود,serré,13
5529,فاصوليا,des haricots,65
296,كروس,nœud,100
2797,هايوارد,hajou,85
6893,فيجي,fidjien,55
7399,رسول,apôtre,51
12184,الانتحار,suicide,16
12179,بريت,brett,16
8814,لورنس,laurence,41
7581,إفيل,Abel,50
1848,منحرف,de travers,92
12627,خيالي,fantaisie,13
8433,ليثيوم,lithium,43
6815,لتلر,lâche,55
11267,تدخل قضائي,intervention,23
11604,افتراضية,virtuel,20
11364,النهائيين,finalistes,22
5929,بولونيا,bologne,62
12584,حفرة,fosse,13
3130,كافكا,kafka,82
8443,غير ناضج,immature,43
4933,دقة,dard,69
11012,سلحفاة,tortue,25
6220,مارسيلو,marcello,60
6552,وباء,épidémie,57
123,سلام ,salaam,100
2995,بلاء,blume,83
509,المسوخ,mutants,99
4479,هير,héritier,72
11124,تسجيل صوتي,bande sonore,24
13460,قوي,fort,7
9568,اعطا,gimme,35
3170,ناقل,transférase,82
13069,هندوراس,Honduras,10
5565,ظليلة,ombragé,65
10843,الإخلاء,évacuation,26
2380,تابع,continue,88
10480,إثيوبي,éthiopien,29
8303,مطلق كلى كامل,dire,44
8964,رغم,dépit,40
7464,كليف,clive,50
5428,متزلج,patineur,65
8872,بنس,penny,40
3346,نفاق,hypocrisie,81
9287,تفاعلي,interactif,37
7139,هيبة,prestige,53
2010,أجمل,plus gentil,90
7078,الفضائح,scandales,53
13623,مسار,cours,6
1283,الثلاثي,triadelles,95
2810,تصريف المياه,drainage,85
212,والون,wallon,100
1907,مزحة,farce,91
8556,كوينسي,criminel,43
7213,وزن,peser,52
5058,أوزوريس,osiris,68
1941,مايونيز,Mayonnaise,91
2544,المسطح,aplué,87
3955,الساخرة,satirique,76
2746,كامبريان,Cambrien,85
5940,سباعي,septuple,62
13573,هيكل,structure,6
6578,إخوة,frères,57
6945,ألغيت,aboli,54
13695,دفاع,la défense,5
11112,شرح,légende,24
12437,ارتياح,soulagement,14
98,محترم,estimé,100
2271,مروعة,horrible,89
5688,برانديوين,brandywine,64
6571,تأليف,paternité,57
13513,تاج,couronne,7
808,لانسلوت,lancelot,98
2980,أطول,plus grand,83
6223,بلوتونيوم,plutonium,60
7359,المخمل,velours,51
6202,تخريب,sabotage,60
3468,شيلا,sheila,80
9418,يحيد,se réaliser,36
10872,كريه,terrible,26
4707,غير مسلح,sans armes,71
10490,سقف,toit,28
9668,نافورة,Fontaine,34
5650,أونك,klaxonner,64
6822,عرضة,projeté,55
6931,عصيدة,bouillie,55
3977,أنيق,élégant,76
5202,السياقات,certitude,67
11101,الرقابة,la censure,24
5084,تشيز كيك,cheesecake,68
301,إعادة تعريف,redéfinition,100
2992,ليس,ne pas,83
6492,جراب,cosse,58
8228,قس,tour,45
887,ما يقلد,doucement,97
11444,نيكولاس ,nicholas,22
10023,تحية,hommage,32
13394,يلتقي,se rencontre,7
5080,ليم,apprendre,68
1945,نجد,goutte,91
11957,الفجوة,trou,18
7466,الرصيف,Dock,50
5669,دوماس,Dumas,64
4207,منزلقات,glisser,74
13380,بندقية,arme à feu,7
5359,مترصد,harceleur,66
2319,فريدريك,Frederik,88
3571,غيور,jaloux,79
9039,عباءة,manteau,39
1429,اللامع,illustre,94
443,إفراغ,sévir,100
13437,المشار إليها,référencé,7
5625,باهت,baht,64
4715,هانوكا,hanaukkah,71
11617,عنصرية,racisme,20
3054,ميرف,mières,83
365,النبلاء,nobles,100
12044,مترو الانفاق,métro,17
3536,مخبأ,pirogue,79
3109,إتصال,impalla,82
8685,تفسير,interprété,42
13547,ساحل,côte,6
5754,تنازل,renoncer à,63
1039,مريب,de poisson,97
7436,أخوة,fraternité,51
7902,مريخي,martien,47
5839,صعودا,vers le haut,62
11362,اندريه,andre,22
8545,ويلر,weller,43
9632,شابمان,chapman,35
1327,مينوان,minoan,95
13616,التاغالوغية,tagalog,6
5894,تنفيس,se déplacer,62
10983,اعترف,reconnu,25
10801,مؤسسة,solidifier,26
4499,ارتفاع ضغط الدم,hypertension,72
4145,أوسعت,largeur,75
1550,مولدر,mugder,94
4894,أسهل,plus facile,69
1469,البطن,abdomen,94
7067,بيت لحم,Bethléem,53
8786,الترحيل,migration,41
11562,الدومينيكان,dominicain,21
5663,إحساس,sensation,64
10494,كروسبي,Crosby,28
12768,عقد، عشر سنوات,décennie,12
8250,الضرائب,taxe,45
13242,نعم,d accord,8
11450,غاريث,gare,21
4681,لم يكشف عنه,non dévoilé,71
6217,بياتريس,beatrice,60
13385,يقطع,couper,7
1547,باد,padre,94
4075,شبه جزيرة القرم,Crimée,75
11678,كلمات الاغنية,Paroles,20
2868,مبالغة,à la mer,84
11218,التيار,dominant,23
8312,جهاز,appareil,44
3326,بيبوب,bebop,81
9424,سائح,touristique,36
9296,استبعد,éliminer,37
3927,الحجر الزراعي,quarantaine,77
12420,تومي,tommy,14
11066,بلوتو,Pluton,24
8855,فصاعدا,À partir de,40
8074,الى الشاطئ,à terre,46
1367,كريسبين,crispin,95
13236,الاستعمال,usage,9
11169,عذر,excuse,24
9374,حشرة,bogue,37
10972,جاكي,jackie,25
11258,هدم,détruire,23
4344,اينوك,enoch,74
4929,قرون,en faille,69
10867,انخفاض,déclin,26
6146,واجا,wagga,60
2598,القراء,lectorat,86
7342,القس,révérend,51
2145,لا يمكن الوصول إليها,inaccessible,90
5347,الكروم,chrome,66
3981,المجاور,attenant,76
6719,متفرقات,divers,56
2618,ينجح,réussir,86
3777,الخروج,excitant,77
9749,قفص,cage,34
4791,دروري,drury,70
6268,فكر,paysan,59
1787,الدلماسية,dalmatien,92
1661,كارب,carpe,93
11687,أيمن,New York,20
9327,اللتوانية,lituanien,37
11963,إيفانز,Evans,18
8093,ركب,roder,46
10068,الصحفيين,journalistes,32
8157,خام,minerai,45
9242,لا رجال,pas d hommes,38
9482,كورب,corpes,36
8835,أشيب,grizzli,41
12878,أعلى,supérieur,11
9035,ميلون,mellon,39
6133,ماجي,magrifier,60
4431,سونج,chiquer,72
11151,يخفي,cacher,24
6438,حرفي,artisan,58
9077,بيزار,bizarre,39
9727,دوب,doqueux,34
8710,سوني,fiston,41
9953,شكرا,Merci,32
9793,دويتشه,Deutsche,33
3344,الانقسام المتساوي,mitose,81
8919,إلزامي,obligatoire,40
9725,فلينت,silex,34
13615,صينى,chinois,6
5511,غيبوبة,coma,65
7137,أسفرت,a abouti,53
12502,هوميروس,Homère,14
10887,مفرزة,détachement,26
11550,شيطان,démon,21
3717,احتفاظ,rétention,78
12459,بيدرو,pédro,14
84,سلي,souiller,100
11581,فيكتور,Victor,21
11913,ويلي,willie,18
2579,صدار,gilet,87
10963,ثابتة,statique,25
11253,يعزى,attribué,23
4476,سكارفين,scarface,72
6140,بقعة,nappe,60
6038,المفضل,foule,61
9342,الكذمة,anastrophe,37
2862,عصب,cannes,84
1836,تضاريس,topographie,92
895,ممر,passe temps,97
13755,تحميل,télécharger,5
70,رجال الدين,clercs,100
4550,فركتوز,fructose,72
12416,فجر,aube,14
7427,جائزة,récompense,51
10216,هيل,vigoureux,30
13326,ضمان,assurer,8
4281,السنجاب,chipmunks,74
9120,عززت,renforcé,38
3303,الثكل,deuil,81
4079,بيلفو,bellevue,75
9075,مبعثر,éparpillé,39
11585,تشرشل,Churchill,20
8889,داء السكري,Diabète,40
9546,جميل,fantastique,35
6720,برت,burt,56
11970,ممتاز,excellent,18
9709,نزول,descente,34
7423,غير مألوف,inconnu,51
13070,نحوية,grammatical,10
7203,كولير,charbonnier,52
10303,مجد,gloire,30
2765,الركود,doldrums,85
9859,ساندويتش,sandwich,33
7937,حصى,gravier,47
7182,كبريتات,sulfate,52
1478,ناظر المدرسة,Directeur,94
6431,جدد,gimp,58
7552,القسوة,cruauté,50
11691,هارفارد,Harvard,20
607,ميثيلين,méthylène,99
9106,دمية,peluche,38
10228,الأرنب,lapin,30
7916,مرح,joyeux,47
4743,خجلان,honteux,70
12344,قاد,a conduit,15
6418,حجز,privilège,58
10892,باربرا,barbara,26
10435,تحت أسفل,sous sol,29
110,سداد,rembourser,100
7535,رامبوتان,ramboutan,50
2407,المعاد الاجتماعي,antisocial,88
3992,تعظيم,relate,76
13544,أعطى,donné,6
12251,مورقة,feuillu,16
6648,الإدراكي,cognitif,56
8395,محللون,analystes,44
6380,خطأ,à tort,58
13515,اميال,miles,7
7169,تحول,s avérer,53
7559,تأشيرة,visa,50
9468,ومع ذلك,néanmoins,36
11039,اهوار,le marais,24
9341,يتبول,pipi,37
3538,غريتا,greta,79
3769,غريب,exotique,77
1875,الفيروسات,virus,91
6605,ندى,rosée,57
461,الادمان,addictif,99
13303,متوسط,aversion,8
13309,كولورادو,Colorado,8
9243,الهدنة,armistice,38
5826,قطيع,troupeau,62
8992,العنوان الرئيسي,gros titre,39
6891,إشبيلية,Séville,55
1909,متوهجة,embrasé,91
8193,غاضب,banderoles,45
10432,الأوكرانية,ukrainien,29
4376,بانورامي,panoramique,73
6894,تشغيل,rackers,55
1620,علبه,grenier,93
8858,أصلع,chauve,40
11853,مص,sucer,19
12017,المخزون,Stock,17
7317,سكري,brancher,52
11312,الغاء التحميل,annuler,22
4544,التعريفات,tarifs,72
12290,قصر,palais,15
6152,محمي,protecteur,60
10330,تصفح,Feuilleter,30
6022,غير راغبة,peu disposé,61
11164,الحضارة,civilisation,24
8123,الوصول إليها,accédé,46
2825,صوفي,laineux,84
6560,جندي,troupes,57
12771,مبهج,joyeux,12
4481,تعادل,égalisé,72
7010,رجا,Raja,54
7403,استهلالي,introductif,51
12726,طار,volant,12
5724,راوي,caissier,63
3505,باغودي,pagode,79
9389,هونولولو,honolulu,36
9491,ضئيل,étroitement,36
13269,7,7ème,8
9463,غرينتش,greenwich,36
246,إدارة,administrer,100
6430,عكسي,hébergé,58
1870,نيسم,nist,91
4153,موقع,avant poste,75
7258,الحج,hajj,52
560,كاتسكيل,catskill,99
2762,بالكفاءة,sans cesse,85
1614,سيلون,Ceylan,93
5187,معامل في الرياضيات او درجة,coefficient,67
312,ساري,sari,100
8700,قسمة,répartition,42
13360,استشهد,cité,8
10882,سميك,épais,26
9781,صارم,arrière,34
3826,الأسطول,flottille,77
13067,المصاب,blessé,10
7711,انقضاء,expiration,49
7637,كيكرز,botteur,49
10861,بكر,vierge,26
463,على النقيض,contrasté,99
9884,قلعة,forteresse,33
61,الحمولة,charge utile,100
5032,متناسق,harmonique,68
7721,سمسم,tiller,49
4661,ديد,drainer,71
12380,وزن,poids,15
13572,متنوع,divers,6
4197,الخلايا العصبية,neurone,74
5403,حافة,jante,65
8106,واع,conscient,46
6496,الحكام,dirigeants,58
12558,رمادي,gris,13
9639,برونكس,bronx,35
5119,كونر,conner,68
12969,بديهي,évident,10
2209,المعايرة,titrage,89
4795,هيرشيل,herschel,70
6996,الرواق,couloir,54
2761,مريلة,bavoir,85
12311,ترتفع,se lever,15
9135,جينيت,janet,38
4995,قوة القوة,centrale,69
9146,بصراحة,ouvertement,38
4492,هستيريا,hystérie,72
3817,دواجن,la volaille,77
3143,نفسيا,psychoactif,82
10789,بانكوك,bangkok,26
1768,المعاشات التقاعدية,pensions,92
10401,سبرينغفيلد,Springfield,29
6016,شرقي,à l est,61
2652,الهيموغلوبين,hémoglobine,86
7008,ستينغراي,Raie,54
10753,مايلوت,maillot,27
11238,جاء,général,23
12337,الهجرة,immigration,15
3545,هوكينج,hocking,79
5974,مات,mater,61
9307,رجال الشرطة,policiers,37
10087,كنغر,kangourou,31
1137,حريش,Mille Pattes,96
8763,التمساح,alligator,41
6261,متعطل,défectueux,59
10802,هايز,hayes,26
8011,المضمن,embarqué,46
6679,حجر الكلس,calcaire,56
9385,تال,monticule,36
216,بات,voile,100
13466,يسلم,main,7
11209,هوليوود,hollywood,23
11487,شيفيلد,Sheffield,21
32,غافل,inconscient,100
9432,شيرلي,shirley,36
898,بالنيموث,monstre,97
7200,الشرطي,policier,52
10729,وتوقع,prédit,27
11287,ينزع,tendre,23
4175,شظية,shrapnel,75
13165,وظيفة,rôle,9
10827,كورال,corail,26
10038,محسوس   ملموس,perçu,32
215,ييكيس,Yikes,100
11009,السفارة,ambassade,25
5175,مهبلي,vaginal,67
29,الانحراف,diffraction,100
10225,كوب,cobb,30
8290,علامة,marqueur,44
2789,رامبرانت,Rembrandt,85
1775,منظرا,parallaxe,92
3308,طوق,cordon,81
11203,لوجة,panneau,23
4753,الجرأة,audacité,70
12434,اللغة التركية,turc,14
4242,كرافت,kraft,74
2774,هزيمة,ruisseler,85
1133,باندا,banda,96
5164,خصم,remise,67
5850,مشرف,mezzanine,62
12620,خان,khan,13
5152,رياضي,sportif,67
5951,الدانوب,Danube,62
6688,جايوس,gaius,56
1600,هاردن,durcir,93
12252,مقدس,Saint,16
11552,انطلاق,démarrer,21
6319,ردفان,fesses,59
1520,العابث,violoneux,94
10663,باستمرار,constamment,27
7344,التشجيع,cheerleading,51
9528,انفصال,séparation,35
7636,فلس,maigre,49
10363,يزيد,augmente,29
11719,مايا,Maya,20
9266,قضائي,judiciaire,37
5328,ضايق,détresse,66
555,ضبابي,brumeux,99
3135,غير مرغوب فيه,indésirable,82
12837,آلان,alan,11
7776,أنتوني,antonie,48
9383,طبول,tambours,36
9651,تافه,banal,35
1073,الكنوز,trésors,96
7115,البرمائيات,amphibie,53
7461,الرامي,tireur,50
9479,الفاشية,fascisme,36
8817,جاليليو,galilé,41
8623,آذان,oreilles,42
12094,أوكرانيا,Ukraine,17
5441,قسامة,aliquote,65
11242,غاضب,en colère,23
12687,أنيق   مرتب,bien rangé,13
10803,بيتزا,Pizza,26
2187,شاي,shay,89
8476,تحولت,transformé,43
6069,يصر على,insiste sur,61
10736,شتم,impiété,27
1309,السوامة,swami,95
1113,المدربين,instructeurs,96
1815,جالين,galen,92
2462,تات,tota,87
4020,الدخان,enfumé,76
12787,فانكوفر,vancouver,12
4627,نائب,triton,71
10846,تاكر,tucker,26
8373,ماكبث,Macbeth,44
12522,اقتراح,mouvement,14
3715,الفونوغراف,phonographe,78
7780,انتفاخ,flatulence,48
7974,سوفولك,suffolque,47
72,المرجعية,référentiel,100
13594,ديف,dave,6
11946,الحاديه عشر,onzième,18
9361,بريت,bret,37
10931,سبارتا,Sparte,25
1046,شوكتاو,choctaw,97
5037,فرجينيا,virginien,68
12356,طيران,aviation,15
2141,غارق,trempé,90
6727,استدعى,convoqué,56
268,الظل,tangente,100
7247,الأحدث,nouveau,52
2488,جسدي,physique,87
476,إذن,omettre,99
4637,مالارد,colvert,71
565,متوسطة,séquilitur,99
9610,خطاط,linger,35
4018,الانقلاب,solstice,76
13737,جمهورية,république,5
1346,شبح,lutin,95
7097,فيولا,alto,53
9563,راتب,un salaire,35
9861,لويز,Louise,33
5440,الاضطرابات,la tourmente,65
4483,تايت,taut,72
1950,بانديت,bandit,91
9330,ساكن,habitant,37
760,مزيل عرق,déodorant,98
8300,جناح,pavillon,44
12350,تاريخي,historique,15
1809,اجتاح,envahir,92
5017,عدو للمسيح,Antéchrist,68
1528,بيغمي,pygmée,94
562,نبات الهليون,asperges,99
13175,بعض الأحيان,parfois,9
12246,أميرة,princesse,16
11069,بيضة,Oeuf,24
2969,التحريض,agitation,83
3049,مرجل,chaudron,83
3729,أثث,fournir,78
11180,بانيان,banian,23
11336,مجاملة,courtoisie,22
10935,البيتلز,beatles,25
13226,سقط,est tombée,9
7863,لم يعجبنى,Ne pas aimer,48
6754,البريل,béryl,56
11743,إمبراطورية,empereur,19
3774,متعدد الجوانب والاستعمالات,polyvalent,77
6512,ميركات,méserkat,58
4792,من غير المكتسب,non gagné,70
5434,كولي,colley,65
1885,لوب,lupe,91
3339,الملكية الملكية,royaliste,81
5661,نعش,cercueil,64
13605,رياضات,des sports,6
11228,على سبيل المثال,par exemple,23
13629,عمود,pôle,6
8393,كمبرلاند,cumberland,44
13261,بنك,Banque,8
1419,الندرة,rareté,94
11739,غريغوريان,grégorien,19
11211,باك,pacer,23
10586,المدمج,compact,28
6753,استهل,décharge,56
985,بولو,bolo,97
11526,عد,revenir,21
7602,فارغ,annuler,49
4247,الهزازات,shakers,74
7548,يخت,yacht,50
4168,جيجر,Geiger,75
7452,زملاء,collègues,50
12775,الجنوب الشرقي,sud est,12
2299,هيدروكلوريد,chlorhydrate,88
12657,هنغاريا,Hongrie,13
11250,دبلن,dublin,23
11201,فوضى,le chaos,23
9404,دمر,descendance,36
5980,طموح,ambitieux,61
2958,مكبر,abrider,83
