ID,ARABE,POLONAIS,INTERVAL
12744,كارثة,katastrofa,17
10558,مصطنع,sztuczny,38
13133,النقاش,debata,14
10368,تاكو,taco.,41
3604,يرقة,gąsienica,83
1940,مايونيز,majonez,93
7249,بقي,burgess.,61
3829,كرواتي,chorwat,84
12951,كيلي,kelly.,19
12722,أم,mama,21
11126,متستر,podstępny,36
6836,الأوراق النقدية,banknoty,36
8107,مسدسات,pistolety,40
728,جرام,dugong.,97
5994,كحولي,trunek,69
11494,شالوم,shalom.,33
7908,صهيونية,syjonizm,60
4183,البنكرياس,trzustka,82
10791,أربعة عشرة,czternaście,38
5363,هيدروكسيد,wodorotlenek,75
9733,القمري,księżycowy,46
5143,هوموفوبيا,homofobia.,77
3005,الميثيسيلين,metycylina,88
10039,نتروجين,azot,43
4276,underworld.,męt,82
12368,مكسب,zdobyć,13
13878,لذا,więc,5
11457,بليغ,bałtycki,33
571,مسكن,akademik,90
11997,تعهد,cofająca się fala morska,28
5573,طوبولوجيا,topologia,64
7506,اليسوعي,jezuita,60
2224,كايف,odrzutowiec,91
12622,أودي,oda.,23
5626,بوم.,bom.,74
1058,حماسة,gorliwość,96
10128,سيمونز,simmons.,43
10332,فلورنس,florencja,42
5200,قطه صغيرة,kotek,71
14511,يترك,zostawić,7
14379,جانب,strona,10
12408,ردع,powstrzymać,24
8880,أوسلو,osło,53
11503,التبت,tybet.,33
6805,على نطاق واسع,rozłożysto,66
4028,وفرة,obfitość,65
13091,بحث وتطوير,r & d,18
10626,ليمون,cytrynowy,38
6842,نباتي,wegetarianizm,59
2360,براكين,orlica,89
12383,اعمال صيانة,konserwacja,25
8345,سلالة,sala.,57
13928,مجموعة,grupa,7
5872,الفوضوي,chaotyczny,71
9575,الوقت ذاته,równocześnie,42
3833,بكين,peking.,78
12554,كينيدي,kennedy,23
12123,ريال سعودى,sr.,27
2367,برز,prosperować,54
6257,أمتعة,bagaż,70
2788,رامبرانت,rembrandt.,89
8639,العقرب,żądło,53
10498,إعادة كتابة,przepisany,40
12691,ودود,przyjazny,22
6108,درابر,sukiennik,71
12058,أمور تافهة,drobnostki,28
10169,هسارس,hussars.,42
2432,حقيبة سفر,walizka,87
3035,جاكوبي,jacoby.,88
12616,عملة,waluta,22
3235,التهاب السحايا,zapalenie opon mózgowych,86
7262,ستيلا,stella.,63
5274,الإنجيليون,ewangelion,76
4849,الشتات,diaspora.,78
3932,نطق,wymawiać,39
859,باورز,bowers.,74
12158,شيطان,diabeł,19
9772,حظيرة الثيران,bullpen.,45
10976,جلد,skóra,33
4926,بانج,ostry ból,77
8582,خمارة,zajazd,45
6183,كارتل,kartel,66
1098,صفارات الإنذار,syreny,71
11022,غياب,brak,37
12406,سمين,tłuszcz,24
12137,موحد,ujednolicony,27
9142,أنشر,niniejszym,51
5799,التحفظ,konserwatyzm,73
4927,ميلبارس,millibary,74
3682,firestone.,ognisty kamień,85
12926,ثري,bogaty,19
3003,مها,maha.,88
11079,جنوب شرق,południowo-wschodni.,37
4911,ماركوني,marconi.,78
8783,ورقة,arkusz,42
9251,القصدير,cyna,49
8839,متعود,przyzwyczajenie,53
13376,ميامي,miami,15
7264,وافل,wafel,60
8119,المصارعون,gladiatorowie.,45
133,زنجبار,zanzibar.,100
13670,مصطلحات,warunki,8
1673,تعرف,oswajać,89
6445,مالون,czapla,69
3370,الأدينوزين,adenozyna,87
9756,بشرية,ludzkość,46
107,فيجارو,figaro.,100
1228,wettest.,najwilgotniejsze,96
6111,عدو,nemezys,71
3934,بيرثا,kołnierz koronkowy,83
10073,أوقية,oz.,44
14358,الإنفاق,wydatki,27
14116,يونيو,czerwiec,6
3972,ربعي,kwartalny,83
8516,تكثيف,intensyfikacja,55
6476,بحدة,ostro,69
13370,طاقة,energia,15
7737,إيرين,irene,61
6516,الطاقة الكهرومائية,hydromasaczni,69
1524,متطفل,wścibski,95
12272,بابا الفاتيكان,papież,25
6459,صدأ,rdza,65
1733,توصف,hyped.,58
13654,سام,sam.,12
11413,المتداول,walcowanie,18
10444,جيولوجيا,geologia,33
5376,shoplifting.,kradzież sklepowa,71
3632,غير متناسب,nieproporcjonalny,78
11337,القرف,gówno,34
10300,تغذيها,karmiony,41
3783,الكانتونية,kantończyk,84
12642,وسائل الترفيه,rozrywka,19
12087,واضح,pozorny,16
9810,أوقيانوسيا,oceanii.,45
10313,المشي,pieszy,13
13862,سنين,lata,6
11934,جامايكا,jamajka,29
13423,ابكر,wcześniej,14
815,خط العنق,dekolt,87
2250,جلسة عامة,plenarny,91
12377,كامبل,campbell.,25
1019,airtstrip.,lądowisko,92
12246,شعر,włosy,26
3478,الصحابة,towarzysze,53
8245,اختراق,przełom,54
8879,سينيكا,seneca.,53
764,مانكس,manx.,98
8724,ربت,zimnica,53
3219,أطر,fleur.,88
5374,حولا,hula.,75
12061,في أى مكان,gdziekolwiek,28
4862,قانونيا,ustawowy,78
2897,الكوليسترول,cholesterol,88
11568,أي أكثر من ذلك,nie więcej,32
13495,راحة,odpoczynek,13
8938,فقس,właz,50
4916,غير محتمل,nieprawdopodobny,76
459,الأشعة المقطعية,tomografia,99
2980,المدفأة,kominek,87
10859,كلي,kolegialny,38
9801,توي,toi.,46
13333,معقول,rozsądnie,6
12450,بطة,kaczka,20
2645,حكم الفرد المطلق,autokracja,90
10053,هولك,ponton,43
10993,المعمدان,baptysta,36
13476,مستقيم,proste,14
10924,ايمي,amy.,35
9618,هولي,ostrokrzew,46
12631,رمادي,szary,22
5725,حذرهم,zwracać uwagę,66
13987,قضية,sprawa,6
1299,مشروح,adnotacyjny,83
800,درويد,druid,88
5250,كربوكسيل,karboksylanowy,60
3615,الرتيلاء,tarantula,85
773,راين,rhein.,98
6943,سيناترا,sinatra.,65
5372,تحدد,ext.,75
6960,طريق سريع,droga wolna,61
12283,بيرو,peru,26
878,أماريلو,amarillo.,97
9207,هوكينز,hawkins.,50
85,وقت الحلم,czas snu,100
12774,الجنوب الشرقي,południowo-wschodni,21
9788,وجبة افطار,śniadanie,45
12686,أنيق - مرتب,uporządkowane,22
13794,و,i,5
11450,بيتا,beta.,33
8801,النيكل,nikiel,51
1938,إدراكه,kompetentny,91
9070,انسان الغابة,orangutan.,51
11950,ذكرى سنوية,rocznica,28
2042,سود.,sud.,90
13316,القديس,święty,13
13801,قال,powiedział,8
337,راتاتويل,ratatouille.,100
3765,دوريان,durian.,84
9449,دوم,dom.,48
157,كابسة ورق,zszywacz,100
2091,سوانك,pozować,92
12866,كا,ca.,20
5323,قافية,wierszyk,62
5622,بلا منازع,bezsprzeczny,70
9812,سوزوكي,suzuki.,45
13498,مقاتل,wojownik,12
14414,لا تستطيع,nie mogę,11
1529,المستقيم,odbytnica,95
13014,واقعي,faktyczny,17
7649,بوذي,buddyjski,59
3303,وصفة طبية,recepta,81
9262,مصارع,zapaśnik,43
14500,إستراتيجية,strategia,30
9410,دون قصد,nieumyślnie,47
10383,غير رسمي,nieoficjalny,38
3961,معتولي,morons.,49
12638,الشدة,intensywność,17
1808,اجتاح,przecedzić,93
9314,بيركلي,berkeley.,50
1279,ثقب,przebity,66
5835,نجم البحر,rozgwiazda,72
6911,قطة صغيرة,kicia,65
11875,فلسفة,filozofia,29
3358,البولية,moczowy,87
11418,مرآة,lustro,30
6435,الأفارقة,afrykanie.,13
12839,الخريف,wiosna,18
4815,خزانة الثياب,szafa na ubrania,77
7956,بوخارست,bukareszt,59
11569,لوم,winić,24
11400,وارنر,warner.,33
10043,مونيكا,monica.,44
6622,روفيليا,pedofilia.,68
5665,ماما,milczący,41
199,جيرترود,gertrud.,100
11703,عمودي,kolumna,27
4397,بوفورت,beaufort.,81
12415,فجر,świt,24
4647,بلانكو,blanco.,80
12718,حاكم,gov.,22
13890,لكل,za,11
2423,newswshenthy.,warty opublikowania,90
9811,حكايات,opowieści,30
2992,سكروم,scrum.,88
2319,تمايل,kołysać,81
610,تعويذة، شعار,mantra.,97
525,كهربة,elektryfikacja,99
7906,استنتج,rozumować,60
6823,دونا,donna.,65
9078,المكان المقصود,miejsce docelowe,38
12999,مجهول,nieznany,19
7691,هندسي,geometryczny,59
12102,بروتوكول,protokół,26
10581,بوبيت,bobet,40
4539,الديانات,dieses.,80
6541,الناصرة,nazarety,68
10057,هاكني,banalizować,44
1162,باتيمان,bateman.,96
22,أحمر الشفاه,pomadka,100
2277,جستينيان,justinianin.,91
3912,emigy.,wizerunek,80
1119,التحليل الكهربائي,elektroliza,96
7500,يلوستون,yellowstone.,62
8200,قليل الدسم,lite.,57
415,ماكسي,maxi.,89
9366,فولتا.,volta.,49
7753,وايت,strzyga,61
9446,بعقب,krupon,41
4339,كانيا,cowan.,82
4199,أحرف صغيرة,małe litery,82
8463,الأفيون,opium,56
14416,الحصول,dostawanie,7
7247,هدير,ryk,50
2196,روشيل,rochelle.,91
13775,أيرلندا,irlandia,11
13338,مم,mm.,15
12369,تفاحة,jabłko,24
11297,كات,kat.,33
12277,جاغا,jaga.,26
2282,صاعق,oszałamiający,76
14508,وثائق,dokumenty,12
9784,الغرور,próżność,45
4092,توتو,tutu.,83
2697,عديمي الجنسية,bezpański,83
9574,والي,wally.,46
11275,المرشحين,nominowane,31
825,الوحدات السكنية,kondominia,84
4316,الخرقاء,niezdarny,80
12780,كوبا,kuba,21
1500,بصورة مذهلة,spektakularnie,95
1445,مهيب,majestatyczny,93
12946,اختيار.,wybieranie,11
11871,ضار,złośliwy,24
13300,رفع,uniesiony,13
11033,حامية,garnizon,33
9468,با,ba.,45
10097,مرافقة,eskorta,36
2459,السجائر,papierosy.,49
13162,على التوالي,kolejny,17
3019,منظف,detergent,88
1206,الجرب,świerzb,96
2057,سباير,iglica,88
9440,ماو,mao.,49
5388,سعي,dążyć,67
5050,المراجعة,rewizjonistyczny,71
11548,نسبة,stosunek,31
11009,دوران,obrót,26
5454,مراهقة,nastolatek,33
7367,الماركسي,marksista,59
9980,إعادة الإعمار,rekonstrukcja,39
9880,إرشاد,przewodnictwo,45
10363,الثنائية,dwójkowy,41
1598,المفكرين,myśliciele,86
970,السعرات الحرارية,kaloria,88
166,بلواي,beltway.,100
1984,مانج,mang.,91
2841,دلل,koker,88
12422,مضحك,śmieszne,24
7311,تلا,dt.,62
7178,دلف,dl.,64
3863,ماء نقي,czysta woda,84
2502,بيلهام,pelham.,90
10544,حلقه,pętla,34
3415,الأكرينا,okaryna,87
6480,عضلات قلبية,sercowy,69
7646,أواد,od.,61
5360,سكري,szkorbut,75
3410,مياه عذبة,słodkowodny,87
1357,القلوية,alkaliczny,93
12911,متحف,muzeum,19
315,حيد,samotnik.,100
13826,كان,został,5
7695,رائد فضاء,astronauta,53
5682,حلمة الثدي,sutek,68
626,اللافقاريات,bezkręgowy,98
3338,الملكية الملكية,rojalista,80
11331,شارة,insygnia,34
14145,يتصل,dzwonić,8
8282,بوسيدون,poseidon.,57
1499,روجان,rogan.,95
4555,فلاف,flav.,80
6412,مذكرة,memorandum,68
11207,جوان,joan.,35
5170,يستفز,sprowokować,50
3482,الموسع,powiększony,51
9327,مدبلجة,dubbed.,41
13750,فرصة,możliwość,11
13479,منعطف _ دور,skręcać,9
1973,حاهتة,ahunt.,93
12601,ما يعادل,równowartość,22
3537,غريتا,greta.,86
6885,البوير,bić,66
1564,الرامح,włócznik,95
5129,الجرام,lalek,77
5477,ميم,mim,73
5813,غامبيا,gambia.,73
1519,العابث,skrzypek,94
8482,قمح,ziarno,50
13045,ديسكو,dyskoteka,18
12494,ديج,dj.,24
9833,ألامو,alamo.,43
2917,تشيبا,chiba.,88
12089,مرونة,kompromis,19
12360,ثلج,śnieg,25
8996,همسة,szept,32
12499,الإرهاب,terroryzm,18
2699,بلوري,krystaliczny,89
11582,تايلر,tyler.,32
9712,سيرك,cyrk,46
13915,لك,twój,5
4376,بته,bitte.,81
11406,هوك,jastrząb,18
12502,الحضاري,miejski,23
9023,أحدث,nowszy,52
608,باديكير,pedicure,99
14284,بالرغم من,chociaż,5
3640,انقطاع,czop,66
1848,متغيب عن العمل,bumelant,87
1470,بيب,werwa,91
11119,فاي,fi.,36
7186,نقش,rytownictwo,44
8981,لودفيغ,ludwig.,52
8489,أرويو,arroyo,55
13707,بوسطن,boston,12
5235,شيه,shih.,76
7832,ديكنز,licho,60
7223,موصل,złącze,60
959,جالور,dzielność,97
6578,أسبرجر,asperger,68
10539,عقيدة,doktryna,38
2670,المنغنيز,mangan,90
11222,النمساوي,austriacki,35
7830,أخيل,achilles,60
8660,الفراء,futro,52
2325,باريتون,baryton,91
12693,الفأر,mysz,22
5959,جلام,glam.,71
1671,اليوسفي,mandarynki.,75
11811,جرينادير,grenadier,29
7139,أوغسطين,augustyn,60
7675,عبوس,zmarszczył brwi,55
13395,اللون,kolor,12
12200,نسبيا,stosunkowo,19
5884,وتد,klin,68
5042,زمارة,brzęczyk,75
5486,إشعياء,izajasza,75
7193,بارلو,scyzoryk,64
593,الكروماتينية,chromatyna,99
10486,الجراحة,chirurgia,40
7115,ردهة,lobby,49
9166,التمييز,dyskryminacja,45
13210,انتخابات,wybory,9
13417,المذكورة,wspomniany,10
2795,بلاك بيري,jeżyna,89
9588,بطريقة مماثلة,podobnie,47
11440,الإكوادور,ekwador,33
1244,ينقط,freaking.,28
12079,حديقة,ogród,22
7789,الصفة,przymiotnik,55
760,pantoptical.,panoptyczny,98
8483,كتلة,blok,55
5691,هرمون تستوستيرون,testosteron.,73
10876,خامد,odrębny,23
1463,توبيخ,upomniany,79
9196,سيوكس,sioux.,50
4144,أوسعت,najszerszy,82
8254,كمان,skrzypce,56
1004,سمك أبو سيف,miecznik,97
3229,الضبع,hiena,88
3,عديم الشكل,amorficzny,100
407,ضلل,włączony,100
8805,سمفونية,symfonia,52
5047,ريددي,reddy,77
13854,خارج,na zewnątrz,6
4371,غير مؤات,niekorzyść,66
1949,بانديت,bandyta,59
7001,شابلن,chaplin.,65
4347,بيط,pte.,82
704,ناتشو,nacho.,98
1236,المواصفات,okular,63
6522,بيوس,pius.,67
4692,محمصة,opiekacz,76
382,هيلكريست,hillcrest.,100
11363,النهائيين,finaliści.,29
9603,تغذية,odżywianie,45
7586,توت العليق,malina,62
4774,الحمضيات,cytrus,79
8909,بابل,babilon.,52
7184,المنتقمون,mściciele,41
7774,بروكي,brookie.,61
13908,ها,jej,9
2243,كوت,kwotka,91
11800,برق,błyskawica,30
8266,هيا,ee.,57
5511,بحظر,słusznie,74
300,إعادة تعريف,redefinition.,96
1942,لازاروس,lazarus.,93
5198,مساعد الانزيم,koenzym,75
14507,مركز,centrum,9
8947,مختص بمجال علمي,uczony,36
5220,محاكاة,symulacja,38
11048,تنس الريشة,badminton,37
14247,قوة,siła,8
10901,مزورة,podróbka,35
11611,عكس ذلك,przeciwnie,32
7455,ستيريو,stereofoniczny,62
997,لوجر,luger.,97
7886,تجاوزت,przekroczony,38
14001,عدد قليل,kilka,6
7499,سطح المكتب,pulpit,62
7692,عشبة ضارة,chwast,57
6505,دوري,cykliczny,67
14517,الغربي,zachodni,11
12831,أفغانستان,afganistan,21
13164,وظيفة,rola,16
3608,تخبط,flądra,82
1768,شرقا,na wschód.,50
47,spitz.,szpic,100
12029,يحظر,zabronić,15
10503,إشعاع,promieniowanie,38
795,طيب المذاق,smaczny,96
376,pseudoscience.,pseudonauk,100
6371,خظر,cisza nocna,65
9202,نشوة,trans,50
14405,اكتوبر,październik,5
5586,ساذج,naiwny,70
5633,بومونا,pomona,73
13330,فطر,grzyb,15
12371,هارون,aaron.,25
3293,رجال القبائل,plemienia,87
950,ألدرين,aldrin.,97
11733,حاصف,hasn.,30
1552,شبت,koperek,93
11228,جلس,posiedzenie,24
4152,موقع,placówka,68
6255,اهتز,potrząśnięty,70
915,اندفاع,groch,97
270,مؤيد,zwolennik,72
4757,حصانة,odporność,48
14450,يضرب,uderzyć,8
5738,هلك,zginąć,64
4263,هيرتز,herc,82
2269,الفيلكرو,rzep,91
1971,بانتو,bantu.,93
13615,التاغالوغية,tagalog.,12
16,مهووس,maniakalny,99
9439,أندورا,andora.,49
10793,الإعدادية,przygotowawczy,38
6872,زوال,zgon,65
10243,بلفاست,belfast.,42
10158,مطعم,restauracja,37
7683,باتيل,patel.,61
11556,ملح,sól,30
5979,طموح,ambitny,70
4434,حثالة,szumowiny,80
2071,سرطان الجلد,czerniak,92
2903,عشاق,desi,88
3804,أسبرين,aspiryna,84
5991,إتنا,etna.,71
7920,مشاهد,widz,35
9843,سيادة,suwerenność,45
303,سليل,potomek,96
6600,الأخطاء,braterstwo,51
8741,ريميكس,remiks.,42
202,بيوتر,stop cyny z ołowiem,100
11899,متر,mierniki,25
2835,أطرافه,odnóża,71
12222,اكبر سنا,starszy,26
1601,مخرطة,tokarka,94
12233,بعد الظهر,popołudnie,26
9556,نوم,nu.,43
12850,ألين,allen.,20
8375,ميالى,sci.,56
2234,hitchhiker.,autostopowicz,84
8569,المغزى,dryf,35
12268,مسلم,muzułmański,21
6084,هاش,haszysz,65
10735,شتم,bluźnierstwo,28
8449,علم الزلازل,sejsmologia,54
8193,حاكمي,gubernatorski,58
11152,الكرة الطائرة,siatkówka,36
4705,speareded.,bzdura,62
10477,الجيش الجمهوري الايرلندي,ira,40
14150,قادر,zdolny,6
14513,ملحوظات,notatki,6
5883,الدائرة الانتخابية,okręg wyborczy,50
5284,يورمر,yorker.,67
13916,منتج,produkt,8
10079,الزراعة,rolniczy,29
1124,سماد,nawóz,96
4456,الديكارتية,kartezjański,81
4127,أوكتان,oktan,82
9530,جنيف,genewa,48
14353,موصوفة,opisane,9
11782,مارك,marc.,30
712,غير مكتوب,niepisany,98
6785,أسيتيل,acetyl,65
4454,تبخر,odparowanie,64
14443,مخلوق,utworzony,5
12852,غابة,las,19
10413,حاد,ostry,40
3646,بكرة,krążek linowy,84
14328,قاد,prowadzony,10
11855,ufer,uszczęśliwiać,29
8966,كرس,oddany,42
8165,حبوب,zboże,56
10070,متعبه,zmęczony,25
556,خطوة للخلف,bebunceback.,99
2889,مورا,mora,88
8503,المواطنة,obywatelstwo,55
2153,غير منضبط,niekontrolowany,81
10354,الخريجين,absolwenci.,41
8583,محاكم التفتيش,inkwizycja,54
5815,الضنك,dengue.,73
12721,غاز,gaz,14
1568,ييبي,yippie.,88
4483,بان,grzywa,76
9182,غيانا,gujana,51
5605,شعبيا,popularnie,74
357,فجوات,warcaby,95
1474,بيلبي,bilby.,95
8145,الالتهابي,zapalny,58
5131,فوليون,foliowy,77
3483,بارونيت.,baronet,79
7771,منارة,latarnia morska,59
4091,رادون,radon,83
4924,ناتال,urodzenia,78
1666,مضاهاة,obój,93
5602,اسم الملف,nazwa pliku,73
4908,غير مجاد غير مجد,nieplanowany,78
9281,العلاقات,relacje,26
13390,غذاء,jedzenie,14
11749,صحة,precyzja,30
1721,تتميز,scharakteryzowany,80
14343,حالياً,obecnie,7
5227,الوثن,fetyszizm,65
11150,يخفي,ukryć,26
62,حفار,koparka,89
14105,تنفيذي,wykonawczy,18
4350,خلفيات,tła,17
8758,مغناطيس,magnes,36
3271,المتزحلق,narciarz,76
2255,المهاجرين,migranci,70
4827,ولتر,obsypnik,78
9699,الشباك,wijący się,41
4167,جيجر,geiger.,82
7857,فضفاضة,luźno,30
6807,orphic.,orficki,66
3224,من السلاح,zdemilitaryzowany,84
3395,كيمبو,kimbo.,87
3146,الأنسولين,insulina,88
9328,ليندا,linda.,49
12247,كوستا,costa.,26
13638,يحدد,określa,7
12307,مجرد,zaledwie,8
11715,العبور,przejście,28
14017,التشغيل,operacyjny,6
9039,إعادة صياغة,remontowanie,48
7230,خيوط,outback.,63
5617,دوار الشمس,słonecznik,74
4251,كاسر الحجر,skalnica,82
3367,نفخة,ptyś,71
12194,العلامة التجارية,branding.,17
6009,سنة جيدة,dobry rok,71
7587,باو,gwizd,50
8432,ليثيوم,lit,56
7661,لينغ,molwa,61
4082,أی,ay.,83
8041,بوجوس,podrobiony,58
12603,دنفر,denver,23
13020,اتفاق,porozumienie,17
12832,اقتصادي,gospodarczy,17
9786,المصطلح,terminologia,46
3876,المقاوم,rezystor,82
4400,ميناء حر,wolny port,81
1948,خوف,khu.,93
10171,في أي مكان,nigdzie,43
6977,برزت,popychany,19
4484,غراسياس,gracias.,81
2679,روزاليند,rosalind.,90
1304,النجارة,obróbka drewna,87
12921,مكسور,złamany,20
6856,خط التاريخ,dateline.,66
7263,backstreet.,cicha uliczka,63
10911,الكلاب,psy,8
11309,البطريق,pingwin,24
1610,فرق,zmienność,93
10667,المتجه,wektor,38
6076,تأمل,medytacja,62
8988,فناني الأداء,wykonawcy,10
13184,بخفة,lekko,17
4660,ديد,dade.,79
10564,داف,lipny,40
5117,الغابات,lesisty teren,63
3377,بيستي,beastie.,85
6531,صلى,modlić się,55
449,مساعد الحكم,sędzia liniowy,100
6387,علماني,świecki,61
2180,النزهة,piknik,91
12772,نيابة,notre,21
3767,المبحرة,rejs,35
9029,سيبيريا,syberyjski,51
7000,المفاصل,knuckles.,62
12118,دودجرز,dodgers.,24
9359,المتحولين,konwertuje,17
8776,مومياء,mumia,53
9301,مسحوق,proszek,46
9879,القرم,krymski,45
1230,واجب,jobe.,96
11940,الكشفية,dyskografia,28
5926,طوعا، بمحض ارادتك,dobrowolnie,72
1007,هاملاين,hamline.,97
10274,كنيسة صغيرة,kaplica,42
1932,ميدي,midi.,92
11968,ديزني,disney.,28
8599,الوسائط المتعددة,multimedia.,55
12183,الانتحار,samobójstwo,25
5834,غمانون,gorman,72
3085,الكشف عن,ujawniać,61
2546,النيوكلوز,nukleolus.,90
8273,منظم,rodowity,45
802,ماتادور,matador.,96
12154,إيه,er.,26
3909,كروسستاون,crosstown.,84
11973,نانسي,nancy.,28
10638,اصغر سنا,młodszy,39
8790,السمسم,sezam,53
5009,تونغ,tong.,75
4166,جوزة,potykanie,82
9522,دال,dal.,48
13087,فلز,metal,17
10928,مفاوضات,negocjacje,26
4677,canuck.,kanadyjczyk,79
2374,كاب كيك,babeczka,90
11759,بيشوب,biskup,29
2074,سنتوريون,centurion.,85
10720,جيلبرت,gilbert.,38
14082,سان,san,10
6274,واك,wac.,70
10779,محور,oś,38
981,باه,bah.,97
5432,رومانو,romano.,75
12791,لاري.,larry.,21
6299,يسكنها,zamieszkany,37
10686,لوتس,lotos,39
3761,بعجلة,pochopnie,84
5019,مجعد,kręcone,77
6216,بياتريس,beatrice.,70
13681,أرسلت,wysłano,12
4178,داز,dz.,82
725,المنسوجات,tekstylia.,63
12918,استهداف,cel,13
6625,ذئب امريكى - كايوتى,kojot,52
7522,سيريوس,syrius.,62
5894,أوديسا,odessa,72
2434,عطار,oferent,87
5716,حفيد,wnuk,71
9103,البوتاسيوم,potas,51
6680,حلوى,banialuki,67
7346,الهيليوم,hel,63
13497,ميل بالساعة,mph.,13
12786,فانكوفر,vancouver,21
884,godspeed.,życzenia powodzenia,97
9592,متشدد,wojowniczy,29
12078,الهواة,amator,26
10278,فأر,szczur,38
2106,garesmen.,strażnicy.,92
4767,كانغ,kang.,79
8534,بلومباغو,grafit,55
1943,هدوء مؤقت,zastój,90
10379,جفاف,susza,40
8955,كلينت,clint.,52
14033,يفكر,myśleć,7
7495,بلبوا,balboa.,62
7191,عاهرة,prostytutka,62
9799,براغ,praga,46
11202,لوجة,płyta,32
12538,أنفق,zużyty,23
11397,استنتزع,wywnioskować,30
5307,فيليبو,filippo.,76
9765,لينش,zlinczować,42
8592,الفنزويلي,wenezuelski,54
3190,البعثات,wyprawy,33
13321,إسرائيلي,izraelski,14
5601,ريتر,ritter.,74
4157,فولغا,wołga.,82
11780,لوكسمبورغ,luksemburg,30
7844,بايبر,dudziarz,57
8493,عمليه التنفس,oddechowy,39
4673,غير ضار,niegroźny,79
5449,الأغنياء,idiotyczny,28
1414,زود الطعام,zaopatrywać,69
6017,مريم,miriam.,71
6843,جواز سفر,paszport,61
503,كريست,chrzcina,90
2931,farthest.,najdalej,88
2130,interlaced.,przeplatający się,78
4280,السنجاب,chipmunks.,61
9066,ملخص,streszczenie,51
10762,اصطفوا,skład,37
4158,بورلي,burley.,82
13461,أقصر,krótszy.,14
3779,كيتس,keats.,83
5532,شجرة السرو,cyprys,74
10903,لعبة البوكر,poker,38
7277,حجر النرد,kostka do gry,62
1317,قرصان,korsarz,94
14376,المديرون,menedżerowie,9
13267,أونتاريو,ontario.,16
3096,بونتا,punta.,88
12950,يوم الجمعة,piątek,19
