ID,ARABE,JAPAN,INTERVAL
5921,دوريس,ドリス,70
9779,ديفونشاير,デボンシャー,46
4665,lemony.,レモニー,79
9725,الكواكب,惑星,46
11082,الرصاص,弾丸,24
10999,النواحي,側面,26
7191,عاهرة,フッカー,62
10723,برهنة,デモンストレーション,18
11934,جامايكا,ジャマイカ,29
13190,عدد السكان,人口,15
11309,البطريق,ペンギン,24
332,marguerite.,マーグリレイト,100
10242,قروي,田舎,42
10212,ميلتون,ミルトン,43
8639,العقرب,刺st,53
7024,الخارج,外観,65
9761,كانتربيري,カンタベリー,46
11647,حواء,イブ,31
9119,عززت,純金化,32
11586,ريو,rio.,32
982,إعادة تأسيسها,再確立されました,83
11453,وايومنغ,ワイオミング,33
13679,الهند,インド,12
10981,تركيز,集中,25
10093,ريتا,リタピー,44
12477,جمهورية التشيك,チェコ,23
10200,الكتابة على الجدران,落書き,43
6110,coppa.,コッパ,71
12290,على عكس,ようではない,19
6629,البلاشيفيك,ボルシェビック,59
5449,الأغنياء,馬鹿,28
10791,أربعة عشرة,four four,38
11621,إختصار,テレリー,32
5169,يمكن التعرف عليها,認識可能です,75
7936,حصى,砂利,59
6301,دائخ,めまい,65
11882,ستانفورد,スタンフォード,29
14204,موظفين,従業員,27
5191,تايغا,タイガ,76
6376,ايفت,evert,69
7010,فوكس,ボックス,65
11482,ثوري,革命的な,31
12433,اللغة التركية,トルコ語,24
10153,صنوبر,松の,40
11804,مصنع,工場,27
1793,السليلوز,セルロース,89
2151,أوج,アポジー,92
6771,فانوس,ランタン,63
2074,سنتوريون,センチュリオン,85
8292,المغامر,ベンチャー,49
3023,قتلى,スレイン,88
10629,رشفة,sup,39
4713,chipper.,チッパー,79
7392,جزار,肉屋,58
5762,التظاهر,pret pret,44
12852,غابة,森,19
11971,شاحنة,トラック,25
11631,راجع,pl,31
5302,تالون,タロン,72
2636,عمامة,ターバン,88
7294,دفوراك,dvorak.,63
3383,زحف,クロール,66
2429,anc.,怒重,91
12224,العرفية,武骨,26
830,زرب، جمع، رتب، طوق,corr,95
9542,مشبوه,疑わしい,46
1274,ري,rea,96
11792,البالية,身に着けて,30
11199,يتملص,od d,34
1148,nudibranch.,ヌジブランチェ,96
1007,هاملاين,ハムライン,97
12618,كابل,ケーブル,21
13503,من اتجاه,に向かって,12
2591,الافلام الوثائقية,ドキュメンタリー,33
13697,ستيفن,スティーブン,12
6739,خروف البحر,マナティー,66
2319,تمايل,揺り動く,81
6669,تزاحم,スクランブル,50
10426,باتر,ベリー,40
7656,شيكو,チコ,61
10459,الملحم,大作,40
4426,البيروقراطية,官僚,80
10468,افتراض,予測,35
8306,يقترن,ペア,20
7737,إيرين,ir,61
4818,شاول,サウリ,78
259,مازح,冗談,100
1768,شرقا,東へ,50
4728,اصابع الارجل,つま先,49
12739,يسمع,聞く,17
777,مضطرب,取り乱した,98
8615,مولن,ムリン,54
9693,الفهد,チーター,45
11899,متر,メーター,25
7944,مغبر,ほこりの多い,59
1815,الطبية الحيوية,生物医学,94
10613,ماكسويل,マックスウェル,39
3506,راديكس,基数,86
684,مجردة,審判,22
4290,hominem.,ホモイネム,81
11277,هاربر,har,33
13093,الأرجنتين,アルゼンチン,18
9491,بلغراد,bel bel,48
60,الحمولة,ペイロード,97
13639,لسوء الحظ,不運にも,12
4787,وودبيري,ウッドベリー,79
5194,cofactor.,補因子,73
4683,مكافآت,賞金,79
146,ويجا,オワイジ,100
13201,اقترضت، استعارت,借りた,16
3008,منطبق,様式化された,88
3646,بكرة,滑車,85
4815,خزانة الثياب,ワードローブ,77
6714,اغلاق,閉鎖,25
14105,تنفيذي,エグゼクティブ,18
8665,كليوباترا,クレオパトラ,54
5775,المقسورات,除数,68
13630,مشاركة,参加,9
5185,التعطيل,慣性,76
1817,sandpit.,砂場,93
6117,كولوسوس,コロッサス,71
2403,السينة,スピナ,90
7061,لامبرت,ランバート,65
13765,جورجيا,ジョージア,11
11264,semifinals.,準決勝,28
8248,وضع علامة على,マークアップ,57
3918,gideon.,ガイデオン,84
12921,مكسور,壊れた,19
4020,روزكو,ロスコー,83
10903,لعبة البوكر,ポーカー,38
9048,أصغر,最年中,52
7442,مضمار السباق,競馬場,62
1438,العنصرة,ペンテコステ,67
10839,أجر,デタピー,38
7992,استهلاك,消費,59
2072,كأس,ゴブレット,91
6482,غير متصل على الانترنت,オフライン,69
8978,كورك,コルク,51
12147,naval.,ナイカの,27
1386,بصحة جيدة,アナモフィック,96
6012,الاستقرار,脛骨,72
4403,ريجنت,摂政,35
14375,قدرة,能力,22
11509,احصائيات,統計,31
10759,كاتدرائية,大聖堂,38
4744,nietzsche.,ニーチェ,79
11355,إدغار,エッジャー,34
11234,العميد,准将,35
10550,سار.,サール,40
10025,هارلم,ハーレム,44
9276,دفقة,スプラッシュ,49
1126,بانيستر,バネスター,96
2413,وتر,腱,88
11282,بقسوة,だいたい,35
11828,في الخارج,外側の,30
3748,زلق,滑りやすい,84
3884,الطيور,家禽,83
10134,بابوا,パプア,43
14109,جون,ジョン,8
4360,قيم,スナッピング,34
7755,يوريكا,ユーレカ,61
7131,mescaline.,メスカリン,64
2447,عن طريق الخطأ,acc然,21
1268,كذلك,同じように,96
8115,الأنثروبولوجيا,人類学,57
9138,أفضلية,優先順位,47
5839,نفذ الوقت,タイムアウト,59
112,ترون,トロン,100
11058,هيو,ヒューズ,37
2443,يعين,割り当て,12
7760,brickyard.,ブリッカード,61
4432,الغلوتامات,グルタミート,79
8485,حائط حجارة,石垣,55
4370,أصالة,信憑性,52
6848,باتو,ピノに,66
7616,الكرمة,カルマ,62
5932,ساحة,広がり,72
8722,رعاة البقر,カウボーイ,22
12651,كين,ケン,22
8482,قمح,粒,50
816,أشعة الشمس,歌姫,98
14007,يزيد,増加,12
14311,مدرسة,学校,6
2516,innuendo.,inn inn,87
8178,يصدر,輸出,38
8344,على مستوى الولاية,州全体の,56
265,الصحة العقلية,正気,100
239,دون معارضة,ぴったりとしない,100
2021,فلوريد,フルドリド,80
2494,تصمد,with with,88
2686,المبني القبني,イグルー,90
10058,المستقطع,控除,36
7352,التحالف,コンソーシアム,62
8128,غير متوفره,不可,57
11500,نورمان,ノーマン,32
4964,أفالون,アバロン,78
14496,تضخم اقتصادي,インフレーション,44
13090,إعادة تعيينها,再割り当てされました,17
7088,faraday.,ファラデー,64
14074,بعيد,遠い,8
10080,جرف,崖,41
1849,presidium,育成,94
5356,شيفا,シバの,75
6851,yogi.,ヨギ,66
270,مؤيد,推薦者,72
7714,إفراغ,内野,15
6896,من المسلم به,admly,66
7139,أوغسطين,オーガスティン,60
723,كورسو,コルソ,98
3557,يستلقي,レイアップ,86
3722,كورتكس,皮質,85
12235,السجن,刑務所,17
10865,هانسا,ハンサ,38
13259,فهرس,索引,15
13582,قصة,話,11
7973,سوفولك,サフォーク,59
13906,كل,それぞれ,8
9692,الخامس عشر,150年代,47
3957,عازف البيانو,ピアニスト,80
7464,لينينغراد,レニングラード,62
14026,حسب,によると,9
9819,هيروشيما,広島,45
8733,بانمان,バウマン,54
5697,الميثان,メタン,73
9425,سبعة عشر,sev sev,49
11736,بيري,ペリー,30
12406,سمين,肥満,24
13615,التاغالوغية,タガログ語,12
4653,وجهة نظر,立場,79
5872,الفوضوي,混沌としました,72
3267,غير مثبت,未成年者,87
11679,أوروجواي,ウルグアイ,31
8315,اللغة الهندية,ヒンディーニー,57
7986,فاجأ,st st,43
14397,نار,火,10
6212,الكائنات الحية الدقيقة,微生物,69
10133,النصب والاحتيال,詐欺,43
1257,أكثر سمكا,厚いほど,96
9310,مقرها,本社,16
8797,البسيط,シンプレックス,53
10764,فيردي,ver ver,38
5064,طائفية,宗派,75
3090,مينش,メンチ,88
813,العتابي,タブビー,98
8070,بلا نهاية,無限の,58
12151,المنزلي,国内の,26
14310,شئ ما,何か,7
12361,حديثا,新たに,25
9812,سوزوكي,鈴木,46
3969,كنيس أو مجمع يهودي,シナゴーグ,75
5736,الصلصا,サルサ,73
2263,غرفة الحمام,洗面所,92
8165,حبوب,穀物,55
10433,صوديوم,ナトリウム,41
11622,لوحة,ペインティング,21
7301,بليتز,ブリッツ,58
5200,قطه صغيرة,子猫,71
9385,حبوب ذرة,コーン,46
12312,في جميع أنحاء العالم,世界的に,25
3420,conestoga.,コンストガー,87
10406,وعاء,ポット,39
7194,المشيخي,pres代,61
9133,الباليه,バレエ,51
11552,شعارات,ロゴ,11
1070,سكاي,スカイ,96
9724,فلينت,フリント,46
5611,targeman,ターゲマン,74
13343,على وجه صحيح,ちゃんと,15
11284,عمدة,市長,32
13571,متنوع,様々,12
13568,مينيسوتا,ミネソタ,12
4907,نسوية,フェミニスト,72
12373,تحديث,アップデート,7
9920,hoary,揚水,45
4615,غير مهم,不可欠な,80
13577,صغيرة,若い,12
4409,بيثيل,ベテルリー,81
10804,يستسلم,降伏,28
10489,سقف,屋根,38
1619,علبه,屋根裏,93
1672,قبرصي,キプロ,90
3258,spurrier.,スルーラ,88
6452,شوق,スカンク,69
6319,متطرف,極力主義者,57
1209,أحلك,最も暗い,96
5526,دفن,埋葬,72
5887,صدمة,トラウマ,72
6388,غسل,洗う,43
8779,اللون القرمزي,スカーレット,52
4775,أونيدا,歌堂,79
11954,عبودية,汚い,29
3863,ماء نقي,清水,84
13677,مكرر,複製,11
4526,الأبطن,姓,38
12220,تسوية,定まる,22
3313,نوع من القطارات,tram,83
8877,مياه المجاري,下水,53
14209,قديم,古い,10
5396,أوم,オーム,73
11765,ralph.,ラルフ,30
2949,الفوسفو,ホスポ,88
13834,أعلى,上,6
3494,معرفة,伝承,78
6021,غير راغبة,不本意,71
3009,ناجط,凹ました,88
14072,طلب,注文,9
3666,رومولوس,ムラ,85
13605,ماء,水,12
13388,نيك,ニック,14
8663,عربة,ワゴン,48
365,مكت,マカケ,99
14380,منظر,ビュー,6
13505,تحكم,仲裁,13
6865,ممانع,気が進まない,60
5778,شقي,いたずらさの,73
3408,نهري دجلة,チグリス,87
9532,إعادة بناء,再建しました,48
9813,خماسي الاضلاع,五角形,43
1397,بيرير,ベリアー,96
8288,epicenter.,ep ep,56
10008,خط الطول,メリディアン,44
10913,ضفدع,カエル,33
11994,موسع,誇張しました,16
8468,دون إجابة,未回答,55
5080,لا داعي,無駄に,77
1419,الاعتماد الاكاديمي,認定,64
9974,السنغال,セネガル,44
6294,بطل الرواية,主人公,62
3238,nematode.,ネマトード,88
10948,وارسو,ワルシャワ,38
8926,كسل,怠惰,52
10218,فيما يتعلق,peraining,38
4099,كورينث,コリンス,83
7014,التعاون,革新,44
12598,أسطورة,伝説,20
9252,قياس,メトリック,48
1877,استيقظ,勤めて,27
13072,لوح,波,15
10413,حاد,シャープ,40
12592,أعمال,act act,9
12530,سر,秘密,22
10107,القبائل,部族,30
13691,تسربت,巨大,12
7802,سيكلونيك,サイクロニック,11
2757,سمك مدخن,液体酸素,89
13809,من,から,5
7995,سترة او قفاز او لاعب قفز,ジャンパー,55
9756,بشرية,人類,46
4161,كلي,ミャール,82
2731,thunderball.,サンダーボール,89
6856,خط التاريخ,日データライン,66
11198,مأتم,葬儀,35
8969,متوافق,互換性,48
11333,عظم,骨,29
11041,نورسمان,ノースマン,37
11157,الإيرادات,所得,32
8117,فقدان الشهية,拒食症,58
4560,عادل,kn,80
12352,بريسبان,ブリスベン,25
7348,يمسك,把握,57
3175,صراخ,叫び,47
6366,نيستور,巣,69
11436,قصب,リード,33
14498,صناعي,産業,14
12450,بطة,アヒル,19
8738,كومودور,コモドリア,44
12217,واتسون,ワトソン,26
9786,المصطلح,用語,46
4397,بوفورت,beaufort.,81
3036,بريتوريا,プレトリア,88
8010,المضمن,埋め込み,56
9324,أوضك,ob.,48
5718,whig.,泣き身,63
3700,إراقة الدماء,流血,85
14092,عمليات,オペレーション,6
8902,واثق من نفسه,自主的な,51
13923,شبكة,通信網,8
12316,هنتر,猟師,23
1957,الأسبارتام,アスパルテーム,93
14317,متضمن,関与した,9
4918,دوميني,ドミニ,77
6611,schubert.,シュバート,68
7415,مشاجرة,スクリメージ,62
1343,صقيل,サテン,92
3441,غير تقليدي,違いのない,86
12975,متقاعد,退院しました,14
9712,سيرك,サーカス,46
8991,العنوان الرئيسي,見出し,39
4127,أوكتان,オクタン,82
8540,بادجر,狸,43
14141,حق,期限,6
3695,في سبات عميق,睡眠状態,85
14224,استمارة,形状,8
9662,إيفيل,エッフェル,47
11200,فوضى,混沌,33
9731,جهات مانحة,ドナー,41
12841,أوست,oct,20
5684,زاهدة,固定された,74
14015,يجري,走る,7
8022,صبغ,染料,53
3378,مفلس,破産,85
3115,إيجة,エーゲ,88
3554,اومني,オムニ,86
8898,أزرار,ボタン,7
5327,ضايق,苦痛,64
6793,القوميين,民族主義者,38
9274,روتردام.,ロッテルダム,50
13323,بريطانيا,英国,15
6429,عكسي,住宅,10
5325,نسف,魚雷,70
7676,لا يحصى,無数に,61
2847,كلية,コラージュ,88
8033,وظيفي,機能的に,20
11607,اللاما,ラマ,31
5176,spalding.,スパープアップ,76
11911,غيم,クラウド,26
4908,غير مجاد غير مجد,予定されていない,78
2948,الدهيد.,アルデヒド,83
1269,إقرار,ere,96
2550,عيدان,麻,91
10324,بوينج,ボーイング,40
10380,هيلاري,h h,37
14017,التشغيل,オペレーティング,6
9017,مسمار,爪,30
9499,يتبرز,うんこ,46
12760,براد,br,21
13238,ستانلي,スターリー,16
10817,تكرر,周波数,36
452,حاصر,デュラン,100
5128,دوقي,公国,74
7601,فارغ,空所,56
13306,سوكس,ソックス,15
9581,تهرب,回避,40
14192,متفق,同意した,11
4162,عقابية,懲罰,82
10052,ممحاة,ゴム,43
13621,إلخ,等,12
2225,براهمين,ブラフミン,78
9295,استبعد,排除,15
13500,الأمان,安全,12
11364,جاكوب,ヤコブ,34
9660,الكالسيوم,カルシウム,47
4647,بلانكو,ブランコ,80
5502,لوكان,ルカン,75
10537,ثانيا,第二に,40
3178,ديكور,装飾的な,38
4235,يمزج,ブレンド,63
12148,عرف,知り合わせる,27
5102,فري,fer,76
5260,عيوب,欠陥,47
6113,كارثي,惨事,55
10383,غير رسمي,非公式,38
5418,الانشطار النووي,弁慶の,74
9632,يتألف,comprisesう,24
12531,مالو,マロ,23
13170,يرشد,ガイド,14
6036,جوهرة,宝石,60
1201,ليتاس,リタス,96
14160,عمال,労働者,20
6554,بوتان,ブータン,68
6806,ميك أب,化粧,66
758,بوربانك,バーバンク,98
8478,قلم,鉛筆,53
12570,ليكرز,レイカーズ,22
1087,ذبل,枯れる,83
66,يحدد بدقة,ピンポイント,94
12069,شاكوش,ハンマー,27
8674,راهب,モンク,39
12812,لمس. اتصال. صلة,触る,17
14095,متوسط,平均,10
13322,يا,おい,15
1359,الضحلة,ダリアリー,96
9605,عربه قطار,キャリッジ,44
11429,antaugural.,就任,30
2708,archangel.,大天使,88
1260,hammersmith.,ハンマーミス,96
5927,صداع الراس,頭痛,67
969,الإيصال,レシート,74
1241,أبعد,est fur,96
267,الظل,正接,96
14211,أسابيع,週,8
689,المنصوص عليها,所定,89
11879,روبية,民衆,29
3962,هاندل,hand,83
3259,بإفراط,過度に,33
1513,غير لائق,ぴんぴん,89
850,كاليدونيان,カレドニア人,98
3587,ثنائي اللغة,バイリンガル,85
10287,تشيستر,チェスター,42
8835,ستيرلينغ,スターリング,53
11576,موناكو,モナコ,32
9721,فوجي,富士,46
8084,الماسونية,フリーメーソン,58
13110,إريك,エリック,17
3107,كوارتز,石英,88
6283,مونتبيلير,モンペリエ,70
11269,مالطا,マルタ,35
566,صاري,バーキープ,99
12519,هادعل,ハドラル,23
3569,تجسيد,擬人,86
3413,شرطي,コンスタブル,78
5941,الرسوبية,堆積物,72
168,schmitz.,シュミッツ,100
10525,صغير جدا,小さな,40
10920,الكبار,大人,33
5984,كايمان,ケイマン,69
3552,فسيحة,広々とした,86
10861,كوكس,コックス,38
9704,الكابيتول,議長,46
3903,بسلاسة,滑らかに,84
11858,المرتفعات,ハイツ,22
6404,رن,ren,69
8162,بومباي,ボンベイ,58
9384,تال,マウンド,46
9928,القادمة,今後,45
10192,غاما,ガンマ,43
13912,معلومة,情報,5
1565,missourians.,ミズーリア人,88
9120,دبوس,ピン,40
5520,تريشا,三島,74
11123,تسجيل صوتي,サウンドトラック,34
13208,شعاع,光線,15
14408,الأرقام,図,12
11722,هدسون,ハドソン,31
13027,كريستوفر,クリストファー,18
12509,العاشر,t.,23
6581,اندرون,and,68
7727,نابولي,ナポリ,61
4553,alai.,al,80
11139,غير مقبول,受け入れられないほど,35
4895,هيرفورد,ヘレフォード,78
1081,مرهقة,面倒な,96
2642,علاج بالمواد الطبيعية,ホメオパシー,90
4401,تشيز برجر,チーズバーガー,81
6755,ملائم,好ましい,29
10985,غزل,スピン,30
12414,بحرية,自由に,25
5067,schweizer,シュシャイザー,77
7630,خارج الأرض,眼底最新,60
5505,حصة نسبية,クォータ,68
11481,ساسكس,サセックス,33
7430,بولمان,プルマン,62
1163,fireboy.,ファイアボーイ,96
9560,hotspur.,ホットスパー,48
541,السنهالية,シンハレ,99
4205,رجعية,レトロな,82
1030,yarborough.,ヤルボロ,97
356,الأميرالية,アドミラルティ,99
904,modus.,mod mod,97
4516,neffits.,不適合,79
9333,مستمر,永続的に,30
12264,كربون,炭素,25
11930,دالي,遅美,29
3339,نزل,ホステル,82
12709,أرين,ar,22
865,فوسفوديستراس.,ホスホジエステラーゼ,97
8106,premiere.,初めて,18
13295,كاثوليكي,カトリック,15
4280,السنجاب,チップマンクス,61
6271,غير حصين,脆弱,63
8968,نائم,睡眠,16
14462,ينتج,生産する,7
1747,الجذع,胴体,92
11595,ussr.,ソビエト連邦,32
863,التشبع,飽和,62
8778,فحم الكوك,コークス,53
508,المسوخ,変異体,55
6285,المانع,阻害剤,63
5002,poinsettia.,ポインセチア,78
6422,vespucci.,ヴェスコチ,69
8522,الحكم,判断する,19
12261,ريتشموند,リッチモンド,26
10651,والخيارات,オプション,7
7535,قاتلة,致死,60
8473,وضوح,明確な,55
2378,إسورة,ブレスレット,86
9599,فقاعة,ブーム,44
4903,الرنة,トナカイ,78
12112,الكويت,クウェート,27
9525,بلا مأوى,ホームレスの,41
5933,الوجه,フェイシャル,72
9019,جينا,ジェンテナ,52
6772,hertfordshire.,ハートフォードシャー,66
7176,مناسب,便利,44
7292,تشيل,凛々しい,63
12903,أوكلاند,オークランド,20
9131,الأرشيميد,アルキメデス,51
12142,هرب,逃れる,22
2379,تابع,続ける,84
12662,blacklist.,ブラックリスト,12
2882,محفوف بالمخاطر,リスキーな,89
1204,قصب السكر,サトウキビ,96
9659,حمال,ポーター,46
7227,فابيان,ファビアン,63
10529,حانة,パブ,38
8133,حصان مجنح,ペガサス,58
190,إشراف,監督する,72
4016,ماجمة,マグマ,83
11979,دولار,ドル,20
94,diomedes.,デオメジス,100
6704,dingo.,ディングー,67
5170,يستفز,挑発する,50
13653,العراق,イラク,12
13705,أندرو,アンドリュー,12
12869,فلور,fl,20
11578,الكحول,アルコール,28
13333,معقول,合理的に,6
10587,يزعج,わざわざ,31
3713,سحر,吃音,85
10158,مطعم,レストラン,37
3499,فيشي,ビキシー,86
205,مقلاة,skill skill,100
4731,أمين المكتبة,ライブラリアン,73
11904,الثاني عشر,第12回,29
1449,إعادة استخدامها,再利用されました,60
6667,تام,タムリー,65
12969,تأخير,遅れ,7
3095,عزم الدوران,トルク,88
7357,الفرامل,ブレーキ,38
3692,النسخ,trans trans,53
10870,بنغال,ベンガル,26
7355,دماغي,脳の,62
5339,كومة,ヒープ,68
4545,جبل جليد,氷山,80
1113,الببغاء,マガー,95
8806,المفسد,ネタバレ,42
7512,برومو,ブロモ,62
3664,التلاميذ,生徒,73
14262,شركة كبرى,コーポレート,15
10333,دار,dar,42
10203,ذرة,原子,26
5271,المستضعفون,下草,56
1314,سوء التغذية,栄養失調,96
4470,المهق,アルビニズム,78
12248,مكان ما,どこかに,26
6334,دوبلر,ドップラー,69
2854,تميز - تدرك,識別する,75
7224,شا,沙織,63
14052,أحسن,より良い,9
7337,فخم. ترف,贅沢,45
14070,عالم,世界,7
7116,الكساد,バスト,50
13486,مضاد,抗,13
3361,ميثيلفينيد,メチルフェニデート,87
13449,عنجد,真剣に,14
616,العاصفة الثلجية,吹雪,96
5236,دود,ドッド,76
12219,صوتي,オーディオ,26
14374,ديسمبر,12月,6
6652,الطباشير,チョーク,65
7894,احتكاك,摩擦,59
13628,عمود,ポール,12
8815,وجه العملة,obv,53
6417,حجز,先生の,68
9129,i ل,ia.,51
13442,إلى أجل غير مسمى,無期限に,13
9609,خطاط,リネマン,47
4711,الأرق,不眠症,79
2774,ودع,wd,89
10503,إشعاع,放射線,38
598,الهرمية,階層的,92
9861,الدبال,謙虚に,45
4164,سلطة الكرنب,コールスロー,82
14338,مرئي,見た,11
9205,دوللي,ドリー,50
10689,البر الرئيسى,本土,38
3780,تدهورت,劣った,62
11566,مفجر,爆撃機,23
13512,تاج,クラウン,12
11276,ثعبان,ヘビ,31
9971,labrador.,ラブラドール,44
4492,خاطئ,不定の,68
13598,متميز,特徴,9
13219,دوغلاس,ダグラス,16
11012,شمال غرب,北西部,37
7023,سجاد,カーペット,62
7030,سبت,安息日,65
14466,مطلوب,欲しかった,5
998,spesidian.,黒曜石,97
1861,زونتا,ザンタ,94
14445,الاختبارات,テスト,5
6695,ديباجة,前文,67
8285,seminoles.,セミノール,48
1591,انقضى,経過,92
11366,ميثاق,チャーター,31
13266,اليونانية,ギリシャ語,15
12585,روب,rob,22
9727,نشرة,紀要,42
12430,مشهد,シーン,21
2342,المعكرونة,麺,64
8030,بلان,ブランク,59
7560,أب روحي,ゴッドファーザー,61
396,السيلينيوم,セレン,100
1171,تهدئ,トロット,89
310,polymath.,多い,98
12319,جرة,ピッチャー,20
6028,أقرض,貸した,71
2803,مقاعد,お弁当,88
12945,وضع العلامات,グレーディング,15
11093,مدفع,大砲,34
4661,بقع,パッチ,30
7108,يساء فهمها,誤解されました,64
14250,ضائع,失った,10
1940,مايونيز,マヨネーズ,93
11107,قيصر,帝王,36
1353,الحياكة,編み物,81
242,رد الفعل,反応する,35
10243,بلفاست,ベルファスト,42
10939,هانك,ハンク,33
12565,إثبات,証明,14
4974,اللوحة الأم,マザーボード,78
8103,متكامل,積分,23
11244,أساسي,枢機卿,14
11006,محبوب الجماهير,アイドル,36
4571,أمر قضائي,差止命令,76
13226,إلى الأمام,前方,9
10660,أرجواني,ライラック,39
680,عالم اثار,考古学者,89
13320,المؤكد,特定,15
14257,الشبكات,ネットワーク,8
10701,لامع,光沢のあるもの,39
6225,نحل,ボイラーメーカー,69
2554,سماعة الطبيب,聴診器,91
10321,صانع الأحذية,靴屋,41
13397,قطة,猫,13
10899,مترو,メトロ,34
6515,دسار,ディルド,66
4176,لانيه,ラニエ,82
325,هاريكان,ハリケーン,100
2507,مستحلب,乳剤,90
14118,منح,与えられた,10
10176,لاهور,ラホリ,43
7648,دندي,ダンディー,61
3563,eras.,er,16
4967,terrapins.,テラピン,74
13193,كتيب,マニュアル,16
13267,أونتاريو,オンタリオ,16
4554,بروميثيوس,プロメテウス,80
5584,طبق,皿,62
14409,عضو,メンバー,9
9055,عاصفة رعدية,雷雨,41
4318,الطب النفسي,精神的,81
12180,جسيم,大規模,25
7492,فاقد الوعي,無意識,58
12736,الضغط على,press press,12
7223,موصل,コネクタ,60
1366,كريسبين,クリッピン,96
9304,سمك السالمون,サーモン,49
3336,المدفعية,ガンナリー,87
8320,الجزائر العاصمة,アルジェ,57
3386,الكفر,不信,87
6309,الأرميدين,アーキメディア,70
10325,موقف سلوك,態度,38
2317,نادر,まさしく,76
6875,سخان مياه,ボイラー,62
12362,باكرز,パッカーズ,24
12254,داخلي,内部,9
3278,كوان,九感,87
67,ليزير,ラジエリア,100
8189,رييل,リエル,57
831,microsystems.,マイクロシステムズ,98
7267,ليميريك,リムリック,63
134,لومبارد,ロンバード,100
4231,enfield.,エンフィールド,82
4930,نظارات واقية,ゴーグル,74
8011,رياضياتي,数学者,44
8091,باسو,パソ,58
13447,مضخة,ポンプ,13
1252,مسرحية هزلية,寸劇,86
10273,خليفة,後継,40
11947,أوبرا,オペラ,23
2917,تشيبا,千葉,89
1650,نابض بالحياة,活気に満ちた,94
11823,هومو,ホモ,30
12518,لائق بدنيا,フィット,17
5623,mediocre.,仲別した,72
9922,السيدة,夫人,10
10968,ديلاوير,デラウェアリー,37
8377,مشاعر,感情,45
419,الالعاب النارية,爆竹,94
13759,مألوف,見慣れた,11
4955,أكسل,アクセル,77
9314,بيركلي,バークレー,50
8442,غير ناضج,未熟,53
357,فجوات,草案,95
13221,مباشرة,直接,16
4972,عسر القراءة,失正,78
7918,فرس,牝馬,59
13159,مصيبة,危機,17
4980,صاحظ,サヒブ,78
1900,حدبة,こぶ,87
10303,ورقة الشجر,葉,22
8857,أصلع,禿上がる,48
10642,عينة,サンプル,29
884,godspeed.,god god,97
1300,مراهق,青少年,62
8025,دوقة,公爵夫人,59
13614,صينى,中国語,12
7916,كادي,渦,59
11842,على قيد الحياة,生きている,30
4774,الحمضيات,柑橘類,79
8372,ماكبث,マクベス,56
8929,النازية,ナチズム,52
8113,المشاجرة,mel mel,57
13638,يحدد,specif,7
5450,الزائر,ビジター,9
4602,علاء,アラの,62
7625,شذرات,ナゲット,54
10259,تكتونية,テクトニクス,39
1442,ترايدنت,トライデント,91
8083,جونو,jun,58
4727,جفن العين,蓋,77
8494,مؤشرات,ポインタ,42
5957,غير مستقر,不安定に,71
8364,نواة,核,56
11713,جيك,ジェイク,31
2901,حفاظه,おむつ,85
2925,مياه جولد,ゴールドウォーター,89
7325,السيوف,刀,33
12982,في البداية,最初に,12
7587,باو,ブー,50
7155,لوجستية,ロジスティック,37
