ID,ARABE,TURC,INTERVAL
7603,الحصار,ambargo,60
9420,تمييز عنصري,apartheid,49
8009,عارية,çıplak,35
13136,الجنس,seks,17
5781,الانصياع,itaat etmek,63
11933,الخطوط الجوية,hava yolları,25
11247,سبيرز,mızrak,31
11985,كي,ki,29
10867,فجأة,birden,38
984,بولو,bolo,96
1597,كدمات,çürük,72
12929,ثلاثي,üçlü,19
11974,بشكل كبير,önemli ölçüde,29
9979,هيدروكسي,hidroksi,45
12902,ننسى,unutmak,19
8123,فأس,balta,52
2520,ماكينة الصراف الآلي,atm,90
13725,عادي,düzenli,12
9349,صقلية,sicilya,50
11582,تايلر,tyler,32
14304,يسقط,düşmek,12
7031,لير,lir,65
14043,مشكلة,sorun,8
7688,زو,zo,62
3717,ناب,napalm,85
13045,ديسكو,disko,18
7727,نابولي,napoli,61
9071,الكرواتية,hırvat,52
8213,وهم,yanılsama,55
8850,يميل,eğimli,41
6530,مستعجل,komut istemi,36
13765,جورجيا,gürcistan,12
10991,هارت,hilekâr,37
7910,لامبو,lambleau,60
6380,طيفي,spektral,69
11608,معطف,kaban,28
3991,تعظيم,relata,83
7951,قبل الأخير,sondan bir önceki,60
13974,متحد,birleşik,7
14340,انخفض,reddetti,14
6879,موريتانيا,moritanya,66
13670,مصطلحات,terimler,8
5808,بلو,bleu,73
13989,البرامج,programlar,11
72,تتباهى,övünme,56
11674,خائف,korkmuş,31
7472,wilderness.,el değmemiş doğa,49
6995,الرواق,koridor,62
2934,الرد بالمثل,misilleme yapmak,45
13082,مشرف,yönetici,18
12852,غابة,orman,19
11022,غياب,yokluk,37
12681,كوب,kb,22
5941,الرسوبية,tortul,72
6355,محوري,pivot,61
10628,تعليم,öğretme,30
1786,الدلماسية,dalmaçyalı,73
11279,ابتدائي,ilköğretim,35
10424,تهديد,tehdit edici,24
3618,شيف,shiv,86
8529,slater.,aslat,55
11063,الكولا,kola,37
5534,أوليمبوس,olympus,75
6767,شاهد عيان,görgü tanığı,58
2193,ماكسيما,maxima,92
725,المنسوجات,tekstil,63
8953,ويفر,dokuver,51
12831,أفغانستان,afganistan,21
10502,موس,mos,22
10864,انتاج,çıktı,38
8428,كيير,kuir,55
13271,تناوب,röle,16
10426,باتر,berry,40
8653,التكيف,adaptasyon,32
8171,بكتيريا,bakteri,58
10975,حماقة,saçmalık,37
12766,بطاقات,kartlar,13
8595,العبقري,dahi,55
6735,سمك السلور,kedi balığı,67
1162,باتيمان,bateman,96
520,في عداد المفقودين,hesapsız,94
7560,أب روحي,vaftiz babası,62
2258,كاسيوبيا,cassiopeia,92
10829,إنساني,insancıl,38
5335,الشجاع,valiant,75
3316,لام,lam,87
4980,صاحظ,sahib,78
4900,البنسلين,penisilin,78
1542,لافانت,savent,95
2569,المحلفين,jüri üyeleri,75
13826,كان,olmuştur,5
12008,تحمل,rulman,12
10249,إبسيلون,epsilon,42
9218,الغازولين,benzin,50
10004,طائفة دينية,kült,43
8641,المهنيين,profesyoneller,16
10960,مانيلا,manila,38
8696,نميمة,dedikodu,54
9058,الزنك,çinko,52
7878,scimitar.,pala,60
7037,حل,çözme,20
9801,توي,toi,46
10486,الجراحة,ameliyat,40
7533,صوف,yün,62
13983,يساعد,yardım,6
6693,ديلا,della,67
8823,هيست,hist,53
13820,أيّ,hangi,6
11977,غير مكتمل,tamamlanmamış,28
1672,قبرصي,kıbrıslı,90
9422,جوهانسبرغ,johannesburg,49
2897,الكوليسترول,kolesterol,89
5903,متعلقه بالطيور,avian,72
12847,تؤكد,onaylamak,13
9721,فوجي,fuji,47
8767,كل يوم,her gün,54
12390,نوفا,nova,25
9468,با,ba,45
7641,جيو.,geo,62
9408,البحرية,açık deniz,49
1485,بانتام,bantam,89
8441,دوروثي,dorothy,56
3804,أسبرين,aspirin,85
2824,صوفي,yünlü,89
5681,ثنائي القطب,bipolar,73
3712,سكوبا,scuba,85
10026,وسب,abanoz,44
4536,افتراضية,varsayımsal,77
111,الإقامة,geçim,90
2336,جنوبا,güneye doğru,58
11678,برمودا,bermuda,31
1977,الانفصاليين,ayrılıkçılar,66
544,ديوكسين,dioksin,99
4171,بارما,parma,83
13296,نبراسكا,nebraska,16
10642,عينة,örneklem,29
2550,عيدان,kenevir,90
6137,auteur,oter,71
12812,لمس. اتصال. صلة,dokunma,18
12536,بويرتو,puerto,24
12544,رسالة,mektup,18
12887,لويزيانا,louisiana,20
4905,مكثف,kapasitör,76
680,عالم اثار,arkeolog,89
13691,تسربت,kocaman,12
7857,فضفاضة,gevşekçe,30
6519,التصلب,skleroz,69
12525,لورنس,lawrence,24
3187,الأستمرارية,süreklilik,88
8176,فاصلة,virgül,49
12666,علم الأساطير,mitoloji,22
11173,هانز,hans,22
4041,غوس,gauss,83
11546,رعد,gök gürültüsü,31
1316,مامبو,mambo,96
12185,قفزة,atlamak,26
4368,أمانة,dürüstlük,81
14152,طَرد,paketi,20
3129,كافكا,kafka,88
807,لانسلوت,langelot,98
1467,الستراتوسفير,stratosfer,92
2981,سيل,torrent,85
250,مبرمجون,programcılar,30
399,بيكربونات,bikarbonat,100
9219,رجل عصابة,gangster,49
11027,عضوية,üyelik,37
11854,جاري التنفيذ,devam eden,30
4838,وا,walla,79
6699,جرانجر,ganger,67
11098,علم الإنزيم,enzimoloji,37
414,السونار,sonar,100
2912,العشاء,lokanta,87
6907,لزج,yapışkan madde,66
10687,الانتفاضة,ayaklanma,38
861,اقتحم,redected,93
5586,ساذج,toy,71
9266,مارتينيز,martinez,50
299,المجمعة,paketlenmiş,76
7802,سيكلونيك,siklonik,11
10815,جزئي,kısmi,29
608,باديكير,pedikür,99
6717,نال,alkışlanmış,54
2886,سومرز,somers,89
9077,زنجي,negro,47
6974,النيكوتين,nikotin,64
7316,سكري,koyvermek,63
7309,المشروبات,içecek,60
8826,بوز,wb,53
12422,مضحك,eğlenceli,25
5787,keystone.,kilit taşı,72
9425,سبعة عشر,on yedi,49
289,مفتون,ilginç,47
9259,متشرد,bum,50
13393,يلتقي,birleşmek,10
5426,سيتون,ayarlanmış,75
13227,إنتاج,üretim,8
10436,استبدال,ikame edilmiş,21
5031,متناسق,harmonik,71
204,غزال,gaselle,99
13369,البرمجيات,yazılım,15
13135,عصري,modern,16
1553,كري,cılız,94
10444,جيولوجيا,jeoloji,34
5683,نقطة تفتيش,kontrol noktası,63
7670,الريغي,reggae,62
7720,سمسم,til,61
1620,كارينا,karina,93
4832,شاتو,şato,79
3589,دراجات نارية,motosikletler,26
4896,المقاولون,müteahhitler,62
10489,سقف,çatı,38
2535,الخطي,khatri,90
13411,كوبري,köprü,13
4679,إقرار,eq,79
2443,يعين,atarlar,13
8202,حبيبي,sevgilim,57
10847,أنغولا,angola,38
3317,مقابل,eczane,84
11033,حامية,garnizon,34
11686,أيمن,ny,31
393,تامارين,tamarin,100
3178,ديكور,dekoratif,38
7852,مهد الحضارة,beşik,60
11858,المرتفعات,yükseklik,22
13518,الأسفل,alt kısım,13
12734,برلمان المملكة المتحدة,commonwealth,22
13883,الأنظمة,sistemler,8
12027,بخار,buhar,28
8406,لاج,lak,56
3934,بيرثا,bertha,83
2310,غير محترم,saygısız,73
2250,جلسة عامة,plenity,92
12598,أسطورة,efsane,21
8676,مشروط,şarta bağlı,40
5436,أندروميدا,andromeda,75
4127,أوكتان,oktan,82
12044,ميلووكي,milwaukee,28
3865,حلي,melodik,83
3894,عطيل,othello,84
5100,مفصلية,eklemli,65
10507,هلع,panik,40
11231,دورية,devriye gezmek,26
7448,ديان,dian,55
13665,حجر,kucak,11
11000,فم,ağız,35
4852,عاطلين عن العمل,işsiz,51
12060,رسوم متحركة,komik,15
13477,فيلادلفيا,philadelphia,14
11528,فاي.,phi,32
847,ألثيا,althea,98
733,فورنر,flanş,96
3595,مبيدات الآفات,pestisit,79
8618,أوغستا,augusta,55
4293,علم الحيوان,zooloji,77
7558,تأشيرة,vize,57
9738,الصمت,sessizlik,41
11583,مونرو,monroe,32
10693,التبرير,meşrulaştırma,38
10828,كوكا,koka,38
13278,تربيتة,patlamak,14
12863,تحد,meydan okumak,12
12816,القبض على,yakalanan,14
10018,بوينوس,buenos,42
13407,تم الاجتياز بنجاح,geçti,8
14169,سِجِلّ,kayıt,7
12439,أنثى,dişi,24
4773,سردار,sardar,79
10504,احتفال,kutlama,19
5131,فوليون,folik,77
11701,البارون,baron,30
7209,السليم الحيوي,biyosentez,64
12961,الأصفر,sarı,19
1323,حوليات,annals,96
1253,مصقول,cilalı,21
3986,بالذئب,kurt adam,83
13020,اتفاق,anlaşma,18
5716,حفيد,erkek torun,71
4983,إثيل,etel,78
11473,دريك,dramek,33
14407,يتوقع,beklemek,11
6131,فدية,fidye,70
11077,مستكشف,gezgin,23
7986,فاجأ,sersemlemiş,43
10762,اصطفوا,sıralanmak,38
13426,جرى,koştu,14
8944,غامر,karşı konulmaz bunaltıcı,37
4449,لتر,litre,49
2724,شيخ,shaikh,89
5911,ليكسايد,göl kenarı,72
8791,جوليو,julio,54
14208,مجال,alan,8
11385,قضيب,penis,34
3247,جروسو,grosso,88
7421,فيستا,vesta,63
8578,هاسيندا,hacienda,55
1044,غير صحي,sağlıksız,96
9020,عدسة,lens,52
8996,همسة,fısıltı,33
6659,الذكرى المئوية,yüzyıllık,68
12994,الحجم,büyüklük,19
8805,سمفونية,senfoni,52
13697,ستيفن,stephen,12
11713,جيك,şakacı,31
5473,عدم المساواة,eşitsizlik,69
8915,بينج,ping,52
7525,قاطع,kırıcı,50
12526,وردت,cevap verdi,11
3212,ورق الجدران,duvar kağıdı,84
8976,كيتي,yavru kedi,50
2055,باجيو,bagguio,92
10354,الخريجين,mezunlar,42
12983,بيلي,billy,17
6792,دودلي,dudley,67
4302,عازلة,yalıtım,66
5792,الاعتدال,ekinoks,69
10473,وانغ,dalga geçmek,41
4038,آريا,arya,69
7284,ناقلة,tanker,54
1944,نجد,gut,93
3147,كولفر,cudver,88
1404,يشكر,şükran,95
13868,الناس,insanlar,7
6661,سيولة الدم,hemofili,68
8741,ريميكس,remix,43
9518,تشارلستون,charleston,48
10294,متزوج \ متزوجة,evli,37
10038,نسب,soy,44
14514,مكتوب,yazılı,9
7872,بلا حدود,sonsuz,27
668,ضعيف,tenekli,98
9363,مهندس معماري,mimar,43
9684,الأقواس,parantez,47
3202,البكتيريا,bakteriyel,88
6712,كميات,miktarları,44
1514,اليقظة,uyanıklık,63
14101,دولة,ülke,8
3239,أسر,pulsar,87
6940,فاكس,faks,64
12889,قلب,kalp,15
7335,كبار السن,yaşlı,63
9254,سياره اسعاف,ambulans,46
7754,أكوا,aqua,61
9019,جينا,jenna,52
9809,اصبع اليد,parmak,32
8903,توليدو,toledo,53
10129,أدرك,gerçekleştirilmiş,24
5227,الوثن,fetişizm,65
6340,بدعة,yenilik,67
12696,نمط,desen,20
133,زنجبار,zanzibar,100
6768,كيربتون,kripton,67
8300,الحمار الوحشي,zebra,53
10212,ميلتون,milton,43
7345,تكافل,dayanışma,63
1598,المفكرين,düşünürler,86
12369,تفاحة,elma,24
9765,لينش,linç,43
905,زرع,ekili,65
9876,بطاريات,pil,21
10990,إشراق,gunes isigi,38
8214,تشنج,nöbet,55
5375,ضحى,fedakâr,69
8336,درس,ders,47
5333,جلادستون,gadtaşı,76
9845,سانتوس,santos,46
8885,الضاربون,hotters,34
1857,ثياب,giyim,93
3115,إيجة,ege,88
11482,ثوري,devrimci,32
5856,لربيا,bitmek,71
3414,القلب والأوعية الدموية,kardiyovasküler,87
8545,مزامنة,senkronize etmek,54
12308,الحمل الحراري,konveksiyon,25
4706,غير مسلح,silâhsız,79
6736,بوبو,bobo,67
1647,متماثل,simetrik,83
8494,مؤشرات,pointer,43
13846,لكن,ancak,5
14181,ثالث,üçüncü,8
10522,برلماني,parlamento,41
4251,كاسر الحجر,taş kıran çiçeği,82
3146,الأنسولين,insülin,88
3149,قندلفت,sexton,88
12774,الجنوب الشرقي,güneydoğu,21
13124,همز,prod,17
8620,حبر,mürekkep,50
2474,توري,tori,58
8347,أورويلي,orwellian,57
2196,روشيل,rochelle,92
12835,مانشستر,manchester,21
10093,ريتا,rita,44
11087,رقابة,sansürlü,26
7297,ملاذة,maliye,63
10583,سول,seul,40
953,بتلات,yapraklar,90
2298,هيدروكلوريد,hidroklorür,91
8409,obolitionist.,kaldırımcı,54
4789,الموثوقية,doğruluk,79
11617,سم,santimetre,32
7055,دبوس الشعر,saç tokası,65
8236,شرب حتى الثمالة,vızıltı,56
1331,جيبس,jibbs,96
4173,طبيب الفدرالية,federalist,81
11065,بلوتو,plüton,37
3964,إعادة توزيع,yeniden dağıtılmış,71
12675,منفصل,ayrı ayrı,20
11143,الليزر,lazer,35
12057,يتضمن,yerinde,7
2732,التروبوسفير,troposferik,76
6505,دوري,döngüsel,67
10500,رودريغيز,rodriguez,41
643,جيرغا,jirga,99
13220,المتقدمة,gelişmiş,10
6127,إصلاح,revizyon,61
8043,ماريان,marian,59
3875,شذوذ,anomali,71
12178,بريت,brett,27
4363,تكريم,onurlu,14
13211,يانكيز,yankiler,14
57,متضور جوعا,açlıktan ölme,85
11844,بليك,blake,30
12759,دين,din,20
14421,شيء,şey,8
1535,مقلد الصوت والحركة,mimik,92
11479,السلطة التشريعية,yasama,29
1111,مدة,mol,96
12854,بلجيكا,belçika,21
5759,عجل,acele etmek,67
3565,حيرة,şaşkın,43
11790,وين,inter,30
429,الأمامي,anterior,100
13294,تتعدد,mount,14
12249,رداء,cape,26
9095,جيبوتي,djibuti,52
8004,مرسى,ankraj,59
11206,غدا,yarın,36
9400,لانج,lang,49
13395,اللون,renk,12
5954,ebbets.,ebebiler,72
10460,رومانسي,romantik,40
10563,انسداد,tıkanıklık,38
10673,قوس,braket,25
6970,إعادة تشكيلها,sulandırılmış,60
5828,قهري,zorlayıcı,53
1842,ليلة,gecelik,93
6844,حسن,hasan,66
3774,الجحافل,lejyonlar,39
2614,روضة أطفال,çocuk yuvası,89
12608,صحراء,çöl,22
8436,قدرات,yetenekleri,22
11113,الجزائر,cezayir,37
10913,ضفدع,kurbağa,33
7347,هايني,heinie,63
12335,بارع,ace,23
9978,يسلط الضوء,vurgulamak,22
11596,ريكس,rex,32
9987,علامة تجارية,marka,42
8690,هيكس,haşlamak,50
5936,uncopyriger.,açılmamış,72
1473,ظفيرة,tesisat,88
388,طائر السمان,bıldırcın,98
8144,أبعد,daha uzak,58
1233,ديول.,diol,93
9800,فيتامين,vitamin,44
5770,أفعى,boa,72
825,الوحدات السكنية,katominyumlar,85
5280,رأسا على عقل,üst taraf,76
3474,غير مؤلم,acısız bir şekilde,87
413,الشرك,polytheism,100
1689,غير مروع,isteksizlik,94
7180,إيقاع,tempo,64
4183,البنكرياس,pankreas,83
2144,لا يمكن الوصول إليها,erişilemez,92
14062,مثال,örnek,10
11815,ماكدونالد.,mcdonald,30
4800,الكشف,maruz kalma,35
5003,فلسطين,fp,62
9167,البراري,çayır,49
8836,جيمستاون,jamestown,53
3260,التقارب,afinite,79
6526,سرب,sarmak,63
3908,firepower.,ateş gücü,84
11784,سلوك,davranış,30
14125,نصف,yarım,10
11248,ما لا نهاية,sonsuzluk,35
3242,شم,enfiye,88
11597,غلاسجو,glasgow,32
12685,جوا,havadan,22
8490,لات,lf,56
8181,رودهام,rodham,58
6680,حلوى,geçiştirmek,67
6746,أثاث المنزل,mobilya,67
11289,لوثر,luther,35
13945,كيف,nasıl,7
13178,الطول,uzunluk,16
8948,دود,dod,53
1981,مبيدات الأعشاب,herbisit,90
8405,أولستر,ulster,56
13052,إيمان,inanç,18
8736,أحال,iletilen,44
3069,أساسيات,temeller,33
13517,طبعة,basılmış,11
5752,تيكي,tiki,73
1957,الأسبارتام,aspartam,93
1596,خبز,pişirmek,62
7203,روزاريو,rosario,64
10499,هولدن,holden,41
6469,أوبك,opec,69
2682,francophone.,frankofon,90
4718,رطوبة,nem,79
11307,الملف الشخصي,profil,30
14346,تجاري,reklam,9
1624,التهاب شعبي,bronşit,94
12723,الإثنين,pazartesi günü,22
11285,النظام الحاكم,rejim,33
7030,سبت,sabbath,65
802,ماتادور,matador,96
3029,ضمير,zamir,77
3298,ياي,yaşasın,87
9073,إعادة تسمية,adını değiştirmek,21
10357,الأرمن,ermeni,38
9005,الأولمبياد,olympiad,51
6586,القوى العاملة,insan gücü,68
11845,ذو معنى,anlamlı,30
2868,دالر,daler,89
10926,نصب,anıt,34
10945,قرد,maymun,36
317,كونيكس,connex,100
14378,الوحدات,birimler,7
2828,إلغاء حماية,korumasız,51
14190,أيضاً,herhangi biri,8
11994,موسع,genişletilmiş,16
6985,بيكا,pika,66
4824,موزع,distribütör,70
12365,لؤلؤة,inci,25
10800,مؤسسة,firma,36
5675,مسؤولية,yükümlülük,71
12590,دين الاسلام,i̇slâm,16
7007,ستينغراي,vatoz,62
8538,ولد عم,kuzen,46
1950,بينغو,bingo,93
1758,بسعادة غامرة,heyecanlı,52
8239,الرجل الثلجي,kardan adam,58
13054,معلق,tutmak,12
11804,مصنع,fabrika,27
5305,الحداثة,modernist,75
6554,بوتان,butan,69
12079,حديقة,bahçe,22
8951,أجش,husky,33
8889,كوال,koala,53
7722,الصليب المعقوف,yukaphane,61
8255,خير,refah,58
4995,بدل,sfenk,78
10861,كوكس,cox,38
10094,خالق الكون المادي,evrenin yaratıcısı,44
6920,جرانج,grange,66
9983,رهينة,rehin,36
5047,ريددي,reddy,77
11761,رياضي,atletik,13
2275,أكويلا,aquila,92
10387,الطيارين,airmen,42
3255,الزركونيوم,zirkonyum,88
2948,الدهيد.,aldehit,83
12325,السخرية,ekstratropik,26
6906,الجلوكوز,glikoz,66
13307,كتب,yazmak,16
4393,ودع,ld,81
11236,غير عادلة,haksız yere,36
14312,موضع,konum,6
5319,النحل,arılar,35
570,الأرض الزراعية,çiftlik arazileri,96
12399,موسيقى الجاز,caz,25
13884,ثلاثة,üç,7
6452,شوق,kokarca,69
12943,ملك من,kimin,20
5371,مسجد,mescit,75
7732,ديم,diem,61
10455,بيبسي,pepsi,41
11940,الكشفية,diskografi,29
10880,هل,wh,38
10574,نبتون,neptün,40
2366,فتات,crips,74
9241,لا رجال,nominal,50
11487,الدفاع,savunmak,14
2133,جيشا,geyşa,92
2484,سيام,siam,90
12468,موريس,morris,24
3157,مانشوريا,mançurya,88
7703,إعادة تدويرها,geri dönüşüm,54
7757,الرومانسية,romantizm,61
9419,جنية,peri,48
12627,فرانسيس,francis,23
11545,عريضة,düz,30
8975,فراشة,kelebek,50
11240,ميلز,değirmenler,26
7184,المنتقمون,yenilmezler,41
12375,بالدرجة الأولى,öncelikli olarak,25
13579,كوريا,kore,13
9430,مثير,heyecan verici,34
7913,سلاسل,teller,30
4187,طائر أسود,blackbird,82
2285,أحذية رياضية,spor ayakkabı,89
11450,بيتا,beta,33
2816,slanchnology.,speknoloji,89
3436,الدول الاسكندنافية,i̇skandinavya,87
12131,مرشح,aday,20
13696,فرد,bireysel,11
8185,سندريلا,kül kedisi,58
9533,intercontinental.,kesişen,48
8691,النهار,gündüz,54
1280,ينزف,kanama,48
13366,هوية,tanılama,15
11675,شمال غرب,kuzeybatı,31
4424,سنتور,centaur,76
6207,على رأسها,esas olarak,71
13754,تحميل,yüklemek,8
6168,دقيق,makro,70
13071,قطف او يقطف,seçmek,12
14420,اسم الشيئ,adlandırılmış,6
8119,المصارعون,gladyatörler,46
2106,garesmen.,muhafızlar,92
9318,قوارب,dolayısıyla,50
5775,المقسورات,bölenler,68
11988,المضاربة,spekülasyon,22
903,مضاعفة,iki kat,97
3553,كوليما,colima,86
1917,كوارك,kuark,90
13589,يوافق على,katılıyorum,11
3630,كرابر,crapper,86
2296,تيلدن,tilden,92
8873,التجريبي,demo,45
9176,غير مسبوق,görülmemiş,51
2745,كامبريان,kambriyör,89
3761,بعجلة,aceleyle,85
7077,الفضائح,skandallar,26
9741,كارلو,carlo,47
4603,الفرات,öfori,80
14466,مطلوب,aranan,5
6613,سابل,samimi,67
8750,توربيني,turbo,53
6239,حث,acemi,22
14427,إجابة,cevap,11
12426,حليب,süt,25
765,رغيف,somun,96
11214,علم الحفريات,paleontoloji,36
10907,بنديكت,benedict,38
5102,فري,fir,76
10307,بوي,poe,42
8071,باكستر,baxter,59
10865,هانسا,hansa,38
6924,ألبان,mandıra,66
12987,جين,jean,19
4894,غواص,dalgıç,65
12126,مليار,milyar,27
5401,كرنك,krank,70
8190,فرس نهر,hipopotamus,58
2667,حكم الاقلية,oligarşi,89
8145,الالتهابي,inflamatuar,58
14349,متاح,tedarik edilen,6
4446,أعد اضافة,yeniden ekle,80
10928,مفاوضات,müzakereler,26
10420,دوايت,dwight,41
4849,الشتات,diaspora,78
10971,جاكي,jackie,35
13685,مطالبة,iddia,9
11833,كوكبة,takımyıldız,30
6192,محو,silme,30
3959,كستناء,kestane,82
13917,رئيس,başkan,10
6149,ارتفع,rise,71
11230,تبرع,bütçe,34
4046,ظلم,adaletsizlik,78
4178,داز,dz,83
3519,كلاوديوس,claudius,86
12649,فلسطيني,filistin,20
14498,صناعي,sanayi,14
9786,المصطلح,terminoloji,46
5942,tyrone.,tirron,72
10119,سوبرمان,süpermen,44
1363,نغم,nig,96
8168,تسخين,ısıtılmış,19
12729,رايدر,binici,16
11126,متستر,sinsi,36
6649,كوني,connie,60
8257,الحيوانات البرية,yaban hayatı,58
12914,قارئ,okuyucu,9
7850,الفظائع,acımasızlıklar,56
13456,غير مرغوب فيه,istenmeyen,14
7863,سجق,sosis,56
14102,رسمي,resmi,9
1279,ثقب,delinmiş,66
1969,نظرية المعرفة,epistemoloji,87
12568,دورة,çevrim,18
384,بيور,puri,100
9776,مخدر,psychedelic,43
1843,ماراثا,maratha,93
11056,شاي,çay,37
3429,هزل,fitil,86
5880,هيدروكربون,hidrokarbon,68
7661,لينغ,ling,62
5062,فيسوفيوس,vesuvius,77
8432,ليثيوم,lityum,56
10242,قروي,kırsal,43
12374,كهربائي,elektrik,17
14139,مقارنة,karşılaştırıldığında,11
1284,مالا,mala,96
11213,نجمي,astral,36
1078,كالوم,callum,96
12196,est,avustralya  brezilya ve kuzey amerika ülkelerinin kullandığı saat uygulaması,27
12025,بوست,fahişe,28
4058,فيشنو,vishnu,83
6812,الصمام الثنائي,diyot,66
6889,روميرو,romero,66
6251,سيانيد,siyanür,70
14379,جانب,taraf,10
11704,كره ارضيه,küre,31
4564,ضلوع,pirzola,62
5967,الأرجون,argon,72
8692,مولي,molly,54
13138,ركلة,tekme atmak,12
8130,جودي,judy,58
8345,سلالة,sala,57
2911,مثاد,indüksiyonlar,85
9993,في كل مكان,her yerde,45
4650,ايتا,ita,80
11073,سهم,ok,32
11009,دوران,rotasyon,27
11059,أسبوعي,haftalık,37
4062,إيريكا,erica,83
12216,تويوتا,toyota,26
1609,التباين,farklılık,29
4498,ارتفاع ضغط الدم,hipertansiyon,80
8784,مركبة فضائية,uzay aracı,54
1348,فيف,vivre,96
879,أشعة,kirişler,55
2159,الواصلة,tire,63
14496,تضخم اقتصادي,şişirme,45
9151,قنبلة يدوية,el bombası,43
2221,سمي,smegma,92
2561,stockman.,saraycı,90
1812,حجر الأساس,köşetaşı,89
10720,جيلبرت,gilbert,39
10056,مالي,mali,44
2884,أبقراط,hipokrat,89
6462,غرناطة,granada,69
2943,عشيقة,metres,87
5272,لم شمل,tekrarlanan,66
3457,اوسبري,osprey,78
8764,فريسنو,fresno,54
5920,يراجع,tekrar düzeltme yapmak,15
13781,فوز,zafer,11
12273,يوم الثلاثاء,salı,26
1964,كنية,epitet,88
14308,ي,j,8
14117,يتراوح,menzil,10
6777,بياضات,keten,67
14048,الملفات,dosyalar,6
6647,الإدراكي,bilişsel,62
13540,خصوصا,özellikle de,13
9781,الثلاثي,üçgensel,46
8099,ويسكي,viski,58
14286,كمية,miktar,7
6365,ميرتل,mersin,70
7887,ايرو,aero,60
3345,نفاق,ikiyüzlülük,87
8218,استثنائية,olağanüstü,13
12650,تامبا,tampa,23
5312,الحلويات,şekerleme,76
13480,ديترويت,detroit,14
8945,المتصيدون,troller,28
2489,خنثى,hermafrodit,90
2129,خط أزرق,mavi çizgi,92
12010,مربى,reçel,26
4332,طبيب بيطري,veteriner hekim,76
7742,جوقة,koro,61
2325,باريتون,bariton,91
10604,التسوق,alışveriş,24
3559,متفائل,iyimser,80
8670,ليس,isnt,54
13494,الاستعلامات,sorguları,13
10841,خمر,şarap,37
5418,الانشطار النووي,fisyon,75
13244,صفقة,anlaştık mı,12
9478,الفاشية,faşizm,49
1704,فرح,sevindirmek,94
8367,توبي,toby,57
7600,نوبة,bout,61
12707,حصاة,taş,19
6076,تأمل,meditasyon,63
13359,استشهد,alıntı,7
11640,أبو,abu,32
8902,واثق من نفسه,özerk,51
12405,خشب القيقب,akçaağaç,25
200,كورس,corse,100
3844,الأزمات,krizler,85
6665,التوغل,akın,59
10327,كلغ,kilogram,42
14134,التغييرات,değişim,5
3407,الخشب الأحمر,sekoya,83
4415,كارترايت,cartwright,81
6837,تكيلا,tekila,66
12652,سكرتير,sekreter,22
7017,نورس,norse,65
11177,خدمة النقل,servis aracı,35
3469,فوب,fob,86
12885,الصحة,sağlık,20
12814,مقدر,tahmini,16
12317,ميداليات,madalyalar,14
3729,الإنديوم,indiyum,85
12616,عملة,para birimi,22
11256,الخدعة,hile,29
13438,المؤلفات,edebiyat,14
864,يوجينيا,eugenia,97
4278,جرم,grue,82
12262,غزاة,akınçılar,25
9101,جهة,fişek,45
489,شوف,kıpırdamak,76
2946,الماعز,keçi,45
5547,أهل,iri,75
