ID,ARABE,SPAIN,INTERVAL
1329,غغرة,gárgola,92
14045,داخل,dentro,10
14496,تضخم اقتصادي,inflación,45
2556,دياتوم,diatome,87
2329,تدريس,matrícula,91
10136,الحرير,seda,43
2518,كناية,eufemismo,87
512,إيل,ile,99
14153,امتحان,prueba,5
103,التاجي,coronario,100
4691,كواصار,quásar,77
1169,النوع الفرعي,subtipo,93
5642,الأمونيوم,amonio,74
13925,بينما,mientras,6
1403,التلاعب,manipulaciones,39
7257,الحج,hajj,64
8568,الصياد,cazador de aves,55
7614,ومن المثير للاهتمام,curiosamente,62
4456,الديكارتية,cartesiano,81
9078,المكان المقصود,destino,38
9884,الثامنة عشر,dieciocho,45
8236,شرب حتى الثمالة,zumbido,56
11591,قدامى المحاربين,veteranos,23
5592,دولوريس,dolores,70
8045,النعيم,felicidad,58
0,النوايا,intento,7
2569,المحلفين,jurados,75
10234,صراحة,explícitamente,43
13641,ثمانية,ocho,12
11670,الثالث عشر,decimotercero,31
11957,برونزي,bronce,29
6053,ديبورا,deborah,72
9353,seadog.,foca,50
3703,غير موجود,inexistente,82
91,روديسيا,rhodesiano,100
7126,الفرار,huyendo,45
3839,عديم اللون,incoloro,84
6586,القوى العاملة,mano de obra,68
9876,بطاريات,baterías,21
314,مقياس شدة الريح,anemómetro,100
7343,التشجيع,animadoras,59
8597,محتال,pícaro,54
11411,أبطأ,más lento,34
961,بربر,beréber,91
12294,حلف شمال الاطلسي,otan,26
7028,شايان,cheyenne,65
13676,مسودة,sequía,12
11360,بطريقة ما,de alguna manera,34
9512,أوليسيس,ulises,49
12952,الوقت الحاضر,momento,17
13851,نظام,sistema,8
5408,بلانش,blanche,75
7367,الماركسي,marxista,59
14498,صناعي,industrial,14
5356,شيفا,shiva,76
9288,ثابت,firme,49
1310,تحرم,privar,67
5018,الموائل,habitat,76
5534,أوليمبوس,olimpo,75
2370,عمار,amar,91
10160,فيليكس,felix,43
12042,فاسق,punk,28
6447,بورنيو,borgo,69
496,الجبهة,univ,99
1307,بولونيوم,polonio,96
12786,فانكوفر,vancouver,21
776,مذكرت,mezquino,98
13246,أتلانتا,atlanta,16
903,مضاعفة,doblemente,97
10342,دانماركي,danés,42
4687,تطويق,bordillo,68
14336,المعايير,estándares,11
12672,اثني عشر,doce,22
10586,كلما كان,cuando sea,40
5105,تخصص,especialidad,68
10164,أوماها,omaha,43
4416,onslaught,embate,81
2480,المعتدل,agresor,82
12075,واقع,realidad,27
778,sitide.,disminuido,77
1672,قبرصي,chipriota,90
13987,قضية,caso,6
12296,يقذف,terreno de juego,15
9310,مقرها,con sede,17
9166,التمييز,discriminación,46
8305,نوتيكا,nautica,57
12740,فينيكس,fénix,22
6345,ميرسر,mercer,69
8952,دانا,dana,52
5040,كوربي,corby,77
8595,العبقري,genio,55
10951,ركبة,rodilla,35
5506,عدم الاستقرار,inestabilidad,74
194,سائقي السيارات,automovilistas,97
3871,فظيعة,terriblemente,49
8975,فراشة,mariposa,50
9863,ماكفيل,mcphail,46
11201,عملاء,agentes,21
11554,الرصيد,equilibrio,25
12024,بلاه,paja,28
10728,وتوقع,predicho,24
415,ماكسي,maxi,89
7167,كاريوكا,carioca,64
10945,قرد,mono,36
10808,نمت,creció,38
11798,نمو,creciente,23
6531,صلى,rezar,56
3508,زيوريخ,zurich,86
11462,قبة,hazme,32
11557,شكسبير,shakespeare,33
10148,شمبل,chimpance,43
4246,الهزازات,agitadores,73
11631,راجع,pl,32
3479,إعادة إصدارها,reedidado,68
4878,واه,wah,78
8706,تحفيز,motivación,29
7287,تلوث اشعاعى,contaminación,47
880,هاليد,haluro,95
11701,البارون,barón,30
14235,يسمح,permitir,9
10598,الكاميرون,camerún,40
4504,سكاكين,cuchillas,80
13078,مطار,aeropuerto,17
6707,بنديت,pandit,58
7029,وودوارد,leña,65
10135,فرساي.,versalles,44
2758,النظافة,higiene,88
3475,رد فعل,reaccionar,45
6839,جيمسون,jameson,66
1667,الإمبريالية,imperialista,80
7090,مصل,vacuna,54
8230,يوكون,yukon,58
6237,باحترام,respetuosamente,12
1523,الأراضي المنخفضة,tierras bajas,76
9211,تنفسي,respiratorio,51
5460,بام,pila,75
4188,hibernian.,irlandés,82
7639,جانبية,colateral,61
10020,كشمير,cachemir,45
7802,سيكلونيك,de ciclón,11
1325,الكلوروفيل,clorofila,96
5416,كاسي,cazadora,75
13964,أربعة,cuatro,6
10071,إلين,elen,44
13480,ديترويت,detroit,14
2870,العانة,púbico,88
1070,سكاي,skye,96
6978,دارسي,durcy,65
10290,المدنية,cívico,41
1113,الببغاء,guacamayo,95
12823,خلاق,creativo,20
11138,يوجين,eugene,34
7406,تيك,tic,63
8476,تشكيل,fragua,45
1058,حماسة,celo,96
11777,الترخيص,licencia,10
9095,جيبوتي,djibouti,52
6167,معطف,bergantín,70
5440,قسامة,alícuota,75
7550,إخراج,evocador,62
1654,كيس الخصيتين,escroto,93
7198,نكص,retroceso,63
4692,محمصة,tostadora,77
1676,الأخوة,hermandad,94
2822,آفة,parásito,86
13767,مات,fallecido,11
7016,ريفز,reeva,56
8484,دكستر,diestro,55
12426,حليب,leche,25
7152,airwaves.,ondas,64
6417,حجز,derecho de retención,69
8799,محسوب,calculado,28
14332,وصل,alcanzó,9
6219,مارسيلو,marcello,71
3470,غطاء محرك السيارة,capó,76
11617,سم,cm,32
12558,غير ضروري,innecesario,24
10018,بوينوس,buenos,42
12400,ينظف,limpio,19
13362,معرف,definido,13
2790,pigman.,porquero,89
6787,عن بعد,de forma remota,38
10361,وندسور,windsor,42
11400,وارنر,warner,34
1418,الندرة,rarezas,79
811,المرجع نفسه,ibídem,98
4567,التشيلو,violonchelo,80
2698,ليمونين,limoneno,89
7896,تحطمت,destrozado,54
11763,لوقا,lucero,31
66,يحدد بدقة,determinar con precisión,93
3683,عمياء,a ciegas,85
706,طافيا,a flote,98
14074,بعيد,lejos,8
10698,إعادة تقييم,reevaluado,38
13910,منذ,desde,7
2554,سماعة الطبيب,estetoscopio,90
3799,مرض الحصبة,sarampión,84
12766,بطاقات,tarjetas,13
6306,إبادة,exterminio,62
14287,أخير,final,7
2269,الفيلكرو,velcro,91
11110,دعم,respaldo,36
12153,رضا,satisfacer,15
14043,مشكلة,asunto,8
10873,إرث,herencia,38
7837,هزة,agitar,49
14030,إصدار,versión,8
13776,جولة,excursión,11
4618,ويموث,weymouth,80
13013,موضه,moda,17
11496,ناشفيل,nashville,33
9603,تغذية,nutrición,45
12750,ديك.,polla,21
13213,ماساتشوستس,massachusetts,17
9689,عالية الدقة,hd,47
10334,تيتانيك,titánico,24
3904,سيفاكا,sifaka,84
11135,تخفيض السعر,rebaja,22
5673,مودم,módem,70
1632,التنويم المغناطيسى,hipnosis,94
10815,جزئي,parcial,29
9866,ويتمان,whitman,46
9734,بيني.,benny,46
547,بدعة - هرطقة,herejía,97
12801,عميق,profundo,21
12580,خطاب,habla,22
13199,غير مريح,inconveniencia,16
12810,سويسرا,suiza,21
784,claymore.,casa antigua,97
8738,كومودور,comodoro,44
5757,شد,atornillado,38
5904,استرفاع,levitación,71
7528,قائمة المصطلحات,glosario,62
4187,طائر أسود,mirlo,82
1942,لازاروس,lázaro,93
11974,بشكل كبير,significativamente,29
7060,خط انابيب,tubería,62
13594,حاضر,regalo,10
9912,سكني,residencial,45
1870,لحظيا,momentáneamente,93
10283,فسيفساء,mosaico,42
10651,والخيارات,opciones,7
11215,baseman.,basazador,36
9489,فوتي,cariño,49
2356,frazer.,frazador,91
1463,توبيخ,reprendido,79
5350,هيمالايا,himalaya,76
8554,watergate,acosar,55
10156,مينغ,ming,41
4709,بيتسوستاسي,homeostasis,79
9969,تحول,desplazado,17
11041,نورسمان,escandinavo,37
12166,تحريف,tergiversación,23
8101,كاسر التعادل,desempate,59
624,سيماس,seimas,99
9103,البوتاسيوم,potasio,51
7804,الحيوان الثديي,mamífero,53
8089,لارس,lars,46
1721,تتميز,caracterizado,80
10687,الانتفاضة,levantamiento,38
7617,دهني,graso,62
3294,كعكة,bollo,55
576,outfitters.,excursiones,97
5898,الماركسية,marxismo,72
2519,أكثر ازدحاما,más ocupado,90
14412,قواعد,normas,7
7488,التقديمات,presentaciones,45
9066,ملخص,sinopsis,52
12209,هوندا,honda,27
11051,ماشية,vacas,37
1111,مدة,mol,96
4999,تمزق,ruptura,65
2957,مكبر,codazo,88
9895,هاو,howe,45
10143,أرسطو,aristóteles,43
13062,الفتيات,muchachas,13
1295,الملوحة,salinidad,81
6330,ضوضاء,desorden,52
13678,أنشئت,establecido,10
7874,المليارديرات,multimillonarios,58
8666,هضبة,meseta,54
14073,ممكن,posible,7
3920,تآكل,corrosión,80
5330,مذكرات,memorias,67
2587,أفكار,perspectivas,47
2873,دور,durst,88
5787,keystone.,piedra clave,72
10173,البحر المتوسط,mediterráneo,43
3192,أكثر صرامة,más estricto,88
478,triphoshosphfes.,trifosfato,99
3617,غفوة,lúpulo,85
1534,إستيعاب,epifanía,94
1077,تحليل,analizando,41
1955,معجم,lexico,88
3338,الملكية الملكية,monárquico,80
3877,مزلق,deslizamiento,72
12305,ماريا,maria,26
10418,المافيا,mafia,41
12283,بيرو,perú,26
1727,مقرونة,penetrado,40
12616,عملة,divisa,22
12262,غزاة,asaltantes,25
13193,كتيب,manual,16
1180,المسدسات,pistolas,65
6536,تور,retruécano,64
2388,إعادة تقديم,reintroducido,79
12281,ببطء,lentamente,26
7851,يعاقب,penalizado,49
5321,كثرة الوحيدات,mononucleosis infecciosa,76
6104,غير مصرح,no autorizado,71
11128,وزعت,repartido,20
2667,حكم الاقلية,oligarquía,89
661,المتصلين,llamador,65
6539,توحيد,unificación,68
13577,صغيرة,joven,13
6903,أثقل,más pesado,66
7035,أبت,abt,65
14430,رابطة,vínculo,20
2686,المبني القبني,iglú,90
13948,له,a él,9
5201,السياقات,certeza,76
10583,سول,seúl,40
3665,البلاط,ligasa,76
8770,قابس كهرباء,enchufar,48
976,الآباء - الأولياء,patriarcas,82
5617,دوار الشمس,girasol,74
12973,إيران,irán,19
11519,فلاش,destello,30
966,طبيب نفسي,psiquiatra,94
12543,عقد,contrato,20
2905,بيزنطيوم,bizancio,88
13736,جمهورية,república,12
2717,بقسوة,duramente,89
1988,السامراء,samarra,93
6932,فيرجيل,virgil,66
4086,الجمود,estancamiento,80
12508,دنيس,dennis,24
6003,ويلو,sauce,68
12641,تفتيح,aligerar,23
3773,متعدد الجوانب والاستعمالات,versátil,77
2502,بيلهام,pelham,90
4802,عازف الجيتار,guitarristas,30
2153,غير منضبط,sin control,81
1263,استبيان,cuestionario,91
6063,تشوه,distorsión,44
4987,طارة,aro,67
10531,بيروت,beirut,41
906,ورق بردي,papiro,97
14474,تمرين,capacitación,10
10001,نبذة مختصرة,resumen,42
4223,مظلل,sombreado,46
5824,ليندن,tilo,73
2824,صوفي,lanoso,88
8691,النهار,tiempo de día,54
955,التدريبات,cuadratura,97
6463,طرابلس,tripoli,68
7542,ليرة لبنانية,lbw,62
9633,صدر,pecho,43
14021,وطني,nacional,7
3000,بشكل ملحوظ,marcadamente,88
4949,الأناركية,anarquismo,75
10943,درجات,grados,23
9609,خطاط,guardavía,48
14500,إستراتيجية,estrategia,31
1334,ألبينو,albino,95
6679,الاختصارات,abreviaturas,41
12545,الأقمار الصناعية,satélite,22
9798,الحارس,guardabosque,17
10528,أ,nuevo testamento,41
1257,أكثر سمكا,más grueso,96
6740,أناناس,piña,67
13201,اقترضت، استعارت,prestado,16
13582,قصة,historia,12
530,سمك الحفش,esturión,98
11320,خطوات,pasos,16
5174,مهبلي,vaginal,74
4150,تم تجديده,renovado,58
3077,الطباعة,tipografía,88
4041,غوس,gauss,83
13617,جدول,mesa,12
14466,مطلوب,buscado,5
11768,إبراهيم,abrahán,31
9442,إثارة للخلاف,contencioso,49
8774,فرويد,freud,54
9562,راتب,salario,43
11949,قناة,canal,28
9100,جودو,judo,52
2098,ماء أسود,agua negra,92
2012,شائعة,vulgar,92
126,مزدوج الوجه,janus,100
7421,فيستا,vesta,63
5924,سخونة,más caliente,72
107,فيجارو,figaro,100
860,تم تحليلها,analizado,48
6917,فين,vin,66
13917,رئيس,presidente,10
13381,مهمة,misión,12
12079,حديقة,jardín,22
1683,الشام,impostor,77
11272,هربرت,herbot,35
288,المجهر المجهري,microscopía,100
9615,لخص,resumir,38
5566,كوي,tímido,75
2719,العقيق,superficial,89
13359,استشهد,citado,7
13652,الشرقية,oriental,12
10602,ديانا,diana,40
14372,قاعدة,regla,7
4360,قيم,enchufe,34
7708,النيص,puerco espín,61
12241,بابلو,pablo,27
14280,القول,dicho,8
12261,ريتشموند,richmond,26
5494,موظر,hijo de puta,75
8809,البولكا,polca,53
3277,هيد,hed,87
7519,سيلفستر,sylvester,62
4271,إيبا,iba,82
3694,ريدلي,ridiar,85
6742,تصوير سينمائي,cinematografía,67
9417,يحيد,reaves,49
6655,سوتر,sutter,68
13111,س:,q,18
9382,طبول,batería,29
13278,تربيتة,palmadita,14
5084,لصوص,ladrones,76
13610,كلمة,palabra,9
8361,فورا,instantáneamente,57
1216,بيطار,bizet,96
2948,الدهيد.,aldehído,83
586,غير خاضعة للرقابة,sin censura,99
1453,العزاء,consuelo,95
10787,في العصور الوسطى,medieval,38
7014,التعاون,innovación,44
14369,مؤتمر,conferencia,11
385,ألبريتش,alberich,100
6962,جوز,nuez,65
13663,لويس,louis,12
13945,كيف,cómo,7
14371,بارِز,significativo,10
12384,الفرعية,sub,24
2418,المصطب,río abajo,91
10588,ساندرز,lijadoras,38
5819,المحافظة على,conservación,28
10632,ريختر,richter,40
11556,ملح,sal,31
10096,تلسكوب,telescopio,41
2564,سلمى,salma,90
13864,زيادة,encima,7
1100,همم,tararear,93
6629,البلاشيفيك,bolchevique,59
7403,البنفسجي,violeta,62
6116,يصفع,bofetada,55
11990,يضيع,desperdicio,22
5100,مفصلية,articulado,65
10144,فاغنر,wagner,43
10032,إفتراضي,por defecto,41
12772,نيابة,notre,21
7803,رجال الاطفاء,bomberos,45
533,ليتورجي,liturgia,98
12596,رابعا,iv,23
5556,هش,crujiente,70
7104,محاذاة,alineado,32
21,منفطر القلب,rompecabezas,75
13121,ريح,viento,12
11978,بنيامين,benjamín,29
11367,شوكولاتة,chocolate,34
6076,تأمل,meditación,63
3991,تعظيم,relata,83
8479,سلطة,ensalada,56
8195,المتغيرات,variantes,41
12770,مبهج,jubiloso,21
5641,وضعت,ideado,65
4293,علم الحيوان,zoología,77
1943,هدوء مؤقت,calma,90
230,مجموعة فرعية,subgrupo,91
7504,الرهن العقاري,hipoteca,60
8318,وضح,underwood,57
6385,في اسرع وقت ممكن,lo antes posible,69
13226,إلى الأمام,hacia adelante,9
11406,هوك,halcón,19
5604,توكسون,tucson,74
10393,عيد الحب,enamorado,41
9277,منشأ,génesis,50
9223,أبالاشيان,apalachón,49
3992,جنك,gingko,83
12733,التسرع,apresurarse,12
13859,وقت,tiempo,5
8113,المشاجرة,pelea confusa,57
12234,بطيء,lento,23
12378,شرف,honor,19
12966,غير مفسر,inexplicable,19
8394,محللون,analistas,47
979,إكسبور,excalibur,97
7364,الأسحق,episcopal,63
14055,يأتي,venir,7
12474,معاهدة,tratado,19
10968,ديلاوير,delaware,38
11844,بليك,blake,30
11376,مين,minuto,32
7284,ناقلة,petrolero,54
7102,المنشد,vocalista,61
11718,مايا,maya,31
8546,صحيح,saludable,55
6585,aardvark.,cerdo hormiguero,68
5262,بشكل روتيني,rutinariamente,47
8398,صدفة,coincidencia,39
1544,الفورمالديهايد.,formaldehído,95
10582,نابليون,napoleón,37
7596,القلق,ansiedad,62
13906,كل,cada,8
12888,مهرجان,festival,18
7468,نقاط البيع,pos,44
7808,ترى,trey,61
1811,روكواي,rockway,93
11214,علم الحفريات,paleontología,36
5986,موندي,monde,72
214,ييكيس,yikes,100
970,السعرات الحرارية,caloría,88
5336,لوما,loma,76
12529,هاواي,hawai,24
3939,المحيط الحيوي,biosfera,83
1158,اهتزاز,vibración,67
2784,توقيت,temporizador,65
11953,ألبرتا,alberta,29
6561,نيروبي,nairobi,69
10567,بلا داعى,innecesariamente,40
5206,حقول الأرز,arrozal,74
13393,يلتقي,satisface,10
8783,ورقة,sábana,43
10758,بوكس,buckyes,36
9496,مرتب حسب الحروف الأبجدية,alfabético,28
7160,ecelon.,escalón,62
12815,جمهوري,republicano,19
1983,روتر,rutter,93
6239,حث,urgencia,22
12321,يوغوسلافيا,yugoslavia,26
5789,جوديث,judith,73
12232,بنما,panamá,27
4035,تجار التجزئة,minoristas,39
2181,سكوير,escudero,79
1722,جلا,vl,93
907,تعدين,metalurgia,97
13564,كرة سلة,baloncesto,13
13271,تناوب,relé,16
5708,مسلسل كوميدي,comedia de enredo,67
4265,كاب,kapp,82
10631,انحدار,cuesta abajo,38
6248,زمرة,camarilla,67
4491,هستيريا,histeria,81
13065,متأخر، بعد فوات الوقت,tiempo extraordinario,18
12162,مونتانا,montana,27
1826,مفسد البهجة,brutín,93
6026,كريشنا,krishna,72
12440,بروس,bruce,25
2166,شار,carbonizarse,82
10957,خواتم,anillos,17
11252,يعزى,atribuido,14
14395,يقلل,reducir,17
11916,احتل,ocupado,25
1553,كري,colega,94
6695,ديباجة,preámbulo,67
4173,طبيب الفدرالية,federalista,81
2931,farthest.,más lejano,88
13238,ستانلي,stanley,16
8065,شرائح,segmentos,34
1967,مربية,niñera,93
10305,exodus,éxodo,42
13549,صيغة,formato,10
11132,وقف,permaneció,36
11227,على سبيل المثال,p.ej,35
8271,دالي,dali,57
13719,الملقب ب,aka,12
1975,جونال,gonal,93
13868,الناس,gente,7
6338,دورة في الدقيقة,rpm,70
10902,مقاطعة,boicotear,36
5083,تشيز كيك,tarta de queso,77
5578,بوهيميا,bohemia,74
808,putsch.,golpe de estado,98
13802,مع,con,5
4502,المركبة الفضائية,nave estelar,80
435,فرانسيوم,francio,100
9172,تولسا,tulsa,51
5929,أخر,ae,60
10420,دوايت,dwight,41
7554,الخضروات,vegetal,49
