ID,JAPAN,PORTUGAIS,INTERVAL
5900,遠隔,tele.,71
7272,泣いて,choro,32
7196,大司教,arcebispo,61
7363,外野,outfield,15
6489,恥ずかしい,embaraçoso,45
555,自由な,freehold,99
13659,解像度,resolução,12
111,subs子,subsistência,90
8981,ルートヴィヒ,ludwig.,51
11726,シリア,síria,30
13778,ウェールズ,país de gales.,11
2470,病理学,patologia,79
7500,イエローストーン,yellowstone.,62
2001,失神,desmaio,67
12508,デニス,dennis.,23
10034,涙,lágrimas,33
6896,admly,admitidamente,65
11172,ライディング,cavalgando,22
13734,ゴールド,ouro,11
3530,ふくらはぎ,bezerro,86
5823,遅れる,retardar,37
6320,グロスター,gloucester.,69
10509,歌う,cantando,28
2337,ジュエリー,jóias,91
13708,にもかかわらず,apesar de,12
6007,long long,longshore,71
393,タマリン,tamarin.,100
1050,鳥居,torii.,97
6380,スペクトル,espectral,68
3609,スムナー,sumner.,85
8988,演奏者,artistas.,9
4808,エーカー,acre,47
12339,na,n / d,25
14010,行く,ir,7
36,undocr,undemocrático,100
7900,肘,cotovelo,56
11759,司教,bispo,28
2312,ドキドキ,batendo,31
12191,コメディー,comédia,26
13224,太陽,sol,15
158,リンボ,limbo,100
3439,軽薄,frívolo,83
8282,ポセイドン,poseidon,56
12312,世界的に,no mundo todo,25
3839,無色,incolor,84
12410,書き組む,wright.,24
223,圭殿,keeler.,100
1844,トロッター,trotter.,91
11512,丈夫,hardy.,31
11698,キャンセル,cancelado,23
7615,笑う,sorri,28
10095,割引,redução,40
1799,潤滑剤,lubrificante,81
3337,ヴェストファリア,westphalia.,87
6110,コッパ,coppa.,70
3175,叫び,gritando,45
11174,促進する,facilitar,32
1494,間違った,confundir,95
1122,眼窩,orbicle.,96
10594,アーリントン,arlington.,39
13598,特徴,destaque,9
12568,サイクル,ciclo,17
10444,地質,geologia,33
8793,デイトン,dayton,52
10409,デュアル,dual,40
3502,カラ,kala.,86
11558,シェル,concha,25
7238,ビスマルク,bismarck.,63
6954,精査,escrutínio,65
3892,ウィルトシャー,wiltshire.,84
13543,g,deu,13
3490,アミノトランスフェラーゼ,aminotransferase.,86
9485,子供っぽい,infantil,47
6554,ブータン,butão,68
2839,ポン,pont.,88
8395,カフェ,caf.,55
247,リジン,lisina,100
9153,拒否,negação,48
1308,スワミ,swami.,93
608,ペディキュア,pedicure,99
3423,パリンドローム,palíndromo.,73
3929,パラサージ,parasangs.,82
10019,カボット,cabot.,43
12715,フィート,pés,21
819,これまで,até agora,98
4958,ファサード,fachada,75
3565,困惑した,intrigado,42
10310,神秘,mistério,33
3467,シェイラ,sheila.,86
4534,ファジー,difuso,79
9665,回復する,recuperar,20
9420,アパルトヘイト,apartheid,48
8812,ザース,zac.,52
12703,お気に入り,favorito,20
10818,メタ,meta.,38
9561,カレー,curry,42
3885,にきび,acne,84
11094,イースター,páscoa,36
11653,所有,propriedade,31
8457,フッツ,fritz.,55
7827,ディズニーランド,disneyland,59
3031,フロン,flo.,88
3846,ライセンサー,licenciante,84
375,シリカ,sílica,100
425,スーパーマリン,supermarino,100
3712,スキューバ,mergulho,85
9814,牙,fang.,44
6604,露,orvalho,67
8742,破壊された,demolido,49
5838,上向きに,para cima,61
9566,グラミー,grammy.,47
8651,ラップトップ,computador portátil,53
10957,リング,argolas,17
1950,ビンゴ,bingo,93
11190,p p,pirataria,35
6389,ゲル,gel,66
12418,分類された,classificado,22
5405,レプリカ,réplica,66
4757,免疫,imunidade,47
9681,ヴェネツィア,veneza,46
9135,スターリングラード,stalingrado.,50
12218,サラ,sarah.,26
9799,プラハ,praga,45
4191,スピンナー,spinners.,53
13585,生まれ,nascermos,12
12918,目標,alvo,13
3677,ばかばかしい,risível,84
9694,マスコット,mascote,41
7810,ルビコン,rubicon.,59
9550,南極大陸,antártica,47
11777,ライセンス,licenciamento,10
8765,ハデス,hades,50
10239,肺,pulmão,39
697,ジュンクリー,viciado,87
10154,毎月,por mês,42
6476,鋭く,nitidamente,68
9597,盗みます,rouba,31
12954,銀,prata,18
2373,報復,retribuição,89
10259,テクトニクス,tectônicos.,38
967,ヒスパニック州,hispânicos,57
7975,オーバーケーブル,overcame.,58
11249,ダブリン,dublin,34
4954,付録,apêndice,77
4221,副官,ajudante,80
12286,最新,mais recentes,25
851,ウィケットキーパー,wicketkeeper,98
10112,ウォルシュ,walsh.,42
10628,teach teach,ensino,29
8665,クレオパトラ,cleópatra.,53
8653,適応,adaptação,32
12105,ロリー,rory.,27
12757,ジェリー,jerry.,21
1049,光沢のある,lustroso,97
1499,ロガン,rogan.,95
12092,不活影,inativado,26
12076,癌,câncer,27
1452,car car,cariageway.,95
9744,モンシューユー,monsieur.,45
12080,イラン,iraniano,25
7067,不定,irregular,43
8417,無視,desprezo,47
993,折衷,eclético,97
5726,非現実的,irreal,71
10633,ミネアポリス,minneapolis.,38
2732,対流圏,troposférico,76
12047,イントロ,introdi-,27
8318,木の下で,underwood,56
7335,お年寄り,idoso,62
11491,入力,entrada,31
12666,神話,mitologia,21
1474,ビルビー,bilby.,95
13719,a a,aka.,12
2278,カッコウ,cuco,90
8739,心理学,psicológico,32
9872,同性愛,homossexualidade,35
14256,電話,chamadas,8
2556,珪藻,diatomácea,87
3871,恐ろしく,horrivelmente,48
10806,バウンド,vinculado,28
1381,リリンパ,linfático,95
6690,エッセンス,essência,66
5101,多項式,polinomial,70
6617,プラーク,placa,62
12848,症候群,síndrome,20
368,スワヒリ語,swahili.,100
12998,大丈夫,multar,17
9953,バイロン,byron.,43
14391,9月,setembro,6
4578,ペギー,peggy.,80
1463,懲戒処分,repreendido,79
7147,eskimo.,esquimó,43
4496,ホイエリー,hoey.,80
3571,ヴィヴィアン,vivian.,85
10445,首,pescoço,38
5620,コンドル,condor,71
9466,ナイアガラ,niágara,47
6803,poll poll,pollard.,66
6978,ダルシー,darcy.,64
12324,コロンブス,columbus,25
10431,ウクライナの,ucraniano,38
11850,起こる,acontece,10
2188,フォルダ,pasta,88
2553,ポリネシア,polinésia,90
3006,ポピー,papoula,87
7719,根底にある,subjacente,56
12872,失う,perder,12
9192,桃,pêssego,47
12880,確かに,na verdade,20
10687,蜂起,revolta,37
5695,シクラメン,cyclamen.,73
13859,時間,tempo,5
7708,ヤシ,porco-espinho,60
12219,オーディオ,áudio.,26
6837,テキーラ,tequila,65
5489,急上昇,atacar,65
8171,細菌,bactérias,57
11700,ミッキー,mickey.,30
14362,ビデオ,vídeo,10
12002,ピエール,pierre.,28
6786,主,lords.,14
13309,管理されて,gerenciou,9
8804,紀元前,bn.,52
1523,低地,planície,75
10364,侮辱,insulto,22
13041,タリー,tally.,17
107,図形,figaro.,100
6986,獄舎,preso,45
7784,ヴェルドゥン,verdun.,60
249,ニューシーズ,newsweek,100
5144,孵化器,hatcher.,76
5120,ax an,anaxial,76
10193,実在物,entidade,37
3053,メーバー,merg,88
7198,反動,recuo,62
3318,with,retido,87
11032,厳密に,estritamente,36
10507,パニック,pânico,39
5229,カスピアン,cáspio,76
8200,ライトを,leve,55
1151,bon bon,bom dia,96
1120,cut,choco,96
13970,した,fez,5
8669,安いです,barato,53
9470,分離された,isolado,39
7966,スズメ,pardal,56
4616,lat,latembro,79
4845,橋渡し,bridgeport.,78
2793,ソレイユー,soleil.,89
10121,ローラー,rolo,41
633,アトカ,atocha.,99
4653,立場,ponto de vista,79
3424,タブー,tabu,84
9999,モンスーン,monção,42
3052,スタンドオフ,stontoff.,88
14294,車,carro,9
1415,ヒロイン,heroína,45
603,原生動物,protozoários,99
6687,ガイウス,gaius,66
3806,フェラー,furador,84
8400,スタークラフト,starcraft.,55
10713,トンネル,túnel,35
11776,ロナルド,ronald.,30
7469,博し,expo.,42
6631,マストドン,mastodonte,67
13169,夢幻,difamatório,16
6295,su,sui.,69
11432,エリート,elite,31
10361,ウィンザー,windsor.,40
6428,治療,tratamento,20
2392,不可知論,agnosticismo,91
3644,非営利,sem fins lucrativos.,85
3342,渡り,passant,87
342,インクブロット,inkblot.,100
13263,無し,nenhum,16
3036,プレトリア,pretória,88
10848,カーリー,carrismo,38
248,カルバリー,calvário,100
7390,良い男,bom homem,62
3122,コルセット,espartilho,72
10037,知覚された,percebido,39
2778,アルパカ,alpaca,89
6484,インストール,instalar,22
499,カタカナ,katakana.,99
8452,ヤーダー,yarter.,55
7300,定説,tese,62
8896,hol hol,holt.,51
5548,リセルビリック,lisérgico,74
9686,お父ちゃん,papai,45
1156,カービン,carabina,86
11607,ラマ,lhama.,31
12961,黄,amarelo,19
3650,振り向く,inversão de marcha,82
1963,トポグラフィック,topográfico,90
12545,衛生,satélite,21
7590,アイスランドの,islandês,28
7414,間接的な,indireto,62
5368,白人,caucasiano,74
6291,抑圧する,suprimir,38
4053,絵柄,pictórico,81
9230,煉瓦,tijolo,45
4526,姓,apelidos,38
13012,元に戻す,desfeito,18
11157,所得,renda,31
6780,フォアマン,capataz,66
13231,アントニオ,antonio,16
3915,血清,sérum,84
5462,torah.,torá,74
8477,美味しい,delicioso,54
5700,ガスパチョ,gaspacho,73
12992,ダイアグラム,diagramas,17
6148,ジェノア,génova,70
5365,藻類,algas,75
2922,ベリリウム,berílio,88
820,カーチノゲン,carcinógeno,87
3734,静止,bonde,78
5238,キャッチポール,catchpole.,76
7340,ミグ,mig.,61
8205,誘導,indução,44
250,プログラマー,programadores.,29
1065,包む,englobado,37
11509,統計,estatísticas,31
8215,タローム,anta,57
12942,フィリップ,philip,19
2388,再導入,reintroduzido,78
8124,マリファナ,maconha,57
6479,コーディング,codificação,12
9303,レーニン,lenin.,47
11647,イブ,véspera,31
13426,走った,corrido,14
1484,ジャンプスーツ,macacão,95
2307,who who,whoops.,81
4822,アーダン,vereador,78
1333,never never,nunca mais,95
14179,収益,ganhos,13
12390,ノバの,nova,24
3673,バーグマン,bergman,85
7296,バルカン,balcãs,52
3932,発音する,pronunciar,38
13751,示す,indicar,9
6847,gu,guerre.,65
8635,あどんこ,sapo,52
14448,なりました,tornou-se,9
9732,エジンバラ,edimburgo,45
968,マグダレン,magdalene,90
7176,便利,conveniente,43
14491,購入,comprar,25
3339,ホステル,hostel,82
4848,ボルドーの,bordeaux.,78
11396,スキップ,pular,28
7599,ライナー,forro,57
14090,ワシントン,washington,9
8464,車椅子,cadeira de rodas,54
6135,カクテル,coquetel,64
5935,ホック,hoc.,71
1581,小道具,adereços,61
8784,宇宙船,nave espacial.,52
8862,ラオス,laos,48
569,剣道,kendo,99
10350,デザイナー,designer.,9
10352,デルリー,dell,40
7516,バロック,barroco,62
8052,電信,telégrafo,54
13608,h,alevado,12
5566,コイ,recatado,74
4137,クラスルーム,sala de aula,74
9592,mil mil,militante,29
4206,スライド,slides.,40
10950,グレゴリー,gregório,37
3129,カフカ,kafka.,88
8737,軽蔑,depreciativo,52
11263,キャップ,boné,23
10214,フィンランド語,finlandês,41
1967,乳母,babá,93
5693,甘い水,água doce,73
12746,到着した,chegado,14
14081,ニュース,notícias,11
1218,舞子,mako.,96
1291,逆作動,contraproducente,93
7803,消防士,bombeiros,44
1794,覇権,hegemonia,93
7865,比喩,metáfora,53
2244,タースス,tarso,91
13371,山,montanha,12
10194,細部,subdivisão,40
10439,v v,vicioso,40
11510,エースースト,ernest.,32
3511,球車,salão de baile,85
7649,仏教徒,budista,58
10097,護衛,escolta,35
5047,朱に,reddy,77
9242,休戦,armistício,49
2173,デヒドラゼ,dehydratase.,91
12904,紡績スター,solteirona,19
3386,不信,descrença,86
3055,渡す,não interferir,88
6713,不幸に,infeliz,64
6739,マナティー,manatee.,66
5854,イカルース,icaro,72
3109,河口,estuário,86
12073,スパイ,espião,25
11944,アリソン,alison,28
9625,ジオメトリ,geometria,46
7878,シミター,cimitarra,58
10658,議題,agenda,37
12921,壊れた,quebrado,19
5002,ポインセチア,poinsétia.,77
11163,文明,civilização,11
1258,伏線,prenunciando,85
14333,販売,vendendo,20
9110,ムーザリー,mhz.,50
8638,シェリー,shelley.,53
8871,ペニー,centavo,51
4933,グリル,grade,61
11201,エージェント,agentes,21
5216,ブルタ,brutus.,76
5866,チューブマン,tubman,72
327,着物,quimono,98
2233,ゴルファー,golfistas,70
7945,林,lin.,58
11987,高速道路,rodovia,24
7711,soing,suavizante,59
2315,バルコニー,sacada,83
11247,槍,lanças,30
385,アルベリン,alberich.,100
5410,ブリュースター,brewster.,75
4637,ジストロフィー,distrofia,79
3713,吃音,sturt.,85
12201,中尉,tenente,25
11842,生きている,vivo,29
9178,航海,navegou,29
5822,結婚した,casar,38
7221,prob prob,provação,62
7399,疲れ果てた,exausta,40
562,フットヒルズ,foothills.,74
1770,レイネイド,layne.,93
7074,モルモン,mórmons.,31
10365,ノーブル,nobre,38
8486,包まれた,envolto,38
923,ザイン,zain,97
1970,ハードカバー,hardcover,93
11087,検閲,censurado,25
9710,復元,restauração,8
7603,禁輸,embargo,58
9849,スパイス,especiaria,43
10048,パン,pão,42
11177,シャトル,transporte,34
137,多孔質,poroso,100
4091,ラドン,radon,83
1113,マガー,arara,95
7398,使徒,apóstolo,48
13940,含む,incluindo,6
13288,香港,hong,15
11904,第12回,décimo segundo,29
1531,ブルジョアジー,burguesia,95
548,メロドラマ,melodrama,98
8806,ネタバレ,spoiler,41
3576,タイル,telha,62
12228,ジェシー,jesse.,25
13699,ダニエル,daniel,12
13824,もっと,mais,5
4022,登録,registros,6
12226,進化,evolução,26
1416,丸薬,comprimidos.,56
8897,任意,arbitrário,51
13078,空港,aeroporto,16
1855,ドリアン,dorian.,93
13413,ゾーン,zona,13
11086,意味する,implicar,22
7045,算術,aritmética,63
8018,ノックスビル,knoxville,58
2234,ヒッチハイカー,mochileiro,84
11872,ボランティア,voluntários,16
2393,ウィッシュボーン,fúrcula,89
8246,ファンキー,funky,56
12925,ボビー,bobby.,19
14380,ビュー,visualizar,6
8619,台所,cozinha,40
1254,恥知らずの,desavergonhado,95
4304,牧草地,prado,56
218,ニトロフェノール,nitrofenol.,100
7960,ベッカー,becker.,58
3410,淡水,água fresca,86
3691,スカウター,scouter.,85
4707,累積的な,cumulativo,75
2078,亜硝酸,nitroso,92
10828,コカピー,coca,38
7085,ベンダー,bender.,63
14429,価格,preço,18
14433,手数料,comissão,18
12155,ターナー,torneiro,27
4911,マルコニー,marconi.,78
12544,手紙,carta,17
10281,輝く,condado,41
6714,閉鎖,desligamento,25
11523,チュニジア,tunísia,32
6536,pun,trocadilho,63
12177,押す,empurre,17
3130,quagmire.,atoleiro,86
1558,較子,septimal,95
1562,マタの,matta.,95
8257,野生動物,animais selvagens,56
12242,概念,conceito,22
11431,ルイビル,louisville.,33
14050,状態,estados,6
1935,抗酸化剤,antioxidante,91
5879,ショーケース,mostruário,55
14232,男,homem,8
2733,配管,encanamento,83
11340,レギャン,reagan.,34
11257,破壊する,destruir,13
4446,アドオンの再,re-adicionar,80
5692,ヨーマニー,yeomanry.,73
504,アーキテクチャ,arquiteturas,15
12752,後者,último,21
9633,胸,seio,41
6441,水中,embaixo da agua,68
178,ベテスダ,bethesda.,100
7785,サラマンダー,salamandra,59
10485,寸法,dimensional,39
2658,プレビセンタ,plebiscito,89
958,狂信,celíaco.,97
12310,上昇,ascender,19
9761,カンタベリー,canterbury,45
12588,アルバート,albert.,23
7518,cross cross,crossover,58
14017,オペレーティング,operativo,6
4262,鼠径部,virilha,81
5946,uff d,duffy.,71
10016,致命的な,mortal,34
4971,bul bul,bulimia,77
2794,バーベキュー,churrasco,88
5491,善意,jud.,74
2623,entourage.,comitiva,90
2670,マンガン,manganês,90
7772,硝酸塩,nitrato,56
7012,パディング,preenchimento,41
2920,アングリアン,anglian,86
12342,ギニア,guiné,23
6787,リモートで,remotamente,38
4186,エスタディオ,estadio.,82
7375,無効な,ineficaz,59
7252,服装,roupa,54
11460,四十の,quarenta,31
3954,sat,satírico,53
12950,金曜日,sexta-feira,19
4776,痴漢,vagabunda,72
12421,オースティン,austin.,24
10586,いつでも,sempre que,39
3786,矩形,retangular,84
12618,ケーブル,cabo,21
7683,居心地の良い,patel,60
8848,サンピ,sampi.,52
3487,カメレオン,camaleão,86
4085,ささやかな,whiz.,83
3531,湿地,wetland.,80
3389,油脂,óleos.,15
3082,舌足らずの発音,lisp.,88
9031,塩化,cloreto,50
13595,assistance assistance,assistência,9
10728,pred,previsto,23
12266,それゆえに,por isso,26
7812,スミザー,smithers.,59
13283,シドニー,sydney.,15
6511,ミーアキャット,meerkat.,68
9650,些些たる,trivial,44
14436,複数,múltiplo,6
11312,隠れた,escondido,34
3309,生物学者,biólogo,74
13976,それなし,sem,5
8560,不十分,insuficiente,52
803,カーブボール,bola curva,98
9822,天王星,urano,44
2166,char,caracteres,82
4680,未解決,não divulgado,79
7705,入植者,colonos,55
2817,ユーフォリア,euforia,88
8040,イシス,isis.,58
7177,壮大,magnífico,62
9668,足首,tornozelo,44
8206,ストーンヘンジ,stonehenge,57
5464,反応器,reator.,69
1411,ギヤード,voltado,26
5607,レクエム,réquiem,74
9804,検査,inspeção,36
3012,境約え,recintos,68
12414,自由に,livremente,24
10102,ロマンチック,romântico,41
12075,現実,realidade,27
5414,浮力,flutuabilidade,75
14196,国,países,8
2499,低体温,hipotermia,90
7054,説得した,persuadido,48
3847,タッチバック,touchback,84
5513,直感的な,intuitivo,58
10147,保持,reter,25
11139,受け入れられないほど,inaceitável,35
5790,ストーナー,chapado,70
8270,廃止,obsoleto,55
5578,ボヘミア,bohemia,74
8951,ハスキー,husky.,32
5412,アンカラ,ancara,75
4129,don,donny.,82
6568,仲れる,refazer,63
13191,文,frase,12
5294,デスス,dessus.,75
14115,近い,fechar,10
5438,トーンキン,tonca,75
9622,併設,conjunção,43
4815,ワードローブ,guarda roupa,77
1357,アルカリ,alcalino,93
8899,教えた,ensinou,51
3538,剥がした,desmontado,78
11176,著者,autores,8
12028,ディスク,disco,26
1684,黒点,mancha solar,91
14310,何か,algo,7
14163,研究,pesquisar,9
6288,好奇心,curiosidade,68
816,歌姫,raio de sol,98
4677,カタック,canuck,79
5507,マンサニヨ,manzanillo,74
10463,再割り当てされた,realocado,39
8975,蝶,borboleta,49
10700,crop crop,cortada,25
267,正接,tangente,96
229,分散,dispersão,45
1435,プラセボ,placebo,95
6204,ヤーン,yan.,70
1027,静当した,plácido,97
3054,基調,keynote.,88
7892,味方の,aliado,18
2481,再灌流,repercussões,88
3804,アスピリン,aspirina,84
9130,微妙な,infinitesimal,44
5050,改訂者,revisionista,70
8538,いとこ,primo,44
3598,sup sup,sobrescrito,83
6808,アビービー,abby.,66
1154,モーフィン,morfina,62
7463,clう,clê.,62
12231,小説,romances.,13
8956,サクラメント,sacramento.,51
13017,北西,noroeste,18
4182,br br,brahms.,78
7034,溶媒,solvente,57
10554,フローレス,flores.,39
5117,森林,woodland.,63
12920,ケベック,quebec.,19
6349,タコマ,tacoma.,69
5905,カートマン,cartman.,72
1588,優勢の,predominante,75
3956,びっくりした,uptown.,83
11465,表現,representação,29
3864,おじいちゃん,vovô,83
2671,ユーラシア,eurásia,90
11819,解釈した,relegado,24
7347,ハイニー,heinie,62
8264,ブリットの,brit,50
13728,引用,citação,10
5767,ビーコン,baliza,70
462,対比した,contrastado,33
12373,アップデート,atualizar,7
11804,工場,fábrica,26
13005,薬,medicamento,16
13912,情報,informação,5
6612,トラクター,trator,62
12641,軽くする,clarear,22
14025,私の,meu,5
12109,関与する,comprometido,19
3979,トルチウッド,torchwood,83
10185,ヨシュア,joshua,42
9016,オーケストラ,orquestra,49
6708,フランケンシュタイン,frankenstein.,66
13119,何千人,milhares,14
8836,ジェームスタウン,jamestown.,52
13023,国境,fronteira,16
12940,誰にとって,o qual,19
11183,ビクトリア朝,victorian.,35
3668,懐疑論,ceticismo,54
3021,バラクーダ,barracuda.,86
12186,水星,mercúrio,26
8795,肝臓,rim,50
7997,白熱,incandescente,58
1310,奪う,privar,66
3781,deep deep,mais profundo,84
6828,ダンサー,dançarinos,53
9012,ゆがんで,rly.,51
9512,ユリシーズ,ulisses,47
8401,クルド,curdo,55
12350,頼りになる,de pé,11
10605,ally,alegadamente,39
5657,満足のいくもの,satisfatório,73
2967,マスクされた,mascarado,38
3281,安息香エート,benzoato.,87
882,テラ,tera,96
2352,アヤトラ,aiatolá,89
13779,ウィリアム,william,9
8923,ポップコーン,pipoca,51
2283,スラリー,sla.,91
13107,ドラマ,drama,17
10215,華々しい,hale,41
13810,それ,isto,5
3634,コリーン,colleen,85
8167,エントランス,participantes,50
3772,ハートランド,terra do coração,83
7555,花崗岩,granito,61
13793,に,para,5
12680,con,vigarista,17
10325,態度,atitude,38
9784,虚らかい,vaidade,44
5383,アルベド,albedo.,73
10684,クリスティ,christie.,36
3364,gl gl,gritante,76
10702,たる,barril,35
10579,コルト,potro,20
11581,ルーズベルト,roosevelt.,31
7943,舌,língua,55
4711,不眠症,insônia,79
863,飽和,saturação,61
12935,公爵,duque,18
4122,ブートリーグ,bootleg.,68
11955,ハント,caçar,23
9811,テラズ,contos,30
9765,リンチ,lynch.,41
13531,丘,colina,12
6905,方言,dialeto,48
1349,ワークステーション,posto de trabalho,87
11494,sh,shalom.,32
13245,ジェイソン,jason.,16
6829,騎手,jóquei,61
13448,彼ら自身,eles mesmos,14
5967,アルゴン,argônio,71
9034,メロン,mellon.,50
2449,ベッドフォードシャー,bedfordshire,90
7990,シャンパン,champanhe,58
5094,アデン,aden.,76
9037,厳しい,exigente,19
6643,消える,desaparecer,34
12729,ライダー,cavaleiro,15
606,メチレン,metileno.,99
10792,愛されし者,amado,38
6299,居住した,habitado,37
5452,漢の,kan.,74
3660,正規化,normalização,14
1432,ナビ,nav.,95
7867,賃金,remunerações,29
9868,治世,reinado,34
2264,穴居人,homem das cavernas,91
13366,身元,identificação,14
8631,子羊,cordeiro,50
8207,エデン,éden,57
1907,コミュニケ,comunicado,92
9970,ヒッピー,hippie,40
9074,散らばっている,espalhado,44
4028,豊富,abundância,64
4599,記憶,lembrança,79
11540,里親,fomentar,31
11036,バハマ,bahamas.,36
9363,建築家,arquiteto,42
6553,薄暗い,dak,67
8033,機能的に,funcional,20
13583,イタリア,itália,12
3717,ナパーム,napalm.,85
14011,提供する,fornecer,6
1314,栄養失調,desnutrição,95
6008,北京語,mandarim,70
1224,大尉,capitania,95
6852,不動産,desmobilização,52
13410,ハリー,atormentar,12
5499,ビューモント,beaumont.,74
14508,ドキュメント,documentos,12
12697,タスク,tarefa,14
3408,チグリス,tigris.,86
4174,恥骨,estilhaços,82
12045,機関車,locomotiva,18
12859,ジョシュ,josh.,20
5025,カタロニャー,catalão,77
8091,パソ,paso.,57
7755,ユーレカ,eureka,60
3930,息切れ,costular,84
12748,スリの,sri.,21
9094,ダイヤルに,discar,44
5772,エキス,extrair,36
11162,コカイン,cocaína,35
3498,熟練,competência,73
14026,によると,de acordo com,9
10448,ヘルシンキ,helsínquia,40
11129,もっと早く,mais rápido,35
13465,手,mão,11
12347,レール,trilho,23
12700,パンツァー,panzer.,21
83,スリー,manchar,99
9595,沙汰,salle.,46
768,カドミウム,cádmio,98
8700,メリマック,merragem,53
3612,オノマトペ,onomatopéia,85
8236,バズ,zumbido,54
12948,ジャンク,lixo,19
8926,怠惰,bicho-preguiça,51
11402,匂いのない,sem gols,33
9146,締め切り,data limite,49
13727,原因,causa,9
6823,ドナピー,donna,64
13402,v,vs.,14
3957,ピアニスト,pianista,80
6270,ギネス,guinness,69
11967,なお,ie.,28
670,ホームズ,holm.,34
12594,j j,jose,22
2722,アネモネ,anêmona,89
5354,pear pear,pearce.,75
2310,失礼な,desrespeitoso,72
3544,ホッキング,hocking.,77
3692,trans trans,transcrição,52
1232,臭化物,brometo,95
8495,ap ap,apache,51
6571,救世主,messias,67
10388,州間,interestadual,40
4161,ミャール,myall.,82
2441,抗原,antígio,90
11106,しそうにない,dificilmente,36
13898,企業,empresas,8
7639,担保,colateral,60
9588,同じく,da mesma forma,46
12305,マリア,maria.,25
9994,薄い,afinar,42
5830,ブリーチ,culatra,56
2107,クロスファイア,fogo cruzado,92
8630,かわいらしい,criss.,53
8741,リミックス,remix.,41
2766,serfdom.,servidão,89
3764,フェンネコ,fennec.,84
5429,ディオニュソス,dionísio,75
5837,カプセル,cápsula,60
11969,優秀な,excelente,23
9478,ファシズム,fascismo,47
5313,トランスバリア,transvaal.,75
1166,トランスセクシャル主義,transexualismo,88
6096,発射詞,projétil,56
828,downt,desaceleração,98
