ID,JAPAN,DEUTSCH,INTERVAL
8980,80人,achtzig,48
2275,わし座,aquila,91
12508,デニス,dennis,23
2190,コンパゲ,compagnie,88
10602,ダイアナ,diana,39
824,世捨て人,einsiedler,96
8780,ネリー,nelly.,53
11229,ダム,damm,32
12606,被告した,beschuldigt,15
12623,サンタ,santa,22
6060,crack crack,rissfolge,70
13369,ソフトウェア,software,14
9841,南西部,südwesten.,45
8873,デモ,demo,44
2680,ウガンダン,ugandanisch,88
3418,林業,forstwirtschaft,86
13067,兄弟,bruder,12
9949,囲まれた,umgeben,24
10622,バートン,burton,39
9060,スクラッチ,kratzen,38
9640,テムズ,thames.,46
4629,エストラダ,estrada.,79
13598,特徴,vorgestellt,9
1816,ヨーグルト,joghurt,93
9658,ランカスター,lancaster,46
13051,メルボルン,melbourne,18
12818,北東,nordost-,20
6001,ダンケルク,dunkirk,71
1633,rem rem,erremlig,75
12375,主に,in erster linie,25
11993,無効,ungültig,27
102,刷り立て,printmaking,100
4016,マグマ,magma,83
2859,換気,belüftung,84
8048,デコの,deko,58
12051,床,boden,24
3088,ブレンダー,mixer,87
10132,インスタント,sofortig,42
10181,飢え,hunger,42
10568,再生する,wiederholung,33
475,om,auslässt.,45
11520,ダーウィン,darwin.,31
13029,個性的,einzigartig,18
8837,激しい,erbittert,49
6961,hb,hepburn.,65
8987,打ち間違え,tippfehler,31
4345,ガンマン,gunman,81
7470,廃棄,entsorgung,45
778,subs subs,nachgelassen,77
12974,球,bälle,9
1428,illustr illustr,illustralien,95
12321,ユーゴスラビア,jugoslawien,25
3347,ジリアン,gillian,87
2564,サルマ,salma,90
4382,キン,verwandtschaft,80
7656,チコ,chico,61
4496,ホイエリー,holey.,80
6013,コラムニスト,kolumnist,66
12283,ペルー,peru,25
12630,施設,einrichtung,18
13087,金属,metall,17
41,verb verb,biss,100
13698,ヒント,hinweise,12
5662,感覚,sensation,58
12786,バンクーバー,vancouver,21
5547,ああ,aph.,74
7351,シャイニング,leuchtenden,49
12137,統一された,einheitlich,27
4299,フェアバンクズ,fairbanks,81
7485,もっと深く,tiefer,62
7734,レザー,leder,60
2165,電気泳動,elektrophorese.,91
2869,静水器,aquifer,87
9401,tw tw,twain,48
7039,相手方,gegenstücke,49
9704,議長,kapitol,45
1118,海洋学,ozeanographie,96
5319,蜂蜜,bienen,34
10289,アミール,amir.,41
11394,室内,kammer,26
504,アーキテクチャ,architekturen,15
14423,提示,vorgeführt,10
8883,政府の,staatlich,52
2070,バランガイ,barangay.,92
7187,噂された,geschwommen,31
1299,注釈,kommentiert,82
13271,リレー,relais,15
2268,アガ,aga,91
5244,ラタラー,rattler,74
10356,生存者,überlebende,32
5510,昏睡,koma,65
10067,ジャーナリスト,journalisten,28
4982,割礼,beschneidung,75
5285,神道,schintoismus,75
10260,ウェズリー,wesley.,41
13035,人員,personal,18
1917,クォーク,quark,90
8936,インスペクタ,inspektor,45
6200,迷路,matze,68
768,カドミウム,cadmium,98
4127,オクタン,oktan,81
5717,専門用語,jargon,73
7991,トランジスタ,transistor,56
14084,動く,bewegen,8
7012,パディング,polsterung,41
9795,軍曹,sergeant,44
11392,教授,professor,31
5538,cel cel,himmlisch,74
13871,使用,verwenden,5
9910,バジャ,baja,44
1236,スペック,spezifikationen,62
3280,グリコール,glykol,84
12150,忠実な,treulos,27
6365,マートル,myrte,69
348,dev,abgewandt,95
10534,インコヒーレント,inkohärent,39
7651,r.,roc.,60
12397,偵察,aufklärung,24
1859,コンクラーベ,konklave,90
6481,バフィー,buffy,68
10940,紋章,kamm,35
13765,ジョージア,georgia,11
11627,待っている,warten,14
12059,マーク,markierungen,7
10617,ボリビア,bolivien,39
1651,王状,lordy,94
13462,リンカーン,lincoln.,13
9746,やけくその,verzweifelt,37
7559,wor,wormer.,62
5327,苦痛,not,63
7305,ヌード,nacktheit,62
12187,サミット,gipfel,26
10472,ジュダリズム,judentum,40
13255,デスク,schreibtisch,16
10199,話した,gesprochen,41
11468,ロッド,stange,31
14426,要件,anforderungen,6
8816,ガリレオ,galileo,52
4556,プリマ,prima,79
11146,先住民の,indigene,35
14154,顧客,kunden,25
243,gr gr,grosse.,33
6547,パスタ,pasta,68
7831,カモノハシ,schnabeltier,60
7675,眉齢,missbilligt,55
3449,ドミニック,dominick,86
895,グラフト,transplantat,89
11080,ファントム,phantom,32
1232,臭化物,bromid,95
5841,葉巻,zigarre,70
2793,ソレイユー,soleil,89
1928,ヒト,shre,93
8728,フォルクスワーゲン,volkswagen,53
12089,妥協,kompromiss,19
10759,大聖堂,kathedrale,38
962,水仙,narzisse,97
132,ガーナの,ghanaisch,99
7511,検察官,staatsanwalt,49
7295,スポケーン,spokane,62
498,機敏,beweglichkeit,82
11803,元,ex,30
8223,サフィックス,suffix,52
13140,スウェーデン,schweden,17
2892,ホイップした,gepeitscht,54
5877,信用,diskreditieren,54
10545,ディアー,dia,37
10300,fed,gefüttert,41
10462,モンテの,monte,36
30,グリーフ,greetten,100
11120,care care,anerkeuner,36
13527,テクノロジー,technologie,12
11124,印象,eindruck,21
8100,カート,kart,56
3960,義気,gerecht,83
14258,信じる,glauben,5
11500,ノーマン,normannisch,32
3492,オオムギ,gerade noch,85
11413,圧延,rollend,17
344,ヒドロキシル,hydroxyl,84
10290,シビック,bürgerlich,40
4934,エルゴー,ergo.,77
9781,三角,dreieckig,45
6710,妊娠中,schwanger,66
12527,クレジット,kredit,17
1852,アトラーゼ,atlanten,93
3507,平壌,pjöngjang,86
5047,朱に,reddy.,77
10259,テクトニクス,tektonik,39
7693,池,teich,59
1794,覇権,hegemonie,93
2029,救いard.,sichern,86
6543,ヴィル,ville,65
9803,important,vor allem,45
4355,論理的に,logisch,25
5896,ウォーターフロント,waterfront,72
13802,と,mit,5
2416,先天的,angeboren,90
6299,居住した,bewohnt,37
8451,抗議者,protestoren,53
11285,政権,regime,32
5619,分光法,spektroskopie,74
1242,染色,fleck,62
4975,診断,diagnose,77
3740,埋め立て,deponie,84
12447,ネルソン,nelson,24
7415,スクリメージ,scrimmage,61
9627,呪い,fluch,40
14384,鉛,führen,7
2777,ブーマー,boomer,87
6516,水力発電,wasserkraft,68
3041,四分円,quadrant,77
4465,ボーズ,boose.,80
4697,シュルツ,gelächte,78
2238,カルファックス,sarfach,91
12119,循環,verkehr,23
9668,足首,knöchel,44
14139,比較されます,verglichen,11
3504,パゴダ,pagode,85
12631,グレー,grau,22
9120,ピン,stift,39
697,ジュンクリー,junkie,87
2613,野望,ehrgeiz,73
5072,チャイナタウン,chinatown,76
13571,様々,verschiedene,12
4668,貴族,adel,79
3939,生物圏,biosphäre,83
9925,レスター,leicester,44
14462,生産する,produzieren,7
5234,ウォッカ,wodka,75
428,チュニジア人,tunesische,97
14017,オペレーティング,betriebs,6
13585,生まれ,geboren,12
2228,ティール,kneifen,91
8343,クーガー,puma,33
1377,パークランド,parkland,89
250,プログラマー,programmierer,29
10465,より強く,stärker,40
3135,外科,chirurgisch,85
11259,領土,territorien,11
11663,ガーナ,ghana,31
9242,休戦,waffenstillstand,49
3272,義務的な,obligatorisch,87
3590,推進,antrieb,85
11545,フラット,wohnung,30
257,凝集して,kohäsiv,56
5448,偽の,stechend,74
6429,住宅,untergebracht,10
13063,ポーランド,polen,18
14409,メンバー,mitglied,9
13447,ポンプ,pumpe,13
6153,資格情報,referenzen,67
11481,サセックス,sussex.,32
248,カルバリー,kalvarienberg,100
7733,ぞっとする,spree,59
10529,パブ,pub,38
881,スターダスト,sternenstaub,97
1590,cond cond,kondensieren,50
11496,ナッシュビル,nashville,32
6754,最短,kürzeste,66
13969,コントロール,kontrolle,11
5238,キャッチポール,fangspole,76
12219,オーディオ,audio-,26
6494,凛,rin,68
9266,マルチネス,martinez.,49
208,shr,shrove,100
9602,六十の,sechzig,42
10305,ex ex,exodus,41
2967,マスクされた,maskiert,38
14304,秋,fallen,12
3823,ish out,outlandisch,84
8276,パイク,pike,50
11556,塩,salz,30
9966,履歴書,fortsetzen,29
2888,サビネ,sabine,86
12115,文化,kulturell,12
10612,手順,verfahren,29
4617,ドラコ,draco.,79
9091,reined,wiederholt,41
2111,リンパ腫,lymphom,91
1204,サトウキビ,zuckerrohr,96
13185,パトリック,patrick,16
3548,アメーバ,amöbe,86
9992,奨学金,stipendium,42
8864,郊外,vorort,36
6032,教えて,bezeichnet,43
9965,幸運なことに,glücklicherweise,30
6874,シリンダー,zylinder,40
2998,スーパーヒーロー,superhelden,59
797,フィルハーモニー,philharmonie,98
1475,マケドン,mazedon,95
9310,本社,hauptsitz,16
11393,アーク,bogen,32
11804,工場,fabrik,26
7075,正当性,legitimität,64
13375,エンザイム,enzym,14
12809,ぴちぴち,rick.,20
12674,ホテル,hotel,21
3388,カリフォー,khalifa,86
11797,地下,unter tage,30
13119,何千人,tausende,14
8420,マグナム,magnum,55
2925,ゴールドウォーター,goldwasser,88
6330,雑然とした,unordnung,51
1287,未定,unentschieden,93
5118,コナー,bekämpfe,75
3295,罰,bestrafen,21
11214,古熱学,paläontologie,35
8704,エレノール,eleanor,53
13295,カトリック,katholisch,15
2544,不均等,uneben,90
9855,オキシドレダクターゼ,oxidoreduktase,44
11331,記章,insignien,34
8657,アルバ,alba,53
12715,フィート,fuß,21
10270,トン,tonne,30
8097,ヴィリジアン,virsianisch,58
425,スーパーマリン,supermarine,100
12055,ジェファーソン,jefferson.,27
4213,テスラ,tesla,81
6692,wor wor,würmer,46
6465,カラカス,caracas,68
3772,ハートランド,heartland,83
4062,エリカリー,erica.,82
3470,ボンネット,motorhaube,76
5544,凍え,eisig,74
14023,違う,anders,8
541,シンハレ,sinhalesisch,99
7308,豚肉,schweinefleisch,62
10730,gu gu,guam,38
12465,若者,jugend,22
10114,land land,landwehr,43
8888,糖尿病,diabetes,49
11601,ボート,boot,26
10107,部族,stämme,30
3339,ホステル,herberge,82
14296,終了しました,beendet,7
850,カレドニア人,kaledonisch,98
10840,ステロイド,steroide,36
12734,連邦,commonwealth,21
6561,ナイロビ,nairobi.,68
2064,コプティック,koptisch,92
12915,タッチダウン,touchdowns.,9
9912,居住の,wohn,44
11276,ヘビ,schlange,31
8167,エントランス,teilnehmer,51
13362,定めた,definiert,13
8731,fel fel,felis,53
6836,紙幣,banknoten,35
13084,シンガポール,singapur,18
12497,ランナー,läufer,18
12921,壊れた,gebrochen,19
14221,ヨーロッパ,europa,5
6531,祈る,beten,55
5710,誘拐された,entführt,49
10123,ホーン,horn,34
3642,バンディック,bandicoot,85
13450,それにもかかわらず,nichtsdestotrotz,14
12303,宇宙,universum,7
10631,下り坂,bergab,38
7869,デキシー,dixie,59
10928,交渉,verhandlungen,25
2449,ベッドフォードシャー,bedfordshire.,90
3386,不信,ungläubig,86
13469,許可する,ermöglichen,9
1717,ピリドン,pyridon,94
12482,民主主義,demokratie,23
11582,タイラー,tyler,32
8618,オーガスタ,augusta,54
13302,av av,avg,15
14418,示した,gezeigt,7
6549,オカの,oka,68
8181,ロダム,rodham,57
5815,デング,dengue.,72
13256,ビクトリア,victoria.,15
10389,フラッグスタッフ,flagstaff.,40
12415,夜明け,dämmerung,24
4967,テラピン,terrapins,74
11944,アリソン,alison,28
5894,オデッサ,odessa,72
14232,男,mann,8
10813,ウィーン,wien,38
8591,山の,shan.,54
5197,離散,diskret,57
3689,気にしない,egal,85
10062,失格,disqualifiziert,41
13641,8,acht,12
12753,ウィンドウズ,windows,11
7680,オナニー,masturbation,56
10866,却下,ablehnen,13
7926,精子,sperma,59
11257,破壊する,zerstören,13
8872,スーパースターの,superstar,52
3063,サファイア,saphir,88
9031,塩化,chlorid,51
603,原生動物,protozoen,99
13353,contrib,beiläufig,15
6163,リハビリテーション,rehabilitation,62
6883,オデュッセウシー,odysseus,65
12628,エリザベス,elisabeth,22
10495,雰囲気,atmosphäre,31
6366,巣,nestor.,69
5345,雪の,schneebedeckt,75
11036,バハマ,bahamas,37
13165,タワー,turm,15
5946,uff d,duffy.,71
7914,さようなら,auf wiedersehen,58
11885,ケニー,kenny.,29
10961,りゅう,drachen,17
9959,ガーフィールド,garfield,44
8966,献身的に,hingebungsvoll,41
6963,媚びる,aphrodite,65
5744,未経験,unerfahren,73
1498,クラッド,krill,95
807,ランセロット,lancelot,98
914,マートン,merton,97
14240,グループ,gruppen,7
6757,中傷,verleumdung,53
9472,マゼラン,magellan,48
9478,ファシズム,faschismus,48
12416,チリ,chile,24
5707,サイコ,psycho,72
9221,カルメン,carmen,49
12967,wine.,wayne,19
3131,欠伸,gähnen,84
2754,醸造所,brauerei,82
1827,弾丸,kugelsichere,93
1842,夜間,nächtlich,93
607,スクリーンライター,drehbuchautor,99
1659,喫煙者,raucher,80
1338,イングラル,ingles,93
13289,インシデント,vorfall,13
2776,ガリバー,gulliver,89
11038,沼沢,sumpf,35
12975,退院しました,im ruhestand,14
5491,善意,jud,74
9162,鋭い,erpicht,50
3685,捕虜,gefangene,52
1904,映画制作,filmemachen,72
10281,輝く,grafschaft,41
6811,ショパン,chopin.,65
5884,楔,keil,68
7753,ワイト,witzig,60
8280,閉塞,blockade,53
6213,合金,legierung,63
11459,アモス,amos,33
13471,その上,auf,13
221,ガロウロ,gallien,98
13813,持っている,haben,5
9707,調和,harmonie,44
7652,fl fl,flämisch,61
6083,お食事,mahlzeit,59
7259,補体,ergänzen,57
10908,茂み,hain,36
11435,義務,aufgaben,18
2129,ブルーライナ,blaue linie,92
14433,手数料,kommission,19
12966,不明瞭な,unerklärt,19
3053,メーバー,merv,88
440,丘陵地,hiller,100
3603,ソプラノ,sopranos,64
290,概略,schematisch.,95
12946,選択する,auswählen,11
11089,おじさん,onkel,36
12214,修正,korrekturen,8
11762,フード,kapuze,28
2033,慣れた,gewohnt,90
14071,右,rechts,7
12182,al al,vorwürfe,16
11047,リビア,libyen,37
5536,割れた,geknackt,33
8617,ムチーリ,mufti,54
1399,効力,potenz,95
6530,促す,prompt,36
5219,甘味,tucky.,76
1735,整然,beheben,66
6006,ネアンデルタール,neandertaler,71
11841,コンサート,konzert,26
14223,作成する,erstellen,5
2731,サンダーボール,donnernd,89
1571,文書化されていない,undokumentiert,94
11836,灰,asche,24
6708,フランケンシュタイン,frankenstein,66
8244,重荷,last,54
11274,漁師,fischer,34
4331,センチメートル,zentimeter,68
7703,リサイクル,recycling,53
6878,バイオテクノロジー,biotechnologie,65
2245,ポーン,verpfänden,76
1938,暗殺者,kenntnis,91
4403,摂政,regent,34
9154,バトン,taktstock,47
11517,萌え,moe.,32
4417,再縮小します,umverteilung.,80
3288,引き上げ,bergung,64
9051,安楽死,euthanasie,51
4368,正直,ehrlichkeit,81
9234,小麦,weizen,49
8589,der,dosierung,54
2408,汽船,dampfer,87
4116,du du,dui,82
12754,パーセンテージ,prozentsatz,20
39,デバッグ,debuggen,90
4003,woodruff.,waldbrecher,83
10491,表彰台,podium,39
1210,ペンタグラム,pentagramm,96
13481,いいね,kühl,13
6892,フィジーチャン,fidschianer,65
9018,委託,in auftrag,19
10304,バッジ,abzeichen,38
3468,シュロップシャー,shropshire.,86
13573,頻繁,häufig,12
4738,ハチェット,beil,78
13108,盟主,führer,12
1542,守ります,gelehrter,95
3999,アーカジアン,arkadisch,73
3862,陽気な,lustig,83
8149,ark,eingebunden,47
6279,ベロルシュ,belorussisch,69
10388,州間,amtieren,40
11611,逆に,gegenteil,31
9799,プラハ,prag,45
8235,セイバー,säbel,29
1018,テッセサクト,tesserakt,97
4326,そこで,daraufhin,81
13767,死亡しました,ist gestorben,10
3730,特性,züge,71
7157,カーテン,vorhang,60
11940,ディスコグラフィ,diskographie,28
1362,ジュール,jure,94
10273,後継,nachfolger,40
12770,喜び,freudig,21
716,インバウンド,eingehende,84
2978,シエナ,siena,88
7286,信念,überzeugung,31
10234,明示的に,ausdrücklich,42
872,ピラート,pilat,97
12784,要素,elemente,16
1308,スワミ,swami.,93
11811,手榴弾,grenadier,28
9744,モンシューユー,monsieur,45
901,マリガン,mulligan,97
3644,非営利,gemeinnützig,85
2586,ゼロックス,xerox,90
12462,コーナー,ecke,22
7474,ネットボール,netzball,62
11421,状況,umstände,31
11995,後方,rückseite,28
4279,スポットライト,scheinwerfer,79
4615,不可欠な,unwichtig,79
5227,フェティシズム,fetischismus,64
843,ディデー,dey.,98
9000,停電,blackout,49
1701,ブランカ,blanca,94
3082,舌足らずの発音,lispeln,88
281,キャニスター,kanister.,84
14278,請求書,rechnung,10
3930,息切れ,costligste,84
8,オタク,geeks,28
2329,学費,unterricht,91
11535,th,thailändisch,32
1131,オカルト,okkulte,71
13245,ジェイソン,jason,16
11543,虹,regenbogen,31
4724,舐める,lecken,66
12407,続けて,pause,24
12102,プロトコル,protokoll,26
11311,und,rückgängig machen,22
12487,正義,die gerechtigkeit,23
9718,tong tong,tonga,46
7704,ラクーン,waschbär,60
8221,hav hav,verwüstung,56
6400,ヴェンデエ,vendetta,68
2665,渦巻く,whirlpool,89
3198,動詞,verben,50
2403,スピナ,spina,90
3530,ふくらはぎ,kalb,86
2627,樹脂,harz,79
10375,エアフィールド,flugplatz,33
10241,宮殿,barbier,41
3832,エクウ,ecu,84
10630,ペイトン,peyton,39
9708,降下,abstieg,46
10261,パルチザン,partisan,37
10509,歌う,singen,28
5316,リッキー,rickey.,75
352,ラグタイム,ragtime,100
11093,大砲,kanone,33
5256,皇后,kaiserin,75
12856,エージェンシー,agentur,16
2322,ピックス,pix,91
11950,記念日,jubiläum,27
6229,ヒロイック,heroisch,59
3035,ヤコビー,jacoby,88
6016,スティック,stöcke,22
1080,config config,konfigurationen,47
14134,変更,änderungen,5
10914,銀河,galaxis,35
14510,効果的,wirksam,10
10450,失礼,unhöflich,38
3238,ネマトード,nematode.,87
11682,モミ,tanne,31
3514,アントーエット,antoinette,86
1871,流暢,fließend,93
11534,ヘレン,helen,32
2628,裂け目,gespalten,88
7771,灯台,leuchtturm,58
756,パンデミック,pandemie,97
14177,設計,entworfen,9
137,多孔質,porös,100
11792,身に着けて,getragen,30
11248,無限大,unendlichkeit,34
5938,ヴェロニュ,veronicas,58
806,アルゴンキン,algonquin,96
10935,オーク,eiche,32
11784,行動,verhalten,29
490,civ,zivil,99
1457,茶院,tabor,94
11303,競争相手,wettbewerber,29
12359,チャド,tschad,25
13604,スポーツ,sport,10
13872,なぜなら,weil,7
6573,ドレスデン,dresden,67
8513,バルブ,birne,53
1124,肥料,düngen,96
4013,迷彩,tarnung,77
4811,詐称,falsche darstellung,75
11518,ニュースレター,newsletter,32
4112,わずかな,geringfügig,82
11872,ボランティア,freiwillige,16
10978,甘い,süss,36
7510,鳩,taube,59
9891,休日,feiertage,26
3046,フィラピー,fila.,88
14192,同意した,vereinbart,11
80,ウエストランド,westland,100
2702,二顎骨,binomial-,89
9140,クライスラー,chrysler,50
7168,消す,sich herausstellen,62
6746,家具,möbel,66
13232,ドドピー,dodo.,16
1023,ショードリー,sade,97
6654,アフロ,afro,66
7338,tう,tay,62
5595,庇護,asyl,71
6582,ホッパー,trichter,64
11880,バーガー,berger,29
7688,居動,zo.,61
3185,腰抜け,feigling,78
9059,選ぶ,wählen,7
12019,オックスフォード,oxford,28
6994,シビー,chevy,64
11977,不完全な,unvollständig,27
13876,政府,regierung,8
209,リソフェロ,lithosphäre,100
11015,バリア,barriere,34
13166,訓練,zug,9
6920,grう,grauer,65
472,ガーグ,gags,69
3749,浦項,ural,85
2546,ヌクレオロス,nukleolus,90
13384,切る,schneiden,13
1745,嘘の,liang.,93
8723,スラレ,slayer,53
18,ファセット,facette,53
7962,学術的,schilblähig,59
5759,忙しい,eile,66
2123,抗タンク,panzerabwehr,92
10041,天文学,astronomie,43
144,アビの,aik,100
10592,ハム,schinken,38
5663,末尾,terminus.,73
619,トラッカー,tracker,90
11006,アイドル,idol,35
11203,誇り,stolz,35
11616,人種差別,rassismus,31
12351,クモ,spinne,24
1616,砂時計,sanduhr,94
5014,マッサージ,massage,76
4712,バンダル,bandar.,79
9630,モルス,morse,47
4924,nat然,natal,77
4492,不定の,unerträglich,68
2738,男子生徒,schüler,86
826,家主,vermieter,91
6428,治療,verarbeitung,20
7258,すね,schienbein,62
8204,セシル,zecil.,57
2162,誤解された,fehlinterpretiert,72
14357,簡単,einfach,11
1643,sh sh,sholom.,94
9553,ブリュッセル,brüssel,46
14336,基準,standards,11
4292,刺す,stechen,60
1194,ファンファー,fanfare,96
1356,グレンウッド,glenholz,95
14069,法,gesetz,8
3959,くるみ,kastanie,81
2060,アスペン,espe,92
12907,アーサー,arthur,19
2599,ボディーガード,leibwächter,80
6335,文書化,dokumentation,12
2850,渋滞,überlastung,82
8567,ゲットー,ghetto,51
7749,ナオミ,naomi,60
3792,腐敗した,turnieren.,84
13465,手,hand,11
9860,ルイーズ,louise,44
10549,食べる,essen,15
10506,今晩,heute abend,40
3760,試験,prüfungen,64
3687,ウクレレ,ukulele,85
6541,ナザレス,nazareth,68
1264,夢のように,verträumt,95
94,デオメジス,diomedes.,100
10724,マクリー,mc.,38
8703,発見する,entdecken,8
3107,石英,quarz,88
6990,モルタル,mörser,38
3218,超音源,überschall-,56
7388,出身地,heimatort,62
7228,ペルーの,peruanisch,62
8527,生き物,kreaturen,45
11486,シェフィールド,sheffield.,32
13852,いくつかの,manche,6
437,アミガ,amiga,98
12555,宗教的,religiös,23
3118,リグリップ,rigs,53
7748,tum tum,tum,60
3746,ドラゴの,drago.,85
4962,補助,hilfs-,76
14061,置く,setzen,8
8064,学部,fakultät,56
13270,社交,sozial,14
10372,ハードウェア,hardware-,40
7220,欣然たる,jill,63
389,ガリウム,gallium,100
8691,昼間,tageszeit,53
9253,滑走路,runway,46
13160,グローバル,global,15
3359,ゴロ,border,86
1778,盛ん,sheng.,93
8142,さまざまな,abwechslungsreich,21
1615,mor mor,moray,94
4441,リーフレット,flugblätter,70
13425,簡単に,leicht,14
13030,結合しました,trat bei,10
13110,エリック,eric.,17
13696,個人,individuell,11
11354,スーダン,sudan,34
10416,プリンストン,princeton,40
8182,平和維持,friedenssicherung,47
7745,ダンジョン,verlies,42
13275,関連する,damit verbundenen,10
3609,スムナー,sumner,85
9032,独占,monopol,49
7985,課す,auferlegen,33
12656,ハンガリー,ungarn,22
5528,豆,bohnen,34
6007,long long,longshore,71
8977,狙撃兵,scharfschütze,48
2657,faled,schwankend,76
10054,スパゲッティ,spaghetti,43
11272,ハーバート,herbert,34
9164,かかと,fersen,43
1612,コットしました,kinderbett,88
6235,ガルハ,gurkha.,70
5355,ph,phane,75
2384,リスツ,liszt.,91
1311,ダックスフンド,dackel,95
13974,ユナイテッド,vereinigt,6
5854,イカルース,ikarus,72
658,現存の,intant,98
7963,トリム,trimmen,41
5603,クルーザー,kreuzer,69
1209,最も暗い,am dunkelsten,96
14330,黒,schwarz,10
10048,パン,brot,43
6364,溶ける,sich auflösen,39
11227,例えば,z.b,35
11921,ネバダ,nevada,29
11920,マンハッタン,manhattan,28
10659,末期,premiership.,38
10815,部分的,teilweise,28
13977,欲しい,wollen,5
5630,著しく,bemerkenswert,24
10179,マリク,malik.,42
11662,ジンバブエ,zimbabwe,31
12740,フェニックス,phönix,21
13907,それらの,diese,6
2533,ヒロイズム,heldentum,90
8686,刈取,sensenmann,52
12709,ar,aren,21
13208,光線,strahl,15
11108,スカウト,erkunden,23
3544,ホッキング,hocking,77
2365,星郎,horologium,91
11045,arg arg,argumentiert,19
10997,w,werben,37
11868,戸棚,kabinett,29
8188,おとなしい,sanftmütig,57
4336,アレゴリー,allegorie,80
12503,勇者,held,19
9817,魔法使い,magier,31
10463,再割り当てされた,neu beschleunigt,40
5143,ホモフィア,homophobie,76
5198,コエンザイム,coenzym,75
11035,50年代,fünfzig,34
12374,電気の,elektrisch,17
11563,メトロポリタン,metropolitan-,32
11033,駐屯地,garnison,33
9999,モンスーン,monsun,43
1699,ボーガルト,bogart,94
9938,cant,kippen,44
5469,サイズ変更,gegründet,66
2704,警戒している,alarmierung,27
5826,ドミニケ,dominique,72
6487,gar gar,karneriert,46
4882,ロビンズ,robbins,75
6663,人間工学,ergonomie,66
12126,十億,milliarde,26
249,ニューシーズ,newsweek.,100
6305,噴射,sprühen,58
11839,宣伝,propaganda,29
14343,現在,momentan,7
312,ジンピー,gympothek.,100
11745,コットン,baumwolle,30
648,ヤリ,yali.,99
14491,購入,kaufen,25
6023,タオル,handtuch,66
8403,シーク,sikh,47
11719,テーマ,thema,26
1876,キログラム,kilogramm,72
10773,ドノーバン,donovan,38
1532,鬼才,kiowa,95
9521,下位,untergeordnet,40
13386,ブライアン,brian,14
1906,いたずら,streiche,60
6444,カレーター,hausmeister,67
4949,アナキズム,anarchismus,74
2677,農地,agrar,87
12347,レール,schiene,23
11798,成長している,wachsend,22
7314,マルキン,malkin.,62
1640,懲らしめ,abdruck,64
1649,チェダー,cheddar,94
14466,欲しかった,gesucht,5
13716,以下,weniger,12
11150,隠れる,verstecken,26
14131,時代,mal,5
2830,誘惑,versuchungen,63
4801,パンドラ,pandora,77
1452,car car,fahrbahn,95
14137,さらに遠く,weiter,6
11584,チャーチル,churchill,32
12350,頼りになる,stehen,11
11633,ec,eg,31
8812,ザース,zac,52
9747,クォーターバック,quarterbacks,14
10207,ジャケット,jacken,34
7155,ロジスティック,logistisch,36
3546,ブランタート,blatter,86
7003,ギガビット,gigabit,64
13544,李,lee,13
5376,買い物をする,ladendiebstahl,71
11066,無作為に,nach dem zufallsprinzip,36
