ID,JAPAN,FRENCH,INTERVAL
11823,戻って,Reviens,19
8695,フレッチャー,fléchère,42
5699,ミスラーニー,recueil,63
10614,マックスウェル,maxwell,28
5854,獄舎,graal,62
2470,大文字,capitalisé,87
11001,口,bouche,25
3515,アントーエット,Antoinette,79
9921,揚水,chenu,33
8705,エレノール,Eleanor,41
4409,バーテックス,sommet,73
11978,不完全な,incomplet,18
11867,職業,Occupation,18
5621,コンドル,condor,64
8645,地理的,géographique,42
126,カリ,kali,100
3010,凹ました,mécontent,83
3203,細菌,bactérien,82
4966,中央値,médian,69
5418,竹,bambou,65
6094,貧しい,éphémère,61
9320,退屈な,endosser,37
3727,シャンペーン,charcuter,78
13529,アダム,Adam,6
2683,フランコフォン,francophone,86
12240,純正,véritable,16
2035,陰極,cathode,90
7508,臆病な,lâche,50
9969,チリ,le Chili,32
4337,アレゴリー,allégorie,74
10896,民兵,milice,26
9841,複数,pluriel,33
7322,排出された,éjecté,51
2549,コジーナ,codéine,87
9087,デフォンメン,défenseurs,39
12886,健康,santé,11
8788,不二,impoli,41
4901,ペニシリン,pénicilline,69
3836,熟女,gemme,77
10956,無効になって,désactivé,25
1422,浮気,hirsute,94
9949,末長,léger,32
6596,きちんとした,soigné,57
2025,悪意,malice,90
13164,核の,nucléaire,9
9312,ボニー,Bonnie,37
12225,武骨,martial,16
13723,特権,privilèges,5
6419,炭素質,carboneux,58
1924,潜伏的,Latimer,91
3801,バンセン,bunsen,77
3857,付属品,accessoires,77
6408,ルーバー,persienne,58
7620,魔法の,magique,49
10835,観光,tourisme,26
6996,廊下,couloir,54
4042,ガウス,gauss,75
6084,お食事,repas,61
1745,カラム,kalam,92
3271,委託された,confié,81
8403,体液,fluide,44
5660,リノリー,rhinocéros,64
11765,近所の,proche,19
8061,ペーサー,pacteur,46
9336,途中,à mi chemin,37
8900,教えた,enseigné,40
12308,単に,seulement,15
1992,中東,milieu,91
2401,幹事,exécuteur,88
5242,亡命者,dissipation,67
3109,インパラ,impalla,82
4995,パワーハウス,centrale,69
12019,半島,péninsule,17
44,ダイヤリング,composition,100
30,憂鬱,mélancolie,100
1406,ミネルヴァ,minerva,94
3604,ソプラノ,sopranos,79
4044,シンプルさ,simplicité,75
3137,ローパー,roper,82
4775,柑橘類,agrumes,70
3589,勾配,pente,79
2014,タック,clouer,90
10396,潜水艦,sous marin,29
1014,ひどい,autoritaire,97
7610,アカプルコ,acapulco,49
1385,不燃性,inflammable,95
10801,固い,solidifier,26
9837,致命的な,mortel,33
4256,リアバード,forgeron,74
4142,超音波,ultrason,75
1534,居眠り,pontius,94
11032,シュートアウト,fusillade,25
10158,エルヴィス,elvis,31
7301,定説,thèse,52
6143,居,cate,60
13459,多分,peut être,7
11630,サスカチュワン,Saskatchewan,20
13065,地獄,enfer,10
4830,エンコイ,envoyé,70
1687,待機する,Etre prêt,93
13068,兄弟,frère,10
11252,矮星,nain,23
8583,宿,auberge,42
7443,競馬場,hippodrome,51
7829,三脚,trépied,48
7826,怒りに,colère,48
4308,孤独な,solitaire,74
9463,グリニッジ,greenwich,36
9097,引っ張る,traîne,39
11953,鮫,requin,18
10562,ピアノ,piano,28
8562,忠実,fidèle,42
7395,ロブスター,Homard,51
5371,揮発性,volatil,66
4658,穴あけさえ,défendre,71
11221,適切,adéquat,23
8398,中空,creux,44
9056,雷雨,orage,39
8166,穀物,céréale,45
12889,祭り,Festival,11
11036,50年代,cinquante,25
4346,ガンマン,tireur,74
12404,防衛,la défense,15
1468,成層圏,stratosphère,94
6845,持っています,hasan,55
1654,やっぱり,sans pitié,93
3839,ショッカー,choquant,77
11808,スチュアート,Stuart,19
12841,オーバーン,auburn,11
8469,未回答,sans réponse,43
1008,ハムライン,hamline,97
4728,蓋,couvercle,70
7313,ナピアー,napier,52
3047,フィラピー,fila,83
9824,石油,pétrole,33
2974,ゴールネエ,oeil doré,83
8715,驚くべきこと,étonnamment,41
11380,ショー,shaw,22
3296,罰,punir,81
10400,ムース,élan,29
13318,インディアナ,Indiana,8
9746,スリーブ,manche,34
12922,壊れた,cassé,11
10803,ピザ,Pizza,26
8418,無視,mépris,43
5054,バスク,basque,68
1735,へま,goof,92
10067,針,accrocher,32
13259,賞,prix,8
8265,ブリットの,Brit,45
8174,控えめ,modeste,45
934,ソトム,Sodome,97
13187,外国,étranger,9
115,カシミリ,kashmiri,100
8802,ニッケル,nickel,41
13209,光線,rayon,9
147,オワイジ,oui ja,100
7585,エアバス,Airbus,50
1089,フェミニン,féminin,96
2903,グレープフルーツ,pamplemousse,84
3322,アンチシクロン,anticyclone,81
11759,温暖化,échauffement,19
8539,いとこ,cousine,43
7566,ベナン,bénin,50
7197,大司教,archevêque,52
506,スプリングする,sprang,99
12353,ブリスベン,brisbane,15
2007,大工,charpentiers,90
13276,関連する,associée,8
5829,魅力的,convaincant,62
4227,豚,porc,74
4253,ヒーチ,sangsue,74
4787,トリプトファン,tryptophane,70
13314,ギャルリー,fille,8
2046,ロータリー,rond point,90
10123,発生する,se produit,31
1601,ダイナモ,dynamos,93
13563,月,mois,6
10281,フィリピン人,philippin,30
4450,リターズ,litres,72
12839,アプローチ,approcher,11
5939,ヴェロニュ,veronique,62
3572,ヴィヴィアン,vivien,79
6931,畝ね,bouillie,55
1894,説教,sermon,91
6617,シュルーズベリー,Shrewsbury,57
516,舗装,chaussée,99
6948,忠誠,allégeance,54
7457,多様性,la diversité,50
309,教会園,cimetière,100
6439,チェッカー,vérificateur,58
11948,オペラ,opéra,18
12469,モリス,morré,14
10893,スマッシュ,briser,26
12779,違反して,violation,12
1095,ブタノール,butanol,96
12581,演説,discours,13
3777,出来事,excitant,77
8565,避けられない,inévitable,42
2065,コプティック,copte,90
4532,フルハム,fulham,72
1845,トロッター,trotteur,92
5628,メトキシ,méthoxy,64
3112,ラチェット,rochet,82
10436,ヴィンチ,Vinci,29
2507,桜の,chérubin,87
6168,ブリッグ,brick,60
4119,スワンズ,cygnes,75
9972,ラブラドール,Labrador,32
3259,スルーラ,spurrier,82
5399,尼に,religieuse,65
2346,いくつかの場所,quelque part,88
3728,たまり水,eau plate,78
2573,ガムラン,gamelan,87
127,ヤヌス,janus,100
10736,冒涜,impiété,27
11047,歴史家,historiens,24
8106,意識的,conscient,46
6239,娯楽,récréatif,59
5887,区別する,distingue,62
10474,王々に,wang,29
6817,グレンデール,glendale,55
8156,溶接,soudage,45
6040,フリンダース,flinders,61
6634,再調整,réalignement,57
6589,クルシェフ,khrouchtchev,57
8204,グリーンランド,Groenland,45
12162,危険,risque,16
1227,キャバレー,cabaret,96
8412,ポルト,porto,44
7223,全部,entièrement,52
9201,喜び,plaisir,38
9964,ハワイアン,hawaïen,32
6127,花輪,guirlande,60
8542,丸い,cercles,43
7580,屈む,courbé,50
12507,ディーンの,doyen,14
12891,ラベル,étiqueter,11
248,リジン,lysine,100
2436,柔らかい,acidurie,88
7548,ヨット,yacht,50
12396,ほこり,poussière,15
12656,私,je suis,13
8005,アンカレッジ,ancrage,47
4188,黒い鳥,merle,75
6954,ぶどうの木,vigne,54
7506,ベッケット,beckett,50
10601,倒れて,déchu,28
231,サブグループ,sous groupe,100
8341,オリンピア,Olympie,44
11659,残りの,reste,20
8906,エミー,emmée,40
1775,視差,parallaxe,92
4854,前立腺,prostate,70
1867,エレクトラ,Elektra,91
398,スノーショー,raquette,100
3675,きらきら,problème,78
11773,ブラジル人,brésilien,19
3612,メルトダウン,fusion,79
10715,八つ目,gail,27
13460,強い,fort,7
3122,ジュウブ,jujube,82
3626,サルビア,salvia,79
13432,ロシア,Russie,7
1876,ジメチル,diméthyle,91
416,マキシ,maxi,100
12390,バイアス,biais,15
2439,データン,datsun,88
11090,おじさん,oncle,24
291,概略,schématique,100
809,摩耗した,putsch,98
1550,ミルダー,mugder,94
2182,うまく,écuyer,89
2054,くしゃみ,éternuement,90
4858,スカフ,skiff,70
7954,コンドーム,préservatif,47
11846,有意な,significatif,19
6151,そりに,traîneau,60
7676,眉齢,fronçant,49
8420,カブ,navet,43
3262,ヘルパー,assistant,81
8753,チェロキー,Cherokee,41
12441,ブルース,bruce,14
3989,細胞質,cytoplasme,76
11894,マージン,marge,18
11444,ニコラス,nicholas,22
10218,ティーン,adolescent,30
12218,ワトソン,Watson,16
5387,泥だ,boueux,65
12456,エンジニア,ingénieur,14
9414,マンゴー,mangue,36
2619,騒ぐ,s agiter,86
13443,無期限に,indéfiniment,7
12348,レール,rail,15
6777,明日,demain,56
630,ナルシシズム,narcissisme,99
9581,前述の,susmentionné,35
8320,セージ,sauge,44
1810,スプロール,s étendre,92
3672,対角線,diagonale,78
10974,マダガスカル,Madagascar,25
8195,スイス,Suisse,45
11958,ブロンズ,bronze,18
258,凝集して,cohésif,100
84,スリー,souiller,100
5565,陰気,ombragé,65
10758,ゲージ,jauge,27
1432,ウォッチャー,observateurs,94
11306,火山,volcan,23
8343,マクナ,magna,44
5779,いたずらさの,vilain,63
13687,問題,questions,5
4318,クラブハウス,club house,74
5900,アンテロープ,antilope,62
11353,小数,décimal,22
10677,保護者,Gardien,27
8487,包まれた,enveloppé,43
2574,靴屋,shoaler,87
2812,サイドカー,side car,85
9931,フェリー,traversier,33
4932,幸せに,Heureusement,69
3291,バーリー,bari,81
3336,事務局,secrétariat,81
6415,サンガー,sanger,58
7617,カルマ,karma,49
5465,反応器,réacteur,65
4255,ユークリッド,euclidien,74
5547,パシャ,pacha,65
544,ハーマン,harmoniser,99
11727,シリア,Syrie,19
3097,プンタ,punta,82
5459,堡塁,bastion,65
1437,お問い合わせ,enquête,94
9674,おそらく,soi disant,34
5313,菓子,confiserie,66
11165,虐殺,génocide,24
12783,列をなして,en ligne,12
11114,アルジェリア,Algérie,24
8298,ビルダー,constructeur,44
6646,監視,surveillance,56
8053,電信,télégraphe,46
10113,ウォルシュ,walsh,31
13154,パキスタン,Pakistan,9
3733,追い越して,dépassé,78
2000,毒物学,toxicologie,90
8801,放送局,diffuseur,41
7746,ダンジョン,donjon,48
7695,より広いほど,plus large,49
2394,ウィッシュボーン,wishbone,88
12387,オファー,offrir,15
11307,アージュン,arjoué,23
7835,シルビア,Sylvia,48
10311,神秘,mystère,30
12357,誉れ,refaire,15
10274,後継,successeur,30
6074,バーチ,bouleau,61
8110,ロッカー,casier,46
1822,占いました,marsupial,92
1477,トランポリン,trampoline,94
4607,ミニ,mein,71
9912,不適格,inéligible,33
5642,挙った,conçu,64
12042,新鮮な,Frais,17
13098,カテゴリー,catégories,10
11605,唯一の,uniquement,20
2047,オリンピック人,Olympiens,90
13067,怪我した,blessé,10
1762,ジニー,ginnon,92
3763,チョップ,hacher,77
9031,貴重,précieux,39
6905,学習者,apprendre,55
12773,お知らせ,nœud,12
782,豚,porc,98
1968,乳母,nounou,91
4523,ドレイン,drainer,72
11548,変更されました,altéré,21
6442,水中,sous marin,58
4476,スカーフェイス,scarface,72
5188,クレムリン,kremlin,67
8500,メディナ,médina,43
4052,ファイフ,firme,75
13268,オンタリオ,Ontario,8
8034,機能的に,fonctionnel,46
5782,従う,obéit,63
12079,アマチュア,amateur,17
671,ホームズ,holm,98
9773,ブルペン,bullpen,34
8131,堂々,judence,46
3257,荊,Ronce,82
13265,メアリー,Marie,8
5696,シクラメン,cyclamen,64
3448,騎手,cavalier,80
12439,バリーリー,barry,14
13787,それ以外は,Par ailleurs,5
1061,スプーン,cuillères,96
1263,発散,divergence,95
6334,商,quotient,59
8017,間隔,intervalle,46
1278,ポルスカ,Polska,95
7050,ソース,sauce,53
12772,動物,animal,12
6654,剛の,rigide,56
6171,スウェットショップ,sweatshop,60
7858,ゆるい,librement,48
1067,スホー,soho,96
5528,ブレスト,bresser,65
6935,焼き,baku,55
7190,マリーナ,Marina,52
10889,ピーク,pointu,26
4801,露出する,exposition,70
7920,七十,soixante dix,47
2909,新生児,néonatal,84
10687,ロータス,lotus,27
7530,ゲーテ,goethe,50
3387,不信,incrédulité,80
6997,南極,antarctique,54
6525,エバーグレイズ,éternel,58
12474,シモン,Simon,14
3819,エトン,Eton,77
312,サリー,sari,100
6624,押しつぶす,écraser,57
11769,アブラハム,abraham,19
1660,喫煙者,fumeur,93
11417,パレード,parade,22
2028,損なわれる,sape,90
4963,補助,auxiliaire,69
1499,クラッド,krill,94
280,祭り,festa,100
5907,サイクロプス,cyclope,62
1540,マグノン,magnon,94
13263,トレード,Commerce,8
6411,談見する,discours,58
11040,コロニー,colonie,24
4357,ダフネ,daphne,73
10059,控除,déduction,32
13664,ルイ,Louis,5
10683,エイリアス,alias,27
9242,だれも,pas d hommes,38
6557,沈没,creuser,57
8534,徹底的に,à fond,43
2292,ストロンチウム,strontium,89
2450,ベッドフォードシャー,bedfordshire,87
11947,表現された,exprimé,18
5754,放棄された,renoncer à,63
4038,流行,mode,75
8459,結核,tuberculose,43
928,インプレーター,impaltin,97
1923,船員,marin,91
1830,扱いにくい,lourd,92
8945,圧倒的,écrasant,40
11799,成長している,croissance,19
7687,ボーデン,bowden,49
12259,男,Masculin,16
10176,スコライラー,buteur,31
13580,韓国,Corée,6
5343,多年生の,vivace,66
1021,召喚,forgé,97
13777,旅行,visiter,5
11845,ブレイク,blake,19
10633,リッチャー,richier,27
9489,密林,jungle,36
8869,偏見,impartial,40
10227,エクスクルーシブ,exclusif,30
3849,司法,juridictions,77
12733,プール,bassin,12
11370,ひたむきな,dédié,22
7028,百分率,milté,54
2731,研削,affûtage,85
85,百日咳,coqueluche,100
877,細菌,germes,97
26,蟻巻,fourmis,100
7220,レーン,voies,52
6703,復讐,vengeance,56
12819,北東,nord est,12
13584,イタリア,Italie,6
8074,陸上に,à terre,46
9468,それにもかかわらず,néanmoins,36
3386,ルシファー,Lucifer,80
6555,ブータン,bhoutan,57
9355,審判,arbitre,37
2738,ユネスコ,UNESCO,85
4981,サヒブ,sahib,69
13652,ガード,garder,6
247,カウンセリング,conseils,100
9254,滑走路,piste,37
13294,必要,nécessaire,8
12759,巨人,géant,12
3761,試験,examens,77
4555,プロメテウス,Prométhée,72
5616,かんたん,citrique,64
10323,バーケ,burke,30
9459,墓,la tombe,36
3394,スロベニア語,slovène,80
12087,サリー,surre,17
10797,仏教,bouddhisme,26
1151,フェノール,phénol,96
10292,フレミング,Flamand,30
10502,不思議な,merveilles,28
1090,キメラ,chimère,96
4369,正直,honnêteté,73
7605,ジン,joindre,49
8287,ロックアウト,verrouillage,45
177,クロストリジウム,clostridium,100
8763,アリゲーター,alligator,41
10152,不況,récession,31
10031,バルバドス,barbados,32
4032,クッキー,biscuits,75
8107,初めて,première,46
8718,引き金,gâchette,41
3467,発行者,émetteur,80
6472,武装,armement,58
407,メコン,mékong,100
167,静かな,périphérique,100
9790,イーサネット,Ethernet,34
12751,ディック,queue,12
8833,ゲリラ,guérilla,41
10003,イメージ,imagerie,32
10146,ファラオ,pharaon,31
10196,カービー,kirby,31
12596,個体,solide,13
12187,水星,Mercure,16
9670,ディアブロ,diablo,34
3330,心筋,myocarde,81
11528,通行料金,sonner,21
7657,チコ,chico,49
7133,カサブランカ,Casablanca,53
10911,サイエントロジー,scientologie,25
1380,じゃあ,Nahuatl,95
9373,まず,d abord,37
802,雑誌,weiner,98
2735,麻薬,stupéfiants,85
8250,税金,taxe,45
11161,聞く,Ecoutez,24
6033,教えて,signifié,61
9224,アパラチアン,appalachien,38
5167,リブレ,libre,67
5834,キュリー,curie,62
2079,亜硝酸,nitreux,90
3030,代名詞,pronom,83
3191,遠征,expéditions,82
2759,衛生,hygiène,85
11251,債券,obligations,23
7388,ブラジル,brazil,51
7555,野菜,légume,50
489,イプソ,ipso,99
1921,ヒルビリー,Hillbilly,91
1410,ウィリア,bizarre,94
12425,夜中,minuit,14
12232,小説,des romans,16
12885,ゼロ,zéro,11
10038,知覚された,perçu,32
4722,シーズン中,mi saison,71
4153,前哨地,avant poste,75
11025,沿岸,côtier,25
352,厄介な,piquant,100
155,ネクサス,lien,100
595,モノコジウム,monosodium,99
10791,古くて,dépassé,26
5000,破裂,rupture,69
13547,海岸,côte,6
7886,湾曲した,incurvé,47
6808,孤児の,orphique,55
1135,雑音,myologie,96
7703,カスティーリョ,castillo,49
6097,発射詞,projectile,61
10640,取引,transactions,27
3789,カタリナ,catalina,77
4715,ハヌカ,hanaukkah,71
991,ウーフ,lainef,97
10799,ボウラー,towler,26
6675,ロドマン,rodom,56
8476,変わった,transformé,43
2854,フーリエ,fantaisiste,84
820,これまで,jusqu alors,98
1315,栄養失調,malnutrition,95
6161,牽引者,traction,60
10013,より早く,plus tôt,32
3186,腰抜け,lâche,82
4288,時刻表,calendrier,74
5904,鳥の,aviaire,62
4793,オキシダント,oxydant,70
7904,チェックアウト,vérifier,47
11531,検索しました,récupéré,21
1909,輝く,embrasé,91
4951,エーモロジー,étymologie,69
9155,バトン,bâton,38
10570,ミュンヘン,Munich,28
5235,ウォッカ,Vodka,67
10806,反対に,opposé,26
120,カマラ,camara,100
13542,ソビエト,soviétique,6
1692,クロロ,chloro,93
2194,マキシマ,maxima,89
7228,ファビアン,Fabien,52
10045,ルージュ,rouge,32
4689,プーマ,puma,71
6416,笑い,rire,58
1621,カリーナ,carina,93
3627,レノ,leno,79
10408,ハードコア,hardcore,29
3114,スイマー,nageur,82
12852,ボルチモア,balte,11
8047,憎しみ,haine,46
13556,ダブル,double,6
12669,テリー,épineux,13
12224,クローザー,plus proche,16
6444,正午,midi,58
7275,マラリア,paludisme,52
4585,エレズズ,jerez,72
12836,マンチェスター,Manchester,11
1956,辞書,lexé,91
2999,スーパーヒーロー,super héros,83
1741,貧しい,plus pauvre,92
9026,一口,mordre,39
995,スラブ,esclaves,97
2718,厳しく,durement,85
9347,宣言,proclamation,37
8739,コモドリア,commodore,41
9208,ホーキンス,hawkins,38
1642,ワンミー,berge,93
8996,佐賀,saga,39
10789,バンコク,bangkok,26
12861,ギター,guitare,11
2532,シェリー,Sherry,87
5967,パーカッション,percussion,61
656,ロッカーズ,rockers,98
12618,援助,aide,13
12132,候補者,candidat,17
13252,ベル,cloche,8
12718,送信,envoyer,12
10427,ベリー,baie,29
6548,パスタ,Pâtes,57
1907,いたずら,farce,91
3757,牛,bœuf,77
2059,納期,de côté,90
8693,モリーリー,molly,42
7825,ユートピア,utopie,48
1285,マラ,mala,95
7817,再確認,revoir,48
8889,糖尿病,Diabète,40
13278,クロス,traverser,8
3053,スタンドオフ,impasse,83
8800,計算されました,calculé,41
9715,儀式,cérémonies,34
13561,理科,la science,6
12217,トヨタ,Toyota,16
10691,ホラー,horreur,27
4269,アルマナック,almanach,74
11612,逆に,contraire,20
12833,経済的,économique,11
2641,麦芽,malt,86
8367,操縦,manœuvre,44
2204,コンソート,épouse,89
12287,最新,dernier,15
9694,チーター,guépard,34
9231,煉瓦,brique,38
8101,カート,kart,46
10894,アルメニア,Arménie,26
9634,胸,Sein,35
576,シーサイド,bord de mer,99
5272,下草,médredeux,66
13581,丁寧,formel,6
7304,フレキシブル,souple,52
9357,神話,mythe,37
2191,コンパゲ,compagnie,89
11658,デュラーム,durham,20
4861,ギロチン,guillotine,70
9542,いない,ne fait pas,35
3818,パリティ,parité,77
1793,キャンパス,campus,92
961,エンテーテ,entente,97
2855,識別する,discerner,84
7833,ディケンズ,diable,48
1080,喧嘩,querelle,96
6210,郊外,faubourgs,60
4361,スナッピング,claquement,73
11996,後方,arrière,18
1029,テイリック,télic,97
7618,脂肪の,gras,49
9271,にんじん,carotte,37
11138,ヴィラ,villa,24
6629,デカルト,descartes,57
6470,オペコ,OPEC,58
4826,ミラージュ,mirage,70
1294,アルハンブラの,Alhambra,95
5257,皇后,impératrice,66
9379,煉獄,purgatoire,37
4509,ステープル,agrafe,72
1071,スカイ,skye,96
8643,スタッフォード,Stafford,42
408,誤解した,en erreur,100
8608,打ち砕く,écraser,42
6510,空室,vacant,58
6354,マイルストーン,jalons,59
10666,アニメーション,dessin animé,27
12788,ケント,kent,12
322,コクラギ,cochléaire,100
459,シェアコップピング,notation,100
12154,満足させる,satisfaire,16
9991,量子,quantum,32
4293,刺す,poignarder,74
7116,ロビー,hall,53
11874,ウィニペグ,Winnipeg,18
2976,危険,péril,83
9806,ガレージ,garage,33
7787,反乱,mutinerie,48
5600,振幅,amplitude,64
10823,マリリン,marilyn,26
2010,きらきら,plus gentil,90
749,無理店,apnée,98
10084,ストロー,paille,31
11197,13,treize,23
5855,イカルース,icarus,62
11222,創立,fondateur,23
7012,しきい値,au seuil,54
11226,親,parent,23
4423,不可,incapable,72
11239,逮捕,arrêter,23
7319,居酒屋,Cesar,52
1954,コール,khôl,91
390,ガリウム,gallium,100
11517,広範な,large,21
10238,キー,clés,30
6406,クローウェル,cromwell,58
3329,卒業生,ancien élève,81
3973,四半期に,trimestriel,76
6080,無制限,non autorisé,61
10556,プロイセン,prussien,28
225,スパーズ,stepney,100
4571,静かに,doucement,72
13671,条項,termes,5
10118,突然,soudain,31
7724,不可,incapacité,49
12350,歴史的な,historique,15
3696,睡眠状態,dormant,78
7651,需品,intendant,49
7734,ぞっとする,fête,49
472,ヒッチ,attelage,99
3650,壮観な,spectacle,79
9743,治療,thérapie,34
1815,ガレン,galen,92
13526,見える,visible,6
4037,レンズ,lentilles,75
6046,バイオーム,biome,61
688,物理学者,physiciens,98
1694,吐き気,la nausée,93
12377,騎士,chevalier,15
2979,シエナ,Sienne,83
10993,身にじゃ,portait,25
4182,イオン,ionique,75
9623,併設,conjonction,35
9096,ジブチ,djibouti,39
4635,鎮静,réprimer,71
10221,罪,péché,30
8719,帽子,Chapeaux,41
6274,オフセット,décalage,59
12531,秘密,secret,14
2627,ブシュレンジャー,brusquette,86
8930,ナチズム,nazisme,40
6891,セビリア,Séville,55
4633,パンケーキ,crêpe,71
6744,プレイボーイ,playboy,56
2518,サウスランド,Southland,87
4724,球状,sphérique,70
1980,ダリピー,dadi,91
10356,ストレス,stress,29
217,自家製,fatal,100
4150,バックパック,sac à dos,75
8585,パサデナ,pasadena,42
8490,アロイ,arroyo,43
12671,ピクセル,pixels,13
870,アーティファクト,artefact,97
6908,グー,aller,55
3007,ポピー,coquelicot,83
6218,馬術,équestre,60
9381,ソリピスト,solipsiste,36
9950,囲まれた,entouré,32
8925,卵,chevreuil,40
7196,アテナ,athena,52
11078,冒険者,explorateur,24
13474,学校,académie,7
796,美味しい,délicieux,98
13134,議論,débat,9
891,セマンティック,sémantique,97
7331,ガルド,garde,51
5827,ドミニケ,dominique,62
6748,無視されました,dénoncé,56
4452,マングローブ,mangrove,72
11179,剣,ersatz,23
3566,困惑した,perplexe,79
9037,バットマン,batteur,39
890,三成分,ternaire,97
9453,主権者,souverain,36
9370,熱の,thermique,37
3297,キャラバン,caravane,81
6846,毛布,couverture,55
1639,ラダー,gouvernail,93
3962,百人,morons,76
4026,タブレット,tablette,75
5109,明らかに,résolument,68
2831,誘惑,tentations,84
1462,のり,la colle,94
12047,面前,présence,17
1125,肥料,fumier,96
372,台形,trapézoïde,100
46,聖書,écriture,100
10020,カボット,cabot,32
13175,時折,parfois,9
10472,追いかけて,poursuite,29
746,潮流,ripa,98
13449,彼ら自身,eux mêmes,7
1215,ラガー,lager,96
6696,前文,préambule,56
12589,アルバート,albert,13
11965,大麻,cannabis,18
1912,ぬいぐるみ,éclat,91
865,エイジリア,Eugenia,97
3172,不自由,estropié,82
11561,切る,porter,21
11156,冒険,aventures,24
5173,祖母,grand mère,67
6906,方言,dialecte,55
1053,グルコン酸,gluconate,97
3941,高める,accru,76
7841,一酸化,monoxyde,48
2344,二字的,bilatéral,88
9892,休日,vacances,33
12332,ピート,peté,15
11935,ジャマイカ,Jamaïque,18
11162,フォーク,populaire,24
9588,撫でれた,un pantalon,35
10405,ノイズ,bruit,29
12651,タンパ,tampa,13
13706,アンドリュー,Andrew,5
4035,カリキュラム,curriculum,75
7265,ワッフル,gaufre,52
1144,盆栽,bonsaï,96
1058,ヘスティア,Hestia,96
7575,カーメル,carmel,50
2215,ブリット,brit,89
3965,再分配されました,redistribué,76
8187,エメラルド,émeraude,45
223,投光器,projondeurs,100
970,レシート,le reçu,97
10120,スーパーマン,Superman,31
7309,豚肉,porc,52
10767,コンクリート,béton,26
8123,アクセス,accédé,46
13471,国旗,drapeau,7
12417,チリ,Chili,14
9980,ヒドロキシ,hydroxy,32
8169,加熱された,chauffé,45
13583,話,récit,6
1039,魚の,de poisson,97
1844,マラサ,maratha,92
6626,コオテに,coyote,57
2171,領事,consul,89
10620,企業,entreprise,27
3765,フェンネコ,fennec,77
3450,ドミニック,dominick,80
3641,停止します,panne,79
3667,ムラ,romulus,78
12337,移民,immigration,15
12419,分類された,classifié,14
6570,無視された,négligé,57
6399,チャタヌーガ,Chattanooga,58
13540,とても,assez,6
6578,仲間たち,frères,57
5549,リセルビリック,lysergique,65
11559,シェル,coquille,21
8639,シェリー,bousculade,42
10627,レモン,citron,27
1910,熱心に,vivement,91
6487,アドゾン,addition,58
8347,ヴォルテール,voltaire,44
12818,ベルリン,Berlin,12
10087,カンガルー,kangourou,31
2251,プレナリー,plénier,89
5227,幽霊,spectre,67
10242,宮殿,coiffeur,30
10184,わからない,incertain,31
5145,孵化器,couvoir,68
10977,肌,la peau,25
10695,ケンブリッジ,cambridge,27
6335,ドップラー,doppler,59
11713,エミリー,Emilie,20
2432,ヒーラーズ,talon,88
6398,逃亡者,fugitif,58
8820,掘る,creuser,41
10862,コックス,barreur,26
12921,ケベック,Québec,11
5358,アルカディア,arcadia,66
11695,キャリア,transporteur,20
