ID,JAPAN,DANOIS,INTERVAL
14186,取った,taget,8
4631,サラディン,saladin.,79
9192,桃,fersken,47
9019,ジェンテナ,jenna.,51
13139,朝,morgen,16
4858,アロフト,aloft.,78
6671,古代の,paleolithic.,66
9346,宣言,proklamation.,47
10723,デモンストレーション,demonstration,18
10711,駐日,lagt,38
6992,風下,leeward.,60
10455,ペプシ,pepsi.,39
5859,アレゲニー,allegheny.,72
10202,感謝祭,thanksgiving.,41
8678,拘置,binding,46
12575,ハロー,glorie,22
14075,アクセス,adgang,8
13002,フランチャイズ,franchise.,17
12628,エリザベス,elizabeth.,22
10317,ジャワー,java.,40
2416,先天的,congenital.,89
9152,アッラー,allah.,49
12826,カールします,carl.,19
8902,自主的な,autonom,50
12054,pup pup,dukker.,22
256,デュワンピー,dewan.,100
14457,開発する,udvikle,10
10056,マリ,mali.,42
9518,チャールストン,charleston.,47
12546,支払い,betale,20
13863,いいえ,ingen,6
11616,人種差別,racisme,31
6498,ヘーゼル,hassel.,67
2775,アンティス,antikviteter,87
3831,糞,dung.,83
9290,餌,foder,39
2901,おむつ,ble,84
6211,バックラッシュ,backlash.,69
9350,サハラ,sahara.,48
10973,マダガスカル,madagaskar.,36
6071,モントレー,monterey.,70
7191,フッカー,hooker.,62
4067,コードレス,trådløs,82
312,ジンピー,gympie.,100
4144,幅広い,bredeste.,82
14498,産業,industriel,14
12207,pr pr,pringle.,26
5096,不正直,uærlig,76
4885,蒸留,destillation.,67
4573,リボソーム,ribosome.,69
12267,嫌い,had,22
4262,鼠径部,lyske,81
2006,大工,tømrere.,45
13839,a,en,5
671,そばに,slæde.,93
6254,メイド,stuepige,66
3503,宇宙飛行,rumfart,61
4490,ラジウム,radium.,80
3608,ヒラメ,flounder.,82
8455,民族性,etnicitet.,23
7128,バレンチニア語,valentinian.,63
4187,黒い鳥,solsort,81
6230,acqu acqu,frikendt,68
8117,拒食症,anorexia.,57
1185,ナイアシン,niacin.,96
10678,約束する,løfte,23
7155,ロジスティック,logistical.,36
112,トロン,tron.,100
6038,マレット,mullet.,66
4356,ダフネ,daphne.,80
3120,シャッター,lukker,77
4547,メルトン,melton.,79
4818,サウリ,saul.,77
5691,テストステロン,testosteron.,73
7248,el el,berettigelse.,31
2009,きらきら,pænere,92
7921,ガービー,garvey.,58
2160,話者,talkker.,89
8463,op op,opium,54
7632,見通し,outlook.,58
6727,ティンカー,tinker.,63
11391,屋内,indendørs.,31
3599,エンテンチ,forankret,77
14118,与えられた,givet,10
1590,cond cond,kondensere,49
9973,ナイル,nile.,43
11113,アルジェリア,algeriet.,35
11293,コロシアム,coliseum.,34
12970,継承,et.,18
11128,分布しました,distribueret,19
2057,尖塔,spir,87
9361,ヤク,yak.,48
9197,バンブルビー,humlebi,49
10144,ワーグナー,wagner.,42
11944,アリソン,alison.,28
9745,スリーブ,ærme,36
8496,時計work.,clockwork.,54
3668,懐疑論,skepsis,54
14490,回った,vendte,9
2795,ブラックベリー,brombær,89
6350,アロハ,aloha.,68
7319,フリンジ,friske.,60
14385,資産,aktiver,38
11660,マージ,fusionere,17
687,物理学者,fysikere.,56
196,ウィットワース,whitworth.,100
7547,ヨット,yacht,51
6553,薄暗い,dak.,67
2430,アコーディオン,harmonika,90
9237,タール,tjære,48
10633,ミネアポリス,minneapolis.,38
8070,無限の,endeløs,57
3131,欠伸,gabe,84
11496,ナッシュビル,nashville.,32
13247,ギリシャ,grækenland,16
3198,動詞,verbs.,50
9946,鼎,zion.,43
12666,神話,mytologi,21
3472,バックフィールド,backfield.,86
13754,アップロード,upload,8
11995,後方,bag-,27
8696,ゴシップ,sladre,52
14167,家族,familie,11
8272,信条,creed.,55
6830,ポリマー,polymer.,62
6919,猛烈な,raptor.,45
5844,ピエトリー,piet.,72
1356,グレンウッド,glenwood.,95
5532,ヒノキ,cypress.,74
1134,雑音,myology.,96
1405,ミネルヴァ,minerva.,95
13634,未登録,uregistreret,12
9042,砂漠,sandra.,50
9767,植物,planter.,14
80,ウエストランド,westland.,100
65,セックスバック,tilbageslag,72
8301,real然,realistisk.,48
7046,ワンダーランド,wonderland.,63
8765,ハデス,hades.,50
13677,複製,duplikere,11
1530,メディケア,medicare.,95
9966,履歴書,genoptag,28
810,サフラン,safran,98
2552,無敵,uovervindelig,88
12770,喜び,joyous.,20
12746,到着した,ankom,14
5663,末尾,terminus.,73
14252,サーバ,server,6
7889,振る舞う,opføre sig,40
13373,スコットランド,scotland.,14
5430,マフィン,muffin.,73
13636,タグ付けされた,markeret,6
10827,決済,afregning,32
6997,弱りに,svagere,64
7503,百合,lily.,60
11232,暴力的な,voldsom,32
12286,最新,seneste,25
5702,ビズ,biz.,72
5098,外交官,diplomat,33
4970,アセクティビ,asclepius.,77
504,アーキテクチャ,arkitekturer.,15
5727,ココス,cocos.,51
2296,ティルデン,tilden.,91
4705,sphead,spearheaded.,60
7863,ソーセージ,pølse,54
12719,繰り返し,tilbagevendende,21
3698,下向きに,nedadgående,44
1671,タンジェリン,mandariner.,75
14195,それよりも,hellere,6
3598,sup sup,superscript.,82
3320,出荷,forsendelser,64
8833,神経糖,nervosa.,52
3755,アルゴリズム,algoritmer.,43
13086,市場,marked,12
11306,アージュン,arjun.,34
13687,悪い,dårligt,12
11300,mental mental,mental,29
4834,バインディ,bindi.,77
4158,バーリー,burley.,82
1018,テッセサクト,tesseract.,97
3982,曇り,overskyet,71
6835,pass pass,passover.,65
779,無傷の,uforskammet,98
10716,インスタンス,tilfælde,20
10301,カーニバル,karneval,40
10162,困難,vanskeligheder,31
10372,ハードウェア,hardware.,40
10188,通知,notifikation,40
3,まとまりのない,amorf,100
9429,マヨ,mayo.,47
6850,型,mold.,55
13342,躊躇,tøven,14
3883,良心,samvittighed,83
4283,スコーピオン,scorpions.,44
10273,後継,efterfølger,39
2054,ガリバルディ,garibaldi.,92
2515,コサック,cossack.,80
8209,elう,elle.,54
6573,ドレスデン,dresden,67
3966,カボチャー,pumpkins.,56
12229,不定的な,ubegrundet,25
13565,塗りつぶし,fylde,11
13088,壁,væg,16
4794,ハーシェル,herschel.,78
563,ルーレット,roulette.,98
1654,陰嚢,scrotum.,93
10854,タフ,hård,36
10248,敵対的な,fjendtlig,31
7307,発明者,opfinder,52
11046,歴史家,historikere.,26
5039,急性灰白髄炎,poliomyelitis.,77
13788,分析,analyse,11
5625,lim lim,halte,58
2770,補助金,tilskud,75
5104,再設計されました,redesignet,20
10984,天国,himmel,35
3146,インスリン,insulin,88
3032,ピッコロ,piccolo.,88
14330,黒,sort,10
10810,犠牲,ofre,36
11818,その上,udover,26
816,歌姫,sunray.,98
12255,コンチネンタル,kontinental.,25
13215,エピソード,episode.,12
2567,リソグラフィー,litografi.,90
6020,クイズ,quiz,70
2817,ユーフォリア,eufori,88
13668,entered,indtastet,10
7243,カイロプラクティック,kiropraktik.,62
14060,六,seks,9
12982,最初に,i første omgang,12
7247,とどろいている,brøling,48
85,ドリームタイム,drømme tid,100
11362,ランカシャー,lancashire.,33
14343,現在,i øjeblikket,7
2598,傑作,mesterværk,82
6660,アッシジー,assisi.,66
5957,不安定に,ustabil,70
10830,製造業者,producenter,20
9576,富,rigdom,46
576,戸口,outfitters.,97
1303,ニー,nei.,95
6218,クリトリス,clitoris.,69
12955,ユダヤ人,jødisk,19
13681,送信済,sendt,12
6349,タコマ,tacoma.,68
5440,アリコート,alikvot.,74
7533,ウール,uld,61
5206,水田,paddy.,73
6345,マーサー,mercer.,68
12089,妥協,kompromis,18
3588,勾配,gradient.,77
614,小切手,kontrollere,93
5658,図,fig,69
7449,レス,rees.,56
3095,トルク,drejningsmoment.,87
11961,ブート,støvle,24
1974,マウラナ,maulana.,93
10347,整数,heltal,32
10587,わざわざ,genere,31
4205,レトロな,retro.,81
2502,ペルハム,pelham.,90
4846,医薬品,pharmaceutical.,66
2548,コジーナ,codeine.,90
763,ズッキーニ,zucchini.,98
4466,ネルーリー,nehru.,80
5790,ストーナー,stoner.,70
7384,符号,kadet,46
13878,それで,så,5
2079,痔核,hæmorider,91
5905,カートマン,cartman.,71
8214,発作,anfald,53
13093,アルゼンチン,argentina.,17
7779,鼓腸,flatulence.,59
2350,ブラッシング,børstning,46
5717,専門用語,jargon.,72
13202,ベトナム,vietnam.,16
5581,不適切に,ukorrekt,73
12026,救援,redde,24
2093,ディナール,dinar.,82
10343,敗者,taber,32
12942,フィリップ,philip.,19
11922,pieces,stykker,16
9000,停電,blackout.,48
11526,事件、出来事,affære.,20
9233,バイセクシュアル,bisexual.,42
4079,鬼,ogre.,81
4904,カミノ,camino.,77
2254,前児童,prequel.,91
5826,ドミニケ,dominique.,72
14250,失った,faret vild,10
8273,アボリジニー,aboriginal.,44
12737,ミラー,miller.,21
4301,ブロッコリ,broccoli.,81
697,ジュンクリー,junkie.,87
12152,戦略,strategisk,26
7497,自発的,frivillig,61
7879,コルコール,crocker.,59
13835,誰が,who,6
14149,シングル,enkelt,8
4619,歳,yr.,71
768,カドミウム,cadmium.,98
8107,ピストル,pistoler.,39
10170,ジュンタ,junta.,41
8622,耳,ører.,35
7975,オーバーケーブル,overcame.,58
6930,畝ね,mush.,62
14139,比較されます,sammenlignet,11
8942,壊滅的な,ødelæggende,38
6390,ブロックバスター,blockbuster.,65
9702,靴,sko,33
14014,少しでも,mindst,5
2579,ラッキー,lackey.,88
13257,気をつけて,forsigtigt,7
3547,カルデラ,caldera.,86
9765,リンチ,lynch.,41
3046,フィラピー,fila.,88
10158,レストラン,restaurant,36
9388,ホノルル,honolulu.,48
14191,プロジェクト,projekt,7
11050,章,kapitel,30
6033,強盗,røveri,66
5747,バウチャー,boucher.,72
9133,バレエ,ballet,49
5947,ミクロネシア,micronesia.,71
5271,下草,underdogs.,55
1484,ジャンプスーツ,jumpsuit.,95
297,指数,eksponent,89
5018,生息地,habitat.,75
2128,ボングー,bongo.,80
12290,ようではない,i modsætning til,18
3961,百人,moroner.,47
14324,上院,senatet,13
417,バカロレア,baccalaureate.,100
11326,燃焼,burning.,19
5631,読みやすさ,læsbarhed,52
1799,潤滑剤,smøremiddel,80
10443,障害者に,svækkende,37
11344,お尻,ass.,32
932,サッチェル,satchel.,97
13580,丁寧,formel,12
2741,単純な,simplistisk.,87
5385,注意深い,forsigtig,74
7867,賃金,lønninger.,29
12514,リバプール,liverpool.,23
10379,干帰,tørke,39
1602,アングリカニズム,anglikanisme.,40
1924,アグリゲーター,aggregator.,25
14085,監督,direktør,17
13953,戻る,tilbage,7
11152,バレーボール,volleyball.,35
6829,騎手,jockey.,60
2163,非現実的です,urealistisk.,90
8979,ソクラテス,socrates.,49
10123,ホーン,horn,33
8618,オーガスタ,augusta.,53
9564,傷,sår,17
11494,sh,shalom.,32
8064,学部,fakultet,56
10212,ミルトン,milton.,41
10999,側面,aspekter,26
10472,ジュダリズム,judaisme.,39
7689,イロコイ,iroquois.,60
12847,確認,bekræfte,12
12433,トルコ語,tyrkisk,24
12310,上昇,stige,19
12759,宗教,religion,19
13451,映画,film,12
9665,回復する,gendanne,20
2621,パスファインダー,pathfinder.,84
11839,宣伝,propaganda,29
4917,as,ascent.,77
6757,中傷,bagvaskelse,52
12831,アフガニスタン,afghanistan.,20
11788,暗殺,snigmord,25
2023,プロポガンダ,propoganda.,92
6096,発射詞,projektil,56
6438,チェッカー,checker.,49
8362,ストライプ,striber.,42
8316,フローズン,frosset,55
6083,お食事,måltid,58
4962,補助,auxiliary.,76
6747,無視されました,fordømt,54
3319,協心,confederacy.,87
4080,セールスマン,en sælger,82
3625,サルビア,salvia.,85
2554,聴診器,stetoscope.,90
14053,西,vest,8
7620,無声,unanimous.,45
10908,茂み,lund,35
7308,豚肉,svinekød,62
12331,ピート,pete.,25
4292,刺す,dolke,60
145,放物線,parabola.,100
1928,ヒト,shr,93
1895,num num,num.,93
12205,ch ch,valgte,26
13266,ギリシャ語,græsk,14
2162,誤解された,fejlfortolket,71
13993,五,fem,8
10997,w,weren.,36
3802,骨粗鬆症,osteoporose.,84
6572,予め,på forhånd,67
5752,ティキ,tiki.,72
2359,おかしなこと,sjoveste.,91
4792,オキシダント,oxidant.,38
12643,招待,inviteret,6
7698,癰,carbuncle.,60
3953,ベレー,beret.,71
8306,ペア,parret,20
3218,超音源,supersonic.,56
3949,筆記する,writ.,78
866,ef ind,indefing,97
5499,ビューモント,beaumont.,74
6713,不幸に,ulykkelig,64
12155,ターナー,turner.,26
7018,ハッキング,hacking.,36
3376,カッター,cutter.,79
11178,剣,ersatz.,35
6103,トラス,truss.,70
10739,リチャードソン,richardson.,38
9746,やけくその,desperat,37
6320,グロスター,gloucester.,69
9860,ルイーズ,louise.,44
8195,変種,variants.,39
3992,銀杏,ginkgo.,83
6848,ピノに,pino.,65
10548,ram,vædder,22
13027,クリストファー,christopher.,18
5435,悔や,regt.,74
11581,ルーズベルト,roosevelt.,31
703,懐中電灯,lommelygte,93
11047,リビア,libyen,36
8068,部族の,tribal.,57
9481,株式会社,corp.,12
9803,important,vigtigere,44
5285,神道,shinto.,75
11678,バミューダ,bermuda.,30
6856,日データライン,dateline.,65
1453,sol sol,solace.,95
6765,スワップ,bytte rundt,48
10731,悲しい,trist,29
415,マキシ,maxi.,89
5193,幻覚発生,hallucinogen,67
7060,パイプライン,pipeline.,61
6057,クレタ,kreta,70
10315,砂,sand,34
9625,ジオメトリ,geometri,46
8454,希望の,ønsket,27
10181,飢え,sult,41
12641,軽くする,lyse,22
7159,倦怠感,træthed,60
362,差し控え,diskriminerende,100
9501,gang gang,bander.,22
10583,ソウル,seoul.,39
12916,叩き返る,ramte,19
7659,忘却,glemsel,60
2053,くしゃみ,nyse,84
9978,ハイライト,højdepunkter.,21
400,ホンジュララン,honduran.,98
14022,警察,politi,10
6914,隔離,bien,63
7785,サラマンダー,salamander.,59
6459,さび,rust,63
7415,スクリメージ,scrimmage.,60
9060,スクラッチ,kradse,38
9906,いただきました,didnt.,43
6809,レバー,håndtag,63
7148,ジェスタポ,gestapo.,63
4622,共食い,kannibalisme,62
8883,政府の,statslige.,51
13679,インド,indien.,12
3926,検疫,karantæne,77
7037,解決する,løst,19
13538,コンプライアンス,overholdelse,13
7138,尊敬,prestige,63
518,飲み込んだ,sluge.,60
4118,スワンズ,swans.,40
5925,雨の,regnfuld,71
6316,ハイドン,haydn.,69
10805,反対に,modsætningen er imod at modsætte sig,16
3367,パフ,puff.,71
13553,はげ,fremhævet,12
2348,しゃべる,bør ikke.,91
11705,伊佐,isaac.,30
7967,意識,bevidsthed,54
13289,インシデント,utilsigtet hændelse,13
4075,ブリトー,burrito.,81
8450,自伝,selvbiografi.,53
8024,肝炎,hepatitis.,57
5998,均等に,jævnt,71
13024,海軍,flåde,18
13723,戦闘,bekæmpe,11
11436,リード,reed.,32
1146,合気道,aikido.,96
7651,r.,roc.,60
10926,記念碑,monument,33
5339,ヒープ,heap.,67
5252,皮肉,sarkasme,75
10406,ポット,gryde,38
6271,脆弱,sårbar,62
7748,tum tum,tum.,60
1024,パリの,parr.,96
5484,スーパーマーケット,supermarkeder.,59
11985,王の,ki.,27
14233,必須,krævet,6
3483,バロネット,baronet.,78
11747,二十留め,tyvende.,30
247,リジン,lysin.,100
927,インプレーター,impaler.,88
13670,条項,betingelser,8
13052,信仰,tro,17
1335,ビルボー,bilbo.,95
2971,手綱,tilsagn,50
10376,p,pt.,15
9510,パイプ,rør,38
4877,fir,firefly.,77
11800,ライトニング,lyn,29
9260,ラファイエット,lafayette.,49
41,verb verb,verbiage.,100
6524,エバーグレイズ,everglades.,67
11692,地震,jordskælv,12
12131,候補者,kandidat,19
3388,カリフォー,khalifa.,86
10058,控除,fradrag,35
9732,エジンバラ,edinburgh.,45
11991,やさしい,tarnishing.,23
1888,n would,ville ikke.,93
11794,トラヴィス,travis.,29
8940,対決,showdown.,51
2807,アプリ,app.,89
14221,ヨーロッパ,europa,5
6058,2階,ovenpå,70
5541,スレート,skifer,53
1391,バンド,bando.,95
9525,ホームレスの,hjemløs,40
8026,水力発電性,hydroelektricitet.,53
8980,80人,80.,48
5489,急上昇,pounce.,65
5770,ボア,boa.,71
5598,強制的に,tvang,66
12389,バイアス,partiskhed,24
11146,先住民の,indfødte.,35
11131,部長,dept.,35
7026,在庫,beholdning,62
3296,キャラバン,campingvogn,82
4403,摂政,regent.,34
5152,亡くなる,undergået,76
13286,彼自身,ham selv,15
9764,牧師,shoreman.,45
2440,薬理学的,pharmacological.,77
2916,北に,nordherly.,88
6262,ロキ,loki.,69
11120,care care,carey.,35
4907,フェミニスト,feminist.,72
12511,方向,retning,11
9065,涅槃,nirvana.,50
5973,企画,mater.,71
7716,免除する,fritaget,49
3303,処方,recept,80
6245,アラスカン,alaskan.,69
3708,機体,fuselage.,84
1532,鬼才,kiowa.,95
3518,クローバー,kløver,86
48,マットの,matti.,100
564,sequ sequ,sequitur.,99
8797,シンプレックス,simplex,52
939,劇団,troupe.,93
12355,航空,luftfart,24
14514,書かれています,skrevet,8
422,ストリンガー,stringer.,97
1564,スピアマン,spearman.,95
6148,ジェノア,genova.,70
2503,最先端,forefront.,90
11388,tr tr,truman.,33
8320,アルジェ,algier.,55
4667,ヨルダニア語,jordanian.,71
1199,シチュー,stew.,88
4419,アイソトープ,isotop,68
11329,17,syttende,33
1514,警戒,årvågenhed,62
4534,ファジー,fuzzy.,79
1381,リリンパ,lymfatisk.,95
9696,棚,hylde,45
3511,球車,ballroom.,84
13168,爆弾,bombe,10
9462,グリニッジ,greenwich.,47
14170,受け取った,modtaget,6
10755,本音,ærlig,38
13477,フィラデルフィア,philadelphia.,13
13400,キャリア,karriere,14
11052,奴隷,slave,29
8080,ハースト,hurst.,57
2492,裏切者,forræder,75
6291,抑圧する,undertrykke,38
6375,無秩序,uorganiseret,67
2327,鉱夫,minearbejder,36
3862,陽気な,jolly.,83
11667,コック,cock.,29
7346,ヘリウム,helium.,62
5284,york york,yorker.,66
9747,クォーターバック,quarterbacks.,14
6937,教科書,lærebog,51
13505,仲裁,voldgift,13
14028,長さ,lang,8
10995,デヒドロゲナーゼ,dehydrogenase.,36
14491,購入,køb,25
13591,オフィス,kontor,9
10264,店舗に,butikker.,22
12066,恩恵,favor.,20
300,再定義,omdefinering,96
10287,チェスター,chester.,41
4274,オキシダーゼ,oxidase.,80
10296,ウェブスター,webster.,40
6084,ハッシュ,hash.,64
13770,足りる,nok,11
11723,鯨,hval,26
13818,ない,ikke,5
11021,ハロルド,harold.,36
7885,湾曲した,buet,36
11252,帰属,tilskrives,13
5161,ペレグリン,peregrine.,76
214,うわぁ,yikes.,100
1173,ニトログリセリン,nitroglycerin.,78
1030,ヤルボロ,yarborough.,97
11260,粘土,ler,34
7692,雑草,ukrudtsplante,56
1043,dar然,darter.,94
7413,散り口,spættet,62
3477,コラボレーター,samarbejdspartnere,18
3457,オスプリー,seprey.,77
3544,ホッキング,hocking.,77
9596,アルミニウム,aluminium,46
2270,恐ろしい,forfærdelse,91
2812,alter alter,altercation.,86
12160,遠征の,expeditionary.,26
13494,qu qu,forespørgsler.,12
4845,橋渡し,bridgeport.,78
1773,ピンキー,pinky.,88
306,da,dae.,100
2735,ムリロン,myron.,89
8429,バスケット,kurv,52
7153,離婚,skilsmisse,57
7715,ダイナミクス,dynamics.,23
11552,ロゴ,logoer,10
10413,シャープ,skarp,39
403,スムート,smoot.,100
9005,オリンピア,olympiad.,50
856,u u,udal.,98
7838,癖,vane,45
12349,歴史的な,historisk,13
10039,窒素,nitrogen,42
7353,風景,landskab,56
7849,fe fe,feudalisme.,51
9165,スパイク,spike.,45
13731,スペース,plads,11
6746,家具,møbel,66
11024,沿岸,kyst.,36
7665,注意してください,pas på,60
9645,袋,sæk,23
2853,フーリエ,fourier.,88
11280,新入生,freshman.,34
6844,持っています,hasan.,65
8280,閉塞,blokade,52
12407,続けて,cont.,24
13655,一般的,generelt,7
4633,マニア,mania.,78
9990,量子,quantum.,43
316,缶詰,canning.,100
10763,マドンナ,madonna.,38
3884,家禽,fjerkræ,83
1555,筋萎縮,amyotrofisk,95
4916,ob impr,usandsynlig,75
10321,靴屋,shoemaker.,40
1195,フェンタニル,fentanyl.,96
2410,タウランガ,tauranga.,91
9095,ジブチ,djibouti.,50
1761,ジニー,ginny.,93
5262,日常的に,rutinemæssigt.,45
12360,雪,sne,24
10340,親指,tommelfinger,39
7472,荒野,ødemark,47
2942,タンポポ,mælkebøtte,87
929,てこの作用,gearing.,87
3906,サハラ語,saharan.,83
766,アシュケナジ,ashkenazi.,98
8798,証言,vidnesbyrd,47
11978,ベンジャミン,benjamin.,27
5114,アバサ,abacus.,76
3396,クロスバー,crossbar.,85
672,倍音,overtoner.,94
3540,布告,edict.,82
10658,議題,dagsorden,37
4595,ブースト,boosted.,45
7506,イエスイト,jesuit.,59
14483,理由,grund,5
12143,鳥,fugl,23
5477,マイム,mime.,73
10331,パンサー,panter,24
9694,マスコット,maskot,41
1247,水上,waterman.,95
7366,ec ec,eccles.,62
10753,ちゃん,chan.,38
8750,ターボ,turbo.,51
9161,キップ,kip.,49
8715,ギャンブル,gambling.,39
1685,母音,phallus.,94
3639,ステンレス,rustfrit,85
11312,隠れた,skjult,34
10866,却下,nedgang,13
7270,正方形,firkanter,14
5233,元帳,ledger.,75
10934,ビートルズ,beatles.,37
13596,傾向,tendens,12
973,カミンズ,cummins.,97
10359,ウエストミンスター,westminster.,40
5119,セーヌ,seine.,76
1645,パラビ,pahlavi.,94
7737,ir,irene.,60
6394,ローズマリー,rosemary.,68
13892,前に,før,6
1884,ルペ,lupe.,93
3086,devう,blottet,88
10245,占星術,astrologi,39
9768,緊張者,spændinger,34
2481,再灌流,konsekvenser.,88
12535,ass ass,angreb,20
4369,不行儀,incivility.,65
3178,装飾的な,dekorative,37
6178,スワジランド,swaziland.,69
11813,ミニ,mini.,29
996,ザキ,zak.,97
13601,区分,afdelinger.,7
7393,描写,skildre,35
3124,ハプスバーグ,habsburg.,88
12081,砲撃,bombardement,26
5823,遅れる,retard.,37
3132,モンタグ,montague.,88
5899,アンテロープ,antilope,71
7452,乳母車,milky.,62
7464,レニングラード,leningrad.,62
4249,minw,minesweeper.,76
4584,エレズズ,jerez.,79
9905,攻撃的,aggressiv,33
11819,解釈した,relegeret,24
4653,立場,standpoint.,78
7164,再建,genopbygge,47
14499,デビッド,david,9
8050,ゼリー,gele,57
8196,援助しました,finansieret,21
14469,書類,dokument,12
6385,できるだけ速くに,asap.,68
233,琴,koto.,99
10066,針,krog,29
1531,ブルジョアジー,bourgeoisie.,95
8310,メソポタミア,mesopotamia.,55
6616,シュルーズベリー,shrewsbury.,67
10825,無意味な,meningsløs,37
5847,国際的な,internationale.,72
14062,例,eksempel,10
11430,三位一体,trinity.,32
1971,バンティ,bantu.,93
6163,リハビリテーション,rehabilitering,62
544,ダイオキシン,dioxin.,99
7490,実験,eksperimenterende,37
10777,驚くばかり,fantastisk,38
3462,エアロゾル,aerosol.,80
12056,シュードモナス,pseudomonas.,27
2688,ベーカリー,bageri,83
949,地質学者,geologer,75
3817,パリティ,paritet,84
11683,好む,foretrække,9
1712,スポークスウーマン,taljewoman.,94
6056,砲火,gunfire.,70
11239,散文,prosa,34
12859,ジョシュ,josh.,20
390,脊椎動物,hvirveldyr,91
7059,外交,diplomati,63
12336,移民,indvandring,21
9483,オオカミ,wolves.,47
10559,有権者,vælgere.,33
6523,感染している,smitsom,67
5975,詩形,poetisk.,68
200,コルス,corse.,100
2182,中庭,gårdsplads,91
12449,クレイグ,craig.,23
11299,有罪,skyldig,34
8515,榴弾砲,howitzers.,31
2884,ヒポクラテス,hippocrates.,88
339,アンチモン,antimony.,100
10943,度,grader.,22
946,ブレンハイム,blenheim.,97
12244,接辞,affix,25
8969,互換性,kompatibel,46
14305,空気,luft,8
8685,起源に,opstod,53
536,禁欲,afholdenhed,98
12812,触る,røre ved,17
508,変異体,mutanter,54
11147,ローザ,rosa.,35
10387,エアメン,airmen.,40
8372,マクベス,macbeth.,55
4162,懲罰,punitive.,81
817,糖蜜,melasse.,98
8411,ポルト,porto.,55
5608,スラッシャー,thrashers.,71
13179,犯罪者,forbrydelse,10
8938,ハッチ,luge,49
6613,セーブル,sabel,66
9252,メトリック,metric.,46
245,投与する,forvalte,49
275,イベリア,iberian.,99
5357,アルカディア,arcadia.,75
4020,ロスコー,roscoe.,82
2462,修辞的な,retorisk,58
9026,スタンス,stance.,49
861,ぴったり,redacted.,93
4092,タツゥー,tutu.,82
6199,珍奇,ualmindelig,69
10676,保護者,guardian.,37
7850,アクロコース,grusomheder.,54
