ID,JAPAN,KOREAN,INTERVAL
3109,河口,강어귀,87
8964,甚大,막대한,49
4626,ニュージャージー,영원,79
3552,広々とした,널찍한,86
1440,鵬,펭스,95
13887,間,~ 사이,8
8809,ポルカ,폴카,53
9125,木製,활기 없는,51
3735,ブセファル,bucephalus.,85
5910,スパード,감자,72
13585,生まれ,태어난,12
10296,ウェブスター,웹스터,42
13788,分析,분석,11
13661,真ん中,가운데,12
13162,連続,연이은,17
9280,xiv.,제비의,50
13024,海軍,해군,18
6701,テンプラー,법률가,66
1556,フレンチメン,프랑스 인민,95
6192,消去,지우기,30
12173,十一,열하나,27
12414,自由に,자유로이,25
10228,快適,편안,29
4461,チョッパー,초퍼,77
1405,ミネルヴァ,미네르바,95
11201,エージェント,자치령 대표,21
2881,ジュバピー,주바,89
14014,少しでも,최소,5
3430,ヤーマス,yarmouth.,87
1974,マウラナ,마운나,93
9557,ぶら下がって,매달려있다,48
5482,放火,방화,74
5953,フェレット,가는 리본,71
4545,氷山,빙산,80
4684,stock,방책,74
1279,パンクされた,빵구 내는,65
13698,ヒント,힌트,12
5573,トポロジー,토폴로지,64
7028,シャイエン,샤이엔,64
6156,同情的,교감 신경,69
11816,偽造,위조,27
13974,ユナイテッド,연합,7
5078,おめでとうございます,축하 해요,77
11989,カトリーナ,카트리나,28
1652,黒鉛,석묵,94
7371,ボイヤー,보이러,62
4031,クッキー,쿠키,23
11202,パネル,패널,32
10739,リチャードソン,리처드슨,38
12030,段階,구절,23
5713,二塩素,dihydrogen.,73
11307,プロフィール,프로필,30
6761,プロモーション,프로모션,66
11499,バナー,배너,30
7817,略奪,약탈,49
11907,シャーロット,샬럿,29
12241,パブロ,파블로,26
9199,アスタリスク,별표,48
8052,電信,전신,55
566,バーキープ,바덴스,99
6334,ドップラー,도플러,69
10435,ヴィンチ,빈미,41
1971,バンティ,bantu.,93
11822,戻って,돌아,30
5185,慣性,관성,76
6229,ヒロイック,과장된 어조,59
10075,インドネシア語,인도네시아 인,42
13601,区分,부서,7
7548,ハノーバー,하노버,62
11495,ヘッドレス,목이 없는,33
2799,ステント,스테토르,89
1490,ハオーズ,하오,95
3908,火力な,화력,84
5408,ブランシェ,블랜치,74
2137,電動,전동,93
8342,マクナ,마그나,56
2455,美学,미학,49
6504,いう,iq.,68
11514,ps,추신,32
6394,ローズマリー,로즈마리,69
4758,文庫,종이 표지판,73
6270,ギネス,기네스,70
7660,腰を,허리,55
10446,戦場,싸움터,40
7885,湾曲した,구부러진,37
1481,ウイルスウイルス,바이러스 백신,95
11803,元,전,30
10293,酒,때문,41
2377,モンセニョー,몬시 조사,91
13893,すべき,~해야 한다,5
14300,手術,작업,6
9537,晩ごはん,저녁,47
9703,悲鳴,비명,38
12076,癌,암,28
9700,パロディー,풍자적 개작 시문,39
14367,画像,영상,6
11539,微妙,미묘한,32
9072,ケルン,쾰른,51
11173,ハンズ,한스,22
9948,末長,왼손잡이,44
3418,林業,임학,87
11904,第12回,제압,29
9257,レーサー,경주자,36
11546,サンダー,우뢰,31
13496,キャプテン,선장,13
6951,ビュイック,뷰익,65
810,サフラン,사프란,98
9021,ラグーナ,라구나,52
680,考古学者,고고학자,89
9550,南極大陸,남극,48
9346,宣言,선언,48
7373,priv,옥외 변소,62
12706,イエス,예수,22
6969,ペイズリー,페이즐리,65
10972,強化,강하게 하는 것,18
8936,インスペクタ,조사관,45
14328,導かれた,~ 주도의,10
12779,オート,자동으로,21
6575,芋,타오,63
9993,どこにでも,어디에나,44
10565,マスタング,무언가,36
9078,行き先,목적지,38
7820,リマインダー,알림,16
567,ジャコビト,jacobite.,97
7244,od od,오딘,63
3366,湿り,촉촉한,87
12967,wine.,웨인,19
11159,russ,러스,36
13776,旅行,관광,10
3381,ミニチュア,미니어처,61
9560,ホットスパー,무모한 사람,48
3789,大テント,큰 천막,85
11760,インテリア,내부,30
3132,モンタグ,몬타나무,88
11945,11番,십일,29
11007,ビルマ,버마,37
10935,オーク,오크,33
727,典礼,전례,96
5452,漢の,칸자,75
6567,貸す,빌려주 다,45
6222,プルトニウム,플루토늄,70
12760,br,브래드,21
3565,困惑した,어찌할 바를 모르는,43
9412,バチカン,바티칸 궁전,49
12924,ジェイリー,어치,16
13969,コントロール,제어,11
10558,人工的な,인공의,38
12041,新鮮な,신선한,28
10927,プラスチック,플라스틱,36
1299,注釈,주석을 달았다,83
11958,se,제자,29
10004,カルト,숭배,42
10272,上海,상하이,42
2525,靱帯,인대,79
11833,星座,별자리,29
4373,方法論,방법론,72
5702,ビズ,빌딩,73
4801,パンドラ,판도라,77
961,バーバー,베르베르 사람,91
2489,hermaphrodite.,남녀 추니,90
11301,fo,...에 대하여,35
12271,disband,해산,25
2884,ヒポクラテス,히포크라테스의,89
11233,決闘,결투,34
10321,靴屋,화공,41
7111,戦利品,전리품,62
5131,葉の,엽조,77
4646,照会,추천,75
7295,スポケーン,스포 캔,63
11538,系統的,체계적인,28
9692,150年代,제 십오,46
6637,フッ素,플루오르,66
12485,削減,줄인,17
11890,象徴,상징,28
8896,hol hol,잡목 숲,52
9910,バジャ,바하,45
9812,鈴木,스즈키,45
5905,カートマン,카트 만,72
4751,スザンヌ,suzanne.,79
5138,重量挙げ,역도,76
11413,圧延,구르는,18
5567,壊れやすい,부서지기 쉬운,72
9074,散らばっている,뿔뿔이 흩어진,45
8037,機転,재치,23
8068,部族の,부족의,58
10512,ロック,갇혀있다,27
8281,s s,시어스,54
1814,ガレン,갈렌,94
1172,ケローナ,켈로 나,97
8208,甲虫,딱정벌레,55
12240,分けた,각기 다른,22
8996,ささやく,속삭임,32
9361,ヤク,야크,49
12925,ボビー,순경,19
12455,エンジニア,엔지니어,7
6104,不正な,무단으로,71
4491,ヒステリー,히스테리,81
5193,幻覚発生,환각성,68
4895,ヘレフォード,여기에 들었다,78
12523,squ,분대,19
14035,油,기름,16
8737,軽蔑,비웃음,53
10602,ダイアナ,다이아나,39
6943,シナトラの,sinatra,65
955,直交,구적법,97
5916,うぬぼれが強い,헛된,72
13910,以来,~부터,7
2083,シマ,cima.,93
8097,ヴィリジアン,viridian.,58
6516,水力発電,수력 발전,68
9544,サミー,미국 병사,48
8587,アリュズム,애타 주의,55
12843,慌てずに,팬,20
4433,尊敬される,...을 기쁘게 생각하다,15
7931,ココナッツ,코코넛,59
8772,ルーテル,루터 신봉자,50
6775,シーフリフライ,siegfried.,66
2619,tak,수취인,62
13636,タグ付けされた,태그가 붙은,7
10414,ブロードバート,브로드 웨이,41
12640,カウンター,카운터,21
11116,亜熱帯,아열대,36
4264,臭素,브롬,79
11472,エルサレム,예루살렘,33
13227,製造,생산,8
5673,モデム,모뎀,70
7765,叫ぶ,외침,39
2848,piccadilly,피카딜리,89
11273,シリアル,연속물,32
14333,販売,판매,21
7047,ラテンニー,라틴계,61
5877,信用,불신,55
12024,ブラーの,바지,28
7229,キネチーティック,kinetic.,59
12777,subst,부위,21
11767,危害,피해,12
9330,メーカー,만드는 사람,41
7590,アイスランドの,아이슬란드 어,29
10735,冒涜,욕설,28
11657,デュラーム,더럼,31
446,特徴的に,uncharacteristicly,88
4787,ウッドベリー,우드 베리,79
12333,抵抗,저항,22
4832,シャトー,샤토,79
12971,星,행성,17
11196,13,열셋,35
7842,コダック,코닥,60
8927,船員,선원,39
6647,認知,인지,62
9795,軍曹,중사,44
2656,ミッドタウン,미드 타운,90
9647,ザンビア,잠비아,47
6217,馬術,승마자,66
12281,ゆっくり,천천히,26
9513,バートレット,바틀렛,48
1234,伝達します,전반,17
5818,medus,메두사,72
5357,アルカディア,arcadia.,75
12386,オファー,권하다,14
739,直交する,직교,94
3885,にきび,좌창,84
970,カロリー,칼로리,88
5771,ビーズ,염주,63
3913,末日,최후의 일,84
11334,all,앨런,34
7045,算術,산수,63
10373,スワットしました,구타,41
7109,魅力的な,매력적인,43
3164,退手,ret.,88
3426,タウソン,towson.,87
1333,never never,절반,96
10714,八つ目,그대로,38
10808,育った,성장했다,38
4748,素敵,아주 멋진,79
6740,パイナップル,파인애플,66
11429,就任,취임식,30
6397,逃亡者,도망자,56
12399,ジャズ,재즈,25
11914,バーミンガム,버밍엄,29
11553,もっと強く,더 힘들어,32
177,懐胎,노스탤지어,100
4149,バックパック,배낭,67
7600,試合,합,60
4749,フィリス,phyllis.,79
8409,廃絶,폐지 의자,53
4675,ib.,도형,79
4680,未解決,undisclosed,79
12869,fl,플러스,20
8639,刺st,찌르기,53
13498,戦士,전투기,12
11987,高速道路,고속도로,25
9012,ゆがんで,rly.,52
2811,サイドカー,사이드카,88
9525,ホームレスの,노숙자,41
5718,泣き身,휘그당,62
9056,モザンビーク,모잠비크,51
12754,パーセンテージ,백분율,21
4283,スコーピオン,전갈,45
8859,大阪,오사카,53
14159,働く,일하고 있는,5
10664,ちゃんちゃん,씨족,36
12529,ハワイ,하와이,24
12710,ドナルド,도널드,22
12406,肥満,지방,24
12008,ベアリング,베어링,12
5814,依存,신뢰,73
13139,朝,아침,17
8297,ビルダー,빌더,50
12169,馬の,엄마,25
14385,資産,자산,38
6868,バニラ,바닐라,66
12151,国内の,국내의,26
5878,熟した,익은,71
12389,バイアス,편견,25
11618,ヨークシャー,요크셔,32
3111,ラチェット,래칫 휠 장치,88
14195,それよりも,꽤,6
2054,ガリバルディ,가리발시,93
6766,巡礼者,순례자,59
11887,ウイルス,바이러스,29
13055,安全性,안전,18
7319,フリンジ,주변,61
8382,悲劇的な,비참한,51
6418,炭素質,탄소 질,69
14117,範囲,범위,10
10833,催促,에미레이트,36
5493,スローン,슬로안,75
6958,無形,만질 수 없는,65
14055,来る,오다,7
13256,ビクトリア,빅토리아,16
353,ビリヤード,당구,93
10864,出力,산출,37
4687,縁石,연석,68
14078,政治的,정치적인,10
380,アルカン,알칸스,96
5124,梅,자두,76
14513,ノート,노트,6
8827,プジョー,푸조,53
13772,緑,초록,11
1825,スピロ,스피로,94
288,顕微鏡,현미경 사용,100
13369,ソフトウェア,소프트웨어,15
4374,weak.,가장 약하다,81
11306,アージュン,arjun.,35
3467,シェイラ,쉴라,87
6900,会計,회계,5
1726,瞬間,동시에 일어나는,80
10513,噂,소문,35
8480,impl impl,시사점,41
7883,商業的に,상업적으로,9
13343,ちゃんと,제대로,15
8419,カブ,순무,56
10700,crop crop,자른,26
6512,サルモネラ,살모넬라,68
312,ジンピー,체육관,100
1626,カロラス,캐롤러스,94
3608,ヒラメ,가자미,82
11136,パソコン,...에 pc.,36
13021,悪の,사악한,18
8289,マーカー,채점자,50
12153,満足させる,풀다,15
10544,ループ,고리,34
3,まとまりのない,비정질,100
10670,ベンチ,벤치,37
12374,電気の,전기 같은,17
6664,胃腸.,위장관,67
4474,眠いです,졸린,81
3768,エキゾチック,이국적인,81
1191,吸入,흡입,73
8987,打ち間違え,오식,31
13697,スティーブン,스티븐,12
1621,ポリスチレン,폴리스티렌,94
7585,サイエロ,코뿔소,62
6310,モロッコ語,모로코 사람,65
13281,主要な,일 순위,15
14301,懸念,우려,9
94,デオメジス,디오메이즈,100
9998,マドン,미치게 하다,44
6871,クローン,복제본,38
13202,ベトナム,베트남,17
6941,アッバの,아프바,39
8197,不在,결석 한,57
8523,盆,봉의,55
10566,台北,타이페이,40
808,摩耗した,푸시 슈,98
5958,thr,죽,71
10333,dar,대표자,41
6098,マリアナ,마리아나,71
10582,ナポレオン,나폴레옹,36
13189,化学,화학적 인,16
3772,ハートランド,핵심 지역,83
10728,pred,예측 한 것,24
11396,スキップ,건너 뛰기,29
13976,それなし,없이,5
7404,手首,손목,59
12747,友達,친구,13
12934,フレッド,프레드,20
698,ヤワエ,야훼,98
1118,海洋学,해양학,97
7955,デュックの,덕에,59
4280,チップマンクス,다람쥐,61
9853,ヤーリー,예일 대학,45
5008,悲惨な,불행,77
14304,秋,떨어지다,12
73,centauri,센타 우리,100
1557,ビーム機,비머,95
3191,エン,찬양,88
9972,ts,제목의,44
121,スターチ,녹말,96
1528,膀胱,방광,95
3533,ラード,라드,86
7771,灯台,등대,59
3288,引き上げ,구제,64
10824,かみそり,면도칼,38
14289,機械,기계,9
13243,日曜日,일요일,16
13936,私たちの,우리의,5
11541,sing sing,싱,32
4971,bul bul,대대생,78
5928,ボローニャ,볼로냐,72
8912,mk,k,50
6273,オフセット,오프셋,65
14390,力,힘,8
5921,ドリス,doris.,70
9266,マルチネス,마르티네즈,50
10559,有権者,유권자,34
10369,代数,대수학,39
1142,ウォッチドッグ,지키는 개,95
9461,ノーベル,노벨,48
13874,そこには,거기,5
8445,杏里,anzac.,55
7409,ボヘミアン,보헤미아 사람,59
13557,横切って,가로 질러,13
5711,ent,entre.,72
294,無駄な,보람 없는,100
2533,ヒロイズム,영웅적 자질,91
11381,linebacker,라인 배커,29
994,スラブ,슬라브,89
9322,屋外,집 밖의,44
5202,ガラントリー,용감,76
1359,ダリアリー,달리아,96
3345,偽善,위선,87
763,ズッキーニ,서양 호박,98
6158,フォールアウト,낙진,70
7987,逐語的,바꾸기,59
7006,アシール,아실,64
13276,天気,날씨,15
7194,pres代,장로설,61
7105,オフィリア,ophelia.,64
3877,滑稽,활공,72
85,ドリームタイム,꿈꾸는 일,100
721,修正主義,수정주의,98
2301,疑う,의심 한 것,19
5854,イカルース,이카루스,72
10783,求める,찾는 것,24
8617,ムチーリ,평복,54
4717,オパール,오팔,79
11030,予備,예비의,37
11402,匂いのない,득점,34
13194,おー,오,17
1335,ビルボー,검,96
9582,マーサ,마르타,47
14460,p,피,9
4022,登録,레지스터,6
13606,リチャード,리처드,12
8919,エベレスト,에베레스트 산,52
14222,近く,가까운,10
13714,champ champ,챔피언,9
2384,リスツ,리스 츠,91
430,デイタン,aynan.,100
6786,主,주인들,15
8145,炎症,염증성,58
10731,悲しい,슬퍼,30
11124,印象,인상,22
13291,国家,국가,7
12746,到着した,도착했다,15
9725,惑星,지구의,46
12609,mil,밀,23
3550,管理者,경영자,86
4652,ボギー,보기,67
7597,スペード,스페이드,55
435,フランシウム,프랑크리,100
6208,エントロピ,엔트로피,70
3303,処方,처방,81
2937,有害な,해로운,77
5245,ムサラップ,쥐덫,76
12804,目,눈,15
544,ダイオキシン,다이옥신,99
8222,hun,파괴자,51
9090,衝撃的な,충격을 받았다,24
3595,農薬,농약,79
1970,ハードカバー,하드 커버,93
5502,ルカン,루칸,75
12853,サモア,사모아,20
9706,モーセ,모세,46
3639,ステンレス,스테인리스,86
2950,ピロリン,피 롤린,88
5680,一人の,캐피탈,74
9652,antic antic,예상했다,38
1375,ミノタウロ,minotaur.,96
7217,リース,리즈,63
760,パノプトカリー,포나 푸티큐어,98
12942,フィリップ,필립,19
10932,三角形,삼각형,36
14075,アクセス,입장,8
3781,deep deep,가장 깊은 곳에서,85
13383,埋め込む,구현하다,13
6261,有名な,뛰어나게,69
3083,潰瘍の,궤양,86
2052,フラクタル,프랙탈,88
13239,ブラジル,브라질,16
7787,ミッラード,밀라드,60
14448,なりました,~가 되었다,10
4084,ファーストボール,패스트볼,82
6985,ピカ,피카,65
3644,非営利,비영리 단체,86
1753,天頂,천정,93
3455,リザ,리자,87
5036,バージニア人,버지니아 사람의,70
10160,フェリックス,펠릭스,43
9452,主権者,주권자,48
12369,りんご,사과,24
6791,リズミカル,리드미네이션,66
9168,王位,왕좌,50
7630,眼底最新,외계인,60
111,subs子,생활,91
4399,無名の,무명,81
5146,ラグーン,라군,76
4446,アドオンの再,다시 추가,80
13563,建て,세워짐,13
11857,デバイス,장치,24
9959,ガーフィールド,가필드,44
7642,prel prel,전주곡,59
13499,純正,준,13
5933,フェイシャル,얼굴 마사지,72
12340,ムハンマド,무하마드,25
11297,カット,캣,33
11091,カーソン,카슨,36
12227,誕生,출생,13
1843,マラサ,마라 테라,94
11211,バーマント,버몬트,35
9797,ジュード,주드,46
1609,disp disp,상이,28
9676,ブリタニカ,브리타니카,47
5956,四重奏,사중주,70
8702,打倒,타도,52
2269,マジック,벨크로,92
1487,穴あけ,구멍 뚫기,72
13453,アーティスト,아티스트,12
8567,ゲットー,빈민가,51
2179,太平洋,샤하이,92
13749,追跡,길,9
4449,リターズ,리터,48
11078,劇的,극적인,30
8739,心理学,심리학,33
8359,邸宅,맨션,54
9603,栄養,영양물 섭취,45
4996,露出,듀잇,78
10805,反対に,반대하는 것,16
238,昼寝,선잠,81
5864,投資家,투자자,63
5621,矮小,난장일,74
10543,了解した,이해했다,40
3782,首領,선창자,85
13353,contrib,기리점,15
7797,thereof,그것의,60
11434,メチル,메틸,32
11168,言い訳,변명,34
2353,displ displ,불쾌,91
1986,不発,익숙하지 않은,93
13956,別の,또 다른,6
14175,保つ,유지하다,8
6090,足跡,발자국,67
11885,ケニー,케니,29
5464,反応器,반응기,69
2342,麺,국수,64
4390,ポリ,폴리,79
10091,gう,...을 낳았다,43
5443,公平,공평한,67
10587,わざわざ,신경 쓰다,31
8688,コショウ,피망,31
6695,前文,전문,67
10022,敬礼,공물,42
10177,境界,경계치,30
11177,シャトル,우주선,35
9606,セスピー,셋트,47
11265,北極圏,북극,35
1129,岡海,오카,95
10196,コネコンバック,코너백,42
3818,エトン,이튼,85
12959,価値,값,16
2473,接着剤,점착제,74
13869,そのような,그런,5
10613,マックスウェル,맥스웰,39
632,contr,고안하다,96
2180,ピクニック,피크닉,91
11842,生きている,살아있는,30
14412,ルール,규칙,7
785,堀,모아의,98
4976,グリアーナ,기아나나,78
10875,ネパール,네팔,38
9522,d.,댈러스,48
7737,ir,아이 닐,61
7673,ぴくぴく動く,바보,56
13653,イラク,이라크,12
2578,ウエストコート,양복 조끼,78
10247,measured measured,정확히 잰,18
11239,散文,산문,35
13831,彼らは,그들,6
4796,デュエット,이중주,72
10527,早急に,즉시,40
9046,フキサラマ,futurama.,51
759,デオドラント,탈취제,95
5218,トラベール,산고,75
9369,熱の,열의,48
2802,鼻の,비강,88
10062,失格,실격 처리,42
4234,ツイード,트위드,81
12748,スリの,sri.,22
3301,ペルソナ,페르소나,79
8642,スタッフォード,stafford.,54
4575,バイアスロン,바이어콘,80
1131,オカルト,신비한,71
7339,方位磁針,나침반,56
10905,カッパ,카파,38
11666,盗難,훔침,31
12582,デュの,뒤,23
13292,ヨルダン,요르단,16
12084,合成,작곡하다,22
12395,ほこり,먼지,25
4128,プロム,겁 많은,81
1627,亜麻,엷은 황갈색,94
6429,住宅,수여,10
13620,アフリカ人,아프리카 어,12
5879,ショーケース,유리 진열장,56
7238,ビスマルク,비스마르크,63
13128,紹介,소개,10
4336,アレゴリー,우화,80
3072,アーモンド,아몬드,86
10134,パプア,파푸아,43
6508,row row,마가목,68
6794,ムサーリー,무사한,66
9481,株式会社,공사,13
12411,クリーク,작은 만,25
8031,カトラー,칼 장수,59
14155,イギリス人,영국,9
14213,連合,노동 조합,10
13489,褒美する,초기,13
8877,下水,하수 오물,52
6726,召喚,소환 한 것,53
13040,シニア,상위,17
3778,電磁気,전자 기호,46
8863,森の,우디,51
10671,血まみれ,피의,39
2624,少尉,소위,88
480,モノマー,단위체,97
11629,サスカチュワン,서스 캐처 원,31
10346,温室,온실,41
13433,マット,매트,14
6376,evert,뒤집다,69
3286,神経,신경,51
11249,ダブリン,더블린,35
6326,坩堝,도가니,69
1512,ペナン,페낭,95
3698,下向きに,하향의,45
6855,ウィガン,위건,66
2518,婉曲主義,완곡 어법,87
78,乞食,거지,87
8921,沈む,침해,52
7670,レゲエ,레게,61
6275,ハイチアン,아이티 섬 사람,67
7688,居動,zo.,61
12999,わからない,알려지지 않은,19
8223,サフィックス,접미사,53
7299,モンテビデオ,몬테비데오,63
9065,涅槃,니르바나,51
1828,貨幣,주화,94
9003,ブラボー,브라보,52
8010,埋め込み,내장,56
3002,ツールボックス,공구 상자,88
3165,ケアーズ,kea.,87
9436,コペンハーゲン,코펜하겐,48
4780,再登録,루벤,79
5188,常緑樹,상록수,76
9643,判定,심판,44
3972,四半期に,계간지,83
10055,ポンティアック,폰티악,43
2314,喜ぶの,기쁘게 하다,86
4806,つめた,채워진 것,68
6738,保険料,프리미엄,64
13117,ジエゴ,디에고,17
1319,har然,하피,96
13197,pat pat,애국자,12
12225,続いて,그후,18
6809,レバー,지렛대,64
5121,ジエチルアミド,디 에틸 아미드,77
7042,認証,인증,40
9577,全国的に,전국적으로,47
6604,露,이슬,67
5862,輿入れ,정치원,72
10312,ign,불쑥,42
1343,サテン,공단,93
4108,ピアーリー,피아스,82
12632,水面,표면,22
7582,アクキナス,아쿠나나,62
3544,ホッキング,호킹,77
137,多孔質,다공성,100
465,捨て店,폐쇄기,97
1592,fin fin,자금을 조달했습니다,33
5907,脳頭,encephalon.,72
10138,ボス,사장,40
4148,ロードランナー,roadrunner.,74
284,レイ,lei.,100
14064,ポンド,파운드,32
7469,博し,엑스포,43
14162,その他,기타,5
10918,余波,여파,38
11489,似た,서로 같은,33
13835,誰が,who,6
13602,5番,다섯 번째,12
12229,不定的な,unjustified.,26
10621,求めた,찾았다,39
13785,シーランド,뉴질랜드,11
4099,コリンス,고린도,83
5589,醸造,양조,42
11316,ショルダー,어깨,30
8751,ac,아코르의,53
14515,シカゴ,시카고,11
7106,馬蹄長,편자,62
4752,aud aud,대담,79
11317,knock,노크를 두드리게하다,23
5094,アデン,aden.,77
14322,話し合い,대화,5
13370,エネルギー,에너지,15
13492,van,봉고차,13
14251,一度,한 번,9
9627,呪い,저주,41
3057,カードストック,cardstock.,88
12166,虚偽表示,허위 진술,23
8529,スレッター,쥐며느리,55
13190,人口,인구,15
9350,サハラ,사하라도,49
5797,半導体,반도체,69
7189,マリーナ,마리나,63
1899,セントロ,센트로,93
13571,様々,다양한,13
4453,スパニエル,스파니엘,80
1056,セリン,세린,92
14482,なぜ,왜,7
7761,骨格,골격,60
8720,中西部,중서부,53
12278,f,fb.,26
12120,歩道,자취,18
5041,気質,기질,70
10971,ジャッキー,jackie.,35
778,subs subs,가라 앉았다,77
11950,記念日,기념일,28
8072,メソジスト,감리교의,58
5470,アンコール,연주,72
13735,アルフ,alf.,12
11315,優れました,우수한,30
