ID,HINDI,SPAIN,INTERVAL
8727,बीटी,bt,52
6484,इंस्टॉल,instalar en pc,21
12668,टेरी,terry,22
5999,असंतोष का शब्द,gruñido,68
6860,बसता था,reside,17
12817,बर्लिन,berlina,20
12988,जांच सूची,lista de verificación,18
11643,आसियान क्षेत्रीय मंच,arf,30
7536,प्रोसेसर,procesador,53
4702,गैर जिम्मेदार,irresponsable,75
4857,छोटी नाव,esquife,74
10737,दर्द,dolor,29
11379,शाव,shaw,33
722,मन की मौज,gusano,95
2822,पीड़क,parásito,85
5741,यहूदा,judas,72
12695,बाढ़,inundación,13
6942,मुरग़ा,gallo,51
10467,नाद,nad,39
5983,एपोमैटॉक्स,appomattox,70
540,सर्टोरिरी,certiorari,99
14135,करने योग्य,dos,5
9046,फ़्यूचरामा,futurama,50
2142,रिक्तिका,vacuola,92
10094,डेमिर्गे,demiurgo,42
5260,कमियां,defectos,45
1221,प्रतिपूरक,compensatorio,96
8938,अंडे से निकलना,escotilla,48
12318,वाल्टर,walter,25
3706,एडीई,on,84
9295,हटाना,eliminar,15
392,श्राइवर,shriver,100
840,मार्जोरी,marjorie,98
4517,नाइट्रो,nitro,79
13638,निर्दिष्ट करता है,especifica,7
8574,लाइटर,encendedor,52
9863,मैकफेल,mcphail,44
9269,दीपक,lámpara,47
4176,लैनियर,laniero,82
9855,ऑक्सीडोरक्टेज,oxidoreductasa,44
13618,बातचीत,chat,12
3283,खंड,cláusulas,43
5175,लेसी,lácteo,75
6955,चुरा लेनेवाला,ladrón,64
10669,संपादकीय,editorial,34
11996,मुहर,sello,20
3483,बरानेत,baronet,78
10037,महसूस किया,percibido,39
13692,दौड़ना,corriendo,7
9140,क्रिसलर,chrysler,49
3339,छात्रावास,albergue,82
6900,जिम्मेदार,contabilizado,5
10274,चैपल,capilla,41
3901,टॉक,tocho,83
9938,खिचड़ी भाषा का,hipocresía,43
9821,नमकीन,salar,44
14200,कार्रवाई,acción,9
10190,कुल मिलाकर,en total,41
7956,बुखारेस्ट,bucarest,58
9628,गौरतलब है,notable,45
3064,चिमनी,chimenea,77
6472,हेमीज़,hermes,63
13689,मिशिगन,michigan,12
1593,आईएफएफ,iff,94
5285,शिंटो,sintoísmo,75
7696,शोक,luto,54
13305,अनुच्छेद,párrafo,14
10870,बंगाल,bengala,25
5469,आकृति परिवर्तन,redimensionado,65
10724,एम सी,mc,38
949,भूवैज्ञानिकों,geólogos,75
10101,सजे,vestido,25
13792,का,de,5
1218,मैको,mako,96
9138,वरीयता,prioridad,46
9105,टेडी,osito de peluche,50
14082,सैन,san,10
8913,क्लिप,acortar,37
10291,फ्लेमिंग,flamenco,41
8269,किराया,renta,45
4686,हर्स्ट,escuchado,78
7447,बेर्री,durry,62
2983,केंसिंगटन,kensington,88
192,एको,ako,100
631,काटा हुआ नहीं,sin cortar,99
3668,संदेहवाद,escepticismo,54
2093,दीनार,dinar,82
9835,जांच,consulta,41
4128,प्रॉम,paseo,80
8092,रोडे,montó,57
1403,जोड़ - तोड़,manipulaciones,38
11870,जेरेमी,jeremy,29
14473,दिखाया,mostrado,9
10822,मर्लिन,marilyn,37
8736,संचारित,transmitido,42
4891,स्लेड,slade,77
5430,टिकिया,mollete,72
4838,वाल्ला,walla,78
14381,प्रतिभूति,valores,12
5561,सीएसटी,cst,73
13022,फ़ोन,teléfono,17
10194,उपखंड,subdivisión,40
1423,टायरोसिन,tirosina,95
3845,प्रेस कक्ष,sala de prensa,84
3201,हिन,hino,87
769,गोशेन,goshen,98
7981,सफल होने के,triunfar,32
2094,ग्लिसरॉल,glicerol,92
7691,ज्यामितिक,geométrico,58
12119,प्रसार,circulación,23
2035,नर्सरी,guardería,92
6261,प्रसिद्धि से,famosamente,68
10400,स्प्रिंगफील्ड,springfield,40
12753,खिड़कियाँ,ventanas,11
2776,गुलिवर,gulliver,88
1252,प्रहसन,sketch satírico,85
1841,कैदियों,recluso,88
2709,भड़का,atormentado,54
5542,जीव रसायन,bioquímica,73
2077,सींग का बना हुआ,córneo,92
9386,बल्गेरियाई,búlgaro,45
13157,जीआईएफ,gif,17
9281,रिश्तों,relaciones,25
12710,डोनाल्ड,donald,21
3266,झांकना,dar un toque,70
4500,कैरन,carón,79
902,बीएसी,bacalazo,97
1192,रेमा,rhema,96
1033,उपेक्षापूर्ण,desafiante,97
2542,वालर,baller,90
8033,कार्यात्मक,funcional,20
5031,लयबद्ध,armónico,70
3902,दूर हो जाओ,aléjate,82
12665,अनिर्णित,dibujado,22
5462,टोरा,tora,73
9316,के सिवा,excluyendo,32
8612,कृत्रिम रूप से बालों को घुंघराला करना,marcel,53
10119,अतिमानव,superhombre,42
2877,विनोदपूर्ण,ingenioso,88
2045,राउंडअबाउट,rotonda,92
13627,उचित,adecuado,12
1447,प्रसाधन,baños,41
9236,शर्म की बात है,lástima,45
5919,देवता,deidad,61
4862,वैधानिक,estatutario,78
3069,बुनियादी बातों,fundamentos,32
9115,गलतफ़हमी,malentendido,42
5962,पुनः स्थापित करना,reintegrar,41
14431,मॉडल,modelos,12
2489,द्विलिंग,hermafrodita,89
3676,तत्त्व,tenor,79
8603,नॉर्डिक,nórdico,53
11833,तारामंडल,constelación,28
2034,कैथोड,cátodo,89
3362,उपजा,tallos,38
8840,विराम चिह्न,puntuación,47
2392,अज्ञेयवाद,agnosticismo,90
13543,दिया,dio,13
837,अधिक वजन,exceso de peso,98
6259,शपथ ली,jurado,69
3958,अचेतन,subliminal,82
2856,आश्चर्यजनक,asombroso,70
13938,शेयरों,comparte,6
10931,साज सामान,material bélico,37
1515,क़मीज़,camisa de señora,89
2188,फ़ोल्डर,carpeta,87
2837,देवदूत-संबंधी,apostólico,88
3105,घटक,ingrediente,68
7218,मुट्ठी,puño,52
8539,याचिका,petición,39
6253,मेथियोनीन,metionina,69
1806,डेपेशे,depende,93
8649,आयाम,dimensiones,39
9700,हास्यानुकृति,parodia,38
3067,उलझाव से,implícitamente,87
11565,ब्रदर्स,bros,29
11613,काई,musgo,31
4791,काम न करनेवाला,no ganado,78
2543,चपटी,aplanado,85
4305,ज़रूरत से ज़्यादा,superfluo,79
5169,पहचानने योग्य,reconocible,74
3684,मेड,medicina,84
798,चीनी मिटटी,porcelana,98
10970,विविध,misericordioso,36
9439,एंडोरा,andorra,47
13210,चुनाव,elecciones,9
13920,कहाँ,dónde,7
1631,योनी,vulva,94
12905,अरकंसास,arkansas,19
7305,नग्नता,desnudez,62
9248,आविष्कार,invención,29
5870,सिल्वरबैक,silverback,71
11887,वाइरस,virus,28
13942,तय करना,colocar,9
12600,आईपीएस,ips,22
9789,ईथरनेट,ethernet,44
5488,पसीना,sudor,67
11344,नितंब,culo,32
10395,पनडुब्बी,submarino,38
3708,हवाई जहाज़ का ढांचा,fuselaje,84
8179,बाख,llevar una vida de soltero,55
11352,दशमलव,decimal,30
5897,वीटो,veto,60
1770,लेन,layne,93
9062,बोतल,botella,39
667,सुनाई देने योग्य,audible,94
3952,एनपी,notario público,83
11084,खुदाई,minería,16
8635,मेंढक,sapo,52
3426,टॉसन,towson,86
6694,एक प्रकार का बाज़,esmerejón,66
13047,फिलीपींस,filipinas,13
11450,बीटा,beta,32
3217,कनॉट,connagua,87
6813,भूखा,hambriento,65
329,सारहीन,inmaterial,100
9205,नादान,muñequita,49
5882,दबा हुआ,comprimido,43
6680,ठगना,dulce de azúcar,66
10858,कामोद्दीपक चित्र,pornografía,37
8702,को उखाड़ फेंकने के,derrocamiento,51
10317,जावा,java,40
10423,टक्कर,colisión,38
9779,डेवोनशायर,devonshire,44
1606,बेचैनी,consternación,84
9597,चुरा,robo,30
14207,विशेष,especial,10
7384,कैडेट,cadete,45
13666,साम्राज्य,reino,12
7208,को प्रभावित करता है,afecta,9
12608,रेगिस्तान,desierto,21
7739,कुछ समय,un rato,59
12842,आरे,roger,15
10722,एम्मा,emma,38
554,धूमिल,neblinoso,99
469,चोरी,escabullido,50
11511,मलाई,crema,32
3931,कीबुत्स,kibutz,83
13785,न्यूज़ीलैंड,zelanda,11
530,स्टर्जन,esturión,98
2134,लांसडाउन,lansdowne,92
6972,गर्ने,gurney,64
448,जीवन नौका,bote salvavidas,95
3021,बाराकुडा,barracuda,86
11076,संगीतकारों,músicos,21
9515,पीएफ,pf,47
12808,हैरिसन,horrison,20
5799,रूढ़िवाद,conservatismo,72
7784,वर्दन,verdun,59
2608,से अधिक है,excede,89
13518,तल,fondo,13
5022,संलग्न करना,adjunto,70
7312,नेपियर,napier,62
12656,हंगरी,hungría,22
2554,परिश्रावक,estetoscopio,90
6306,तबाही,exterminio,60
8986,ए.बी.ए.,aba,48
9369,थर्मल,térmico,47
13898,कंपनियों,compañías,9
11528,फ़ाई,fi,31
9336,मलबा,escombros,48
261,फ्रीमेसंस,masones,92
12962,स्थान,ubicación,9
1906,धृष्टतायाँ,bromas,59
11624,म्यूचुअल फंड,mf,31
6054,पत्थर फेंकना,picotear,68
7434,लहज़ा,acento,52
11203,गर्व,orgulloso,35
12193,ध्यान दिए बगैर,independientemente,26
2582,एडीपी,adp,89
5726,अवास्तविक,irreal,71
7708,पोर्क्यूपिन,puerco espín,59
13479,मोड़,girar,9
9341,एनास्ट्रोफ़,anastrofe,48
8523,बॉन,breta,53
3434,ग्रहणशील,sensorial,85
11496,नैशविल,nashville,32
10163,संवाद,comunicar,8
134,लोम्बारड,lombardo,100
12932,बैल की आकृति का बारहसिद्धान्त,ñu,19
11832,मोंगो,mongo,29
3402,हेंगा,grada,83
6895,दस्ताने,guantes,42
13161,निश्चित रूप से,ciertamente,17
1709,टनीन,tanino,94
10714,गेल,gail,38
14434,आवश्यक है,requerimiento,6
1735,सुधारना,rectificar,65
11584,चर्चिल,churchill,31
2535,खत्री,khatri,90
4933,ग्रिल,parrilla,61
7781,फूल का खिलना,florecer,58
11872,स्वयंसेवकों,voluntarios,16
9290,चारा,alimento,39
10364,अपमान,insulto,21
3858,सड़ांध,putrefacción,77
5769,सुसंगत,coherente,62
13345,अभ्यास,práctica,12
2170,कौंसल,cónsul,61
1259,कोडांतरण,montaje,19
231,कलडीन,astrólogo,100
13412,स्पष्टवादी,franco,14
10248,विरोधी,hostil,30
7947,ऊंचाई,elevación,32
7770,खेद,arrepentirse,21
1859,निर्वाचिका सभा,cónclave,89
8496,घड़ी की कल,aparato de relojería,54
9509,वैनेसा,vanessa,47
12008,सहन करना,llevando,12
13581,भारतीय,indio,12
12636,किम,kim,22
11770,फ़िजी,fiji,29
11994,विस्तार,expandido,16
12543,अनुबंध,contrato,19
13943,बंद,apagado,8
4831,उन्मूलन,abolición,78
1777,डाह करना,celos,90
3686,छलरचना,fabricación,39
917,लेम्मा,lemma,97
5398,मठवासिनी,monja,64
6107,केंचुआ,lombriz,69
9335,आधे रास्ते,medio camino,48
10010,ओडिसी,odisea,43
7062,हज़ेन,hazed,63
5904,उत्तोलन,levitación,69
5895,मुकदमा चलाया,procesado,40
4055,बहाना,pretexto,80
10139,साधारण,ordinario,42
2745,कैंब्रियन,cambriano,88
1654,अंडकोश की थैली,escroto,93
13963,अपना,propio,7
3894,ओथेलो,othello,83
1907,शासकीय सूचना,comunicado,92
9226,भावुक,emocional,30
3954,व्यंगपूर्ण,satírico,52
3594,ओवरलैपिंग,superposición,55
1561,आश्रम,ermita,95
8513,बल्ब,bulbo,52
5308,लिपिड,lápido,74
4949,अराजकतावाद,anarquismo,74
3466,जारीकर्ता,editor,85
557,अवायवीय,anaerobico,99
458,बटाईदारी,sharecropropping,100
11521,पैंतालीस,cuarenta y cinco,32
11405,रोमियो,romeo,33
12592,अधिनियमों,hechos,9
7378,लाइसेस,lyases,42
7393,चित्रकला,retratar,35
4804,किसी का ध्यान नहीं,inadvertido,71
9148,पड़ाव,detener,36
5745,फिर से खोल दी,reabrido,60
3218,पराध्वनिक,supersónico,55
8974,प्रजातंत्रवादी,demócrata,14
4878,वाह,wah,77
7997,गरमागरम,incandescente,57
8333,एकत्र करनेवाला,coleccionista,49
4547,मेल्टन,melton,79
14441,आपूर्ति,suministrar,18
2575,मिलिटियामेन,miliciamen,90
9812,सुजुकी,suzuki,44
7358,मख़मली,terciopelo,61
10921,पिरामिड,pirámide,31
11817,एसीसी,accidente,29
10257,हथेली,palma,38
8541,हलकों,círculos,26
5174,योनि,vaginal,73
1035,श्रीवपोर्ट,shreveport,97
10902,बहिष्कार करना,boicotear,35
5223,बातूनी,hablador,75
12360,बर्फ,nieve,24
7515,बलाद,balada,54
9133,बैले,ballet,49
6678,चूना पत्थर,caliza,66
126,दोहरे चरित्र वाला,janus,100
11098,एंजाइमिकी,enzimología,35
822,दुर्गम,insuperable,98
14487,नवंबर,noviembre,6
453,अन्तराम,engrama,100
5078,बधाई,felicitaciones,76
5256,महारानी,emperatriz,74
2520,एटीएम,cajero automático,90
5237,हवाई कर्मी,tripulación aérea,50
9770,वियतनामी,vietnamita,45
10641,दोबारा मैच,revancha,38
8502,हिरासत,custodia,53
14220,समान,similar,10
4142,गहरे रंग,más oscuro,82
1396,टीआरटी,trt,95
6632,मारसैल,marsella,58
6633,पुनर्निर्माण करना,reordenación,54
436,गुंथर,guntero,100
1438,पेंटेकोस्ट,pentecostés,66
10789,उपकरण,herramientas,19
9310,मुख्यालय,con sede,16
13148,लापता,desaparecido,11
13463,जेड,z,13
11518,समाचार पत्रिका,boletin informativo,31
9251,टिन,estaño,48
9627,कोसना,maldición,39
6639,रणनीतियाँ,estrategias,30
11023,ज़ोर,énfasis,36
623,तारों से जड़ा,estrellado,99
583,जाइरोस्कोप,giroscopio,95
13068,होंडुरस,honduras,18
9287,काय,kay,48
9797,जूदास,juano,44
10941,लीमा,lima,36
1548,शॉर्टवेव,onda corta,95
8430,एक प्रकार की समुद्री मछली,pollock,54
13602,पांचवां,quinto,12
12618,केबल,cable,21
2976,उर्सा,ursa,63
14245,अतिरिक्त,adicional,6
3485,एक प्रकार का जहाज़,tortazo,62
10823,ध्यान केंद्रित,enfocado,28
13026,अशुद्धियों,inexactitud,18
12938,बंद किया हुआ,cerrado,10
2113,स्ट्रिपटीज़,estriptís,92
13184,हलकी हलकी,ligeramente,16
4551,उधर से,de allí,79
9461,नोबेल,nobel,47
181,नालोक्सोन,naloxona,100
8614,समुराई,samurai,53
13281,मुख्य,primario,15
452,ड्यूर,zurrar,100
7960,बेकर,becker,58
8567,यहूदी बस्ती,ghetto,50
6160,संकर्षण,tracción,69
2241,सूजाक,gonorrea,91
11560,घिसाव,tener puesto,22
8536,तारकीय,estelar,54
9481,कॉर्प,corp,13
13684,हराना,derrotar,11
8104,तस्वीरें,fotos,35
7934,घसियारा,esquilador,55
681,भविष्यव्दाणी,presagiar,90
