ID,HINDI,DEUTSCH,INTERVAL
3379,घटाना,verringern,48
14221,यूरोप,europa,5
1788,सोरा,sora,93
2956,पेरोल,parole,81
3604,कमला,raupe,82
13506,मेल,e-mail,12
12680,चोर,kessel,17
11446,अठारहवाँ,achtzehntel,32
11765,राल्फ,ralph,29
8617,सादी पोशाक,mufti,53
9348,डांटे,dante,47
461,समाधान करना,versöhnen,83
10958,अवशेष,reste,29
10315,रेत,sand,33
4723,गोलाकार,sphärisch,77
11287,फीता,band,26
11173,हंस,hans,21
12059,निशान,markierungen,7
10410,बनाने की प्रक्रिया,krea,39
8475,तब्दील,transformiert,25
4297,संस्कृत,sanskrit,80
12899,फुटबॉल,fußball,19
12794,टेड,ted,20
6403,मटिलिल,matilda,67
13737,जो,joe,11
4152,चौकी,vorposten,66
6086,विचिटा,wichita.,69
7049,चटनी,soße,62
7542,एलबीडब्ल्यू,lbw.,60
1546,पड्रे,pater,41
8138,बारहवीं,xii,56
4438,टुबा,tuba,78
3641,स्मरण पुस्तक,notizbuch,79
7862,नापसन्द,nicht mögen,50
12447,नेल्सन,nelson,23
4610,सीखा,gelernt,78
9551,दलाई,dalai.,46
8216,गधे,arschloch,52
1474,बिली,bilby,94
4502,स्टारशिप,raumschiff,79
7264,वफ़ल,waffel,58
9033,लेट,lieut,50
12743,मैक्स,max,20
3887,कासा,kasa,72
9787,सीएफ़,vgl,43
9693,चीता,gepard,43
2830,लालच,versuchungen,62
10438,उम,äh,39
6413,लोपेज,lope,62
8008,जेजी,jg,57
13717,कांग्रेस,kongress,12
11596,रेक्स,rex.,30
4300,डोंगी,kanu,70
9599,बूम,boom,42
6721,स्वाभाविक,inhärent,52
12954,चांदी,silber-,18
8993,स्लिपनॉट,slipknot,50
1996,बाउन,baun,92
6825,बिसाल,zwanziger jahre,13
1413,उपस्थिति पंजी,einschreibung,64
6305,फुहार,sprühen,57
13103,जीवनी का,biographisch,17
10850,किट,kit,35
3782,कैंटर,kantor,83
10833,अमीरात,emirate,35
3453,जमाना,jell.,85
10940,क्रेस्ट,kamm,34
9744,मॉन्सीयर,monsieur,44
11510,अर्नेस्ट,ernest,31
10416,प्रिंसटन,princeton,39
8907,ट्रेंटन,trenton,51
2919,कोबर्ग,coburg,88
3916,बलूत का फल,eichel,80
3183,चाल,list,87
415,मैक्सी,maxi,88
2193,मॅक्सिमा,maxima,91
9322,घर के बाहर,draussen,43
14000,उपयोगकर्ता,benutzer,5
11188,खाली,leer,32
11112,दौड़ के लिये कभी भी न उतारा गया घोड़ा,greif,34
5840,अस्पष्ट उच्चारण,kauderwelsch,71
11985,की गई,ki.,27
14409,सदस्य,mitglied,9
8262,निकलोडियन,nickelodeon,55
3663,डीईए,drogenfahndung,83
930,रसातल,abgrund,84
835,वाली,wali,98
13490,विचार,idee,12
9197,भंवरा,hummel,48
9010,पुनर्प्रारंभ करें,neu starten,40
1875,डाइमिथाइल,dimethyl,92
8204,सेसिल,zecil.,56
6210,इकिडना,echidna,68
13273,पेरिस,paris,15
3807,बर्नसाइड,brennen,83
626,इनवर्टेब्रेट,wirbellos,98
10521,गरीबी,armut,38
2495,डेबी,debbone,62
12754,प्रतिशत,prozentsatz,20
6680,ठगना,fudge,65
8644,भौगोलिक,geographische,32
12732,पूल,schwimmbad,19
4660,डेड,dade,78
9978,हाइलाइट,highlights,20
463,झूठ,falschheit,81
8810,पोल,polig,51
6959,एक प्रकार का कपड़ा,lackierung,62
1487,वेध,zähnung,71
11463,शस्त्रागार,arsenal,29
6559,सैनिक,trooper,53
4771,नेवला,mungo,77
4480,बराबरी,ausgeglichen,72
10828,कोका,koka,37
3412,प्लाईवुड,sperrholz,86
11600,नियमों,vorschriften,22
6394,रोजमैरी,rosmarin,67
10567,अनावश्यक रूप से,unnötigerweise,38
6674,रोडमैन,rodman,66
4177,ल्यूसीली,lucille,81
5948,हनोई,hanoi.,70
8927,नाविक,seemann,38
12642,मनोरंजन,unterhaltung,18
6923,यूनिक्स,unix.,64
1434,जाग,erwachen,92
1945,फर्मी,feliver,92
8118,दमा,asthma,56
3826,राना,rana.,83
5407,जाट,jat,73
8917,डू,doo.,50
812,सिक्किम,sikkim,98
12603,डेन्वर,denver,22
2888,सबीन,sabine,85
5689,तेईसवें,xxiii.,72
2568,इवा,iva,90
12548,हत्या,tötung,10
4478,हीर,heer,79
6603,ईथर,äther,61
2233,गोल्फरों,golfer,69
13312,फ्रांसिस्को,francisco.,15
12981,अनुसूची,zeitplan,12
217,बलास,ballas,100
6358,हवाई क्षेत्र,luftraum,68
811,उक्त,inbid,98
7584,एयरबस,airbus,60
14279,पंक्तियां,linien,8
13611,क्रिकेट,kricket,12
13243,रविवार,sonntag,15
4338,पहाड़ पर चढ़नेवाला,ikeman,80
1636,स्नेल,snell,94
12539,योग,summe,20
919,के दीवानों,buffs,71
935,दृढ़ लकड़ी,hartholz,96
1180,पिस्तौल शामिल,handfeuerwaffen,63
3294,बन,brötchen,53
8141,टोह,recon.,56
3937,उतरना,absteigen,37
7280,देव,anwenden,62
3336,तोप बन्दुक की विद्या,gunnery,86
11724,कोबरा,kobra,29
8692,पतुरिया,molly.,51
6447,बोर्नियो,borneo,67
312,जिम्पी,gympothek.,100
9187,क्लेरेंस,klaren,49
12840,सुनहरा भूरा रंग,auburn,20
2265,जूस,jus,91
10333,डीएआर,därne,40
8045,परमानंद,wonne,56
12846,उपकरण,ausrüstung,15
222,दूधिया रोशनी,flutlichter,97
9200,आनंद,vergnügen,47
154,बंधन,nexus,100
1842,हर रात को,nächtlich,93
3557,जमा करना,layup.,85
5022,संलग्न करना,beigefügt,70
6407,लौवर,louvre,67
9525,बेघर,obdachlos,40
1172,कलोना,kelowna,96
3014,पैट्रिस,patrice,88
8584,पासाडेना,pasadena,53
10349,प्लीमेट,plymouth,40
4220,फोरेंसिक,forensik,44
13253,चिंताओं,bedenken,9
5547,एपीएच,aph.,73
13003,रखा,gehalten,18
14038,श्री,herr,10
871,तारो,taro,97
10926,स्मारक,monument,33
2499,अल्प तपावस्था,unterkühlung,90
10700,फसली,zugeschnitten,25
14487,नवंबर,november,6
562,तलहटी,ausläufer,72
10624,समेकित,konsolidiert,31
1628,पिनहोल,pinloch,94
5249,हाथ के बल्लेबाज,hander,75
83,मैला करना,besudeln,99
3785,मिडशिपमेन,midshipmen,83
995,वोग,note,97
1826,ग्रिंच,grinch,93
13308,कोलोराडो,colorado,15
5122,मरता हुआ,fey.,75
6475,उद्यमी,unternehmer,61
8636,wolverine,vielfraß,31
1933,लूटेरा,rumtreiber,79
1948,खु,khu.,92
4777,संघवादी,unionist,67
7690,मूसलधार,torrential.,59
2843,ईसीबी,ezb,88
2378,ब्रेसलेट,armband,84
6016,चिपक जाती है,stöcke,21
9888,टीसी,tc.,43
8624,हरपीज,herpes,52
1529,मलाशय,rektum,94
1924,एग्रीगेटर,aggregator,25
3256,जंगली गुलाब,dornbusch,84
2791,बजाने,spielbar,88
11534,हेलेन,helen,31
12044,मिलवौकी,milwaukee,27
8919,एवेरेस्ट,everest,50
6055,ठेला,karren,69
7556,डब्ल्यू जी,wg.,60
3319,कंफेडेरसी,konföderation,86
3230,गारमेंट्स,kleider,60
2609,फूल,lis,31
6003,विलो,weide,66
5685,टाइकून,tycoon,71
7462,लोक-साहित्य,folklore,61
5042,भोंपू,piep,73
1789,ग्रीवा,zervikal,93
7652,फ्लेमिश,flämisch,60
6099,शरीर सौष्ठव,bodybuilding.,63
11531,कोहेन,kohlen,31
12639,ज्यादा से ज्यादा,maximal,21
482,समाधि-लेख,epitaph,99
8628,नारा,slogan,42
6944,समाप्त किया,abgeschafft,57
12940,किसको,dem,19
4002,तलाशी,fahndung,81
7725,भुगतान,zahlung,48
6607,बीएल,black,64
8702,को उखाड़ फेंकने के,sturz,50
12022,इंकार किया,bestritten,21
3741,अंकित किया,eingeschrieben,83
541,लंका का,sinhalesisch,99
1863,रग,rudge,93
7885,वक्र,gebogen,35
7164,फिर से बनाना,wieder aufbauen,46
5750,हैना,hanna,72
12132,किनारा,kante,21
1931,मूसलधार बारिश,hagel,88
3979,टॉर्चवुड,torchwood.,82
2632,तंत्रिका,nervös.,89
11249,डबलिन,dublin.,34
9593,आरएफ,rf,41
939,ट्रुप,truppe,93
3345,पाखंड,heuchelei,86
5740,पशुचिकित्सा,veterinär,72
5697,मीथेन,methan,72
4049,प्रावरण,provence,81
2771,क्लाइन,kline,87
1959,सिकुड़,geschrumpft,92
4582,लोट्टो,lotto,79
11079,दक्षिण-पूर्वी,südosten,35
6329,विंडवार्ड,nach wind,62
11706,फ़र्ग,fair,30
10459,महाकाव्य,epos,38
1613,लंका,ceylon,94
2072,कटोरा,kelch,90
3932,का उच्चारण करें,aussprechen,38
1030,यरबोरो,yarborough.,97
2962,सहोदर,geschwister,69
9879,क्रीमिया,krim,43
7307,आविष्कारक,erfinder,51
2105,एसएजी,durchhängen,83
7936,कंकड़,kies,57
11179,बरगद,banyan,34
1921,बलगम,schleim,92
4449,लीटर,liter,47
14400,प्रयास,bemühungen,6
10817,आवृत्ति,frequenz,34
3707,धूप का चश्मा,sonnenbrille,83
14326,अफ़सर,offizier,9
13686,मुद्दे,themen,7
2620,त्रिविम,stereoskopisch.,88
14291,एमएस,ms,32
6706,पार्थेनन,parthenon,65
6107,केंचुआ,regenwurm,69
11052,दास,sklave,29
1087,स्कंध,withern,82
13744,डिप्रेशन,depression,11
11033,गढ़ में सेना,garnison,32
13549,प्रारूप,format,10
11424,कैक्टस,kaktus,32
3904,सिफाका,sifaka,83
2526,हसिडिक,hassisch,87
4503,उल्का पिंड,meteorit,67
4270,निओलिथिक,neolithisch,81
997,लुगर,luger,97
2286,रोटार,rotor,89
7654,खोदा,gegraben,60
1796,जोड़ने,wiederversorgung.,88
700,किआओ,ciao.,98
5895,मुकदमा चलाया,verfolgt,40
4205,रेट्रो,retro,81
10455,पेप्सी,pepsi,39
11761,पुष्ट,sportlich,12
5187,क्रेमलिन,kreml,75
11177,शटल,pendeln,34
4583,गैंट,gant,79
7128,वैलेंटाइनियन,valentinian,62
9850,पहलवान,herkules,43
11061,गोलाबारूद,munition,35
9517,विक,vic.,46
5242,एकाश्म,monolith,67
6350,अलोहा,aloha.,68
6705,भूमि,ein land,65
8792,ज़ीउस,zeus,51
12244,प्रत्यय,affix,25
5579,एनवी,nv.,72
1700,निर्वासित,verbannt,75
5484,सुपरमार्केट,supermärkte,58
4889,अधिकार दिया गया,autorisiert,64
10866,पतन,ablehnen,13
14212,प्रभार,gebühren,14
10085,रियासत,barton,42
2413,पट्टा,sehne,88
9342,दंगाइयों,randschaft,47
7090,टीका,impfung,52
158,लीम्बो,limbo,100
1600,डायनेमो,dynamos,52
516,ग्वेर्नसे,guernsey,99
13661,मध्य,mitte,12
566,बाधित,barkkeepf,99
6917,विन,vingelt,64
6173,टेक्केन,tekken,69
11620,दया,ruth,30
11879,रु,rs.,28
2358,अलवणीकरण,entsalzung,90
6955,चुरा लेनेवाला,dieb,63
5609,गाली देना,giese,69
14435,जीत गया,gewonnen,7
7162,वीर,veer,56
13891,बनाना,machen,5
1601,खराद,drehbank,94
7267,लीमेरिक,limerick,62
1392,आरोपण,verhängung,95
8893,पोटोमैक,potomac,51
5826,डोमिनिक,dominique,71
4577,नापा,napa,79
10632,रिक्टर,richter,38
10043,मोनिका,monika,42
7380,वर्ग,sq.,61
11368,स्टौटर,staus.,33
8643,आशा,aussicht,39
9872,समलैंगिकता,homosexualität,35
1252,प्रहसन,sketch,85
7499,डेस्कटॉप,desktop,61
2142,रिक्तिका,vakuole,92
13777,स्पेन,spanien,11
11669,वीए,va.,29
1050,तोरि,torii,97
12524,जूलियन,julianisch,22
9625,ज्यामिति,geometrie,45
5984,कैमन,kaiman,68
11518,समाचार पत्रिका,newsletter,31
10583,सोल,seoul,38
11191,निर्वाचन,gewaltig,30
8154,रैक,gestell,41
3437,देगास,entgasen,86
12716,तकनीकी,technisch,15
8249,करों,steuern,23
10388,अंतरराज्यीय,amtieren,39
7367,मार्क्सवादी,marxistisch,57
11759,बिशप,bischof,28
5536,फटा,geknackt,32
2651,हीमोग्लोबिन,hämoglobin,89
12352,ब्रिस्बेन,brisbane,24
7512,ब्रोमो,bromo,61
7003,गिगाबिट,gigabit,63
3283,खंड,klauseln,42
10411,शिक्षा,moral-,30
8900,शहद,honig,50
12318,वाल्टर,walter,24
5693,मीठा पानी,süßwasser,72
2942,dandelion,löwenzahn,86
5295,सायन,sion.,74
2708,प्रधान देवदूत,erzengel,88
12817,बर्लिन,berlin,20
10725,जोर,laut,37
6084,हैश,hash,63
1739,तारों का,sternenlicht,91
975,उत्तेजित,aufstacheln,62
13389,वागर्स,wagger,14
12429,अनाथ,verwaist,22
12671,साथी,geselle,21
2974,मैगनोलिया,magnolie,84
8876,किनारे का जहाज़,untersetzer,49
6773,क्रोमैटोग्राफी,chromatographie,65
638,नंबत,nummern,99
12992,चित्र,diagramme,16
12934,फ्रेड,fred.,19
11886,बवेरियन,bayerisch,28
4082,एय,ay,82
6345,मर्सर,mercer,67
10348,क्षुद्र,belanglos,40
5072,चीनाटौन,chinatown,75
9936,व्यापक,breiter,43
11051,पशु,das vieh,35
6762,हाइड्रो,hydro.,65
12303,ब्रम्हांड,universum,7
4807,अंडे,laichen,41
3493,टिमटिमाहट,funkeln,85
5940,बरपा,anrichten,63
9160,वा,whain,49
6182,पालक,spinat,69
2275,अक्विला,aquila,91
4944,जियोनिस्ट,zionisten,40
591,सेप्टुआगिंट,septuagint,99
2728,मोरेल्लो,sauerkirsche,88
7985,थोपना,auferlegen,32
8793,डेटन,dayton,51
6796,सिम,sim,33
2244,टैसास,tarsus,91
12605,थाईलैंड,thailand,22
10909,रोचेस्टर,rochester,36
5549,निप्पॉन,nippon,73
1385,ट्राइक्लोरोथेन,trichlorethan.,95
2070,बरंगय,barangay.,92
8403,सिख,sikh,46
7044,पीड़ादायक,wund,58
11585,तापमान,temperatur,23
9127,टमाटर,tomate,45
13502,मंच,bühne,11
6975,जे एस,js.,63
11298,कमाल की,tolle,31
3974,लड़ाई का जहाज़,fregatte,77
1576,लोमड़ी की तरह का,foxy.,94
11439,हॉलैंड,holland,31
13377,पर प्रतिबंध लगा दिया,verboten,9
13194,ओह,oh,16
1263,प्रश्नावली,fragebogen,91
984,बोलो,bolo.,96
13771,लगभग,schon fast,11
12378,सम्मान,ehren,18
14375,क्षमता,fähigkeit,21
11313,एडॉल्फ,adolf,33
9425,सत्रह,siebzehn,47
8252,वू,woher,55
12326,श्रेणी,rangfolge,7
7113,यूक्लिड,euklid,62
12164,उठाना,aufzug,16
1234,बता देते हैं,vermittelt,16
7817,लूटपाट,plündern,47
628,छत का कमरा,dachkammer,99
10083,स्ट्रॉ,stroh,41
14242,मैक,mac,28
8908,पिछाड़ी,fanny,51
10019,कैबोट,kabot,42
13615,तागालोग,tagalog,12
10415,जूलियट,juliet.,39
8653,अनुकूलन,anpassung,31
14191,परियोजना,projekt,7
1459,दौड़ की प्रतियोगिता,regatta,92
14426,आवश्यकताएं,anforderungen,6
2220,विपत्तियों,plagen.,36
4196,न्यूरॉन,neuron,68
13645,मुकाबला,wettbewerb,10
3136,नट,roper,86
5118,कोनर,bekämpfe,74
8720,मिडवेस्ट,mittlerer westen,52
3762,चोप,hacken,61
1658,नादा,nada,94
13379,बंदूक,pistole,12
6749,मीयूज,masuse,65
11351,बड़े पैमाने पर,weit verbreitet,33
4276,अधोलोक,unterwelt,80
9922,श्रीमती,frau,10
2186,एक प्रकार की गाड़ी,shay.,79
10295,बागी,rebell,26
5424,अमोरी,emory.,73
4513,डार्बी,darby,79
792,इलेक्ट्रोलाइट,elektrolyt,94
2776,गुलिवर,gulliver,88
7360,यानतोड़क तोपें,flok,61
7976,अहंकार,ego,55
10799,गुण,eigenschaften,18
4622,नरमांस-भक्षण,kannibalismus,62
4561,सहमत होना,stimmte,68
8015,रबी,rabbi,55
4941,धोबीघर,wäscherei,76
8011,गणितज्ञ,mathematiker,42
11457,बाल्टिक,baltisch,32
7857,शिथिल,lose,28
3462,एयरोसोल,aerosol,80
6650,प्रयोग करने योग्य,verwendbar,62
9289,ज़ा,za.,48
5777,डीएलआर,dlr.,71
7746,उच्चारण,aussprache,56
4462,पीछे रह जाना,verzögerung,69
1003,सरदारों,warlords.,81
5939,बहुत शक्तिशाली,siebenfach,70
6654,अफ्रीकी,afro,65
5772,निचोड़,extrakt,35
5775,विभाजक,divisors.,66
14102,अधिकारी,offiziell,9
13769,समझ,verständnis,9
13881,इस्तेमाल किया गया,gebraucht,5
7216,पोस्तीन का,pelzig,62
10273,उत्तराधिकारी,nachfolger,38
933,सदोम,sodom,97
3114,तिल्ली,milz,86
6389,जेल,gel,64
8237,कालंबिन,akelei,55
9916,प्रावधानों,bestimmungen,36
7114,उभयचर,amphibie,62
9132,कटाव,erosion,49
12746,पहुंच गए,ist eingetroffen,14
5008,कष्ट,elend,75
10977,खुरदुरा,rauh,33
13115,मिस्र,ägypten,17
10241,नाई,barbier,40
13494,प्रश्नों,anfragen,12
2438,डैटसन,datsun.,87
7423,एंजेलीना,angelina,61
334,बेईमानी,unehrlichkeit,99
4575,बैथलॉन,biathlon,79
11153,मान्यता,erkennung,34
7822,रहस्योद्घाटन,offenbarung,47
325,हार्कन,harrycane,100
2285,स्नीकर्स,turnschuhe,88
130,इलेक्ट्रोस्टैटिक,elektrostatisch,88
5954,एबबेट्स,ebbets.,70
9884,अठारह,achtzehn,43
8540,बिज्जू,dachs,41
11875,दर्शन,philosophie,28
13364,क्षमा मांगना,sich entschuldigen,6
9946,सिय्योन,zion,43
8059,खीरा,gurke,56
10785,व्यावहारिक बुद्धि,gesunder menschenverstand,37
6533,वकालत,befürworter,66
720,हेकलर,heckler,95
10103,धागा,gewinde,36
7631,कोव,bucht,60
5012,साइक्लो,zyklo,76
6155,सर्फर,surfer,59
2774,डब्ल्यूडी,wd.,88
6859,रोजगार,beschäftigt,20
8215,टपीर,tapir,56
10045,प्रवक्ता,sprecher,42
3065,दासता,kabbala,87
5989,बर्र,barrel,57
9148,पड़ाव,halt,35
6740,अनानास,ananas,65
14459,खाता,konto,5
11066,बेतरतीब,nach dem zufallsprinzip,35
14161,अध्ययन,studie,16
3264,पेप्टाइड,peptid,84
11572,बरछा,lanze,30
11016,विस्टा,vista,36
249,न्यूजवीक,newsweek.,100
2126,उथल-पुथल,umbruch,88
6021,तैयार नहीं,unwillkürlich,70
2078,नाइट्रोजनवाला,literös,92
12582,ड्यू,duf,22
3973,सोनाटा,sonate,80
5458,गढ़,hochburg,63
1192,रेमा,rhema,96
12860,गिटार,gitarre,19
9699,कर्लिंग,curling,39
13533,जुआन,juan,13
4968,बुलबुल,nachtigall,76
13788,विश्लेषण,analyse,11
14109,जॉन,john,7
2059,पूर्वाभिमुख,eastbound.,92
1799,चिकनाई,schmiermittel,80
373,दाद,tinea,100
9764,शोरमैन,shoreman,44
6273,ओफ़्सेट,ausgleichen.,64
10063,क्वालीफायर,qualifikation,8
12329,अलास्का,alaska,24
9274,रॉटरडैम,rotterdam,48
11047,लीबिया,libyen,35
14421,चीज़,ding,8
14379,ओर,seite,10
4956,घोड़े की शक्ति,porzent,76
3002,उपकरण बॉक्स,werkzeugkasten,88
13755,ले,le.,10
11365,वर्षा वन,regenwald,33
13408,अंततः,letztlich,13
9418,पर्ची,unterhose,34
6892,फिजी,fidschianer,64
12175,बीवी,ehefrau,26
7839,झूठा,lügner,54
6867,तिरस्कार,verachtung,62
12975,सेवेन िवरित,im ruhestand,14
8738,कोमडर,kommodore,42
4646,रेफ़रल,verweisung,74
2472,बग़ल में,seitwärts,89
1688,क्रेफ़िश,flusskrebs,94
13397,बिल्ली,katze,13
7455,स्टीरियो,stereo,61
8288,उपरिकेंद्र,epizentrum,54
4193,मिटाना,anstriche,38
5401,सनकी,kurbel,68
11224,दृष्टि,vision,32
11072,चोरी हो गया,gestohlen,35
3315,ट्यूलिप,tulpe,85
12770,आनंदित,freudig,20
4358,सोया,soja,80
7068,बास वादक,bassist,62
5973,मेटर,materieren,70
6563,प्रोक्टर,proktor,66
931,तारककेंद्रक,zentriole.,97
12649,फिलिस्तीनी,palästinensisch,19
13358,सर्दी,winter,14
8340,ओलम्पिया,olympia.,55
12481,कांच,glas,21
14010,जाना,gehen,7
6226,बोका,boca,68
4107,स्लगर,slugger,77
13230,उड़ान,flug,14
10156,मिंग,mischung,39
11354,सूडान,sudan,33
8038,फास्फोरस,phosphor,57
6771,लालटेन,laterne,62
5755,हीड्रा,hydra,71
3066,होर्नर,horner,87
10664,वंश,clan,34
1326,मिनोन,minoan,95
12797,पायलट,pilot,16
2895,नेक्रोफ़ीलिया,nekrophilie,88
6192,मिटाने का काम,gelöscht,29
2225,ब्राह्मण,brahmane,77
7544,यथास्थिति,quo.,60
12479,सेन्ना,senne,23
12792,एल.पी.,lp.,20
10361,विंडसर,windsor,39
10826,मूंगा,koralle,36
3598,ऊपर की ओर लिखा हुआ,hochgestellte,82
6432,फ्लोरोसेंट,fluoreszierend,62
2571,सीमेंस,siemens,90
13406,घाटी,schlucht,14
11997,अंडरटो,sog,27
1885,स्वीडिश जहाज़,schwede,79
4531,फुलहम,fulham,79
13953,पीछे,zurück,7
12046,उपस्थिति,gegenwart,27
6508,रोवाण,eberesche,67
13261,विश्वकोश,enzyklopädie,15
14304,गिरना,fallen,12
11768,अब्राहम,abraham,29
7685,विकांट,viscount,59
10608,गांधी,gandhi.,38
4940,चुंगी लगानेवाला,steuerberater,76
388,बटेर,wachtel,98
2638,तीरंदाजों,bogenschützen,55
7581,वध,schlachten,53
9662,एफिल,eiffel,45
8708,चढ़ना,klettern,27
1471,गिलगाम्स,gilgamesh,94
1566,शाखा,zufluss,92
768,कैडमियम,cadmium,98
13605,पानी,wasser,12
507,एआरएक्स,arx,99
4850,डोनट,krapfen,73
13084,सिंगापुर,singapur,17
13295,कैथोलिक,katholisch,15
1187,अपवर्तन,brechung,82
11608,कोट,mantel,26
10546,बिस्तर,bett,37
6126,माला,girlande,68
12506,डीन,dean,23
6347,डिर,dir.,68
4097,स्कोटलैन्ड,lakeland,82
5935,हॉक,hoc.,70
6335,कुछ दस्तावेज़ीकृत,dokumentation,12
13768,अपने आप,selbst,11
4650,आईटीए,ita.,78
9565,बेट्टी,betty.,46
420,कीलाकार,keilschrift,100
13883,प्रणाली,systeme,8
3972,त्रैमासिक,vierteljährlich,82
9697,उफौ,ufo,43
432,अमानी,amani.,100
4996,डेविट,dewitt,76
10741,इकट्ठा,versammelten,23
3361,मिथाइलफेनाडेट,methylphenidat.,86
12650,टैम्पा,tampa,21
7175,जाति,gattung,62
3199,सेलेस्टे,celeste,87
3228,लापरवाही,fahrlässigkeit,65
2365,होरोलोजियम,horologium,90
2289,कमांडर,cdr.,91
2814,डीकार्बाक्सिलेज,decarboxylase,88
2272,बाउसर,bowser,91
6171,बेड़े,armada,68
7541,ज़ैरे,zaire,60
1329,परनाला,wasserspeier,92
3990,जब्त कर लिया,konfisziert,70
1351,कट्टरता,fanatismus,95
13432,बॉयलरप्लेट,kesselkesselplate,14
6980,हब,hub,59
7074,मोर्मोनों,mormonen,30
7119,नॉयर,noir,61
1204,गन्ना,zuckerrohr,96
10184,नीयन,neon-,41
149,तात्कालिकता,dringlichkeit,100
448,जीवन नौका,rettungsboot,95
2034,कैथोड,kathode,89
11219,बीआर,bred,34
9263,एलओसी,lok,48
13167,गोगो,los los,16
2567,लिथोग्राफी,lithografie,90
104,अनियोजित,unstet,100
1330,फ्रांस,frist,95
1506,तत्वावधान,ägide,94
3859,जीवित,überlebt,22
8086,जुरासिक,jurassisch,56
9125,लकड़ी का,hölzern,49
9821,नमकीन,saltine,44
10765,नियो,neo,37
4328,पैट्सी,sündenbock,79
9950,प्रथम अन्वेषक,pionier,35
1287,कच्चा पक्का,unentschieden,93
13544,ली,lee,12
12033,समुद्री डाकू,pirat,17
13222,ह्यूस्टन,houston,16
10968,डेलावेयर,delaware,36
5753,माफ कर दी,verzichtet,66
135,कस्टर्ड,vanillepudding.,100
11681,बस्ती,township.,29
260,स्माइलर,smiler,97
13526,सेवाएं,dienstleistungen,7
6122,घुड़सवार,kavalier,41
7781,फूल का खिलना,blühen,57
2502,पेल्हाम,pelham,90
8742,ध्वस्त,zerstört,48
856,ऊदल,udal,98
9781,त्रिकोणीय,dreieckig,44
11240,मिल्स,mühlen,24
3591,एक प्रकार का कीड़ा,gottesanbeterin,84
8222,हुन,hunne,50
1311,dachshund,dackel,95
11763,ल्यूक,luke,29
490,सिव,zivil,99
14213,मिलन,union,9
12009,साक्षात्कार,interview,21
11798,बढ़ रही है,wachsend,21
10394,डीडी,dd.,39
5674,चिनूक,chinook,70
877,मायावी,schwer fassbar,96
10885,कोयला,kohle,36
11007,बर्मा,birma,36
7078,प,sol,62
5561,सीएसटी,cst.,73
2987,आसानी से,überzeugend,88
10338,एमर्सन,emerson,40
14485,दयालु,art,13
12950,शुक्रवार,freitag,18
13698,संकेत,hinweise,12
