ID,FRENCH,ENGLISH,THEME,IMPORTANT
116,autrement,differently/ otherwise,adverbes utiles,
117,aveuglement,blindly,adverbes utiles,
118,beaucoup,a lot,adverbes utiles,
119,bêtement,foolishly,adverbes utiles,
120,bientôt,soon,adverbes utiles,
121,bizarrement,oddly,adverbes utiles,
122,brièvement,briefly,adverbes utiles,
123,bruyamment,loudly/ noisily,adverbes utiles,
124,calmement,calmly,adverbes utiles,
125,certainement,certainly,adverbes utiles,
126,clairement,clearly,adverbes utiles,
127,complètement,completely,adverbes utiles,
128,confortablement,comfortably,adverbes utiles,
129,considérablement,greatly,adverbes utiles,
130,constamment/ sans cesse,constantly,adverbes utiles,
131,correctement,correctly/ properly,adverbes utiles,
132,courageusement,courageously/ bravely,adverbes utiles,
133,couramment,fluently,adverbes utiles,
134,curieusement,curiously,adverbes utiles,
135,d’habitude,usually,adverbes utiles,
136,debout,standing,adverbes utiles,
137,délibérément,deliberately,adverbes utiles,
138,délicatement,daintily,adverbes utiles,
139,dernièrement,recently/ lately,adverbes utiles,
140,désespérément,hopelessly/ desperately,adverbes utiles,
141,difficilement,with difficulty,adverbes utiles,
142,doucement,softly/ gently/ quietly,adverbes utiles,
143,énormément,very much/ enormously,adverbes utiles,
144,ensemble,together,adverbes utiles,
145,ensuite,next/ then,adverbes utiles,
146,étonnamment,surprisingly,adverbes utiles,
147,évidemment,obviously,adverbes utiles,
148,exactement,exactly,adverbes utiles,
149,exceptionnellement,exceptionally,adverbes utiles,
150,exprès,on purpose,adverbes utiles,
151,extrêmement,extremely,adverbes utiles,
152,facilement,easily,adverbes utiles,
153,finalement,eventually,adverbes utiles,
154,fortement,heavily/ strongly,adverbes utiles,
155,franchement,frankly,adverbes utiles,
156,heureusement,fortunately,adverbes utiles,
157,honnêtement,truthfully/ honestly,adverbes utiles,
158,inutilement,unnecessarily,adverbes utiles,
159,jamais,never,adverbes utiles,
160,légèrement,lightly; slightly,adverbes utiles,
161,lentement,slowly,adverbes utiles,
162,librement,freely,adverbes utiles,
163,longtemps,for a long time,adverbes utiles,
164,malheureusement,unfortunately/ sadly,adverbes utiles,
165,mystérieusement,mysteriously,adverbes utiles,
166,n’importe où,anywhere,adverbes utiles,
167,n’importe quand,anytime,adverbes utiles,
168,naturellement,naturally,adverbes utiles,
169,normalement,normally,adverbes utiles,
170,nulle part,nowhere,adverbes utiles,
171,parfaitement,perfectly,adverbes utiles,
172,partout,everywhere/ all over,adverbes utiles,
173,patiemment,patiently,adverbes utiles,
174,peut-être,perhaps,adverbes utiles,
175,premièrement,firstly,adverbes utiles,
176,presque,almost/ nearly,adverbes utiles,
177,probablement,probably,adverbes utiles,
178,proprement,neatly,adverbes utiles,
179,prudemment,carefully,adverbes utiles,
180,quelque part,somewhere,adverbes utiles,
181,rarement,rarely/ seldom,adverbes utiles,
182,séparément,separately,adverbes utiles,
183,sérieusement,seriously,adverbes utiles,
184,silencieusement,silently,adverbes utiles,
185,simplement,simply,adverbes utiles,
186,souvent,often,adverbes utiles,
187,strictement,strictly,adverbes utiles,
188,toujours,always,adverbes utiles,
189,tout de suite,immediately,adverbes utiles,
190,tranquillement,quietly,adverbes utiles,
191,vraiment,really/ truly,adverbes utiles,
192,accompagner,to accompany,adverbes utiles,
193,s’étendre / s’étaler,to spread out,verbes action et mouvements,
194,accélérer,to accelerate,verbes action et mouvements,
195,applaudir,to applaud,verbes action et mouvements,
196,atteindre / rejoindre,to reach,verbes action et mouvements,
197,augmenter / récolter,to raise,verbes action et mouvements,
198,avaler,to swallow,verbes action et mouvements,
199,avancer,to advance,verbes action et mouvements,
200,bailler,to yawn,verbes action et mouvements,
201,boire,to drink,verbes action et mouvements,
202,bondir / sauter,to leap,verbes action et mouvements,
203,bouger / se déplacer,to move,verbes action et mouvements,
204,chercher / rechercher,to look for,verbes action et mouvements,
205,chuchoter,to whisper,verbes action et mouvements,
206,cligner des yeux,to blink,verbes action et mouvements,
207,construire,to build,verbes action et mouvements,
208,crier,to yell,verbes action et mouvements,
209,danser,to dance,verbes action et mouvements,
210,déplacer (quelque chose),to move something,verbes action et mouvements,
211,donner un coup de pied,to kick,verbes action et mouvements,
212,échapper,to escape,verbes action et mouvements,
213,embrasser,to kiss,verbes action et mouvements,
214,enseigner,to teach,verbes action et mouvements,
215,escalader / grimper,to climb,verbes action et mouvements,
216,esquiver,to dodge,verbes action et mouvements,
217,flotter,to float,verbes action et mouvements,
218,franchir (quelque chose),to get over something,verbes action et mouvements,
219,frapper,to hit / to punch,verbes action et mouvements,
220,glisser,to slide,verbes action et mouvements,
221,grossir / devenir gros,to get fat,verbes action et mouvements,
222,hausser les épaules,to shrug,verbes action et mouvements,
223,hurler / crier,to scream,verbes action et mouvements,
224,lécher,to lick,verbes action et mouvements,
225,mâcher,to chew,verbes action et mouvements,
226,mordre,to bite,verbes action et mouvements,
227,nager,to swim,verbes action et mouvements,
228,partir / quitter,to leave,verbes action et mouvements,
229,passer,to pass,verbes action et mouvements,
230,perdre du poids,to lose weight,verbes action et mouvements,
231,plier,to bend,verbes action et mouvements,
232,plonger,to dive,verbes action et mouvements,
233,pointer,to point,verbes action et mouvements,
234,porter / emporter,to carry,verbes action et mouvements,
235,poursuivre,to pursue,verbes action et mouvements,
236,pousser,to push,verbes action et mouvements,
237,ramasser,to pick up,verbes action et mouvements,
238,ramener / rapporter,to bring back,verbes action et mouvements,
239,ramper,to crawl,verbes action et mouvements,
240,reculer,to back off,verbes action et mouvements,
241,regarder,to watch,verbes action et mouvements,
242,renifler,to sniff,verbes action et mouvements,
243,réparer (quelque chose),to fix (something),verbes action et mouvements,
244,respirer,to breathe,verbes action et mouvements,
245,retourner / revenir,to return,verbes action et mouvements,
246,rêver,to dream,verbes action et mouvements,
247,rouler,to roll,verbes action et mouvements,
248,s ‘éloigner,to move away,verbes action et mouvements,
249,s’accroupir,to crouch/ to squat,verbes action et mouvements,
250,s’allonger / se coucher,to lie down,verbes action et mouvements,
251,s’approcher,to approach,verbes action et mouvements,
252,s’évader,to evade,verbes action et mouvements,
253,sauter,to jump,verbes action et mouvements,
254,se garer,to park,verbes action et mouvements,
255,secouer,to shake,verbes action et mouvements,
256,sentir,to smell,verbes action et mouvements,
257,siffler,to whistle,verbes action et mouvements,
258,souffler,to blow,verbes action et mouvements,
259,soulever,to lift up,verbes action et mouvements,
260,suer / transpirer,to sweat,verbes action et mouvements,
261,suivre (quelqu’un),to follow (someone),verbes action et mouvements,
262,traîner,to drag,verbes action et mouvements,
263,visiter,to visit,verbes action et mouvements,
264,accueillant,welcoming,verbes action et mouvements,
265,admirable,admirable,adjectifs utiles,
266,agacé,annoyed,adjectifs utiles,
267,âgé (e),elderly,adjectifs utiles,
268,agréable,pleasant,adjectifs utiles,
269,aimable,kind,adjectifs utiles,
270,amer,bitter,adjectifs utiles,
271,amical,friendly,adjectifs utiles,
272,amusant,fun,adjectifs utiles,
273,ancien,former,adjectifs utiles,
274,attentif,attentive,adjectifs utiles,
275,banal,banal,adjectifs utiles,
276,bas,bottom,adjectifs utiles,
277,beau/ bel/ belle,beautiful,adjectifs utiles,
278,bête,beast,adjectifs utiles,
279,bizarre/ étrange,weird/ strange,adjectifs utiles,
280,blessé,wounded,adjectifs utiles,
281,bon,good,adjectifs utiles,
282,bon marché,inexpensive,adjectifs utiles,
283,bonne santé,soundness,adjectifs utiles,
284,bouché,corked,adjectifs utiles,
285,bronzé,tanned,adjectifs utiles,
286,brusque,abrupt,adjectifs utiles,
287,bruyant,noisy,adjectifs utiles,
288,calme,calm,adjectifs utiles,
289,capable,capable,adjectifs utiles,
290,captivant,captivating,adjectifs utiles,
291,caractériel,character,adjectifs utiles,
292,carré,square,adjectifs utiles,
293,cassé,broken,adjectifs utiles,
294,catastrophique,catastrophic,adjectifs utiles,
295,célèbre,famous,adjectifs utiles,
296,chaleureux/ amical,warm/ friendly,adjectifs utiles,
297,chanceux,lucky,adjectifs utiles,
298,charmant,charming,adjectifs utiles,
299,chaud,hot,adjectifs utiles,
300,cher,dear,adjectifs utiles,
301,clair,clear,adjectifs utiles,
302,classique,classic,adjectifs utiles,
303,collant,tights,adjectifs utiles,
304,coloré,colored,adjectifs utiles,
305,comestible,edible,adjectifs utiles,
306,commercial,commercial,adjectifs utiles,
307,commun,common,adjectifs utiles,
308,compact,compact,adjectifs utiles,
309,compatissant,compassionate,adjectifs utiles,
310,complexe,complex,adjectifs utiles,
311,confiant,trusting,adjectifs utiles,
312,confortable/ agréable,comfortable/ pleasant,adjectifs utiles,
313,content,content,adjectifs utiles,
314,convaincant,convincing,adjectifs utiles,
315,convenable,decent,adjectifs utiles,
316,convivial,user-friendly,adjectifs utiles,
317,correct/ bon,correct/ good,adjectifs utiles,
318,coupable,guilty,adjectifs utiles,
319,courageux,brave,adjectifs utiles,
320,court,short,adjectifs utiles,
321,crédible,credible,adjectifs utiles,
322,culturel,cultural,adjectifs utiles,
323,curieux,curious,adjectifs utiles,
324,dangereux,dangerous,adjectifs utiles,
325,dégoûtant,disgusting,adjectifs utiles,
326,délectable,delectable,adjectifs utiles,
327,délicieux,delicious,adjectifs utiles,
328,démocratique,democratic,adjectifs utiles,
329,déprimé,depressed,adjectifs utiles,
330,dernier,latest,adjectifs utiles,
331,désagréable,unpleasant,adjectifs utiles,
332,déterminé,determined,adjectifs utiles,
333,différent,different,adjectifs utiles,
334,disparu,missing,adjectifs utiles,
335,divers,miscellaneous,adjectifs utiles,
336,doué,gifted,adjectifs utiles,
337,doux,sweet,adjectifs utiles,
338,drôle,funny,adjectifs utiles,
339,dur,hard,adjectifs utiles,
340,dynamique,dynamic,adjectifs utiles,
341,éblouissant,dazzling,adjectifs utiles,
342,écologique,ecological,adjectifs utiles,
343,économique,economic,adjectifs utiles,
344,efficace,effective,adjectifs utiles,
345,effrayant,creepy,adjectifs utiles,
346,égoïste,selfish,adjectifs utiles,
347,électrique,electrical,adjectifs utiles,
348,électronique,electronics,adjectifs utiles,
349,élégant,elegant,adjectifs utiles,
350,éloigné,remote,adjectifs utiles,
351,encombrant,cumbersome,adjectifs utiles,
352,énergique,energetic,adjectifs utiles,
353,énervé,angry,adjectifs utiles,
354,ennuyant,boring,adjectifs utiles,
355,énorme,huge,adjectifs utiles,
356,enthousiaste,enthusiastic,adjectifs utiles,
357,entier,integer,adjectifs utiles,
358,épais,thick,adjectifs utiles,
359,épicé,spicy,adjectifs utiles,
360,épouvantable,dreadful,adjectifs utiles,
361,équivalent,equivalent,adjectifs utiles,
362,étonné,astonished,adjectifs utiles,
363,étroit,narrow,adjectifs utiles,
364,évident,obvious,adjectifs utiles,
365,exaltant,exhilarating,adjectifs utiles,
366,exaspéré,exasperated,adjectifs utiles,
367,excellent,excellent,adjectifs utiles,
368,excité,excited,adjectifs utiles,
369,excusable,excusable,adjectifs utiles,
370,exemplaire,copy,adjectifs utiles,
371,extra moelleux,extra soft,adjectifs utiles,
372,faible,low,adjectifs utiles,
373,fatigant,tiresome,adjectifs utiles,
374,fatigué,tired,adjectifs utiles,
375,faux,fake,adjectifs utiles,
376,fiable,reliable,adjectifs utiles,
377,formidable,great,adjectifs utiles,
378,fort,strong,adjectifs utiles,
379,fou/ fol/ folle,crazy,adjectifs utiles,
380,fragile,fragile,adjectifs utiles,
381,frais,fees,adjectifs utiles,
382,fréquent,frequent,adjectifs utiles,
383,froid,cold,adjectifs utiles,
384,furieux,furious,adjectifs utiles,
385,généreux,generous,adjectifs utiles,
386,gentil,nice,adjectifs utiles,
387,gigantesque,gigantic,adjectifs utiles,
388,gros/ grosse,big,adjectifs utiles,
389,haut,top,adjectifs utiles,
390,heureux,happy,adjectifs utiles,
391,historique,history,adjectifs utiles,
392,honnête,honest,adjectifs utiles,
393,horrible,horrible,adjectifs utiles,
394,humide/ mouillé,wet,adjectifs utiles,
395,idéal,ideal,adjectifs utiles,
396,identique,identical,adjectifs utiles,
397,idiot,idiot,adjectifs utiles,
398,illégal,illegal,adjectifs utiles,
399,illimité,unlimited,adjectifs utiles,
400,immobile,stationary,adjectifs utiles,
401,impliqué,involved,adjectifs utiles,
402,important,important,adjectifs utiles,
403,impossible,impossible,adjectifs utiles,
404,impressionnant,impressive,adjectifs utiles,
405,imprévisible,unpredictable,adjectifs utiles,
406,incapable,incapable,adjectifs utiles,
407,inconnu,unknown,adjectifs utiles,
408,incroyable,amazing,adjectifs utiles,
409,indépendant,independent,adjectifs utiles,
410,injuste,unjust,adjectifs utiles,
411,innocent,innocent,adjectifs utiles,
412,inquiet,worried,adjectifs utiles,
413,insignifiant,insignificant,adjectifs utiles,
414,insuffisant,insufficient,adjectifs utiles,
415,insupportable,unbearable,adjectifs utiles,
416,intelligent,intelligent,adjectifs utiles,
417,intenable,untenable,adjectifs utiles,
418,interdit,prohibited,adjectifs utiles,
419,intéressant,interesting,adjectifs utiles,
420,international,international,adjectifs utiles,
421,inventif/ inventive,inventive,adjectifs utiles,
422,irrésistible,irresistible,adjectifs utiles,
423,jaloux,jealous,adjectifs utiles,
424,jeune,young,adjectifs utiles,
425,joueur,player,adjectifs utiles,
426,lâche,coward,adjectifs utiles,
427,large,broad,adjectifs utiles,
428,légal,legal,adjectifs utiles,
429,léger,light,adjectifs utiles,
430,lent,slow,adjectifs utiles,
431,local,local,adjectifs utiles,
432,loin,far,adjectifs utiles,
433,long,long,adjectifs utiles,
434,louable,commendable,adjectifs utiles,
435,lourd,heavy,adjectifs utiles,
436,malade,sick,adjectifs utiles,
437,maladroit,awkward,adjectifs utiles,
438,malheureux,unfortunate,adjectifs utiles,
439,mauvais,bad,adjectifs utiles,
440,méchant,bad guy,adjectifs utiles,
441,méfiant,wary,adjectifs utiles,
442,merveilleux,wonderful,adjectifs utiles,
443,mignon/ mignonne,cute/ cute,adjectifs utiles,
444,minable,crummy,adjectifs utiles,
445,mince,thin,adjectifs utiles,
446,minuscule/ infime,tiny,adjectifs utiles,
447,moderne,modern,adjectifs utiles,
448,moelleux,soft/ mellow,adjectifs utiles,
449,mondial,worldwide,adjectifs utiles,
450,mort,death,adjectifs utiles,
451,mortel,lethal,adjectifs utiles,
452,motivé,motivated,adjectifs utiles,
453,moyen/ moyenne,average,adjectifs utiles,
454,muet,mute,adjectifs utiles,
455,mûr/ mature,ripe/ mature,adjectifs utiles,
456,nécessaire,necessary,adjectifs essentiels en,
457,négligeable,negligible,adjectifs essentiels en,
458,nerveux,nervous,adjectifs essentiels en,
459,nombreux,numerous,adjectifs essentiels en,
460,nostalgique,nostalgic,adjectifs essentiels en,
461,nouveau,new,adjectifs essentiels en,
462,nul,void,adjectifs essentiels en,
463,occupé,occupied,adjectifs essentiels en,
464,officiel,official,adjectifs essentiels en,
465,optimiste,optimist,adjectifs essentiels en,
466,ordinaire,ordinary,adjectifs essentiels en,
467,original,original,adjectifs essentiels en,
468,paresseux,lazy,adjectifs essentiels en,
469,passable,passable,adjectifs essentiels en,
470,passionné,passionate,adjectifs essentiels en,
471,pauvre,poor,adjectifs essentiels en,
472,pénible,tedious,adjectifs essentiels en,
473,persévérant,persevering,adjectifs essentiels en,
474,pertinent,relevant,adjectifs essentiels en,
475,pessimiste,pessimist,adjectifs essentiels en,
476,petit,little,adjectifs essentiels en,
477,peureux/ peureuse,shy,adjectifs essentiels en,
478,phénoménal,phenomenal,adjectifs essentiels en,
479,pire,worst,adjectifs essentiels en,
480,plein,full,adjectifs essentiels en,
481,politique,policy,adjectifs essentiels en,
482,pollué,polluted,adjectifs essentiels en,
483,ponctuel/ à l’heure,punctual/ on time,adjectifs essentiels en,
484,populaire,popular,adjectifs essentiels en,
485,positif,positive,adjectifs essentiels en,
486,possible,possible,adjectifs essentiels en,
487,pourri,rotten,adjectifs essentiels en,
488,pratique,practice,adjectifs essentiels en,
489,précieux,valuable,adjectifs essentiels en,
490,précis,precise,adjectifs essentiels en,
491,premier,first,adjectifs essentiels en,
492,privé,private,adjectifs essentiels en,
493,prodigieux,prodigious,adjectifs essentiels en,
494,profond,deep,adjectifs essentiels en,
495,prudent,cautious,adjectifs essentiels en,
496,public,public,adjectifs essentiels en,
497,puissant,powerful,adjectifs essentiels en,
498,rare,rare,adjectifs essentiels en,
499,ravi,delighted,adjectifs essentiels en,
500,réaliste,realistic,adjectifs essentiels en,
501,récent,recent,adjectifs essentiels en,
502,recyclé,recycled,adjectifs essentiels en,
503,religieux,religious,adjectifs essentiels en,
504,remarquable,remarkable,adjectifs essentiels en,
505,rempli,filled,adjectifs essentiels en,
506,responsable,responsible,adjectifs essentiels en,
507,riche,rich,adjectifs essentiels en,
508,romantique,romantic,adjectifs essentiels en,
509,salé,salty,adjectifs essentiels en,
510,satisfaisant,satisfactory,adjectifs essentiels en,
511,satisfait,satisfied,adjectifs essentiels en,
512,sauvage,wild,adjectifs essentiels en,
513,sec,sec,adjectifs essentiels en,
514,secret,secret,adjectifs essentiels en,
515,séduisant,attractive,adjectifs essentiels en,
516,sérieux/ sérieuse,serious,adjectifs essentiels en,
517,silencieux,silencer,adjectifs essentiels en,
518,similaire,similar,adjectifs essentiels en,
519,simple,simple,adjectifs essentiels en,
520,sincère,sincere,adjectifs essentiels en,
521,sociable,sociable,adjectifs essentiels en,
522,solide,solid,adjectifs essentiels en,
523,solitaire,lonely,adjectifs essentiels en,
524,sombre,dark,adjectifs essentiels en,
525,souriant,smiling,adjectifs essentiels en,
526,spacieux,spacious,adjectifs essentiels en,
527,spécial,special,adjectifs essentiels en,
528,spécifique,specific,adjectifs essentiels en,
529,splendide,splendid,adjectifs essentiels en,
530,sportif/ sportive,sporting/ sporty,adjectifs essentiels en,
531,stupide,stupid,adjectifs essentiels en,
532,super,super,adjectifs essentiels en,
533,superbe/ magnifique,superb/ magnificent,adjectifs essentiels en,
534,superficiel,superficial,adjectifs essentiels en,
535,superstitieux,superstitious,adjectifs essentiels en,
536,supplémentaire,additional,adjectifs essentiels en,
537,supportable,supportable,adjectifs essentiels en,
538,surpeuplé,overcrowded,adjectifs essentiels en,
539,surpris,surprised,adjectifs essentiels en,
540,talentueux,talented,adjectifs essentiels en,
541,temporaire,temporary,adjectifs essentiels en,
542,terrible,terrible,adjectifs essentiels en,
543,têtu,stubborn,adjectifs essentiels en,
544,tolérable,tolerable,adjectifs essentiels en,
545,total,total,adjectifs essentiels en,
546,toxique,toxic,adjectifs essentiels en,
547,traditionnel,traditional,adjectifs essentiels en,
548,travailleur,worker,adjectifs essentiels en,
549,triangulaire,triangular,adjectifs essentiels en,
550,triste,sad,adjectifs essentiels en,
551,troublant,troubling,adjectifs essentiels en,
552,typique,typical,adjectifs essentiels en,
553,unique,unique,adjectifs essentiels en,
554,usé,used,adjectifs essentiels en,
555,vantard,bragger,adjectifs essentiels en,
556,vaste,extensive,adjectifs essentiels en,
557,vieux/ ancien,old,adjectifs essentiels en,
558,visqueux,viscous,adjectifs essentiels en,
559,vrai,real,adjectifs essentiels en,
560,vulgaire,vulgar,adjectifs essentiels en,
561,vulnérable,vulnerable,adjectifs essentiels en,
562,un bouquet,a bouquet,adjectifs essentiels en,
563,un noeud papillon,a bow tie,amour et mariage,
564,une mariée,a bride,amour et mariage,
565,une demoiselle d’honneur,a bridesmaid,amour et mariage,
566,une caresse,a caress,amour et mariage,
567,un compliment,a compliment,amour et mariage,
568,un couple,a couple,amour et mariage,
569,un tribunal,a court of law,amour et mariage,
570,une déclaration d’amour,a declaration of love,amour et mariage,
571,un cadeau,a gift/ a present,amour et mariage,
572,une petite amie,a girlfriend,amour et mariage,
573,un verre de champagne,a glass of champagne,amour et mariage,
574,un invité,a guest,amour et mariage,
575,un coeur,a heart,amour et mariage,
576,un voyage de noces,a honeymoon trip,amour et mariage,
577,un mari,a husband,amour et mariage,
578,une lettre d’amour,a love letter,amour et mariage,
579,une histoire d’amour,a love story,amour et mariage,
580,un partenaire,a partner,amour et mariage,
581,une bague,a ring,amour et mariage,
582,un discours,a speech,amour et mariage,
583,un costume,a suit,amour et mariage,
584,une cravate,a tie,amour et mariage,
585,un smoking,a tuxedo,amour et mariage,
586,un mariage,a wedding,amour et mariage,
587,un gâteau de mariage,a wedding cake,amour et mariage,
588,une cérémonie de mariage,a wedding ceremony,amour et mariage,
589,une robe de mariée,a wedding dress,amour et mariage,
590,une alliance,a wedding ring,amour et mariage,
591,des fiançailles,an engagement,amour et mariage,
592,une bague de fiançailles,an engagement ring,amour et mariage,
593,l’apéritif,appetizers,amour et mariage,
594,beau/ joli,beautiful/ pretty,amour et mariage,
595,divorcé,divorced,amour et mariage,
596,des fleurs,flowers,amour et mariage,
597,l’amitié,friendship,amour et mariage,
598,sa femme,his wife,amour et mariage,
599,je t’aime,i love you,amour et mariage,
600,je suis amoureux de toi,i’m in love with you,amour et mariage,
601,un coup de foudre,love at first sight,amour et mariage,
602,marier,marry,amour et mariage,
603,joli,nice/ pretty,amour et mariage,
604,l’amour physique,physical love,amour et mariage,
605,l’amour platonique,platonic love,amour et mariage,
606,célibataire,single,amour et mariage,
607,le copain,the boyfriend,amour et mariage,
608,le fiancé,the fiancé,amour et mariage,
609,le premier amour,the first love,amour et mariage,
610,le costume du marié,the groom’s suit,amour et mariage,
611,les jeunes mariés,the newlyweds,amour et mariage,
612,la réception,the reception,amour et mariage,
613,l’amour vrai,true love,amour et mariage,
614,la saint valentin,valentine’s day,amour et mariage,
615,des vœux de mariage,wedding vows,amour et mariage,
616,faire l’amour,to make love,amour et mariage,
617,flirter,to flirt,amour et mariage,
618,séduire,to seduce,amour et mariage,
619,signer,to sign,amour et mariage,
620,sortir avec quelqu’un,to date someone,amour et mariage,
621,tomber amoureux,to fall in love,amour et mariage,
622,une abeille,a bee,amour et mariage,
623,arroser les fleurs,to water the flowers,arbres plantes jardinage,
624,cueillir des fleurs,to pick flowers,arbres plantes jardinage,
625,de l’ail,garlic,arbres plantes jardinage,
626,de l’aubépine,hawthorn,arbres plantes jardinage,
627,de l’épinard,spinach,arbres plantes jardinage,
628,de l’herbe,grass,arbres plantes jardinage,
629,des haricots,beans,arbres plantes jardinage,
630,des haricots verts,green beans,arbres plantes jardinage,
631,des légumes,vegetables,arbres plantes jardinage,
632,des lentilles,lentils,arbres plantes jardinage,
633,des mauvaises herbes,weeds,arbres plantes jardinage,
634,des pois,peas,arbres plantes jardinage,
635,des pois chiches,chickpeas,arbres plantes jardinage,
636,du chèvrefeuille,honeysuckle,arbres plantes jardinage,
637,du houx,holly,arbres plantes jardinage,
638,du lierre,ivy,arbres plantes jardinage,
639,du lilas,lilacs,arbres plantes jardinage,
