ID,RUSSIAN,HINDI,INTERVAL
11247,копья,स्पीयर्स,30
11908,необычный,असामान्य,25
8952,дана,दाना,51
5103,звание,पछताना,76
12584,отец,पिता,21
5592,долорес,डोलोरेस,68
8454,желанный,इच्छित,27
12860,гитара,गिटार,19
4670,участники,सहभागी,78
12398,весьма,काफी,24
6688,гуэльф,guelph,66
11981,скота,स्कोटिया,28
14487,ноябрь,नवंबर,6
7836,сбои,विफलताओं,21
14239,база,आधार,8
12019,оксфорд,ऑक्सफ़ोर्ड,28
1789,шейный,ग्रीवा,93
1845,засекание,बौने,93
9561,карри,करी,42
7951,предпоследний,अंत से पहले,58
12952,момент,पल,17
8610,виноград,अंगूर,43
2021,фторид,फ्लोराइड,80
7257,хадж,हज,62
5900,телегариатор,टेलि,71
6964,мюр,मुइर,64
3981,праздник,दावत,81
13870,большинство,अधिकांश,7
9273,вырубка леса,वनों की कटाई,48
372,перки,सुविधाएं,96
6307,эзра,एजरा,69
1968,фанд,दुग्ध,93
13801,сказал,कहा,8
6026,кришна,कृष्णा,70
2872,эластичность,लोच,73
3902,уходи,दूर हो जाओ,82
11539,тонкий,सूक्ष्म,32
5079,учиться,साफ़,76
2160,оговорщик,बातूनी आदमी,88
3895,ацетон,एसीटोन,83
8147,вилка,कांटा,40
7658,посылка,मेलर,60
8335,доминирование,प्रभुत्व,16
1562,матта,मत्ता,95
12601,эквивалентно,समकक्ष,21
11846,фактор,फ़ैक्टर,22
37,изнасилование,बलात्कार,32
10178,мик,मिक,42
13118,оон,संयुक्त राष्ट्र,17
6367,сифилис,उपदंश,68
1599,затвердевать,कठोर बनाना,72
10738,наемный,काम पर रखा,28
3961,дебилы,बेवकूफों,48
7296,балканы,बलकान,52
11605,жанр,शैली,26
2931,самый дальний,सब से अधिक दूर,88
10489,крыша,छत,37
2867,за бортом,जहाज़ के बाहर,88
1430,градус,ऐच्छिक,44
3421,ковалентный,कोवलेंट,86
3255,цирконий,zirconium,87
10550,сар,खोज एवं बचाव,39
13849,u,यू,6
1176,доблестный,वीरतापूर्ण,65
9033,леетие,लेट,51
13855,последний,अंतिम,6
2826,трижды,तीन बार,88
10156,минь,मिंग,40
12330,тяжело,भारी,25
13284,8.,8,16
6652,мелочи,चाक,64
7218,кулак,मुट्ठी,53
9298,клиент,ग्राहक,39
2811,сидячий,एक प्रकार का मादक द्रव्य,88
4952,славян,स्लाव,77
14084,двигаться,कदम,8
2833,гобелен,टेपेस्ट्री,88
404,пальмира,खजूर का वृक्ष,100
8128,недоступен,अनुपलब्ध,56
9035,пруссия,प्रशंसा,51
721,ревизионизм,संशोधनवाद,98
7482,разоружение,निरस्त्रीकरण,62
8940,выставка,तसलीम,51
9929,честно говоря,ईमानदारी से,44
2410,тауранга,टॉरंगा,90
862,творчество,सैसी,95
13310,совет,परिषद,15
13305,пункт,अनुच्छेद,14
7872,бесконечно,असीम,26
6703,немо,निमो,66
2068,мученик,शहीद,61
14362,видео,वीडियो,10
10997,вурена,नहीं थे,37
5972,раковина,हौज,50
3102,сокращать,सिकोड़ना,70
9022,береговая линия,समुद्र तट,50
2228,teal,टील,91
8718,шляпы,सलाम,26
738,земляные земляные,पृथ्वीवासी,96
6761,промо,प्रोमो,66
8456,милый,प्यारा,49
11360,как-то,किसी न किसी तरह,33
12322,звуки,आवाज़,12
746,маоист,माओवादी,93
12263,храм,मंदिर,24
5059,винни,विन्नी,77
7005,акустический,ध्वनिक,59
12642,развлечение,मनोरंजन,19
3376,резак,काटने वाला,79
13474,наконец,आखिरकार,7
808,путч,क्रान्ति,98
10327,кг,किलोग्राम,41
1942,лазарь,लाजास्र्स,93
10984,небеса,स्वर्ग,35
12588,альберт,अल्बर्ट,23
3988,цитоплазма,कोशिका द्रव्य,81
7054,убедить,राजी,49
7489,подчеркнул,पर बल दिया,45
6253,метионин,मेथियोनीन,69
8573,хаббл,हबल,54
10861,кокс,कॉक्स,37
14141,должный,देय,6
3422,оружитель,शस्रशाला,82
12346,беспорядок,गड़बड़,19
13761,земной шар,धरती,11
10268,тамил,तामिल,41
1426,буй,बांधना,82
8622,уши,कान,35
8240,аллона,अलो,56
13690,деньги,धन,12
13567,соревнование,स्कॉट,13
12377,campbell.,कैम्पबेल,25
4710,фауна,पशुवर्ग,79
233,кото,कोटो,99
14398,дата,तारीख,6
11853,викинги,वाइकिंग्स,23
8700,мерримак,मेरिमैक,53
12717,отправить,भेजना,15
1449,повторно используется,पुन: उपयोग,59
9194,нетронутый,बरकरार,50
13865,мы,हम,5
14063,отделение,विभाग,8
2868,далер,दलेर,88
8838,храбрый,बहादुर,22
13205,теннесси,टेनेसी,16
9565,бетти,बेट्टी,47
12186,меркурий,बुध,26
11636,сравнивать,तुलना करना,11
8136,кинжал,कटार,55
10581,бобс,बोबेट,39
5202,галантерея,शौर्य,75
4983,этель,इथेल,77
1736,брахма,ब्रह्मा,93
11198,похороны,अंतिम संस्कार,34
13736,республика,गणतंत्र,12
10248,враждебный,विरोधी,31
11205,манга,मंगा,35
321,кохлеар,कर्णावर्ती,100
7708,дикобраз,पोर्क्यूपिन,60
12781,сессия,सत्र,18
10810,жертва,त्याग,37
5245,музена,चूहादानी,75
6332,stm,एसटीएम,68
10778,провинциальный,प्रांतीय,38
7237,saunders,सॉंडर्स,62
573,азотный,नाइट्रिक,99
11552,логотипы,लोगो,11
10436,замещенный,एवजी,21
13640,не удалось,अनुत्तीर्ण होना,10
1422,трансцендентно,ट्रान्सेंडैंटल,69
9361,як,याक,48
2123,антитанцкий,टैंक रोधक,92
12540,губернатор,राज्यपाल,20
10098,анальный,गुदा,42
9503,йемен,यमन,47
9000,отключение,अंधकार,48
12106,ai.,ऐ,8
7052,пиза,पीसा,64
483,поливинил,polyvinyl,99
41,изготавливание,शब्दाडंबर,100
2694,заварочный чайник,चायदानी,89
11742,император,सम्राट,29
10506,сегодня вечером,आज की रात,39
5547,aph,एपीएच,74
8133,пегас,कवि की उमंग,57
9666,абсурдный,निरर्थक,44
4211,хватает,ग्रैब्स,39
2050,боеголовка,वारहेड,75
10481,поп,पीपी,39
6045,биом,बायोम,70
1498,криль,क्रिल्ल,95
11717,харви,हार्वे,30
11106,едва,मुश्किल से,36
8839,несомненно,अभ्यस्त,52
1413,зачисление,उपस्थिति पंजी,65
6306,уничтожение,तबाही,60
7861,античный,एंटीक,49
6747,осуждение,की निंदा की,55
12673,заговор,षड़यंत्र,21
223,keeler,कीलर,100
10469,каналы,चैनलों,15
6029,опус,ओपुस,70
12421,остин,ऑस्टिन,24
8204,сесил,सेसिल,57
4485,эпилепсия,मिरगी,80
12847,подтверждать,पुष्टि करना,12
7103,вымерший,दुर्लभ,43
6146,sta.,स्टेशन,70
11026,maru,मारू,36
788,пего,पोगो,98
10948,варшава,वारसा,37
10728,предсказанный,भविष्यवाणी की,23
500,фаск,सामुकारी,99
11400,warner,वार्नर,33
5909,борз,हिम-शिला,71
10659,премьерфорство,premiership,38
5847,внутренняя часть,इंटरनेशनल,72
14392,части,पार्ट्स,8
6405,крема,क्रोमवेल,68
13293,необходимо,ज़रूरी,15
682,увязшийся,फंस गया,70
4963,аннексия,राज्य-हरण,52
3881,концептуальный,वैचारिक,74
2917,чиба,चिबा,88
3975,техники,तकनीशियनों,55
6113,катастрофический,आपत्तिजनक,54
13968,управление,प्रबंध,9
6448,к кхмерам,खमेर,68
13765,грузия,जॉर्जिया,11
561,спаржа,एस्परैगस,99
2736,крякать,नीम हकीम,88
7372,симптомы,लक्षण,58
1276,готы,गोथ,54
12250,листья,पत्तेदार,26
5935,hoc,हॉक,71
9034,мелон,मेलॉन,51
12508,дннис,डेनिस,23
11772,бразильский,ब्राजील,29
706,на плаву,बचाए,98
10546,кровать,बिस्तर,38
1214,лагер,बीर,95
6623,давить,स्क्वाश,63
437,амига,अमिगा,98
1747,торс,धड़,92
11951,перепись,जनगणना,28
8098,подбирать,पिक अप,56
1456,беспомощный,मजबूर,90
8135,высылка,निष्कासन,51
5974,горелка,बर्नर,70
2435,кислотность,अम्लमेह,90
4165,ziggurat,ज़िगुराट,82
9511,эрин,आयलैंड,47
8556,судебная власть,न्यायतंत्र,54
1473,обуздать,साज़,87
5726,нереальный,अवास्तविक,71
5363,гидроксид,हीड्राकसीड,75
14424,особенно,विशेष रूप से,11
4424,посадка,सेंटो,75
11762,капот,हुड,28
12975,на пенсии,सेवेन िवरित,14
4186,estadio.,एस्टेडियो,82
10177,границы,सीमाओं,29
8249,налоги,करों,24
3077,типография,टाइपोग्राफी,88
12327,оружие,हथियार,14
5373,индокитай,इंडोचीन,75
7356,вырожденный,degenerated,53
12264,углерод,कार्बन,24
4448,джозефина,जोसफिन,80
3332,плоскость,फ्लैटवर्म,87
14494,лос -,लॉस,38
11871,злонамеренный,दुर्भावनापूर्ण,23
3004,бурбон,बर्बन,86
4464,евразийский,यूरेशियन,80
3595,пестицид,कीटनाशक,79
3046,fila.,फिला,88
7007,скат,stingray,61
10018,буэнос,ब्यूनस,40
13663,луи,लुइस,12
11665,мейсон,मकान बनाने वाला,29
541,сингальский,लंका का,99
11233,дуэль,द्वंद्वयुद्ध,33
8076,плата за проезд,किराया,45
8794,саратога,साराटोगा,52
12204,мусорное ведро,बिन,25
14295,следующий,अगले,5
2929,дофамин,डोपामाइन,88
13756,рок,चट्टान,11
14143,открыть,खुला,8
7250,надоедорос,पड़ेगा,62
7911,энциклопеда,विश्वकोशीय,58
3277,эл,हेड,87
8016,интервал,मध्यान्तर,43
7062,оправдатель,हज़ेन,64
11062,сербский,सर्बियाई,36
5585,брежнев,ब्रेजनेव,73
5744,неопытный,अनुभवहीन,72
3550,управленческий,प्रबंधकीय,86
6853,тудор,टुडोर,65
12091,бас,बास,27
5534,олимп,ओलिंप,74
2011,разочаровывать,निराश,30
6580,рамон,रामन,67
12878,типы,प्रकार,7
6639,стратегии,रणनीतियाँ,30
3948,саркастический,व्यंग्यपूर्ण,79
5555,самсара,संसार,74
12702,переписать,पुनर्लेखन,17
7750,вывоз,प्राप्त वस्तु,44
5049,туфцы,गुच्छे,74
10289,амир,अमीर,41
13307,писал,लिखा था,15
2822,вредный,पीड़क,86
3131,зевать,जंभाई,84
3720,солдачи,टामी,84
9379,неубедительный,दुविधा में पड़ा हुआ,48
5851,телугу,तेलुगू,72
11557,шекспир,शेक्सपियर,32
11231,патруль,पहरा,25
2830,искушения,लालच,63
13234,дорогая,प्रिय,16
2664,лайссес,हस्तक्षेप न करने,89
6041,тунец,टूना,70
13100,гватемала,ग्वाटेमाला,17
9815,висит,फांसी,31
11695,тень,साया,28
6809,рычаг,उत्तोलक,63
2961,предка,पूर्वज,67
10399,лось,मूस,40
6056,выстрел,तोप का गोला चलाना,70
9132,эрозия,कटाव,50
4638,vitro,इन विट्रो,79
1698,морские водоросли,समुद्री सिवार,94
9260,лафайетт,lafayette,49
3877,скользить,सरकना,71
6490,павлин,मोर,66
1646,монтесори,मोंटेसरी,94
4206,слайды,स्लाइड,40
4662,передозировка,जरूरत से ज्यादा,74
9255,пифагор,पाइथागोरस,49
3650,повернись,मुड़ो,82
2330,литография,लिथोग्राफ,83
13691,огромный,विशाल,12
6046,цар,ज़ार,70
11793,уведомлять,सूचित करें,25
14164,производит,बनाता है,5
1259,сборка,कोडांतरण,19
11965,связка,झुंड,28
13608,ума,हंट,12
4220,криминал,फोरेंसिक,45
9149,ездил,ग्रस्त,50
12917,безрезультатно,अपरिवर्तित,19
10192,гамма,गामा,42
9185,богиня,देवी,48
3036,претория,प्रिटोरिया,88
7989,пало,पाओलो,58
11063,кола,कोला,36
5383,альбедо,albedo,73
608,педикюр,पेडीक्योर,99
10180,албанский,अल्बानियन,34
4167,гейгер,गीजर,82
10644,вишня,चेरी,38
11180,ширина,चौड़ाई,35
10321,shoemaker.,मोची,41
9186,суп,सूप,49
7413,спутник,बखेरा,62
11701,барон,बरोन,29
12302,ки.,ची,25
6583,пропускная способность,बैंडविड्थ,66
1570,преходящий,क्षणिक,92
4623,флото,flauto,79
6541,назарета,नासरत,67
1476,батут,ट्रैम्पोलिन,90
13009,арена,अखाड़ा,18
4815,гардероб,अलमारी,77
14470,ниже,नीचे,8
2052,фрактал,भग्न,87
14208,поле,मैदान,8
2132,местонахождение,ठिकाने,92
3194,ткани,ऊतकों,48
4266,примус,सब से बड़ा,81
5340,брошюра,पुस्तिका,63
7819,люсия,लुसिया,59
7249,бургесс,बर्गेस,60
309,баржи,नौकाओं,76
10202,день благодарения,धन्यवाद,42
2997,yum.,यम,88
10669,редакция,संपादकीय,34
2110,патт,खड़ाऊँ,88
3030,rajput.,राजपूत,88
749,ботулизм,बोटुलिज़्म,98
13833,чем,बजाय,6
10269,уродливый,कुरूप,38
5188,вечнозеленый,सदाबहार,76
1775,гила,गिला,93
12040,предложение,सुझाव,9
1590,конденсироваться,गाढ़ा,50
940,яичка,वृषण,97
4853,предстательная железа,पौरुष ग्रंथि,76
9932,веревич,हीथ,44
9626,проституция,वेश्यावृत्ति,42
11672,водород,हाइड्रोजन,30
12037,глупый,नासमझ,23
13535,на протяжении,हर जगह,13
11776,рональд,रोनाल्ड,30
13802,с,साथ,5
1547,оргия,नंगा नाच,93
5808,блюбов,ब्लू,72
14441,поставлять,आपूर्ति,18
11969,превосходно,अति उत्कृष्ट,23
3437,дегово,देगास,86
4606,mein.,मीन,79
4071,мелатонин,मेलाटोनिन,82
7364,эпископал,बिशप का,62
3625,сальвия,साल्विया,85
10637,никарагуа,निकारागुआ,38
3940,повышенный,बढ़,76
13769,понимание,समझ,9
14124,отчеты,रिपोर्टों,5
13854,вне,बाहर,6
1923,латим,लैटिमर,93
11909,бубба,बुब्बा,28
5502,лучан,लुकान,74
7971,шейх,शेख़,58
7982,жаловаться,उपालंभ देना,28
9785,похороненный,दफन,36
11453,вайоминг,व्योमिंग,33
3846,лицензиум,लाइसेंसर,84
13139,утро,प्रभात,17
3994,водораздел,जलविभाजन,81
11746,bb,बी बी,29
2185,погруженный,जलमग्न,88
11944,алисон,एलिसन,28
1880,leighton,लेटन,93
1933,мародер,लूटेरा,80
7037,разрешение,हल करने,19
14350,встретиться,मिलो,9
4273,бикини,बिकिनी,80
7445,манифест,घोषणापत्र,61
6745,платье,गाउन,55
8468,без ответа,अनुत्तरित,55
6291,подавить,दबाने,38
11297,кат,कैट,32
10722,эмма,एम्मा,38
8307,зонтик,छाता,55
6569,пренебрегать,नजरअंदाज कर दिया,54
1842,ночной,हर रात को,93
6960,автострада,फ़्रीवे,60
141,рейз,रीस,79
13816,его,इसका,5
6793,националисты,राष्ट्रवादी,38
9835,расследование,जांच,42
13261,энциклопедический,विश्वकोश,16
903,вдвойне,दोगुना,97
14290,север,उत्तर,8
14364,рейган,रीगन,34
3163,химик,रसायनज्ञ,69
2773,прокалывать,मिलने,83
10114,наземный,लैंडवेर,42
12821,классификация,वर्गीकरण,19
9150,валенсия,वालेंसिया,50
1184,ревер,रोअर,96
11073,стрела,तीर,31
1952,ассирия,अश्शूर,93
2940,отложить,आस्थगित करें,60
8080,борсть,टीला,58
14210,предложения,ऑफर,14
10050,осень,पतझड़,43
3477,сотрудники,सहयोगियों,18
3493,мерцание,टिमटिमाहट,86
7150,ptolemy,टॉलेमी,63
5320,топпер,टोपर,62
822,непреодолимый,दुर्गम,98
9167,прерий,मैदानी,48
10308,овладеть,चिट,41
2366,крики,क्रिप्स,73
39,отлаживать,डिबग,89
7970,радж,राज,58
123,якима,yakima,100
2037,саума,एसएयू,92
5942,тирон,टाइरोन,71
4885,дистилляция,आसवन,67
13487,церковь,चर्च,13
14218,компьютер,कंप्यूटर,6
1936,морозена,मुकुट,88
3781,самый глубокий,गहरे,84
10535,портативный,पोर्टेबल,39
13762,ночь,रात,11
9193,преимущества,फायदे,18
4905,конденсатор,संधारित्र,75
12487,справедливость,न्याय,23
9294,мониторинг,निगरानी,16
5694,окунуться,आ गया,73
12085,цунами,सुनामी,26
10870,бенгальский,बंगाल,26
10490,осман,तुर्क,38
9528,недвижимость,सत्ता,47
11294,генетический,जेनेटिक,26
2813,нострадамус,नास्रेदमस,88
1780,энергично,ज़ोरों के साथ,65
12114,мята,पुदीना,25
6727,дженк,टिन से मढ़नेवाला,63
12679,пристрастный,झुका हुआ,21
7325,мечи,तलवार,33
10293,сакэ,खातिर,40
3564,неохотно,अनिच्छा से,85
7055,заколка для волос,बाल के लिये कांटा,63
12425,ариэль,एरियल,24
4676,иволга,ओरियल,30
4766,выводок,रुपये,78
1001,мет,meth,96
4825,мираж,मृगतृष्णा,78
3127,вуаль,आवरण,70
4393,логин,एलडी,81
5817,гидроксилаза,हाइड्रोक्साइलेस,72
1843,маратха,मराठा,93
3517,argyll.,अर्गिल,61
11860,усердие,ख़रगोश पालने का बाड़ा,29
12201,лейтенант,लेफ्टिनेंट,25
1655,прыщ,फुंसी,94
4377,обтекаемый,सुव्यवस्थित,70
11786,ухоженный,अवर,29
565,mysid,माईसिड,99
11791,чехословакия,चेकोस्लोवाकिया,30
12262,рейдеры,रेडर्स,24
5196,частицы,कणों,47
2697,бездействие,राज्यविहीन,82
5724,жонглирование,जादू,71
12630,средство,सुविधा,18
8726,аг,एजी,53
5834,горан,गोर्मन,72
1690,глаукома,आंख का रोग,94
14238,вещи,चीज़ें,8
14137,дальше,आगे,6
11500,норман,नॉर्मन,31
8367,тоби,टोबी,55
575,приморский,समुंदर के किनारे का,99
9282,уверенно,आश्वासन दिया,27
3863,чистая вода,साफ पानी,83
6700,шланги,मानहानि,55
6940,факс,फैक्स,63
8618,августа,ऑगस्टा,54
6857,альцгеймер,अल्जाइमर,65
11725,сюжет,अनुसूचित जाति,30
10647,бакщ,बेक्वाट,38
11794,трэвис,ट्रैविस,30
2937,несущественный,हानिकारक,77
4808,акр,एकड़,47
8261,лигерный,लाइगर,56
2893,шетланд,शेटलैंड,88
12616,валюта,मुद्रा,22
14404,обзор,समीक्षा,7
5348,обряд,संस्कार,66
765,буханка,पाव रोटी,95
12890,этикетка,लेबल,14
6773,хроматография,क्रोमैटोग्राफी,66
4169,усы,मूंछ,79
9513,бартлетт,बार्टलेट,47
854,солель,सोलेर,98
4897,конфуций,कन्फ्यूशियस,77
12315,мексиканский,मैक्सिकन,24
9834,дружба,मित्रता,44
4625,спорный,बीजाणु,69
3202,бактериальный,बैक्टीरियल,87
4683,бонусы,बोनस,79
1520,неэтично,अनैतिक,94
186,могул,मुग़ल,95
0,напряженность,उद्देश्य,7
9141,блантер,बुकर,50
6547,макаронные изделия,पास्ता,67
4982,обрезание,परिशुद्ध करण,75
1331,jibbs.,जिब्ब्स,95
6997,слабее,कमज़ोर,64
8425,сарай,खलिहान है,54
13341,поэт,कवि,14
11188,пустой,खाली,33
6921,гончая,हाउंड,60
11235,локаут,निकाल देना,22
7073,порнографии,अश्लील,62
12259,архивы,अभिलेखागार,12
12278,фб,अमेरिकन प्लान,25
2472,вбок,बग़ल में,89
2394,фильмография,फिल्मोग्राफी,88
13285,седьмой,सातवीं,16
9995,малиновый цвет,गहरा लाल,43
1079,ссориться,लड़ाई झगड़ा,87
13059,дважды,दो बार,18
728,дугонг,डगोंग,97
13989,программы,कार्यक्रमों,11
10582,наполеон,नेपोलियन,36
10218,отношение,संबंधित,38
5182,эволюционный,विकासवादी,76
7598,счетный,तटरक्षक,60
5102,чепуха,fer,75
1480,бипартисан,द्विदलीय,95
12348,листовка,यात्रियों,24
4883,оно,ओनो,77
1082,впредь,अब से,96
1561,эрмитаж,आश्रम,95
1979,дари,दारी,93
14390,силы,ताकतों,7
675,любопытно,दिलचस्प,93
2083,cima,सीआईएमए,92
739,ортогональный,ओर्थोगोनल,93
4038,ария,एरिया,67
10528,нота,एनटी,39
1425,синтезатор,सिंथेसाइज़र,41
6869,оргазм,ओगाज़्म,64
14486,особенность,विशेषता,9
1659,курильщик,धूम्रपान न करने,80
4529,буруши,बरोज,80
9354,судья,अंपायर,30
1113,ара,एक प्रकार का तोता,95
7099,измена,राज-द्रोह,62
6596,прото,आद्य,67
1725,посмотреть,देखने योग्य,93
1356,гленвуд,ग्लेनवुड,95
11191,избирательный,निर्वाचन,30
13974,объединенная,यूनाइटेड,6
12747,друг,दोस्त,13
13271,реле,रिले,15
3945,идти к,के लिए जाओ,83
2714,гипс,गिग्स,62
4723,сферический,गोलाकार,77
12551,рождество,क्रिसमस,23
6679,аббревиатура,संक्षिप्त रूपों,40
2597,читательство,पाठकों,89
2792,турбокомпрессор,टर्बोचार्जर,88
3639,нержавеющая сторона,स्टेनलेस,85
13079,дерево,पेड़,16
3032,пикколо,छोटा पियानो,88
6259,присягой,शपथ ली,69
11949,канал,नहर,28
5407,джай,जाट,74
7380,кв,वर्ग,62
8154,стойка,रैक,42
8741,ремикс,रीमिक्स,41
10225,ископаемое,जीवाश्म,27
525,электрификация,विद्युतीकरण,99
7048,ствол,सूँ ढ,56
5948,ханой,हनोई,71
1700,изгнал,निर्वासित,76
9514,ix.,नौवीं,47
12372,тупой,बेवकूफ,23
360,регенеративный,पुनर्जन्म का,100
9720,скелет,कंकाल,44
9570,фермеры,किसानों,38
5208,поспешно,हेस्टी,74
514,осы,ततैया,58
9166,дискриминация,भेदभाव,45
5228,артрит,वात रोग,75
2207,капиллярный,केशिका,88
9238,леул,लियोनेल,49
3306,шестигранный,हेक्स,84
6647,познавательный,संज्ञानात्मक,61
11264,полуфинали,सेमीफ़ाइनल,27
6267,крестьянин,किसान,52
1357,щелочный,क्षारीय,93
7758,сиська,सिथ,60
12762,орел,गिद्ध,14
8817,og,ओग,52
281,канистры,कनस्तरों,84
11768,авраам,अब्राहम,30
12001,оплаченный,भुगतान किया है,28
9849,специя,चाट मसाला,44
2119,bakersfield.,बेकर्सफील्ड,92
14334,америка,अमेरिका,5
9151,граната,ग्रेनेड,42
14252,сервер,सर्वर,6
4602,ала,आला,61
4194,хартум,खार्तूम,82
4661,патчи,पैच,30
7977,узел,गांठ,28
9681,венеция,वेनिस,46
12122,автоматический,स्वचालित,5
246,консультирование,काउंसिलिंग,59
6303,иона,जोनाह,69
8816,галилео,गैलीलियो,52
13821,этот,यह,5
5430,маффин,टिकिया,73
12100,дс,डी एस,27
8008,jg.,जेजी,58
12165,мадрид,मैड्रिड,26
220,свернуть,अतिस्थी,100
11787,очистка,साफ - सफाई,29
2409,акупунктура,एक्यूपंक्चर,90
12479,сенна,सेन्ना,23
11987,шоссе,हाइवे,24
8604,умная,चतुर,53
12472,анна,ऐन,18
10961,драконы,ड्रेगन,17
4833,парраматта,parramatta,78
11743,ренессанс,पुनर्जागरण काल,30
5043,мальтий,मोलतिज़,77
1496,hf.,एचएफ,95
1203,растяжение,मोच,70
927,бессмысленность,impaler,88
9638,бронкс,ब्रोंक्स,46
3562,расставаться,संबंध विच्छेद,82
2099,корри,कोरी,92
3393,словенский,स्लोवेनियाई,86
2091,уважать,डींग,92
6508,рябина,रोवाण,68
11351,широко распространен,बड़े पैमाने पर,34
6633,перестройка,पुनर्निर्माण करना,55
508,мутанты,उत्परिवर्ती,54
11170,слон,हाथी,33
798,фарфор,चीनी मिटटी,98
5890,гикори,हिकॉरी,71
13127,идет,जाता है,17
8056,мышей,चूहों,58
813,табби,बद गप्पी,98
4615,неважно,महत्वहीन,79
5253,гера,हेरा,75
3129,кафка,काफ्का,88
13929,способ,रास्ता,7
879,балки,बीम,53
9329,житель,निवासी,47
5951,kph.,किलोमीटर प्रति घंटा,71
5990,эспрессо,एस्प्रेसो,71
8970,совокупность,काफिले,46
4510,грознуемый,दुर्जेय,80
10670,скамья,बेंच,36
11674,испуганный,डरा हुआ,30
9801,той,टाइम्स ऑफ इंडिया,45
10349,плимут,प्लीमेट,41
10784,отчетливо,कथित तौर पर,38
6711,медьера,मेसियर,66
11151,конго,कांगो,35
12436,облегчение,छुटकारा,24
8278,мара,मारा,55
1997,назарене,नासरी,93
11736,перри,नाशपाती की मदिरा,30
6512,сальмонелла,साल्मोनेला,68
7852,колыбель,पालना,58
11003,кофе,कॉफ़ी,37
11668,вернон,vernon,31
6687,гай,गयुस,66
3788,каталина,कैटालिना,84
4419,изотоп,आइसोटोप,68
5122,февраль,मरता हुआ,76
