ID,RUSSIAN,FRENCH,INTERVAL
9542,подозрительный,méfiant,46
1169,подтип,sous-type,93
10986,гибридный,hybride,37
12067,столбы,piliers,27
2259,стекловоломок,fibre de verre,91
3700,кровопролитие,effusion de sang,85
14341,центральный,central,11
12225,впоследствии,ensuite,18
12824,орлеан,orléans,21
3530,телец,veau,86
13192,уилсон,wilson,17
1206,чесотка,gale,96
11453,вайоминг,wyoming,33
10175,борец,buteur,32
11202,панель,panneau,32
1253,полированный,brillant,20
12710,дональд,donald,22
11264,полуфинали,demi finales,28
671,саня,une luge,93
14249,фонды,fonds,22
8906,гектор,hector,52
8300,зебра,zèbre,52
1419,аккредитация,accréditation,64
3958,сублиминал,subliminal,83
8269,аренда,louer,46
11759,епископ,évêque,29
9090,потрясенный,choqué,24
38,уравновешиваться,équin,98
9100,дзюдо,judo,51
11634,бард,barde,31
8707,вариация,variation,39
13826,был,a été,5
12792,вспомогательный,lp,21
8781,баас,baas,45
6618,сайгон,saigon,67
8116,жалкий,pathétique,57
11925,взимается,accusé,14
7214,космический,cosmique,63
2386,контркультура,contre-culture,91
6875,паровой котел,chaudière,61
740,алгебраист,algébriste,98
11866,занятие,occupation,26
7282,насекомое,insecte,58
13881,использовал,utilisé,5
12789,жертвы,victimes,19
14158,компьютеры,des ordinateurs,7
12696,шаблон,modèle,20
12254,внутренний,interne,9
9985,бред,délire,44
125,кали,kali,99
4398,советники,conseillers,59
2983,кенсингтон,kensington,88
9499,какать,caca,45
11805,кубинец,cubain,29
303,соискание,scion,96
12122,автоматический,automatique,5
3411,полиэстер,polyester,84
11876,вспоминать,réinsérer,8
14456,икс,x,8
3418,лесное хозяйство,sylviculture,87
91,родозиан,rhodésien,100
14172,код,code,12
1110,перегруппирован,regroupé,80
2157,люмень,lumen,90
14144,рынки,marchés,13
8523,бон,bon,55
13625,чисто,dégager,12
110,дравидиан,dravide,100
4652,богоплатель,bogey,67
6142,оказывать,cate,63
12869,промежуточный,floc,20
6310,марокканский,marocain,65
6863,в идеале,idéalement,36
14191,проект,projet,7
9816,триллер,thriller en francais,45
11786,ухоженный,inférieur,30
6626,суши,sushi,67
9706,моисей,moïse,46
11293,колизей,colisée,35
11632,осадки,précipitations,31
9602,шестьдесят,soixante,42
7079,мирза,mirza,64
7613,почетное,honoraire,61
1304,деревообрабатывание,travail du bois,87
1847,oske.,de travers,94
880,галогенид,halogénure,95
4824,распределитель,distributeur,69
7091,автострада,voie express,62
13923,сеть,réseau,8
12261,ричмонд,richmond,26
13459,сильный,fort,14
6983,сода,un soda,65
9314,беркли,berkeley,49
9209,мона,mona,50
10864,выход,sortir,37
336,mestizo,métis,96
179,репатриация,rapatriement,82
8354,единорог,licorne,55
12608,пустыня,désert,21
9637,подметание,balayage,28
5432,романо,romano,74
4665,лимония,lémon,79
3060,угловой,angulaire,88
11573,эдисон,edison,32
2066,содомии,sodomie,92
14427,ответ,réponse,11
11437,расист,raciste,32
7806,альфонсо,alfonso,60
6529,сочтено,soutenu,36
3748,скользкий,glissant,84
3735,буцефал,bucephalus,85
7299,монтевидео,montevideo,63
11065,плутон,pluton,37
6921,гончая,chien,60
1332,jouster.,petit fanatique,95
9961,редко,rarement,26
3583,воображение,eau,85
8403,сикх,sikh,47
622,доп,apte,97
9188,альт,alto,47
1016,кивать головой,hocher la tête,90
576,наряд,vitesses,97
10641,реванш,remonter,39
7464,ленинград,leningrad,62
11738,григориан,grégorien,31
8910,инфракрасный,infrarouge,52
2645,самодержавие,autocratie,90
10289,амир,amir,42
10118,хм,hein,43
1288,длина окружности,circonférence,96
14451,убытки,pertes,10
2638,лучники,archers,57
8509,нагасаки,nagasaki,55
9493,молекула,molécule,44
6216,беатрис,beatrice,70
2014,заманчиво,tentant,65
934,распятие,crucifixion,97
10000,ом,om,44
9156,абердин,aberdien,51
756,пандемия,pandémie,97
10590,антиллы,antilles,39
3991,релата,relate,83
7326,сброс настроек,réinitialiser,60
2147,beldam.,vieille sorcière,92
2284,баллиста,baliste,91
9336,обломки,débris,49
4064,хулиганство,vandalisme,62
7109,очаровательный,charmant,43
499,катакана,katakana,99
5627,метокси,méthoxy,74
4159,игуана,iguana,82
4786,триптофан,tryptophane,79
11126,подлый,sournois,36
1470,пеп,dynamisme,91
8710,храбрость,courage,50
7039,коллеги,homologue,49
4863,джок,jock,76
11198,похороны,funéraire,35
11227,например,par exemple,35
9353,морской пес,buée,49
6577,братья,frères,67
12011,ньюкасл,newcastle,28
3967,std.,tirade,83
9799,прага,prague,46
12189,парнер,parker,27
9177,клубника,fraise,49
2957,толстушка,abrider,88
9175,скитание,sk,50
1671,мандарины,mandardions,75
4066,полигамия,la polygamie,83
2913,пампас,pampa,85
5419,мейоз,méiose,75
8675,гент,gent,54
3467,шейла,sheila,87
9150,валенсия,valence,51
7664,похвалы,loué,40
3329,миокарда,myocarde,87
2802,назал,nasale,88
13691,огромный,énorme,12
9283,превосходить,surmonter,45
7113,евклид,euclide,64
326,эней,énée,100
6726,вызванный,convoqué,53
6073,бирза,bouleau,71
8862,лаос,laos,49
562,предгорья,collines,74
10242,деревенский,rural,42
4324,деб,deb,68
4489,huckleberry,airelle,80
14226,бесплатно,gratuit,5
13351,озеро,lac,14
9959,гарфилд,garfield,44
7163,алхимик,alchimiste,63
20,плита,dalle,88
6382,проф,prof,68
4720,амтрак,amtrak,79
1906,шутки,farce,60
11049,оправдывать,justifier,24
5590,испорченный,gâté,50
4346,первое мая,au secours,81
10668,фф,ff,39
3228,халатность,négligence,66
3780,ухудшаться,détérioré,62
14177,спроектирован,conçu,10
11267,пакистанские,pakistanais,33
4008,люять,lulu,83
4814,захватывающие,envahisseurs,31
13919,продажи,ventes,21
4679,уравнение,éq,79
9504,извержение,éruption,37
7207,лепаж,lépage,63
7926,сперма,sperme,59
7218,кулак,poing,53
2925,золотая вода,eaux d or,88
1215,замкнул,brèche,96
12661,бык,taureau,17
13179,преступление,infraction,10
11066,случайно,au hasard,37
12838,подход,approcher,15
12207,притворяться,pring,27
9318,цирка,environ,49
12034,разговор,bavarder,28
3548,amoeba.,amibe,86
2535,хатри,khatri,90
14086,военный,militaire,10
8605,доля,fraction,44
1777,ревность,jalousie,90
7238,биммарк,bêtise,63
12780,куба,cuba,21
7928,туманность,nébuleuse,58
218,нитрофенол,nitrophénol,100
1318,пикеты,piquetage,54
3285,мотив,motif,80
2089,бесспонден,non info,92
12988,контрольный список,liste de contrôle,19
7861,античный,antique,50
2663,платоника,platonique,88
12042,панк,punk,28
14127,точки,points,6
12591,упражнение,exercer,20
3287,независимо,irrédition,87
12881,солнечный,solaire,20
1492,урбана,urbana,95
12068,поток,couler,25
13698,подсказки,astuces,12
6130,племянник,neveu,67
11093,пушка,canon,34
4250,сиамский,siamois,82
7515,баллада,ballade,56
13999,линия,doubler,9
1255,маэстро,maestro,96
14119,взял,a pris,8
9808,долг,dette,42
570,сельскохозяйственные угодья,les terres agricoles,96
2424,герби,herby,91
9756,человечество,humanité,46
6394,розмари,romarin,69
4701,бош,étalages,79
3788,каталина,catalina,84
8583,инквизиция,inquisition,54
13960,отчет,rapport,5
14153,тест,test,5
4860,гильотина,guillotine,78
9037,требовательный,exigeant,20
147,обнищавшийся,appauvri,99
5232,спонтанно,spontané,68
4330,граймс,grilais,78
14054,показывать,montrer,7
9634,тел,tél,47
6887,фандом,fandom,65
2680,угандин,ougandais,88
10693,оправдание,justification,37
9990,квантовый,quantum,44
6522,пий,pie,67
11234,бригадир,brigadier,35
5918,без названия,sans titre,72
4224,эллинистический,hellénistique,81
11080,фантом,fantôme,33
2636,тюрбан,turban,88
4656,покровитель,mécène,60
1867,гидростатический,hydrostatique,93
10148,шимпанзе,chimpanzé,42
14218,компьютер,ordinateur,7
10479,эфиопский,éthiopien,39
2495,дебби,de debby,63
13815,или,ou,5
10401,игрушка,jouet,36
4556,прима,prima,80
11266,вмешательство,intervention,34
12083,строгий,strict,28
14097,встреча,réunion,10
9544,сэмми,sammy,48
5244,роталки,randonneur,74
11360,как-то,en quelque sorte,34
7294,дворак,dvier,63
11177,трансмировать,navette,35
14082,сан -,san,10
5018,среда обитания,habitat,76
12560,полоса,traînée,22
6770,нехватка,pénurie,53
2229,смог,smog,91
8046,ненависть,haine,58
11522,райли,riley,33
207,row.,roo,100
5440,аликвот,aliquote,75
4576,контрабанда,contrebande,72
1649,чеддер,cheddar,94
6632,марсель,marseille,59
4425,инвариант,invariant,63
10352,дел,dell,41
10963,печать,timbre,31
830,соотношение,corral,95
2262,вдальше,au loin,91
9249,цветы,fleurs,33
2321,пьянство,ivresse,72
5553,бурунди,burundi,74
2122,ланцет,lancette,92
12475,ракета,missile,20
7876,планктон,plancton,59
8938,люк,la trappe,50
13115,египет,egypte,18
1590,конденсироваться,condenser,50
2514,йота,iota,90
7167,кариока,carioca,64
6465,каракас,caracas,68
2898,межведом,intercollementer,88
7591,переполненный,encombré,18
11905,юпитер,jupiter,29
13695,бывший,ancien,12
10559,избиратели,électeurs,34
11243,фильтр,filtre,31
6838,бонг,bang,66
6832,снос,démolition,63
6185,астродома,astrodome,70
3796,гоблин,lutin,82
2822,вредный,peste,86
5341,паранормальное явление,paranormal,75
244,съедобный,comestible,97
7890,хомя,hoy,59
1141,фиги,figo,96
8315,хинди,hindi,56
14014,наименее,moins,5
13112,столица,capitale,12
11424,кактус,cactus,34
13585,родился,née,12
11561,доминикан,dominicain,32
9618,падуб,houx,46
14141,должный,exigible,6
10261,партизан,partisan,37
7770,сожалеть,le regret,22
11537,производная,dérivé,20
7594,дед,grand-père,60
5898,марксизм,marxisme,72
2736,крякать,charlatan,88
1548,коротководящий,ondes courtes,95
12025,проста,protester,28
4802,гитаристы,guitaristes,29
1769,реклассифицированный,reclassé,88
11879,воспитывать,rs,29
11001,фе,fe,37
11610,литва,lituanie,32
4004,фобия,phobie,83
9448,амфибий,amphibie,48
10454,линн,lynn,40
5520,триша,trisha,74
105,амрита,amrita,100
10553,рутенфорд,rutherford,40
13288,холма,hong,16
4496,ходью,hoey,81
7407,склад,dépot,57
3989,йокогама,yokohama,83
12736,прессование,pressage,12
10791,четырнадцать,quatorze,38
2865,анжелика,angélique,88
610,мантра,mantra,97
6952,роспуск,dissolution,64
2946,козы,chèvres,45
8049,собираться,rassemblement,24
12394,в то время как,tandis que,25
13978,день,jour,6
771,орден,order,98
10529,паб,pub,38
2154,эпинефрин,épinéphrine,91
6251,цианид,cyanure,69
12461,униформа,uniforme,21
5126,пвт,pvt,77
6774,коломбо,colombo,66
11712,эмили,emilie,31
6315,епархии,diocèse,69
4561,соглашаться,convenir,69
1173,нитроглицерин,nitroglycérine,79
12057,содержащийся,contenue,7
1407,поправка,amendement,19
7730,перехватчик,intercepteur,55
11685,коллинз,collins,30
8384,ориентир,point de repère,47
13002,франшиза,la franchise,18
6126,гирлянда,guirlande,69
5266,разврат,mélanger,62
13675,свет,léger,11
434,аншлусс,anschluss,100
9143,вариант,waf,51
3138,духовенство,le clergé,88
14161,изучать,étude,17
2031,зороастризм,zoroastrisme,88
796,сюда,fro,98
9136,парадокс,paradoxe,47
5049,туфцы,touffes,74
508,мутанты,mutants,55
10407,хардкор,hardcore,41
8052,телеграфный,télégraphe,55
7397,тара,tara,62
6672,превосходство,suprématie,67
12563,в обтяжку,serré,23
8225,грохота,gronder,54
9304,лосось,saumon,49
7645,воскрешение,résurrection,52
435,франционный,francium,100
3259,чрезмерно,excessivement,33
8805,симфония,symphonie,52
14150,способный,capable,6
6121,жалость,dommage,64
11658,остаток,reste,31
4687,бордюр,trottoir,67
4454,испарение,évaporation,64
12859,джош,josh,20
3338,роялистический,royaliste,80
13374,айова,iowa,15
6425,нигерийский,nigérian,66
11763,упрямый,luke,30
774,фв,fv,98
2982,ток,gidon,88
1871,беглый,courant,93
10309,в сопровождении,accompagné,19
11284,мэр,maire,32
2056,пруденциальный,prudentiel,92
12203,либеральный,libéral,17
12268,мусульманин,musulman,21
3264,пептид,peptide,85
4615,неважно,sans importance,80
2968,агитация,agitation,68
4897,конфуций,confius,78
13282,грамматика,grammaire,16
2195,мириад,myriade,90
1526,фекал,fécal,95
5787,ключевой камень,clé de voûte,72
8841,полнота,intégralité,53
1292,толстой,tolstoy,96
3877,скользить,glissement,72
5875,вероятность,probabilité,72
8266,э,ee,57
10719,зрение,vue,31
14092,операции,opérations,6
10455,пепси,pepsi,40
11915,кампус,campus,29
2068,мученик,martyr,62
1084,предусматривается,stipulé,78
3146,инсулин,insuline,88
7729,головокружение,voyou,52
3653,упорядоченный,ordonné,85
13819,были,étaient,6
2185,погруженный,submergé,88
10202,день благодарения,action de grâces,42
10385,маг,magicien,40
7569,пожертвование,don,32
11083,рассмотрение,considération,21
1703,банджир,bungee,94
12291,экстремальный,extrême,17
5466,грелка,chaleureux,72
5673,модем,modem,70
14210,предложения,des offres,14
11458,минимальный,minimal,28
11210,пак,pacer,35
1192,рема,rhema,96
14487,ноябрь,novembre,6
3604,гусеница,chenille,83
5117,леса,des bois,63
1395,кулинария,coule,94
2714,гипс,gigs,63
7705,поселенцы,colons,56
8276,щука,brochet,51
13440,что бы ни,peu importe,14
9374,турки,turcs,40
9197,шмель,bourdon,50
9589,штемпель,ph,47
4764,стрижка волос,la coupe de cheveux,76
5807,встал,confirmé,72
11608,пальто,manteau,27
1660,карп,carpe,83
13532,ранее,précédemment,13
6274,вац,wac,70
6348,кобальт,cobalt,69
4044,калькутта,calcutta,83
1048,редёгс,redlegs,97
7896,разбитый,éclaté,53
6785,ацетил,acétyle,64
12279,готовый,préparé,17
446,нехарактерно,incontrôlable,88
13121,ветер,vent,12
3347,джиллиан,gillian,87
12496,хн,xd,24
13733,осведомленный,au courant,12
4368,честность,honnêteté,81
11412,заброшенный,abandonné,29
11920,манхэттен,manhattan,29
7768,чо,cho,60
6998,леденец,sucette,63
7749,наоми,naomi,60
6159,разрядка,crevasse,68
12371,аарон,aaron,25
3423,палиндром,palindromique,73
7826,кристин,christine,60
12058,мероприятия,trivia,28
8754,чистить,peler,50
5956,квартет,quatuor,70
10355,стресс,stress,36
6308,креветка,crevette,69
3297,отбрасывается,mis au rebut,69
5450,посетитель,visiteur,9
4175,спенс,spence,82
14081,новости,nouvelles,11
10616,сильва,silveau,39
11263,шапка,casquette,23
13161,безусловно,certainement,17
1480,бипартисан,biparti,95
401,выравнивание,haut de gamme,100
142,землевладельцы,propriétaires fonciers,94
1405,минерва,minerva,95
13345,упражняться,entraine toi,12
4967,террапины,terrapines,74
10494,пропорционально,proportion,36
5633,помона,pomona,73
10428,инсульт,accident vasculaire cérébral,36
12160,экспедиционный,expéditionnaire,27
9042,сандра,sandra,51
4061,надувные шары,des ballons,40
3076,ясный,lucide,87
5706,вздох,soupir,70
9274,роттердам,rotterdam,50
10114,наземный,landwehr,43
742,фити,phoebe,98
9872,гомосексуальность,homosexualité,36
3151,расходов,dépense,74
12924,jay.,geai,17
10258,зрители,spectateurs,38
6660,ассиз,assisi,67
4790,дурри,drury,79
2060,осина,tremble,92
8378,преданность,tôle,45
547,ересь,hérésie,97
3675,постукивание,tapotement,48
3003,маха,maha,88
14005,план,plan,11
10960,манила,manille,37
4522,осушать,drainer,62
1896,сексизм,sexisme,93
8548,злодеяния,méchant,47
12180,массивный,massif,25
10952,объявление,annonce,12
13581,индийский,indien,12
14478,аналитик,analyste,46
4097,лакеланд,lakeland,83
7777,азорские острова,azores,60
8026,гидроэлектричество,hydroélectricité,54
5338,пространственный,spatial,74
7098,дикс,dix,64
7468,поз,point de vue,43
12069,молоток,marteau,27
11780,люксембург,luxembourg,30
14519,приносить,apporter,6
13620,африкаанс,afrikaans,12
7743,эскиз,esquisser,53
13017,северо-запад,nord ouest,19
3564,неохотно,à contrecœur,85
11497,нормандия,la normandie,33
5578,богемия,bohême,74
2125,бенши,banshee,86
10460,романтика,romance,40
12088,вал,wi,27
4059,на доске,à bord,83
1243,с гордостью,fièrement,96
2978,сиена,sienne,88
1842,ночной,chaque nuit,94
11075,айдахо,idaho,37
8750,турбо,turbo,52
2500,чапаргал,chapharral,88
1611,многословный,pléthore,94
2759,пагентность,reconstitution historique,86
11903,эм,em,27
5788,садр,sadr,72
12740,феникс,phénix,22
2205,перечитать,relire,88
14000,пользователь,utilisateur,5
11248,бесконечность,infini,35
13394,революция,révolution,14
28,дифракция,diffraction,100
2820,горизонты,horizons,53
11977,неполный,incomplet,28
6204,ян,yan,70
4531,фулхэм,fulham,80
11411,помедленнее,ralentissez,34
3067,неявно,implicitement,88
1327,неграмотный,analphabète,93
12504,компакт диск,cd,24
9056,мозамбик,mozambique,51
8341,холст,toile,56
5086,безудержный,rampant,77
8565,имбирь,gingembre,55
6695,преамбулы,préambule,67
9369,термический,thermique,48
12416,чили,chili,24
4551,отсюда,de là,80
13126,итальянский,italien,17
7322,флора,flore,62
2906,меркантилизм,mercantilisme,70
6528,дозы,doses,48
14207,особенный,spécial,11
9699,вьющийся,curling,41
5454,подросток,adolescent,33
9118,омега,oméga,51
11363,финалисты,finalistes,29
6138,почтовая оплата,affranchissement,70
1670,тетер,titer,94
7539,тафт,faire des tasets,62
9379,неубедительный,peu concluant,49
1536,аккра,accra,95
10200,граффити,graffiti,42
2771,клин,cline,88
4971,булимия,boulimie,78
12347,рельс,rail,23
11870,джереми,jeremy,30
5114,счеты,abaque,77
12393,финансовый,financier,23
3807,ожог,brûler,84
10875,непал,népal,38
5841,сигар,cigare,71
13365,апельсин,orange,15
514,осы,guêpes,58
3261,хелпер,assistant,81
7986,ошеломленный,étourdi,43
5546,паша,pacha,74
4127,октан,octane,82
14240,группа,groupes,8
9419,сказочный,fée,47
4245,ездить,evver,82
9628,заслуживает внимания,remarquable,47
3476,дифосфат,diphosphate,86
3098,родео,rodeo,88
10961,драконы,dragons,17
1053,растворимость,solubilité,68
11924,сексуально,sexuellement,17
6293,скарборо,scarborough,69
12193,несмотря ни на что,indépendamment,27
9654,мессенджер,messager,45
6609,предков,ascendance,66
6317,фотосинтез,photosynthèse,69
4077,беринг,béring,80
13768,сам,lui-même,12
1745,лян,liang,94
5773,налогообложение,imposition,72
618,прибыльный,lucratif,99
11242,класть,allonger,31
7746,произношение,prononciation,58
6221,уэслиан,wesleyan,70
750,дисфункция,dysfonctionnement,88
11858,высота,hauteurs,22
5106,невероятный,incroyable,70
716,входящий,entrainé,84
9201,подходит,convenable,20
12417,бар,bar,21
14120,место,lieu,6
2646,трилобит,trilobite,90
14387,короткий,court,9
12574,моор,moore,22
104,бездельничать,non trouvé,100
12816,захваченный,capturé,14
3893,эукариот,eucaryote,84
11613,мох,mousse,32
14296,закончился,terminé,7
6711,медьера,de messagerie,67
10004,культ,culte,42
5984,кайман,caïman,69
9716,метель,tempête de neige,45
11565,братан,bros,30
2103,галлуп,galuptre,92
619,трекер,traqueur,90
3495,хадит,hadith,86
316,консервирование,mise en conserve,100
11630,коул,cole,30
13395,цвет,couleur,12
1736,брахма,brahma,94
11257,разрушать,détruire,14
3269,свалил,empilé,49
6670,плацдарм,tête de pont,65
10298,ученые,scientifiques,32
14329,заряжать,charge,14
199,гертруда,gertrude,100
14483,причина,raison,6
7867,заработная плата,salaires,30
13478,джексон,jackson,14
8087,воротник,collier,49
6766,паломники,pèlerins,59
6447,борнео,bornéo,68
9069,борг,borg,51
2653,малатион,malathion,90
11951,перепись,recensement,29
4919,перицы,péricades,78
13593,дейв,dave,12
11203,гордый,fier,35
6852,демобилизация,démobilisation,53
7625,наггетс,pépites,54
8357,шестнадцатый,seizième,56
8867,чилийский,chilien,52
956,погасить,éteindre,60
8102,соседний,voisin,36
4446,readd.,prononcé,80
14128,маршировать,mars,5
10145,фараон,pharaon,41
4220,криминал,criminalistique,45
10554,флорес,flores,40
10700,обрезанный,tondu,26
683,корм,fourrage,98
13872,потому что,parce que,7
11582,тайлер,tyler,32
12454,джонатан,jonathan,24
9949,окруженный,entouré,24
6313,паулина,pauline,67
8018,ноксвилл,knoxville,59
13255,стол письменный,pupitre,16
3957,пианист,pianiste,80
9609,путевой обходчик,linger,47
4566,шайд,foulée,74
8327,ориентация,orientation,32
13247,греция,grèce,16
6358,воздушное пространство,espace aérien,69
3365,прерывание,interruption,42
2743,догма,dogme,88
2506,херувисть,chérubin,90
8956,сакраменто,sacramento,52
609,аристократизм,aristocratique,85
6759,пульпа,pulpe,66
732,кумара,kumara,98
8850,наклонный,incliné,41
8480,подразумеваемое,implications,41
3475,реагирование,réagissant,45
8595,гениальность,génie,54
4469,ювелирные изделия,bijoux,81
2172,кролики,lapins,35
11753,трой,troy,30
5181,имплантат,implant,69
9112,конус,cône,49
4917,восхождение,ascension,78
13680,кусочек,bit,12
2593,противный,odieux,88
9488,джунгли,jungle,47
10160,феликс,félin,43
192,ако,ako,100
11997,подчеркивать,reflux,28
11979,доллары,dollars,20
14497,читать,lire,6
7249,бургесс,bourgeois,61
10716,экземпляры,instances,21
12775,дитя,enfant,16
1203,растяжение,entorse,70
3407,редвуд,séquoia,83
12091,бас,basse,28
5013,подписка,abonnement,64
820,канцероген,cancérogène,87
3516,эвкалипт,eucalyptus,86
346,хаджи,haji,100
3636,орошение,irrigation,83
6856,datheline.,quart de détails,66
6728,коринфянам,corinthiens,62
7936,гравий,gravier,59
1817,песочница,bac à sable,93
11929,цитаты,devis,14
10987,закуски,entrées,23
831,микросистемы,microsystèmes,98
8154,стойка,étagère,42
10473,ванна,wang,40
1881,апокалиптик,apocalyptique,81
151,тепла,chaleur,100
8880,осло,oslo,52
5709,захоронение,erreur,62
1083,поводья,rênes,73
13615,тагалог,tagalog,12
14101,страна,pays,8
11720,открытие,découverte,27
4548,запутанный,omis,71
10759,собор,cathédrale,38
3933,преждевременно,prématurément,51
1812,краеугольный камень,pierre angulaire,89
4857,скиф,skiff,74
8935,медуза,méduse,52
11128,распределен,distribué,20
13341,поэт,poète,15
9147,лион,lyon,51
6532,павиан,babouin,66
8969,совместимый,compatible,48
8375,санка,sci,56
7301,блиц,blitz,58
12865,утверждать,affirmer,15
12751,fm.,féminin,21
1039,мерзкий,de fortune,97
8226,mecca,mecque,57
6115,коренным образом,radicalement,53
8332,плагиат,plagiat,52
11430,троица,trinité,33
2655,патан,pathan,90
10371,сью,poursuivre en justice,41
8518,носки,des chaussettes,22
5714,резюме,cv,73
841,багги,petit chariot,97
8560,недостаточный,insuffisant,53
5577,кето,keto,74
3115,эгейский,égéen,88
10894,тимоти,timothée,38
10041,астрономия,astronomie,44
2035,питомник,garderie,92
11481,сассекс,sussex,33
4866,всадника,cavaliers,78
4415,картрайт,cartwright,81
10140,дуэт,duo,43
14407,ожидать,attendre,11
6538,высокомерный,arrogant,60
10695,леонардо,léonardo,39
5334,пропан,propane,75
7360,волай,flocon,62
5091,тропики,tropique,9
10613,максвелла,maxwell,39
10772,ацтец,aztèque,37
8247,орех,noix,44
964,jive.,swing,96
6795,модульный,modulaire,63
14181,третий,troisième,8
5392,пахнуть,odeur,51
5148,хардтоп,hard-top,77
3868,неразрешенный,non résolu,84
6937,учебник,cahier de texte,52
