ID,RUSSIAN,CHINESE,INTERVAL
10573,демография,人口统计学,37
9664,мальтузианский,马尔萨斯人,47
2286,ротор,转子,90
3033,аудитор,审计员,87
3703,несуществующий,不存在的,82
6129,скримить,吱,68
14069,закон,法律,8
12299,основания,理由,12
7097,минисеры,初始化,64
3850,кроссранс,讲话,82
5065,кадра,cad.,77
6101,очаговый,焦点,71
3321,антициклон,反岩,80
5325,торпед,鱼雷,70
12188,хребет,岭,26
4781,сибирь,西伯利亚,79
7126,бегая,逃走,45
13249,speedway.,赛道,16
9836,смертельный,致命,45
8622,уши,耳朵,36
6741,лестница,楼梯,62
2029,охрана,保障,86
10725,громко,响,38
11923,андроид,安卓,29
10162,трудности,困难,31
14360,январь,一月,5
3064,печная труба,烟囱,78
14092,операции,运营,6
4446,readd.,重新添加,80
12700,панбер,帕兹,21
4673,безвреден,无害,79
12011,ньюкасл,新城堡,28
8099,виски,威士忌酒,58
7352,консорциум,财团,62
7286,убеждение,定罪,32
9500,милосердие,怜悯,45
3724,арендовать,ar,85
12547,обмен,交换,21
8602,столетие,百年,52
12778,нарушение,违规,6
8139,занос,sk,55
10210,deutschland.,德意志,42
11272,герберт,赫伯特,35
7823,клэр,克莱尔,47
6442,алхимия,炼金术,69
1809,поправляться,蔓延,86
6495,правители,统治者,50
7170,борсина,熊,54
11405,ромео,罗密欧,34
4961,шершень,大黄蜂,54
10035,незначительный,轻微,43
13657,умышленность,可测量,8
13988,интерес,兴趣,8
2447,счастливый,acc,20
3085,раскрывать,透露,61
10610,опрашиваться,op.,35
4800,разоблачение,露出,35
2862,ароматы,味道,48
14398,дата,日期,6
2922,бериллия,铍,88
9068,гандбол,手球,49
14397,огонь,火,9
5817,гидроксилаза,羟化酶,73
4928,родовой,horn,78
6160,тяга,牵引,70
2035,питомник,苗圃,92
3097,неодобрение,不赞成,74
10548,озу,内存,22
13641,восемь,八,12
8920,грипп,流感,52
5165,ашер,asher.,76
8210,граф.,格拉夫,57
4555,флава,flav.,80
10010,одиссея,奥德赛,44
7255,прикрытие,隐蔽,63
371,трапециеобразный,梯形,97
9160,важно,世界卫生大会,51
543,гарман,哈曼,99
4869,фрагмент,分段,47
5228,артрит,关节炎,76
65,неудача,挫折,73
1976,легионеры,军团人员,89
11890,герб,徽,27
8500,противный,可恶的,55
12255,континентальный,大陆,26
11683,предпочитать,更喜欢,9
5705,рассказчик,叙述者,53
13117,диего,迭戈,17
10113,аспидиан,阿立迪亚人,43
12154,эр,呃,26
13356,независимый,独立的,12
10195,кирби,柯比,43
6399,дилер,经销商,56
2524,тиран,暴君,85
13826,был,到过,5
14316,макинтош,macintosh,42
2275,аквила,阿奎拉,91
1614,мотель,汽车旅馆,88
2262,вдальше,远处,91
6844,hasan.,哈桑,66
11652,ошибочно,错误,31
12083,строгий,严格的,27
2451,рассмеялся,笑了,38
7350,знаменитый,着名,25
3346,палочки для еды,筷子,87
910,тору,托鲁,93
5160,пострадавший,灾区,76
2014,заманчиво,诱人,65
9798,ренгер,游侠,17
11410,вина,过错,30
4844,карлин,carlin.,79
10768,семена,种子,12
7526,погружение,潜水,38
3552,просторный,宽敞的,86
9993,где угодно,到处,44
10257,ладонь,棕榈,39
4948,веревки,绳索,53
9198,годовой,每年,50
2752,цветочный,花的,89
5347,эротический,情色,75
6373,хлоя,克罗伊,69
10443,обесценение,损害,38
7277,игральная кость,骰子,62
6687,гай,盖斯,67
4050,сутра,佛经,81
5627,метокси,甲氧基,74
9534,шина,胎,34
2987,убедительно,令人信服地,88
3974,фрегат,fr,78
4153,артиллерист,枪手,64
5557,таурин,牛磺酸,74
2665,водоворот,惠而浦,89
38,уравновешиваться,equ,98
13023,граница,边境,16
11233,дуэль,决斗,34
6823,донна,唐娜,65
966,психиатр,精神科医生,94
10077,явный,expl,43
1067,ниггеры,扼杀,47
2161,наркотик,涂料,54
8240,аллона,allo,57
13723,бой,战斗,11
7609,acapulco.,阿卡普尔科,62
4874,фиктивный,虚拟,78
3087,огненный,火热,88
4411,рани,rani.,81
13760,приоритет,pr,11
575,приморский,海滨,99
9904,связался с,联系,5
2572,гамелан,游戏机,90
6664,желудочно-кишечно,胃肠道,67
13659,разрешающая способность,解决,12
816,сундук,太阳光,98
12431,служит,供应,11
4002,маховица,manhunt.,82
14290,север,北,8
2476,ландо,landau.,90
6845,одеяло,毯子,58
6181,бесс,贝斯,70
14198,вдоль,沿着,10
6804,лорел,月桂树,66
7400,арчи,archie,62
11591,ветераны,退伍军人,23
2336,на юг,向南,57
137,пористый,多孔,100
12612,стерена,史蒂文,22
13338,мм,毫米,15
6937,учебник,教科书,52
7192,порядочность,十分之一,63
8053,пассивный,被动的,56
4314,малаялам,马拉雅拉姆,82
5343,квадратный,quad.,73
3868,неразрешенный,未得到解决,84
13283,сидней,悉尼,16
5483,шиншилла,钦奇拉,74
10207,куртки,夹克,35
6577,братья,弟兄们,68
378,семинар,研讨会,89
10178,мик,米克,43
5361,импичмент,弹劾,63
10870,бенгальский,孟加拉,26
1218,мако,mako.,96
6283,montpelier.,蒙彼利埃,70
1481,антивирус,防病毒,95
6538,высокомерный,傲慢的,60
11886,баварский,巴伐利亚,29
1807,унылый,邓恩,93
4000,супер сила,超级大国,73
7913,строки,串,30
11363,финалисты,决赛选手,29
9417,реагировать,夺走,49
7907,грегор,格雷戈尔,59
5190,дроссель,风门,71
11676,джакарта,雅加达,31
12719,повторение,再次发生的,21
4607,морозона,桥梁,80
14468,хочет,想要,5
12883,сотни,百,15
12126,миллиард,十亿,26
12498,удача,运气,23
11881,денежные средства,现金,29
12926,богатый,富有的,19
14440,книга,书,9
11763,упрямый,卢克,30
6170,потогонный,血汗工厂,70
7147,eskimo.,爱斯基摩人,44
3645,чайковский,tchaikovsky.,86
1755,сюрреалистики,超现实主义者,64
10451,ист,ist.,40
286,джиллис,吉利斯,88
1831,хейки,斋h,93
6880,возвращение на родину,回归,65
1984,манг,曼,91
12203,либеральный,自由派,16
2893,шетланд,邻国,88
8657,альба,阿尔巴,54
94,диомид,划点,100
10530,координаты,坐标,21
12453,труд  работа,劳动,23
8666,плато,高原,53
14131,раз,时代,5
13588,джонсон,约翰逊,12
986,подвязывать,袜带,93
8245,прорвать,突破,54
4637,дистрофия,营养不良,80
13678,учредил,已确立的,10
13410,гарри,哈利,12
8282,посейдон,波塞冬,57
5231,безрассудный,鲁莽,75
6584,blackcap,黑色图,68
11808,аспект,asp.,30
174,эмаль,搪瓷,97
6362,бигль,小猎犬,69
11503,тибет,西藏,33
7745,подземелье,地牢,43
8574,легче,打火机,53
5083,чизкейк,芝士蛋糕,76
444,барометрический,气压,100
10125,срез,苏,43
6076,медитация,冥想,62
2767,cerberus.,塞伯卢斯,89
6465,каракас,加拉加斯,69
13633,иметь значение,事情,12
2768,голиат,戈尔亚日,89
2409,акупунктура,针刺,91
3583,воображение,eau,86
10936,латвия,拉脱维亚,38
7473,табло,记分牌,61
1871,беглый,流利,93
880,галогенид,卤化物,95
6568,ремик,重拍,63
2913,пампас,pampas.,86
3083,язва,溃疡,86
8246,фанк,时髦,57
5834,горан,戈尔曼,73
10838,терминал,终端,24
14334,америка,美国,5
8800,вещатель,广播公司,13
12018,полуостров,半岛,28
13186,иностранный,外国的,16
11680,салем,塞勒姆,31
5899,антилопа,羚羊,72
3926,карантин,隔离,77
6825,двадцатые годы,二十多岁,13
1942,лазарь,拉撒路,93
5090,устный,口头,66
189,awa.,aw,100
14465,ассоциация,协会,10
3816,домашняя птица,家禽,85
2822,вредный,害虫,86
4849,диаспора,侨民,78
4151,бессил,贝恩,82
2254,предельный,前书前,91
4547,мельтон,梅尔顿,80
7857,свободно,松散,30
5589,пивоварение,酿造,41
6921,гончая,猎犬,60
10981,концентрация,浓度,25
4570,нежно,轻轻一点,80
10941,лима,利马,37
2152,василь,漕,92
1649,чеддер,cheddar.,94
2074,centurion,百长子,85
6352,лямбда,lambda.,69
3303,рецепт,处方,81
12591,упражнение,锻炼,19
5900,телегариатор,tele.,72
8204,сесил,塞西尔,57
13963,собственный,自己的,7
9218,бензин,汽油,50
11949,канал,运河,28
10342,датский,丹麦语,41
3961,дебилы,蠢货,49
5029,побуждавать,sp,34
11653,владение,所有权,31
6798,пневмония,肺炎,66
14287,финал,最终的,7
2547,латук,生菜,90
7990,шампанское,香槟酒,59
9510,трубка,管道,39
2644,солнцезащитный крем,防晒霜,90
9813,пентагон,五角大楼,43
8197,нет на месте,缺席的,57
13406,долина,谷,14
6069,просьба,恳求,57
4481,красивый,英俊,79
9626,проституция,卖淫,43
5031,гармоника,谐波,71
9603,питание,营养,45
6773,хроматография,色谱法,66
13774,поздно,晚了,11
11428,поло,马球,33
11263,шапка,帽,23
3240,жирным шрифтом,粗体,80
12888,фестиваль,节日,18
7,карбонит,carbonite.,100
11523,тунис,突尼斯,32
4069,тотем,图腾,82
6970,восстановленные,重构,60
5376,shoplifting.,入店行窃,72
13681,послал,发送,12
2311,беспокоить,打扰,21
7747,кульминация,开心,40
13433,матовый,matt,14
12588,альберт,阿尔伯特,23
277,седаны,轿车,49
7283,карамболь,卡罗姆,62
8389,фраг,fra.,56
2203,консорт,配偶,88
14466,в розыске,通缉,5
13721,вкладчик,贡献者,10
3266,покнуть,戳,71
6342,схватить,窥探,67
8571,югослав,yugoslav.,53
1026,свекла,甜菜,93
11545,плоский,平坦的,30
5019,кудрявый,卷曲,77
7070,вытереть,擦拭,51
5703,удар,撞,54
4452,кинематографисты,电影迹手,64
5991,этна,etna.,72
12296,подача,沥青,15
11197,тактика,策略,18
9062,бутылка,瓶子,40
10303,лист,叶子,22
4634,повседневность,荡平,70
877,неуловимый,难以捉摸,96
10750,эфир,eli,38
7050,chesapeake.,切萨皮克,65
10143,аристотель,亚里士多德,43
6017,мириам,miriam.,71
4274,оксидаза,氧化酶,81
10417,сьюзен,苏珊,41
8127,певцы,歌手,19
13502,сцена,阶段,11
7586,малина,覆盆子,62
11274,рыбак,渔民,35
13036,бросил,抛出,18
993,эклектический,折衷,97
8413,повседневная,随意的,52
1207,ленинист,列宁主义者,96
10021,компоненты,成分,28
6116,шлепок,拍击,54
2515,казацкий,哥萨克,81
1994,ламера,拉米尔,93
3332,плоскость,扁虫,87
5333,гладстон,格兰德斯通,75
13077,институт,局,12
560,гимны,处女膜,99
12696,шаблон,图案,20
1577,межличностный,人际交往,94
850,каледон,喀里多尼亚人,98
8588,по фаренгейту.,华氏度,55
12897,джимми,吉米,20
10818,мета,荟萃,38
10192,гамма,伽玛,43
13924,против,反对,7
10903,покер,扑克,38
10572,злость,愤怒,37
3298,ура,耶,87
4586,легкая победа,走路,79
6339,неразрешенные,未发布,69
13766,плюс,加,11
3374,оформленный,裱框,23
539,антиполо,反气子,99
11531,коэн,科恩,32
8841,полнота,整体,53
5450,посетитель,游客,9
9698,мнес,mnem.,47
917,лемма,引理,97
8954,ronde.,隆德,52
13895,вниз,向下,9
12670,пиксели,像素,21
9761,кентербери,坎特伯雷,46
10315,песок,沙,35
13370,энергия,活力,14
5726,нереальный,虚幻,72
7357,тормоза,刹车,38
1441,арамейский,札记,95
9588,так же,同样地,47
7345,солидарность,团结,62
108,пожарный,消防队员,100
11699,безопасно,安全的,27
471,привесок,拴住,96
13497,mph,m,13
6159,разрядка,裂痕,69
8032,бейтс,贝茨,57
5166,лидер,libre.,76
11926,библия,圣经,28
2241,гонорея,淋病,91
7322,флора,植物群,62
7636,кикеры,踢球者,19
8476,кузница,锻造,45
8673,эстонский,爱沙尼亚人,51
12139,дух,精神,25
2932,наружу,向外,84
4187,черная птица,黑鸟,82
11919,аст,ast,29
5104,переработано,重新设计,21
6207,главным образом,主要,70
9345,домашнее задание,在家工作,49
11918,дирков,短剑,29
14152,упаковка,包裹,20
3629,ашанти,ashanti,86
6176,сироп,糖浆,70
10761,домашний питомец,宠物,35
3436,скандинавия,斯堪的纳维亚,87
1679,в гору,上坡,94
6819,паддок,围场,66
1780,энергично,大力,66
1256,поклониться,鞠躬,36
8156,руда,矿石,57
4353,meiji.,明治,81
11346,албания,阿尔巴尼亚,34
593,хроматин,染色质,99
4173,федералист,联邦主义者,81
13644,зал,大厅,12
425,супермарин,超级甲串,100
7242,меламин,三聚氰胺,63
1850,аллитерация,头韵,93
8398,стечение обстоятельств,巧合,39
12463,тайвань,台湾,24
6904,лиризм,读书,66
5901,непреднамеренный,无意,64
8311,аппарат,仪器,57
4915,поствар,战后,78
8376,уверенная в себе,自信的,33
11115,барселона,巴塞罗那,36
12042,панк,朋克,27
7599,вкладыша,衬垫,58
13964,четыре,四个,6
8269,аренда,租,46
3991,релата,relata.,83
13834,вверх,向上,6
13529,широкий,宽的,12
13179,преступление,罪行,10
5068,тянуть вниз,拉下,77
14504,пробеги,运行,7
395,круглолицый,胖乎乎的,100
12326,рейтинг,排行,7
9024,диоксид,二氧化碳,52
9936,шире,更宽的,44
2952,отпечаток,印迹,68
8689,грустно,可悲的是,54
7211,странствия,旅行,16
11694,перевозчик,载体,28
9884,18,十八,45
4384,навязчивый,捕捉器,65
6778,флейта,长笛,64
7418,близнецы,双子座,62
14162,другие,其他的,5
4490,радий,镭,81
1664,председатели,担任主席,94
6672,превосходство,霸权,67
11315,начальство,优越的,30
8933,товарищ по команде,队友,29
12691,дружелюбный,友好的,22
5598,принудительно,强制,67
10396,ранний,earl,41
6035,горло,喉,62
2696,кортина,cortina.,90
11764,рядом  поблизости,附近,30
12806,дания,丹麦,20
2096,восклицание,感叹,90
9336,обломки,碎片,49
9978,основные моменты,强调,21
7311,дт,dt.,62
2698,лимонин,柠檬烯,89
894,пешеходная дорога,走道,94
