ID,RUSSIAN,DEUTSCH,INTERVAL
13454,шутить,scherzen,12
9250,череп,schädel,48
13780,у,y.,11
5972,раковина,waschbecken,51
8373,янтарь,bernstein,56
10990,солнечный свет,sonnenschein,37
7248,право собственности,berechtigung,31
6365,мирт,myrte,69
12445,династия,dynastie,24
11994,расширенный,erweitert,16
7006,ацил,acyl.,64
9836,смертельный,tötlich,45
5470,бис,zugabe,72
5249,уборщик,hander,76
1172,келоуна,kelowna,96
12577,диоксида,di,22
2738,школьник,schüler,86
11634,бард,barde,31
8579,дем,darm,55
13629,разъем,jack,12
12410,оручитель,wright,24
12656,венгрия,ungarn,22
11759,епископ,bischof,29
5229,каспийский,kaspian,76
6420,ходж,hodge,69
11148,скачать,herunterladen,26
10125,срез,sur,43
9307,дебютированный,debütiert,19
10279,плава,plaza,41
85,время мечтать,traumzeit,100
5745,возобновить,wiedereröffnet,61
9850,геркулес,herkules,45
5980,вила,vila,71
9692,пятнадцатый,fünfzehnten,46
4879,наемник,söldner,60
5257,нести,haftbar,75
14486,особенность,besonderheit,9
10091,утомительный,got,43
567,якобит,jakobit,96
2977,метрополис,metropole,88
4203,ломка,schrott,52
11584,черчилль,churchill,32
2469,капитализированный,großgeschrieben,69
9501,банда,bande,22
6037,заканчивать,konzour,70
9451,чендлер,chandler,48
9189,полномочий,voller,50
13206,определять,bestimmen,9
13601,подразделение,abteilungen,7
9174,поздравляю,herzliche glückwünsche,43
8239,снеговик,schneemann,57
13526,сервисы,dienstleistungen,7
14084,двигаться,bewegen,8
4458,оригами,origami,80
2583,доброта,freundlichkeit,13
5023,по часовой стрелке,im uhrzeigersinn,77
10628,преподавание,lehren,29
192,ако,ako.,100
8375,санка,sci,56
7686,бойден,bowden,61
4164,кальлан,krautsalat,82
8452,дворник,wärter,56
14506,легковые автомобили,autos,9
9498,аин,ain,48
8808,македонский,mazedonisch,47
4375,панорамный,panorama-,81
8838,храбрый,tapfer,22
6963,афродита,aphrodite,65
124,приступ,fogle,100
12781,сессия,sitzung,18
1021,бойкот,boykottieren.,62
1160,капуцин,kapuziner,96
1580,ночевка,nomade,78
3281,бензоат,benzoat,87
12544,письмо,buchstabe,18
8345,сала,sala,56
12005,странный,seltsam,24
1008,телеграфия,telegrafie,97
8852,обезьян,affen,23
2476,ландо,landauer,90
12788,фальсификация,fa,20
6965,эякуляция,ejakulation,62
7824,утопия,utopie,60
7172,задуть,ausblasen,62
3615,тарантула,tarantel,85
1929,желчь,galle,93
7035,ат,abtropfen,64
4077,беринг,bereifer,80
1465,последовательно,der reihe nach,65
7175,род,gattung,63
1147,живучи,stirb langsam,96
3733,боковые линии,reitlinien,48
420,кунопись,keilschrift,100
3652,ателье,atelier,84
2034,катод,kathode,89
10592,ветчина,schinken,38
1250,громкий,lauter,96
6947,верность,treue,63
5348,обряд,ritus,66
2654,эйр,eyre,88
6889,ромеро,romero,65
10132,мгновенное,sofortig,42
1745,лян,liang.,94
6445,цапля,reiher,68
13690,деньги,geld,12
808,путч,putsch,98
2157,люмень,lumen,90
7060,трубопровод,pipeline,62
5174,вагинал,vaginal,73
1607,хищник,hirst,94
8173,скромный,bescheiden,57
9294,мониторинг,überwachung,16
6052,озвучий,punik,71
14354,женщины,frauen,11
6278,горрина,horry,70
1185,ниацин,niacin,96
12827,корейский язык,koreanisch,19
4101,винный дом,weinhaus,83
11316,плечо,schulter,30
13856,только,nur,6
13299,встретились,getroffen,13
7712,корвет,korvette,59
2696,кортина,cortina,89
9398,лин,lyn,49
795,вкусно,schmackhaft,96
802,матадор,matador,96
4425,инвариант,invariant,63
9,переделать,remade,100
12459,ходок,gehhilfe,24
3852,разветвленный,verzweigt,25
1793,целлюлоза,zellulose,88
9972,тс,ts.,44
371,трапециеобразный,trapezförmig,97
5307,филиппо,philippo,75
9765,ленч,lynchen,42
12817,берлин,berlin,20
6856,datheline.,datumsgrenze,65
10636,теодор,theodor,39
11350,партнерство,partnerschaft,32
12378,честь,ehren,19
12131,кандидат,kandidat,19
11806,лев,löwe,17
10072,легендарный,legendär,43
986,подвязывать,strumpfband,94
600,ночная рубашка,nachthemd,99
9035,пруссия,preußen,52
10352,дел,dell,41
11503,тибет,tibet,32
7236,список используемой литературы,literaturverzeichnis,62
6147,репарации,reparationen,65
13406,долина,schlucht,14
7956,бухарест,bukarest,59
6107,земляный червь,regenwurm,70
1599,затвердевать,härten,73
11581,руозвельт,roosevelt,32
8995,сага,saga,51
5845,м.в.,mv.,72
6937,учебник,lehrbuch,52
8340,олимпия,olympia.,56
2322,пикс,pix,91
10138,босс,boss,40
4140,бедуин,beduine,76
9275,тр,tr.,45
11987,шоссе,autobahn,24
3113,пловец,schwimmer,73
4205,ретро,retro,82
12321,югославия,jugoslawien,25
5451,теоретически,theoretisch,54
45,писание,schrift,80
664,fitfy.,zweifelhaft,98
13768,сам,selbst,12
7411,латышский язык,lettisch,61
10836,афган,afghanisch,37
8907,трентон,trenton,52
3089,каспер,kasper,88
4731,библиотекарь,bibliothekar,73
8648,доверие,vertrauenswürdige,24
2304,ноль,noll,91
12242,концепция,konzept,23
10574,нептун,neptun,39
6274,вац,wac.,70
2504,четверка,vierer,74
13074,лаборатория,labor,18
7839,лжец,lügner,55
7208,влияние,affekte,9
9565,бетти,betty.,47
10913,лягушка,frosch,33
8061,съел,aß,57
11813,мини,mini,29
11611,наоборот,gegenteil,32
631,неразрезанный,ungeschnitten,99
13164,роль,rolle,16
11116,субтропический,subtropisch,36
462,контрастировать,kontrastiert,33
13197,патриот,patriot,12
11011,черепаха,schildkröte,32
13165,башня,turm,15
945,карамель,karamell,95
1927,метанол,methanol,93
13505,арбитраж,schiedsverfahren,13
13993,пять,fünf,9
4429,терновый,dorn,76
10294,женат замужем,verheiratet,37
7001,чаплина,chaplin,65
10253,логан,logan,42
13089,робот,roboter,17
14151,юг,süd,8
1452,проезжая дорога,fahrbahn,95
10495,атмосфера,atmosphäre,31
11065,плутон,pluto,37
6994,шеви,chevy,65
4502,звездоход,raumschiff,80
8458,туберкулез,tuberkulose,55
7854,речной,riverfront,60
12807,сочетание,gekoppelt,12
7397,тара,tara,62
7372,симптомы,symptome,59
9745,рукав,ärmel,36
5810,папоротник,farn,71
1239,исключать,ausschließen,79
8065,сегменты,segmente,33
10474,лига,lig,40
11601,лодка,boot,26
4888,вентия,binte,78
10385,маг,zauberer,40
9420,апартеид,apartheid,49
9625,геометрия,geometrie,47
14097,встреча,treffen,10
1505,бассет,basset,95
12109,преданный идее,engagiert sein,20
9932,веревич,heide,44
7663,радиоактивность,radioaktiv,60
11969,превосходно,ausgezeichnet,23
6119,электра,electra.,70
7482,разоружение,abrüstung,62
13405,регби,rugby,14
9669,диабло,diablo.,47
1357,щелочный,alkalisch,94
14196,страны,länder,8
44,воспоминания,flashbacks,83
11287,лента,band,27
11371,зачислен,angemeldet,29
11211,вермонт,vermont,35
8197,нет на месте,abwesend,57
12710,дональд,donald,22
5048,виват,vivat,77
6222,плутоний,plutonium,70
5944,труп,leiche,60
5998,равномерно,gleichmäßig,71
