ID,RUSSIAN,POLONAIS,INTERVAL
2909,буфет,kredens,88
14175,держать,trzymać,9
11493,венера,wenus,19
8918,обязательный,obowiązkowe,52
6511,меркат,surykatka,68
1149,нарды,backgammon.,96
2755,жажда,żądza,85
3838,шок,ohyda,82
2323,симбиоз,symbioza,91
3490,аминотрансферазы,aminotransferaza.,86
6232,утонченность,hon,70
1116,солнечные часы,zegar słoneczny,92
13341,поэт,poeta,15
5192,альдолаза,aldolaza.,76
10451,ист,ist.,40
633,аточа,atocha.,99
13934,затем,następnie,5
10134,папуа,papua.,43
12526,ответил,odpowiedział,11
11608,пальто,płaszcz,27
8852,обезьян,małpy,23
6522,пий,pius.,67
7425,самый сложный,najtrudniejszy,62
12894,провинция,województwo,18
14033,думать,myśleć,7
1492,урбана,urbana.,95
5507,манзанильо,manzanillo.,75
13744,депрессия,depresja,11
7071,искренний,zadatek,64
5874,белки,białka,30
3635,расписано,odtajlany,85
1107,хранитель,strażnicy,42
11266,вмешательство,interwencja,34
14216,использование,użycie,5
9425,семнадцать,siedemnaście,49
5383,альбедо,albedo.,73
1946,пропущенные,rażący,71
11044,оказано,renderowane,18
6032,означаемый,oznaczony,44
6132,мэгги,maggie.,70
5137,иллюминаты,illuminati.,77
773,реёс,rhein.,98
8596,трибуна,trybuna,44
4649,регенерация,regeneracja,62
7381,подружиться,poręczny,62
8839,несомненно,przyzwyczajenie,53
13596,тенденция,tendencja,12
333,hiccup.,czkawka,97
10082,дельфин,delfin,25
2253,чехословак,czechoslovak.,87
3947,иш,ish.,83
11084,добыча,górnictwo,16
9980,реконструкция,rekonstrukcja,39
9962,туалет,toaleta,44
6555,сотрясение,wstrząs mózgu,65
2707,очередь,kolejka,81
7020,амман,amman,65
12438,барри,barry,24
11821,последовательность,sekwencja,27
2095,лизосома,lizosom.,92
8712,хомяка,chomik,53
3384,несовместимый,niekompatybilny,81
8900,медовый,kochanie,52
8937,мамонт,mamut,51
765,буханка,bochenek,96
10994,дерби,derby,37
10877,символы,symbolika,19
1292,толстой,tolstoy.,96
5853,грааль,graal,72
7233,капиталист,kapitalista,60
7113,евклид,euklid.,64
8203,гренландия,grenlandia,57
5686,ломание,lowry.,72
9347,изгнание,wygnanie,42
2735,мирон,myron.,89
548,мелодрама,melodramat,98
1690,глаукома,jaskra,94
14519,приносить,przynieść,6
12834,в основном,przeważnie,21
6807,орфический,orficki,66
3145,друже,druze.,88
12936,порт,port,18
13405,регби,rugby,14
13374,айова,iowa.,15
14464,подано,wniesiony,6
11352,десятичная дробь,dziesiętny,31
7681,геральдика,heraldyka,61
3760,экзамены,egzaminy,64
9294,мониторинг,monitorowanie,16
5340,брошюра,broszura,64
4275,испанец,hiszpan,68
7956,бухарест,bukareszt,59
2861,тросточки,laski,56
12097,аргументы,argumenty,17
12620,док,doc.,22
5114,счеты,liczydło,77
8572,заблуждение,blk.,55
2526,hasidic.,chasydzki,88
2435,кислотность,aciduria.,91
9006,ковентри,coventry,52
636,лична,lich.,99
10135,версаль,versailles.,43
2625,коронация,koronacja,61
11632,осадки,opad deszczu,31
8662,византийский,bizantyna,54
141,рейз,reis.,80
4431,дорадо,dorado.,81
4845,бриджпорт,bridgeport.,78
3278,куань,küan.,87
4223,затененный,zacieniony,46
7702,кастильо,castillo.,61
1459,регата,regaty,93
2519,насыщенный,ruchliwy,90
6544,курьер,kurier,66
7010,воос,vox.,65
14211,недели,tygodnie,9
8075,губка,gąbka,58
975,подстрекать,nawoływać,62
9403,дезертир,desc.,49
4948,веревки,liny,53
8534,графит,grafit,55
9015,кататься на коньках,łyżwa,20
1386,анаморфы,anamorficzny,96
7642,прелюдия,preludium,59
9924,арабский,arabski,44
13442,неопределенно,w sposób nieokreślony,13
13832,имел,miał,7
10642,образец,próbka,29
5134,кетчуп,keczup,77
10223,гильс,giles.,42
934,распятие,ukrzyżowanie,97
1812,краеугольный камень,kamień węgielny,89
7774,бруки,brookie.,60
245,администрирование,administrować,50
6709,мидфилд,pomocnik,53
8749,пастер,pasteur.,51
12627,фрэнсис,francis.,23
13586,метод,metoda,12
9847,стиха,werset,38
1285,индуцировать,spowodować,51
14421,вещь,rzecz,8
14227,возвращаться,powrót,9
3436,скандинавия,skandynawia,86
4650,ита,ita.,80
5959,гламур,glam.,71
12641,освещать,rozjaśnić,22
9813,пентагон,pięciokąt,43
13358,зима,zima,15
3470,капон,czapeczka,76
2874,leprechaun.,krasnoludek,86
5811,термометр,termometr,72
9901,беременность,ciąża,44
1304,деревообрабатывание,obróbka drewna,86
5869,бэзил,bazylia,72
6965,эякуляция,wytrysk,62
6336,семинария,seminarium duchowne,66
10491,подиум,podium,39
11487,защищать,bronić,14
13642,рекорды,dokumentacja,7
12696,шаблон,wzór,20
6622,педофилия,pedofilia.,67
238,ворсин,drzemka,81
12477,чешский,czech,23
6304,преподаватель,bec.,70
8800,вещатель,nadawca,13
6052,озвучий,punicki,71
7696,траур,żałoba,56
6229,героический,heroiczny,59
13181,принадлежит,należy,12
10818,мета,meta.,38
12017,соло,solo,28
1101,епархиальный,diecezjalny,96
8306,сопряженный,sparowany,20
2533,героизм,bohaterstwo,90
10540,окинава,okinawa.,40
3113,пловец,pływak,74
5821,подготовить,przygotować się,70
8200,лишать,lite.,56
368,суахили,suahili.,100
3428,spsicle,lód na patyku,86
14438,начал,rozpoczęty,7
12614,калгари,calgary.,23
10570,регулярно,regularnie,39
9255,пифагор,pitagoras.,50
9803,главное,ważniejsze,46
4903,оленей,renifer,78
6151,защитный,ochronny,10
6264,оптимальный,optymalny,70
6079,запрещено,niedozwolony,64
2433,торфяна,torf,91
7077,скандалы,skandale,26
7283,карамболь,carom.,62
8637,чингис,genghis.,54
10770,дирижабль,zepelin,38
14235,разрешает,pozwala,9
12474,договор,traktat,19
3507,пхеньян,pyongyang.,86
2520,банкомат,bankomat,90
13327,движение,ruch,14
13345,упражняться,ćwiczyć,12
8058,гренада,grenada,58
10452,вылет из,wyjazd,39
12421,остин,austin.,25
4341,эзоп,aesop.,81
10231,марция,targowisko,41
10420,днуйт,dwight.,41
2897,холестерин,cholesterol,88
13664,местный,lokalny,12
5901,непреднамеренный,nieumyślny,64
6921,гончая,pies,60
1581,реквизит,rekwizyty,62
2229,смог,smog,91
8692,молли,pedał,53
10158,ресторан,restauracja,37
7742,хор,chór,60
9384,насыпь,kopiec,46
14503,распределение,dystrybucja,20
11697,снял,wycofany,31
12278,фб,pełne wyżywienie,26
7142,разразиться,breakout.,63
6768,криптон,krypton,66
13771,почти,prawie,12
6206,омрачил,przyćmiony,65
11889,венесуэла,wenezuela,29
6518,пуритан,purytanin,62
11612,блеск,blair.,32
9811,сказки,opowieści,30
9186,суп,zupa,50
4262,пах,pachwina,81
9704,капитолий,capitol.,46
10694,кембридж,cambridge.,39
8980,восемьдесят,osiemdziesiąt,49
6590,обрезать,gruz,67
763,цуккини,cukinia,98
5999,ворчание,chrząknięcie,70
2529,сдвинуть,drgnąć,89
7098,дикс,dix.,64
13350,скорость,prędkość,14
1206,чесотка,świerzb,96
1205,каникула,quan.,96
12217,ватсон,watson.,26
820,канцероген,czynnik rakotwórczy,87
6818,телепередача,program telewizyjny,58
5882,сжатый,sprężony,44
6417,лиен,zastaw,68
3734,трамвай,tramwaj,78
14229,часы,godziny,9
39,отлаживать,odpluskwić,90
5664,перекресток,skrzyżowanie ulic,72
10404,шум,hałas,40
12045,локомотив,lokomotywa,19
12286,самый последний,najnowszy,26
12032,координат,cornix.,28
5976,скука,nuda,71
10568,воспроизводитель,powtórna rozgrywka,33
13812,анонца,jakiś,5
8571,югослав,jugosław.,53
11530,извлеченный,odzyskany,28
4851,гольштейн,holsztyn.,78
2879,возрождаться,wskrzeszony,72
8677,аутизм,autyzm,54
10696,мюллер,muller.,39
4658,неизбежно,nieuchronnie.,50
9736,простота,łatwość,40
7856,нанкин,nanking.,60
10290,civic,obywatelski,41
2650,крипто,crypto.,90
191,остента,ostentacja,100
4521,своеобразный,osobliwy,75
10176,лахор,lahore,43
4853,предстательная железа,prostata,76
12924,jay.,sójka,17
10750,эфир,eli.,38
11219,бр,br.,35
13260,банк,bank,14
9983,заложник,zakładnik,35
13548,пенсильвания,pensylwania,13
13979,найденный,znaleziony,6
2826,трижды,trzykrotnie,88
10237,ключи,klucze,11
6645,надзор,przeoczenie,66
4132,прибавлять,berbeć,82
8941,габон,gabon,52
6312,священник,sanktuarium,68
47,шпиц,szpic,100
2493,альбатрос,albatros,90
12081,бомбардировка,bombardowanie,27
62,копатель,koparka,89
2664,лайссес,laissez.,90
58,лимонад,lemoniada,100
11998,плохо,słabo,28
10624,консолидированный,skonsolidowany,33
5143,гомофобия,homofobia.,77
5076,кусок,kawałek,53
520,unaccounted,niewykorzystany,94
5899,антилопа,antylopa,72
2667,олигархия,oligarchia,89
1883,аланин,alanina,93
5934,правдоподобный,wiarygodny,68
11678,бермудские острова,bermuda.,31
6654,афро,afro,67
4894,дайвер,nurek,64
7511,прокуратура,prokurator,50
8540,барсучий,borsuk,43
1640,перепечатать,przedruk,64
7614,интересно,co ciekawe,62
7093,снукер,snooker,64
14404,обзор,recenzja,7
7816,перепроверять,sprawdź,60
9578,лотерея,loteria,47
7126,бегая,uciec,45
2302,психика,psyche,85
1298,лидия,lidia.,96
13313,гал,gal,16
8370,сотовая связь,komórkowy,56
13836,один,jeden,5
9041,фанк,boj,51
5657,удовлетворительно,zadowalający,73
8481,завещание,testament,54
4072,блэк джек,maczuga,82
8880,осло,osło,52
7580,авель,abel,62
13232,додо,dront,16
5261,маккартизм,mccarthyism.,76
826,арендодатель,gospodarz,91
1547,оргия,orgia,93
7292,чил,chil.,63
2031,зороастризм,zoroastrianizm.,88
1128,тана,tana.,96
9053,мгла,mgła,49
2999,желатин,żelatyna,88
719,тоньше,cieńszy,98
4330,граймс,grymaty,78
3053,мер,merv.,88
12160,экспедиционный,ekspedycyjny,27
2591,документальные фильмы,filmy dokumentalne,33
5345,снежный,śnieżny,75
9836,смертельный,śmiertelnie,45
12629,номинально,nominalnie,10
8594,маркиз,markiz,54
1133,изм,izm,88
7813,санчо,sancho.,60
10090,воздерживаться,odstąpić,43
2370,амар,amar.,91
7270,квадраты,kwadraty,15
11280,первокурсник,student pierwszego roku,35
14212,обвинения,opłaty,14
4144,самый широкий,najszerszy,82
9524,вуду,wiara w czary,48
12847,подтверждать,potwierdzać,13
14271,действительно,naprawdę,9
14125,половина,połowa,10
4752,мужество,śmiałość,79
5333,гладстон,goguś,75
13932,все еще,nadal,7
3395,кимбо,kimbo.,86
9277,генезис,geneza,50
9195,сосуды,statki,39
7867,заработная плата,wynagrodzenie,30
680,археолог,archeolog,88
13702,победитель,zwycięzca,10
12040,предложение,sugestia,9
6042,мотокросс,motocross,71
2675,паршивый,parszywy,90
5245,музена,pułapka na myszy,76
2511,дунги,nawożony,90
8541,круги,kółka,26
11925,взимается,naładowany,14
6344,ученик,uczeń,68
10976,кожа,skóra,33
10207,куртки,kurtki,35
12113,леди,dama,21
9415,воображаемый,wyimaginowany,49
5196,частицы,cząstki,47
3993,копейки,moneta dziesięciocentowa,77
13390,еда,jedzenie,14
6016,палочки,kije,22
4329,цепкий,wytrwały,78
5592,долорес,dolores.,69
1066,сошнуть,soho.,96
13733,осведомленный,świadomy,12
4044,калькутта,kalkuta,83
3307,кормон,kordon,75
9201,подходит,przystosowany,20
11375,взяться,przybory,24
6995,коридор,korytarz,61
14402,требовать,wymagać,6
10747,адвокат,adwokat,36
1647,симметричный,symetryczny,82
9013,в отставку,rezygnować,25
8926,лень,lenistwo,52
7005,акустический,akustyczny,60
7359,праздный,bezczynny,61
1320,легис,legis.,96
836,raphoto.,rapido.,98
11766,везучий,mający szczęście,30
14262,корпоративный,zbiorowy,16
10916,медь,miedź,38
13398,мертвых,martwy,15
4768,камарон,camaron.,79
12720,лошадь,koń,19
7775,антоний,antony,60
3466,эмитент,emitent,85
1026,свекла,buraczany,94
6790,горох,groszek,45
11269,мальта,malta.,35
2756,угнетение,ucisk,67
9310,счетчик,z siedzibą,17
12433,турецкий,turecki,24
10541,каролл,carroll.,40
11948,платформа,platforma,25
10735,неванность,bluźnierstwo,28
12424,полночь,środek nocy,24
10716,экземпляры,instancje,21
11976,мыльная коробка,soapbox.,28
12861,фил,phil,20
13958,месяцы,miesiące,10
63,хитрость,naciągnięcie,100
771,орден,ord.,98
12934,фред,fred.,19
4327,гастронома,gar.,79
14320,источник,źródło,6
10500,родригес,rodriguez.,40
4822,олдерман,radny miejski,78
8803,понг,pong.,53
12307,просто,zaledwie,8
3294,булочка,kok,54
7423,анджелина,angelina.,62
6101,очаговый,ogniskowy,71
6247,ном,nie ja,69
13086,рынок,rynek,13
2463,отбиение,bashing.,51
1651,лорд,losy.,94
5242,монолит,monolit,68
3301,персона,osoba,78
14490,перевернутый,obrócony,9
12826,карл,carl.,20
10081,пещера,jaskinia,38
9057,скучный,nudy,33
1056,серина,serine.,91
6596,прото,proto.,67
10719,зрение,widok,31
10213,могущественный,potężny,42
11544,сиденье,siedziba,20
13271,реле,przekaźnik,16
1443,застенчивый,cest.,95
318,нюанс,nuaminowany,85
8114,смесь,mieszanina,55
3736,закуска,przekąska,75
4151,бессил,bain.,82
7591,переполненный,zatłoczony,18
7499,настольный,pulpit,62
13234,дорогая,drogi,16
8996,шепот,szept,32
12628,элизабет,elizabeth.,23
8857,лысый,łysy,48
9380,солипсист,solipsist,49
13579,корея,korea,13
7862,не нравится,nie lubić,52
13883,система,systemy,8
375,кремнеземный,krzemionka,100
8523,бон,bon.,55
8717,вызывать,spust,38
3312,аэронавтика,aeronautyka,70
4181,ионическое,joński,82
4636,кряква,mallard.,78
11582,тайлер,tyler.,32
12442,ловить,złapać,19
13547,формула,formuła,13
1963,топографический,topograficzny,90
6948,оракуль,wyrocznia,65
6372,армагеддон,armageddon.,69
6791,ритмичный,rytmiczny,66
5831,авафта,auf.,72
910,тору,toru,93
4225,приток,napływ,81
1329,горгулья,gargulec,92
13334,добывать,ho.,15
6782,автономия,autonomia,66
5860,плотва,płoć,71
14149,одинокий,pojedynczy,9
11946,выраженный,wyrażone,15
1356,гленвуд,glenwood.,96
4001,позолоченный,pozłacany,83
8211,коперник,copernicus.,57
4088,акадея,acadia.,83
10513,слухи,plotki,35
7616,карма,karma,61
8031,катлер,nożownik,59
2927,пиренеи,pireneje,88
7415,схватка,bójka,61
1317,корсар,korsarz,94
2006,плотники,stolarzy,47
2070,барангай,barangay.,92
447,неповрежденный,nie uninja,100
2684,ультрамарин,ultramaryna,90
5700,гаспачо,gazpacho,73
8554,уотергейт,watergate.,55
2976,урса,ursa.,64
5746,лома,loa.,73
5904,левитация,lewitacja,70
5941,осадочный,osadowy,72
8408,винчестер,winchester.,56
5797,полупроводник,półprzewodnik.,69
8105,сознательный,przytomny,58
8147,вилка,widelec,40
7454,и.,io.,61
9248,изобретение,wynalazek,30
764,манс,manx.,98
13931,состояние,państwo,6
12257,подозревать,podejrzany,16
7382,раздражающий,denerwujący,7
3566,лекция,wykład,60
12144,сербия,serbia,27
3550,управленческий,kierowniczy,86
1936,морозена,diadem,89
2140,пропитанный,namoczony,84
9204,божественный,boska,47
7877,лайм,limonka,59
14354,женщины,kobiety,11
14408,фигуры,figury,12
3475,реагирование,reagowanie,45
4202,тис,cis,81
8426,ньюарк,newark.,56
13438,литература,literatura,14
10039,азот,azot,43
3325,поднятие,bebop.,87
5348,обряд,obrzęd,67
11443,николас,nicholas.,33
1072,сокровища,skarby,47
6386,арфа,harfa,66
2547,латук,sałata,90
242,реактивный,reaktywny,35
954,антей,antaeus.,97
3999,аркадиан,arcadian,73
1761,джинни,ginny.,94
10415,джульетта,julia,41
14142,период,okres,8
11883,ка,ka.,29
1817,песочница,sandpit.,93
14489,числа,liczby,7
4084,фастбол,szybka piłka,82
448,спасательная шлюпка,łódź ratunkowa,96
13887,между,między,8
900,дес,deus.,97
11152,волейбол,siatkówka,36
11874,советовать,radzić,20
6373,хлоя,chloe.,69
6246,бор,bor,70
3253,псилоцин,psilokina,87
11204,обращаться,odwołanie,26
11054,нил,neal.,37
12997,гамильтон,hamilton.,19
12348,листовка,ulotki,24
9499,какать,kupa,45
486,парящий,strzelisty,70
14410,смотрящий,patrząc,5
3207,неприятно,kłopotliwy,87
14036,дом,dom,7
3476,дифосфат,difosforan,86
5069,междоусловие,internode.,77
3111,храповик,zapadkowy,88
993,эклектический,eklektyczny,97
13554,ценится,doceniany,9
5015,эндокрин,wewnątrzwydzielniczy,77
888,нефти,nifty.,97
8310,мезопотамия,mezopotamii.,57
9663,феминизм,feminizm,47
11501,кипр,cypr,33
1686,стоять рядом с,czekaj,94
6471,вооружение,uzbrojenie,64
14378,единицы,jednostki,7
13424,войска,wojsko,13
4474,сонный,senny,81
3316,ламп,chłostać,87
5035,ритуал,rytuał,65
5373,индокитай,indochina.,75
5788,садр,sadr.,73
5748,кубизм,kubizm,73
544,диоксин,dioksyn,99
7705,поселенцы,osadnicy,56
11378,военное ремесло,warcraft.,34
994,славяне,slavs.,89
3661,паркинсон,parkinson.,85
7497,добровольный,dobrowolny,62
10758,buckeyes.,kasztany,35
14419,шоу,przedstawia,7
5432,романо,romano.,75
10653,ловца,łapacz,36
10873,наследство,dziedzictwo,38
9659,портье,porter,46
14050,состояния,państwa,6
11413,прокат,walcowanie,18
9705,заглохл,utknął,38
9218,бензин,benzyna,50
313,харизматичный,charyzmatyczny,100
13666,царство,królestwo,12
7660,талия,talia,55
9373,ошибка,błąd,35
6668,верди,verdi.,67
14165,город,miasto,8
7888,барабан,bam.,59
6846,ик,ik.,66
5398,монахиня,zakonnica,65
1564,спирман,włócznik,95
6149,поднял,wzrosła,70
847,алтея,althei.,98
10889,подсчет,liczy,11
11671,оценка,ocena,27
9589,штемпель,ph.,47
8276,щука,szczupak,51
7026,инвентарь,inwentarz,62
9073,переименовать,przemianować,21
5187,кремль,kremlin.,76
3800,бунзен,bunsen.,84
1228,самоуверенность,najwilgotniejsze,96
3643,никарагуань,nikaraguan.,84
8,гики,geeks.,28
7213,дочери,córki,32
13076,общество,społeczeństwo,17
10712,карнеги,carnegie.,38
379,печь,piec,93
9046,футурама,futurama.,51
13593,дейв,dave.,13
6811,париться,chopin,66
10521,бедность,ubóstwo,40
2534,типман,tilman.,90
4491,истерия,histeria,81
13997,слишком,zbyt,9
10241,парикмахера,fryzjer,42
7578,амелия,amelia.,62
4069,тотем,totem,82
4022,реестры,rejestry.,6
1967,няни,niania,93
7741,актовый зал,audytorium,60
12439,женский,płeć żeńska,23
5780,стрекоза,ważka,72
407,введен в заблуждение,włączony,100
1226,кабаре,kabaret,96
6381,пу,pu,66
1480,бипартисан,obupartyjny,95
4956,лошадиные силы,konie mechaniczne,77
6306,уничтожение,eksterminacja,61
857,метадон,metadon.,97
10131,сгибать,schylać się,39
682,увязшийся,bogactwo.,70
12998,отлично,cienki,17
3617,находчивый,luge.,85
9032,монополия,monopol,50
4479,спортивное мастерство,sprawność sportowa,81
9171,микро,mikro.,51
12008,несущий,łożysko,12
6845,одеяло,koc,58
8000,мирного времени,pokojowy,59
5906,циклоп,cyklop,72
13657,умышленность,rozgłos,8
9022,береговая линия,linia brzegowa,50
2917,чиба,chiba.,88
9779,девоншир,devonshire.,46
6990,минометры,moździerze,39
1774,параллакс.,paralaksa,92
10989,ладен,obciążony,37
2455,эстетика,estetyka,49
12635,женщина,kobieta,22
11339,краткость,zwięzłość,34
6104,несанкционированный,nieautoryzowany,71
10950,грегори,gregory,37
13447,насос,pompa,14
2740,послушание,posłuszeństwo,85
12518,соответствовать,pasować,17
2142,вакуол,vacuole.,92
5061,вытеснять,obalony,65
5993,оптимизация,optymalizacja,51
4732,чувствительность,wrażliwość,39
741,дантон,danton.,98
11004,бернард,bernard.,37
9590,домик,md.,47
9256,закраска,lakoniczny,50
1174,карн,carne.,94
10788,бангкок,bangkok,38
1546,падрес,padre,43
3882,сухопутный,świstak,84
12404,росс,ross.,25
13870,большинство,bardzo,8
8947,ученый,uczony,36
13721,вкладчик,składnicy.,11
4788,халас,halon.,75
6866,много времени,długi czas,66
3422,оружитель,zbrojownia,83
9339,уганда,uganda.,49
3300,чинец,chiennik,87
9509,ванесса,vanessa.,48
13168,бомбить,bomba,11
848,агроль,agricole.,98
2974,магнолия,magnolia,85
10263,нокаут,nokaut,42
439,метаморфоза,metamorfoza,100
5233,руководитель,księga główna,76
10458,возражение,sprzeciw,12
3439,роскошный,frywolny,83
11476,ах,ach.,32
7832,диккенс,licho,60
12917,безрезультатно,nieresztowany,20
1659,курильщик,palący,80
4697,щульц,schultz.,78
12952,момент,za chwilę,17
11083,рассмотрение,namysł,21
1058,рвение,gorliwość,96
6691,даровал,obdarzony,62
1022,спасатели,ratownicy.,96
14326,офицер,oficer,10
9505,салли,wypad,48
8216,мудак,dupek,54
2282,ошеломляющий,oszałamiający,76
6184,анголь,angolan.,67
4797,нуклеотид,nukleotyd,71
5960,километр,kilometr,71
12525,лоуренс,lawrence,23
12863,испытание,wyzwanie,12
8636,росомаха,rosomak,32
1742,недействительный,niedyted,93
10699,абсолютно,absolutny,23
5259,безжалостный,nieustępliwy,75
4224,эллинистический,hellenistyczny,81
11551,подать мяч,rozpoczęcie,31
10692,публично,publicznie,39
7907,грегор,gregor.,59
12908,шрам,blizna,19
7236,список используемой литературы,bibliografia,62
7364,эпископал,biskupi,62
9036,бэтсмен,batsman.,52
11698,отменил,odwołany,23
8877,сточные воды,ścieki,52
2610,джен,jen.,90
1991,средний восток,środkowy wschód,93
11287,лента,taśma,27
8735,кай,kai.,53
9002,ожирение,otyłość,50
11527,потери,myto,31
11313,адольф,adolf.,34
14440,книга,książka,10
3605,панель приборов,deska rozdzielcza,84
497,ривьера,riviera.,99
955,квадратура,kwadratura,97
12582,дурак,du.,23
11203,гордый,dumny,35
11757,реформа,reforma,20
3309,биолог,biolog,74
13149,главный,szef,13
