ID,RUSSIAN,ARABE,INTERVAL
8978,пробка,كورك,50
5091,тропики,المناطق الاستوائية,8
4624,ворс,جرينت,79
8622,уши,آذان,36
9674,хх,xx.,47
11822,вернуться,ساعود,30
1442,трезубец,ترايدنت,91
13776,тур,جولة,10
3321,антициклон,anticyclone.,80
9668,лодыжка,كاحل,45
5510,кова,غيبوبة,65
2452,одаренный,موهوب,42
8014,спортзал,نادي رياضي,58
7041,гомпон,غامضة,64
7307,изобретатель,مخترع,53
7953,презерватив,واق ذكري,56
1256,поклониться,انحنى,36
4679,уравнение,إقرار,79
4920,этилен,الإيثيلين,78
6887,фандом,فندوم,65
2075,казарка,برند,92
2835,конечности,أطرافه,71
230,подгруппа,مجموعة فرعية,91
9033,леетие,مهدئ,51
10205,г,جي امني,42
3264,пептид,الببتيد,85
12544,письмо,رسالة,18
2611,шифр,الشفرة,87
8262,никелодеон,nickelodeon.,57
5693,сладкая вода,ماء محلى,73
7060,трубопровод,خط انابيب,62
1242,пятно,وصمة,63
8220,алма,ألما,56
13017,северо-запад,الشمال الغربي,18
11085,кастро,كاسترو,36
6674,родман,رادمان,67
5771,бисер,خرز,63
12539,сумма,مجموع,21
10180,албанский,الألبانية,34
8297,строитель,باني,50
14448,стал,أصبح,10
13686,вопросы,مسائل,8
2144,недоступный,لا يمكن الوصول إليها,92
13236,дэвис,ديفيس,15
2207,капиллярный,شعري,89
8975,бабочка,فراشة,50
7511,прокуратура,المدعي العام,50
6500,идальго,hidalgo.,68
14073,возможный,ممكن,7
13451,фильм,فيلم,12
10711,проложенный,وضع,38
3650,повернись,التف حوله,82
7526,погружение,يغوص,38
8792,зевс,زيوس,53
8712,хомяка,الهامستر,53
8705,добродетель,فضيلة,50
6550,мэг,ميج,68
12369,яблоко,تفاحة,24
10720,гилберт,جيلبرت,38
907,металлургия,تعدين,97
1963,топографический,الطبوغرافية,90
3973,соната,سوناتا,81
11348,полоска,قطاع,27
7687,макао,ماكاو,61
2888,сабин,سابين,86
2268,ага,aga.,91
11794,трэвис,ترافيس,30
5548,лизергический,lysergic.,74
8420,магнум,ماغنوم,55
1278,укладки,التراص,50
13088,стена,حائط,16
10337,eta.,إيتا,41
3995,кассино,كاسينو,83
10095,снижение,اختزال,41
11278,овладение,أقر,34
3663,дэа,ادارة تطبيق الأدوية بالأمم المتحدة,84
9176,беспрецедентно,غير مسبوق,50
9272,альбион,ألبيون,50
13923,сеть,شبكة,8
8336,урок,درس,46
3470,капон,غطاء محرك السيارة,76
10303,лист,ورقة الشجر,22
10049,феномен,ظاهرة,43
11466,реорганизован,إعادة تنظيم,27
4449,литр,لتر,48
6142,оказывать,كيت,63
10503,радиация,إشعاع,38
8917,доу,دو,52
6110,коппа,coppa.,71
8403,сикх,سيخ,47
13184,слегка,بخفة,17
5250,карбоксилат,كربوكسيل,60
12606,обвиняемый,المتهم,15
7387,бразил,برازيل,62
825,кондоминиумы,الوحدات السكنية,84
3780,ухудшаться,تدهورت,62
10656,случайно,بطريق الخطأ,34
14213,союз,اتحاد,10
10454,линн,لين,40
9738,тишина,الصمت,41
13583,италия,إيطاليا,12
4170,главный человек,جونتleلت,81
1536,аккра,accra.,95
7862,не нравится,لم يعجبنى,52
12854,бельгия,بلجيكا,20
14241,список,قائمة,6
11666,кража,سرقة,31
7139,августин,أوغسطين,60
1569,варуна,فارونا,94
5636,достоинство,كرامة,72
5821,подготовить,تجهيز,70
2401,нарушения,المخالفات,77
11515,гер,جراد,32
9510,трубка,يضخ,38
7138,престиж,هيبة,63
12673,заговор,مؤامرة,22
3122,корсет,مشد,72
4767,канд,كانغ,79
6979,срочный,عاجل,58
2471,межъянга,interlanguage.,90
5108,решительно,بالتأكيد,77
6265,костюмы,ازياء خاصة,40
1640,перепечатать,إعادة طبع,64
8631,ягненок,عدس,50
14145,вызов,يتصل,8
13222,хьюстон,هيوستن,16
7495,бальбоа,بلبوا,62
7485,глубже,أعمق,62
7601,пустота,فارغ,55
8972,ловушка,فخ,34
6327,мухоловка,flytrap.,69
7474,нетбол,كرة الشبكة,62
1633,редуктор,الاحتياطي,75
1120,каракатица,الحبار,96
12447,нельсон,نيلسون,24
5729,аэродинамика,الديناميكا الهوائية,59
1815,биомедицинский,الطبية الحيوية,93
8597,разбойник,محتال,54
4650,ита,ايتا,79
3433,выравнивание,كليبرز,76
655,рокеры,الروك,72
11325,сигма,سيجما,34
6600,братство,الأخطاء,51
10384,снять со счета,ينسحب,26
13604,спортивный,رياضات,10
5987,водяной знак,علامة مائية,64
9394,тимор,تيمور,49
13621,так далее,إلخ,12
2203,консорт,مقاهي,88
12687,железо,حديد,19
13493,онлайн,عبر الانترنت,13
5883,избирательный округ,الدائرة الانتخابية,49
13769,понимание,فهم,9
11670,тринадцатый,الثالث عشر,31
4864,навася,navajo.,77
880,галогенид,هاليد,95
12216,toyota.,تويوتا,26
1538,орфей,أورفيوس,95
10167,торт,كيك,40
2968,агитация,التحريض,68
1747,торс,الجذع,92
12419,томми,تومي,24
7128,валентин,valentinian.,64
3830,ждух,نيدهام,84
3073,трансаминазу,transaminase.,88
5073,ограничения,القيود,71
1521,регресс,لجوء، ملاذ,94
6405,крема,كرومويل,69
9030,драгоценный,ثمين,51
5859,аллегей,allegheny,72
4775,oneida,أونيدا,79
5772,извлекать,مقتطف,37
8275,ветряная мельница,طاحونة,55
12355,авиация,طيران,24
11207,джоан,جوان,35
51,гаечный ключ,مفتاح الربط,91
978,средняя школа,المدرسة الثانوية,97
3229,гиена,الضبع,87
9490,узко,ضئيل,48
9252,метрика,قياس,48
8349,лэнгли.,لانجلي,56
890,семантика,متعلق بدلالات الألفاظ,70
14397,огонь,نار,10
13263,никто,لا أحد,16
3355,auspices.,رعاية,86
12397,разведка,استطلاع,25
4956,лошадиные силы,قوة حصان,77
9336,обломки,حطام,49
3692,транскрипция,النسخ,53
6831,поддерживать,الحفاظ,23
13099,крупнейший,أكبر,18
11217,основной поток,التيار,35
13064,ад,الجحيم,18
5532,кипарис,شجرة السرو,74
7982,жаловаться,شكوى,28
2016,укомплектованный,موظف,85
11867,медицина,دواء,28
6100,arbor.,شرب,70
12771,животное,حيوان,12
13554,ценится,محل تقدير,9
2161,наркотик,منشط,54
11886,баварский,البافارية,29
3835,гемма,جيمما,84
8585,сенатор,السناتور,54
7721,апокалипсис,نهاية العالم,60
10310,тайна,أحجية,34
11985,ki.,كي,28
9062,бутылка,زجاجة,40
10301,карнавал,الكرنفال,41
10875,непал,نيبال,38
2119,bakersfield.,بيكرسفيلد,92
1121,скудно,بشكل مقتصد,96
12249,мыс,رداء,26
7741,актовый зал,قاعة محاضرات,60
10184,неон,نيون,42
8358,mia,ميا,56
11968,дисней,ديزني,28
3853,дигидрокси,dihydroxy.,84
9031,хлористый,كلوريد,51
6934,баку,باكو,65
6435,африканцы,الأفارقة,13
12328,евро,اليورو,24
8633,валрус,الفظ,54
7849,феодализм,الإقطاعية,52
6316,хэйдн,haydn.,69
9667,фонтан,نافورة,46
439,метаморфоза,التحول,100
5963,регулировать,اضبط,38
13077,институт,الشوط,12
3238,нематод,nematode.,87
5405,реплика,نسخة مطابقة للأصل,66
11,клятва,نذر,63
13037,кислота,حامض,18
4413,авиакомпаний,airmobile,81
2857,нерешеный,غير متحكم,88
4546,aladdin.,علاء الدين,80
13651,сторожить,حارس,11
1233,диол,ديول.,93
4584,херез,خيريز,80
5090,устный,لفظي,65
9757,на борту,على متن سفينة,46
8130,джуди,جودي,58
5529,дулут,duluth.,74
2855,беспечный,غير مبالي,84
12391,морган,مورغان,25
7780,геспериан,hesperian.,60
8521,отправлена,أرسل,45
808,путч,putsch.,98
5356,шива,شيفا,75
11597,глазго,غلاسجو,32
14234,частный,خاص,10
11559,кларк,كلارك,14
7343,черлидинг,التشجيع,58
6996,антарктика,القطب الجنوبي,65
2195,мириад,عدد لا يحصى,89
11871,злонамеренный,ضار,24
343,термит,thermite.,100
4177,люциль,لوسيل,82
6560,оторвать,مزق,67
12856,агентство,وكالة,16
5283,пембрук,بيمبروك,75
5631,читаемость,مقروئية,53
5927,головная боль,صداع الراس,67
348,деваль,deval.,95
10179,малик,ماليك,43
2151,apogee,أوج,92
1105,полемичество,هجوم لفظي,79
9965,к счастью,لحسن الحظ,30
10857,рухнул,انهارت,24
4996,девитт,ديويت,77
1853,антиайрфф,antiace,93
8240,аллона,allo.,57
2138,беззаконный,بلا قانون,85
943,мандала,ماندالا,96
2790,пигман,pigman.,89
12239,подлинный,حقيقي. صادق. صميم,24
4968,соловей,nightingale.,77
12422,веселая,مضحك,24
8720,средний запад,الغرب الأوسط,53
14198,вдоль,على امتداد,10
5086,безудержный,متفشيا,77
13381,миссия,مهمة,12
6024,пируват,البيروفات,70
9254,скорая помощь,سياره اسعاف,46
7351,сияющий,ساطع,50
2691,телфорд,تيلفورد,89
13976,без,بدون,5
8416,orion.,أوريون,55
9511,эрин,ايرين,48
4187,черная птица,طائر أسود,81
307,cherie,شيري,100
12213,стилерс,ستيلرز,26
10627,раскрыть,كشف,21
7211,странствия,يسافر,17
11558,оболочка,قيفة,25
14501,власти,سلطات,9
11277,призрак,هاربر,33
3927,роландо,رولاندو,84
2066,содомии,اللواط,92
9202,транс,نشوة,50
969,квитанция,الإيصال,73
13359,цитируемый,استشهد,7
603,простейший,الكائنات الاوليه,99
12895,roi.,روى,20
11508,семьи,العائلات,12
11601,лодка,قارب,26
321,кохлеар,cochlear.,100
2200,бакалея,خضروات,88
4483,мани,بان,76
1070,скайс,سكاي,96
6667,тм,تام,65
12645,изучение,تحقيق,16
5651,осмос,التنافذ,73
6287,полагаться,الاعتماد,31
12603,дент,دنفر,23
14504,пробеги,أشواط,7
10287,честер,تشيستر,42
7063,лоялист,الموالين,56
8599,мультимедиа,الوسائط المتعددة,54
13660,самолет,الطائرات,12
12132,край,حافة,22
12781,сессия,جلسة,18
3401,unous,نوس,86
3969,синагога,كنيس أو مجمع يهودي,74
11396,пропускать,يتخطى,28
4551,отсюда,ومن ثم,80
5398,монахиня,راهبة,65
7572,alt.,بديل,62
12489,среда,الأربعاء,23
10277,интеллектуал,مفكر,38
13124,продлицо,همز,17
10762,расстановка,اصطفوا,37
4129,донни,دونني,82
10185,джошуа,جوشوا,42
8067,ваттс,واتس,40
11989,катрина,كاترينا,28
10343,неудачник,الخاسر,33
7712,корвет,كورفيت,59
14432,страхование,تأمين,14
11082,пули,الرصاص,24
486,парящий,الارتفاع,69
6293,скарборо,سكاربورو,69
5331,тупик,deadlock.,67
1480,бипартисан,bipartisan.,95
10168,метеорологический,الأرصاد الجوية,33
7238,биммарк,بسمارك,63
12117,графика,الرسومات,15
12060,комикс,رسوم متحركة,14
2444,сентиментальный,خفير,87
10677,олень,الغزال,39
246,консультирование,تقديم المشورة,59
14466,в розыске,مطلوب,5
6310,марокканский,مغربي,65
7158,эко,سابقة بمعنى البيئة,63
9035,пруссия,بروسيا,51
4267,этаж,طوابق,71
3386,неверие,الكفر,86
13737,джо,جو,12
5084,воровство,لصوص,75
2955,карат,قيراط,87
10807,от имени,نيابة عن,38
10743,лингвист,اللغوي,31
8301,реалистично,حقيقي,50
14305,воздух,هواء,8
2576,подкуп,الرشوة,90
13903,нравиться,يحب,5
6521,австралазия,أستراليا,68
11772,бразильский,البرازيلية,29
11274,рыбак,فيشر,34
305,лейябрь,لى,95
371,трапециеобразный,شبه منحرف,97
4477,ежегодник,الكتاب السنوي,79
10361,виндзор,وندسور,41
13142,темный,داكن,16
9889,насыщенность,انس,45
8252,вовс,وو,56
11224,зрение,رؤية,33
11557,шекспир,شكسبير,32
7102,вокалист,المنشد,60
6055,барровый,رابية,70
11335,учтивость,مجاملة,34
9009,софия,صوفيا,51
13126,итальянский,الإيطالية,17
7751,желудок,معدة,58
11548,соотношение,نسبة,31
10008,меридиан,خط الطول,44
93,микропроцессоры,المعالجات الدقيقة,74
12712,лорен,لورين,22
14083,важный,مهم,8
13587,мартин,مارتن,12
8716,отказ от ответственности,تنصل,19
1816,йогурт,الزبادي,93
11198,похороны,مأتم,35
7083,домино,الدومينو,59
12454,джонатан,جوناثان,24
11619,болгария,بلغاريا,31
5764,никше.,nixie.,72
1718,рос,روز,36
2330,литография,الطباعة الحجرية,83
5163,скидка,خصم,57
7204,истман,إيستمان,63
10039,азот,نتروجين,43
6727,дженк,تينكر,64
3562,расставаться,انفصل,83
6367,сифилис,مرض الزهري,69
4933,гриль,شواية,62
10470,ak.,اكس.,40
14104,держал,محتجز,8
261,масоны,الماسونيون,92
12870,новобранец,غير مخضرم,18
5962,восстанавливать,reenstate.,42
1445,величественный,مهيب,93
8479,салат,سلطة,55
12475,ракета,صاروخ,20
2079,геморрой,البواسير,91
9096,тянуть,يجر,41
5743,сикамора,شجر جميز,71
4164,кальлан,سلطة الكرنب,82
2172,кролики,الأرانب,35
10129,осуществленный,أدرك,23
10414,бродвейн,برودواي,41
11105,библиоман,bebliomaniac.,36
306,деа,داي,100
8239,снеговик,الرجل الثلجي,57
4714,ханука,هانوكا,79
11544,сиденье,مقعد,20
13707,бостон,بوسطن,12
11896,ресурс,موارد,18
8909,вавилон,بابل,52
2160,оговорщик,المتكلم,89
2028,продавец,بائع,66
5355,фанат,فان,75
12453,труд  работа,العمل,23
10861,кокс,كوكس,38
13809,от,من,5
12522,вводящий в заблуждение,مضللة,23
10147,удерживать,يحتفظ,25
10772,ацтец,ازتيك,37
498,ловкость,أجيليتي,82
9900,джихад,الجهاد,45
3118,бурки,منصات,54
7746,произношение,النطق,58
10013,капризный,متقلبة المزاج,44
9412,ватикан,الفاتيكان,49
6036,драгоценность,جوهرة,59
5267,хореография,choreography.,75
3625,сальвия,سالفيا,85
2569,заседатель,المحلفين,74
13049,луна,luna.,18
10962,статический,ثابتة,37
9002,ожирение,بدانة,50
7405,кларнет,الكلارينيت,62
4069,тотем,الطوطم,82
13125,произведение искусства,العمل الفني,17
13711,острова,الجزر,9
13178,длина,الطول,16
2043,распутывать,مداهر,92
10914,галактика,جالاكسي,35
11286,иметь тенденцию,ينزع,27
12850,аллен,ألين,20
12294,нато,حلف شمال الاطلسي,25
11795,интересы,الإهتمامات,8
14174,менеджер,مدير,9
2934,отомстить,الرد بالمثل,45
13299,встретились,التقى,12
13176,середина,منتصف,17
11592,португальский,البرتغالية,32
8704,элеонора,إليانور,54
5653,гиббонс,gibbons.,62
11088,соответственно,وفقا لذلك,36
2496,катана,كاتانا,90
10042,справиться,التأقلم,42
7695,астронавт,رائد فضاء,53
9485,детский,طفولي,48
12581,террорист,إرهابي,19
9924,арабский,العربية,44
13464,генри,هنري,14
6632,марсель,مرسيليا,59
12390,новая звезда,نوفا,25
10511,жидкость,السائل,36
11440,эквадор,الإكوادور,33
7728,промывка,تدفق مائى - صرف,51
7722,свастика,الصليب المعقوف,60
12628,элизабет,إليزابيث,22
5000,полигон,مضلع,68
10302,слава,مجد,41
7840,монооксид,من قبل,60
4881,ночной клуб,ملهى ليلي,71
11215,позывный человек,baseman.,35
6903,тяжелее,أثقل,65
8498,вдохновение,وحي - الهام,28
6294,главный герой,بطل الرواية,62
2072,кубок,كأس,91
7373,приважно,خصوصية,62
6501,jericho.,أريحا,68
8985,разрабатывать,توضيح,44
6192,стирание,محو,30
591,септуагинт,septuagint.,99
7190,геймер,اللاعب,63
12840,увлекать,أوبورن,20
2515,казацкий,كوساك,81
13441,карта,خريطة,12
4256,горст,هورست,82
9371,растительность,رايخ,49
2489,гермафродит,خنثى,89
8775,влагалище,المهبل,53
5552,систина,سيستين,74
4885,дистилляция,التقطير,67
7181,сульфат,كبريتات,63
13841,другой,آخر,5
1333,больше нет,بعد اليوم أبدا,95
12656,венгрия,هنغاريا,22
7047,латиноаналь,لاتيني,61
3633,стрелец,برج القوس,85
4737,фарина,فرين,77
6334,допплер,دوبلر,69
1191,вдыхание,استنشاق,73
11052,раб,شريحة,30
10808,выросла,نمت,38
10079,сельскохозяйственное хозяйство,الزراعة,29
13646,чарльз,تشارلز,12
8448,загадочный,مشفر,55
8190,бегемот,فرس نهر,57
8667,слоновая кость,عاج,54
14090,вашингтон,واشنطن,9
13566,сегодня,اليوم,13
8099,виски,ويسكي,58
1304,деревообрабатывание,النجارة,86
5936,беспрепятственно,uncopyriger.,71
153,анестезия,تخدير,100
9716,метель,عاصفة ثلجية,45
9513,бартлетт,بارتليت,48
1905,золотой,جولدسميث,86
12585,ограбить,روب,22
8838,храбрый,شجاع,22
12943,чья,ملك من,19
6755,благоприятный,ملائم,29
2987,убедительно,بشكل مقنع,88
7525,прерыватель,قاطع,49
184,гулла,gullah.,100
4023,категоризация,التصنيف,26
1789,шейный,عنقى,93
10448,хельсинки,هلسنكي,40
11295,запасы,اللوازم,18
9920,приятный,hoary,44
5123,альбус,ألبوس,77
12105,rore.,روري,27
2451,рассмеялся,ضحك,38
5482,arson,حريق متعمد,73
9715,алек,alec.,46
8082,уна,أونا,58
6475,предприниматель,ريادي,62
2065,эрг,erg.,90
8890,maximus.,ماكسيموس,52
12872,терять,تخسر,12
12881,солнечный,شمسي,20
12412,коннектикут,كونيتيكت,25
10456,трава,عشب,40
312,гимпи,جيمبي,100
13271,реле,تناوب,15
3255,цирконий,الزركونيوم,87
8794,саратога,ساراتوجا,53
5045,моди,modi.,77
11214,палеонтология,علم الحفريات,35
1022,спасатели,رجال الانقاذ,96
891,депонированный,أودعت,54
13314,вторжение,غزو,15
12714,основа,أساس,22
3765,дуриан,دوريان,84
6582,бункер,النطاط,64
11385,пенис,قضيب,34
10526,по существу,جوهريا,19
