ID,RUSSIAN,JAPAN,INTERVAL
5898,марксизм,マルクスズム,73
974,чернокнижник,ウォーロック,96
8423,псевдо,擬似,56
2668,регулирование,規制当たり前,90
6686,хватит,suff々,64
14026,согласно,によると,9
651,эфедрин,エフェドリン,98
9386,болгарский,ブルガリア語,46
14053,западный,西,8
591,септуагинт,セプタグアン,99
7805,примитивный,原生的,58
11701,барон,男爵,30
455,хармалин,ハーマライン,100
3685,пленники,捕虜,53
13003,сдержанный,維持,19
3902,уходи,逃げる,83
593,хроматин,クロマチン,99
4174,шрапнель,恥骨,83
2917,чиба,千葉,89
10989,ладен,ladう,38
11500,норман,ノーマン,32
8601,датчик,デーン,50
12453,труд  работа,労働,24
8100,карт,カート,57
13388,ник,ニック,14
2348,не нужно,しゃべる,91
1999,токсикология,毒物学,91
10691,англо,anglo.,39
369,адрон,ハドロン,100
3959,каштан,くるみ,82
14462,производить,生産する,7
8586,разорванный,引き裂かれた,55
4713,преподаватель,チッパー,80
2794,барбекю,バーベキュー,88
10168,метеорологический,気象,33
4191,спиннеры,スピンナー,55
8581,крушение,難問,45
8740,трио,トリオ,52
5234,водка,ウォッカ,76
5369,контрнаступление,反撃,66
2742,atta.,アッタ,89
2505,волосатый,毛深い,91
5137,иллюминаты,イルミナティ,77
7483,двор,ヤードジュ,62
7020,амман,アンマン,65
6340,новинка,novel novel,67
12368,усиление,利得,13
10555,прусский,プロイセン,40
10914,галактика,銀河,36
13352,комитет,委員会,14
750,дисфункция,機能不全,88
5008,невзгоды,悲惨な,77
7990,шампанское,シャンパン,59
11097,каменистый,岩のように,29
8043,мариан,マリアン,59
11498,газеты,新聞,15
10840,стероидный препарат,ステロイド,36
7381,подружиться,ハンディ,63
4587,марионетка,背骨,79
10186,сибирская язва,炭疽,43
4187,черная птица,黒い鳥,82
8999,кран,クレーン,50
8973,питон,python.,52
8894,лох,lo lo,53
6033,ограбление,強盗,68
3564,неохотно,relantly,86
12621,родной,ネイティブ,21
3088,блендер,ブレンダー,88
218,нитрофенол,ニトロフェノール,100
12790,поражение,敗北,10
14311,школа,学校,6
9307,дебютированный,デビューしました,19
8171,бактерии,細菌,58
11388,truman,tr tr,34
11998,плохо,不完全に,28
1793,целлюлоза,セルロース,89
6663,эргономика,人間工学,67
13219,дуглас,ダグラス,16
13405,регби,ラグビー,14
723,corso,コルソ,98
9064,искатель,シーカー,50
7233,капиталист,資本主義者,61
11783,представляет собой,為替える,7
11039,колония,コロニー,21
13508,джефф,ジェフ,13
9220,задержан,拘禁されて,46
11920,манхэттен,マンハッタン,29
11506,диаметр,直径,32
8909,вавилон,バビロン,53
2093,динар,ディナール,83
4667,jordanian.,ヨルダニア語,72
633,аточа,アトカ,99
10265,наблюдения,obs obs,12
9697,нло,ufo,45
10609,северо-восточный,北東部,40
10432,монархия,君主制,40
5487,метаморфический,変成物,74
8878,боно,bon,53
11199,уклоняться,od d,34
13089,робот,ロボット,17
653,стюард,スチュワード,65
10875,непал,ネパール,38
6622,педофилия,小児性,68
2891,затопленный,浸水した,77
10202,день благодарения,感謝祭,43
12667,экипаж,クルー,19
4235,смешивать,ブレンド,63
7432,уинн,ウィン,54
91,родозиан,ローデシアン,100
13023,граница,国境,16
12889,сердце,心臓,15
10988,фрукты,フルーツ,33
6754,кратчайший,最短,67
4751,suzanne,スザンヌ,79
4788,халас,ハラース,75
11544,сиденье,シート,20
8222,пехотинец,hun,52
6771,фонарь,ランタン,64
11511,крем,クリーム,33
12020,сальвадор,サルバドール,28
4536,гипотетический,仮想,77
1531,буржуазия,ブルジョアジー,95
13419,прежний,前,14
10773,донован,ドノーバン,38
2694,заварочный чайник,ティーポット,90
9435,ранчо,ranch,47
9877,приставка,コンソール,34
4217,тоталитарный,全体主義者,68
435,франционный,フランシウム,100
5705,рассказчик,ナレーター,54
12462,угол,コーナー,22
1449,повторно используется,再利用されました,60
11483,продолжительность,間隔,33
7784,верден,ヴェルドゥン,61
5317,матра,マトラ,76
8780,нелли,ネリー,54
4373,методология,方法論,73
7876,планктон,プランクトン,60
11277,призрак,har,34
10107,племены,部族,31
9324,обременять,ob.,48
8860,аббатство,修道院,53
9145,открыто,露骨,51
10751,фразер,フレイザー,39
12554,кеннеди,ケネディ,23
10653,ловца,キャッチャー,36
6807,орфический,孤児の,67
7180,темп,テンポ,63
8075,губка,スポンジ,58
2551,фламенко,フラメンコ,91
10030,барбадос,バルバドス,44
3735,буцефал,ブセファル,85
12272,папа,法王,25
5323,рифма,韻,62
11839,пропаганда,宣伝,30
7436,шериф,シェリフ,62
7288,резервуар,テールバック,62
9195,сосуды,血管,39
12488,не связан,無関係,24
5593,мутация,突然変異,64
1900,горб,こぶ,88
4547,мельтон,メルトン,81
5907,encephalon,脳頭,73
10032,по умолчанию,ディフォルト,41
5423,товар,商品,62
9548,meu.,me,48
11300,ментальный,mental mental,31
7337,роскошь,贅沢,45
13281,начальный,主要な,15
6650,пригодность,使えるように,65
14305,воздух,空気,8
13447,насос,ポンプ,14
4882,роббинс,ロビンズ,76
12599,гольф,ゴルフ,23
1237,ужасно,awfully,22
13106,калитки,wick wick,14
10134,папуа,パプア,43
11801,инд,ind,30
10799,характеристики,プロパティ,19
9146,крайний срок,締め切り,50
606,метилен,メチレン,99
5678,игровая площадка,遊び場,73
8024,гепатит,肝炎,58
4994,powerhouse,パワーハウス,71
9024,диоксид,二酸化,52
8615,моллюск,ムリン,54
10093,рита,リタピー,44
8729,девон,dev dev,53
9094,набирать номер,ダイヤルに,45
3972,ежеквартальный,四半期に,84
8464,инвалидная коляска,車椅子,55
10008,меридиан,メリディアン,44
7687,макао,マカオ,62
7695,астронавт,宇宙飛行士,53
6563,проктор,proctor,69
4233,ошибаться,誤る,82
9033,леетие,遠慮なく,52
10787,средневековый,中世の,38
7348,понять,把握,57
11488,советник,ea,33
10847,ангола,アンゴラ,38
7003,гигабит,ギガビット,65
10494,пропорционально,割合,36
6313,паулина,パウリン,68
1422,трансцендентно,超越的,70
6487,набрасываться,gar gar,47
14330,черный,黒,10
13063,польша,ポーランド,18
13401,10.,10th,14
9645,мешок,袋,24
5489,внезапно атаковать,急上昇,66
8207,eden.,エデン,58
7863,колбаса,ソーセージ,56
3438,орхидея,蘭,86
9104,взрывы,爆発,27
10393,валентинка,バレンタイン,41
1269,воинство,ere,96
8946,пациент,忍耐強い,39
2377,monsignor.,モンセニョー,91
415,макси,マキシ,89
8852,обезьян,サル,23
3830,ждух,need need,85
5327,горе,苦痛,64
2608,превышает,exceeds,90
6643,пропадать,消える,35
10228,комфортный,快適,30
6940,факс,ファックス,64
11956,дыра,穴,23
9418,соскальзывать,スリップ,36
10986,гибридный,ハイブリッド,37
13397,кот,猫,13
13294,устанавливать,マウント,13
4531,фулхэм,フルハム,81
14092,операции,オペレーション,6
2076,евангелист,エバンジェリスト,88
12610,дель,デルティー,23
3774,легионы,軍団,39
652,амброзия,アンロシア,98
2702,биномиальный,二顎骨,89
13364,извиняться,謝罪,6
10636,теодор,theodore.,40
2488,воронка,漏斗,86
12658,весело,楽しい,22
11533,любопытный,奇妙な,33
13788,анализ,分析,11
13208,рентген,光線,16
14182,банки,銀行,14
11845,значимый,有意な,30
2492,предатель,裏切者,76
8282,посейдон,ポセイドン,57
10581,бобс,ボーベット,40
4523,маратхи,マラティー,81
11518,новостная рассылка,ニュースレター,32
4088,акадея,アカディア,83
1187,рефракция,屈折,84
8121,делегирование,デリゲート,25
12950,пятница,金曜日,19
7903,проверить,チェックアウト,58
10825,бессмысленно,無意味な,38
11591,ветераны,退役軍人,23
4624,ворс,磨く,80
8680,фашист,ファシスト,47
13236,дэвис,デイビス,15
12875,запах,香り,20
4631,саладин,サラディン,80
12828,детка,赤ちゃん,20
2648,митохондрион,ミトコンドリア,90
14429,по цене,価格,18
13287,империя,帝国,15
2934,отомстить,レタリート,45
3998,туманный,霧元,84
2948,альдегид,アルデヒド,84
1787,апострофы,アポストロフィ,68
1499,роган,ロガン,95
3284,шариат,シャリア,88
9273,вырубка леса,森林伐採,49
9388,гонолулу,ホノルル,49
12886,эффекты,effects effects,10
10251,нм,nm,42
7933,карликовый,ミゼット,58
13456,нежелательный,不要な,14
11210,пак,パース,35
12115,культурность,文化,12
2469,капитализированный,大文字,70
7155,логистически,ロジスティック,37
12946,выбор,選択する,11
8718,шляпы,帽子,27
6352,лямбда,ラムダ,70
14252,сервер,サーバ,6
2410,тауранга,タウランガ,91
7024,экстерьер,外観,65
13230,полет,フライト,15
10269,уродливый,醜い,39
7384,кадет,符号,47
12777,подсчетность,subst,21
13184,слегка,軽く,17
13619,доступный,利用可能,12
7025,истощение,枯渇,50
7668,зарождение,開始,62
9674,хх,xx.,47
1203,растяжение,捻挫,71
8110,полусент,cr cr,58
9752,пенс,歌った,46
6599,порода,繁殖,45
13529,широкий,幅,12
7248,право собственности,el el,32
3204,отремонтирован,再生された,77
8439,elmer.,エルマー,56
4836,микропенис,マイクロプレニス,79
1515,химизм,シュミーズ,90
10678,обещать,約束する,24
5464,реактор,反応器,70
10375,аэродром,エアフィールド,34
3833,peking.,北斗七星,79
4637,дистрофия,ジストロフィー,80
7619,магический,魔法の,22
10233,взвод,小隊,38
9125,деревянный,木製,51
4433,приветствовал,尊敬される,15
8922,иегова,エホバ,52
11764,рядом  поблизости,近所の,31
11188,пустой,空,34
9744,месье,モンシューユー,46
5775,дивизоры,除数,68
9755,каренс,カレン,46
10387,летчики,エアメン,41
8864,пригородный,郊外,37
1191,вдыхание,吸入,74
8259,окаменелый,化石化,57
4498,гипертония,高血圧,81
11712,эмили,エミリー,31
3050,чертополох,アザミ,82
11042,марлин,マーリン,30
5391,камея,カメオ,74
3939,биосфера,生物圏,84
211,валлонский,willoon,100
13699,даниэль,ダニエル,12
13667,ничего,なし,12
7515,баллада,バラード,56
10159,тренер,トレーナー,37
2250,пленарность,プレナリー,92
4369,кассивация,不行儀,67
13730,испанский язык,スペイン語,12
7152,airwaves,気温,64
4173,федералист,連邦主義者,81
5029,побуждавать,拍車,34
12830,рулевое колесо,車輪,16
4859,глютен,グルテン,79
4368,честность,正直,81
12696,шаблон,パターン,20
10582,наполеон,ナポレオン,37
1628,пропаганчик,ピンホール,94
3995,кассино,カシノ,84
7714,в поле,内野,16
5654,цыган,ジプシー,68
10695,леонардо,レオナルド,39
10226,эксклюзивный,エクスクルーシブ,23
8102,соседний,隣接,36
10204,умение обращаться,取り扱い,22
5814,резина,依存,73
2987,убедительно,納得裏に,88
8765,аид,ハデス,51
12441,франклин,フランクリン,24
12743,максимум,max,22
11680,салем,セーラム,31
4020,роско,ロスコー,83
1222,тамада,トーストマスター,94
13137,орегон,オレゴン,17
12770,радостный,喜び,21
12932,гну,gnu.,19
5893,вентиляция,排出する,62
10029,скинтер,スキナー,44
7793,предсказание,命題,56
11076,музыканты,ミュージシャン,22
815,вырез,ネックライン,88
3673,бергман,バーグマン,85
11862,заголовок,ヘッダ,9
7776,превосходный,見事,61
5293,деми,dem,76
8238,бел,bel,58
7319,бахрома,フリンジ,62
182,лоскут,フラップ,88
14507,центр,中心,9
7207,лепаж,lepage.,64
8235,сабер,セイバー,30
14394,вопрос,質問,5
6386,арфа,ハープ,67
7997,накаливание,白熱,59
3077,типография,タイポグラフィ,88
6459,ржавчина,さび,65
9614,wat,ワット,46
12094,que.,qu,28
8863,древесный,森の,52
1541,стелларт,停戦,86
1709,танин,タンニン,94
739,ортогональный,直交する,94
5496,нью-йорк,陰陽,75
749,ботулизм,ボツリヌス,98
14110,пришел,来た,10
14075,доступ,アクセス,8
8050,желе,ゼリー,58
8146,протягиваний,遅くに,58
11204,обращаться,訴える,26
6028,одолжительность,貸した,72
10797,фбр,fbi.,38
4718,влага,水分,79
5576,неожиданно,unexpectedly,74
956,погасить,消火,61
10466,протяжение,ストレッチ,31
8128,недоступен,不可,57
7766,издевательства,いじめに,45
11823,гомо,ホモ,30
4975,диагностика,診断,78
12235,тюрьма,刑務所,17
6780,мастер,フォアマン,67
11013,пикет,ピコエ,38
11198,похороны,葬儀,35
1380,чарки,チャッキー,91
2548,кодеин,コジーナ,91
969,квитанция,レシート,74
9534,шина,タイヤ,35
10952,объявление,発表,12
12885,здоровье,健康,20
4098,обрабатывать,先駆け,80
11736,перри,ペリー,31
8233,swa,スワの,58
2559,гидрохлор,塩酸,91
10083,солома,ストロー,43
10523,шасси,シャーシ,40
4949,анархизм,アナキズム,75
5590,испорченный,甘やかされた,51
7735,предшественник,前駆,58
13684,бить,ビート,11
4198,фосфатаза,ホスファターゼ,82
13461,короче,短くする,14
8081,радиус,半径,58
11354,судан,スーダン,35
14289,машины,機械,9
12139,дух,精神,26
4757,иммунитет,免疫,48
14207,особенный,特別,10
6779,текстура,テクスチャ,59
4675,ірс,ib.,80
7226,лотерей,ラッフルズ,63
8709,сынок,ソニー,54
13234,дорогая,親愛なる,16
5040,критик,コルビー,77
3211,rainier.,雨水池,88
139,ассамский,居住者,100
4739,некомпетентный,不平等に,65
9222,штраус,シュトラウス,50
8723,слабый,スラレ,53
13683,возможно,多分,12
10810,жертва,犠牲,38
4577,напал,ナパ,81
14084,двигаться,動く,8
13749,отслеживать,追跡,9
1137,полярис,ポラリス,97
7749,наоми,ナオミ,61
9713,готика,ゴシック,47
8651,ноутбук,ラップトップ,54
8734,передача,転送する,12
5995,фисташка,ピスタチオ,72
4128,выпускной вечер,プロム,81
1305,осциллятор,発振器,63
9321,корнуолл,コーンウォール,44
8750,турбо,ターボ,53
10965,joel,ジョエル,38
1406,запоздание,遅延された,95
2579,лакея,ラッキー,89
9199,звездочка,アスタリスク,49
12335,туз,エース,23
5727,кокос,ココス,52
2381,буллок,bull,89
13017,северо-запад,北西,18
12582,дурак,デュの,23
8500,противный,不快な,55
8784,космический корабль,宇宙船,53
8140,albuquerque.,アルバカーキ,58
6312,священник,聖域,69
6815,люте,リュート,66
12303,вселенная,宇宙,7
8907,трентон,トレントン,53
7764,обход,バイパス,51
4996,девитт,露出,78
13842,год,年,6
6404,рент,ren,70
4680,нераспределенный,未解決,80
10635,утром,ut,39
4575,биатлон,バイアスロン,81
12282,сумасшедший,クレイジー,26
2012,обычное дело,凡庸,92
1800,blackfoot.,黒足,94
8875,сфинкс,スフィンクス,53
6464,аукцион,競売,60
5620,кондорация,コンドル,72
7866,супернова,スーパーノーバ,60
8731,фелис,fel fel,54
11251,гнома,矮星,33
13226,вперед,前方,9
9993,где угодно,どこにでも,45
7083,домино,ドミノ,60
9390,протестант,プロテスタント,13
4169,усы,口ひげ,80
4873,рэперы,ラッパーズ,27
4716,весы,天秤座の,76
11951,перепись,c c,29
157,степлер,ステープラー,100
1285,индуцировать,誘発する,51
3209,немой,ミュート,79
9339,уганда,ウガンダ,50
11126,подлый,卑劣な,37
6596,прото,prot,68
12434,воздушный поток,エアリフト,24
10453,zack.,ザック,41
5840,гибберти,ジブベリシッシュ,73
8061,съел,食べた,58
12497,бегун,ランナー,18
11424,кактус,カクタス,34
9409,деррик,デリック,49
11771,признан,認識された,6
8717,вызывать,引き金,38
9115,недоразумение,誤解,44
14456,икс,バツ,8
6856,datheline.,日データライン,66
8416,orion.,オリオン,56
12983,билли,ビリー,17
14288,университет,大学,7
5618,файф,ファイフ,74
4779,антивещество,ant ant,79
5451,теоретически,理論的に,54
6614,любое время,どんなときも,68
224,запаска,スパーズ,100
5770,боевый,ボア,72
11619,болгария,ブルガリア,32
12907,артур,アーサー,20
12701,рады,嬉しい,22
7891,невысокий,散伏,57
8905,эмми,エミー,53
2474,торы,tor,57
11208,голливудский,ハリウッド,36
1658,нада,南田,94
2303,отклонение,偏向,61
6727,дженк,ティンカー,65
1690,глаукома,緑内障,94
3598,суперскриптор,sup sup,83
10805,противоположность,反対に,16
6113,катастрофический,惨事,56
12113,леди,レディ,21
10579,коренность,コルト,21
4798,срезок,剪断した,27
2868,далер,デヤー,89
3238,нематод,ネマトード,88
13894,эти,これら,7
13861,он,彼,7
13656,атлантик,大西洋の,12
8621,плавающий,フローティング,44
9421,крокодил,クロコダイル,46
5638,бездельничать,ラウンジ,71
11965,связка,束,28
4025,таблетка,タブレット,68
11825,сообщение,ポストシーズン,30
10383,неофициальный,非公式,39
3347,джиллиан,ジリアン,88
8995,сага,佐賀,52
6425,нигерийский,ナイジェリアの,67
3644,некоммерческий,非営利,86
11232,жестокий,暴力的な,34
11974,существенно,大幅,29
7213,дочери,娘たち,33
1110,перегруппирован,再編成,80
1120,каракатица,cut,97
10736,энни,アニー,38
2903,дези,デシ,89
14070,мир,世界,7
10165,прекращено,cう,23
4543,тарифы,関税,58
1967,няни,乳母,93
9861,хомус,謙虚に,45
11333,кость,骨,29
1825,спиро,スピロ,94
9440,mao.,雅夫,49
13652,восточный,東部,12
10699,абсолютно,絶対の,23
8975,бабочка,蝶,50
6900,составлял,会計,5
6030,кант-кант,カント,72
9162,увлеченный,鋭い,51
3432,инфаркт,梗塞,86
325,harrycane.,ハリケーン,100
11945,одиннадцатый,11番,29
6784,скользнуть,スライドさせる,67
5277,какой бы ни,どちらでも,76
14125,половина,半分,10
2100,apa,アパピー,92
12742,вооруженный,武装,13
12049,кк.,ck,28
3711,самсон,サムソン,85
7643,оазис,オアシス,62
3477,сотрудники,コラボレーター,18
83,салли,スリー,99
13273,париж,パリ,16
5718,виг,泣き身,63
12440,брюс,ブルース,24
11794,трэвис,トラヴィス,31
7382,раздражающий,イライラする,7
12745,фотография,写真,12
6359,резервисты,保護区,66
12410,оручитель,書き組む,25
5862,politburo,輿入れ,73
11033,гарнизон,駐屯地,34
8575,диктатура,独裁,51
13092,пенальти,ペナルティ,15
1457,табор,茶院,94
5749,кастил,カスティーリャー,74
6377,триптамина,トリプタミン,70
13601,подразделение,区分,7
2730,шлифование,研削,67
864,евгения,エイジリア,97
1341,филимон,フィレモン,96
8741,ремикс,リミックス,43
14355,прибыль,利益,29
9600,разглагольствовать,ラント,40
691,bandwagon.,バンドワゴン,97
284,лей,レイ,100
7671,экология,エコロジー,51
11906,спринт,スプリント,28
9252,метрика,メトリック,48
2850,скопление,渋滞,83
5085,бренди,ブランデー,77
2920,anglian,アングリアン,86
11149,опасный,危険な,20
52,стук сердца,心拍,99
3320,поставки,出荷,66
9374,турки,タークス,41
13573,довольно часто,頻繁,13
3956,uptown.,びっくりした,84
13883,система,システム,8
831,микросистемы,マイクロシステムズ,98
9134,джанет,ジャネット,51
5368,кавказский,白人,75
4380,berkowitz.,ベルクウィッツ,81
8557,конспект,conn,55
4529,буруши,bur bur,81
2878,беган,玉の,88
12609,мил,mil,23
8896,холт,hol hol,53
6098,mariana,マリアナ,71
11968,дисней,ディズニー,29
13591,офис,オフィス,10
1063,ультима,utima,97
3163,химик,化学者,71
12227,рождение,誕生,13
9982,минус,マイナス,45
12491,августа,aug,24
967,латиноамериканцы,ヒスパニック州,58
10697,промежуток,lw.,39
12017,соло,ソロ,28
14497,читать,読む,5
4476,pinyin.,ピンイン,81
9908,траншея,溝,40
1877,пробуждение,勤めて,28
9601,пересечение,交差点,42
8011,математик,数学者,44
6925,фангус,菌類,66
7433,девочка,div,62
8324,трубопроводок,導管,56
13356,независимый,独立,12
9,переделать,remう,100
13507,след,痕跡,13
4557,парировать,パリリー,78
9255,пифагор,ピタゴラス,50
3521,канада,カンナダ,86
12128,мель,mel,28
906,папирус,パピルス,97
7810,рубикон,ルビコン,61
13892,до,前に,6
4213,tesla.,テスラ,82
13442,неопределенно,無期限に,13
3395,кимбо,キンボー,87
4564,ребра,リブ,62
7506,иезуит,イエスイト,60
10503,радиация,放射線,38
5876,подозрения,疑念,48
10225,ископаемое,化石,28
10732,веллингтон,ウェリントン,39
5894,одесса,オデッサ,73
7241,замочить,薄暗く,60
11646,радар,レーダー,31
9313,боксер,ボクサー,48
7737,ирэн,ir,61
8697,бред сивой кобылы,ブルシット,54
9009,софия,ソフィア,52
3647,jing.,ジングー,86
11667,петух,コック,30
13141,перерыв,壊す,13
11482,революционный,革命的な,32
2078,азота,亜硝酸,92
14192,согласованный,同意した,11
5088,руны,run,40
6301,испытывающий головокружение,めまい,66
10191,нервный,緊張,43
8720,средний запад,中西部,54
6316,хэйдн,ハイドン,70
12180,массивный,大規模,25
14009,производительность,パフォーマンス,10
7607,галилей,ガリレイ,62
7361,холод,チル,60
7076,лаять,吠える,58
3463,овация,ov ov,84
4359,увлекаться,恋しい,68
9903,этиловый спирт,エタノール,45
9348,данте,ダンテ,50
9099,размещение,配置,50
10876,отчетливый,明確,23
7641,гео,ジオ,62
1376,трина,trina,96
24,репетиция,リハーサル,75
9588,так же,同じく,48
4845,бриджпорт,橋渡し,79
11532,лакросс,ラクロス,33
9790,вустершир,ウスターシャー,46
1609,несоответствие,disp disp,29
6308,креветка,エビ,70
7569,пожертвование,寄付,32
2883,оздоровительный,鍔,73
13155,клетка,細胞,16
13414,боевые действия,ファインティング,7
2193,максима,マキシマ,92
9377,cedar.,杉の,47
5975,поэтический,詩形,70
4357,ранду,rendezvous,76
10161,бэтмен,バットマン,43
13801,сказал,言った,8
3772,heartand,ハートランド,84
4750,камбоджин,カンボジア語,77
