ID,RUSSIAN,SPAIN,INTERVAL
9655,боуз,bowie,47
8546,здоровый,saludable,55
6110,коппа,coppa,71
1453,утешение,consuelo,95
6301,испытывающий головокружение,mareado,65
10270,тонна,tonelada,30
2670,марганец,manganeso,89
11723,кит,ballena,27
8353,кал,excrementos,57
896,нимрод,nimrod,96
937,чехов,chekhov,97
12646,цена,precio,18
8477,вкусный,delicioso,55
7294,дворак,dvorak,63
2307,ув,filo,81
6366,ненези,nestor,69
13220,развитый,desarrollado,10
1881,апокалиптик,apocalíptico,81
14481,нажимать,prensa,12
14418,показано,presentado,7
8093,юбки,faldas,47
7334,лек,lc,62
3190,экспедиции,expediciones,33
2517,саутланда,southland,90
4718,влага,humedad,79
4987,обруч,aro,67
633,аточа,atocha,99
3513,ассимиляция,asimilación,74
13900,работа,trabajar,5
11635,неясно,poco claro,31
3792,тьюринг,turing,84
1645,пахлави,pahlavi,94
1639,менструальный,menstrual,94
224,запаска,stepney,100
1621,полистирол,poliestireno,94
8015,раввин,rabino,57
8627,крутить,giro,40
4693,карикатурист,dibujante,67
1481,антивирус,antivirus,95
11043,переводить,traducir,18
12997,гамильтон,hamilton,19
7738,неверно,inconfirmado,46
10504,празднование,celebracion,19
11073,стрела,flecha,32
14206,спросил,preguntó,5
12188,хребет,cresta,26
13518,нижний,fondo,13
11712,эмили,emily,31
11104,постепенно,gradualmente,34
4952,славян,eslavo,78
9451,чендлер,velero,48
7709,гидравлический,hidráulico,54
10822,мэрилин,marilyn,38
2050,боеголовка,cabeza armada,76
3705,маньяки,maníacos,47
10211,краб,cangrejo,42
8014,спортзал,gimnasio,58
8741,ремикс,remix,42
6812,диод,diodo,65
10566,тайбэй,taipei,40
3374,оформленный,enmarcado,24
11593,христианство,cristiandad,13
14474,обучение,capacitación,10
10079,сельскохозяйственное хозяйство,agrícola,29
1392,навязывание,imposición,96
9813,пентагон,pentágono,43
10223,гильс,giles,42
13064,ад,infierno,18
4276,подземный мир,inframundo,81
8544,великолепный,pozo,55
5827,заключать,concluye,24
7145,точки зрения,puntos de vista,40
3626,лено,leno,85
13904,поддерживать,apoyo,8
3746,драгос,drago,85
14146,имя,nombre,6
5483,шиншилла,chinchilla,74
14492,фьючерсы,futuros,8
1697,каллиграфия,caligrafía,94
6346,бизон,bisonte,62
11363,финалисты,finalistas,30
12991,даллас,dallas,19
12267,ненавидеть,odio,23
2416,врожденный,congénito,89
5014,массаж,masaje,76
9480,тм,tm,48
2616,счастливее,más feliz,89
14436,несколько,múltiple,6
12080,иранский,iraní,26
12797,пилота,piloto,17
12881,солнечный,solar,20
8325,тонны,toneladas,53
7460,стрелок,tirador,54
3999,аркадиан,árcade,73
12729,всадник,jinete,16
13831,они,ellos,6
13086,рынок,mercado,13
10540,окинава,okinawa,40
11665,мейсон,masón,30
4856,очистительный завод,refinería,62
3755,алгоритмы,algoritmos,44
5091,тропики,zona tropical,9
5416,касси,cazadora,74
3381,миниатюры,miniaturas,61
13631,портал,portal,12
7151,вар,vást,64
12143,птица,pájaro,24
9815,висит,colgante,32
7469,экспо,expo,43
6067,ветреный,ventoso,71
10441,габриэль,gabriel,41
8084,масонство,masonería,58
5575,поглощение,absorción,73
6396,предпосылка,premisa,50
9422,йоханнесбург,johannesburgo,49
247,лизин,lisina,100
2569,заседатель,jurados,74
9563,леги,lg,48
3645,чайковский,tchaikovsky,85
7195,афина,atenea,63
4586,легкая победа,triunfo fácil,79
10620,бейли,muralla exterior,39
10027,беженцы,refugiado,27
1554,госс,gose,95
6307,эзра,ezra,70
9653,раздуваться,estropeado,47
9718,тонга,tonga,46
1675,солон,sola,92
9738,тишина,silencio,41
12303,вселенная,universo,7
238,ворсин,siesta,81
4780,переубен,reubijo,79
13627,правильный,adecuado,12
6635,зонал,zonal,67
11294,генетический,genético,26
5635,брайлл,braille,73
6970,восстановленные,reconstituido,60
11837,курица,pollo,29
14075,доступ,acceso,8
879,балки,vigas,54
10341,телекоммуникации,telecomunicaciones,30
12046,присутствие,presencia,28
4329,цепкий,tenaz,78
5327,горе,angustia,63
580,гуджарати,gujarati,99
7320,дефект,difamar,30
3419,дыня,melón,85
11919,аст,astucia,29
5375,пожертвовал,sacrificado,69
4107,сережка,slugger,78
13019,объявлен,declarado,13
12871,деф,def,20
5387,бензол,benceno,75
14302,функция,función,21
968,магдалина,magdalena,89
4187,черная птица,mirlo,81
12128,мель,mel,27
3509,мика,micah,86
4365,джаггер,jagger,81
4634,повседневность,calmar,70
974,чернокнижник,brujo,96
10130,умный,inteligente,18
8829,тора,thor,53
3708,фюзеляж,fuselaje,84
4591,вложение,adjunto archivo,16
11967,т.е.,es decir,29
4136,уполномоченный,bajo mandato,39
1307,полоний,polonio,96
2207,капиллярный,capilar,89
405,самосвал,volquete,100
13023,граница,frontera,16
11301,избавиться,fo,35
10786,башмак,mayordomo,38
1860,мушественность,muser,73
10181,голод,hambre,43
8375,санка,sci,56
13419,прежний,previo,14
8,гики,frikis,29
12253,ной,noé,26
12137,унифицированный,unificado,27
3685,пленники,cautivos,53
13367,6-е место,6º,15
7626,проявление,manifestación,40
4609,олова,revestido,77
6159,разрядка,grieta,69
1423,тирозин,tirosina,95
13325,застраховать,asegurar,14
2208,титрование,valoración,89
4330,граймс,gimes,78
2831,люкс,lux,78
8122,доступен,accedido,8
7836,сбои,fallas,21
14203,обработка,procesando,10
12381,св,sv,25
3598,суперскриптор,sobrescrito,83
7682,банджо,banjo,61
12322,звуки,sonidos,12
10595,пил,pil,39
8263,мадрас,madras,57
11673,фреска,fresco,31
6622,педофилия,pedofilia,67
12312,мировой,en todo el mundo,26
13136,секс,sexo,17
5392,пахнуть,olores,51
7291,суматра,sumatra,63
474,распространенность,predominio,64
5855,маори,maorí,68
5664,перекресток,cruce,72
12190,брэндон,brandon,27
13012,отказаться от,deshecho,19
10498,переписан,reescrito,40
800,друид,druida,88
8210,граф.,graf,58
2549,занимать,supervisarse,90
11454,бонус,prima,33
12911,музей,museo,19
6151,защитный,protector,10
13702,победитель,ganador,10
9517,вика,víctima,48
8029,jerm,jermante,59
13405,регби,rugby,15
3021,барракуда,barracuda,86
13566,сегодня,hoy dia,13
7365,помпеи,pompeya,62
5273,теологический,teológico,53
5173,досуг,ocio,74
11309,пингвинь,pingüino,24
9758,организационный,organizativo,46
9074,разбросанный,dispersado,45
6442,алхимия,alquimia,69
6815,люте,laúd,66
643,джирга,jirga,99
4882,роббинс,robbins,76
10084,гипотеза,hipótesis,44
2418,вниз по течению,río abajo,91
1578,жжет,lcd,94
9060,царапать,rasguño,38
13413,зона,zona,14
13337,бог,dios,14
10501,чудес,maravillas,15
7699,золотая рыбка,pez de colores,61
6797,цепляние,ching,66
13731,пространство,espacio,12
6908,величество,majestad,64
6782,автономия,autonomía,66
14338,видимый,visto,11
8859,осака,osaka,53
9308,экваториальный,ecuatorial,49
10107,племены,tribus,30
12342,гвинея,guinea,24
3496,ретроактивно,retroactivamente,75
9115,недоразумение,malentendido,44
6362,бигль,beagle,69
8454,желанный,deseado,28
5594,силуэт,silueta,70
5941,осадочный,sedimentario,72
1189,колебание,teel,96
10827,поселок,asentamiento,33
11615,криво,cr,32
6654,афро,afro,67
7509,колдовство,brujería,62
12387,эп,ep,25
2697,бездействие,apátrida,83
11908,необычный,raro,26
3240,жирным шрифтом,negrita,80
13802,с,con,5
6687,гай,gaius,67
8811,печень,hígado,53
13775,ирландия,irlanda,12
4862,статус,estatutario,78
13944,йорк,york,8
2793,сосредоточивый,soleil,89
5374,хула,hula,75
12149,галерея,galería,26
6730,таксономию,taxonomía,66
4316,неуклюжий,torpe,80
9035,пруссия,prusia,52
12448,запущен,lanzado,18
13960,отчет,informe,5
11974,существенно,significativamente,28
6604,росы,rocío,67
9329,житель,habitante,48
8453,отравление,envenenamiento,37
139,ассамский,assamese,100
8496,часовой механизм,aparato de relojería,55
7152,airwaves,ondas,64
7624,указ,decreto,52
9378,чистилище,purgatorio,49
9249,цветы,flores,33
3097,неодобрение,desaprobación,74
5899,антилопа,antílope,72
11586,риос,rio,32
6997,слабее,más débiles,65
13275,связанный,asociado,10
6869,оргазм,orgasmo,65
2743,догма,dogma,87
2080,чеснок,ajo,92
2277,дустиниан,justiniano,91
3399,демонтировать,desmantelado,70
5633,помона,pomona,73
6655,саттер,sutter,67
2384,лизц,liszt,91
12698,догадка,adivinar,20
13117,диего,diego,18
8548,злодеяния,villanos,47
10251,нм,nuevo méjico,42
12526,ответил,respondido,11
11240,мельницы,fábrica,26
11142,либ,lib,36
9617,фу,fu,47
5852,толь,tol,72
9424,пикассо,picasso,49
4600,одометр,cuentakilómetros,80
10444,геология,geología,34
7760,кирпичный завод,fábrica de ladrillos,61
13983,помощь,ayuda,6
12097,аргументы,argumentos,17
5676,термодинамика,termodinámica,69
4802,гитаристы,guitarristas,30
8507,находящихся под угрозой исчезновения,en peligro de extinción,52
2698,лимонин,limoneno,89
12803,железная дорога,ferrocarril,19
4603,эвфратс,eufhates,80
12418,классифицировать,clasificado,22
3215,аллергия,alergia,86
3819,таверна,taberna,81
1919,роспись,mural,87
5115,гуманоид,humanoide,74
84,коклюш,pertussis,100
4905,конденсатор,condensador,76
9383,латунь,latón,49
2974,магнолия,magnolia,85
9654,мессенджер,mensajero,45
1574,озвучивать,emisión,20
10577,отснятый материал,imágenes,39
12856,агентство,agencia,16
5620,кондорация,cóndor,72
3189,кона,kona,87
2447,счастливый,accidentalmente,21
13029,уникальный,único,18
8240,аллона,allo,57
1492,урбана,urbana,95
6674,родман,roduce,67
1869,нич,nit,93
7841,гульца,hurley,60
14022,полиция,policía,10
883,тонко,sutilmente,97
7311,дт,dt,62
11874,советовать,aconsejar,20
14510,эффективная,eficaz,10
7252,одежда,atuendo,55
12359,чад,chad,25
4343,енох,enoc,81
462,контрастировать,contrastado,33
11704,глобус,globo,31
13785,зеландия,zelanda,11
6529,сочтено,sostenido,36
5789,джудит,judith,73
9732,эдинбург,edimburgo,46
14496,инфляция,inflación,44
10860,девственник,virgen,35
4336,аллегория,alegoría,80
9221,кармен,carmen,50
8198,преимущественно,predominantemente,58
13311,возможно,posiblemente,7
14129,никогда,nunca,10
13140,швеция,suecia,17
12900,экономика,economía,19
3297,отбрасывается,descartado,70
2306,метла,escoba,89
13239,бразилия,brasil,16
9879,крымс,crimea,45
12656,венгрия,hungría,22
5565,увертюра,obertura,70
2782,воссоединение,reunificación,89
5971,прощание,despedida,71
4391,акведук,acueducto,81
11075,айдахо,idaho,37
845,обстреливать,exceso,96
7539,тафт,taft,62
5595,убежище,asilo,72
2291,стронций,estroncio,91
7471,твердо,firmemente,62
11997,подчеркивать,resaca,28
9128,байты,bytes,44
11255,химия,química,35
8691,дневное время,tiempo de día,54
7590,исландский,islandés,29
8661,груз,transporte,54
4335,меловый,cretáceo,81
10981,концентрация,concentración,25
11826,до свидания,adiós,28
917,лемма,lemma,97
11169,муниципалитет,municipio,25
12863,испытание,desafío,12
6565,смайлик,smiley,68
8996,шепот,susurro,32
13435,предстоящий,adelante,14
11164,геноцид,genocidio,34
309,баржи,barcazas,77
9740,залить,verter,38
12065,спенсер,spencer,28
2901,подгузник,pañal,85
3617,находчивый,lúpulo,85
9841,юго-западный,del suroeste,45
10389,флагштафт,asta de bandera,41
14362,видео,video,10
117,флюк,casualidad,98
14262,корпоративный,corporativo,16
3521,канада,kannada,86
2181,сквир,escudero,79
10787,средневековый,medieval,38
7012,прокладка,relleno,42
4159,игуана,iguana,82
12218,сара,sarah,27
11494,шарнир,shalom,33
11882,стэнфорд,stanford,29
13835,воз,oms,6
13796,в,en,5
3407,редвуд,secoya,83
11657,дурам,durham,31
2493,альбатрос,albatros,90
8607,раздавить,persona especial,37
9616,фристайл,estilo libre,47
6166,эпсом,epsom,70
11214,палеонтология,paleontología,35
10158,ресторан,restaurante,37
2783,родстер,coche de turismo,84
12861,фил,phil,20
9477,клинч,clinch,23
12068,поток,flujo,25
11903,эм,em,27
23,аминь,amén,81
11065,плутон,plutón,37
8736,передаваемые,transmitido,43
13139,утро,mañana,17
1160,капуцин,capucho,96
11460,сорок,cuarenta,32
11269,мальта,malta,35
8257,дикая природа,fauna silvestre,57
9773,мусор,basura,46
2123,антитанцкий,antitanque,92
3861,неправильное представление,idea equivocada,63
476,метаболит,metabolito,93
11767,вред,dañar,12
11694,перевозчик,transportador,28
1341,филимон,filón,96
12140,пиво,cerveza,27
13303,фигура,figura,12
3839,бесцветный,incoloro,84
6683,дифференцировать,diferenciar,41
11812,сравнение,comparación,28
9106,леготь,lv,51
6212,микроорганизм,microorganismo,69
5877,дискредитировать,descrédito,55
10448,хельсинки,helsinki,41
8982,молекулярный,molecular,52
10626,лимон,limón,38
3159,предприниматели,empresarios,88
10168,метеорологический,meteorológico,33
13871,использовать,usar,5
1766,кулинарная книга,libro de cocina,88
7381,подружиться,práctico,62
6652,мелочи,tiza,65
9089,конечный,finito,48
591,септуагинт,septuaginta,99
12,обычно,ordinariamente,100
7493,душ,ducha,47
38,уравновешиваться,equino,98
13022,телефон,teléfono,17
2664,лайссес,laissez,89
4024,расщеплять,adherirse,74
2812,ссора,altercado,86
5212,почетные,honorífico,68
11660,слияние,unir,18
4498,гипертония,hipertensión,80
8844,пинты,coño,33
13606,ричард,ricardo,12
13678,учредил,establecido,10
7363,outsfield.,campo de salida,15
3874,ярлык,atajo,76
5807,встал,confirmado,73
4539,умирает,dieses,80
6144,рамадан,ramadán,71
12776,охват,cobertura,21
11735,та,ejército de reserva,30
6610,наставник,mentor,66
3362,стебли,tallos,38
4445,передний план,primer plano,81
9311,бонни,bonnie,47
13194,ой,oh,17
5618,файф,pífano,74
11525,вернись,regresar,32
847,алтея,althea,98
2152,василь,wayland,92
5051,болван,bola,77
9908,траншея,zanja,39
14050,состояния,estados,6
4837,холодильник,refrigerador,64
6880,возвращение на родину,regreso a casa,65
11754,ген,gene,29
6534,диван,sofá,64
9200,удовольствие,placer,49
9351,балийство,bali,49
6068,настаивать,insistir,27
3386,неверие,incredulidad,86
4191,спиннеры,hilanderos,54
11059,недельно,semanal,37
11873,виннипег,winnipeg,30
4873,рэперы,raperos,27
11157,доход,ingreso,32
11856,гладина,cañada,30
13999,линия,línea,9
6165,перенаселение,superpoblación,69
6405,крема,cromwell,69
13273,париж,parís,16
12455,инженер,ingeniero,7
11523,тунис,túnez,33
8424,горасина,horace,56
7041,гомпон,gump,64
12367,безумие,locura,20
822,непреодолимый,insuperable,98
13765,грузия,georgia,12
11766,везучий,afortunado,30
10987,закуски,arrancadores,24
13687,плохой,malo,12
6071,монтерей,moterey,71
4424,посадка,centauro,75
5536,взломанный,agrietado,34
11721,соперничество,rivalidad,29
13424,войска,tropas,13
8947,ученый,erudito,36
4135,призма,prisma,81
746,маоист,maoísta,93
9412,ватикан,vaticano,49
9692,пятнадцатый,decimoquinto,47
6909,баллард,ballard,65
175,премеженструальный,premenstrual,100
3335,секретариат,secretaría,87
12427,выбранный,elegido,25
13806,как,como,5
13898,компании,compañías,9
8315,хинди,hindi,57
12905,арканзас,arkansas,20
1760,овраги,barranco,91
7930,старина,rígido,59
35,джиннетт,jeannette,100
11918,дирков,puñal,29
3851,сорван,frustrado,71
2649,бургундия,borgoña,89
4920,этилен,etileno,78
3152,бедный,más pobre,88
3911,элейн,elaine,84
14493,кажется,parece,9
783,проб,ser un problema,97
389,галлия,galio,100
436,гюнтер,guntero,100
11176,авторы,autores,9
2754,пивоварня,cervecería,82
6898,призраки,fantasmas,31
8062,параметры,parámetros,44
6537,coolidge,cool,68
10246,хэллоуин,víspera de todos los santos,42
10548,озу,ram,22
1620,карина,carina,93
4338,искусный,repartidor de hielo,81
5559,экзистенциализм,existencialismo,69
14340,отклоненный,rechazado,14
4211,хватает,agarra,39
3630,карабпер,craptor,85
7414,косвенный,indirecto,62
2178,неутера,incontrovertido,89
7005,акустический,acústico,60
9594,зануда,nerd,43
12151,одомашненный,doméstico,26
4466,нерушитель,nehru,81
6955,вор,ladrón,65
264,хом,hom,100
2366,крики,crips,73
2762,аристократия,aristocracia,86
598,иерархический,jerárquico,91
6558,дисциплинарный,disciplinario,68
12589,армстронг,armstrong,23
13433,матовый,mate,14
12800,актер,actor,17
5629,шиит,chiíta,74
10835,мб,megabyte,38
5144,индикатор,criadero,76
1046,лиф,corpiño,86
5049,туфцы,mechones,75
11115,барселона,barcelona,36
12747,друг,amigo,13
9713,готика,gótico,46
12214,исправления,correcciones,9
8541,круги,círculos,27
5598,принудительно,a la fuerza,67
4847,сравнить,símil,78
11170,слон,elefante,34
11424,кактус,cactus,34
8487,ледник,glaciar,51
5451,теоретически,teóricamente,54
10871,ужасный,terrible,33
11355,эдгар,edgar,34
595,сиди,sidi,99
5608,преподаватели,thrashers,71
10111,атлас,atlas,43
14021,национальный,nacional,7
5948,ханой,hanoi,72
6340,новинка,novedad,67
7437,словацкий,eslovaco,60
3880,амаль,amal,84
8410,воск,cera,52
13810,это,él,5
6883,одиссей,odiseo,66
8493,дыхание,respiración,39
3328,выпускник,antiguo alumno,87
6148,генуя,génova,71
5804,место рождения,lugar de nacimiento,72
11524,приобретенный,adquirido,23
3064,печная труба,chimenea,78
10166,спонсируется,patrocinado,30
7532,рысь,lince,62
13691,огромный,enorme,12
13867,если,si,5
14152,упаковка,paquete,20
4164,кальлан,ensalada de col,82
13411,мост,puente,13
14054,показывать,espectáculo,7
4744,ницше.,nietzsche,79
3815,военные корабли,buques de guerra,65
8251,горизонт,horizonte,57
5506,нестабильность,inestabilidad,74
8649,габаритные размеры,dimensiones,40
793,harr.,harrama,96
12375,в первую очередь,ante todo,25
12207,притворяться,pringle,27
5726,нереальный,irreal,72
3134,нежелательно,indeseable,71
8899,учил,enseñado,52
2973,золотой глаз,ojo dorado,88
12051,пол,piso,24
10718,вымпел,banderín,38
328,блейзер,chaqueta de sport,49
12085,цунами,tsunami,27
14315,права,derechos,8
868,омбудсмен,ombudsman,97
1759,аутистический,autista,93
1659,курильщик,fumador,80
5355,фанат,phane,75
7964,тревога,alarma,48
8554,уотергейт,acosar,55
11437,расист,racista,32
9596,алюминий,aluminio,47
3376,резак,cortador,80
8870,не знать,inconsciente,52
11620,рут,piedad,32
9148,остановка,detener,37
12441,франклин,franklin,24
6625,койот,coyote,52
13923,сеть,red,8
5305,модернист,modernista,75
5681,биполярный,bipolar,73
9272,альбион,albión,50
13330,гриб,champiñón,15
865,фосфодиестераза,fosfodiesterasa,97
13706,ожидал,previsto,11
13470,флаг,bandera,12
4692,тостер,tostadora,76
1127,экскреция,excreción,93
1204,сладкая палочка,caña de azúcar,96
10642,образец,muestra,29
2390,sportscaster.,comentarista deportivo,86
11316,плечо,hombro,31
1006,гашиш,hachís,97
7331,маршрутизатор,enrutador,61
12309,разнообразие,variedad,23
2302,психика,psique,85
12889,сердце,corazón,16
13369,программное обеспечение,software,15
12981,расписание,calendario,13
11053,полдень,mediodía,37
8273,абориген,aborigen,46
6568,ремик,rehacer,63
11806,лев,león,17
9344,лужайка,césped,48
1459,регата,regata,93
8111,послание,epístola,57
10957,кольца,anillos,17
13216,разве,wasn,17
13640,не удалось,ha fallado,11
5728,амфитеатр,anfiteatro,73
2642,гомеопатия,homeopatía,89
12118,додгеры,dodgers,24
11830,под названием,noble,8
731,практикующие,practicantes,78
82,пибоди,guisante,100
7184,мстители,vengadores,41
9024,диоксид,dióxido,52
5490,страус,avestruz,73
844,вырвать,arrebatar,73
11212,анатомия,anatomía,35
9268,сталкиваться,encuentro,28
547,ересь,herejía,97
3947,иш,ish,83
9082,жареный,frito,38
4012,охватывание,ametrallamiento,73
1259,сборка,montaje,19
5128,герметичность,ducado,74
11901,дюйм,pulgada,20
213,пролетариат,proletariado,100
13416,популярный,popular,13
11907,шарлотта,charlotte,29
5874,белки,proteínas,30
14135,дос,dos,5
1748,идиш,yídish,93
6749,meuse.,mosa,67
3528,авокадо,palta,83
145,парабола,parábola,100
14497,читать,leer,6
10282,дербишир,derbyshire,42
9415,воображаемый,imaginario,49
317,конюмин,connexo,100
9532,перестроить,reconstruido,48
12261,ричмонд,richmond,26
12429,осиротел,huérfano,23
5267,хореография,coreografía,76
12170,эй,yo,27
7588,красная рубашка,camisa roja,58
11555,максим,máxima,30
3934,берта,berta,83
10863,корень,raíz,29
2038,ананда,ananda,92
2826,трижды,tres veces,88
1463,выговор,reprendido,79
4111,сокращение,acortamiento,37
13561,джонс,jones,13
6982,мягче,más suave,65
4157,вовле,volga,82
13295,католический,católico,16
7749,наоми,naomi,61
3639,нержавеющая сторона,inoxidable,85
3986,оборотник,hombre-lobo,83
965,повсегда,soir,97
12411,ручей,cala,25
10197,дева,doncella,41
9554,биологический,biológico,25
10999,аспекты,aspectos,26
12754,процент,porcentaje,21
7890,хомя,hoya,60
14317,вовлеченный,involucrado,9
10815,частичный,parcial,29
7549,середина лета,pleno verano,62
10721,стул,silla,34
9803,главное,en tono rimbombante,46
12672,двенадцать,doce,22
11860,усердие,madriguera,29
8973,питон,pitón,52
9780,кормовой,popa,46
6003,ива,sauce,68
2902,грейпфрут,pomelo,88
13677,дублировать,duplicar,12
12640,прилавок,encimera,21
4395,огнестрельное оружие,arma de fuego,48
8872,супер звезда,superestrella,53
8435,убийцы,asesinos,34
9390,протестант,protestante,13
10821,норма,norma,37
11252,приписывается,atribuido,14
299,в комплекте,agrupado,76
2271,фолсом,folsom,91
6279,белорусский,bielusiano,70
6573,дрезден,dresde,68
10586,в любое время,cuando sea,40
1692,дегидратация,deshidración,89
14012,мощь,podría,6
13448,самих себя,ellos mismos,14
3307,кормон,cordón,75
2465,жених,acicalar,76
298,сумматор,sumador,100
3854,оттенок,matiz,82
11007,бирня,birmania,37
1640,перепечатать,reimprimir,64
3529,гидропоника,hidroponia,83
10352,дел,dell,41
11973,нэнси,nancy,29
1965,муравьед,oso hormiguero,91
12778,нарушение,violando,7
4064,хулиганство,gamberrismo,62
5383,альбедо,albedo,73
11741,амазонка,amazonas,30
493,мигрень,migraña,96
131,равномерно,uniformemente,100
5775,дивизоры,divisorios,67
7205,санитария,saneamiento,61
9817,волшебник,mago,32
12702,переписать,volver a escribir,18
5339,куча,montón,68
12034,разговор,película sonora,28
8472,тифинаг,tifinagh,56
14191,проект,proyecto,7
2582,акт,adp,89
11713,джейк,jake,31
1627,льна,linaza,94
2693,межстропический,intertropical,89
11920,манхэттен,manhattan,29
13646,чарльз,charles,12
1731,синус,seno,88
14186,взятый,tomado,8
13166,тренироваться,entrenar,10
5757,прикручивать,atornillado,38
13359,цитируемый,citado,7
6411,дитто,ídem,69
3993,копейки,diez centavos,77
5343,квадратный,patio,73
14113,находить,encontrar,7
14350,встретиться,encontrarse,10
1977,сепаратисты,separatistas,66
137,пористый,poroso,100
12284,научный,científico,25
7647,адвентист,adventista,58
2365,хоролог,horologium,91
9297,благотворительность,caridad,46
10943,градусы,grados,23
1976,легионеры,legionarios,89
6996,антарктика,antártico,65
6974,никотин,nicotina,63
13357,оно,oner,15
1767,пенсии,pensiones,62
1770,мельница,layne,93
10622,бертон,aparejo,39
1223,пеласты,peltastas,93
4513,дарби,darby,80
4416,натиснение,embate,81
11219,бр,br,35
7235,cortez.,cortés,63
13175,дона,nea,17
7209,биосинтез,biosíntesis,63
8395,каф,coste y flete,56
14093,будущее,futuro,8
5147,серванс,cervantes,77
7813,санчо,sancho,60
9615,суммировать,resumir,37
13004,ответственный,responsable,11
14333,продажа,venta,21
4765,ром,ron,79
8952,дана,dana,52
2886,сомеры,somers,88
10708,скипетр,cetro,39
10274,капел,capilla,42
10678,обещать,promesa,24
7795,этил,etilo,60
5412,анкара,ankara,75
10868,ньюпорт,newport,38
2238,carfax,cruz,91
1777,ревность,celos,90
8492,раскрытый,superválido,49
11277,призрак,harper,33
14360,январь,enero,6
9381,комик,cómico,46
7211,странствия,viajes,17
7501,реализм,realismo,62
3850,кроссранс,cruzado,81
99,логика,logie,96
8621,плавающий,flotante,44
10278,крыса,rata,38
9417,реагировать,reaves,49
11773,авария,par,30
5931,сай,sai,72
1825,спиро,spiro,93
7627,принтер,impresora,55
13085,противоречие,controversia,8
2144,недоступный,inaccesible,92
13751,указывать,indicar,9
8795,почка,riñón,51
9821,соленый,salar,46
10523,шасси,chasis,40
11603,виртуальный,virtual,25
5170,провоцист,provocar,50
4736,ароматический,aromático,76
1141,фиги,figo,96
846,путепроводы,paso superior,92
11500,норман,normando,32
13880,много,muchos,6
6716,груша,pera,66
1840,открыл,rescindido,87
10525,крошечный,diminuto,40
13400,карьера,carrera profesional,14
4950,этимология,etimología,66
7119,господство,noir,62
11377,допущенный,aceptado,24
4285,синтия,cynthia,81
7592,очевидно,evidentemente,11
6450,зарядное устройство,cargador,30
3872,эпоним,epónimo,83
12092,инактивированный,inactivado,26
5315,холдинга,hoi,76
8422,непредвиденный,inesperado,56
13096,хижина,cabaña,18
6231,гринвуд,greenwood,70
1221,компенсатор,compensatorio,96
6676,мул,mula,60
8725,денежный,monetario,54
7398,апостол,apóstol,49
1199,тушить,guiso,88
6468,зловещий,siniestro,69
6322,шизофрения,esquizofrenia,70
9452,суверент,soberano,48
6182,шпинат,espinacas,70
12122,автоматический,automático,6
10235,километры,kilómetros,39
1254,бесстыдный,desvergonzado,96
6728,коринфянам,corintios,62
3458,батта,chalado,86
7095,галлоуэй,galloway,64
14393,лицо,rostro,12
10944,день рождения,cumpleaños,36
7849,феодализм,feudalismo,53
7885,изогнутый,curvo,37
12421,остин,austin,25
11181,сб,cb,36
13439,солдаты,soldados,13
3727,стоячая вода,agua sin gas,85
1172,келоуна,kelowna,96
11979,доллары,dólares,20
13338,мм,mm,15
8332,плагиат,plagio,52
5686,ломание,lowry,72
14307,немецкий,alemán,11
