ID,CHINESE,DANOIS,INTERVAL
12822,快速地,hurtig,20
8329,冒犯了,fornærmet,25
9445,绑架,kidnapning,33
2933,迪托,dido.,88
1646,蒙特梭利,montessori.,95
13640,失败的,mislykkedes,10
9349,西西里岛,sicily.,49
11989,卡特里娜州,katrina.,28
10257,棕榈,håndflade,38
4908,未划分的,unscheduled.,78
11630,油菜,cole.,29
9157,剧本,screenplay,50
9463,合唱团,coe.,48
4126,食谱,opskrift,72
12032,玉米,cornix.,28
11168,借口,undskyldning,33
7903,退房,checkout.,58
14381,证券,værdipapirer,12
8675,绅士,gentage,54
7715,动力学,dynamics.,24
10974,塞勒,sierra.,37
775,蚂,forbade,98
2779,达文,dyn,89
4786,色氨酸,tryptophan.,79
6253,甲硫氨酸,methionin,70
12905,阿肯色州,arkansas.,19
8025,公爵夫人,hertuginess.,59
243,格罗斯,grosse.,33
8295,萨克斯管,saxofon,56
8849,活泼的,sparky.,53
1896,性别歧视,sexisme.,93
6745,袍,kjole,55
12958,凯文,calvin.,18
2006,木匠,tømrere.,46
10186,炭疽病,antrax.,42
9233,双性恋,bisexual.,43
3703,不存在的,ikke-eksisterende.,82
11230,预算,budget,33
4313,兜售,hawker.,81
14072,命令,bestille,8
10783,寻求,søger,24
3659,鼻孔,nostrum.,85
11162,可卡因,kokain.,36
13973,称为,hedder,8
5621,侏儒症,dwarfisme.,74
5708,情景人,komedieserie,67
4661,补丁,patches.,30
1482,最北端,northernmost.,95
10751,弗雷泽,fraser.,38
7409,波希米亚,bohemian.,59
9905,挑衅的,aggressiv,34
831,微系统,microsystems.,98
1179,乱堆,huddle.,90
3713,斯特鲁,sturt.,85
11657,达勒姆,durham.,31
5089,泰恩,tyne.,57
7854,河滨,riverfront.,60
5489,猛扑,pounce.,66
9534,胎,tire.,34
1163,萤火胶,fireboy,97
12019,牛津,oxford.,28
7741,礼堂,auditorium,60
10978,甜的,sød,36
12112,科威特,kuwait.,27
9025,咬,bid,37
2303,偏转,afbøjning,61
6929,不同,forskelligt,65
7734,皮革,læder,60
8465,慢性的,kronisk,55
2542,沃勒,waller.,90
12325,upropropical.,ekstratropisk,25
6418,碳质,carbonaceous.,69
3687,尤克里里琴,ukulele.,85
4207,补偿,kompensere,42
4564,肋骨,ribben,62
10388,斯特纳斯,interstate.,40
8776,木乃伊,mummy.,53
14379,边,side,10
14190,任何一个,enten,7
5931,赛,sai.,72
1893,讲道,prædiken,86
5432,罗马诺,romano.,75
4257,困境,dilemma,80
10495,气氛,atmosfære,31
12884,零,nul,19
12364,默里,murray.,25
4634,荡平,quell.,70
11322,朱利叶斯,julius.,34
11265,北极,arktisk,35
10598,喀麦隆,kamerun,39
8001,帕利,parley.,58
12141,思想,tanker,11
3853,二羟基,dihydroxy.,84
7570,爸爸,papa.,61
6279,布伦斯人,belorussian.,70
10810,牺牲,ofre,37
9022,海岸线,kystlinje.,50
6539,统一,unification,67
14034,费用,omkostninger,19
8384,地标,milepæl,47
12405,枫,ahorn.,24
4571,禁令,påbud,76
5157,嘴唇,læber,57
9602,六十,tres,42
857,美沙酮,methadon.,97
12984,奥地利,østrig.,19
2293,飞地,enklave.,87
11029,缺陷,defunct.,37
11150,隐藏,skjule,26
10718,章程,pennant.,38
9697,飞碟,ufo.,45
13034,荷兰,holland.,18
7800,保单,fastgørelse.,58
10080,悬崖,klint,40
12312,全世界,i hele verden,25
14312,位置,position,6
10993,施洗,baptist.,36
11512,哈欠,hardy.,31
4246,摇动者,shakers.,73
5184,叶形,fabiform.,77
8458,结核,tuberkulose,55
13453,艺术家,kunstner.,12
12988,清单,checkliste,18
511,快板,allegro.,99
11139,不可接受,uacceptabelt.,35
11113,阿尔及利亚,algeriet.,36
12349,历史性,historisk,13
9838,诺福克,norfolk.,45
2719,柯萨里,cursory.,89
6802,跨国,multinationale.,66
11487,保卫,forsvare,13
855,埃尔科,eth.,98
5499,博蒙特,beaumont.,75
1295,盐度,salinity.,81
10521,贫困,fattigdom,40
1921,粘液,slim,93
9284,不成功,mislykket,44
12341,记忆,hukommelse,13
9220,拘留,tilbageholdt,46
14109,约翰,john,8
10752,ma,maillot.,38
1660,鲤鱼,karpe,83
3779,凯西斯,keats.,83
10005,嘉年华,fiesta.,43
8608,什,shia.,54
12432,钍,th.,24
4798,剪,sheared.,27
813,虎斑,tabby.,98
4600,里程表,kiletæller,80
5365,藻类,alger,75
11679,乌拉圭,uruguay.,31
5255,模块,modul,47
2319,摇摆,sway.,81
7894,摩擦,friktion,58
2605,云母,mica.,90
2531,雪莉酒,sherry.,90
13673,球衣,jersey.,12
2512,果蝇,drosophila.,90
3928,地峡,isthmus.,84
4250,暹罗,siamese.,82
6043,道教,taoisme.,71
3037,太空鱼,sunfish.,88
11862,标题,header,9
403,略,smoot.,100
10402,逃货,fled.,41
8956,萨克拉门托,sacramento.,52
8078,世仇,fejde,53
106,钡,barium.,100
13020,协议,aftale,17
11809,克里,kerry.,30
11694,载体,carrier.,28
482,墓志铭,epitaph.,99
12655,我是,jeg er,22
13290,安东尼,anthony.,16
8694,弗莱彻,fletcher.,54
5363,氢氧化物,hydroxid.,76
4846,药物,pharmaceutical.,67
10746,基板,substrater.,35
10259,构造,tektonics.,39
10540,冲绳,okinawa.,40
11180,宽度,bredde,35
5026,霍拉,holla.,77
2806,荒谬,lackluster.,88
9177,草莓,jordbær,49
5869,罗勒,basil.,72
14045,之内,inden for,10
1292,托尔斯泰,tolstoy.,96
11566,轰炸机,bombers.,23
228,菩萨,dene.,100
2054,加里波第,garibaldi.,92
8557,骗子,conn.,55
7981,成功,lykkes,33
12780,古巴,cuba.,21
13512,王冠,krone,12
10806,边界,bundet,29
8846,京都,kyoto.,53
9013,辞职,træde tilbage,25
2539,中生代,mesozoic.,90
3496,追溯,retroaktivt,76
1845,羽脚,bown,93
4540,山猫,bobcat.,65
10185,约书亚,joshua.,42
6672,霸权,overhøjhed,67
3393,斯洛文尼亚语,slovensk.,87
29,忧郁,melankoli,100
12924,杰,jay,16
2967,蒙面,maskeret,38
1320,合法,legis.,96
13063,波兰,polen,18
5600,免得,lest.,60
1161,马德拉岛,madeira.,97
1967,保姆,nanny.,93
8644,地理学,geografisk.,33
2233,高尔夫球手,golfers.,70
4680,未公开的,undisclosed.,79
8976,猫咪,kitty.,50
4273,比基尼,bikini,80
9572,露西,lucy.,47
14287,最终的,endelig,7
13971,速度,sats,7
3949,wr,writ.,79
11109,游泳的,svømning,32
3562,分手,slå op,83
6384,任意,vilkårligt.,69
5376,入店行窃,shoplifting.,72
4455,野蛮人,barbar,58
2506,小天使,cherub.,90
5229,里士斯,kaspian.,76
3382,萨克斯,sax,74
12093,乌克兰,ukraine.,27
14179,收益,indtjening,14
6749,梅苏,meuse.,67
1118,海洋学,oceanografi.,97
4095,赎回,frelse,81
3647,荆,jing.,85
12140,啤酒,øl,27
9303,列宁,lenin.,47
11228,坐着,sidder.,24
13892,前,før,6
5188,常绿,evergreen.,77
10931,物料,materiel,37
11753,特洛伊,troy.,30
12371,亚伦,aaron.,25
13468,部长,minister,13
13116,刘易斯,lewis.,17
5122,fe,fey.,77
9873,可以说,arguabelt.,43
10456,草,græs,40
2900,愤怒地,vredt,88
7088,法拉德,faraday.,64
8618,奥古斯塔,augusta.,54
11531,科恩,cohen.,32
4337,亚洲人,asiatic.,82
597,殖民者,kolonister.,90
12201,中尉,løjtnant,26
6963,阿芙罗狄蒂,aphrodite.,65
13634,未注册,uregistreret,12
9601,路口,vejkryds,41
1828,co,coinage.,94
2314,麾,glæd dig,86
9663,女权主义,feminisme.,46
7993,释,befriet,59
10238,管家,chamberlain.,42
10416,普林斯顿,princeton.,40
9605,运输,vogn,44
7931,椰子,kokosnød,59
4075,卷饼,burrito.,82
3364,瞪眼,glarende.,77
4609,cl,klædt,77
6049,乌得勒支,utrecht.,71
5205,梅利,medley.,73
2355,哇哇哇哇哇哇哇,woohoo.,91
691,潮流,bandwagon.,97
2772,米拉,mila.,89
8757,莫扎特,mozart.,53
12964,遗漏,udeladelser.,18
8918,强制的,obligatorisk,52
4368,诚实,ærlighed,81
2277,贾斯坦人,justinian.,92
8511,补救,afhjælpe,49
7822,启示,åbenbaring,48
11203,自豪的,stolt,35
9396,栅栏,hegn,38
13281,基本的,primær,15
10890,爱因斯坦,einstein.,38
11443,尼古拉斯,nicholas.,33
6344,学徒,lærling,68
12492,灵魂,sjæl,22
12179,此外,desuden,27
11050,章节,kapitel,30
14452,领导,førende,7
8323,箭牌,wrigley.,57
12184,未经许可,unlicensed.,27
7166,塞克,tuck.,61
11260,粘土,ler,35
837,超重,overvægtig,98
12784,元素,elementer,16
10459,史诗,epic.,40
1390,巴拉圭人,paraguayan.,90
2858,欺骗,spoof.,75
1425,合成器,synthesizer.,41
3926,隔离,karantæne,77
908,tod.,til d,97
7430,铂尔曼,pullman.,62
10948,华沙,warszawa.,37
13648,一定,nødvendigvis.,12
11719,主题,tema,26
13775,爱尔兰,irland.,11
1631,外阴,vulva.,95
4449,升,liter.,48
6373,克罗伊,chloe.,69
11765,拉尔夫里,ralph.,30
5373,印度支那,indochina.,76
9503,也门,yemen.,48
5680,人均,capita.,74
5169,可识别的,genkendelig,75
11962,埃文斯,evans,28
10958,遗留,rester.,31
8321,囊性,cystic.,57
12803,铁路,railway.,18
13842,年,år,6
6889,罗梅罗,romero.,66
674,哈吉尔,hagar.,98
5186,系数,koefficient,72
12920,魁北克,quebec.,19
8630,cr,criss.,54
1807,邓恩,dunne.,94
7498,梧桐,indus.,62
2419,种植园,plantage,68
12412,康涅狄格州,connecticut.,24
9416,扭曲,skewed.,46
10287,切斯特,chester.,41
6478,..,pyr.,69
9664,马尔萨斯人,malthusian.,46
3092,阀门,ventiler.,46
8080,赫斯特,hurst.,58
2882,有风险,risikabel,88
3073,转氨酶,transaminase,88
8488,滑坡,jordskred,42
10898,执照,licens,33
9320,喜悦,glæde,47
10805,对立,modsætningen er imod at modsætte sig,16
2030,颁布,enactment.,28
13888,什么,hvad,6
9080,祷告,bøn,45
5380,惨淡,dismal,75
85,梦想时间,drømme tid,100
9313,拳击手,bokser,47
5272,重新团结,genforenet,65
3081,减去,trække fra,61
14165,城市,by,8
11596,雷克斯,rex.,32
5631,可读性,læsbarhed,53
9486,拱,arch.,45
12330,heav,tungt,25
13630,参加,deltage,9
894,走道,gangbro,95
10594,阿灵顿,arlington.,39
11137,别墅,villa.,35
3777,疏,sparsomme.,68
14363,罗伯特,robert,11
5289,金黄色葡萄球菌,aureus.,76
7726,马斯,musemus,45
2433,泥炭,peat.,91
10533,界面,interface.,38
12026,救援,redde,25
9854,开罗,kairo.,45
9648,午餐,frokost,46
3227,自私,selvisk,83
2291,锶,strontium.,92
6012,胫骨,tibia.,72
5073,约束,begrænsninger.,71
3432,梗塞,infarction.,85
94,划点,diomedes.,100
10512,锁定,låst,26
11451,双胞胎,tvilling,21
2165,电泳,elektroforese,92
9050,里斯本,lissabon.,51
4575,毕思,biathlon.,80
12421,奥斯汀,austin.,24
9207,霍金斯,hawkins.,50
9994,薄的,tynd,43
7879,克罗克,crocker.,60
3988,细胞质,cytoplasma,81
11347,昵称,kaldenavn,26
2128,邦戈,bongo.,81
9134,珍妮特,janet.,51
10183,不确定,usikker,42
9742,治疗,terapi,45
9495,天文学家,astronomer.,30
14507,中心,centrum,9
10300,美联储,fed.,41
1703,蹦极,bungee.,95
2533,英雄主义,heroisme.,90
7054,说服了,overtalte.,49
5899,羚羊,antilope,72
13763,强烈,stærkt,11
1555,肌营养,amyotrofisk,95
13087,金属,metal,17
7399,筋疲力尽的,udmattet,41
10934,披头士乐队,beatles.,37
7841,赫利,hurley.,60
405,泼妇,tiper.,100
3269,堆,stablet.,49
6222,钚,plutonium.,70
1781,懒惰者,lys.,76
8741,混音,remix.,42
12880,确实,ja,20
6734,大马士革,damaskus.,67
3282,聚合酶,polymerase.,87
11285,政权,regime,33
1181,刺刀,bajonetter.,76
5396,欧姆,ohm.,73
6728,哥林多亚,corinthians.,62
11002,吹,blæse,29
138,鬼鬼祟祟,furtive.,97
1892,灾害,calamity.,88
13829,他们的,deres,6
5768,小节,underafsnit,46
3914,契约,fait.,82
6102,蛤,musling,70
1392,征收,pålæggelse.,96
13011,较差的,fattige,18
780,基层,græsrødder,98
3370,腺苷,adenosine.,87
1285,诱发,induce.,51
6759,纸浆,pulp,66
11656,成功地,succesfuldt,11
10097,护送,eskortere,36
5118,康纳,conner.,76
10271,黄鼠狼,væsel,41
680,考古学家,arkæolog,88
6991,踩踏,stampede.,62
9109,壮观的,spektakulære,51
1387,内部,samhørig,96
2522,假发,paryk,81
4774,柑橘,citrus.,79
1750,长方形,rektangel,91
13356,独立的,uafhængig,12
12997,汉密尔顿,hamilton.,18
6612,拖拉机,traktor,63
2443,分配,tildeler,12
5790,斯托纳,stoner.,71
7721,天启,dommedag,61
11384,劳拉,laura.,34
5484,超级市场,supermarkeder.,60
5182,进化,evolutionary.,77
4446,重新添加,tilføj,80
10460,浪漫,romantik,39
13583,意大利,italien.,12
13313,加尔,gal.,15
2620,立体,stereoskopisk.,89
3525,戈兰,goran.,86
8071,贝特,baxter.,58
1222,托斯曼斯斯特,toastmaster.,95
9900,圣德,jihad.,45
12645,调查,efterforskning,16
5445,银河系,galaktik,75
12477,捷克语,tjekkisk,23
12277,杰卡,jaga.,26
14237,已知,kendt,9
7753,怀特,wight.,60
7824,乌托邦,utopia.,60
6482,离线,offline.,68
9867,路标,signpost.,45
393,罗霖,tamarin.,100
8084,共济会,freemasonry.,58
13999,线,linje,8
11559,克拉克,clarke.,14
10574,海王星,neptune.,39
4856,炼油厂,raffinaderi,62
5780,蜻蜓,guldsmed,73
2463,抨击,bashing.,51
10999,方面,aspekter,26
8135,开除,udvisning,52
8460,千禧年,millennia.,55
6619,征兵,conshript.,60
11057,胡须,skæg,34
4672,手稿,manuskripter,61
12334,吉布森,gibson.,25
9147,里昂,lyon.,50
12651,肯,ken,22
3599,根深蒂固,forankret,78
2546,核仁,nukleolus.,90
1640,重印,reprint.,64
14210,优惠,tilbud,14
366,四氢呋喃醇,tetrahydrocannabinol.,100
5114,算盘,abacus.,77
6956,桑德曼,sandman.,65
4146,pap,papal.,82
2625,加冕,kroning,62
6967,陆,terrestrial.,64
8887,大肠杆菌,coli.,52
5226,幽灵,specter.,76
9542,可疑的,mistænksom,46
1165,无圈,noosphere.,97
1776,轰响,bonk.,92
4409,伯特利,bethel.,81
3297,丢弃,kasseret,70
6249,不利,ugunstig,60
5712,犯规,fouled.,35
8962,预告片,anhænger,46
3347,吉拉亚,gillian.,87
1979,达利,dari.,93
6843,护照,pas,60
12415,黎明,daggry,24
14093,未来,fremtid,8
3060,棱角,vinkel.,88
1628,针孔,pinhole.,95
13930,期间,i løbet af,7
8905,艾美,emmy.,52
14244,方法,midler,8
8499,麦地那,medina.,55
7620,一致,unanimous.,46
4714,光明节,hanukkah,79
12307,仅仅,blot,8
11747,第二十,tyvende.,30
2413,肌腱,sene,88
5625,跛行,halte,59
4548,纠结,tangled.,72
2957,肮脏,crowder.,88
3359,滚球,grounder.,87
4605,项链,halskæde,77
7408,反犹太主义,antisemitisme.,58
14037,区域,areal,9
10933,抽烟,røg,25
7490,实验,eksperimenterende,37
12303,宇宙,univers,7
11553,更难,hårdere.,32
10027,难民,flygtning,27
10719,视觉,syn,31
9741,嘉洛,carlo,46
5234,伏特加,vodka.,76
9662,埃菲尔,eiffel.,47
10815,部分的,delvis,29
13278,拍,klappe,14
6489,尴尬,pinlig,46
10245,占星术,astrologi,39
6176,糖浆,sirup,70
10166,赞助,sponsoreret,29
2040,托运,tractive.,92
2148,拉巴特,rabat.,92
8075,海绵,svamp,58
286,吉利斯,gillies.,88
3856,配件,tilbehør,67
9009,索菲亚,sophia.,52
3773,多才多艺的,alsidig,77
2382,仰光,rangoon.,91
4357,会合,rendezvous.,76
1126,栏干,bannister.,97
11157,收入,indkomst,32
2079,痔,hæmorider,91
5959,华丽,glam.,72
4371,坏处,ulempe,66
11602,字典,ordbog,31
12659,行业,industri,14
11611,相反,modsætning,31
4035,零售商,forhandlere,38
3162,连锁,linkage.,82
6350,阿罗哈,aloha.,69
7723,无力,manglende evne,60
6060,镇压,crackdown.,70
3329,心肌,myocardial.,87
12971,行星,planet,17
5605,俗气,populært.,74
2544,不均匀的,ujævn,90
897,庞然大物,behemoth.,97
822,不可逾越,uoverstigelig,98
1872,布依,belay.,88
13498,战斗机,fighter,12
14431,楷模,modeller,12
3851,挫败,thwarted.,71
9042,桑德拉,sandra.,51
12148,kn,vidste,27
11428,马球,polo.,33
84,百日咳,pertussis.,100
9277,创世纪,genesis.,49
11161,民间,folk,28
3462,气雾剂,aerosol.,81
931,厘索,centriole.,97
2948,醛,aldehyd.,83
1116,晷,sundial.,92
11080,幻影,fantom,33
8245,突破,bryde igennem,54
11075,爱达荷州,idaho.,36
6940,传真,fax,64
13269,理论,teori,13
709,拨,trower.,85
7811,罗河,rove,59
4926,庞,pang.,77
13237,掌握,mestre,12
13924,反对,mod,7
341,马尔特,martel.,100
14125,一半,halvt,10
14459,帐户,konto,5
14156,国际的,international,9
6395,善意,goody.,62
3326,联合,syndikering,54
1761,金妮,ginny.,94
14049,最近的,nylig,5
1617,玛军,martens.,89
3455,丽莎,liza.,87
12868,挪威,norge.,20
8899,教导,undervist,52
14008,直到,indtil,9
1178,游行者,marchers.,92
8660,毛皮,pels,51
1009,不切实际的,upraktisk.,96
1140,诱饵,baiting.,72
4225,涌入,tilgang,82
3604,毛虫,larve,83
1471,吉尔加什,gilgamesh.,95
9068,手球,håndbold.,49
8871,一分钱,penny.,52
7855,里诺,reno.,60
1682,受访者,interviewere,86
9490,狭小,snævert.,48
8747,家园,fædreland,53
10588,砂光机,sanders.,37
13562,月,måned,10
2026,嘲弄,mockery.,92
2766,社交,serfdom.,89
2934,报复,gentalere,45
6054,啄,peck.,70
13606,理查德,richard.,12
3786,矩形的,rektangulær,84
8216,混蛋,asshole.,54
7940,凯蒂,kathy.,59
2953,切片,skåret,55
652,神的食物,ambrosia.,98
12771,动物,dyr,12
6271,易受伤害的,sårbar,62
9847,诗,vers,38
2356,卖家,frazer.,91
12870,新秀,rookie.,18
6294,主角,hovedperson,62
7298,景区,naturskøn,63
1945,费米,fermi.,93
14035,油,olie,16
8805,交响乐,symfoni,52
1484,连身裤,jumpsuit.,95
8706,动机,motivering,29
6162,哥伦比亚人,columbian.,70
4252,水蛭,igle,82
7786,兵变,mytteri,57
7638,航空医学,aeromedical.,62
13725,常规的,fast,12
13522,存根,stub.,12
11396,跳过,springe,28
13093,阿根廷,argentina.,17
14300,手术,operation,6
13959,结尾,ende,7
5544,寒冷,frost-,74
762,编辑部,newsroom,97
5431,k,kilt.,74
5401,曲柄,crank.,70
12347,轨,rail.,23
9477,成交,clinch.,23
6437,工匠,håndværker,69
4334,发射器,launcher.,63
1067,扼杀,niggers.,47
9930,渡船,færge,37
7403,紫色,violet.,61
8054,据,tha.,58
3014,帕特里斯,patrice.,88
449,德曼,linesman.,100
11005,达蒙,damon.,37
6477,挂钩,pate.,68
191,炫耀,ostentation.,100
8967,情绪,humør,51
12165,马德里,madrid.,27
8062,参数,parametre,43
2492,叛徒,forræder,76
2720,燃灭,incendiary.,87
13598,特色,udvalgte,9
11252,归因于,tilskrives,14
1424,颂,chants.,50
305,莱里,ley.,95
3106,基尔,kiel.,88
13500,安全,sikkerhed,12
3408,底格里斯,tigris.,87
5453,千禧,millenium.,75
9444,硫,svovl.,45
75,锦,kam.,100
4768,卡马隆,camaron.,79
8398,巧合,sammentræf,39
12235,监狱,fængsel,17
9959,加菲猫,garfield.,44
1124,肥料,gødning,97
309,驳船,pramme,77
13844,二,to,7
12649,巴勒斯坦人,palæstinensisk.,19
9180,哈提瓦,harriet.,50
11526,事务,affære.,21
1003,军阀,warlords.,82
2704,警报,advarsel,27
5293,黛米,demi.,75
5344,野猫,vild kat,33
9935,相互的,gensidig,40
10066,钩,krog,30
6569,忽视了,forsømt,55
12778,违规,overtræder,6
5999,咕噜咕噜,grynte,70
8012,歌曲作者,songwriter.,48
2697,无国籍方式,statsløse.,83
10789,工具,værktøjer,19
9392,航天,aerospace.,49
1898,ey,eye.,93
13638,指定,specificerer,7
9164,脚跟,hæle,44
13435,先,foran,14
14382,完全的,komplet,8
1303,诺伊,nei.,96
8145,炎症,inflammatorisk,58
4996,德威特,dewitt.,78
8128,不可用,utilgængelig,57
1986,未爆炸,unexploded.,93
1924,聚合器,aggregator.,25
12881,太阳的,solar.,20
10225,化石,fossil,27
5674,chin,chinook.,72
3206,悬念,spænding,30
277,轿车,sedans.,49
8988,表演者,kunstnere.,10
4402,母猪,busby.,81
9011,凯恩,kane.,52
8152,耐心,tålmodighed,58
10712,卡内基,carnegie.,38
5171,倒台,fald,75
4596,朴素,plainly.,80
7074,摩门教徒,mormoner.,31
3831,粪,dung.,84
5181,注入,implantat.,70
4096,贫血,anæmi.,83
11670,第十三,trettende,31
13786,否则,ellers,11
8838,勇敢的,modig,22
3287,无论如何,uanset at,87
10966,葛底斯堡,gettysburg.,37
12769,汉普郡,hampshire.,21
2894,at,frygtelig,88
3155,防范措施,forholdsregler,71
7765,喊,råbe,39
10914,星系,galakse.,35
7963,修剪,trimme,42
10985,旋转,spin,30
9519,沙龙,sharon.,48
10070,疲劳的,træt,25
81,采石场,stenbrud,95
13030,加入,tilsluttet,10
5258,热情的,entusiastisk,39
764,曼克斯,manx.,98
9539,航海,nautical.,48
6045,生物群系,biomer,71
11382,摆脱,ride,34
749,肉类主义,botulisme.,98
1885,瑞典人,swede.,81
10892,粉碎,smadre,29
13877,可能,kan,5
12965,彗星,komet,18
2025,弟子,disciple.,81
6741,楼梯,trappe,62
11440,厄瓜多尔,ecuador.,33
4303,不可替代,uerstattelig,80
8577,无形的,usynlig,52
5450,游客,besøgende,9
93,微处理器,mikroprocessorer.,75
9701,结论,konklusioner.,23
3055,不可触摸,handoff,88
4293,动物学,zoologi,77
5016,敌基督者,antichrist.,76
9266,马丁内斯,martinez.,50
907,冶金,metallurgi.,97
1862,富豪,regal.,91
9072,科隆,köln.,51
10398,裸,nøgen,41
10921,金字塔,pyramide,32
1758,兴奋,begejstret,51
2931,最远,længst,88
12517,发射,fyret,9
11225,父母,forælder,25
610,咒语,mantra,97
1494,误,mistook,95
12144,塞尔维亚,serbien.,27
1398,苯基,phenyl.,95
7521,僵尸,zombier,24
14387,短的,kort,9
854,劳工,soler,98
9947,追逐者,chaser.,43
2656,中城,midtown.,90
10853,迪卡侬,decathlon.,38
4163,对数,logaritm.,76
3781,最深处,dybeste.,84
11043,翻译,oversætte,17
7612,格罗弗,grover,62
8920,流感,influenza,52
10877,符号,symboler.,19
9778,赌场,kasino,42
12156,铁饼,discus.,27
12204,箱,beholder,26
737,狗仔队,paparazzi.,98
11035,五十,halvtreds,34
2525,韧带,ligament.,79
11249,都柏林,dublin.,35
5535,手册,håndbog,73
11674,害怕的,bange,31
2280,枪声,gunshot.,86
1325,叶绿素,chlorophyll.,96
281,罐头,canisters.,84
8584,帕萨迪纳,pasadena.,55
6811,肖邦,chopin.,66
2190,康吉尼,compagnie.,88
12741,联合的,samling,21
1176,val,valorous.,66
12706,耶稣,jesus.,21
4025,药片,tablet,67
1737,要旨,gist,93
13907,那些,de der,6
14395,减少,reducere,16
10056,马里,mali.,43
13045,迪斯科,disco,18
13993,五,fem,9
11813,小型的,mini.,29
4742,羞愧,skamme sig,78
13345,实践,øve sig,12
8383,梅丽莎,melissa.,56
8984,招募,rekruttere,23
8535,大赦,amnesti,54
9173,接触,eksponering,48
7007,黄貂鱼,stingray.,62
6577,弟兄们,brødre.,68
11007,缅甸,burma.,37
13048,辛辛那提,cincinnati.,18
6722,郑,cheng.,67
11764,附近,i nærheden,30
9870,芽,knop,42
13197,爱国者,patriot.,12
6861,拉斯,ras.,27
1933,掠夺者,marauder.,81
3103,肖伊,shawnee.,88
1408,轨枕,sleeper.,91
4707,累积,akkumulerede,76
8565,生姜,ginger.,55
11063,可乐,cola.,37
10821,规范,norm,37
9730,凸,bule,46
10450,无礼,uhøflig,38
7659,遗忘,glemsel,61
2184,拉迪,rad.,90
8330,日出,solopgang,56
5990,浓咖啡,espresso.,72
12027,蒸汽,damp,27
3283,克劳斯,klausuler.,44
10889,数,tæller,10
14275,局域网,lan,59
2914,堤道,kausway.,88
12445,王朝,dynasty.,23
4851,荷斯坦,holstein.,78
14445,测试,tests,5
3423,回文,palindromic.,74
4009,万神殿,pantheon.,83
