ID,CHINESE,POLONAIS,INTERVAL
13190,人口,populacja,15
3144,锄,motyka,86
12542,鱼,ryba,20
14114,我,ja,5
413,多神教,politeizm,100
11657,达勒姆,durham.,32
12097,争论,argumenty,17
8784,宇宙飞船,statek kosmiczny.,54
11411,慢点,wolniej,34
13344,担,dan.,15
10866,衰退,spadek,13
8074,雅阁,abbott.,59
5942,泰隆,tyrone.,72
11263,帽,czapka,23
1574,发声,udźwięcznienie,20
13833,比,niż,6
9663,女权主义,feminizm,47
5588,逐渐淘汰,fazowany,25
9885,爱人,wokal,35
12043,地铁,metro,28
11070,验证,udowodniony,36
11892,惯例,konwencje,13
13944,约克,york,8
12318,沃尔特,walter.,26
853,基尔肯尼,kilkenny.,98
14412,规则,zasady,7
10025,哈勒姆,harlem.,44
11832,蒙古,mongo.,30
3605,仪表板,deska rozdzielcza,84
10378,巫婆,czarownica,39
9291,伊斯坦布尔,stambuł,50
8669,便宜的,tani,54
8447,林荫大道,bulwar,56
13796,在,w,5
6905,方言,dialekt,49
12434,空运,most lotniczy,24
14306,发行,wydany,8
1402,塔玛拉,tamara.,95
4710,动物群岛,fauna,80
10669,社论,redakcyjny,35
4841,烙黑,pyro.,79
11770,斐济,fidżi,31
14402,要求,wymagać,6
10032,默认,domyślna,41
8891,拼写器,podręcznik do ortografii,53
941,定量,ilościowy,93
12359,乍得,chad.,25
5853,格林,graal,73
13195,大量的,masa,15
12822,快速地,szybki,20
9411,垫,mata,38
10183,不确定,niepewny,43
11252,归因于,przypisany,14
14346,商业的,handlowy,9
12142,逃脱,ucieczka,22
9979,羟基,hydroksyl.,45
10402,逃货,uciekaj,41
2652,椋鸟,szpak,90
8568,福勒,ptasznik,55
268,那奥阿伊兰人,neapolitan.,99
1832,卡迪,cady.,94
6102,蛤,małż,71
9303,列宁,lenin.,48
8162,孟买,bombaj,58
10527,及时,natychmiast,40
13551,意思,oznaczał,13
2124,康斯坦斯,constance.,92
594,单钠,monosodium,99
4124,放纵,wyrozumiałość,67
2784,定时器,timery,65
7464,列宁格勒,leningrad.,62
11404,小姐,sm,34
9640,泰晤士河,tamiza,47
8014,健身房,siłownia,59
3903,顺利,płynnie,84
12186,汞,rtęć,27
1211,便宜,tanio,97
5634,让人想起,pamiętny,67
11431,路易斯维尔,louisville.,34
11435,职责,obowiązki,18
8118,哮喘,astma,58
6861,拉斯,ras.,28
1482,最北端,najbardziej na północ,95
3039,石工,kamieniarstwo,88
9329,居住者,mieszkaniec,48
2620,立体,stereoskopowy,89
6025,单方面,jednostronny,55
14042,宣布,ogłoszony,12
8245,突破,przełom,55
881,星尘,gwiezdny pył,97
7882,有效,silny,59
11716,gl.,glos,31
13565,充满,napełnić,12
597,殖民者,koloniści,90
12657,印第安纳波利斯,indianapolis.,22
8344,全州,statewide.,57
14511,离开,zostawić,7
11652,错误,błędny,32
8718,帽子,kapelusze,26
3901,托克,tok.,84
7521,僵尸,zombie.,25
5491,犹,jud,75
1510,步态,chód,94
10972,强化,wzmacniający,18
10427,稳定的,stabilny,39
2889,猜拳,mora,88
801,weiner.,siusiak,97
13430,玫瑰,róża,13
13330,蘑菇,grzyb,15
6550,梅格,meg.,69
2356,卖家,frazer.,91
9469,玉,jadeit,48
6674,罗德曼,rodman.,68
248,气概,kalwaria,100
14313,以前的,poprzedni,10
764,曼克斯,manx.,98
10406,锅,garnek,39
2096,感叹,okrzyk,90
7916,涡流,wir,59
6246,硼,bor,70
2749,雨淋,rainer.,89
4856,炼油厂,rafineria,62
5215,明信片,pocztówka,72
3139,亲密的,intymny,76
530,鲟,jesiotr,98
12262,攻略,najeźdźcy.,25
13671,北方,północny,12
13755,乐,le,10
11421,情况,okoliczności,32
6795,模块化的,modułowy,64
6346,野牛,bizon,62
5432,罗马诺,romano.,75
4455,野蛮人,barbarzyńca,58
4894,潜水员,nurek,65
13399,热的,gorąco,14
10307,po,poe.,42
11802,容量,pojemność,29
10707,峡谷,kanion,38
6663,人体工程学,ergonomia,67
9173,接触,narażenie,49
12004,水平,poziomy,11
3694,罗德利,ridley.,85
1156,马枪,karabinek,87
6886,石棉,azbest,66
7956,布加勒斯特,bukareszt,60
13917,总统,prezydent,10
8664,少年,nieletni,54
5722,耕地,suseł,38
3154,不受影响,nieporuszony,88
10083,稻草,słomka,43
2111,淋巴瘤,chłoniak,92
2250,全体会议,plenarny,92
2177,母鸡,kura,80
12502,城市的,miejski,23
12041,新鲜的,świeży,28
1896,性别歧视,seksizm,93
12739,听到,słyszeć,17
1219,哈基姆,hakim.,97
9415,假想,wyimaginowany,49
9754,作坊,warsztat,43
3149,塞克斯顿,zakrystian,88
14156,国际的,międzynarodowy,9
11536,挑衅,prowokacyjny,30
2833,挂毯,gobelin,88
7190,游戏玩家,gamer.,64
5365,藻类,algi.,76
13926,甚至,nawet,7
9512,尤利西斯,ulysses.,48
13159,危机,kryzys,17
8752,切诺基,cherokee.,53
13345,实践,ćwiczyć,12
11748,简洁的,zwięzły,30
12017,独奏,solo,28
6085,最重的,najcięższy,72
7536,处理器,edytor,55
10619,企业,przedsiębiorstwo,36
4145,深刻的,głęboki,82
12672,十二,dwanaście,22
12154,呃,er.,27
3495,哈丁,hadis,86
13188,孩子们,dzieci,17
975,煽动,nawoływać,63
9141,赌棍,booker.,51
13590,不足,brakuje,10
1988,萨拉拉,samarra.,93
4228,叽叽喳喳,chirps.,78
8850,倾斜,skłonny,41
14044,费率,stawki,7
719,稀释,cieńszy,98
12489,周三,środa,24
11294,遗传学,genetyczny,26
12762,鹰,orzeł,14
1499,罗根,rogan.,95
12904,蜘蛛,stara panna,20
7502,索尔兹伯里,salisbury.,62
2020,海鸥,mewy,85
2891,淹没,zalany,77
6748,精灵,dżin,67
7758,毕,sith.,61
11598,帕斯卡尔,pascal.,32
11576,摩纳哥,monako.,32
4743,reprase.,omow wszystko jeszcze raz,61
1307,钋,polon,96
12751,调频,fm.,21
8491,马哈拉雄,mahatma,56
7774,布鲁克尼,brookie.,61
8509,长崎,nagasaki,56
4787,伍德伯里,woodbury.,79
8590,bubonic.,morowy,55
14459,帐户,konto,5
3933,过早,przedwcześnie,52
7773,座舱,kabina pilota,59
11073,箭,strzałka,32
5129,傀儡,lalek,77
13027,克里斯托弗,krzysztof,18
2184,拉迪,rad.,90
2698,柠檬烯,limonen.,89
11355,埃德加,edgar.,35
9609,莱曼,dróżnik,48
10977,粗糙的,surowy,35
8582,旅店,zajazd,46
6695,前言,preambuła,67
8732,瑜伽,joga,54
1438,五旬节,zielone świątki,67
2210,睡觉,spać,92
8885,劫持者,hitters.,34
9284,不成功,nieudany,44
12816,捕获,złapany,14
1629,双工,dupleks,92
10336,最小的,najmniejszy,42
8488,滑坡,osuwisko,43
499,卡塔卡纳,katakana.,99
10093,丽塔,rita.,44
1976,军团人员,legionnaires.,89
928,铋,bizmut,97
8985,精心制作的,wyszukany,44
4015,夏洛茨维尔,charlottesville.,84
12005,奇怪的,dziwne,25
10994,德比,derby,37
13493,在线的,online,14
3038,百里香,tymianek,88
815,领口,dekolt,87
2504,四人,czwórka,75
10996,极性,polarny,34
14271,真的,naprawdę,9
6625,土狼,kojot,52
9441,分歧,nieporozumienia,37
8901,齿,ząb,50
1483,矫枉过正,overkill.,95
10389,弗拉格斯塔夫,maszt,41
4503,陨石,meteoryt,69
10841,葡萄酒,wino,38
4813,搬迁,przenieść się,33
7493,淋浴,kabina prysznicowa,47
939,剧团,trupa,94
1327,文盲,analfabeta,93
10201,预报,prognoza,30
3627,品红,magenta,86
531,鹪,strzyżyk,96
454,丑角,arlekin,90
994,斯拉夫斯,slavs.,89
11408,咨询,doradczy,27
9630,莫尔斯,morse a.,48
7061,兰伯特,lambert.,65
5245,捕鼠器,pułapka na myszy,76
11057,胡须,broda,34
6131,赎金,okup,70
2132,下落,miejsce pobytu,92
10594,阿灵顿,arlington.,40
14023,不同的,różny,8
13364,道歉,przepraszać,6
3573,脸颊,policzek,74
13176,中,środek,17
12461,制服,mundur,20
3661,帕金森,parkinson.,85
2869,含水层,warstwa wodonośna,88
12209,本田,honda.,26
3916,橡子,żołądź,82
8398,巧合,zbieg okoliczności,39
1824,宿醉,kac,92
604,脊索动物,chordat.,99
6061,延长,przedłużony,64
11717,哈维,harvey.,31
11876,重新终止,reinsert.,8
3145,德鲁兹,druze.,88
8818,鼓手,perkusista,51
11495,head,bezgłowy,33
13272,博士,dr,16
12099,伯爵,hrabia,27
10438,嗯,um,41
12320,格洛丽亚,gloria.,25
2304,诺尔,noll.,91
11808,asp.,żmija,30
1232,溴化物,bromek,95
12926,富有的,bogaty,19
13883,系统,systemy,8
12060,漫画,komiczny,15
8363,韦尔奇,welch.,57
11701,男爵,baron,30
163,弗里克,freq.,100
13533,胡安,juan.,13
8439,埃尔默,elmer.,56
7931,椰子,orzech kokosowy,60
7827,迪士尼乐园,disneyland.,61
13636,标记,tagged.,6
4849,侨民,diaspora.,78
5632,紧紧,ciasno,74
5411,劳代理,lauderdale.,76
13253,担心,tyczyć,9
3335,秘书处,sekretariat,87
5567,脆弱的,kruchy,73
3656,toucan.,tukan,86
1412,破擦,kreski,47
3327,拉什卡尔,lashkar.,87
4794,赫尔什,herschel.,79
11071,爆炸性,materiał wybuchowy,18
8422,意外,niespodziewany,56
12268,穆斯林,muzułmański,21
10545,dia,diagórz,37
14341,中央,centralny,10
2515,哥萨克,kozak,81
8594,侯爵,markiz,55
6051,关,guan.,72
7097,初始化,małe serie,65
13454,玩笑,żart,12
3776,退出,wybieg,16
14221,欧洲,europa,5
746,毛派,maoista,93
5163,折扣,zniżka,58
10482,麦考尤,mccoy.,41
543,哈曼,harman,99
10958,遗留,remnants.,31
9274,鹿特丹,rotterdam,50
2042,苏克斯,sud.,90
12165,马德里,madryt,27
10746,基板,substrates.,35
14178,欧洲的,europejski,10
12684,共产,komunistyczny,20
2034,阴极,katoda,90
3504,宝塔,pagoda,86
10271,黄鼠狼,łasica,41
2719,柯萨里,pobieżny,89
5331,僵局,impas,68
2935,zouave.,żuav,83
13026,不准确,nieścisłości,18
8872,超级明星,super gwiazda,53
2909,橱柜,kredens,88
2013,钉,hals,70
4641,经济学家,ekonomiści.,55
10243,贝尔法斯特,belfast.,42
10932,三角形,trójkąt,36
3293,嫁给,plemienia,87
4369,非礼,nieuprzejmość,67
9667,喷泉,fontanna,46
6364,溶解,rozpuścić,40
5190,风门,przepustnica,72
8949,阿尔法,alfa.,51
11935,物理,fizyka,7
9591,侏儒,gnom,47
7478,突击队,komandos,34
13706,预期的,spodziewany,11
7648,邓迪,dundee.,62
8815,正面,awers,53
5299,不当行为,złe prowadzenie się,76
9140,克莱斯勒,chrysler.,51
11767,伤害,szkoda,12
930,深渊,przepaść,86
6622,恋童癖,pedofilia.,68
6772,赫特福德郡,hertfordshire.,67
8091,帕索,paso.,59
5745,重新打开,ponowne otwarcie,62
8434,永恒,wieczny,49
6528,剂量,dawki.,48
8650,残余物,pozostałości,45
8191,捣,tłuczek,56
11925,带电,naładowany,14
6019,占上风,panować,41
6046,沙皇,car,72
8430,洛克克洛克,pollock.,56
13447,泵,pompa,14
5290,乌尔都语,urdu.,76
1833,野蛮,barbarzyński,84
1217,沼气,biogaz,97
13631,门户网站,portal,12
11586,里约,rio.,32
8455,种族,etniczność,24
14466,通缉,poszukiwany,5
3986,狼人,wilkołak,84
2249,宝泽,poz,92
3177,咳嗽,kaszel,81
1933,掠夺者,maruder,81
12869,fl,flor,20
7645,复活,zmartwychwstanie,52
4205,复古的,retro,82
11067,最强的,najsilniejszy,37
10437,平静的,spokojna,14
8962,预告片,zwiastun filmu,47
13408,最终,ostatecznie,13
8954,隆德,ronde.,52
7622,不当,niewłaściwy,62
10259,构造,tektonika,39
12509,第十,dziesiąty,23
3609,萨姆纳,sumner.,86
13019,宣称,zdeklarowany,13
7374,黑麦,żyto,63
6490,孔雀,paw,67
10898,执照,licencja,33
6716,梨,gruszka,67
12107,受控,kontrolowany,11
8093,裙子,spódnice.,47
11231,巡逻,patrol,26
6195,贵宾犬,pudel,69
14195,相当,raczej,6
12504,光盘,płyta cd,24
5073,约束,ograniczenia,72
12407,续,kont.,25
9052,无神论,ateizm,52
9697,飞碟,ufo.,45
4689,弗雷,frey.,80
11569,责备,winić,24
151,温暖,ciepło,100
5437,萨尔,salda,76
13232,渡渡鸟,dront,16
13198,可接受的,do przyjęcia,6
4801,潘多拉,pandora.,78
11123,配音,ścieżka dźwiękowa,35
9920,苍老,oszroniony,45
9860,路易丝,louise.,45
8102,邻接,sąsiedni,36
9582,玛莎,martha.,48
8990,线索,wskazówka,42
8614,武士,samuraj,55
12139,精神,duch,26
4101,酒屋,winehouse.,83
3146,胰岛素,insulina,88
11556,盐,sól,31
8648,信任,zaufany,24
1893,讲道,kazanie,86
11665,石匠,mason,30
8203,格陵兰,grenlandia,58
7775,安合一,antony,61
3002,工具箱,przybornik,88
12438,巴里,barry,24
3790,骑车人,rowerzysta,58
2518,委婉语,eufemizm,87
12369,苹果,jabłko,24
10797,联邦调查局,fbi.,38
465,批评者,detraktora,97
1950,答对了,bingo.,93
13220,发达,rozwinięty,10
1349,工作站,stacja robocza,87
11496,纳什维尔,nashville.,33
2430,手风琴,akordeon,90
10796,佛教,buddyzm,38
4287,时间表,rozkład jazdy,76
3516,桉树,eukaliptus,86
11188,空的,pusty,34
3186,口才,elokwencja,79
8977,狙击手,snajper,49
5670,格拉斯,gras.,74
4004,恐怖症,fobia,83
7247,咆哮,ryk,50
9876,电池,baterie,20
13420,船上,morski,12
11607,骆驼,lama,32
11419,买,kupić,30
11949,运河,kanał,28
8861,蒂芙尼,muślin,53
4972,阅读障碍,dysleksja,78
13368,杯,trofeum,15
9247,珍妮,przędzarka,48
10244,格罗,giro.,42
7163,炼金术师,alchemik,63
13598,特色,wyróżniony,9
8423,伪,rzekomy,56
10768,种子,posiew,13
10801,海耶斯,hayes.,31
12164,举起,wyciąg,16
7938,纳入,włączenie,21
1729,社会学,socjologiczny,42
1131,occ,okultystyczny,72
1907,公报,komunikat,92
1636,斯内尔,snell.,94
9280,婆婆妈妈,xiv.,50
10893,亚美尼亚,armenia,38
14062,例子,przykład,10
4773,撒丁车,sardar.,79
10862,守门员,goalder.,29
7736,谐振,rezonans,57
224,干酪,stepney.,100
7064,融化,topienie,52
11329,第十七,siedemnasty,35
5172,祖母,babcia,76
1302,晒斑,oparzenie słoneczne,94
1700,放逐,wygnany,77
10568,重播,powtórna rozgrywka,34
4135,棱镜,pryzmat,82
14280,说,powiedzenie,8
2260,格兰多,gringo.,91
3029,代词,zaimek,78
479,喝酒,pił,99
2980,壁炉,kominek,87
13071,挑选,wybierać,12
4923,重新安排,przełożony,74
8564,不可避免的,nieunikniony,55
13422,约瑟夫,joseph.,14
8319,智者,szałwia,56
12735,完全,całkowicie,8
7357,刹车,hamulce,38
9995,赤红,karmazynowy,44
5685,巨头,potentat,73
4356,芫,daphne.,81
2224,kaif.,odrzutowiec,92
12330,heav,ciężko,25
2593,讨厌,obrzydliwy,88
2625,加冕,koronacja,62
3209,静音,niemy,78
11819,降级,wyrównany,25
13436,参考,odniesienia,13
5832,拉戈,largo,73
9655,鲍,bowie,47
13709,语气,ton,12
3027,黄玉,topaz,88
1369,没有标记,nieoznaczony,96
9894,登记,rejestracja,42
10379,干旱,susza,40
13005,药品,lek,16
6538,傲慢的,arogancki,61
10694,剑桥,cambridge.,39
1511,垂直,prostopadły,95
12391,摩根,morgan,25
11950,周年纪念日,rocznica,28
13661,中间,środkowy,12
9409,达里克,bom,49
9560,hotspur.,raptus,48
11471,卖,sprzedać,21
4144,最广,najszerszy,83
10081,洞穴,jaskinia,38
14288,大学,uniwersytet,7
6785,乙酰基,acetyl,65
9124,召回,przywołany.,29
2811,旁观式,sidecar.,88
7479,胎儿,płód,62
14393,脸,twarz,12
4994,强国,elektrownia,72
8623,磅,lbs.,32
11363,决赛选手,finaliści.,30
7511,检察官,prokurator,51
1825,螺,spiro,94
11102,昨天,wczoraj,37
12174,幼崽,cubs.,26
8195,变体,warianty,41
13993,五,pięć,9
9929,诚实地,szczerze,45
4202,yew.,cis,82
11681,乡,parafia,31
2684,群青,ultramaryna,90
500,费人,heist.,99
2596,长袍,szata,81
1284,马拉,mala.,96
7117,辅助部队,paramilitarny,65
1105,差动,polemiczny,80
9338,厨师,szef kuchni,48
6083,一顿饭,posiłek,60
9539,航海,nautyczny,48
4944,犹太岛,syjonistki,42
1522,斯蒂x.,styks.,95
5830,臀位,ubierać w spodenki,58
13864,超过,nad,7
9310,总部,z siedzibą,16
11348,条,rozebrać się,27
7735,前兆,prekursor,58
9386,保加利亚语,bułgarski,46
5457,活着,wierzyć,75
6726,召唤,wezwany,53
7726,马斯,mus.,46
9126,炸药,dynamit,51
11574,百分,procent,32
7932,rube.,wiejski prostak,60
379,炉,piec,93
10546,床,łóżko,38
10516,毫无戒心,niczego nie podejrzewający,40
14037,区域,obszar,9
12994,震级,ogrom,18
5680,人均,capita,74
10759,大教堂,katedra,38
5674,chin,chinook.,72
2140,浸泡,namoczony,84
3326,联合,syndyczność,55
14150,有能力的,zdolny,6
3318,扣留,wstrzymany,87
710,马背,grzbiet koński,98
9056,莫桑比克,mozambik,52
11456,巴格达,bagdad,33
3427,枝,tressel.,87
13985,民众,publiczny,8
10315,沙,piasek,35
967,西班牙人,latynosi,59
6011,克罗夫特,zagroda,72
9813,五角大楼,pięciokąt,43
11800,闪电,błyskawica,30
8171,细菌,bakteria,58
3539,吐曲面,dur brzuszny,86
10923,不败,niepokonany,38
7309,饮料,napój,61
11625,阿波罗,apollo,32
8652,moo,muczeć,54
10877,符号,symbolika,19
5193,幻突性,halucynogenny,69
8418,涂,bazgrać,53
8484,德克斯特,dexter.,55
1092,鹅毛笔,lotka,94
8676,队伍,kontyngent,39
1322,会众,kongregacja,76
10,sunstar.,gwiazda słoneczna,100
13124,prod,szturchać,17
6231,格林伍德,greenwood.,71
4807,产卵,ikra,43
2587,洞察,spostrzeżenia,47
7439,鳟鱼,pstrąg,62
11639,sl,slalom,30
416,噗噗,pugh.,100
9795,军士,sierżant,45
5336,洛马,loma.,76
2878,博根,bogan,88
12141,思想,myśli,11
6067,刮风,wietrzny,72
8230,育空,yukon.,58
11134,催化,katalizuje,36
11670,第十三,trzynasty,31
11156,相对,przeciw,36
12928,血,krew,19
879,梁梁,belki,55
1236,眼镜,okular,63
14296,结束,zakończyło się,7
8702,推翻,obalenie,52
13405,橄榄球,rugby,14
2069,三角议程,trygonometryczny,92
5300,左派,lewicowy,70
13384,切,ciąć,13
12392,他妈的,pierdolić,20
14025,我的,mój,5
281,罐头,kanistry,85
12827,韩国人,koreański,19
3533,猪油,smalec,86
655,摇杆,rockers.,73
9097,碘化物,jodek,52
12554,肯尼迪,kennedy,23
13219,道格拉斯,douglas.,16
10390,你好,pozdrowienia,35
3206,悬念,niepewność,31
9242,停战,zawieszenie broni,50
6742,电影摄影,kinematografia,67
9161,kip.,wyrko,51
5822,星期三,poślubić,38
12273,周二,wtorek,26
1118,海洋学,oceanografia,97
7373,骄傲,wtajemniczony,63
2667,寡头政治,oligarchia,89
1350,海水,woda morska,96
13577,年轻,młody,12
1578,液晶,lcd,94
10277,知识分子,intelektualny,38
1444,变音符号,diacritics.,89
10542,罗德尼,rodney.,40
5109,未指明,nieokreślony,77
2467,朝圣,pielgrzymka,90
2921,巴布,babu.,89
12338,电子的,elektroniczny,20
8456,可爱的,słodki,51
821,热心,żarliwy,96
4717,蛋白石,opal,79
1569,瓦鲁纳,varuna.,94
7957,矮胖,chunky.,60
12413,火星,mars,12
4114,速记,stenografia,70
10569,慕尼黑,monachium,40
13673,球衣,golf,12
10327,公斤,kg,42
2929,多巴胺,dopamina,88
300,重新定义,redefinition.,97
3404,皮疹,wysypka,85
12522,误导,zwodniczy,23
730,腕骨,nadgarstkowy,98
12204,箱,kosz,26
12745,照片,fotografia,12
5987,水印,znak wodny,65
2489,雌雄同体,hermafrodyta,90
8359,大厦,rezydencja,54
8637,成吉脂,genghis.,55
1524,史努比,wścibski,95
13075,危急,krytyczny,11
2072,高脚杯,czara,91
10733,邻里,sąsiedztwo,33
2517,南疆,southland.,90
7004,球场,przybliżony zakres,56
1004,旗鱼,miecznik,97
311,纱丽,sari.,97
12620,博文,doc.,22
1688,小龙虾,rak,94
7868,博茨瓦纳,botswana.,60
5740,兽医,weterynaryjny,74
10565,野马,mustang,37
4398,顾问,doradcy,60
7703,回收,recykling,54
13954,好的,dobry,6
8768,菜单,menu,52
3793,血管,naczyniowy,85
3171,瘫痪,okaleczony,74
12158,魔鬼,diabeł,19
5333,格兰德斯通,goguś,76
209,岩石圈,litosferze.,100
10926,纪念碑,pomnik,34
6791,节奏,rytmiczny,66
11679,乌拉圭,urugwaj,31
2838,绝望,beznadziejny,88
14494,洛斯,los,38
546,逾期,zaległy,99
9393,臭虫,niesławny,48
13284,8,8.,16
6664,胃肠道,żołądkowo-jelintowy.,68
11216,美丽的,piękny,27
9365,危险,niebezpieczeństwo,50
3235,脑膜炎,zapalenie opon mózgowych,86
6133,伊斯林,esther.,71
9187,克拉伦伦斯,clarence.,51
4079,食人魔,ogr,82
6136,处女座,panna,71
7823,克莱尔,claire.,48
2830,诱惑,pokusy,64
10053,赫尔克,ponton,44
12267,恨,nienawidzić,23
11852,suck,ssać,22
12771,动物,zwierzę,12
7264,胡扯,wafel,60
11449,gar,gareth.,33
9401,吐温,para,49
8952,达娜,dana.,52
6024,丙酮酸,piroguryt,71
8728,大众,volkswagen.,54
4963,吞并,aneksja,53
3450,页脚,stopka,84
9023,new,nowszy,52
5041,气质,temperament,71
302,甘迪,gundy.,100
4209,合成酶,syntetaza.,82
4784,纸板,karton,79
6843,护照,paszport,61
5897,否决,weto,62
7386,醋酸盐,octan,54
4111,缩短,skracanie,37
12308,对流,konwekcja,25
706,漂浮,na morzu,98
2507,乳液,emulsja,90
7088,法拉德,faraday.,65
12201,中尉,porucznik,26
6746,家具,meble,67
13323,英国,brytania,15
11632,雨量,opad deszczu,32
371,梯形,trapezoid,97
13570,重的,ciężki,13
11426,木马,trojański,22
1034,罗宁,ronin.,97
9192,桃子,brzoskwinia,48
4329,顽强,wytrwały,78
6027,包,torebki,36
6478,..,pyr.,69
11410,过错,wada,30
2888,萨宾,sabine.,86
6180,空缺,wakaty,64
5638,休息室,salonik,71
8673,爱沙尼亚人,estoński,52
12716,技术的,techniczny,15
5090,口头,werbalny,66
11179,榕树,banyan.,36
3370,腺苷,adenozyna,87
8342,麦格纳,magna.,57
13553,大胆的,pogrubiony,12
7963,修剪,przycinać,42
8740,三重奏,trio,53
11143,激光,laser,35
3528,鳄梨,awokado,84
5970,取缔,banita,52
6868,香草,wanilia,66
7698,痈,ropień,62
8926,懒惰,lenistwo,52
7832,狄更斯,licho,61
7103,灭绝,wymarły,44
13297,金的,złoty,16
5496,纽尤,nye.,75
12881,太阳的,słoneczny,20
4461,砍刀,siekacz,77
4158,伯利,burley.,83
5013,订阅,subskrypcja,65
1195,芬太尼,fentanyl.,97
