ID,CHINESE,HINDI,INTERVAL
4075,卷饼,बरिटो,80
3684,med.,मेड,84
756,大流行病,वैश्विक महामारी,97
2825,灿烂,उत्कृष्ट,88
10691,盎格鲁,आंग्ल,38
13788,分析,विश्लेषण,11
12040,建议,सुझाव,9
7287,污染,दूषण,45
1939,泥沼,केंचुली,92
4032,试剂,अभिकर्मक,78
4298,最寒冷的,सबसे ठंडा,80
9130,无穷小,बहुत छोता,44
6009,丰年,अच्छा वर्ष,70
12546,支付,भुगतान करते हैं,20
10631,下坡,ढलान,37
7516,巴洛克式,बरोक,61
7437,斯洛伐克,स्लोवाक,58
4967,地带,टेरापिन,73
11538,系统的,व्यवस्थित,27
12336,移民局,अप्रवासन,21
11534,海伦,हेलेन,31
7991,晶体管,ट्रांजिस्टर,55
8962,预告片,ट्रेलर,45
4933,炙烤,ग्रिल,60
6332,stm.,एसटीएम,68
7239,儒,कन्फ्यूशीवाद,62
5711,entre.,एंट्रे,71
10410,克,बनाने की प्रक्रिया,40
7977,结,गांठ,27
10158,餐厅,रेस्टोरेंट,36
13506,邮件,मेल,12
6925,菌,कुकुरमुत्ता,64
11746,bb.,बी बी,28
12519,哈塔尔,हदाल,23
5129,傀儡,पाखंड,76
5533,sputnik.,कृत्रिम उपग्रह,73
13909,出色地,कुंआ,7
6271,易受伤害的,चपेट में,62
7533,羊毛,ऊन,61
3939,生物圈,बीओस्फिअ,82
6273,抵消,ओफ़्सेट,64
11911,云,बादल,25
11271,宿舍,तिमाहियों,8
10376,pt.,पीटी,15
3,am,बेढब,100
1603,hang,हंगार,89
12881,太阳的,सौर,19
6861,拉斯,रास,27
4405,保密,गुप्तता,80
2613,志向,महत्वाकांक्षा,72
3179,纯度,पवित्रता,87
2336,向南,दक्षिण की ओर,56
4974,母板,मदरबोर्ड,77
7405,单簧管,शहनाई,62
3004,波旁酒,बर्बन,85
14297,领导者,नेताओं,12
792,电解质,इलेक्ट्रोलाइट,95
2296,泽根,टिल्डेन,91
7875,清洁,सफाई,54
6069,恳求,दलील,56
1956,便宜货,मोल तोल,57
10341,电信,दूरसंचार,29
9198,每年,सालाना,49
5649,hon,हार्न,71
4927,毫巴,मिलीबार,73
1818,cote.,कोटे,92
9108,蜥蜴,छिपकली,49
12954,银,चांदी,18
11727,尼纽姆,nunquam,30
439,变态,कायापलट,100
2728,莫雷罗,मोरेल्लो,88
1070,斯凯,स्काई,96
5517,不朽,अमर,57
309,驳船,नौकाओं,76
3597,灵长类动物,रहनुमा,75
5604,图森,टक्सन,73
6907,粘性物,चिपचिपा पदार्थ,64
7221,缓刑,परख,61
2041,大型机,मेनफ्रेम,91
12835,曼彻斯特,मैनचेस्टर,20
9034,mellon.,मेलॉन,50
9362,公墓,कब्रिस्तान,48
12317,奖牌,पदक,14
4278,金钱,ग्रू,80
2481,反响,नतीजों,88
2958,姐妹,औरतों का संग्रह,62
14461,带,लेता है,5
13264,玛丽,मेरी,13
13144,亚历山大,सिकंदर,16
94,划点,डाइमेड,100
13511,多伦多,टोरंटो,13
4252,水蛭,जोंक,80
2627,树脂,राल,78
914,默顿,मेर्टन,97
4517,硝基,नाइट्रो,79
3450,页脚,फ़ुटबाल,82
9965,幸运的是,भाग्यवश,29
4374,最弱的,सबसे कमजोर,80
13193,手动的,हाथ से किया हुआ,15
13005,药品,दवाई,16
9168,王座,सिंहासन,48
9365,危险,ख़तरा,48
8797,单纯乳头,सिंप्लेक्स,52
7658,邮箱,मेलर,60
12383,维护,रखरखाव,24
8218,卓越,असाधारण,13
9823,石油,पेट्रोलियम,44
5009,钳,टोंग,74
545,反动,प्रतिक्रियावादी,94
4092,芭蕾舞短裙,टूटू,82
6073,桦木,सन्टी,70
14334,美国,अमेरिका,5
2010,拼错,मिस्पेलिंग,59
14326,官,अफ़सर,9
10965,乔尔,योएल,36
13590,不足,कमी,10
14040,之中,के बीच,10
9390,新教,प्रतिवाद करनेवाला,12
9322,户外,घर के बाहर,43
35,jeannette.,जीननेट,100
6076,冥想,ध्यान,62
7496,uc.,यूसी,61
7556,wg.,डब्ल्यू जी,61
14261,发布,मुक्त करना,8
9246,轨道,कक्षाओं,14
2872,弹性,लोच,73
4978,钨,टंगस्टन,77
10502,mos.,राज्यमंत्री,21
7197,germantown.,जर्मनटाउन,62
7558,签证,वीसा,55
3571,vivian.,विवियन,85
11794,特拉维斯,ट्रैविस,29
1556,法国人,फ्रांसीसियों,95
9088,乙烯基塑料,विनाइल,50
6671,旧石器时代,पेलियोलिथिक,66
8246,时髦,कायरता,55
8008,jg.,जेजी,57
9122,常春藤,आइवी लता,48
9294,监测,निगरानी,15
9022,海岸线,समुद्र तट,49
4822,阿德曼,उर्ननग रपाल,77
74,黯然失色,ग्रहण लगा,38
13760,pr,प्रिक्स,11
7536,处理器,प्रोसेसर,53
13280,语境,संदर्भ,15
8049,鼓起,मस्टर,23
5192,aldolase.,अल्डोलेज,75
10225,化石,जीवाश्म,27
2586,复印,ज़ीरक्सा,89
5160,灾区,त्रस्त,75
13478,杰克逊,जैक्सन,13
1858,迈纳斯,जादुई,93
8840,标点,विराम चिह्न,47
791,皮肤科,त्वचा विज्ञान,98
7808,trey.,ट्रे,59
260,笑笑,स्माइलर,97
6919,猛禽,रैप्टर,45
11142,lib,उदारीकरण,34
8355,不生产,अनुर्वर,55
14039,然而,तथापि,6
6194,经历,गुज़रना,46
9010,重新开始,पुनर्प्रारंभ करें,40
2920,盎格劳,एंग्लियन,85
10084,假设,परिकल्पना,42
12959,价值,मूल्य,15
5534,奥林巴斯,ओलिंप,73
3853,二羟基,dihydroxy,83
1094,丁醇,butanol,96
13530,衬套,बुश,13
2265,jus.,जूस,91
4145,深刻的,प्रगाढ़,81
4220,法医学,फोरेंसिक,44
1446,abbr.,एबीब्र,95
6967,陆,लौकिक,63
1559,米纳,मिलनर,95
2897,胆固醇,कोलेस्ट्रॉल,88
11435,职责,कर्तव्य,17
10506,今晚,आज की रात,39
12688,拼写,वर्तनी,12
1376,小丁条,ट्रीना,95
14276,大概,शायद,7
6203,ber,हिट,69
9199,星号,तारांकन,47
6969,佩斯利,पैज़ले,64
1977,分离主义者,अलगाववादियों,64
4591,附件,अनुरक्ति,15
6469,欧佩克,ओपेक,67
13285,第七,सातवीं,15
9568,拱廊,आर्केड,46
5851,telugu.,तेलुगू,71
7714,infield.,खेत मेँ,15
8674,僧,साधु,38
5482,纵火,आगजनी,72
3537,格雷塔,ग्रेटा,85
10,sunstar.,सूर्य तारा,100
13692,跑步,दौड़ना,7
4139,向北,उत्तर की ओर,32
6895,手套,दस्ताने,42
8623,磅,एलबीएस,30
539,反气子,एंटिपोलो,99
8955,克林特,क्लिंट,51
5185,惯性,जड़ता,75
5016,敌基督者,ईसा मसीह का शत्रु,75
14118,给出,दिया गया,10
6333,商,लब्धि,67
14160,工人,कर्मी,20
9206,河边,नदी के किनारे,49
800,德鲁伊,ड्र्यूड,88
6021,不愿意,तैयार नहीं,70
595,sidi.,सिदी,99
421,故事板,स्टोरीबोर्ड,100
12749,下午,बजे,21
5513,直觉的,सहज ज्ञान युक्त,57
10736,安妮,एनी,38
4531,富勒姆,फुलहम,79
3638,劳动力,कर्मचारियों की संख्या,85
12554,肯尼迪,कैनेडी,22
10785,致远的,व्यावहारिक बुद्धि,38
11421,情况,परिस्थितियां,31
6186,坎佩切,कैम्पेचे,69
12464,海报,पोस्टर,21
13099,最大,विशालतम,17
5365,藻类,शैवाल,74
9746,绝望的,बेकरार,36
11510,欧内斯特,अर्नेस्ट,31
12174,幼崽,शावक,25
2087,clio.,क्लियो,92
1564,矛曼,भाला धारण करनेवाला सिपाही,95
11144,ce,सीई,35
10897,牧羊人,चरवाहा,36
3923,ortho.,ऑर्थो,83
5414,浮力,उछाल,74
10618,藏,तिब्बती,35
5695,仙客来,सिक्लेमेन,72
8971,孤独,अकेलापन,50
11576,摩纳哥,मोनाको,31
7775,安合一,एंटोनी,59
5490,鸵鸟,शुतुरमुर्ग,72
10459,史诗,महाकाव्य,39
2134,lansdowne.,लांसडाउन,92
9933,公民投票,जनमत संग्रह,38
7106,马蹄铁,घोड़े की नाल,62
10511,液体,तरल,35
2180,野餐,पिकनिक,90
3361,甲基苯胺,मिथाइलफेनाडेट,86
7858,毫克,एमएल,58
12952,片刻,पल,16
6045,生物群系,बायोम,70
12256,汤普森,थॉम्पसन,25
3622,锤,गदा,84
5140,录像带,वीडियोटाइप,63
2159,hy,हैफ़ेन,62
14145,称呼,पुकारना,8
13237,掌握,गुरुजी,12
6632,马赛,मारसैल,58
8319,智者,साधू,54
10719,视觉,दृष्टि,30
13217,两者都不,न,16
10417,苏珊,सुसान,39
13761,地球,धरती,11
4998,谢语,शरीफ,76
12963,约翰尼,छोकरा,18
10063,限定,क्वालीफायर,8
12223,更近,करीब,25
5815,登革热,डेंगी,71
5132,邦迪,बंडी,76
13189,化学,रासायनिक,15
14090,华盛顿,वाशिंगटन,9
12324,哥伦布,कोलंबस,24
4043,简单,सादगी,81
12769,汉普郡,हैम्पशायर,20
5638,休息室,लाउंज,69
10489,屋顶,छत,36
7581,屠宰,वध,53
215,颇,कष्ट देना,100
13154,学生,छात्रों,12
9158,赤道,भूमध्य रेखा,27
1967,保姆,दाई,92
2538,代替,एवज,90
1722,vl.,वीएल,93
11259,领土,प्रदेशों,11
6102,蛤,क्लैम,69
432,amani.,अमानी,100
12281,慢慢地,धीरे से,25
725,纺织品,कपड़ा,62
831,微系统,माइक्रोसिस्टम्स,98
12467,最低限度,न्यूनतम,23
13865,我们,हम,5
9430,令人兴奋的,उत्तेजित करनेवाला,33
5431,k,लहंगा,72
13200,女王,रानी,14
6463,硅藻土,त्रिपोली,66
7108,误解了,गलत समझा,63
2966,sindhi.,सिंधी,88
2406,反社会,सामाजिक सिद्धान्तों के विस्र्द्ध,90
4578,佩吉,पैगी,79
7994,苏伊斯,स्वेज,57
4448,约瑟芬,जोसफिन,80
10926,纪念碑,स्मारक,33
12350,常设,खड़ा है,11
12634,非法的,अवैध,20
3554,omn​​i.,ओमनी,85
5011,才华,प्रतिभा,31
2826,三次,तीन बार,88
9467,尽管如此,बहरहाल,47
7632,外表,आउटलुक,58
3654,rucker.,रकर,85
4625,孢子,बीजाणु,69
3344,发型,बाल शैली,72
847,althea.,एल्थिया,98
8540,獾,बिज्जू,42
4530,回火,टेम्पर्ड,42
1653,无情,निर्दयता,94
9879,克里米亚尔,क्रीमिया,44
11563,大都会,महानगर,31
9313,拳击手,बॉक्सर,46
2352,阿亚图拉,अयातुल्ला,88
10493,克罗斯比,crosby,39
9776,迷幻,साइकेडेलिक,42
3082,lisp.,तुतलाना,87
6111,克星,नेमसिस,69
13174,有时,कभी - कभी,15
7932,rube.,रूब,58
11718,玛雅,माया,30
4637,营养不良,कुपोषण,79
6675,博世,bosch,66
1981,除草剂,शाक,89
11808,asp.,एएसपी,29
1779,喜来登,शेरेटन,93
3120,快门,शटर,76
13331,通常,आमतौर पर,13
10686,莲花,कमल,38
7136,屈服于,झुकेंगे,37
10957,戒指,के छल्ले,17
10299,句法,वाक्य - विन्यास,40
4148,roadrunner.,रोड्रुनर,73
2086,zippy.,व्यवसायिक,92
5123,阿尔巴斯,अल्बस,76
6253,甲硫氨酸,मेथियोनीन,68
10464,aggies.,एग्जियां,36
11699,安全的,सुरक्षित,26
4393,ld.,एलडी,80
3259,过度,अधिकता से,32
13431,俄罗斯,रूस,14
4670,与会者,सहभागी,77
1471,吉尔加什,गिलगाम्स,95
542,tees.,टीज़,66
11743,再生,पुनर्जागरण काल,29
11412,弃,छोड़ा हुआ,28
5787,基石,प्रधान सिद्धांत,71
5945,摩德纳,मोडीना,71
5911,湖边,झील के किनारे,71
4392,水族馆,मछलीघर,79
6674,罗德曼,रोडमैन,66
13349,ss.,एस एस,15
2852,胆量,आंत,61
12648,pmk.,पीएमके,22
2545,货车,लॉरी,85
8238,贝,बेल,56
1350,海水,समुद्री जल,95
3097,不赞成,अस्वीकृति,73
9397,莱德,राइडर,47
3988,细胞质,कोशिका द्रव्य,80
10327,公斤,किलोग्राम,40
9081,坦桑尼亚,तंजानिया,50
1693,恶心,जी मिचलाना,94
2945,耳机,हेडफोन,80
722,蛆,मन की मौज,95
4217,极权主义,साम्राज्यवादी,66
5233,分类帐,खाता बही,75
7962,学术,विद्वत्तापूर्ण,58
10268,泰米尔,तामिल,41
4377,流线型,सुव्यवस्थित,70
11365,雨林,वर्षा वन,33
3355,auspoces.,तत्त्वावधान,86
4215,考古学,पुरातत्व,30
9668,踝,टखने,44
12939,真相,सत्य,18
826,房东,मकान मालिक,90
13417,提及,उल्लिखित,10
2587,洞察,इनसाइट्स,45
5027,预言,भविष्यवाणी,68
4896,承包商,ठेकेदारों,61
3034,宜乐,सजीव,88
12540,省长,राज्यपाल,20
369,强子,हैड्रान,100
13457,科技,तकनीक,13
13599,回来,लौटा हुआ,9
14010,去,जाना,7
14135,dos,करने योग्य,5
12728,卡特,गाड़ीवान,21
6696,不支持,असमर्थित,64
1307,钋,एक विशेष तत्त्व जिस का प्रभाव रेडियो पर पड़ता है,95
1347,ccm.,सीसीएम,95
14357,简单的,आसान,11
6286,碘,आयोडीन,68
7560,教父,धर्म-पिता,59
11492,典型的,ठेठ,23
7954,全景,चित्रमाला,58
5655,stephane.,स्टीफ़न,72
569,剑道,केन्डो,99
7542,lbw.,एलबीडब्ल्यू,61
877,难以捉摸,मायावी,96
7075,合法性,वैधता,63
11367,巧克力,चॉकलेट,33
7816,重新检查,पुनः जांच करें,58
7308,猪肉,सुअर का मांस,62
6618,西贡,saigon,66
6901,mn.,एम.एन.,64
3457,鱼鹰,osprey,77
5923,ama.,ए एम ए,69
6986,被囚禁,बन्दी,44
2845,chou.,चाउ,88
2289,cdr.,कमांडर,91
6125,mind,मनहीन,69
12982,原来,शुरू में,12
5283,pembroke.,पेमब्रोक,75
5906,cyclops.,साइक्लोप,71
2129,布卢宁,नीली रेखा,92
8348,未经证实的,निराधार,55
10350,设计师,डिजाइनर,9
11350,合伙,साझेदारी,31
7499,桌面,डेस्कटॉप,61
12804,眼睛,आंख,15
9359,转换,धर्मान्तरित,16
13725,常规的,नियमित,11
254,置换,क्रमपरिवर्तन,82
11187,巴拉圭,परागुआ,34
10488,部分地,आंशिक रूप में,39
12778,违规,उल्लंघन करने,6
9758,组织,संगठनात्मक,44
11099,内,भीतरी,35
2773,涓涓细流,मिलने,83
4060,awacs.,अवाक्स,82
8249,税收,करों,23
335,塔尔扎恩,टार्जन,100
12935,公爵,शासक,18
293,啊哈,आह,100
9846,自行车,साइकिल,38
3855,帕夫洛夫,पावलोव,83
5917,排放,उत्सर्जन,55
6975,js.,जे एस,64
9747,四分卫,क्वार्टरबैक,13
4241,牛皮纸,क्राफ्ट,81
10450,无礼,अशिष्ट,38
7800,保单,कार्यकाल,57
13584,尺寸,आकार,12
9380,纯粹主义者,सोलिप्सिस्ट,47
8857,秃,गंजा,46
9512,尤利西斯,ulysses,47
7128,valentian,वैलेंटाइनियन,63
14417,有限的,सीमित,8
6828,舞者,नर्तकियों,52
6532,狒狒,लंगूर,65
983,德州,टेक्सस,38
4006,民粹主义者,जनतावादी,72
13829,他们的,उनका,6
4213,特斯拉,टेस्ला,81
5557,牛磺酸,बैल की तरह,73
250,程序员,प्रोग्रामर,28
11681,乡,बस्ती,29
5835,海星,एक प्रकार की मछली जिस को पाँच - सात बाहु के सदृश अंग होते है,71
10613,麦克斯韦尔,मैक्सवेल,38
10911,小狗,कुत्ते,8
2548,疑要,कौडीन,90
5525,撤退,पीछे हटते,31
5717,行话,शब्दजाल,72
14386,卡片,कार्ड,12
1935,抗氧化剂,एंटीऑक्सिडेंट,90
1663,不幸,दुर्भाग्य,90
10283,马赛克,मौज़ेक,40
8498,灵感,प्रेरणा,27
4234,troed.,ट्वीड,80
7797,它,उसके,59
4741,雪松,स्नायु,78
9233,双性恋,उभयलिंगी,42
8693,烧伤,जला हुआ,52
12892,nl.,एनएल,19
4225,涌入,तांता,80
1780,大力,ज़ोरों के साथ,65
730,腕骨,कलाई का,98
3858,腐烂,सड़ांध,77
825,公寓,condominiums,84
6485,落后,पिछड़ा,48
1549,穆德,मुलडर,95
9517,vic.,विक,47
2898,互殖,कल्लेगियों के बीच का,88
1781,懒惰者,lys,75
2698,柠檬烯,लाइमीन,88
6678,石灰石,चूना पत्थर,66
9205,多莉,नादान,49
13064,地狱,नरक,17
10855,光滑的,निर्बाध,36
7989,paolo.,पाओलो,57
10752,ma,ट्रिको,38
1843,马拉莎,मराठा,93
9863,麦克勒,मैकफेल,44
7879,克罗克,क्रोकर,58
10086,袋鼠,कंगेरू,40
13309,管理,कामयाब,9
12670,像素,पिक्सल,20
9197,熊蜂,भंवरा,49
11765,拉尔夫里,राल्फ,29
277,轿车,सेडान,48
4919,佩里里利,पेरिक्लेस,77
10328,安排,व्यवस्था,19
7863,香肠,सॉस,54
5705,叙述者,कथावाचक,52
3877,滑翔,सरकना,71
13900,工作,काम,5
10627,揭示,प्रकट करना,20
9816,惊悚片,थ्रिलर,44
11032,严格,कठोरता से,36
2983,肯辛顿,केंसिंगटन,88
14202,战争,युद्ध,7
10797,联邦调查局,एफबीआई,38
10544,环形,कुंडली,33
10989,拉登,लादेन,36
5356,湿婆,शिव,74
9470,孤立,पृथक,39
1006,hashish.,गांजा,97
4490,镭,रेडियम,80
12041,新鲜的,ताज़ा,27
8047,派系,गुटों,43
6771,灯笼,लालटेन,62
5384,bd.,बीडी,72
10133,欺诈罪,धोखा,42
8965,懂事,समझदार,46
6078,电子表格,स्प्रेडशीट,68
4343,enoch.,एनोह,80
12920,魁北克,क्यूबेक,19
11119,fi.,फाई,35
6453,haiku.,हाइकू,67
1645,pahlavi.,पहलवी,94
2972,空军,विमान-चालक,88
7058,日元,येन,63
11143,激光,लेज़र,34
1628,针孔,पिनहोल,94
12384,亚,विषय,23
2034,阴极,कैथोड,89
8539,请愿,याचिका,39
5237,空勤人员,हवाई कर्मी,50
8152,耐心,धैर्य,56
6921,猎犬,हाउंड,59
11138,尤金,यूजीन,33
11553,更难,और जोर से,31
5880,烃,हाइड्रोकार्बन,66
7703,回收,रीसाइक्लिंग,52
13641,八,आठ,12
8403,锡克教笑,सिख,46
5607,安魂曲,फातहा,73
12247,哥斯达,कोस्टा,25
2833,挂毯,टेपेस्ट्री,88
6108,丁锅,बज़ाज़,70
7207,leepage.,लेपेज,62
9835,询问,जांच,41
13013,时尚,फैशन,16
639,袖口,कफ़,82
8750,涡轮,टर्बो,51
1774,视差,लंबन,92
6588,khrushchev.,ख्रुश्चेव,66
11592,葡萄牙语,पुर्तगाली,31
11882,斯坦福,स्टैनफोर्ड,28
3407,红木,लाल लकड़ी,82
2512,果蝇,ड्रोसोफिला,90
654,ro,रोगल,84
9659,搬运工,बोझ ढोनेवाला,44
14022,警察,पुलिस,10
12226,进化,क्रमागत उन्नति,25
7683,髌骨,पटेल,60
5497,腺,ग्रंथि,68
7163,炼金术师,रसायन बनानेवाला,62
13691,巨大的,विशाल,12
11249,都柏林,डबलिन,34
7676,无数,अनगिनत,60
4539,模具,मर जाता है,79
11476,啊,एएच,31
7220,吉尔,जील,62
8210,格拉夫,ग्रेफ,56
5830,臀位,पीछे का भाग,56
3113,游泳者,तैराक,73
5083,芝士蛋糕,चीज़केक,75
5119,罾,सीन,76
13756,岩石,चट्टान,11
3595,农药,कीटनाशक,78
6970,重构,पुनर्गठन,58
8817,og.,ओग,52
2371,reebok.,रिबॉक,90
3247,格罗索,ग्रोसो,87
8366,演习,पैंतरेबाज़ी,41
4544,缺陷,बदनाम करना,51
9661,温泉,स्पा,45
12242,概念,संकल्पना,22
10495,气氛,वायुमंडल,30
11091,卡森,कार्सन,35
2543,扁平化,चपटी,85
1137,北极星,पोलरिस,96
3786,矩形的,आयताकार,84
8343,美洲狮,कौगर,32
7711,舒缓,सुखदायक,59
7047,拉丁裔,लातीनी,60
4163,对数,लोगारित्म,74
11488,ea,ईए,32
12735,完全,पूरी तरह से,8
3567,披露,प्रकटीकरण,84
6447,婆罗洲,बोर्नियो,67
11288,锡拉丘兹,सिराक्यूज़,34
5502,卢坎,लुकान,73
9180,哈提瓦,हेरिएट,49
12149,画廊,गेलरी,25
4172,radford.,रेडफोर्ड,81
8854,向前,से आगे,45
11013,piquet.,ताश का खेल,36
14209,老的,पुराना,10
9895,豪,हाउवे,43
12094,阙,कुए,26
6260,错误,ख़राब,68
12320,格洛丽亚,ग्लोरिया,24
10572,愤怒,क्रोध,36
6413,懒人,लोपेज,62
2230,昆虫学,कीटविज्ञान,91
11474,喝,पीना,24
6399,经销商,विक्रेता,55
13043,赢,अर्जित,13
6537,coolidge.,कूलिज,67
4402,母猪,बस्बी,80
7148,格斯塔诺,गेस्टापो,62
5403,野火,जंगल की आग,62
6227,酵母,ख़मीर,69
4640,纯化,शुद्धिकरण,79
13938,分享,शेयरों,6
1442,三叉戟,ट्राइडेंट,90
9301,粉末,पाउडर,44
4980,sahib.,साहब,77
3992,银杏,जिन्कगो,82
12489,周三,बुधवार,23
9793,火花,स्पार्क,30
11923,安卓,एंड्रॉयड,28
12587,格鲁,गुरु,22
6578,阿斯伯格,एस्पर्गर,66
5187,克里姆林宫,क्रेमलिन,75
13447,泵,पंप,13
4177,卢利尔,ल्यूसीली,81
2286,转子,रोटार,89
7917,伍斯特,वॉर्सेस्टर,58
7630,外星人,अलौकिक,58
10128,西蒙斯,सीमन्स,42
10935,橡木,बलूत,32
10152,口袋,जेब,38
11199,躲闪,चकमा,33
4765,朗姆酒,रम,78
8279,蟒蛇,एनाकोंडा,55
5084,盗贼,चोरों,75
7083,骨牌,मास्क,58
3729,铟,ईण्डीयुम,84
10595,pil.,जनहित याचिका,38
6481,巴菲,बफी,67
14496,通货膨胀,मुद्रा स्फ़ीति,43
14198,沿着,साथ में,10
3921,mfr.,एमएफआर,83
12016,股票,भण्डार,24
11775,更差,और भी बुरा,29
10498,重写,फिर से लिखा,39
12469,麦迪逊,मैडिसन,23
5859,阿勒格尼,एलेघेनी,71
693,shiraz.,शिराज,98
7717,名词,संज्ञा,51
10980,升级,उन्नयन,20
6996,南极道,अंटार्कटिक,64
3492,大麦,जौ,85
12899,足球,फुटबॉल,19
8826,wb.,पश्चिम बंगाल,52
9263,当,एलओसी,48
7744,选集,संकलन,56
8621,漂浮的,चल,42
425,超级甲串,सुपरमारिन,100
1576,狐狸,लोमड़ी की तरह का,94
7642,序幕,प्रस्तावना,58
6488,翘,विकृत,56
4067,无绳,ताररहित,82
6080,姨妈,चाची,68
1699,bogart.,बोगार्ट,94
406,湄公河,मेकांग,100
4434,浮渣,मैल,79
8687,严峻,विकट,52
2765,斯文,स्मरना,88
1700,放逐,निर्वासित,76
10567,不必要地,अनावश्यक रूप से,38
