ID,CHINESE,RUSSIAN,INTERVAL
10541,卡罗尔,каролл,40
2652,椋鸟,скворец,90
11918,短剑,дирков,29
865,磷酸二酯酶,фосфодиестераза,97
6557,妊娠,диспросия,68
8075,海绵,губка,58
6019,占上风,преобладать,40
11688,pa,парин,27
3467,希拉,шейла,87
7989,paolo.,пало,59
9660,钙,кальций,47
14135,dos,дос,5
9211,呼吸道,респираторность,50
14225,主要的,основной,7
8709,桑尼,сынок,54
321,耳蜗,кохлеар,100
14040,之中,среди,10
8396,声望很高的,престижность,56
6612,拖拉机,трактор,63
12669,活动,деятельность,10
7504,抵押,ипотека,60
7841,赫利,гульца,60
11873,温尼伯,виннипег,29
2248,达达,дада,91
13509,季后赛,плей-офф.,10
6787,远程,удаленно,38
10996,极性,полярность,33
10476,切换,переключаться,23
11534,海伦,хелена,32
4670,与会者,участники,78
9822,天王星,уран,45
12053,简要地,кратко,28
2713,伯威克,berwick.,89
1072,宝藏,сокровища,47
7833,mis.,мчаться,23
906,纸莎草纸,папирус,97
2535,哈特里,хатри,90
7096,中提琴,альта,64
8919,珠穆朗玛峰,эверест,52
10501,奇迹,чудес,15
9510,管道,трубка,39
8087,衣领,воротник,49
2989,不知情,uninformed,80
12778,违规,нарушение,6
4893,最容易的,проще всего,78
1316,mambo.,мамбо,96
14481,按,нажимать,12
2903,desi,дези,88
10730,关岛,гуам,38
6689,伪装,маскировка,46
9944,罗兰,роланд,45
13713,海,море,12
6688,圭尔照片,гуэльф,67
1591,过去,истекший,92
627,地震表,сейсмометр,94
931,厘索,центриоль,97
9867,路标,указатель,45
5993,优化,оптимизация,51
10768,种子,семена,12
14256,呼叫,вызовы,8
12007,col,уполномоченный,28
8612,马塞尔,marcel,54
8673,爱沙尼亚人,эстонский,51
2722,海葵,анемон,89
6540,偷偷,тайно,68
12972,敌人,враг,17
13787,死亡,смерть,9
6851,瑜i,йог,66
2612,字幕,субтитры,71
5882,压缩,сжатый,44
13466,全面的,в общем и целом,13
13189,化学,химический,16
10748,无线的,беспроводной,38
1885,瑞典人,швед,81
3924,雷鸟,thunderbird,84
13164,角色,роль,15
13319,台风,тайфун,15
8661,货运,груз,54
6007,龙岸,договориться,72
9721,富士,фудзи.,46
6789,苹果浏览器,сафари,66
2381,犍,буллок,89
13436,参考,ссылается,13
9476,汉堡包,гамбургер,38
10830,制造商,производители,20
4363,荣幸,почитаемый,14
9297,慈善机构,благотворительность,46
12920,魁北克,quebec.,19
4618,韦茅斯,уэймут,80
2897,胆固醇,холестерин,88
8163,氯,хлор,54
2538,代替,леье,90
6131,赎金,выкуп,69
8252,禾,вовс,57
3518,三叶草,клевер,86
4582,乐透乐园,лото,80
14266,评论,комментарий,5
7336,无政府状态,анархия,62
366,四氢呋喃醇,тетрагидроканнабинол,100
7971,谢赫,шейх,59
1048,雷尔格斯,редёгс,97
5308,脂质,липид,75
861,编辑,отредактировал,93
103,冠状动脉,коронарный,100
3096,蓬塔,пунда,88
6998,棒糖,леденец,63
5864,投资者,инвесторы,62
11996,海豹,тюлень,20
4843,怨恨,недовольство,74
12248,某处,где-то,26
6072,征服,завоевано,44
353,台球,бильярд,92
11463,兵工厂,арсенал,30
6144,斋月,рамадан,71
9745,袖子,рукав,37
13582,故事,история,11
14147,最近,недавно,5
570,农田,сельскохозяйственные угодья,96
9224,全保证,полный назад,44
12596,四世,лишенный,23
12594,何塞,jose.,23
4399,无名,безымянный,81
13505,仲裁,арбитраж,13
11493,金星,венера,18
5060,伯尔尼,берн,77
1358,忒,steus.,96
9227,台面,меза,50
511,快板,аллегро,99
6110,coppa.,коппа,71
10383,非官方,неофициальный,38
12792,lp.,вспомогательный,21
12499,恐怖主义,терроризм,18
13497,m,mph,13
7952,克罗伊登,croydon,59
14438,开始,начал,7
654,ro,сбросить,85
7936,碎石,гравий,59
10586,每当,в любое время,39
9375,章鱼,осьминог,49
5150,dm.,дм,76
12923,而且,кроме того,19
9668,踝,лодыжка,45
10331,豹,пантера,25
13640,失败的,не удалось,10
9462,格林威治,гринвич,48
3720,冲锋,солдачи,85
13043,赢,заработанный,13
7520,不礼貌,неразрешительный,61
1681,儿科,педиатрия,92
11393,弧,дуга,32
11325,西格玛,сигма,34
7464,列宁格勒,ленинград,62
4171,帕尔马,парма,82
11121,爱沙尼亚,эстония,36
11177,穿梭,трансмировать,35
9751,起诉书,обвинительное заключение,40
6629,bolshevik.,большевистский,59
7378,lyases.,лисы,44
12282,疯狂的,сумасшедший,25
1916,歧管,многообразие,65
8101,立场,tiefrefer.,58
12333,反抗,сопротивление,21
2877,机智,остроумный,88
11757,改革,реформа,20
8672,只读存储器,пзу,53
11497,诺曼底,нормандия,33
9339,乌干达,уганда,49
13230,航班,полет,15
4911,marconi.,маркони,78
1148,露天,nudibranch.,96
11941,韦德,уэйд,28
14463,尝试,пытаться,6
12660,查理,чарли,22
12839,春天,весна,17
105,amrita.,амрита,100
12154,呃,эр,26
8237,鸽子,columbine,56
12161,风险,риск,25
3398,后院,задний двор,87
6764,鳍,плавник,60
11034,公会,гильдия,36
12623,圣诞节,санта,22
13585,出生,родился,12
13783,困惑,путаница,9
2700,帅哥,парни,24
7631,湾,бухта,61
3825,弗拉蒂拉,флотилия,83
4207,补偿,компенсировать,42
13177,轮询,опрос,13
5246,皮卡德,пикард,76
3435,肤色,скинхед,80
5926,自愿,добровольно,72
12638,强度,интенсивность,17
13602,第五,пятый,12
459,断层扫描,томография,99
5685,巨头,tycoon,73
4504,刀刀,ножи,80
13797,为了,для,5
12988,清单,контрольный список,18
4053,画报,изобразительный,81
5737,格洛弗,глювер,73
1642,宽恕,простил,94
11667,公鸡,петух,30
4829,使者,посланник,75
2614,幼儿园,детский сад,88
14469,文档,документ,12
9934,体操,гимнастика,42
8934,兰德尔,randall.,52
14186,拍摄,взятый,8
3223,法轮,фалунь,88
6664,胃肠道,желудочно-кишечно,67
11488,ea,советник,33
12492,灵魂,душа,22
13480,底特律,детройт,13
9533,洲际,межконтинентальный,48
13814,将要,воля,5
5317,matra.,матра,76
7444,流浪汉,бродяга,61
12152,战略,стратегический,26
8341,帆布,холст,56
9530,日内瓦,женева,48
4058,vishnu.,вишну,83
1970,精装,твердый переплет,93
11769,秒,раздел,30
5432,罗马诺,романо,75
10420,德怀特,днуйт,41
13217,两者都不,ни один,16
10988,水果,фрукты,33
8653,适应,приспособление,32
12274,信号,сигнал,20
5707,心理学,псих,73
5334,丙烷,пропан,75
4900,青霉素,пенициллин,78
14239,根据,база,8
8954,隆德,ronde.,52
12171,网格,сетка,26
6426,无人机,недооцененный,69
2756,压迫,угнетение,67
10211,螃蟹,краб,42
621,丁尼森,теннисон,99
5716,孙子,внук,71
9815,绞刑,висит,31
3790,骑车人,велосипедист,58
4897,孔子,конфуций,78
12400,干净的,чистый,19
2605,云母,слюда,90
10525,微小的,крошечный,40
6117,巨人,колосса,71
12016,股票,снабжать,24
12598,传奇,легенда,20
3888,尼龙,нейлон,83
8071,贝特,баксель,58
11287,磁带,лента,27
6770,短缺,нехватка,53
13193,手动的,руководство,16
6705,一片地,земля,67
7938,纳入,включать в себя,21
5596,烟头,spitfires.,62
7038,天空,небесный,27
4054,斜坡,растрачивать,74
957,血小板,тромбоцит,91
7565,贝宁,бенин,62
11570,manitoba.,манитоба,32
3282,聚合酶,полимераза,87
6703,尼莫,немо,67
9685,挣扎,столкнувшийся с трудностями,21
9178,航行,отплыл,30
5557,牛磺酸,таурин,74
5600,免得,оказаться,60
12817,柏林,берлин,20
1121,谨慎,скудно,96
5008,苦难,невзгоды,77
13314,侵略,вторжение,15
12144,塞尔维亚,сербия,27
11166,提交,отправлено,22
478,三磷酸,triphosphate,99
7691,几何的,геометрический,59
7790,玩具娃娃,кукла,42
7280,开发,дев,62
4942,乐意,с радостью,78
1328,冷漠,апати,96
11906,短跑,спринт,27
8155,焊接,сварка,53
8586,撕裂,разорванный,55
9472,麦哲伦,magellan,48
7353,景观,пейзаж,57
4294,剪刀,ножницы,69
5234,伏特加,водка,75
10645,刺穿,пирс,34
1377,帕兰,парковая земля,89
5287,素食主义,веганство,50
12963,约翰尼,джонни,19
3556,卖出,выходил,78
6976,坡,склон,53
12477,捷克语,чешский,23
10897,牧羊人,пасти,37
9270,胡萝卜,морковь,49
1269,ere,воинство,96
13431,俄罗斯,россия,14
11718,玛雅,майя,31
6990,砂浆,минометры,39
12755,西南,юго-запад,21
10677,鹿,олень,39
12851,巴尔的摩,балтимор,20
9511,艾琳,эрин,48
13337,上帝,бог,14
4427,叙事,пересчитать,62
14426,要求,требования,6
6145,瓦加,вагга,71
5725,注意,прислушиваясь,66
14363,罗伯特,роберт,11
4932,dk.,дк.,78
14123,结果,результат,7
2375,昆腾,квинтон,91
3298,耶,ура,87
2696,cortina.,кортина,90
8374,有问题的,проблематично,56
976,族长,патриархи,82
13364,道歉,извиняться,6
7202,collier,коллер,63
10849,取决于,в зависимости от,23
1438,五旬节,пятидесятность,67
6433,清洁器,очиститель,65
5516,花生,арахис,40
1507,楼下,внизу,95
9979,羟基,hydroxy.,44
5438,汤金,тонкин,75
11652,错误,ошибочно,31
11778,不合适,неподходящий,30
756,大流行病,пандемия,97
11638,墨菲,мурфи,31
6343,海峡,проницательность,42
10651,选项,опции,7
181,纳洛酮,налокон,100
305,莱里,лейябрь,95
11131,de,отдел,36
1119,电解,электролиз,96
8796,伏击,засада,46
4643,konstantin,константин,80
14181,第三,третий,8
8969,兼容的,совместимый,48
6899,neptunian.,нептуненс,65
11059,每周,недельно,37
6025,单方面,односторонний,54
10406,锅,горшок,38
13706,预期的,ожидал,10
12388,布局,макет,24
9242,停战,перемирие,50
14339,经过考虑的,обдуманный,5
372,津贴,перки,96
158,limbo.,лимбо,100
11710,古典,классический,17
6128,毒液,яд,68
8386,fac.,фальшивка,56
1420,brumbies.,парец,83
14375,能力,способность,22
5031,谐波,гармоника,71
13477,费城,филадельфия,13
1327,文盲,неграмотный,93
7276,交往,общение,63
7092,托罗,торо,60
8460,千禧年,тысячелетия,55
5337,针,иголка,70
7986,目瞪口呆,ошеломленный,43
7730,拦截器,перехватчик,55
4861,苏丹人,суданцы,78
9576,财富,богатство,47
11725,sc.,сюжет,31
10347,整数,целые числа,33
7687,澳门,макао,61
10335,击球手,batsmen,41
13464,亨利,генри,13
8209,elle.,элли,55
7656,恰尔多,chico.,61
13632,论坛,форум,12
12996,无用,бесполезный,18
5033,扫盲,грамотность,77
7153,离婚,развод,58
13089,机器人,робот,16
5936,无用的,беспрепятственно,72
2323,共生,симбиоз,91
11531,科恩,коэн,32
2993,蒂芙,tiffin.,88
12462,角落,угол,22
11753,特洛伊,трой,30
3323,pinto.,пинто,87
7006,acyl.,ацил,64
13219,道格拉斯,дуглас,16
463,虚假性,ложь,82
3508,苏黎世,zurich.,86
3949,wr,приписать,79
6216,beatrice.,беатрис,70
14159,在职的,работающий,5
13121,风,ветер,12
3287,无论如何,независимо,87
5442,发病,наступление,74
10024,tk.,тк.,44
2730,磨削,шлифование,67
4158,伯利,забрызгивать,82
4746,dx.,дх,79
14474,训练,обучение,10
14429,定价,по цене,18
8700,merrimack.,мерримак,54
5411,劳代理,лаудердейл,75
9675,苗条的,стройный,46
9724,燧石,кремня,46
12831,阿富汗,афганистан,20
444,气压,барометрический,100
9740,倒,залить,38
801,weiner.,вайнер,97
11338,驱动,заново,34
12432,钍,готовность,24
13170,指导,гид,14
7478,突击队,коммандос,34
13993,五,пять,8
13312,弗朗西斯科,франциско,15
13668,进入,вошел,10
1740,穷人,беднее,93
10327,公斤,кг,41
1472,lemmings.,леммингс,82
8367,托比,тоби,56
2734,毒品,наркотика,74
13742,男生,мальчик,10
6170,血汗工厂,потогонный,70
2644,防晒霜,солнцезащитный крем,90
11920,曼哈顿,манхэттен,29
10791,十四,четырнадцать,38
11072,偷,украденный,37
4404,rhb.,рб,81
11468,竿,стержень,32
9681,威尼斯,венеция,47
1636,斯内尔,unell,94
8839,惯于,несомненно,53
947,积云,кумулюс,97
9585,feat,подвиг,46
7009,raja.,раджа,64
6402,禁忌,варить,68
10554,弗洛雷斯,флорес,40
6366,nest,ненези,69
5788,sadr.,садр,73
2470,病理,патология,79
7105,ophelia.,офелия,64
8351,一边,на стороне,56
5729,空气动力学,аэродинамика,59
12008,轴承,несущий,12
13437,te.,театр,14
7695,宇航员,астронавт,53
1596,烤,выпекать,62
2325,男中音,баритон,91
1026,甜菜,свекла,93
13535,始终,на протяжении,13
5756,vp.,вп,73
8638,雪莱,шелли,54
2654,艾尔,эйр,88
5627,甲氧基,метокси,74
12271,解散,расформирован,24
10092,所罗门,соломон,43
13379,枪,пистолет,12
13215,插曲,эпизод,12
1610,方差,дисперсия,93
11768,亚伯拉罕,авраам,30
9891,假期,каникулы,26
4333,解开,развязанный,81
3063,蓝宝石,сапфир,88
244,食用,съедобный,97
9403,去世,дезертир,49
962,水仙,нарцисс,97
1210,五角星,пентаграмма,96
6336,神学院,семинария,67
13359,引用,цитируемый,7
7148,格斯塔诺,гестапо,64
10385,魔术师,маг,40
505,泼,спринг,99
3367,噗,пышность,72
1783,虱,вошь,93
13341,诗人,поэт,14
12629,名义上,номинально,10
11370,德里,дели,34
5353,bataan.,батаан,75
11548,比率,соотношение,31
8881,普利策,палитер,52
3814,跨大西洋,трансатлантический,85
4280,花栗鼠,бурундуки,61
11992,布莱恩,брайн,28
5667,卡希尔,cahill,74
11178,ersatz.,эрзац,36
6416,纷争,разборка,68
1776,轰响,бонкт,92
6572,预先,заранее,68
209,岩石圈,литосфера,100
13830,还,также,5
11651,益处,выгода,7
1997,纳扎琳,назарене,93
3415,ocarina,окарина,87
5987,水印,водяной знак,64
7054,说服了,убедить,49
3755,算法,алгоритмы,44
4277,周围的,окружающий,82
2978,锡耶纳,сиена,88
9126,炸药,динамит,50
12410,赖特,оручитель,24
11694,载体,перевозчик,28
3581,平日,будние дни,65
9883,堡垒,крепость,42
5195,摇摇欲坠,шаткий,76
9212,h t,ht.,33
5619,光谱学,спектроскопия,74
5853,格林,грааль,72
11551,开球,подать мяч,31
8910,红外线的,инфракрасный,52
11082,子弹,пули,24
13168,炸弹,бомбить,10
12466,凯尔,камин,24
139,assamese.,ассамский,100
9286,交互的,интерактивный,28
1929,胆汁,желчь,93
12728,卡特,картер,21
7581,屠宰,убой,54
8857,秃,лысый,47
14027,计划,планы,11
447,uninurechized.,неповрежденный,100
778,subs,утих,77
14409,成员,член,9
345,腰带上,белтон,100
14183,派对,вечеринка,9
6326,坩,тигель,70
6289,亮度,яркость,35
1278,堆叠,укладки,51
13139,早晨,утро,16
8393,静止,стационарный,56
7713,beowulf.,берульф,61
13234,亲,дорогая,16
10783,寻求,ищу,24
5400,拉米,рами,74
11173,汉斯,hans.,21
9351,巴厘岛,балийство,49
12765,葡萄牙,португалия,21
3077,排版,типография,88
182,翻盖,лоскут,88
13741,el,эль,11
10481,pp.,поп,40
219,boozer.,бузер,100
12230,时髦的,бедро,25
2095,粘液组,лизосома,92
11309,企鹅,пингвинь,23
12581,恐怖分子,террорист,19
226,交织,межлега,100
12015,漫步,бессмысленный,27
6788,挡泥板,навес,62
3737,蚌,миссий,82
7335,老年,пожилые люди,62
5362,农村,сельская местность,75
14050,状态,состояния,6
546,逾期,просроченный,99
7597,铲,лопата,55
13287,帝国,империя,15
9736,舒适,простота,40
12737,磨坊主,миллер,21
4419,同位素,изотоп,69
6029,opus.,опус,71
1942,拉撒路,лазарь,93
4033,差价合约,cfd.,83
8125,成熟,зрелый,46
7835,懊恼,раздраженный,30
12646,价钱,цена,18
7862,dis,не нравится,52
7235,柯特兹,cortez.,63
4847,介质,сравнить,78
3676,男高音,тенор,80
4008,lulu.,люять,83
12150,忠诚,неверный,27
10221,胡佛,пылесос,42
5367,gamecocks.,геймекока,72
13003,ke,сдержанный,18
4371,坏处,недостаток,66
2215,编解码器,кодек,85
9929,诚实地,честно говоря,45
10740,金斯顿,kingston.,38
5726,虚幻,нереальный,72
5306,基多,кито,76
13005,药品,препарат  средство  медикамент,16
10894,蒂莫西,тимоти,38
233,koto.,кото,99
7832,狄更斯,диккенс,60
12636,金,потрясающий,22
4568,莱昂尼德,леонид,80
8616,额,фронтальный,54
280,博吉,тележка,91
14001,很少,немного,6
3026,漂白剂,лечебники,85
3076,leucid.,ясный,87
561,芦笋,спаржа,99
6367,梅毒,сифилис,69
2039,银行家,банкир,83
956,熄灭,погасить,61
665,欠,обязан,48
5149,silesia,силезия,76
12647,威胁,угроза,13
6652,粉笔,мелочи,65
1053,溶解度,растворимость,69
2386,反文化,контркультура,91
11636,比较,сравнивать,11
6909,巴拉德,баллард,65
8379,钟声,diamondbacks.,54
8975,蝴蝶,бабочка,50
10555,普鲁士,прусский,39
7216,毛茸茸,пушистый,63
2932,向外,наружу,84
2343,双边,двусторонний,90
12827,韩国人,корейский язык,19
9496,按字母顺序排列,алфавитный,27
10295,反叛,мятежник,27
1462,trem,чрезвычайно,53
10599,rn.,оз,39
617,冻,застыл,99
879,梁梁,балки,54
354,stratojet.,страно,100
9353,seaeg.,морской пес,49
5746,遗址,лома,73
4988,萨利纳,салина,65
2103,gall,галлуп,92
7604,斤,jin.,61
4129,唐尼,донни,82
41,啰嗦,изготавливание,100
3807,伯恩赛德,ожог,85
6010,执事,деакон,42
10178,米克,мик,43
3675,窃听,постукивание,48
13399,热的,горячий,14
5217,特里斯坦,тристан,76
11039,殖民地,колония,21
10418,黑手党,мафия,41
13743,在后面,позади,11
2543,扁平化,сплющенный,85
4844,carlin.,карлин,78
1728,回顾一下,ретроспект,64
1656,阿比林,abilene.,94
3998,蒙蒙,туманный,83
13651,警卫,сторожить,11
9249,花卉,цветы,33
10045,发言人,пресс-секретарь,44
11398,羽扇豆,люпин,34
2945,耳机,наушники,81
7546,君士坦丁堡,константинополь,62
942,饶,восхищение,92
11984,糖,сахар,28
8310,美索不达米亚,мезопотамия,56
7075,合法性,легитимность,64
11806,狮子,лев,16
2071,黑色瘤,меланома,92
5476,ike.,айк,75
6143,亚述,ассирийский,65
7516,巴洛克式,барокко,62
13090,重新分配,переназначен,17
5368,白种人,кавказский,74
9254,救护车,скорая помощь,46
285,臭,вонючий,99
9592,武装分子,боевик,29
4769,发胶,парикмахерская,79
8942,毁灭性,разрушительный,38
9913,柬埔寨,камбоджа,45
2297,欺骗,дауд,91
14244,方法,означает,8
6547,意大利面条,макаронные изделия,68
780,基层,понравился,98
8729,德文,девон,53
10955,停用,деактивирован,34
11683,更喜欢,предпочитать,9
136,欧洲环保局,epa,100
9479,原型,прототип,38
4702,不负责任,безответственный,76
11810,尼日利亚,нигерия,30
11624,mf.,мф,31
3064,烟囱,печная труба,78
12190,布兰登,брэндон,26
7966,麻雀,воробей,57
14180,七月,июль,6
2067,cay,кай.,91
10349,普利茅斯,плимут,41
4099,哥林斯,коренф,83
6846,我知道,ик,66
11214,古生物学,палеонтология,35
10672,维持,поддержание,13
10182,导航,навигация,27
11668,弗农,вернон,31
12899,足球,футбольный,19
12405,枫,клен,24
4521,奇特,своеобразный,75
6780,领班,мастер,66
1350,海水,морская вода,96
4681,宴会,банкет,76
7941,彻底,тщательный,58
8015,rabbi.,раввин,57
831,微系统,микросистемы,98
4989,erika,эрика,78
9936,更宽的,шире,45
4567,大提琴,виолончель,80
3245,激动运动员,агонист,79
11952,鲨鱼,акула,22
12585,抢,ограбить,22
3522,惠,хван,86
8240,allo,аллона,57
9057,无聊的,скучный,33
8073,岸上,на берегу,58
3381,缩略图,миниатюры,61
10301,狂欢,карнавал,41
10208,安静的,тихий,42
9861,腐殖质,хомус,45
7297,马来亚,малая,63
11767,伤害,вред,12
11523,突尼斯,тунис,32
5009,钳,тонг,75
1074,附加,прилагаемый,70
4523,马拉萨,маратхи,80
9531,死者,покойный,48
4513,达比,дарби,80
1299,注释,аннотирован,83
3926,隔离,карантин,77
11485,海地,гаити,33
11859,拉斯维加斯,вегас,28
4697,舒尔茨,щульц,78
10085,巴顿,бартон,44
11583,门罗,монро,32
11241,生气的,сердитый,35
85,梦想时间,время мечтать,100
7892,盟友,союзник,18
9962,厕所,туалет,44
5197,离散的,дискретный,58
3714,留声机,фонограф,82
11632,雨量,осадки,31
11990,浪费,напрасно тратить,22
13358,冬天,зима,14
8622,耳朵,уши,36
4928,horn,родовой,78
11289,路德,люверный,35
703,手电筒,фонарик,93
3707,太阳镜,темные очки,85
14485,种类,добрый,13
7490,实验,эксперименты,38
1498,克里尔,криль,95
10968,特拉华州,делавэр,37
13070,抵达,достигать,9
13352,委员会,комитет,14
14476,驱动器,приводы,10
8171,细菌,бактерии,57
7951,倒数位,предпоследний,59
12486,有些,в некотором роде,24
12122,自动的,автоматический,5
11071,爆炸性,взрывной,17
898,不敏感,нечувствителен,90
4727,盖,крышка,77
14059,单元,единица,6
6175,无所话地,самостоятельно,68
5458,据点,stronghold.,65
7136,屈服于,уступил,38
6414,桑格,сангранс,69
10438,嗯,ими,41
4978,钨,вольфрам,78
10097,护送,эскорт,36
13834,向上,вверх,6
184,戈拉,гулла,100
7990,香槟酒,шампанское,59
310,polymath.,полимат,98
10824,剃刀,бритва,38
8534,石墨,графит,55
635,fitz.,фитц,99
3494,知识,одолевать,78
12279,准备好,готовый,16
10685,a片,порно,39
13704,驾驶,водить машину,10
455,哈米哈丁,хармалин,100
11559,克拉克,кларк,14
4279,聚光灯,прожектор,80
3578,理论家,теоретик,57
3084,花圈,венок,77
13803,是,быть,5
2984,con,коврик,88
11123,配音,саундтрек,34
4421,一个人,сноги,81
3915,血清,сыворотка,84
11416,游行,парад,32
8208,甲虫,жук,55
1756,同学,одноклассники,84
5134,番茄酱,кетчуп,77
12834,大多,в основном,20
694,奸诈,предательский,96
7584,空中客车,airbus,62
2271,folsom.,фолсом,91
2731,雷霆球,thunderball,89
6613,黑貂,собел,67
2777,潮山脉,бумера,87
77,麦克斯菲尔德,macclesfield.,100
13537,伊利诺伊州,иллинойс,13
11956,洞,дыра,23
1066,soho.,сошнуть,96
3472,背菲尔德,backfield.,87
13017,西北,северо-запад,18
5256,皇后,empress.,75
8409,保证主义者,аболиционный,54
2925,goldwater.,золотая вода,88
7669,同情,сочувствие,56
11766,幸运的,везучий,30
7806,alfonso.,альфонсо,60
5137,illuminati.,иллюминаты,77
9615,总结,суммировать,37
9896,座右铭,девиз,42
11966,部,менструация,27
648,亚利,yali.,99
8316,冻结,замороженный,56
11409,鹘,сокол,23
7548,汉诺威,ганновер,62
4758,平装,мягкая обложка,73
10133,欺诈罪,мошенничество,43
4383,奇,считать,81
14452,领导,ведущий,7
8105,有意识的,сознательный,58
3495,哈丁,хадит,86
11462,圆顶,купол,32
5043,马耳他人,мальтий,77
5098,外交官,дипломат,34
12057,含有,содержащийся,7
4502,星舰,звездоход,80
5959,华丽,гламур,72
7374,黑麦,рожь,62
11467,从而,тем самым,33
9328,琳达,линда,49
9974,塞内加尔,сенегал,44
6805,宽广地,в целом,66
2500,chaparral.,чапаргал,88
12444,罗宾逊,робинсон,24
129,capella.,капелла,100
6806,化妆品,макияж  мириться,65
12631,灰色的,серый,22
8775,阴道,влагалище,53
13794,和,и,5
9016,乐队,оркестр,50
9676,不列颠哥伦比奈里,британника,47
6766,朝圣者,паломники,59
12052,成为,становится,7
3251,微微,пико,88
10742,流产,аборт,35
5227,拜物教,фетишизм,64
13134,小丑,клоун,17
13252,雨,дождь,13
12927,接收,прием,6
6830,聚合物,полимер,63
378,研讨会,семинар,89
13289,事件,инцидент,13
8952,达娜,дана,52
6741,楼梯,лестница,62
4316,笨拙,неуклюжий,80
2599,保镖,телохранитель,81
11413,滚动,прокат,17
4705,矛头,возглавлять,61
10063,限定,квалификатор,8
1335,bilbo.,бильбо,96
9144,盘子,тарелки,20
7290,巴士尔,бастилия,63
5694,摆,окунуться,74
11585,温度,температура,24
10252,长老,старейшина,39
8447,林荫大道,бульвар,55
10999,方面,аспекты,26
11272,赫伯特,герберт,35
6671,旧石器时代,палеолита,67
1972,不满意,неудовлетворенность,92
1770,莱恩,мельница,93
8497,生锈,ржавый,55
2933,迪托,диду,88
934,钉十字架,распятие,97
11269,马耳他,мальта,35
11181,cb.,сб,36
2580,aphelion.,афельон,90
13397,猫,кот,13
5320,顶点,топпер,63
4318,精神病学,психиатрический,82
11252,归因于,приписывается,14
9916,规定,положения,38
13335,第六,шестой,15
12604,ne,неразборчивый,23
1638,舵,руль,92
13780,y,у,11
9077,黑人,негр,46
7327,pe.,пропитывать,62
2565,conopic.,каноpic.,90
13691,巨大的,огромный,12
189,aw,awa.,100
6113,灾难性,катастрофический,55
5979,抱负,честолюбивый,70
3868,未得到解决,неразрешенный,84
11699,安全的,безопасно,27
4914,cav,кавер,78
6491,荚,подпирать,63
6486,艾迪生,аддисон,68
1938,认识,познан,91
7840,一氧化物,монооксид,60
12045,机车,локомотив,18
12417,酒吧,бар,21
12743,最大限度,максимум,21
5513,直觉的,интуитивно понятный,59
3008,程式化,стилизованный,88
1824,宿醉,похмелье,92
9853,耶鲁斯,йель,45
13560,科学,наука,12
8989,更清晰,яснее,52
7655,禅,дзен,61
8548,恶棍,злодеяния,47
10249,埃斯利昂,эпсилон,42
12166,歪曲,искажение,22
4314,马拉雅拉姆,малаялам,82
2591,纪录片,документальные фильмы,33
7552,膜,мембрана,61
10952,公告,объявление,12
6974,尼古丁,никотин,63
11864,俚语,сленг,29
763,夏南瓜,цуккини,98
10309,陪同,в сопровождении,18
13142,黑暗的,темный,15
7035,abt.,ат,64
14169,记录,записывать,7
2368,anil.,анил,91
6181,贝斯,бесс,70
6796,sim,симуль,34
11847,竞争对手,соперник,22
7883,商业上,коммерчески,8
712,不成文,неписано,98
