ID,CHINESE,TURC,INTERVAL
13747,蓝色,mavi,11
2953,切片,dilimlenmiş,56
5029,sp,mahmuz,34
9234,小麦,buğday,50
896,尼像,nemrut,97
4951,清真寺,cami,38
2902,西柚,greyfurt,89
4714,光明节,hanukkah,80
9644,图标,simge,37
4260,迷你鞋,minot,83
11656,成功地,başarılı bir şekilde,11
9241,无人,nominal,51
6538,傲慢的,kibirli,61
13689,密歇根州,michigan,12
121,淀粉,nişasta,96
13624,外部,dışarıda,12
58,柠檬汽水,limonata,100
9788,早餐,sabah kahvaltısı,45
12179,此外,üstelik,27
14029,大约,etrafında,8
9959,加菲猫,garfield,45
10993,施洗,vaftizci,37
9866,惠特曼,whitman,46
9920,苍老,houry,45
12223,更近,daha yakın,27
289,intr,ilginç,47
5493,斯隆,sloan,75
8433,不打击,rütbesiz,57
12701,高兴的,memnun,22
12814,估计的,tahmini,16
5806,日子,dat,74
11556,盐,tuz,31
8759,前锋,forvet,42
4179,卷轴,makaralar,51
6231,格林伍德,greenwood,71
5445,银河系,galaktik,75
3689,没关系,boşver,85
9555,受体,reseptör,42
14379,边,taraf,10
11811,格林纳迪埃,grenadier,29
13086,市场,market,12
13454,玩笑,şaka,12
1003,军阀,savaşçılar,83
4284,静物,shank,82
11495,head,başsız,33
10888,达到顶峰,zirve,15
7055,簪,saç tokası,65
13585,出生,doğmak,12
10419,脚注,dipnot,31
8081,半径,yarıçap,59
10661,最老的,en eski,40
10022,贡,takdir,43
314,风速计,anemometre,100
12191,喜剧,komedi,27
12855,医疗的,tıbbi,20
8516,集约化,yoğunlaşma,56
12965,彗星,kuyruklu yıldız,19
4995,斯派克,sfenk,78
3958,潜意识,bilinçaltı,83
4241,牛皮纸,kraft,83
11147,罗莎,rosa,37
6425,尼日利亚人,nijeryalı,67
8018,诺克斯维尔,knoxville,59
10608,甘地,gandhi,40
14181,第三,üçüncü,8
1817,桑潘,sandpit,93
14275,局域网,lan,60
13472,更高,daha yüksek,14
6896,不可否认,kuşkusuz,66
6879,毛里塔尼亚,moritanya,67
2994,布拉姆,blume,88
6265,服装,kostümler,41
8536,恒星,steller,56
14485,种类,tür,13
6492,码头,iskele,61
7323,棚,baraka,56
7645,复活,diriliş,53
3150,关掉,kapat,86
2219,不可预测的,öngörülemeyen,88
13829,他们的,onların,6
3385,路西法,lucifer,85
10495,气氛,atmosfer,32
12652,秘书,sekreter,22
11831,基本上,temel olarak,15
10630,佩顿,peyton,40
6631,乳房,mastodon,68
12950,星期五,cuma,19
4346,劳动节,mayıs günü,82
14218,电脑,bilgisayar,7
11776,罗纳德,ronald,31
6007,龙岸,longshore,72
2161,涂料,uyarıcı vermek,55
2052,分形,fraktal,88
5267,编舞,koreografi,77
7459,ahoy.,ahmak,62
11654,安娜,anna,32
5580,背心,yelek,57
2998,超级英雄,süper kahramanlar,61
7795,乙酸,etil,61
13034,荷兰,hollanda,18
8459,财政部,hazine,56
2137,机动,motorlu,93
10595,pil.,pırıltı,40
11693,第十四,on dördüncü,32
1920,乡下人,hillbilly,86
10417,苏珊,susan,41
11954,奴隶制,kölelik,29
4494,最艰难的,en zorlu,81
12055,杰斐逊,jefferson,28
12510,物品,kalem,18
13366,鉴别,tanılama,15
7452,乳白色,sütlü,62
1807,邓恩,dunne,94
7240,五月花,mayflower,64
5657,满意的,tatmin edici,74
5398,尼姑,rahibe,66
6126,花环,çelenk,70
3774,军团,lejyonlar,39
5234,伏特加,votka,76
12766,牌,kartlar,13
7186,雕刻,oymak,45
11727,尼纽姆,nunquam,31
3495,哈丁,hadis,86
3387,铭文,yazıtlar,68
6121,遗憾,acımak,65
6610,导师,mentor,67
14021,国家的,ulusal,7
5000,多边形,çokgen,69
10792,心爱,sevilen,39
10441,加布里埃尔,gabriel,41
12110,重点,odak,28
5731,负鼠,possum,73
13337,上帝,tanrı,14
7854,河滨,nehir kıyısında,61
8242,超越,aşan,46
12616,货币,para birimi,22
2605,云母,mika,90
12506,院长,dekan,24
7526,潜水,dalmak,38
6435,非洲人,afrikalılar,13
3767,巡航,seyir,36
4201,太平洋标准时间,pasifik zaman dilimi,83
8814,索耶,sawyer,53
13083,画,berabere,14
6569,忽视了,ihmal edilmiş,56
12941,距离,mesafe,17
14362,视频,video,10
6386,竖琴,arp,67
12091,低音,bas,28
14328,引领,neden olmuş,10
5557,牛磺酸,taurin,75
13193,手动的,manuel,16
1696,纳布卢斯,nablus,95
14062,例子,örnek,10
12063,作家,yazar,19
9954,摊,çardak,44
4136,授权,zorunlu,40
5797,半导体,yarı iletken,70
3434,感官,duyusal,86
2200,杂货店,bakkal,88
2921,巴布,babu,89
6394,迷迭香,biberiye,70
4832,大别墅,şato,79
1014,onyx.,oniks,97
12360,雪,kar,25
5140,录像带,video kaset,65
2303,偏转,sapma,62
7298,景区,manzaralı,64
853,基尔肯尼,kilkenny,98
3429,闹剧,fitil,86
11931,岁,yaşlar,12
9499,船尾,bok  kaka,46
1110,重新组合,yeniden toplantı,80
13081,杂志,dergi,17
14224,形式,biçim,8
8658,污垢,kir,55
7171,卡尼,carney,65
1640,重印,yeniden basmak,65
11837,鸡,tavuk,29
8,怪人,geek,29
426,尖顶,çan kulesi,100
8637,成吉脂,zervet,55
11473,德雷克,dramek,33
1062,环境主义,çevrecilik,33
4112,丝毫,en ufak,83
2207,毛细血管,kılcal damar,89
6048,法国人,fransız,72
14039,然而,yine de,6
13973,称为,isminde,8
474,普遍存在,prevalans,65
2269,魔术贴,velcro,92
6637,氟,florin,67
8385,火药,barut,57
5390,润滑脂,gres,74
6786,阁下,lordlar,15
14480,玩,oynamak,7
10566,台北,taipei,40
8168,加热,ısıtılmış,19
702,坦,tidit,88
376,伪科学,psödbistance,100
340,祖父母,büyükbaba,80
13051,墨尔本,melbourne,18
12728,卡特,carter,22
7762,海伦娜,helena,61
3471,毛里西奥,mauricio,87
4530,回火,temperli,44
6195,贵宾犬,kaniş,69
1900,驼峰,kamburlaştırmak,88
13134,小丑,palyaço,17
7283,卡罗姆,carom,62
13001,屠杀,katliam,18
1089,嵌合体,chimera,97
14097,会议,toplantı,10
6246,硼,bor,71
4636,凫,yeşilbaş,79
12848,综合征,sendrom,20
7322,植物群,bitki örtüsü,63
6694,梅林,merlin,68
7473,记分牌,skor tahtası,62
8455,种族,etnik köken,25
12517,发射,işten çıkarmak,10
7550,唤起,evlat,62
10159,培训师,eğitimci,38
2985,慈善,yardımsever,88
12794,泰德,ted,21
12440,布鲁斯,branş,25
3822,绣花,nakışlı,83
6498,榛,hazel,69
6099,健美,vücut geliştirme,66
8862,老挝,laos,50
10656,偶然,kazara,35
14429,定价,fiyatlı,18
13431,俄罗斯,rusya,14
4933,炙烤,ızgara,62
9236,耻辱,utanç,47
13878,所以,bu yüzden,6
8517,鸢尾花,iris,56
4800,露出,maruz kalma,36
10087,大风,gale,41
7858,毫克,ml,61
629,自恋,narsisizm,99
8448,隐秘,kriptik,56
6582,料斗,hopper,65
12356,裁判,ref,23
11841,音乐会,konser,27
8969,兼容的,uyumlu,48
12079,花园,bahçe,22
5742,cid,cimri,74
11204,上诉,temyiz,26
8295,萨克斯管,saksafon,57
8687,严峻,acımasız,55
1169,亚型,alt tip,93
22,口红,ruj,100
3347,吉拉亚,gillian,88
5872,混乱的,kaotik,72
10553,卢瑟福,rutherford,41
13265,感觉,algı,15
7257,哈吉克,hajj,64
11282,大致,kabaca,35
9003,布拉沃,bravo,53
2045,迂回,dönel kavşak,93
3696,prog.,poç,84
1387,内部,içi,96
4712,勇敢,bandar,80
12837,西雅图,seattle,21
5658,无花果,incir,71
6615,毫无根据的,asılsız,68
10988,水果,meyve,34
5287,素食主义,vegancılık,51
9273,砍伐森林,orgestasyon,50
12326,排行,sıralama,7
7027,mil,geveze,66
6013,专栏作家,köşe yazarı,67
3797,蜂鸟,hummingbird,84
13867,如果,eğer,5
1357,碱性,alkalin,94
6941,阿巴,abba,40
11445,永远,sonsuza kadar,33
7270,广场,kareler,15
11823,同性恋者,homo,30
11987,高速公路,karayolu,25
13949,美国人,amerikan,8
5864,投资者,yatırımcılar,63
769,戈什,goshen,98
11401,奥斯卡,oscar,33
6476,急剧,keskin bir şekilde,69
2637,羊毛行道,yıpranmak,90
12305,玛丽亚,maria,26
3109,河口,haliç,87
3752,漫步者,rambler,83
14289,机器,makineler,9
8710,勇气,cesaret,50
4655,重新审视,revisit,64
9171,微,mikro,51
13912,信息,bilgi,5
78,乞丐,dilenciler,88
13688,百万,milyon,11
10418,黑手党,mafya,41
3685,俘虏,esir,54
5429,狄俄尼索斯,dionysos,76
456,harm,kabarmak,100
11308,乔伊,joey,35
13638,指定,belirtir,7
13119,成千上万,binlerce kişi,14
5541,石板,kayrak yapmak,55
11965,束,demet,29
13043,赢,kazanılmış,14
9150,瓦伦西亚,valensiya,51
7239,儒,konfüçyüsçülük,63
13243,星期日,pazar,16
10353,伙伴,ahbap,41
10549,吃,yemek yiyor,15
2931,最远,en uzak,88
7462,民俗学,folklor,62
1524,史努比,snoopy,95
4323,苦艾酒,absinthe,82
1217,沼气,biyogaz,97
8331,小伙子,delikanlı,53
12805,飞,uçmak,12
10589,霜,don,39
12601,相等的,eşdeğer,22
12217,沃森,ırmak,27
677,博纳,bona,98
12021,帕尔默,palmer,28
14176,看,bakmak,5
8473,明晰,netlik,56
12670,像素,piksel,21
12714,基础,esas,22
6167,布里格,brik,71
10707,峡谷,kanyon,39
1402,塔玛拉,tamara,95
2644,防晒霜,güneş kremi,90
6790,豌豆,bezelye,45
11429,首先,açılış,31
6180,空缺,boşluk,64
66,查明,tespit etmek,94
13135,现代的,modern,16
12931,房间,oda,18
5855,毛利人,maori,69
11067,最强的,en güçlü,38
9461,诺贝尔,nobel,49
4567,大提琴,çello,80
4987,箍,hoop,67
8612,马塞尔,marcel,55
3015,亨特利,huntley,88
10097,护送,eskort,37
9602,六十,altmış,43
10305,出漏,exodus,42
2526,哈西奇,haşiyik,88
9716,暴风雪,kar fırtınası,46
4153,枪手,gündüzler,65
335,塔尔扎恩,tarzan,100
2244,睑板,tarsus,92
10422,撒谎,uzanmak,20
9348,丹特,dante,50
11792,磨损,yıpranmış,31
9699,冰壶,kıvırma,42
643,吉尔加,jirga,99
7382,沮丧,sinir bozucu,7
8606,深,derinden,55
6792,达德利,dudley,67
4413,空运,airmobil,82
6209,郊外,etekler,71
11523,突尼斯,tunus,33
393,罗霖,tamarin,100
9897,管子,tüp,41
10331,豹,panter,25
1781,懒惰者,lys,77
2430,手风琴,akordeon,91
2129,布卢宁,mavi çizgi,93
6945,中子,nötron,65
11393,弧,arc,33
13601,划分,bölünme,7
9522,达尔,dal,49
3091,诺福利亚语,northumbrian,88
6568,重拍,remake,64
3658,克劳利,crawley,86
10642,样本,örneklem,30
10389,弗拉格斯塔夫,flagstaff,42
12724,受伤,incinme,16
4586,走路,yürür,79
3969,犹太教堂,sinagog,75
9887,马克思,marx,46
2239,屠宰场,kesimhane,91
7408,反犹太主义,antisemitizm,58
9614,笏,uydurmak,47
5101,多项式,polinom,72
6062,重复,tekrarlama,53
2107,交火,crossfire,93
8686,收割机,reaper,53
3916,橡子,meşe palamudu,82
1356,格伦伍德,glenwood,96
11463,兵工厂,cephanelik,31
11444,库特纳德,coulthard,34
6053,黛博拉,deborah,72
11699,安全的,güvenli,28
580,古吉拉蒂,gujarati,99
972,gynecomastia.,jinekomasti,97
9233,双性恋,biseksüel,44
4869,分段,fragman,48
3670,利基,niş,83
3358,泌尿版,idrar,88
13272,博士,dr,16
5143,同性恋恐惧症,homofobi,78
10904,贮存,depolamak,38
1226,歌舞表演,kabare,97
8815,正面,engel,54
12540,省长,vali,21
12006,il.,i̇l,29
5728,圆形剧场,amfitiyatro,74
6115,夸张地,drastesel olarak,53
6622,恋童癖,pedofilik,68
12212,科林,colin,27
244,食用,yenilebilir,97
3048,釜,kauldron,88
11710,古典,klasik,17
2212,简略,kısaltılmış,88
2684,群青,lacivert,90
7316,斯托弗,koyvermek,63
6880,回归,homecoming,66
13244,交易,anlaştık mı,12
4256,霍尔斯特,horst,83
1135,玻利瓦尔,bolivar,97
10582,拿破仑,napolyon,37
398,时空,boş zaman,100
8972,陷阱,tuzak kurmak,34
13167,gogo.,git git,17
13662,失利,kayıp,10
2612,字幕,alt yazı,72
1479,卡加坦,cagayan,95
12929,三倍,üçlü,19
4061,气球,balonlar,41
8579,德姆,dem,56
6632,马赛,marsilya,61
4474,困,uykulu,81
6430,格条,gimp,69
448,救生艇,filika,96
2484,暹,siam,91
9722,监视,gözetim,47
6226,博卡,boca,71
4388,泡沫,köpük,78
4910,adolph.,adil,79
9853,耶鲁斯,yale,46
12141,思想,düşünceler,11
7081,更简单,daha basit,65
10150,滑板运动,kaykay yapmak,30
3279,在其中,orada,88
12863,挑战,meydan okumak,12
8123,斧头,balta,52
12122,自动的,otomatik,5
12035,不可能的,imkansız,28
8215,貘,tapir,58
3500,霸王,derebeyi,84
4076,陶笛,dobd,83
10173,地中海,akdeniz,43
10894,蒂莫西,timothy,38
10170,杰伦塔,cunta,43
5228,关节炎,artrit,77
13438,文学,edebiyat,14
12871,def,defetmek,20
10867,突然,birden,38
707,slone.,slapon,98
344,羟,hidroksil,84
12529,夏威夷,hawaii,24
1911,墙壁,duvarlar,84
1814,盖伦,galen,94
90,气肿,amfizem,100
4616,拉特,lat,79
10616,席尔瓦,silva,40
1264,梦幻般的,rüya gibi,96
7783,拉斐尔,raphael,61
1899,集中,centro,93
9373,漏洞,böcek,36
6990,砂浆,harçlar,40
8341,帆布,tuval,57
10111,地图集,atlas,44
12248,某处,bir yerde,27
13190,人口,nüfus,15
7778,枪口,ağızlık,61
441,替补,proxenus,100
12936,港口,liman,18
8249,税收,vergi,24
2584,拥抱,sarılmak,62
11572,槊,lance,32
10754,雨果,hugo,39
7755,尤里卡,eureka,61
10699,绝对,mutlâk,23
10299,句法,sözdizimi,42
10411,道德,ahlaksız,32
11316,肩膀,omuz,31
5949,刺槐,akasya,69
9476,汉堡包,hamburger,38
8253,基辅,kiev,58
27,抑制,inhibe etmek,62
12934,弗雷德,fred,20
9466,尼亚加拉,niagara,49
8399,日落,gun batimi,56
5619,光谱学,spektroskopi,75
9136,悖论,paradoks,47
4666,点燃,tutuşmuş,56
10013,喜怒无常,kaprisli,45
7660,腰部,bel,56
347,邮差,postacı,100
1085,湮灭,yok etme,71
9127,番茄,domates,47
12908,瘢痕,yara izi,20
10949,动荡,huzursuzluk,38
4371,坏处,dezavantaj,67
4545,冰山,buzdağı,80
10346,温室,yeşil ev,42
8993,活结,slipknot,53
7835,懊恼,sinirli,31
3330,响尾蛇,çıngıraklı yılan,87
2329,学费,tuhaflık,91
3462,气雾剂,aerosol,82
11169,市,belediye,25
7422,陌生,tanıdık olmayan,62
13052,信仰,inanç,17
12131,候选人,aday,19
2462,修辞,retik,60
10197,少女,kızlık,42
13639,很遗憾,maalesef,12
8171,细菌,bakteri,58
10067,记者,gazeteciler,29
13934,然后,daha sonra,5
5505,配额,kota,68
5636,尊严,itibar,74
8197,缺席的,mevcut olmayan,58
5682,乳头,meme başı,69
10404,噪音,gürültü  ses,41
5369,反惯性,karşıcı,67
811,同i,ibid,98
10316,缓存,önbellek,38
10415,朱丽叶,juliet,42
11511,奶油,krem,33
13186,外国的,yabancı,16
631,未切割,kesilmemiş,99
10628,教学,öğretme,30
3466,发行人,ihraççı,86
1996,宝,baun,93
13219,道格拉斯,douglas,16
6374,暴跌,çökmek,58
2388,重新提交,yeniden tanıtılan,79
6662,斯明,smyth,68
13137,俄勒冈州,oregon,17
13512,王冠,taç,13
4466,奈赫鲁,nehru,81
14301,忧虑,kaygı,9
6746,家具,mobilya,67
10058,扣除,indirim,36
2461,托阿,toa,91
8337,郊区的,banliyö,57
8575,专政,diktatörlük,52
14210,优惠,teklifler,14
13277,叉,geçmek,12
9852,君主,hükümdar,38
9648,午餐,öğle yemeği,47
8723,杀手,slayter,54
667,可听,sesli,95
3286,神经,sinirler,52
11296,十五,onbeş,35
10758,七叶树,buckeyes,36
6019,占上风,hakim olmak,41
12114,薄荷,nane,26
6362,小猎犬,beagle,69
8937,长毛象,mamut,52
9703,尖叫,bağırmak,38
5825,放牧,sürü,67
8232,塞丽娜,sera,58
3833,北京,pekin,79
11878,波特兰,portland,30
784,克莱莫尔,claymore,97
4154,对冲,hedges,59
5840,胡言乱语,gibberish,73
6727,修补匠,tamircilik,65
986,袜带,jartiyer,94
6384,任意,keyfi olarak,70
13738,吉姆,jim,12
7968,微波,mikrodalga,60
7824,乌托邦,ütopya,61
9469,玉,yeşim,48
4813,搬迁,yerini değiştirmek,33
2687,烹饪,mutfakla ilgili,90
13840,我,ben,5
3742,蒙,moğolca,84
8702,推翻,devirmek,53
2666,号角,bugle,88
4491,歇斯底里,histeri,81
14331,德国,almanya,10
12140,啤酒,bira,27
7846,双年生,biennal,60
11602,字典,sözlük,31
1500,壮观,muhteşem olarak,95
6061,延长,uzun süreli,64
13746,过程,işlem,10
11906,短跑,sprint,28
8252,禾,vaka,58
14126,每一个,her,10
10916,铜,bakır,38
9913,柬埔寨,kamboçya,46
12367,疯狂,delilik,20
2912,饭店,lokanta,87
11122,颊,buccaneers,36
8479,沙拉,salata,56
4850,甜甜圈,tatlı çörek,75
6008,普通话,mandalina,72
7042,认证,belgelendirme,41
8869,臭名昭著,meşhur,50
2961,祖先,ata,69
8742,拆毁,yıkılmış,51
5037,不愉快,hoş olmayan,75
2050,弹头,savaş başlığı,77
14072,命令,emir,9
14479,团队,takım,7
5490,鸵鸟,devekuşu,74
6621,森林大火,bushfire,55
7958,prof,i̇çtenlikle,60
13611,蟋蟀,kriket,12
2872,弹性,esneklik,75
4671,不舒服,rahatsız,79
13725,常规的,düzenli,12
484,父母身份,ebeveynlik,99
12245,公主,prenses,26
8382,悲惨,trajik,51
2740,服从,itaat,86
8166,鳕鱼,morina,58
13754,上传,yüklemek,8
1438,五旬节,pentekost,68
12621,本国的,yerli,21
6259,宣扬,yeminli,71
663,厌倦,yorucu,97
12321,南斯拉夫,yugoslavya,26
3963,小子,velet,79
4633,狂躁,mani,80
1444,变音符号,diapritik,89
4828,rgen.,renget,79
14380,看法,görüş,6
9884,十八,onsekiz,46
11068,蛋,yumurta,34
4263,赫兹,hertz,83
5293,黛米,demi,76
4336,寓言,alegori,81
14082,圣,saniye,10
12587,格鲁,guru,23
10725,响,yüksek sesle,39
7130,加内特,garnet,65
8570,shad,tirsi balığı,56
3659,鼻孔,nostrum,85
6616,什鲁斯伯里,shrewsbury,68
5843,砂肌,zımpara,73
11353,比利时人,belçikalı,34
9948,左撇子,soluk,45
8715,赌博,kumar,41
7187,谣传,söylenti,32
12633,阴谋,arsa,21
13584,尺寸,boyut,12
13416,受欢迎的,popüler,13
486,so,yükseliş,70
1434,苏醒,uyanmak,93
10017,约翰内斯,johannes,45
12672,十二,on iki,22
2015,看不见,görünmeyen,93
9759,对话,diyalog,45
4470,白蛋白,albinizm,78
6286,碘,iyot,70
717,和平主义者,paspasist,95
13168,炸弹,bomba,10
2191,cold,daha soğuk,92
5899,羚羊,antilop,73
2036,哈洛,hallo,93
7162,v,veer,59
11284,市长,belediye başkanı,32
8408,温彻斯特,winchester,57
9224,全保证,tam geri,45
7160,梯队,ekel,62
4598,取代,yerini almak,73
7785,蝾,semender,61
11864,俚语,argo,30
12115,文化,kültürel,12
12710,唐纳德,donald,22
5920,修订,tekrar düzeltme yapmak,15
4957,云杉,ladin,77
6432,荧光,floresan,65
10783,寻求,arayan,24
7686,鲍登,bowden,62
3246,靛青,indigo,88
1100,哼,hum,93
11756,气候,iklim,30
13555,双倍的,çift,12
5371,masjid.,mescit,76
1022,救援人员,kurtarıcılar,97
14150,有能力的,hünerli,6
13451,电影,film,13
12667,全体人员,mürettebat,19
14517,西,batılı,10
11235,关闭,girmesini engellemek,22
1654,阴囊,skrotum,94
1325,叶绿素,klorofil,96
12793,较大,daha büyük,21
3099,劫持,kaçırmak,51
5868,狂喜,ecstasy,73
10356,幸存者,kurtulanlar,33
9763,臭氧,ozon,47
6921,猎犬,hound,61
1906,恶作剧,şakalar,61
1520,不道德的,etik dışı,95
12048,狼,kurt,28
6117,巨人,colossus,71
12488,无关,ilgisiz,24
6603,醚,eter,63
9636,惠特尼,whitney,48
61,抗沙林,antisubmarin,100
3106,基尔,kiel,88
8576,感激,minnettar,50
11976,皂盒,sabun kutusu,29
3549,节肢动物,eklem bacaklı,85
6493,腹部,karın,50
7742,合唱,koro,61
748,呼吸暂停,apne,98
7868,博茨瓦纳,botsvana,61
12126,十亿,milyar,27
13054,抓住,tutmak,12
13076,社会,toplum,17
12531,马洛奥,malo,24
5874,蛋白质,proteinler,30
11436,芦苇,reed,33
5589,酿造,demleme,42
9526,铀,uranyum,49
390,脊椎动物,omurgalı,91
12505,罗宾,robin,23
5914,剩余,fazlalık,73
10285,肉,et,42
9004,职业技术,politeknik,52
10086,袋鼠,kanguru,42
2325,男中音,bariton,91
6882,水痘,suçiçeği,67
11226,定影,sabitleme,9
1059,执法者,zorluk,28
11056,茶,çay,38
2900,愤怒地,öfkeyle,89
13661,中间,orta,12
14501,当局,yetkililer,9
7842,柯达,kodak,61
6239,ur,acemi,22
10289,阿米尔,amir,42
13538,遵守,uyma,13
11517,萌,moe,33
3932,发音,telaffuz,39
4704,静止,septa,80
4626,纽特,newt,80
11486,谢菲尔德,sheffield,33
2660,最富裕的,en zengin,90
4113,招待,tentis,83
10840,类固醇,steroid,37
13870,最多,en,8
13655,一般来说,genel olarak,8
12668,特里,terry,22
10403,污秽,pislik,42
13040,高级的,kıdemli,17
3440,棋圣,büyük usta,87
7620,一致,oybirliği,47
11008,大使馆,elçilik,35
1613,锡兰,ceylon,95
9351,巴厘岛,bali,50
9817,巫师,sihirbaz,32
12383,维护,bakım,25
11610,立陶宛,litvanya,32
8758,磁铁,mıknatıs,36
2098,黑色的水,siyah su,93
10473,王,dalga geçmek,41
13233,半,yarı,16
4594,prol,üretken,80
5229,里士斯,hazar,77
2722,海葵,anemon,89
5536,破解,çatlak,34
10868,纽波特,newport,38
2599,保镖,bodyguard,81
4121,铺砌,döşeli,62
5639,软盘,floppy,74
958,腹子,çölyak,97
10665,卡通片,karikatür,31
2260,格兰多,gringo,91
5546,帕莎,pasha,75
4426,官僚,bürokrasi,80
7101,发射机,verici,60
10574,海王星,neptün,40
9713,哥特,gotik,47
13268,7,7.,16
1392,征收,itiraz etme,96
9309,鲁宾,yedirmek,50
12519,哈塔尔,hadal,24
4575,毕思,biatlon,81
2968,搅动,çalkalama,69
749,肉类主义,botulizm,98
6717,赞誉,alkışlanmış,55
2397,违反体育道德,sportmenlik dışı,91
9478,法西斯主义,faşizm,49
12168,追赶,kovalamak,23
9209,蒙娜,mona,51
12977,天文台,gözlemevi,19
7828,三脚架,tripod,60
167,伊龙,tigon,100
799,狙击,snipes,81
5170,惹,kışkırtmak,51
6594,煤烟,kurum,69
1580,游牧民族,göçebe,79
7285,阿比盖尔,abigail,64
13917,总统,başkan,10
8876,过山车,coaster,52
10380,希拉里,hilar,38
11569,责备,suçlamak,24
10779,轴,eksen,39
9123,龙龙,dragoons,41
2502,佩勒姆,pelham,91
1621,聚苯乙烯,polistiren,95
13830,还,ayrıca,5
3559,乐观的,iyimser,81
1250,胜过,louder,96
7123,元,yuan,65
3942,泛滥,sömürülen,42
13914,存在,yapı,5
8919,珠穆朗玛峰,everest,53
9525,无家可归,evsiz,42
6322,精神分裂症,şizofreni,70
9386,保加利亚语,bulgarca,47
4442,嫉妒,imrenmek,80
7908,犹太思义,siyonizm,60
12426,牛奶,süt,25
7583,短打,sünnet,54
12904,蜘蛛,sığınak,20
12589,阿姆斯特朗,armstrong,23
10912,希伯来书,i̇branice,38
11388,杜鲁门,truman,34
4518,范例,paradigma,79
8255,福利,refah,58
6106,软管,hortum,69
994,斯拉夫斯,slavlar,89
12429,孤儿,yetinmiş,23
8002,里加,riga,60
1495,抗动性建立主义者主义,antidisestablisansitizm,95
11943,永恒的,kalıcı,22
8776,木乃伊,mumya,53
4167,盖格尔,geiger,83
14438,开始,başlayan,7
13240,密苏里州,missouri,16
11380,垂直的,dikey,31
6849,赫拉克斯,helak,67
2234,搭便车,otostopçu,85
10605,据称,iddiaya göre,40
10761,宠物,evcil hayvan,36
2909,橱柜,büfe,88
14309,个人的,kişisel,6
4705,矛头,zırhlı,62
10455,百事可乐,pepsi,41
9572,露西,lucy,48
12777,subst.,somun etmek,21
2172,兔子,tavşan,36
2583,善良,nezaket,13
8864,市郊,kenar mahalle,37
10928,谈判,müzakereler,26
494,夜间,gece vakti,99
2980,壁炉,şömine,87
12460,威尔顿,wilton,24
10742,流产,kürtaj,36
11000,嘴,ağız,35
7816,重新检查,yeniden kontrol etmek,61
254,置换,permütasyonlar,84
11505,应用,başvuru,21
11597,格拉斯哥,glasgow,32
2745,寒武纪,kambriyör,89
9793,火花,kıvılcım,32
2257,格子花呢,ekose,91
5646,原教旨主义者,kökten kimse,67
12832,经济的,ekonomik,18
5911,湖边,göl kenarı,73
1983,赶紧,çıngırak,93
10328,安排,düzenlemeler,20
13675,光,ışık,11
