ID,TURC,DEUTSCH,INTERVAL
12697,görev,aufgabe,18
3476,difosfat,diphosphat,88
5612,ergenlik,pubertät,77
3114,dalak,milz,88
1055,keşifler,entdecker,76
5815,dang,dengue.,76
7305,çıplaklık,nacktheit,67
13892,önce,vor,7
975,tetiklemek,aufstacheln,67
5885,askıya almak,aussetzen,27
3983,toprağa bağlı,earthbound.,86
2454,bastırılmış,gedämpft,82
11480,kafalar,köpfe,11
8344,devlet çapında,staatlich.,61
962,nergis,narzisse,98
2622,savaş gemileri,schlachtschiffe,62
12871,defetmek,def.,24
12227,doğum,geburt,16
11867,ilaç,medizin,33
1406,gecikmiş,verspätet,96
8667,fildişi,elfenbein,59
12869,fl,flotte,24
10079,tarımsal,landwirtschaftlich,34
10725,yüksek sesle,laut,43
12560,meç,strähne,27
10496,içtenlikle,mit freundlichen grüßen,39
10958,kalıntılar,reste,36
6590,moloz,schutt,72
14353,tanımlanmış,beschrieben,12
537,fes,fez.,99
1278,istifleme,stapeln,56
8075,sünger,schwamm,62
10701,parlak,glänzend,43
9898,kargo,ladung,49
14420,adlandırılmış,genannt,7
2652,sığırcık,star,92
5769,tutarlı,kohärent,68
10130,zeki,intelligent,21
7419,başarılar,errungenschaften,36
1088,kadınsı,feminin,96
13107,drama,theater,21
10510,doğrusal,linear,44
7437,slovak,slowakisch,64
9236,utanç,schande,51
11343,report,erneut veröffentlichen,38
5638,lounge,salon,74
5651,ozmoz,osmose,77
7247,kükreyen,brüllend,54
4189,fleury,feium,85
11840,reklam panosu,anschlagtafel,34
1845,bown,geboten,95
12327,silâh,waffe,18
4732,duyarlılık,empfindlichkeit,44
7285,abigail,abseits,67
13906,her biri,jede,9
8931,çocukluk,kindheit,57
1443,cest,mitten,96
2891,su altında kalmış,überschwemmt,80
1514,uyanıklık,wachsamkeit,66
7775,antoni,antastisch,64
8990,ipucu,hinweis,47
8583,engizisyon mahkemesi,inquisition,59
13810,bt,es,5
9448,amfibi,amphibisch,53
11072,çalınmak,gestohlen,41
2494,dayanmak,standhalten,89
10959,geri bildirim,feedback,41
12291,aşırı,extrem,20
12845,yakıt,kraftstoff,24
14155,ingiliz,britisch,11
7146,sığ,seicht,66
12488,ilgisiz,nicht verwandt,28
12781,oturum  toplantı  celse,sitzung,22
2241,belsoğukluk,tripper,93
2305,karboksilaz,carboxylase,93
3720,belâ,subbeachin.,87
12001,paralı,bezahlt,33
11169,belediye,gemeinde,30
14311,okul,schule,7
13438,edebiyat,literatur,17
163,frekans,freq.,100
13305,paragraf,absatz,17
13828,hakkında,um,5
2967,maskeli,maskiert,42
7373,gizlilik,eingeweiht,67
5082,hizmetçi,knecht,62
8142,değişken,abwechslungsreich,25
5501,brunt,brunken,78
7805,ilkel,primitive,62
1446,abbr,abbrunde,96
5582,bir gün,irgendwann mal,77
13878,bu yüzden,also,6
2961,ata,vorfahr,72
14118,verilen,gegeben,12
4498,hipertansiyon,hypertonie,83
6905,lehçe,dialekt,54
687,fizikçiler,physiker,62
13884,üç,drei,8
5326,recap,rekapitulieren,65
4077,bünye,bereifer,83
13618,sohbet etmek,plaudern,15
12503,kahraman,held,23
13338,mm,in mm,19
8868,tarafsız,unparteilich,57
10444,jeoloji,geologie,38
2222,tarçın,zimt,93
1628,iğne deliği,pinloch,96
3559,iyimser,optimistisch,83
9942,kendini,sie selbst,49
6065,öfke,empörung,57
7280,dev,anwenden,67
9396,çit,zaun,43
2489,hermafrodit,zwitter,92
2423,habersilik,berichtenswert,92
6211,ters tepki,rückschlag,74
7023,halı,teppich,67
6650,kullanılabilir,verwendbar,68
1370,urb,urbisch,97
2402,psikiyatri,psychiatrie,93
2451,güldü,gelacht,43
13677,kopyalamak,duplikat,13
11834,yetersiz,unzureichend,33
13456,istenmeyen,unerwünscht,17
13973,isminde,angerufen,9
7891,rampa,amoklauf,62
9024,dioksit,dioxid,57
13871,kullanmak,verwenden,5
7721,kıyamet,apokalypse,64
9811,masal,erzählungen,35
4811,yanlış beyan etme,falsche darstellung,79
6608,okumuş,unschule,71
6233,birmanya,birmanisch,74
11464,şehir merkezi,innenstadt,38
7742,koro,chor,64
5763,yer değiştirme,verschiebung,46
13047,filipinler,philippinen,17
8942,yıkıcı,zerstörerisch,43
13768,kendisi,selbst,13
2386,karşı kültür,gegenkultur.,93
7363,dış alan,außenfeld,19
10354,mezunlar,alumni,46
7792,uymak,einhalten,36
11346,arnavutluk,albanien,38
4893,en kolay,einfachste,81
9044,peygamber,prophet,51
5112,serseri,serin,80
2120,chitty,kittchen,94
1196,dama,damme.,98
5647,aşağılık,gemein,77
10,güneş yıldızı,sonnenstern,100
12613,aff,afd.,27
12082,düzensizlik,störung,31
8330,gündoğumu,sonnenaufgang,61
1929,safra,galle,95
9148,durdurmak,halt,41
6982,daha yumuşak,weicher,69
5891,dinozorlar,dinosaurier,55
2960,taviz,konzession,69
13773,ihtisas,domain,13
4820,selefler,vorgänger,50
12476,saygın,seriös,24
10202,şükran günü,das erntedankfest,47
12866,ca,zapfen,24
11742,imparator,kaiser,34
5830,makat,verschluss,62
9368,kendimizi,uns selbst,54
12889,kalp,herz,19
12544,mektup,buchstabe,22
14042,duyurulmuş,angekündigt,14
2638,okçular,bogenschützen,62
12846,teçhizat,ausrüstung,19
9416,çarpitilmis,schief,51
14259,yönetim,verwaltung,7
8805,senfoni,symphonie,57
14116,haziran,juni,6
11579,sonik,schall-,36
7414,dolaylı,indirekt,66
5053,baskın,baskisch,78
14201,ekran,bildschirm,23
13818,olumsuz,nicht,5
12749,öğleden sonra,pm,26
13328,topçu,artillerie,19
7411,letonyalı,lettisch,65
9563,lg,lzern,52
1762,aralıklı,wechselnd,86
3387,yazıtlar,inschriften,71
7187,söylenti,geschwommen,36
13289,olay,vorfall,17
5178,durmaksızın,nonstop.,80
13650,yasal,gesetzlich,10
14383,teklif,vorschlag,12
11984,şeker,zucker,33
709,yenmek,halsohle,88
1474,bilner,bilby,96
13975,ikinci,zweite,8
14346,reklam,kommerziell,11
4718,nem,feuchtigkeit,82
5706,iç çekmek,seufzen,74
10572,kızgınlık,zorn,41
12030,ifade etmek,phrase,27
13577,genç,jung,16
8587,özgecilik,altruismus,59
8613,dinlemek,hörensagen,59
618,kazançlı,lukrativ,99
7391,huzur içinde yatsın,ruhe in frieden,48
5528,fasulyeler,bohnen,38
8308,naziler,nazis,29
8126,imza,autogramm,56
8633,mors,walross,59
4792,oksidan,oxidationsmittel,44
5128,duchy,herzogtum,77
11101,saf,rein,34
8056,fareler,mäuse,62
4676,oriol,pirol,36
1804,çıta,daube,78
10396,en erken,früheste,46
5252,iğneleyici söz,sarkasmus,79
14025,benim,mein,6
10798,melon,bowler,33
6507,casusluk,spionage,72
7210,değişmez,wörtlich,40
6887,fandom,fangemeinde,70
12684,komünist,kommunistisch,25
7055,saç tokası,haarnadel,68
11857,cihaz,gerät,28
8574,çakmak,feuerzeug,58
7311,dtt,dt.,65
6177,büyük ayaklar,bigfoot,74
12219,ses,audio-,31
13394,devrim,revolution,18
6180,boşluk,stellenangebote,68
14304,düşmek,fallen,14
2261,işıltılı,strahlend,93
11018,kelt,keltisch,41
8281,set,sears,59
4774,narenciye,zitruszitrus,82
7212,tartmak,wiegen,50
10710,düzine,dutzend,33
4752,audacity,unverfrorenheit,82
7153,boşanmak,scheiden lassen,62
8015,haham,rabbi,62
14437,ayırmak,separate,16
9074,dağınık,verstreut,50
12949,uygun,geeignet,16
13393,birleşmek,trifft,12
10671,kanlı,blutig,43
5052,pejorative,abwertend,78
1273,değerli taş,edelstein,90
8892,concord,eintracht,56
8339,zulüm,verfolgung,56
12054,kuklalar,puppen,27
8602,yüzyıl,hundertjährig,57
4721,sezon ortası,mittelsaison.,82
5346,krom,chrom,79
3600,endişeli,ängstlich,88
8847,zodyak,tierkreis,58
5600,lest,damit nicht,63
10579,colt,fohlen,25
10537,ikinci olarak,zweitens,45
9469,yeşim,jade,52
1991,eskiden kimse,midast,95
2495,debby,debbone,67
5805,yönlendirilmiş,abgelenkt,63
12365,inci,perle,29
11380,dikey,vertikal,35
10775,bağlılık,zugehörigkeit,11
5280,üst taraf,auf dem kopf,79
887,eksiklikler,defizite,37
3362,saplamak,stängel,43
3304,analitik,analytisch,71
2247,değerlik,wertigkeit,93
6194,uğramak,durchmachen,52
1840,yeniden şekillendirilmiş,zurückgehalten,88
12185,atlamak,hop,31
12142,kaçmak,flucht,26
13803,olmak,sei,5
9295,elemek,beseitigen,19
6833,fiil,verspüren,66
6344,çırak,lehrling,72
14127,puan,punkte,7
5925,yağmurlu,regnerisch,76
14309,kişisel,persönlich,6
11482,devrimci,revolutionär,36
4061,balonlar,ballons,45
4636,yeşilbaş,stockente,82
13011,yoksul,arm,23
6396,öncül,prämisse,55
3496,geriye dönük,rückwirkend,79
5232,doğal,spontan,73
5282,kelime bilgisi,wortschatz,79
10387,airmen,flugzeuge,46
14491,satın almak,kaufen,30
3707,güneş gözlüğü,sonnenbrille,87
4026,yörünge,flugbahn,77
9852,hükümdar,monarch,41
6437,zanaatkâr,handwerker,73
8188,uyuşuk,sanftmütig,62
14317,dahil olmuş,beteiligt,11
6783,markalar,marken,63
8407,ibne,fagot,57
2599,bodyguard,leibwächter,83
11052,köle,sklave,35
5618,fide,fife.,77
12357,kurumlar,institutionen,7
9694,maskotu,maskottchen,47
1248,kulis,hinter den kulissen,97
10257,avuç içi,palme,43
11109,yüzme,baden,37
5355,fan,phane,79
410,booger,popel,99
7613,onursal,ehrenamtlich,65
8514,charlemagne,karl der große,60
3585,alın,stirn,87
1815,biyomedikal,biomedizin,95
13988,faiz,interesse,9
9817,sihirbaz,magier,36
13553,gözü pek,deutlich,16
6468,uğursuz,sinister,73
14165,şehir,stadt,9
7455,müzik seti,stereo,66
12731,mükemmel,perfekt,25
5023,saat yönünde,im uhrzeigersinn,81
5073,kısıtlamalar,einschränkungen,75
7630,dünya dışı,außerirdisch,63
9052,ateizm,atheismus,56
6864,çaba göstermek,sich bemühen,60
5157,dudaklar,lippen,62
2008,zarf,adverb,92
2518,öççilik,euphemismus,88
5106,inanılmaz,nicht zu glauben,74
11239,nesir,prosa,39
14195,yerine,eher,7
4914,cahil,cav.,81
7592,açıkça,offensichtlich,12
9101,fişek,flanke,49
9298,müşteri,klient,45
2746,sınır dışı etme,abschiebung,67
7912,lanet,sankder,63
12363,doğru şekilde,korrekt,30
4089,yapışkan,klebrig,86
10601,ikna edilmiş,überzeugt,33
3418,ormancılık,forstwirtschaft,88
4494,en zorlu,härteste,83
2580,afel,aphelion,92
3419,kavun,melone,88
8322,hile yapmak,chow,61
460,bağımlılık yapan,süchtig machend,27
5153,menet,bedrohung,72
10627,ortaya çıkartmak,verraten,25
230,alt grup,untergruppe,93
8841,bütünlük,gesamtheit,58
1117,cüruf,schlacke,94
3288,kurtarma,bergung,69
8691,gündüz,tageszeit,58
13745,devre kartı,planke,13
5115,insansı,humanoid,78
12237,coğrafya,erdkunde,31
13512,taç,krone,16
12742,silâhlı,bewaffnet,16
5319,arılar,bienen,38
4228,cıvıl,chirps,81
2625,koronluk,krönung,65
9865,prensipler,prinzipien,32
13762,gece,nacht,13
6410,söyleme,diskurs,72
2447,yanlışlıkla,versehentlich,25
6213,alaşım,legierung,68
11526,mesele,affäre,25
8038,fosfor,phosphor,62
13221,direkt olarak,direkt,20
13837,sen,du,5
5575,emilim,absorption,76
1542,savent,gelehrter,96
13226,ileri,nach vorne,11
1769,yeniden sınıflandırılmış,umklassifiziert,89
13352,kurul,ausschuss,18
10955,devre dışı bırakılmış,deaktiviert,38
6247,hayır ben,nicht ich,73
3399,sökülmüş,demontiert,74
4946,yinelenen,wiederholt.,61
9485,çocukça,kindisch,52
2264,mağara adamı,höhlenmensch,93
4233,hata,irren,84
4464,avrasyacı,eurasian,83
4883,ono,oh nein,81
11100,sansür,zensur,40
12680,con,kessel,22
9444,kükürt,schwefel,50
11821,sekans,reihenfolge,31
3592,yastık,kopfkissen,82
7634,trombon,posaune,64
8666,plato,plateau,58
2769,eklemek,addis,91
2519,en yoğun,belebt,92
11922,parçalar,stücke,21
1735,düzeltmek,beheben,71
11943,kalıcı,dauerhaft,27
12928,kan,blut,23
2844,martı,papageientaucher,90
14052,daha iyi,besser,12
1803,sığır çobanı,kuhhiler,95
11698,iptal edildi,abgebrochen,28
13417,adı geçen,erwähnt,12
7060,boru hattı,pipeline,65
11328,mor,violett,38
11556,tuz,salz,35
13540,özellikle de,insbesondere,16
11487,savunmak,verteidigen,17
2937,zararlı,schädlich,81
12507,brunswick,braunschweig,28
4750,kamboçyalı,kambodschanisch,79
8745,i̇ncil,biblisch,58
744,şehir dışı,state.,99
1356,glenwood,glenholz,97
2303,sapma,ablenkung,64
2046,olimpiyatçılar,olympier,80
7469,fuar,messe,48
5366,dışa dönük,aufgeschlossen,79
2316,aksiyomlar,axiome,77
14340,reddetti,abgelehnt,17
11017,kuzgun,rabe,31
9810,okyanusya,ozeanien,50
11713,şakacı,jake.,35
1874,virüsler,viren,95
3980,bitişik,angrenzend.,85
4922,hove,heben,81
1513,uymamak,untauglich,91
8512,turşu,tourette,60
2254,öncesi niteliğinde,prequel,93
1238,hipotezler,hypothesen,83
14229,saat,std.,10
14172,kodlamak,code,15
504,mimariler,architekturen,19
6657,malay,malaiisch,63
12464,afiş,poster,27
13796,içinde,in,5
5482,kundakçılık,brandstiftung,77
10404,gürültü  ses,lärm,45
9950,öncü,pionier,40
12878,türleri,arten,8
5716,erkek torun,enkel,75
10446,savaş alanı,schlachtfeld,45
8639,sokmak,stachel,58
7259,tamamlayıcı,ergänzen,62
9846,bisiklet,fahrrad,44
10834,turizm,tourismus,42
9564,yara,wunde,21
7007,vatoz,stachelrochen,66
11230,bütçe,budget,38
10832,genel bakış,überblick,42
6319,aşırılık yanlısı,extremist,62
10424,tehdit edici,bedrohlich,28
278,fuar alanları,messegelände,99
14038,bay,herr,12
13780,y,y.,13
5877,itibarsızlık,diskreditieren,60
9986,soytarı,narr,47
11848,onay,die genehmigung,22
10163,iletişim,kommunizieren,9
9080,namaz,gebet,50
9365,jeopary,gefahr,54
14305,hava,luft,9
5515,reklâm,inserat,64
13161,kesinlikle,bestimmt,21
1521,başvurmak,zurückgreifen,96
6269,karbonhidrat,kohlenhydrat,73
5227,fetişizm,fetischismus,69
13406,vadi,schlucht,18
10311,dikkatsizce,unsalvage,46
11974,önemli ölçüde,bedeutend,33
11093,top,kanone,38
13234,sevgili,sehr geehrter,20
1688,kerevit,flusskrebs,96
5871,yaralamak,wägh,76
1351,bağnazlık,fanatismus,97
6121,acımak,das mitleid,68
7525,kırıcı,becher,54
3072,badem,mandel,88
10118,ha,huh,48
3034,kibar,zitierbar,90
4317,kulüp binası,clubhaus,83
2676,devrilmiş,gestürzt,92
13933,aynı,dasselbe,10
12832,ekonomik,wirtschaftlich.,21
13712,doğrulanabilir,überprüfbar,10
6922,çiş,sperre,69
13918,paylaşmak,aktie,7
3088,blender,mixer,89
5843,zımpara,schmirgel,76
8562,hamlet,weiler,58
7097,mini dizi,miniserie,69
13584,boyut,größe,15
13397,kedi,katze,17
9771,lif,ballaststoff,50
13018,cumartesi,samstag,22
10908,grove,hain,40
11994,genişletilmiş,erweitert,20
5380,kasvetli,düster,78
2314,sevinmek,jubeln,88
851,avukat keeper,wicketkeeper,99
5486,isaiyah,jesaja.,78
9222,sineklik,straususs,55
10383,resmi olmayan,inoffiziell,43
12718,gang,govern,26
8721,manevi,spirituell,51
2014,cazip,verlockend,69
9907,dava açmak,verklagt,27
5505,kota,quote,72
4283,akrepler,skorpions,50
12401,değerli,wertvoll,29
8779,scarlet,scharlachrot,57
209,litosfer,lithosphäre,100
12281,yavaş yavaş,langsam,31
13565,doldurmak,füllen,14
14053,batı,west,10
355,yeniden doğmak,wiedergeboren,100
6143,asur,assyrisch,69
10952,duyuru,bekanntmachung,14
12852,orman,wald,23
9477,kaplamak,clinch,28
2448,çağrılan,aufgerufen,73
12406,şişman,fett,28
13777,ispanya,spanien,13
12737,mülteci,müller,26
7067,düzensiz,irregulär,49
10036,etiketsiz,ungewagert,48
7506,cizvit,jesuit,64
5693,tatlı su,süßwasser,77
14307,almanca,deutsch,12
3384,uyumsuz,unvereinbar,83
10957,yüzükler,ringe,21
9904,temasa geçme,kontaktiert,6
13529,geniş,breit,14
12576,keçe,gefühlt,28
6698,deze,deich,67
475,ihmal etmek,auslässt.,50
2039,bankacı,banker,86
12402,çekim,schießen,24
7741,konferans salonu,auditorium,64
13358,kış mevsimi,winter,18
12565,ispat et,beweisen,18
11457,baltık,baltisch,38
10977,kaba,rauh,38
2795,böğürtlen,brombeere,91
5778,yaramaz,frech,76
12739,duymak,hören,21
8766,haçlı,kreuzfahrer,32
14377,sokak,straße,12
6803,polman,pollard,70
549,mucizevi,wunder-,86
1790,cirmak,einkräftig,95
13179,suç,vergehen,12
11747,yirminci,zwanzigeth.,35
9255,pisagorlar,pythagoras,55
11762,kapüşon,kapuze,34
12743,maksimum,max,26
11367,çikolata,schokolade,38
5188,yaprak dökmeyen,immergrün,80
13730,i̇spanyol,spanisch,14
6155,sörfçü,surfer,64
9463,coe,kocher,53
6325,üstlenmek,unternommen,74
10140,ikna etmek,duo,48
4586,yürür,besuchen,82
3884,fowl,geflügel,86
10792,sevilen,geliebte,43
13754,yüklemek,hochladen,9
6919,raptor,raubvogel,51
11816,sahtecilik,fälschung,32
13366,tanılama,identifikation,18
8259,fosilleşmiş,versteinert,62
8984,iyileştirmek,rekrutieren,28
1933,marauder,rumtreiber,83
6817,nimet,segen,70
9621,meclis,stadtrat,50
8218,olağanüstü,außergewöhnlich,17
3451,yonca,kleeblatt,70
12037,şapşal,albern,29
14366,yedi,sieben,12
1608,yatay olarak,horizontal,61
13838,yeni,neu,7
6852,demobilleşme,demobilisierung,58
348,deval,abgewandt,97
6200,labirent,matze,73
10678,söz vermek,versprechen,29
9577,ülke çapında,landesweit.,52
12675,ayrı ayrı,ein teil,24
13372,kendim,ich selbst,18
14133,hayat,leben,12
1594,gelişen,sich entwickeln,40
11925,şarj edilmiş,berechnet,18
865,fosfodiesteraz,phosphodiesterase.,98
11585,sıcaklık,temperatur,29
8579,dem,darm,59
1571,belgesiz,undokumentiert,96
8348,takdir edilmemiş,unbegründet,61
10290,sivil,bürgerlich,46
357,taslaklar,entwürfe,96
3696,poç,prog,86
2730,bileme,schleifend,71
3872,ismini veren,gleichnamig,86
1253,cilalı,poliert,25
13763,şiddetle,stark,13
16,manik,manisch,99
520,hesapsız,unberücksichtigt,96
10153,çam,kiefer,45
1149,tavla,backgammon,98
6990,harçlar,mörser,44
8073,karaya,an land,62
12717,göndermek,schicken,19
11554,denge,balance,29
8049,toplanmak,aufbringen,29
3330,çıngıraklı yılan,klapperschlange,88
4286,paganizm,heidentum,69
9671,yerine getirilmiştir,erfüllt,41
10506,bu gece,heute abend,45
13174,bazen,manchmal,19
12395,toz,staub,29
1563,okyanusyacı,ozeanisch,96
2773,damlama,rinnsal,86
11469,bilet,fahrkarte,32
6885,bobin,bubyer,70
2238,carfax,sarfach,93
8970,convoy,konvoi,51
4046,adaletsizlik,ungerechtigkeit,81
3445,kalite testi,benchmark,82
11951,nüfus sayımı,volkszählung,33
4442,imrenmek,der neid,83
10796,budizm,buddhismus,43
7759,meyilli,teig,44
6250,boğulma,ertrinken,54
6669,karıştırmak,gerangel,55
647,dalkavuk,dalles,99
4930,gözlük,brille,78
4282,mülayim,fade,84
13936,bizim,unser,5
12141,düşünceler,gedanken,13
4622,yamyamlık,kannibalismus,67
3140,seramik,keramisch,82
3081,çıkarmak,subtrahieren,65
6846,ik,ich k,70
14257,ağlar,netzwerke,10
12157,açıklık,lücke,30
6534,kanepe,couch,69
1708,coveted,begehrt,93
3301,şahsiyet,persona,82
12267,nefret,hassen,28
690,gez,nachsicht,99
5775,bölenler,divisors.,72
1138,hav,habe,98
8327,oryantasyon,orientierung,37
9901,gebelik,schwangerschaft,49
3766,çamurlu,lächerlich,86
14306,piyasaya sürülmüş,freigegeben,10
14331,almanya,deutschland,12
12426,süt,milch,29
4945,sınırsız,uneingeschränkt,81
2843,ecb,ezb,90
3352,perme,dauerwelle,88
13225,düşmüş,ist hingefallen,20
10264,mağazalar,shops,28
9751,iddiası,anklage,45
8609,tapınak,schrein,55
7560,vaftiz babası,pate,64
11414,yağma,überfallen,30
568,geçişçilik,transvestismus,99
12783,stüdyo,studio,21
9793,kıvılcım,funke,36
3905,onaylama,ratifizierung,86
14036,ev,heim,9
8687,acımasız,grimmig,59
2259,fiberglas,glasfaser,93
14030,versiyon,ausführung,10
2761,nefretsiz,haslose,91
4004,fobi,phobie,86
4073,mektupcu,letterman,86
8607,ezmek,zerkleinern,41
9441,anlaşmazlıklar,unstimmigkeiten,40
11337,bok,scheisse,38
6271,hassas,verletzlich,67
2908,yenidoğan,neonatal,89
9645,çuval,sack,28
69,din adamları,kleriker,72
918,kabataslak,skizzenhaft,98
8257,yaban hayatı,tierwelt,62
7120,mancınık,trebuchet,68
12911,müze,museum,23
13276,hava durumu,wetter,19
7990,şampanya,champagner,63
9896,slogan,motto,47
13359,alıntı,zitiert,9
7892,müttefik,verbündete,22
7851,cezalandırılmış,bestraft,54
11918,direk,dolch,34
722,maggot,made,96
12583,çukur,grube,21
1106,kırılmamış,ungebrochen,98
2918,koza,boll.,84
3177,öksürük,husten,83
7995,tulum,jumper,60
11258,domuz,schwein,34
11415,makedonya,mazedonien,38
13162,ardışık,aufeinanderfolgenden,20
3531,sulak alan,feuchtgebiet,83
2531,ispanyol şarabı,sherry,92
2118,çaresizlik,verzweifeln,89
4761,helis,wendel,82
8050,jöle,gelee,62
12693,fare,maus,26
9756,insanlık,menschheit,51
2022,yer tutucu,platzhalter,94
11413,yuvarlanma,rollend,22
8898,düğmeler,tasten,8
5131,folik,filisch,80
14405,ekim,oktober,6
6497,taksim,archipel,72
12977,gözlemevi,observatorium,23
4598,yerini almak,ersetzt.,76
13858,birinci,erste,7
2833,goblen,tapisserie,90
11672,hidrojen,wasserstoff,35
2824,yünlü,wollig,90
2612,alt yazı,untertitel,75
2045,dönel kavşak,kreisel,94
8128,kullanım dışı,nicht verfügbar,61
9508,öfkelenmek,wut,45
3070,çağrıştırma,konnotationen,67
2584,sarılmak,umarmung,65
5276,bak,achtung,79
6528,dozlar,dosen,53
9014,aydınlatılmış,zündete,55
6023,havlu,handtuch,71
102,baskı yapımı,printmaking,100
1232,bromür,bromid,96
9738,sessizlik,schweigen,46
11793,bildirmek,benachrichtigen,31
12084,bestelenen,zusammengesetzt,26
8485,taş duvar,steinwand,59
269,dik,aufrecht,52
11826,hoşçakal,tschüss,33
12206,ingilizce,ing,31
5195,titrek,wackelig,79
1072,hazineler,schätze,52
1300,ergen,jugendlicher,66
2899,devredilen,entwaffnet,62
7431,doiz,dee,64
9540,kısa vadeli,shortstop,52
9288,sabit,stetig,53
11993,geçersiz,ungültig,32
13188,çocuklar,kinder,20
8977,keskin nisanci,scharfschütze,53
303,scion,spross,98
14135,doz,dos,5
