ID,TURC,PORTUGAIS,INTERVAL
7260,testis,testículo,65
2660,en zengin,richest.,92
7538,fix,whisp.,66
5630,dikkat çekici,notavelmente,29
1563,okyanusyacı,oceanian,96
2649,bordo,borgonha,92
14286,miktar,quantia,8
5431,kantlamak,kilt.,78
12661,boğa,touro,21
4094,ufacık,wiener.,84
13940,içermek,incluindo,7
118,girişimcilik,empreendedorismo.,100
13706,beklenen,esperado,12
14474,eğitim,treinamento,12
2684,lacivert,ultramarina,92
3038,kekik,tomilho,90
9540,kısa vadeli,shortstop.,52
9377,sedir,cedro,52
10665,karikatür,desenho animado,36
10917,teslimat,entrega,38
8400,yıldız gemisi,starcraft.,61
13746,işlem,processar,12
10628,öğretme,ensino,35
14428,destekler,apoia,10
8768,menü,cardápio,57
8923,patlamış mısır,pipoca,58
13514,mil,milhas,14
12131,aday,candidato,24
4931,mutlu bir şekilde,alegremente,82
13765,gürcistan,geórgia,13
11704,küre,globo,36
13487,kilise,igreja,16
10129,gerçekleştirilmiş,percebi,28
9597,çalmak,rouba,37
9262,güreşçi,wrestler.,48
5230,vortex,vórtice,80
10783,arayan,buscando,29
370,tüylü,cingular,100
11965,demet,monte,33
8465,kronik,crônica,60
13300,kabarık,criado,16
6535,beyhude,fútil,63
4110,ateist,ateu,70
11030,ön hazırlık,preliminares,41
12535,saldırmak,assalto,26
6181,besim,bess,75
12689,genişleme,expansão,26
2050,savaş başlığı,ogiva,80
13780,y,y.,13
2627,reçine,resina,83
13160,küresel,global,19
7263,backstreet,rua de trás,68
4389,geri alınamaz bir şekilde,irrevogavelmente,83
4835,oğlak,capricórnio,82
6924,mandıra,laticínios,70
60,yükleme yükü,payload.,98
12000,pembe,cor de rosa,33
7234,subdolous,subdólido,68
3389,yağlar,óleos.,20
3872,ismini veren,epônimo,86
7459,ahmak,ahoy.,67
5767,işaret,baliza,75
1084,önceden belirlenmiş,estipulado,82
2388,yeniden tanıtılan,reintroduzido,82
10095,kesinti,redução,47
234,sırıtış,sorriso,93
12764,en kötüsü,pior,26
2554,stetoskop,estetoscópio,93
11924,cinsel olarak,sexualmente,21
3805,ehlileştirmek,domar,74
50,akraba,acoladas.,91
5212,şeref,honrafics.,73
7494,lodge,apresentar,57
7099,ihanet,traição,67
11758,ısınma,aquecimento,28
2401,ihlaller,infrações,82
11094,paskalya,páscoa,41
9713,gotik,gótico,52
2194,codex,códice,94
2135,tespih,rosário,94
12336,göçmenlik,imigração,26
2718,ay ışığı,luar,89
10911,köpekler,cães,10
6419,doruk,clímax,71
2847,kolaj,colagem,90
12098,tutucu,conservador,26
8356,gerilmek,tensão,52
10082,yunus,golfinho,30
9185,tanrıça,deusa,54
12282,deli,louco,31
12018,yarımada,península,33
6299,yaşadığı,habitado,42
8476,forge,forja,50
4763,kereste,madeira serrada,82
5969,lizzyon,lizzie.,76
12160,seferlik,expedicionário,32
9399,isimsiz,sem nome,54
2773,damlama,gotejamento,87
4908,plansız,não programado,82
5450,ziyaretçi,visitante,11
9535,ertelenen,adiado,48
13461,daha kısa,mais curta,17
8126,imza,autógrafo,56
9949,çevrili,cercado,29
14340,reddetti,recusou,17
11759,piskopos,bispo,34
12522,yanıltıcı,errôneo,28
2261,işıltılı,radiante,94
8195,varyantlar,variantes,46
9071,hırvat,croata,57
10305,exodus,êxodo,47
8316,dondurulmuş,congeladas,62
3224,terkedilmiş,desmilitarizado,87
7283,carom,carambola,67
398,boş zaman,spacetime.,100
4713,yontmak,chipper.,83
13067,abi,irmão,15
10849,bağlı olarak,dependendo do,28
13787,ölüm,morte,11
12481,bardak,vidro,27
656,sporadik olarak,esporadicamente,70
169,diss,dissólio,100
7722,yukaphane,suástica,64
5207,saplama,perseguindo,50
13010,yakalanmış,apanhado,23
11649,hak ediyor,merece,28
4897,confucius,confúcio.,82
1730,redone,refeito,95
9599,boom,estrondo,50
1504,kayık,caiaque,94
12470,palto,punt.,26
295,coşku,crux,100
12335,ace,ás,27
5173,boş vakit,lazer,79
2059,doğuda,eastbound,94
1862,regl,régio,93
10719,görünüş,visão,37
215,pump,mortalha,100
13551,anlamına gelen,significou,16
12395,toz,pó,30
2927,pireneler,pirinéus.,91
6182,ıspanak,espinafre,75
13044,önem,significado,12
333,hıçkırık,soluço,98
9193,avantajlar,vantagens,23
9996,istikrarlı bir şekilde,firmemente,50
3999,arcadian,árcade,78
5976,can sıkıntısı,tédio,76
14046,biraz,pequeno,12
4416,saldırı,ondaught.,84
13524,eko,eco,16
297,üs,expoente,91
10588,zımba,sanders.,42
7779,şişmanlık,flatulência,64
5843,zımpara,esmeril,77
4566,adım,passo,79
2683,kaporta,carroçaria,91
10,güneş yıldızı,estrela solar,100
11226,sabitleme,fixação,11
5197,ayrık,discreto,62
10927,plastik,plástico,40
10928,müzakereler,negociações,31
5159,hileli,fraudulento,78
4589,ters,invertido,72
626,omurgasız,invertebrado.,99
12815,cumhuriyetçi,republicano,23
11406,şahin,falcão,22
6615,asılsız,infundado,72
8104,pics,fotos,40
2259,fiberglas,fibra de vidro,94
7388,memleket,cidade natal,67
1003,savaşçılar,warlords.,86
6198,amiral gemisi,flagship.,75
6519,skleroz,esclerose,73
2561,saraycı,stockman.,93
13023,sınır,fronteira,20
12221,olamaz,não poderia,32
10166,sponsorlu,patrocinadas,35
8703,keşfetmek,descobrir,10
9284,başarısız,mal sucedido,49
11833,takımyıldız,constelação,35
976,patavaklar,patriarcas,85
8486,sarılmış,envolto,43
3715,bulaşık makinesi,lava-louças,84
1187,refraksiyon,refração,86
12291,aşırı,extremo,21
11175,çete,multidão,38
13859,zaman,tempo,6
8721,manevi,espiritual,52
6533,savunuculuk,advocacia,73
5328,en önemlisi,acima de tudo,80
8156,cevher,minério,62
9036,topa vuran oyuncu,batedor,57
8604,akıllı,esperto,59
9747,oyun kurucular,quarterbacks.,17
275,i̇ber,ibérico,99
10543,anlaşıldı,entendido,45
13607,tarayıcı,navegador,15
14126,her,todo,12
13748,beyzbol,baseball,13
12348,el ilanı,folhetos,29
10883,ırkçı,racial,30
12537,kopya,cópias,12
12150,inançsız,sem fé,32
7962,bilimsel olarak,acadêmico,63
11072,çalınmak,roubado,41
8796,pusu,emboscada,51
1801,daha nazik,kinder.,95
10122,meydana gelmek,ocorre,13
7508,scişe,scaife.,67
10929,rıhtım,atracar,39
9375,ahtapot,polvo,54
4658,kaçınılmaz olarak,inevitavelmente,56
7523,gd,d d.,66
13036,attı,jogou,22
1743,ikna,persuasão,80
14013,sonuçlar,resultados,8
1610,varyans,variância.,95
12008,rulman,consequência,14
11908,olağan dışı,incomum,31
14125,yarım,metade,12
11345,yakıt ikmali,reabastecimento,37
4541,spor salonu,ginásio,82
9173,poz,exposição,54
5082,hizmetçi,servo,62
12365,inci,pérola,30
6570,yazarlık,autoria,73
3773,çok yönlü,versátil,81
11933,hava yolları,companhias aéreas.,30
14075,erişim,acesso,10
9553,brüksel,bruxelas,53
3286,sinirler,nervos,57
3865,melodik,melódico,86
0,niyet,intita,8
9031,klorür,cloreto,57
8969,uyumlu,compatível,53
3861,yanlış kanı,equívoco,69
11672,hidrojen,hidrogênio,36
3291,sakıncalı,censurável,88
2219,öngörülemeyen,imprevisível,90
4073,mektupcu,letterman.,86
10963,damga,carimbo,36
2114,adriyatik,adriático,94
10604,alışveriş,shopping,29
5019,kıvırcık,encaracolado,82
1827,kurşun geçirmez,a prova de balas,95
11239,nesir,prosa,40
7554,sebze,vegetal,54
13750,fırsat,oportunidade,13
10555,prusya,prussiano,45
2048,alt başlık,subposição,74
6480,kardiyak,cardíaco,73
12244,takmak,afixo,31
10353,ahbap,companheiro,45
9083,gökdelen,arranha-céu,53
13244,anlaştık mı,acordo,14
3381,minyatürler,miniaturas,65
14493,öyle gibi,parece,10
11516,kalın,largo,38
7643,vaha,oásis,65
13421,kasten,deliberadamente,8
1828,madeni para,cunhagem,95
1217,biyogaz,biogás,98
947,kümülüs,cumulus.,98
6445,balıkçıl,heron.,73
10641,rövanş,revanche,44
1548,kısa dalga,quarwave,96
4731,kütüphaneci,bibliotecário,78
13545,ifade,declaração,12
6211,ters tepki,folga,75
9871,isyancılar,insurgentes,38
3080,kusur bulmak,defeito,56
11875,felsefe,filosofia,34
12227,doğum,aniversário,16
14501,yetkililer,autoridades,10
4789,doğruluk,veracidade,83
4586,yürür,vitória fácil,83
14123,sonuç,resultado,8
14353,tanımlanmış,descrito,11
3127,duvak,véu,76
1106,kırılmamış,inteiro,98
7879,cober,crocker.,64
9346,ilan,proclamação,54
2912,lokanta,o jantar,88
8432,lityum,lítio,61
5085,brendi,conhaque,81
9720,iskelet,esqueleto,50
5863,yeniden yapılandırma,reestruturação,65
12857,tanım,definição,17
13999,astar,linha,10
10097,eskort,escolta,41
9029,sibirya,siberiano,56
12922,kanıt,prova,22
13936,bizim,nosso,5
7853,değişkenlik,varsity,64
1651,lordy,senhor.,96
64,üzüldü,entristecido,95
13384,kesmek,cortar,16
5406,sindirmek,digerir,58
2139,vâât,situação,94
751,tarot,tarô,99
6608,okumuş,unscharol,72
6195,kaniş,poodle,73
10526,esasen,substancialmente,24
11471,satmak,vender,25
1139,kaba herif,hoon.,98
3982,bulutlu,nublado,76
5814,güven,confiança.,77
2619,alıcılar,takers.,66
14167,aile,família,13
5280,üst taraf,parte de cima,80
13092,ceza,pena,18
13820,hangi,qual,6
9396,çit,cerca,44
10362,artışlar,aumenta,15
11169,belediye,município,30
3738,balıkçılar,pescadores,88
283,kapatmak,fechar-se,99
2585,kenar çubuğu,barra lateral,92
11338,sürmüş,dirigido,39
9922,bayan,sra,12
6288,merak,curiosidade,73
447,yaralanmamış,nuijado,100
9271,kask,capacete,48
13173,ikincil,secundário,21
12229,haksız,injustificado,31
11024,kıyı,costeiro,42
6149,rise,ressuscitado,75
9208,sent,centavos,31
3616,iç çamaşırı,roupa de baixo,82
4367,iyileştirme,redesenvolvimento,67
586,sansürsüz,sem censura,99
11148,indirmek,download,32
6714,kapanma,desligamento,30
8834,boz,grizzly.,51
7108,yanlış anlaşılmak,incompreendido,69
2103,gallik,gallup,94
2162,yanlış yorumlanmış,mal interpretado,77
6067,rüzgarlı,ventoso,76
28,kırınım,difração,100
12247,kostata,costa.,31
2587,içgörü,intuições,52
11451,ikiz,gêmeo,26
2625,koronluk,coroação,66
8852,maymunlar,macacos.,28
14486,özellik,recurso,11
265,akıl sağlığı,sanidade,100
12805,uçmak,mosca,15
30,gaf,torresmos,100
5642,amonyum,amônio,78
509,tarihsiz,sem data,99
12743,maksimum,max.,26
5679,hardal,mostarda,77
11533,meraklı,curioso,38
4684,stoklamak,paliçada,79
10916,bakır,cobre,42
1418,nadirlik,raridades,83
1299,açıklamalı,anotado,86
12050,dolandırmak,bode,30
12704,senatörler,senadores,17
6614,istediğin zaman,a qualquer momento,72
12685,havadan,airborne.,27
5873,ılımlı olarak,moderadamente,31
1913,torched,tocha,38
3136,halatçı,roper,89
1753,zenci,zênite,95
9264,sıkıntı,ordnance,55
13438,edebiyat,literatura,17
11475,hoparlör,palestrante,33
10273,varis,sucessor,46
2638,okçular,arqueiros,62
8954,rondan,ronde.,57
8088,taahhüt,prometido,48
658,kaybolmamış,existente,99
8648,güvenilir,confiável,29
3907,son derece,extremamente,87
668,tenekli,tênue.,99
9993,her yerde,em todos os lugares,50
9404,koz,trunfo,52
9782,bekliyor,pendente,51
5883,seçmenlik,constituinte,55
12095,koalisyon,aliança,32
7453,açılar,ângulos,38
2233,golfçüler,golfistas,75
14145,arama,chamar,9
8901,diş,dente,55
10403,pislik,sujeira,46
13062,kızlar,garotas,16
198,yolculuklar,voyageurs.,98
5718,nahoş,whig.,68
12153,tatmin etmek,satisfazer,19
3847,dokunaklı,touchback,87
12363,doğru şekilde,corretamente,30
12856,ajans,agência,20
3135,cerrahi,cirúrgico,88
14033,düşünmek,pensar,9
4255,artçı,retaguarda,85
7485,daha derine,deeper,67
5590,bozuk,mimado,56
9665,kurtarmak,recuperar,25
505,fırlamak,brotou,99
11687,pukâs,tabela de desempenho,36
14074,uzak,distante,9
11232,şiddetli,violento,38
12979,çeşit,ordenar,19
7011,eşik,limite,69
9648,öğle yemeği,almoço,52
6160,çekiş,tração,75
12809,rüşvet,rick.,25
12779,oto,auto,25
5583,reworded,reformulado,57
2327,madenci,mineiro,42
14121,yapımı,fazendo,5
9646,havai fişek,fogos de artifício,51
14026,binaen,de acordo com,11
13843,tümü,todos,7
1929,safra,bile.,95
3159,işadamları,empresários,90
4229,tutmak,interceptar,19
6701,tapınakçı,templário,71
12112,kuveyt,kuwait,33
9643,yargı,julgamento,50
7559,solucan,wormer.,66
7624,karar vermek,decreto,58
10406,tencere,panela,44
2519,en yoğun,mais ocupado,93
5128,duchy,ducado,78
4868,üniter,unitário,82
5893,havalandırmak,ventilação,66
10437,huzurlu,pacífico,18
495,gıdıklamak,cócegas,88
14208,alan,campo,9
6863,ideal olarak,idealmente,40
1169,alt tip,subtipo,95
14197,bitki,plantar,18
6536,cinas,trocadilho,69
7149,misyoner,missionário,61
9850,herkül,hércules,51
675,merakla,curiosamente,95
6346,bizon,búfalo,67
5320,topak,topper,68
4592,canı yanmak,machuca,39
1877,uyanma,vigília,33
11556,tuz,sal,36
12184,lisanssız,sem licença,32
10983,atılmış,jogado,42
13871,kullanmak,usar,5
9253,koşu yolu,pista,52
3497,ana hat,linha principal,86
6343,boğazlar,straits.,47
3119,priz,soquete,81
13509,playofflar,jogos decisivos,12
14271,gerçekten,realmente,11
13500,güvenlik,segurança,14
6904,tanrısal,leary.,70
7402,tanıtım,introdutório,67
1840,yeniden şekillendirilmiş,rescindido,89
9677,rodos,rhodes.,52
81,taş ocağı,pedreira,96
6895,eldivenler,luvas,49
8064,fakülte,faculdade,62
1221,telafi edici,compensatório,98
8545,senkronize etmek,sincronizar,59
13368,ganimet,troféu,18
5182,evrimsel,evolucionário,81
5542,biyokimya,bioquímica,79
9596,alüminyum,alumínio,53
9979,hidroksi,hydroxy.,50
3540,ferman,edict.,86
5612,ergenlik,puberdade,78
13633,konu,importam,14
7226,raflalar,raffles.,68
3276,kucaklanmış,abraçado,66
12580,konuşma,fala,27
9864,sigurmak,sig.,51
1264,rüya gibi,sonhadores,97
8468,cevapsız,sem resposta,61
9960,elde etmek,obtivermos,24
9909,engerek,eng.,50
2622,savaş gemileri,battleships.,62
1607,hirk,hirst.,96
13786,öte yandan,por outro lado,13
8705,erdem,virtude,55
12245,prenses,princesa,31
8247,ceviz,noz,49
13756,kaya,rocha,13
4400,freeport,porto livre,84
6276,iyice,devidamente,75
10589,don,geada,43
12863,meydan okumak,desafio,15
10989,yüklü,carregado,42
9288,sabit,estável,54
3941,dikizlemek,olhadinha,84
12965,kuyruklu yıldız,cometa,23
1947,rect,gravando,94
10352,delin,dell,47
2024,kötülük,malícia,92
1261,alay,ridículo,38
13920,neresi,onde,8
13681,gönderilmiş,enviei,14
9568,oyun makinesi,videogames,53
10302,görkem,glória,47
10062,diskalifiye edilmiş,desqualificado,47
3831,gübre,estrume,87
8572,boş lâf,blk.,60
5824,ıhlamur,linden.,77
11521,kırkbeş,quarenta e cinco,38
7521,zombiler,zumbis,30
7719,altında yatan,subjacente,62
13539,epeyce,bastante,15
4403,naip,regente,39
12953,geçersiz kılmak,sobrepor,23
618,kazançlı,lucrativo,99
14014,en az,ao menos,6
5841,puro,charuto,76
11696,vay,uau,36
2352,ayatollah,aiatolá,91
7793,önerme,proposição,61
1942,lazarus,lázaro,95
2372,posta kutusu,caixa de correio,91
9178,yelkenli,navegou,35
14426,gereksinimler,requisitos,7
13204,9.,9º,20
4946,yinelenen,reiterado,62
7979,günberi,periélio,63
6106,hortum,mangueira,73
9307,çıkan,estreou,23
9865,prensipler,princípios,33
8871,kuruş,centavo,57
6680,geçiştirmek,doce de açúcar,72
11038,bataklık,pântano,40
7981,başarmak,ter sucesso,38
7723,yeteneksizlik,incapacidade,64
10070,yorgun,cansado,30
4792,oksidan,oxidante,44
5049,tüfler,tufos,79
7785,semender,salamandra,64
11168,bahane,com licença,38
14463,denemek,tentar,7
8075,sünger,esponja,62
10816,yarımküre,hemisfério,43
255,paladyum,paládio,100
5793,eşitlik,capital próprio,76
11569,suçlamak,culpa,29
14366,yedi,sete,12
10147,sürdürmek,reter,30
12344,en hızlı,o mais rápido,30
9699,kıvırma,ondulação,47
14140,büyük ihtimalle,provável,5
12298,üzgün,chateado,28
7316,koyvermek,stover,68
1739,star ışığı,luz das estrelas,94
909,su samuru,lontras,48
3440,büyük usta,grandmaster.,88
5132,bambak,bundy.,81
12878,türleri,tipos,8
11761,atletik,atlético,16
1962,richer,mais rico,95
9013,çekilmek,demitir-se,30
13253,endişe,preocupações,11
1244,acayip,enlouquecimento,34
598,hiyerarşik,hierárquico,94
9038,örtü,manto,56
5380,kasvetli,desânimo.,79
9942,kendini,ela mesma,50
2593,iğrenç,detestável,90
3685,esir,cativos,58
14035,yağ,óleo,20
10779,eksen,eixo,43
14195,yerine,em vez de,7
12691,arkadaş canlısı,amigáveis,26
8221,tahribat,estragos,62
993,eklektik,eclético,98
1629,dubleks,duplex.,94
13261,ansiklopedik,enciclopédia,20
10576,zorunluluk,deveria,45
8321,kistik,cístico,62
3083,ülser,úlcera,88
13060,soğuk,resfriado,22
11585,sıcaklık,temperatura,29
7714,alet,infield.,19
10220,günah,pecado,41
12693,fare,mouse,27
4807,doğurmak,desova,48
14042,duyurulmuş,anunciado,14
4526,soyadı,apelidos,43
8898,düğmeler,botons.,8
12816,yakalanan,capturado,17
1762,aralıklı,intermitente,86
11435,görevler,obrigações,22
8668,fikirli,mente,12
11664,cyrus,ciro,37
13015,büyük ölçüde,altamente,23
12832,ekonomik,econômico,21
6385,en kısa zamanda,assim que possível,74
12287,bruinler,bruins.,30
13099,en büyük,maior,22
5631,okunabilirlik,legibilidade,59
12036,işbirliği,cooperação,15
5073,kısıtlamalar,restrições,76
1265,doksanlar,anos noventa,58
11692,depremler,terremotos,15
13381,misyon,missão,15
3590,tahrik,propulsão,88
6527,akademisyenler,acadêmicos,23
3588,gradyan,gradiente,82
1062,çevrecilik,ambientalismo,38
13289,olay,incidente,17
5576,beklenmedik bir şekilde,inesperadamente,78
12547,değiş tokuş,intercâmbio,25
8677,otizm,autismo,59
880,halojenür,halogeneto,96
13139,sabah,manhã,21
3150,kapat,desligar,88
11376,mit,min,37
5771,boncuklar,miçangas,68
13195,kitle,massa,19
9234,buğday,trigo,55
13932,hala,ainda,8
12485,azaltışmış,reduzido,21
5059,vinnik,vinny.,82
2687,mutfakla ilgili,culinária,92
13505,tahkim,arbitragem,16
12722,anne,mãe,25
2659,açık bir şekilde,handily,92
12843,tava,frigideira,25
6967,karasal,terrestre,69
3966,balkabağı,abóboras,62
3045,akşama,anoitecer,90
13925,sırasında,enquanto,7
5669,cüzdan,lepra,78
11767,zarar,ferir,14
1613,ceylon,ceilão,96
494,gece vakti,período noturno,99
10913,kurbağa,rã,38
12351,örümcek,aranha,30
6251,siyanür,cianeto,74
8127,şarkıcılar,cantores,23
5348,ayin,rito,72
8203,grönland,groenlândia,62
879,kirişler,feixes,59
7877,misket limonu,lima,63
11493,venüs,vênus,23
229,dağılım,dispersão,51
6306,imha,exterminação,65
3318,sömürmek,retido,89
9688,burger,hambúrguer,51
10992,giydirmek,vestiu,42
11901,inç,polegada,24
13725,düzenli,regular,14
13718,nehir,rio,12
6428,tedavi,tratamento,25
10877,semboller,símbolos,24
2068,şehit,mártir,66
1487,perforasyon,perfuração,77
9768,gerilim,tensões,40
1315,büyük harf,maiúsculas,97
5340,pamphlet,panfleto,69
12069,çekiç,martelo,32
10286,helikopterler,helicópteros,31
8651,laptop,computador portátil,59
9098,coupe,cupê.,22
11432,seçkinler,elite,37
6447,borneo,bornéu,73
14451,kayıplar,perdas,12
13155,hücre,célula,19
8299,pavyon,pavilhão,59
148,yenilemek,revamp,76
4461,kıyıcı,chopper.,81
14330,siyah,preto,12
3806,ferral,furador,87
9965,neyse ki,felizmente,35
10693,meşrulaştırma,justificação,42
13964,dört,quatro,7
7027,geveze,milty.,70
12053,kısaca,brevemente,33
6237,saygıyla,respeitosamente,13
6495,cetveller,governantes,56
11053,öğlen,meio-dia,41
9622,bağlaç,conjunção,49
7736,rezonans,ressonância,61
13943,kapalı,desligado,10
12014,uymak,conforme,18
2412,swooner,escuna,65
5206,çeltik,paddy.,78
13045,disko,discoteca,22
13830,ayrıca,também,6
12275,cinayet,assassinato,24
8955,kıvırmak,clint,57
14482,neden,por que,8
261,freemasons,maçons.,94
1842,gecelik,noites,95
13506,posta,correspondência,16
11644,elmas,diamante,35
13664,yerel,local,14
5245,fare kapanı,ratoeira,80
11797,yeraltı,subterrâneo,35
2086,zippalı,zippy.,94
3573,yanak,bochecha,78
2181,karmakarışık,escudeiro,83
9272,albiya,albion.,55
12462,köşe,canto,27
12196,avustralya  brezilya ve kuzey amerika ülkelerinin kullandığı saat uygulaması,husa,32
7216,kürklü,peludo,68
717,paspasist,pacifista,96
13190,nüfus,população,19
982,yeniden kurulu,restabelecido,86
7258,incik,canela,66
4000,süper güç,superpotência,78
10571,giderek,cada vez mais,45
65,gerileme,contratempos,78
5749,kastilya,castela,78
3481,daha parlak,mais brilhante,88
10906,ortaçağ,no meio do caminho,42
10264,mağazalar,lojas.,28
11751,hacim,volume,32
12615,yardımcısı,vice,28
1907,tebliğ,comunicado,94
12161,risk,risco,30
2826,thrice,três vezes,91
12552,fr,pe,28
13538,uyma,conformidade,16
5769,tutarlı,coerente,68
13121,rüzgâr,vento,14
8993,slipknot,nó corredio,57
6426,ayrılmamış,unseeded,74
6684,conta,contribuição,72
1597,çürük,machucado,76
14192,kabul,acordado,12
11263,kapmak,boné,28
14012,belki,poder,7
10183,emin değil,inseguro,48
1551,sürtmek,engle.,93
14329,şarj,cobrar,18
6734,şam,damasco,71
266,hoşgörülü,leniente,97
4334,başlatıcı,lançador,68
1838,italikleştirilmiş,em itálico,90
13888,ne,o que,7
